1700699145# #这是单方面行为
1701170551# #林中暖阳。文/郝悦盛。。冬日蓝天暖阳照，。微风轻吹枝叶摇。。林中人们缓步行，。湖边静静人垂钓。。。作于癸卯年十月十四（西元2023年11月26日）
1700553701# #要清算了？大概啥时候啊。
1702165441# #公知是什么？说白了叫汉奸！
1700789187# #我以为喜泪
1700350634# #有些男的在外面说跟自己老婆关系不好，只是为了勾搭别人，然后你会发现他在家跟他老婆关系挺好的
1701735904# #美联储都是私人的，美国是一个国家吗？还是给人家利用的。
1700611769# #第五十五条：半信半疑是最好的态度，因为你不知道哪一条谁说的是真，谁说的是假，专家有时候变砖家，权威变犬威。笑cry笑cry笑cry
1702850885# #张出事是必然的！之前新街口电台女主播百万广告庆生的事件，他就卷进来了！
1703626953# #今天是2023年12月27日，农历癸卯年冬月十五（己未🐑日），今日冲牛，财神正北方，今天为黄道吉日。今天穿白色，银白色上衣为最佳，次吉穿黄色，焦糖色，咖啡色。宜祈福悟道出行赴任会友见贵求子纳财修灶扫舍栽种埋藏养生治病契约开张置业动土上梁维修保养；忌搬家忌嫁娶
1702551399# #这Tm砖家是个只惦记老年人财产的真孙子。
1701504739# #大枣3枚当归3克黄芪15克
1704096282# #应该是计划生育的时候事吧，看她是78年出生的，17年才全面放开二胎，17年的时候她都39了
1702165187# #军事是政治的手段，根源是政治腐败
1701821796# #全球反霸，有进无退，按大棋论们来，黄花菜都凉了。
1700699928# #因为乱搞男女关系，被判处死刑的女流氓，她长得还挺漂亮。|万红莉|乱搞|女流氓|男女关系|被判死刑手机网易网
1702633760# #最有权利的80后
1701907663# #女孩子有一技之长，这是你自信的来源
1702600824# #平时坐地铁的年轻人居多，加上北京雪大路滑，中小学生居家，上点年纪的和小孩子都不出门，所以地铁上上班族遇突发事容易冷静不慌乱
1701301962# #晨间感悟。文/郝悦盛。。抬眼望见树枝叉，。枝头似有残叶挂。。人生离合古难全，。何如把握好当下。。。作于癸卯年十月十七（西元2023年11月29日）
1702026692# #没结婚只能叫劈腿，而且她也只是犯了天下男人都会犯的错罢了
1702850703# #今天是2023年12月18日农历癸卯年冬月初六（庚戌🐶日），今日冲龙财神正东方，今日为黄道吉日。今日穿白色，银白色上衣为最佳，次吉，穿黄色，焦糖色，咖啡色。宜祭祀礼拜天地祖师列宗师祈福保佑继往圣开未来之学习艺出行搬迁动土装修纳财理发美甲签约祈福扫舍栽种革新解除废旧整
1700443795# #天同星入命的女人，面相就是非常柔和，圆润饱满的，她们有福气容易嫁得好，而且会被男人宠爱，偏爱。
1700789259# #说实话我跟暧昧对象出去都不花钱还是不太理解这种已经是男女朋友还算的清清楚楚的
1701121928# #碍V们不约而同地忽视了中国人质的安危。仿佛关心一下都是大逆不道。
1700553772# #毕竟他知道是谁扶他上去的awsl
1703029537# #涨姿势了作揖
1700953110# #所谓市场化，只是市场为名义的经济割据罢了，没那么崇高
1702897485# #还有:中科大刘庆峰(科大讯飞）
1701908410# #讨好自己是对自己最大的善良
1701817942# #加油！希望早日实现这个目标，为中国6G加油！
1700553207# #1971年，邓稼先姐姐邓茂先被打成特务含冤自杀，妻子许鹿希和另一个姐姐被打成右派，14岁的女儿去内蒙上山下乡。邓稼先自己也岌岌可危。院里造反派喊出口号：“会英、俄文的就是美苏特务”，已有专家被打残打死。邓稼先也被批斗，幸好好友杨振宁回国访问，周总理安排亲友会见，无意中救了邓稼先。
1700443168# #人在低谷，别谈格局，生存才是王道，身处逆境，别谈情怀，务实才是根本，身无铠甲，别显锋芒，藏拙才是智慧
1700750603# #看过这个人一些发言及言论。这个名头有些过头了。至于能走多远。看看吧再说说另外一种院士。就是国外名头的。一个大学副院长说，专门有人找他要不要做哪些国外的院士。他问了一下，他是可以拿这个名头，对方可以运作。就是，需要花点钱
1700500728# #余云辉博士是中材的独立董事，原来是一家人啊，这个制度必须得管住，我认为写制度的人不是不知道而是故意为之，人民不同意。
1700440442# #据说彝族，彩礼起步价10W,本科以上50W
1703549366# #奇葩。。。
1703722915# #过年不放烟花爆竹就年味了
1700350566# #不信能那么久除非放照片dogedoge
1700698453# #转发微博
1702463382# #反正实体经济我希望繁荣一些的好。
1700363752# #人往往会因为贪心而失去原本可以拥有的一切！
1700612121# #王这个说的是事实
1700500832# #goodgoodgood
1703809963# #两方都有错，但真的是因为爱情结婚的人不会订婚了还把未婚夫送去吃牢饭，男方之前并没有家暴欺负过她，农村人四个月拿出这么多钱想结婚也是有诚意了。
1703463336# #纪念长津湖战役胜利七十三周年。文/郝悦盛。。当年豪壮跨大江，。打击美帝等列强。。爬冰卧雪九兵团，。战胜高寒与冰霜。。英勇歼灭王牌师，。打得美军哭爹娘。。美军遇我心胆寒，。鬼子从此心厌战。。打掉美帝嚣张焰，。我军至此威名扬。。。注解：今天是我人民志愿军九兵团长津湖战役胜利七十三周年，1950
1700953345# #good
1701821962# #回答得体，圆满
1702601568# #如果说男人一旦有钱就变坏（大概率），那男人有权有势必然就变坏，这可能是铁律了。
1702163595# #这家真的很好吃·，做锅包鱼的饭馆也算挺少见的
1702767330# #今天是2023年12月17日，农历癸卯年冬月初五（己酉🐔日），今日冲兔，财神在正北方，今日为黑道日。今天宜穿黑色，深蓝色上衣为最佳，次吉为穿白色，银白色，浅灰色。宜祭祀祈福礼拜习艺扫舍沐浴出行开光动土整顿解除理发开张家教培训治病修手足甲；忌起草合同忌醉酒防造成麻
1700737628# #期待，治大国如烹小鲜，来来来
1700376007# #转发微博
1702772637# #美国用金融围剿香港和中国，就不怕我们掀桌子？
1702038337# #不敢提取消公摊面积和现货销售这些核心问题，另外应该提醒年轻人慎重买房，应该共享经济发展成果，在收入稳定，信用良好情况下，名下首套房对应的贷款就应该免息，二套房或者二次贷款再提高利息。
1700350351# #人活一世无非就是三件事：照顾好身体，努力赚钱，关爱家人和自己。他们看似不合群，内心却十分强大；看似孤独，却享受一个人的自由。
1702038416# #转发微博
1701908254# #想要的就去争取一下，失败了也不后悔，总比天天内耗又想要又不行动的好哈哈
1700789014# #有你照着就是光
1701907389# #那就不要放过他，人这辈子能有一个这样的爱的人已经非常难得了
1701042266# #他和马斯克的谈话，显出来他是个傻子了。满口假大空的套话，马斯克听得都尴尬
1703721682# #今天是2023年12月28日，农历癸卯年冬月十六（庚申🐵日），今日冲虎，财神正东，今日为黄道吉日，大吉大利。今日穿黑色，深蓝色上衣为最佳，次吉穿白色，银白色，浅灰色。宜祭祀祈福悟道亲民会友嫁娶开光出行赴任契约订盟搬迁治病理发修甲伐木酿酒遛宠物；忌安床针灸。鼠情缘
1700664281# #冬夜抒怀。文/郝悦盛。。冬夜微风寒虫鸣，。风雨无阻须前行。。莫愁前路多险隔，。豪气冲天绘锦程。。。作于癸卯年十月初十。（西元2023年11月22日）
1700373582# #man👨
1702463577# #所谓的花心，就是有了爱情和面包，还想拥有甜甜的蛋糕
1700552851# #瑟瑟群（bushi），wx产业键政群
1700362359# #有道理收藏亲亲亲亲亲亲
1700360851# #爱不是物质，而是感情。要来的爱，并不真，求来的爱，并不久。只有对方心甘情愿去爱你，真心实意对待你，这份感情才是最好的。
1702971235# #我的沐字也是柔性的，不怕不怕，玄师起的名字自有玄师的道理和庇佑🙏🙏🙏
1700749244# #画真好偷笑
1703548725# #家庭的第一核心，永远是经济，而不是感情，夫妻之间没钱的日子，考验的是妻子，有钱的时候考验的是丈夫，当激情褪去之后，婚姻才刚刚开始。
1700783526# #结婚之前自私点，结婚之后无私点。微笑
1703030041# #令妃在年仅49岁时就死了
1700372247# #人们敬爱好总理,人人敬爱他心心心
1701388136# #美国当地时间2023年11月29日，美国前国务卿基辛格在康涅狄格州的家中去世，享年100岁。2023年5月，基辛格庆祝了自己的100岁生日。他的葬礼将以私人家庭仪式的形式举行，随后纽约市将举行追悼会。1923年，亨利·基辛格出生于德国南部，他的父亲是那里的一名教师。基辛格分别在尼克松和福特任总统时期担任
1700869981# #丙戌抒怀。文/郝悦盛。。每日匆匆奔前程，。心中不忘有使命。。气吞万里雄心在，。腾空直上碧宵宫。。。作于癸卯年十月十二（西元2023年11月24日）
1700526113# #主要是没来得及，另外，主力都分散在俄乌，巴以上，以及因访美导致的那种被主子遗弃感还没反应过来。doge
1700349834# #转发微博
1700607504# #是
1701045595# #打call
1700373395# #女孩，请你作出重要决定前，一定要慎重考虑，多了解了解对方的家庭。good
1703722752# #历史上就没有和平统一的吧费解国家一统从来只有血与火
1700499484# #虽然但是，是张桂梅校长，不是佳
1700348943# #不一定，有的人从来不说话，一直忍着，到哪天爆发就直接玩完。但也不是说老吵架是好事。像我家就是，吵架吵的很多，每次最后问题还是没解决，后面还要重复吵同一个话题，当时两人心中都有气，都发泄过了，最后我都是想，都起了冲突了伤了感情了，为何不趁这次就把话题谈开拿出解决办法，无奈对方不配合
1700383920# #不管什么时候，对人说话都要谨言慎行，开玩笑的话尽量少说
1700482280# #林间景致。文/郝悦盛。。初冬暖阳晴方好，。蔚蓝天空柳垂条。。林间静谧幽深深，。偶有鸣声丛林鸟。。。作于癸卯年十月初七（西元2023年11月19日）
1700442416# #专注搞事业搞钱，爱情随缘，别太执着和迷恋
1700612378# #他也有家族信托？真让人大跌眼镜啊！还有好人吗？这世道！！
1701907488# #赞
1701042156# #做供应链吧，餐饮未来的竞争一定是供应链的竞争
1700373420# #哈哈哈哈哈哈哈哈哈哈
1700350520# #Qj就说qj，别整的跟秀恩爱似的吃瓜
1700749626# #所以，大家只能争做人上人。普通人别遇上事。
1701821545# #翻阅一下历史，每次收弯弯都打了，和平收复不现实。做好打的准备！
1701907706# #运气越好，做事越踏实，越愿意去付出，这个时候就走向了正向循环，这就是在设计真正的好运气了。good
1702850557# #冬日随想。文/郝悦盛。。柳叶依依随风吹，。万物寂寥皆夙寐。。梅花香须尽寒来，。百花争艳皆积累。。。作于癸卯年冬月初四（西元2023年12月16日）
1701217978# #房产预售本身还没问题呢，结果呢。真是记吃不记打汗
1700737671# #百年孤独其实是有原因的
1700737750# #鲜花鲜花鲜花
1700383933# #凡事都要学会转弯，毕竟在那里工作还要很长的
1703374955# #冬至有感。文/郝悦盛。。冬至已至天更寒，。树叶凋零枯枝干。。肃杀之气驱疾疫，。面貌一新迎春天。。。作于癸卯年冬月十一（西元2023年12月23日）
1701472615# #人性铁律goodgoodgoodgood
1702773568# #做自己的太阳，与山川湖海为伴，热爱生活，自信勇敢，保持善良，勇往直前！
1701727308# #今天是2023年12月05日农历癸卯年十月廿三（丁酉🐔日），今日冲兔，财神在正西方，今日为黄道吉日，今日穿黑色，深蓝色上衣为大吉，办事易成，开心轻松。次吉穿白色，银白色，浅灰色。宜祭祀礼拜沐浴亲民扫舍整顿纳畜解除治病；忌开张忌理发嫁娶忌醉酒以防造成麻烦。鼠利拜见贵人，牛利合
1700953385# #。。。
1700650597# #残叶吟。文/郝悦盛。。初冬残叶铺满路，。冬霜冰雪结寒露。。枝叶稀疏迎寒风，。寒尽暖来新叶出。。。作于癸卯年十月初十（西元2023年11月22日）
1700348884# #心软和善良，却成了被人拿捏的软肋！
1703197550# #今天是2023年12月22日农历癸卯年冬月初十（甲寅🐯日），今天是冬至，今日冲猴，财神东北，今日为黑道日。今日穿红色，紫色，粉色，玫红色，桔红色上衣为最佳，次吉，穿绿色，蓝色。宜悟道签约订盟纳财纳畜求子出行搬家废旧革新修造动土栽种恩赦感恩行人道善行；忌嫁娶忌动
1702850849# #这家伙最为流传的就是为某主播过生日事件
1701313656# #当地时间11月29日，美国前国务卿亨利·基辛格在康涅狄格州的家中去世，享年100岁。
1702851025# #【温州庄吉服饰二次破产重整】2023年12月15日，位于平阳县昆阳镇的温州庄吉服饰有限公司大门紧闭，边上的庄吉服饰专卖店却不断有顾客进出，代理商李洪熙忙着将库存的服装做最后的清仓。
1700553808# #没事，不用多解释，大家都懂心心
1702251267# #今天是2023年12月11日农历癸卯年十月廿九（癸卯🐰日）今日冲鸡，财神正南。今日为黄道吉日。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣为最佳。次吉穿绿色，蓝色。宜祭祀祈福废旧革新求知成人礼出行赴任搬迁订盟契约除虫蚁开工栽种求子治病纳财养生设备保养遛狗；忌
1702856666# #寒冬吟。文/郝悦盛。。冬日羸阳暖乏力，。寒风吹拂枯树枝。。衰草匍匐小径边，。唯有梅花散香气。。。作于癸卯年冬月初六（西元2023年12月18日）
1700372492# #早上好咖啡
1700365050# #最难做的就是人事的厘清，因为并不像摆在案板上的肉红白分明。不要盲目乐观。
1703810408# #人民，为人民，官僚固化为一个阶层，就可怕了
1704096110# #别人问我老家吉安有机场吗，我说有啊，吉安有机场，叫井冈山机场，在泰和doge
1701391819# #我们应该大踏步的走向世界，用我们的企业我们的货币参与主导全球性的大生产，参与全球性的分配。历史上有那个强国不是走向世界的，第二次工业革命后的美德日都是参与了世界市场的社会化生产，日本德国二战后也是先吸收美资壮大后走向世界的，还是部分吸收（日本用政策和文化排拆他国汽车农产品
1704154089# #肖万世，削日本鬼子万世头颅！
1702898242# #人不和狗斗，男不和女斗——古人的观点不是没有道理的。我认为，当狗死缠烂打时，必须解决掉它！
1702899493# #看好合肥郑州西安青岛大连等
1701900023# #资本市场就是这样，机会到了要梭哈，时机到了要割肉，只要死不了，就还有翻本的机会况且，对于老王来说，财富几辈子都花不完，有舍有得才能长久，不吃完最后一口，也不割掉最后一刀
1703285728# #今天是2023年12月23日农历癸卯年冬月十一（乙卯🐰日），今日冲鸡，财神在东北方，今天是黑道日。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣较好，卯为木，木生火，次吉，穿绿色，蓝色，为比肩。宜祭祀祈福沐浴扫舍废旧革新教育培训除虫蚁悟道纳财亲民理发平治道途治病保养维修；忌
1703029456# #有人的地方就有江湖，不排除院士这一体系的水有多深。这真是院士潭水深千尺，不及他国月亮圆啊。。。
1700789272# #没必要，复合了你也不能给她多花钱，解决不了问题。你心里也不舒服
1701301571# #蜡烛蜡烛蜡烛
1703810259# #一是远程火箭炮密集轰炸。二是察打一体无人机定点轰炸。三是封锁领空领海，让孤岛陷入困境。四是围点打援，坚决清除外援敌对势力。五是狮子搏兔，集中优势力量一举收复。
1701822066# #假如哈马斯把他家人绑走，估计他就不会这样说了，除恶务尽啊，不然他老是搞恐怖袭击最受伤的还是底层人民，包括所有的平民。
1702164116# #国家的脊梁！
1701244259# #巴菲特说过：投资比亚迪的是芒格的主意，王传福比爱迪生都厉害。芒格真是了不起的投资大师，巴菲特一生的黄金搭档，致敬大师🙏
1700749136# #技术是华为的只是服务商是电信其实和谁合作都是合作和移动联通合作也可以电信是通过华为的这个技术在赚钱啊你在说什么？技术是电信的怎么不和别的厂合作？
1700737694# #米莱确实也是犹太人
1700402913# #那对原配来说，这个老公是什么？是ATM机还是展示自己美貌武器的PUA对象？
1701035777# #当代科举笑而不语
1700525113# #10年以前的数据了
1700525146# #拿了钱可以找十个年轻的小奶狗
1701557853# #今天是2023年12月03日农历癸卯年十月廿一（乙未🐑日）今日是黄道吉日，大吉大利。今日冲牛，财神在西南方。宜穿白色，银白色上衣为吉，次吉穿黄色，焦糖色，咖啡色；穿绿色、蓝色、红色服装，绿色、蓝色、红色做事较累，但能得到收获；今日不宜穿黑色。宜祭祀祈福出行赴任亲民相亲问名习艺
1701389347# #靠注射活体肾上腺素，用人命维持罢了
1701902027# #今天是2023年12月07日农历癸卯年十月廿五（己亥猪头日），今日冲蛇，财神正北方；今日为黑道日。今日穿绿色，蓝色上衣为大吉，办事易成，开心轻松。次吉，穿黑色，深蓝色。宜祭祀祈福沐浴谢神恩习艺维修保养疏通经络安床纳畜栽种；忌契约忌起草签订合同以防连累家人嫁娶。鼠利积极
1700612296# #无耐脖有狗绳，只有卖国求荣。
1702037732# #直接学默克尔得了，连当4届
1703676499# #有一种精神，穿越岁月长河，历久弥坚；有一份缅怀，历经时代变迁，愈显深沉。
1701218363# #老巴只有在中国国内被宣传成价值投资典范，老美金融界都知道老巴是内幕信息派。
1700525344# #感觉现在很多事情确实是这样。
1700738028# #卖茶就卖茶，不要到处乱舔！
1700389291# #转发微博
1700784469# #好考技术
1700376037# #有点道理，可以吸收部分哈哈
1701341909# #资本都喜欢两边下注，基辛格不过是唱白脸的赌注，还有唱黑脸的赌注呢
1700750685# #阿里巴巴的王坚是工程院院士
1702551082# #看完这层里的评论，我真的有点被震惊了，没想到这么多年轻人都是这种想法，我个人觉得至少董明珠有一点说的是对的，这小姑娘原本就应该只是想蹭格力和董明珠的流量，，而非只是单纯的想去格力上班
1702379491# #人在难处，看清人性！
1702551010# #我理解的不是，你可以赚钱，也可以当网红，但是你的职位不是网红职位，是秘书，而你却用秘书的身份包装自己做网红，这个不是核心要素么…而且说不好听的，你没能力不奋斗，哪个老板也不可能给你高工资啊允悲
1700375716# #夫妻档，亲戚，拖欠工资，单休还不保证，老板娘身兼财务和人事，喜欢揪着小事扣你钱，每个月工资都算不准，问她她装死，制度经常变更甚至几乎没有，员工敢怒不敢言允悲留在这只能说因为主管和其他人都还行，收入对我们这个水平来说也尚可，主要很多人家里几张嘴等着开饭不敢辞职汗
1700867018# #/过早的亲密接触灵魂就难于碰撞了
1700784394# #光明正大goodgood
1704159621# #那是英国的罪犯流放地，孙可是自己跑过去的。
1700383892# #千万不要把同事当做朋友呀，不然真的会吃亏
1700440455# #法：九地之变,屈伸之力,人情之理,不可不察也。各个主官的责任能否落实到位也是预防不利危害事情发生的关键
1700499402# #怎么打，我现在特别想把一份电影票钱给张校长打过去允悲
1700350048# #两人经过坦诚沟通，最终化解了感情危机，保持了良好的工作关系。
1701042302# #听他夸夸其谈，像搞传销的挖鼻
1703723704# #说得太对了good
1701044928# #沧浪之水在看，非常哇塞
1701945535# #穆迪就是机构的反向指标，穆迪被称为投资届的墓地。dogedogedoge
1701597063# #任如意我信你
1702165039# #了解一下科大讯飞AIGC翻译机84种语言互译，还有同声翻译耳机10种语言。
1701908040# #事以密成。提前透露或者说出来属于泄力泄气，容易无果。
1702971322# #看来这锅不是白顶的
1702898130# #三角眼成天想着害别人，见到三角眼赶紧溜
1702900061# #年轻的时候不要透支身体，什么年龄做什么事
1702601015# #能够实地去探查的记者很符合他的职业操守。赞
1701044759# #瞎讲诶，人Lisa跳了脱衣舞还被查尔斯接待授奖呢doge
1700698745# #知道我兔购买大毛军备的事情吗？了解一点历史并不难。
1700524191# #就得吵，只要吵一次，在这个问题上，她就明白道理了！人的慕强是普遍存在的，但是现在谁是强，首先要搞搞清楚
1701045642# #特朗普得到郑家的支持没？后续他的生意发展如何。本来期待后面的信息。但是只是把前面叙述的又详细重复一遍。
1702379597# #真的平易近人了！世界上找不出第二个国家，老百姓能随随便便能把元首围住抱住任意抒发情感。当然金总的伟岸体格也是，不动如山！
1704056701# #今天是2024年01月01日，农历癸卯年冬月二十（甲子🐭日）。今天是元旦，祝大家新年快乐！新的一年身体安康！阖家幸福！诸事顺遂！今日冲马🐎，财神在东北方，今日为黑道日。穿绿色，蓝色上衣为最佳，次吉宜穿黑色，深蓝色。宜祭祀祈福尊敬长辈沐浴求子契约亲民订婚纳财动土栽种酿造
