1689081308# #小雪网红？不认识...不care。一起来听听任贤齐经典歌曲《小雪》吧
1695375417# #陈好薛佳凝合照男人婆哈妹万人迷结婚狂《粉红女郎》已经过去20年，20年呀，友谊长存我来了我来了
1701097204# #你猜邓紫棋南宁演唱会上会不会也唱一下《海阔天空》呀？期待(๑˙ー˙๑)
1691501381# #选秀学员撞脸迪丽热巴原来是蹭呀！！性别都不对，非得蹭，更反感！。热巴才是真的美！怎么看都美！抱一抱抱一抱。。娱乐圈圈看
1696175325# #周深音乐节被喊周深开门生日直播也是开到23：59分嘻嘻嘻嘻嘻嘻祝福深深越来越好耶耶心门大开，听到啦可爱可爱
1694745015# #这样的邓为帅不?粗犷！喜欢不？。邓为｜李一桐云秀行片场路透。。（视频来源网络，侵删）。。娱乐圈圈看
1691852100# #魏大勋去看了张杰演唱会好多人都去了，还有谢娜…还有张杰演唱会上又现求婚现场，《这就是爱》吧！祝福白头偕老鲜花
1704253514# #12306推出购票新功能很好！感觉离成功抢票又近了一步耶耶。很快就到春节了，希望除了上线新功能之外，多增加点班列。。忙忙碌碌又一年，总是感觉少了点什么…。有💰没💰回家过年！
1690242295# #天后演唱会明日开票《遇见》《最爱》的《挥着翅膀的女孩》穿着《红色高跟鞋》唱《勇气》啦打call打call打call。一张票看这么多大咖，幸福感拉满！不过更期待多点个人演唱会耶耶你最期待哪一位？
1692277628# #小时候很反感长大后却很喜欢小时候看见接吻戏都不好意思，要蒙眼转移注意力，长大了就…偷笑偷笑。小时候觉得莫文蔚不好看，长大了才知道是真的好看…笑cry笑cry。这两个有没有？？嘻嘻嘻嘻
1700549157# #白敬亭工作室辟谣这造谣也太拉夸了吧，人家在拍戏，《正当防卫》，连北仑公安都看不下去了，转发工作室微博了！再说，你见过哪个车牌是“东D…”律师函呢？告ta吧…
1703917000# #刘强东要送的猛士越野车曝光不知道是不是这一辆，乍一看，像台拖拉机偷笑偷笑不过话说回来，有这样的老板真好！听说这车价格可不便宜，66.88个w，恭喜恭喜能够中奖的朋友耶耶
1704369974# #男子证实失联12天父亲已遇害今天这是怎么啦？rs一连几条这样的新闻，好怕怕。马上春节了，和和美美才是真的好！。女老总KTV楼下被男友用砖砸死｜。警方通报女子在家中被邻居抢劫杀害
1704382035# #网曝贵阳一马路上夜间多人爬行这是个什么神仙公司？什么企业文化？打pk惩罚？大晚上的看见有点心悸…网友评论“放过打工人吧”
1703938818# #阿根廷正式拒绝加入金砖国家傻不傻呀？！srds，这种猪队友拖油瓶，不要也罢！
1697948549# #所谓如果，就是MV的女主角戚薇唱天外来物，7V｜V587唱的还不错打call打call打call
1690039537# #这是王一博个人演唱会吧哈哈，一个晚上就等这段，你说是不是呢？！疯狂吧，继续热烈酷酷
1692599290# #中国好声音评分跌至3.2看看这周还能不能播，收视率还第一不？思考思考。潘玮柏早前说为了“好声音”减肥8公斤，担心椅子转不过来，可是……今天网上看了个视频，说根本不用潘玮柏按，椅子自己会转过来，哈哈哈哈哈哈，潘玮柏自己也是一脸懵允悲允悲允悲不知道是不是真的（黑幕）
1692547918# #韩红希望看到更多的正义人士站出来，也相信正义不会迟到！点赞韩红赞赞
1704008038# #东风高管回应刘强东送猛士越野车豪横！而且还是猛士917！羡慕抱一抱抱一抱这也是双赢，比请明星打gg强多了赞赞祝福各位网友新年快乐！大吉大利！七时吉祥七时吉祥。（视频来源dy猛士科技无锡体验中心）
1695698839# #转一个，林俊杰9.22北京鸟巢演唱会现场和邓紫棋合唱《手心的蔷薇》，yyds打call打call
1694521397# #还是感觉有点不一样了，差点没认出来，是变漂亮了吗可爱周冬雨说叫宝贝好肉麻
1693073759# #小刚（周传雄）陪伴了多少人走过年轻时光？！好多年前，曾经在“捌零音乐论坛”发过一个周传雄老师的一个无损音乐合集，可惜后面捌零也不在了，想问问多少朋友当时是捌零的常客呀？好想谁来个dsd包嘻嘻嘻嘻周传雄寂寞沙洲冷爷青回太多首都可以爷青回，希望出更多的好作品耶耶。
1691939715# #《让我欢喜让我忧》3版本欣赏咖啡。最近薛之谦在好声音上演唱了让我欢喜让我忧好像还挺火，找了3个版本放在一起，大家欣赏一下。。1.周华健2.薛之谦3.杨宗纬、毕雯珺。悦音星行动
1703750205# #小米汽车价格果然，看了这么久小米汽车发布会，听雷总聊了好多高科技，网友最关心的还是价格…偷笑偷笑偷笑预测走一波，19.99有没有可能？你预期是多少个w?笑哈哈笑哈哈
1701878510# #假唱真唱这次丁太升说得对，所谓的不开麦半开麦一律都是假唱！。假唱就是假唱了，还玩文字游戏就有点不好了吧，e6是真的吗？哈哈…。为什么人家不举报张学友？人家60+，演唱会有假唱吗？
1696949102# #最近《其实都没有》在dy好像又火起来了，刷到好多个都是车里拍一点，配上于冬然翻唱的副歌部分，火的一塌糊涂...吃惊吃惊再来回味一下杨宗纬原版MV吧打call打call
1699798776# #歌手2024踢馆名单如实，个人比较看好单依纯打call打call
1704245242# #苹果市值一夜蒸发7660亿元也不是头一回因为这个上rs了，说来说去，也只是一个数字而已嘛，7660亿对于大众和小企业来说，是天文数字，对于苹果来说，洒洒水啦，还有很大的下潜空间偷笑偷笑偷笑
1691769809# #田馥甄唱了路过人间再来听听郁可唯演唱会版本
1704076114# #好吧好吧，接了愿逆风如解意税后十个亿2024第一条微博就是你了，让泼天的富贵来的更猛烈些吧！祝福各位刷到的2024都是好运连连！给力七时吉祥
1698163240# #如大家所愿，前几天李健线上演唱会终于唱了王菲的《如愿》，狠好听打call打call视频把李健、周深、孙楠3个男声翻唱版本放在一起了，好好欣赏一下吧比耶比耶。悦音星行动
1694093581# #央视天气预报背景音乐，这熟悉的旋律…你可知道叫什么名字吗？。《渔舟唱晚》。网友“听到这个旋律，好想播报'日本，暴雨，250摄氏度，龙卷风18级'”
1696263950# #国人明星的吕良伟林志颖也是一样给力给力给力给力给力给力自律的人好像真的很扛老只能是羡慕了
1690012016# #公关什么呀公开得了说得对，放到现实可能也是这样，早点公开吧（你们来填空坏笑）。。娱乐圈圈看
1703943799# #青岛保税区大火这是什么情况啊？好大的🔥🔥🔥听说是棉花塑料等仓库发生火灾…马上跨年了…希望是放假望平安作揖作揖作揖
1704385009# #评论罗伯特哈哈哈，开始看不懂，点开主页一看…。你上rs啦，快点起来看看偷笑偷笑偷笑
1701782178# #张若昀特别省鞋哈哈哈，一次登台完成3个任务，品质演员确实厉害笑哈哈笑哈哈笑哈哈加油！
1690810472# #造谣者向郑恺道歉yue了，还“此种方使”…
1688752689# #张惠妹演唱会唱李玟的歌之前郑秀文演唱会邀请李玟作嘉宾，两人合唱了《给最伤心的人》（前面是和《我依然是你的情人》粤国语对唱），这两大天后也是20多年的好友，也是惺惺相惜…可惜…。找了找视频，加了下歌词。
1695402487# #杨乃文伍佰说不出口“英雄”总是惺惺相惜的吧，伍佰老师确实有才，特立独行，一首歌的年龄比一个小年轻的年龄都大，但是就是惹人喜欢！。说实话，对杨乃文不是很知道，前面只是看到过这个名字，也是后面因为《推开世界的门》才去看看她，比较有“味道”的一个女歌手。。视频是《最初的地方》（冬之火
1699369612# #《黄昏》。周传雄老师说“在人生的路上，有的时候会有很多的挫折，但是，每一个人都有自己的黄金时代，也许还没来，你再等一下，再努力一下，你也会迎来自己的黄金时代”全力以赴全力以赴全力以赴。悦音星行动
1692235537# #一声响亮的“老公”，把檀健次也逗笑了偷笑偷笑
1688576572# #全网都在为李玟老师的离开而难过，。最爱你的人是我们，你怎么舍得我们难过…。
1698296006# #两个人真的是好甜蜜好幸福好腻歪呀，之前戚薇说李承铉是秃头小宝贝偷笑偷笑偷笑李承铉喊戚薇老婆宝宝要一直幸福甜蜜下去哟…再看看两人合体纯欲《天上飞》
1698155627# #莫文蔚台上演唱巩俐台下打光这身材曲线…高级感拉满！还有“最漂亮的巩俐小姐”打call打call。（视频crdylssue）
1695312680# #
1695887342# #周深想成为林俊杰一样的歌手微博音乐盛典年度内地男歌手赞赞实力唱将，谦逊又努力，人缘好，又宠粉…相信深深未来不可限量！希望深深早日实现梦想作揖作揖
1703158290# #研究发现每一滴酒都有害哈哈哈，那和茅台啊什么名贵酒联名的咖啡啊巧克力啊什么的是不是也…。其实生活中很多东西都是有好的一面也有坏的一面，要用辩证的眼光看问题，酒既然能流传千万年，自然还是有它闪光的一面。。虽然我也不怎么喝酒，但是，我还是宁愿相信“小酌怡情”，你觉得呢？
1690897878# #Freen承认与seng恋情昨天一个韩国女团上热搜前排，今天又大部分都不认识的泰星上，这是怎么啦？
1697809375# #最近降温了呀张学友身着羽绒服抵达成都但是，演唱会上觉得让大家high爆…。不知道成都今晚有没有《离开以后》，很喜欢像广州场上这样的氛围，当然是歌神唱的好听可爱可爱。（视频来源dyll）
1703741485# #魅族CEO怼小米汽车魅族已经不是以前的魅族，这个是吉利，有人问过囧王有什么想法的吗？可爱可爱。现在还在买魅族手机的，应该好多也是情怀…。都是国产品牌，好好团结一致对外吧偷笑偷笑
1694773228# #京东请你看草莓音乐节音箱不入耳耳机降噪耳机…全部都安排好了，有需要的赶紧冲吧春游家族春游家族
1695463179# #苏州的小伙伴有点不给力？虽然《梦醒时分》原唱是陈淑桦，但是伍佰老师也是唱过的啊，发行于2011年，收录在伍佰2011年的专辑《单程车票》里伍佰累坏了下次好好唱，大声唱啊…
1696942341# #似曾相识“长得漂亮不是错，拒绝受害者有罪论！漂亮女大学生被杀害，网上舆论竟然是这样的！长的漂亮从来不是错，拒绝受害者有罪论！”张小斐新片尺度有点期待了羞嗒嗒羞嗒嗒
1690759621# #“....穿过多少城市为了他，。只因为他淋湿了自己。”。你是否也是这样？或者说曾经也这样？。悦音星行动
1696263281# #国人明星抗老界天花板，男吕良伟，女赵雅芝，不接受反驳酷酷自律的人好像真的很扛老
1691729569# #“我爱他轰轰烈烈最疯狂。我的梦狠狠碎过却不会忘”。《我爱他》3舞台版本欣赏。1.丁当2.梁静茹3.黄龄。大家的下一站都是幸福耶耶。悦音星行动
1691338772# #小虎队能不能合体一下？？应该也是相当炸裂的吧？！。不搜不知道，好多人在面对分别的时候都唱了小虎队的《放心去飞》，TFboys这也是要分别了？祝一切都好！
1703259397# #各位考研的小伙伴，说好了，一研为定哦，祝你旗开得胜，祝你马到成功，祝你金榜题名，祝你折桂蟾宫，祝你鱼跃龙门，祝你虎攀高峰，祝你前程似锦，祝你鲲鹏翔空！一战成硕！你终硕
1703755230# #小米汽车颜值你打几分?漂亮是真的，关键还是没有蹲到价格…偷笑偷笑偷笑
1692515547# #谁的老公啊？！。一句句“老公”，更还有“射我射我脸上”…信息量有点大，檀健次耳朵都红了笑cry笑cry。相柳说“我不害羞，更像是野兽的直觉”…偷笑偷笑
1702696868# #个人是真的接受不了科目三上春晚，网络流行梗让它在网络就好了，春晚上这个真的没必要…科目三春晚适可而止吧！你说呢？
1690469454# #杨洋谢谢大家的包容与陪伴批评和建议哈哈哈，一集没有看过的举手一下🙋
1690123818# #罗刹海市那英。“那马户不知道他是一头驴。那又鸟不知道他是一只鸡…”。先别对号入座，欣赏的过来就听听，欣赏不了就过了。不过，感觉可能郭德纲老师唱起来可能另有一番风味嘻嘻嘻嘻
1700580756# #孙燕姿开始懂了好好听打call打call可是个人巡演要到2025了，好想快点来…来一个2005演唱会的《开始懂了》耶耶。燕姿的歌陪伴了好久，记得高中的时候有个同学是真的超迷燕姿，发誓要娶一个像燕姿一样的老婆，不知道他后面实现了没有…
1695462627# #麻园诗人－泸沽湖（合肥斑马音乐节现场）。你会唱吗？可爱可爱。。悦音星行动
1699361658# #可惜了，有多少网友对这段感情不看好？金莎男友爱意不假但没去过山东不过话说回来，这是人家的私事，祝他们成功吧…
1701408434# #陈志朋偷税漏税小虎队就他混的最差了吧，感觉他都没有多的出现过呀，都是奇奇怪怪的装扮博流量，居然能偷税漏税那么多！不得不感叹明星网红是真的好赚💰…
1696824688# #我们这边没有老乡鸡外卖，只能听听歌看你们开心买买买dogedogedoge。
1690899568# #王心凌音乐节与歌迷互动，“谁叫我老婆啊？叫老公”嘻嘻嘻嘻。。娱乐圈圈看
1703300045# #哇，好漂亮，好浪漫呀！南方人表示好羡慕…可爱可爱。东北市民雪地吹泡泡瞬间结冰花。还有之前“冰泡泡”也是一样好好看！。愿美好和期待都能如约而至作揖作揖。今天的考研人一战成硕！。
1700716762# #小杨哥回应徒弟圣罗兰事件这不是在逗笑，只是在搞怪博流量（虽然流量已经非常好）。作为网红（也算公众人物了吧）也应该要注意形象，不能太过分，要知道好多小朋友也在看，现在的网络上奇形怪状、好多“卧槽”的…太多了，需要净化净化
1694328291# #不好意思，起猛了，看成酒后闹事被抓允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲彭昱畅新剧酒后闹事被拍老师好老师好老师好
1691036515# #著名制片人邓细斌去世制片人作为幕后人员之一，大多数时候都是鲜为人知。不看不知道，一看吓一跳，原来这么多经典作品赞赞。世事无常，一路走好作揖作揖。娱乐圈圈看
1692116214# #柳岩瘦下来的状态一直没胖过啊，何来瘦下来？？！好看^ω^爱你。之前湾区升明月合唱《晚风心里吹》也算惊艳，虽然…
1691425120# #易烊千玺一朝回到解放前什么情况，我开始以为是修炼《八荒六合唯我独尊功》成功了，原来是“夹”呀可爱可爱电影里再硬起来吧嘻嘻嘻嘻
1701094437# #《泡沫》张杰邓紫棋2舞台版本欣赏。两个实力歌手十年来惺惺相惜，愿你们的烦恼都像泡沫，一触就破，消失不见....比耶比耶好听好听
1695743834# #微博音乐盛典录屏，林俊杰《孤独娱乐》我来了我来了我来了行走的CD赞赞
1693585863# #痞帅天花板了吧！想当初看潜行狙击的时候，真的是…黄宗泽哭了
1702515753# #周海媚本来就很美，顺其自然，每个年纪有着不一样的美，真实很美好，只是天妒红颜…。留住一些美好的回忆不好吗？不喜欢那些传播病历的、拿她去世说凄凉的…。如果真能够活成周海媚，那又一生何求呢？。周海媚曾称有皱纹也可以很美
1690218532# #沈月同性之间就一定是纯友谊吗个人感觉，有时候异性之间的友谊比同性之间还要更纯！谁没有几个好兄dei（姐们）嘻嘻嘻嘻。不要“我把你当兄弟，你却要我给你生孩子”带偏了哈哈哈哈
1697958146# #刘慈欣对王子文的评价好高王子文的青年叶文洁确实演的不错，让人耳目一新！
1703134249# #傻湾湾，难道还不明白？回归才是正道！。中止对台湾地区部分产品关税减让。想到一首歌《故乡的云》“归来吧，归来哟，浪迹天涯的游子”…
1697037983# #倚天屠龙记里的大美人当时都完成3刷可爱可爱可爱最开始喜欢郭妃丽的殷素素（张无忌他妈）嘻嘻嘻嘻嘻嘻后面还是赵敏周芷若哈哈哈哈哈哈
1696771819# #两个都是特色美女，好稀罕抱一抱抱一抱。高圆圆文淇鬼怪和新娘
1695102078# #网友说的中指戴戒指是个什么意思？关晓彤天然呆奶茶公司被强执130万还有网友说“查查彤姐的税吧”允悲允悲有没有过分解读了呀？要🔥?
1696562332# #卧槽，国旗都能认错，这是哪门子明星啊！请把这个韩综引进内娱就算引进来了，也是为了效果，个个都是剧本杀，除非是央妈，但是问题来了，应该没有多少流量敢上去…现在内🐟环境真的是好可怕，就像早上看的周润发裸捐，还有多少喷子说是避S…挖鼻挖鼻
1704005934# #1985群星大合唱《明天会更好》。明天就是元旦了，希望朋友们新的一年里都会变的更好！耶耶老师爱你老师爱你
1701087584# #胡歌为刘诗诗新剧打call刘诗诗自带免疫岁月是把s猪刀buff，一直都是美美的太开心太开心太开心看看工作室的视频
1694095432# #人民日报评肖战演技。成功的作品离不开演职人员的出色演绎。赞赞。《梦中的那片海》的肖春生，《玉骨遥》的时影，《骄阳伴我》的盛阳，三个角色截然不同毫无重复，这证明了肖战的演技很好的驾驭了不同类型题材的多元化角色，拥有了更宽广的演绎空间和可能。赞啊赞啊。期待一下电影《射雕英雄传
1700614681# #是强哥的“白金瀚”吗哈哈哈哈哈哈BLACKPINK出席白金汉宫宴会啤酒饮料买一送一笑哈哈笑哈哈笑哈哈
1690217598# #肖千喜退出娱乐圈一开始看见这个ct，一直在努力想肖千喜是谁呀？感叹命途多舛！原来是我没有看《曾少年》允悲允悲允悲
1703567815# #千禧年的春晚，谢霆锋拉着董洁的手，唱了一首《今生共相伴》，幸福登场，以前还以为是真的结婚了了偷笑偷笑23年过去，依旧是帅哥美女赞打call
1690812659# #说的是谁的青春呀？。什么叫演技？这就是一个标杆！。你是什么时候开始喜欢周迅的？我是从像雾像雨又像风开始的。。娱乐圈圈看
1696176590# #赵露思街头喂鸽子，大喊“不要拉💩”偷笑偷笑偷笑。被可爱到没有？？可爱可爱可爱
1703919573# #陈楚生周深合作《凄美地》，太好听啦，网友大喊“音源呢？”
1690980353# #凤凰传奇工作室律师函不会弄简单一点，巡演快点来吧！可爱可爱。放个之前的视频吧
1703412422# #不是吧！女网红因甘肃地震不当言论被禁言30天你对这个处理结果满意吗？
1691321602# #TFBOYS十年之约演唱会这入场阵仗啧啧啧，兵马俑看了都怕…求饶求饶求饶你说等等各大平台会不会崩？
1697808491# #支持杨迪可以不喜爱但请别伤害任何事情都有两面性，其实大部分的狗伤人事件都是大型犬或者烈性犬，在小区居住，还是不要养大型犬或者烈性犬了，像杨迪一样，养个霹雳（中华田园犬）和布袋（…），可可爱爱就好，喜欢威猛的，就不要放出来吧
1703828350# #米粉期望小米汽车30万左右19.9不可能，29.9有可能，你说呢？
1696829411# #刘宪华演唱会舞台视角好帅呀打call打call打call
1702694709# #赵文卓这是在拍什么戏呀？怎么又来上了“大威天龙”了啊哈哈哈哈哈哈九门提督穿越了？笑哈哈笑哈哈笑哈哈。。看赵文卓罚学员既痛苦又好笑
1691201296# #《周深时光音乐会合集》下。1.好春光2.月光3.人是4.家后5.水姻缘6.大鱼。。（发了再说，随便删不删吧）。悦音星行动
1703395043# #理解…成为…超越…解清帅回应直播带货其实也正常，像大家说的“网红的尽头是带货”，在这个流量为王的时代，大部分网红都在带货，之前“挖呀挖”等等…不喜欢就划走，别看别买就是了。也希望他能像他说的那样，守住初心。
1703121008# #烟台大学冷流雪好美呀！一定很好玩，很浪漫吧，作为一个南方人，好想好想好想去体验一下这样的大雪天太开心太开心太开心
1697252112# #周也名门贵女《为有暗香来》（网友调侃《恶女重生自救指南》），听说很好看哦，刷漆？可爱可爱。（视频来源网络，侵删）
1691744932# #周深演唱会票价良心！但是抢票难！不知道后面的巡演好不好抢？思考祝大家都能抢到票可爱。《我爱他》2合唱版本欣赏。。1.周深许魏洲；2.许靖韵林欣彤。
1693389223# #霸道总裁鼻祖可不是盖的，当年王子变青蛙🔥的一塌糊涂…你看了几遍？袁弘恭喜明道女儿出生恭喜恭喜
1692412374# #央广网评长安三万里被批不符史实误导观众你说你虚构剧情可以，但是不要用名人啊，你说阿猫阿狗什么的怎么怎么都可以，既然用上了名人就必须遵从历史，不然就是误导小盆友思考思考
1695308677# #周杰伦-《轨迹》(2004无与伦比演唱会版)。。我会发着呆然后忘记你。接着紧紧闭上眼。想着那一天会有人代替。让我不再想念你。。悦音星行动
1703599232# #陈奕迅年末憋大招陈奕迅空城计好听！
1703742912# #小米汽车AreyouOK?雷总直播马上开始，你期待雷总讲什么？
1700630367# #王心凌《大眠》。郑州演唱会上的人鱼造型好美、好甜、好sexy太开心太开心太开心
1702393222# #周芷若一路走好这个新闻就像当时Coco李玟离开我们一样，都是那么的猝不及防，难以置信！唉…。她们是多少人童年的女神记忆，可也是这样的被无情带走了，我们的青春也是一样，好好珍惜眼前，好好生活，多感受一些美好！祝福大家都幸福美满！
1690953280# #不知道谁动了谁的蛋糕封神发声明抵制偷漏瞒报票房行为不过，现在的电影票房真的是很离谱，动不动就多少多少亿…好像在说大家都很有💰一样，不知道是不是真的…。话说，是不是应该趁热打铁，尽快放出来第二部第三部思考思考
1697811821# #李健演唱会赶上了最后的返场安可曲《贝加尔湖畔》，好听，好看，谦谦君子耶耶
1703830365# #12.29打铁，祝福各位老铁好运连连作揖作揖
1688870338# #韩国歌手李尚恩去世非粉，甚至都不怎么认识，但是，死者为大，就不要刻意去说些什么了。一路走好蜡烛蜡烛。找了一下，好多都是“狗腿舞”允悲允悲有一个《Someday》的现场，唱的不错，据说是她的成名曲？。娱乐圈圈看
1701086878# #白鹿尖叫之夜vlog🔥的不行，身边好多人都在追她的剧，新的看完看旧的打call打call
1704176273# #孟子义之前唱周传雄《冬天的秘密》、后面又唱薛之谦《演员》都好好笑偷笑偷笑。今天刷到她唱《盛夏的果实》，一句，唱的还不错，传说中的一首歌走天下笑哈哈笑哈哈
1690129412# #英国歌手在马来西亚亲吻男性遭禁演很难评，不好入眼，MatthewHealy一直是这尿性，居然还和霉霉谈过....啧
1697947389# #薛之谦在戚薇演唱会上的连线，也不忘搞笑嘻嘻嘻嘻嘻嘻说到“如果见到80岁的戚哥，你想跟她说什么？”…我想说的是你们都是天外来物，希望你们都好好的，唱跳到80岁耶耶
1703428108# #这些科技硬实力彰显中国底气点赞中国新突破，致敬每一位开拓者！高质量发展中国行2023年，中国科技领域真的是硕果累累，这是无数科技人的智慧、汗水与坚持！祝福祖国更加繁荣富强！作揖作揖
1703936728# #央行同意支付宝变更为无实际控制人。“无实际控制人”意味着支付宝没有一个单一的个体或组织能够控制它的决策，股权结构高度分散、没有控股股东或者控股股东持股比例较低，已经没有实际控制人或实际控制人身份难以判断。。这说明这种牵扯到全国大局性的事业项目，不能由个别人或小集体说了算，马云的退
1692450085# #周深演唱会给粉丝的信好温暖六公主能不能开直播，别一段一段发了嘻嘻嘻嘻
1698246794# #乌镇，好热闹啊，好多人都去了…乌镇男人帮还少了个小🐖吧，这就是命…还有pddpdd…
1702392501# #昨天还在说是y言，今天就…再见周芷若再刷起来
1696519245# #肖战许了个愿生日快乐，天天快乐！蛋糕蛋糕蛋糕
1695312652# #《你觉得我不懂网络？我说你根本不懂爱情》“她平常犯了错我都不会多说她几句，她凌晨1点闹肚子，我陪她到凌晨3点，我清理她的呕吐物，洗她沾血的经期内裤，我甚至舍不得让她为我花一分钱…”到底懂不懂爱不爱？哈哈哈哈
1702560463# #有点好奇，dy看见音乐节上张震岳的耳钉为什么被打码了…笑哈哈笑哈哈笑哈哈
1698413912# #动物世界没有点进来，justblue，点进来，…
1697073670# #2001年度十大劲歌金曲颁奖典礼，周杰伦《开不了口》力压王力宏《唯一》和刘德华《我的心只可容纳你》夺得最受欢迎国语歌曲奖金奖打call打call周杰伦开不了口2001年现场考古颁奖典礼和表演现场耶
1695877539# #拿了微博音乐盛典【年度音乐人】，马上赶飞机去成都做签售，一做就是张杰签售了10个小时宠粉活该敬业福都给你拿了偷笑偷笑偷笑期待新专辑吧打call打call
1697125784# #｜用一首歌说晚安｜戴佩妮－我对自己开了一枪｜。相当于其他翻唱，嘶吼那个个“那”，我更喜欢佩妮的原唱。。是不是有些日子听这首歌，听得撕心裂肺？没关系，痛过了，就好了…抱抱抱抱。悦音星行动
1691073365# #郁可唯唱一次长相思心疼一次小夭好听！好听！好听！
1697943529# #她怎么突然就美了“周冬雨和Lisa是换了一下造型师和化妆师团队吗？”哈哈哈哈哈哈周冬雨确实是变好看多了，有女人味了
1690899070# #邓紫棋夜的尽头在女足赛场播放邓紫棋曾经直播间说过，《夜的尽头》留到大场面才唱，现在给女足加油，也是大场面了吧，期待巡演大合唱耶耶
1699202166# #首先一点是不要轻易说分手，更加千万不要隔着屏幕说分手“如果爱，请深爱”“不爱了，就好聚好散”“分手应该体面，谁都不要说抱歉”“分手快乐，你可以找到更好的”…
1697041866# #高质量发展调研行向海而兴，向海图强！广西钦州，新中国第一条大运河｜西部陆海新通道的骨干工程｜平陆运河建设如火如荼。高质量发展中国行
1702386116# #在人间赵丽颖张一山有赵丽颖的剧，肯定是🔥🔥🔥剧跑不了…打call打call打call不管男主是谁偷笑偷笑偷笑是不是这样！
1690898077# #杨幂评论自己微博她还喊迪丽热巴巴偷笑偷笑偷笑人美心善，活该火🔥🔥🔥
1701356591# #确实是穷LV大秀get不到那个点，好几个看着都不正常笑cry笑cry笑cry
1695727931# #张杰谢娜丝婚照祝福，白头偕老，永远甜甜蜜蜜！鲜花鲜花
1703919204# #桂林粉丝包下市中心微笑堂大屏喊话董宇辉：请你吃桂林米粉！可爱可爱可爱
1692102623# #有💰一定要买前排看演唱会，视角太好了，霉霉女神身材真好！打call打call
1704208179# #特斯拉2023年交付量达181万辆不知道小米汽车今年能够生产出多少辆交付多少辆？笑哈哈笑哈哈
1691889293# #杨紫荒岛共度余生檀健次邓为选了谁选刘星偷笑偷笑
1703425152# #陈都灵跳舞学霸的自信多才多艺，之前的国风舞也是相当自信呀打call打call打call
1695037882# #前面砸手机，反手又是苹果客户端发微博，很难不让人怀疑是博关注呀，而且演员刘金拒绝展示iPhone购买记录只是叫关注允悲允悲允悲“不愧是演员?”
1696823547# #撒贝宁这首《再度重相逢》好听不？你给打几分啊？？打call打call打call
1691941241# #保时捷巡回示威结束表示这热搜看不懂啊！！！什么意思？洪知秀？又什么情况？谁来讲讲
1691943112# #张靓颖惊喜亮相薛之谦演唱会北京真的是赢麻了，张靓颖一首《画心》前后的海豚音都赚回大半了吧赞
1703160958# #寒冷中皮肤发红疼痛可能是冻伤天气好冷，在前线抗震救灾的解放军消防救援退役军人…等等，还有灾区人民保重好身体，你们辛苦了作揖作揖作揖
1703323451# #申请跟美女们一起过冬看看杨幂的冬季穿搭分享吧，像幂姐一样，走到哪都是耀眼的小太阳耶耶耶
1699188970# #张颂文老师好暖心呀！兄die，你就不要想不开了啊张颂文我的演唱会你不来吗说实话，张老师的《晚风心里吹》还是很不错的，至少超过97％网友笑哈哈笑哈哈
1690013671# #迪丽热巴在高铁上看书又是跑着赶高铁，又是给粉丝买水，上车了还在高铁上看书，姐姐好漂亮好疼粉好上进…抱一抱抱一抱
1692604558# #黄渤《学爸》电影里辅导孩子做作业，演示3遍喝牛奶，有没有演你？。网友辣评“喝不下，找王宝强来演，他能喝”允悲允悲允悲。改天带孩子一起去看看嘻嘻嘻嘻
1704417252# #iPhone16Pro渲染图曝光牙膏盖子没盖好吧！有什么区别呢？难道是过了一年长大了一点？？今天是不是又有一个rs苹果公司市值蒸发xx亿？
1694850673# #小岳岳碎碎念偷笑偷笑偷笑。应该再播放一下《五环之歌》的嘻嘻嘻嘻嘻嘻。可以再回去刷一遍了，有点搞笑哈哈哈哈哈哈
1692509514# #王泽鹏回应看看烂节目组这次出什么声明！“视频是恶意剪辑过的”“违约”“封杀”？…王泽鹏保护好自己！
1693930337# #“人生是一个知道终点的旅途…”“人生啊，永远都没有淘汰，只有转换舞台”张艺兴谈究竟什么算是成功不得不说，张艺兴算是成功的，也很醒悟看书看书
1703830000# #hi，你好呀，今天快乐吗？要开心哟，爱你老师爱你老师爱你老师爱你
1695826093# #YG新女团成员的Smoke舞蹈还没出道就开始热搜了呀，不过跳的还真不错
1697126410# #呸！刘大锤预告大爆剧女主恋情瓜呸！
1690218218# #冯提莫女孩子们一定不要精神内耗男孩子们也一定不要精神内耗求饶求饶
1697978530# #郁可唯的闹哄哄好治愈《闹哄哄》充满了生活的热情和欢乐，让人感到一种独特的温暖和喜悦。郁可唯的声音像春天的阳光，穿透寒冬，给人一种温暖明亮的感觉，让人听了就会感到心情愉悦，仿佛一切烦恼都在这一刻被抛到了脑后。
1694843046# #万芳经典老歌《新不了情》3男声翻唱Live版本欣赏。张学友丨萧敬腾丨张敬轩。。悦音星行动
1702962380# #伍佰的粉丝扳回一局做伍佰的粉丝很幸福！前奏一响，都是青春，今年的演唱会也是出了好多梗，让好多明星羡慕不已…最新RAP单曲《我要下班》，有点好听，也有些想笑偷笑偷笑偷笑。
1704085960# #阿那亚海上烟花台湾省的烟花也挺好看的，今年回归吧来来
