1693965133# #张艺谋这标题党写的真吓人，太无语了允悲
1696841257# #以色列军队去哪里了，这让全世界都在质疑到底出了什么问题？面对哈马斯，以色列军情为何会措手不及？这仅仅是一次情报失误吗？
1699431974# #孟羽童一年半广告收入或达400万一年能赚400万，又何必待在格力。年轻人都想着挣快钱，走捷径，不脚踏实地干实业，网红一时，品质一世，工业社会发展的基石，服务业是点缀。
1692747181# #女性是一个国家的风向标，当女性追求知识时，这个国家是进步的；当女性崇尚自由时，这个国家是文明的；当女性崇拜金钱时，这个国家是腐化的；当女性攀附权贵时，这个国家是堕落的。新星v计划
1688365294# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！今天平台“红包奖池”继续加码，新增不少大额现金红包，快来拼手速吧！
1700135022# #明学昌明珍珍明国平被逮捕雷霆出击！电诈头目明学昌明珍珍明国平被抓。。。据媒体报道，因实施网络诈骗、绑架、非法拘禁、敲诈勒索等犯罪活动，明学昌、明珍珍、明国平三名缅北电信诈骗犯罪集团重要头目在缅北果敢自治区被警方抓获！。。电信诈骗危害大，任何侵害中国人民利益的犯罪分子，都会受到法律审
1699577468# #历史影像斗志昂扬的四野军歌《咱们比比看》！不消灭敌人，不算英雄汉，打他个彻底的歼灭战！。。四野为中国的解放立下了汗马功劳goodgoodgood
1700089896# #现存最早的毛泽东雕像。。在新疆乌鲁木齐市西南隅的雅玛里克山上，伫立着一尊总高近6米的毛泽东塑像，它是国内现存最早的室外毛泽东塑像。。。在塑像基座的背面嵌有一块铜牌，上面用维汉两种文字概述了塑像的历史：1952年,为见证中苏友好,在苏联援建的新疆十月拖拉机厂内修建了这尊毛泽东塑像。2005年4月28
1698925179# #网传户外主播珠峰采摘天山雪莲近日，西藏日喀则。网传有户外主播“小枫有点浪”，在徒步珠峰东坡嘎玛沟朗玛拉垭口时，采摘了国二保护植物雪莲花，并发视频炫耀。。。11月2日，西藏自治区林业厅野生动植物和湿地资源管理处一名工作人员回应称，目前还没看到相关视频，天山雪莲是国家保护植物，如果确实
1694487691# #上海老视频：这段视频拍摄于1992年8月1日，地点是南市光启路一带市井里弄。视频中“光启熟食店”和“光启菜场”的招牌一闪而过。那时上海的市井里弄大多都是这样的，大人街边乘风凉、小孩露天做作业。老上海人，你还记得多少呢？历史上的浪花上海身边事
1700136719# #运动了！
1687089278# #半年减重60斤网红猝死很遗憾看到这个消息。减肥是一件非常重要的事情，但是需要注意方法和过程。过度的减肥可能会对身体造成很大的伤害，甚至会导致生命危险。减肥者需要通过科学的方法，合理的控制饮食和运动来减肥，同时也需要注意身体的反应和健康状况，及时调整减肥的方案。
1696992597# #美福特号航母已抵达地中海东部美国的阴谋真的不言而喻，世界只要有战乱就会有大量国家找美国购买武器，而美国也会趁机控制很多地区跟国家。
1695109096# #教育局回应幼儿园老师恐吓孩子假笑摆拍对于幼儿园的老师来说，具备爱心和耐心是最基本的，如果连这一点都做不到，很难相信会将孩子带好，从视频中来看，孩子并没有打闹，也没有不听老师的教导，在这种情况下都尚且被如此对待，可想而知，对于那些哭闹的孩子来说，他们又会‬遭遇怎样的对待，是被体罚
1702518163# #陈再道：风沙漫天进京汇报。。我记得，大约是三月下旬，院里树上的枝条已经长出了嫩绿的叶子。。。一天，我们军区党委成员开会，总结前一段的“支左”工作，分析当时的形势，研究“支左”工作中存在的问题，以便更好地指导运动健康发展。。。就在会议即将结束的时候，我们接到了去北京开会的通知。军委要我和
1697699284# #宁波沿海发现上海走失女童遗体看到这个消息，之前一直抱着希望孩子能平安，希望破灭，真的很心痛！四岁的娃娃，独自在海滩等着她的爸爸，等来的却是自己无助的被海浪卷走！就想问一句，天底下真的有这样粗心的父母吗？当时把孩子一个人留下，到底是怎么想的啊？亲爱的孩子，来世你一定要平安！幸福！
1701048754# #“四人帮”中有两个是叛徒。。“文革”时大抓“叛徒”，无数冤狱遍于国中。刘少奇被诬为“大叛徒”，薄一波等61人被诬为“叛徒集团”，瞿秋白也被掘坟揪出，诬为“叛徒”，连“无产阶级司令部”里的周恩来也因“伍豪事件”险被诬为叛徒。可谁又能想得到，当时正大红大紫、领导着大抓“叛徒”的陈伯达、江
1688262423# #1967年8月19日，陕西安康“六总司”组织数以千计的群众，手持棍棒、钢钎，彻夜围攻地委、专署两栋办公大楼，打伤干部百余人，砸毁了办公设施，抄了档案室，抢走了部分档案，并把打伤的干部押解到军分区向军方施压，未果，后被“红三司”六兵团将受伤的干部营救到农村，由此拉开了安康大规模武斗的序幕
1703123189# #林立果是怎么当上空军司令部办公室副主任兼作战部副部长的。。1969年10月初的一天，叶群约见吴法宪。。。叶群开门见山：“吴司令，找你来谈谈立果的事。”。。吴法宪一听，以为空军在林立果身上出了纰漏，忙问：“立果怎么了?”。。叶群摆摆手，示意他不急，然后说开来：“现在中苏边界的局势紧张，战备工作吃
1692075369# #精致穷在经济条件相对较差的人群中，尤其是刚工作的或学生群体，在追求高品质生活的同时，也需要面对经济支出有所限制，不然真的成了月中光了。
1687322843# #清末革命党人徐锡麟！
1694993658# #乐黛云：我们全家在“五七干校”。。1969年秋，军委的第一号令下达，北大二千余名教职员工一齐奔赴江西南昌百里开外的北大鲤鱼洲分校，走毛主席号召的光辉“五七”道路。鲤鱼洲是在鄱阳湖畔围湖造田而成的一大片沼泽地。由于钉螺丛生，血吸虫猖獗，农民早已遗弃了这片土地。我们到达时，只见一片荒凉。先
1700200162# #陈百强《偏偏喜欢你》视频背景，电影《秋天的童话》。。三十年了，周润发与钟楚红、陈百强与何超琼的这段爱情还都是那么刻骨铭心…歌声空灵飘渺，唱出多少的无奈和无助！华语乐坛神仙打架的2004年
1687659778# #昨天，小雨、中雨、大雨下了一整天，气压低，相当的闷热，齁丝。就如这段独角戏《黄梅天》。上海身边事
1701052685# #特斯拉连撞11车当天刚上牌这件事情中的特斯拉车辆，究竟是如何才造成的这起车祸，还不能听一面之词。目前相关方面正在积极调查取证，相信案件很快就会水落石出。。。对于驾驶员来说，要时刻保持清醒和警惕，避免在驾驶过程中出现不当操作或失误。特别是在使用自动驾驶或单踏板模式等高科技功能时，要明
1702616843# #孟羽童称当董事长秘书和具体业务脱节怎么感觉这样上热搜的方式就是双赢啊！孟羽童上热搜，格力也增加热度，不花钱的广告，大家都受益。
1695284558# #这就是做家长的辛酸之处，处处都在想着怎么让孩子好。也只能希望那些配餐公司，能有一点良知，给孩子们做一些健康营养的饭菜吧。
1697876945# #钟薛高在职员工称已两三月未发工资去年还雪糕刺客，今年怎么回事呢？看样子混的很差劲，怪不得2023年都没有听到钟薛高的消息了。这下难搞了允悲
1690604636# #7月28日，湖北宜昌，事故现场只见血迹不见人，听到群众描述后交警顿感不妙，男子被寻到后，崩溃大哭：“我本来都不想活了。”看了这一幕，让人心酸…，希望当地相关部门能救济一下。儿子坐离世父亲车哭得撕心裂肺
1690982447# #忙着，清醒做事，闲着，糊涂做人，活着，真的不需要太明白。。。清醒的人，看得太真切，太较真，于是烦恼遍地；而糊涂的人，不怕得失，却更能获得人生的大滋味。。。世界很大，个人很小，其实没有必要把一些事情看的那么重要；任何事，任何人，都会成为过去，不要跟它过不去。。。生活就是这样，他在逗你玩，
1687764933# #张雪峰专业推荐实用主义取向高考出成绩后填志愿、选高校，几个冷知识。。1、198所热门大学是如何分档次的？。第一档：顶流牛校12所。第二档：中坚12强。第三档：金刚18校。第四档：超高人气30所。第五档：报考热门30所。第六档：专业大牛30所。第七档：省内诸侯30所。第八档：地方精英30所。。2、985中最差的10
1687860589# #重庆一医院被曝盒饭中吃出老鼠头食品安全必须严肃处理。但是也要考虑一个情况，就是竞争对手恶意使坏！因为医院和学校食堂的承包，是一块香饽饽，争得人多！医院回应盒饭中吃出老鼠头
1702870811# #罪犯劳荣枝被执行死刑劳荣枝被执行死刑，是正义的伸张，是法律的威严，更是舆论的力量！而前段时间一帮讼棍网上为劳鼓噪呐喊，差点以为要被她翻案，现在尘埃落定，足以告慰死者了。
1700295342# #香港演员曹查理就为电诈头目庆生道歉73岁的曹查理作为涉案明星中唯一回应的人，他的诚恳态度和坦白回应相较于其他涉案明星而言，显得更加勇敢和负责。然而，这起事件仍然提醒广大明星，在参与此类活动时，务必谨慎了解背景，以免陷入争议。
1695011437# #多地教育部门回应预制菜进校园以前大女儿总说学校食堂做的饭菜不好吃，还埋怨；现在想想，难吃也比预制菜健康，好歹是师傅现做的。
1687988677# #下面这张照片中这个看起来慈眉善目的老人，就是中国近代史上颇具传奇色彩的抗日将领，他自称半个英雄，敢公然和日军叫板，将日军挂在树上练刺刀，他的部队不属于国共两党中的任何一方，如此另类的部队，必定有一个骨骼惊奇的指挥者，此人就是王劲哉。。。抗战爆发后，王劲哉被派到了汤恩伯麾下，但他在这
1694775641# #如何看待潭柘寺贴告示禁止佛媛道媛拍照从佛媛，医媛，道媛、病媛，再到今天的“外卖媛”，炒作各种媛的自媒体已经快速吸引了不少围观者吃货，也成功转为粉丝了，一个话题制造出来，都是满满的套路！
1702604183# #康国庆：67年保定大武斗。。1967年5月7日,中共中央作出《关于处理四川问题的决定》,点了成都军区司令、政委黄新亭、郭林祥的名，并改组了成都军区。指出:“成都军区个别负责人在支左工作中,犯了方向路线错误”,承认“成都工人革命造反兵团”和四川大学“八二六战斗团”是“革命群众组织”。在这份中
1703997102# #机场判官称在昆明机场被打机场判官称在昆明机场被打，警方：正在处理，大力打击拉客行为。。。机场拉客，有产业链，得罪了他们，难免不遭到报复。当地有关部门应该加大整治力度了。
1701259299# #彭老总逝世49周年！缅怀革命老前辈！
1687226067# #日本皇室百合子妃（高木百合子）迎100岁寿辰！。。百合子妃是昭和那一代里仅存的一位皇族成员。她的辈分比现在的上皇（日本的太上皇）明仁还要高一辈，算起来她是明仁的婶婶，现任德仁的叔奶奶。。。1941年10月22日，年仅18岁的高木百合子嫁入日本皇室。丈夫是昭和天皇最小的弟弟，26岁的崇仁亲王。崇仁亲
1690023500# #看似假新闻有时候越是真的。注意看啊，这不是帮个人找个国企工作岗位，而是指帮私企挂靠国企，搞诈骗。
1703724882# #大美北京！蓝天下粉色、白色的花卉和古建筑互相映衬，惹人喜爱。
1696214909# #“是辩护律师杀死了呼格吉勒图！”1996年，内蒙古18岁男孩因一场冤案被判死刑，当人们指责司法机关草菅人命时，另一个声音，则剑指男孩的辩护律师。。。故事发生在1996年的内蒙古呼和浩特，一桩虐杀案件吸引了全国人民的注意。。。案发地点在一间干厕，警方接到报案后，便立即赶到现场。最终，在经过调查后
1699409029# #德国纳粹最终是这样进入莫斯科的！涨姿势
1688170196# #马克龙提前回国法国警察射杀少年事件继续发酵，大规模骚乱几乎蔓延到法国各地。667人被捕，249名警察受伤，100多台车被烧，4万余名警察仍在参与抗暴行动。这次法国骚乱事件只能说是一个导火索，目的只有一个，要求马克龙下台，换成亲美人士。看样子，马克龙为了总统之位，又要老实一段时间了，欧盟
1697071744# #多年前，四川乐山一朋友给我讲了一段小故事，现在回想起来感觉有些心酸，也有些好笑。。。四川乐山有位叫刁友勋。刁友勋之父是民国时期乐山气象台台长，反右后因是国民党党员而被判劳役。刁友勋与母相依为命，因家境穷困，刁友勋小学毕业即不再升学。。。三年困难时期时适逢粮食关，家家陷入饥饿状态，友勋
1701941816# #女子产假结束前1天被通知离职这家公司这种行为极不负责任、且不道德，严重侵犯了员工的权益。女性在怀孕和分娩期间面临着巨大的身体和心理压力，需要得到充分的照顾和保障。若单位硬要辞退也可以，那就要依法进行赔偿。
1694253808# #996职场社畜日996是违背人性的，人性天生好逸恶劳，喜欢休息，不喜欢工作。如果加上通勤时间，996相当于把大半天的时间都奉献给了公司，其惨状堪比拉磨的驴。
1698621573# #胡福明的《实践是检验真理的唯一标准》。。1977年2月7日，有舆论提出“两个凡是”：“凡是毛主席作出的决策，我们都要坚决维护，凡是毛主席的指示，我们都始终不渝地遵循。”。。当刚刚从肉体折磨和精神禁锢中逃离的南京大学教师胡福明得知“两个凡是”的时候，着实吃了一惊。“这等于回到了‘文革’老路子
1704060712# #中国第一颗原子弹爆炸内情。。上世纪五六十年代的中国，无论是国力、工业基础、科技水平，都搞不起、也搞不成原子弹，中国的领导人凭什么敢决策？科学家们怎么就敢干？中国的原子弹留给了世界太多的悬念，太多的不解之谜。。。1964年10月16日下午3时，中国第一颗原子弹爆炸成功后，相隔了整整7个小时，才于
1698384534# #拜登下令对叙利亚境内发动空袭据以色列《国土报》报道，美国国防部称美国军方周四（26日）对伊朗伊斯兰革命卫队及其支持组织在叙利亚东部的两处设施进行了打击，以回应驻伊拉克和叙利亚美军近来遭到的一系列袭击。。。美国人跑人家地盘上驻军，还说人家打你允悲美国是作恶多端，唯恐天下不乱。
1693656568# #何为自由？大道至简，繁在人心。。。物质上面的减法不是真正目的，沉淀心灵、获得精神层面的升华才是真正的智者。。。就如“斯是陋室，惟吾德馨”。。。如果我们的心灵没有对物质享受的极度渴望，也就少了人性的烦躁与复杂，恢复了自我本真，得到快乐，既简单又自由。人生感悟生活
1696076187# #海产姐妹女双淘汰马林何为无语，坐在下面一直摇头，做为一个教练都这么表现，这种行为只会给场上运动员增加无形的压力。你一个教练员都不信任自己的运动员，那她们还怎么打这场比赛，马林应该好好反省！女双
1694226260# #有没有不上班但饿不死的方法啃老
1701387932# #邓小平语境中的“左”。。1992年，邓小平南行时，多次谈到了“左”的危害。例如，他说：“现在，有右的东西影响我们，也有‘左’的东西影响我们，但根深蒂固的还是‘左’的危害。……‘左’的东西在我们党的历史上可怕呀！一个好好的东西，一下子被他搞掉了。右可以葬送社会主义，‘左’也可以葬送社会主
1703832054# #顾客摸草莓不买遭商家泼水不能摸可以理解，但为什么要泼热水？戾气太重，骂人能理解，泼热水就没理了允悲
1696765767# #哈马斯一领导人被以军定点清除这次应该是巴勒斯坦哈马斯武装有史以来给以色列造成最为沉重的打击。不过，哈马斯受到的打击要比以色列更加惨烈。国际社会应及时介入阻止时态发展，毕竟双方老百姓最无辜。
1701651322# #民国文人的麻将趣事。。麻将是国人自创的休闲游戏，它不仅深受市井百姓青睐，就是民国大师，也乐此不疲。他们与麻将的不解之缘，留下了许多趣闻轶事。。。梁启超是麻将的超级爱好者，并有一言：“只有读书可以忘记打牌，只有打牌可以忘记读书。”1919年，梁启超从欧洲回国，有一次几个知识界的朋友约他某天
1692676236# #昆明一窨井里发现两具年轻男尸之前有自媒体说昆明有过人员失踪，是否和这次发现的年龄相仿，应该进行鉴别是否有联系。
1703312328# #这孩子看上去也就三四岁，双亲就这样走了，一声妈妈让人泪目！
1695977101# #在祖国边境有一群新疆戍边花木兰戍守边境的女巡边员！退伍不不退边！骄傲荣光！戍边忠国！向她们敬礼！
1698968693# #1945年6月日本秋田花冈町战俘营暴动。。1944年5月，时任上尉连长的耿谆，正在惨烈的洛阳战役中拼死守卫阵地。在敌人猛烈的炮火下，据点被日军攻破，耿谆身受重伤，沦为日军俘虏。与耿谆同时被抓走的，还有共产党的部分抗日将士。华北是抗战的主战场，也是日军侵华的重灾区，在弹尽粮绝之后不幸被俘的中国
1690718511# #生活原本如此美好，看淡了，是是非非也就无所谓了；放下了，成败得失也就那么回事了。人生感悟
1700743461# #逃学企鹅背着小书包营业了背着红色书包的企鹅被戏称为逃学企鹅，与众不同。我很好奇它的书包里装了什么？
1688522787# #学生恶意篡改同学高考志愿被行拘志愿被篡改的同学，可能会失去未来所向往的大学，还会被迫去一个自己并不喜欢的地方读书，这对他的未来发展是一次极大的折磨。而篡改志愿的同学，自己得到的只是一时的快感，却会带给别人一生的影响。。。所以，对这种损人不利己的行为，应该坚决予以打击，并且从法律上
1695527853# #比预制菜更可恨的是承包学校食堂的关系户外包，自己省事、省心，还可以捞点好处费。其实监管也不难，只需做成透明食堂，全天24小时监控家长随时随地可查看就行了，安监控很贵吗？贵的可能是公开吧！
1702286200# #郑州降雪大学生合力堆1.9米高雪人众人拾柴火焰高，团结就是力量。大家齐心协力，才能堆出一米九高的雪人，真的是太有成就感了！
1690457311# #大运会开幕式盲盒颜值太高了大运会盲盒大家都收到了吗？我怎么没有呢？可能我不是成都人吧允悲
1692921295# #1965年蒋介石“反攻大陆”始末。　　。1961年4月1日，蒋介石下手令，成立一个名为“国光作业室”的新单位，指派“国防部作战次长室执行官”朱元琮担任主任，并调派三十余名来自陆海空军各个兵种的将校级军官，即刻进驻位于台北郊区三峡镇大埔，一处原定作为“行政院战时疏散办公室”的营区里。。　　。“国
1694410805# #这哪是直播卖货挑精品啊，这明明就是一家人出来割打工人的韭菜。
1693662184# #9月1日，某地。残疾退伍军人凭残疾退伍军人证在窗口购买优惠票，上车却被要求补票，承包车主：“要不就下车，我有权利不拉。”。。军人保家卫国，这是他们应得的福利。这个女的一点觉悟都没有。致敬中国军人
1688165807# #1936年10月，中国工农红军西路军西征，当时红军之所以想要西征，主要就是打通河西走廊，得到苏联的直接援助。而红军要完成这个战略步骤，就势必要与马家军打个照面。而马家军是一支由家族传统连接在一起的军队，他们有家族传统和宗教的一些信仰，所以，凝聚力是比较高的。。。虽然马家军的武器并不怎么样
1693967033# #女主播户外涉黄直播当场被抓底线一定要有，不为了自己，也得为了大环境，大环境完了，谁都好不了，严厉打击，还民众一个纯洁、阳光的社会风气！
1703249129# #喜欢一段话：“想要拥有骏马，不用去追它，而是用追马的时间种草。待来年绿草如茵时，自有骏马等着你挑选。”。。人这辈子，所谓幸福，是行进在实现梦想的旅途中。一直仰仗他人的光，只会活在阴影下。所以，我们得坚持做自己的太阳，独立、自信、热情、勇敢。。。永远热爱当下，期待未来。生活涨姿势
1692230881# #黄慧南：战犯父亲回家了，母亲意外去世。。1975年3月21日，来自沈阳的12次特快列车停靠在了北京站。我父亲黄维回到了阔别7年的北京，与他同车抵达的是第七批、也是最后一批特赦的293名战犯。。。作为这次特赦战犯的第一名，黄维代表293名战犯，给中共中央和毛主席写了一封感谢信，并在3月23日招待宴席上宣
1691902440# #山东潍坊高密一大街发生爆炸风险分级管控，隐患排查治理工作希望落到的实处，不要只搞形式主义。山东一大街发生爆炸有人受伤
1702949306# #向遇难同胞致哀蜡烛蜡烛蜡烛愿受伤同胞早日康复🙏🙏🙏
1702362295# #这是什么混蛋逻辑，“文革是思想文化领域的解放战争，既然是战争自然就有死伤，有牺牲”，这话是你说的，什么是思想？什么是战争分得清楚吗？思想是教育，战争是杀戮
1694661936# #项立刚为什么坚决反对台积电在中国大陆“扩厂”？专家就是专家，眼光独到！过时的芯片产业最好不要过来！华为MateX5全面开售
1693816524# #缅北就是是人间地狱，是高薪诱惑下的阎罗殿。一旦误入其中能逃出来的寥寥无几，用一句确切的话就是生死大逃亡，生死一瞬间。
1696140388# #盘点这些年忽悠我们的八个食品安全谣言食品安全一直备受关注，然而，随着社交媒体的兴起，越来越多的食品安全谣言在互联网上传播。有些人因此感到焦虑和恐慌，但我们需要明智地看待这些谣言。
1690880269# #河北强降雨致9人遇难6人失联中国的下水道工程、海绵城市的绿化硬化设计及其科学的比例规划与建设工程要采取终生负责制，全国的水网、水库建设与利用、管理也要跟上。
1700025407# #如果这些人在被骗至缅北期间，参与了电信网络诈骗犯罪集团的犯罪活动，或者对犯罪集团的犯罪行为提供了帮助、支持等，那么他们也可能会被视为共同犯罪嫌疑人，面临相应的刑事处罚。
1694479871# #广西玉林多起山体滑坡已致7人遇难强降雨易引发山洪、山体滑坡、泥石流等地质灾害。强降雨来临，人人要主意安防措施，切不可麻痹大意。
1692831140# #粉碎“四人帮”的重要参与者吴德在晚年讲述了解决“四人帮”方式选择的经过。。。9月26日或27日的晚上，华国锋约李先念和我谈话，交换对解决“四人帮”问题的意见。。。华国锋说：现在看来，我们同“四人帮”的斗争，已经不可避免，这场斗争关系到党和国家的命运；如果“四人帮”篡党夺权的阴谋得逞，就会
1691566479# #有药企一口气送4辆奔驰SUV给医院医疗系统性腐败，这个绝对是制度问题！在经济环境这么差情况下，改革刻不容缓！否则危害到社会的和谐安全！这场反腐行动不会止于150多人被查
1689762663# #北京广告协会删除对蔡某某的风险把控提示这个风险提示的措辞有水平，全国人民都知道那位男歌手是谁，偏偏不直呼其名，而是以蔡某某代之，既把事情说明白了，又规避掉所有风险，万一（也可能是十万一或百万一）事情出现反转不至于引来麻烦，堪称教科书式的风险提示。
1700975256# #蓝乐团《AllRise》很有节奏感的一首歌，有没有很熟悉的感觉？。。九十年代中大学时代这歌那叫一个火呀！话说九十年代真的是超级喜欢backstreetboys.Westlife.Boyzone等男团。易烊千玺4%vol的河
1701135516# #1929年6月，北京的一所古老学府，司徒雷登正在主持一场简单而又别致的婚礼。29岁的冰心和28岁的吴文藻，这两位燕京大学的精英，在这所古老的学府里走到了一起，开始了他们一生的旅程。。。他们的故事，就像他们的婚礼一样，简单而又纯粹。在前往美国的邮轮上，他们相遇、相识，然后相爱。他们的爱情没有
1692156530# #历史纪录片：1964年全军群众练兵运动。毛泽东主席等领导参加检阅解放军和民兵演练。历史上的浪花亿点曝光计划
1697325150# #康生临死前为何要揭发江青和张春桥。。在“文革”中，有一些人与事却依然耐人寻味。康生在“文革”后期揭发江青和张春桥是叛徒一事，就是其中一件。对于康生此举的动机有不同说法：有说这是他惯于投机的本性使然；有说这是他“迫害狂”的本能反应；粉碎“四人帮”之初，有人甚至公开宣称，这是康生同“四
1701752737# #美国白宫发言人柯比称以军为保护平民“发布疏散地图，没多少军队会这么做”，联合国质问：加沙断电断网如何访问地图？巴以冲突美国
1687994061# #私拆女儿档案的母亲道歉这种事怎么说呢，或许有人会说，我也打开过，偷看过，篡改过了，再悄悄地封上，行不行？不行！首先你无法保证袋子能够复原，其次，密封签必破，就算你找来新的密封签贴上，印章怎么办？如果密封签破损，就表示已被拆开过，也就意味着可能被篡改过了，那档案就失去了真实性。
1702256322# #民国“至人”梅贻琦。。如果按先哲庄子将人的境界分为庶人、贤人、圣人、至人，那么，梅贻琦堪称“至人”。。。梅贻琦曾在日记中表示：“余对政治无深研究，于共产主义亦无大认识。对于校局，则以为应追随蔡元培先生兼容并包之态度，以克尽学术自由之使命。”。。1937年抗战开始，国民政府将南开、清华和北大
1703476539# #同居生2孩7年后男方诉返还彩礼不能与法肓讲道理，结婚礼都办了，孩子生了。婚姻法规定五年以上同居就是事实婚姻，无论那一方闹离婚家产各半。
1692343251# #视觉中国称支持戴建峰报警有可能是那些看热闹不嫌事大的人在故意拱火，想进一步激化矛盾而反串的。既然戴建峰已报警了，那就让警方去调查处理吧，我们就看个结果。
1700994842# #张文宏谈呼吸道疾病叠加感染问题！难道说呼吸道疾病叠加感染是否意味着情况加重？
1703128458# #猫咪为了蹭热乎躺进小狗堆小奶猫大战纸尿裤，铲屎官该不该去拉架？该偏向谁？
1701925955# #云南导游建议游客为烈士买菊花一朵菊花，献给烈士，既表达对英雄的追思，也净化了自己的心灵。同时，也会更加珍惜今天来自不易的生活。
1688475961# #东京一店长闻到煤气味后点了根烟是不是在日本，煤气泄露了该如何处理，得先抽支烟冷静一下！这个日本人的智商到底是什么水平……
1702540799# #董宇辉不方便回应东方甄选二选一董宇辉现在已不仅仅属于东方甄选了，希望老俞能合适的处理好董宇辉和公司的关系，不让大家失望。至于那位孙先生，奉劝他还是先修行好自己，问问自己真的是大公无私呢？
1699861159# #墨西哥性侵犯遭黑帮私刑被狗吃掉生殖器维护女性的权益和保护她们免受侵犯是当今社会亟待解决的问题。只有通过严厉的惩罚，才能够起到震慑潜在罪犯的作用，让他们明白犯罪行为将带来无法承受的后果，从而有效地遏制犯罪行为，真正保护女性的安全。
1703384302# #长津湖战役胜利。。有日本学者说：抗美援朝战争从表面上看是中国人赢了，其实是大输特输！实际上是美国出于人道主义不打了，中国依靠人海战术，死伤太大了，所以美国签了停战协议。金一南听后意味深长地说道：“你们那个算法不对，账不是这样算的。。。在一次座谈会上，有日本学者直言不讳的说出了开头的
1693299062# #中纪委再公布5名内鬼外敌可防，内鬼是防不胜防，作为纪检监督部门工作人员，未能切实履行工作职责，未能守住思想红线，未能做到严格遵守党纪法规，理当从重处理！
1690688781# #莫斯科空域暂时禁飞据塔斯社30日报道，莫斯科国际商业中心IQ-quarter一栋50层建筑发生爆炸。消息人士称，5至6层的玻璃被炸裂，但爆炸没有引发火灾，也无人员伤亡。。。俄乌双方都不是省油的灯，杀红眼了，美国推波助澜功不可没。俄乌局势
1693313691# #有人问：“怎么接受和以前的朋友关系疏远的事实？”。。有人回答：“人和人的相处，本质上是互相筛选的过程。日渐疏远，说明你们已经不再匹配，默默离开就是最好的告别。”。。在人生这趟列车上，有人上车，自然也会有人离开。。。一站有一站的相遇，一岁有一岁的风景。人生感悟生活
1694690009# #原“文革小组”成员关锋被释放出狱后的生活。
1695637332# #外交部回应美国政府持续监控华为美国真的是不要脸面，一贯贼喊捉贼！
1695562225# #剪辫子！
1701135158# #1952年1月5日，中国军事顾问团团长罗贵波向胡志明等越南领导人转达了毛泽东等中国领导人对于亚洲战略态势的看法：。。毛泽东主席认为，越南战场要靠越南劳动党领导的军队来打，如果美军敢于开入越南，如果越南人民有要求，或法、美等敢于冒险侵犯中国领土，中国就有可能出志愿军进入越南协助越南人民作战
1703153721# #一韩国籍船舶在长江常熟段起火爆燃今日，长江常熟段一韩籍船舶爆燃！经过紧张救援，火灾于下午5时许被扑灭。22名遇险船员全部被成功救出，其中1人受轻伤，并未发生任何泄漏或污染的次生事故。目前，事故原因尚在调查中。苏通大桥
1693314866# #奖励初婚女性1000元能提升生育率吗这1000块奖励能干多大的事呢，能解决入托，幼儿园，上小学至大学吗？哪怕就给女性公平的职场环境，都比这1000块管用。其实对于不想结婚害怕结婚顾虑结婚的，这1000块真派不上用场。或许只能表明了一种鼓励组成家庭的态度。
1695895066# #扣1复活柯洁柯洁银牌这应该不算爆冷吧，能连赢朴申的人，赢柯洁不是很正常的么，许皓鋐赢在实力，绝非爆冷。
1696815614# #巴以新一轮冲突已致近千人死亡据《以色列时报》8日下午报道，冲突已致600多名以色列人死亡。据以色列医疗部门当日下午统计数据，受伤的以色列人已超过2000名。巴勒斯坦加沙地带卫生部门8日发表声明说，以军袭击加沙地带已造成370人死亡、2200人受伤。。。巴以问题缺乏政治，解决前景和当前局势恶化是危
1690257689# #真没必要这样，中了垃圾摊主的激将了允悲
1693439002# #1967年8月，张春桥亲自审批了“以枪杆子保卫笔杆子革命”，成立上海“文攻武卫”指挥部的报告，从而建立起直接受其控制的武装力量。1975年9月，王洪文在接见上海民兵指挥部领导小组全体成员时，以“城市民兵创始人”自居，妄图控制上海民兵，建立“第二武装”，把上海民兵变成他们篡党夺权的工具。他说
1696916777# #中国海警局就菲律宾非法侵闯黄岩岛发声菲律宾感觉你对他没啥招，他就今天这个明天那个，天天和你找事儿。所以，必须要拿出办法来。
1691635989# #台湾地区台中市市长卢秀燕和“中天电视台”知名主持人卢秀芳俩姐妹是志愿军后代。。。姐妹俩始终秉承维护祖国统一，为台当局所不容。。。姐妹俩的父亲卢会亭是山东省诸城人，1947年，“王老虎”王必成的华东野战军第六纵队曾经在山东诸城驻扎过很长一段时间，卢会亭就是在这一时期参军入伍的。先后参加过山
1701217385# #《毛选》究竟是谁写的。。十多年前，网上曾流传一篇署名罗冰的《〈毛泽东选集〉真相》文章，称：“《毛泽东选集》一至四卷的一百六十余篇文章中，由毛泽东执笔起草的只有十二篇，经毛泽东修改的共有十三篇，其余诸篇全是由中央其他领导成员，或中央办公厅以及毛泽东的秘书等人起草的。”虽是满纸荒唐言，
1689809481# #1979年1月27日，王光美在儿子刘源和万里之子万仲翔、万伯翱的搀扶下，出席在人民大会堂举行的春节联欢会。。。这也是王光美时隔12年后第一次公开露面。。。当王光美刚一露面，就有很多人认出了她，走过来同她握手、拥抱，后来，人群越聚越多，把她围了起来，有的拉着她的手失声痛哭，有的向她鼓掌致敬。。。
