1699253342# #天津助学金当事人不认可调查结果这学生会不会因此被开除了并不简单
1701830442# #庆余年第二季已经破840万了，路人盘真的大，破1000万，指日可待！
1700587475# #我至今都搞不明白，为什么努力的人，会被嘲笑，张艺兴是归国四子里，目前各项数据，都是最能打的，还被各种阴阳！
1700565875# #国足首发小西巴还挺狂，赛前孙兴慜放话，要让中国队喘不过气来！
1694950357# #生活果然需要一些意想不到生活再难，也有努力活着！这是什么病？
1698411217# #外交部回应中国飞行员在南海拦截美军机看哭了，2016年，当我们还在聊着八卦，看着花千骨的时候，中国几乎把全部海军调到南海与美军的两艘航母对峙，军人们以命相博保护国家，甚至都写好了遗书！那有什么岁月静好，只是有人帮我们负重前行！
1703476702# #南方人去北方被一眼认出小孩哥做雪球哄大学生允悲
1690453706# #国外很贵但国内却便宜的东西首当其冲，就是西瓜，韩国网友看了这个视频，都破防了！
1702781677# #董宇辉若想创业俞敏洪愿意投资网友说，董宇辉中了俞敏洪的阳谋“三仙问鼎局”，进退两难！
1690899973# #致敬那些暴雨中的逆行者你们快说啊，台风天，你们也上班！
1690722078# #台风卡努家里住在一楼的我！
1696336117# #全红婵7个10分现场看得我热血沸腾，太强了泪
1690767488# #台风吹来的遍地生蚝能不能吃来自超市的投喂，我捞红牛，捞酒，捞香烟笑cry洪水中飘来一个大冰箱市民自取清空
1695020966# #演员刘金苹果店前怒摔iPhone据说这张图，让所有拿iPhone的人破防！
1692280056# #李玟生前控诉中国好声音录音曝光李玟控诉好声音，写下了一首藏头诗！中国好声音中国好声音声明
1702708352# #眉笔蛋黄酥前有李佳琦骂我买不起眉笔，想想自己有没有好好努力，后有天权骂我穷，买不起蛋黄酥，只有董宇辉告诉我们，你要已金子的态度去度过一生！
1702995790# #冰雪大世界我的天呐好丢人，去迪士尼也喊退票啊！
1702604235# #董宇辉台前幕后面子里子老罗说过，业务做不好的，都当上了领导！
1701690210# #林俊杰下次请不要来我的演唱会按照王心凌的性格，我觉得她不会破防并不简单来是come去是go！
1688907720# #警方回应郑州一男子悬赏千万寻狗狗子：终究是我扛下了所有
1702425777# #1937年12月13日我们不能忘不敢忘南京大屠杀幸存者讲述一家人，被日本士兵杀害，连刚满月的小孩，也都不放过！
1697603789# #这大熊猫怎么猴里猴气的这熊猫真的行，非要拦下我，给我表演一段摇树！
1699276723# #这场面南方人表示震惊全国就剩广东在发癫是吧，大家都穿大棉袄，就广东还穿短袖开空调允悲
1691374971# #易烊千玺夹得嗓子都冒烟了不管你腕多大，都得夹着唱笑cry
1695891495# #日本第二轮核污染水排海将从10月5日开始同样是核污染处理，一个赌上了民族的命运，一个拿全球人不当命！
1690008606# #这是什么原理，煤气爆炸，人在里面，竟然没事！傻眼
1688927951# #郑州狗主悬赏1000万人民币寻狗网传郑州有人悬赏一千万寻狗，知情者：情况属实！半天时间狗就已找到，只给了五千，系主人寻狗心切，一千万为噱头。悬赏1000万找的狗找到了
1703491147# #小猫滚到哪里就在哪里睡觉小哥哥接住了三楼掉下来的小猫咪，会心一笑！泪
1690726337# #消防员真的是高危职业，房屋倒塌得太突然了！
1699871519# #加沙居民带刚出生几个小时婴儿逃亡儿童都饿到啃食树草了！真的是人间地狱！
1700320706# #这视频在国外火了！允悲
1702703172# #东方甄选任免通知没盖章现在才看懂董宇辉的个性签名：勿意，勿必，勿固，勿我！他被打压，却从始至终，都没有说东方甄选的一句不是泪
1688995600# #果然青蛙人从来没让我失望过。亲戚：怎么不见新郎和新娘。双方父母：那俩台上乱蹦赖蛤蟆就是笑cry
1698971255# #巴以冲突升级瑞典与以色列，妥妥的现代版农夫与蛇！
1689507814# #走路虎头虎脑的小猫咪十斤的猫，九斤的反骨！笑cry
1700830805# #吴亦凡要先在中国坐完牢再被驱逐出境5G就是快啊，13年这么快就出来了！
1690851712# #庆祝解放军建军96周年梦回吹角连营，你们是中国的脊梁！建军节
1700095532# #中国终将统一也必然统一来听听教授们，对于祖国的自信！今天没有人和一个国家，敢在军事上和我们较量赞
1691676199# #紧急下达15.05亿元水利救灾资金网友拍的vlog，洪水退去，到处都是淤泥，猫被冲不见了，家里又多冲来了一只狗，墙体到处是裂痕，远比你们想象的严重！
1695392476# #iPhone15怎么充电黄牛都亏麻了允悲摆地摊卖苹果15系列了！
1700580828# #国足0比3不敌韩国比赛可以输，但你们当汉奸，是什么意思！
1696128370# #国庆节快乐。生在红旗下，长在春风里。人民有信仰，国家有力量。目光所至皆为华夏。五星闪耀皆为信仰。愿山河无恙，繁荣昌盛。中华人民共和国万岁
1698111428# #以色列网红嘲讽遭轰炸的巴勒斯坦平民被批以色列网友喷中国遍地假货，网友回怼，你们以色列的护照，在一些国家，他们都不认可！
1690537293# #杜苏芮已造成福建72.46万余人受灾这雨，是想要我命的吧允悲
1689574872# #深圳已做好停工停课准备外卖都送不了了！深圳台风
1693233852# #大量日本骚扰电话打进我驻日使领馆我说最近怎么那么多人替小日子的核污染洗白，原来都收了不少钱啊，10万的播放量/阅读量，就能给到400美刀，这期间洗白，阅读量播放量，肯定是不少，就问你们，良心不痛吗，拿这些钱！
1701710675# #上海文旅局正鉴定五月天演唱会原始音视频唱得很轻松，不像是假唱并不简单
1697366936# #美国公民及直系亲属将撤离以色列那些高喊人权的人，请问以色列轰炸加沙，巴勒斯坦的人权在哪里？
1689850918# #一句话让外卖小哥愧疚一辈子兄弟们，黄军进村了！
1687581570# #女生高考712分查完分就睡了2021年高考主角，今天看，依然还是！
1700903093# #二字已婚影帝二字已婚影帝：邓超，刘烨，黄渤，夏雨，张译，孙淳，吴刚，冯巩，葛优，姜文，吴京，黎明，徐峥，邱泽，成龙……一时想不到更多了
1692233556# #西安一大学生失联疑被骗至缅甸主播胡七刀星夜兼程，解救被诈骗到缅北的女孩！
1697675722# #四川被狗咬伤女童家属已筹得200万元5个小时18分钟，就已经筹齐200万了，但评论区，许多网友表示，我是一毛钱也不会出！
1702188816# #马拉松还得看广州，包租婆都出来了笑cry
1696337568# #全红婵跳水看呆了外国网友解锁全红婵赛事前花式热身笑cry
1690292817# #成都暴雨雨很大吗？差点人没了允悲
1702650652# #东方甄选粉丝跌破3000万一天就掉37万并不简单双赢不好吗？非要搞职场对立
1700042487# #金星我们园区快递小哥也叫自如质疑自如、理解自如、成为自如！
1698076415# #Lisa最新ins自拍怎么说呢？感觉就很普并不简单
1698679252# #是周星驰吗，不确定，再看看，哇，是皇上皇！
1696164374# #原生家庭是他们能给你的全部了很多人觉得过得不好，都是原生家庭的影响，我只想说，你这人，真的太自私了，什么叫做原生家庭的影响，你是少胳膊少条腿了，还是脑子不灵光了，这些你可以说影响到了你的人生！竟然你都知道原生家庭的问题了，那么，你就慢慢把这些问题，一点点解决掉，把自己身上的一些
1702988012# #一个迪丽热巴，一个赵今麦，听说化妆师是同一个人，在圈里混不下去了吧！
1700183797# #缅甸很多人怕回来，是做了什么亏心的事了吗？
1701679583# #林俊杰下次请不要来我的演唱会这么说，突然觉得被玩了5年梗的坤，比他大气多了！
1695637988# #华为发布会来看看华为发布会产品的价格，华为电子劳力士21999远允悲黄牛一炒，不得三万起步！
1704024072# #张杰以一己之力单挑各大卫视跨年晚会赞
1702695978# #主播失言致东方甄选停播看完我血压飙升，这不妥妥欺负老实人吗？上班要替领导着想，领导不接受，还要想法子欺负你！
1688294017# #正式被确诊为懒羊羊懒羊羊摆烂文学……
1691474993# #女子去看《孤注一掷》电影，看到一半说未授权！。网友：看防诈骗电影，反被诈骗了允悲孤注一掷
1694741973# #211女硕士遭杀猪盘两周被骗138万成龙大哥这段话，放在今天，会被很多人骂，但不也印证了，现代年轻人，只追求利益物质，却不重感情！
1699882461# #1020事件难道明星也被诈骗了吗？给四大家族的人庆生！
1699682554# #网红于文亮直播喊话一起圈钱王彦霖给怪哥刷了3个嘉年华，然后就跑了，我真的哭死了！
1692113502# #打赢就坐牢，打输就住院，给我点面子，别打了！广州
1704026064# #不良人何在！画江湖之不良人
1687769743# #全国各地高考分数线均已公布3年了，他的成绩，放在放在今天，依然震惊！
1700552674# #白敬亭工作室辟谣2023内娱第一爆笑事件！造谣：白敬亭嫖娼被抓真相：《正当防卫》剧组在北仑宾馆拍摄杀人戏份犯罪嫌疑人李沐风（白敬亭饰演角色）被带走了。笑的想死笑cry笑cry笑cry
1698071441# #长得像玩具的小狗一群小狗拦路，按了几分钟也不走，几分钟后发生严重塌方！
1697272255# #美国要求以色列推迟地面进攻网友分享：中国与以色列外交关系冷知识！以吹都是50w吧
1694741792# #嘉顿国货真的就是主打一个根正苗红，嘉顿连续干了7天7夜，干了9万公斤抗日小饼干，我直接敬礼抱一抱！
1687013900# #梦中的那片海收视率从开播的市场占有率的11.46%，再到今天的21%，断层第一，是真的nb！
1691127082# #救援队懂了她的不忍开口二师兄已经游了一上午了，还没有去救它允悲
1691765075# #再紧急预拨14.6亿元支持京津冀黑吉救灾洪水区的猪，10天不进食，都饿出了马甲线了！
1694704505# #外卖小哥凌晨冒雨送外卖喊话李佳琦突然觉得，月薪3000的我，都没有花西子贵，我一克等于0.00006花西币泪
1692884662# #中方暂停进口日本水产品是完全必要的国学大师曾老预言日本排核污染后果，让我们一起期待预言成真吧打call
1697636389# #巴总统宣布全国哀悼三天谁是人类公敌，一目了然，真的是一家三口+🐶！巴以冲突已致双方超4900人死亡
1700565906# #大熊猫有新的计数单位了当熊猫黑白颠倒，它还能成为国宝吗？
1689565522# #台风很刺激，已经悄悄的来了！大家注意安全
1703923574# #年终奖老板发了三千万我们领导发了4千万doge这饼画得！
1688392734# #蔡徐坤报案回执还是网友神预言，完完全全被猜对了，用假瓜混淆真瓜，然后前排粉丝一洗，过一阵子，人们一忘记，依然混得风生水起！赞赞赞
1694738722# #当新来的游客认不出花花来看看顶流三角饭团子花花了哇
1701832370# #举报五月天博主称没有收钱说假话网友都帮五月天支好招了，你看行吗？
1699566870# #美香一家抵达成都跟丫丫一样，头也不回的走了！
1694909909# #蜂花卖断货后帮没蹭上商战的国货宣传鸿星尔克让所有的国货，走上了秀场，格局直接拉满！
1690112192# #TFBOYS演唱会售票简介TFBOYS演唱会的门票，前排一张就要18万，第十排要5万，有小姐妹已经打了50万定金，买了三个位置，他们的粉丝，怎么这么有钱傻眼
1704023925# #跨年跟繁花的宝总干一杯🍻！胡歌繁花
1702714794# #董宇辉回应何时回归直播间其实对于今天的结果，早已有了苗头，每一位去甄选直播间的名人，易中天、倪萍、樊登等，都曾旁敲侧击俞敏洪，要好好对待董宇辉！
1698972544# #缅甸爽文小说都不敢这么写，你说森山老林捡到95式、88狙、81杠、40火说山里捡的，我信。可你手里拿着华为mate60pro白色版本的，我都抢两个月还没抢到。难道也是树上结的？最不能忍的是捡装备就捡装备了？你还能捡到个政委。
1702737242# #俞敏洪称董宇辉随时可以离开以董宇辉的性格，大概率会在东方甄选恢复正常运作后，默默离开留下暗自神伤的背影！
1698662419# #万圣节cos马杨给上海一个万圣节，就能收到全明星的律师函666666666这英回应cos那英
1697271997# #超40万巴勒斯坦人离开加沙的家园按照以色列人的想法，整个地球，都是我国的，咱们的山海经，记录了地球的一切，咱还开天辟地，四舍五入，宇宙也是我们的！doge
1700579696# #巴宝莉赚不到我一分钱花3300买个热水袋的人，你觉得ta是开不起暖气的吗doge
1693194035# #中国恒大负债2.38万亿许家印还主席，这是想干嘛傻眼起这样的标题
1691037278# #专家回应河北天津泄洪是为了保北京泄洪通知要马上撤离，女子表示不撤离，自己已经备好物资！。网友：尊重个人选择！
1697808739# #以色列防长称将很快下达进攻加沙命令那有什么岁月静好，只不过是国家替我们负重前行！
1695708465# #大同通报未成年人欺凌事件调查情况专家表示，如果孩子遇到校园霸凌，告诉孩子直接拨打110！
1701606838# #律师分析五月天被质疑假唱博主鉴定五月天演唱会，12首歌5首是假唱！
1691477470# #洪水侵袭过后龙王庙砖瓦齐全这是大水时候的龙王庙，屹立不倒！
1697808648# #妇联回应揭阳27岁已婚女子跳楼身亡人神共愤，门口被扔不少鸡蛋！广东通报女子产后跳楼身亡
1701154676# #热狗我是骂所有人不只是杰伦周杰伦曾回应热狗diss，你们唱的不是rap，而是鼠来宝666
1692068065# #今天为3500万同胞发一条微博仅次于南京大屠杀的惨案，湖南厂窖惨案，铭记历史，勿忘国耻，振兴中华！
1694875904# #涨粉最多的10位女明星：卢昱晓、虞书欣、金晨、鞠婧祎、杨超越、倪妮、田馨薇、王玉雯、赵露思、白鹿！你们最喜欢谁呢？
1691284757# #山东地震苹果主打的就是一个不打扰啊允悲苹果地震预警
1690469569# #杜苏芮路径妈祖出手，转头吹向小日子！
1697825681# #被狗咬女童家属称每天医药费1万左右允悲没想到事情反转这么快，之前大家都同情被咬女童，现在都反转了，表示在吃血馒头，你们怎么看？并不简单
1695565068# #杭州亚运会开幕式刷新亚运史亚运会上的，中国56个民族，56朵花，你心动了几次！哇
1700484366# #关晓彤檀健次方否认有偿录祝福视频全程，压根就没有关晓彤檀健次啊！并不简单这都能造谣
1692879554# #岸田声称要求中方撤销进口管制措施都说今年是紫薇星降落，不是什么明星大爆，希望是富士山大爆doge
1695131969# #主人意外去世黄狗留守数月被救助喝了酒的哈士奇，连老虎都敢干！允悲
1702214385# #白所成等10名缅北电诈头目被公开通缉白家在女儿婚礼上，告诫女婿，不能绑架搞诈骗，这搞的是哪出疑问
1695343128# #原来拜财神有专门的姿势年轻人主打的就是心诚则灵！
1695134119# #国庆三倍工资加班你愿意吗打工的和不打工的，都沉默了！
1692859061# #日本将用700亿日元处理核污染水负面信息切尔诺贝利那时候可是花了将近2万条生命，才把核电站给封存了，狗日就只想祸害全世界的人！
1697793117# #代理律师称家属请求对黑狗安乐死笨蛋小狗，被抓了，却还在笑！
1700658674# #网友总结归国四子，张艺兴、鹿晗、黄子韬、王嘉尔！到底谁在蹭谁呢？
1699276584# #用着8000块电脑的贫困生今日辩题：一次高消费行为或一次奢饰物品消费，能否成为取消助学金的理由？
1690472907# #台湾台风这是下雨吗？这是在倒水吧允悲
1703089624# #实在受不了冬天冻死我了二十层被子，都无法暖和我泪泪泪
1690267876# #没抢到票的TFBOYS粉丝开始转手酒店了姐妹，你抢TFBOYS演唱会的门票，怎么像是在买票允悲慢悠悠，还能买到傻眼
1689487260# #张艺兴我有一个特大的爆炸消息马上发布张艺兴的小迷弟，花一万学的《sleep》舞蹈哇
1688353266# #央视频下架蔡徐坤所有视频蔡徐坤粉丝这么狂吗？输了要整个内娱陪葬，还要退出国籍傻眼傻眼傻眼蔡徐坤工作室声明
1690718252# #洪水中托举小女孩辅警获记个人一等奖内涝很严重不过，也很快退去了！
1700143821# #明国平等三名缅北电诈头目被缉拿归案上次直接出动战斗机轰炸，现在直升机空投装备！
1700276736# #40万从缅甸赎回男子埋怨为何把我搞回来这些电诈人员，是拉了一车又一车！
1695057891# #都让开，我给老爷子磕一个！
1698390737# #以色列要求俄罗斯驱逐哈马斯世界好混乱，印度对巴基斯坦开枪了！
1695866795# #大同欺凌事件被辞退老师刚接班孩子遇到校园霸凌怎么办？专家建议，直接拨打110！
1690989076# #北京房山的洪水变化过程别灰心，虽然洪水把你的车泡没了，但是你的贷款还在允悲
1690242042# #广州的早高峰，谁的拖鞋这么可爱，卡在了扶梯！笑cry笑cry笑cry广州
1698672506# #云南3所学校因缅甸战事停课果敢军队有点猛啊，说着一口流利的普通话，打击电信诈骗！
1703666629# #猫和狗的区别起猛了，第一次看见狗在撸猫笑cry
1703739409# #中国人辛劳一年有仰望烟花权利这个场景，还是10年前的！
1701864029# #歌手拒绝假唱名场面实力歌手，从不假唱的三位：林俊杰、周杰伦、汪苏泷！
1695651607# #韩国球员爆冷输球拒绝握手小西巴怎么回事，那来的勇气说，中俄应该让出联合国常任理事会位置，给你们韩国思考
1689988517# #一口气煮了40多天的米饭厌倦了外面的勾心斗角，就回到我身边吧，我给你做饭吃！
1693024922# #韩媒说日本拒绝他国对核污水直接取样给大家看看日本大海的颜色，绿到发黑，这就是他们口中的，没有任何污染！
1695012265# #多家国货宣布九一八当天停播有人停播，有人却在说，918是“好日子”傻眼
1687065430# #父亲节哇！好运来袭！我抽中了的现金红包，你也快来试试手气吧，比比谁抢得多！
1688735593# #七七事变爆发86周年“醉里挑灯看剑，梦回吹角连营，你们是中国的脊梁！
1701049214# #易烊千玺代言瑞幸咖啡同为00后明星，代言的咖啡，都是年轻人喜爱的，你们更钟意哪一款呢？
1695130500# #花西子发声这是真的吗？。有人在网上说，花西子本来打算以38的价格卖出商品，但是李要求全网统一涨价到88，然后他以79的价格出售。这样一来，卖38的商家仍能赚取20元，卖79的商家也能赚取20元，剩下的全部都是李的利润。。不论这种说法是否真实，看到他说话的态度和表情，真的很让人讨厌。。一旦"飘了"
1703429797# #纸树开花，小时候圣诞节🎄前都会买，放家里几天，就开花了哇圣诞节
1690995108# #涿州书厂老板称未收到泄洪通知害～，看着很揪心，大家平平安安！
1695778092# #这只大熊猫竟然会跳芭蕾当大熊猫捡到手机后，表情溶化了！
1693046701# #美国年轻人对日本排核污染水态度来看看被核污水污染过的海水，绿到发黑！
1702883402# #小猫咪有自己的取暖办法冬天到了，请善待流浪猫，没有家的孩子，几乎都被冻僵，冻si！
1698808196# #万圣节宋焰cos你cos的功德箱，让我笑出了猪声！
1698636432# #七国集团呼吁撤销对日本食品进口限制七国集团有：美国、英国、法国、德国、日本、意大利、加拿大！你们七个，自己拉去吃吧，没人拦你们doge
1687698730# #猫醒了直接开一个菜市场可怜的小猫，不小心掉入了沥青里，经过三小时，才抢救成功！
1691374934# #强降雨已致舒兰14人遇难为什么老百姓对解放军是绝对的信任呢！
1701496412# #星光大赏第二波嘉宾名单星光大赏名单，神仙打架现场，你们期待谁呢？
1697291239# #巴以冲突美国纽约犹太人举行反以色列“全面封锁”加沙！这是种族灭绝！
1701779716# #对于林俊杰400万学的舞蹈被网友恶搞，我觉得，他还得学学周杰伦的格局！
1697540841# #四川又一恶犬追咬2名幼童流浪疯狗上前咬女童，不料被一旁的家犬，猛扑拿下！
1699523757# #小狗被撞断脊柱同伴不离不弃世界上有千千万万个它，下个路口也有千千万万个我！
1700228669# #对电诈既要斩草也要除根师出有名，斩草除根，同盟军瞬间变南亚小霸王！
1700400233# #冲锋衣销量猛涨大学生：不是羽绒服买不起，只不过是军大衣更有性价比！
1698758823# #女子疑因cos低俗内容被警方带离现场同样是鬼节，为什么中元节你们早早回家，万圣节就通宵允悲
1696907412# #上海一女子到以色列度假遇战乱简单明了，一文看懂巴勒斯坦和以色列为什么打仗！
1694710455# #华为你以为华为这些年，在对抗的是谁，华为牛逼赞
1691672403# #孤注一掷票房破10亿我弱弱的问一句，都破10亿了，为什么还有人吐槽，他挂羊头卖狗肉
1691919485# #流浪猫在雨天偷看室内宠物猫网友发现自家的自行车被偷，小偷还停下车，抚摸狗狗！
1691307131# #孤注一掷点映排片这个诈骗的电影真的很有意义，都给我去看，没票的姐姐请客！泪泪泪孤注一掷
1692199908# #蛋仔委屈，下雨还有打工笑cry
1700143711# #缅北电诈集团3头目被移交我公安机关靠近云南边境的女子爆料，许多在果敢诈骗的人，不敢回国，直接被缅甸政府，一批批抓回中国！
1701703835# #五月天现场视频网友说，这么近，自己还是能听出来是假唱还是真唱的！
1698754548# #向太衣服太low了模仿向太直播间，笑出了猪声！
1702359164# #都是95花，虞书欣有点一言难尽允悲
1688907307# #黑龙江一18个月女孩从6楼窗台坠亡命不该绝！晚几秒钟也撑不住了赞
1690114917# #李宁怎么了，引发了众怒，被骂了一天傻眼
1702612197# #东方甄选回应外界质疑有网友说，董宇辉，已经输了！
1700534383# #外舰不撤我舰不退坚决斗争到底2016年惊心动魄的一次，差点在南海，打响第三次世界大战！
1699098555# #联合国称缅北数百人越境逃入中国记者连线果敢同盟军发言人，电诈背后的主谋是谁！
1701225810# #今年🐧星光大赏还能有这流量盛世吗笑而不语
1692868591# #专家不建议我国效仿韩国民众囤盐冷知识，青海省那边的盐矿，够全人类吃1500年赞
1699443852# #陆家嘴公司买到毒地索赔100亿元一图看懂100亿毒地怎么购买的！
1701790818# #卖15的卷饼提供150的情绪价值大姐终于有回头客了，那个大冤种就是我！
1690628414# #兵哥哥暴雨中狂奔拉住失控电动车电车还敢在大水里开，不怕漏电吗？
1696258367# #不是，兄弟，对象不是这么谈的，不然回家还得跪允悲
1701757662# #五月天唱功去过现场的朋友，你们觉得是真唱还是假唱？
1700397586# #WBG发文告别S13TheSky直接被骂惨了！
1698558221# #THE9dumbdumbbomb虞书欣《yesOK》直拍！虞书欣
1697696904# #河南一地明确狗未拴绳直接抓走暂扣公共场合未拴绳的狗，统统捕抓带走！
1699282579# #唐僧本人来了都得说像家人们，谁懂啊，大早上的，以为穿越了！
1691298094# #黑龙江五常发布防汛救援公告洪水淹没整个村落，上百头牛被困，凭人力根本没法转移，而就在大家以为这些牛不幸遇难时，四只狗狗游回牧场，带领上百头牛，有序的撤离最终都平安撤离到了安全区泪
1700217942# #外交部回应岸田希望中国取消停止从日进口食品措施今天才让我见识到了，什么叫厚颜无耻doge
1702035488# #五月天对联粉丝脑回路，五月天这次真唱了，所以，之前也都是真唱的666
1689164195# #宝格丽海外账号仍未道歉看看它在其它地区的官网，依然还是阴阳怪气！
1690345295# #大熊猫翘起jiojio点头示意奶爸按脚在广东，熊猫也逃不过吃苦瓜的命！
1698239227# #权志龙涉嫌吸毒被立案bigbang五个成员，四个吸毒，同流合污，果然是真的！
1699368560# #打工罢了不必太上头人生路漫漫……花一块钱，带四个行李回家！
1689850428# #第一次在狗脸上看到为难狗：这么热的天带我出来真的好吗？
1702692598# #东方甄选25分钟掉粉10万目前看，已经掉了180多万了，买的水粉，都跟不上掉的节奏了！允悲
1695610168# #实测苹果无法用华为充电器专家抨击华为，不应该研制芯片，这样会被世界孤立傻眼
1687142842# #下班没提醒同事关空调被罚钱着肯定是一个很有趣的公司吧哇
1688207229# #蔡徐坤这是蔡徐坤的新瓜吗允悲蔡徐坤豆瓣主页作品被清空
1692930494# #日本台风三台风共舞，狗日准备接受海水倒灌吧！
1691035312# #有人民的地方就有子弟兵抗洪救灾，致敬一线人员！
1693023804# #日本农林水产相称完全没料到中方措施鞠躬道歉不是日本的传统，日本的传统是切腹自尽，日本应该把这个传统发扬光大！
1697696818# #加沙一家18口在空袭中遇难他没哭，我却哭了！
1702995219# #青海一孕妇回娘家途中失联无知大学生单身狗一开始以为是手机坏了，幸好反应过来了，跑得快！
1695553785# #专家谈李佳琦花西子眉笔争议李佳琦你没事吧，你看看你，说的是什么话！
1697033594# #联合国9名人员在以色列空袭中丧生有网友在塞尔维亚偶遇中国警察在巡逻，真的是满满的安全感赞
1690707284# #主人教育偷吃猫粮的边牧，遭到边牧的反咬，猫咪挺身而出，暴揍狗子！
1697036821# #螃蟹把最好吃的部分进化掉了手牌拿好，上楼汗蒸笑cry
1689942394# #日本的西瓜为什么那么贵农村小伙用西瓜喂猪，震惊了日本人和韩国人傻眼
1702660926# #罗永浩不支持董宇辉跳槽罗永浩说，如果董宇辉离开的话，要赔5亿违约金疑问但有大把公司，愿意为董宇辉出并不简单
1690290113# #TFBOYS官博倡议演唱会不应援她怎么这么厉害，慢悠悠的，还能抢到票🎫傻眼
1692770057# #孤注一掷里的诈骗方式过时了男子接到诈骗电话，说自己花2000万买了一条鲸鱼允悲
1702716887# #主播天权停播三个月我发现天权挺man的，直接反向开大，把事情搞大，这是以身入局吧！
1697763289# #武汉一未拴绳杜宾犬咬人被没收家养的罗威纳犬咬人，流浪狗却受到了惩罚！
1697507592# #知情人称哈马斯被消灭前以色列不考虑停火以色列炸了巴勒斯坦的难民救助工程站！
1702702814# #广东急速入冬今天的广东人，很好，急冻是吧！
1700697662# #有网友说，宋轶比四大普女还要普疑问
1692278803# #李玟李玟生前哭诉，被好声音动手原声曝光，这是真的吗傻眼
1703522119# #深圳地铁怎么肥事，地铁里怎么风这么大？疑问
1701834045# #阿信做好自己看来他是学了网友支的招了，不承认不否认，等风头过了，在正面回应并不简单
1703809920# #雷军致敬车企仅华为未回应雷军：先礼后兵，干翻友商！
1695012933# #鸿星尔克走秀结尾国货国货名称榜单，拿走不谢！
1700534244# #果敢同盟军即将进攻老街诈骗人员被注销国籍，在边境耍无赖，想要回国，中国跟缅甸都不想收留！
1700125532# #缅北电诈头目的暗黑人生恶人教恶人要行好事，白家女婿结婚，白家创始人教训女婿，不要绑架sha人！doge
1697985891# #可可西里野狼被游客投喂胖成网红追车几公里，投喂才罢休！
1700362485# #花花等谭爷爷一起下班花花扮鬼脸哄弟弟睡觉笑cry
1697675772# #美国一票反对致安理会未通过巴以问题决议草案谁是人类的公敌，一看便知！
1694664086# #华为Mate60发布会定档这…………谁看懂了！
1689170085# #睡过头了，这种情况，离家出走最安全吧！允悲允悲允悲
1699327429# #王嘉尔的童年女神是杨紫王嘉尔见到杨紫，毫不掩饰的心动！
1700579613# #国足0比3不敌韩国何时才能历史在重演！
1704007865# #张万森拿回了展宇偷走的那十年张万森下雪，人工雪允悲
1700905981# #花花吃饭被弟弟折腾懵了花花坐着，都要被弟弟折腾！
1690467961# #微信：美好人生、花开富贵、幸福快乐，全部落水笑cry笑cry笑cry笑cry
1690440378# #台风或正面袭击厦门市民不要出门这是大雨吗？这是倒雨吧！
1691931509# #总有外卖小哥对这个世界缝缝补补这就是我为什么不选专送的原因允悲
1688030029# #8条腿没有一条是忙对的掉入沥青的小猫咪，幸好救治及时，不然……
1702993994# #哈尔滨文旅局领导已赴冰雪大世界督导。哈尔滨冰雪大世界退票事件是哈尔滨给各位最后的临行伴手礼，它叫———宽容
1691317180# #救援队女队员瞒着家人千里驰援涿州洪水淹没整个村落，上百头牛被困，凭人力根本没法转移，而就在大家以为这些牛不幸遇难时，四只狗狗游回牧场，带领上百头牛，有序的撤离最终都平安撤离到了安全区泪
1698896408# #缅甸果敢同盟队，铲除电诈，普通话说得贼溜！
1698727861# #沙特人跟韩国人说中文两个老外英中文交流，像极了读小学，上课学英语，两个同学的英语交流允悲
1695280314# #太子奶看完真的哭死！。他舅舅为了不做假证，自尽了，他公司高层也是宁死不屈，然后被灌酒身亡，公司财务被威胁到流产，弟弟妹妹被搞瘫痪6百真的现实比电视剧还残酷！
1687533526# #赵丽颖三次陪跑赵丽颖，不敌吴越，错失白玉兰视后，这是她第三次提名空手而归，她的演技毋庸置疑，在同年龄段女演员里一骑绝尘，属于她的那天肯定会来的，加油！
1695651702# #这不比送月饼实在多了我的月饼啊泪泪泪
1698593346# #万圣节cos甄嬛醉酒皇帝与贵妃出门炸街！
1700449407# #运20将接运烈士遗骸归国他们说为新中国出去闯一闯，我们把该打的仗都打完了，后辈就不用再打了！
1695455070# #苹果追加iPhone15ProMax订单谁捡了我的iPhone15proMax钛金属，512G黑色，给我还回来！
1697816017# #猫肉按每斤4块5充当猪羊肉救助小动物的人，他应该没车没房吧，众筹500万，不过分吧，隔壁有车有房，都已经200万了！
1691901449# #蔡依林的演唱会，没看到蔡依林，倒是看到了一群………允悲
1698076610# #代理律师回应女童家属筹款200万争议来看看当初网友的嘴脸，一分钱都不想出！
1695205783# #檀健次出演猎罪图鉴2《猎罪图鉴2》主演：檀健次、金世佳！你们期待吗？
1695650186# #中国剑客绝杀日本跪地怒吼请记住这三个小日子！
1692878717# #日本政府已向儿童发核污水安全传单怎么说呢？日本排核污染，早就有预谋了！
1701403019# #QQ音乐年度报告不用看了，不是周杰伦，就是薛之谦，林俊杰并不简单
1687422490# #汪东城变脸众所周知，飞轮海只有三个人，吴尊、辰亦儒、汪东城！笑cry笑cry笑cry谁都不敢往炎亚纶那不靠！
1693206747# #东电承认超6成储存核污水放射物超标曾公预言将成真，日本自作自受！
1702035814# #五月天巴黎演唱会全程回顾有气无力允悲完全听不下去！
