1693693199# #我们想念毛主席…鲜花🙏鲜花🙏鲜花
1687848959# #向老班长致敬！作揖作揖
1699228152# #秦岭山脉分界线，南北朝向一片天。地理环境优越点，太白山上定乾坤。🙏阿弥陀佛🙏
1701905441# #惊叹（五）。朱门酒肉臭，。路有冻死骨。。官商勾结者，。此人必诛之。
1701988629# #这个冬天真难熬.。允悲允悲允悲
1700429694# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702770643# #群山峻岭美如画，浩瀚宇宙流星雨。与佛有缘同道者，转山转水转新生。万水千山情无价，烧香拜佛筑仙台。佛光普照布道场，慈悲为怀普众生。🙏阿弥陀佛🙏
1688594595# #不比不知道…哈哈允悲哈哈
1702509516# #连续下雪好几天，是悲是喜说不清。路滑受伤好几百，大人发愁娃快乐。哈哈哈哈哈哈哈哈哈哈
1699132866# #你的善良，就是你的福气，里面藏着你的运气，只要坚持，。。就是修行。在不可预知的未来，往往会给你带来意外之喜。。。善良的人总是快乐的，感恩的人总是富有！。。带着感恩与善良，不忘初心，顺风前行。
1703544160# #养生堂…作揖作揖
1697670175# #养生之道.。作揖作揖
1698015266# #🙏🙏🙏
1691018437# #天造地设仙人洞，灯光闪烁梦幻中。此处山东第一洞，众生好度人难度。🙏阿弥陀佛🙏
1692400464# #连吃玉米三根，就是吃了没够。喜欢老的品种，一切源于怀旧。哈哈哈哈哈哈哈哈哈哈
1698354560# #生命在于运动💪
1695167933# #身临其境天地间，洗净身上红尘素。脱胎换骨变神仙，道法自然画山河。🙏阿弥陀佛🙏
1703463961# #池塘游戏图，出水芙蓉开。蛙声蝉虫鸣，蜻蜓蝶点水。鲜花作揖鲜花作揖
1690200610# #我休你开巧合，你休我又开博。轮换交替出现，网络来去自由。挤眼挤眼挤眼挤眼挤眼
1696894361# #乌兰布统的金秋，象群山下的夕阳。散落人间的烟火，梦中相会的地方。心音乐作揖微风鲜花
1687921818# #养生长寿…作揖作揖
1703109241# #和平使者（四）。华夏儿女志四方，。一带一路走过来。。勇闯天涯明月刀，。中柬友谊地久长。。鲜花作揖鲜花作揖鲜花
1688074409# #罗娜超话。若想明天更美好，。先把自己照顾好。。天高云淡情不淡，。风吹云散缘不散。。彼此牵挂心中暖，。一生平安金不换！。娜妹早安吉祥🌹
1700693122# #时间如白驹过隙，仿佛就在转瞬间，天上人间已走过四季的时序，将冬念深藏在时光里。。指缝太宽，时光太瘦，在不知不觉里，似水流年已让欢乐的旧忆，成为了岁月的心伤，见证着生命逝去的无常与无奈，深藏浅冬的怀念，继续生活如常的时光。。🙏阿弥陀佛🙏
1687564535# #作品来自远古，构思巧妙绝伦。此是何方神圣，留给人间迷宫。作揖作揖作揖作揖作揖
1694940112# #马三立的相声（逗你玩儿）…挤眼挤眼挤眼
1703982119# #才女出道多年，股市时影时现。霉运这就翻片，明年大展宏图。鲜花鲜花鲜花鲜花鲜花
1694823400# #玻璃栈道心胆寒，举步维艰头发晕。全身抖动怎移步，只恨虚荣上了台。哈哈允悲哈哈允悲哈哈
1697413194# #走进健身房，达人来相聚。运动力量型，男女秀肌肉。🐮🐂🐮🐂
1701130643# #朋友相交恨晚，来去自如切换。人生就是过客，那有几个情怀。哈哈允悲哈哈允悲哈哈
1687133789# #传统文化不能丢，祖宗留下民风俗。纪念屈原士大夫，端午家家粽子节。鲜花🙏鲜花🙏鲜花
1689283801# #众星云集（三）。人生苦短路迷茫，。群星璀璨夜明珠。。银幕之中流星雨，。假似真来真似假。。鲜花作揖鲜花作揖鲜花
1694304254# #自从排毒之后，我是烦透日本。要说个人喜欢，当属四位明星。山口百惠善良，栗原小卷美丽。中野良子勇敢，高仓健是男神。作揖作揖作揖作揖作揖
1695081047# #千山万水情未了，故事收获一箩筐。是真是假听个乐，皇帝园林百姓家。挤眼挤眼挤眼挤眼挤眼
1690673277# #养生堂…作揖作揖
1692233097# #补充维生素，提供好食物。营养巧安排，白天继续疯。哈哈挤眼哈哈挤眼
1695251514# #全民健身运动…作揖作揖
1701613068# #其实我这个人活得很真实，从来都没有在线下见网友，关系再好也要留下自我。昨天我特意发了一个微博，人家生日快乐，那是我线下的朋友，长的非常漂亮，但我们永远都是朋友。按我们北京话说，要个有个，要样有样，人还是活得真实一点为好！作揖作揖作揖
1686969322# #异国他乡偶遇，轻风微动，知音难回首。依稀可见处，皆是如此花花世界，天道轮回无常，留下深刻印象。孤独，寂寞，自然，重生..……🙏🙏🙏
1692231077# #疫情三年风吹过，近日听说要回头。大包小包去采购，以防万一备起来。哈哈哈哈哈哈哈哈哈哈
1692830666# #罗娜超话。。🍷敬我不忘的人，平安吉祥。。㊗️祝我想着的人，幸福安康。。🙏愿我在乎的人，永远快乐！。鲜花美丽的娜妺妺，您早上好！。音乐🍎咖啡赞微风心鲜花作揖鲜花
1696979874# #奥森公园秋之韵，韵味十足景上彩。彩色眼影花浪漫，漫步田野真情怀。心音乐作揖微风鲜花
1703543437# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1693265734# #未见实物不敢说，以假乱真事太多。如今社会真无奈，那里还有漏可捡。问声价格心自知，便宜自然没好货。如今造假产业链，假似真来真是假。挤眼允悲挤眼允悲挤眼
1703977286# #上联：深浅人识路，下联：雪厚步难行。
1687902813# #饭局文化（三）。朋友隔三差五，。相聚聊点闲篇。。美酒佳肴畅饮，。笑语南北西东。。鲜花微风作揖音乐心
1693606549# #罗娜超话。不是年轻才快乐，。而是快乐才年轻。。每天给自己一个开心的理由，。花开花落都开心，。日出日落都快乐。。美丽娜妹早上好！。🌹咖啡微风烟花音乐
1703454058# #大哲学家苏格拉底最精彩的9句话，全是人生大智慧：。1、清闲是一切财富中最难得的。。2、我们的需要是越少，我们越近似上帝。。3、认识自己的无知就是最大的智慧。。4、最热烈的恋爱，会有最冷漠的结局。。5、我只知道一件事，就是我什么都不知道。。6、教育是燃起火焰，而非灌输一个容器。。7、真正重要的不
1690848563# #美丽的杉儿老师新月吉祥！鲜花心鲜花昨晚上的诗改了几次都未通过，我是先在微信上分享，然后才发微博。听说网络有外资控股，随他去吧。不过早上起来，又写了一首，点击已过千人，总算心慰…挤眼挤眼挤眼
1703979840# #姑娘是妈小棉袄，蓬节必须把家还。爸妈准备年夜饭，美味佳肴乐开怀。鲜花微风作揖音乐心
1697499227# #真实的味道，异国的风情。生活的万种，阳光的温暖。鲜花鲜花鲜花鲜花
1699225656# #气势磅礴画成风，鸿运当头一片天。群山峻岭环绕中，色彩鲜艳红浪漫。鲜花作揖鲜花作揖鲜花
1704062328# #再现大唐盛世…作揖作揖作揖
1701128462# #暖暖的周末，愉快的生活。开心的一笑，淡淡的清香。鲜花鲜花鲜花鲜花
1694937165# #案上一张纸，墨汁淡飘香。毛笔一大把，金鸡叫天明。哈哈哈哈哈哈哈哈
1702502801# #走过路过（二）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1694131475# #百善孝为先，您是人可交。照顾好家人，还有您自己。作揖作揖作揖作揖
1694045329# #养生堂…作揖作揖
1701003330# #多说两句，我是土生土长的北京人，但是真没有太多的想法。父母早年参加革命，都是新四军的人，组建海军我家由山东进京，虽然我是北京生人，但血渡流着南方的血。父母是江浙一带的人，所以我家延续下去，还是南方的生活方式。全家兵都有军旅生涯，人家叫我们是子弟兵，致敬当过兵的人…作揖作揖
1695163873# #罗娜超话。踏着秋露送花香，带着快乐送吉祥。天气转凉送健康，清晨问候迎曙光。愿你时时都好运，祝你天天都健康！。美丽娜妺早上好！🌹🌹🌹🌹🌹
1687560273# #中国书画笔通天，画不离字相呼应。国画讲究密透风，书法字间龙在行。鲜花微风作揖音乐心
1698223689# #大漠戈壁荒沙滩，战马嘶鸣古战场。多少豪杰英侠士，提笔诗文书画中。鲜花作揖鲜花作揖鲜花
1697844615# #社会乱七八遭，是非杂事缠身。都是身边故事，小画点到极致。挤眼允悲挤眼允悲挤眼
1696203254# #九图八卦乾坤手，人间正道是沧桑。财源滚滚鱼戏水，共祝祖国佳节日。心音乐作揖微风鲜花
1698362450# #画家成名四步曲，书法基础放在前。绘画艺术平秋色，印章诗文全家福。作揖书画印诗作揖
1692229908# #自从听说寄生虫，已有十多年未吃。从前开店有道菜，馋嘴蛙是口中餐。挤眼哈哈挤眼哈哈挤眼
1691794335# #养生堂…作揖作揖
1703285612# #罗娜超话。美丽的娜妹早安，又是寒风凛凛的一天允悲允悲。在喜欢你的人那里，去热爱生活。在不喜欢你的人那里，去看清世界。就这么简单。——莫言
1697930414# #首钢传奇眼云烟，人去楼空不再来。转型发展科技园，环境优雅新生代。心音乐作揖微风鲜花
1696201318# #在不寻常的日子，选择了中蒙边境。举行一场庆国庆，祝愿明天会更好。鲜花微风作揖音乐心
1703634427# #钢笔人物众生，街头巷尾偶遇。随处可见一斑，万象更新留意。鲜花微风作揖音乐心
1687473548# #设计图案百科书，影响深远屈可数。几何图形大变样，走近家居装饰中。鲜花作揖鲜花作揖鲜花
1699134577# #养生之道…作揖作揖
1687210922# #罗娜超话。牵挂中，共度高温酷暑；。问候中，倍感阵阵清凉；。祝福中，迎来新的一天，。快乐中，享受生活美好。。炎热中，请您多加保重，。美丽中，娜妹妹早上好！。鲜花微风作揖🍉音乐咖啡心
1704062478# #阿弥陀佛🙏🙏🙏
1699829395# #心中一神灵，清晨一人坐。人争一口气，佛烧一炷香。阿弥陀佛🙏🙏🙏🙏
1691971762# #玉莲花童子，观音花绽放。拜佛花上坐，水中花芙蓉。鲜花鲜花鲜花鲜花
1703374227# #寺庙布道场，酒色院子深。佛祖心中流，钱财皆通吃。哈哈哈哈哈哈哈哈
1699577467# #坚持锻炼晨光曲，每天跑步五公里。生命不息在运动，光彩照人俏京城。鲜花微风作揖音乐心
1692836391# #一日三餐忙碌，家庭主厨料理。每天只盼一事，就是傍晚牵手。挤眼哈哈挤眼哈哈挤眼
1701121561# #三年疫情人无奈，。近期又有新动象。。真正专家学者少，。此文难得大家看。。鲜花作揖鲜花作揖鲜花
1687124461# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1690154624# #暴利行业市场化，自古烟酒买军队。如今安在上狠活，五十度下皆勾兑。哈哈哈哈哈哈哈哈哈哈
1703455144# #养生之道…鲜花作揖鲜花
1702337270# #安全提示…作揖作揖
1703714011# #对人类影响深远的30个发明：。1、手机（美国），1973年。2、电脑（美国），1946年。3、高铁（德国）1899年。。4、飞机（美国），1903年。5、光纤（美国），1970年。6、卫星（苏联），1957年。7、光刻机（荷兰），1984年。8、洗衣机（美国），1858年。9、B超（美国），1950年。10、胃镜（德国），1868年。11、激光
1697240979# #公园遍地花浪漫，留给大家去欣赏。路边野花你莫采，小心带刺是玫瑰。哈哈挤眼哈哈挤眼哈哈
1703806200# #🙏🙏🙏
1687386089# #中国文化代相传，粽子龙舟端午节。根系万千深思绪，古画留下民俗风。鲜花微风作揖音乐心
1703454718# #走过路过（九）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1700605988# #帝王将相才佳子，远古至今留名人。武候祠中先生堂，诸葛孔明天下传。🙏阿弥陀佛🙏
1698968469# #看破红尘步佛门，寺庙圣僧讲道场。人生如梦平常心，舍得知足静安好。🙏阿弥陀佛🙏
1688162402# #月老牵线点秋香，相爱有佳同心结。有情人终成眷属，白头偕老度此生。🙏阿弥陀佛🙏
1693257212# #罗娜超话。黎明醒来又一天，清晨微博报平安，相互牵挂心中暖，感恩人生情和缘，但愿彼此多保重，健康快乐每一天。美丽娜妺早上好！微笑微风微笑音乐微笑
1687656141# #看破红尘前行路，路在脚下智者行。行程万里晴空下，下里巴人是非多。哈哈哈哈哈哈哈哈哈哈
1692850053# #一人一单车，一步一欢声。一诗一远方，一心一段爱。一路一风景，一花一路香。一拜一尊佛，一生一世情。鲜花心鲜花心
1692738682# #罗娜超话。🌴🌴人生的幸福，就是随意，。随缘，随心。人生的美好，。就是心宽，心善，心静。。人生的快乐，就是简单，开朗，。阳光。.。。……新的一天，娜妹吉祥…鲜花心鲜花
1687264064# #京都侠女巡游记，寻找未知探究竟。运河通航知天下，文物再现古韵美。🙏阿弥陀佛🙏
1688603780# #触景伤情心中泪，两全其美皆传说。人生在世孝为先，儿女双全家和美。鲜花作揖鲜花作揖鲜花
1695246329# #朝思暮想夜难眠，空守洞房花烛夜。男欢女爱人幸事，望眼欲穿盼郞归。鲜花微风作揖音乐心
1700603746# #世上万物丛生，你我皆是过客。与佛结缘善道，尘埃落定沉浮。🙏阿弥陀佛🙏
1692499694# #客气了您呐，晚上没有休息好，夜里断断续续，起来三次，早上一个回头觉，醒来兴趣全无，下午还要出门，给自己放个假吧，哈哈哈…。
1702334497# #关于“人生如梦”，中国自古就有庄周梦蝶、黄粱美梦、南柯一梦等哲理故事，这些不仅仅是故事，更是对人生的一种描述。。既然人生是一场梦，那是不是就不用努力，干脆生活在消极的状态里呢？。。并不是这样。虽然人生如梦，但我们还是要坚持做完这个梦，并且要把这个梦做成一个善梦，而不是恶梦。这是每个
1698879463# #春色满园俏江南，美女如云田园美。群芳争艳独一支，落花有意红浪漫。心音乐作揖微风鲜花
1700182217# #良好的生活方式，合理的运动锻练。营养的食物搭配，完美的亮丽风景。鲜花微风作揖音乐心
1699355855# #纵观股市行情，走势上下震荡。侠女柔情似水，一切掌控之中。近日气温突变，适当休息几天。精神饱满再战，重出笑傲江湖。鲜花作揖鲜花作揖鲜花
1693788751# #俄罗斯牛B克拉斯…赞赞赞
1693093583# #大叶海堂开了花，花开白色很稀少。少而精品可爱多，多少有点心花放。心音乐作揖微风鲜花
1691971094# #养生之道…作揖作揖
1696023360# #罗娜超话。黄昏偷饮一杯酒，。醉了晚霞仍不休。。举杯再想邀明月，。还欠清风二两愁。。心音乐作揖微风鲜花。十五月亮十六圆，。仰望星空共婵娟。。天降甘露落人间，。大地万物情相伴。。🙏阿弥陀佛🙏。。美丽娜妺早上好！。鲜花微风作揖音乐心
1703462718# #上海另类在演绎，今年平安夜难眠。宅家抗美援朝片，长津湖上纪英烈。🙏🙏🙏🙏🙏
1692653011# #太阳微风太阳微风太阳。重新开始的一天，。百宝箱中的物件。。平日收藏的宝贝，。经常开心的把玩。。鲜花作揖鲜花作揖鲜花
1698962356# #落叶深秋天渐寒。无人问我衣可单。一壶浊酒慰心欢。半感惆怅半感酸。若问此生何所获。半生孤苦半世霜。山河岁月空惆怅。今世今生已惘然。。夜半钟声落花泪。空穴来风穿堂过。面壁思过难回首。半生艰熬半生难。但问苍天我是谁。半世奔波半世愁。物是人非根何在。灵魂摆渡空惆怅
1703625245# #罗娜超话。🌹珍惜人间情，感恩天地爱。好友从不忘，亲情不分开，醒来送吉祥，情深意更长！新的一天，吉祥如意！。音乐音乐音乐娜妹早上好！🌹🌹🌹
1689557870# #人过半百初方醒，终日奔波为那番。闲言碎语名利场，回首前尘皆是空。莫管人间是非事，过好自己小日子。人生如梦匆百年，活着才是真英雄。鲜花作揖鲜花作揖鲜花
1696890865# #李白醉酒对天歌，出口成章诗成篇。谈古论今书香气，青出于蓝胜于蓝。鲜花微风作揖音乐心
1688679762# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1688614780# #一代巨星驾鹤西，。人生苦短多无常。。看破红尘前行者，。天堂花鸟伊甸园.。。鲜花🙏鲜花🙏鲜花
1696292839# #与国欢庆日，祝福祖国好。同唱一首歌，国泰民安居。鲜花作揖鲜花作揖
1687212913# #走出国门看世界，。到处风情在流露。。人情世故家乡话，。特色美味东北菜。。哈哈挤眼哈哈挤眼哈哈
1690588849# #愿：国家繁荣，百姓安居乐业🙏🙏🙏🙏
1688251791# #走过路过（八）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1696291498# #如鱼得水细长流，锂鱼七彩色斑斓。看鱼游戏情不尽，神鱼摆尾美人归。鲜花作揖鲜花作揖鲜花
1703196286# #走过路过（九）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1700429761# #走过路过（十）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1688251980# #走过路过（十）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1700865336# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1697580666# #养生之道…作揖作揖
1695948714# #当满城尽飘桂花香。我猜。仙子已在月色下起舞。当天上一轮明月照大江。我思。家人已在博饼赏月。当五星红旗沿街飘扬的时候。我愿。祖国的强大振奋人心。当你无论身在何处何方。我故。你我丹心依旧照耀中华。祝福家国双节同庆🌹
1697156407# #浅绛彩画条屏，山水情大自然。密林中藏洞天，烟火色有人居。鲜花微风鲜花微风鲜花
1700707380# #科普野生动物，朱鹮一万有余。保护繁养生息，有幸看到七只。挤眼挤眼挤眼挤眼挤眼
1700692519# #人到了一定的年纪，。过的已经不是日子，。是岁月沉淀后的心境，。是时光和自我较量后的馈赠，。既然争不过岁月，。也跑不过时间，。唯有以自己喜欢的方式：。过好每一个日出日落。。🙏阿弥陀佛🙏阿弥陀佛🙏
1700429723# #走过路过（八）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702256072# #大千世界景无限，无奇不有花年华。美女时装独角戏，更显气质优雅风。鲜花微风作揖音乐心
1703542470# #我们想念毛主席，。丰功伟绩英雄们。。电影再现过去事，。星光闪耀将帅魂。。鲜花🙏鲜花🙏鲜花
1698098009# #罗娜超话。平安路上，顺顺当当；。健康路上，喜气洋洋；。友谊路上，地久天长；。快乐路上，放飞梦想。。新的一天，平安吉祥，。美丽娜妹，万事如意！。🌹🌹🌹🌹🌹🌹🌹
1692576308# #美女如云花绽放，如花似玉有传承。上海车展人亮相，出水芙蓉俏江南。鲜花微风作揖音乐心
1699402814# #喜鹊枝头叫喳喳，柿柿如意皆欢喜。鱼儿穿梭游戏水，秋风画语八方财。鲜花微风作揖音乐心
1703805379# #古都北京情难忘，皇城相府四合院。如今皆是堆钢铁，一块膏药大裤衩。允悲允悲允悲允悲允悲
1691365405# #🙏🙏🙏
1689898659# #谢谢老班长，大家都快乐！作揖作揖作揖我吗这几天身体不适，总是发烧，所以休息一下，下周一正式开博⋯鲜花鲜花鲜花
1699488140# #远古至今秦始皇，贵妃醉酒华青池。南北气候分水岭，兵马俑坑人震撼。秦岭山脉探究竟，奇花异草动物多。继往开来前行事，华夏儿女多奇志。🙏阿弥陀佛🙏
1691794278# #🙏🙏🙏
1696118738# #金秋十月喜相逢….……，风声，秋去冬来时多日。雨声，皇城帝都深四海。秋声，五谷丰登众生记。我声，与国同庆佳节日。鲜花微风作揖音乐心音乐作揖微风鲜花
1699916470# #走过路过（二）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1696027308# #情系万千可爱多，家有贤妻宠爱多。成双成对真爱多，搭帮过日讲爱多。挤眼挤眼挤眼挤眼挤眼
1702247831# #作揖作揖作揖
1696046370# #花开吉祥遍地红，香风飘荡人间美。如花似玉点绛彩，疑似天堂花浪漫。鲜花鲜花鲜花鲜花鲜花
1701647957# #花香彩蝶纷飞舞，石榴多子又多福。萝卜大蒜家常菜。鱼米之乡归来巢。🙏阿弥陀佛🙏
1703721648# #这个冬季冷冰霜，银行利息又降低。房价还是过山车，金融危机难晴天。允悲允悲允悲允悲允悲
1703546789# #放开生育真好，就是没钱难搞。如何才能养娃，口袋比脸还白。允悲允悲允悲允悲允悲
1701812116# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1689290038# #苗条淑女君好逑，自驾出行江南秀。水乡古镇特色美，游侠客座名人居。心音乐作揖微风鲜花
1700864726# #我爱你，不是年龄大不大，好不好看，。而是你给了我别人给不了的感觉，我已经把你深深的埋在了我的心底，不管以后怎么样，我都喜欢你，没人可以代替你，你若一直在我便一直爱！
1701389325# #砖家叫兽依赖症，狼狈为奸咱家多。吃着皇粮放臭屁，害国害民王八羔。🤮🤮🤮🤮🤮
1695192437# #美女众多皆花瓶，瓶子摆在屋里面。面上有光内无实，实话实说样子货。哈哈挤眼哈哈挤眼哈哈货比三家贵在真，真才实学画工笔。笔墨纸砚自成才，才貌双全女人花。鲜花心鲜花心鲜花花开富贵人吉祥，祥云瑞彩花浪漫。漫山遍野秋来时，时光送来妹如花。
1698702454# #大美西安…鲜花鲜花鲜花
1701304382# #日照崑嶺苍天下，雄鹰展翅高飞翔。群山环绕佛光闪，普照大地众生灵。🙏阿弥陀佛🙏
1699398042# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1699222813# #罗娜超话。路，越走越顺；。人，越处越亲；。常常关心，让思念更深；。时时牵挂，让情义更真；。天天问候，让彼此更近。。娜妺早上好！咖啡心握手
1689031722# #三餐皆美食，四季轮流转。花样常翻新，不知味怎样。挤眼挤眼挤眼挤眼
1692398459# #举步维艰路难行，这个夏天不消停。东边烈日西暴雨，天灾人祸着实多。允悲允悲允悲允悲允悲
1691021916# #孩子光流滑，切莫走近去。不是旱鸭子，来个入水式。哈哈哈哈哈哈哈哈
1702255876# #已是冬季严寒，残缺也是美景。我们昨晚下雪，此时银装素裹。鲜花鲜花鲜花鲜花鲜花
1701213085# #激情澎湃许多年，酒吧夜店歌舞声。摇滚乐队演奏曲，灯光闪烁不夜城。爽音乐爽音乐爽音乐
1701214887# #山高人为峰，海阔无心界。胸怀大志慧，笔下定乾坤。作揖作揖作揖作揖
1701300541# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1698874590# #京郊游（上）。。帝都郊外景，。小桥流水声。。金秋十月天，。满山遍野红。。。🌹🌹🌹🌹
1700785960# #侠女柔情蜜意，恰似你的温柔。水果养颜秘方，补水修复肌肤。心音乐作揖微风鲜花
1688251560# #走过路过（二）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1699828378# #养生堂…作揖作揖
1700603214# #养生之道…作揖作揖
1690503768# #陶艺制作百家乐，百姓生活状态美。推陈出新全武林，高手外传如云天。挤眼挤眼挤眼挤眼挤眼
1702252916# #街景巷尾都市会，有缘相聚在饭局。美食佳肴酒司令，吃饱喝足留下影。哈哈哈哈哈哈哈哈哈哈
1688938833# #养生之道…作揖作揖
1700349241# #美丽才女飘过来，来到面前问声早。早上起来晴转阴，阴天莫忘添衣裳。心音乐作揖微风鲜花
1694305449# #日落西山红霞飞，抬头远望红顶天。幸福日子红浪漫，美食佳肴红酒喝。哈哈挤眼哈哈挤眼哈哈
1698791118# #人老体弱心发慌，慌张失措何事源。源于心中情未了，了然月下人朦胧。鲜花作揖鲜花作揖鲜花
1688341096# #五颜六色画更美，美丽无限俏佳人。人声鼎沸这边看，看到美图心飞翔…鲜花鲜花鲜花鲜花鲜花
1703114301# #阿弥陀佛🙏🙏🙏
1690924691# #罗娜超话。🌧☔️🌧️☔️🌧️。晨起又逢小雨声，。恰似问候喜气增，。幸福不是毛毛雨，。却是吉祥伴人生。。。美丽娜妹早上好！。鲜花微风音乐咖啡作揖心
1699481260# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1689111190# #文化搭台（四）。朋友别开生面，。相聚内蒙草原。。烧烤美酒佳肴，。欢歌笑语西东。。鲜花微风作揖音乐心
1699317822# #这么厉害呢！我只知道在太空，唯一能看到地球上的建筑，就是万里长城…。我也应该说都好，总之这次收获满满，即锻练了身体，增长了知识，又开扩了眼界……作揖作揖作揖
1699396842# #罗娜超话。一种牵挂叫天冷加衣，。一种友情叫心里有你，。一种幸福叫有人惦记，。一种财富叫健康第一。。气候多变，保重身体。。娜妹早上好太阳🌹握手
1703288583# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1687124713# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1687042586# #近距离观看罗中立原作，。一张油画43年前只卖了400元，。如今价值3个亿，。罗中立《父亲》震惊世界。。鲜花作揖鲜花作揖鲜花作揖鲜花作揖鲜花
1701121416# #中国出版新地图，。领土分界很明确。。主权完整国之威，。守家立业大中华。。鲜花赞鲜花赞鲜花
1693351848# #大刀向鬼子们头上砍去，全世界爱好和平的人们。杭战胜利几十年，如今硝烟又燃起。倭寇排毒太猖狂，核料废水入大洋。世界人民要团结起来，彻底消灭鬼子害人虫……
1694061093# #石来运转情无价，珠光宝气喜相逢。五光十色映双眼，借来分享谢谢谢。作揖作揖作揖作揖作揖
1696122548# #这里风景独好，人与自然和谐。共处度假酒店，享受人间烟火。鲜花作揖鲜花作揖鲜花
1702849301# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1699397326# #立冬了，愿你三冬暖，愿你春不寒，愿你天黑有灯，下雨有伞，愿时光能缓，愿故人不散。。立冬日，寒风渐起，早晚微凉，没有人会一直等在原地，秋天已经过去，不如试着把冬天当做归期，愿你喜欢的人，能陪你走过一生中所有的冬天，也都愿你逢冬，多些温暖，多些快乐…鲜花微风作揖音乐心
1687473285# #大英图书馆授权，环游地球八十天。走过路过也看过，世界宝藏盗来袭。允悲允悲允悲允悲允悲
1691536294# #以面带块色图案，画龙点睛笔下彩。女性朦胧更美丽，画到形似自成风。作揖作揖作揖作揖作揖
1687987364# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1703059384# #冬季严寒雪花落，宅在家里画工笔。精益求精出奇门，花鸟鱼虫草木深。心音乐作揖微风鲜花
1694917343# #一本老书的回忆。。2023-09-0406:30发表于北京。。作者：刘心武。。我在北京的劲松小区居住过，我们那个楼里面住的都是北京市文化圈的各类人士，其中有一对夫妇是京剧演员，男方叫作石宏图，女方叫作叶红珠。石宏图是唱武生的，可以演猴戏，演孙悟空。叶红珠是武旦，在舞台上能够满台地和其他演员对打，
