1693986157# #斯是陋室，惟吾德馨
1692855610# #护士：医生医生镇定剂镇定剂
1691833317# #一时竟分不清到底谁才是主角
1692760074# #潘玮柏：我被选中了？
1695391452# #烧微理一下就刑了师傅
1695827255# #南昌一小区业主与写字楼公司员工理论被其掌掴警方已介入
1695383671# #怨不得贝吉塔天天想着揍悟空
1691997949# #扎猛了，看不到多深的水，还垂直扎…
1699351711# #她很会哦
1690078354# #驴，都说我犟，这回遇到对手了
1699285286# #晚安喽～宝子们
1691212269# #她俩谁的工资更高？
1700613421# #大爷这人还好吗？
1696497567# #对面有狙？
1699885597# #一边钓鱼一边就超度了？
1701525351# #收藏一个，以后给你女朋友编一个吧
1692329556# #野球场跟这种一队有意思吗
1698037136# #有钱人真会玩
1696988321# #我很纳闷以前没网，这些事是怎么做到全国统一的？
1701838544# #老太太骨质疏松的原因找到了
1701522930# #就算病成这样了也不敢请假
1696748116# #这是投资了吗？怎么总能接到这种戏允悲
1695090106# #这是测试地板硬度啊
1691768339# #这是什么操作？？？
1690630987# #女生和男友一起去彩票店，却意外发现老板跟男友长得很像
1701523280# #这不是摆拍是什么？
1692013792# #本来还想揭穿他的，后来我不敢吭声了
1698719817# #滨绮缜绪？
1703423076# #这小家伙从小思维逻辑就很独特是块好苗子
1697642774# #小日子的就是不错
1697108169# #能造出B2这种东西的简直不是人。
1698038730# #这就是所谓得人不行怪路不平
1697535599# #这个压弯很专业
1693282036# #这捡起来，应该能值好几万吧？
1691504922# #🐘：我5条腿，2尾巴，你拿什么和我斗？
1692788597# #这责任怎么算？？
1695272132# #头一次见给鞋子贴膜的
1693287507# #这是什么店？
1696730175# #每天早起打卡早呀
1691138204# #你说她笑得那么好看应该是乖乖女吧
1694757207# #豆腐做成吃不起的样子
1696049803# #还是打的轻。
1694088806# #保温水壶内胆的制造过程
1692263529# #轿车差点撞到跑出来的孩子，家长怒找车主理论，这是谁的责任？
1691906644# #母爱真伟大！
1691825415# #这是一种很超前的科普方式
1695046779# #这月饼里包了嫦娥吧
1701081981# #还不如学学躲子弹实用点
1694015336# #晚安～
1691314679# #车：你敲到我麻筋了
1699674275# #这什么情况？这女的为什么不反抗？
1692070923# #姓牛取个什么名字比较好
1702024629# #吓我一跳还以为他要拉屎
1693874563# #这个灯可不兴开啊！显黑！
1696653943# #游客拒乘游船被当众辱骂，“穷酸又没钱，出来旅什么游”
1689228569# #给大家分享一个带饭小技巧……
1701002412# #新型夹娃娃机
1700113519# #路怒症不可取呀，害人害己。
1701080965# #哎我去俗的我没玩明白，你们玩雅的，雅的玩够了现在都玩邪的了，我还停留在俗！
1695613896# #这孩子怎么了？？？
1695385956# #明明是才艺展示怎么逐渐放飞自我了？
1690005867# #真太辛苦了没有一个动作是多余的
1702998176# #晚安宝子们
1692065944# #上班的羡慕带娃的，带娃的羡慕上班，所以到底是上班好还是带娃好？？
1688743993# #晚安啦～拿去做梦吧
1694604190# #我能当老师不开玩笑
1689045102# #你知道他头发去哪了嘛？
1690087645# #哈哈哈哈哈哈哈看到没有女人面对女人的大招也会束手无策
1697251224# #早上好啊
1699842678# #遇到这种学生该怎么办？
1696659636# #继续并排开啊，车是没动力？
1693215952# #她说的好像没毛病思考思考
1700752204# #特斯拉有的我们都有特斯拉没有的我们也有
1703517490# #晚安宝子们
1693209901# #第一件也是最后一件…
1692419897# #你以为这是一个空调
1694697925# #怎么有点不对劲呢
1692693286# #执业和尚资格证
1701238323# #第一眼看错的出来罚站了。
1691239997# #晚安喽～
1695127695# #第一次见这样的讲解
1702047452# #这也不像纹身啊思考思考
1693990196# #保安：根本吃不完
1703660881# #重新定义了炉火纯青和皮青脸肿是一个相近词
1690811238# #Mj的舞蹈再过十年依然潮流
1694781584# #这个建议出口到非洲拉香蕉
1702192475# #她手里的琴如一把粉色ak…
1693052054# #原来雪花是真的
1693358038# #玛德我该死啊，我这种不抽烟的拖祖国后腿了苦涩
1695542809# #苦了妹子，脸刹
1702112522# #怪不得人家能挣钱这内心真强大啊
1693645752# #赏心悦目
1691321511# #这是真的到家了
1701006218# #给你们看看军火库
1701603046# #马超：我的枪都没你的多。
1700017950# #看到最后撞在一起的人还好吗？
1694160771# #我一直以为那是手刹，居然是拐弯用的
1695738460# #远离这种女司机
1691020395# #每天早起打卡早呀～
1694663784# #以为这很难吗？其实一点都不简单赞
1703919515# #现在科技都发达成这样了？
1695796082# #敢于上去表白也是一种勇气！
1697422272# #早上好
1692878463# #好姐妹就要整整齐齐滴！
1691136255# #🐮：洗个澡，还有人搓背
1691885371# #大哥为何总是心不在焉，眼不在前
1701695176# #这是实习期能摆出的造型？
1691194263# #每天早起打卡早呀
1699853299# #这真是命大。
1696125183# #现在的小学生初中生都这么早熟吗
1693479066# #如果没有猜错，这位家长的孩子，已经是其余所有家长眼里绝对禁止一起玩的人了。
1694435667# #这不就是是圣人么？赞赞赞
1695427764# #每天早起打卡早呀
1692580518# #这不比成天抱着手机玩强吗？
1694263647# #本就残破的手机是不会让你的银行卡变富有的！
1695185562# #现在小年轻都玩的那么狠吗
1696516766# #吴艳妮：“我在赛场上是要战斗的，你让我低调，你没事吧？”
1697951760# #这种已经算是以危险方法危害公共安全罪了吧
1694952829# #获得优先择偶权
1694007134# #虽然不知道前因后果但是干得漂亮
1703654929# #女:突燃的自我
1696045935# #哪天没出摊就是空军了
1701837612# #这臂力惊人啊
1696215484# #短发女人的最具杀伤力
1693120478# #难怪你们不会去，天天玩
1693399454# #这不是眼神不好使，这特🐴是根本不会开车吧？
1692260166# #这是拿命在闯红灯啊！
1703655505# #看的负心汉瑟瑟发抖
1697262164# #男子租兰博基尼跑车凌晨“炸街”，交警：肇事司机涉嫌醉酒驾驶，租车公司：车主花了208万元购入，维修起码要50多万元
1691451012# #每天早起打卡早上好呀～
1691152427# #问君能有几多愁
1694520111# #观光团，这司机在哪里？
1689859448# #看来路边摊才是最考验技术的啊
1691560041# #这是怕偷垃圾嘛？？费解费解
1692253971# #这不得吓死！
1694688407# #晚上在大街上看到这玩意不得吓出屎💩来
1700055125# #不许你这么唱新郎官
1695459671# #小姐姐好美啊～
1690034672# #兄弟们，踊跃报名啊偷笑
1701157768# #这简直就是女士冬季的福音啊
1698763023# #万圣节的年味真是越来越浓了
1700553387# #千金大小姐驾到！
1698677202# #人还怪好嘞，一拳怕打倒又打一拳扶一下。
1698485014# #遇到这种人该怎么办？
1691746827# #好丝滑被这哥们秀到了
1699929085# #无能狂怒
1691634576# #谁能拒绝一辆向你飞来的拉力赛车？
1703635133# #每天早起打卡早吖
1692171792# #这也太美了吧
1689867229# #又是不开心的一天晚安喽～
1692168334# #白色Q3绝逼老司机
1696906113# #是控诉战争到最后伤痛是儿童。
1695200260# #完了完了，我成外人了
1689951965# #一个劲的打眼色
1702206857# #这是双方在斗法吗
1688533740# #毫不炫耀的说这车我在小时候的挂历上看过
1690106268# #去夏令营军训回来走路都神气了
1689001909# #晚安喽～
1691403469# #这么厉害还被别人打
1690159265# #每天早起打卡早呀
1691025961# #按这兵马俑来看，秦始皇当年打的有可能不是六国，是六界
1702304346# #公园一个德莱文
1698646375# #这种人死的一点儿都不冤
1691414032# #嫉妒使人面目全非
1702996922# #这Q5漏油了啊费解费解费解
1693199416# #哇！什么档次还有城管护送
1694850053# #第一次见报应这么快的
1703992047# #早吖～
1694699607# #这是怎么卡进去的？
1703563327# #给他一个支点，他可以背起一座金字塔
1694507629# #三魂七魄感觉丢了一魂
1693098097# #早呀～
1700613322# #训练出这一群人真的不容易。
1702104791# #哪位才是你的女神
1694078125# #卡路拉
1698071393# #没有灵魂的煎饼
1699251293# #这车技属于什么水平？
1695221813# #做错了事态度还不好，该
1694401041# #这就叫做砖业
1702856507# #每天早起打卡早吖～
1696576262# #一指头就能翻白眼，两指头就能犯黑晕，三指头那不得起飞
1694147184# #少有的完美cos
1693882403# #泰国选美冠军
1695303948# #你要说好吃，打死一楼我都不信，你要说补肾，那我信了
1692502138# #请勿模仿危险动作！
1695556986# #不要让汉堡越来越嚣张，煎饼才是最吊的
1693967148# #他是真的只在乎他的鼻孔大不大
1696220449# #出金就算了，还特🐴是迈阿密
1696249543# #这玩意儿，一看就很大风险啊，没有其他操作方式？
1699097903# #男主一直没说话我就知道他在找机会，结局舒适了
1702451288# #一直好奇这是什么舞？思考思考思考
1695867621# #每天早起打卡早呀
1701874790# #晚安喽宝子们~
1693278499# #牛牛：不顶勤不顶懒，专顶不长眼
1693363948# #明眸善睐，梨花带雨
1690534399# #此时一群靓仔在饿着肚子
1699374112# #晚安咯宝子们
1690099410# #它有驾屎证吗微笑
1692533988# #看起来她很快乐
1691671865# #这算不算正当防卫？
1700637846# #这是谁的责任？
1694847279# #这方向盘转速比发动机还高
1693583407# #司机：糟了，有脏东西
1700526133# #哈哈，用魔法打败魔法。
1699194839# #这人是有病吗？直接把孩子扔下去了
1696760174# #你也拍拍腿啊，要雨露均沾！
1689256910# #这才是我们的人民警察！人民警察！
1694347206# #他媳妇怪厉害呀，差点就把老公送去取经了
1701693814# #师傅，沟里不能停车哈
1691638798# #真·浴皇大帝
1697889499# #这要是能在线刷火箭，那不得飞得满天都是啊？？
1694859255# #哑巴是不是开不了这车
1698885641# #早每天早起打卡
1695032887# #这火力谁顶得住
1691107093# #每天早起打卡早呀
1699487151# #早每天早起打卡
1691854044# #你们还在看热闹，黑车已经悄然掉头了
1689432095# #定居南京的70岁上海大爷：现在90后都南无阿弥陀佛！
1702941612# #每天早起打卡早吖～
1688783328# #你凶我，我要站死在这
1699834149# #每天早起打卡早呀~
1691331568# #这两块西瓜，好像惹出事了
1695208219# #现在拍视频成本这么高吗
1691452618# #这种直接送到家里的，比较有保障赞
1698969963# #早每天早起打卡
1693631356# #要学会创造机会
1693842094# #晚安～
1698853268# #晚安┗(˘ω˘)┛
1701775874# #够沙雕，配当友
1697087919# #面一个标准，纸一个标准，米一个标准，背一辈子背不完！
1701061848# #没有危险的时候爸爸是最危险的！
1694828845# #确定了，泡水车
1692782918# #这左手枪咋这么丝滑呢
1695470050# #这对当时的快递员来说，天都塌了，不仅赔钱还耽误事耽误送货，公司也要罚他！
1693058772# #这是棵橙子树🍊？？
1691397305# #我家孩子以后就学笛子，这个乐器便宜
1691369410# #智能改变生活
1698162715# #晚安了宝子们
1693404429# #你觉得车上最没用的配置是什么
1693960283# #堵路不挪车
1691770203# #本来以为是女人爱的，没想到男人更爱
1695531884# #今年的军训生真是多才多艺啊
1692716771# #这玩意看起来沉，实际拿起来更沉。
1700666269# #晚安～宝子们
1689647979# #还是俗话说得好是祸躲不过衰
1694834299# #现在毕业照都这么…………卷了嘛？？这一张收费多少？？？？
1701523691# #快速下楼法
1699624355# #学青会吴艳妮以13秒14夺冠，赛后再谈抢跑：我真抢跑了又怎么了，人生总有瓶颈期，跨过去就好了
1693316606# #单人揍还是双人组合
1699597251# #大叔唱的是真不错呀。
1688907734# #这墓地的位置真🐮🍺
1693451682# #大神自制的，真🐮🍺
1694093679# #新限制令:禁止在地铁上修马蹄偷笑
1693992421# #就这么直接走了？肇事逃逸？？
1689994177# #这是因为变态出的名？
1697456010# #保安有权利扔别人的外卖？
1699282274# #好久没看过这么舒服的视频了
1690782579# #车门这种东西还是机械结构最好，不容易坏，遇到紧急情况也方便施救…
1702164545# #最近也看不到小八嘎排核废水的报道了…
1695562423# #差点就让他跑了微笑
1693409032# #生产这个厂家的老板信奉的是夹子道
1699284240# #今天是嘴限号吗？
1695784160# #女子不给陌生男子微信被殴打致流血，哭诉：“不给他微信我有错吗”
1700210335# #好人一生平安。
1694429478# #这收费合理吗？？
1699792302# #这段表演放在现在也是相当炸裂的存在
1695480848# #屌丝的最终幻想
1693636531# #一个滑铲，成功抢镜头～
1702876687# #这得练多久
1703566760# #最锋的矛VS最坚硬的盾！
1689990846# #这脚下一滑，不得青一块，紫一块，你一筷，我一筷的
1694654740# #原来歌词大意是这么个意思啊！难怪我以前虽然听不懂，但是就是喜欢允悲
1690792053# #我就是受不了这个声音，所以才不学画画的允悲
1693045548# #仙人掌都能死
1692107671# #这个游乐场有问题，这浪也太频繁了吧？而且这种场地不管会不会游泳，没穿带救生装备都不应该允许入场
1690080786# #这宅子风水宝地啊
1699531259# #以为是个垃圾，其实这是大佬的绝版皮肤
1691715811# #这个韩国大叔算是专业对口了
1695641595# #哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1697718480# #翻围栏过马路直接起飞
1698554852# #以后真不敢坐了…衰
1693104895# #眼里面有光的人.总会给人带来温暖赞
1695526656# #这导游没镇住场子估计要挨打了笑cry
1694607919# #遇到这种的人你会怎么做？
1693879585# #这个是真会
1692512038# #自古劝架：增长凶的气势，增大弱的气度。
1692277620# #疑因小男孩让老奶奶换座遭拒，男孩声嘶力竭骂人。目击者：很吃惊，后来孩子爷爷上前制止。
1693811885# #这酱香拿铁可以呦
1699626312# #有个笑话，4岁小孩2000英语词汇量在美国足够了，在海淀不够
1691566678# #谢谢互联网让我过上财阀的生活
1692100950# #爷爷听了之后葫芦没开花就连根掘了，碾稀碎！
1702654829# #晚安～宝子们下雪了好冷
1696316751# #点了盘现烤鸡丁允悲
1701081065# #有两搓毛，但没刷子把
1695810909# #9月26日，叙利亚总统夫人到访北外，随行女特勤眼观六路耳听八方，又美又飒气场强大！
1694188673# #晚安～
1691670716# #小日子这是把自己转晕了嘛？
1689853435# #服了这个老6怒怒怒
1689512560# #这哪是千里眼，这是潜水艇啊允悲
1698372817# #早～
1702080814# #每天早起打卡早呀～
1697686864# #两名男子喝多后，把老外给打了！
1703408584# #这就是网红文化带来的下一代
1695611002# #追尾还发视频出来网爆自己？
1695884304# #老人强行要求小学生给自己让座，被旁边陌生大哥怒怼。这事你怎么看？
1698795712# #早上好每天早起打卡
1695098541# #小日子在顶楼供奉的顶楼神社。he～tui打脸打脸
1703659892# #穷有底线，富没上限
1692934284# #我一直看电动车。原来主角另有其胎
1693302436# #502胶水，前轮粘住了？
1698395152# #2少年当街飞踹残疾拾荒老人拍视频警方：涉事人员被抓获，镇政府：学生心智未成熟
1694182101# #《象牙山贼王》
1695345156# #这车多少缘？
1694938337# #查重率比论文还高
1690991971# #你以为的老阿姨年轻时有多绝，也是惊艳了一个时代！
1694964722# #晚安～
1702807106# #弃車保帅
1691993760# #她很了解自己的优势和加分项
1703138182# #真的很有意义！姑娘唱歌的时候我的眼眶也红了！！
1693466074# #这个你要怎么防？
1691372578# #这花里胡哨的功能好像很多国产车都带
1692023052# #可悲啊，一千多我一个都没看过允悲
1692372482# #强者从不抱怨环境
1698902966# #何德何能听到73万一个的鹦鹉螺
1701836886# #人傻会传染吗？
1693539741# #这榕树成千年榕树不成问题
1693901751# #不是说会报恩吗
1695031371# #大爷：我也没做啥伤天害理的事情啊
1702296887# #知识改变命运
1689128580# #奔驰真是不坑穷人
1697075062# #王思聪再次有实际行动来证明投胎确实是一门技术活
1696430928# #晚安
1701921437# #不能给个痛快吗怒
1694253256# #来猜猜这是啥车
1701524930# #这学校还有纸扎专业？
1693269306# #是谁，在敲打我窗！
1698623332# #早每天早起打卡
1691732232# #你努力到极限换来的只是别人坐享其成罢了
1696467063# #每天早起打卡早呀
1693151924# #晚安喽～
1688690340# #每天早起打卡早呀～
1698160858# #迷茫就对了奔四的也在迷茫呢
1690299788# #晚安喽～
1691237710# #看到最后舒服了
1700443439# #这剧情太炸裂了
1695121636# #哈喽大家好，我们是鬼迷日眼
1698111832# #这个通技师学院是谁开的？
1698993704# #这人不太好了吧
1689829820# #前段时间我腰扭了，去看了中医，进行了针灸理疗…一次就好了很多！不得不说是真的有用！其实只要能看好病就是好医生
1693965284# #农民的办法真是多
1693140872# #这是来免费洗脸的嘛？
1697096128# #顾客到店里试衣服不买，当面扫码到网上对比价格，被店主怒骂炮轰
1693573675# #消防员参加广播体操比赛震惊全场赞赞赞
1694922254# #谁能拒绝头上装摄像头的男人
1688465002# #这是什么车？疑问疑问
1701842543# #座山雕？？
1690449077# #这维修费得多少钱？
1690032966# #这饼做的真好
1689768484# #有些人的驾照真的不知道是怎么拿到手的
1695022066# #居然有点神似陈思诚
1694501784# #王多鱼看到后，眼睛都得冒光！
1689927889# #这是谁的儿子又是谁的女儿
1694852131# #比华山更难攀爬的景点，玩得好一身灰，玩不好一盒灰
1694693073# #诸神的养老院
1697770349# #小宝宝：今天我非得死吗？
1691941235# #晚安喽～
1701751341# #好一招神龙摆尾
1691412399# #最底下的姐妹还活着吗吃惊吃惊
1690091051# #看，这就是我不买奔驰的原因。
1694433159# #谁在偷偷玩卷尺
1698996539# #四个人凑不出一个会开的允悲
1698135602# #嫂子看着像义乌的人
1695000290# #国外的奢侈品咬咬牙买的起，中国的奢侈品牙咬碎了都买不起！
1689430265# #7月14日，江苏苏州，汽车嫌前方电动车挡道，加速超车闯红灯造成严重事故。
1693219185# #离谱…
1694408589# #这次真是封闭路段拍摄了
1698330845# #有钱人的玩具都和我们玩的不一样
1695371460# #国外也这样吵架
1691335497# #天赋真的非常重要
1700553309# #红衣服大妈人不太好了吧衰
1699169695# #自己作死，不要祸害别人。
1696741015# #一看小姐姐就是月经正常且量又不是很大的妖娆美
1692881933# #你能想到这小小的遥控车居然要……这车多少钱？
1694594901# #纯工艺！
1698293670# #不是为了俩钱，司机真不想停车
1694617319# #晚安～
1692631968# #这种情况真的需要保安了，人也太多了都走不了路
1697377227# #技高人胆大
1698050172# #这也太吓人了
1702204863# #此刻光有了属于自己的形状
1693659900# #这才符合沙和尚的造型
1692238348# #澳门价值20亿的金钱树，每片叶子都是纯金打造，祝刷到这视频的你发大财
1693983748# #这才是当初人民教师的模样呀
1701442365# #还有你认识的谁？？
1693905488# #这桃可不能吃啊
1695137343# #晚安～
1693442118# #这是真疼嘴唇都紫了
1691912981# #坦克开出了霸王龙的感觉笑cry
1693611827# #每天早起打卡早呀～
1690248209# #故乡容不下肉体，他乡留不下灵魂
1691421983# #真的好听！现在已经没有这样的群星歌曲了
1695123127# #看地上的刹车印就知道有不少司机被害过
1693194251# #这是什么高新科技？
1694875072# #优雅，可以说非常优雅
1691038873# #可不可以称得上“高手”二字
1693550559# #技术被老外偷走了
1698929543# #熊孩子往兰博基尼超跑灌沙，车主：还好问题不大，清理一下就行，对方家长承担了费用一万多元。
1688659920# #晚安喽～
1694052589# #链条和传动轴你更喜欢哪种
1696324894# #您有新的挨骂订单，请及时处理
1693707843# #这人喔什么素质
1696229442# #真勇啊还想体验警车开道啊
1689684686# #这小子脑子转挺快
1702481910# #我是真没想到，蒸馒头都能擦！
1691407041# #没想到一块石头的花花肠子这么多
1696493198# #这么懂事的老婆真羡慕
1702113160# #高跟鞋能穿到这个境界也是无敌了
1690388340# #晚安喽～
1696082425# #一句“吔屎啦你！”恐怕要写进史书允悲
1694423590# #保安有执法权嘛？
1691283686# #每天早起打卡早呀
1692495876# #每天早起打卡早呀～
1702823358# #妈妈和女儿一起共舞你觉得谁跳的更好？
1690010111# #主持人心里想糟了广告还没念完呢黑线
1701180009# #晚安～宝子们
1702902054# #这几下子，一般人真整不了
1692889269# #我撸串都不敢这样苦涩
1693829991# #太危险⚠️半挂大货车转弯，接连两辆载人电动车撞击…
1696733538# #男子因遛狗不拴绳致自己的狗被女子的狗咬，下一秒竟疯狂怒怼女子，“你女的不要出来遛狗！”
1702542686# #故居遗址都出来了？是不是早了点？费解费解
1691709397# #每天早起打卡早呀
1689754062# #一看就知道师承何人
1703919370# #同学们如果不想听老师讲课老师也略懂一些拳脚
1696473799# #空调开外循环了别问我怎么知道的
1689170533# #晚安喽…
1691818791# #这个反应和我一样允悲允悲
1701697151# #四面八方皆是敌！
1692451350# #看似安慰实则嘲笑
1692773227# #不得不说手机和脚的质量真不错
1697864339# #女子没赶上高铁，接下来的行为让人诧异，你怎么看？
1695701646# #看看人家的二头肌
1700613530# #丝完了撕哪？
1698578665# #这小孩还好吗衰
1700753303# #搁现在参加好声音，海选都过不了
1702388150# #车头一翘贴地睡觉，奈何桥上反复横跳。
1696304351# #看着好像要变异了傻眼
1696217182# #可不可以带女朋友进去取？
1693393834# #这活能不能干？？？
1697353593# #太落后了，还用实景，我们都用绿幕了！
1689664334# #能坚持到目的地全靠康师傅、黄老吉、怡宝纸箱😂😂
1690128275# #晚安喽～
1689467562# #每天早起打卡早上好呀～
1698065749# #你更喜欢哪个？？
1695903197# #你就说省不省油吧
1703164147# #成品小钻风，托尼看过西游记？
1694134612# #每天早起打卡早呀～
1693396699# #印度女子敢这样穿？？
1702719575# #这啥牌子的悬挂
1701837882# #这眼睛笑起来是弯的
1699104198# #抱摔还再给头部一下暴击，这尼玛多大仇啊
1698479910# #小姑娘太乐于助人了！
1694769908# #李白：日照香炉生紫烟，鼻子闪了一整天
1697074052# #每天早起打卡早呀
1694616220# #碰到这样的导游，你还有心情旅游？
1693969581# #一台智能……打印机……
1703601867# #晚安宝子们
1699888801# #晚安喽～宝子们
1698460737# #你们学会了没有？
1692695199# #这解锁了几颗星？？
1701689550# #听说这是2万伏电流的声音⚡
1697718773# #就这项目还是国内强，难度系数比这高
1702102145# #成绩合格请回兰州中心打印成绩单
1690022865# #违章违规了吧？doge
1697093610# #高铁上，一句"真晦气"引发的争执
1696661518# #女子摸路边陌生的狗，反被扑倒疯狂撕咬脸部衰
1692949446# #看着都疼衰
1689693575# #唐门暗器恐怖如斯允悲
1690765528# #每天早起打卡早呀
1691917684# #中间那个是厨师吗，戴着厨师帽允悲
1699536335# #少走几十年弯路，直接坐轮椅！
1702554696# #君子动口不动手允悲
1693382092# #车：我已经被你弄的喘不上气了
1691132357# #哈拉少不哈拉少
1694084079# #不知道这下得赔多少？
1694577087# #🐍：我可以放你一马，也可以放你两马，记住我不是放马的。
1694490709# #这真是魂都吓飞了
1691623657# #每天早起打卡早呀～
1690803259# #烂泥扶不上墙，这是好泥
1697349450# #这么玩迟早出事！！！
1691764168# #被抓之后警察问：还有什么想说的吗。。我：把监控调出来发网上
1695653253# #吃蒜就吃蒜，还点面条呢浪费
1696779060# #看完确实震惊三观！
1700051447# #过家家（夕阳红版）
1696937137# #强迫症受不了啊😫，V歪了
1702253716# #每天早起打卡早吖～
1696122554# #每天早起打卡早呀
1691025960# #按这兵马俑来看，秦始皇当年打的有可能不是六国，是六界
1689745216# #青春没有售价，帽子只扇脑瓜
1695274238# #mate60proVS小米13pro长焦微距对比，谁更胜一筹？
1694673218# #这真的能吃吗？？
1692954298# #插队还这么理直气壮怒
1693100624# #蜈蚣:好看吧，拿命换的！
1694584469# #大爷：我就靠你发家致富了
1691052542# #全力以赴对阵轻描淡写
1690942752# #后边挡泥板能给个头盔吗
1689558372# #长大了才了解当时老师的那句“你们不用化妆，你们就站在那里，你们就是最美的”
1700526329# #过个生日把闺蜜给整社死了。
1690884879# #这个什么泵？那么6
1696861166# #万一进去了状态怎么办？
1691753140# #转弯还开这么快，这不是害人吗
1699167237# #这是真功夫。
1689953846# #晚安喽～
1693015703# #这什么玩意？？
1701579160# #人类一败涂地
1693699055# #这是怎么放进去的？
1690426748# #这个鞋子是我见过的最茂盛的
1698850272# #是反甲，凳子出了反甲
1693794639# #这种可以找屋主赔吗
1693701671# #这么专业的吗？画个图还要搭脚手架！
1699628396# #来人，上减速带
1698582303# #这树不行，爆率太低。
1702470921# #台中女中掌旗官
1699885750# #吗喽行为
1702825880# #这要准备起飞啊
1695804161# #讽刺的好啊
1695002763# #918勿忘国耻92年前的今天，九一八事变爆发。铭记那些血泪屈辱，铭记先辈的不屈抗争。勿忘历史，吾辈自强！
1691919690# #打个架弄的像结婚一样！
1694157809# #还有这功能？？
1691830853# #还是鼠标滚轮方便
1694656863# #教练为了挽留住学员都用出他的洪荒之力了
1689001632# #将军来了也得送外卖
1703138242# #真的很有意义！姑娘唱歌的时候我的眼眶也红了！！
1697587866# #每天早起打卡早呀~
1688459872# #火车站除了售票厅卖的车票外，其他都不能买
1691110204# #这是小瓶这是大瓶这是超大瓶
1698114252# #卧槽，楼栋在变形移动
1693371537# #最强导播
1700113664# #这拉的比我吃的还有营养。
1692340341# #开塞露出新品了？
1693726767# #弯道超车弯道加油人生就短短几十年你还抄近道
1689759031# #没有被五毛钱小刀削过手的童年是不完整的
1701839128# #老公你说句话呀
1703722034# #每天早起打卡早吖～
1695278900# #这个在你们家叫什么名字啊
1690274007# #现在的“老头乐”都这么卷了？？？
1703745043# #拍一部《黑丝足球》，有没有搞头?
1701081707# #不可否认的是，手机前的你，嘴角是不是已经高高翘起了。
1700613478# #确实是狠人
1701382026# #每天早起打卡早呀～
1697725444# #这不下去拜个把子？
1693196442# #拍石头比赛？
1691076036# #晚安喽～
1695087900# #这战斗力令我惊呆了
1695202974# #你们是带着我的快递环游去了吗？从连云港寄到皖北，寄到淮安和蚌埠中转我可以理解，正常蚌埠中转后下一站就到家了，现在跑到了安庆是什么鬼？越跑越远怒怒
1692691241# #天津新天地大厦突发火灾火情已基本控制，具体原因还在调查🙏🙏🙏
1700526281# #这熊孩子打一顿就好了。
1694648966# #每天早起打卡早呀
1690252088# #放生矿泉水？？费解费解费解费解
1702340138# #每天早起打卡早呀～
1701641748# #每天早起打卡早呀～
1695998099# #一个老鼠屎坏一锅汤，建议直接封号
1691723148# #关键时刻还得是兵哥哥赞
1698656175# #尼玛能吓死人
1697014108# #他俩玩的还挺花
1701006424# #晚安┗(˘ω˘)┛
1698639698# #万圣节怎么成cos节了
1691508459# #我还是比较喜欢他桀骜不驯的样子
1699967002# #金钱和权力都很重要！
1692360826# #这个大爷真倔强，就是不肯让步堵了半条路
1699279780# #孙悟空：不玩了，走了
1703409858# #这砖可真够厚实！
1692445703# #这是西瓜泡泡糖嘛？
1693387457# #电影都不敢这样拍啊
1703228489# #原来欧阳锋当年只是练了个背阔肌，被传成蛤蟆功！
1692091113# #遇到这种人吃饭咋办？
1701681737# #这下知道为什么要禁止随地大小便了吧
1691452612# #这种直接送到家里的，比较有保障赞
1703827170# #交警：有时候真想报警
1692151648# #这时候如果一方突然摆出一个阵型，对方肯定懵逼。
1689082353# #这样都没扔，一定很爱喝
1696152347# #晚上不开灯的都是狠人难道真的看得清路吗
1694273373# #纯手工制造
1691060255# #这是在炫技嘛？
1690201082# #丝滑，真的太丝滑了
1693971814# #意识不错，出车祸先开双闪
1689918144# #这不是我技校同桌嘛，如今去国外混的风生水起啊
1692926240# #我想开个水果店，名字叫：有你好果子吃
1690169300# #女：家人们谁懂啊，被变态尾随了允悲
1694661887# #女人一生中最美的一天，就这样子破坏了
1700785027# #每天早起打卡早上好呀～
1702629624# #这不是国家电网，这是山区孩子眼里的光。
1691739224# #宁愿坐在宝马车里哭？？
1693925552# #已经是最安全的海鲜了哈哈
1695898116# #船:你看我一让开，倒霉的就是他
1689249698# #这玩意儿长大了会偷袈裟吧？
1703164345# #你永远猜不到我黑白灰下面藏着多骚包的袜子
1703225326# #话说活物泡酒跟尸水有区别吗
1700017737# #这得等着赔钱了吧。
1696157635# #老鼠:特喵的这个家不能待了，快搬家
1694149190# #来人呐！掌嘴！
1691031749# #猛男必看
1693239674# #晚安喽～
1697183234# #又菜又爱玩！
1690471469# #没事你还会看电视吗？你们都用什么软件看呢？？
1702865516# #这是专为我这种手残党准备的吗？
1693719101# #这班上的连假都不敢请
1688469916# #上辈子是个螃蟹🦀
1691369412# #智能改变生活
1698587378# #差点把对向的摩托车给坑了……
1703165587# #还好百世快递车没事，我棉裤还在车上冻死我了
1700492982# #晚安喽～宝子们
1695309478# #真是干了个寂寞啊衰
1691645806# #这种人脸识别能过嘛？
1692202777# #晚安喽～
1688434974# #7月2日，四川绵阳，学生放假打车遭遇涨价，开空调要另收30元。司机：你可以去举报我…
1701523767# #在山的那边，海的那边，有一群蓝精灵
1693531182# #这还不赶紧干一杯
1695254562# #新的校园爸临
