1701835427# #清者自清
1700095238# #目前缅军有意求和，但果敢同盟军司令彭德仁提出四大条件。。第一，几大电诈头目，魏家的魏荣，魏怀仁，白家的白所成，还有明学昌都必须主动去中国投案自首。。第二，必须解除所有和中国人员签订的合同或协议，无条件解除对中国人的控制。。第三，无论这些人是否愿意都必须将其遣返回中国。这些人当中不乏
1701911146# #转发微博
1699155442# #哈哈哈哈哈哈
1700711822# #颜宁发文谈中科院院士增选结果【颜宁发文谈中科院院士增选结果】据11月22日报道，2023年两院院士增选结果正式揭晓，中国科学院增选院士59人，中国工程院增选院士74人。据中国科学院当日发布的名单，45岁的颜宁新当选中国科学院院士。你知道颜宁教授吗。。11月22日颜宁本人发文
1701125868# #【广州7旬老人失踪9天被找回】近日消息，广东广州。11月15日，一名患老年痴呆症的72岁老人不慎走失，其家属找了9天都没找到。救援队通过监控视频提供的线索展开搜索，最终在树林中找到老人。所幸老人没出血、没骨折、体征正常，这期间或通过路人帮助、拾荒来补充身体能量。搜救队员表示：“能支撑9
1702517989# #转发微博
1701481119# #转发微博
1700626193# #转发微博
1702599528# #周海媚曾称有皱纹也可以很美昨天看到一句话：黄泉路上无大小，60.70都在排队了，谁又逃得过呢？周海媚姐姐一直都很美，奈何自古红颜多薄命，香消玉殒谁人怜
1703058729# #【女子8名亲戚在地震中遇难：有人前2天还和我说话】据北青深一度：感受到地震来袭时，索艳正准备去倒泡脚水。她在积石山县大河家镇街道上拥有一栋四层小楼，在一楼开了一家化妆品店，晚上她和奶奶住在四楼。。。周围的一切开始东倒西歪，屋内的灯突然灭了，索艳回过神来，“感觉到自己好像被什么东西击
1703030779# #历史超话大家一起唱：没有毛主席就没有新中国。赞赞赞鲜花鲜花鲜花
1703291428# #转发微博
1703747420# #突发！一名以军士兵射伤数名战友。据俄罗斯卫星社12月27日转引《耶路撒冷邮报》的报道，一名以色列国防军士兵夜间从噩梦中醒来后朝墙壁开枪，导致数名战友受伤。。《耶路撒冷邮报》在报道中指出，这名以色列士兵在参加加沙地带一次行动后与同队战友正在阿什凯隆某营地休整。。报道称：“这名士兵疑似患有
1702422134# #转发微博
1702367717# #【栩栩如生！16名雪雕师耗时7天雕刻巨型雪龙】近日，黑龙江哈尔滨，太阳岛雪博会大型雪雕作品《龙腾福山》主体部分完成。该雪雕长16米、宽9米，高17米，用雪量2200立方米，由16名雪雕师耗时7天雕刻而成。
1702858554# #转发微博
1701248215# #赵润田同志提出，贪污50万必须判死刑的建议后，整个社会陷入了前所未有的惊讶，争议也随之而来，也是，有人会说太重，也有人拍手叫好，赵润田同志的建议，引起了广泛的讨论和争议，我感觉这不是简单的提议，而且代表了当前中国老百姓对于官场的一种期许，希望能震慑到贪官污吏。曾经的三年
1703307728# #【联合国通过决议春节将作为联合国假日】据中国人民共和国常驻联合国代表团官网消息，12月22日，第78届联合国大会协商一致通过决议，将春节（农历新年）确定为联合国假日。联合国通过决议将春节作为联合国假日。。中国常驻联合国代表团临时代办戴兵大使在联大决议通过后表示，春节作为中国传统民俗
1700293504# #曾录视频给缅北白应苍庆生，男演员道歉
1700179682# #国足世预赛首战告捷【中国男足2比1战胜泰国队】16日，在2026世界杯预选赛亚洲区36强赛首轮比赛中，中国男足在客场以2:1战胜泰国队，首战告捷。国足vs泰国（记者：林昊韦骅万后德）
1700712699# #95后小伙辞职回家被爷爷奶奶的爱治愈【95后小伙辞职回家被爷爷奶奶的爱治愈】近日，安徽，“95后”小伙辞职回到老家，每天都被爷爷奶奶花式“投喂”，想吃什么爷爷奶奶都会第一时间满足，有好吃的爷爷奶奶都把最好的留给他。小伙表示，之前在外工作受到的压力和疲惫，在辞职回家这段时间被爷爷奶奶
1701305191# #转发微博
1699506325# #【佳木斯体育馆遇难学生母亲发声】体育馆遇难学生母亲痛哭天都塌了11月6日，黑龙江佳木斯桦南县悦城体育馆发生坍塌事故，三名初中生遇难。11月8日，网传其中一名遇难学生母亲讨说法：“我现在就跟丈夫离婚，跟孩子舅舅断绝关系，孩子是我生的，拿工作压我不管用。”女子称儿子学习成绩很好，能考
1699673785# #【坚持吃核桃6个月会怎样？】吃核桃补脑是真的吗“吃点核桃补补脑”可能是很多人从小听到大的一句话，那么吃核桃真的会影响大脑功能吗？近日，柳叶刀子刊发表一项真人对比试验发现，坚持吃核桃6个月，大脑的确发生了一些变化。（生命时报）
1703559782# #🇨🇳中国货轮红海不但畅通无阻，胡塞武装还护航！。goodgoodgood威武威武威武给力给力给力
1699407308# #苏大惠“江苏医惠保1号”好产品敢赔付，用微光照亮希望！。。江苏医惠保理赔系列故事“惠有一束光”！人物：徐先生。。。徐州刘先生11年前时常感到身体无力，被确诊为因帕金森病，十年间依然乐观面对，今年8月住院进行手术治疗，病情得到控制。。。刘先生介绍，单单脑起搏器的价格就近30万，加上住院和手
1700630728# #正如以色列没有预料到哈马斯的袭击，。哈马斯策划恐怖活动时肯定也没想到以色列的反击如此强烈。在以军进入加沙前，相当多的评论者都不认为以军有胆量进去，因为照他们的说法，以军会陷入巷战中损失惨重。。目前看来，以军有伤亡，但与被消灭的哈马斯比起来，确实很少。昨天睡觉前看到一个视频据称是地道
1701146071# #看谁更强硬竞赛？尹桑要哭晕在厕所里了。。1、先是韩国11月20日警告朝鲜不要发射卫星。2、结果朝鲜21日高调宣布发射成功。3、于是韩国22日宣布中止军事协议部分条款报复。4、朝鲜国防省23日干脆宣布废除韩朝五年前签署的军事协议。5、朝鲜27日开始修复边境哨所，并重新部署军队和重型武器。以上内容
1703636933# #《求是》杂志：永远铭记毛泽东同志的丰功伟绩和崇高风范（2023/24）
1700352309# #赞赞鲜花
1700468949# #腹泻以为是胃病结果是心梗【小心！腹泻以为是胃病结果是心梗】11月20日，心梗救治日。心梗有多会伪装？心梗经常“伪装”成其他疾病，这些症状不容忽视：1.以腹痛、腹泻、呕吐等为主要表现的AMI误诊为急性胃肠炎、急性胃炎、消化性溃疡等。2.以晕厥为主要表现的AMI误诊为癫痫、短暂脑缺血发作、病
1702518817# #周海媚年轻时上过的综艺，连主持人都只是一直赞美，颜值逆天！吻别MV，惊为天人，摄人心魄！周海媚
1699659719# #【李家超：香港法治确保香港长期繁荣稳定丨香港一日】（2023.11.10）。·香港法律周2023闭幕李家超、刘光源等致辞。·臭虫杀到香港？欧洲臭虫危机已蔓延韩国。·香港区议会选举，399名候选人提名获裁定有效。·受管制日本县水果和海藻产品进口香港食安中心跟进
1701145419# #这是我今天早上一睁开眼就看到的一个好消息，果敢同盟军进入老街，开着崭新锃亮的新车招摇过市，是何等的威武霸气，这一刻可足足等了十四年，十四年的光景啦果敢同盟军缅北多地爆发激烈战事外军影像侵权即删
1701146903# #网红痞幼就盗用他人视频道歉【网红痞幼就盗用他人视频道歉】近日，有博主“丁亦然”发文称，千万粉丝网红“痞幼”盗用自己在冰岛拍摄的作品。11月27日，其称粉丝在对方视频下艾特自己，自己看到后很惊讶，“作为一个千万粉丝的大V，还要盗用别人的视频用吗？要么是不懂著作权，要么就是不在乎和不
1700986573# #2004年，张纯如的遗体告别仪式上，一张罕见的遗容，照片中的张纯如身穿蓝色上衣，面容安详，如同熟睡一般，她的丈夫布雷特，深情地最后一次吻了她的脸颊，这一幕令人痛心。。。原来就在几天前，一声枪响，年仅36岁的张纯如在自己的白色轿车里结束了自己短暂但又辉煌的一生。作为美籍华裔作家，她凭借《南
1700718759# #苏大爱苏大惠简单的一张表格不简单，让广大参保人见证了江苏医惠保1号的诚信和保障。截止11月20日，赔付人数5595人，赔付金额3515.33万元。有了这个“宝”，全家人安心。苏大帮
1700614286# #【央广网评明星录制祝福视频成产业不能只收钱不负责】近日，“多位明星给诈骗分子录视频祝寿”的话题引发关注。起初很多网友觉得不可思议，明星怎会和诈骗分子有所勾连？随着一些明星纷纷出面道歉，彻底坐实了这门“生意”的存在。。。媒体调查发现，类似的祝福视频并非新鲜事物，而是一条完整产业链
1700107777# #毛主席是这样一个人——一辈子不贪钱，一辈子节俭度日，一辈子让敌人闻风丧胆，一辈子手不释卷，一辈子与人民心贴心！他还是这样一个人——一生信念坚定，一生踏实务实，一生坦荡无私，一生清正廉洁，一生文韬武略！
1700105312# #巴以冲突内塔尼亚胡在加沙犯下了不可饶恕的罪行。如：种族灭绝罪，残杀妇女儿童罪，滥杀无故罪等等。应该成立国际法庭，象二战后审判日本东条英机一样，杀无赦！
1699055648# #转发微博
1703464913# #什么叫格局，这就是格局！钱不赚了，也要去参与救灾，也要去做慈善。这样的艺人，才是真正该追的星，这样的艺人，才是真正该红一辈子的明星。
1702523725# #周海媚她不化妆很清纯，化了妆就好妩媚，以前觉得她眼袋有点大，现在才知道那是卧蚕，总之她就是很耐看很有魅力的女神周海媚曾称有皱纹也可以很美
1700524558# #特朗普发誓，如果当选，将扼杀拜登正在追求的亚洲贸易协议。。共和党总统提名的领跑者唐纳德·特朗普周六表示，如果他要赢得大选并重返白宫，他将取消美国总统乔·拜登提出的太平洋贸易协定。。。特朗普在爱荷华州对支持者发表讲话时表示，他反对拜登政府与其他13个国家谈判的区域贸易协议，认为这将掏空美国
1703292268# #转发微博
1702267085# #俄不撤军，就不停战，泽连斯基给出停火条件，俄罗斯必须全部撤离乌克兰，否则不会停止作战，但是俄罗斯不可能吐出已经吞进去的土地，所以俄乌冲突很难结束，会变成一个长期的冲突，可是对于乌克兰来说，冲突继续下去，对乌克兰来说是一个灾难。本条信息作者，如侵权，请联系本人删除
1702945665# #转发微博
1702789617# #"中国的钱，大都给当官的贪了。有钱的人都移民国外去了！”这是一种广泛流传的社会声音，反映了一些人对社会现象的担忧和不满。然而，这样的说法究竟有多少真实成分？让我们以事实为基础，深入分析中国社会的现状和其中的变化。。首先，对于“中国的钱，大都给当官的贪了”的说法，不能一概而论。中国
1700797481# #科学家？
1701219222# #转发微博
1699229929# #转发微博
1700785315# #转发微博
1703318263# #【年轻人纷纷用起老人机，不是因为穷】老人机何以受到年轻人追捧智能手机的普及，曾让功能机一度沦落为“老人机”，不过，功能机的使用群体，并不局限于老年人，很多年轻人也在使用功能机，甚至有网友调侃，“现在市面上购买老人机的，要么在尽孝心，要么就是在禁欲”。功能机何以受到年轻人追捧
1703804449# #转发微博
1699744567# #曾东生超话反腐~肃纪明朝时期的朱元璋杀了那么多贪官也没有止贪，为什么呢？🙏🙏🙏
1701925869# #她拼命拍打车窗想叫醒沉睡车内儿子【她拼命拍打车窗想叫醒沉睡车内儿子】近日，天津西青，一辆轿车停在路口红绿灯前，司机陷入深度睡眠，交警叫醒无果后，恐其发生意外报警求助并联系司机家属。赶赴，破拆前尝试让家属大声呼喊男子，通过努力最终将其叫醒。经了解得知，原是男子姥爷过世
1699927287# #海峡快评近日，从老牌世新大学中文系停招，到台湾“历史教育新三自运动协会”在台北举行记者会，批评民进党当局的“去中国化”政治目的。民进党当局不负责任的“去古文化”教育，牺牲广大台湾学子最重要的语文养成教育，对下一代的成长发展贻害无穷。不管是“去古文化”教育还是“去中国化”教育，
1699144630# #转发微博
1702282108# #12月11日，贵定县公安局在其官微通报，12月7日，贵定县航天高级实验中学发生一起坠楼事件。初步查明：死者梁某某系贵定县航天高级实验中学学生。经公安机关现场勘查、调查取证、查阅视频监控等，该生符合高坠死亡情形。目前，相关后续处置工作正在有序开展中对梁某某坠亡，我们深表惋惜。界面新闻
1701835872# #作者；张允晨。一吵架就不说话属于“沉默效应”。这是一种心理防御机制，可以在保护自己不被受到伤害的同时，也能形成对对方的反抗。。其实这种沉默代表着逃避，冷暴力，消极，这类人的自我保护意识特别强，内心比较封闭，很难走进他的心里，这和安全感缺乏有些很大的关系，遇到问题不轻易说出内心的想法
1700276344# #【家里花40万从缅甸赎回男子埋怨为何把我搞回来】据红星新闻：弟弟从缅甸回家以后，陈女士（化姓）依然没能放下心来。明学昌早年从军。。10月24日，陈女士给红星新闻记者发来消息，称家里花费40万元，终于从缅甸电诈园区将她弟弟小陈（化姓）营救回国，但回家以后的小陈“不太对劲”，“还怪我们救他
1703479761# #国安部发布日常保密注意事项清单【国安部发布日常保密注意事项清单，请速查收！】①不用手机发送国家秘密事项或涉密信息。②不扫描来路不明的二维码。③不连接没有加密防护的WIFI网络。④不轻易在敏感地点附近打开手机的定位功能……日常保密注意事项清单↓↓国家安全机关提示：如发现危害国家安全
1700178898# #转发微博
1699230561# #转发微博
1700893861# #大家有没有发现，进入2023年以后我们的社会出现了两个极其反常的现象。。。第一，汽车越来越便宜了。曾经二十多万的车，现在已经跌到10多万甚至10万内。新能源的出现，彻底改变了汽车格局，一方面打破了曾经被日系韩系占据大部分市场的格局，一方面加速了燃油车的淘汰，现在各大车企的燃油车开始仓皇出逃
1702518427# #转发微博
1700631868# #苏大惠推广“江苏医惠保1号”有何意义？“江苏医惠保1号”为江苏省医保参保人专属的普惠型补充医疗保险。在江苏省医保局等部门共同指导下，以低廉保费为江苏省医保参保人提供住院和门特医保内自付费用、医保外自费费用、重疾再保障及罕见病药品报销等多重保障，提升参保群众医疗保障水平，助力江苏省
1700551434# #央媒称该管管所谓的明星祝福视频了【央媒称该管管所谓的明星祝福视频了】。近日，一条“多位明星给缅北四大家族白所成之子白应苍录视频祝寿”的视频引发网络热议。网传视频疑似拍摄于一场生日宴会，舞台中央的大屏幕上播放着一段视频，视频中有不少演员、网红的身影。
1703209284# #清平乐·六盘山。近现代·毛泽东。天。高。云。淡。，。望。断。南。飞。雁。。。不。到。长。城。非。好。汉。，。屈。指。行。程。二。万。。。六。盘。山。上。高。峰。，。红。旗。漫。卷。西。风。。。今。日。长。缨。在。手。，。何。时。缚。住。苍。龙。？
1699771267# #日本大熊猫粉丝团来川看香香【日本大熊猫粉丝团来川看香香】日本铁粉拍大熊猫3371天大熊猫“香香”日本亲友团近日抵达雅安，与曾经“旅居日本”的“香香”重逢。这距离“香香”2月19日在日本上野动物园最后一次亮相已过去8个多月。摄影师高氏贵博高举相机、按下快门，成就他拍摄大熊猫的3371天
1699401021# #转发微博
1701994986# #转发微博
1702266822# #转发微博
1699414316# #央行行长潘功胜：必要时央行还将对债务负担相对较重地区提供应急流动性支持-搜狐新闻
1701685041# #转发微博
1700269009# #转发微博
1700798325# #【芜湖官宣取消安全教育平台打卡！】目前，福州、成都以及我省池州等地纷纷下发通知，取消安全教育平台打卡的强制要求。记者最新获悉，芜湖市教育局已向各县市区教育主管部门及学校下发通知，取消安全教育平台的强制打卡要求。
1701578503# #好老师！赞赞赞
1701481267# #转发微博
1700644790# #【为何主播低俗扮丑屡禁不止】11月22日，中国消费者协会发布2023年“双11”消费维权舆情分析报告，小杨哥徒弟红绿灯的黄被消协列入低俗带货案例。小杨哥徒弟被消协列入低俗带货案例。报告指出，该女主播在带货时形象邋遢、表情狰狞，在直播截图中，甚至一度叉开腿蹲在桌上，姿势颇不雅观。其实这
1699056184# #【吴尊友母校安医大设立吴尊友奖学金，3天已筹款近45万元】吴尊友母校设立吴尊友奖学金10月27日，中国疾病预防控制中心流行病学首席专家、性病艾滋病预防控制中心原主任吴尊友逝世，享年60岁。澎湃新闻注意到，吴尊友的本科、硕士母校安徽医科大学于近日设立了吴尊友奖学金，并在3天内筹款近45万
1702440924# #为什么很多老人摔一跤没多久就走了为什么很多老人摔一跤没多久就走了【为什么老人身体好好的，摔一跤没多久就走了？】这两天，许多地方都迎来了降雪，大雪在带来美景的同时，也带来了一系列的危险——。。雪后路滑，一不留神就可能摔倒。有的人可能拍拍屁股站起来没啥事，但有些人，特别是老年人，摔
1703124470# #转发微博
1703205256# #【少将家属回应开国少将被造谣成叛徒案宣判】一张革命烈士的照片，却被用在了“中国十大叛徒”的短视频中。开国少将何克希将军的家属发现，部分短视频自媒体在视频中使用何克希同志的照片，并恶意曲解其形象，相关视频被大量转发。。。12月21日上午9点30分，杭州互联网法院公开开庭审理本案，当庭判令
1699413194# #苏大惠苏大惠“江苏医惠保1号”好产品敢赔付，用微光照亮希望！江苏医惠保理赔系列故事“惠有一束光”！文/生态梦人，视频编辑：苍龙飞天79
1701077015# #泰国血色婚礼致5死1重伤【泰国新郎婚礼上枪杀新娘岳母后自杀，新人曾在婚礼上发生争执】当地时间11月25日，泰国的一场婚礼从喜事变为悲剧。新郎在婚礼上开枪扫射，导致新娘、新娘的母亲和妹妹当场毙亡，随后举枪自杀。另有两名男性宾客重伤，一人不治身亡；一人左腰中弹，子弹卡在脊柱中，正在医
1702166270# #“上山的人永远不要瞧不起下山的人，因为他曾风光过，你还在山下；。。山上的人永远不要瞧不起山下的人，因为不定什么时候，山下的人会爬上来，一定要做好自己。”侵权即删
1701752125# #“亿万富豪”如何找回丢失25年的儿子？江西警方揭秘当日，解克锋一家在返程车上拨通了江西省公安厅刑警总队民警的视频电话，对江西警方的大力帮助表示衷心感谢。。2021年公安部部署开展“团圆”行动以来，江西省公安厅刑警总队按照公安部的统一部署，在省公安厅党委的领导下，积极联合民政、卫健、妇
1699160095# #2013年纪念毛主席诞辰120周年的文艺晚会现场，来自全国各地的两千多名观众用掌声表达了对李讷的欢迎，很多中老年朋友争相同李讷握手，表达着对毛主席的深切怀念。
1703481222# #“颜色革命未遂”，超千人试图闯入政府大楼，武契奇感谢俄罗斯情报。当地时间12月24日，塞尔维亚首都贝尔格莱德爆发暴力示威。数千名抗议者聚集，反对此前公布的国民议会选举结果。据路透社、英国广播公司（BBC）、俄罗斯塔斯社等媒体报道，期间，超千人试图闯入政府大楼，并与警察发生暴力冲突。截至目
1699866430# #【官方通报企业家被约谈后坠楼身亡】据央视新闻消息，据悉，近日网传常州市华立液压润滑设备有限公司法定代表人因被约谈后坠楼身亡，常州市委市政府高度重视，正在组织有关部门依法开展调查，纪检监察机关正在深入核查相关案件办理情况，坚持实事求是、依规依纪依法的原则认真处置。星京报
1702333298# #“太伟大了！”近日宁夏，一位90后残疾拾荒者胡雷的捐款已经突破了100万元。当受赠女孩见到他的模样时，她愣住了，完全无法相信自己眼前所见。然而，当她反应过来后，泪水不禁涌上了眼眶。文/文化知识学习，视频编辑/苍龙飞天79
1703807593# #《博主见解，击中当前社会的要害，务必引起国家、人民的高度关注，祖国才有希望》——作者中国若不能根除特权阶层主义思想，将永远难以实现真正的社会主义！数以千计的革命先烈的牺牲将变得毫无意义！当前存在的最大几个风险如下：首先，特权阶层主义思想潜伏在中国社会中，深入渗透到
1700784682# #转发微博
1703480264# #他们是边境线上移动的界碑【致敬守护！他们是边境线上移动的界碑】温暖中国2023在祖国边陲有这样一群人，他们攀绝壁踏冰河绝不畏缩，战狂风斗冰雪更是日常，他们日夜守卫着祖国的边境线，用血肉之躯筑起钢铁长城。心中有魂，脚下有根，听温暖讲述人讲述他们的无畏、使命与担当↓↓
1701073315# #苏大惠产品保障升级，满足个性化需求。持续普惠为民。2024年度推出两个版本——“基础版”和“升级版”。“基础版”的保费与2023年“江苏医惠保1号”保持不变，仍然为158元每年，主体四重保障责任不变。新推出升级版258元每年，保障责任更为全面，满足不同群众多元化医疗保障需求。
1703561923# #转发微博
1703124903# #快讯:2023年12月20日晚上纪念毛主席诞辰130周年：北京纪念馆门票稀缺，游客纷纷抱怨纪念毛主席诞辰130周年，许多人前往北京参观纪念馆。然而，门票的稀缺却成为了前往纪念馆参观的困难，游客纷纷抱怨。十月份，一位游客表示他带着一个47人的团队前往北京参观，却有7人没有预约到门票。每天纪念馆只能提
1700356183# #苏大惠苏大爱。“江苏医惠保”，医保保中“宝”。。惠及千万家，负担减轻了。。推出两年多，投保现高潮。。官媒多宣传，助力医惠保。。画家吴高龙，作画内容表。。形象又逼真，宣传效果好。。今日出新品，受到夸赞了。。先进宣传员，我投他一票。
1701305150# #转发微博
1702086594# #五月天阿信刚发长文称自己除了真唱，沒有其他感动你的方式。。那么好，老鬼再放一段网友录的两场演唱会视频，都是话筒没了歌声还在，太神奇了！假唱真唱
1702942172# #昨天就看到这个新闻了，感觉到这个傻逼让人很无语！顶我打小在边防环境下长大，对哨兵是从不陌生！处处都有“哨兵神圣，不可侵犯”的字样！心这傻逼是不是把哨兵想的太简单了？在哨兵的职责范围内，就是将校级的也得接受管理！哨兵是正在执行任务的军人！军事任务！真理解不上了这傻逼咋想的？这傻
1703206328# #转发微博
1700384709# #49具遗骸被发掘出土，背后故事让人心痛。今年9月，复旦大学科技考古研究院通过DNA鉴定、颅面复原等手段，复原了40余名山西吕梁无名烈士的容颜。其中，编号为“M19”的烈士终于找到了亲人，确认名字为崔海治。
1699071476# #小伙在自家厕所里建海洋馆隐居6年【小伙在自家厕所里建海洋馆隐居6年】起猛了看到有人在厕所养鲨鱼上海，36岁的上班族陈旻有个“没什么用”的爱好，就是养鱼，他在家中厕所里建了个私人海洋馆，下班后就躲在里面和鱼打交道。6年来，他宅在家拍了1500多个科普视频，和大家分享
1703485156# #苏大惠事关明年看病报销请速办
1699686798# #早上送娃发现学校里好多小朋友都咳嗽了，老师也说这个季节是孩子感冒高发季，这里就跟家长们提个醒，冬季感冒容易没完没了哦~别给感冒的孩子玩命吃消炎药，家里备点小儿肺热咳喘颗粒、小儿止嗽金丹这类清热解毒、止咳祛痰类的中成药补比别的药强多了。消炎药不是感冒万能药
1699871236# #。为梦想拼搏，我们，当燃要热爱！微博竞燃之夜5大赛道评选结果揭晓啦！！！。恭喜当选微博年度受欢迎运动员；。恭喜中国乒乓球队当选微博年度喜爱竞技战队；。恭喜当选微博年度喜爱竞技
1700613854# #转发微博
1699864707# #电诈头目明学昌家族工地发现两具尸体电诈头目明学昌家族工地发现两具尸体12日中午，公安部通缉缅北电诈头目明氏家族。就在悬赏通告发布前几天，在明家名下的工地上挖出两具尸体。据果敢当地媒体报道，11月5日，在果敢首府老街幸福桥附近的一片工地上挖出两具尸体，尸体包裹严实，疑似被人灭口藏尸
1700296557# #苏大惠苏大帮江苏医惠保1号，它姓江苏，名叫医惠保1号。取这名字，是希望它对江苏医保参保人普惠互助、减轻个人和家庭负责，成为江苏群众贴心保、暖心保、幸福保、保中宝。
1702599277# #今日立冬【2023冬游广西文旅宣传片发布打call打call】立冬已至！冬游广西，游你想要的一切……哇秋冬游广西正是好时节
1702955826# #交通部路网监测与应急处置中心12月19日通报称，截至目前震中周边路网运行基本正常。受地震影响，G310甘肃临夏市东乡段大河家黄河大桥(K1964+151)出现裂缝，只允许应急车辆及小型车辆通行，大型车辆禁止通行。。。G310青海海东市循化狐跳峡段(K8+400至K8+500)、积石峡段(K17+000)有落石，交通中断;S201海
1703496894# #苏大惠事关明年看病报销请速办江苏医惠保1号”累积赔付金额14.09亿元，成功赔付72.19万人次，从不满一月男童到102岁高龄爷爷均获保障，单笔最高赔付金额68.19万元，单人最高赔付金额128.58万元，切实为人民群众减轻了高额医疗费用负担，守护江苏省内每一个幸福小家。（有人）
1699330120# #华晨宇申请强制黑粉道歉【华晨宇申请强制黑粉道歉】华晨宇黑粉未道歉被强执企查查APP显示，近日，北京互联网法院公告送达华晨宇与周某某网络侵权责任纠纷民事判决书。文书内容显示，周某某通过短视频账号发布视频及直播，在无相关证据证明内容属实的情形下，构成诽谤，侵害了华晨宇的名誉权。法
1703810426# #从照片上看，一家人穿的都很普通，看不到富豪之家的影子，非常低调！！本条信息来源：
1703202105# #【今晚与新东方CEO共同直播后，董宇辉将暂别东方甄选直播间】12月20日晚间，官博发布直播预告海报，内容显示12月21日晚新东方CEO周成刚将会和东方甄选高级合伙人董宇辉一起在东方甄选的直播间进行直播。。。此前，12月17日晚，东方甄选官方账号活动海报显示董宇辉已成东方甄选高级合伙人。1
1702368753# #台湾留学生在美国枪击幸存：谢谢大陆教授收留，不然我不会活着
1703572782# #-准时准点，0点《东方红》歌声响起铜像前敬献鲜花！-今日头条-今日头条
1701835895# #拜登称鱼鹰运输机上8人全部死亡【拜登称鱼鹰运输机上8人全部死亡】据日媒12月6日报道，美国总统拜登12月5日发表声明，称11月29日美军鱼鹰运输机在日本鹿儿岛近海坠落，机上8人已全部死亡，并称美方将继续搜集相关信息，对坠毁原因展开彻底调查。据了解，8人年龄在24岁至36岁之间。（总台记者何欣
1703759584# #郑强在一次访谈中说道。我之所以后来没有继续往上升，其实和年代没有太大关系，反而和我的性格，以及表达有很大的关系。
1702945815# #《宪法》规定：“一切法律、行政法规和地方性法规不得同宪法相抵触:合法公民，人人平等。”普洱市糯扎渡水电站有那么多土生土长村民(户主)都没有得到补偿和安置，快十年了为什么不查？思茅政法@普洱政法
1700029911# #经纪人回应网传艺人为缅北电诈家族庆生【经纪人回应网传艺人为缅北电诈家族庆生：艺人不认识白应苍】涉事明星经纪人称艺人不认识白应苍近日，有网友发视频称“多位明星给缅北四大家族白所成之子白应苍庆生”引发热议。据报道，白所成二儿子白应苍是果敢民兵大队大队长、财政局副局长、百胜集团
1703808855# #最高领导人在纪念毛泽东同志诞辰130周年座谈会上的讲话，与党中央后两个历史决议与党中央历次纪念讲话精神一脉相承，即毛泽东同志功绩是第一位的，错误是第二位的。毛泽东思想是党和国家宝贵的精神财富，必须长期坚持。。讲话高度评价毛泽东同志是对世界被压迫民族的解放和人类进步事业作出重大
1702096573# #谷爱凌出战世界杯决赛【帅气！谷爱凌全场最高分】今天，河北张家口崇礼，国际雪联自由式滑雪U型场地世界杯决赛举行。在首轮角逐中，中国运动员谷爱凌以90.25分的成绩暂时排名第一。央视新闻
1701570302# #今天，霍英东纪念馆在南沙正式开馆，来自内地、香港及澳门的亲朋好友，一同参加仪式，在此共同缅怀爷爷霍英东先生光辉传奇的一生，学习他爱国爱港的高尚品格，弘扬他为民利民的奉献精神。。。今年是爷爷100周年诞辰，在这个特别的节点开馆，也给了我们一个回顾过往、继往开来的契机。除了回顾爷爷一生对
1699661541# #转发微博
1701424747# #韩国：我要申博，美国支持我。。沙特：我有钱。。韩国：我们有儒学，针灸，摔跤，武术，活字印刷术。。沙特：我有钱。。韩国：我们有春节◇中秋◇端午◇元霄等传统节日。。沙特：我有钱。。韩国：我们有孔子，孟子，老子，墨子。。沙特：我有钱。韩国：我们地大物博，资源丰富。沙特：等等，你特么说的是你吗？
1703466070# #【霍启刚回应向甘肃捐款7000万：略尽薄力】近日，甘肃临夏，网传郭晶晶夫妇向甘肃捐款7000万。霍启刚未透露向甘肃捐款金额近日看到甘肃省临夏州积石山县发生6.2级强烈地震，一张张新闻图片牵动着我的心，希望通过澳门霍英东基金会的捐赠，略尽绵力，为受灾的同胞们送去一份温
1701480901# #【花3年读985硕士求职时因本科双非被拒】第一学历歧视就像是留了案底时隔七年，肖梅开始后悔起自己高考的选择。这是一次选“211”还是“双非”的选择。家在东北的她，当年原本有机会就读本地的211高校。但当时的肖梅没想这么多，她觉得自己应该走远些，去南方看一看，于是填报了一所南方的双非一
1703030754# #吾爱女周海媚一直善良、开朗、坚强、有爱心，她对生活的态度一直积极向上，纵有难题也是乐观面对！。海媚一生中塑造了无数成功的角色！愿只把她的美好留在大家心中，所以选择仅在至亲的见证下，已完成了吾爱女的告別仪式。希望各位见谅！🙏🙏🙏。她的毛孩子们也会妥善安排，请大家放心！。。母亲率全
1703571925# #澎湃新闻：。纪念毛泽东同志诞辰130周年，全国多地举行纪念活动。12月24日，湖南省长沙市橘子洲景区，来自各地的游客在毛泽东青年艺术雕塑前瞻仰、拍照留念。视觉中国图。。2023年12月26日是毛泽东同志诞辰130周年纪念日。。。澎湃新闻记者注意到，毛主席纪念堂微信公众号12月26日上午发布了《纪念毛泽东同
1699917445# #谣言者追讨之！
1701650269# #央视i记者李真前往福岛进行核辐射测试，使用了辐射检测仪器，结果显示了高达1.76的数值。这一数值相当于人类能够承受的辐射量的8到9倍。日本还口口声声说核污染水排放无问题！却仍在不断向海洋排放核污水！
