1700519487# #开了三年还无法收本，那一定会倒闭！
1697753306# #我大东北，美不胜收！
1688686610# #沈醉回忆录《战犯改造所见闻》（11）。。在战犯改造所里，大家还讲过一个荤的笑话：。。从前有个教书先生，专门爱代人写咒求神治病和找东西，他说韩愈一篇文章可以把鳄鱼都赶走，他的文章也一样有神相助。。有一天，他的儿媳去春米，用力太猛，不慎把阴户撞得肿起来。他一向和这儿媳有暧昧关系，儿媳便如实
1695929900# #享受了人间所有的一切，牢饭也不能落下。
1697066935# #荷花本质！赞
1692610846# #我发表了头条文章:《胡雪岩传奇（20）》
1701765324# #图一、1964年6月9日，毛主席接见阿拉伯也门共和国总统阿卜杜勒.萨拉勒元帅。。图二、1965年2月19日毛主席会见坦桑尼亚总统尼雷尔。。图三、1964年毛主席接见革命现代戏观摩演出人员。。图四、1964年毛主席在杭州。。图五、1964年毛主席在北戴河为预备考察黄河骑马。。图六、1964年毛主席观看现代戏红灯记后
1694426084# #当初是你要分开分开就分开，现在你要用真爱把我哄回来…
1687152007# #沈醉回忆录人鬼之间（45）。。我们在北京功德林学习了一年多，便到北京郊外公安部农场去参加农业劳动，半天学习，半天到野外去从事轻微的体力劳动。我的体力比徐远举大得多，逐渐能挑上百斤的东西，他也很想和我一样，但总是赶不上，我便劝他按规定做到力所能及，尽力而为就行了，不必太勉强。不久，他便
1703563538# #毛泽东早年珍贵历史影像。。蒋介石在南京宣称：“谁控制了北京，广东，上海和武汉，谁就控制了全中国”。。而毛泽东在农村预言：“谁解决了土地问题，谁赢得了农民，谁就会赢得全中国”。。后来的事实证明，毛泽东赢了！
1700861347# #1950年10月7日的晚上，毛主席设家宴为彭德怀送行，毛岸英作陪。后来，彭老总曾说过这样一句：“岸英是中国人民志愿军的第一个志愿兵”。。毛岸英牺牲后，毛主席跟好友周世钊说：“当然，正像你说的，如果我不派他去朝鲜，他就不会牺牲，这是肯定的，也是不错的。但是，你知道，我是坚决主张抗美援朝的，
1700803282# #阿根廷新当选总统米莱。他的施政主张是:。一，精简机构，把国家部委由28个减裁剩8个。。二，大幅度减少政府公共开支，包括国家各项福利开支。。三，他认为，增税比盗窃可耻，因此不再增加新的税负。四，关闭阿根廷中央银行，全部使用美元。。五，外交路线全面倒向美国。。六，不再用纳税人的钱养活犯人，犯人
1691982348# #见风使舵，投机取巧的佞臣荣禄（中）。。后来，荣禄与慈禧的此项阴谋暴露，惶惧的光绪接连发出密诏，命康有为等"妥速筹商"。康有为等人接到密诏后，虽"痛哭激昂"，但并无妙策，在情况紧迫的情况下只好决定拉拢袁世凯，将袁奏荐给光绪帝。光绪随即召见并破格提拔了袁世凯。这引起了后党的不安，于是荣禄便
1700089734# #去年的今天，石家庄率先吃螃蟹，紧接着就是全国放开，再也不管了。纪念一下，这是共和国历史上一段刻骨铭心的经历，我们的老百姓多好，多听话。
1691213763# #涿州洪水基本退去，生产，生活秩序逐渐恢复。大家与国家一起来扛国难，一同度过难关！
1697622921# #我发表了头条文章:《听喻大华讲咸丰是怎样一位皇帝（15）》
1703894130# #去年的今天，宣布他被任命。
1703918829# #建国初期，由长影拍摄的讽刺官僚主义和形式主义的电影《新局长到来之前》
1700737171# #中日初次决战。李鸿章在日本明治维新的初年就看清楚了日本是中国的劲敌。他并且知道中、日的胜负要看哪一国的新军备进步得快。因此他特别注重海军，因为日本必须先在海上得胜，然后才能进攻大陆。所以他反对左宗棠以武力收复新疆，反对为伊犁问题与俄国开战，反对为越南问题与法国打仗。他要把这些钱都
1697973472# #俄妹回应俄罗斯的“菜”哈哈
1692681356# #要求实名制，却不承担实名制个人信息的保护义务！
1692507522# #1986年10月7日，刘伯承逝世，享年94岁。邓小平在《人民日报》发表了一生唯一的一篇文章《悼伯承》。
1687341843# #钟院士查房
1688110689# #恐怖至极！哪也别去，哪好都不如家好。
1700089858# #还是我们的民族服饰漂亮，简洁、大方、时尚。
1693329581# #我发表了头条文章:《为秦统一六国出谋划策的李斯》
1699658107# #台湾面临关键抉择，和平？还是战争？
1700286294# #日本的国号原为"倭国”?那么，好好的"倭国"不叫，为啥又叫了“日本”捏？日本还有一个别名叫“扶桑”？日本这个名字是中国给起的吗？。来看看趣味历史知识:。。日本是有一个大家熟悉的别称叫"扶桑，但大部分学者认为这个名字指的其实并不是日本。最早在1761年，法国汉学家德金就在他的研究报告里提出"扶
1703572912# #为有牺牲多壮志，敢教日月换新天。用百张照片纪念毛主席诞辰130周年（4）
1703109175# #把生活过出烟火气
1690333859# #明个起，中俄共同访问朝鲜！朝鲜真会邀请！赞
1703499034# #纪念毛主席诞辰130周年纪念邮票发行赞赞赞
1698104898# #十年磨一剑，反腐败是最彻底的革命！。这十年，中国实现了反腐败领导体制的重塑、组织机构的重塑、工作力量的重塑、责任体系的重塑、执纪执法贯通机制的重塑。。只要存在腐败问题产生的土壤和条件，反腐败斗争就一刻不能停，始终保持高压态势，防止领导干部成为利益集团和权势团体的代言人、代理人。
1692783839# #意大利著名导演安东尼奥尼于1972年拍摄的，我国那时的农村的真实历史影像。
1689761533# #100岁基辛格突访中国，王毅接见。
1695511595# #巴沙尔夫妇抵达杭州亚运会开幕式现场视频画面。
1699133457# #华主席于2008年8月20日12.50分在北京逝世，享年87岁。这是华生前在北京301医院，也是他生前的最后一张照片
1693435416# #不善谋身，而善谋国的政治家晁错（2）。。晁错的《削藩策》一提出来，立即在朝廷内引起极大震动。景帝下令，让公卿、列侯和宗室共同议论，大多数人知道景帝是完全支持晁错的，因此没有敢公开表示反对；只有窦婴（皇太后的亲戚）公开站出来表示反对，同晁错争论起来，从此他们之间就结下了怨仇。最后，景
1702513689# #想赚钱就别开了，真的。
1692174021# #梁启超眼中的李鸿章（11）。。在这场战争中，没有一个指挥官不辱国，这个已经不用说了。然而，如果在五十步和百步之间比较，那么海军的表现要比陆军强，李鸿章部下的陆军又要比其他的陆军强。在大东沟海战中，两军彼此激烈战斗五个多小时，观战的西方人也都交口称赞。虽然其中有方伯谦这种败类（有的说
1696375325# #杭州亚运会男子4x100，逆转夺冠！
1687598241# #青春激昂话北大（11）。。作者：车耳。。20世纪七八十年代，北大校园里流行打篮球，因为这是最简单的运动，不怎么学就会，又是能容纳多人的体育项目。一个占地不大的篮球场可以打半场、分成两拨人玩，每拨人又可以分成两组甚至多组轮番上场对抗，组的多少根据场边等候人数多少，也
1692351002# #吴院士如果还活着，他对今天的医疗反腐会作何感想？会不会对医疗腐败非常生气！
1698589080# #论国之交之民相亲，中俄的民间交往是首屈一指的，哪个国家也比不了，朝鲜也比不了。
1687772356# #青春激昂话北大（14）。。作者：夏晓虹。。本来想以"在北大打比赛"命名，可惜下面写到的赛跑似不宜挪用球类运动专属的"打"字，其实要讲的就是私人的一点小事。。我并非校队成员。我在北大所有的体育活动仅限于上体育课，并参加过两次以系为单位的比赛。体育课上，我的表现也相当平庸，
1698045466# #1974年5月30日，毛泽东在中南海会见了李政道。谈话从自然现象逐渐转到人类活动上，最后，毛泽东采纳了李政道的的一个小建议:对优异青少年学生的教育，应该受到重视。。在周总理的有力支持下，对十几岁的优异学生采取特殊的强化教育的方案，首先在中国科技大学开设了“少年班”，由此，新中国第一批少年
1698449489# #胡总，出来管管吧，你当总的时候不这么玩标题啊允悲，况且玩这样的标题并没换来阅读量啊，咱是主流媒体，正经点不行吗？
1693690753# #中国有句古话，叫做"德不配位，必有余殃。"，故宫那放射着神秘光芒的龙椅，乃是曾经皇权的象征，然而，历史上，很多人都想坐上去，在近代，也有两个人想坐上去，最后确实坐上去了，可是结果呢？。这两个人，一个是德国将军瓦德西，一个是袁世凯。。1900年8月，八国联军侵占北京，面对金碧辉煌的故宫，侵
1698671062# #估计是被以色列炸死的。
1695800112# #“我老了，经常梦见井冈山，我想去看看”。1965年5月21日，毛主席从湖南出发，时隔38年重上井冈山。这一年他72岁了，步伐仍然矫健，心中仍有朝阳。。这是一个充满回忆与忧伤的地方，这里有一个叫“永新”的地名，在这里，他结识了贺子珍，她是他的革命伴侣。在这里，他带着一群散兵游勇打游击，创建人民
1695823072# #中国对待叙利亚，美国对待乌克兰。
1698839657# #我发表了头条文章:《现代诗歌名篇之六：郭沫若的《凤凰涅槃》》
1697892805# #中山陵一男子突然跳入墓室，抱着卧像大哭…。
1698191445# #关于毛主席的身高，版本太多，说什么的都有。毛主席的警卫李家冀回忆说，毛主席身高是1.80，因为出访苏联时测量过。毛主席的秘书王鹤滨说毛主席身高是1.8以上。还有人说，毛主席身高是1.72，还有人说是1.75。那么毛主席一生就真的没有测量过身高吗？当然有！。1954年国庆前夕，叶子龙来请示毛主席，说总
1695745812# #我发表了头条文章:《曾国藩的故事（9）》
1694696153# #这个“小日本”去世了，一路走好，怀念蜡烛
1704235849# #在北京，林、江等人与毛泽东的态度截然相反，他们抓住“七二○事件”大做文章，变本加厉地进行煽动。。7月22日，江接见河南省造反派代表时说:“河南一个革命组织提出这样的口号，叫做'文攻武卫’，这个口号是对的”“不能天真烂漫，当他们不放下武器，拿着长矛，拿着大刀对着你们，你们就放下武器，这
1699165443# #佩斯科夫回应普京是否有替身。
1702684197# #隆裕太后，我有点可怜清朝的皇上
1691749858# #2010年，我海军徐州舰在亚丁湾护航时，逼迫索马里海盗丢下武器投降的真实影像。
1701866967# #青春貌美的赵一荻，父亲官至北洋政府交通次长，参议院参议员，东三省外交顾问，后任航政司长，亦官亦商，开办过北京香山饭店，家境殷实。但她却在15岁那年，偏偏爱上了张学良，且不要名分，不进大帅府，甘愿以秘书身份为张学良做小，爱的死去活来。父亲赵庆华大发雷霆，连续五天在大公报发启示，声明将
1693034199# #红歌的特点就是旋律明快、曲调优美，易于传唱赞
1700685390# #1965年7月的一天，曹聚仁得到确切消息，蒋经国先生近期将邀请他去台湾商量要事，得此消息，曹聚仁迅速面见周总理，总理交给曹聚仁一封给蒋先生的信，信的内容是“一纲四目”，同时还附有毛泽东写给蒋的一首《临江仙》词：柳绿花红莺燕舞，京都料峭风微。菊香书屋奏琴徽，明月依然在，何日彩云归。地覆
1688684636# #我发表了头条文章:《坚韧不拔的戴高乐（19）》
1695505262# #阿富汗第一个入场。
1694386255# #我发表了头条文章:《唐初著名宰相房玄龄》
1698583638# #救孩子，带孩子，逗孩子，逗着逗着就哭了泪
1696412458# #文章因离个婚被封杀，为什么不封杀他？对他网开一面，还捧为上宾？
1703369040# #1956年1月12日，毛泽东外出视察返京途经天津，上午11点毛泽东视察了西郊王顶堤村。村办公室十分简陋，一张长桌，两条长凳。毛泽东刚坐下，南郊区白塘口村党支部书记李吉顺赶来，毛泽东同李吉顺握手，并请大家都坐下。毛泽东指着站在门口的杨起发问：你领导什么？杨说：我管生产。毛泽东同他握握手。又
1693889664# #毛泽东手书文天祥的《过零丁洋》：。。从珠海市外伶仃岛码头往"外伶仃岛度假胜地"碑方向走去，一块由毛泽东主席手书《过零丁洋》诗的摩崖石刻突现在游客面前。文天祥的千古绝唱《过零丁洋》一诗由毛泽东主席手书题铸在外伶仃岛上，气势磅礴的书法令人叫绝，"人生自古谁无死，留取丹心照汗青"这句为后世所
1702509967# #习近平同越共中央总书记阮富仲共同会见中越两国青年和友好人士代表。。习近平指出，昨天，我同阮富仲总书记一道宣布构建具有战略意义的中越命运共同体，开启中越两党两国关系发展新阶段。这是我们从振兴世界社会主义和实现中越两国长治久安出发作出的重大战略决策，深深植根于中越传统友好，符合两国人
1698185135# #新中国的建立是何等的不易！致敬，老兵！致敬，前辈！个个都是功臣，却把军功章深埋，过着极其普通的百姓生活，也只有共产党教育出的人民军队的战士才会如此！
1697202686# #窑洞对一其兴也勃焉，其亡也忽焉。。它是指1945年毛泽东同志与民主人士黄炎培的一次著名会谈。。1945年7月，黄炎培来到延安有感而发，希望中国共产党找出一条新路，跳出历史周期率的支配。窑洞对是有关毛泽东和黄炎培在延安窑洞关于历史周期率的一段对话。窑洞对，又称"延安对"，被后人引用为关于政权建
1694480931# #我发表了头条文章:《日本贵族政治阴谋家近卫文麿》
1695575440# #1963年，毛主席在火车上看河北水利规划图。
1703571299# #揭秘“红卫兵”的来历和消失。
1701600561# #斯大林去世后，赫鲁晓夫为何能成为接班人？
1692047970# #【这些日子，中国人不能忘！】①9月18日：九一八事变；②7月7日：卢沟桥事变；③8月15日：日本宣布投降；④9月3日：中国人民抗日战争胜利纪念日；⑤9月30日：烈士纪念日；⑥12月13日：南京大屠杀死难者国家公祭日。铭记历史！勿忘国耻！
1702766774# #1924年6月，第一次国共合作的时候，毛主席来到上海，开展统一战线的工作，还负责着上海地区黄埔军校的招聘复试工作。。1954年10月18日，在出席一次会议后的休息期间，主席和几位将领闲聊，聊着聊着就聊到了黄埔军校。。他对大家说:“你们可能不知道，我在黄埔军校也任过职，当过招生办主任啊。我曾经在
1694206007# #《毛泽东选集》1991年再版后对“注释”中的一些重要历史事件和历史人物本着尊重历史史实和实事求是的态度做了一些修订（二）。。一、关于“AB团”问题。。30年代初，从赣西南苏区开始，进而扩展到鄂豫皖、湘鄂西等根据地的打AB团运动，是革命根据地史上十分严重的事件。当时AB团被认为是国民党潜伏在苏区的
1702173694# #我发表了头条文章:《现代小说名篇欣赏：蒋子龙的《拜年》》
1700810481# #我发表了头条文章:《现代小说名篇欣赏:许地山的《在费总理的客厅里》》
1698744138# #古特雷斯回应被以色列逼辞职。
1693826574# #既像棺材又像秦始皇王冠。
1699307606# #时间：1963年，毛泽东关于科学技术的谈话。。“社会科学也要有一个十年规划。社会科学落后了，这回没有搞规划。社会科学也要投一点资。。有一本杂志《自然辩证法研究通讯》，曾停了很久，现在复刊了。复刊了就好。现在第二期已经出了。要有革命精神和严格的科学态度。。科学技术这一仗，一定要打，而且必
1687420199# #沈醉回忆录《人鬼之间》52。。据周佛海告诉我，汪精卫去河内不久，日本即已派特务头子影佐祯昭与汪在香港的一些骨干取得了联系。当时去香港的几个汪的得力分子陈公博、陶希圣、梅思平等，都住在香港荷李活道49号汪的对外联络处，影佐曾多次去与这些人联系，日方急盼汪早去上海和南京筹组伪政府。汪在河内
1699177737# #我发表了头条文章:《宋美龄身边随员口述：一个真实的宋美龄（9）》
1688705692# #这才是最佳生育年龄哈哈！
1694745162# #毛泽东亲笔信真帖。
1702035995# #据媒体报道，朱从玖和妻子一直家庭资产雄厚，"很有钱、向组织申报的财产就有数亿"，人称"朱十亿""十亿（副）省长"。
1697846109# #吓着了
1702199857# #毛泽东对肖劲光大将的认可。
1695954689# #国庆七天乐
1703935640# #毛主席会见英国首相的珍贵历史影像。
1700521259# #独立自主是毛泽东留给我们的宝贵财富！。1963年9月3日，毛泽东在会见由中央委员会主席艾地率领的印度尼西亚共产党代表团时，回顾中国共产党历史，曾讲过这样一段话：。。"离开了先生，学生就自己学。有先生有好处，也有坏处。不要先生，自己读书，自己写字，自己想问题。这是一条真理。过去我们就是由
1701586025# #我发表了头条文章:《现代诗歌名篇欣赏：穆旦的《赞美》》
1697717831# #没有国，哪有家！
1688609962# #猪肉价格下去了，收储，猪肉价格上来了，放储。
1696835937# #我发表了头条文章:《现代散文名篇之十四：柯灵的《雨街小景》》
1692490324# #喊话缅北，不用噶腰子了允悲允悲允悲
1697198182# #杰哈德加入战团。
1694527121# #我发表了头条文章:《阴险、狡诈、凶残的政治杀手贝利亚（1）》
1689497392# #“傅晓田，人好，声音好，主持好，文笔好，曾任伦敦记者站首席记者及站长。”
1688190356# #1982年，宋希濂在美国对记者说：毛主席比老蒋高明太多，老蒋活该失败！。"宋先生，您既当过国民党，也当过共产党。在您看来，毛泽东和蒋介石哪个更伟大？"。听完这话，宋希濂不假思索回答：。"毛主席比老蒋高明太多，两人根本不是一个级别的人物。。老蒋输掉解放战争，纯属自己作死。"
1702102002# #普京决定参加2024总统大选，不出意外的话，他极有可能再次连任俄罗斯总统，开启他的第五任期，他的执政时间将达到36年，将打破自1924年一1953年斯大林创造的执政29年的记录和叶卡捷琳娜大帝执政（1762年7月9日﹣1796年11月）34年的记录，成为俄罗斯历史上执政时间最长的国家元首。。。对于普京的长期执政
1692863730# #指鹿为马的乱臣贼子赵高（3）。。李斯死后，赵高被任命为丞相，因为他是宦官，可以出入宫禁，特称"中丞相","事无大小辄决于高"。再进一步，就是皇帝的宝座了！。。赵高既已除掉李斯，感到篡秦的时机已到。但他还不知道，群臣是不是完全拥护自己。为了试探群臣的倾向，赵高又在秦宫中导演了一幕历史上著名的
1699744587# #今天是白求恩大夫逝世84周年的日子。1939年的今天，白求恩病逝，他写给聂司令员的遗书曾让这位钢铁将军泪流满面…。。。亲爱的聂司令员：。今天我感觉身体非常不好，也许我要和你们永别了！请你给加拿大共产党总书记蒂姆．布克写一封信，地址是加拿大多伦多城威灵顿街十号。同时，抄送国际援华委员会
1698799204# #不懂就问，大家别笑话我，一加仑血是多少？允悲允悲允悲
1697010961# #生气了
1688004867# #台上是人，台下是鬼，这类人的双面人生。
1697622761# #拜登抵达以色列特拉维夫，内塔尼亚胡扑怀里。
1688633319# #这起飞姿势是真的吗？客机这样起飞里面的乘客会怎么样？
1701866225# #飒！
1696586760# #女孩爸爸把四岁的孩子一个人留在沙滩上，距离海水很近的位置，离开十多分钟（有网友说不是十多分钟，而是半小时以上），且时间已是近黄昏了，海滩人也很少了，爸爸这是什么意思？他想干什么？他究竟离开孩子去取了什么必要的东西？
1698492480# #巴以互谈停火条件：。。在埃及和卡塔尔斡旋下，以色列同意在国际监督条件下停火一天，条件是要求哈马斯方面释放所有被扣押的人员。而哈马斯方面则要求停火5天，同时用其扣押的人员交换被以色列关押的哈马斯和其他派别人员。。互换人质，没毛病！
1697622385# #中俄元首会谈结束，普京面带微笑，神采奕奕。
1697798152# #愤怒的抗议者用燃烧瓶袭击以色列驻巴林大使馆。
1696282446# #许家印参与并经历过“清理三种人”？那确实是老运动员允悲
1692067596# #多假他人之手而作恶多端的“机敏滑贼”阮大铖（上）。。明末，被时人称为"小人中之小人"、"海内莫不闻其奸"的佞臣阮大铖，党同伐异有术，伪诈警敏无比。揭其阴谋，足为今鉴。。。阮大铖在明朝历史上是一个值得大书特书的人。他文采出众，权高势大。他著有很多戏曲流传至今，论戏曲，在安徽无人可以与其比肩
1698292850# #1945年8月8日，根据雅尔塔协定，苏联对日宣战。13日，苏军开始在朝鲜东部清津地区登陆，14日，日本帝国主义投降。为划分对日本占领地区受降范围，经苏，美协商，在朝鲜，以北纬三十八度线(以下简称三八线)为界，以北为苏军受降区，以南为美军受降区。。。根据开罗宣言，1945年12月27日，苏、美、英三国
1700462979# #夫妇同时进入临终关怀，夫人先走一步了。
1702609750# #这是他们最早的合影，据说是订婚照。
1689848199# #各国外长与媒体的互动，王毅是媒体追逐的焦点。
1697617158# #1954年，蒋介石曾秘密回过大陆一次（浙江台州大陈岛眺望家乡），留下了这张照片。
1701385470# #伟人关于“吸取历史教训、反对大国沙文主义”等的讲话。伟人真的还是一位语言大师！。“过去的王明路线实际上就是斯大林路线。它把当时我们根据地的力量搞垮了百分之九十，把白区几乎搞垮了百分之百。少奇同志在八大的报告中也谈到这一点。为什么不公开说明这就是斯大林的路线呢?这也有原因。苏
1700732944# #这是画家自己想象中的东北，怎么可能！
1698625962# #我发表了头条文章:《现代散文名篇之四十五：巴金的《鸟的天堂》》
1704023136# #报告大帅：南方小土豆北伐成功了！火车站、飞机场、夜市、早市、冰雪大世界，连澡堂子都被攻占了！哈尔滨已经彻底沦陷了哈哈哈哈哈哈
1698381781# #去年三月，他还在开记者会。
1699280797# #中国有了领先世界的抗癌药物？中国抗癌药物不都是进口的吗？死贵！
1696757544# #我发表了头条文章:《黄仁宇眼中的中国大历史（9）》
1696819907# #钱学森与陈永贵在大寨虎头山的留影。
1694143758# #明天去纪念堂的人会很多…。天地之间有杆秤，这秤砣就是老百姓。
1700347938# #志愿军解放汉城后，彭德怀为何紧急下达命令停止追击？
1698442303# #毛主席看过达尔文的《物种起源》，也看过杨振宁的《基本粒子发现简史》和李政道当时尚未正式发表的论文《不平常的核态》，还看过一些诸如《动物学杂志》、《自然辩证法》等杂志。。毛主席是一个唯物主义者，也提倡人们要破除封建迷信，在这些书中，毛主席的收获颇丰。。在1970年12月会见美国记者斯诺的时
1702333823# #英输入鸦片的历史根源。。到了道光年间，中西都有大变动，因此使旧的中西关系不复存在。。。第一，英国在十八世纪的下半期有所谓的工业革命。。在手工业时期，英国出口运至外国的东西不多，适宜于中国市场的更少。到了拿破仑战争以后，在海外开辟市场就成了英国新工业的急迫需要。。第二，自由贸易的学说随着
1692478833# #又是一年新生季，看着四年前清华欢迎新生的错字标语，联想北大校长的“鸿浩之志”，感觉清华、北大没那么神秘，也没那么高深莫测。
1697611474# #尊敬的普京总统，我的老朋友…
1691122601# #毛岸英生前照片（一）。
1703441853# #参观长春电影制片厂（2）
1692167595# #明代首擅朝政的宦官王振（中）。。。。时间一久，重臣揖拜、廷臣跪拜就成了一项不成文的规定。如果有人见到王振不拜，就要遭到横祸。。。一次，御史李铎碰到王振没有跪拜，就被逮捕，关进监狱，后被贬官流放到辽东铁岭卫服役。还有，大理寺少卿薛瑄是王振的同乡，但他痛恨王振擅权专恣，不和他来往。一次，
1699335633# #真实的川岛芳子，要多丑有多丑。
1700860258# #两位厚道人。陈永贵其实没什么错，大寨确实是他领着干出来的，不是忽悠出来的。但他错在不该没文化，不该后来跟着往左走，不该当那么大的官。
1701002235# #自此，谢导家人全没了吧？一家人天上团聚，挺好的。
1695735205# #尹锡悦雨中检阅部队，韩国十年来首次举行大阅兵。
1691490015# #长期结交政治骗子，这是什么智商？允悲允悲允悲
1703503312# #1936年，斯大林为高尔基抬棺的真实历史影像。
1694336185# #李在明绝食第十一天，感觉比第十天精神多了，据说喝了水和进食了食盐。
1696163339# #重温开国大典的历史时刻，了解开国大典背后的故事。
1698107073# #毛泽东于1975年7月14日关于党的文艺政策应当调整的谈话和同年7月25日对电影《创业》的批复：。一、关于党的文艺政策应当调整的谈话。党的文艺政策应该调整一下，一年、两年、三年，逐步逐步扩大文艺节目。缺少诗歌，缺少小说，缺少散文，缺少文艺评论。。对于作家，要惩前毖后、治病救人，如果不是暗藏
1691738334# #我发表了头条文章:《胡雪岩传奇（3）》
1690242701# #1946年，周恩来演讲的真实历史影像。蒋介石，邵力子，吴铁城，陈布雷等国民党大佬台下聆听。
1695247160# #我发表了头条文章:《希拉里回忆录“历史的亲历者”（9）》
1692091388# #淮海战役老兵回忆淮海战役：“淮海战役打了一个绝户仗，一个也没跑了……，毛主席那战略，蒋介石他懂得吗？”
1702465674# #真特么的冷！我好想夏天啊允悲允悲允悲
1689593928# #七十年代初期，杜聿明夫妇与女婿杨振宁的珍贵合影。
1688732862# #胡被双开，董被解除劳动合同。
1701566030# #在毛岸英牺牲十周年的时候，毛主席在一颗松树下反复唱着京剧里杨继业的几句唱词：“金乌坠玉兔升黄昏时候，盼娇儿不由人珠泪双流，七郎儿回雁门搬兵求救，为什么此一去不见回头？”工作人员无不潸然泪下。
1692490555# #越海峡来了！越者，过也！
1688186209# #“不争论，实事求是干下去”。这是改革开放之初，解放思想，实事求是的政治追求。
1700813864# #吴亦凡上诉被法院驳回！判十三年！
1690508463# #对精神病还真就没辙。
1702608741# #她叫王敏彤，又名完颜童记，母亲是乾隆的第五世直系孙女，她和婉容皇后是表姐妹，长的清秀漂亮，曾主动追求溥仪遭拒，于是终生未嫁，晚年时精神几近崩溃。(1913-2003)
1694035637# #2018年，金门旅游，看到的金门的村公所和电话亭。
1702117834# #中国大蒜杀菌，能杀死癌细胞
1702936316# #我发表了头条文章:《大清相国陈廷敬（9）》
1701003774# #我发表了头条文章:《现代小说名篇欣赏:茅盾的（春蚕）》
1694959550# #1995年，朝鲜人民军发生暴动，5万人意图叛逃韩国，后来如何被平息的？
1691353990# #1944年11月，毛主席在延安与罗斯福总统的私人代表赫尔利，向他阐述成立联合政府的主张。
1695854928# #我发表了头条文章:《黄仁宇眼中的中国大历史（5）》
1694396191# #准备入常了？
1690074445# #得先生存下来，然后才能有力气仰望星空不是吗？尹烨不是靠仰望星空得到的今天吧？
1692962868# #我发表了头条文章:《胡雪岩传奇（27）》
1688891712# #华主席在办公室练习书法，观看者汪东兴和秘书曹万贵。
1698806650# #这张照片被命名为《朱总司令在延安》，后来流传甚广。。许多人都认为在朱一生拍过的许多照片中，这张堪称最经典的一张。。他在战场上杀伐果断，功勋卓著，但在日常生活中却极为简朴，待人宽厚直率。为他拍下照片的人叫田野，1938年拍下这张照片时，田野正在总政宣传部工作。他后来成为了著名摄影家、《解
1689599741# #普京回应美援乌集束弹药：你有我也有。
1697628847# #多国抗议以色列轰炸加沙医院，以，美大使馆被包围。
1700862122# #武汉东湖宾馆，一个神奇的地方。毛主席除了北京，住的最多的地方就是这里。那首著名的《水调歌头.游泳》就出自这里:“才饮长沙水，又食武昌鱼，万里长江横渡，极目楚天舒……。”
1694562091# #给台胞发居住证，便利其在闽工作生活。
1694208017# #毛泽东早年的理想就是做一名普通的小学教员，是国家、民族的衰败把他逼上了革命的道路。
1695712766# #丘索维金娜，48岁了，当年为了挣钱给儿子治病，加入了乌兹别克斯坦国籍。如今，依然活跃在体操赛场上，就是不知道她儿子的病怎么样了？
1693609127# #蒋介石、蒋经国、蒋孝严、蒋万安祖孙四代的书法，谁的更好？
1692751101# #被困缅甸的中科院博士，中方正全力解救。
1693960360# #1961年8月，庐山，毛主席与身边工作人员合影。
1687685089# #伟人的一生不容易～
1698313340# #加强与美地方的经贸联系，直线不行，走曲线。赞赞赞
1700364157# #我发表了头条文章:《听喻大华讲道光皇帝（13）》
1687170540# #二战三巨头的波茨坦会唔。
1694311627# #我发表了头条文章:《唐朝“救时宰相”姚崇》
1699672481# #美国最新B-21隐形轰炸机首飞。纸老虎又出来吓唬人了允悲
1701647392# #1944年五帅在延安。左起：彭德怀、朱德、叶剑英、聂荣臻、陈毅，摄影：美国记者福尔曼.哈里森。
1702590106# #毛泽东高度重视新中国的卫生健康体系建设。。1950年代初期，我国烈、急性传染病广泛流行，人口死亡率为25%。，儿童死亡率高达130%。，孕产妇死亡率达万分之150，疾病的预防和治疗面临诸多困难。。曾任卫生部部长的钱信忠同志晚年在回忆文章中说："毛泽东主席对卫生工作非常关心，作过许多指示和批示。但
1690102502# #沈醉回忆录战犯改造所见闻（24）。。周妻有文化，常代周看信写回信等。后来周的官越做越大，可以用秘书了，便不再需要这位结发夫人代劳；而且另外娶了一位年轻貌美的如夫人。不过等到周被俘后，这位如夫人便另找出路，他的几个子女还是靠黄脸婆抚养成人的。他在战犯管理所一谈起这种事的时候，有时深感内
1696897168# #1964年，毛主席观看文艺演出。
1695204526# #乌克兰管韩国借钱打架。
1701916525# #金正恩为700万朝鲜母亲举行盛大集会，感谢母亲们为国家培养栋梁之材，他说：风吹雨打催毁了你们美丽的容颜，但在我心里你们是天下最美丽，最优秀的人…。情到深处，金正恩潸然泪下…
1701126035# #以后别动不动就给这个塑雕像，给那个塑雕像的，了解多少啊？就塑雕像，以后还得拆，不花钱吗？
1701986126# #他的名字，是一个必将永载人类史册的名字。他用他的雄才大略，用他的政治和军事才能，谱写了一首最为壮观的、最为可歌可泣的历史诗篇；他奠定了中国的大国地位，创造了近代史上由农业国迈进工业国的最为成功的奇迹！他不仅是伟大的理想主义者、理论家，更重要的，他是一个真修，实证，践行的伟大成功者
1693329822# #运筹神算的汉代开国功臣张良。。"运筹于帷幄之中，决胜于千里之外"的汉代开国谋臣张良，并非体魁雄伟、英气非凡的人物，而是貌若妇人的文弱书生。他身居乱世，胸怀国亡家败的悲愤，投身于倥偬的兵戎生涯，为汉王朝的建立立下了不可磨灭的功劳。。。张良，字子房，祖父开地，连任战国时韩国三朝的宰相。父亲
1695746219# #我发表了头条文章:《黄仁宇眼中的中国大历史（4）》
1697178441# #经常被人击打腹部，甚至用实心弹炮轰，然而始终毫发无损，甚至活到了82岁。
