1691288062# #【陈原抄山海经】之十。。
1694651515# #【陈原抄黄帝内经】之七十七之素问篇之第二十五章:腹中论。。
1690759674# #【陈原抄易经】之二十之杂卦传。至此，抄写易经已经完成。至此，对屈原、老子、庄子和易经的抄写完毕，至此，我已经是一个用毛笔抄写过屈原、老子、庄子和易经的人。。但是，这一切又都是那么的毫无意义。而无意义正式我做这件事的全部原因。如果有人问我抄出了什么，我想说的是
1698469186# #蜡烛纪念@李克强
1700261310# #注定是一个历史小丑。那些因他发动战争冤死的亡灵，会在另一个世界追杀他。
1698462364# #转发微博
1687439768# #陈原抄屈原之二十四
1695523620# #【陈原抄诗经】（48）之国风鄘风相鼠。。
1691893177# #【陈原抄山海经】之四十七。烂字天天写，时时写，我自己都恶心，有意思吗？有意义吗。没有，没有。绝对没有。什么都没有。可是，为什么我就是停不下来？
1700212186# #可见评的那些“最美”都是些什么。
1703462729# #愚蠢的令人心疼。
1688439315# #陈原抄屈原之四十三之严忌哀时命。至此，陈原抄屈原已经全部完成。接下来或者是《道德经》，或者是《周易》。
1699484414# #恶心的权力。
1696814823# #庭树新阴叶未成。
1695194561# #我后悔没有保护好自己。
1699306789# #紧急关注身处2023年云南的迟律师。最新情况如何？？
1688981785# #【墨里洁身:陈原抄庄周】之五之齐物论。这世界的缺陷皆是造物主所为。祂造了一个废品。。那么，应该停止一切对祂的歌颂和赞美。
1695122703# #青海长云暗雪山。
1693871872# #【陈原抄黄帝内经】之五十二之素问篇之第十八章:经脉别论。这制作，高大上了啊。我艸我艸我艸也。
1687321235# #【陈原抄屈原】之十九。今天抄录的是屈原九章之思美人。。抄屈原后，我打算继续抄老子、庄子、周易、黄帝内经、山海经、四大名著、菜根谭、金✘瓶%梅、肉&amp;蒲✘团、聊斋、资治通鉴、四库全书、世界童话、圣
1703979691# #转发微博
1698620843# #轉發微博
1703980195# #好一个无赖！
1698718371# #这几天，更加了解了他。
1701670870# #其实，没必要向哈粉解释更多，哈粉在乎立场，不在乎事实，说再多也没用！
1691833493# #【陈原抄山海经】之四十四。。
1698983029# #世界也正在向末日靠近。——因为从此，人类的世界，正在失去一切人类的意义。
1703370814# #运动之夜了解🌍
1691103338# #【陈原抄金刚经】之十五
1695126949# #【陈原抄诗经】（25）之国风召南绉虞。诗经。诗歌永远的经血。永远的诗歌的痛经。
1703372149# #电表经济。
1693632886# #【陈原抄黄帝内经】之四十四之素问篇之第十六章:玉机真脏论。。
1699656459# #无权不贪
1703375464# #转发微博
1692920391# #田丰误我，许攸辱我，郭图害我，曹操骗我。
1688817718# #【墨里洁身:陈原抄老子】之十二之道德经
1695256730# #【陈原抄诗经】（33）之国风邶风雄雉。。
1689469762# #【墨里洁身:陈原抄庄周】之八之逍遥游。已经埋葬了那么多人，这世界仍然空空荡荡。——陈原
1691199776# #【陈原抄山海经】之九。。。五点起来抄写。一种沉浸式的生活。几个月了，我已经对此开始迷恋。像蒙眼在磨道里拉磨的驴，不再回首以往，不再觊觎未来，而是恶狠狠地强化着眼前的现实，强化着此时的时间和此时的我。这细丝般穿过我肉体，穿过我灵魂，穿过我形而上存在的时间，正
1698560865# #据说总理生前不让宣传九梓，没有去过。这些都是民间的自发？总理应该把到底发生了什么告诉不舍他的老百姓。
1697587727# #【陈原抄诗经】。——时间是最高的最普遍的自然。。这又是诗经里一首比较长的诗，可以说，这首《正月》和之前也是小雅中的一首《六月》是诗经中最长的两首，都抄满了六张纸。我前面说过，诗经小雅中，出现了比较多的长诗，尤其这种与自然和时间有关的题材。——时间是最高的最普遍的自然。
1696846204# #我如此沉醉于山路中的驾驶，像一种现代速度的散步。如同穿行于另一种时光隧道，甚至，如同超越了另一维度的时空，与现世并行。——我希望路没有尽头。
1694878819# #第一次看到梵高这幅画。也更理解梵高为什么崇尚米勒。
1696549115# #【思考就是用智慧赎罪】。此时，我来到了这个刚刚降临的清晨，它临盆的脐血还没有擦拭干净。而它的陌生，它的初创，我们却早已经感受不到，仿佛它已经是一件旧物。。也许这个看上去已经很旧的世界，一切都还真的没有开始。正停留在虚空之中。
1699939129# #可悲。一群胡说八道的人占据话语权。
1698482031# #转发微博
1695352692# #【陈原抄诗经】（39）之国风邶风。新台。
1703834950# #我有些开始怀疑人生。
1698997038# #看到了完整视频，可怕极了。以色列无底线反击，没问题！
1695383892# #【陈原抄诗经】（41）之国风邶风。柏舟。。
1697250865# #咖啡
1699509425# #欧洲咋整成这样了，太可怕了！汗
1690097274# #【墨里洁身:陈原抄庄周】之三十一之德充符。
1687609844# #选项是BBB
1690698673# #【陈原抄易经】之十八之说卦传。
1698561999# #美国也就那样，寒酸的比不上我们村的党建中心
1691274204# #这群渣
1695005441# #【陈原抄诗经】（14）之国风之草虫。诗经。诗歌永远的经血。永远的诗歌的痛经。
1688900182# #【墨里洁身:陈原抄老子】之十六道德经。至此，李耳道德经全文抄毕。继抄家屈原之后，又抄家老子事毕。从今天开始，我开始抄庄子的家。老子和屈原是我一直以来最最尊崇的人，我把二位分别誉为精神与智慧之源头，一路抄下来，又倍感，中国文化，文脉高远，澄澈清晰，却又如此骨瘦如柴，
1689073224# #这些东西会伤国运。
1691668820# #【陈原抄山海经】之三十六。。
1694075346# #世界无规无壳，鲜活沥沥。——它如此瑰丽壮美，又如此细致入微。
1694405981# #【陈原抄黄帝内经】之七十之素问篇之第二十四章:刺热。。
1693437465# #我们都知道问题出在哪里，我们都没法解决，等着自我了断吧
1697965117# #家门没有关住我。今天我又去了山上。
1703418315# #【思考就是用智慧赎罪】。想起了二十多年前在青岛石老人海边的平安夜。那是我第一次知道平安夜。我突然感到了世界的异样:世界一下子充满了宗教、混沌、神秘、哲学的意味。无论是思想和精神，还是激情和荷尔蒙，都重新被赋予了一种从未有过的神秘涵义，既是一种身体里固有的事物，似乎也直
1687843828# #你是行家啊。
1687212460# #转发微博
1701555756# #自从上海那装修成殡葬一条街似的街道出现，就知道，这座城市和南阳也没啥大区别。
1695634149# #【陈原抄诗经】（59）之国风鄘风。木瓜。。
1690960768# #转发微博
1690947395# #【陈原抄金刚经】之五。
1688130609# #现在抄这些诗词觉得手下太滑溜，不如抄屈原那些生僻字更能获得写毛笔字的满足感。那是只有抄屈原才有的独有的感觉。
1690953469# #其实，我就是打发这人生垂死的时光而已。谢谢你。
1698029900# #一个城市的街头即景。那些生动的人们。正在构造着生活。让人突然有些留恋人间
1689810698# #握手微风
1689906495# #【墨里洁身:陈原抄庄周】之二十四之德充符。啊……——陈原
1700294867# #抓死放活。
1688863945# #【墨里洁身:陈原抄老子】之十四道德经。连我自己都能感觉到我写的越来越毛糙、生硬、烂。但我还是停不下来，像西西弗斯，被迫而又疯狂地消耗着废墟一样的生命，沉醉于彻底没有意义的事情中。
1695032582# #山居秋暝。。唐·王维
1703979959# #转发微博
1693133918# #【陈原抄黄帝内经】之二十一之素问篇之第六章:阴阳离合论。。
1693537542# #【陈原抄黄帝内经】之三十七之素问篇之第十三章:移精变气论之第十四章:汤液醪醴论。。
1694740962# #【陈原抄黄帝内经】之八十之素问篇之第二十六章:刺腰痛第二十七章:风论。。
1688082695# #陈原抄屈原之三十二之大招篇。
1696666344# #关注！
1692139268# #应该是受胡锡进下场炒股影响而进入股市的憨逼。
1698967662# #转发微博
1693567858# #【陈原抄黄帝内经】之四十一之素问篇之第十六章玉机真脏论。。
1687233088# #同步抄书东汉哲学家、政论家仲长统之《乐志论》，以和兴安兄。字丑犹乐哉。傻乐哉。
1691634925# #【陈原抄山海经】之三十二。。
1699768001# #分享视频
1690361408# #我本人不相信刀郎有回击娱乐圈之意。
1692360439# #【陈原抄山海经】之六十五至之七十。。
1688603609# #【墨里洁身】陈原抄老子之五之道德经。造物主给人制造了心跳。这是多么奇怪的事情，人类竟然也能适应到麻木，适应到没有感知没有认定。不仅如此，还包括心跳在内的人类的一切生理现象，人类亦是如此。——最高意志者，施刑成功。
1688964015# #为了保护世界，真的应该斩首这个战争恶魔了。
1698469029# #克强先生的字也甚好，隽永雅致有气质有修养，可构筑统一的文品人格。
1699742207# #他们解决不执行财产公开。
1698720255# #大道至简，人民好了，国家才能好
1690370176# #【陈原抄易经】之六之系辞传。
1700903796# #这种人，是怎么当上警察的？
1699410977# #抄写古诗四首。
1688963144# #【墨里洁身:陈原抄庄周】之四之逍遥游之齐物论
1691038876# #【陈原抄金刚经】之十三。。金刚经曰:凡所有相，皆是虚妄。。金刚经曰:应无所往，而生其心。
1689994240# #【墨里洁身:陈原抄庄周】之二十七之德充符。庄子说，先有真人后有真知。哪天把这句话写个条幅。。另外我想说，要有真知易，要有真人难。世间，唯有人离人最远，最非人。人，逃离了最初的命名。从概念中脱壳而出。人最终成为了什么？不知。人，是否真的存在?亦不知。什么
1698828810# #挺朴实。
1694581868# #【陈原抄黄帝内经】之七十六之素问篇之第二十五章:腹中论第二十六章:刺脉痛。抄黄帝内经至今，无数次出现痛字，而疼字至今未见。本来亦好奇，但如今对诸事无感，所以，不再劳神予以追究。。无论疼，无论痛，此世界，不舒服。
1689644998# #【墨里洁身:陈原抄庄周】之十四之逍遥游。
1699688472# #寻找共同的价值同盟，与现代文明携手，融入最活跃的经济体系，是最好的国防。
1691627245# #【陈原抄山海经】之三十一。。
1690952330# #【陈原抄金刚经】之八。
1694222352# #【陈原抄黄帝内经】之六十三之素问篇之第二十一章:太阴阳明论。。
1694682901# #【陈原抄黄帝内经】之七十九之素问篇之第二十五章:腹中论。。
1695609648# #【陈原抄诗经】（55）之国风鄘风。芄兰之支。。
1699739877# #生病
1690796028# #抄黄帝内经序（下）
1702253132# #转发微博
1698562350# #转发微博
1695342303# #【陈原抄诗经】（38）之国风邶风北门。。
1689636597# #眼神，是能看见的一个人的灵魂的缝隙。或者，是灵魂与精神的一种抽样。优秀和纯洁的人都会有很好的样本。
1687402956# #陈原抄屈原之二十三
1692144809# #真能扯淡。
1698877210# #为什么连巴勒斯坦本国人都唾弃的恐怖组织还有人追捧？
1697796985# #很多本来不是风景的地方，在秋天，都成了风景。。看啊，火焰，向上伸展的火焰。忘记了弯曲的火焰。。生命在季节的漫漫旅程中，这是最后的燃烧。
1702938639# #证人广告。
1699623986# #就是个闹剧。
1690794716# #抄黄帝内经序（中）
1697330300# #世界上没有比人性更不耐脏的东西。即便极少数圣洁的人格构成了意外，仍然不能否定我的判断。少数往往是被多数逼迫而生的。少数不真实。至于我们常常说的人性的美好，只能在剔除政治人格和社会人格之后，只剩下自然人格才能成立。但也只是可能性。毕竟人性在那儿把着呢。
1694867578# #握手
1690950566# #【陈原抄金刚经】之七。
1695201073# #【陈原抄诗经】（27）之国风邶风绿衣。还是我一直说的那句话:儿子一走，房间里的分子结构都是不一样的。此时，儿子乘坐的飞机已经落地。我的心才踏实下来。。我一直希望他坐高铁，他说飞机快。。唉
1698560605# #有心心
1693119504# #【陈原抄黄帝内经】之十六之素问篇之第四章:阴阳应象大论。。
1687347726# #陈原抄屈原之二十一。九章之惜往日部分尾部和橘颂部分首部。
1690849347# #农历二零二三年六月十五日，试抄摩诃般若波罗蜜多心经。如因字丑冒犯佛祖，还请佛祖老爷爷多担待三四。
1693278962# #【陈原抄黄帝内经】之二十九之素问篇之第九章:六节脏象论。。。
1695289438# #【陈原抄诗经】（37）之国风邶风。泉水。。
1702420926# #办实事的人
1693567230# #【陈原抄黄帝内经】之三十九之素问篇之第十四章:汤液醪醴论之十五章:玉版论要。。
1703375511# #15年前就发现加速电表了，这么多年他们得赚了多少啊，简直无法想象。
1690242790# #【墨里洁身:陈原抄庄周】之三十六之庄子内篇之应帝王。在此，应该正式宣布一下:截止今日，庄子抄写完毕。大约三万六千多字。具体地说是庄子内篇抄写完成。而庄子内篇七章不仅仅是庄子精华，也是庄子亲写。而之外的外篇十五章，杂篇十一章根本不是庄子所写。我个人是赞成这个说法的。。
1689483376# #【墨里洁身:陈原抄庄周】之九之逍遥游。岁月从容，世界从容，可我至今没有适应它的从容。——陈原
1687690139# #陈原抄屈原之二十七卜居远游渔父招魂
1700435315# #一看到一直转、一直转、一直转个不停的小圈圈，就希望中国移动这样的烂企业快快倒闭。
1699849939# #朱元璋经历了元末的黑暗统治，也亲身参与了规模巨大的反元农民起义，他更清楚贪腐给老百姓带来的深重灾难，也明白贪腐对政权的严重腐蚀和危害。在这一点上，朱元璋的做法无可指摘。
1692064963# #农历六月里有我的生日，是我的生日月。我是从来不过生日的。尤其今年。但儿子还是提前就给我买了礼物:一套毛笔，一个毛笔挂架。我写毛笔字与书法完全没有关系的，但儿子还是以这样的方式在塑造我。现在，儿子赠我的礼物就在案头，谢谢儿子。谢谢我深爱的儿子。我就像赎罪一样地爱着他。更令我感动的是
1699231194# #转发微博
1694947066# #在每一个黄昏，上帝都会向灰暗的，处于底部的人间赠送礼物。
1699432793# #战争发动者应该下地狱。
1700302719# #从来不说狠话但总是赢得尊重
1693016924# #【陈原抄黄帝内经】之九至之十二之素问篇。抄黄帝内经者，必得寿也。——我说。
1701078900# #什么样的物种能够无耻至此？
1701775440# #转发微博
1697709666# #密林与巨石，时光与天光的化石。我是化石上的绿苔？
1693786231# #【陈原抄黄帝内经】之四十九之素问篇第十七章:三部九候论。。
1699186868# #据说，尊老爱幼乃中华民族的传统美德～怒
1698592178# #如果联合国进行改革，印度很可能入常。
1691052317# #看到评论区说“买的吧”？好像买的就不需要感谢一样，要知道很多本国人都在抢你的口粮。人道主义是永远需要赞颂和传扬的鲜花
1692743312# #转发微博
1693632191# #【陈原抄黄帝内经】之四十三之素问篇之第十六章:玉机真脏论。。
1691795580# #其实遍地都是这种玩意儿。
1689720542# #【墨里洁身:陈原抄庄周】之十六之逍遥游。
1703990137# #【表达】重重叠叠的时代（草稿）/陈原。。那最古老的神话。渐渐被承认了真实:。被赋形的龟壳上文字的疼痛。和狰狞的龙的拓片纹路。再也不能修改。寓言和烽火台凿深历史和人性之渊，。延宕更神秘古幽的荒径。我们用火焰升起今天的旌旗。在旗杆的最高处。悬挂人类的乌云。。最后我们用灰烬记事。
1692918846# #转发微博
1688871764# #【墨里洁身:陈原抄老子】之十五道德经。
1699534347# #没有否定。
1700285389# #中国移动这样的烂企业快死了吧。
1700358933# #中国对现代文明一毛钱作用都没
1701304188# #很可能就是饺子，让过去很多人吃坏了胃，留下了胃病。因为那时候吃饺子完全不要命。
1695085509# #【陈原抄诗经】（19）之国风召南殷其雷。诗经。诗歌永远的经血。永远的诗歌的痛经。
1700466716# #我买电器还专门避开格力，纯粹是因为讨厌董小姐
1688687654# #陈原抄老子之七之道德经。应该小小地说明一下，我写的毛笔字与所谓的一切书法无关。无论是你家的，他家的，还是别人家的书法，我都与之无关。我写毛笔字只与我自己有关。——在别人万世师表、永垂不朽、声名万代的时候，寂寞地打发死亡到来之前的时光。仅此而已。——我想这应该是
1695087340# #【陈原抄诗经】（20）之国风召南摽有梅。诗经。诗歌永远的经血。永远的诗歌的痛经。
1701733040# #应该不是真的。
1692069451# #这个时代，只有平凡人才能给人感动。
1688449505# #握手
1700986428# #底层人需要的是奴役，或者说就是鞭子。这是由奴性基因决定的，不是具体哪个人的责任。
1687089924# #咱艸。咱艸。
1688822879# #走啊，我们一起去天上。。我在人间贩卖黄昏。
1694833042# #【陈原抄诗经】（1）之国风之关雎。自今日始，毛笔抄写诗经。。诗经，我族历史上劳动人民最早以文字和诗歌的形式发出的呻吟声。集快乐苦难茫然绝望恐惧于一体。也是最古老的自语和独语。所以，一切艺术都是来源于人类无意识，并始于纯粹的无意义。而这一切正好用来让
1693205445# #【陈原抄黄帝内经】之二十四之素问篇之第七章:阴阳别论之第八章:灵兰秘典论。。
1695552981# #我已经多次来到这里，这次到来，没有遇到山地的主人，那个七十多岁风凿雨刻的老人。几十年中，他建造了超过千米的石堰。他的固执和勤劳让我崇敬但也心痛。但我还是愿意承认他的意义，就像我现在无休止的抄写。——这是属于他自己的伟大的长城。他的坚韧的精神骨骼。
1688164796# #陈原抄屈原之三十四之九辩篇
1690329598# #【陈原抄易经】之三之系辞传。人感冒了，字也感冒了。我们一起抽搐。
1703374751# #官照当，舞照跳，酒照喝，钱照收，老百姓你能奈何？允悲允悲允悲
1689234204# #【古塔的暗喻】陈原。在古运河最重要的码头之一的临清，有一座著名的舍利宝塔。栉风沐雨，它已经在运河的高岸上站立了很久。云游四方，走过天下，我也是见过几个古塔的，但我固执地认为，临清舍利宝塔，是最最容貌英俊，长相标致的一座塔。塔在古代是阳具崇拜,生育图腾的标志，所以，舍利宝塔几
1698448960# #他竟然先走了。
1691898634# #握手
1700644282# #以后要入刑重判。
1693474011# #【陈原抄黄帝内经】之三十六之素问篇之第十三章:移精变气论。。
1687421172# #陈原抄屈原之二十四
1701823511# #缩编降费
1693878078# #【陈原抄黄帝内经】之五十三之素问篇之第十八章:经脉别论之第十九章:离合真邪论。。
1698918580# #转发微博
1697013273# #去年的现在我还在隔离中，作为一种纪念，昨天我想发个关于去年隔离的视频，我艸，竟然不让发。
1700275115# #这场战争该结束了。
1701670283# #转发微博
1698621588# #转发微博
1694854712# #【陈原抄诗经】（5）之国风之螽斯。。
1699850250# #真的不明白了，到底是没有特供监狱的国家更文明更先进，还是让那些曾经的权力者即便是在监狱里都和其他犯人待遇不一样的国家更先进。为什么要设特供监狱？为什么会永远存在不平等？
1691811803# #【陈原抄山海经】之四十一。。神所在的地方，你就不在那里。——荣格如是说。。这是荣格的箴言。一个智者的巨大判断。但也很有可能是一次慌不择言。不幸的是，或者说，荣幸的是:人一旦追溯到神，巨大的茫然就开始笼罩生命。无论是人在远古的蒙昧状态，混沌的人类中世纪，还是可疑
1690160566# #【墨里洁身:陈原抄庄周】之三十三之庄子内篇之德充符。烧了一夜，人是垮掉的。其实，人真正被征服，不是在思想上，甚至也不是在信仰上，而是在肉体上。无论欢愉还是疼痛。
1688078647# #陈原抄屈原之三十之招魂之大招
1699610405# #转发微博
1693712203# #【陈原抄黄帝内经】之四十六之素问篇之第十六章:玉机真脏论。原来以为烂字不怕骂。却最后发现，烂字更不怕夸矣。
1691703948# #【陈原抄山海经】之三十七。。
1700261050# #早起写个桃花源记玩玩。造化玩我，我玩造化。
1691141510# #【陈原抄山海经】之四。。
1698484450# #写的真好！但是，我们都知道为什么却无力改变，可悲的人民
1694910020# #【陈原抄诗经】（8）之国风之芣苢。诗经。诗歌永远的经血。永远的诗歌的痛经。
