1703760997# #“技术应该在车上，而不是在PPT上。”领跑汽车这是在内涵谁？
1693351303# #苹果发布会时间官宣了苹果发布会，不过它所有的配置也基本曝光了，对我来说真没有什么吸引力，反而华为的发布会让我很是心动，又可以看到大嘴笑着说一句“遥遥领先”了！
1699661638# #每天早起打卡。。早安！起床了吗？
1701865313# #大家平时在家有没有做菜的习惯？用什么做猪脚？我最近用的这款电饭煲还是蛮好用的。
1688428409# #女明星live图是这样拍出来的。。这么整有点过渡美颜了！果粉不都说喜欢iPhone拍照真实么？怎么整这一出？
1695105585# #华为耳机首发搭载无损无线传输。。苹果失去创新，接下来就看华为的了！创新才是第一生产力啊！。。我国标准率先突破无线音频传输限制
1696319534# #百年大行美国富国银行高管跳楼身亡。。现在回头看，富国银行今年二次因技术故障取不出钱，难道真的是技术故障？还是富国银行的流动性出了问题？
1693367807# #华为Mate60Pro体验。。有一个细节大家可能没有注意，华为Mate60Pro的包装盒直接标注有卫星移动终端，这代表着什么意思知道吗？华为Mate60Pro真的支持卫星电话！
1694434961# #出差的时候，带着荣耀MagicPad13看来是带对了，看视频爽不说，临时办公还能顶上！关键还轻便。
1701146974# #大嘴透露，华为还有两个“界”！。。应该是华为同北汽和江淮合作的新车吧！据说一款是纯电MPV，一款是纯电轿车。。。大家猜猜，大嘴会取个“*界”？
1696814287# #自从用上荣耀手表后，总是忘记充电！允悲。。续航太好的烦恼。
1689123631# #杭州地铁这个站点名字很特别。嘻嘻
1696980165# #你可以接受二手数码产品吗。。选择二手数码产品我觉得没什么不好意思的！。。我就买过好多二手产品，我的单反相机镜头也是二手淘的，目前用着没有一点问题，淘二手也是一种乐趣不是？嘻嘻。。你会淘二手数码产品吗？
1692748779# #国产手机屏幕真的崛起了！。。以前看手机发布会，老是看到手机厂商吹三星屏，什么E3，E4，E6，到现在发布会基本都是吹国产屏了！。。以前是没办法，近几年国产屏幕真的是突飞猛进，性能已经有了超越三星的态势，这离不开国产手机厂商的支持！就拿京东方来说吧，之前是华为一直坚持使用，之后是荣耀一直坚持
1690109531# #大屏用上后，真的回不去了！。。小猪我最近用上了荣耀MagicPad13，13英寸的大屏幕开始还有点不适应，不过适应后却发现真的香！。。出去的时候，用它来看视频，大屏幕能获得更好的观影体验，用它来处理办公文档，大屏幕也可以获得很好的桌面体验。
1698889441# #这位兄台和我说了点啥？允悲
1703686851# #雷总今天各种致敬，结果有朋友看了认为是“情怀绑架”，你觉得雷总这次的致敬如何？
1700181520# #看到了吗？。。这么多大厂接连高调宣布启动鸿蒙原生应用开发！这背后的含义不简单啊！。。从软件方面来说，HarmonyOS就是为了万物互联而生的系统，它的原生应用具备了全场景多设备高效协同的能力，是目前Android、iOS都不具备的！。。从信息安全的角度来看，鸿蒙已经成为了我国突破西方封锁的重要基石，各位
1698727235# #史上最短苹果发布会。。可能库克也知道这次提升不大，所以就尽量简短一点，免得时间长，看的人都走光了。嘻嘻
1703951160# #小猪搞机的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1698275524# #每天早起打卡。。早！起床搬砖去！。。荣耀Magic5Pro
1695992336# #超级月亮。。荣耀Magic5Pro拍的超级月亮，怎么样？还是挺能打的吧？
1697771333# #A股。。大A真是赢弱不堪啊！不知道今天能不能守住3000点？
1697520665# #花瓣支付不对标微信支付支付宝。。我是一直在用华为钱包，尤其是开通了HuaweiCard的信用卡后，买东西都用它刷，可以返现，还款也方便，不用手续费。嘻嘻
1697327934# #每天早起打卡。。明明有懒觉睡，怎么也睡不着啊！看来真的是年纪大了。各位老铁都起了吗？
1695813416# #不得不说，论热度还得看华为！发布会结束到现在这么点时间，华为Mate60RS非凡大师的预约量已突破了200万，远超当时iPhone15的预约量！更何况，这款手机发布会连提都没提！。。当然，200万里肯定有不少黄🐮，毕竟这款手机的溢价已经超过3倍不止了。不过，我觉得绝大部分人肯定是抢不到的，因为从目前Mat
1697774533# #大连马拉松回应尹顺金被车挡。。在这么大型的一个公共比赛上，所有参与的工作人员应该都经过专业的培训吧？按道理不会“阻挡选手比赛路径”这么低级的错误才是！。。但很遗憾！我看不到工作人员的专业性在哪里！
1702738095# #荣耀100Pro拍摄的美女写真，每一张都美得令人窒息！老实说，有没有让你心动，想要立刻分享？
1702863894# #华为nova12也搞个先锋计划？。。如果卖的好！华为是不是又不打算开发布会了？思考
1702984591# #小米汽车还未开卖就进账300万！允悲。。做自媒体的人，能厂家邀请去看未发布的产品确实非常有面子！不过，厂家给的协议还是得看清楚条款了，违反了协议条款，造成严重后果的，厂商可没有这么好说话！。。这不，这几位就倒霉了！开除的开除，公开道歉还得交罚金，公开道歉还好，罚金可不是小数目！
1690437898# #现在消费降级太厉害了！工资7000都不敢买3999的小米13，只能买红米，还的考虑再三！
1689507849# #现在的线下大商场，就是个大型4s店啊！。。杭州来福士一楼，主要几个新能源品牌都到齐了。
1698302938# #小米澎湃OS能否对标鸿蒙。最近科技圈最大的事儿恐怕就是小米14系列的发布们还有小米全新的操作系统小米澎湃OS了。。。据官方透露，这款操作系统与华为的鸿蒙OS有着相似的技术路径，都是兼容AOSP（AndroidOpenSourceProject）。这意味着小米澎湃OS在继承安卓生态的同时，也能够更好地适应小米智能生态
1693496163# #八核十二线程！麒麟9000s遥遥领先！。。华为Mate60Pro真可以闭眼入啊！允悲
1696833854# #安卓手机和iPhone谁更安全。。不是都说苹果手机安全、隐私保护好吗？怎么会出现苹果商店现黄色软件伪装成学习软件这种事！是不是有人在黑苹果？
1691998610# #雷军建议不要给年轻人建议。。雷总的这个建议不错，我听。
1701158607# #新时代啥东西最贵？人才！。。华为车BU员工加入合资公司可获补偿
1696563873# #朋友把身份证塞进手机后盖。。把身份证放到手机壳里倒是常见，收到手机后盖里那倒是第一次见，难道它的这手机可以换电池？
1703297466# #在保护知识产权方面，华为可不会手软啊！。。毕竟技术是自己安身立命的根本，不可能轻易让谁偷了去！。。这次事件又起到了震慑的作用吧！让业内有这种想法的人，不要抱有幻想！
1694043712# #梅西第16次入围金球奖。。梅西的第8座金球奖在向他招手了！不过离开巴黎是一个变数，人走茶凉！就看要不要脸了！
1693739956# #奥本海默每一秒都激情澎湃。。笑而不语笑而不语笑而不语今天看了，整体剧情平淡，靠对话撑三个小时。主题明确反战，掺杂了女权，所谓的激情戏只是为了拍而拍，对推动剧情完全没有一点帮助。不喜欢看剧情片的人，估计受不了。
1688027488# #微信官方致歉。。所以，大家不想付费，不用它也很正常啊！我是不太介意重新用回现金！doge
1698794692# #每天早起打卡。。老铁们早安！这几天天气非常不错，可以要搬砖！
1696649872# #你安装iOS17了吗。。苹果真的好神奇啊！通过升级系统就可以解决iPhone15的发热问题，因为它之前就是通过系统升级让你们的电池电量更“耐用”的。嘻嘻
1699858135# #真帅！。。荣耀100的拍照能力又变强了！
1701559925# #每天早起打卡。。早！周末想睡了懒觉的，结果还是醒了，睡不着！允悲
1703749419# #买折叠手机的人后悔了吗。。折叠屏的折叠屏手机销量连年上涨，相信很多人都已经买了折叠屏手机，你买折叠屏手机后悔了吗？。微博年度手机大赏
1699486469# #雷总，这话真是扎心了！笑cry
1699788641# #安卓版本与鸿蒙不再兼容。。感觉挺不错的！华为鸿蒙真正的独立，就是要脱钩，发展出自己的软件生态。
1696634573# #每天早起打卡。。老铁们早安！起床上班去，不要睡过头了！
1696824816# #苹果客服确实温和友善，不过回答问题却平静如水，严格执行不承诺、不承认、不负责的准则，所以解决不了实际问题。苹果手机投诉处理率不足5%
1691882730# #iPhone14Pro用户抱怨电池容量大幅下滑。。有人不更新，电池就没事！库克不会是又在搞小动作吧？
1703514903# #华为游戏中心2023年度榜单揭秘啦。。🌟《三国志・战棋版》以公平策略和丰富剧情获编辑推荐，老玩家们是不是心动了？。🎮《元梦之星》由腾讯天美研发，多种玩法让你乐在其中！快来加入乐园，和星宝们一起嗨皮！。🌍《星球：重启》科幻题材生存游戏，自由探索与创造，你准备好挑战未知了吗？🚀。。
1691154001# #华为产品能卖的好，靠的不是品牌，而是靠产品品质和搭载的高科技技术，问界系列还在口碑累积阶段，就像华为手机一样口碑也是慢慢累积上来，才有后期这么惊人的销量的，等吧！
1700529316# #看到一个有意思的话题，如果美国放开了芯片限制，国产芯片会怎么样？。。说实话，我觉得现在谈美国放开已经有点晚了，经过三年发展，中国芯片已经不是之前的吴下阿蒙了！。。作为对手来说，我觉得美国限制中国芯片产业完全是一步臭棋！。。中国作为全球第一大工业国，拥有全球组织度最强大的国家体制，还拥有
1695286054# #相亲同时带了苹果和华为。。没必要踩一捧一，华为我喜欢，苹果我也很喜欢，比如阿克苏的冰糖心，那是真的超级甜！
1697018985# #荣耀MagicVs2为什么能这么薄，原来是它用上了新材料稀土镁合金。。。稀土镁合金据说是目前工程应用中最轻的金属结构材料，在航天、军工、电子通讯、交通运输等领域有应用，具有密度低、强度高、刚度高、减震性高、易加工、易回收等优点。。。没想到，这次荣耀将这么好的材料带到了手机领域，相信这次荣耀M
1701041018# #这次事故和其它几起事故不太一样的是，这次有近距离的视频记录，可以清晰看到车子刹车灯一直亮着。蹲个权威部门调查，蹲个厂家合理解释。连撞11车特斯拉车主发声
1692766047# #值得庆贺！华为鸿蒙内核最近通用了操作系统内核领域，也是业界最高安全级别的（CCEAL6+）认证，这一成就的获得让华为成为全球首个获得该领域认证的智能设备制造商，也进一步巩固了华为在智能设备领域的领先地位。
1703986479# #每天早起打卡。。早安！兄弟们！早起的人活都干了两轮了，我才从床上爬起来，你呢？。。荣耀Magic5Pro
1687847089# #海南考生881分想报北大。。我觉得读书这个东西，不仅要靠后天努力，还需要有天分啊！我就是天分不够的那种，看书就想睡觉！！
1701504749# #iPhone电影感氛围调色教程。。说实话，这图不调还很好看，调了之后感觉上了个BBC滤镜！允悲
1687392419# #炎亚纶被撤销台湾十大杰出青年资格。。炎亚纶这是给大小S一家吸引火力吗？大家注意力似乎都转到这里来了！
1700976721# #午饭吃这个！哥做的鳗鱼饭看上去不错吧？
1688270314# #荣耀90Pro更新了137版本，新上架了控制中心，来看看有什么变化吧！
1693043548# #马斯克吐槽TikTok，他表示TikTok在“使用户觉得不无聊”这方面有点过头，感觉它们的AI正在探测我的大脑，所以我还是不用了”。。。马斯克在去年第一次使用TikTok后，曾经在Twitter线上员工大会上盛赞其内容有趣，没想到这么快就改变了对它的看法。。。你觉得刷短视频有毒吗？
1695252881# #为啥华为手机的外观设计已经到了世界巅峰，但汽车的设计总被人吐槽？。。华为做手机已经不少年头了，早期更多的也是模仿，在Mate20开始才有了已经独特的风格。其实比亚迪、吉利也是慢慢成长起来的，他们的车刚开始外观也不好看。。。我觉得把，买车还是要注重内在，超控感、底盘、悬挂、安全性、智能程度这
1703205962# #荣耀90GT上手体验：游戏玩家的理想之选！。。直屏设计，手感一流，玩游戏时握在手中感觉非常舒适。屏幕素质一流，支持3840HzPWM高频调光，再加上荣耀自研的绿洲护眼屏技术，对于游戏玩家来说简直是福音。此外，它的屏占比非常高，玩游戏时视野开阔，几乎无边框的设计带来沉浸式的游戏体验。。。荣耀90GT
1695344687# #印度三哥的制造水平真不行啊！。。有博主连续拆了三台iPhone15新机，三台新机的摄像头在显微镜下观察居然都有灰尘存在。。。各位想入手的，看清楚产地啊！
1701155823# #智界S7的无人代客泊车功能，应该就是L3级别的自动驾驶了吧！在自动驾驶领域，华为说第二，谁敢称第一？。。智界S7现场演示无人代客泊车余承东让智界S7自己开上台
1702358205# #供应链可年产100万台苹果VisionPro。。买这玩意的人，有钱是其次，有闲才是真的！
1693623553# #外卖员3分钟找到灭火器救火。。太及时了，速度真快，每个外卖小哥都是宝藏男孩，他们化身社区侠为大家提供及时的帮助，正能量满满的，好人一生平安！宗军伟好样的！心心
1699098986# #专家称华为回归引发iPhone需求疲软。。我算是专家了吗？笑cry
1687666277# #张雪峰因过度劳累被强制住院。。高考成绩这才刚出来呢！张老板已经累住院了？
1700375508# #欢哥结束了两天的比赛，虽然没有拿到奖牌，但我们重在参与，突破自己就好，加油！
1696667483# #不得不承认，华为Mate60Pro上第一颗纯国产芯片能做到这个地步，已经非常的牛逼了！苹果、高通牛逼，也不是一步就成功的！
1696218211# #微单卡片机单反的主要区别。。除了老法师，现在谁还拿相机拍照，不都用手机吗？。。再先进的相机，也比不上手机的方便二字啊！。。我觉得未来相机不会淘汰，但仅限于专业人士使用。
1689722464# #我怀疑大麦根本就没有票。。都和我一样，在网上支持不就可以了？不买票，让黄牛的票都烂手里，亏死他们去！
1693792355# #为什么好多人都消失在朋友圈了。。我不喜欢现在的朋友圈氛围，所以现在基本不发朋友圈。
1703460944# #每天早起打卡。。兄弟们早安！今天周一，收拾收拾上班去，不要迟到了。。。荣耀Magic5Pro
1702610971# #谁懂原图直出的快乐。。原图直出拍出美美的照片，才是手机相机发展的意义。
1687489989# #泰坦号观光艇内爆5名乘员已死亡。。听说是这个潜艇只能潜1500m，结果却跑到了3000米下去了，有钱人的命难道会硬一点？要相信科学啊！
1701672759# #在我们公司如果这么卷也是没有前途的，老板1小时给8块钱，还得看有没有出成绩，所以你就卷吧！没前途！
1689033436# #荣耀MagicPad平板Geekbench跑分曝光，单核成绩1118分，多核成绩3585分，证实其搭载的是骁龙888处理器。。。有人说骁龙888会不会太热，其实不用太担心，荣耀能在手机上驯服骁龙888这条火龙，这么大的平板还会搞不定？。。另外，荣耀MagicPad将配备13英寸IMAXEnhanced护眼屏，支持裸耳3D空间音频和超级
1700472027# #处理得当！。。俩未成年非法曝光他人信息，一个被判拘留10日一个被口头教育！。。未成年人违法，造成严重后果的，一样该罚就要罚！。。B站通报人肉开盒案例
1703321826# #申请跟美女们一起过冬。。冬天到啦，也是拍雪景的好时候，大家有没有到哪里去玩啊？你们那里有没有下雪？
1703861643# #发现一个暖被窝神器，这玩意儿，小归小，但是超暖和，你用什么暖被窝呀？
1696739529# #iPhone15Pro蓝色钛金属价格暴跌。。便宜了1500就暴跌了？暴跌个屁！苹果iPhone15Pro1T的售价1.3万，利润空间有多少？内存是金子做的？
1701988686# #机场安检电梯这看到的吉利广告，搞这么大一个电子屏广告牌投入不少吧？不过看着效果是真好。
1686871666# #昨天，可以说是中国足球迷的盛宴，因为有世界足球冠军队阿根廷和澳大利亚足球队的比赛在北京召开，而这次最让中国球迷兴奋的是球王梅西icon也来了！。。这次阿根廷队的中国行可谓buff叠满，在比赛才刚开始81秒的时候，梅西就进了一球，可见梅西依旧是全场的焦点。。。荣耀作为这次比赛的官方合作伙伴，可以
1703940231# #nova12系列的保外维修价格出来了！。。nova12Ultra为例：。屏幕组件全新屏2379元，活动价1579元。。电池216元，。主板2199元（1TB版为2799元），。后壳83元，。前置主摄208元，。前摄超广角179元，。后置主摄541元，。后置广角139元，。适配器359元，。数据线59元，。卡托5元，。喇叭110元，。充电接口103元，。受
1702623961# #腾讯真下血本了啊！。。合家欢游戏《元梦之星》正式上线！首发联动《王者荣耀》，等级达到10级，就能在王者荣耀端内免费领取大乔星元皮肤【温梦星夜】，还有“梦奇”、“山海·琳琅生小乔”、“时之祈愿瑶”、“星空梦想鲁班七号”、“时之奇旅妲己”联名时装。。。有下载玩玩的吗？
1699006195# #流浪地球3定档。。2027年？这也太久了吧！我等不及了！
1702510219# #盒马总部IP地址被山姆APP屏蔽。。这种一般不是公司内网屏蔽某IP吗？怎么看说的是山姆屏蔽了盒马总部IP？逻辑上有点不通啊！
1690093443# #杨颖身份证上名字。。Angelababy除了跑男，你还记得她演过什么令你印象深刻的片子？
1701505468# #荣耀Magic5对比荣耀100Pro，是否还有优势？。。在智能手机市场，新产品推出总是层出不穷，各品牌都在不断刷新人们对手机性能和体验的认知，然而，在新机不断的潮流中，老将荣耀Magic5依旧保持着其独特的地位。。。首先，荣耀Magic5的轻薄性令人印象深刻。在众多手机追求更大电池容量和更强大性能的同时，
1703632393# #一觉睡醒，问界M9的大定居然破了2万！华为这恐怖的号召力，友商心肝都在颤了吧？
1690674274# #知道荣耀X50耐摔，毕竟厂家宣传的就是耐摔，不过！没想到它居然这么耐摔！。。在新评科技最近发布了荣耀X50的摔机测试视频，结果惊人意外的是，荣耀X50居然顶住了全部的35轮常规测试，也就是说摔了35次都没有摔碎，最后没办法，他到户外硬摔才把荣耀X50的屏幕给整报废的！。。虽然新评科技的测试还不是非常
1690116585# #华为要做灵动岛设计，我觉得没有什么好奇怪的！。。毕竟，最早的在荣耀V20上就已经出现过“灵动胶囊”的创意设计了！而且我觉得华为如果真要做灵动岛，应该会带来一点不一样的东西！。。另外，还有传闻其他国产厂商也会跟进“灵动岛”功能。我觉得灵动岛的这个设计倒不难，难的是第三方软件的适配，如果做
1691629414# #一加Ace2Pro居然上24GB内存了！全球首发海力士首款量产24GB内存手机。。。大家觉得手机有必要搞这么大运存吗？
1701870162# #荣耀最近是不得了，性能小钢炮是一款接着一款！。。24GB大运存、3颗芯片、OIS光学防抖、绿洲护眼屏，每一个都很有看点。。。年底想换机的可以等等哦！
1698827604# #华为Mate60Pro+还真费钱！。。看了这位网友的自述，还真是“心酸”！。。痛并快乐着！
1696152722# #幸亏是后面已经完美解决了，万一真错过了，那不得要后悔一辈子？。。咱就说，这么重要的东西，为啥不搞一个二次确认？设计人员咋想的？女生手滑误拒浙大保研通知
1700099074# #第一句很好理解，第二句有点意思，是指华为/荣耀用GMS吗？。。华为我觉得不太可能用GMS了，荣耀确实需要GMS打开海外市场，但不是已经谈妥或者授权了吗？
1698843777# #小米14的龙晶玻璃今天可是吵的很热闹。。。小米14的龙晶玻璃供应商爆是江苏常熟佳合显示科技有限公司。。。雷总说这个龙晶玻璃已经和供应商联合研发了五年。。。江苏常熟佳合显示科技有限公司显示成立于2019年11月6日。。。网友说这个龙晶玻璃小米的内部预研了一年，然后再与供应商合作试产不断打磨的。。。大家
1691225414# #这霸王龙做的还逼真吧？。。荣耀Magic5Pro
1702085640# #老王华为智慧屏的感受如何？
1700610994# #我很怀疑OpenAI这事，是不是微软安排搞的？。。原本微软收购OpenAI需要数百亿美元，现在只需花费77亿美元把人挖过来就可以了，实现了以最低的成本完成了收购。。。对OpenAI员工来说，1000万美元简直是天降横财。。。OpenAI董事会现在应该连肠子都毁青了，现在把自己折腾死了！
1701700245# #原来这是假的，我就说嘛，OPPO怎么可能这么没品味？嘻嘻
1699591724# #微信支付与三大运营商条码支付互联互通。。中国移动“和包App”、中国电信“翼支付App”、中国联通“沃钱包App”，谁手机上装有这三个APP？允悲
1691302912# #年轻人为什么不爱吃零食了。。卫龙销量下滑，就得出年轻人不爱吃零食了？能不能不要这么片面啊！现在市面上有多少种零食啊！卫龙这么重油的零食还是少吃为好！
1699433304# #董大姐还是看走眼了！。。原本董明珠找孟羽童应该是想给格力打造一个强力的IP，所以一开始就把孟羽童捧的很高，但董大姐千算万算，没想到孟羽童不是一个简单的人。。。孟羽童依靠格力给的巨大流量和资源迅速火爆全网后，俨然成为了新晋网红，她依靠这波流量让个人账号也水涨船高，等自己账号的收益大大超出
1702283324# #手机信号哪家强。。讲真！荣耀Magic5Pro是我目前用过的信号最好的手机，小区地下室对比非常明显，不愧是有独立信号芯片加持的！
1686903924# #华为手机状态栏居然有这么多标识，你全都认识吗？
1690156085# #一辈子很短但周一很长。。就是，周六周日在家啥也没干就到周一了！时间怎么这么快？
1702978435# #安卓手机在这一刻达到了巅峰。。什么安卓手机？安卓原生系统之前就没有地震预警这个功能好不好！这都是我们国产手机厂商们搞出来的！现在知道我们国产厂商们多么努力了吧？
1699671256# #自作自受！。。11月8日，澳大利亚第二大电信运营商奥普图斯突发大面积网络故障，澳国内40%人口约1000万用户一度无法使用互联网和通话服务！还运营商四年前曾被迫禁用华为5G设备！
1689478853# #第二架国产C919正式入列。。中国速度就是快，这么点时间已经第二驾C919入列了！第三、第四架还远吗？
1692620851# #经过这段是时间的使用，我觉得NEO破壁机的优点还是蛮多的，操作简单，即使没有经验的人也可以轻松操作；杯子结实，可以持续使用很长时间；噪音低，这一点我非常喜欢，早上起来做饭时不会影响孩子睡觉；清洗方便，使用清水冲洗后就可以很容易地将其清洗干净。这样一款实用的破壁机，非常适合家庭使用，
1700176274# #每天早起打卡。。各位亲，早呀！周五这天搬砖特别有动力！。。荣耀Magic5Pro
1696393715# #荣耀X50这么改一改，确实有华为Mate60Pro那个味了，不仔细看，还真会认错啊！有没有？
1691021011# #刀郎被美国音乐协会封杀？。。哈哈哈！真尼玛笑死我了！美国这帮子人还真会凑热闹啊！这“对号入座”式解读能力，无人能敌！！嘻嘻
1693565644# #华为这热度真是无敌啊！。。华为Mate60Pro这还没发布，在酷安已经达成了2000W热度，这也是酷安首款破2000W热度的手机！就问你牛不牛？
1695303089# #“卫星通话根本不是什么黑科技！”。。“嗯，苹果能在没有开通5G服务的地铁里收到5G信号才是黑科技。”
1692494800# #一岁多的孩子高铁哭闹遭女子要求闭嘴。。“如果一个社会连幼童都包容不了，那这个社会病的太严重！如果把批判幼童作为一个流量密码的话，那点赞的人都是变.态！”
1697191201# #周五周五轻松为主&nbsp;。。一周的疲惫在周五达到顶峰，所以无论怎么样，周五下班后一定要犒劳一下自己！。。本I人就会宅家喝杯奶茶，看看电影，听听歌，放松一下！不过我不会熬夜，要不然周六就废了！
1701834730# #深圳机场的华为店，居然有原价的华为Mate60Pro和MateX5！。。有没有要带的？先打款！嘻嘻
1698981852# #A股。。难怪今天大涨了！
1699000859# #为什么iPhone对比没赢过销量没输过。。华为就不说了，要不然被制裁，苹果什么样都不知道！。。其它国产手机厂商这几年进步非常明显，比如荣耀今年推出的荣耀Magic5系列、荣耀MagicV2，在各方面我觉得都吊打苹果，难为苹果已经占据了市场先机，夺它的市场比较困难而已，苹果只要再摆烂几年，国产厂商完全
1695286339# #你要iPhone15还是华为mate60。。成年人不做选择，白送都要！。。自己掏钱，再考虑一下！
1693969698# #荣耀这次在IFA，是妥妥的C位啊！。。荣耀CEO赵明不仅在2023德国IFA展主会场发表了题为《展开未来》的演讲，荣耀MagicV2和最新折叠屏概念机VPurse更是斩获了“BestofIFA2023”（IFA2023最佳）奖项。。。中国科技，让世界惊叹！
1701127428# #每天早起打卡。。早呀！今天开始主力机换华为Mate60Pro使用一段时间。
1701237363# #不错啊！新一代的荣耀GT系列也给安排了绿洲护眼屏！。。貌似新一代的荣耀GT系列还是直屏？游戏党们的福音啊！
1698016835# #每天早起打卡。。早安！周一了，起床搬砖去。。。荣耀Magic5Pro：钱塘江
1699416001# #第一眼有多重要&nbsp;&nbsp;。。第一眼的感觉真的很重要！。。不管是买东西也好，还是找对象也好，第一眼看着舒服，买下这样东西或者牵手成功的几率，都非常高。
1699154190# #最近入手了南卡Lite3夹耳式无线蓝牙耳机，感觉不错，如果你使用厌倦了传统蓝牙耳机，倒是可以尝试一下这款。
1700003824# #每天早起打卡。。早！感觉没睡醒！。。荣耀Magic5Pro
1698191597# #海氏电器实名举报京东。。看了半天才理清点头绪，一个卖货的和李＊＊签了全网最低价协议，结果惹怒了＊京，锁后台改半价，卖货的一款看急了，这都低于成本价了，没办法实名举报了＊京。。。我觉得这事卖货的不地道，就好比两家对门开店的都向你拿货，本就竞争激烈，结果你一家给最低价，那另一家还怎么卖
1703721930# #京东宣布采销等一线员工涨薪近100%。。工业品采购拼的就是服务和供货效率，京东都做的不错。我们公司采购也有电商接入，对比几家电商，京东是最积极回应的，只要有什么需求一提出来，就会有工作人员跟进处理。
1693618085# #别人抢不到华为Mate60Pro，黄牛却在直播间公然倒卖，真太过分了，感觉这种直播间应该直接封杀！
1699008855# #海氏称反垄断局已受理对京东举报。。世界很多地区都在打战。。俄乌战争，。巴以战争，。印巴战争，。缅甸内战，。中国电商大战！
1696553087# #每天早起打卡。。老铁们早安！今天多休息一会啊！明天之后连续7天班！
1701004324# #传了好几天的消息终于落地！。。华为成立一个新的公司，长安入股占比不超过40%。新公司主要业务是汽车智能驾驶系统以及相关硬件的研发、生产、销售和服务！。。华为这是下了一盘大棋啊！。。你们怕失去灵魂？那么我成立一家公司，你们来入股怎么样？这样一来大家都是一家人，还怕失去灵魂？。。这招玩的高！长
1693831257# #这波文化输出真是赢麻了。。荣耀9月1日亮相德国柏林IFA，在海外首秀的荣耀新品赚足眼球，“中国智造”为全球消费者重新定义时尚生活方式！中国品牌在海外到底有多排面！
1688080646# #随手拍。。昨晚用荣耀90Pro拍的月亮，还不错吧？。。拍的时候云很厚，荣耀90Pro也没有识别到月亮进入月亮模式。
1699104732# #这个世界比想象的还恐怖！
1693891663# #华为Mate60Pro开售，让ASML总裁得失心疯了？。。“中国自主研发光刻机，自主研发相关产业链的行为，表面上无可厚非，实际上却破坏了全球产业链平衡，是以各国利益为代价，换取自身的发展，这实在是太自私了！尤其是华为公司，他们更应该见好就收，不该在该领域继续努力。”。。按照它们的想法，合着我们就
1695079285# #每天早起打卡。。老铁们早安！又到银杏落叶时，秋了！。。荣耀Magic5Pro
1701736338# #近几年来，汽车制造商们纷纷推崇智能座舱，对消费者来说，最直观的体验就是车内屏幕增多、语音控制功能增加。。。但是，车内的屏幕数量的多少并不意味着座舱就更智能，仅仅堆积大屏并配备语音控制并不足以使座舱变得智能。。。我觉得智能座舱更为重要的是座舱背后的智能水平以及语音控制的实用性，此外，还
1698710330# #苹果中国官方首降价。。“你不买我不买，明天还能降300！”。。一件商品，如果产品力不行，大家都不买单，看它还怎么维持得了高溢价？。。华为回归确实给了苹果不小的压力，但自己摆烂才是最要命的！
1703579593# #问界M9价格公布，增程版46.98万起，纯电版50.98万起！五十万不买它，你就亏大了！
1698567125# #小猪搞机的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1700703213# #今天还真热闹，荣耀、红魔、OPPO都开发布会！红魔、OPPO发布会时间还撞车了允悲。。感觉厂商发布会还是得提前预热，给友商留出安排时间，不然出现扎堆撞车的情况，多影响宣发呀！
1701955008# #大家出差旅行会带什么充电设备？最近我出差都用两款，方便了不少！
1699162442# #华子真是用心了！。。真是没想到，搭载麒麟980处理器的荣耀20和华为Mate20系列手机，五年后的今天居然还能获得鸿蒙大版本的升级！而且这些设备更新后，依然能够流畅使用，真是堪称业界良心啊！。。你的手机还能获得厂商的大版本升级吗？
1703157844# #荣耀90GT。。荣耀90GT的硬件配置可以啊！骁龙8gen2，自研射频增强芯片C1，独立显示芯片，三芯联合调校，实现“高帧”、“超帧”、“低功耗”、“低延迟”四大超凡体验，牛逼！
1702796018# #刚刚家里的打印机墨盒没墨了，去外面打印店里打印的，打印16张，5毛钱一张，收了我八块钱。。。想问问大家，这个收费合理吗？有点不懂行情啊！
1697084599# #原来美国人也在抢购华为Mate60Pro，难怪华为Mate60Pro到现在还得抢。。。据悉，华为Mate60Pro新机在美国供不应求，即便价格已经飙升至2300多美元，美国人依然在热衷于购买，主要原因在于他们担心自己的隐私被侵犯。。。华为手机因其卓越的保密性在美国引发了抢购热潮，怎么看怎么觉得奇怪！允悲看来美
1698331148# #直播间开始盯着对方降价了。。直播算是被＊东玩明白了，我们老百姓才不会关心主播，我们只关心价格，当然是越低越好！
1692365415# #打响取消公摊第一枪的为什么是合肥。。好像第一个取消公摊面积的应该是重庆吧？都在按套内面积算房价的。不过取消公摊面积后，公摊面积算到房价上，又有多大的区别呢？
1698330997# #小米14Pro终结直屏曲屏之争。。小米澎湃OS的首批推送计划见下图，手里有对应设备的朋友可以静待推送。嘻嘻
1690701877# #都已经过去三天了，卢总都没发声啊！应该没出意外吧？
1698019961# #广东汕头发生5.0级地震。。又地震了！大家注意安全！。。现在智能手机上都有地震预警这个功能，但默认是关闭的，大家千万记得打开地震预警功能，提前几秒收到预警，可能就能让你脱离险情！。。以我手上的荣耀Magic5Pro为例，打开的路径是设置～安全～应急预警通知～地震预警。
