1693634315# #大众网潍坊的笔记男子带退役43的父亲来射击馆，网友：这是来表演的吧（分享自
1703743627# #我推荐《父辈的荣耀》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1692973698# #雾醺^栗🎞的笔记今年玩阴的是主旋律，生化武器、细菌战、金融、信息战，会轮流用上天灾不可怕，可怕的是人祸...（分享自
1696092441# #苏木没有小叶子的笔记不知道这是不是护理部的通病，不管这个不良事件到底是什么原因、什么经过，首先就要护士自我反...（分享自
1687223716# #沐然的八月的笔记南宁山姆超市这是正常的吗？(这篇笔记不会删，然后觉得“日本产品就是好的，不允许你说不好”...（分享自中国人专门帮别人毒害中国人。
1699355328# #任志达的笔记35.关系or能力，关键时刻，哪个会奏效呢？&nbsp;持续关注持续精彩（分享自
1690809536# #桂林生活网的笔记“这一蹲比站着还帅哟～”赞R赞R赞R飞吻R飞吻R飞吻R贵州村...（分享自
1695439374# #程宝叉的笔记不要和日本人通婚！！！（除非你能确实他是完全不带阴谋，能保证他不会在中日战争时成为日本的...（分享自
1698927026# #阿诚来了的笔记生活知识纳米胶安全（分享自
1691893638# #转发微博
1687176892# #他自己一个大男的背个小粉包儿。还嫌人家姑娘穿着暴露。过去的年代，女生是不会穿着暴露。请问哥过去的年代，哪个男人敢背粉包？
1696261092# #春暖鸭先知的笔记因为真的勇士，敢于直面惨淡的人生，敢于正视淋漓的鲜血抗日战争918勿忘国耻...（分享自
1687701761# #麦子的笔记《新编学生新华词典》2017版。没有收录“倭寇”这个词。《新华字典》第11版。对“倭”...（分享自倭寇，倭寇，倭寇，倭寇，就是日本人，倭寇，就是日本人。
1694518953# #帮视频的笔记俩老人高铁上霸占乘警座位，乘警劝阻后反被怼（分享自
1696256467# #万达电影的笔记年轻演员被逼真的妆效吓到当场呕吐，现实远比电影残酷！&nbsp;电影志愿军雄兵出击（分享自
1695372906# #考Ser的笔记预制菜千万不能进校园认知预制菜预制菜进校园（分享自
1692240500# #红星新发现的笔记洪水&nbsp;&nbsp;抗洪&nbsp;&nbsp;抗洪救灾&nbsp;&nbsp;英雄（分享自
1691647343# #晓东的笔记草菅人命吗？小小医生居然可以贪这么多医药医生日常（分享自
1691283033# #画画的笔记日常碎片PLOG军人战士暴雨过后暴雨洪水灾难...（分享自
1689818088# #转发微博
1691647547# #我们视频的笔记“咱们都是一家人！”脱离洪水威胁的村民为武警官兵送上立秋饺子。满满的温暖，为你们点赞（分享自
1687918761# #眯眼观世界的笔记走进清华北大的不一定是中国人，但是上了国防科技大学一定是国之栋梁，此生不悔入华夏，在这里...（分享自
1688566229# #风闻社区的笔记网传一高校老师插队，遭学生反对后当场发飙（分享自就你这个德行，凭啥尊重你？尊重你也是人人平等，谁说你就比学生高一等就得先打饭。臭毛病。为人师表，都怕孩子们饿着，哪个老师会抢在孩子前面打饭。你插队还理直气壮和学生讲道德，你也
1703300571# #转发微博
1686995741# #西部决策网D视频的笔记6月16日，湖北黄冈。大妈组团在楼下跳广场舞，詹先生孩子要中考，就跟她们交涉了一下，结果...（分享自
1699840702# #小学生营销号的笔记这些人躺在他们用生命堆砌的成就下，能否安然入眠胰腺癌中山二院人性黄敏（分享自
1691550543# #小宇哥很努力的笔记如此年轻的生命，就这样把生命永远定个在了那个夏天，看着实在是让人心痛又可惜，2019年7...（分享自
1693061636# #电影葯丸的笔记纪录片推荐&nbsp;&nbsp;急诊室故事&nbsp;&nbsp;&nbsp;纪录片解说（分享自
1693032060# #''葵诺🌼霉吕的笔记日本排放核废水（分享自
1690864208# #⛱夏沫🥤【反诈联盟】的笔记反诈骗骗子高薪诈骗防诈骗诈骗之家中国人境外不...（分享自
1693064738# #rosy.rosy的笔记大数据看看我，不要给我推有关日本的任何宣传，这段时间发这些东西的人真的是居心叵测日本...（分享自
1692526715# #妮露酱的笔记社会社会百态别欺负老实人（分享自
1688448990# #BaiLuVideo的笔记7月3日，湖南长沙。一男生在广场卖卫生巾被骂肮脏晦气遭掀摊。当事人陈先生介绍，摆摊是为了...（分享自这男的好欠揍啊！
1694914541# #A～外贸人唯有努力的笔记比利时🇧🇪采购商想要采购各类汽车配件产品，有做这方面产品的国内工厂企业经销商个...（分享自
1696465253# #周周与慧妮的笔记护士&nbsp;&nbsp;搞笑&nbsp;&nbsp;小护士的日常（分享自
1690635680# #陌路的笔记历史不会因时代变迁而改变，事实也不会因巧舌抵赖而消失。勿忘國耻铭记历史勿忘...（分享自
1692812643# #转发微博
1703427891# #我推荐《孤注一掷》为微博网友喜爱电影，被时间偏爱的必成经典，一起来微博之夜让好电影被更多人看见！参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1696122153# #安妮娱乐的笔记明星娱乐圈明星娱乐黄晓明angelababy（分享自
1690373252# #娱乐西施王美丽的笔记穿衣自由&nbsp;&nbsp;贬低指责&nbsp;&nbsp;鬼知道我经历过什么（分享自
1691078893# #画手新鑫💞的笔记鼓掌R鼓掌R鼓掌R传递正能量治愈系漫画（分享自
1691156522# #林火火的笔记没有编制，没有工资，他们是中国最神秘的公益组织蓝天救援队（分享自
1693030152# #真的有看见向往呢。
1687515593# #声远新闻的笔记光头男公交车上猥亵女孩竟叫嚣女孩赔钱被车上乘客围殴后秒变怂女孩坐公交被猥亵（分享自关键还是你大爷旁边儿的小孩儿不行啊。
1694787807# #胖轩🐟米粒的笔记福岛的人只是搬离那里3公里哦，第一次泄露之后一直在泄露哦，他们自己国家的人也被他们做实验...（分享自
1695442039# #中国网看点的笔记大学生就业年龄（分享自
1703979487# #锦鲤附体，我获得了微博之夜真意卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1699020180# #小思说的笔记助学金要公道！以这样的方式认识（天津中德应用技术大学）看着这孩子哭着说的每一句话，都心痛...（分享自
1703518255# #我获得了微博之夜纯真卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1701257073# #🎋的笔记29岁医学女博士只是再给学二代铺路医学小孩哥医学生医学科普学二...（分享自
1693223542# #智慧大咖说的笔记李雪琴说给别人一点点的信任，一定有人愿意帮助你。薛之谦说对别人宽容一点，世界也...（分享自
1695377008# #长江日报报业集团的笔记预制菜进校园出问题是意料之中，“风险被分摊到学生和学校身上，配送公司及背后力量成收益主体...（分享自
1688633009# #雪崩时没有一片雪花是无辜的的笔记日本核污水听一听来自福岛人的声音，作为核事故地区生活的人，他们比任何日本人都具有发...（分享自
1692399863# #人间烟火绘的笔记男子身上没有钱，在麻辣店弱弱的向店家问到，没有钱是否可以吃饭？店家毫不犹豫大声说，可以可...（分享自
1693027497# #娱乐花无缺的笔记隔壁被骂是有道理的，日本建了一个频道，天天希望三峡大坝塌，有几万粉丝都是日本人，已经打卡...（分享自愚蠢，让他们自己喝喝核废水的味道就好了。
1687242459# #学历小能手的笔记爱国英雄军人老照片铭记历史（分享自
1701251375# #bilibili禅音库的视频
1693288576# #星视频的笔记博主收到日本公关邮件核污水排海（分享自
1692670362# #西米的成长站的笔记上面这段话真是让我感动，被尊重理解，也没有那么羞愧了。☔🌟在一条对蒋胜男的专访视频中...（分享自
1695832362# #蓝雪阿姨聊八卦的笔记每年拨款300亿的清华大学和小日子合作？科学真的无国界吗？！这句话很可笑！日本核污水（分享自
1691416717# #柒基的笔记中国热门五常黑龙江人民子弟兵部队小红书致敬...（分享自
1693374892# #淄博烧烤攻略指南的笔记淄博烧烤淄博烧烤攻略指南淄博猕猴桃公交专线（分享自
1703479527# #好耶耶耶耶的笔记嘴角真恶毒（分享自
1694836836# #军中勇士的笔记男子车厢内不正言论引起众怒，大姐出手，锁喉拿下。清澈的爱只为中国男子车厢内发表不...（分享自
1703640671# #我推荐张艺兴2023大航海巡演为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1699183199# #8度视频的笔记三小伙霸占商场母婴室抽烟，宝妈急用却半天敲不开门，开门瞬间烟雾缭绕，呛到无法进入（来源：...（分享自
1692060727# #人民网的笔记不懂就问有问必答日本投降日本无条件投降铭记历史笔记灵感（分享自
1691739014# #转发微博
1693058552# #马老拾的笔记门口悬挂6块光荣牌匾，最高一块写着“国家柱石”浙江宁波一门三代出了7位军人，这是爱国最好...（分享自
1700302740# #孔子育儿宝典的笔记听说非工作时间、地点不予认定为工伤终于明白为什么会发生过劳死猝死（分享自
1691038598# #红星新发现的笔记洪水保定涿州暴雨（分享自
1691044157# #青崖的笔记这事你怎么看（分享自中国人容不下你，你不移民也没办法。偷笑就这德行，别说老爷们儿，一人一口唾沫都能淹死你。
1703491705# #🍅🍅如意的笔记🍅🍅如意的笔记（分享自
1691756722# #Keyomi的笔记不管时代再怎么发展，请不我们不要忘记历史，为我们的后代铭记历史。热爱我们的国家。生在中...（分享自就这样居然还有人问我们到底要不要教育后代忘记仇恨。在你犹豫要不要忘记家国仇恨的时候，却对方没有停止一分一秒的对你国家及人民进行
1703300796# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703743645# #我推荐张艺兴2023大航海巡演为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1689947169# #生活网的笔记日常碎片PLOG致敬人民子弟兵（分享自
1699246798# #空的笔记日本排放日本排放核污水关于日本排放阻止日本排放核污水阻止核污染日本...（分享自
1689120967# #厚生年金信息科技有限公司的笔记国际原子能总干事称《日本核废水可喝可游泳！》（那就让日本这个缺水国家喝水吧）得意R...（分享自
1698727093# #小萌宝吖66的笔记国粹文化（分享自
1695080219# #等待的小天的笔记还把日本国旗特地放c位，918啊（分享自
1692015706# #星视频的笔记在商店购买商品遇到这种情况，您会怎么办？消费者维权（分享自
1691332426# #转发微博
1695777551# #泰国实话实说的笔记泰国泰国旅行泰国生活（分享自
1693058197# #星视频的笔记8月24日江苏无锡小哥在电动车上插着五星红旗自带喇叭循环播放“打倒小日本振兴中华...（分享自
1687958386# #战考职称咨询的笔记中医师承跟师现场，实操+理论学习3年，工作学习都不耽误，还可考取医师证合法行医，快点加入...（分享自环保没看见，光看见刁难中医了。就这么整吧，老祖宗辛辛苦苦打下的文化遗产。早晚全部拱手让人。
1690975070# #娱乐美人鱼的笔记小女孩不停的问妈妈我的为什么眼睛睁开了，却什么也看不到，妈妈却不敢告诉女孩她的左眼将永远...（分享自
1691398876# #人民网的笔记每秒都值得记录蓝天救援队向英雄致敬感动泪目许昌抗洪救灾（分享自
1693630192# #岳姐说实事的笔记这才是我们该追的星（分享自
1699755052# #航测事业部的笔记新型灭火器，无人机无人机大疆无人机无人机推荐大疆无人机（分享自
1699020273# #主持人阿喆的笔记天津助学金事件引发热议（分享自
1689062038# #转发微博
1702350877# #阿虎的护理学姐💉的笔记哈尔滨医科大学附属二院心内科医生牛春峰曾发了一条关于取消继续医学教育学分制的微博，引起了...（分享自
1703300776# #我获得了微博之夜纯真卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699188167# #不一般营销号的笔记疯馬秀巴黎疯马秀Lisa（分享自
1691664977# #我要上清华的笔记摔出一封录取通知今年中考录取线比去年高了16分，看到复读排队交钱的队伍，家长不易啊...（分享自
1698419541# #战士和`苍蝇的笔记博物馆细思极恐的蛇精病邻居。懂得都懂它们到底想干什么。来源：
1690809498# #环球网的笔记列车因暴雨塌方停靠，乘务员哽咽喊话安抚乘客：我是一个女人也是别人家的孩子，穿了这身衣服，...（分享自
1687749324# #肆肆贰的笔记村超中国足球体坛热闻（分享自中国国足不是没有人。而是没让这些人上。只是那些有钱人家少爷在那儿养着。
1695805642# #夕梨的笔记反战&nbsp;&nbsp;战争&nbsp;&nbsp;催泪&nbsp;温情（分享自
1687228977# #兔探长北城的笔记勿忘历史烈士烈士陵园&nbsp;向英雄致敬&nbsp;&nbsp;祖国万岁&nbsp;&nbsp;热门&nbsp;&nbsp;内容过...（分享自
1691399677# #麦浪视频的笔记8月6日，河北保定。近期各地捐赠物资陆续运达涿州，但一些接收点出现了物资堆积的情况。当地...（分享自
1693030948# #大家记住奶茶这个奈雪哦。
1701947694# #小惠呀🌟的笔记不结婚的你是在怕什么呢？记录真实生活婚姻日常vlog婚后（分享自
1692156983# #转发微博
1696588311# #哈基米的笔记无意看了一个账号，视频几乎清一色宣扬：中国华夏起源于西伯利亚，如果是行走的50w，这个值...（分享自
1696947364# #哄哄的笔记他真的一直在坚持做公益，无论是看望老人，还是儿童。他真的做的很好。是一个一直在传递...（分享自
1692502380# #帮视频的笔记广州市民从白云湖中抓出一米多长的鳄雀鳝，专家：属于外来物种，不可食用（分享自
1689212635# #青岛有礼的笔记最近，一则街头采访留学生的视频让国人议论纷纷。留学生表示：中国好，在中国很幸福祝刷到...（分享自
1703951919# #我获得了微博之夜纯美卡等2张，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1690104162# #如果是男的他敢吗？光盯着女人孩子，真想给他两脚，倚老卖老。
1688633066# #雪崩时没有一片雪花是无辜的的笔记日本核污水听一听来自福岛人的声音，作为核事故地区生活的人，他们比任何日本人都具有发...（分享自恶魔从来没有离开过人间，他们一直在作恶。人都说地狱最可怕。地狱哪里在哪里，就在人间，因为人间炼狱嘛。
1692432539# #我们视频的笔记今天是烈士周昆训安葬的第三天，他的三个舅舅来看望他。据他的舅舅讲，明天他的儿子周义航就要...（分享自
1688622066# #天下布武的笔记655分，抢“公知”教授话筒的蒋同学被哈工大录取，此前蒋同学被一堆带节奏账号造谣称只考了...（分享自
1692063636# #红客-凯哥的笔记防止外部渗透中国红客申请出战（分享自
1697334323# #仨蛋解说的笔记社会百态&nbsp;&nbsp;真实事件&nbsp;&nbsp;银行&nbsp;&nbsp;离柜概不负责（分享自
1698415107# #顺丰同城的笔记孕妇孕妇忌口忌口孕妇饮食顺丰同城（分享自
1693055941# #茉莉花😘的笔记日本还在否认南京大屠杀铭记历史日本，你确定没有南京大屠杀？杀完我们中国人还在...（分享自
1696587545# #momo的笔记一切早有预谋吧微笑R微笑R生气R生气R（分享自
1690373280# #娱乐西施王美丽的笔记穿衣自由&nbsp;&nbsp;贬低指责&nbsp;&nbsp;鬼知道我经历过什么（分享自
1692352250# #儞婗麑孨的笔记原生家庭的伤害（分享自
1693868642# #元气满满的贤佳的笔记记录吧就现在（分享自
1688633006# #雪崩时没有一片雪花是无辜的的笔记日本核污水听一听来自福岛人的声音，作为核事故地区生活的人，他们比任何日本人都具有发...（分享自
1695830328# #蓝雪阿姨聊八卦的笔记清华教授认为毒教材没有问题，网友都是狂犬？！恐怖发言！！日本核污水毒教材（分享自这汉奸不留着留着喂草么
1694181992# #老baby的笔记日常碎片PLOG传递正能量传播正能量向中国人民子弟兵致敬大实话...（分享自
1695809521# #MrYang杨家成的笔记
1693440792# #正正有识的笔记有只海豚，追着日本人咬了两年，这是彻底扛上了。&nbsp;海豚&nbsp;&nbsp;日本海豚湾&nbsp;&nbsp;海洋生...（分享自
1687748920# #封面新闻的笔记他用中文大喊：你们先走，我挡着！每秒都值得记录日本在日本的生活日本旅...（分享自小日子和中国人的差距。
1695165225# #不属五千的笔记厉害了！～～（分享自
1697332397# #芳芳在打工的笔记护士懂护士医护人员医院趣事精神状态良好（分享自
1695436603# #gemma的笔记2700万人聋人们救救小迟，请求国家警察严打黑社会黑心的马老板和杨老板狠心打欺负400名...（分享自
1695706438# #小红薯5C665D0D的笔记坚决抵制预制菜进入校园！（分享自
1698421913# #兜子娱乐的笔记亲子教育令人窒息的父母父母（分享自
1698990263# #郭大大的笔记本内容可能会引起一部分人的不适，一位暴怒的妈妈，为了孩子已顾及不了其他……慎入！鼻吸能...（分享自
1687176411# #兔探长北城的笔记希望能过审，哪怕没流量也行，不能忘记历史。&nbsp;铭记历史&nbsp;&nbsp;少年强则国强&nbsp;&nbsp;南京...（分享自
1696644715# #小红薯的笔记真的是一代人有一代人的抗ri，前辈们胜利了换来和平生活，我们也不能退缩，为自己为后辈！...（分享自
1691322876# #人民网的笔记每秒都值得记录消防员日常致敬消防员消防员的24小时向...（分享自
1691332931# #星视频的笔记某景区停车十分钟，收费50元，商家威胁：你还想不想出去了，当事人：没有信号无法报警，不删...（分享自别某景区到底是哪个景区呀？
1691750781# #Apple爱噜萝卜的笔记全世界最好的张艺兴babydon'tcry！欢欢是贝壳的心头肉，贝壳不骗欢欢...（分享自真正爱你的人不会因为任何没有违背人类底线的事而离开你。
1703979479# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1687153829# #大海大海我是浪仔的笔记最近一直在看各种相关的各种新闻和科普，有种深深的无力感，在了解到这些污水的危害后，我毫不...（分享自
1694321482# #马御史的笔记不知不觉，你已经离开我们多了，祖国不会忘记，人民不会忘记，怀念你，王强烈士，向您致敬！...（分享自
1697934193# #嗨，韦韦的笔记我想问问专家，那古诗还能随便改的？是你自己下去问的吗？辅导作业被逼疯的家长（分享自
1692139841# #纳安女士的笔记不懂就问有问必答这要不是官方发布的，每个人都会以为是骗子。国家安全部发文，云南某...（分享自颠覆国家政权，百死不足惜。
1703988904# #bilibili李格Greg的视频
1696524601# #《疫情往事-80岁的大爷让今日的风都是甜甜的》疫情往事-80岁的大爷让今日的风都是甜甜的
1695439539# #噗噗叽叽的笔记日本已经700亿引流了看看这汉奸（分享自
1696259297# #明星娱乐最前线的笔记，下半年的破事都会被我们轻松拿捏！！！&nbsp;好事连连&nbsp;&nbsp;好运财运不断（分享自
1687569435# #上善若水的笔记不要吃开过封离开过自己视线或者别人给的任何东西！！！！这点很重要！！！！珍爱生命...（分享自
1694576537# #阳明的笔记医者仁心（分享自
1693100645# #一身傲气不随众的笔记日本花高价往中国身上泼脏水😡😡😡😡😡😡😡核污水排放是日本的罪（分享自他们自己人民都不吃。还舔个逼脸，说我们吃到吃不到特产。狗日的！
1698930305# #小红薯饼丝的笔记不懂就问有问必答日本学校文化入侵间谍（分享自
1695180141# #底浪Wave初号姬的笔记918勿忘国耻&nbsp;&nbsp;918&nbsp;&nbsp;九一八事变91周年（分享自
1694570830# #帮视频的笔记“我是癌症病人”！女子坐高铁嫌冷，吵着要关空调并提供毛毯（分享自
1696124695# #小蜜罐儿的笔记今天是烈士纪念日，如何能安心（分享自
1694912811# #泡妈零食的笔记泡妈零食的笔记（分享自
1689209348# #许君闲乘月的笔记1937年四行仓库保卫战中，八百壮士机枪扫射日军的真实录像。历史保家卫国...（分享自
1694321773# #红星新发现的笔记抗洪烈士冯振今日安葬，姐姐的呼喊太撕心裂肺了....烈士&nbsp;&nbsp;洪水&nbsp;&nbsp;社会&nbsp;...（分享自
1688388760# #会火大明星的笔记导游&nbsp;&nbsp;新疆&nbsp;&nbsp;正能量（分享自
1692016962# #Crazy医聘网加油站的笔记很多医生的工作时间是8-12-6（每天早上8点到夜里12点，一周6天），996根本不算什...（分享自护士工资更低，直接输输成廉价劳动力。人家院长都发过话。护士是什么？从来不缺护士。
1691649983# #申庭教育护考咨询的笔记护士懂护士&nbsp;&nbsp;护士（分享自申庭教育护考咨询的笔记护士懂护士&nbsp;&nbsp;护士（分享自那些成天说你拿自己孩子练手或者拿自己练手。还有说什么从学校出来就应该拿自己练熟了再来扎针的，都摸
1692191706# #红星新发现的笔记赞R5大人3小孩1天时间，清理完景区一万亩垃圾（分享自
1703300769# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1693143062# #还好吧的笔记日本在日本的生活再说没事就自己去喝，证明它没事（分享自
1695438040# #momo的笔记内鬼怎么那么多啊！日本核污水间谍日本间谍学校（分享自
1703300782# #我推荐《孤注一掷》为微博网友喜爱电影，被时间偏爱的必成经典，一起来微博之夜让好电影被更多人看见！参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1701834657# #叫我叉西好了的笔记看到dy我只想转发！怎么会有这种人啊！！！还抢狗！我半夜要被气死了啊...（分享自男的遛大狗不牵绳儿。这男的还威胁人家女孩子。还抢人家狗狗。大家快来看看。这都什么行为。
1687957855# #重庆第1眼的笔记幼儿园保安叔叔用粉笔在小黑板上写放假通知，字迹如同印刷体&nbsp;，这样的板书太令人赏心悦目了！...（分享自
1693222148# #娱乐见闻的笔记张艺兴背景有多深？一张照片暴露红色家世（分享自
1689433699# #星视频的笔记7月5日，浙江温州，男童突发心梗急需送医，收费员垫付车费急速抬杆放行，“直接开走，过路费...（分享自
1691416734# #柒基的笔记中国热门五常黑龙江人民子弟兵部队小红书致敬...（分享自天呐，孩子累的都没劲儿啦。
1693046558# #抵制日货的笔记嘤嘤嘤这么维护奈雪，都给我笔记举报了呢，吵不过就举报皱眉R会了会了日本宝宝辅...（分享自
1689010108# #小红薯64A2CCF5的笔记这是1914年，日本入侵台湾后，大肆杀戮台湾原住民太鲁阁人的照片，看着让人气愤。日寇占...（分享自
1691303607# #子时营业的笔记剧情感人向英雄致敬
1703640665# #我推荐《BREATHE》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1691283045# #翩然画世界的笔记消防员一幅画一个故事向英雄致敬英雄加油致敬抗洪救灾的英雄...（分享自
1693441364# #HR老油条的笔记职场教训！大家不要说话太随便！社会女性职场（分享自大家看看，这不是汉奸是什么？居然还能当老师。
1689816639# #转发微博
1687696776# #东方圆桌派的笔记海洋是全世界的公共财产，不是日本的“下水道”&nbsp;东方基金&nbsp;&nbsp;财经&nbsp;&nbsp;日本&nbsp;&nbsp;...（分享自
1697159753# #一只休眠的火山的笔记真不愧是友国，人狠话不多，一点都不带怂的好吧！！第二波已经再排了！虽然加入我们的国家越...（分享自
1691557064# #审奇女侠程程的笔记模特&nbsp;&nbsp;招聘骗局&nbsp;&nbsp;高薪&nbsp;&nbsp;花场&nbsp;&nbsp;大学生（分享自国家快来整治这种不良风气。
1687829370# #幸福读书的笔记倭寇就是倭寇！越删越引人关注（分享自变态强盗就是不是强盗贴身金也发不了光。
1689941421# #中国蓝新闻的笔记近日，电视剧《我的人间烟火》情节引争议！潮州消防提醒：灭火器不是玩具！这种情节蓝蓝看得脚...（分享自
1689816466# #炎黄子孙周大愚（同某音）的笔记她让全世界知道了南京大屠杀铭记历史历史南京大屠杀张纯如张纯如不...（分享自
1696419000# #厚生年金信息科技有限公司的笔记日本近期将实施核废水第二轮排放！日媒密集操作（中国人赴日旅游热）记性太差叹气R...（分享自
1691761647# #重庆文体娱乐频道的笔记网友：这么真实？你不要命啦？！&nbsp;民生&nbsp;&nbsp;搞笑&nbsp;&nbsp;大实话&nbsp;&nbsp;共鸣（分享自
1687188849# #哈啊的笔记什么人权，自由，私权保护，人人平等，以上所有都要带个括号（双标），信他们这套的人也是越来...（分享自资本面前什么人权，人性以及生命狗屁都不是。对他们来讲，只有钱才能活下来。有钱才有生存的王道。
1687649796# #思念大洋彼岸的你的笔记这是之前崽崽受惊吓的场景！何其残忍！旅美大熊猫回家（分享自
1695121238# #桂林生活网的笔记“带着三等功入伍…班长看着入伍名单，陷入了沉思～”赞R赞R赞R新兵入伍...（分享自
1687569433# #上善若水的笔记不要吃开过封离开过自己视线或者别人给的任何东西！！！！这点很重要！！！！珍爱生命...（分享自
1698416505# #帮视频的笔记老人倒地不起，路人上前帮忙，不料老人看见有人录像后破口大骂（分享自
1692604814# #王丙乾的笔记记录吧就现在明清时期院落被改成日式院落，对此你有什么评价？评论区讨论（分享自
1689415532# #WANG的笔记西北工业大学附属中学是唯一被美制裁的中学，在美制裁制裁中国实体名单中排名第一（分享自
1688779616# #超级英熊的笔记知识日本日本核废水日本核污水时事热点知识点总结环...（分享自变态国家，变态魔鬼👿
1689733246# #转发微博
1703640647# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1703427879# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1691068849# #红星新发现的笔记蓝天救援队&nbsp;&nbsp;牺牲&nbsp;&nbsp;涿州&nbsp;&nbsp;洪水（分享自
1698627425# #晓颜科普的笔记老大爷发明的火灾逃生神器，不用电不用油！（分享自
1693099937# #鲁中网的笔记日本海产品被中国封杀后，日本国内也有超市不卖了，日企崩溃：怎么自己人也这样（分享自太可笑了，谁会无缘无故的伤害自己？谁会由着别人随便伤害自己呢？钱是什么玩意儿？真是太可笑了。
1703150973# #小星姐姐（大健康变现）的笔记请医院的护理部给护士们应有的保护！&nbsp;护士&nbsp;&nbsp;护士懂护士&nbsp;&nbsp;医护人员&nbsp;&nbsp;营养...（分享自
1695705946# #BaiLuVideo的笔记近日，湖北武汉。网友发文称武汉大学某食堂一档口使用预制菜料理包，都不用锅加热，直接热水烫...（分享自
1688539804# #转发微博
1687462163# #素吻的笔记每秒都值得记录毒教材毒教材人教版毒教材毒拒绝毒教材毒教材...（分享自
1694880011# #济宁洪涛说房的笔记物业业主社区（分享自
1691081042# #鸿星尔克ERKE的笔记鸿星尔克各地救援力量集结河北涿州（分享自
1690103614# #A9的笔记婚姻成年人的崩溃不结婚不行吗（分享自
1703743653# #锦鲤附体，我获得了微博之夜纯美卡等2张，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1688207542# #下饭音乐的笔记軍訓搞笑（分享自我们的娃娃早该如此的，各种军事科研，早就应该学校普及。不要让现今社会的风气。毁了一代又一代。
1688775636# #小红薯5DB8E54F的笔记今天带你们看看！（分享自这又是为了哪个面子？和哪个的业绩
1697765644# #你真好看的笔记万万没想到！我在医院出名不是因为我当了院长而是因为我夜班巡视病房没有一个个开门去看而被...（分享自
1688539070# #大连人的大连事的笔记7月4日，大连财经学院，学生发现图书馆附近的一只流浪猫正在一把雨伞下酣睡，视频发布网络后...（分享自
1693338209# #念汐的笔记根据（图二）了解到的信息：田园康博，在日本是第一个喝核废水的人，2018年初。因身体...（分享自
1687176408# #兔探长北城的笔记希望能过审，哪怕没流量也行，不能忘记历史。&nbsp;铭记历史&nbsp;&nbsp;少年强则国强&nbsp;&nbsp;南京...（分享自
1696524598# #《张艺兴新歌《UZI》上线,歌词却惹争议,被质疑内涵UZI和Faker》张艺兴新歌《UZI》上线,歌词却惹争议,被质疑内涵UZI和Faker
1689826147# #都已经这么下血本儿了吗？
1694882773# #小铭爱说话的笔记北极鲶鱼（分享自
1703518244# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
