1701737709# #赞
1694400557# #你说为什么星期日离星期一那么近，星期一却离星期日那么远……
1691985281# #医生称极少贪腐代表不了辛苦的群体“很多医生的工作时间是8-12-6（每天早上8点到夜里12点，一周6天），996根本不算什么。”一位医生在社交媒体上写道，“等熬到了副高级别，专家门诊40元，普通门诊25元，现在理个发都要50-100元。极少的贪腐真的代表不了辛苦的医生群体。”“比较保守估计的话，一周
1696759422# #都是好人心赞
1691031832# #跟我想到一起了？
1692150992# #哪壶不开提哪壶……
1703914118# #这一拉，救了一个家庭……🙏赞
1695523855# #这三年业主们咋停车的？允悲
1697344800# #20年，印度股市上涨了20倍……
1698042435# #女子捡漏1袋橘子回家发现3.6斤50元【价格被抠掉，没想到会这么贵】10月21日，浙江杭州。彭女士在超市购物时，看到货架上有1袋橘子，为图省事便顺手拿去结账，结果回家看账单发现这袋1.8kg的橘子竟价值50.78元。彭女士称，当时橘子标签上的价格被抠掉，想着前几天刚买过10元3斤的橘子，这袋橘子应该也
1697503556# #状态挺好，算是美好生活的组成部分赞
1689147728# #放在街头的免费公益水，本是给烈日下辛苦工作的环卫工人喝的，这女的怎么好意思拿？还拿那么多……吃惊怒郎摘新闻超话
1692060903# #真的假的？这不是销售保健品的路数么？
1694523837# #不得随意打击医务人员参加正规学术会议积极性9月9日，国家卫健委表示，不得随意打击医务人员参加正规学术会议的积极性。针对一些地方停办延办学术会议，广泛清退一线医务人员讲课费等问题，及时予以纠偏，把握分寸，不得与医务人员正常收入所得相混淆。反腐要“集中突破、纠建并举”，聚焦两个“关
1695389433# #
1693220124# #长沙一小区电梯坠落2人瞬间腾空吃惊【惊险！】8月27日，湖南长沙。据长沙电视台政法频道消息，长沙一小区发生电梯坠落事件，监控显示，电梯坠落时内部有三人，坠落瞬间两人同时腾空，随后重重摔落，三人不同程度受伤。小区物业表示，目前事故已有相关人员在处理，相关部门已经介入。
1703987813# #2024，让我们继续携手，一起加油！心拳头
1695647234# #乌国防部称俄黑海舰队司令在导弹袭击中死亡俄方暂无回应
1694949830# #话筒
1695077372# #允悲
1696397370# #厉害了……
1692944098# #在工地干活的爸爸向儿子喊话:“你好好打游戏，我会努力干活滴”……郎摘新闻超话
1690627064# #必须的拳头
1703940014# #小伙娶领导女儿因观念差距大闪离近日，浙江。绍兴市一区人民法院审结一起离婚案件。双方相识三个月闪婚，女方出房出车出钱，但男方要求女方做家务。据了解，26岁小琴在父亲任职单位上班，因气质形象较好吸引了不少男同事，其中包括小辉。小辉得知小琴父亲是单位高层领导后，对小琴展开了追求。小琴
1693728867# #吃惊
1703838506# #这个有道理，一般来说，大多消息者对羽绒服更多追求性价比的，对价高尤其是虚高很难接受，毕竟是保暖衣服，保暖才是第一需求。
1693492910# #允悲
1697194455# #孙卓符建涛被拐案宣判【两名被告分别被判刑5年、2年】2023年10月13日，深圳市南山区人民法院依法对被告人吴某龙拐骗儿童、吴某光包庇一案作出一审公开宣判，以拐骗儿童罪判处吴某龙有期徒刑五年，以包庇罪判处吴某光有期徒刑二年。同时判令吴某龙赔偿孙某飞、彭某英损失42万元，赔偿符某、彭某某损失
1701573730# #家属回应如何查出医院超收10万医疗费看来，读书还是有点用的，这不，读书就让人减免了被坑的概率……
1692324493# #高铁上抽烟，这下好了，估计行拘变刑拘了……郎摘新闻超话
1701514015# #100张年度旅行照片还有20多天，2023年即离去。人在途中，心随景动，从起点，到尽头，也许快乐，也许孤独，把足迹连成生命线，真的旅行是从内心出发，不求景点，只求豁达。心耶微博旅行100计划
1696979434# #每个人也都是可怜的夏虫，不可语冰。于是，我们天生需要旅行。
1703662133# #真的假的？老人摔倒路人叫来救护车，家人说没钱，又从担架上抬下来……郎摘新闻超话
1694245251# #已婚男嫖娼法院以珍惜亲情为由不准离婚看了判决书女方称：男方婚前隐瞒传染病，婚后出轨嫖娼，对家庭不管不顾，而男方辩护称，不予认可，婚后还有8万元债务，也不离婚。法院：克服困难，还是能够重归于好………郎摘新闻超话
1695531582# #泪
1690448962# #两方家长因孩子玩水起冲突，一女子将对方孩子一脚踹倒进在沟里……吃惊抓狂郎摘新闻超话（视频来源：东阳日报）
1701137230# #特别的缘分，两个司机车库发生碰撞，一查全是醉驾……吃惊允悲郎摘新闻超话
1697176801# #女子酒后发疯打民警被制服……郎摘新闻超话
1693526402# #男子高速上逆行被查，同车女子：“犯什么法了！”怒8月11日，山东高速交警长青大队通过视频巡检，发现一辆小车在高速应急车道内倒车，随后不顾来往车流直接掉转车头，逆行至大学城收费站后驶离高速去了济南。交警立即锁定该车并联系车主梁某，梁某称是朋友开的车，并提供了一个后被证实为虚假的手机
1691370468# #抓狂
1696073980# #转发微博
1699570800# #98年女主播色情直播两年，收入150万！网友评论：还不如女网红挣钱。话说，啥平台能让她直播两年之久？郎摘新闻超话
1689041350# #外卖小哥的车子被拖走……泪郎摘新闻超话
1700623114# #用人单位为什么要招聘应届生？……郎摘新闻超话
1698320838# #警方调查长江大学讲座播放不雅视频10月25日，湖北荆州。长江大学荆州校区主题讲座播放不雅视频……目前，当地警方已介入调查。郎摘新闻超话
1702958879# #我就纳闷，宿舍门咋会打不开？这该是学校管理上的失误！
1703989481# #广东醒狮是流行于广东、广西及东南亚各国的传统舞蹈，为广东省佛山市、遂溪县、广州市申报国家级非物质文化遗产之一，新年即临，广东醒狮表演在漫展上大受欢迎，可谓众望所归。赞
1697505600# #幼童车流中穿行被女子一把拉回【还好有你！心】近日，广东东莞，3岁幼童独自在车流中穿行，一名骑车路过的热心女子见状，一把将孩子拉到路边，躲开过往车辆。随后，女子把孩子抱上车带到安全区域，并报警将孩子交给民警，民警最终帮助孩子找到了家人。赞郎摘新闻超话（中国青年报）
1692241202# #两岁的娃娃居然让她独处？家长呢？幸亏两名10岁女孩捡到2岁萌娃护送到派出所疑问吃惊“近日，浙江永康，10岁的陈彦昕和王文燕玩滑板时，看到一萌娃光脚独自玩耍。她们上前询问，想帮2岁的小妹妹找家长，但找了一圈没找到，便商量把她送到派出所。一路上，两人紧紧牵着萌娃的手，靠问路找到警察
1690710056# #允悲允悲允悲
1694152771# #咋笑的出来？吃惊怒
1693109577# #怎么会这样？抓狂辽阳城管没收商户售卖的冥纸冥币近日，辽宁辽阳白塔区，城管与市场监管局对冥纸冥币销售行为开展联合检查专项行动，现场没收冥纸、冥币等封建迷信祭祀用品。当地回应：摒弃陋习，文明高雅祭祀……郎摘新闻超话（星视频）
1701502506# #张纪中曝光前妻隐私被判罚2万导演张纪中因曝光前妻隐私被判公开道歉并赔偿2万。张纪中因公布离婚协议，前妻个人隐私、财产及分割情况均被曝光……郎摘新闻超话
1692966804# #这……
1698828579# #相信自己，努力不一定有结果，但不努力一定没结果——马云
1701695851# #赞
1701181626# #万婴之母心赞
1702808351# #鸡鸟？允悲
1702102023# #赞
1691119978# #女子在楼梯上把护士推下楼梯吃惊8月3日，湖南长沙，女子在楼梯上将护士推倒滚落，被推倒护士已送医，肇事女子被民警迅速将其控制目前原因还在调查中！郎摘新闻超话
1698220333# #入戏太深？允悲
1693194631# #转发微博
1701403320# #现已证实其发布人实名认证为吕某，系刑满释放犯罪人员，所发布的全部文字与图片内容均为恶意编造、虚构的不实信息。
1689371706# #郑州站，三车交汇场景，贪吃蛇既视感……吃惊赞郎摘新闻超话
1691228945# #这个值得点赞鲜花赞
1700177222# #分享图片
1692663594# #转发微博
1694343602# #古有削足适履，今有削树适框？
1692951634# #北京商报刊文：股民别太在意3000点得与失……
1703077484# #作揖
1689287399# #允悲
1703326918# #女子在马路上逆行，以为司机们会让，淡定往前走……吃惊抓狂郎摘新闻超话
1691111933# #赞
1691373288# #安徽一高校录取通知书出现错字允悲【回应：正在重新印制，大概一日后寄出】转眼已是8月，准大学生们陆续拿到了录取通知书。近日，有考生发现收到的录取通知书上竟然有错别字，一时之间不敢轻易去报到。这份出现错字的录取通知书来自巢湖学院，将报到时间的“9月6日”错写成了“9月6月”。对此，校
1694676328# #男子法院调解时装疯卖傻跪地爬行允悲抓狂【被拘15天】近日，湖南华容。华容县法院在调解一起机动车交通事故责任纠纷案时，被告因拒绝赔偿三万余元突然装疯卖傻。法院干警赶紧拨打120将被告送去医院检查，结果各项指标正常。目前，该男子因拒不报告财产，逃避执行被拘留15天。郎摘新闻超话（
1689118038# #姚专家更应告诉大伙，是2035年的几月几日始……
1692589072# #永远想不到七夕男友会买什么其实也好理解，男女思考往往不对路，男友总觉着自个喜欢什么就是什么，而很少去想想女朋友喜欢什么，这就造成了:只有女友想不到，没有男友做不到的……允悲
1694269975# #转发微博
1690503319# #人哪，遇事莫冲动更莫违法话筒
1690361243# #女子被狗惊吓索赔扬言我姑省委的据7月25日，湖南长沙。狗狗蹿出电梯吓到女子，女子隔天上门索要医药费，调解时称“自己姑姑在省委”。郎摘新闻超话
1693652643# #孤独症男孩通过太阳判断时间👍🏻8月31日，四川一孤独症男孩研究太阳运动轨迹，甚至能精确到几点几分。网友：世界给了每个孩子不同的天赋。🙏（新华社快看）
1703582510# #洒水车作业导致路面结冰车辆追尾12月25日，湖北鄂州。洒水作业导致道路结冰，引发多起交通事故。当地城建委工作人员回应：因为扬尘比较严重，这两天天气比较暖和，早上去洒了一次，没想到会结冰，确实是工作失误。郎摘新闻超话
1703377859# #这……
1701861154# #3000点，16年的传说……郎摘新闻超话
1690179683# #男生当面感谢跪地急救的cos服小姐姐心7月23日，张明敏专程赶到上海国家会展中心，向张欣羽表示感谢。前天晚上，他突然晕倒，路过的张欣羽毫不犹豫地在大雨中跪地急救，并随120赶到医院陪同他到晚上十点多。苏州医学院研三学生张欣羽说自己选择学医，既是因为从小在医院的环境中长大，也
1689504361# #为什么说台风泰利是个土台风头一回听说台风还有土台风，想必“泰利”忿忿不平:这是歧视！妥妥的歧视！允悲
1692833917# #社牛女孩在火锅店听到擅长的歌，不由自主跳起《恋爱告急》，网友：这顿火锅真没白吃……郎摘新闻超话
1698663692# #保定一学生屁股被老师打成黑紫色打这么狠，还叫无大碍？那大碍的标准是什么？莫非是非死即残？怒10月29日，网曝河北保定蠡县小陈中学一学生被老师殴打。网传视频中，该学生屁股被打成黑紫色，身上还有多处伤痕。30日，蠡县教体局工作人员称，被打学生今年初一，是被老师打伤，已无大碍，事件正在
1694999394# #清华大学教授魏杰：中国经济存在五大短板，海外一旦断供我们就趴下了！郎摘新闻超话
1700487021# #江西文化名人之一赞赞赞
1698984300# #轮椅女孩8年从客服做到总经理励志，自个坐轮椅行走，却希望他人双脚行走，不气馁、不认命，整整8年，其“行走”的艰辛，或许远比我们普通人多得多，点赞！赞
1700018268# #如何对付语言霸凌……郎摘新闻超话
1695389320# #谢谢作揖
1690263755# #中国好大姐心赞一个3岁孩子走丢，在路上大哭，好心大姐一把抱了起来……谢谢好心大姐！没有人贩子孩子不会丢……郎摘新闻超话
1701425505# #转发微博
1693293677# #浙江常山奖励女方年龄25岁及以下初婚夫妇1000元奖励，相当于买兰博基尼赠5元代金券，却让我想起当年，倡导晚婚晚育以及只生一个好、政府来养老……仿佛还是昨天发生的事……
1698063300# #学者呼吁把振兴股市放在第一位中国政法大学资本金融研究院院长刘纪鹏在接受凤凰网财经《封面》采访时谈到，一定要重视金融，另外能力也要跟上。要把资本金融的特点，和它是天使还是魔鬼，处理好这两者的关系，才能发展。所以，要把股市搞起来，这个政策是非常正确的。他表示，资本市场起来了，大家
1691282460# #不服不行
1697355433# #摘：中国的退休大潮规模会比之更庞大、更触目惊心、更令人难以想象……东邻之难，可避之乎？黑线哼白眼思考
1690331049# #心有所往，力有所及，领略、传承传统文化，挺棒！good
1694865279# #消防员10米高桥跳下救回轻生女孩心赞近日，江西上饶，女孩因感情问题一时想不开跳河轻生，在水面上苦苦挣扎，路人报警求助。消防员赶赴，恐其体力不支，做好防护后立即从10米高桥上跳下，拼力游至女子身边，和赶来的船只接应将女孩救回。郎摘新闻超话
1689075429# #估计赔不起……
1690166683# #卢麒元：我们国家、企业、个人负债杠杆高居不下，杠杆形成的资本利得被少数人占有，并转移出逃。现在出现一种麻烦的状况，我们有热点而无焦点，大家都在蹭热点不抓焦点。郎摘新闻超话
1693276957# #哈哈
1690888279# #北京大兴机场北京大兴国际场停机坪积水……郎摘新闻超话
1691483796# #这……
1696894786# #警方回应黄石当街发生锤人致死事件【湖北嫌疑人被抓】“首善下陆”微信公众号消息，10月8日18时许，在下陆区杭州西路发生一起用铁锤锤打他人的伤害案。犯罪嫌疑人袁某某已被公安机关当场控制，受害人张某某经送医抢救无效死亡。目前，案件正在全力侦办中。郎说警事超话
1698304229# #如何鼓励？窃以为:一是加大退市力度，能上也能下；二是让造假者付出超出其欲望的代价，二者必须在健全的立法与执法完善的基础上进行。否则，再出一百个鼓励措施也冒得用。
1694603041# #和哪里人没关系允悲
1690435923# #这……
1699267954# #深圳国资委：万科具备足够的安全性，如遇极端情况将帮助万科积极应对
1697384636# #山东济南，33岁男子路边捆住双脚，从40米高桥上投河自尽。网友:估计会游泳，怕本能求生所以捆住双脚，怕后车相撞所以开启双闪，决绝中仍旧带着一份善良。泪郎摘新闻超话
1694326581# #抓狂
1695539952# #女生地铁被偷拍市民发现帮拦人【男子：你首饰好看，想拍下发给女友，但找不到女友的微信】9月23日，北京。李女士发视频称自己和朋友乘地铁被陌生男子偷拍。李女士称自己下车时，一男生提醒她有人偷拍自己，自己说不认识后，男生拦住偷拍男子，并叫来了地铁工作人员。随后李女士在男子手机里发现多张
1694125908# #全球最大资产管理公司贝莱德9月6日晚间发布公告，11月7日将关闭中国灵活股票基金，贝莱德icon拥有9万多亿美元市值管理的公司……郎摘新闻超话
1696071412# #为什么会这样？不应该啊！抓狂
1701388583# #分享图片
1702512000# #这位朋友害人害己，孰不知，患者（死者）隐私受法律保护，未经本人或者家属同意，擅自公开是要负法律责任的。
1690189031# #女生cosplay参加漫展，在公交上被一位大爷怒骂：看看你穿的什么衣服，穿出来就是被人骂的……吃惊抓狂郎摘新闻超话
1691561144# #幸遇好心人🙏
1689850058# #话筒
1703474201# #分享图片
1690356971# #泪
1702296304# #知道啦……
1700520558# #男子路怒持棍砸车，视频车见状赶紧倒车，男子仍紧追不停，视频车无奈将其撞飞……郎摘新闻超话
1704006948# #东风高管回应刘强东送猛士越野车12月30日，刘强东要送的猛士越野车曝光后引发网友热议，东风高管获悉后回应刘强东，表示在跨年晚上将加送6台猛士越野车，这刘强东送越野车作跨年礼物消息也太劲爆了，居然还有后续，居然被追加6台，各位，咱看谁有这福气，得到这越野车耶心
1703659329# #虽然我并不喜欢烟花爆竹，但这毕竟是一个产业，有问题就针对问题设法解决，一刀切的方法是否合适？
1696840546# #造价1亿安居房未完工已提取10亿资金“尽快纳入监管”，难道之前连个监管都没有？或是监管早就有，但形同虚设？疑问
1697097251# #百岁画家作泼墨山水画成品惊艳赞赞赞近日，广西，百岁画家作泼墨山水画，笔法豪放，成品惊艳！郎摘新闻超话
1692866468# #我国单身人口2.39亿这不叫脱单难，而是脱单之后面临住房难、医疗难、上学难……
1702519782# #张雨霏笑起来很甜！回应很真诚，事实上，胜败乃兵家常事，只要努力过，就不会有遗憾，加油，张雨霏拳头赞
1690764802# #年轻人找工作不要只看钱？经济学家朱少平回怼：无知！如果一份工作连生存都保证不了，年轻人不看工资应该看什么……郎摘新闻超话
1691470974# #据说这是日本的中文教材一页……
1697063711# #赞
1691230101# #有道理么？
1702445671# #婴儿网约车上突发惊厥90后父亲教科书式处置赞12月11日下午4时许，长沙网约车司机刘师傅接到了一对年轻夫妻的订单。开车没多久，随行的婴儿突然出现抽搐惊厥。在孩子父亲的冷静指导下，并与交警报备需要闯红灯后，刘师傅立即掉头转去第一医院，8分钟不到就赶到了医院，而这段路平时要十多分钟。由于
1698903995# #10月31日，浙江杭州。17岁脑瘫儿子摆摊卖爆米花，妈妈塞给路人钱暗中支持。“他站在那儿就已经成功了”，“想让他独立，有一技之长”……郎摘新闻超话
1690498730# #马光远呼吁救恒大【马光远：我呼吁救恒大，但不是让大家掏钱救】拯救恒大并不是让大家你一分我一分出钱，而是通过债务重组、资产重组的方式让其损失变小。因为一个企业“死了”是最坏的选择，这将会对整个社会造成巨大损失。大伙怎么看？疑问郎摘新闻超话
1701744214# #单亲爸爸带着女儿生活，看见爸爸鞋坏了，女儿就把所有零花钱拿给爸爸让买鞋，爸爸不要，女儿非要给他。网友：看到孩子流泪，自己也跟着哭了……心泪女儿把所有零花钱塞给爸爸买鞋郎摘新闻超话
1694645188# #交通局拒绝公开前局长孙女炫富调查结果由此可见，有些地方或部门的权力何等傲慢！所谓把权力关进笼子的笼子，正有如纸糊的。
1702787802# #话说今冬真的好冷，这不，继军大衣畅销之后，南方人终于向羽绒服低头了。毕竟我们知道，在鸟类世界中，最抗寒的是谁呢？毫无疑问，最抗寒的鸟类非南极的企鹅莫属了。赞
1700538533# #赞
1691456011# #陈佩斯:好声音请导师，真是请对人了……
1703768205# #东站启用了？好，下次去去
1701006607# #安徽一电商公司称，请明星杜旭东直播带货，交了3.3万元坑位费，结果只卖出了64.9元的货……郎摘新闻超话
1702867911# #黑龙江500多份幽灵档案被查不可思议，竟有此事:500多份幽灵档案……吃惊抓狂怒
1703936936# #问题是很多人都不懂……
1691281426# #这个老李，貌似见利就出手，保本也出手，少亏点也出手，绝对不会砸在手里血亏……
1691891947# #允悲
1703320472# #上海市民扎堆包礼物大排长龙不得不说，上海人眼光真独到，他（她）们瞧准了双节将至，礼物应急打包会派上大用场，这不，就帮助了许多买礼物却忘了包装的市民，想想看，当市民专程拿着礼物到打包处打包，送给爱人、家人或自留，仪式感有多满满。心耶送礼没包装有多尴尬
1697180189# #原来马云成长过程中也有迷茫过，一次次挫折最后才获得成功马云励志正能量
1692095976# #家长一定要看好自家孩子，别等出事了后悔就来不及了……郎摘新闻超话
1692144001# #高三女生骑车摔晕店家顾客暖心帮忙8月13日，广西贵港，高三女生骑车摔伤，踉踉跄跄进店求助，店家与顾客夫妇暖心帮助……心赞郎摘新闻超话
1697104867# #这……
1695440867# #赞
1702430412# #暴雪预警后北京成全国最怕冷城市都说瑞雪兆丰年，但暴雪可真令人栆颤，近日，北京发布暴雪橙色预警后成全国最怕冷城市，保暖服饰成交额增长量位列全国第一，上海、河北紧随其后。如此寒冷，阁下准备好怎么御寒了么？据说今年爆火的军大衣成为当代年轻人御寒制胜的法宝，雪地靴混搭军大衣更是被00后
1696765601# #话筒
1694148577# #【妇联回应女子疑遭家暴女儿大哭劝阻：正在核实】近日，贵州遵义，有监控视频显示，一女子疑似被丈夫家暴，女儿挡在妈妈面前大哭劝阻，“不要打妈妈”。9月7日下午，遵义市妇女联合会工作人员表示，已经关注到此事，正在向网信部门核实事情的真实性。遵义市公安局称，已掌握这个情况，正在开展
1697498088# #被大型犬撕咬女童母亲发声【狗绕着撕咬不放将追究物业和犬主责任】10月16日，四川崇州一小区有大型犬撕咬幼童致其皮肤受伤及肾破裂伤。女孩母亲告诉记者，带女儿出单元时，遭到两只狗扑上来撕咬，后来邻居上前帮忙，众人合力将狗赶走。她表示，女孩精神状态稳定，正在医院做清创手术，下一步她将追
1697597649# #中年人供楼、供孩子上学，这个时候却失业了……唉！
1698239342# #抓狂
1690283914# #王毅任外交部部长王毅任外交部部长，免去秦刚兼任的外交部部长职务郎摘新闻超话
1701002106# #直系亲属犯罪是否会影响国考政审如亲属有过犯罪记录，是否会影响子女参与某些职业或者岗位的政审？哪些情形可能会导致政审“被刷”？……郎摘新闻超话
1691406696# #山寨客服？允悲
1697858692# #青岛啤酒也许万万没想到，打败它的不是雪花，而是一泡尿……允悲允悲允悲郎摘新闻超话
1702791707# #女子报警数十次为何阻止不了家暴究竟是谁发明了“家暴”这个词？明明是侵犯受害者的人身权利，如身体权、健康权、生命权和自由权，妥妥的故事伤害好不好？！疑问抓狂怒
1695863634# #转发微博
1693556293# #赞
1700094263# #贵州梅西，快乐足球赞
1701147508# #浙大男生旷课救了个小朋友“好消息：今天送了一个窒息昏迷的小朋友去医院。坏消息：我旷课了，老师还点了名……”日前，浙江大学学生周海涛遇到一小朋友突发气管阻塞，立刻骑电动车将其送至医院，却因此错过课程。近日，浙大回应学生因救人旷课被点名：老师已为周海涛进行了补签；未来评优评奖时也
1703246749# #4岁女童遭仨狗咬掉大半头皮吃惊【当地警方回应】一个月前，4岁的瑶瑶在济宁市泗水县泉林镇石缝泉村的奶奶家屋后玩耍时，被三只狗撕咬。两位村民在听到哭喊声后，手持铁锹将狗赶走并拨打了120急救电话。据齐鲁医院及济宁当地医院出具的就医材料显示，瑶瑶大半头皮被狗咬致撕脱，并且伴有肺炎及脓毒
1700257200# #女子情绪低落欲跳桥路过民辅警合力解救心赞11月16日，浙江绍兴，一名骑电瓶车男子下班时发现一女子情绪低落欲跳桥，于是立即靠边停车询问。与此同时，一位车主也发现该情况并悄悄靠近，两人交换眼神后，趁女子不注意一把将她抱下栏杆。事后得知，两男子竟是同行，同为嵊州市公安局的张浙洋和张誉
1695865034# #允悲
1702644579# #允悲
1703327668# #分享图片
1689303236# #仅靠工资，买不起北京房我相信是实话，但有了这工资之外的五个亿，如果许可，估计可买故宫了……
1691847398# #允悲
1697375835# #一个出钱，一个出力，合作共赢！三清山景区，美女出1000元让轿夫抬着她和她儿子上山，这个价格轿夫无法拒绝。郎摘新闻超话（来源：媛媛老师）
1703464549# #为啥呢？
1692798530# #转发微博
1688910905# #北京政法职业学院再发通报这回应说了啥内容？疑问
1703638872# #公司独创，不发工资发积分，画大饼么……疑问郎摘新闻超话江苏一公司不发工资发积分
1700227175# #记者从冰窟救出男童9个月后被认出赞吉林延边，记者刘家福于今年2月在景区救出一名玩耍时不慎掉入冰窟的男童，救人后他默默离开。直到近日，刘家福再次回到该景区采访才被工作人员认出……心赞郎摘新闻超话
1696864802# #有时候我们感觉很累，是因为总是觉得会被时代抛弃，这次活动没有任何门槛，真的实现了真正意义上的“人人平等”。
1703142655# #应该查！
1698581459# #白岩松评哈尔滨供暖热线听筒搁一边近日，网友曝光哈尔滨供暖热线听筒搁一边拒接来电。白岩松表示，（热力公司）赶紧不让这样的事情再次发生，同时思考如何解决大家期待的温度问题。郎摘新闻超话
1699325991# #男子被误认为偷拍拒接受道歉火车上卧铺，两个女孩误认为被坐着这个大哥偷拍，要求查看大哥手机。大哥明确表示：第一，他没有偷拍，第二，你们无权查看手机。僵持许久，女孩找列车员报警，大哥说现在将手机放在桌上，不做任何操作，等乘警过来。后来乘警过来查看后证实大哥无辜，女孩送了碗泡面表示
1701610013# #这……楼上三个孩子从早吵到晚，楼下沟通反被怼：有本事去住別墅，于是楼下买了3个震楼器……郎摘新闻超话
1697107115# #【转发抽奖】天已凉，蟹已黄，酒正香！东书房酒详介与购买见链接～必须安排上，转发微博10月18日抽3人送东书房品鉴小酒试饮。
1702903838# #这……
1693343926# #恐惧
1691634250# #湘雅三医院9名医务人员联名举报科主任。院方：正在核实。9名医务人员联合签名，实名举报科主任——该举报信日前在网上流传。位于湖南长沙的中南大学湘雅三医院，由此卷入舆情风波。被本科室医务人员举报的，是湘雅三医院呼吸与危重症医学科（以下简称呼吸科）的主任孟婕。举报信称，孟婕“放任”其
1701774734# #允悲
1703057190# #韩剧道具雷同，估计是为了节省成本，但太节省了，就显的别扭，还是咱文化艺术更显示多样化心赞耶
1693314559# #这个可以有
1694173232# #男孩突然动手打女孩遭到回旋踢反击9月6日，河南洛阳，几个小朋友在玩耍时，男孩突然动手打了女孩几拳，视频中男孩滑倒站起试图再次攻击，女孩拳脚齐上阵灵活还击，回旋踢使出直接把男孩踢出了门……郎摘新闻超话
1703919413# #“有些东西不是什么人都能学的”……郎摘新闻超话
1691472528# #这么夸张？吃惊疑问
1690451962# #允悲
1699012244# #抓狂
1691659884# #高铁上女子用包占餐车公共座位，多名乘客想坐该位置被拒绝，目击者：她称对人过敏，不想有人坐她身边……郎摘新闻超话
1691194744# #一样的视觉呈现，一样的说辞，一样的感人画面，却在三年之后横跨上千公里重复出现，是视觉幻影，还是星际穿越？
1689290503# #抓狂
1695295737# #大爷年轻时家暴不养家被儿女拒养居然还好意思老泪纵横，年轻时咋想的？疑问抓狂
1700571772# #赞
1690258504# #哈哈哈哈哈哈
1703631700# #分享图片
1701819853# #抓狂
1690938582# #网友在车站偶遇马保国，候车过程中制止了一名醉酒闹事的男子……网友：大师功夫高低咱不知道，武德是没得说郎摘新闻超话
1696678160# #话筒
1703849991# #外号……
1694939526# #这……为酒驾父亲顶包。吃惊抓狂云南蒙自，交警在查酒驾时，发现一辆小车突然掉头离开。交警立即联系车主，车主儿子称是自己开的车，但公共视频显示驾驶人特征更像其父亲。民警再次联系车主，车主承认自己酒后驾驶，让儿子替自己前来接受检查，目前案件正在进一步侦办中。郎说警事超话
1702012276# #赞
1695264273# #应该是首家官宣了……
1694261433# #赞
1702897859# #三位女子违法骑车上路，还发抖音挑衅：就是要把他们气死，来呀来呀来抓我呀！结果，因车辆未落户未佩戴头盔、超员、发抖音评论挑衅，依法处罚410元并对其严厉批评教育……郎摘新闻超话
1692454990# #丈夫反对妻子成网红把家全砸了你怎么看？疑问据8月17日，江苏。妻子欲当网红改善生活，遭丈夫极力反对，一怒之下把家全砸了。女子表示，丈夫不满意自己玩网络，认为人有了钱就会变，也担心会失去自己，而自己认为做好了能提升两人的生活质量。郎摘新闻超话
1694310586# #15岁女孩违规载人闯红灯撞上小车，交警：该谁的责任就谁的责任，闯红灯没什么好说的！全责！赞郎摘新闻超话
1703401598# #为啥呢？疑问疑问疑问
1692941814# #女子路边儿“人肉”占车位，奔驰车主也不示弱，今天就跟你杠上了……允悲抓狂郎摘新闻超话
1689068542# #女子情绪激动欲跳楼消防拦腰救下这一幕好危险！女子欲跳楼轻生，消防耐心劝阻，一把拽回。郎摘新闻超话
1692771746# #这……男子放热水壶时低头看手机，壶体侧翻坠落，大量热水撒出倒向身体……吃惊抓狂郎摘新闻超话
1696245357# #【警方通报中秋节公公收礼事件：系男子为博眼球编造吃惊抓狂】10月2日，江苏省苏州市公安局苏州工业园区分局发布警情通报：近日，网传“中秋节公公收礼”虚假图文信息，公安机关立即对此开展调查。经查，胡某生（男，36岁，网名“旅行路上的路人甲”，居住苏州工业园区），出于吸引眼球、博取关
1692532217# #金星讲述被封禁经历，直言对方就是一群小人，不敢当面对质……郎摘新闻超话
1694477306# #在山区丘陵地带，日本农民是如何种地的？郎摘新闻超话
1702796357# #全国法院裁判文书库将开通
1691413503# #博主书法，棒棒哒赞
1698305723# #这……冒得法子抓狂
1704001727# #中国的历史源远流长，至今以历史名城和文化想结合的历史文化名城著称的已逾100多座，新年想首先去玩的城市中，南京、杭州、苏州、合肥、徐州无疑具有一定的代表性赞
1702690555# #这个东北姑娘了不起，能让这么多的人了解、喜欢上盘索里这种艺术形式赞
1688953910# #只要有真本事，任何情况下都能反败为胜……允悲允悲允悲郎摘新闻超话
1691884051# #赞
1693121876# #吃惊
1703299938# #哪壶不开……允悲
1693808100# #瑞幸回应喝茅台联名咖啡能否开车【酒精含量低于0.5度，驾驶人员不建议饮用话筒】9月4日，贵州茅台与瑞幸咖啡推出的联名咖啡“茅台瑞幸酱香拿铁”正式上架开卖。对于饮品内含有酒精，瑞幸官方小程序客服回应称：酱香拿铁酒精含量低于0.5度，但未成年人、孕妇、驾驶人员、酒精过敏者不建议饮用。
1703469577# #说说你小时候做过的离谱事儿2023年马上离我们去了，咱又老了一岁，或许年长爱回忆的缘故，突然想起小时候做过的离谱事儿，其一便是:大约七岁的时候，有一回，乡下马路上，一拖拉机拉着满满一车竹子打我身边缓缓经过，我见竹子拖在地上且车子跑的不快，立马上前抓其中一根竹子，想乘势爬上拖拉机，
1694509522# #哈哈
1697770508# #A股永不再见？
