1698363499# #乌克兰武装部队第25空降旅突击了俄军的一个阵地，俘虏一群俄国兵。俄乌战争
1690165998# #歌舞升平惯了，谁来管这些事？
1702510530# #挪威承诺2023年底前向乌克兰提供18亿美元援助。防空系统和增加国防工业资金是挪威刚刚公布的价值18亿美元的乌克兰支持计划的一部分。俄乌战争
1690199767# #据报道，被占领的克里米亚沃尔诺镇附近的弹药库发生爆炸，占科伊-辛菲罗波尔的铁路和公路关闭。撤离爆炸中心5公里范围内的人员。俄乌战争乌克兰反攻
1690815598# #【乌克兰国民警卫队的新指挥官皮夫年科】7月8日成为乌克兰军队和社会的重要日子。将近九个月后，保卫亚速斯塔尔的指挥官返回利沃夫。。。在这个欢乐事件的背景下，另一个重要消息可能被忽视了。同一天，泽连斯基总统在利沃夫宣布了国民警卫队的新指挥官。他成为了一名战斗军官，他是乌克兰英雄奥列克
1692171741# #这个走势就像双胞胎，不会是同一个操盘手吧，只可惜新筑没封板。
1690296126# #乌克兰武装部队总参谋部说，乌克兰国防军在斯塔罗马奥斯克方向取得了成功。俄乌战争乌克兰反攻
1696835217# #铁穹系统在以色列阿什凯隆上空击落哈马斯火箭弹。以色列巴勒斯坦冲突
1699228709# #【乌克兰第128山地突击旅指挥部遭俄罗斯伊斯坎德尔导弹袭击，部分伤亡军官名单】。。2023年11月3日上午乌克兰第128山地突击旅颁奖现场遭俄罗斯伊斯坎德尔导弹袭击，有20多名官兵丧生。乌克兰第128山地突击旅指挥部伤亡惨重：。。图1：乌克兰第128山地突击旅—沃瓦-上校军衔阵亡。。图2：乌克兰第128
1697362793# #美国国防部长在电话中与以色列国防部长讨论了遵守战争法的必要性。。。以色列军方发言人：参谋长宣布摧毁阿勒颇机场以回应从叙利亚发射的导弹。以色列巴勒斯坦冲突
1688820713# #【曹县发射失败的卫星残骸表明其设计相当粗劣，宇宙无敌大元帅定会继续带领曹县人民勒紧裤腰带造火箭卫星】。。韩国军方星期三（7月5日）公布针对曹具发射失败卫星残骸的分析结果，表示侦察卫星设计相当粗劣，几乎完全不具军事效能。有分析人士称单从拙劣的焊点来看，其工业能力落后世界不止几十年。。。曹
1698852078# #也门胡塞武装势力正式向以色列宣战——10月31日，也门胡塞军方发言人叶海亚·萨里宣布，也门胡塞武装通过弹道导弹和巡航导弹以及无人机对以色列多个目标进行了大规模攻击。这是对以色列目标的第三次攻击，未来还将有更多的攻击行动。以色列巴勒斯坦冲突
1688425149# #【中国禁止重要半导体原材料出口】中国政府宣布从8月1日起，对镓、锗相关物项实施出口管制措施。中国是镓和锗的重要生产国，这两种物质也是半导体的重要原材料。。。据中国商务部官网消息，中国商务部和海关总署星期一（7月3日）公告，为维护国家安全和利益，由8月1日起对镓、锗相关物项实施出口管制措施
1694306258# #乌克兰军营食堂一隅。乌军士兵精神面貌不错，为正义事业而斗争且赢得众多国家支持必然士气十足。俄乌战争
1698316731# #【天空新闻：在地面进攻之前，可能会有更多的入侵】。。作者：阿利斯泰尔·邦卡尔，中东记者。。莱莱尔昨晚在加沙的行动是一次入侵，而不是入侵。这是战争期间迄今为止在该地带内最大的地面行动，但范围有限。。。坦克和步兵越过边境进入加沙北部，并瞄准了哈马斯的基础设施。。。看看邦卡尔分享他对这次入侵的
1688601141# #乌克兰武装部队第110旅在突击行动中占领了顿涅茨克州克拉斯诺格夫卡附近的俄军阵地。一些俄军士兵被消灭，另一些成为俘虏。俄乌战争乌克兰反攻
1699941307# #果敢民族民主同盟军（MNDAA）抵抗部队占领了果敢SaZ的ParHsinKyaw村和周围的山丘，使他们位于老街(Laukkai)地区中心以南仅7公里处。缅北多地爆发激烈战事
1694015699# #9月6日布林肯老爷突访基辅，视频中他在逗一只排雷犬。俄乌战争
1703944425# #针对俄罗斯的大规模导弹袭击乌克兰军队展开报复，布良斯克和别尔格罗德发生了多次爆炸。别尔哥罗德市中心的炮击造成3人死亡，3人受伤。俄乌战争
1699760981# #数千人聚集在特拉维夫，为239名被绑架的以色列儿童、妇女和男子守夜。他们在过去5周内被哈马斯关押在加沙。以色列巴勒斯坦冲突
1698767957# #德怀特·艾森豪威尔（DwightD.Eisenhower）和杰拉尔德·福特（GeraldR.Ford）这两个航母打击群在地中海相距仅约425海里。以色列巴勒斯坦冲突
1699942748# #【缅甸局势紧张，昂山素季及其所在阵营可能卷土重来】。。随着同盟军剑指老街四大家族，缅甸境内的各路武装蠢蠢欲动。想必昂山素季的学生军有可能抓住此次千载难逢的机会，直捣军政府，再次登上历史舞台。昂山素季在缅甸一直是一个备受争议的人物。她曾经因为参与民主运动而被软禁了长达15年之久。然而，
1699231407# #乌军使用阴影风暴飞弹摧毁顿涅茨克州谢多韦（Sedove）一个弹药库，军事装备仓库和一个停有直升机的俄罗斯维修基地被爆炸炸毁。俄乌战争
1692701002# #俄罗斯将其所有图-22战略轰炸机从索尔齐机场移走，因为它遭到一架携带简易爆炸装置的四轴飞行器的袭击。这次袭击可能是由俄罗斯本土的破坏者发动的，导致一架Tu-22M3飞机被彻底摧毁。详情请阅读前文
1698317704# #斯洛伐克新任民粹主义总理罗伯特·菲科周四表示，他的政府正在停止对乌克兰的军事援助。俄乌战争
1700377967# #人民国防军抵抗部队占领了KyarTet村及其当地警察局，切断了实皆省和马圭省边界的一条重要道路。缅北多地爆发激烈战事
1700438360# #【乌海军步兵公布了在第聂伯河南的战果】乌海军步兵日前在Facebook上宣布:由于乌克兰海军步兵的勇气和专业精神，在国防军其他部队的配合下，他们已经成功地夺取并巩固了第聂伯河左岸的几个据点。。。乌海军步兵还指出，俄军已经在第聂伯河左岸遭受了严重的人员和装备损失。。。◆俄军在第聂伯河南岸的人员
1699104845# #俄军装甲车辆遭遇无人机。俄乌战争
1697495099# #特拉维夫战争国防部总部响起警报，迫使内塔尼亚胡和布林肯以及内阁成员停止会议并前往避难所。以色列正式向哈马斯宣战
1691195722# #这个为百姓立大功了goodgoodgood给力给力给力鲜花鲜花鲜花
1690555404# #俄本土的塔甘罗格咖啡馆发生爆炸。
1698311142# #哈马斯政治局副局长萨利赫·阿鲁里：如果敌人从陆路进入，这将是我国人民新的光荣一页，也是占领者的历史性和前所未有的失败。以色列正式向哈马斯宣战
1693180288# #出征宣誓：乌克兰预备役部队举行出征宣誓仪式。俄乌战争乌克兰反攻
1690559786# #【7月28日下午，俄罗斯罗斯托夫州塔甘罗格地区发生剧烈爆炸】俄罗斯国家媒体和地方当局一直在提供有关距离乌克兰边境约30英里的俄罗斯城市塔甘罗格爆炸的更多细节。。。据报道，爆炸“震动”了该市的中心广场，击中了一家咖啡馆并损坏了一栋住宅楼。现场的一些视频似乎显示一栋低层建筑部分沦为瓦砾。。。
1700264051# #【泽连斯基解雇了乌克兰外国情报局副局长】。。乌克兰总统弗拉基米尔·泽连斯基解除了奥列克桑德·塔拉索夫斯基的乌克兰外国情报局副局长职务。。。没有具体说明解雇的原因。塔拉索夫斯基自2022年1月21日起担任乌克兰外国情报局副局长。俄乌战争
1692420501# #美国第6舰队的旗舰惠特尼山号在黑海高度紧张的时候抵达伊斯坦布尔的港口。俄乌战争
1702507985# #丹麦首相梅特·弗雷德里克森宣布，丹麦将向乌克兰分配价值10亿欧元的新援助计划，其中包括弹药、坦克和无人机。俄乌战争
1699891684# #乌克兰防空系统在赫尔松和尼古拉耶夫地区击落了5架侦察无人机。俄乌战争
1688777925# #【在白俄罗斯的一个训练设施，已经建起了足够容纳5000名士兵的帐篷。白俄罗斯国防部长的一位顾问表示，欢迎瓦格纳雇佣兵】。。对于瓦格纳集团部队绝对不在的基地来说——至少目前是这样——位于白俄罗斯奥西波维奇附近Tsel的训练设施已经足够有趣了。。。白俄罗斯国防部长的一位顾问告诉我们，我们看到了一
1700313282# #乌克兰海军陆战队17日表示，该部官兵不仅突破了俄军在赫尔松州南部第聂伯河上的防线，突入第聂伯河东岸，还在东岸建立多个桥头堡。乌军在激烈的战斗中重创俄军，导致其将近3500人伤亡，并摧毁了俄军数十个弹药库，以及数十辆坦克、装甲车和其他武器装备。俄乌战争
1689815330# #五角大楼宣布将通过乌克兰安全援助倡议为乌克兰采购13亿美元的新安全一揽子计划。关键能力：4个NASAMS防空导弹系统；152毫米炮弹；扫雷设备；TOW导弹；凤凰幽灵和弹簧刀无人机。武器装备
1696779275# #总理本雅明·内塔尼亚胡在两天内第二次与美国总统拜登交谈。预计美国将于今天晚些时候宣布向以色列提供更多军事援助。。。伊朗总统在与哈马斯组织领导人伊斯梅尔·哈尼亚的谈话中将哈马斯的突然袭击定义为“胜利”。“你让伊斯兰国家对这一倡议感到满意，”伊朗总统易卜拉欣·莱西告诉哈尼亚。。。法尔斯通讯
1702777669# #第比利斯数万人在首都中央广场和街道上庆祝被授予欧盟候选国地位。当地时间12月14日,欧盟峰会在比利时布鲁塞尔举行。当天,欧洲理事会主席米歇尔在社交媒体上表示,欧洲理事会决定与乌克兰和摩尔多瓦开启入盟谈判,并授予格鲁吉亚欧盟候选国地位。格鲁吉亚泽连斯基回应乌获得欧盟候选国地位
1700694108# #白宫：拜登向塞西保证，他将致力于建立一个巴勒斯坦国。拜登此前明确表态，支持巴勒斯坦独立建国，支持中东地区的以色列和巴勒斯坦搞两国方案，巴勒斯坦人民需要保护，哈马斯必须铲除。。。拜登在今天与以色列总理内塔尼亚胡的通话中，“进一步强调了在黎巴嫩边境以及约旦河西岸保持冷静的重要性”。
1689245989# #马哈奇卡维卡兹高加索志愿营已经控制巴赫穆特城区附近主要高地。乌克兰反攻巴赫穆特
1698135857# #【美国将军“就地面攻击向以色列提供建议”】据报道，五角大楼已向以色列派遣了一名海军陆战队将军，他是城市战专家，在以色列预期的地面攻击之前。
1696861835# #以色列消息来源：内塔尼亚胡告诉拜登，以色列将进入加沙地带。。。卡萨姆旅用90枚导弹对斯德洛特市发动导弹袭击。。。以色列军方正在向黎巴嫩边境派遣大量增援部队。以色列军方此时袭击了真主党的几个目标。。。以色列国防军：以色列军队杀死了一些从黎巴嫩领土进入以色列领土的好战分子。部队继续扫描该地区
1688397060# #乌克兰武装部队总参谋部在早间报道中说，乌克兰国防军在新达里夫卡-普留特内、新达尼利夫卡-Robotyne和Novosilka-Staromayorske方向推进。俄乌战争乌克兰反攻
1700960460# #网传缅甸果敢地区要改称为华邦地区，果敢族改称为汉族，希望是真的。缅北多地爆发激烈战事
1689423438# #韩国总统尹锡悦携夫人金建希访问乌克兰。俄乌战争
1688338271# #7月2日，俄罗斯克拉斯诺达尔州阿赫塔尔斯克军用机场附近发生剧烈爆炸。俄乌战争乌克兰反攻
1688948587# #7月8日第72机械化旅在武勒达尔南部的一次进攻行动，其中一人受伤。俄乌战争乌克兰反攻
1688821936# #俄罗斯炮击莱曼造成8人死亡，13人受伤。俄乌战争
1702506412# #【WTO群已名存实亡，新群CPTPP已建立】WTO是承诺制，先承诺就可以加入，至于承诺的内容不能做到，大家也没办法，所以被人给玩坏了，现在WTO的争端解决机制，也因为时间拖得太久而饱受成员国抱怨。。。CPTPP全称名为：全面与进步跨太平洋伙伴关系协定，是由亚太国家组成的自由贸易区。。。CPTPP是审核制，入
1700265130# #【内坦亚胡：不消灭哈马斯下一次轮到美国】。。以色列总理内坦亚胡警告美国，要是以军没能消灭哈马斯，下一个遭恐怖袭击的可能是美国。。。内坦亚胡星期一（11月13日）接受美国福克斯新闻访问时坚称，以色列必须战胜哈马斯，这不只是为了以色列，也为了中东。他也警告，如果以军现在无法打赢这场战争，那下
1695221432# #9月19日拜登在联合国发表演讲时谈到俄乌战争。俄乌战争
1702509451# #以色列军队宣布在加沙的战斗中又有2名士兵死亡，使以色列军队自10月7日以来的地面行动死亡人数分别达到115人和444人。以色列巴勒斯坦冲突
1699891667# #荷兰国防部长
1700147164# #缅军一架17直升机在掸邦与克耶邦交界处遭克耶武装联合保卫军的火箭弹击落。缅北多地爆发激烈战事揭秘缅北果敢四大家族
1689040399# #第3突击旅在巴赫穆特南部克列谢耶夫卡村附近的战斗。俄乌战争乌克兰反攻
1698251300# #以色列军队后方司令部已下令居住在加沙地带附近社区的居民（少数尚未撤离的人）留在防空洞附近，直至另行通知。早些时候的一份声明命令居民留在防空洞内，直到另行通知。。。以色列总理内塔尼亚胡将于下小时在特拉维夫以色列军队总部向媒体发表声明。以色列正式向哈马斯宣战
1696833453# #以色列军队在斯德洛特附近的格维姆十字路口、KafrGaza、Nirim、Belum和Bari继续遭遇武装分子。夜间，战斗仍在继续，战斗中心的数量显着减少。以色列巴勒斯坦冲突
1688338471# #乌克兰第三突击旅的军人变身考古学家，认真研究俘获的莫辛纳甘。俄乌战争乌克兰反攻武器装备
1693173857# #俄罗斯调查委员会证实，由于对特维尔地区飞机失事中发现的尸体进行DNA分析，普里戈津和乌特金死亡。确认普里戈任死亡
1688396745# #国际原子能总干事乌克兰的扎波罗热核电站在丢失4个月后已重新连接到其唯一可用的备用电力线，但在持续的军事冲突中，该站点的电力状况仍然非常脆弱。俄乌战争
1700379687# #【以色列总理和国防部长表示，躲在卡塔尔的哈马斯领导人也将被击毙】。。国防部长加兰特：“我们不区分加沙地带携带AK-47的哈马斯恐怖分子和豪华酒店中穿着西装的恐怖分子。我们会把他们全部消灭掉。”以色列巴勒斯坦冲突
1690110580# #乌军第79旅顿涅茨克州克拉斯诺霍里夫卡的精准投弹。俄乌战争乌克兰反攻
1696802908# #以色列军方说，海军的Shayetet13部队已经俘虏了加沙哈马斯海军南部师的副指挥官穆罕默德·阿布·加利。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1699570298# #加沙城已成废墟，巴勒斯坦人的圣殿被摧毁，哈马斯成功的做了邪恶轴心的马前卒炮灰，现在指望谁能救他？连叫嚣的最凶的神棍也蔫了。哈马斯是巴勒斯坦人的灾星。以色列巴勒斯坦冲突
1695441766# #昨日塞瓦斯托波尔黑海舰队总部遭导弹袭击受损。巴赫奇萨赖的军事单位发生了爆炸，克里米亚其他地区也发生了爆炸。俄乌战争乌克兰反攻
1698635107# #乌军抵达扎波罗热地区的苏罗维金防线拍照。俄乌战争
1698570784# #联合国巴勒斯坦难民机构表示，数千人闯入其加沙援助仓库，拿走食物和其他“基本生存物品”，该机构主任说，这是“一个令人担忧的迹象，表明社会秩序开始崩溃”。以色列正式向哈马斯宣战
1694880636# #在乌克兰情报部门声称海军无人机袭击她之后，拖船在塞瓦斯托波尔湾移动俄罗斯护卫舰萨穆姆。俄乌战争乌克兰反攻
1690467408# #乌克兰：俄罗斯军方现在使用缅甸制造的弹药——缅甸120ER120毫米HE迫击炮炸弹最近出现在俄罗斯服役。此前，没有报道从缅甸向俄罗斯转移弹药。俄乌战争武器装备
1696944260# #以色列军方称，以色列军方在加沙地带附近发现了大约1,500名哈马斯武装分子的尸体。以色列巴勒斯坦冲突
1697028074# #俄罗斯Su-25在阿夫迪耶夫卡方向被击落。俄乌战争
1688913032# #丹尼斯·普罗科彭科，泽连斯基的爱将，马里乌波尔Azovstal钢铁厂保卫战的英雄，他回来了，意味着收复马里乌波尔的战斗很快就会打响。俄乌战争乌克兰反攻马里乌波尔
1696915114# #【哈马斯不得人心】据报道，阿拉伯联合酋长国警告叙利亚的阿萨德政府不要参与以色列和哈马斯之间正在进行的冲突。阿布扎比还警告大马士革不要允许从其领土上对以色列进行任何袭击。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1691843407# #俄占别尔江斯克发生爆炸。乌克兰反攻
1691340725# #泽连斯基为法国版暴风阴影——SCALPEG巡航导弹签字，该导弹挂载于苏-24上。俄乌战争乌克兰反攻
1697362616# #以色列军队和ShinBet表示，以色列国防军和以色列国家安全总局（辛贝特）在14日夜间的空袭行动中又打死一名哈马斯指挥官，这名指挥官名叫比拉尔·盖德拉（Billalal-Qedra）。以军称他指挥了上周末发生在以色列靠近加沙地带的尼里姆和尼尔奥兹社区的袭击。。。以色列国防军称，有更多哈马斯武装人员在14日
1693294265# #乌克兰国防军在扎波罗热地区的韦尔博韦方向取得了成功。俄乌战争乌克兰反攻
1689697009# #乌克兰阿卜杜勒·哈基姆车臣营伏击俄军的行动（完整版）。俄乌战争乌克兰反攻
1692808335# #立陶宛总统吉塔纳斯·瑙塞达表示，立陶宛购买的NASAMS防空系统发射器将于9月抵达乌克兰。俄乌战争
1699537468# #乌克兰武装部队在第聂伯河流域左岸活动。俄乌战争
1692572145# #【俄罗斯报告说，其Luna-25航天器坠毁在月球上】。。本月早些时候发射的月球车着陆器在旋转进入不受控制的轨道后坠毁，俄罗斯航天公司Roscosmos周日报道。。。此前，该国报告了其专家周六正在分析的“异常情况”。该任务是该国近50年来首次登月。。。俄罗斯曾希望月球车在登陆月球南极后花费一年时间收集岩石
1689753484# #当地时间7月19日凌晨克里米亚一处俄军弹药库发生爆炸，附近居民正在疏散。乌克兰反攻俄乌战争
1696330284# #乌克兰安全局揭露了俄罗斯在尼古拉耶夫地区的间谍网络。13名嫌疑人被拘留。俄乌战争
1697685789# #昨夜塞瓦斯托波尔发生巨大爆炸。俄乌战争
1693180071# #在扎波罗热方向，乌克兰武装部队的排雷行动。乌克兰反攻俄乌战争
1691214173# #巴赫穆特，解放克里什奇夫卡的战斗正在激烈的进行中，俄军像顽固的牛皮癣需要一点点的清除。俄乌战争乌克兰反攻巴赫穆特
1701479237# #28岁的美国护士丽贝卡·马乔洛夫斯基（RebekahMaciorowski）在去年俄罗斯全面入侵乌克兰后决定从科罗拉多州丹佛市搬到乌克兰成为一名志愿者军医，她最近表示战争不结束不会离开。俄乌战争
1691021560# #以指挥官伊万·维霍夫斯基(IvanVyhovskyi)命名的第58独立摩托化步兵旅各部队的战斗协调。俄乌战争乌克兰反攻
1694508803# #9月11日,乌克兰国防部情报总局局长布达诺夫中将在接受采访中表示,预计明年夏季结束这场俄乌战争。
1702423441# #【俄军战壕上方加盖，乌方无人机亟待代进化】俄军正在前线阵地上搭建对付无人机的防护棚，战壕的上方和侧面都被包盖起来。这使乌军FPV无人机使用垂直下落的投掷手榴弹进行攻击时变得更加困难，手动控制的FPV攻击也是如此。隔挡板减弱了手榴弹的爆炸威力，同时无人机无法发现隔挡板下面的攻击目标。。。但
1689429587# #【美国将从台湾回购退役的HAWK导弹送往乌克兰】据《中国时报》报道，美国正计划回购其出售给台湾的退役鹰式防空导弹，并将其作为军事援助计划的一部分转移到乌克兰。。。该报援引未具名消息人士的话称，华盛顿和台北早在去年在高级安全官员协商后就回购达成一致。。。这项转移将根据美国6月9日宣布的2.1亿
1688826106# #乌军摧毁巴赫穆特南部一处俄军阵地，9名呆俄被俘虏。俄乌战争乌克兰反攻巴赫穆特
1693390173# #天空新闻收集的普斯科夫机场遭到GUR无人机袭击爆炸的视频集合，据悉4架“伊尔-76”运输机被摧毁。俄乌战争
1698623863# #10月29日晚，以色列国防军持续扩大对加沙地带的地面行动。以色列正式向哈马斯宣战
1696577388# #俄罗斯总统弗拉基米尔·普京说，在一次飞机失事的受害者尸体中发现了手榴弹碎片，该飞机失事杀死了前瓦格纳老板叶夫根尼·普里戈任。。。据报道，普里戈任是8月23日在莫斯科北部的一次飞机失事中丧生的10人之一，这是在他领导针对俄罗斯高级官员的叛变失败的两个月之后。。。这场流产的叛乱，在此期间，他要
1689779527# #俄罗斯纳粹用导弹袭击了敖德萨的粮食仓库。俄乌战争
1699137566# #【刻赤海峡方向发生爆炸，克里米亚大桥关闭】据报导有不少导弹正从乌克兰飞往克里米亚，造船厂方向发生爆炸。俄乌战争武器装备
1692017893# #【台金防部前参谋长将公发洗衣机据为己有被判12年】。。台湾陆军金门防卫指挥部前参谋长涉嫌将公家购买的价值7990新台币的洗衣机据为己有，被以侵占公用财物罪，判处有期徒刑12年。。。报道也称，检方曾私下透露，林帝志在参谋长任内，涉嫌侵占大批部队内公物，包括各类装饰品，例如摆设在办公室内的文昌笔
1691309426# #【俄乌战争最新战况】。。◆斯洛博达前线（包括奥斯基尔河和艾达尔河之间的区域）。。俄罗斯军队进入新塞利夫斯克，在南郊损失了几辆坦克。该地区的战况现在存在争议。。。◆巴赫穆特阵线。。第3突击旅少校马克西姆·佐林说，乌克兰军队控制着克利什奇夫卡的一半，其余的都在他们的火力控制之下。俄乌战争
1697753814# #哈萨克斯坦贸易和一体化部副部长凯拉特·托雷巴耶夫说，在俄罗斯对乌克兰的战争开始后，哈萨克斯坦限制向俄罗斯出口106种军用物资，包括无人机、芯片、专用电子产品和其他产品。俄乌战争
1692400483# #收到征兵传票后，俄罗斯下属共和国部长前往美国，成为一名卡车司机。。俄罗斯科米共和国前农业部长丹尼斯·沙罗诺夫于去年10月收到动员传票后立即离开祖国，他前往美国，成为了一名卡车司机。。。沙罗诺夫表示，驾驶卡车只是一份暂时的工作，他计划在美国获得身份后立刻将自己此前的所学付诸于实践。。。现在
1694444400# #白俄罗斯克格勃声称拘留了乌克兰安全局的3个破坏小组。俄乌战争
1699461697# #被占领的卢甘斯克的一名俄军指挥官米哈伊尔·菲利波年科（MikhailFiliponenko）因汽车爆炸而丧生。俄乌战争
1699795497# #以色列国防军11月11日至12日加沙行动影像。以色列巴勒斯坦冲突
1690467282# #泽连斯基总统出席第聂伯罗市军事指挥会议。俄乌战争
1692713530# #当地时间8月21日，美国驻白俄罗斯大使馆发布声明，敦促美国公民不要前往白俄罗斯，在白俄罗斯的美国公民应立即离开。声明还提醒称，美国公民不能从白俄罗斯经陆路进入波兰，也不要前往俄罗斯或乌克兰。。。声明称，鉴于立陶宛政府8月18日关闭了该国与白俄罗斯陆地边界的两处过境点，加上波兰、立陶宛和拉
1691079494# #【新组建的乌克兰机械化旅已开始接收新的作战装备】。。乌克兰士兵在社交媒体上发布的照片显示，第44机械化旅收到了KTO罗索马克装甲运兵车和豹1A5主战坦克。该旅的大部分成员目前在波兰，但很快就会返回乌克兰，帮助解放目前占领的乌克兰土地。。。该旅被称为“波兰旅”，是乌克兰陆军的机械化部队，
1691166471# #另一个角度。见前文
1688513659# #顿涅茨克发生爆炸。俄乌战争乌克兰反攻
1688819532# #7月7日泽连斯基访问斯洛伐克,与斯总统苏珊娜·恰普托娃签署支持乌克兰加入北约的两国联合声明。俄乌战争
1700378975# #今天上午，贾巴利亚难民营TalAl-Zaatar地区的一个住宅广场被摧毁。以色列巴勒斯坦冲突
1697584310# #在加沙城外集结待命的以色列钢铁洪流。武器装备以色列正式向哈马斯宣战
1704071236# #泽连斯基访问阿夫迪夫卡前线，慰问将士颁发荣誉勋章。俄乌战争
1696736593# #以色列纳哈尔步兵旅指挥官约纳坦·斯坦伯格上校今天上午在凯雷姆沙洛姆地区与哈马斯武装分子的冲突中丧生。以色列巴勒斯坦冲突
1700694226# #黎巴嫩媒体报道说，几名真主党成员在以色列对黎巴嫩南部的一次空袭中丧生，其中包括真主党议会集团领导人穆罕默德·拉阿德的儿子萨拉吉·拉阿德。以色列巴勒斯坦冲突
1692976039# #【乌克兰第92机械化旅已改编为突击旅】。。上个月有传言称，乌军方有意将乌克兰第92机械化旅改革为突击旅。今天，该旅的工作人员正式证实了这一消息。著名的乌克兰地面部队第92机械化旅现在是第92突击旅。。。机械化旅和突击旅的主要区别在于组成和专业化。一个标准的乌克兰机械化旅有三个（一些旅有
1690174512# #7月28日世界大运会在成都开幕，买不买？$红旗连锁sz002697$
1688815194# #别尔哥罗德地区谢贝金发生炮击事件。俄乌战争
1689902211# #乌克兰炮兵在库皮扬斯克方向使用美制集束弹药。俄乌战争乌克兰反攻集束弹药
1689696444# #乌军投出三分球，真准！俄乌战争乌克兰反攻
1688360954# #【阿夫迪夫卡前线战况】俄军在新塞利夫卡西北部向奥列克桑德罗皮尔推进。俄乌战争乌克兰反攻
1690180310# #【“神探”栽了：国人喜欢造神，李大神到处夸夸其谈，各种节目上秀神技，在神的形象毁灭时大家又毫不留情的将其踩在脚下。对于那种喜欢人们称他为神而甘之如饴的人，要早早的远离他】有“华人神探”之称的美籍华裔刑侦法证专家李昌钰，被美国法院裁定须为1980年代一桩谋杀案伪造证据负责。据美国媒体
1700263655# #加沙南部汗尤尼斯的巴勒斯坦人在粮食短缺时排队领取面包。以色列巴勒斯坦冲突
1700224857# #缅甸“四大家族”之首白所成出逃时被拦，其子白应苍被缅甸警方通缉。夜壶用完了，没有价值该丢了。缅北多地爆发激烈战事揭秘缅北果敢四大家族
1688648817# #俄罗斯大炮炮击了哈尔科夫地区佐洛乔夫社区的奥德诺罗比夫卡火车站——直接命中完全摧毁了车站。俄乌战争
1702260370# #生活在以色列的巴勒斯坦人因在战期间支持哈马斯被以色列送回加沙地区。以色列巴勒斯坦冲突
1690296556# #品刀郎罗刹海市有感。。马龙媒游大罗刹国、海市国，所见风物与华夏皆颠倒，事在《聊斋志异·罗刹海市》，柳泉居士诙谐著墨，实披肝沥胆于本性，剖心泣血于世事，痛哉！。。东方有国世称奇，。煤面凸睛三孔鼻。。狗苟蝇营乃正途，。气宇轩昂着敝衣。。花面逢迎登庙堂，。世情如鬼皆诈欺。。人间难得是糊涂，。颠倒一
1695144146# #第三突击旅战士解放安德里夫卡的战斗视频。俄乌战争乌克兰反攻
1699963752# #以色列国防军：在突袭中，以色列战斗人员摧毁了工厂内的隧道竖井，发现了各种武器，包括手榴弹、卡拉什尼科夫步枪、炸药、RPG和其他设备，同时在几次战斗中消灭了武装分子。在同一活动中作战的工程部队摧毁了位于突袭区域的被困结构。以色列巴勒斯坦冲突
1693389430# #权力的毒药，加蓬总统选举：父传子、纟冬身制。
1690471282# #俄罗斯媒体报道，属于俄罗斯内政部的一辆汽车在莫斯科被不明人员纵火焚毁，随后社交媒体上一名宣称是俄罗斯自由军团成员的男子发布行动画面。
1700025277# #也门胡塞武装：从宣布这一声明的那一刻起，我们将毫不犹豫地瞄准红海或我们能到达的任何地方的任何以色列船只。我们向埃拉特发射了弹道导弹。以色列巴勒斯坦冲突
1689697008# #乌军第3突击旅第2营第1连的士兵们正在检查清理俄军的壕沟，缴获战利品。俄乌战争乌克兰反攻
1690612904# #在基辅，已经开始准备在纪念碑“祖国”的盾牌上安装三叉戟。乌克兰文化部指出，三叉戟将由欧洲钢制成，因为扎波罗热工厂的金属有缺陷。这不会影响项目的成本。这项工作计划在8月24日独立日之前完成。俄乌战争
1688514182# #【导弹发射基地老巢被端了，地图上看爆炸发生在军用机场跑道边】俄罗斯用S-300防空系统袭击了哈尔科夫地区，一些导弹击中别尔哥罗德地区，发生爆炸。——哈尔科夫军事驻军负责人谢尔盖·梅尔尼克报道。俄乌战争乌克兰反攻
1689221624# #北约峰会，乌克兰得到各国支持。
1698720307# #白发人送黑发人。
1704071069# #跨年烤鹅烟花秀！俄乌战争
1689035055# #土耳其总统支持瑞典加入北约。北约秘书长斯托尔滕贝格说，这是一个“历史性的一天”，而总理里希·苏纳克说，瑞典的加入“使我们所有人都更安全”。
1692839651# #【普里戈津一言成谶】“瓦格纳”集团创始人叶夫根尼·普里戈津和联合创始人德米特里·乌特金谈论“不可避免的事情（死亡）”的视频片段，乌特金称，“死亡不是终结，而是另一个开始”。普里戈任表示认同，并称，“我们都会下地狱的，但是我们是地狱里最强的！”看来草寇普里戈津对自己的命运真是有先见之
1696781560# #以色列南部一道路上布满了被枪击的平民和汽车，以色列已宣布进入战争状态。
1689778630# #【雇佣军头子普里戈任的最新行踪】今天下午早些时候，网上出现了一段视频，声称显示雇佣军瓦格纳集团的负责人欢迎他的士兵来到白俄罗斯。。。这段视频是在夜幕降临后拍摄的，只能辨别出叶夫根尼·普里戈任的个人资料。。。天空新闻的OSINT团队已经能够验证视频的位置是白俄罗斯南部的Tsel军事基地。
1693180150# #泽连斯基召集前线指挥官开会。乌克兰反攻俄乌战争
1697155532# #纽约，以色列支持者隔空大战哈马斯支持者。以色列巴勒斯坦冲突
1698364414# #支持乌克兰和以色列不等于认同美帝对我之围堵，反对美帝之围堵，不等于认同天朝之毒财，一切皆以国家利益和民族自立为根本。
