1699157975# #人都有年轻的时候，哈皮也是。
1688549148# #“人生各有不同，终生无法平等！”
1695815989# #发布了头条文章：《网红大杨哥庆结婚2周年！曝千万豪宅装修简陋，疑吃剩饭被指抠门》
1704888531# #PeterLindbergh镜头里的张曼玉｜2008。。提高审美话题审美话题张曼玉话题镜头感话题老照片话题张曼玉绝美话题摄影话题分享照片话题艺术话题遇见艺术话题
1695355181# #发布了头条文章：《曝檀健次毛晓彤疑同居！沙发、窗帘等5种同款被扒，疑高调秀恩爱》
1704334639# #“这反差真的太大了，判若两人！”
1692864694# #发布了头条文章：《朱珠深夜秀恩爱，老公王昀佳被嘲面相不好，被调侃是富婆收割机》
1701249161# #成龙电影《我是谁》演员的幕后花絮
1688791101# #“人生一世，唯潇洒二字难求！”
1704801977# #被忽略的香港電影朝聖地點——尖沙咀永安百貨。警察故事1最終的商場打鬥，全部在這拍攝完成，40年過去了基本沒有變樣。商場頂樓成龍跳下去那，我把頭伸出去望了望，腳都軟了，別說要我跳，完全理解成龍當年站那30分鐘都沒敢動。。。這商場就在香格裡拉酒店隔壁，不太起眼，人流也不多，如果喜歡香港動
1688292494# #“他努力的方向错了，这是人情社会的温度！”
1704352937# #“历史长河中的奋斗与担当！”
1695030135# #发布了头条文章：《Lisa疯马秀风波后彻底放飞，造型清凉穿最少，直接表演从天上掉钱》
1688354689# #“智者的锋刃，浮华是否迷蒙了双眼！”
1703328142# #“一直认为他很帅，甩现在的流量10条街那种！”
1701342853# #“悲情豪杰，末路英雄，怀念港片！”
1688095844# #“一以贯之的努力，不得懈怠的人生！”
1690622806# #发布了头条文章：《丁字裤，摸下体，杨丽萍把国人难以启齿的文化都搬到舞台上了》
1696051289# #发布了头条文章：《曝樊小慧想复婚，自曝私生子身份，疑未婚先孕逼婚，网友：糊涂》
1704248852# #“出租车司机？他真的很有魅力！”
1702641658# #“北上的杜琪峰，终于找到了合适的土壤！”
1704334184# #“心照一刻，致从未逝去的港片精神！”
1702109263# #“心软的父亲，敏感、孤独的周星驰！”
1693983621# #发布了头条文章：《没人管吗？曾志伟70岁生日被美女轮流热吻玩得超大超嗨》
1694844521# #发布了头条文章：《Lisa素颜被辣条打脸，疯马秀彩排照曝光，网友：咖喱味太重》
1695029856# #发布了头条文章：《太虚伪？rose参亚运看升旗眼泛泪光，大喊大叫推挤他人遭路人白眼》
1692965177# #发布了头条文章：《TFBOYS演唱会失控！昏厥、群殴、咬人、冲破安检，三小只急切发声》
1699363292# #同为大唐皇帝。
1689131570# #“内心的结，才是谍报工作的真实写照！”
1694763879# #发布了头条文章：《李佳琦直播间5万份商品3秒抢光，打工族“骨子里的穷”藏不住了》
1702135142# #明天去见王祖贤
1689218157# #“梅开二度，从李逍遥到梅晓歌！”
1695206432# #发布了头条文章：《曝36岁张雨绮再换男友，口味大变，两人已同居月余》
1702110156# #“一段对白，人生就是反转的这一拳！”
1702110244# #茶衣饭粥势如破竹致经典
1694253481# #发布了头条文章：《曝大S疑似坑汪小菲钱！好友曝光过程，网友吐槽：毫无人情味》
1704617441# #1987年，郭富城和郑伊健在内蒙古拍戏。。1987年，郭富城刚和无线签约不久，就跟随TVB剧组到内蒙古拍摄古装剧《成吉思汗》。当时同组演员还有郑伊健和李家声，三个年轻人在剧组露膀子，身材还不错。
1701342349# #电影这应该是唯一一个系列每一部评分都相同的电影。
1703863252# #分享图片
1693045260# #发布了头条文章：《王艳在15亿豪宅带货！神情抑郁疑为夫还债，身家百亿曾遭继子掌掴》
1703938801# #港片上映|香港导演麦启光指导作品《临时劫案》定档1.19。。颓废中年难兄难弟阿怂（林家栋饰）、慕容辉（任贤齐饰）计划抢劫却意外被悍匪梅蓝天（郭富城饰）搅局，阴差阳错间三人临时组队，巨款眼看到手，却被他人捷足先登，与此同时女警探姜姐（张可颐饰）也将三人锁定，一时间匪徒各怀鬼胎，在“
1703742191# #“不是演员演技差，而是故事不行！”
1699363465# #我要是卖芒果的，就请廖凡代言。
1703160683# #曾经的痛苦不会让我变得更强大，恰恰相反假如我没有承受过那些痛苦，我远会比现在坚强自信善良快乐，我不会感激曾经的痛苦，那时的我只是一个小孩，我需要的不是强大，我需要的是安全。
1693552705# #发布了头条文章：《曝歌坛男顶流出轨生子，宠妻、演唱会座无虚席，张杰薛之谦躺枪》
1688614870# #“两条腿走路，老板和混子的区别！”
1702045715# #“是星爷颜值的巅峰，也是港片的顶巅！”
1689065697# #“原生家庭带来的创伤，是多么难以走出！”
1702108809# #“回不到的过去，是心烦意乱的现在！”
1702045400# #分享视频
1695355364# #发布了头条文章：《李玟离婚申请书曝光，与丈夫签2份协议，时间惹争议，网友：好狠》
1701342550# #梁静茹的《宁夏》，是真的写给宁夏的。
1693983062# #发布了头条文章：《女学生曝遭《好声音》死亡威胁，被寄遗照后用钱封口，发货地曝光》
1703072537# #【李赛凤】比她美的没她能打，比她能打没她美！
1701953603# #“有武有侠有情怀，已属难得！”
1693633981# #发布了头条文章：《庾澄庆回应“转椅子钱”后，《好声音》发声明辟谣，网友：晚了》
1694253370# #发布了头条文章：《曝53岁高晓松近照，脸凹眼凸疑撞脸华晨宇，疑被刀郎影响过度医美》
1688529580# #“做人，低得下头，弯得下腰！”
1702290309# #“泰叔，我欠你的，还不起！！”
1703683062# #“刘德华、古天乐的对决，离经典就差一口气！”
1688529689# #酒神巅峰从零单排小小
1689065448# #“演技仅为参考，一切以实物为准！”
1688615675# #“生硬的拒绝，明处与暗处的转换！”
1695206709# #发布了头条文章：《赵又廷手挽高圆圆接孩子，4岁女儿女神范初显，更粘爸爸父女情深》
1688016175# #“感情的另一种表达方式！”
1702206932# #“愿我博览世界，你仍在原地等我！”
1695617507# #发布了头条文章：《曹格13岁女儿在高档餐厅庆生，穿吊带露美背好曼妙，闺蜜盛装出席》
1692073718# #发布了头条文章：《不能原谅！张丹峰毕滢结婚证曝光，这下洪欣彻底没戏了》
1702045649# #“时至今日，真心疼你们这些老戏骨！”
1690948471# #发布了头条文章：《“百亿票房先生”也拯救不了不守男德的朱亚文》
1704160890# #“2023年，再读谢晋电影模式！”
1693469581# #发布了头条文章：《罗志祥官宣内地演唱会争议大！粉丝在评论区狂欢，路人抵制不欢迎》
1704352815# #“看懂太极张三丰，就看懂了人生！”
1699145576# #十年前喜欢的女明星变成男明星了。
1703913105# #“说过去有个屁用，重要的是讲势力！”
1702108706# #“反差背后，是回得去的家乡！”
1688881957# #“人人有金句，谍战剧扛鼎之作！”
1697376353# #发布了头条文章：《张颖颖回应汪小菲复婚言论，指出汪小菲在表演，大S方也回应了》
1691300534# #发布了头条文章：《这一夜，如此优雅端庄的娜扎把热巴的自卑和做作都衬托出来了》
1688095498# #“一个是生活的体验派，一个是社会的张扬派！”
1691994547# #发布了头条文章：《突发！冯小刚因分不清迪丽热巴古力娜扎被骂上热搜，背后大有学问》
1699593454# #90年代差不多是全世界剧的巅峰期了，美剧什么老友记欲望都市影响力了全世界了，日剧也是什么悠长假期，东京爱情故事，古佃任三郎啥的，韩剧有星梦奇缘，看了又看，洗澡堂老板家的男人，当然韩剧巅峰还是千禧年代，台剧倒是90年题材众多，家有仙妻，追妻三人行，京城四少，一代皇后大玉儿，一代女皇武则
1704249100# #“除了一些特殊癖好，其实希拉不错！”
1694844239# #发布了头条文章：《刘亦菲最新片场照曝光，露甜笑略微发福，霍建华有高原红状态真实》
1702045578# #“年少的你喝酒聊天，在路灯下展望人生！”
1703064568# #“一个狮子王式的童话故事，孩子的梦想！”
1702108686# #“承认自己平凡并不难堪！”
1691640435# #发布了头条文章：《黄秋生疑因吃不饱饭回香港被喊滚出国，黄秋生：我是香港的》
1701343878# #“早知道你这么老土，恰鲍鱼恰s啦你！”
1688701060# #“没有尽头的欲望，让人无法读懂的秘书！”
1704254479# #“二十年之后，江湖已无金镶玉！”
1688016273# #“秋风起时，离别愁，这身心疲惫的辉煌！”
1704253760# #“当你回想起这段经历，你一定不会后悔！”
1703329073# #黎姿算是港圈顶级美女的守门员吧？
1695355450# #发布了头条文章：《韩媒曝Lisa解约YG！遭海外百亿投资，却无法赴美回韩国，被疑分手》
1704250148# #“此后，我们对喜剧的口味标准越来越高！”
1692609254# #发布了头条文章：《华人司机国外接待霍启刚夫妇，晶晶帽子戴脚踝，合影让司机站C位》
1699593440# #容祖儿在粤语区有那么恐怖吗？。。不太关注港乐。。男歌手陈奕迅是港乐最后的内裤我是知道。。而且称霸港乐那些年也有推些国语歌。。在内地也非常出圈。。但容祖儿也那么猛吗？。。粤语区同期一个能打的也没有吗。。印象中杨千嬅在hk不是有几年也挺猛的吗。。感觉好像容祖儿的歌也不像陈奕迅这样在内地出圈呀，在香港
1704178526# #港星动态|吴启华时隔21年后再扮张无忌
1699593573# #93年港星片酬pk
1691559531# #发布了头条文章：《“戏混子”刘涛，终于把手伸向了另一个圈子》
1701343938# #【教父】曾经让我受苦的，如今一个都不能放过！
1693634243# #发布了头条文章：《李莲花、方多病回应《莲花楼》有第二季？成绩炸裂，第二季可期》
1689049822# #“反者道之动，弱者道之用！”
1688353464# #“以前和未来，那个是他？”
1704352294# #“决定命运的是时代，也是我们的性格！”
1702989636# #“操千曲而后晓声，周星驰的功夫梦！”
1689907960# #“仿佛是一场人与自然的较量”
1693633706# #发布了头条文章：《曝柬埔寨依晴被控制，出入酒店双腿打颤，脖子有针孔，手势疑求救》
1688977866# #“丁元英，非启蒙时代的踽踽独行者！”
1702110341# #华盛顿·欧文说:“那些强盛的人是多么轻巧地在对失败者发表英雄主义的宣言他们无法理解，即便一无所有，只要生存下来，那不幸本身就在提升着生命的价值”
1693044673# #发布了头条文章：《想复婚？前婆婆联系韩安冉，小猪深夜发文忆往事，内涵兜儿没钱》
1688353422# #“为难的是感情，脆弱的朋友关系！”
1694496284# #不得不说，小太妹们贡献了中国有嘻哈的半壁江山。。。只是可怜了乃亮成为了中国新说唱的第一块基石。。。但凡说唱圈出个什么事儿，乃亮都会被拉出来踩两脚。。。小璐是既然是去烫头发的，说不定周姐也只是去学rap的。。。只不过小璐的卷发棒，现在可能是周姐的麦克风。。。另外，从金马影后到流量主播，可以很明
1704774151# #一口气看完《偷天换日》，《监狱风云》喜剧版是颗沧海遗珠
1702109103# #“失败的只是事，茶叶比咖啡更加睡不着！”
1687920648# #“里程碑作品，小鲜肉的时代要过去了！”
1697106838# #发布了头条文章：《假唱，流量，歌混子，这一夜香港老牌明星们把内娱真面目撕得粉碎》
1687750456# #“致安欣，一个孤勇者的选择！”
1694323188# #发布了头条文章：《张兰再揭老底！曝汪小菲进军韩国与宋慧乔暧昧，担心女方傍上儿子》
1691640667# #发布了头条文章：《黄秋生金像奖上拥抱刘青云，刘先生满脸的敷衍和抗拒太明显了》
1702896379# #【张耀扬】乌鸦哥近照~
1703160181# #“港片文艺史诗，另一种武林！”
1701859026# #“动作满分，文戏风马牛不相及！”
1695113659# #发布了头条文章：《17岁黄多多参加舞会，浓妆艳抹露小蛮腰、事业线，笑脸被指很阴森》
1702289869# #“时代之下，唯有无厘头道尽人生！”
1692865254# #发布了头条文章：《明道一家三口逛街被拍，老婆7个月孕肚超大，3岁儿子帅气像爸爸》
1702643320# #说明目前所谓的“正常人的生活”其实是奢侈的。有房有车有婚姻有娃是非常奢侈的事情，背后需要很多付出和代价。
1702207060# #“只是越长大，就越觉得星爷牛X！”
1689065506# #“他高攀了你，为了自尊心他就要打压你的！”
1701490701# #张耀扬超话时装走秀《古惑仔》“乌鸦”张耀扬
1691994690# #发布了头条文章：《原来90年代刘德华的演唱会造型跟2023年华晨宇比，有过之而无不及》
1704271342# #“喧嚣与孤独，构成人生的全部迷局！”
1703649436# #杜琪峰说王家卫电影感强，时下导演望尘莫及。王家卫话题杜琪峰话题电影话题繁花话题
1693044777# #发布了头条文章：《中国好声音停播！网友：明智且有必要，期待回归》
1692771857# #发布了头条文章：《林心如谈七夕称像过鬼节，和霍建华更注重214情人节被批崇洋媚外》
1689065574# #“童年的治愈，解开一切矛盾的钥匙是钱！”
1703742352# #“粗看像正剧，细看像琼瑶剧！”
1697107009# #发布了头条文章：《张颂文粉丝把张纪中骂上热搜得罪圈内大佬，张颂文该何去何从》
1699276031# #兔兔
1693388961# #发布了头条文章：《秦霄贤和哈尼克孜被曝恋情！甜蜜蹦极相拥亲，十指交扣不避镜头》
1688095760# #“一人压住京海，都在等一个结果！”
1704889227# #中国动作巨星的好莱坞高光！。。Woooo-Aaaaagh！中国功夫闪耀好莱坞，2000年，成龙、李连杰、洪金宝、甄子丹+李香凝（李小龙之女）、唐季礼导演+白灵，登上美版GQ三月刊，动作巨星们的潇洒帅气瞬间，中式英雄强势炸开老美一线大杂志还是非常酷炫的；。。那时李连杰和甄子丹也还没有合作张艺谋的【英雄
1702989869# #“密探中的发明家，无厘头的时代已经结束！”
1703065066# #人可怜又可恨。
1704888662# #王家卫和郭敬明居然还双向奔赴过😂。。郭敬明想当王家卫电影编剧，王家卫夸他是日漫美少年想让他出演自己的电影。。。郭敬明当导演，王家卫多少有点责任。
1703064487# #“武者何为，天下莫能与之争！”
1693199191# #发布了头条文章：《消失一年，回看李易峰，他既可恨可悲，又可怜》
1702893341# #“他没拿终身成就奖，也是这座奖的遗憾！”
1689065866# #“君不密则失臣，臣不密失其身，几事不密则成害！”
1702730223# #“时间之门，在我们的心里！”
1692513232# #发布了头条文章：《郑恺喜得三胎再添锤！苗苗已入住月子中心，获女儿看望后不舍告别》
1703160078# #“从故事交代来看，一个血腥的道理！”
1704340403# #“高启强何尝不是祁同伟！”
1688354286# #“赢在了恶，却输在了善！”
1692772350# #发布了头条文章：《炫富拉仇恨？张雨绮直播言论引争议，自称699元买不了一双袜子》
1702730165# #“逆转时空，回到过去！”
1703072371# #【陈冠希】无限期退出娱乐圈！
1699017009# #扒一扒娱乐圈。。1.倪妮是不是都行是不清楚不清楚的事儿，但她还是以交男朋友为主。。。2.魏大勋和谁都能玩到一起去，他很喜欢聊天。。。3.华晨宇圈里对他的评价也是两极分化，不缺资源，但很难有大众化的作品。。。4.朱一龙现在已经彻底转型成电影咖了，而且实力已经被认可，发展还是很好的。
1693044921# #发布了头条文章：《如何挺过偶像迭代，她们交出自己的答卷？》
1693469504# #发布了头条文章：《曝叶璇和58岁李国庆恋爱，晒情侣照疑官宣，男方离婚二审还未判》
1694253212# #发布了头条文章：《曝赵丽颖怀二胎停工，婆婆疑送500w珠宝求原谅，女方被曝要办婚礼》
1699524619# #被名字帅到很久
1688614315# #“甘愿充当过客的泰叔，这就是一游戏！”
1691736670# #发布了头条文章：《曹云金连麦刘云天如同把郭德纲放地上摩擦德云社面子里子皆不保》
1704332468# #“香港电影的经典之作，怀念的那些影像与故事！”
1702730027# #“古语有云：有功夫，无懦夫！”
1694763366# #发布了头条文章：《曝Lisa疯马秀彩排弃底线，返韩遭围堵，粉丝晕倒，袭胸打脸不敢言》
1689998950# #“郭晓鹏的人情世故，真是拿捏到了精髓！”
1704875048# #【昆汀】谈1992-2009年间最喜欢的电影
1691640580# #发布了头条文章：《大快人心！黄秋生金像奖上大放厥词，两岸同胞联合抵制像过街老鼠》
1687750025# #“看完27集，隔着屏幕都感到一种窒息！”
1688790708# #“陈书婷，女儿身男儿心”
1688700650# #“概念不新，粗糙的软科幻！”
1703732162# #分享视频
1703730700# #“刘华强演正派，多少有点不适应！”
1689651021# #“土狼纵有千般厌点，但至少兄弟齐心，绝不内斗！”
1688614699# #“极致哀荣，回到曾经的起点！”
1693198823# #发布了头条文章：《福原爱对江宏杰提起诉讼，网友：结个婚，把自己一辈子搭进去了！》
1703682943# #“这一段的笑，梦回刘华强！”
1695455171# #发布了头条文章：《曝杨颖新剧遭降咖，从大女主变友情出演，疑遭闺蜜背刺，本人回应》
1704889119# #拍古惑仔晒黑的未成年小谢。老照片话题古惑仔陈浩南话题谢霆锋话题想记录下此刻话题
1694763152# #发布了头条文章：《曝Lisa疯马秀彩排视频流出，全身只有一条珍珠腰链，疑被迫演出》
1704254007# #“当你需要鸡汤的时候，你已经开始松懈了！”
1704254375# #“多元素视野片，探案难还是窥探人心难！”
1704272920# #“英雄不只是迟暮，还变成了泼妇！”
1690786150# #发布了头条文章：《关晓彤穿衬衣超性感跟老外贴脸牵手牺牲太大，陈都灵连搂腰都拒绝》
1703682946# #【港片惊天大贼王】任达华演出了隐忍，掩饰了张子强本身的狠劲！
1694414110# #发布了头条文章：《曹云金邯郸巡演大获成功！现场坑满谷满，疑被举报观众再返场表演》
1692335937# #发布了头条文章：《景甜张继科风波牵出杨幂大瓜，原来她跟刘恺威只是一场丑陋的交易》
1690786312# #发布了头条文章：《突发！曹云金动了相声届大佬蛋糕被郭德纲喊话：我要平台给你限流》
1704273398# #“有人说，这部电影媲美让子弹飞！”
1691995236# #发布了头条文章：《北极鲶鱼被遗忘，张继科徐峥孙红雷占据热搜，一场巨大阴谋被曝光》
1701249321# #发布了头条文章：《曹云金出新书都不忘蹭恩师郭德纲：书的内容是为了解释那6000字？》
1704265036# #雪梨，本名严慧明。年轻时简直是亦舒书里走出来的
1704253567# #“大海，打啥呢你？”
1689907608# #“从公园到世界，传承与退步！”
1702729716# #“把路走窄了，未尝不是另一种出路！”
1702035144# #【港片经典】一口气看完《古惑仔》系列电影
1701342282# #电影冷知识。。梁朝伟：我肯定更清楚自己的角色。。《无间道》中梁朝伟和刘德华的天台对手戏是修改调整过的，本来的剧情设计是两个人要动手打架，梁朝伟认为「突然间一动作，整个戏就散掉了，不如大家坐在一起，我先说一句，然后刘德华会说什么，大家这样对出来」。述事则如其口出，他真的是花心思雕琢
1702290370# #“一代仙骨，是梦魇也是梦魂！”
1703682989# #“屈服于执念，谁都不会是赢家！”
1694763513# #发布了头条文章：《宋喆入狱6年出狱，近况曝光，马蓉住豪宅似少女疑交新欢》
1704618650# #王家卫《繁花》BGM不完整整理版。。截止16集繁花的BGM。可能整理的不完整。欢迎指正补充。💽……时间线……。民乐《喜洋洋》1958年。《夜风中》原唱徐小凤1979年。第六套广播体操🎵1981年。《赤的疑惑》粤语原唱梅艳芳1983年，原唱山口百惠1975年。《无言的结局》李茂山和林淑容1986年。《冬天里的一把火
1704161014# #“暴力之刃的两面，《牯岭街》与《天注定》！”
1704340507# #“古惑仔唔用脑，一世都系古惑仔！”
1701858951# #分享视频
1704161048# #“北望神州，香港电影没落是必然的！”
1688292563# #“她的黑化，似乎情有可原！”
1702035126# #分享视频
1693918602# #发布了头条文章：《64岁毕福剑婚礼走穴赚钱，满头黑发身材壮硕，现场题字新郎不开心》
1693917905# #发布了头条文章：《张兰直播，吃醋质问儿子，前夫罕见入镜，嘴上嫌弃，手却不停夹菜》
1702894065# #分享视频
1704334936# #“这落满灰尘的时代，讲一个干净的故事！”
1703734420# #“以为是王者，结果是青铜！”
1704888742# #由EDC操刀并亲自上身示范的Adidasoriginals2015CNY羊年系列采用了中国传统的剪纸艺术与羊年相结合，外套的面料和细节也挺不错的，但是没火起来比较冷门，当年有喜欢的朋友吗？
1688801063# #“人世间，总有一个在乎你的人！”
1695113749# #发布了头条文章：《富养女王诗龄，扎破了90后的心》
1699363557# #分享图片
1704616733# #【天涯海角】温馨而忧伤的文艺小品！
1703913052# #“七叔简直是神来之笔，周星驰真是天才！”
1688183005# #“所有的精彩止步于这段剧情！”
1702893076# #“港片中的大哥有很多，但大佬仅此一家！”
1701953813# #分享视频
1704257751# #巩俐营业，难得一见巩皇戴眼镜造型巩俐超话
1688182693# #“高启强形象塑造的非常丰满，反派中难得一见！”
1704338152# #tvb想逆转一下口碑就应该从今年开始，趁着新闻的势头好好颁奖，扭转一下大家对奖项的印象，重新树立奖项的权威度，这样以后拿奖的人观众都可以承认ta的实力，而不是让这个奖越来越差，以后不管谁拿奖在观众心里就算得了奖也水平就那样，所以近几年就算得奖的都没人拿出来当实绩了。以前拿奖的那些人现
1702893281# #“据说，这段剧情伤透了港片影迷的心！”
1691736577# #发布了头条文章：《金像奖跟刘德华合影的香港顶流，成功洗白蔡徐坤和华晨宇》
1702110231# #“这比唐人街好看多了吧？”
1703239006# #“还我的江湖梦，还我的徐凤年！”
1703732079# #“现实中，真有这种兄弟情吗？”
1704340289# #“高启强何尝不是祁同伟！”
1701861246# #分享视频
1701780756# #演唱会假唱这件事，基本相当于去夜总会小姐拉到屋里给你放一部Av。
1704716250# #半夜睡不着，重刷刑侦。被敏姐劝高捷的这段台词哭的稀里哗啦，25年前我还不懂这段话的意思，现在我明白了。
1704691125# #一口气看完《O记三合会档案》，刘青云和吴镇宇成于九龙城寨！
1691559729# #发布了头条文章：《被封杀到底！PGONE发长文为音乐崛起：想做一个正常人都难啊》
1695206332# #发布了头条文章：《陈乔恩去祭拜乔任梁，和乔任梁妈妈牵手拥抱，爸爸的举动太心酸》
1701953861# #荒原狼：不是我太弱，是超人真的太强了！
1699275329# #在乌镇最容易偶遇的就是黄老师了
1702896164# #【吴镇宇】倪永孝的世界没有正义，只有家庭和爱！
1688978309# #“为什么有格局的人，都不爱争论？”
1689218209# #“染出一片蓝蓝的天，目前为止国产商业剧的标杆！”
1702207105# #独居人士的不安
1703072203# #“一路温情，羊对狼的幻想！”
1704334539# #“这段表演由此可见，金像奖欠他一座影帝！”
1702288947# #“不欢而散，安欣的艰难抉择！”
1703328067# #“一声少帅，民国四公子之首！”
1688353403# #“前半部引人入胜，后半部味同嚼蜡！”
1702206567# #“一样素质，完全不同的选择！”
1696051347# #发布了头条文章：《44岁胡静结婚15周年秀恩爱，富豪老公发量稀疏，夫妻同框像两代人》
1703160302# #“霍元甲，他付出的代价！”
