1688810113# #她的舌头为什么那么长
1687523032# #警惕网红言论误导志愿填报当面大学开始收费的时候怎么说的，大学是投资收益高交点钱也正常。现在呢，就是哪个专业好就业工资高能考公考编就读哪个，假大空的专业不要去。
1688413043# #女汉子
1692342058# #为武汉大学点赞
1693706480# #看到没有他不行
1697851623# #看人家这手是不是苏妲己的手
1690931967# #就这样交警天天路口查，还有那么多人不戴头盔罚款也不长记性
1694955573# #这个姐姐有前途
1693196710# #短头发的好看
1687427673# #小车做的不错
1698122085# #哈哈谁生的儿子谁带
1702530016# #今天滴滴单子真差还没有，花小猪就是头蠢猪。
1694309868# #印度-中东-欧洲经济走廊印度版一路一带，就是不带中国玩
1692862248# #我还是适合拉磨
1689992267# #不管真假反正他俩挺甜蜜的
1689476695# #这衣服好看doge
1701447348# #没想到大定州还挺出名
1688044516# #又黄了
1690448034# #哇塞质量好高
1695943808# #吃了份低保，但是显示热力区过去五分钟五单，都没派给我
1701126420# #滴滴崩了看来是滴滴内部罢工了，早上还是不行。压榨司机太狠了。内部估计也是压榨的没边。不知道哪个高层的主意玩命压榨，总是要反抗的。
1692586700# #看人家的女朋友
1701215458# #好高啊
1692161584# #你个狗日的允悲允悲
1697937343# #有关部门依法对富士康旗下企业进行税务稽查郭子仪的后人也偷税漏税吗？别在台湾跳腾了赶紧回大陆受审。doge允悲
1703531430# #买个车方便
1695968788# #好好活着不好吗
1697971498# #这叫什么事，车修好了也拿不回来。
1696758807# #连花小猪都不派单的日子摊手
1688886031# #穿衣服的波多野结衣老师也很漂亮
1691797702# #电学学的太差还是没看懂
1699995053# #女人四十一枝花
1694677975# #海淀家长问张朝阳孩子如何考上清华，北京通州给诺贝尔奖获得者减免租房租金。。。读书好受到了巨大的侮辱摊手摊手摊手
1697540711# #谁家的狗子
1702730273# #我们都逃不过大数据的算计
1702297908# #第一位妹子你赢了
1693205079# #滴滴司机关闭拼车单隐藏的太深了
1700314154# #女人素颜
1699837576# #滴滴马上推出开暖风计划呲牙
1688917547# #别样美丽
1697262990# #哈哈还是平安卖保险的人多
1698880476# #你被什么栓住了
1700607061# #偶遇流氓强吻
1694862318# #你他妈的给我讲清楚，那笔我线下交易了？
1696795062# #以色列称一名中以混血女孩被绑架所以呢以色列遭全世界厌烦不是没有原因的，子虚乌有弄虚作假，巴勒斯坦再不努力国土就没了，这就叫蚕食。
1689837123# #女朋友的东西不能乱用
1699835431# #全国多地发现加拿大一枝黄花常州到处都是
1690278516# #文化越低民国越牛逼，确实这样。上海十里洋场一边是洋人买办的繁荣，马路对面都是饿死的中国人。
1695907688# #韩国妹子是如何过中秋节的？
1690716190# #常州的晚霞
1699070579# #滴滴你烦不烦
1700276549# #看上去滴滴派了单，结果是一周流水最少的一天
1688224551# #他有一米八不错了
1695627363# #一条裙子好几万你工资挺高啊
1695815840# #不冷就行
1701158509# #你接受多长啊
1696514439# #卖车的正确方式
1703460762# #早上滴滴免佣金，车被忽悠出来了单子没有哈哈
1692085684# #那个小拉平台，你还得交三百押金才你接单呲牙
1695272233# #哪个庙的香三块啊
1693592700# #奶茶有什么好喝的
1697249477# #2024国考计划招录3.96万人一千万毕业生抢，千分之一啊doge
1694788476# #台积电药丸啊
1687169228# #布林肯混的不赖见到了大大
1697790812# #中东的美军以后就深陷游击战之中。
1692423931# #真好看
1691797223# #要不是去火车站的订单，滴滴白天基本不给我派单的doge
1696755540# #这是白珊珊吗果然不一般
1697165957# #6G还没来5.5G已经到了。又是一波手机更换潮。这次苹果手机支持5.5G吗？
1692190758# #看模样下菜单哈哈
1700724520# #比尔盖茨称AI或能让人每周仅工作3天你有工作吗
1697903558# #一天破船能带多少防守武器？
1687232368# #女神在我面前端着啊
1703254380# #谁冬至还不吃顿饺子
1693262429# #是腰太细还是手太大
1698110632# #下次介绍给我
1692746717# #哈哈车还可以
1702542900# #董明珠劝诫大学生钱不是梦想我支持孟羽童
1694674047# #谁家的任性又可爱
1697329443# #这男朋友就像一条二哈
1694962425# #还挺灵动
1704039614# #2024年第一条微博2024你好
1702552311# #真是有缘人啊
1700229192# #跑一天心烦白天不派单晚上堵的死死地一整天美好心情跑一天心烦白天不派单晚上堵的死死地一整天美好心情
1704112474# #日本地震有人救灾吗
1701278885# #你别说跳的真不错
1698266608# #以色列疯狂的想拉拢我们，求而不得，会不会使用下三滥手段。
1698102593# #以色列恐怖主义真是人间毒瘤
1693058616# #哈哈我就吃个柿子
1687379105# #端午安康滴滴不敢加钱但是敢加分啊
1698869083# #当年的初恋你还好吗
1697695166# #53.7%年轻人存款不足10万元47%的年轻人存款十万，咋挣到的？
1697337525# #你小子可以啊
1701605194# #谁命这么好孙子呢
1699859603# #完事该回家了
1697178264# #跑去办理了一下灵活人员自助缴费社保和医保每月还得一千三。异地的怎么迁过来还不知道呢。唉，普通人干啥都难。修车最少十天，一分挣不了。
1701483953# #你个穷光蛋整天拿包华子吹牛逼，你的富豪邻居会揭穿你吗？肯定不会吧。美国登月是假的月球土壤是假的，我们的科学家会揭穿他吗。肯定也不会。
1693311075# #这不行啊馅都扔了
1690508797# #常州人民快来跑滴滴，有特惠，八公里十块钱。机场特惠十公里十三块钱。单子多跑不完，月入过万哦。哈哈哈哈哈哈
1696043804# #什么情况今天就是没单子花小猪都没单子
1702298904# #又到了喝冬酿的时候了桂花酒香
1688389240# #有人高频破解我的银行卡密码doge
1690032463# #跑滴滴坚持三不原则，不开轻快，不开拼车，不开特惠。维护好分数还是有肉吃的。
1700866942# #羡慕人家
1689365365# #把女朋友治的服服帖帖的
1697601157# #具体做什么赚钱呢
1689676963# #打哑谜吗
1689133667# #室外温度40度doge
1688511255# #地下车库什么味
1687920256# #现在不都流行做彩超吗
1689771553# #基辛格都一百多了，还被派来做说客。两头传话不好做啊
1690630530# #猜猜看她多大了？
1696167865# #祝你一战成名
1696166368# #扭一扭更好看
1697636129# #鹿哈是谁啊
1688693145# #高质量小妹啊dogedogedoge
1692947751# #玩笑开的确实挺大
1697870634# #大量沙丁鱼涌入日本渔港后集体死亡还不快赶紧的，新鲜的马上拿来吃，吃不完的做成沙丁鱼罐头，欧美人爱吃沙丁鱼罐头，臭了就做成狗粮。哈哈哈哈哈哈
1697944129# #我没钱没关系你有就好了
1703792896# #降价潮下燃油车真香了吗奈何油价贵啊
1687488219# #哈哈酸酸甜甜小两口
1698330306# #你挣了给我花啊
1700707765# #你换一个男生试试
1699444627# #实际证明孟羽童做红人比给格力打工强
1689768008# #不正经的吃播
1698547656# #老友记钱德勒扮演者去世精英就是这样，一群一群的出生，也一群一群的走。
1699357704# #你俩别瞎闹
1697534836# #套路太深了
1698041906# #汪峰工作人员拒绝回应离婚传闻离不离的不重要，又上一波热搜是重点doge
1703505189# #到底要不要
1698233850# #郑陆三河口是穷啊，没人打车doge
1687186308# #还是要多看看温铁军不一样的视角不一样的真相。
1690177665# #被困了，里程数跑了不少，流水没有。摊手摊手摊手，困在孟河不知道怎么回来了
1697935003# #小心你们公司把你们都裁了换成清一色硕士
1695560265# #天天下雨搞得桂花都变味了
1688655040# #租车跑没有400一天就是亏。。花三四千去租车，跑车的师傅们一天跑不到400块钱就是亏的。只知道跑网约车可以月入过万，但是不知道跑网约车一个月的成本要多少？有没有算过这笔账？4千块钱一个月的租金，一天的车租就要133块，充电三十块，保本一天的成本就要163块。。偶尔去外面补一下电，一天10块钱，一
1691672166# #阳澄湖服务区欢迎你
1698969382# #资本是在太强大了，无论乘客下的是什么单，滴滴都会以特惠派出来。司机没有选择。不开特惠就没有单子派给你，等着吧。
1699734684# #李佳琦今年卖的怎么样
1702733891# #这是你家儿媳妇那
1700177160# #果然还是大的好吃哈哈
1700559896# #滴滴这个单子有人接吗
1695823926# #还是出租车挣钱
1688784734# #谁干打老婆
1696681898# #我也想吃面
1687218729# #这不是为了保护你吗
1694953308# #爷们儿or娘们儿？
1687488056# #晚上取消了几单，被滴滴制裁了不给派单了
1700548250# #高校寒假最长68天最短26天哪个大学68天寒假？
1687040977# #瓢泼大雨常州中考加油
1689762227# #外面吃泡面香
1690213215# #两千万的项目才挣两千块钱啊
1697364274# #乡村爱情13刘能饰演者赵明远去世刘能有几个人演过啊
1691189187# #哈哈被逼疯了吗
1703128617# #今天居然是本周跑滴滴最淡的一天，毛蛋没有苦涩
1703801921# #起床送娃上学，然后上线跑滴滴
1699050778# #冬天的大雾来了，七圩渡口都停航了
1690036449# #吓死了
1697182811# #这嗓子眼真大
1701067356# #挑哪个？
1695294906# #孩子到底是谁的
1703643364# #这是女生吗
1688618077# #你大爷还是你大爷
1700023169# #花小猪是不是又调价了，9公里给11块钱还得接驾3公里。doge真是猪啊
1693172483# #这是易烊千玺
1687927827# #建议改名叫南京东南大学
1693968023# #确实好看
1691837303# #有个去宜兴站的叫一个车问问电还够不够呲牙
1697690026# #公司股价44元卖员工70元会玩会坑人
1688441308# #不吃帝王蟹算抠门吗
1700285496# #杜旭东道歉曾志伟是曾国藩的后人吗？
1694133699# #高明实在高明
1691911609# #闺女是亲生的吗
1698624440# #钟楼区交警周一早上七点半准时上线贴条，真敬业
1697881648# #原来美国人也喜欢打飞机啊
1687045992# #常州的瓢泼大雨中考加油
1688757664# #这水果吃的哈哈哈哈哈哈
1697443788# #对你老公温柔一点就好了
1701893587# #大雪节气了
1692658568# #七夕说出爱二人转整的说相声似的
1700993296# #选择失误，一个去溧阳的175免佣单没有接，一个担心去了没有返程单，再担心到了没电了续航不够。现在好了没啥单子流水跑不够了，傻逼了。doge
1698049047# #章子怡汪峰我们决定解除婚姻关系离婚快乐
1688027815# #我们抱怨花小猪价格低的时候看看滴滴，5.6公里一口价8.1。抽成比例可一点也不低。赞赞赞
1687502020# #自己挣钱自己花
1697098568# #郑强回应婚内出轨包养情妇诽谤的话就要严惩，不能败坏一个好干部的名誉
1687525939# #演唱会好炫啊
1694080098# #好好的免佣黄金时间竟然是没单子泪
1696101094# #我都收车了还派单进来的跟我有什么关系。平台的问题干嘛判责我？
1689260253# #大就是了不起
1687235338# #好大的龙
1702050669# #男朋友视角
1702711689# #终于最后一刻赢了
1698630728# #九点一过马上凉凉没单子了doge
1702566565# #这家里心眼子真多
1692827066# #会耍流氓的男生就是讨人喜欢
1688076837# #大雨天气关掉特惠试试
1695649893# #鸡毛大姐
1697193913# #粉粉嫩嫩
1698020446# #也不知道还要经历多少磨难才能把车开回来。烦事真几把多
1697405411# #这不是当年的我吗
1691652453# #漂流这么好玩了嘛
1695458124# #花小猪的免佣卡废了，要么没单子，要么还不如快车单。全额收的都不够两块钱一公里，免了佣金也不赚啊doge
1690324074# #花小猪现在取消订单要扣三块钱的。为了给司机补偿空驶费和平台信息费吧。
1690615903# #真会买东西
1688944737# #打的好凶
1693140614# #这媳妇不赖
1691116643# #滴滴做的太过分了，守着热区都不派单
1696373268# #这些女明星能带起风浪吗
1690797866# #货拉拉跟出租车一样，新车自从一上路，绝不洗车，绝不维修外观。直至报废
1697882415# #有钱人洗衣服
1695362404# #如果开特惠这个优惠就是司机出，不开就是平台出，你说要不要开特惠。doge
1697009688# #新加坡还有我们县大doge
1694908049# #只要生的是我的娃都依你
1702543066# #董明珠怒斥孟羽童请王自如来说说哈哈
1688772613# #常州今日的暴风雨，在家休息吧不出车了，昨晚有司机车子掉沟里了。
1701059566# #花小猪这个派单远真是毛病，不管单子大小都跑三公里接吗？累死不挣钱。
1697673314# #幸福的一家子
1703447499# #这段戏可真不错
1701226557# #建东学院的十点半就放学啊
1699448987# #说明天有中雨，但是滴滴没动静，看来概率不大，如果真的有雨，滴滴会发膨胀卡的。滴滴对雨的预测更准确doge
1703378074# #比亚迪这里居然没单子苦涩
1692674435# #守着热区不派单，净发来五公里外有人要去火车站让我接单。你傻呀五公里空跑不要钱啊，他出接驾费了吗？
1687751442# #还是选择富婆吧
1700579100# #狗子吃的比我好
1688957699# #生活不容易这么小就出来赚钱了
1687730610# #烧鸡是好吃
1693142534# #好好的实时快车单为啥以拼车单派，起步价低两块，里程费少三块。那为啥给了两块多奖励，不给的话抽成就超标了。是这么回事吧
1701067336# #我也害怕
1690072374# #完了小小年纪智商太高
1699449273# #人分三六九等在滴滴里面提现的淋淋尽致，满分队长一天跑的流水不开特惠。普通司机不开特惠单子有没有，高分大神不开特惠都是毛单子。
1700202411# #红绿灯前一等就几把取消这订单，这些人真几把操蛋。还有很多人几天不洗澡不洗头吗，一坐车里就有味，妈的。
1696084949# #没见过帅哥
1698310276# #出车时长达不成了
1690295120# #席地而坐吃屎
1699497667# #这也可以成功doge别忘了看下集
1699138653# #星期天是全常州睡懒觉的日子哈哈
1695472362# #亚运开幕式引导牌用3D打印制作3D打印有什么优势？
1690066903# #大暑被美国制裁的大学都是好大学
1698373653# #敢留短头发的都是美女
1694303739# #好刀
1688687309# #泰州的早高峰
1691040796# #夏天就的去海边
1695852635# #快点跑不然高速要堵车了
1688304029# #小伙子提车快乐
1700662687# #你心动了吗把她介绍给你吧
1700317949# #就喜欢看别人谈恋爱
1696491405# #这要肾亏的
1703735298# #在常州停车违法，路上到处都是这种牌子。哈哈哈哈哈哈。想停车吃个饭一不小心就违法了。
1690953703# #今天滴滴派了四单全是起步价以快车单派给我的
1690806610# #原来老外数学不好是真的
1687235373# #这是好事
1691103502# #其实你可以主动点
1700353161# #加沙人民就是龙应台的小国寡民
1688523226# #为了防止群成员网恋，群内特意安排了1名HIV群友，身份保密，请大家好好相处。
1700698923# #亮亮丽君夫妇称准备回老家了郑州不适合人类doge
1703628513# #2023最美照片东北的澡堂子像不像酒池肉林
1695756136# #这个版本的罗刹海怎么样
1687323124# #脾气大就得揍
1701146723# #男子靠副业月入过万仍做公交司机哈哈为了社保
1699191918# #大姨妈多么恐怖
1697600729# #滴滴代驾这图看的慎得慌
1697192520# #周五下午各个学校放假网约车明显不够了
1689667919# #哈哈彩礼没定下来之前不许这样
1692106031# #这是什么歌真好看
1694529233# #二手房套路深
1691765906# #河南出生人口113万，参加高考的130万。清北和985录取人数是江苏的五倍，绝对值全国遥遥领先。中考180分就可以读高中了，在江苏录取不到高中的回河南进了重点高中允悲允悲允悲
1690679184# #周日上午大家都在睡懒觉吧没出门
1697364116# #婚车这么便宜吗？宝马五才四百。
1698982287# #真是一个美女
1691477616# #好不容易到家了太兴奋了
1702261591# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！今日100元大额红包概率翻倍，福利仅1天！快来拼手速吧！
1702294865# #下雪后的北京秒变北平谁愿意就把他送回去体验一下哈哈哈哈哈哈
1695884761# #常州的出租车降价了吗
1697178865# #以色列围困加沙
1697873830# #钟薛高在职员工称已两三月未发工资夏天过去了吃雪糕的少了哈哈哈哈哈哈
1699446964# #孟羽童一年半广告收入或达400万严厉打击盗版，支持孟羽童。
1697714371# #大学弟十岁的博士姐姐终于加了弟弟微信祝你们幸福
1695544552# #唱的确实难听
1696933673# #你到底爱不爱吃水果？
1692601332# #这车算是废了
1689521625# #你看到啥了
1697076474# #这活还不如跑滴滴呢
1687065453# #这是AI换头了吧
1696513392# #凭什么是男的心虚
1700254911# #无题
1691849083# #货拉拉，小面包车：30元5公里起步，超过5公里加3元每公里中面包车：55元5公里起步，超过5公里加4元每公里。小件寄送还是选择滴滴吧，又快又方便还便宜。
1697052429# #咋生啊我也不会啊
1692932292# #想想应该去跑溧阳那单160的，毕竟白天跑一天才二百。苦涩
1701869773# #一个星期了为什么嗓子还是痒，疼，有痰。就好不了了，两天拿二百的药吃不好。
1698366414# #你女朋友想买个手机也真不容易
1693144623# #画的还挺直流
1699966978# #说的对不对吧
1693187432# #打车太便宜导致小姑娘们五百米都不肯走路，非要打个滴滴。doge
1696249096# #嘴巴真大
1690442033# #好闺蜜
1697848742# #女生求职被问什么时候交男朋友你公司，给分配一个吗
1687559802# #我输了
1693568124# #女神啊
1697788479# #大学生骑回被学校扣押的电动车算偷吗为啥扣他车呢？
1703129465# #滴滴没单子停车吃面
1700177558# #滴滴牛逼，家门口的单子派的呼呼的，他们都跑完一圈回来了，没给我一单。苦涩苦涩苦涩
1697200332# #中东打吧打破一个旧世界迎来一个新世界。
1696110496# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！『SVIP体验卡』
1697368402# #美军能否同时打赢两场局部战争？doge
1698582674# #你干嘛弄哭人家
1687964935# #你媳妇真好看
1703979475# #央行同意支付宝变更为无实际控制人谁管谁啊
1687614115# #刚刚查分出来了，735分！特别激动，第一时间联系了清华北大的招生老师，人家回答说，分是挺高的，但是芝麻信用分和高考分数是两回事，不能作为考大学的依据。
1701215444# #我有一根要不要
1695627225# #国庆假期要来了你开心吗
1704175791# #花小猪取消了中午两个小时免佣，这单子立马就是垃圾单了不值得跑了。dogedogedoge
1693196800# #花小猪你派一堆二十公里才二十几块钱的单子怎么跑，不亏钱吗，还要接驾两公里多呢。平均一块钱一公里合适吗？
1697098040# #郑强校长怎么了？多好的人啊。
1692452767# #一口香啊
1687031608# #打中了
1692580549# #挺害怕的是你到了上车点她不来，等的超时了她来了，车里一坐，师傅赶时间快点。
1689056573# #我们培养了顶级人才，但是没有提供他们发挥的平台。
1696213210# #常州的新景点你去打卡了吗
1687945280# #船小灵活好掉头
1693774469# #有钱人的烦恼
1690141575# #每日一餐分享半夜起来拉屎
1702166757# #比较累，不想起床。一睁眼都八点了，起床跑滴滴去吧。
1699962661# #那个车报废了吧
1698765973# #第三次世界大战来了
1690423146# #滴滴玩不起了直接扣钱了
1688184826# #昕弘2023年参加中考430人左右，600分以上191人，占比44%，“省一前”三所录取51人。
1689573392# #好好看看滴滴是如何冷司机的
1692062556# #走到哪里都没有单子派doge
1697011344# #一个女生大学的蜕变
1694423216# #人间胜境啊
1692759357# #情人节的浪漫
1698710903# #以色列称坚决拒绝停火等外星人来了你也这么豪横吗。
1701106926# #到底谁老公啊
1697749695# #刘芳菲回应从央视离职就不能坚持到体制内退休了吗？
1702897500# #欢迎来江南看雪
1700340937# #生活处处都是坑
1702868933# #楼上的孩子眼巴巴的羡慕
1690614824# #跑滴滴不开特惠的下场，这两单也是特惠单
1691851998# #夏天就要过去了你还不来西太湖吹吹风黑蚊子咬人老疼了。
1699534139# #女朋友不让穿衣服
1700834261# #我也要戒烟
1702543094# #董宇辉真实年薪为税后几百万左右难道挣点钱有错吗
1687680426# #太吓人了
1691414384# #今日空跑超过一百公里了常州的朋友们都来跑滴滴吧doge
1700537710# #逼我使出杀手锏
1697787830# #青岛啤酒厂被曝工人在原料仓小便这下完蛋了，十年翻不了身
1694081282# #哈哈揍他
1688897156# #这家伙比给猪按摩都累
1696624630# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！『SVIP体验卡』
1688511240# #小姨子长的还行
1694744724# #忍一忍别出去玩了
1695855343# #六点起来看五公里外小区爆单滴滴派不出去挺开心的哈哈哈哈哈哈
1702612422# #下雨冷的要死也没个好单子派，如果下雪就不出车了doge
1687306150# #车太老就不行了
1696904489# #全民皆兵的以色列
1702351951# #为什么年轻人越来越不喜欢人情世故太笨学不会玩不转
1695627906# #校园不是预制菜的试验场真的不是吗？doge
1698929275# #蔚来回应裁员10%至20%都不等到过年了
1701306608# #我缺一个老婆
1689220476# #好好一座楼一把火毁之一炬
1700011520# #滴滴打车也太贵了，42公里居然要39块钱。太贵了太贵了。
1687390016# #到了年龄还没到位的基本也就那样了
1700866977# #谁媳妇这么好看
1689341770# #孙悟空又把八卦炉给推倒了？
1698058252# #李彦宏称他招管培生从来不看毕业学校哦，公司现在有多少二本三本的啊？
1699703141# #这个男人今天累成狗了
1694469393# #每日一餐分享青春的记录
1694356038# #我勒个去
1700313646# #台湾的婚纱照有创意
1703663170# #这开水泡的红扑扑的好看
1692880393# #中国日料店会大批量倒闭吗连夜改名山东海鲜料理
1698116778# #男子看黄网一夜转账26次被骗450万哇，手机有450万还愁没女人吗，这是缺少社会经验吧
1695785062# #想结婚也得有对象啊
1696690009# #我喜欢芍药
1687323112# #老顽童
1690278586# #这媳妇也不敢搂着啊怕她揍我
1697374082# #河南居然有唐人街哈哈
1692993868# #谁说日本核废水没事的，你可以直播去喝啊。
1700280300# #羡慕狗子的悠闲生活
1698678834# #用现代的探究方法再一次发掘中医很伟大
1703879221# #明后天加班若不补休可拿双倍工资跑滴滴呢，价格会翻倍吗？
1703219812# #男子2次请婚假未获批办完婚礼被开除什么公司这么垃圾
1701397673# #扎心吧
1702554725# #滴滴的出行分在晚高峰，偏偏这时候一单不派，逼你开特惠。这招数阴险吧
1702961608# #警方通报女子言语滋扰执勤武警既然是精神病，那就送去精神病院，不要危害社会。
1693464337# #哈哈没准种子都不行
1699534934# #骗子拿傻子也没办法
1694071812# #凉了没单子了苦涩
1691935690# #你妈的我妈的都是咱妈的
1690847663# #七月份滴滴有单子没付钱，现在看不到了，是不是就永久成了烂账，拿不到钱了？
1697534253# #都是武林高手
1690036431# #老外也是相互骗
1698055857# #已婚男人的悲哀
1693435901# #还是传统的好看
1691757771# #晚上都是大单，跑不过来。
1690672728# #帕拉梅拉是什么车
1697594444# #父母的焦虑：。初中时，怕考不上高中；。高中时，怕考不上大学；。大学时，怕找不到工作；。工作时，怕找不到对象；。成家时，怕养不起家庭。。果真，。父母的一生，。都在为自己的孩子考虑，。为自己的孩子操碎了心。。我们的父母，。有金钱，省给下一代；。有力气，帮助下一代；。有房子，留给下一代；。有知识，教
1701201532# #哎呦美女可真多
1699426151# #这么明目张胆吗
1701087169# #那你告诉我为什么要建那么五星酒店
1693879492# #上午好，没单子也要坚持跑车，期待大单
1701108399# #普通人能做一个橙子就不错了
1703571821# #你别说水里泡过的就是好看
1696195075# #我的十一Plog高德icon从旗下平台抽多少个点？。。接了一个也跑网约车的乘客，他说130万可以搞一个平台，嗯，这么便宜？。。然后聊到订单的抽成，他以25%为例，说高德抽9个点，发优惠劵去掉3个点，服务器，人工等成本再去掉3个点，剩下是平台所得，他认为还有其他开支，总之不会超过10个点。。。事后我查了
1693271193# #看了你在村里那么偏远的地方发个单子还是一口价就不想去，删了吧，就是没单子休息也不想跑。doge
1691239006# #你怎么知道小姨子没有的
1699920468# #超七成受访大学生困惑如何找准人生方向谁的大学不迷茫，50后不知道哪里有饭吃，70后不知道哪里去生活，80后不知道哪里有工作。00后不知道读大学后干什么
1696319895# #去香港转转就感觉国内物美价廉了
1703505435# #教育的目的
1689195425# #老公懂事啊
1687307662# #在常州吃饭十块，停车费二十五哈哈哈哈哈哈
1698533715# #哈哈你那该死的爱情
1693106449# #我觉得她的选择是对的
1689738874# #不是互殴吗？
1697709184# #今天他们只是普通人家的孩子，提出来的问题让你觉得幼稚，假如他们是太子公主提出这个需求会怎么样呢。你猜他们会不会回去绞尽脑汁想怎么实现这个需求。如何通过力学的改变让建筑更高更大更宏达不是几千年来的追求吗？历史上的改革创新案例又不在少数。鲁班的鱼嘴梁不就是类似的方案吗！
1697337242# #这是真人吗
1697619641# #一路一带来了150多个国家
1701423016# #有个疑问养猪要煽掉那养羊为什么不用
1702100451# #好酒量
1702903003# #大雪中堵死了
1690254540# #凉了，滴滴没单子了
1691356049# #这就是武松打虎啊
1701482796# #嗓子疼的说话都费劲
1694594467# #说谁呢
1697796058# #哈药裁员降薪也这么狠吗，有没有被裁的人来说说
1689940939# #夏天就是这个感觉
1687273093# #【宿迁苏宿人力资源中心】宿迁电子厂招聘暑假工，年满18周岁即可，月综合工资4300-5000，工作轻松，报名当天安排住宿，报名电话188。。走，去宿迁打螺丝去
1690983460# #果然兔子多了就拿去卖钱了
1692074087# #又来郑陆了，就是昨天遇到那个精神病傻逼的地方。这里太偏了没单子麻烦得很。
1697532830# #既然说做给你做媳妇管她呢
1687502008# #亲哪里？
1696252465# #我有个疑问周灭商，商灭夏也是这种打法吗？
1687397731# #挺甜蜜的
1694907920# #通风坐垫坏了，这个本来就不太满意，跑滴滴坐一天背后一身汗。有没有好的坐垫推荐啊doge
1692183038# #聪明人眼里处处都是机会
1697941907# #哎呦乌克兰
1694828759# #不行我得去买点菜
1698418780# #天黑了要回家，滴滴派单过来问12公里特惠19块你接不接，不接，马上滴滴特快加价3快派单过来。跑完26块。这差距。职业坑司机没商量。你不接特惠一天不派单。。。锄禾日当日，出车好辛苦。。汗滴禾下土，每单七块五。。谁知盘中餐，没单一整天。。粒粒皆辛苦，一天二百五。。。一行白鹭上青天，老子堵在最中间。
1695039679# #房地产老总的生活doge人家说了没有炫富就是日常普通生活
1702475358# #年轻人都这么谈恋爱吗
1690769172# #滴滴今天一单未派呢。人家今天不开特惠滴滴给派单多的不亦乐乎。我这啥也没有。苦涩
1687075729# #1、受害人周某住遥观，被人冒充外甥添加微信好友，以买机票为由诈骗，转了两笔，损失56200元。因微信照片，语音等认为是外甥的声音照片被骗，大家一定注意不给陌生帐号转账。。2、2023年6月18日，受骗人杨某，住在临津花园，被人冒充聚禾客服添加qq好友，以学费退款为由，听骗子要求到唯品会商城拼单领
1703220335# #冬至的今天冷啊
1702990030# #这是你要的冬天
1692599502# #花小猪一块五一公里的单子我不跑了，里程数出来了流水没出来。
1698755700# #你们都是谁去买
1694400048# #毫无违和感
1697798439# #滴滴都给你算的明明白白的跑一天你就值二百
1697802769# #比亚迪校招一小时收到12万份简历全部都是211以上院校。
1689259020# #这不比井川里予好看吗
1690201833# #不再隐瞒正是再下
1697082378# #女朋友太色怎么办
1704025894# #恐龙园的花灯
1703709912# #淘宝将支持仅退款生意不好做了
1699656178# #这个四件套广告确实厉害
1695202164# #滴滴你一定要挺住今天千万不要派单666666666
1697799422# #为啥全国各地都在办音乐节现在人们不差钱总的找点事干，活跃一下生活，拉动一下经济，不然晚上慢慢长夜，周末两天太闲了。另外我支持加大全民竞技体育的活动，多举办点各类比赛，扩大范围，至少每个县都搞几个业余队参赛，多搞点各种联赛，门票收个五块十块的，大家有个乐子，人们也多一个收入渠道
1691972647# #娘俩差距咋这么大呢
1687608233# #做明星吧
1697951670# #女人现在都这么厉害吗
1700540253# #阿根廷新总统称35年后再成世界强国梦想总是要有的
1701141304# #下次试试不就知道了
1691089959# #你不要我也要买给你
1701917996# #孟羽童在清华演讲，看来成名要趁早啊。
1694546345# #这么牛
1692418909# #观察角度不错
1688562788# #不挑食
1700633043# #在古代，“戏子”也被称为优伶、戏子，是专业从事表演的人员。然而，他们的社会地位非常低下，被视为贱民，通常被视为达官贵人的娱乐工具。。他们不仅不准参加科举考试，无法同“良家”（军、民、商、灶四民为良）通婚，甚至在衣着、乘坐等方面都受到限制。在古代社会中，他们所处的地位是非常低下的，
1698056005# #汪峰已经有五个老婆了，前任才拍到4啊
1690214666# #不能撤没安全感
1688044756# #柳岩越来越漂亮了
1691411060# #那你直接烤鸭肉串不挺好吗
1698937887# #跑滴滴手机降温是个大问题。出风口没地方挂手机，现在这个季节不开空调了，但是中午很热啊，手机耗电快发热厉害。doge
1698588844# #哈哈不拿自己当外人
1687671646# #这个数据还挺有意思的，我看了一下18年前的出生人口，河南是112万人，但是有130万人高考。山东是112万人，86万人高考，河北是87万人，83万高考。北京出生十万左右，上海十三万，但只有五万左右高考。。你说生在哪儿竞争更激烈呢？
1687664730# #蹭你哪里了？
1690029500# #某些国家的日常
1697673654# #愿天下的女人都有这么好的老公
1701142136# #含泪空跑回市区悲催的孟河再也不来了苦涩
1703629341# #美国人民也吃上了地沟油
1703284266# #起床跑滴滴去
1698533519# #哈哈看看美女说什么
1694737909# #早高峰堵的死死的
