1692504872# #怎么会有这么多250？
1695361772# #【瞅准今年考研新闻传播类专业捡漏】今年考研考快要报名了，张雪峰对高校招生的影响将会从高考延续到考研，甚至影响会更深，为什么？对于许多人来说，考研是第二次高考，不仅仅是提升学历，是因为可以提升学校层次，可以再一次以就业为导向和兴趣爱好选择专业，那么张雪峰各种言论势必会让大量所谓热门
1691393515# #中纪委曝光一台直线加速器回扣1600万经历了3年疫情，医疗卫生行业被收拾是必然的，原因不言自明。等着吧，后面一定会有更大的瓜。
1691538541# #这条广告语说明，这家企业已经不是靠卖包子挣钱了，侧重赚的是加盟费。
1690981171# #汪峰从没有对刀郎有过任何的偏见汪峰聊刀郎新专辑山歌寥哉汪峰讲得挺好，非常会说话，坦诚，为自己加分了，另外三位呢？高晓松现在没法在公开平台说话，那另外两位呢？回应什么不重要，澄清也好，回怼也行，主要看一个态度。
1691792491# #讲真，我都替长城着急，您能不能别说话了？你们的公关团队呢？放暑假了？长城真的需要学习比亚迪的公关工作，如果比亚迪的pr水平是99分，长城只能打19分。
1691274011# #地震预警这样的预警对住在高层的人意义不大吧？
1687791298# #有人说，传统媒体活不下去的一个重要原因，是相对于自媒体来说，“老派”的价值观已经被时代和公众淘汰了，并且以一个例子说明：在婚姻和经济利益两者间，自媒体提倡可以为了经济利益放弃婚姻放弃爱情，甚至可以抛家弃子重新开始，认为传统的婚姻重于经济利益的观点已经没什么人买账了。。能说出这样的
1694405915# #这是不是城里的土豪想了什么办法去村里买了块宅基地？
1687214389# #你现在网购还常用淘宝吗淘宝、天猫都已卸载，只用京东。
1687944533# #【日本媒体：雷克萨斯中国区高管陈忱涉嫌受贿约5000万元人民币】据包括《东京事业》、《东京今日》、《横滨读者》、《日本参考》等在内的多家日本媒体报道，丰田（中国）子公司雷斯克萨副总经理陈忱被邮件举报涉嫌受贿高达10亿日元（折合人民币约5000万元）。。在中国，属于雷克萨斯的时代已经结束了。
1687731431# #发布了头条文章：《“卷王之王”超级增程”深蓝S7上市售价14.99万起元起》
1688003624# #发布了头条文章：《世界新汽车技术合作生态展落户昆山，第八届铃轩奖同时启动》
1700223700# #发布了头条文章：《“东风”品牌三大产品系列品牌“全列阵”首登广州车展》
1697004848# #全景豪华，奢享新境。与佟大为一起见证梦想的移动城堡新梦起航！。距离2024款新岚图梦想家正式上市。倒计时1天！
1693870202# #在咖啡中擅自添加茅台售卖是侵权行为商业建议：食品类包括酱香煎饼果子、酱香牛肉香辣酱、酱香蟹黄汤包、酱香小龙虾、酱香萝卜条、酱香啤酒、酱香可乐、酱香月饼、酱香蛋糕、酱香面包、酱香糖蒜、酱香咸鸭蛋、酱香凉皮、酱香南京皮肚面、酱香臭豆腐、酱香火锅底料、酱香皮蛋瘦肉粥、酱香粽子、酱香
1691306825# #江苏人的身份证没注意过，看了一下网友们发的，发现是不是这样的：省会城市都不带省份；非省会的副省级城市也就是计划单列市和地市级行政区的城区都是省+市+区；县和县级市是省+县，不写地市级行政区。对不对？
1694827885# #哦？小米公司公关部出来走两步？
1687403847# #广东人为什么普遍都很瘦因为天气热，代谢快吧？东南亚国家胖子也很少，应该是同样原因吧？
1687059604# #发布了头条文章：《高能装备，非常鸥克！海鸥媒体品鉴会
1687071791# #董路，您吃您的饭，别吧唧嘴！
1693863463# #瑞幸回应男子怒砸多杯酱香拿铁是不是网红故意蹭热点炒流量啊？
1701504071# #你想说明什么？90年代初期，我爸单位买的一台普桑，上路就是20万，有什么问题吗？
1702612076# #东方甄选本次宫斗的最大赢家——高途佳品……。刚才看了一下高途佳品的直播，2万人在线，评论里好多“支持宇辉”哈哈哈哈哈，高途一分钱没花，啥也没干，市值上去了，带货量飙升……我想问这叫什么效应啊？
1695782060# #发布了头条文章：《塑造18万级高级数智新汽车门槛长安启源A07售价15.59万元起》
1689429953# #致死率90%的猫冠状病毒或已扩散吓我一跳，再一看，不传染人类，松了一口气。。不过，对于现在越来越来的人养猫猫狗狗，我并不十分能理解。如果说是中老年人，子女不在身边，养个猫狗排解一下空虚寂寞尚且合理，但单身人士宁可养猫狗也不谈恋爱，甚至青年夫妻宁可养宠物也不生孩子，不可思议，匪夷所思
1687875568# #埃安是真不怕奇瑞抽他；比亚迪忙着400万台的目标，没空也不屑于正眼瞧一下这牌子；小鹏看了一下第二档，想了想，想手刃了埃安；把高合放第一档次，还真有点辱没了顶奢这个词，这要是给库里南看到了，会不会当街自尽？第二档次中的最后一个，有人买么？
1695679705# #承德公安罚remote程序员老胡这篇文章说的非常对：“从事技术、媒体、和国际交流的人员需要接入国际互联网的情况太多太多了，如果把他们的需求都给切断，那么中国民间将封闭起来，我们对外开放的整体能力将大幅萎缩，那已经不是别人搞我们，而是我们自己放弃互联网时代的种种机会和可能性。”。可惜这
1693704361# #如果你有一个亿，还会从事现在的工作吗？还会保持现在的工作状态吗？
1692066089# #突发奇想：有没有可能，由一群媒体大咖组成一个调解团，解决一下比亚迪和长城之间的纷争？
1690712001# #刀郎经纪人发声没读过《聊斋志异》，不了解《罗刹海市》是怎样一个故事，也看不懂这歌词说的啥，不知道讽刺鞭笞的是什么，其实这不重要，怎么理解都可以，只要能看出来这不是在歌颂，不是在表达无聊的感情，而是在讽刺就行，这是艺术本来的魅力所在。。刀郎是音乐届一个特别的存在，因为风格独树一帜
1687584991# #仔细研究了一下张雪峰的视频，他这个生意，不仅可以靠流量赚钱，收家长和考生的高额咨询费，还有没有可能收招生学校的费用？因为他对一些学校和专业的推荐有点可疑。除了赚这三方面的钱，他还有可能有什么业务？欢迎补充。
1686921206# #我发现现在微博上的人有意思啊，他反对你的观点，然后跑你微博来把你骂一顿，然后把你拉黑了，今天已经遇到两个了。。咱就是说哈，你骂我没关系，想和我辩论，我如果有时间有兴趣也会和你交流一下。但是跑我这里来排泄了一堆，然后不还不让我说臭，我咋觉得你还不如绿头苍蝇呢？
1687386643# #川大对张某的调查显得失焦且碎片化媒体觉得失焦，ok，没问题，到媒体正真发挥作用的时候了。现在不是说学新闻没用吗？媒体来证明一下新闻有用吧，调查一下张薇保研的问题，还有霸凌同学的问题，看能不能出一篇扎实的调查报道。
1687583482# #我给自己设了一个时评栏目标签，叫话只能说到这儿，讲的就是一个点到为止嘻嘻，期待和大家交流。
1692948046# #发布了头条文章：《细分市场最强，深蓝SL03焕新上市，售价14.59万-19.19万》
1691456248# #有传闻说碧桂园的窟窿比恒大还要大，真的吗？有没有了解的朋友来说说。
1697084630# #不用带货，直播讲述自己的人生经验就行，那流量能超过马保国
1691382540# #据说这是华为和奇瑞合作的车，别的不说，现在各品牌在造型颜值上是越来越卷了，这个逻辑是对的，颜值往往是许多人选车的决定性因素……
1686979834# #发布了头条文章：《元气满满自由畅享2023款元Pro巡回上市品鉴会
1687213775# #杭州一企业月薪1万2半年只招到两人一、企业找这个岗位的要求一定不低，只不过采访时捡好听的说，把锅推给了求职者和电商、互联网行业；二、即便企业说的真的，宣传这样的特例也没啥意义，国内传统制造业向智能制造转型发展的现状如何？前沿的智能制造产业，例如新能源汽车，你去看看，会招不到人吗？
1687168594# #讲真，我真心建议小鹏汽车把名字改了，一定有助于提高销量，不开玩笑喵喵
1695462373# #日本的报纸也活的非常好，为啥中国的传统媒体成这样呢？想哭。
1699581189# #苏州毒地皮那事，真的是洋鬼子“作祟”么？洋鬼子太坏了嘻嘻
1687436925# #大家知道屈原姓什么吗大家都知道屈原姓芈？怎么就我不知道，我好没文化……
1697278202# #发布了头条文章：《极狐汽车考拉南京正式交付！“遛娃神车”实力打卡“南京小垦丁”》
1693485963# #被封号了还被挂在热搜上，等于是斩首示众，杀鸡儆猴。那我以后要不要继续批评理想呢？我犹豫了，你们的目的达到了，你们赢了。
1692153798# #摄影师不接受视觉中国回应从各个角度而言，我都不觉得所谓”知识产权“这个源自西方的概念在中国适用，或者说会被善用，只会被别有用心的人用来当作敲诈勒索的工具。
1689900128# #这是两人上辈子定下的缘分
1699429927# #动力强、续航长、油耗省。长安启源数智电驱。荣获“中国心”2023年度。十佳发动机及混动系统。硬核科技源解码
1687353388# #川大地铁事件涉事学生被留校留党察看现在轮到四川大学面对最猛烈的舆论炮弹了。高校面对舆情的滑铁卢案例不少，但感觉这次川大应对的还行，对于很多声音也确实没有必要回应，只要做到普世的于情于理于法站得住脚就行。这事到此结束吧。
1697848010# #发布了头条文章：《“油电同价新选择数智电驱超省新家轿”长安启源A05上市，8.99万起》
1687928656# #作为迪粉，我感觉最近有一款车（主打车型）会对比亚迪的两款销冠车型宋plusdmi和宋prodmi（都包括冠军版）构成不小威胁，虽然他们的动力技术路线完全不一样，但是在10多万级别的新能源suv产品范畴内容，他们会是刺刀见红的竞品，性价比、经济性、续航等各方面都有一拼，你们知道我说的是哪款车吗？。
1696124506# #42楼是会所。出入的也都是总裁办、商务办的小姐姐。许太有所听闻，特意去过一次42楼。。。她是黑着脸出来的。『兽爷丨许氏罪与罚』
1698127914# #有个问题请教大家：这是理想MEGA广告动态拍摄现场，在上海的城市公共道路上这样拖挂，而且开车和拖挂车上蹲了这么多人，不危险吗？不违反交通法规吗？还是说这样的情况提前向交管部门报备就可以？
1693830301# #什么叫贫穷限制了你的想象？作者说：这只是北京一所准一流小学，皇城里还有许多真正的贵族学校。
1697322264# #“超级爆品”智己LS6。上市48小时。锁单突破6,000台！。21.49万起，全系配备激光雷达。超百项尖端配置。入门即满配，即刻下定！。智己汽车
1702167344# #文科都是服务业？要是文科出身的相关部门领导把你封杀了，你张雪峰才知道天天满嘴跑火车的后果。
1701588913# #嘘
1690024884# #开A4玩漂移出事的那个小混蛋，应该以涉嫌危害公共安全罪刑拘。这些人当中，显然富二代比较多，但那些作死的，是活脱脱的lowB现形，没读过什么书的败家子。
1687642660# #连续第3天投诉，还在限流！/问题已经投诉2天了，现在还在限流，客户电话无法也无法转接人工，现在微博这么官僚吗？让我们这些十几年的老用户心寒啊！要让大家用脚投票你们才爽？！
1687248563# #发布了头条文章：《功率模块产业链重磅布局深蓝汽车与斯达半导体成立合资公司》
1691460597# #我一直好奇一个问题：广东人是怎么比较广州和深圳这两座城市的？
1689469661# #喜欢睡觉的时候把手举过头顶这么睡不累吗？胳膊不麻么？我的一个体会是，睡觉手不能放胸口，不然会做噩梦。
1692935619# #中国好声音暂停播出至少运作这个节目的背后利益集团需要吐一部分出来了，不然摆不平。
1690849809# #比亚迪2023年1-6月共销售125.56万辆，达到了2022年全年销量的2/3。我做个预计，全年260万台？
1690937344# #我赞同留几手对理想的看法，但对新能源车的这段话过分了。照他这么说，不用发展新能源车了？电池安全性会成为新能源车永远的短板了？他当然不会不知道用发展的眼光看问题这个道理，之所以抛出这样极端的说辞，说到底还是为了流量，作为老一代大V，他当然是会玩矛盾冲突技术的。即便他不在汽车行业赚钱
1692692088# #发布了头条文章：《2023（第二十一届）南京国际车展横跨中秋国庆超长黄金周》
1687949332# #张雪峰建议不好好学习带孩子到四个地方那像我这样挤地铁赶高铁飞机出差，回来后再坐地铁转夜班公交回家算的哪类人？不坐长途大巴是因为出差的线路不需要，不坐绿皮火车是因为工作效率不允许，而不是因为我有钱。
1695906091# #许家印已被依法采取强制措施我侧重关心2.39万亿的债务怎么解决？这相当于2022年苏州市的GDP。
1689805826# #女主播大面积裸露推荐隆胸产品被罚60万不至于吧嘻嘻，那监管部门有没有看过拼多多上的的一些商品推介图片呢？嘻嘻嘻嘻嘻嘻
1687159127# #看到一位网友的评论把我笑死了：“李想是微博车企顶流”，哈哈哈哈，这个评价真是实至名归啊，要不要铺个红毯给他走一走啊~~
1689476741# #满屏的，张嘴闭嘴的“信息差”，一个被张网红带火的概念，就差有这个概念股了。到底什么叫信息差？你真的知道吗？张雪峰说的那些玩意儿算得上信息差？。细想一下，张雪峰说的那些事情你百度不到吗？更重要的是，利益阶层凭啥把他们掌握的，真正的，不愿意告诉人的游戏规则告诉张？能告诉你的，能说出来
1689831929# #山东莱荣高铁偷工减料被举报又是新华社《经济参考报》王文志老师的杰作。这也说明了一个问题，现在的重大调查报道，似乎只有央媒平台才能发的出来。
1689467668# #母亲怀疑女孩偷拍儿子将其头砸流血重庆地铁现在是不是有癔病的人非常多？哪里来的自信？这大妈的儿子貌比潘安？遇上花痴女了？心理医生不够用了
1691044540# #想知道是哪个汽车品牌找余华做广告，一定是豪华品牌，《十三邀》里的那些汽车品牌吧？
1687602495# #我印象中，我的母校第一次出了省状元！祝贺呀打call打call打call
1693360546# #华为mate60想请教懂行的朋友：华为Mate60pro搭载的麒麟9000s芯片，要用多少纳米制程的光刻机才能生产出来？
1686868421# #工业和信息化部装备工业发展中心产品审查处处长姚勇接受纪律审查和监察调查。有人说这是长城举报比亚迪一事的后续，说出这话，说明没有政务常识，也不懂官场，原因如下：。1、举报一事发生至今还没几天，就算主管部门启动调查，也绝不可能对事情本身这么快下定论，此类官方调查的流程非常严谨和复杂。只
1692273275# #中科院博士被骗至缅甸一年缅甸政府军不是对付不了军阀的团练吗，这边不可能出兵，外交协调作用有限，又不能指望小粉红和战狼们，怎么办呢？有一个办法，雇佣兵，他们不代表谁，拿钱干活儿，多好，省去许多国际麻烦。
1690455073# #同感
1687433030# #15岁女生答72岁复旦教授热爱诗歌的人有什么不一样？悲苦的现实可以用诗歌来滋润和调剂，在精神世界里追寻美妙梦想和浪漫气息，哪怕能让心情好一点，也是有价值的。
1698036075# #评论中的共识：高兴的太早了
1694674916# #发布了头条文章：《颜值爆表！东风纳米首款车型纳米01更多信息曝光》
1693300030# #哈哈哈哈哈哈哈
1686917037# #新闻学教授怒怼张雪峰我也不建议报新闻传播类专业，原因是这是个不实惠的专业，需要热情和情怀去支撑，如果去媒体，辛苦而且收入不高。。但网红张雪峰的说法完全是胡说八道，他连媒体行业的皮毛都没了解全，他只有从自己网红和自媒体的角度认知传媒行业，却并不了解真正新闻人可以放弃许多去追逐很多
1695389834# #发布了头条文章：《海豚第50万辆下线推出50万纪念版售价12.68-13.98万元》
1699868201# #今日经典评论：格力之虎，来去自如坏笑坏笑坏笑
1695349543# #再刷记录，深蓝汽车14个月销量突破10万辆！。刷新自主新能源品牌十万销量新速度。十万深蓝，同行有你。感谢每一位支持深蓝的伙伴。深蓝汽车期待与你一起先达未来！。深蓝汽车十万深蓝同行有你
1698792827# #拥有教师编制的他们后悔了。1、连张雪峰都不建议报考师范专业了；。2、各地尤其是乡村的幼儿园中小学撤并已成趋势；。3、人口趋势如何，有目共睹；。4、一个问题：公务员、医生、教师，体制内的这三大主体队伍，哪个群体最为庞大？你觉得谁会最先遭遇危机？。话只能说到这儿
1690937841# #转发微博
1687151725# #李想真是嘚瑟的没边了……
1691407870# #如果小米的车真是这样，那就太可怕了，送我都不要
1703563747# #我一直很好奇，那些喜欢在直播间里给美女主播花钱刷礼物送大飞机大火箭大游艇的男人们都是什么心理？那些榜一大哥都是什么心理？有钱没地方花？就图个开心？这有啥开心的？我不理解这个世界……
1692487573# #发布了头条文章：《售价26.69万元新岚图FREE正式上市》
1687391762# #看了一下网红张雪峰微博下面的网友留言，我笑翻了，都是些：张老师挺住啊！我娃还有几年就高考了，等着你的填志愿建议呢！。我想问这些家长：你了解自己的小孩吗？知道他们的兴趣和梦想吗？如果没有兴趣和梦想，也好办，就在语数外理化生史地政九门学科中选一门成绩最好的，在这一门的范围中选一个专业
1693554797# #右边这位嘉宾真不容易，憋不住想笑但还极力控制不笑出声来
1694506165# #发布了头条文章：《AITO问界新M7系列发布即交付，售24.98-32.98万元》
1698827990# #极氪10月交付13077台。交付、大定双创历史新高。超17万台零自燃刷新安全上限。连续9个月同比增长。纯电汽车行业第一，全球唯一
1690328318# #这是不是等于长城公开说：龙猪是我的人
1697505204# #【长城汽车再有高管离职？】长城汽车内部人士向腾讯新闻《远光灯》透露，长城汽车股份有限公司副总裁傅小康已经于半个月前提出离职，不过目前还未正式离职。“目前公司系统里还能看到他的账号，但是确实已经提离职了，还未确定谁来接替他的工作。”上述人士称，魏建军多次挽留傅小康，“但他最终还是决
1690164415# #谁能介绍一下宝能集团和中炬高新一事的来龙去脉啊？卖菜出身的姚振华，二级市场的饿狼，王石扛不住他，把从奇瑞手里买来的观致玩歇菜了，债还完了吗？这次又是什么幺蛾子啊？
1687245650# #李想这几天在微博上的风格有所变化，从热衷怼人变为卖乖，透着春风得意马蹄疾，一日看尽长安花的味道。我忽然在想，他的车主是不是大部分都是微博用户啊？如果真的是，那看来我不适合玩微博偷笑偷笑偷笑
1687412307# #手机号实名制已经10年了1、虚拟号码怎么说？2、方便了谁？
1690017529# #山东大学不是985吗？还有哈工威也算985呀
1687737612# #你们现在每天把我的流量控制在1万，而我22号那天（被你们限流之前的最后一天）流量是110多万，你们到底什么意思呢？不方便解释吗？ok，我会经常问的。
1700224349# #发布了头条文章：《搭载智混四驱系统，长安马自达MAZDACX-50行也HEV正式上市》
1687431845# #国人买iPhone14Pro需9.5%年收入看来是我拖后腿啦呀！别说8000块的手机，4000的我都嫌贵，我买过最贵的手机是2500……
1687429390# #银川爆炸烧烤店救援现场监管部门在这起事故中有责任吗？液化气设备企业有责任吗？
1702439675# #张雪峰是教育咨询届的小酸奶，。小酸奶是汽车评论界的张雪峰。
1691272590# #涿州市不回应一下那位记者朋友圈的内容吗？
1690169842# #转发微博
1689491212# #重庆地铁被打女孩将走司法程序如果构成故意伤害罪，就可以判刑了，这泼妇这么激动地证明儿子的“帅”，那就帅出点代价。
1686973152# #张雪峰我离被人搞不远了张雪峰如果继续这样说下去，有关部门不会坐视不管，只不过现在还没突破可以容许的界限。
1697443349# #清华博士后当交警15年勘查无错漏记得广州市公安局有位刑侦技术专家当选了中国工程院院士，这位博士后交警会不会是第二位警察院士？
1697160843# #发布了头条文章：《“超级爆品”智己LS6正式上市，上市权益价21.49万-27.69万元》
1696296179# #教训：不要给任何人的贷款做担保
1703317230# #东方小孙辞任非执行董事是自愿还是老俞的意思？如果是后者，那非常好理解，就是老俞希望在表面上进一步和小孙切割，进一步将小作文事件的全部责任推卸掉，也就是说“谁说我要去董宇辉化？全是小孙瞎搞！”如果是小孙自愿，那也好理解，就是进一步帮老俞背锅嘛，对就是我的锅！我是坏人！我愧疚，和老俞
1687269308# #南京已经没有大厂了苏宁并不是互联网大厂的基因，而且还得感谢南京女婿刘强东在商战中抬高了苏宁易购的身价，否则苏宁跟互联网根本不沾边，就是个卖空调的。。袁亚非的宏图三胞算大厂？你是在说笑吗？一个在珠江路卖电脑的，发迹之后被忽悠买了一堆国外没人要的百货项目，最后血本无归，算哪门子互联
1696728393# #转发微博
1687244172# #蔡崇信吴泳铭出任阿里董事长和CEO阿里集团的业务，其实许多人都能看得出来，不论是从企业自身发展、行业现状、经济大环境，还是其他一些不便多说的原因来看，都遭遇了瓶颈。换帅、重整集团架构，都是是换新思路，新战略，但马老师能否踩住下坡时的刹车，难说，也不完全由他说了算。
1691920421# #体制内离职的人现在怎么样了我的一个朋友，8年前从体制内离职做律师，现在已经是律所合伙人，身价多少不知道，只知道他现在开的是140多万的帕拉梅拉。
1695604434# #吃惊吃惊吃惊
1694481742# #发布了头条文章：《四驱精致悦野SUV奇瑞探索06南京上市，11.69万元起售》
1686924531# #新闻学教授怒怼张雪峰其实我更想说另外几个问题，例如，除了把张雪峰的内容当脱口秀和相声看的人之外，视他为正真有价值的受众是哪些人？。这么说吧，有几个中产家庭需要张雪峰来指导如何填报高考志愿？他们中大多数人的见识、经验、阅历至少知道怎样的专业选择适合小孩，知道如何避免跳坑。例如家长
1686995824# #一颗老鼠头为何要省级调查组才能查清很简单，因为在许多地方，以基层的社会生态现状，还原真相和匡扶正义就是笑谈，上面不出手根本搞不定。
1689518180# #湖南通报微信群不雅信息事件先是供应商回应说是病毒入侵攻击，现在是职员称微信号被盗用，下一次回应会不会说是手机被外星人👽抢了呢？哈哈哈哈哈哈
1701675125# #涉及违法的，我们会一追到底！在此也奉劝：干了坏事，于心不安的参与者或是知情者们，欢迎联系我们，将视情况，在符合法规的前提下，进行减责或免责，并结合其提供线索及资料的价值，给予5万-500万元的奖励！
1698128809# #@上海交警
1694494173# #中国民营企业500强公布比亚迪排第10、吉利12，重点来了，长城59，去年比亚迪的营收是长城的约3倍。
1687093812# #选offer先说比亚迪，你还心心念念的要进大厂？现在哪个互联网大厂还能比迪王吃香？大厂现在裁员都裁不过来你还要进大厂？而且从长远看，新能源汽车行业在中国绝不会逊色于互联网行业。而且，要注意一点，在西安年薪28万，不是在深圳总部28万，收入消费比太舒服。。再说烟草，这个根本不用多说大家都
1699075785# #蔚来发内部邮件，确认将裁员10%
1699073288# #发布了头条文章：《搭载四驱系统，MAZDACX-50行也HEV正式下线》
1692074476# #一个医生的一家之言，想听到医药行业更多的观点，真实情况究竟如何？
1692966397# #发布了头条文章：《诚意拉满，13.37万起睿蓝7开启全球预售》
1690804303# #北京升级发布洪水红色预警有没有超过2021年郑州720暴雨的降雨量？
1695342591# #她被困在考研考编里的五年对于刚毕业的，没有工作经验的学生而言，很容易把自己局限在考研考公里，当然，这其中有相当一部分也和家里的意见有关。。其实，这个世界极其广阔和多彩，选择非常多，多出去走一走看一看，了解自己未知的领域和空间，了解不同的活法，机遇往往就藏在你的探寻摸索之中。如果
1691588034# #我们在一起，才是中国汽车！
1686992949# #发布了头条文章：《纯电驱动长续航低能耗深蓝S7超级增程技术震撼亮相》
1702275232# #蜡烛蜡烛蜡烛
1693804109# #肯定选1个亿啊，这还用问嘻嘻嘻嘻嘻嘻
1687178215# #调查称53.7%年轻人存款不足10万首先，这里的年轻人的范围是什么？第二，他们买房了没有？成家了没？有孩子没？如果这些问题都不在分析条件内，光是统计存款有什么意义？
1687423460# #河北科技大学通报学生跳楼身亡学校否认教师学术不端，坐看有没有反转。
1690839656# #北京升级发布洪水红色预警台风给北京带去了洪水，是不是前所未有？在气象史上，台风最北影响到了哪里？黑龙江？
1692606040# #这个套路叫戳脚翻子
1692758586# #看到昨天一款新车上市的消息，才知道生产北京212吉普的北汽制造（非北汽集团）已经被主业为纺织和铝业的山东魏桥创业集团控股了，在此之前是属于山东一家生产老头乐的企业，北汽制造此前的产品也基本和老头乐相差无几了。。这事挺有意思，不仅华为、小米、百度这样的头部科技企业下场造车（当然他们有优
1697161831# #发布了头条文章：《为了让用户在车内更安心，比亚迪真的是用心良苦！》
1697440777# #解码愉悦驾乘DNA。解读“牵一发而动全身”的底盘调校。10月16日18:00-21:00。硬核科技源解码系列。长安启源A07硬核继续
1694175358# #脱口秀演员称城市越穷事越多还有人说脱口秀啊？真是头铁他妈给头铁开门，头铁到家了？还不吸取教训啊，你惹得起谁呢？你不是惹了合肥文旅部门这么简单，这么玩，全国各地的文旅局都怕你，你还怎么挣钱？转行吧……
1693056943# #后续视频显示，该车型指导价119万，但是工作人员说要按照“市场价”170万卖，加价51万，重要的问题大声问三遍：凭什么？凭什么？凭什么？？！？建议市场监管部门和税务部门严查。
1702887239# #董宇辉任新东方文旅副总裁这就是去董宇辉化的措施，让他去文旅板块，逐步弱化在甄选的出镜，这就是目的。
1690017088# #满屏的“山河四省”，这个梗或说概念是怎么来的？除了地理上靠在一起，还有什么共同之处？
1694685353# #发布了头条文章：《凭“超级增程”实力霸榜深蓝S7斩获30万以下增程式销量月榜TOP1》
1692004881# #当你被缅甸语专业录取这样的微语种就业前景不会差，考公，做外贸等等都是选择。不要拿缅北吓人家，那里不需要缅甸语，汉语就行。缅北的罪恶迟早会被铲除。
1691825489# #妻子实名举报医生老公每年药品回扣十几万这个数在医疗行业里算小虾米吧？
1691725885# #对长城没什么意见，但真心觉得长城未来会非常难，现在这个集团的核心竞争力是什么？技术？营销？海外拓展？
1689894713# #中建八局谁给你的胆王文志出手，一般都会有副部级倒霉，所以，这次中建集团会有高层进去吗？
1702608892# #我的抖音：汽车经济调研。每天发布热点新闻评论，不限于汽车行业，欢迎关注~
1689415547# #【填报专业你就听张雪峰的了？有没有想过反向操作？】。前两天和一个长期研究中国教育问题的朋友聊张雪峰、职业规划和专业填报。他说，今年真正聪明的考生和家长，应该抓住张雪峰舆论影响的机遇，进行反向操作，这是千载难逢的机会。。如果听张雪峰忽悠，扎堆去挤计算机、法学、会计之类的专业，先不要谈
1692335206# #我的微博为什么无法开直播？提示“您的帐号存在异常暂时无法开播”，你们整天在搞什么？怎么这么多幺蛾子？
1687394784# #千万别在下午和晚上买机票这情况我倒是没遇到过，只是经常遇到飞大湾区的航班因为雷雨原因取消。
1692142376# #聊个校外培训还能聊出敏感词来，我研究了半天实在不知道哪个词是敏感词……
1692282680# #女子凌晨被短信告知航班提前3.5小时起飞如果没赶上飞机，航司应该几倍赔偿。
1689515144# #敷衍爸妈报的学校结果录取了我觉得这孩子并不是在凡尔赛，而是真的对这个录取结果不满意，英语师范专业，未来真的很难看好。建议这孩子转专业，或者考研考别的专业。
1694168005# #发布了头条文章：《一触即发丨蔚来ET5型动赛道南京站正式启幕》
1701928635# #微博和抖音真的是两个舆论场，虽然说微博平台的内容质量大不如以前，但还是比纯娱乐化的抖音高的多。比如抖音那个用各种奇葩手段出圈的小酸奶说车，在微博上几乎没人知道她，说明微博的底线还没低到抖音那个层级，如果你是个善于独立思考的人，就远离抖音。
1687303508# #应届大学生就业重心继续下沉还要怎么下沉？回乡种地？何况很多人已经没有田地里可种了。。给毕业生一个建议，如果最后实在没办法，就做个体职业者，不是说去送外卖，而是从最微小的生意做起，线上也好线下也好，先养活自己，再图逐步把业务做大，获得发展。
1687440368# #宁夏银川烧烤店爆炸事故新闻发布会假设，一栋住宅楼的住户出于安全原因，要求该楼底商使用液化气的餐饮店搬离或者停业，相关部门该如何处理？民法典上有没有法条能支持？
1691030832# #人在哪，新闻就在哪，太乐观了
1689897376# #新东方10亿成立文旅公司游学项目吗？感觉俞敏洪不会再趋向于重资产项目，新东方已经转型为赚快钱的企业。当然，本来做校外培训赚钱就不慢。
1693205888# #雷克萨斯还能加价50w，说明一个问题，这个品牌在中国市场虽然在大幅滑坡，但是还没死透，成都车展这个事情也是给公路闪电在中国的下坡路踩了一下加速踏板。执意要买的土（yuna）豪（zhong），你也拦不住，唯一能改变他们想法的，是其他土豪开始买自主品牌新能源mpv了，他们可能才会有点觉得不对劲。
1687316696# #学医很难吗我堂哥，学霸级别，某著名军医大学毕业，七年制临床。他说，学医跟上高三没啥区别，甚至比上高三还苦，所以有此志向的要想好了。
1699672462# #发布了头条文章：《荣威D7华东区上市：12.18万起售以A级车价格冲击B级车市场》
1689634576# #29岁女生入职3年月薪涨200元裸辞如果一分钱不涨说不定还不会辞职笑cry
1692145556# #央视曾评视觉中国把法务做成销售据说现在一副照片所谓的版权赔偿是500块，这个标准是怎么定的？个人觉得50块钱都不值。
1689496326# #一汽的活动站位就是不一样，他们就是中国汽车工业70年发展历史的代名词。
1686954083# #起亚中国高管称等本土企业烧死再抢市场哎起亚中国能不能撑到明年都是个问题。中国市场就是不认韩国车，加上本土新能源给合资品牌带来的强烈冲击，以及起亚基本属于徒劳无功的电动化转型，起亚在中国唯一正确的选择就是放弃中国市场。
1687342623# #川大地铁事件涉事学生被留校留党察看个人觉得这个处理比较合理，这个事情不至于把人一棍子打死。
