1692433947# #转发微博
1562652213# #这是茶吗？啥茬？
1659491460# #谁来管管？
1703080021# #胡锡进，坚定投资A股，决不买美股。
1580514231# #双黄连可抑制新型冠状病毒这个推荐双黄莲的上海药研所，17年前推荐口服洁尔阴抗非典
1680744711# #加班央企员工怒怼领导清明节加班安排？刚刚，中国电科回应，工会、劳动监察发声
1690753472# #中国需要世界，远超过世界需要中国！。。中国历史和世界历史都反复证明，闭关锁国只能离世界文明越来越远，离封建主义越来越近，离国富民强越来越远，离贫穷落后越来越近。
1624607308# #光宇穿西服更帅啊
1614127535# #他说得没错。但是作者用断章截句的方法，把党老师要表达的意思拧向了相反的方向，并在标题中强化了这种相反的表达。我不知道这个作者是蠢还是坏？
1548988853# #谁告诉你普通公众号写东西要百分百真实？人家咪蒙做的又不是新闻。
1569737450# #好看！
1682028677# #转发微博
1540362495# #当坏人没有成本，当好人有风险，怎么破？
1684647963# #转发微博
1571885699# #雪山财经网友评俞渝开撕李国庆：编剧都编不出来的精彩瓜
1626421808# #祝福！
1681436983# #转一下
1605876366# #转发微博
1605488108# #转发微博
1659432343# #美帝亡我之心不死，中国芯片还要自强
1575319679# #中国梦！
1692755910# #转发微博
1699868836# #要命题，领导跟你打乒乓球输给你了，气得摔拍子，你怎么办？。。公务员整天就琢磨这个？
1622030815# #三四郎？
1573537700# #腾格里沙漠污染调查：中冶纸业前身用污水灌溉
1655048528# #你觉得平台没责任？
1555581464# #台湾每次大选前的民调都是反的吧？
1689994729# #转发微博
1690427080# #得有多厚的脸皮，才能说出这样的话来？
1664340014# #【男子网恋被骗17万骗子称他太好骗：说啥他都信！】江苏南京的王先生在网上认识了一名女子，对方自称某艺术学校的大学生，不久两人就确定恋爱关系。近日，王先生统计已转账17万多，女友却还是不肯见面，王先生这才报了警。经查，王先生转账的账户是一名22岁的刘姓男子。民警赶赴云南找到刘某，刘某很
1690604260# #转发微博
1661218456# #黑龙江一个曾经的全国工业百强镇，2002年截至8月，全镇无一个新生婴儿。这是为什么？意味着什么？
1681684635# #你会买名校文创商品吗【无业男子冒充清华研究生成网红卖假货判处有期徒刑3年】近日，北京。无业人员张某在短视频平台自称是清华大学在读研究生，并办了一张假的学生证，混进校园，拍摄、发布一些在清华大学校园的短视频，以此取得网友信任，很快就有了百万粉丝。随后张某开始琢磨怎么靠流量赚钱，
1569740738# #她是后学的。为减肥学舞蹈，学了不到5年。
1555921678# #这几个小孩下意识认为狗是自己的朋友吧，还好只是救了狗，并没有杀死蟒蛇，而是放到离草丛近的地方了。这估计是能想象的最好的结果了。
1614231575# #普通上海人，孩子上学要卖2套房？宇宙中心大学？
1696386218# #全世界最大的蛋糕，也禁顶不住中国大妈。
1662350164# #航拍看长城美如画卷近日，河北涞源，南楼台长城出现云海景观，耀眼的五彩霞光透过层层云雾，雄伟的长城和巍峨的群山在轻盈飘逸的雾气中时隐时现，美如仙境。
1663332108# #【海底捞部分门店自带菜需收费门店：带的人太多了，门店需要经营】近日，广东阳江。有网友发文称去海底捞就餐时带了一盒肥牛两份丸子，被工作人员要求交20元的“杂项物品费”。还有的网友称，自己带了一包云吞，被收了15块钱，自己那包云吞都没这么贵。对此，海底捞官方客服称，一般不建议自带菜，
1687902406# #转发微博
1692316867# #转发微博
1700919253# #林志玲又回来了？说好的退出归隐的呢？果然是长得漂亮的女人不能相信。
1689921016# #天天打脸
1690260090# #转发微博
1692794979# #偶尔一天30公里都可以，但是连续47天每天27公里，一般的特种兵都很难做到。
1701888652# #关于南昌福彩事件，知乎上有大神。福彩买近5万倍单注彩票中2亿多还无需缴税
1640078143# #发布了头条文章：《海底捞孵化的十元店，“捞”不动了？》
1688527764# #【学生恶意篡改同学高考志愿被行拘】。7月2日，群众报警称自己的高考志愿被篡改，且已经过了网报志愿的截止日期。受案后，沙市区公安分局西区派出所民警立即展开工作，锁定违法行为人并积极劝投。7月3日下午，违法行为人项某宇到派出所自首。据悉，项某宇因与同学关系不好，在学校拍下同学的准考证号
1682311347# #沙尘暴
1549853293# #如果死马儿子也不得好死，你能怎么着？
1682256705# #转发微博
1700011941# #现在出来假装讲真话博眼球吸流量，早干嘛去了？
1543716878# #赞
1663290157# #【沈阳街头出租车打出英雄回家字样悲伤】一人一句迎英雄回家9月15日，第九批在韩中国人民志愿军烈士遗骸回国前夕，辽宁沈阳街头出租车纷纷打出“英雄回家”字样。今天，一起接第九批志愿军烈士回家！（中国青年报）
1575285821# #太对了『科学解释：为什么越是无知的人越自信？』
1626700928# #那是一个民族的一个时代的灾难。
1663367875# #【爱的力量！女子捡回流浪狗40天变化让人破防：从“鬣狗”变成有人爱的小宝贝】近日，上海。邓女士晒出爱犬“盼盼”40天的变化。起初，“盼盼”是条垃圾站的流浪狗，肮脏不堪、瘦骨嶙峋。邓女士捡回“盼盼”后，耐心的喂食、治疗、陪伴，如今“盼盼”成了胖乎乎的开朗小狗。邓女士告诉
1664238962# #【“薅羊毛”可能违法！大学生用肯德基优惠券漏洞诈骗获刑】因为薅羊毛而获刑的案件在多地均有判决的案例。此前在上海，曾有5人，因为利用肯德基手机客户端和微信客户端之间数据不同步的漏洞获利20多万元，结果因此获刑。法院一审认为各被告人通过发起虚假交易，获取退券退款的行为，是基于两个客户
1690763985# #大水冲了龙王庙？
1603705297# #这相当于在街上开枪乱扫，没打到人算运气好，应该算危害公共安全了吧？
1699834781# #为啥要教育警告？违法犯罪了吗？
1691628938# #什么情况？
1684468622# #转发微博
1687137418# #转发微博
1573013351# #中国人就不敢么？
1536749977# #买点药，放肉包子里，记住，精准投放哦！悄悄地哦！
1554363899# #俺这有一个，师太来掌掌眼？
1688974764# #改个名字，烧乌贼？
1684980825# #转发微博
1693292359# #转发微博
1614754677# #转发微博
1571057921# #小粉红们，活着不就是个笑话么？哈哈哈哈哈哈
1688252522# #你的娃在高考，千军万马独木桥，杀开血路挤进985，211。。富豪的娃不用高考，轻松进世界名校。。人生下来是平等的吗？真相当然残酷。
1684018437# #转发微博
1685186286# #转发微博
1692585329# #转发微博
1684484438# #这个是什么操作？有懂的吗？
1654739527# #你知道太多了，会不会不安全？
1572888656# #【罗永浩、金嗓子创始人相继被列为老赖，该不该用老赖形容破产企业家？】近日，网曝金嗓子创始人成老赖，拖欠近5200万广告费。是因对收视率不满拒付剩余广告费。11月3日，罗永浩称将“卖艺”还债。同日，曹德旺呼吁不再用“老赖”称呼破产企业家，你怎么看？
1685499607# #转发微博
1684917453# #转发微博
1688524277# #good
1563508156# #这哪里是炫胆量，这显然是在炫他有娘生，没爹教啊？炫智伤啊！
1701425546# #冷
1685419974# #转发微博
1689652248# #宋雨琦因说了中国台湾被韩网热议宋雨琦因说中国台湾被热议，中国人在中国说中国领土，棒子们还急眼了？
1687903460# #一语中的！
1689806928# #要的是一个态度，一个表明态度的风向标。
1693058062# #转发微博
1684648209# #转发微博
1663847109# #【最高法：依法严惩证券期货犯罪有效维护资本市场健康稳定】最高人民法院刑三庭庭长马岩22日在人民法院依法惩治金融犯罪工作情况暨典型案例新闻发布会上表示，随着我国证券、期货市场的快速发展，操纵证券、期货市场、内幕交易、利用未公开信息交易（俗称“老鼠仓”）犯罪不断发生，犯罪手段、方式方
1696601901# #两干部流出不雅视频被停职早上发了不到半小时，发现有3个标注为山东潍坊的未接来电，赶紧删掉了。既然头条新闻也正式发布了，那就重新发一遍吧。。网传，山东省潍坊市潍城区于河镇，一书记在视频会议之后未关视频，流出了不雅视频。
1682256263# #转发微博
1623812391# #马老师家房子真敞亮！
1535987432# #湖北青砖茶就是如此。内蒙，新疆煮奶茶，用的就是这个。湖南广西黑茶亦是啊。
1690112576# #支持王毅的观点。俄粉总没有意见吧？。王毅：今天的中国并不是当年的苏联，我们更无意去做第二个美国。如果谁要在21世纪的今天，挑起所谓“新冷战”，那他就站到了历史前进的对立面，就必将被钉在历史的耻辱柱上。
1684306369# #转发微博
1663733278# #河南一高校通报学信网信息被泄露【信阳师范学院通报学信网信息泄露情况：已报案，涉事学生干部被撤职】9月20日，微博发布关于调查问卷引发网络舆情的情况说明。2022年9月19日，学校在日常网络舆情梳理中发现“学信网信息泄露”的话题。对此，学校高度重视，第一时间责成学生处、校团委
1577535991# #这是个男的还是女的？还是不男不女？
1664188828# #发布了头条文章：《东亚银行紧急辟谣？猜猜看会不会有反转？》一本正经地荒诞东亚银行辟谣暴雷传言
1662105393# #【河南一医院院长当街用皮带抽打女子】8月31日，河南平顶山，宝丰县龙兴中路上一男子用皮带反复抽打一女子，该男子上衣敞开着，只穿了一条内裤。目击者表示，该男子与女子相识，因为债务纠纷引发冲突。事发后，民警到现场处置，女子被送往医院救治。据悉，该男子是宝丰艳辉眼科医院院长。
1700483018# #受过处分的官员就不能升职么？郑州
1617094574# #要不要规定住建部部长每月性生活不超过10次，司局长不超过8次，处长不超过6次，科长不超过4次？确需超过的，应严格充分论证，并加强体能和姿势练习云云？
1688966524# #老百姓怎么看洪都拉斯留学生？
1690529854# #所谓的家天下，也不过如此吧？
1663892181# #只许………不许………靠这样的蠢货老师教育祖国的花朵一本正经地荒诞偷笑偷笑偷笑奇趣视频超话
1612844068# #论打架，谁特么打得过钱？
1700691268# #一大早又吃个瓜，再次惊掉下巴。网传某大律师在经办企业破产案过程中，主办律师卷走1个亿，逃到英国，事发后欲自杀发朋友圈告别，被英国警方救下，移送回国。。。很好奇，哪个企业都破产了账上还有至少1个亿让人卷？应该又小不了。
1663852711# #【大叔托管式养600头牛年入60万】左华是新疆博乐当地的一个牧民，此前家里种植牧草小麦，忙活一年下来往往滞销导致收入不理想，后来他索性转行养牛，采用全程托管方式，只需管好犊牛成活率，饲料、防疫、技术等都不用发愁。如今左华养有600多头牛，年收入达60多万，当地已有3000多户农户像他一样走上
1682473130# #转发微博
1664282731# #【数名老人组团赶场拦婚车讨红包目击者：感觉像明抢拉都拉不走】雪山财金一本正经地荒诞9月27日，河南驻马店，十几名老人组团在马路中间拦婚车，向主家讨要香烟和红包。目击者李女士表示，附近小区还有一户结婚的人家，这一波老人是拦完那一户人家赶到这里的。结婚本来是喜事，现场这些老人拉
1682163471# #转发微博
1591856701# #江浙沪
1692834542# #转发微博
1696056139# #画面感满满的
1692655352# #转发微博
1542360200# #光宇不给大佬拍马屁的稿子，就很棒！顶一个。
1663810161# #原来润就是用脚投票啊？一本正经地荒诞
1685186294# #转发微博
1700101737# #转发微博
1687922835# #又出现鼠头！
1540783635# #赤果果地炫耀！
1663636536# #能怎样？抓了。一本正经地荒诞
1568255622# #平方还是立方？好像这个价格都不好算啊
1605540797# #转发微博
1699856391# #转发，这种事情如果是真的，对司法系统来说，负面影响太大了。为了当地司马系统的声誉着想，应该尽快调查清楚，给社会一个真相，还当地司法系统一个清白。
1701851047# #评级都是有时效性的。2015年评AAA，和恒大2022年暴雷是两码事。如果2021年还给恒大评AAA的话，那才是有猫腻。
1682693694# #转发微博
1573796878# #剧本里不是还有苍松翠柏么？哈哈哈哈哈哈哈哈
1691463118# #听说是苏州万科的业主跑深圳去堵王石了。
1550912435# #无人驾驶汽车不叫汽车了？无人飞机不叫飞机了？
1662683019# #狠毒！
1685337895# #转发微博
1682152472# #这已经不是商业培训了，这是赤裸裸的邪教控脑术！
1571792752# #雪山财经东阿阿胶神话破灭：Q3业绩暴跌80%不是驴皮惹的祸？
1693202759# #转发微博
1684538847# #转发微博
1687743785# #三代烟草人的传承和守望？把阶层固化描绘得如此清新脱俗。
1692348704# #转发微博
1688448562# #承认自己是个普通人，没什么丢人的。
1685055362# #转发微博
1604463055# #隔壁老王家够不够长？够不够硬？时间久不久？姿势怎么样？太监们分析得头头是道。
1691413571# #转发微博
1664015116# #白领吐槽饭后一杯酸奶比饭还贵【躲过“雪糕刺客”却没躲过“酸奶土匪”？专家支招教你挑选！】今年夏天，“雪糕刺客”让不少消费者的钱包“元气大伤”。而现在，“酸奶土匪”又在消费市场掀起了波浪。所谓“土匪”就是那些明码标价、价格又似乎不怎么亲民的酸奶。小小一盒，十几元起步，白领吐槽，饭
1592827426# #面前差个盆哈哈
1662585884# #民调说中国人民是全世界幸福指数最高的。
1602498238# #脑子有病，毒鸡汤喝多了。
1682672462# #谁能摊上这样子的律师？
1697079486# #造价1亿安居房未完工已提取10亿资金这事发生在深圳？匪夷所思！
1536900208# #博主意淫伤脑
1664345572# #扎克伯格跌出美国富豪榜前十【马斯克2510亿美元身价成美国首富】福布斯发布美国2022年度400强榜单，马斯克以2510亿美元身价取代了四年连续“霸榜”的贝佐斯首次成为榜首，后者以1510亿美元排名第二。值得注意的是，今年扎克伯格没有进入前十，他以577亿美元的身价跌至第11位。。。
1691548660# #转发微博
1664408608# #【研究发现孤独比吸烟更能加速衰老！三大伤害都是它带来的】9月27日，《衰老·美国》杂志刊登中美科学家联合完成的一项大规模队列新研究发现，孤独和不快乐比吸烟更能加速衰老进程。研究显示，吸烟会导致衰老提前1.25岁，而心理脆弱、失眠、居住农村地区以及单身可分别使衰老加速1.65岁、0.44岁、0.39
1664412245# #一本正经地荒诞孙悟空直呼：哎呀，被你们学到了……允悲允悲允悲
1688461209# #多读点书，是统一台湾。1945年抗战胜利就收复了。我坚定支持统一！
1691134277# #开了辆多大的车啊？
1685253568# #转发微博
1685664137# #清华和北大的名声越来越差了吗？我怎么没感觉到呢？
1604499608# #救人值得点赞，因为快递锦旗就怒了？矫情！
1663463395# #佳木斯四个城区实行3天静默管理【佳木斯发现2例初筛阳性人员四个城区实行3天静默管理】每经AI快讯，9月18日，记者从佳木斯市应对新冠肺炎疫情工作领导小组指挥部获悉，9月17日，佳木斯市城区在区域核酸检测中发现2例初筛阳性。佳木斯市疫情防控指挥部决定自9月18日5时起，在四个城区实行3天静默管
1662093318# #国资委表示：加大对国有控股上市公司授权放权力度
1663807354# #华为门店排长队购新机华为门店排长队购新机一本正经地荒诞
1572917708# #罗永浩成"老赖"被限制消费欲还债被区块链项目争抢
1636780914# #先培养点人性
1603760231# #重庆市前副市长兼公安局长也有很多大学发的博士帽，马首富的博士帽是自己读的还是别人舔送的？
1687732877# #刺客？
1551671047# #值得一转，第一款盖碗，制作太考究，反而不好清洗，差评。
1572759291# #雪山财经特朗普计划“搬家”离开纽约州政府：先把税交了
1680080814# #无论美国这么干是出于什么动机，关键是我们自己要有清醒的认识。既无须盲目自大，知道自己短板，继续奋斗，也不用妄自菲薄，认为自己一无是处。
1570260096# #抠鼻屎！
1692586608# #你就是个踩缝纫机吃地沟油的命。
1689125385# #转。2个弯都没刹住车。我居然看到了最后，还笑了。真不厚道。
1696900620# #我说过，哈马斯就是一帮怂逼，还是邪恶得流脓的那种。刚不过以色列军队，就靠绑架人质和拿巴勒斯坦儿童当肉盾。一旦发现以色列报复的决心很坚决，连头头都被斩首，立马又装孙子求饶。过了这劫，再打回去。
1689918160# #转发微博
1573288954# #“老鼠仓”也有自首的？女博士炒股7000万被判缓刑
1687483038# #转发微博
1573088815# #雪山财经特鲁多宣布一个关于猪肉的“好消息”中方证实
1691578964# #58集团被曝大量倒卖毕业生简历
1660008194# #董子健孙怡商业版图8月8日，董子健孙怡官宣离婚。企查查APP显示，董子健共关联15家企业，其中12家为存续状态，包括北京懂得共赢企业管理有限公司、南京董子健影视文化工作室、北京果实创想影视文化有限公司等，当前担任6家存续公司法定代表人，对外投资9家企业，商业版图涉及投资管理、影视文化等。
1684198099# #两个年轻人的毕业礼，谁认识？
1663543401# #不开学遭骂，开学也遭骂。真的是开学不开学的问题吗？一本正经地荒诞
1689919113# #转发微博
1684029269# #转发微博
1571235429# #漂亮！
1688699481# #鱼香肉丝馅的包子多少钱？网格黄线停车罚多少？谁知道？
1703291093# #转发微博
1663846378# #【羊了个羊走红羊肉搜索暴增4倍】近一周，“羊了个羊”游戏出圈的同时，“真羊”也在农产品圈中收获大批粉丝，数据显示羊肉搜索量比平时增长近4倍，其中90后、00后搜索量占比较高，北京年轻人买走全国五分之一羊肉。此外，很多产地农产品在“家里呆不住”，超90%的重庆、云南、宁夏、江西、河北农
1692136535# #转发微博
1661229428# #爱国青年还是要多读点书。要不怎么知道现在的日本人本来就是中国古代徐福的后代？
1573292558# #没，打错字了
1663894673# #那时候还讲点武德，反洋是真反洋，不但逼着别人反洋，自己也全力反洋。不像现在，反美喊得最凶的，老婆孩子小三存款，都在美帝。
1695989280# #爱国主义教育没有错，方式或许可以改进。你说呢？雪山财经头条号
1699416459# #宣威法院避重就轻，法院说给律师安排了有屏蔽功能的小柜子，柜子有锁。律师把手机放进柜子后上锁，钥匙给律师带走。那么法院是怎样不告而取律师的手机的？这算不算是偷？。。承认扣押了迟夙生的手机，表示因迟律师未经法庭允许在法庭内拍照，“没开庭，法庭内就可以任意地拍照吗？这种案子本身就敏感，为
1663374832# #戏子戏子和政客的嘴杜淳说绝不允许女儿出国上学出国留学是否有必要和家人坐在一起讨论育儿，当提到女儿以后教育问题的时候，杜淳和王灿纷纷表示国内教育就很好，不会送小蛋饺出国，并得到家里人的支持。父母真的会为孩子的未来做长远的打算呀做家务的男人4
1684647899# #转发微博
1549936481# #这也太，，，，
1552376574# #摊手
1659494715# #美国兵，是废货！
1690267725# #转发微博
1691578896# #58集团被曝大量倒卖毕业生简历。太可怕了！太可恨了！
1690432456# #转发微博
1664363846# #【为何今年的大闸蟹迟到了？】多地大闸蟹终于陆续开捕上市。此前，受持续高温天气影响，阳澄湖、太湖等主要产区大闸蟹蜕壳延缓。高温会影响大闸蟹进食，高于30℃时，大闸蟹会厌食、关节变软、生长迟缓等；超过35℃，它们就几乎不进食了。大闸蟹在生长周期内需多次蜕壳才能达到食用的完美体型↓你吃
1551767374# #打击拐卖妇女儿童犯罪，不仅仅是加重刑罚的事。更重要的是1、建立全国人口生物识别档案系统；2、买家与卖家同罪。过去只抓人贩子，对买家从轻甚至不追究，其实就是纵容。
1606371937# #转发微博
1688012696# #转发微博
1690259197# #转发微博
1692345504# #你要是比他年龄大，就白活了。
1571724684# #9月房价总体稳定北京二手房价再降
1702607103# #转。当董宇辉在直播间为公司辛勤挣钱时，东方小孙却两次减持公司股份，分别套现1.07亿港元和1.1亿港元，成功跻身亿万富豪之列。值得注意的是，他的减持份额超过了之前在低谷时期增持的份额。呵呵！高点套现呵呵！所以情怀都是扯的，钱是真的！后面的剧本是要看到底东方小孙和董宇辉谁会先离开了！
1696735115# #不点名谁知道真的假的？
1663741113# #转发微博
1568713524# #转发微博
1610074993# #天天盼望邻居家着火，然后自己就比邻居富了。这种垃圾人的逻辑反而是网红？
1663330553# #【贵阳警方通报女子下跪求物资】9月15日，贵州贵阳。一段一女子下跪向志愿者求物资的视频在网络上备受争议。15日晚，贵阳市南明区分局发布通报称接群众举报，有人于静默管理区内下跪摆拍上传网络，疑似蹭热度博取流量。贵阳市南明分局已立案调查，并依法处理。。这个通报没有交待清楚，到底
1689908560# #是中国采购的
1680253325# #网传日入9000摊主被关停业了，是真的吗？
1571966898# #凭你是个扛精哈哈哈哈哈哈
1578041540# #我发现了微博官方的盲盒贩售平台
1682717545# #转发微博
1693237218# #快看，那只狗越狱了！
1602559921# #报警，拿到责任认定书后起诉狗主人。
1687643442# #你吃过了吗？
1680581467# #点个赞
1700033532# #东北人口流失现象是存在的，但是我觉得这个帖子有点夸张了。进入冬季，很多东北人到南方过冬，比如海南，候鸟一样。他们应该不归入人口流失。
1683687578# #这个是在干啥？把两个活着的老头老太种在水泥里？
1537154332# #郭有病？
1600862042# #谁离开谁都能活。人活着也是活着，猪活着也是活着。
1690526174# #【外交部连续两日回应有关“秦刚被免”提问】。。7月26日至27日在中国外交部例行记者会上，西方媒体就“秦刚被免”接连向发言人毛宁提问。26日，毛宁回应时说，“关于中国外交部长的任免，新华社已经发布了消息...，建议大家查阅，我没有更多的信息”。27日，毛宁回应说：“中方有关任免消息都已经及时发
1664081052# #国庆节可以来体验吗？
1685680406# #这种情况下，我支持司机撞死白撞，有可能的话还要找老头赔修车钱。你说呢？
1687902594# #转发微博
1690755727# #转发微博
1571150545# #坚持原则不能降低标准委屈自己！90岁之前一定能嫁出去！
1662709036# #估计得有人要被干掉了。
1690592327# #转发微博
1692281646# #啥意思？看不出来是同一个人啊
1539856939# #太看得起自己了
1687156250# #【学校已与鼠头鸭脖涉事企业解约】鼠头鸭脖涉事母公司投资涉19省份6月17日，江西通报鼠头鸭脖事件调查处理结果，认定饭菜中异物是鼠头。19日，从江西省教育厅相关部门与江西省多家高校后勤管理部门等多方交叉印证确认，涉事食堂供应商为江西中快后勤服务有限公司，目前该涉事学校江西工业职业技术
1683971555# #转发微博
1699847781# #浓浓的爆发户气息扑面而来。
1692058988# #经典good
1663586545# #广州一男子连卖4套房亏200万【网传男子半价卖房遭其他业主围堵？真相：多名中介带看但业主只收全款，购房者们当场争议】日前，广州增城的一名业主将购入价2万元/平方米的房子，以1万元出头/平方米近乎腰斩的价格对外销售，吸引多人在房子处聚集，一度被传为遭小区其他业主围堵讨要说法。此前，由于
1681340063# #【杭州四季青部分市场禁止商家直播销售】今年3月6日起，“中国服装第一街”杭州四季青的部分市场宣布，全面禁止商家在铺内开启直播销售。看图再评论。
1536644135# #这个？？？
1691759764# #转发微博
1692279999# #一位独角兽公司创始人，在携程买票时被贷款了，他压根没注意，于是就产生了1000块钱的贷款逾期，影响了征信！这位老总直接爆粗口：你爹缺这1000块钱啊？。。这位老总是默安科技创始人魏兴国，他在社交媒体发文，称自己是黑钻用户，在携程网买票时，居然不小心被套路了！。。没有经过他同意，就被选择了贷
1684538901# #转发微博
1571624778# #事实证明，母猪真的靠得住，会上树，不骗你。。。“得母猪者得天下，有母猪就有希望”
1549071647# #那太好了！春节后活动争取落地
1687902307# #转发微博
1702250801# #警方最高悬赏50万通缉电诈头目【公安机关悬赏通缉10名缅北电诈头目】针对当前缅北涉我电信网络诈骗犯罪严峻形势，我公安机关先后对多名电信网络诈骗犯罪集团重要头目进行公开通缉，形成强大震慑。近日，在掌握相关犯罪事实和证据的基础上，辽宁、福建、重庆等地公安机关决定对白所成、魏怀仁、刘正
1690432801# #转发微博
1690551483# #原来和尚还可以领工资？
1593734233# #中国人骨子里只信仰金钱与权力，并不敬畏鬼神。这次也一样，大部分是凑热闹。信不信先放一边，凑热闹这事，是中国人一大顽疾。
1663499581# #你曲解了俺的意思，尽管你不是故意的。哈哈
1663633935# #该管不管
1574116255# #转【准到拍大腿：判断一个人是否属于社会底层，就看这30个特征】。1.爱看综艺节目、真人秀。。2.坚信凉茶能下火，玛卡能壮阳。。3.恨日本，恨美国，但孩子去了美日又到处炫耀。。4.经常在朋友圈中传谣。然后又删。。5.认为年入10万的公务员是好工作。。6.认为烧香拜佛就能转运。。7.看完房子之后，撇开
1572747905# #女排教练想收了李宇春《我就是演员之巅峰对决》挑战女排球运动员角色。为更好地完成作品，李宇春来到浙江女排训练场接受专业教练（前中国女排队员主攻手）的突击训练。刘天池透漏，认真训练的春春已被教练pick，称想收了她做队员。L新浪综艺的微博视频
1692790197# #胡锡进变成了胡锡亏，离胡锡退又近了一步。
1663895199# #【蜜雪冰城三年赚了近30亿，但是真便宜仅6-8元，蜜雪冰城2.1万家门店直营店37家】9月23日蜜雪冰城招股书披露，拟登陆深交所主板。蜜雪冰城2021年、2020年、2019年收入分别为103.51亿元、46.80亿元、25.66亿元，净利润分别为19.12亿元、6.31亿元、4.42亿元，三年累计29.85亿。产品均价仅为6-8元，远
1541995956# #转发微博
1650790863# #还要折腾到什么时候？求辟谣。
1683363186# #是吗？我记错了吧作揖
1663116884# #转发微博
1663597731# #【网购移动电源爆燃致父母烧伤进ICU女儿：厂方40万元求私了】沸点当事人9月19日，天津的时女士发文称，自己在天猫购买了一款户外应急电源，电池使用不过2周，发现存在自动放电情况。父亲当即联络天猫卖家客服，按照客服操作后当晚在充电的过程中发生爆燃，父母被烧伤住进ICU。现已花
1663460321# #一本正经地荒诞
1598380192# #花一千多万美金被骗游说美国政府未遂，才想起来去起诉特不靠谱。在米帝，民告官的案子比大街上的汽车都稀松平常，猴年马月都不一定有结果。就像八百一样，明知道不顶用还要打。八百是打给欧美看以搏同情，字节跳动打给中国小网红看。而已。
1692405748# #游客想提前离开购物点，导游态度嚣张，辱骂游客。为什么禁而不止？每一次的处罚就像是为这种低价购物旅游团打广告？
1663847081# #【特拉斯承认减税政策更惠及富人：准备好做一名不受欢迎的首相】
1655073894# #动动脑子，钱都被洗到境外了，怎么刚兑？谁兜底？想要拿回钱，一厢情愿不解决问题，得讲点策略。
1656452942# #支持对发国难财的严惩不贷。
1661993676# #一边鼓励大学生回乡创业，重点要帮扶乡村振兴乡村，一边鼓励农民进城买房，为楼市去库存，以房留人。双向奔赴，违和感。
1701214604# #巴菲特挚友和商业伙伴芒格去世【外媒：巴菲特挚友和商业伙伴查理·芒格去世，终年99岁】据美国有线电视新闻网（CNN）、路透社等多家外媒消息，沃伦·巴菲特挚友和商业伙伴、伯克希尔-哈撒韦董事会副主席查理·芒格于当地时间周二（28日）去世，终年99岁。外媒称芒格去世。。报道称，伯克希尔-哈撒韦在
1572049708# #我分享了的头条文章
1690841344# #好好踩你的缝纫机，争取早日回归社会吧。
1537793074# #您是把单反相机的取景器装狙击枪上当瞄准镜了？高实在是高！
1680575576# #从130到60.6是升115%？是不是故意算脑缺？
1573588865# #我刚刚成功抽到了现金红包！小积分竟能抽大礼，机会难得戳我抽奖>>
1600760479# #这不是原谅，是纵容。
1654664943# #上海封城，江苏影响都如此。
1559769047# #转发微博
1664239379# #【没素质！3岁小孩踢金毛家长在旁边大笑汗】9月25日，河南新乡。邵先生外出带自家金毛遛弯，在一处地方休息时，狗狗被旁边三岁男孩不停踢。邵先生表示，踢了三四次家长也不管还在旁边笑，感觉挺没素质的，自己很愤怒。3岁男孩踢金毛家长在旁大笑
1683976128# #转发微博
1682472302# #转发微博
1692844263# #转雪山财金公众号。乌克兰国防情报总局宣称，在过去的几周里，乌克兰的战俘交换池子里增加了200多名俄军俘虏，其中1/5的人是自愿投降的。每天有3~5名俄罗斯军人加入乌克兰发起的“我想活下去”项目，向乌军投降。“我想活下去”项目收到了22000多份投降申请。自愿投降有许多好处，包括有可能被用作换
1692417598# #咋回事？
1535864791# #隆重推荐央视的S13。
1699597072# #转发。摩根士丹利指出：中国要增加社会福利，才能让消费可持续增长，经济回到温和通胀，增加大众福利，才有信心消费。
1567071301# #商务部那个傻逼研究员，出来走一步
1687858544# #感冒了自己去药店买点药，给配了800多元钱的药
1683276866# #特斯拉恶意给员工搞福利就算了，鬼子也恶意补偿？我不相信，有知道真假的吗？
1537911036# #5个人才点14串，穷成这样，赶紧打工补贴学费生活费去，少吸点父母的血。121串和14串，脑残吃一半也知数不对，可见5个学生智商连脑残都不如，建议学校遣返回家，别浪费国家教育资源。
1687140482# #【新闻学教授怒怼张雪峰：气急败坏了？】张雪峰不过说了点自己的实话，我也是新闻专业毕业的。学校也算是985,211吧。我自己的感受是，新闻就是个不学无术的专业。大学大多数文科专业也基本如此。。。此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传
1690685451# #分享
1689990262# #基辛格的车队，随时跟着一个协和医院的医疗车，一百岁的老爷子，很难有下一次
1689417743# #转。。河北张家口，宿营地突刮大风，天上飞的是什么.帐篷还是饭桌…羞嗒嗒羞嗒嗒羞嗒嗒
1610590648# #转发微博
1681172024# #仔细想想，到底是哪边不想统一？
1685676578# #买房现负首付房子估价570万，向银行贷款570万，房主520万元卖，买房不但零首付，还能多拿到50万元贷款允悲。这种操作可能性极低，即便是真的，也不可以拿出来说，放到台面上，中介搞不好就进去了。
1693218499# #转发微博
1659057653# #这样子的狗不咬人怎么活？确切地说，狗咬谁不咬谁，得听狗主人的。
1701266357# #现在停车还必须按箭头方向停才不违规了吗？
