1702471122# #悼我同胞。铭记历史，转发传递！
1697216949# #我们要想心系祖国就一定要确立一个远大的志向，树立和培育正确的理想信念，对自己的未来充满希望，要立志为自己的未来而努力奋斗，把祖国建设成为物质文明，政治文明，精神文明的国家。
1700038274# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的李莲花/李相夷荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧成毅13
1699948868# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐莲花楼！为热爱助力，一起来推荐你最喜欢的作品吧~成毅3
1703172730# #我正在微博跨年狂欢节预约2024跨年嘉宾，可以冲跨年晚会现场门票！快来和我一起参与吧！！微博跨年开幕官成毅CY成毅狐妖小红娘王权篇CY成毅王权富贵70
1703085944# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1704468746# #微博网友喜爱人物cy成毅狐妖小红娘王权篇cy成毅王权富贵。成毅，黎明的光总会穿过黑暗，你努力追求的也总能找到答案。愿你爱的人始终如你所愿，希望爱你的人一直在。。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1703221075# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！微博跨年开幕官成毅CY成毅狐妖小红娘王权篇CY成毅王权富贵64
1698928678# #青春是用来浪费用来做梦用来努力的，你应该用这样的时光做你想做的事情，变成你想变成的人，哪怕这很难，哪怕会失败。因为不管怎么样，我都不想要遗憾，因为我不想老了之后回想起来，没有一个回忆起来能让我嘴角上扬的青春。比起失败，我更害怕遗憾。
1698504595# #在社会主义建设时期，爱国主义更多的不是表现为赴汤蹈火，壮怀激烈，而是表现为奉公守法，敬业爱岗；表现为维护祖国统一，反对分裂祖国；表现为各族人民团结互相，为构建社会主义和谐社会，实现中华民族的伟大复兴而贡献智慧和力量。
1697544592# #每日一善超话鲜花阳光信用鲜花每日一善。最好的满足就是给别人以满足。拉布吕耶尔
1703086005# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~^^微博跨年开幕官成毅CY成毅狐妖小红娘王权篇CY成毅王权富贵58
1704543224# #微博网友喜爱人物cy成毅狐妖小红娘王权篇cy成毅王权富贵。情绪低落时你是我的一剂灵药，看见你时总会露出笑颜。。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1699795781# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！成毅莲花楼嘻嘻
1703439333# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！.微博网友喜爱人物。
1699531786# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐莲花楼！为热爱助力，一起来推荐你最喜欢的作品吧~嘻嘻
1699881631# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~成毅鲜花鲜花
1704562660# #成毅超话微博之夜加速器。成毅的才华就像一匹独角兽，难能可贵。
1703172707# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~。微博跨年开幕官成毅CY成毅狐妖小红娘王权篇CY成毅王权富贵88
1699951642# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！成毅7
1697983997# #成毅：“我是一个不太愿意说自己多么心酸或者怎么样，我觉得都还好，真的都还好。我相信努力了，就一定会被别人看得到。”
1703404674# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1700130731# #微博视界大会魅力闪耀，微光同行。我正在微光荣耀入围影视人物为成毅荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的TA光芒绽放成毅5
1703601686# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1703258363# #微博网友喜爱人物cy成毅。成毅不仅有俊朗优雅的外表，更有倔强豁达的内心，真的为你开心，有越来越多的人从你的思想、作品里发现了你的独属魅力。
1700575836# #成毅，世界上有四种袋，麻袋，塑料袋，布袋，还有你无可替代。
1703516298# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1703085956# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1699712294# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐莲花楼！为热爱助力，一起来推荐你最喜欢的作品吧~鼓掌鼓掌鼓掌
1699532108# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧鲜花
1700037488# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~成毅5
1700037713# #种子计划正式启动，参与完成任务即可获得微博世界大会微光荣耀推荐机会，还有精美礼品等你来拿！点击
1698243913# #成毅：“因为只要你自己喜欢，有梦想的话，你去做的过程当中就会很有动力。”
1701256981# #LANVIN全球代言人成毅cy浪凡全球代言人成毅成毅心
1699551389# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！馋嘴馋嘴
1701597335# #微博视界大会cy成毅期待哥哥呀坏笑
1702563016# #成毅官宣微博跨年开幕官成毅哥哥我来啦！
1700293183# #微博视界大会热爱·同行！我正在微光荣耀入围影视人物为成毅荣耀推荐！你心中的荣耀影视人物是谁？一起来为TA荣耀推荐吧成毅30
1698160918# #和哥哥一起来护肤！
1699882624# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧成毅兔子兔子兔子
1703992166# #微博KING和QUEENcy和成毅点亮微博之夜cy和成毅一起定格2023。成风破浪，毅往无前。成毅，你很优秀，未来我们与你一起努力！喜欢你成毅嘻嘻。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1703482981# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！.微博跨年开幕官成毅CY成毅狐妖小红娘王权篇CY成毅王权富贵56
1700291775# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！成毅21
1697007608# #人生的奔跑，不在于瞬间的爆发，取决于途中的坚持，纵有千百个理由放弃，也要找一个理由坚持下去。能激励你，温暖你，感动你的，不是励志语录心灵鸡汤，而是身边的爱人和朋友，一定要与积极、充满正能量的人同行！
1699948924# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~成毅3
1700291742# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放成毅22
1699881697# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放成毅goodgood
1704099757# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1702299453# #职黑，请永久🈲言处理，还我们干净的网络环境，谢谢🙏。娱乐生态观察站&nbsp;@微博管理员&nbsp;
1697544865# #再见傅云深～
1700291728# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~成毅21
1699532095# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！嘻嘻
