1650668899# #人应有志，勤学，作事要有恒心。。曾国藩
1658673675# #关于南京玄奘寺供奉侵华日军战犯牌位事件调查处理情况的通报
1659536457# #赵雷《阿刁》
1693585697# #转发微博
1669937170# #蔡琴《把悲伤留给自己》
1659515418# #生活常识送给将要过七夕的少男少女自尊、自律！在吃不准的情况下，千万不要发生关系，不要随便喝别人的东西，一次催情药，终身变淫虫！新型毒品的知识点，Mark一下『γ-羟基丁酸、γ-丁内酯、1，4-丁二醇的三角关系』
1659928867# #以松山湖为节点，构建深圳中心区-光明-松山湖交通走廊。。《指引》还公布了深圳都市圈国土空间发展格局图，提出构建“三横四纵”的综合交通网络格局。其中，三条走廊将深圳和东莞全部打通：西部沿海走廊：深圳中心区-宝安-滨海湾；中部隧洞走廊：深圳中心区-光明-松山湖；中部谷地走廊：深圳中心区-龙华 
1660280032# #《安娜·卡列尼娜》 列夫·托尔斯泰。幸福的家庭都是相似的，不幸的家庭各有各的不幸。。自勉：。因为幸福是勤劳结果；。勤劳使人只看到希望，忘记不幸。。不幸则是想法太多未果的结局吧！。想法太多使人太多想到不幸，看不到希望。。。『世界名著的开头，总是耐人寻味！』
1652732939# #今天是第四个全国投资者保护宣传日，也是第三十二次全国助残日。是倡导保护弱者的日子。一早发了条有关投资者保护的微博，可惜被和谐了，说主贴没有问题，但评论有问题，希望大家理性评论，也保护一下发帖的弱者允悲。
1676803788# #结婚后并且一生幸福的唯一前提，是你无条件的退让。
1692527765# #美国足球联盟杯决赛，成为举世瞩目的焦点。北京时间8月20日早上，迈阿密国际做客Geodis公园球场挑战纳什维尔。梅西轰进世界波，门将自摆乌龙，90分钟1-1之后进入点球大战。点球大战10-9，总比分11-10，迈阿密国际夺得队史首冠，梅西斩获生涯44冠！。。内容图片11-10！梅西44冠，迈阿密首冠：球王被抛起庆
1674719269# #转发微博我觉得秦桧的人生跟汪精卫都有高度相似性，都是“如果死在二十几岁，就是英雄；死太晚了，就成了汉奸”，都是“生前极力粉饰，死后臭名昭著”，都“死得很及时，没得到历史清算”。
1668763119# #综合外媒报道，当地时间17日，众议院共和党议员以涉嫌犯罪活动为由，宣布对拜登家族的活动展开正式调查，并称其中一些活动可能对国家安全构成威胁。。此前的美国中期选举中，共和党以微弱优势超过民主党，赢得了对众议院的控制权。美媒称这意味着共和党获得了对总统拜登发起调查、限制支出和制定议程等
1681890045# #生命里，有一位知音，是一生的幸福。生活中交一位好友，是一世的快乐。感恩此生相遇！早上好微笑抱拳
1662691510# #东方财富中国移动（600941）东方财富
1667841453# #分享视频歌手：MichaelLearnsToRock《FairyTale(春满东方2016群星新春大联欢)》
1662103755# #【收评：沪指震荡微涨0.05%两市成交金额不足7500亿】财联社9月2日电，大盘全天高开后震荡，三大指数涨跌不一，权重股表现低迷，上证50指数创调整新低。盘面上，北斗导航板块爆发，板块内个股掀涨停潮，灿勤科技、神宇股份20CM涨停。导航股大涨带动通信、军工、芯片等相关板块集体走强。此外低位题材
1673056476# #转发微博
1662309980# #【男孩命悬一线，这名军人一个猛子扎进水……】日前，邢台市信都区北小庄乡龙门村一男孩意外落水，情况十分危急。回家探亲路过此地的武警河北总队邢台支队某股长潘玉坤边跑边脱掉上衣，面对深不见底的水面他一个猛子扎了进去……哪里有危险，哪里就有人民子弟兵！致敬潘玉坤！致敬中国军人！见义勇为
1659160340# #本来想找个高参，谁知道啊？捞到一个神勇的先锋。更好！
1658759678# #生活常识生产小经验《传奇大掌柜》民国时的北京（北平），餐饮行业以鲁菜为主。前门两大饭庄济丰楼、望德楼不相上下，素有旧怨。但小乞丐狗剩儿的出现，彻底改变了两家饭店的命运，书写其一世传奇。
1684543674# #转发微博
1683912888# #转发微博
1650143831# #股市常识还是留点钱，给红十字会好点吧！
1686673749# #生活常识。合作伙伴(夫妻)的争吵，冷战，最后无论谁赢了，终是双输，因为你们输给了社会。
1680495502# #【“对冲大神”比尔·阿克曼：投资人所犯的10个错误】。。对冲基金大神阿克曼的操作风格：属于激进型投资者，善于寻找被低估的公司，大举买入公司股票，介入公司管理。偶尔也会藉由做空市场来大赚一笔。。。阿克曼公开宣称巴菲特是他的偶像，他的投资理念有很多都是师从巴菲特。不过，他的风格更加激进，被
1688497002# #转发微博
1651444095# #生活经验生活小经验
1687773893# #转发微博
1663324932# #【夜读：人与人之间最大的差距，就在这4句话中】①对待时间：强者惜时，弱者等待；②对待挫折：强者改变，弱者抱怨；③对待他人：强者搭桥，弱者筑墙；④对待成长：强者自洽，弱者自卑。
1692024940# #零点乐队《别误会》
1678754245# #纸币印得太多！
1669514389# #生活常识。快乐人生者:自信，热爱。。具体表现在勤。
1681304000# #转发微博
1674395982# #有博友称看你的微博反差非常大，似是云里雾里。这是由个人经历而产生的，本人的经历就是一会跑到十八层地狱去与阎罗王抢人，一会跑玉帝那里论理。总评累死个人。
1674922885# #长江电力600900全球最大的水电集团,利润率高达61%,央企背景,Q3证金公司战略入股，这是一家全球最大的水利上市公司，该企业不仅拥有央企国资改革的背景，还运行管理着三峡和葛洲坝等水电站。
1697367197# #俄罗斯必须旗帜鲜明地支持巴解，否则俄罗斯将成为第二个巴解。
1670585333# #转发微博
1660565487# #转发微博
1693644803# #郝云《堂堂正正》
1684772171# #转发微博
1672175519# #公司管理层都在大幅买入，这些股票被公司内部人看好了！。1.中国移动，实际控制人增持50亿。2.上汽集团，实际控制人增持32亿。3.贵州茅台，控股股东增持31亿。4.中泰化学，控股股东增持20亿。5.恒力石化，实际控制人增持15亿。6.东方盛虹，公司员工增持15亿。7.四川路桥，公司控股股东增持10亿。8.兴业银行，第
1676946762# #道为骨：在道家的观念里，生之与死，为生命之一变迁耳。言其整体，则与天地同根，万物一体。生命变迁，如波分水合。人类只不过是整个宇宙天地受“化”的一个小分子，要把握住造化之主，才能够超然于物外。道骨的核心，就是“宠辱不惊”的境界，不媚权贵的傲骨。道骨之极，就是逍遥齐物。处世之末，当清
1686756782# #『英女王访华，国家向霍英东借礼宾车，霍英东说：用完了就不用还了』
1665198457# #【9月财新中国服务业PMI降至49.3】财联社10月8日电，今日公布的9月财新中国通用服务业经营活动指数（服务业PMI）录得49.3，较8月下降5.7个百分点，6月以来首次落至荣枯线以下。
1666316734# #生活常识。送给习惯了网络生活的人，网络行为人与人之间的感情并不深厚，拉黑，断舍离，是网络生活的常用手段，网络上人与人之间的感情几乎是没有的，人家都是茶余饭后上网调侃并开心一下，语言的随言，行为之随便，也没有什么伤害，。但是久而久之，习惯网上生活的人，把这种手段如果用于
1702375401# #转发微博
1669045737# #在股市不是赚多少，而是稳健！
1691780963# #1998年金融大鳄索罗斯做空香港股市全过程！！！
1691133036# #唯有银行
1670567316# #实时播报：跨境电商板块午后回升，跨境通3连板，焦点科技、安克创新、奥康国际跟风上扬。
1680455643# #生活常识。现代人说的定位，在古人口中是这样说的。。人生有三见：见天地，见众生，见自己。见天地，知敬畏，所以谦卑；见众生，懂怜悯，所以宽容；见自己，明归途，所以豁达。
1672053565# #转发微博
1682534530# #华盖也是八字的神煞之一。华盖原是指帝王的车盖，古代皇帝出门，张在其头顶上或者车上的华丽伞盖。另外，华盖也是古代星宿的名称，现今属于仙后座。。旧时人以为，华盖犯命，是运气不好。例如《儒林外史》第五十四回：“莫怪我直谈，姑娘命里犯一个华盖星，却要记一个佛名，应破了才好。。其
1680927455# #Adele《RollingintheDeep》
1673250304# #转:又一过峰的经济发达市！。。【佛山：发热门诊每日就诊量从峰值3万降至2110人次，平稳过峰】1月9日，广东佛山市召开疫情防控新闻发布会，佛山市新冠感染防控指挥部副总指挥、副市长周紫霄通报称，2022年12月中下旬，佛山市的新冠病毒感染人数达到峰值，目前正处于高峰后的回落阶段，发热门诊就诊量已稳
1660560863# #IA选歌《敢爱敢做》一秒钟沦陷。林子祥（《神奇两女侠》电影主题曲）
1658376429# #『北京的冬天-QQ音乐』
1669650352# #八道菜
1701561915# #转发微博
1653602198# #西班牙股神推荐，投资必看的15本书！。股市常识。。3本对投资者启发最大的书：。1）彼得·林奇的《彼得·林奇的成功投资》。2）哈耶克的《通往奴役之路》。3）乔尔·格林布拉特的《股市稳赚》。。3本价值投资经典必读书：。1）格雷厄姆的《聪明的投资者》。2）费雪的《怎样选择成长股》。3）巴菲特的《巴菲特致股东
1683337645# #《在家炒茄子，别焯水也别过油，家常菜就得用简单的方法做出最好吃的菜》播放量：1422万八道菜。点赞量：29万
1690481033# #转发微博
1695446700# #罗浮山道观。
1667472676# #中国政府在新能源领域的发展决心；中国整体制造技术的崛起速度；中国企业在产业应用中学习和改进的能力；以及中国企业家身上的韧性、狼性，甚至赌性。种种因子的碰撞叠加下——就像电池在不同化学物质的相互作用中释放能量一样，美国的原创技术、日本的工程技术与中国的产业技术和产业效率结合在一起，
1687707411# #【一个月涨价60%！】往年6月份，药材市场一般处于淡季，但今年却一反常态。最新的中药材综合200市场价格指数已达到了3570.12，月涨幅超10%。其中，当归近一个月的涨幅更是达到60%左右，市场价格已突破每公斤150元。记者在当归的主产区之一甘肃岷县了解到，“今年当归走货很快，价格也不断攀升”。数据
1667058489# #海康威视2022年三季度业绩说明电话会议纪要
1652301446# #《王志文这段经典，堪称北影表演教科书，这台词揭露人性黑暗！》王志文这段经典，堪称北影表演教科书，这台词揭露人性黑暗！
1683912383# #转发微博
1670947117# #转发微博
1658753630# #生活常识停下浮躁的心，自己身边就有一道又一道美丽的风景线！『从市区搬到大鹏的这两年：躲过了5次疫情封控，收获了向往生活』
1661056414# #“牛市是害人的，一轮牛市过后都是一地鸡毛，而熊市才是对投资者的馈赠。”
1673101552# #陈川《爱的罗曼史》
1651702242# #你看一看人家美国的股市，多听政府的话这才叫政策市，狗都没那么听话！。。【美股三大指数大幅收涨纳指涨超3%科技股、银行股涨幅居前】美联储加息50个基点，低于预期，同时宣布从6月开始渐进式缩表；鲍威尔对经济软着陆强调信心。美股三大指数大幅收涨，道指涨2.81%，纳指涨3.19%，标普500指数涨
1702483994# #转发微博
1680264703# #陈百强（DannyChan，1958年9月7日—1993年10月25日），处女座。出生于中国香港，祖籍广东省台山市，中国香港男歌手、音乐人、演员陈百强被追颁香港乐坛终身成就大奖－金针奖
1671866275# #八道菜
1675155987# #宠物亦有趣，物外见天真！
1660647014# #看似大笔大笔在买进，无意间发现了他买与卖，也不失为一台印钞机！
1662920140# #转发微博
1679459703# #硅谷银行和瑞士信贷银行危机导致近期好多华人把资产转回香港新加坡等地，预计北上还会增持，但北上并不是一家主力，不会拉升，只是封杀了下跌的空间，
1664654543# #生活常识“有了半边莲，敢于同蛇眠”，蛇药5种对付蛇伤的植物，了解下不吃亏
1653091661# #腾讯新闻内马尔：别人过人被称风骚我过人怎么就具有侮辱性？来自
1677406590# #诗词
1678233722# #谨祝三八节日快乐。。。爱自己，是终生浪漫的开始！。愿你成为自己的太阳，不负时光，努力活成自己喜欢的样子！
1686459637# #转发微博
1687598378# #转发微博
1676053611# #生活常识职业生涯的三条规则：1.不要销售你自己都不愿意买的东西；2.不要为你不尊重和不欣赏的人工作；3.只和你喜欢的人一起工作。。。——查理.芒格
1667849658# #『中国这7位年轻人正在改变世界，这才是创新该做的事！』
1677109820# #能源危机宁是最近热门的课题
1651511486# #股市常识。巴菲特致股东信写道：现金很重要，关键要是知道何时能取得足够支撑的现金，。本季度是伯克希尔现金比例相对较低的位置，照样大比例加仓；。说明已经明确知道了后续现金的来源，能够保证这个“时间复利”游戏能够继续。
1661402915# #驰宏锌锗（600497）贵金属应关注！石油等传统消耗品。
1674734143# #人生最幸福的风景——携手到老。希望我们永远有爱陪伴，把爱永存心中。花开忘忧，望你无忧抱一抱（via.@人民日报）允悲允悲允悲
1651080762# #转发微博
1695636367# #转发微博
1665605255# #孟子曰：“尽信书，则不如无书。”孟子所说的“书”，不是泛指“书籍”，而是专指《尚书》。。天底下没有万能的经典，亚圣大约是强调博览群书，不是反对信书、读书。
1661433747# #谭咏麟《午夜骑士》
1687212643# #转发微博
1672363125# #当地时间12月29日，巴西圣保罗市阿尔伯特·爱因斯坦医院发布公告称，巴西知名运动员、“球王”贝利因结肠癌引发多器官衰竭，于当天15时27分去世，终年82岁。贝利曾代表巴西夺得1958年、1962年、1970年三届世界杯足球赛冠军，是世界上唯一三次夺取世界杯冠军的足球运动员，获得了“球王”的称号。
1691216550# #黑发不知勤学早，白首方悔读书迟。。颜真卿
1700650933# #国家能源局11月20日发布1~10月份全国电力工业统计数据。截至10月底，全国累计发电装机容量约28.1亿千瓦，同比增长12.6%。其中，太阳能发电装机容量约5.4亿千瓦，同比增长47.0%；风电装机容量约4.0亿千瓦，同比增长15.6%。
1695524645# #舍我其谁曼城王牌也盛赞佩普，罗德里是欧洲最好的中场球员，无可替代。
1670172431# #转发微博
1688497134# #转发微博
1678281983# #八道菜
1702133915# #转发微博
1680179412# #转发微博
1685317893# #生活小经验
1684858129# #看我们传承多年的神话故事就行了：夸父逐日、精卫填海、愚公移山、后羿射日…。。勇于抗争，就是我们民族的文化、信仰。
1667272113# #《我的前半生》。贺涵:这么好的女孩应该让我提出才对！
1671680130# #转发微博
1671634518# #陆克文任澳住美外交大使，他认为:中美关系，不会进一步激化，而是进行新磨合！
1688923827# #转发微博
1674536937# #生活常识。单亲家庭的子女一般多了一份小心，少了一份热情，也少了一份长辈的鼓励(交一家庭美满对应的兄长、大姐为师很重要)。。少点计较，多几份生活的常识，有热情、有信心地生活着。。人生十有八九不如意。哪里有百分之百成功的事，人生的投资百分之十成功就很好，即便是成功之路也有
1651432507# #《大腕：建议不要吃饭看，葛优主持离婚典礼这段，我也就看了十遍！》大腕：建议不要吃饭看，葛优主持离婚典礼这段，我也就看了十遍！
1694654021# #早上好！。从前二任证监会主席，对牛市的看法都是否定的。。肖钢曾在证券界年会里称，牛市对于中小股市投资是一场伤害，后悔任期里未对牛市进行有效控制。。刘士余更是有效地制止了疯牛的发生。。希望如果要有牛市的发生就是价值牛吧。
1668351761# #转发微博
1685774952# #博观而约取，厚积而薄发。太阳所以踏实。
1652128205# #转发微博
1657718388# #《滑蛋，炒牛肉》滑蛋，炒牛肉八个菜
1682537479# #转发微博
1683043585# #复了一下盘，看某一老师在提医药。我看一些的医药真是跑的不错
1669647858# #转发微博
1651430817# #人生一世，勤劳致富才是王道。。《广州一家5口做白切鸡15年，藏在深巷中，1份40元，顾客爆满屋》广州一家5口做白切鸡15年，藏在深巷中，1份40元，顾客爆满屋
1698138092# #中国主权基金午盘入市提振国内股市。2023-10-2416:16。中国大陆股市的跌势星期二（10月24日）有所缓解，此前一家大型中国国有基金再次介入股市。
1677838117# #转发微博
1657693165# #转发微博
1696421601# #占领华尔街。全美群众性社会运动，后发展成全球性的社会运动，社卷全球40多个国家。。2011年9月17日，上千名示威者聚集在美国纽约曼哈顿，试图占领华尔街，有人甚至带了帐篷，扬言要长期坚持下去。他们通过互联网组织起来，要把华尔街变成埃及的开罗解放广场。示威组织者称，他们的意图是要反对美国政治
1665166803# #分享视频歌手：BackstreetBoys《IWantItThatWay(《魔力麦克2》电影插曲)》
1660773309# #社会之墙。你这块砖的形状和底质决定你可以放置于社会之墙的位置。你或可以决定形状和底质，具体位置大多由社会不由您！。梭罗：在自己的节奏里，过好这一生！。土鳖：与时俱进！
1665322361# #人生如秋叶，聚散皆随风！智者不入爱河！
1684441107# #《Addicted》
1688322916# #爱情并不复杂，是两个人发自内心的互相认同，是两个人共创出来的。读书梁永安生活常识
1650226176# #转发微博
1668319035# #股市常识在有鱼的地方，捕鱼，在有猎的地方，守猎！在有故事的地方，听故事。
1700978955# #11月25日，世界数字经济论坛在深圳举行。中国工程院院士、鹏城实验室主任高文表示，未来的算力网，将会像今天的电力网一样。第五届世界科技与发展论坛。算力十云的综合体
1672548559# #在新的一年里，谨祝女儿Yr:。志存高远、脚踏实地，不畏艰难险阻，勇担时代使命，把个人的理想和追求融入党、国家的事业和民族复兴之中。刻苦认真学下渊博知识，将来为党、为祖国、为人民多作贡献！。愿您长风破万里浪，持续奋斗成就精彩人生！不负韶华！永远不忘安理之心，有趣，团结、奋进、博学、奉献
1676019774# #早自习莫叹明朝又一春，相看堪共贵兹身。悠悠寰宇同今夜，膝下传杯有几人。——欧阳詹《除夜侍酒呈诸兄示舍弟》
1663405572# #转发微博
1679667545# #全球大滞涨，中国新周期，。拥抱一生一次的机会一个被严重忽视的重大风险『全球最大堰塞湖或将崩塌，让我们迎接史诗级的超级大滞胀吧原创』
1671091140# #芯片近期产业事件比较密集，主要围绕内部政策预期和外部制裁两方面展开，继昨晚万亿传言之后，今天尾盘又有媒体报道：软银旗下ARM首次决定美国和英国不会批准其最新的NeoverseV系列的销售，因为性能太高了，这将影响阿里巴巴和其他中国企业购买先进芯片设计。。。芯片（指令集）架构是CPU用来控制和计算
1675087320# #『大人身上烟味很大，抱孩子有影响吗？』，戒烟虽然很难，但如果做到了，不仅有利于自己身体健康，也能减少对家人健康的影响。
1679081492# #『清华魏杰教授内部分享：关于中国经济未来最透彻的一次思考，信息量很大』
1674482125# #守正揽奇。
1679748284# #“精致利己主义者”是经过精心打扮甚至伪装的“利己主义者” ， 这个群体的出现 ， 提示社会发展已经处于一个决定方向的关键点或者十字路。
1675705694# #真是太离谱！
1667807902# #11月7日，两市股指盘中探底回升，沪指、深成指、创业板指均小幅走高，日线齐收六连阳；两市成交额再度突破万亿，北向资金逆市净卖出超40亿元。。。截至收盘，沪指涨0.23%报3077.82点，深成指涨0.18%报11207.73点，创业板指涨0.14%报2454.69点，上证50指数涨0.38%；两市合计成交10061亿元，北向资金净卖出
1679050824# #转发微博
1694675931# #人在低谷时勿扰人。人在高处时勿戏人。人在相遇时勿算人。人在离别时勿悔人。人在争取时要像人。人在放下时才是人。。薛随笔
1666248401# #重游旧地，寻根，回思万般，顿悟；。硬闯天地，宽大，蓝天穹宇，鹏飞！
1700210131# #从世界上十个伟大的公司。有八个是终端公司二个是配件股市常识轮动
1657890736# #随着城市壁垒的增加，有时候一个人孤独，用笔去写一些东西，总是比玩游戏好的！。【16日入伏你准备好了吗？】7月16日起三伏天正式开启，进入“烧烤+桑拿”模式。今年的“三伏”，7月16日至25日为头伏，7月26日至8月14日为中伏，8月15日至24日为末伏，今年三伏将长达40天。民俗专家表示，进伏这天
1661408527# #很多年前，我就收到过这种传单，看到的第一反应是，这么远跑到西安来发传单卖房？这房是有多卖不出去？
1668991070# #早晨慢跑，虽非保容以俟悦己，且要留精彩与所牵待未来！。一盘饺子，一杯温水，C、D、E各二粒，阿斯匹林一粒。慢跑2000！
1670475632# #MarkKnopfler《YourPerfectSong》
1680429321# #计算时代已经到来，黄仁勋：人工智能的发展，让每个人都能成为程序员。黄仁勋人工智能芯片ChatGPT
1676197807# #珍惜时间的古代诗句介绍。。时间是人类用以描述物质运动过程或事件发生过程的一个参数，确定时间，是靠不受外界影响的'物质周期变化的规律。珍惜时间的古代诗句介绍，我们来看看。。。1、壮心未与年俱老，死去犹能作鬼雄。——宋朝诗人陆游《书愤五首·其二》。。2、十年一觉扬州梦，赢得青楼薄幸名。——杜牧
1683029422# #中国五千年跳不出的5大历史定律，更是人生定律！
1687503756# #LeonardCohen《InMySecretLife》
1668951252# #实时播报：★★【世界杯开幕式提前一小时】根据FIFA官方的消息，卡塔尔世界杯的开幕式将在北京时间今晚(11月20日)22点30分进行。这比此前原定的时间提前了1个小时，按原计划，本届世界杯的开幕式是在今晚23点30分举行。（每经网）RobbieWilliams《BetterMan》
1692045607# #事出异常必有妖。关于当前市场情况，放下仓位，用平常的心态看市场。。阳光在前，但短期市场资金不容观。。特别是最近的好消息都是足以惊动天皇老爷的，事出异常必有妖。不知这水灾影响有多大，毕竟某老板称要逐步从股市套现捐出较大数额，水灾应有损坏较大的情况，还应审慎，不应盲目乐观。
1657010979# #《我在百度APP发现了不错的内容，分享给你》海量资讯，尽在百度APP，快来看看吧
1662832890# #转发微博
1660752323# #毛泽东有多爱读书吗？
1659634030# #陈明真《我用自己的方式爱你》每日30首）
1676568549# #硕鼠硕鼠,无食我黍
1684295737# #转发微博
1660404908# #生活常识。有牵挂、有信仰，有追求的人，自身会修复自身的熵乱，使身体更有序！某种状态下，如二人发生矛盾，双方不积极互相解释、理解的话，独立个体情况下双方混乱会越来越乱！。《用熵增定律理解人生》基于人体的物质性，人生、人际和社会也同样具有物质性，同样可以用熵增定律来理解。
1659459535# #是可忍，孰可忍！晚安！。美国国会议长冒生命危险给了一一中国提前回收台湾的理由，貌似送了一个大礼，但是，中国古谚有一句话：是黄鼠狼给鸡拜年了，不怀好意的！。收丶不收，二难！①不想收，②不收丢脸！。折中办法把金门取了捞个面子，大气一点的就忍了，这个时候不适合回收台湾，
1666228334# #转发微博
1686383000# #转发微博
1650553017# #转发微博
1701923998# #东方财富读者传媒（603999）东方财富
1688919464# #转发微博
1667010028# #初心草堂，早安太阳，。不同的人生，有不同的幸福，少抱怨上苍的不公，把握属于自己的幸福。
1657635755# #土鳖的爱如山。。爱不是空口无凭的大话，而是在寂静的奋斗里努力生长的果实。
1671241621# #白居易的《放言五首》分别就社会人生的真伪、祸福、贵贱、贫富、生死诸问题纵抒己见，并告诫世人。。其一：朝真暮伪何人辨，古往今来底事无。但爱臧生能诈圣，可知甯子解佯愚。草萤有耀终非火，荷露虽团岂是珠。不取燔柴兼照乘，可怜光彩亦何殊。。其二：世途倚伏都无定，尘网牵缠卒未休
1698749464# #想要有更伟大的前程，不要全部听父母的话；全部听一个爸妈的经验，怎么可能活出一个更好的未来？。老人告诉你:每一个同行、每一个顾客都是一个老师，社会就是最好的学堂！。生活常识
1669025702# #转生活常识生产小经验。奴隶出身的古罗马哲学家爱比荷泰德有一句名言：对于不可控的事情保持平静与乐观，对于可控的事情保持谨慎与节制。
1685254479# #《绑定》。快乐比现实更高级。。丑陋比高尚更加能牵动一个人的心。
1678895817# #晚安！《不舍》（《斗罗大陆》动画第134集片尾曲）
1661417906# #小迪能吃半碗肉加半碗米饭。
1668181255# #好久未看黄西的《是真的嘛？》
1700933722# #围棋如人生，落子无悔，智者运筹帷幄。围棋丁老师
1702192852# #很喜欢喜马拉雅威廉.欧奈尔《笑傲股市》上金源创富研究杨德源的节目，快来听一听吧（分享自
1682929492# #东方财富股票【干货！巴菲特20句经典语录听进去的都赚钱了】今年93岁的巴菲特又会给我们的投资路上带来哪些启发呢？(来自
1685603902# #六月，默默努力，慢慢强大，愿所有努力都不被辜负，愿所有美好都恰逢其时，愿你不慌不忙，每天都是好时光。六月你好祝福治愈
1672149722# #《科创板日报》12月27日讯（编辑郑远方）今日，男人的酒，女人的美，。医美板块强势上攻，阳后的医美需求在升温。医疗美容板块走高。截至收盘，昊海生科20CM涨停；奥园美谷10%涨停；贝泰妮涨9.28%，朗姿股份、华东医药、爱美客、华熙生物等跟涨。。具体可以关注哪些方向？分析师建议关注：。。（1）产品：
1684730483# #生产小经验。点评:糖果店老板有料！。曼城有的队7年花5亿镑拿12个冠军。切尔西有的队一年花5亿镑拿12名！。曼城切尔西英超
1657615813# #生活常识为何传统思想，传统习俗必须传承，因为它是经过许多朝代的轮换，验证过的一些好的思想和好的传统，即使我们不理解他，也要相信他们是经过多槽多待验证过的好东西，当然，我们也不能够排除接受新的知识和新的思想！
1698197098# #转发微博
1659678338# #人生的复盘。在谈幸福感时多次谈到自信，。自信又是什么鬼呢？。在理论方面，水平有限好像我不能谈的太多，但是可以从多年的经历在表象上观察，认真勤奋做事的人，做一件事像一件事、做什么像什么的人有更多的自信。。。所以我对法制的同事，更有一份感觉，因为他们的自信可以感染了我！也许他们的工作
1698755369# #11月，秋冬交汇的月份。11月，秋天的尾声，冬天的序曲，。你在大地的金黄中轻轻舞动。。你的温度，像一首诗，。在每一片叶子的落下中，。讲述着岁月的故事。。你的阳光，温暖而微妙，。像一首老歌，让人回味无穷。。你的风，轻轻吹过，。像一首悠长的摇篮曲，。让大地安静地入睡。。在你的怀抱里，万物都在沉醉，。
1676487770# #股市没得变，内含魔鬼！希望男足有变！
1662691878# #关于证券股，长期投资者呢？我觉得这个证券股还是要注意后面是否有牛市，中国的证券股以交易量，为血液，为脉搏，如果后面的交易量越来越小的话，应该迅速退出！。短期投机者的，这一市场的，资金流向快进快出
1663227763# #他从曼城获得了太多的知识，太多了，他因曼城而伟大！
1677547153# #厉以宁去世，一生奉行“可以不说话，但不要说假话。。『厉以宁去世，一生奉行“可以不说话，但不要说假话”』
1666088172# #PierreRoskam/JaceEverett/ChrisStapleton《YourMan》
1652558692# #转发微博
1668271303# #欢迎您们的交流！
1661477619# #转发微博
1660292900# #1979年夏，邓小平登黄山。。随行医生担心连续两天高强度的登山，邓小平的身体会吃不消的，于是，提出在登山过程中有必要增加停留的时间。。。“千万不能频繁停下来，一旦坐下来歇息，就不想起来了，就走不动了。”。。一旁的卓琳开玩笑道：。。“这是人家红军长征爬雪山过草地积累出来的经验。
1661154141# #庚午，是天干庚与地支午的组合。。。干支纪年法六十年为一个循环，循环的第七年被称为庚午年。从阴阳五行的角度来说，天干之庚属阳金，地支之午属阳火，为火克金之象，纳音五行为路旁土。大家不要看到火克金就觉的不好，需明白强金尚需淬火炼，方可成佳器的道理。。。庚午，五行象义上为金火相克。天干庚的
1688097091# #当你有正确的人生观，积极人生,正确的方法论。你的词典里也就无需这些词汇了。
1675594665# #陆游北上抗金，又转川蜀任职，几十年的风雨生涯，依然无法排遣诗人心中的眷恋，他六十三岁，“偶复来菊缝枕囊，凄然有感”，又写了两首情词哀怨的诗：。　　采得黄花作枕囊，曲屏深幌闷幽香。。　　唤回四十三年梦，灯暗无人说断肠！。　　少日曾题菊枕诗，囊编残稿锁蛛丝。。　　人间万事消磨尽，只有清香
1701320597# #新三板的精选层、创新层和基础层。。全国股转系统设置基础层、创新层和精选层，符合不同条件的挂牌公司分别纳入不同市场层级管理。符合中国证监会、证券交易所和全国股转公司有关规定的精选层挂牌公司，可以直接向证券交易所申请上市交易。。。目前，精选层挂牌51家、创新层1046家、基础层6483家。。。挂牌公
1663435678# #转发微博
1678110846# #转发微博
1701237101# #智帅林彪，诚臣叶剑英。。诚一一多用常识做事。
1673162678# #为什么说意识形态是最难调和的矛盾?。。头条文章
1678864205# #A股三大指数今日涨跌不一，沪指涨0.55%，深证成指与创业板指冲高回落，深证成指跌0.03%，创业板指跌0.24%。市场成交额超过8000亿元，行业板块多数收涨，中字头股票走强，水泥建材、工程建设、中药板块涨幅居前，计算机、软件、互联网板块跌幅居前。
1650535052# #【A股大跌：沪指失守3100点逾4400只股票下跌】【收盘播报】A股三大指数集体大跌，沪指跌2.0%失守3100点，深成指跌2.5%，创业板指跌2.2%。仅保险飘红，下跌股票超过4300。。北向资金今日净流入9.11亿。宁德时代净买入6.32亿，中国平安净买入2.38亿，药明康德净买入2.11亿，长江电力净买入1.70亿。阳光电
1661501187# #紫薇花。。唐.白居易。。丝纶阁下文书静，钟鼓楼中刻漏长。。。独坐黄昏谁是伴，紫薇花对紫微郎。
1672335044# #终于找到原因啦《天生不配》呆狗剪辑的视频
1680873728# #转发微博
1673530117# #预防胜于治疗。功不唐捐，玉汝于成。
1677314869# #生活常识高速路事故，车靠边，人出扶栏。
1673965215# #RichardClayderman《献给爱丽丝》
1679657561# #TikTok总裁庆祝用户破1.5亿，美商务部长称禁TikTok将失选票
1651426881# #转发微博
1685775181# #奢侈消费如吸大烟，入奢容易，出奢难啊！生活常识绑定意识的绑定，行为的绑定。
1685369697# #转发微博
1670138720# #股市常识
1666264033# #海来阿木《不过人间》
1702167985# #中原高速股东长城人寿增持2247.38万股公司股份占总1%→
1699869818# #转发微博
1688039183# #苏洛维金与绍伊古、格拉西莫夫三人的不同传苏洛维金被捕
1665686611# #DonWilliams《CryingInTheRain》
1702907336# #JoshTurner《YourMan》
1677999405# #股市常识。有位投资界名家说:关注身边的好故事，一起成长！
