1696487887# #能打败全红婵的只有记者看的出来能打败全红婵的只有记者，采访比拿金牌都难！
1692578777# #第一次见酒店房间禁止钓鱼到酒店办理入住，前台说禁止钓鱼，我还说谁会在酒店里钓鱼。直到我看见….每个房间伸出来的鱼竿….
1694053436# #关于我在韩国公交车站钓鱼这件事关于我在韩国公交车站钓鱼这件事
1697131824# #
1688537057# #月薪4500的双休工作要不要辞职月薪4500的双休工作要不要辞职
1695290394# #才知道月饼竟然还有肉馅的北方的我表示很懵，才知道从小到大吃的月饼竟然还有肉馅的，这就是南北差异吗？
1698069464# #坐火车硬卧结果鞋子被偷了因为着急回上海，没有买到高铁票，第二天又要上班，只能晚上连夜回来了，当我早上醒来，鞋子不见了，真的晕死，心疼啊，鞋子几乎都是新的
1691806136# #做完美甲后竟然得了甲沟炎我也甲沟炎了，医生说不能用碘伏哦用酒精更好，用碘伏更容易发炎
1700735509# #绝了
1696245205# #看得出来国庆有很多人结婚我今天去参加朋友的婚礼，一个小酒店，门口六个拱门，我找不到朋友在哪个，就把所有婚宴厅都参观了一遍，大家的风格多样，新中式，西式，都有哈哈哈哈
1698928728# #饭量太大被食堂阿姨认识了因为饭量大，结果就这样被食堂阿姨认识了
1688554333# #没想到洗澡可以改善坏情绪没想到洗澡可以改善坏情绪
1693666980# #为什么无座和二等座是同价一直很迷惑，为什么高铁动车的无座要设置成和二等坐一样，明明享受的权利就不同啊
1688643273# #考公上岸被同学删除了好友考公上岸被同学删除了好友
1692318440# #为什么团建后很多人都离职了为什么团建后很多人都离职了？
1687218171# #没有任何征兆的被公司辞退了没有任何征兆的被公司辞退了
1689603574# #为什么猫猫总喜欢趴在地上为什么我家的猫猫总喜欢趴在地上？
1687332796# #为什么年轻人都特别反感相亲为什么年轻人都特别反感相亲呢？
1696345441# #长期熬夜身体会发生什么变化长期的熬夜，会导致人体的睡眠节律被打乱，久而久之让身体付出许多“代价”
1689138076# #你生日的那天离什么节日最近8.15刚好中秋节
1689292668# #录取书发到朋友圈后没人互动录取书发到朋友圈后，没有一个人点赞评论
1692930628# #重庆人都很能吃辣吗不懂就问，重庆的火锅这么辣，重庆人都很能吃辣吗？
1702389155# #入职一个月竟然也有年终奖新公司入职28天，居然发了600，意外之喜，老板太有格局了！
1691763418# #万万没想到马桶里可以养荷花万万没想到马桶里可以养荷花
1700735501# #被这个投篮动作帅到了证明自己了就是关键时刻没证明明白😭
1697378863# #被移出了奖学金群聊本来是奖学金最后一名，结果告诉我有一位同学的成绩算错了，重新算后排在我上面，跟奖学金失之交臂，心情大起大落
1688611042# #离职后被财务说偷了公司平板离职后被财务说偷了公司平板
1689127366# #合租室友天天占用厕所一小时合租室友天天占用厕所一小时
1689675355# #原来公交车上还能给手机充电原来公交车上还能给手机充电
1688886986# #天天发朋友圈会让人反感吗天天发朋友圈会让人反感吗？
1700229668# #被东北的冰糖葫芦震惊到了看得出来在东北什么都可以冰糖...
1697295696# #相亲对象带我去吃盒饭相亲认识的小伙，认识一段时间了，第一次带我吃的是烤鱼，今天找我出去溜达，晚上我说饿了，结果他带我吃了路边的盒饭
1694648159# #千万不要买活口的戒指不小心勾了一下就直接变形了，洗头的时候还卡头发，现在戴着看是挺正常的，实际早已变形，奉劝大家千万不要买活口的，现在特别后悔
1687318480# #闺蜜让我陪她坐60个小时的火车闺蜜非要让我陪她坐60个小时的火车去见她的偶像
1693926364# #这届家长取名也太随意了吧取名真的不用顾及孩子感受吗？
1696085738# #羽绒服上出现了蓝色小点点去年洗干净后就放压缩袋里了，今年打开，发现衣服上全是蓝色小点点…是发霉了吗？
1703648470# #有没有考《宫》的啊？？！！！我能考到博士！
1695299292# #高薪但不体面的职业有哪些高薪但不体面的职业有哪些呢？
1700735728# #打篮球不会防守的人有福了防守小技巧分享给大家一起练起来吧打call打call打call
1700663310# #走亲戚可能从我这代就结束了今天买菜遇到了我的亲戚，但我又不确定那个是不是我亲戚，因为每次就过年才见一次，万一认错也很尴尬。
1696000376# #长期吃西红柿真的能变白吗听说狂吃西红柿能白，已经麻了，不知道真假了，想问问大家都没有已经成功美白的啊，都是咋办到的啊？学习一下！
1689517919# #猫猫尾巴是最好的逗狗棒猫猫尾巴是最好的逗狗棒
1692663650# #粥和稀饭到底有啥区别今天营养师叫我别吃稀饭，主治医师叫我多吃粥，我都懵了，一直没搞懂稀饭和粥的区别
1695082601# #被爬山时的着装惊到了我一整个震惊住了啊家人们，竟然这么多人穿着拖鞋来爬山？难道穿拖鞋爬山会凉快一点吗？
1687664325# #相亲八年还没找到合适的对象相亲八年还没找到合适的对象
1703297852# #我家厨房地面，翘起来两块，没你这么明显，我也没弄。
1699194002# #竟然被一碗面阴阳了当我吃完一碗面时，结果被阴阳了
1691822775# #为什么酒店会免费升级房间为什么酒店会免费升级房间？
1692280986# #唐僧取经为什么不走直线好想知道当年唐僧取经没什么不走直线，绕了那么大一圈
1690793680# #你会用酒店里面的毛巾洗漱吗你会用酒店里面的毛巾洗漱吗
1690692761# #婚纱照片发朋友圈被亲戚说了婚纱照片发朋友圈被亲戚说了
1697684249# #跟男朋友领证后妈妈把我拉黑了因为自己跟男朋友领证了，结果被妈妈拉黑了
1689390013# #因为平时不爱说话被辞退了被辞退的原因是不爱说话
1692800363# #广西的烧烤为啥是甜的第一次吃广西的烧烤竟然是甜的，我们这边的烧烤是很辣的，第一次吃广西的烧烤吃不习惯所以吃了一点点就没吃了，毕竟每个地方口味都不一样
1694064666# #为什么油条都是两根一起炸为什么油条都是两根一起炸？
1689583966# #这西瓜要不是怕脏都不长皮了这西瓜要不是怕脏都不长皮了
1695696040# #爱不爱吃猕猴桃的都沉默了猕猴桃拌饭，离了个大谱，真的有人这么吃吗？
1696946240# #关于拼车拼到了狗狗这件事打了一个顺风车，显示拼车成功，上车后没发现其它乘客，还以为对方没有坐车忘记取消订单了。后来司机说，先送它还是先送你？我有点懵，然后我就在前座看到了箱子里的狗狗
1688786639# #再也不想干密室NPC了再也不想干密室NPC了
1698804502# #上学时麦当劳打工，说我在世界500强实习，好像我也没撒谎思考
1689258059# #找领导请假不给批还被阴阳了找领导请假不给批还被阴阳了
1696259028# #为什么广东人吃月饼要切着吃我以前的广东室友分享月饼给我们吃，切成了4块，给了我4分之一，我震惊了好久！
1696084852# #不会剥石榴的人有福了喜欢吃石榴的人有福了，再也不怕剥石榴了
1696861338# #聊天的时候反感别人什么聊天的时候，你最反感别人你什么呢
1692716548# #四川的微辣真的很辣来四川旅游，老板推荐我们吃微辣，结果被辣到没法下嘴
1700192055# #养狗后失去了自己的名字我认识全小区的狗，但是不认识小区的人
1693466987# #为什么在阳台种的西瓜长不大为什么在阳台种的西瓜长不大呢？
1694131822# #重庆人都是坐在路边吃饭吗快来个重庆本地人告诉我，重庆人都是坐在路边吃饭的吗？
1694225795# #为什么长辈介绍的对象很难成为什么长辈介绍的相亲对象很难成
1687928752# #离职的前一天被公司辞退了离职的前一天被公司辞退了
1696220446# #全红婵陈芋汐跳水像极了复制粘贴全红婵陈芋汐给大家表演了一场水花消失术！
1692022613# #为什么都喜欢把手插进绿豆里逛超市时为什么会都喜欢把手插进绿豆里
1689645052# #家里用蹲厕被亲戚说太土了还好吧，我比较喜欢蹲厕
1688466245# #因为怀孕结果被公司辞退了因为怀孕结果被公司辞退了
1688783436# #再也不会在高铁上上厕所了以后再也不会在高铁上上厕所了
1687865527# #一场婚礼让我看清了很多人一场婚礼让我看清了很多人
1701169622# #才知道在滑雪场也要遵守交规大家都知道开车上路要遵守交通规则，考驾照也要先考科目一，可是在滑雪场也需要遵守交规！
1698069258# #为什么咖啡店里不能大便这是遇到的第二家不可以大便的咖啡店了，可是喝美式真的很容易就肚子疼...
1694177947# #没想到脸上长痘痘竟然是好事脸上冒痘痘其实是好事，实则是在为身体排毒
1688518644# #被亲戚要求给他的孩子补课被亲戚要求给他的孩子补课
1688871233# #男朋友说供我读书被我拒绝了男朋友说供我读研究生，结果被我拒绝了
1687589526# #相亲八年都没找到合适的对象相亲八年都没找到合适的对象
1690607793# #5把椅子如何分给6位领导5把椅子如何分给6位领导？
1696724595# #放在整个导播届都相当炸裂王楚钦：我看看怎么个事？这放在整个导播届都是相当炸裂的存在，哈哈
1694618554# #没想到影子竟然有彩色的头一次到这么明显的彩色影子，真的好美好漂亮，因为日常看到的黑影多了自动形成一个思维默认影子只是黑色，好通透的彩色影子。
1696345851# #东北的菜量是真的大出去下馆子习惯了三菜一汤，来东北可千万别！！一菜一汤就够够吃的了，量实在是太大了...
1690382168# #才知道公交车还能给手机充电才知道公交车还能给手机充电，这也太强了，出门再也不怕手机没电了
1689850829# #连狗狗都做牙齿矫正了连狗狗都做牙齿矫正了
1688629249# #妈妈拿着我的钱给弟弟买房了妈妈拿着我的钱给弟弟买房了
1687949399# #下班时间突然被改成了六点下班时间突然被改成了六点
1692231801# #冰箱贴都是我去过的城市我的冰箱贴都是我去过的城市
1690036300# #没想到试衣间里竟然有摄像头没想到试衣间里竟然有摄像头
1697118322# #真的有人吃石榴不吐籽吗吃石榴都是吃一下石榴的汁水，然后吐掉石榴籽，真的有人吃石榴不吐石榴籽吗？
1687253216# #曾经很火但是已经消失的品牌曾经很火但是已经消失的品牌
1694399602# #为什么重庆人都不穿防晒衣重庆本地女孩子在乘坐轨道交通的时候，都是吊带短裙的，也没穿外晒衣，长期短裤短裙难道不怕晒黑嘛？
1687997316# #室友考研要和我考同一个学校室友考研要和我考同一个学校
1689749307# #婚纱照的风格被好朋友模仿了婚纱照的风格被好朋友模仿了
1688818906# #为什么久坐站起来眼前会发黑为什么久坐站起来眼前会发黑？
1693699441# #如果不一样的价格，那别人都买无座，然后都去坐二等座允悲
1702956952# #上班早退打电话挪车，结果是领导的车跪了
1695644008# #87岁的爷爷为妻子写了一首情诗近日，湖北一87岁爷爷为妻子写了一首情诗，愿者前往荆门为爷爷奶奶拍摄婚纱照
1689087753# #真的好喜欢睡觉时把手举过头顶真的好喜欢睡觉时把手举过头顶
1688548355# #地铁上发疯果然有用地铁上发疯果然有用
1696119046# #见都没见过...更别说吃了允悲
1689855468# #原来打底裤是这样区分正反面原来打底裤是这样区分正反面
1693446645# #南方人比北方人更耐热吗出去玩我和对象就全身湿透，但身边南方口音的男男女女都优雅精致，女孩子还都披散头发，头发都不油，脸上也没有汗
1697032840# #原来一块钱的工作餐是这样的一块钱的工作餐原来是这样的
1691562348# #韩国机场的厕所安全感爆棚韩国机场的厕所安全感爆棚
1688540754# #全麻手术醒后真的会胡言乱语全麻手术醒后真的会胡言乱语
1695514982# #被陕西人的冰箱酸到了最近陕西人的冰箱里放的都是猕猴桃吧，隔着屏幕都感到猕猴桃的酸了
1704165500# #张信哲唱悬溺快碎了薛之谦台上脱裤子娜扎我没k孟子义合唱全程没在调这个世界终于疯了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1688614504# #给亲戚家小孩补课该不该收费给亲戚家小孩补课该不该收费？
1697703649# #屈楚萧这段真的给我笑死了屈楚萧短短两天喜剧效果太强了，兴致勃勃要骑摩托车去林芝结果半路折返，还被粉丝无情嘲笑了哈哈哈。
1700471597# #今日话题：。来讲讲一个人离职前有什么征兆？
1696737864# #痛失大名的王楚钦有多少名字王楚钦痛失大名，王楚钦：我真的太难了
1700735734# #厉害
1692318427# #才知道川渝是全国肤色最白的是的！我真的对四川人有肤白貌美的刻板印象
1695455173# #三个月的掉发量都能做假发片家人们谁懂啊，这是我三个月掉的发量，直接可以做一个假发片出来
1700663620# #千万不要买跟超市一样的筐因为去超市带了同款的筐子，结果被怀疑偷了超市的购物筐
1693752178# #为什么酒店都是12点退房这个退房时间就不能改改吗，每次睡的正香就被床头的座机给打醒了！有的酒店延迟退房都可以到下午两点，所有酒店就不能统一把退房时问规定在两点吗？
1689517908# #喝了一周的绿豆汤竟然上火了喝了一周的绿豆汤竟然上火了
1698797574# #为什么伴娘一定要未婚的如果是结过婚的女人当伴娘她会是什么样？婚后的女人大概率过得不太好，或者婚姻生活不太理想，对爱情和婚姻也早已经没有了当初少女时的憧憬和盲目的期待。
1696635298# #全红婵和陈芋汐的水花消失术他俩这是跟水花商量了吗！一点水花都没有！
1691806408# #误把新疆人当成了外国人从此这个世界少了一个热心网友
1696579096# #马龙是采访界的泥石流吧他已经是队里最能说的了，别太苛刻！
1689936816# #为什么酒店都是只有一把椅子为什么酒店都是只有一把椅子？
1693545125# #人越快乐免疫力会越高正向的情绪体验，如愉快、放松、乐观和满足感，可以促进免疫系统功能的提高，增加免疫细胞的数量和功能，从而增强身体的抵抗力。心情好了后，一些基础的疾病更加不会找上门来。
1689489128# #相亲对象把我一个人丢在外地相亲对象把我一个人丢在外地，我该怎么办？
1693284131# #论新疆人的名字有多长新疆人的名字也太长了吧，在新疆当老师太难了
1697520704# #半夜被一碗鸡汤面整破防了半夜忙完工作后饿了，结果爸妈给我煮了碗鸡汤面
1693962038# #每次洗完头都会掉很多头发每次洗完头都会掉很多头发，想问问大家掉这么多头发正常吗？
1695431529# #为啥上班时间地铁上好多年轻人一直很好奇，为什么卷出天际的帝都，好多年轻人工作日的工作时间里，也会出现在地铁，公园，小区等等？
1688537248# #因为已婚未孕被公司拒绝了因为已婚未孕被公司拒绝了
1700737701# #偷笑偷笑偷笑
1690207039# #为什么现在的女孩都是长头发为什么现在的女孩都是长头发
1695080087# #为什么重庆街头没有共享单车重庆的街上别说共享单车了，连一个骑自行车的人都没有，而且还没看到非机动车道，重庆人都不骑车子吗？来这玩全靠两条腿
1689776863# #分手后男朋友把微信都注销了分手后男朋友把微信都注销了
1687346157# #朋友圈想发什么就发什么朋友圈想发什么就发什么，不用在意别人的看法
1691725951# #为什么新疆的西瓜会这么便宜为什么新疆的西瓜会这么便宜
1693702270# #喝柠檬水真的能变白吗听说柠檬水晚上喝变白，白天喝变黑，是真的吗？
1688094848# #给妹妹填报完志愿后被气哭了给妹妹填报完志愿后被气哭了
1687418929# #入职后才发现上下班不用打卡入职后才发现上下班不用打卡
1704158062# #太尴尬了吧笑cry
1694047154# #戴有线耳机真的很土吗为什么会被说土啊他没用过吗？
1696723892# #被全红婵赛后的采访可爱到了对于全红婵来说，采访比跳水更难！
1687509252# #真的建议大家没事不要去采耳真的建议大家没事不要去采耳
1692526384# #为什么现在化妆的人变少了地铁上人也特别多，但是感觉大家好像都是素颜
1687260945# #为什么男生会对木棍情有独钟为什么男生会对木棍情有独钟？
1695375620# #清洗牛仔裤时为什么会褪色复古深蓝色牛仔裤第一次下水掉色掉成这样属实是没想到！
1689996173# #家里蹲厕被亲戚说太土了家里蹲厕被亲戚说太土了
1696170010# #迪士尼连扫把都是粉色的天啦噜，迪士尼连扫把都是粉色的，像个粉色的大鸵鸟毛拖地长裙。
1687183068# #试用期满三个月了被辞退了试用期满三个月了被辞退了
1696689069# #没想到大树竟然也分雌雄长见识了，居然树还有雌雄之分，查了一下说雄的罗汉松只开花不结果，雌的罗汉松既开花也结果
1695082797# #现在的饭店里都是预制菜吗太夸张了坐下来点好单之后。三分钟上齐齐刷刷的。先上的咖喱牛肉然后炒饭然后猪颈肉，连炒饭都不是现炒的
1698242920# #这耳朵好像捂了又好像没捂人类幼崽怕放炮，结果捂住了耳朵...
1698929018# #从小到大最讨厌的味道你从小到大最讨厌的味道是什么呢？
1696772971# #南方人过年真的不吃饺子吗北方人每到过年时就吃饺子，想问问南方人过年时候真的不吃饺子吗？
1702359651# #爱不爱喝拿铁的都沉默了青椒拿铁...爱不爱喝拿铁的都沉默了
1697464879# #韩国老年旅游团像极了拍韩剧看见了一群西装革履的爷爷奶奶，一个个身姿挺拔，头发梳得光亮，好似是回母校参观的，像极了拍韩剧现场
1689345347# #男朋友要供我读书被我拒绝了男朋友说要供我读书，最后被我拒绝了
1700878896# #狗狗我呀就是吃的多了点结果被你们说是猪开学季
1691155181# #鞋太臭被邻居用袋子包起来了鞋太臭被邻居用袋子包起来了
1692889030# #千万不要把电脑放行李箱里我都已经把电脑放到电脑包里，用衣服裹了一圈，再塞到行李箱里了，他还是被磕到了
1692974897# #起猛了看见狗狗在厨房做饭谁懂啊，一大早就在厨房忙忙碌碌要给我做早饭
1689936522# #真的有人不会用筷子吗真的有人不会用筷子吗？
1694477654# #原来重庆旅游真的不分淡旺季特地避开暑假和国庆来玩，以为人会少很多，结果每个景点都是人从众，特别是洪崖洞，等个电梯等到奔溃！
1698645131# #iPhone15Pro官方首次现货降价iPhone15Pro官方首次现货降价
1688913839# #吃的太撑结果地铁上被让座了因为吃的太撑，结果在地铁上被让座了
1687837817# #才知道剥开的榴莲不能上高铁才知道剥开的榴莲不能上高铁
1688695113# #上岸第二天就被介绍对象了上岸的第二天就被介绍对象了，离谱的是这个人竟然是我的对手
1697465063# #中奖5000万你会立马辞职吗但凡对辞职犹豫一秒都是对五千万的不尊重
1697812178# #同学把吃剩下的蛋糕给我吃一个不太熟的同学把吃剩下的蛋糕递给了我，我当时脑袋懵到说了声谢谢...
1694064383# #实习结束后才发现单位有只猫感觉自己错过了一个亿，还是只大橘，早点发现的话肯定天天去撸它，它看起来很像疲惫的打工人
1687943852# #不要再坐公共场合的按摩椅了不要再坐公共场合的按摩椅了
1687418228# #在广东出门必须要打伞吗在广东出门必须要打伞吗？
1690036332# #录取通知书被狗狗咬碎了录取通知书被狗狗咬碎了
1694997291# #因为玩泥巴被学校通报了你永远也想不到被学校通报的原因，谁家高中生会因为玩泥巴被通报呢！
1688697329# #在地铁上发疯果然有用在地铁上发疯果然有用，哈哈哈哈哈
1696210784# #那你跟猕猴桃商量一下，让他们一个一个熟doge
1698757419# #被朋友圈的结婚邀请整破防了被朋友圈里的结婚邀请整破防了，这文案也太走心了吧
1687329500# #外卖小哥口中的同事是我领导小哥说我的外卖被同事捎上去了，结果小哥口中的同事是我领导
1687870584# #因为不想结婚结果被妈妈骂了因为不想结婚结果被妈妈骂了
1694228006# #洗完澡掉头发结果被爸爸骂了洗澡掉头发不正常吗，就必须立刻全都抓起来打扫吗，上了一周班累死，周六还得六点起来洗澡出门办事，一洗完我爸就开始骂我不打扫卫生！
1703072378# #才知道刚出土的兵马俑是彩色的才知道刚出土的兵马俑是彩色的
1689928178# #没想到荷包蛋竟然也能速冻没想到荷包蛋竟然也能速冻，太炸裂了
1687911292# #独居女生租房一定要先换锁独居女生租房一定要先换锁
1688010556# #因为在地铁上喝水被开了罚单因为在地铁上喝水被开了罚单
1694319003# #南方人不是这样切白菜的吗南方人平时是怎么切白菜的？
1696861657# #为什么2024年不能结婚好消息是明年不能结婚，代表明年不会催婚了，坏消息是明年不能结婚代表今年麻溜得结了
1689666408# #酒店双床房为什么只能住两人酒店双床房为什么只能住两人？
1689844368# #原来教练才是真正的段子手原来教练才是真正的段子手
1694563770# #为什么给客人倒茶不能倒太满为什么给客人倒茶不能倒太满？
1688730282# #没想到保洁大叔家里有房有车没想到捡瓶子的保洁大叔家里有房有车
1689409932# #当狗狗偷吃完火龙果后偷吃完火龙果的狗狗还一脸傲娇
1697118766# #千万不要吃绿化带里的水果绿化带里不知名的水果千万不要吃，隔着屏幕都被酸到了
1697205921# #原来盖厚被子睡觉会睡得更香盖重被子能让大脑中分泌的褪黑素增多，自然也就睡更香了，这也是为什么很多人觉得冬天睡觉比夏天睡得香！
1689949723# #高铁上的饭为什么卖那么贵高铁上的饭为什么卖那么贵
1698154546# #为什么美国连高铁都没有美国面积那么大，人口众多，如果修了高铁，交通岂不是很方便吗？
1702805886# #跨年最有氛围感的城市去年陪你跨年的人今年还在吗？
1687865809# #大学室友毕业后直接把我删了大学室友毕业后直接把我删了
1689001711# #没及时回信息被发朋友圈阴阳了因为没及时回信息，结果被人发朋友圈阴阳了
1694912756# #每一种饺子都出乎我的意料学校的每一种饺子馅都出乎我的意料，平时只吃过猪肉大葱馅的我陷入了沉思
1688356769# #差一点我就财务自由了差一点我就财务自由了
1694648349# #为什么很多人用陈皮当嫁妆陈皮真的很值钱吗，竟然可以用来做嫁妆
1692022601# #开学要带但是容易忘的物品一人说一个开学要带但是容易忘的物品
1700185915# #你们有没有这种感觉养了狗以后别人夸了狗比夸自己还开心允悲
1690077704# #好朋友从来不给我朋友圈点赞好朋友从来不给我朋友圈点赞
1689749578# #每次都不敢喝酒店的矿泉水每次都不敢喝酒店的矿泉水
1689690485# #没想到拧瓶盖把手拧骨折了没想到拧瓶盖把手拧骨折了
1688730536# #在高铁上到底能不能吃泡面在高铁上到底能不能吃泡面
1693009977# #为什么川菜这么油胖子却很少平时和盆友们吃饭，一碗面半碗油，吃冒菜冒烤鸭油也特别多，但身边的盆友们都很苗条，到底是为什么呀！
1702805563# #各个地区跨年的名场面今年你会在哪个城市跨年呢？
1694563187# #被上海的草莓熊月饼拿捏了上海的月饼可以有多卷，竟然出了草莓熊的月饼！
1689937051# #医生说不结婚会得很多种病医生说不结婚会得很多种病
1694834174# #长期吃辣到底会不会长痘痘以前会听到有人说吃辣不会长痘，今天长了一颗痘就怪昨天吃了辣椒。可我身边有一个朋友，吃的巨辣，几乎每天都要吃辣椒，皮肤也很好诶！感觉二者似乎并没有太多关联
1689812522# #没想到哭竟然还可以治病好像这在中医里面叫，以情治情。这位中医真好
1688802687# #上班第一天就被通知不合适我才惨，做了一个月然后因为他大小周改月休四天我提了一下意见就把我辞了
1695260158# #这公交车坐出了高铁的感觉好久没坐过公交了，今天等我妈下班一起坐公交回家，结果一上车被吓到，外面的世界发展成这样了吗？
1700228915# #被爷爷的礼物和纸条整破防了平常舍不得穿舍不得吃的小老头，每次我回家都偷偷给我钱，今天我生日，又看到他往我包里放了东西
1704080359# #上海跨年夜全场大合唱太燃了上海的朋友有福了doge
1699108692# #因为用车推快递在小区出名了虽然月黑风高的，但也明显能察觉到小区里来自四面八方的目光，哈哈哈哈
1695375959# #不小心把雪莲果当成红薯蒸了太像红薯了，蒸了好久用筷子戳戳发现还很硬，切开一看肉是白色的，才知道我把雪莲果当红薯给蒸了
1690344597# #打架受伤的猫猫有多好笑打架受伤的猫猫有多好笑
1700229350# #景区里的石头竟然都是假的景区里的石头竟然都是假的，我一定不是最后一个人知道的吧
1694735180# #爬完泰山真的会瘦几斤吗听说爬完泰山能瘦个几斤，快来个爬过泰山的人过来告诉我是不是真的
1698326867# #如果有一个亿你还会上班吗如果你有一个亿的话，你还会上班吗？
1697763012# #因为别人吵架我被免费升舱了因为座位旁边的人吵架，结果我被免费升舱了
1688541007# #科目二约成科目三直接挂科了科目二约成科目三直接挂科了
1697294354# #四川人连早饭都是重油重辣吗四川人早上吃饭都是重油重辣吗？
1687564139# #你会在乎朋友圈点赞和评论吗你会在乎朋友圈点赞和评论吗？
1698757229# #真的建议婚房装饰不要贴贴纸婚房装饰真的劝退，用美纹纸打底也会掉皮，还粘不牢，真的建议还是买大的立在一面空旷的地方当拍照背景墙，千万不要上墙！
1697721357# #感觉结婚没有领证的必要了办一场婚礼，在一起过也挺好，有没有一张证好像也没什么区别，万一不适合及时止损
1701238817# #你会把自己的爱好当成工作吗你会把自己的爱好当成工作吗？
1688715952# #刚领完结婚证就被狗狗咬碎了看来狗狗不太同意这门婚事
1693796890# #为什么广东人煲汤那么好喝为什么广东人煲的汤那么好喝？
1698898338# #减肥瘦下来后被朋友说生病了每天都在认认真真的调整饮食，高蛋白低碳水的这样坚持，好不容易两个月了到达了我期待目标…发个朋友圈自恋一下都会被问是不是有病？？
1688173048# #高考657分想重新复读一年高考657分想重新复读一年
1699263162# #男朋友父母只给了我2元红包第一次去男朋友家里，他父母给的红包2元，这是什么意思呢，坐标广东，还有我并不是空手去的，买了一些水果补品。
1689644684# #医生给狗做绝育时被狗咬了心疼医生三分钟哈哈哈
1688693555# #考完科目一后还欠了驾校1分万万没想到自己考完科目一后还欠了驾校1分
1693873548# #四川人都是这样吃面的吗我姐地道四川人，她说晩饭要吃面，端出来这么大一盆吓我一跳！哈哈哈哈哈哈
1696602810# #喜欢吃葡萄的人都沉默了用空气炸锅烤葡萄，喜欢吃葡萄跟不喜欢吃葡萄的都沉默了
1687747195# #真的有人连一点社交都没有吗真的有人连一点社交都没有吗？
1696084617# #看电影和吃火锅的都沉默了喜欢看电影和喜欢吃火锅的都沉默了
1688566443# #千万不要去尝试群演行业千万不要去尝试群演行业
1687598933# #在你姓氏中最有名的人是谁在你姓氏中最有名的人是谁
1693401569# #四川兔子都是吃辣椒长大的一整个震惊，四川兔子都是吃辣椒长大的
1694869849# #才知道养多肉是需要补光的养多肉是需要补光的，不会只有我不知道养多肉需要补光吧？
1690851487# #因为和公婆分开住而哭了因为和公婆分开住而哭了
1689750293# #旅游时你会选择住无窗酒店吗旅游时你会选择住无窗酒店吗？
1693926517# #千万别带男朋友去涂石膏娃娃千万不要带男朋友去涂石膏娃娃，因为你永远不知道他有什么天马行空的想法
1695252814# #千万不能坐别人坐过的热凳子公共场合你会坐别人坐过的热凳子吗？
1694617774# #这不是自建房这是自建城堡吧别人都是自建房，这直接是自建城堡吧
1687489377# #千万不要太频繁的洗澡千万不要太频繁的洗澡
1689382821# #狗狗是我学习路上的绊脚石狗狗是我学习路上的绊脚石
1700284360# #找对象的尽头竟然是高中同学？？？？？？
1687225696# #网上很火但是你不懂的梗有哪些网上很火但是你不懂的梗？
1693838915# #你可以永远相信深圳的厕所毫不夸张的说，深圳的厕所比我家都干净，并且永远有纸
1700357339# #头一次见粉丝一届比一届年轻
1689690514# #没想到挤黑头给腿上挤了个洞没想到挤黑头给腿上挤了个洞
1695171686# #在四川完全没有便秘的烦恼来四川一周多了，吃完饭就想上厕所，谁能告诉我这正常吗？其实我吃的并不辣，只是菜里有红油，而且我也没喝冰的，只是普通的室温水，吃什么会不拉肚呢？
1689305021# #爱吃雪糕和螺蛳粉的都沉默了爱吃雪糕和爱吃螺蛳粉的都沉默了
1694151096# #为什么越来越多人喜欢养猫我不怕黑夜，因为打开门的一瞬间小猫会在门口迎接我，物质上我养它，精神上它养我，我本来就是个孤独的人，只有猫咪一直陪着我
1688784185# #送朋友礼物结果被嫌弃价格低送朋友礼物结果被嫌弃价格低，我该如何回应？
1702266544# #我发朋友圈说搞点夜宵778我妈说我一个人吃的什么夜宵这么贵笑cry
1688813086# #新招的应届生比我工资还高公司新招的应届生，比我干了两年的工资还高
1696154537# #你和我妈一个省吧，她还在粥里泡蛋糕泡辣条跪了
1687692384# #是谁说放卫生纸洗衣服更干净是谁说放卫生纸洗衣服更干净的？
1688082919# #在地铁上喝水被开了张告知单在地铁上喝水被开了张告知单
1699406089# #哈哈哈哈哈就像我小时候一直以为家里面米缸的米都用不完允悲
1692974864# #为什么大家很反感黑底红玫瑰不知道为啥大家一致的讨厌这种花束，我感觉还挺好看的，有一种独特的的魅力，也不是那么丑呀哈哈哈哈
1690456771# #原来粥真的不能多喝原来粥真的不能多喝
1687575725# #不考虑薪资最想做什么工作不考虑薪资最想做什么工作？
1690164853# #家里安装的蹲厕被亲戚说太土家里安装的蹲厕被亲戚说太土
1697982596# #为什么现在退房酒店不查房了记得以前在酒店退房的时候，保洁员都会检查房内的物品是否缺失，为什么我今天定的这个退房的时候直接就可以走了？
1687305722# #室友搬走后把镜子砸碎了室友搬走后把镜子砸碎了
1702448798# #竟然被陌生人的善意整破防了竟然被陌生人的善意整破防了泪
1689777869# #相亲对象把我一人丢在外地了相亲对象把我一人丢在外地了
1698712899# #千万别用商场里的卫生纸了商场厕所里的卫生纸千万别再用了
1689294183# #结婚酒席被妈妈发朋友圈吐槽了结婚酒席被妈妈发朋友圈吐槽了
1694002943# #有没有网上很火你却不懂的梗网上哪个梗很火，你却不懂呢？
1693752410# #为什么江苏人都没有夜生活十点左右大部门店铺已下班闭店，为何江苏的城市不像长沙成都那样有丰富的夜生活？
1695603220# #被公司发的中秋福利惊到了这是什么神仙公司，还缺人不？
