1691972540# #投资是令人激动和愉快的事，但如果不作准备，投资也是一件危险的事情。
1700704816# #在传统文化中溶入现代元素，将戏曲与流行、说唱等结合，创编出10多首国潮音乐惊艳网友，“95后”戏曲硕士刘书含走红网络，登上央视，让年轻人看到戏曲有多“潮”！
1699672650# #金刚蹲锻炼法，简单又有效。
1692462329# #施暴方认为过去的事都过去了。。。受害方你不道歉，不赔偿就当没发生过，哪有这么好的事。。。
1693798596# #收藏学习~
1702138987# #这个科普好goodgood
1701098754# #赞
1693315522# #只要锻炼10分钟就胜过跑步30分钟！这个要练练，转存！
1703517832# #一针见血汗汗汗
1690707842# #手动点赞赞
1703761251# #她先看到了钱才从这里下去的。
1693714252# #韩国科学家，可信吗？允悲
1694231788# #收藏学习
1696162859# #图解巨量阳、巨量阴试盘形态，转需。
1696309144# #英语零基础音标速成。转存！
1703518288# #说得太对了赞
1696856063# #码住慢慢看！
1699078446# #转发微博
1699075018# #赞
1695648607# #学到了，码住。
1696475568# #收藏起来学习
1700138753# #《重读资本论》（全28讲），马住慢慢听！
1692805797# #人可以活多久？。人活到50岁的概率是92%，。人活到60岁的概率是83%，。人活到70岁的概率是44%，。人活到80岁的概率是18%，。人活到90岁的概率是1.0%，。人活到100岁的概率是0.6%，。人活到110岁的概率是0.05%，。人活到120岁的概率是0.002%。人的一生真的很短！。人的一生也很长！。。在能力之内，。过好每一天，。谁
1703243892# #看看人家这身段，这歌喉，比现在那些所谓的明星，是不是强几万倍？
1701841603# #码住试试！
1699360460# #周朝到秦朝
1700667515# #码住慢慢看
1699680495# #收藏起来学习！
1697085394# #12种底部形态，收藏学习。
1698671336# #只要自己行驶规范，同时又买了保险，那就不急
1701220037# #这个好。
1702554298# #转发微博
1703305516# #讲的太好了！值得一听！
1703136133# #码
1702115195# #转发微博
1701394280# #心
1700109969# #赞
1702822017# #收藏起来慢慢看
1697190567# #码
1700493210# #10条准的吓人的识人技巧赞
1699180398# #赞
1700658011# #看哭了泪泪
1698554454# #码住
1690385339# #实战干货：资深操盘手的内心独白，三个要点教你彻底看懂成交量，码住。
1703906984# #码住慢慢看
1688569932# #码住慢慢看
1700051137# #现在能挣钱就是本事！
1692395797# #冯骥才说：。。“人的力量主要还是在自己的身上寻找，别人给你的力量不能持久，从自己身上找到的力量，再贯注到自己身上，才会受用终身。”。。人生，生命总有裂缝，生活总有残缺，唯有内心通透，攒下钱，享受独处，懂得知足，精神自洽，才能一生圆满。
1690632612# #高毅邱国鹭对话高瓴张磊：优秀投资人的特质。时长54分钟，收藏起来慢慢看！
1697461877# #码
1687274389# #历史纪录片《夏朝》它是中国历史上第一个王朝，收藏起来慢慢看。
1696439382# #转发微博
1700801228# #赞
1692376673# #很多上市公司，上市的目的是什么呢？不用我说你也差不多知道，有几个是上市后一心想着成百年老店，奔着万亿市值去的？他们大多数是盼着早日到解禁日，能卖的就早点套现。孙子辈都花不完了，谁还着带股民共同富裕？。。那怎么办呢？俺觉得要减持可以，你上市公司从股民手中融了多少资，必须向股民分多少钱
1700149423# #手动点赞赞
1695151643# #俺敢保证，这个视频会有人刷5遍
1702484264# #赞
1699184103# #逝去的青春……
1702804575# #天才少年的平凡心态，好乐观的笑脸
1692434462# #我从来没有认真听过李玟的音乐，但我现在对她充满了敬佩！勇敢和正直在这个国家是稀缺的品质，爱是一切的源头。在这个越来越黑暗的时代，你是一点纯洁的亮光，
1702709379# #收藏学习
1697250199# #金融纪录片《美国投行的兴与亡》，码住慢慢看
1697726697# #一路追着别人的步伐，会错过沿途的风景。
1690213176# #关于股票的经典语句。。　　1、地量见地价，先有地量，后有地价。。　　2、看家十字星，脚底须抹油。。　　3、预测与实战截然区分，预测海阔天空，实战机敏灵活。。　　4、能量朝稳步走高，五线向上牵大牛。。　　5、长线是纸，短线是金。投机市如此。。　　6、周k线的一个价托涨三个月。。　　7、曾经跌停难为
1689210451# #实战技巧：短线高手对于5日、10日、30日、60日均线怎么看？新手必看，码住。
1697803772# #码住慢慢看！
1688222145# #很真实，说的太现实了。
1698331432# #梁小龙谈周星驰，这个版本很完整。
1696342596# #陈奕迅太敢说了！
1693358288# #海通证券：煤价上周五止涨，电力即将重估！。。上周矿难导致煤炭供给收紧，但上周五煤价已经止涨，我们认为现阶段电力板块投资价值十分明显。据中国新闻周刊百家号，8月21日，陕西延安新泰煤矿（年生产能力30万吨）发生瓦斯闪爆事故导致陕西产量收缩。需注意7月以来山西内蒙都在收缩产能，但电厂存煤逆势
1702896687# #码住慢慢看
1692879334# #学会“三阳凹量”形态，找到主力拉升的股票。。。“三阳凹量”形态需要的条件和细节：。。1、三连阳一般出现在周线级别的底部启动期，三红兵，说明主力的强势。。。2、出现三连阳，对应着量能是，中间低两边高，形成凹形口。。。3、需要重视的一点就是，介入时股价要在55周均线上方，意味着在250天牛熊分界线
1689044893# #本人真帅！赞
1696415410# #赞
1701220065# #收藏起来慢慢看！
1700971381# #一定要告诉孩子：剧烈运动后，这五件事不能做！！！
1692361982# #精辟！
1703340061# #董宇辉很火啊思考思考
1687787659# #赞
1696956981# #码住慢慢看
1692927778# #先把脑子好好补一补吧，动不动就抢这抢那
1696257065# #先码后看
1700982272# #收藏学习
1696757684# #涨知识了，码住！
1702881137# #赞
1703991156# #转发微博
1695221720# #真自信和幽默，爱了
1693320038# #收藏备用！
1697335580# #五味杂陈！
1702996920# #赞
1696255994# #转发微博
1702732178# #在古代，把养育之恩，救命之恩，知遇之恩，称之为“三大恩情”。
1697193610# #赞赞
1703403597# #码住试试吧
1694943712# #好创意赞
1700881808# #太温暖了，手动点赞赞
1693836956# #摘：豆瓣9.6分纪录片《史前星球》，值得看
1694166183# #转发微博
1696177011# #满足以下至少6个条件，说明你活得很通透：。。1、同学聚会，不去。。2、手机不坏，能用就可以。。3、几乎不喝奶茶饮料，只喝白开水。。4、衣服反季买，水果只吃应季的。。5、头发从不烫染。。6、人走，随手关灯。。7、遇到超市做活动，会囤一些性价比高的生活用品。。8、买衣服首选经典款，不容易过时。。9、步行
1701674543# #收藏学习
1703604409# #收藏备用赞
1701074480# #转发微博
1700666899# #赞
1697817681# #转发微博
1703342472# #有钱独立，不结婚也挺好，我感觉以后养老院会非常赚钱！
1699976177# #试试
1701704610# #收藏起来
1692540083# #【彼得·林奇无价的一次访谈：把投资简洁化】在这段访谈中，特别嘉宾彼得·林奇（PeterLynch），讨论了他对股市的看法和给投资者的建议。PeterLynch曾是FidelityMagellan基金的管理人，从1977年到1990年，该基金在他的管理下成为世界上表现最好的共同基金之一。此后，他一直活跃于写作、教学和慈善事
1701100485# #码住慢慢看
1699072282# #码住慢慢看！
1697464938# #赞
1687272566# #美国译制动作片《向望太阳》史蒂文·西格尔，先码后看。
1693041721# #学到了
1701411389# #转发微博
1700975104# #18年在专栏里就说过，只要有钱赚，而中国这种体量的必争之地，什么制裁都枉然。打个不恰当的比例，美国几十年来每年投入禁毒的预算，超过全球80%国家的国防预算，但然并卵，上百亿的利润，拼死都要运进美国这个全球60%份额的市场。
1698039034# #我发誓，等我达到一个小目标，一定给我孩子找个这样的后妈！
1703491807# #经典黑帮动作片《纽约黑帮》主演：莱昂纳多·迪卡普里奥
1691636635# #芒格的18条建议让你比同龄人优秀！。查理.芒格获得成功最重要的秘诀是他的多元思维模型，这是他的智慧格局，这里只把能通用的精华内容分享给你，收藏学习。
1701683900# #赞
1699232071# #这智商是老大？
1700058157# #六分钟看完中国河流
1698139618# #这孩子太好啦！
1693659778# #这是干嘛的？
1703740070# #吃的太饱doge
1703074120# #心疼宝宝爸爸内心很强大～
1697722873# #赞
1699196481# #难怪那么多人喜欢去夜店。。。
1700841293# #码
1694329653# #赞
1702918107# #赞
1700788116# #码
1701012755# #最好放开外国人买房，全款就行了，买了又带不走，反正现在房子卖不掉。
1703254230# #码住慢慢看
1699356868# #转发微博
1695603843# #【平安证券】行业深度报告*食品饮料*预制菜行业研究系列报告一。。。核心观点:预制菜行业当前处于蓝海市场，万亿级空间待发掘。预制菜当前为蓝海市场，根据艾媒咨询数据，2022年中国预制菜市场规模为4196亿元，预计2026年将达10720亿；行业格局来看，当前市场正处于群雄逐鹿阶段，大局未定，行业集中度低
1695564966# #学会放松，不要让自己活得太紧绷。
1701488550# #转发微博
1703206856# #码
1700058120# #转发微博
1703300349# #转
1690211528# #实现财富自由的方式并不复杂！
1693956641# #帮转！赞
1703254119# #乡村振兴之典范！
1695957754# #实用，转需。
1691675970# #明天小涨的概率99%
1692449320# #码
1696337251# #转
1692923777# #从14800元/平方米到19000元/平方米，长沙房价限价创新高释放积极信号！。。据中国房地产报消息，楼市低迷不振之际，地方政府方面通过释放政策信号提振市场信心。8月24日，长沙市国土资源网上交易系统挂牌一宗房价限价创新高的涉宅用地，该宗编号为2023长沙市041号的商住地块，住宅（毛坯）限价（均价）
1693529087# #转发微博
1703683704# #按照现在的技术，其实不用打击，直接从技术上把限售股锁死不就行了吗？让限售股彻底无法交易，避免有人为因素违规！
1700908201# #收藏学习
1695954479# #转发微博
1691677335# #段永平的不为清单。。1、不做空。——避开错误归零模式。。。2、不借钱。——避开错误归零模式。。。3、不做不懂的东西。——要在能力圈内投资。。。4、不要走捷径。——捷径一般是最难最长的路。。。5、不盲目扩大自己的能力圈。——投资人最容易犯的错误。。。6、不频繁决策。——决策越多，犯错机会越多。。。7、
1695297071# #为了300美金至于吗？
1690247454# #本次会议指出“要加大保障性住房建设和供给，积极推动城中村改造和“平急两用”公共基础设施建设，盘活改造各类闲置房产”。有四大要点：1、主体责任方面，明确城市人民政府负主体责任；2、资金筹措方面，要多渠道筹措改造资金，政府出资之外，还要鼓励和支持民间资本参与；3、改造方向方面，并非以商
1703314531# #大爷活得通透！
1700479972# #他只是做错了题，又不是做错了人！
1700479924# #赞
1703341296# #现在大家称呼这样的人是情商高
1693275866# #转发微博
1703296924# #转发微博
1695734062# #丫丫太美了！
1697208400# #好听赞
1690514746# #转发微博
1696498561# #第一名那个小哥好牛，行云流水啊！
1703397468# #网红的尽头带货
1698680489# #蒋勋老师goodgoodgood
1695002262# #【十大顶级金融纪录片】。。1、《货币崛起：世界金融简史》。2、《货币之溯源》（全6集）。3、《百万美金交易员》（全3集）。4、《货币》(全10集)。5、《制高点：世界经济之战》。6、《美国投行的兴与亡》。7、《安然风暴》。8、《风投这东西》。9、《金融危机秘史》（全6集）。10、《华尔街之狼
1702628102# #收藏学习
1692626340# #如果只允许你跟他说一句话，你会说什么？
1695962760# #呃，都濒危物种了，不采用近亲繁殖，难道等着消失嘛
1700748352# #码
1703323474# #转发微博
1703942362# #赞
1695135164# #明天的A股怎么走，我知道。高低开，上下震荡，向右走！
1699099845# #码住赞
1693715241# #台风也解风情，吹动了少年的心
1693437174# #写得很好，先转后看。
1699982353# #经典动作美片《越狱》全剧集解说，码住慢慢看！
1700966519# #转发微博
1703305045# #码住试试
1687672433# #世界名著《简爱•1970》
1695650889# #节前还是不要抱有太大的期待的期待！
1694525809# #转发微博
1693405209# #允悲
1691225691# #码一个
1694356406# #今年才40岁，感觉已经被社会淘汰了！。1.已经不上班了，在家过上了躺平的生活，每月有20000块钱的利息收入还有10000块钱的房租收入；。2.基本上没有朋友，和别人说不到一起去；。3.每天跑步，吃完饭在小区闲逛；。4.不发朋友圈，微信好友也没有几个人；。5.每天家里的一日三餐全部都做；。6.没有什么欲
1700408370# #赞
1699780105# #以前我也这么想的，但是随着夫妻俩有了房有了积蓄，忽然想到有一天自己辛苦打拼出来的这些就可能被不喜欢的亲戚继承了了，忽然又觉得一辈子累都累了，也太亏了，还是生个娃接着吧。
1703136307# #码住试试吧
1704123699# #英雄在默默守护，无比敬佩。
1692545389# #一张图看懂顺产，做女人真的不容易！。要我说，不管哪种生产方式都是痛苦的，没有女人可以轻轻松松当妈。比起生育的苦，后期抚养操的心才叫真的苦！
1699718366# #码
1695171180# #国盛证券：电力现货市场建设迎来里程碑，新兴商业模式有望加速验证。。。事件：2023年9月7日，国家发改委、国家能源局联合印发《电力现货市场基本规则（试行）》（后称“《规则》”），从衔接机制、计量、结算等多方面规范电力现货市场运营和管理。。。首个国家层面规则落地，电力市场活跃度有望持续提升。
1698936692# #码住试试吧
1695013169# #【顶级对冲基金大神阿克曼：我来教你投资和金融】这次阿克曼先生抽出了60分钟时间，以一间柠檬水店为案例，详细介绍了在小店经营过程中碰到的各种金融和投资问题。生动形象，深入浅出，60分钟包会。
1701314310# #U盘损坏无法打开怎么办？这个要知道！
1692687996# #马住
1699165238# #看看👀goodgood
1690504980# #降息尚远——美联储7月议息会议点评。美联储7月FOMC会议如期加息25BP，将联邦基金利率区间上调至5.25%-5.50%。美联储主席鲍威尔指出，通胀已经在一定程度上得到了缓解，不过通胀回落到2%的过程还有很长的路要走；联邦基金利率水平已经处于限制性区间；如果数据显示有需要，可能会在9月份加息；今年不会
1694443777# #图解"卖点离场六式"，会买的是高手，会卖的是大师，这句话是股市中的一句经典名言，主要强调了掌握卖出股票的技巧对于投资成功的重要性。
1696512310# #码住
1690505700# #公用事业：火电发电高增，板块持仓环比提升。根据基金23年中报，公用事业板块基金持股市值为955亿元，环比23Q1增长28.5%，持股市值占基金股票投资市值比为1.54%，环比提升0.38pct。火电：煤价下行盈利改善，火电持仓显著提升，我们看好火电企业盈利继续提升，Q3有望迎来基本面和预期的明显变化；水电：
1694161537# #坚持吃了一个月…。老祖宗果然有点东西。我就是脾不好，吃了很多补品都不吃不进去，后来姥爷从乡下来看我，居然让我吃烤馒头片？！说面食是最养人的，我们亚洲人的体质就适合吃面食五谷。。他教了我一个配方：。把馒头切成片状，放进空气炸锅烤成金黄色脆脆的，我把温度和时间放在图里，160度烤5分钟，翻面
1696953335# #码住慢慢看
1703991194# #成人版演练：《明目功》依托传统医学理论，从根源养护眼睛！
1700838726# #成年人的世界里没有容易二字啊
1701653213# #码住慢慢看
1702389056# #一辈子也不过三万天，好好活着！
1692519660# #延长交易时间对于券商有利，然而没解决根本问题！
1692022493# #一起来涨知识
1696358425# #码
1700485211# #赞
1703353327# #终极指南：如何高效且聪明地学习？华盛顿皮尔斯学院心理学家洛德尔研发了一种帮助大脑高效学习的学习技巧。
1703343695# #码住慢慢看
1698912524# #好听，码住慢慢听！
1699193625# #绝对的高手在民间赞
1703499826# #码住试试吧
1693835556# #我投给了“能”~
1699532358# #马住！
1698886196# #收藏学习
1699715174# #看完我又相信爱情了！
1699084773# #码住试试吧
1699327152# #赞
1693819667# #赞赞
1691580495# #第二条也很关键！
1690383205# #泪
1697855470# #明目张胆的掩耳盗铃，霸权行径还无掩饰。庆幸生活在和平的国家。
1688659876# #听听
1700411741# #码住慢慢看
1699713645# #哈哈哈哈哈哈哈
1694393345# #出口数据：8月出口金额同比降幅明显收窄，一是源于基数走低，二是源于外需压力边际减弱，其中，对美国、东盟出口的同比增速均有大幅抬升，汽车、家电、船舶对出口的拉动力较强。往后看，随着低基数效应显现，海外补库周期逐步启动以及国内稳增长政策累积，出口和进口均有望继续好转。
1703998664# #码住慢慢看
1697865692# #码住慢慢看
1691900017# #怪不得小孩这么没家教，因为他爸妈更没家教！
1698455691# #码住慢慢看
1696439304# #码住慢慢看！
1692711335# #年轻真好
1699764478# #码住试试吧
1697693428# #摘：该片讲述了两个暗地相爱的男女却饱受折磨和摧残的故事……👀👀
1688231374# #转发微博
1700316028# #收藏起来学习
1703301766# #句句都是实战经验，千金难买
1698049074# #这些记录太难得了，保存下来给孩子看
1694963953# #小孩子不懂事，大人也不懂吗？
1699356923# #年轻真好！
1704123655# #码住慢慢听
1699102039# #码住试试吧
1703213534# #转发微博
1688578563# #日本影片《间谍之妻》，码住慢慢看
1689264438# #新手小白快来学！短线高手总结的成交量四条规律，码住慢慢看。
1696342131# #赞
1694938144# #赞
1696073013# #倾家荡产的赔，然后杀
1702911388# #要么不要接，要么停车再接，这次上一课，学费代价有点大。
1690158600# #截至2023年6月30日，公募基金管理规模（不含货币基金）合计约16.21万亿元，相较2023年3月31日增加约4684.69亿元。剔除ETF联接基金投资于ETF部分以及持有内部基金的规模后，公募基金总规模（不含货币基金）约为15.85万亿元，相较前一季度末增加约4636.83亿元。2023年二季度，剔除ETF联接基金和持有内部
1701615638# #赞赞
1693241008# #形态分析理论——七种经典形态图形买卖点解析，转需。
1691504019# #刘欢.那英.孙燕姿.王力宏.韩红.周华健.梁咏琪.羽泉.成龙.任贤齐.蔡依林.孙楠.周笔畅.黄晓明.汪峰.莫文蔚.谭晶.陈奕迅.林俊杰.阿杜.容祖儿.李宇春.陈坤.谢霆锋.徐若瑄.费翔.林志玲…真是大牌云集！
1698994856# #允悲允悲
1704192152# #确实是有水平。
1698156035# #+1
1695744789# #我是真的佩服我的老婆。当年谈恋爱时当我知道她是重点高中毕业的时候，我就决定就是她了。后来才知道，她的重点高中是通过竞赛上的，知道这些后心里就像捡到了宝一样。要知道，在我们这个小县城，八十年代出生的能上个初中就不错了，何况是通过竞赛上的重点高中。结婚后，有了闺女，慢慢的发现当初我的
1700147189# #投资大师的经验之谈赞
1696161587# #码住试试！
1697896302# #痛苦的与上帝的契约！
1703472781# #转发微博
1699180473# #看完叹为观止！
1703222126# #这种无赖送到警局关几天就得了，这种混种该治治。
1692945834# #第一眼，你看到了啥？
1696430202# #学到了，转需。
1700109981# #收藏学习
1699095632# #这样的好老师不多了…
1701578316# #手动点赞赞
1694474692# #转发微博
1694604080# #涨知识了赞
1692069340# #为什么社会上层这么多人渣？看完有点扎心了允悲
1688916089# #这个逻辑没问题，把行业风险尽可能裸露出来，有利于行业生态健康发展。新兴产业前期野蛮式扩张就得有承受阵痛的能力
1696313533# #太棒了赞
1702452739# #赞
1688569914# #如何提高当众讲话的能力？马住看看！
1701488542# #转发微博
1703499782# #码住试试吧
1698487798# #好人有好报
1696306413# #孩子不孝顺都是有原因的
1699265860# #罕见的老照片赞
1694267787# #先马后看
1690631790# #句句在理，字字珠玑赞
1699076690# #码住
1698335870# #了解抑郁症，理解抑郁症者，预防抑郁症。
1690607354# #假如中奖一个亿，你会怎么做？
1698635914# #允悲允悲允悲
1699794199# #赞
1703517106# #收藏备用
1688998916# #听听
1698897631# #码住慢慢看
1700298438# #原来鸡急了也能飞起来
1703594803# #真是一个好地方。
1701509468# #赞
1697203125# #加塞全责
1700973501# #活该被辞退！
1693889269# #我有点不明白，我TM也是认真上班努力工作，一个月下来也没几个钱啊，这些人动不动就几十一百万的打赏，这钱捡的吗？
1698580533# #哈哈哈哈哈哈真的太搞笑了
1703478587# #码住
1688871286# #在单位不要抱怨，多看多听少说话。领导说的永远是对的！
1702695671# #赞赞
1691673381# #然并卵……
1694952916# #只有我这样的中年大叔才喜欢吧？
1699089064# #哈哈哈哈哈哈哈哈哈哈哈
1695384588# #转发微博
1695346380# #锂电储能技术产业链（附股），转需。
1697190668# #太帅了赞赞
1698680406# #码住慢慢看
1688987824# #讲的挺好，码住慢慢看
1696475604# #涨知识了！赞
1694327407# #想不到居然也是这样子的张老师了，很厉害赞
1695355837# #粉丝量战胜了知识量
1692253396# #反腐又不是反医疗，怎么就人心惶惶了？难道让他们干干净净的挣钱就影响他们的医术了？
1692024040# #投资好文：《投资是一场修行》刚刚读罢此文，内心久久不能平静，文中笔者并没有讲述自己如何实现财富自由的，但处处在映射财富自由需要的心态。。。有的人认为投资时做好自己的修行与心态，否则一事无成，要为兴趣而工作，而不要为钱而工作。。。所谓投资上的修行，就是把自己给做好，任何认为投资困难的
1691918355# #实战干货：短线顶级技能，交易计划（一）
1696395651# #10分钟搞懂微积分，说的真好。
1700493428# #赞
1690554331# #看着就难受…心意到了就行，没必要要铺张浪费。祭奠的东西他们也吃不了，看不了。但是这些东西对于贫困山区的孩子是一年甚至好几年的口粮。不喜勿喷，纯属个人想法。
1692598387# #投机之王“杰西·利弗莫尔”的48条投资秘籍，建议收藏学习。。。1、你有一个想法，请不要急着去交易，等市场开始证明你的想法是正确的时候再去交易。。。（这句话说的是要右侧交易）。。2、股市不是胜者为王，而是剩者为王！。。（拒绝大幅回测，稳重增值且长期活在市场中最重要）。。3、我的经验是，如果我不是在
1694957582# #大长腿要再细点就完美了！
1702270230# #转发微博
1695405535# #【查理·芒格：成为亿万富翁的5个步骤】。。1.提高你的幸运度（在有鱼的地方钓鱼）。2.赚到你自己的第一桶金。3.你需要投资。4.避免入不敷出。5.避免过度的多样化（要有一定的集中）。
1703223257# #赞
1699059598# #码住慢慢看
1690211455# #利好，又见利好！
1701701425# #赞
1692889133# #先码后看！
1698509560# #转需
1702452833# #goodgoodgood
1687877991# #印度犯罪动作影片《新年行动》中文字幕，码住慢慢看
1694336828# #想修宽心境的人，我推荐《世界上最快乐的人》，作者是一位藏传佛教的禅修大师
1690292702# #赞赞
1699071009# #收藏学习
1703903594# #天都塌了……
1702697570# #赞
1695873919# #赞
1688915395# #2分钟视频告诉你“解套干货”，主力都在用，记得收藏。
1695394488# #所有地下水都是安全的嘛？。地下水水源主要取自深层地下水，而不是浅层地下水。前段时间也有新闻报道，全国地下水已经有80%被污染，不能饮用。。对于饮用水的水质，城市家庭非常重视。但部分地区由于信息较为闭塞，还不知道供水管道老化带来的水质影响，以及健康影响。。希望每个人都能加入环境保护的行
1697247533# #转发微博
1702274020# #码住慢慢看！
1697856819# #能偷偷增加你寿命的12个“好习惯”：。。1、偶尔喝喝茶。。。2、每天吃一个鸡蛋，最好是水煮蛋。。。3、男人多做深蹲，女人多练瑜伽。。。4、三餐要准时吃，少吃外卖，尽量自己煮。。。5、规律作息，千万不要熬夜。。。6、每天吃一个苹果。。。7、夫妻生活要适当，多了不行，少了也不行，一周3-5次最好。。。8、坚持睡
1694393317# #收藏学习
1702015231# #没毛病赞
1688917648# #老美喜欢派人来迷惑大家
1700321332# #电脑操作小技巧
1703474417# #三个孩子都不是亲生的？太离谱了
1700743005# #转发微博
1696095162# #码住慢慢看
1701147106# #送餐赶时间可以理解，但不是闯红灯的借口！
1698554583# #舍己为人库学辉，手动点赞！
1692554525# #韩国悬疑惊悚片《主播》，马住慢慢看。
1698247484# #先码后看
1691592589# #长知识goodgoodgood
1698555216# #码住
1702797483# #赞
1693662647# #从玄学角度看，只要你能沉住气，就更容易得到自己想要的。人生转运后发生的事情都是全自动的，你不知道你会在哪一天出现什么样的爆炸级别的时运，顷刻间乌鸦变凤凰的机遇，你永远也料不到会在哪一天出现。沉住气，慢慢来，自有天意。
1699194660# #我朋友问，想娶她应该注意什么？
1700459702# #给孩子们看看
1694943782# #交易所制定这些规则的时候，看上位法了吗？这个事情不能只处罚上市公司的股东，更要处罚交易所，要追责。
1702628120# #码住慢慢看！
1694405667# #如何用缠论技术分析识别真假突破！
1692110493# #进口的问题跟群众的切身体会是一致的，确实是各行业都在缩
1695648583# #转发微博
1698724659# #看来癌要的危害得下降了呀doge
1697981129# #下周随时展开大反弹！
1703951830# #先码后看。
1687349543# #美最新动作冒险片《速度与激情10》中文字幕，先马后看。
1699232219# #地图解析克什米尔的重要性good
1700968470# #学到了
1702789013# #年轻真好，随便一跳就是那么美好！
1703418118# #赞
1700104550# #转发微博
1687427965# #码住慢慢看
1703427095# #码住
1692601382# #巴菲特智慧：史上最成功投资家的10个投资秘籍。。。巴菲特是一位在金融界令人敬畏的人物，他可以被认为是现代投资之父，多年来一直以稳健、富有成效的投资方式而闻名。如果想要在市场上赚取收益，学习巴菲特的投资智慧和策略就显得尤为关键。因此，在本篇文章中，我将介绍巴菲特所使用的投资秘诀，希望这
1688986365# #赞赞
1696013982# #老人言：。炒菜的人，。一定等吃饭的人！。吃饭的人，则未必会等炒菜的人！。总有一些没良心的人，。认为你做的就是该你做的！。做人，。不要把别人的善良看成傻，。不要把别人的心软当成病。。谁也不傻，只是不想说，。谁都不憨，只是不计较。。你能占到便宜，是别人让你的，。你能抢到好处，是别人送你的。。做人
1696170186# #码住慢慢听
1704214427# #码住慢慢看
1702739597# #满口卧槽，妈妈还笑得很开心呢！
1688659850# #永远的CoCo，一路走好蜡烛蜡烛
1695570751# #只有大叔才喜欢这样的身材吧？
1697891510# #转发微博
1695352806# #赞
1690703536# #医学知识，码住慢慢看！
1704117208# #厉害！
1698767743# #码住
1699107051# #码住慢慢看！
1699167892# #手动点赞赞
1699804777# #游资心得分享：92科比谈短线打板技巧，干货满满，收藏学习。
1700661373# #码住试试吧
1699700109# #这种肉肉的女生，只有大叔才喜欢吧？
1697461921# #看着都疼！
1697975218# #码住慢慢看！
1700619347# #码住慢慢看
1690637909# #图解42种经典K线组合，收藏学习。
1693215802# #小孩子摸插座，母亲打了20多次他还摸，直到最后打哭了还是要摸。。。其实遇上这种情况，最好是把他抱开，让他远离，等会就忘记了不再去摸了。。。再不就告诉他那个洞洞里有虫子，会咬手手，然后就拉着他的小手做出要往里凑的样子，他会害怕就不再摸了。。。大家还有其他好的方法没有？
1699718357# #码住慢慢看
1704108196# #赞赞
1697718904# #见佛必转，好运常伴！
1702695655# #赞
1696309259# #转发微博
1701500975# #赞
1688571665# #转发微博
1699872751# #码住！
1699357489# #这个好，收藏起来！
1703818236# #码住
1699334711# #手动点赞赞
1700801729# #涨知识了，码住！
1693093132# #很多散户的钱都是这么亏的？
1694527417# #明天会收红的！
1698705601# #图解MACD的九种经典用法，务必重视起来，不管你是新手、还是老手，都要牢记这九条实战口诀，建议收藏，细细品味。
1700566805# #手动点赞赞赞
1689464382# #实战帖：不会说谎的成交量，六大超实用口诀送给你。
1694354517# #也别不信，看出来了，这回管理层是真的想要股市上涨了！各种政策的密集度前所未有！中国赞
1695196948# #我老婆的为人处事，实在不敢恭维，什么关系都被她搞得一团糟。。她侄子向她借了10000块钱，一直没还，她也不好意思开口要，也许侄子把这事忘了。。于是她就向她侄子媳妇拿了10000块钱左右的化妆品，她侄媳妇做化妆品生意。没有给侄媳妇钱，说抵账了。侄媳妇问什么账，我老婆就把这事的原委说了。。她侄子
1692881562# #实战干货：倍量过左锋是一个重要的量价技术指标，主力机构正在积极买入。要注意：倍量过左锋的前提条件是，股票是上升趋势或是箱体震荡趋势，而不是下跌趋势！
1698300177# #手动点赞赞
1692673234# #车看的越多，开的越多，研究的越多，越能发现一个最基本的事实：20万以上级别的车就是比10万甚至15万级别的车整体都要好，20万这个价格就是分水岭，无可辩驳。无论是空间、乘坐舒适性、动力水平、可靠性、隔音静谧性、配置用料、主被动安全、品牌认可度、保值率等等，都更加均衡。所以，如果你对一辆车
1700485152# #收藏学习
1696522801# #跟拍两个孩子12年，告诉你如何教育孩子！
1699180387# #最右允悲
1699716003# #码
1693500451# #留存微风
1693311818# #我感觉这件事不能细想！doge
1702987142# #赞
1699404122# #适合新手学习！
1696317472# #很实用，转需。
1692016160# #前几天在银川拍到的统一招牌，这种思路，怎么搞的好经济，其实再小的生意都是需要创造力的。
1694421772# #哈哈哈哈哈哈
1693532662# #有道理
1696497671# #韩国跳远运动员，是不是太瘦了？
1701075499# #码住慢慢看
1700408314# #收藏起来慢慢看！
1690211217# #明天A股要疯涨？
1697721083# #赞
1695307034# #收藏goodgood
1698757930# #马
1698912417# #难怪被封了？！
1694337782# #转发微博
1697897084# #码住慢慢看！
1704117226# #赞
1694968527# #码住慢慢看
1698840931# #码住慢慢看
1692252966# #🙏
1703329999# #码住试试。
1693879806# #里最可怕的洗盘方式是什么吗？赶紧来看：怎么判断一只股票即将要上扬，其实搓揉线的形态常常是主力拉升的前奏。一搓一揉，跟洗衣服一样，这样浮筹洗干净后，就顺势地拉升。具体用法如下：。。1、股价经过长期底部横盘，量能萎缩。。。2、左边k线为长上影线，右边k线为长下影线，一搓一揉，形成搓揉形态。。。
1704091899# #码
1701075506# #赞
1696688497# #转发微博
1697899610# #这个好，转需！
