1701904500# #2024届高校毕业生预计1179万
1701863700# #有人说，在这种地方办公和在家办公有什么差别？一是注册公司需要商业地址，有些地方住宅性质的注册不了，二是这些地方很多有共享的办公设备和会议室，可以避免不必要的开支，三是可以多和同行学习经验和交流，再就是在这工作不受打扰，初创公司很多都是从这种地方起步的。
1699750980# #二哈拆车，损坏别人财物，是不是得抓起来
1693305000# #山东大学：拟对5名研究生予以退学处理。山东大学机械工程学院网站日前发布一则退学公告，拟对超过学校规定期限未注册、未履行暂缓注册且无正当事由的两名外籍博士和三名外籍硕士予以退学处理。
1700621146# #市民看到优惠政策之后非常高兴，觉得自己赶上了这波福利，政府真的太好了，体贴普通市民家庭养育孩子的不容易。但是当具体想申请这个补贴的时候，魏女士却遇到了想象不到的难题，那就是找谁谁不管。她先向街道办事处提出申请，办事处表示有政策，但是上边没有下拨这个资金，街道办肯定是没有钱……
1692919740# #真是没想到，抢盐的还不少。很多东西本来不短缺，一抢购就会造成短期缺货，导致更多人担心买不到而去囤货，恶性循环。抢盐的人有没有想过，要真的影响到了盐，那是不是也要囤大米囤水囤蔬菜？doge杭州多家超市盐被买空
1698902229# #民营医院吗？那应该跟企业裁员类似吧？只要按法规赔偿，貌似也没啥可说的。
1702192920# #乡镇街道工作人员身份这么复杂啊
1694849280# #这是广西柳州，一个四线城市
1689599157# #女生在江边露营点外卖，地址不详，拒接电话只私信沟通，外卖小哥从头找到尾，气到直呼欺负人……2女子江边露营点餐外卖员找到崩溃
1693315979# #华为Mate60评测看起来不错，等我攒够了钱也去买一台。现在有些单位不让用苹果手机平板手表之类的产品了，华为手机的市场份额估计会有明显的提升。而且确实现在国产的手机不仅是华为，包括vivo、OPPO、小米……都已经做得非常好用了，不管是低端机，中端机，高端机应有尽有。
1692251777# #西安长安区回应“不能报考城六区高中”：基于历史实际确定。。此类情况很多地方都存在，县市虽然并区了，但很多方面其实还是不被一视同仁。或者需要一个漫长的过渡过程。
1703677740# #经济日报：持续扩大中等收入群体。经济日报头版文章指出，要看到，目前我国中等收入群体有4亿多人，总量不少。但以14亿多人口的基数计算，所占比重约为30%，还不够高。内部结构也不均衡，相对较低收入人群在中等收入群体中占比较大，一部分中等收入群体就业稳定性不足、存在“掉队”风险。此外，还有相
1699881249# #中等强度厄尔尼诺事件已经形成什么是厄尔尼诺事件呢？厄尔尼诺事件是指赤道太平洋东部和中部海表温度持续异常增暖，导致全球气候变化，对全球天气和海洋环境产生重大影响的自然现象。厄尔尼诺现象通常会持续9到12个月，并可能导致区域或全球的气候异常。自20世纪以来的120多年间，一共出现了29次厄尔
1693383780# #当一个人什么都没有的时候，要的是迷之自信，放大自己。当你取得阶段性成功的时候，反而要缩小自己，放大一些外在的因素。
1695566245# #哈尔滨正式签署2025年第9届亚洲冬季运动会主办城市合同。
1697516041# #撕咬两岁女童涉事狗主人尚未现身这狗主人估计是不想主动出来认领黑狗了，有什么手段可以锁定狗主人呢？小区的监控应该就能大体上锁定，如果还不承认可能就要做狗的基因检测了，但他如果趁着这段时间把家里和狗相关的东西都销毁了，或者运到远处的垃圾堆里了，把家里打扫干净了，那还真不好认定。会有
1701334980# #这样的工作岗位越来越受欢迎了，不爱社交的人越来越多
1694264340# #三门峡一景区雕像被指缺乏美感，容貌怪异，腰长腿短，不忍直视。当地回应称：农村艺人水平有限，将引以为戒并美化。这个雕像是本地农村艺人自己做的吗？不是招标买的吗？如果是本地人自己做的倒是情有可原，如果是花钱买的，那就得查一查是怎么回事了。
1698744720# #在海南被椰子砸死的概率很小，但不能说没有。这哥们口音有点意思，网友：好喜欢这种口音，丁又丁不懂，鞋又鞋不废，洗了蒜了泪
1701840300# #喜马拉雅裁员，这比例不小啊
1698137497# #海氏品牌方要求京东恢复正常价格有点看不懂，卖的价格低还有错了？平台补贴又不是让商家降价，这还不行？什么道理。李佳琦这么牛的吗？。平台打低价，不应该牺牲商家，商家亏钱生意不长久，为了迎合低价只能以次充好，最终受害的，还是消费者。但平台补贴，是另一码事，属于平台让利，消费者也受益。
1698542520# #上海人真的在认真对待万圣节，昨晚的上海街头，感受一下。街上既有外国的神话人物，也有中国的神话人物。万圣节上海
1697067151# #房子这东西又不是衣服，又不是面包，这东西不是消耗品啊，很多家庭买了房子有地方住之后，他几十年内是不需要再买的呀，销量越来越少这是必然的。
1701587072# #通过病历核查、现场询问及数据比对等方式，核查出举报涉及的15个问题中有10个问题基本属实。经查，该院存在过度诊疗、过度检查、超量开药、重复收费、套用收费、超标准收费等问题，涉及违规医疗总费用21.82万元，其中违规使用医保基金18.70万元。全国普查一下看看，估计会有惊喜。
1694342916# #是的，象征什么是由读者自己联想的，而且不同的读者看到的是不一样的内涵。虽然书是作者写的，但每个人的感受是自己主观的。
1697937435# #不知道是否经得起查，通常地方在招商引资的时候，尤其是对这种大型的知名企业，是有很多优惠政策和绿色通道的，不知道稽查的标准和之前招商引资时是否一样啊
1695431556# #喜欢钓鱼的朋友可得注意了，用活泥鳅做鱼饵钓鱼，是犯法的。
1692717326# #中国驻缅大使馆称正全力解救中科院博士顺便把其他愿意被解救的人也一并解救一下吧，也让他们沾沾博士的光，感受一下祖国的强大。中国驻缅甸大使馆回应中科院博士被困
1697957820# #这么好的事情媒体应该多多报道，浙江本地的网友也可以多多介绍下，这是大好事啊。
1697290562# #“据他了解，该女生是学校一名毕业生，今年毕业后没找到住的地方，便一直住在学校宿舍，但未向学校报备……排除刑事案件。在此事的处理上，死者家属可能有不认可的地方，因此一直在跟学校交涉”
1698979200# #胡锡时进时退
1697754900# #黑龙江拟发行303亿元特殊再融资债券，募资用于偿还存量债务。
1696551535# #又多了一个新工种，以后这整个婚礼有没有可能除了新郎新娘其他都职业化了？职业亲戚职业朋友职业客人？
1691579760# #北京门头沟回应因灾损毁车辆如何理赔：将向受损车主发放汽车消费券。
1693309980# #台北市市长蒋万安率团抵达上海调研交流，首站参访洋山港。小伙子也算年轻有为了，希望能为两岸和平统一发挥一点作用。
1695132939# #西工大的博士，材料学专业是西工大很不错的专业，有国家重点实验室，可惜了。蜡烛父母得多绝望伤心
1688746340# #二房东才是装修界的鬼才大城市高额的房价和房租，激发出人们的灵感和潜力，把面积和空间利用到了极限。
1702890702# #醉驾情节轻微的可以不起诉对醉驾的判罚，有弹性了，情节轻微的可以不起诉。这个弹性如何把握，是人们比较关注的，还是要有比较详细的具有可操作性的条款比较好，可不要由人凭主观来判断。那样的话可能就看醉驾人的身份了，这就不好了。关于办理醉酒危险驾驶刑事案件的意见
1694273323# #“他表示，自己经济状况很差，目前没有妻子，无法抚养儿子，于是希望儿子能在比中国环境更好的韩国儿童保护机构成长”。这话太伤感情了，建议别让他回来了，觉得那里好就在那赖着吧。看韩国会不会给你安排个媳妇，帮你把孩子养大。doge
1696051807# #降薪算啥，吃到肚子里的也得吐出来，发到手里的钱也可能让你退回来。“应追尽追、应退尽退”，光大证券印发薪酬追索扣回实施细则。
1690269106# #华西村村民称工资仅发20%其余留村里其实主要看村民的生活水平，如果有房子住无房贷，有车子开无车贷，小孩上学不花钱或者负担的起，吃喝穿不愁，医疗有保险，老人有普惠性的养老院，那就相当于实现了共产主义。分多少钱其实没那么重要了。
1697466293# #有网友提了个建议，给每一条狗都实行前台实名制，脑门上写上它主人的名字，或者脖子上挂个牌儿写上它主人的名字和地址，这样它就不敢乱咬人了？
1696085640# #2016年，许家印最风光时刻，专门请了风水先生，修建了高规格的祖坟陵墓，大气的陵园占地大概十二亩地。据说整个墓地下来至少约1000万元，许家还专门聘请俩保安负责陵园看护，每月6000元。谁能想到如今这番结果。
1690682620# #这么近，那么美，周末到河北……这话应该是说给北京、天津的朋友们听的。周末到河北，但没说到河北可以干啥，找延参法师聊人生吗🙏
1688827558# #郑州曼哈顿免费赠房？无需首付直接承接房贷即可。这样的情况其实很多地方都已经出现了，不过作为人口大省的省会，还是第一次出现。当房价比买房时跌掉30%以上的时候，其实免费赠房将可能变得很普遍，跌的再多一点就要倒贴钱才卖的出去。
1691854581# #大家分享了很多自己消费降级的事例，真是笑着笑着就笑不出来了笑cry没想到的是，消费降级最大赢家竟然是蜜雪冰城和拼多多……目前这状况，低价才是王道啊。现在大学生都开始消费降级了吗
1702978201# #广东清远：自有住房用于长租且承诺租期不少于5年的，可不计家庭住房套数。
1694079860# #原来中秋送礼也是一门学问送礼文化和酒文化，是优良传统还是糟粕？如果这是我们的优良传统，就应继续发扬光大，干脆纳入学校的课程里面，让年轻人进入社会前就学懂悟透。如果是想要摒弃的糟粕，为什么不以此为耻明确杜绝呢？人情世故是不是占用了我们太多的精力呢？
1690103599# #网民捏造中考回流生不实信息被刑拘刑事拘留，可不是闹着玩的，对个人和子女的影响大了。在网上发表信息一定要谨慎，大家要多研究下胡锡进的表达描述和措辞，客观事实一定要引用官方报道的数据。没有来源的信息，如果造成大的影响，哪怕你错一个字错一个数，表达不够严谨，都可能会被判定为谣言。中文
1693565538# #利息少了41万购房者激动得一夜没睡同样一个客观事实，不同的意图，可以写出效果完全不同的新闻。比如这个利息少了41万购房者激动的一夜没睡，看起来就是降息给购房者带来巨大的利好。而如果像有些网友说的，每个月只少了1000多块钱或者几百块钱，那就显得这个事儿不疼不痒，没什么实质的效果。
1690799201# #老一辈的人说他们年轻的时候经常要去挖河，用铁锨和箩筐挑河，那个年代经常下暴雨发大水，所以经常要去挑河。再后来那些年就是我们小时候那些年，经常干旱，很少发大水，所以很多河道都已经平了，种庄稼了，也很少疏通河道了。这几年雨水又多了起来，看来有必要前面疏通一下河道了。
1693349340# #雄安新区已成为拥有央企总部数量第三的地区，仅次于北京和上海。
1702356360# #黑猩猩这是想上班挣钱买房子吗？
1699670340# #车辆年检站的这种工作人员应该不算黄牛，他们可能是有任务，所以通过他的话价格会低一些。
1701614400# #广西警官学校一把手被查
1702168889# #媒体评张雪峰：上一次张雪峰已经从对新闻学的嘲笑中收割了一波流量，这一次是文科，那么下一次呢？一些平台也不能“看见话题就是娘”，频频送他上热搜，这既中了他的下怀，又会在社会舆论场中挑起不必要、无意义的争论。因此，平台也应该负起基本的社会责任，不能为了流量和热度而无限度地迁就张雪峰故
1688793482# #当事人回应私搭浮桥一家18口被判刑从情感上来说，大家觉得这是做好事，为大家行方便。私自修桥还收费，从法理上，肯定是不合适的。正常一个企业要修一个项目，要开展可行性研究，环境评价等一系列工作，需要有资质的单位设计施工，要竣工验收……
1694662263# #湖北90后铁匠成了亚运火炬手亚运会火炬手田欢，是一位90后，大学毕业之后北漂，卖过二手房，做过瓦工，摆过地摊，偶尔回乡，看到幼时常见的打铁手艺面临着被淘汰的前景，他决定辞职回利川老家创业，经历了很多挫折和磨难，渐渐聚集起了一批手艺人，从做茶器到做铁锅，借助互联网和直播行业的东风，让
1698462698# #不知道这个合不合理，但是百分之七八十的近视眼，超过一半单杠一个拉不上去，这现象肯定不合理，身体素质，身心健康是比成绩更重要的。
1698128700# #河北终于取消机动车尾号限行了，以前有些县城都单双号限行，这你受得了吗？
1700890308# #这事前几天好像上过热搜了，他想有个家，有个孩子，觉得彩礼高，不想结婚了，退婚去旅游，玩了一圈回来又想结婚了？
1695092105# #估计活跃用户起码会减少三分之一吧？如果微博收费，估计会如何？
1696462320# #简单哥带着岳父和几个朋友去米其林餐厅吃饭，几个大老爷们吃了5个小时，总结米其林特点就是：墨迹。网友补充：米其林精髓：盘子大，食物少，空白地方放根草……
1698669180# #党员退休后把组织关系转到社区，能省一笔党费，每个月只需交10一20元就可以了。
1692452136# #娃哈哈董事长女儿评论区宗馥莉kelly最新一条微博是几个月前系统自动发的生日祝福，翻了下评论，目前是这样的……怎么说呢，谁也别笑话谁doge
1700555940# #老师只负责让想学习的孩子学习，不想学不愿学的孩子，老师也懒得管，只要不影响正常课堂秩序就行了。现在很多老师确实就是这样的心态，因为这也只是份普通工作而已，而且有的家长很护自己孩子，管轻了不管用，管重了家长有意见学生也反抗，你说咋整。
1697157840# #要不要出国留学，这个观点有些道理
1689764192# #女子举报丈夫与公职人员生女如果所述属实，这就不仅仅是出轨了吧？这属于重婚罪了吧？这个男的和已婚的田某同居并且生了孩子，已经构成事实婚姻了，他俩都属于重婚罪了吧？可以报警了。
1694942825# #就像你永远不会嫉妒马云比你有钱，人往往只会跟身边的人比，如果你的邻居或者同事在业余时间找到了一条挣钱的路子，人们往往会比较羡慕甚至嫉妒。
1698053334# #报名人数已经超过两百万，大家都想为人民服务，同时想有个相对稳定的工作。祝大家考试顺利，金榜题名
1691395545# #被洪水冲走的车会变成什么样面目全非，完全损坏。而且在河道里还容易撞坏桥墩堵住桥洞，导致河水漫堤。只能说，洪水太可怕了，难怪有个词叫洪水猛兽。
1703058780# #不止山东吧？哪里不是如此？
1699502160# #北京丰台区一处46年老楼，将原拆原建，4层变6层，适当增加室内面积，政府补贴一部分，90户居民百分百同意签约。北京真好。
1690102301# #新疆切糕有多昂贵？用一句话形容允悲看来人们都有过相似的经历……
1700581320# #美国佛罗里达州要求在当地拥有房产的中国公民登记房产信息，逾期者将面临每天1000美元的民事罚款。这是个什么操作？为什么只针对中国人？
1693884180# #很多人之所以痛苦、焦虑，是因为只盯着表层的学习量。他们读了很多的书，报了很多的课，天天打卡、日日坚持，每天都假装很努力，但就是没有收获，这是为什么呢？。。因为没有深入关注过自己的思考、行动以及改变，所以总是感觉到学无所获，甚至会认为自己还是不够努力，应该继续加大学习量，那结果就陷入
1695448649# #许家印身家缩水90%缩水了90%，还有200亿，这你受得了吗？doge其实财富太多了之后也就不是你的了，是你为这个社会在管理这些财富，因为你的生活你的吃喝拉撒衣食住行，根本用不了那么多钱，马老师好像也表达过这个观点。不过一般都会给自己的子女后代铺好路，只要不黄赌毒，起码两三代都已经财务自
1696250013# #大爷懵逼了，崩爆米花崩出来个女的允悲
1693414320# #一个人在车站和在车上他的想法是不一样的。我们在那等车，看着公交车来了以后，大家都想抢上第一班车，未上车之前都希望机会均等，不要尽早关门，也让我能够挤上去。一旦上了车，看见那个门口挤的人，想法就不一样了。车门早一点关，车早一点开，我早一点到。。这说明什么？车上车下两种不同的位置，决
1698817560# #广汽埃安张雄：电池全产业链产能严重过剩，锂价将回归成本水平。啥东西一赚钱就一窝蜂的上，然后就过剩，一番整合淘汰。
1691163253# #继黑龙江后，吉林也暴雨洪灾了……舒兰市持续暴雨，水位暴涨接近平房屋顶，房子被泡了，庄稼也全完了，已经转移人口一万多人。。河南河北黑龙江吉林这都是粮食主产区，多地遭遇暴雨洪水，粮食恐怕要减产，大家要节约粮食不好浪费啊。
1699662720# #这就是命，不要后悔，不要总是天真的认为做出另外的选择现在就会更好，做出另外的选择，现在可能连平安无恙都不一定。
1699537670# #华为发布首款纯电轿车智界S7关于电动汽车的微博，还有视频，还有文章，都已经没有什么可看的了，几乎全是充了值的广告软文，已经很少能看见客观评价和测试了，汽车自媒体已经没什么看头了。大家想买车还是自己去试驾一下，另外要搞清楚自己的需求，根据自己家里的情况，比如有没有充电桩，家里几口人
1703636100# #真有为了孩子高考移居新疆青海的吗？
1703842943# #一审，北京的法院判的，如果是杭州的法院来判，结果会不会一样？思考
1691381694# #百年间，5级以上地震分布。
1691211180# #还在继续招标建方舱医院的还真不少呢
1702888500# #最近多位网友在三亚偶遇赵本山，老赵去三亚过冬了，看上去气色不错。本山大叔虽然低调了好几年，近两年也算踏实的稳稳的复出了，期待更多优秀作品。
1694652229# #河南官员四句话自曝潜规则被采访者很坦然很实在，都忍不住笑出来了，潜台词大概是——流程都是合理合法的，都是按规定执行的，出了问题，也不是某个人的问题。。其实最怕的就是这种，每个人都是按流程来，最后却出现了不符合预期的结果，那是不是流程设置上有什么问题或漏洞？
1693394363# #如何正确看待美国
1703219700# #不过圣诞节倡议书？有这个必要吗？这不叫自信吧，自信是谁爱过谁过，不鼓励不反对，随便。
1692155607# #网友总结说这个视觉中国公司把法务部当销售部在使，盈利模式很大一部分就是靠“维权”，连国旗国徽都成了它的版权，连NASA发到网上的黑洞照片都成了它的版权……央视曾称视觉中国是知识产权市场的毒瘤，这颗毒瘤什么时候切除？中国国家天文吐槽视觉中国央视曾称视觉中国为知识产权市场的毒瘤
1700811913# #因为不打游戏，我觉得两千多的手机足够用了，不摔的话用个三四年完全没问题。
1689305405# #为什么缅北诈骗集团主要针对中国人？这可能跟他们印象里中国人比较有钱有关，而且愿意为了亲人花钱熟人。就好像如果一个有点权力的人向中国人索贿，那么大概率会得逞，如果向很多外国人索贿，很可能别人直接就把他告了。
1696948320# #驴有几种活法呢？拉磨，做驴肉火烧，回到野外吃草躲避食肉动物。哪个更好很难说，根据自己的能力和胆量选自己适合的吧。
1695337881# #菲律宾机场安检员偷中国乘客钱财，被察觉后将现金塞到嘴里吞了下去。
1697607076# #劳动年龄人口的平均受教育年限已经达到10.93年，近11年。接受高等教育的人口有2.4亿人。这个数字还会继续提高的，现在很多高校毕业生去开网约车或送外卖，以后门卫和保洁都是大学毕业生。这是值得骄傲的吗？
1694426160# #缅甸目前用人民币向俄罗斯购买石油……这是人民币国际化的体现吧。缅甸赚人民币的途径是向中国出口什么产品呢？翡翠、水果、矿产？
1697802000# #2022年纳税前十，烟民真是为税收做了大贡献，要善待他们doge
1688114669# #人民币汇率跌破7.25利弊有哪些？通俗的语音粗略的来说，如果本币贬值，那么外币的购买力就强，这样一定量的外币就可以购买更多本国产品，意味着本国产品在国际市场上价格相对便宜，从而可以增加出口；。另一方面，本币贬值，外国商品价格就昂贵，这样本国进口必然减少。所以，人民币贬值的结果是扩大
1701481140# #女子网上实名举报中石化某项目负责人骗婚，男方回应记者：她想敲诈我已报警，我因婚外情已被停职。女子实名举报中石化高管婚内出轨
1701936533# #网友:这个原贴我看过，贴主说了这个孩子睡外面已经几个月了，根本不是这几天的事，发烧这个理由根本站不住脚。再说了发烧更要旁边有人照顾，正常谁家会让发烧的小孩子自己在楼道睡，站出来我看看。
1701579665# #安全备降了就好🙏地磁暴一般影响的是导航系统，和这个症状不一样，所以这个估计还是机械问题。这么大个飞机在高空高速飞行，稍微有点故障就不得了，幸亏安全备降🙏
1698538240# #有网友说：胡萝卜素血症，长时间大量吃胡萝卜，橘子，南瓜之类的，就会皮肤黄染，一般停止服用一段时间就好了，也没有其它危害。真的吗？吃白萝卜会变白不？doge
1696855012# #今年三月份，沙特和伊朗在北京握手对话，结束对立建立外交关系，这次巴勒斯坦和以色列最后会不会也在中国的我选下停战呢？。这个教授说的很有道理：作为最和平最世俗的民族，我们其实更适合游走于世界各国各民族之间，弥合各种宗教各种民族之间的分歧，撮合各种交易。
1697532480# #英国航空发动机制造企业罗尔斯-罗伊斯CEO将宣布裁员约2500人
1694262901# #管理余额宝10多年的基金经理离职了基金经理只是职业经理人，离职太正常了，其实余额宝是货币基金，历史上还没有出现过亏损，相比其他理财产品和股票，主打一个稳字。可以打开自己的股票和基金账户还有余额宝账户看一看，哪个更踏实一目了然。尤其是近一年来，稳定不亏已经跑赢大多数人。
1692963720# #日本饮料品牌三得利回应“核污染水”影响：中国地区销售的均为国产，原料取自福建，不会用日本原物料。
1699488853# #因为线上的娱乐越来越多了，而且线上的唱歌效果也挺好的，唱完了还能直接录下来。而且现上也有歌房，跟KTV差不多，但是不用花钱，在家里在车里就可以随时随地都可以。
1688393465# #沪上阿姨回应一杯开水卖10元这个网友的做法有点像川大那个张薇了doge人家奶茶店已经提前告知了，你当时也是自己愿意买的，完了回头又把人家发网上，这样不太好啊。虽然对这个奶茶店并不是很感冒，但对这样的行为更加的反感。
1695905592# #许家印已被依法采取强制措施涉嫌违法犯罪了……令人唏嘘。前几年那么风光，经常去参加重大会议，跟各个省的领导座谈接见……可以说是风光无限，如今竟落得如此下场。就像马老师之前说过的，其实最幸福的人是小康和中产的这群人。财富太多了就不是你的了，只是你替社会在打理这些财富，打理不好还有可
1703997480# #讨论问题，前提首先得是对的吧？
1700182450# #时间真快，这事儿都过去快十年了，空难的真相一般很难判定，证据不好找，证人更是几乎没有了，近些年来的空难好像都没看到确切的最终调查结果。
1699608780# #一群年轻的中国年轻人，不愿万里跑到国外，跟外国老师学中文doge
1699607878# #国货不靠同情心也能走很远国货，一直是一个备受关注的话题。国货的崛起并不依赖于同情心，而是依靠品质、创新和品牌影响力。。。品质是国货能够长久发展的基石。在市场竞争中，无论是国内市场还是国际市场，品质始终是消费者最为关注的一个方面。一些国内品牌在品质上不断追求卓越，通过提高生产工艺、
1701079080# #新华社发问基层医院：有编不用，临聘近半，何以留人？我觉得说到底还是人多不值钱，招临聘的也能招到所需要的人，那何必开出更优的条件呢？啥时候不给编制招不到所需人员的时候，也就不存在这现象了。
1693889121# #中科院新规：禁止院士公开发表非自身专业学术意见。确实应该规范一下，有些人一旦出了名，就好像万事通，所有领域都像“专家”似的到处发表意见，又由于院士的身份，意见发出来影响是比较大的。还有很多院士到处站台走穴，成了一些企业和资本牟利的道具。
1698118740# #以色列军方发言人：若哈马斯无条件投降并释放所有人质，将取消地面进攻。
1701222390# #芒格，和巴菲特算是齐名的投资大师了，99岁，高寿了也算。蜡烛
1702388160# #中国工商银行福建省分行原党委书记、行长俞龙接受纪律审查和监察调查
1699011214# #步步高被申请破产重整获受理
1701522981# #这几天一直咳嗽，鼻塞，别的症状倒是没有，还在扛，感觉快挺过来了。今天做了个抗原，不是新冠。
1694402491# #这样掐头去尾上纲上线给人家扣帽子，不好吧。那是人家入职的日子，对他来说就这么简单，而且引用了个谐音，随口一说就要拿来批斗吗？我看那些去曲解去刻意引导的人才是真的坏。东方甄选回应主播称918是个好日子东方甄选主播直播时称918是个好日子
1689769528# #上海闵行一干部被双开！隐瞒婚姻变化、境外购房，擅自申请国外移民。
1703847790# #其中有一点引起了我的注意：北欧职场主动保护内向员工，让他们减少在公众场合表达，而不是让他们去努力外向，否则就被炒鱿鱼。员工们很少被自己的短处困扰。在北欧打工9年被同事举报1000次
1694067369# #这是杀死了一个人类的朋友还是消灭了一个人类的威胁？思考
1691834460# #印度女生因离家一天被父亲砍死印度简直是女性的地狱。之前还看到有中国女孩子去印度嫁给了印度人，整天发一些美好的日常生活，不可否认印度当然也有好男人，但好男人的比例比中国可低太多了，掉坑里的概率很大。
1688745143# #郑州给河道贴瓷砖？官方回应：系误传。。把钱通过工程项目花出去，真不如直接给老百姓发钱。现在很多项目就是为了花钱而花钱，无效投资太多了，简直是浪费资源。
1698934320# #网传蔚来汽车将裁员10%-20%，官方称未收到相关信息
1702006080# #最强地级市苏州，新房价格降幅不受限制？当地住建局人士：目前形势下，不允许降价不合适，价格回归市场，减少楼盘烂尾。
1690355642# #射击俱乐部法人和开枪误伤人的体验者已经被采取刑事强制措施了，怎么能叫和解呢？这叫依法处理。至于赔偿问题，应该是双方可以商量的。17岁男孩中枪身亡亲属称已和解
1698720360# #按照人均GDP标准，这些城市已经达到了发达国家水平。发达国家的主要有四项指标：人均GDP很高，工业技术先进、科学技术先进、社会福利很高。必需同时满足以上四点才能算是发达国家。
1699454848# #真是悲剧，孩子才4岁，招谁惹谁了，谁把你逼到这条路上，你去找谁算账啊，伤害孩子干啥。
1694605987# #今天上午，四川成都简阳市石钟镇胜锋村金简仁快速路跨沱江大桥项目一塔吊在顶升作业时倾倒在施工桥面上。截至目前，已造成至少5人死亡蜡烛。据称是中交二航局的项目部。成都一塔吊作业时倾倒已致5人死亡简阳一塔吊垮塌致6人死亡
1702103160# #有网友拍到广东韶关明日星城小区有黑猩猩攀爬居民楼，身形矫健。物业表示已报警但还没抓住。
1689580435# #2娃到上海看爸爸出租房里打地铺在北京上海等大城市打拼过的异乡人，可能大多都住过楼顶阁楼、地下室、合租房、隔断房其中的一种……有的人后来买了郊区的房子，有的人后来买了市区的大房子，有的人买了老破小，有的人回了老家省会，有的回了老家县城……那段岁月就成了永远的记忆。其实只要无病无灾
1696578240# #小米汽车将研发增程式电动车，产品已有规划，正在招聘研发人员。
1691820840# #有些自媒体经常胡编乱造，有些骗局经常精心编造，有些官方媒体经常告诉你选择性的真相，超高级的其实也就是所谓的文化，所谓的讲好什么什么故事。这其实不能算是欺骗吧思考
1699802340# #咱们普通人，不要有偶像包袱
1697590232# #早上看到央视新闻和环球网援引外媒报道说以军轰炸了加沙一个医院造成了约五百人死亡，发了条微博谴责了一下以色列。评论里有几个网友情绪激动，说你怎么确定是以色列炸的，明明是哈马斯炸弹失控自己炸的，有的铁粉还愤怒的把我拉黑了……大家只喜欢看自己想看的信息，不合意的信息连看都不想看，这只会
1692114840# #屎壳郎滚粪球，见过吗？
1703493977# #在农村搞养殖搞种植一个怕的是灾害，一个怕的是坏人下毒。嫉妒心太可怕了，看不得别人赚钱。
1700232323# #对此，凉山彝家自治州网信办工作人员回应称：“这个事情我们已经知晓，相关情况正在核实和调查中。”这事儿归网信办管吗？
1694595480# #山东省领导会见宁德时代董事长曾毓群
1690885025# #看到一图，说是特斯拉的员工手册，也不知道真的假的。不过确实感觉外企领导层管理层人不多，生产员工多，资源、精力集中在生产正事上，扁平化管理，行政成本、管理成本很低！而我们的恰恰相反，倒三角管理，两个人干活，三个人监督，5个人管理……
1688895339# #济南大学已报警大家在网上发言还是小心点吧，说错一个字都可能被判定为谣言，轻则被删帖禁言，重则被派出所叫去批评教育，甚至拘留。大家都是守法公民，可能长这么大都没进过局子，因为这么点无心之失进局子录口供，还是挺不值得的。
1689822482# #人民网评：全面准确正确看待2023年夏粮产量稳中略减。
1702872132# #智能门锁，半夜自己开门，这你受得了吗？有些东西啊，真没必要太智能。小米回应智能门锁半夜自己开门
1703241360# #江西省委巡视组原组长卢作全违纪违法被开除党籍
1697339248# #人民币存款余额281万亿元，同比增长10.2％啊
1689412230# #90后男子国企辞职摆摊收入涨3倍同类新闻隔段时间就出一个，这是告诉人们，即使找不到工作，即使被裁员了，也不用紧张，摆摊也能发家致富，收废品也能养家糊口，卖盒饭也能飞黄腾达。
1690597505# #广西一在编人员档案丢失无法办退休竟然还能发生这种事？真担心干一辈子到退休的时候因为点啥手续不齐全领不了退休金doge好无助啊
1695985447# #堵车，实在憋不住了，误把高架护栏当成隔离带翻出去了……男子尿急误把高架当隔离带一跃而下
1703156775# #“不读书每天精神空空，行尸走肉一般，不通人性，也不会讨人喜欢，所以，书永远是人生的朋友。”这话有点过了，读书确实有益，但没必要贬低没读过书的人。社会也是一本大书。
1702360606# #建议诉诸法律，相信法律是公正的，别打嘴仗了，让法院来判吧。
1700311866# #深圳一小鹏汽车从楼上掉落小鹏汽车回应：深圳一客户正常完成车辆保养后，油门刹车踩反从二楼停车区域冲出跌落，事故无人员伤亡。有些人虽然有驾照，但却算不上会开车，这多危险啊。
1694510090# #郭美美已出狱上次出来后没多久又犯事儿进去了，不知道这次改造的怎么样，是否真正认识到了自己的错误，是否能够痛改前非，改邪归正重新做人，是否对法律有了敬畏？
1702044570# #这样的医生不仅医术精湛，也有一颗菩萨心肠。他当然不愿意患者受苦，也不愿意让患者家属更苦。明知道希望非常渺茫还看着家属砸锅卖铁倾家荡产，医生不忍心啊
1698498090# #教师全员竞聘上岗其实就是缩编减员的另一种手段和方式而已，这比直接裁员更容易让人接受，随着新生人口的减少，各级学校合并裁撤是必然的，教师过剩已是必然。在职的要做好准备，还在准备进入教师队伍的最好重新考虑和规划。这几年教师竞争非常激烈，很多北大清华的硕士生，还有一些海归，都在竞聘比
1700817780# #泉州市消防救援支队一科长被妻子实名举报婚内出轨，回应：支队正在展开调查。被家属举报的几乎没有清白的，等一个调查结果。消防员被妻子举报出轨并将其撞伤
1696937014# #这三年牢就白坐了吗？如果冤枉了人家，就要赔偿损失。否则以后判案子还是那么随意
1699251360# #小学生走路上下学也要戴头盔？真是奇葩。说起来都是为了你的安全，万一树枝掉下来砸头呢doge，可能还真有人支持挖鼻
1698590100# #为什么外贸对中国很重要？因为在国际上做生意，绝大部分场景还是需要用美元的。
