1688909632# #张琳给我买的哈哈哈哈哈哈
1698666824# #早上起来太早了我，中午也没午休，今天困得有点早，准备睡觉觉了，应该明天可以出院了，肚肚还有点疼但是已经好很多了，就看今晚了，因为我以前的习惯是晚上吃的多而且吃的辣还油，所以我的肠道晚上特别兴奋，所以就恢复的慢，加上我取了石头还放了支架，情况特殊一点，但是疼也没办法，做手术哪有不疼
1700650533# #今晚试试看我斥巨资买的ysl眼影盘能爆改成什么样
1700651407# #学会了吧这辈子的饼不够画了画下辈子去握手
1700738458# #为什么抢我的饭吃
1694512286# #美瞳！！机制绝了泪插秧哥也是破费了！
1693587124# #到上海第一件事买份七口辣
1690258942# #因为明天下午1点见凌总，今晚出发太赶了，所以准备一会就出发抓狂干！
1703942979# #呱呱舞我已经跳出来了喵喵
1703599213# #迟到几分钟
1703504921# #卧槽，我才知道，我没流量是因为上次拒绝了ks给的gmv任务微笑尼玛的卖货卖不好不给流量我哭死
1701019897# #拍完照片回家了，准备回家再跳个擦边舞蹈，目前妆容依旧完美
1698747809# #约了个北京的上门美甲嘻嘻南通没有上门美甲，回去了也不能老出门活动，就在北京做好了嘻嘻
1698060429# #耶！！吃饭咯！！
1693238405# #我去。延误了，我才到抓狂妈的妈的
1696220261# #我收回我的话，15pm前置拍的真的很丑跪了
1701507334# #我觉得我这个德行不应该出现在上海大都市笑cry
1697960018# #买了砰砰水的家银们记得多多在超话发发使用反馈，我下次卖货会用到滴爱你爱你爱你我得好好给砰砰水拍个预热！
1691004505# #必须十个人头打底好吧并不简单
1688995631# #没良心可爱
1688531554# #从没尝试过的风格白色芭蕾裙
1698538132# #妈的更疼了，什么jb毛病，能不能好了，我他妈服了费解费解费解抓狂抓狂抓狂抓狂抓狂抓狂抓狂疼的觉都睡不着又扎止痛止痛针都他妈快不管用了啊啊啊啊啊啊啊啊啊
1692957521# #他妈的！！！刚刚在船上翻下去了船刮到我的脸了我鼻子那里，还有额头被刮花了泪气死我了我眉毛被刮掉了橘朵眼线居然不防水！！假睫毛完好无损！！准备漂个流去吃饭了抓狂抓狂
1699779749# #心里的大石头终于落下来了doge
1692960509# #泡完水感觉妆容又好看了！馋嘴
1702301925# #宝宝，亲亲＼(`Δ’)／
1690156624# #哈哈哈哈哈哈哈哈哈
1700474071# #我研究了一个软件拍出来直接是实况而且不发灰不锐化美颜参数还可以调dogedoge想知道吗
1695344711# #拿到噜！！！！
1696838309# #嘻嘻嘻
1696389313# #喜欢这张照片太开心出门采耳去噜
1702432374# #去看！去看！！！
1690227858# #不是，家人们，我已经借了1000了，然后今天她又给我打电话，又发信息，我接了，我说借不了，她说下个月就还给我，我说我借粉丝钱就没拿回来过，我借你解燃眉之急了还问我借我借不了，完了电话挂了跟我说自杀去了。这种咋办，真死了我是不是要负责啊？
1695549015# #刚在酒店楼下买了一顶帽子肿么样娇娇和许诺都说挺适合我的酷
1693291546# #看看花絮吧亲亲亲亲亲亲今天是花仙子
1695101037# #不好意思随便卖卖
1701121060# #揪50个妮维雅身体乳，一人一只太开心开奖后及时填写地址喔太开心
1699799321# #给你们强烈推荐下，新疆纯牛奶，太好喝了我买的散装混合装！每个都好喝！（痘肌别买喝牛奶会长痘doge不爱喝纯牛奶的也别买
1691146899# #挤眼你说你爱我尊嘟假嘟啊委屈
1693909724# #哈哈哈啊哈哈哈哈哈哈哈哈哈
1698329889# #以后就会被我抓到抽烟吵架，多了一个吵架的原因单身狗
1690787821# #分享图片
1698378459# #可是我到处问，都说我这个病一定要早点治疗不能拖，协和医生连报告都没看直接给我拒绝问诊了单身狗给我整得做也不对不做也不对，我该何去何从单身狗
1702416765# #染黄毛就是开心(✧∇✧)就是喜欢黄毛
1703248055# #老铁牛逼
1698577676# #左哼哼右哼哼
1697370284# #我出发上海了doge穿上我的大头鞋doge
1700668527# #我要你们的美照！！大哥顾茜茜超话发进来！！咱今天直播肯定有好多好看的截图！
1698063453# #你们真有被害妄想症啊我真是买了个毛毯啊笑cry
1696444875# #异地恋的第一天伤心伤心
1697929701# #好难过，我躺在急诊中心，隔壁隔壁床一个年轻的小伙子自尽了，他妈妈一直在对他说话，说你睁开眼睛看看我好不好，你让我们以后怎么活，我看不得这种人间疾苦，何况躺在我隔壁隔壁床泪我听着他妈妈说的话也跟着一起在流眼泪，好悲哀悲伤
1702894574# #头是头身子是身子老铁黑的不行了已经
1698309852# #晒晒太阳
1697203376# #(还行吧
1691934070# #我都累丑了苦涩
1696944930# #卧槽痔疮犯了皮燕子流血了跪了
1699324900# #问诊完了，100块的专家号也没有一个很合适的方案，让我先治疗胆囊炎，胰胆合流的问题半年复查一次看有没有长石头，保守治疗，手术风险大不建议手术，只能忍跪了我咋整啊我操
1688289661# #印度汤圆挑战完了，明天发吧笑cry
1689613474# #有个粉丝拿了50张签名照来的可爱可爱
1688266392# #早安呀太开心时差正常咯（也不知能保持个几天）
1700566019# #我就说为什么有人说我在酒吧，我怎么可能去酒吧呢，b酒也不能喝。
1701909364# #早鸭⌓‿⌓
1692362619# #睡得好香呀二哈有种与世隔绝的感觉
1693296960# #想问问有没有x部变小的办法？我真的要勒死了抓狂
1696483538# #房东的女儿给我画的画的寓意抱一抱
1699785850# #昨天客服加班到凌晨，今天带她们去吃海底捞，我吃清汤锅，等会到了给你们播吃东西哟～
1697015165# #啊哈哈哈，混不下去咯
1689272504# #嘿嘿
1699177024# #User品牌方来探望我，给我带了个熊胆（人工养殖的）咱说山猪吃不了细糠
1695541181# #我睡醒啦！一觉睡了12个小时awsl我现在开播化妆，晚上看完演唱会肯定不能准时开播了，so我先播！嘻嘻
1693898596# #
1698835339# #我前几天住的住院部，跟我都是一样问题的患者，医生说80%来开刀的都是不吃早饭的，所以你们懂了为啥我天天提醒你们吃早饭吧抱一抱
1696044489# #诺弟儿又要出门了泪
1698731323# #医生说下午三点出院，我跟医生说我还疼，他说我的指标一切正常没有并发症，疼是因为身体里有支架没有办法，那我寻思赖在医院也不是办法，在医院也只能打止痛针，昨晚没有疼痛难耐，今天医生说可以出院了，明天早上回南通了太开心
1701013200# #先记录一下三个半小时的持妆zenn配春汀
1699322163# #31w💰已经打给厂家了如果双11我身体不行就无人直播你们自助购物好了哈哈哈身体乳一定要买啊啊啊啊！
1696750355# #伤心我好惨
1695229652# #我刚忙完，姐妹们，看到这个，麻烦大家不要信，万一被骗了，我明年给你们多送点画册好吗？不要被骗了真的拜托了泪
1704019055# #今年跨年好潦草啊哈哈哈哈哈哈
1703504036# #负责全网彩棠粉底液的负责人来我家了，我们正在谈判
1687223082# #妈啊，张彬彬好帅啊色
1699962582# #看吧真的牛
1694000562# #
1703074395# #老铁们，我一般拆到商家给寄的牙签牛肉都是非常柴的口感，红指甲这个有点像在烧烤店撸串的肉质，很弹牙的那种，辣度在微辣，孜然味比较大，很香啊！！好吃！！！
1689850905# #感觉这里坐了很多老板，四舍五入我也是老板并不简单
1688735964# #老铁到家了今天封号封到十一点五十呢，我半夜开播？还是怎么说成人礼（反正我现在要玩美食小当家的谁也拦不住我）
1697095889# #真的好用，得买
1698624020# #家人们起来吃早饭了！！我的早饭马上到了！！你们的呢！我今天喝粥！
1697945022# #OMG，我要挂一天摊手昨晚到现在挂了十一小时了，然后医生又给我续了两大包摊手好好好人家畅饮我畅挂摊手
1696748515# #吃药伤心
1694505742# #昨晚换上了我买的8斤重的被子，睡的贼尼玛香！果然还是厚被子有安全感
1689846198# #活动7点开始太开心有要来的粉丝有一个小时可以！离得近的可以过来，离得远的来不及啦！
1693731933# #累死我了
1698548165# #都去定个闹钟，每天提醒自己吃早饭！！抓狂都给我注意起自己的身体来！！妈的！
1688060580# #那行，不用做美甲了哈哈哈哈哈哈
1692469199# #太好吃了妈的
1690032928# #22凌晨出发浙江丽水开元7小时，白天参加完婚礼23晚上回南通，25号回家看看爷爷，26号凌晨出发济南七小时下午见凌总，27凌晨回南通收拾东西，28号飞内蒙古可爱能不能来个分身
1703898620# #腿他妈的风湿复发了疼了我一夜膝盖贴养生娘娘都没用我快疼死了
1691641989# #大佬出门懂？
1701539727# #呐，开始了
1703549534# #晕晕晕自己p去我不p了身子黑就黑吧摆烂了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1693375381# #收到一个很不好的消息泪
1699550115# #拍了三条预热doge又要压榨花花了哈哈哈哈哈哈
1694866587# #二哈妈的我看谁还不买彩棠粉底液！！！！
1703682714# #你好
1699726205# #彩虹屁彩虹屁
1697045526# #卸妆泡脚睡觉酷
1700487633# #我真是个二笔，买了个电影票结果跑错地方了怒骂买的万象城的结果跑到中南来了270元五张票怒骂
1703684128# #对自己的成果还算满意二哈
1695289849# #喝多了好久没这么喝了单身狗单身狗
1697360959# #老铁，今晚去上海，明天做医美，明天回南通，后天去敬老院，老铁，特种兵日记提上日程握手
1693641581# #我这次去拍写真穿抹胸裙不披头发的造型严重意识到自己肩颈那块太厚了所以我以后每天都要带矫姿带！（只要我自己配合这个矫姿带就是有用的）酷大家每天监督我！
1691706639# #累晕😵小🐟连夜过来给我搭配衣服😂
1702041228# #看到了
1700046398# #今天直播化个妆拍点照片吧，都没照片发了，一翻相册全是在医院的哈哈哈哈哈哈
1696506141# #你们也阔以这样子试一试哈～砰砰水里面有愈创木可以对皮肤起到很好的修复作用太开心
1695659685# #许诺喝多了哈哈哈哈哈哈哈哈哈
1703327833# #今年圣诞我不直播化妆了，我明天下午录个圣诞妆教程我出去拍外景的，家里没地方放圣诞树了家里也没地方可拍的了二哈二哈
1704109796# #10.34解封35开吧
1699734061# #今天的小护士手法可以doge找了个其他护士找不到的血管
1700919790# #妈的李洋跟傻逼一样，我们到加油站加油呢，正在加油，李洋突然拿出烟点了抽了，我他妈吓死了，我说加油站你怎么抽烟啊？他也吓一跳赶紧灭了。。。我尼玛李洋是我见过最傻逼的人。。。
1698904921# #半个月没洗脸护肤过了。皮肤差了好多泪
1701056734# #下次韩妹预定哈握手
1699530823# #一会快速撸个妆，拆会快递，得拍预热了跪了
1702031749# #你好
1703036050# #赵文娟，该还钱了握手
1697262307# #换季秋冬天皮肤怎么这么稳定是为啥嘞dogedoge
1692692521# #哈几米哈几米胖宝宝胖宝宝
1702302489# #是我呀宝宝，我没有被盗号呀宝宝(˃⌑˂ഃ)
1702560214# #刚出机场！一出来就是海！好透啊这海！！
1701049279# #早说你们喜欢这一款，我18年就是少萝了允悲允悲
1703952600# #2023最后一天，明天就是崭新的一年了～祝大家2024一切都好～一人100元参与一下叭
1690918088# #快来我的羊羊队爱你
1698936497# #老铁不行了，我去医院了，做个ct去看看怎么事儿，巨疼
1692828127# #素颜9连拍亲亲亲亲（希望自己可以坚持好好护肤哼
1701352409# #这个就是芒果头，我出门基本都是拖鞋，要么就是它泪可是h55不做这款了，我心好痛。。。。
1695424278# #走咯太原见酷
1696482376# #睡爽噜太开心
1693833634# #凭我的粘牙程度成功把99压到79偷笑5000单肯定不够卖咯偷笑偷笑
1703499122# #什么玩意一觉睡醒我的圣诞照居然20w播放量微笑
1693278347# #老铁！来！
1702899563# #我把中午化的眼妆改了一下比耶
1693740342# #房东阿姨太牛了！！全是一个人做的这些菜嘻嘻嘻嘻嘻嘻
1694436186# #芜湖dogedoge说不定哪台是你的
1690882027# #白裙子真的不能白天拍苦涩我个黄黑皮拍的像农村大妈来荷花池洗脚泪回去换衣服换个地方再拍了
1695196787# #宝们，不要再跟我说有人凌博士机制比我好了，我的链接里都是我觉得最好用的，便宜的东西我可以组更多，但是我追求的是产品的质量，东西不一样，如果你觉得其他人的合适那你退了就是嘻嘻如果你找到一个机制和我一样的，并且产品都是一样好的，我会去追究凌博士的，但是不会有这种情况酷
1702185556# #在吗，宝宝
1687854738# #快要洗了
1692528103# #好好好寻思终于到家了（没错昨晚到现在没睡呢挤眼）给旺旺溜一下喂个饭能睡觉了，睡醒好起来直播，结果旺旺掉河里了，好好好，好好好啊好好好鼓掌不睡了挤眼
1699168970# #我的血管，不是特别厉害的护士都扎不好泪因为我的手上只有一根静脉比较明显，其他都不怎么看得出来加上纹身又特别多，但是这些天频繁挂水已经千疮百孔了就寻思扎虎口这边，用的还是宝宝留置针，结果以失败告终还肿了泪
1701828990# #当时是哪个理发师给我剪的头发，为什么不劝劝我？2014年我好像个傻春啊
1698570766# #我的晚饭赢牛奶赢牛奶赢牛奶
1688986299# #Jojo也安排了成人礼拖鞋15号一定要买太好看了！
1702183319# #他问问大家他健身有成效吗
1698233679# #目前通知我明天手术，我先回酒店等着，我下午打的止痛现在人都晕乎乎的，我准备直接睡了，晚安宝宝们haha随时跟你们汇报别担心我哟亲亲
1690162242# #老铁我在晒背我去浑身湿透
1698298046# #家银们我来报平安了，我的胆管结石已经取出来了，但是发现我体内的两根线长得跟正常人不同，正常人两根线是分开的我的两根是连在一起的，还得进一步观察，还需要手术单身狗我麻了一会还得抽血
1689755976# #插秧哥这个时候是最有魅力的
1702923275# #直发or卷发？
1698634653# #身体乳偏远地区的邮费我给你们包了，你们真的试试，真的好用泪11.11直播啊，我那天主卖妮维雅身体乳（补贴了一万单卖完不补了）和稀物集卸妆膏（还差5000指标），其他都随便卖卖，毕竟身体在这儿摆着
1699113306# #脱脂奶真是太难喝了抓狂
1703593877# #给你们看看这人一天在给我报备啥
1696643036# #勿念抱抱
1688980678# #成人礼还可以啵
1694417689# #完了机制忘记打码了那边。。。。。。
1692133138# #吃完夜宵了回去了（吃饭过程中测了一下16人格哈哈哈哈哈哈哈哈哈哈哈哈我居然是i人isfp耶）
1698392246# #我的头好痛要炸了现在去做脑部ct泪
1697964697# #卧槽！家人们你们仔细想想！！我现在的身体只有一个心脏还有大脑是健康的！！！笑cry胆囊炎，胰腺炎，胆管扩张，肝也坏了，肺大泡，肺结节，肾结石，胃体炎，肠炎摊手25岁的年纪，入土的器官摊手所以你们一定不要跟我一样，年轻的时候喝大酒，熬大夜抽焊烟笑cry我天天吃那么多保健品喝那么多养
1703595827# #嘻嘻赶紧的选出喜欢的29号直接下单就完事嗷
1690607965# #睡到这会儿困
1701352073# #又是卑微的一天泪谁没买芒果头谁悔死去
1702430387# #分享图片
1702292299# #吃～(˵¯͒〰¯͒˵)跟四件套的大哥聊聊四件套的水深～
1700331009# #我们三个谁湿气最重？
1698660723# #晚上还是吃的面糊糊，反正比米粥好喝泪（再提醒一遍明天早上记得吃早饭）
1703590116# #允悲爱了都好喜欢
1688922247# #链接来了
1696572731# #太热了跪了
1701697464# #我在拉屎她在我对面看我拉屎
1702433611# #嫩飞比耶
1694538277# #顶级预判哈哈哈
1697404148# #妈的可乐喝多了睡不着，一想可乐里有咖啡因，怪不得睡不着摊手
1687928649# #变美美求饶
1703229881# #睡醒了一下就清醒了
1700568059# #小建出现
1698555721# #欠你们的带耳机打电话还没拍，证件照还没拍，我都记在备忘录里，等我身体好点都给你们补上赢牛奶
1691811614# #抓狂抓狂抓狂
1699257315# #一会出发杭州了明天上午去肿瘤医院问诊亲亲
1700317884# #...
1696156094# #好吧，今天又是幸福的小姑娘酷
1703242854# #冬至快乐喔～(＾▽＾)吃饺子🥟咯～
1698561263# #怒瘦10斤
1693402477# #家人们看看花絮我去拍摄啦！直播会晚点喔😲
1698124189# #出院了来理发店洗了个头haha小孙回家收拾衣服了！北京是不是挺冷的呀，得多带点厚衣服去⌓‿⌓
1689323791# #家人们啥也不用动，太阳底下趴着酷酷出汗啊！！舒服！！！衣服都湿透了，我是搭配着红豆薏米水晒的，虽然这个点没什么太阳了但是还是很有用的！昨晚也泡了脚今天晒了背，我真几把养生嗷哈哈哈
1695648219# #简单化了个妆准备去柳巷直播吃小吃！awslawslawsl明天上午就走噜～
1688471819# #我差点被骗一万块，操微笑这女的真有病！
1689934183# #我他妈要发多巴胺了操这辈子不想拍这么麻烦的东西了
1703088992# #几天没见，战损了
1701277277# #还剩一千多个电暖宝了注意手速
1688103165# #吃完饭回南通咯
1699443573# #挂完水洗了个头，回家噜，到家再开亲亲
1689145993# #我坐在马桶上寻思了一下，我觉得我其实挺努力的，又要拍vlog，又要拍妆教，又要拍颜值视频，又要卖货，每天还都直播。本来觉得自己很闲的，仔细一想我也没闲着抓狂
1689496698# #哈哈哈这不把你们馋死了？
1698625653# #明天我请你们吃早饭！28.8可以买什么早饭呀你们那边，应该可以吃饱吧赢牛奶一定要吃早饭哦！！
1693894323# #我真是保姆级别的教学家人们，手把手带粉丝不卡粉二哈
1688969878# #因为这两天低头玩游戏脖子堵了，昨晚出去按摩了，今天睡醒让小孙去看看兔子，结果它越狱了！！而且它跳到我的床上！拉屎撒尿了！抓狂抓狂抓狂抓狂呜呜呜昨天刚换的乳胶凉席讨厌小兔子泪泪（现在去做美甲了）
1691225279# #河北的bc黑龙江的bc我与你们同在抱抱抱抱
1703425069# #平安夜快乐🍎
1694462834# #稀物集的机制，看看哈太开心
1695443821# #睡觉睡觉睡醒化妆来见你们awsl
1691499304# #今晚化妆拍孤注一掷老铁并不简单已经找到百叶窗的办公室了（拍的不好别挑理嗷）
1690798390# #烤全羊！我先吃为敬！（他妈的发三遍了哈哈哈哈哈哈）
1697434536# #我麻了，半个小时这个民宿的过来敲了三次门，我崩溃了伤心
1703166824# #31张照片发了顶顶还有好多没p懒得p了你们喜欢哪张可以告诉我我再去p几张下次再发爱你
1704028560# #咱家人呢，微博都没人评论了，都出去玩儿了？
1702232513# #我感觉我给人的第一印象就是坏人，我有一大半喜欢我的粉丝喜欢我之前都是觉得我这人不咋样吧，因为我看着不好接触，出口脏话也多，但是了解之后真的有种反差感⌓‿⌓你们喜欢上我之前觉得我是啥样人儿啊(ㅇㅅㅇ❀)
1703397449# #我靠我一睡醒许诺给我做了一个圣诞树
1688094330# #这20个人，一人288抱一抱记得看私信哦
1698150990# #平安落地啦＼(￣︶￣)／
1700564870# #我发现，吃的清淡，不吃油腻不吃辣，皮肤真的更好，我以前鼻子真的很爱长粉刺白头，我起码半个月没清理鼻子了，摸起来还是非常光滑一个粉刺白头都没有，真的，内调对皮肤是最好的，家人们也少吃油腻少吃辛辣，皮肤真的会变好！
1696426599# #到机场了
1699194448# #链接来啦哈（看看有没有漏了的）
1689103435# #晚安贴贴宝宝(✧∇✧)
1689760665# #原图来噜太开心
1693492023# #这造型太牛逼了家人们我去拍摄了哈哈哈哈哈哈
1702370612# #好纠结啊，好纠结啊，1还是2啊，纠结死我了，快选选啊！！
1699011702# #每天吃这种东西，能不精神衰弱吗泪
1694380643# #傻逼许诺传染了脚气给我泪特码的痒死我了
1696497397# #妆后。。。。。。。。米死谁了我不说
1703815787# #
1701234249# #恭喜
1691649007# #我不哭了我只是坚持了做自己我只对对我好的人好一切的优秀与回报都是我努力得到的，我是个能分别是非好坏的成年人，我曾在直播间告诉过大家，只要和钱挂上关系，不论爱情友情哪怕亲情都是一盘沙。谢谢大家安慰我我哭完好多了，我要睡觉了，醒了还要化妆拍预热鞋子的视频，晚上还要拍品，12号卖百货
1688183668# #笑cry费费生日那天喝了点酒我说vlog可以两天一更的，不然她们不点赞，花花和我说感觉剪慢了对不起你们她真的我哭死苦涩
1699515516# #11号我给你们弄了个不一样的玩法，幸运星抽人，抽到了连麦玩红包墙doge奖品都在下面那天一定要在直播间待着哦如果抽到你你不接连麦就作废的哦
1703039664# #终于到东郊庄园门口了困懵逼了允悲
1698551715# #嗯呢，国外的蝴蝶赞
1689325848# #真好看呀
1701920711# #杭州也太热了吧老铁给我热死了
1702422686# #服了许诺了，还带上了情趣小包，真是度蜜月去了
1700286424# #我穿了两套大厚睡衣还是冷，你们也多穿一点哦宝宝
1699951750# #昨天挂完水都四点了跑到澡堂子来睡觉滴，按了摩还加钟了，睡到现在，嘎嘎带劲哈哈哈哈哈哈
1695152788# #今天谢谢大家了，谢谢bc，谢谢购物粉，谢谢周周薛晨旭娇娇柯蕾徐斌娇娇鸽子张琳，谢谢费费，谢谢花花小孙，谢谢品牌方，谢谢支持我的所有人，感恩🙏🏻我说过的我们都会越来越好，我爱你们。💚
1691444094# #猜猜我在吃什么⊙∀⊙！（献上我的字）
1698546616# #你们以后每天也要吃早饭，我虽然是先天性有毛病但是医生说早上不吃早饭的话胆囊分泌的胆汁就会形成结石，让我以后哪怕早上在睡觉也得起来吃了东西再继续睡，我现在就困得一比泪
1700110786# #报告，早中饭都已吃过握手继续睡
1692323418# #你们早啊我要睡噜（报复性熬夜前段时间熬夜都没得熬啊哈哈哈哈哈哈）
1702513157# #大拇脚指头，甲沟炎了爱你我就知道我这人出门肯定没好事儿
1699346410# #挂水了亲亲亲亲missyou亲亲亲亲
1696035515# #有一种灵魂被夺舍的感觉跪了
1694266072# #我已经号召我微信里所有的亲朋好友919来买我的东西了，不化妆的买点沐浴露，身体乳，洗手液。化妆的买水乳，粉底液，口红，睫毛，不化妆不精致的买吃的喝的衣服！啥也不用的给我买点纸回去擦腚！妈的！非破不可！一分钱不投流破千万的主播全网少之又少！我一定可以！只要我想做到！
1693055277# #55555555555我开车分神开错路了5555本来9.30能到家现在10点才能到家了5555多开三十公里抓狂抓狂抓狂想念费费当司机的时候了55555555555
1702301612# #如果有一天谁也找不到我了，我应该是剃度出家了，我今天突然有个想法，做尼姑，我爸以前就想让我出家，我觉得我现在无欲无求的心态很适合去敲木鱼，敲久了就会心无杂念
1699728594# #辛苦了大家！！！
1702789551# #哎呀妈一睡醒身上好痛啊，冲浪这种运动不适合我这种娇弱的女子，需要很强大的臂力(つД`)
1690292947# #我刚到济南眼睛睁开收到噩耗苦涩我的小白苦涩苦涩苦涩🙏🙏🙏
1700962575# #算了嚼了个褪黑素再见吧破烂人生
1689584272# #芜湖睡醒啦太开心太开心太开心
1688408478# #这套衣服行不通！我换了一身跳！上午发嗷抱一抱
1687472799# #粗发
1698214132# #噢耶，吃饭咯微笑
1695979397# #恭喜
1697262636# #知道我为啥说iPhone15pm不能买了吧？？？前置摄像头拍出来的真的没法看，我同样的角度截屏又亮又嫩，一摁拍照键，出来的照片又黑又暗沉又油，我真的摊手摊手摊手
1691713002# #热晕了！！已经持妆十三个小时了丝毫没氧化啊老铁！
1697481918# #卧槽，左点的那个，我今天晚上拆的那个，热敷的好舒服！！！！！暖暖的好贴心！！
1701055416# #图2是不点p的，图3是我p的，图4是原图，但是滤镜都是她给我加的笑cry脸还是不放心交给她怕你们认不出我哈哈哈哈哈哈哈哈哈哈哈哈
1702039661# #这个睫毛我宣布是肿眼泡的救星（我自己买回来试了一下，明天卖！
1701348961# #嘿嘿嘿
1695975472# #前任四这他妈啥剧情啊允悲还没看完就想吐槽允悲郑凯双手插兜吹口哨给我整破防了允悲
1703876620# #谢谢大家，我算了算佣金，税点和送的礼物，今天白干亏3w笑cry回家睡觉去了
1698736053# #泪泪泪
1692274518# #粗发
1690811544# #到底谁给我录屏只录一半儿了有一堆内蒙古的人找我理论说我说内蒙古埋汰？？我说的我去的那个度假村吃的诈马宴里面的奶茶有黑的东西我不敢吃，我还说了内蒙古风景真挺好就是旅游行业发展还得再提升提升，神经病吧哪个sb给我直播录屏录一半让我被内蒙的网友攻击了黑线我从来不地域黑的好吧有病吧
1704339993# #还得是爷爷牌馄饨！带劲嗷！
1701675856# #那些用了没效果的可以评论区告诉我一下是怎么用的吗，还有沐浴露，空调电热毯开不开之类的都说一下，我很想知道允悲允悲
1698737274# #出院了，医生以为我11.1号有事，结果我是11.11有事，搞错了你说尴尬不尴尬笑cry笑cry然后他让我再住几天，我说回去吃两天药如果还是很疼或者加重了我立刻去上海复查，然后签了个离院通知书，出院噜，回去我研究一下以后的直播时间，10点档不行啦，如果三个月以后手术了医生说可以熬夜我再改回来吧
1693740349# #
1704027836# #剧情一言难尽啊笑cry除了刘德华彭于晏很帅以外这个电影没有其他好说的了允悲
1698029585# #不想说啥了，我本来这个月寻思孩子挺不容易给发6000工资的，但是她昨晚辞职了，我给多发了300之后（上上条微博有发）我半夜收到了来自家里其他员工的投诉，我才知道她的行为。我就发表了图1图2的话语，图3是她发给费费的控诉，说我压榨她，但是我一直跟她说的会加钱，而且已经在招人了，前段时间面试了
1693729746# #我去小抖播会普拉提家人们
1697511089# #刘亦菲来反馈了
1701789525# #好好聊天不想听那就别听了
1689786478# #腰窝敏感了那我老实躺着去了不护肤了并不简单
1689848014# #嘿嘿看看美照亲亲亲亲今天是富家大小姐嘞
1697635922# #我喝了个粥，然后我疼晕了现在。。。。我跪在地上祈求上天能救救我。。。。。为什么我喝粥胃也疼？。。。我不如死了
1701938260# #这鞋子也太可爱了死玩意咋这么招人稀罕呢
1688711434# #那个遮瑕很干，干在了我的手指头里，怎么p？磨皮很假，祛痘祛斑也很假，这种他妈的怎么修啊！！苦涩好丑他妈的
1698726166# #左哼哼右哼哼哼小伙子整这肉麻的
1699976316# #穿我的新鞋挂水去咯～好喜欢我的新鞋～面包雪地靴好酥服＼(`Δ’)／
1688129700# #他妈的雨下的老大老大了，3个半小时的路，开了五个半小时才到家。。。。妈的妈的！
1697570421# #卧槽，真惊了，我没仔细对比，老铁，我一对比我真草了！！！5图是我没用的腿拍的视频，6图是我刚拍的，我吓一跳直接哈哈哈哈哈哈，然后7图是我测评前拍的，8图是我刚拍的！！！！我尼玛！！21号我尽量上一下这个品！！！我马上去谈！！！等我！！❗快手就一个人卖现在！！！等我！！这是我即将卖爆的
1687670595# #想看花絮？我真没笑场家银们笑cry
1692722370# #学爸挺好看的但是我感觉年纪小点的看这个电影应该没有太大的感触（不包括原生家庭被b过学自己不想做的事的）适合有想生孩子想法的新婚情侣看看我觉得是好看的～后面还看哭了泪
1703630321# #我突然有个灵感设计一款单眼皮肿眼泡的双眼皮贴我已经给荔树发信息了不知道能不能有我想的那种效果，如果能行一定很牛逼
1697810304# #不知道是饿昏了还是睡晕了又睡到现在要去医院挂水了打call打call加油加油这个月的预热图没有了家里好多好多快递拆不动都摊手明天你们来买东西自己多逛逛小黄车看有没有啥需要的哈
1688910632# #哈哈哈哈哈哈吃冻干胡萝卜呢
1692024918# #好多衣服啊哈哈哈哈哈哈没想到吧明天还有好多好看的衣服！！！抓狂抓狂抓狂开心
1696929162# #坚如磐石看完了，感觉删减太多了，故事情节不太连贯，总体来说一般
1698881999# #早，吃早饭了
1692120014# #带妆13小时（再累还是要记录妆面）图1全是汗和出的油图2我用kiko压了压今天酷酷出汗戴眼镜换衣服鼻子斑驳会比日常严重一些但是很满意了！哈哈
1698394898# #这根管子听许诺说这两天能拔掉了单身狗里面装的都是我的胆汁笑cry这管子插在嘴里咽口水都好痛
1694900591# #黑头清理完就是爽鼻子摸起来好滑
1687229611# #我们旺旺最乖啦抱一抱今天在外面尿了两炮尿拉了一泡粑粑有进步哟
1693072706# #呀呼(✧∇✧)晚安
1698035839# #我尼玛上来干我8管血
1695780762# #洗澡睡觉去咯～～咸🐟上卖我签名的大家不要买！我一定会努力让喜欢我的人都拥有我的签名照怒骂不许花冤枉钱！！！！！爱你们晚安哇
1701276900# #还挺好看嘞
1703031132# #香迷糊了老铁握手
1698490429# #这下胸都变小了泪一下子瘦太多了泪一个热知识：女性胸部都是脂肪，瘦身先瘦胸，泪我的咪咪啊啊啊啊，啊啊啊啊啊
1702919868# #谁能救救我？我酷酷拍，拍完也不挑也不p，就搁这儿放着爱你咋整咋整
1698455489# #昨天晚上医生把鼻胆管给我拔了，结果凌晨疼痛加重了一个晚上，凌晨上了一针止痛，刚来了个医生说再给我插个鼻胆管给肠胃减压允悲真是遭老罪了又要插管了
1697646326# #医生说明天早上做b超，看胆囊有没有结石，再确定进一步检查，现在要去挂水了，禁食禁水早上做b超泪
1701972741# #小家伙跑滚轮了
1701178704# #早叔第一次来南通，安排点南通菜给他吃握手今天回了家再播不用等我今晚想一边护肤一边聊天，吃饭我就不播了，跟他聊聊天彩虹屁爱你们哦
1687717153# #晚安💤
1693198719# #出发咯西双版纳见馋嘴
1690954995# #
