1701160405# #梭哈a股试试
1702218534# #趁着双十二全店85哲，来送点礼物。今天抽这个，在圣诞树灯里我最爱的一款。本来还想藏几天，等圣诞再送，结果一看有的款都卖空了……喜欢的要抓紧了！。。卷发评论里各揪一个粉丝送中号🎄！。真的肉眼看比视频还美
1703865216# #今天一天光玩这个《饼干人》了。。感觉和《桃源深处》还挺像的，但是玩法更多一点。。孩子他爸帮我弄了个模拟器在电脑上玩，真的太方便了，拯救了我的颈椎！
1701955960# #哇这个猫头鹰明天终于要到货了，我特么也是第一次发现做玩具做成理财的，这个猫头鹰全国就出了900个，下次出货要年后了，因为数量太少被坐地起价，现在拿货都要250起了，而我最开始想着便宜卖给大家设置的233，也就是说我又亏钱了，提前买的赚钱了恭喜你们……苦涩
1699616828# #今晚八点，内衣家居服睡裙内裤袜子四件套厚被子，请来🍑悦己秘密花园
1701702776# #今天有朋友问我这个宫崎骏音乐盒有没有。。其实这个系列，开动以后的部分就都是动画特效了……。。如果有这种产品问世我们肯定会上的～。宫崎骏
1700232119# #今天收到的琉璃莲花香插也太仙了。。我在院子里反复欣赏开学季
1702825237# #这个也是今晚半夜开，258的南瓜马车诶，才几十人转……这中奖率太高了
1700737031# #乐极生悲苦涩刚想拍他自己扶着桌腿站起来，结果摔了个大的！。我吓得手机都掉了，因为看着真的好疼！吓死我，生怕磕到骨头牙齿啥的。结果哄了半天又自己好了允悲这么大的娃真是一秒都不能分心啊。重看视频都觉得疼苦涩苦涩苦涩桌子都被撞的晃了一下，还好没啥事。
1702125164# #我们选了更直接的方案，直接两个店都85折，满减都不用凑了
1697178069# #今天仓库搬家，发现4个正版的雷神之锤音响。但是音响功能可能坏了，锤子当摆件还行。有人要吗？50就出！。当时原价大概800左右，出完了！谢谢大家
1701271571# #不要找日本代购了。。收藏级的玻璃圣诞树原厂在这里开学季开学季开学季。价格只是日本的零头！！！。。每一颗都好好看泪泪泪。圣诞季
1698503942# #哇我这一天充实的，从起床开始到现在才有空看手机！。早晨九点半我们就带着娃出发去宜昌了，开的车是孩子他爸五叔家新买的理想，说实话我还挺意外的，新车就这么大方借我们，五叔上大分！。。第一次坐理想，感想是这车带娃很合适，空间大，舒适，智能驾驶也好用，除了驾驶体验比极氪差一点，智能化方面吊
1697566978# #好听！
1701611274# #卧槽泪目
1703433220# #我的平安夜，晚上娃睡了，孩子他爸也睡了（感冒），我在上晚班客服。但是今天人少了好多，这个晚班上的很轻松！。看大家晒图，家里都各种美。我也拍了一下我家里，哈哈哈哈突出一个乱。买的衣服都没有时间试，估计阿姨也绝望了不知道怎么收拾。但是我觉得乱也很有安全感！。白天我给很多亲朋寄了圣诞礼物，
1702908877# #可爱！贴在胸口可以陪你工作！
1698913849# #实物是金丝刺绣，拿到手里流光溢彩，上身服帖聚拢又轻薄，对内衣品质细节有要求的，有送恋人需求的就无脑选这个系列吧！
1700405289# #恭喜
1704115354# #今天送这个，霉霉的音乐大电影正版周边～。指路🍑：魔王城堡创意礼品。。🎼🎤🎤卷、评各揪一个粉丝送双层杯➕小海报。老规矩要帮我写个评价哦感恩🔮🔮。。之前很多朋友说上了一定要发微博通知，我今天看到第一批货都卖完了才想起来允悲。这里面双层杯最有收藏价值，数量很少，其次是铁皮桶，粉
1702199924# #直接送2000块的被子，这次就是这么豪横（主要也是感谢大家的信任，一直都是靠卖内裤被子枕头赚的钱在做女士内衣……谢谢大家续命
1701964687# #恭喜
1701960126# #恭喜
1700836573# #今天送这个！🔥到断货的贴贴公仔！水獭超可爱。。🦦卷发、评论各揪一个粉丝送。（帮我写个体验评价就好🦦。。手感超级棒，而且它最大的功能就是陪你上班、上学、工作写字时都能保持一个正确的坐姿！。对腰，颈椎都很好！小朋友也能用！传送门：
1698844213# #明月7a启111。戳左边领券！两岁以下的话，一个主机都够用了（到手398还送16张幼儿认知卡）2岁以上可以考虑全套入（到手578真的很多卡片）！也就是一节早教课的钱！
1703170408# #我真的感觉自己词汇量在减少，经常不知道怎么描述
1698669299# #发现潜江人好爱吃，遍地是餐馆，而且随便一家都很美味！。看了下菜的价格，在人均工资三四千的地方，真不算便宜，但生意很红火。。我觉得是这里的人舍得在吃上花钱，所以这的餐饮水平就越来越高了，形成了一个正向循环。。。大家如果来玩，建议潜江小龙虾、油焖大虾吃一次就可以了，多吃吃餐馆和夜市，很不
1698926351# #今天心情不错。。下午我出门“要账”，一个是之前给十一充了5000多块钱的游泳馆倒闭了，好在它的早教部还开着，给了我一个承诺书，说12月之前退款。。。一个是产后康复，越想越觉得是智商税，要求没消费的部分全额退我，他们也答应了，承诺一周内退。。。再加上之前旧仓库的押金也退回来了，今天共要回来两
1702815489# #《不良人》里的歌都好好听，我每次洗澡都反复播放，每次放到《原点》，都会在心里呐喊，唱得太好了！。。然后一看歌手是西单女孩，这个名字我很有印象，就我们这代人应该都记得，互联网刚兴起时，有人录了一个女孩子在北京西单地下通道里，抱着吉他唱《天使的翅膀》的视频，一炮而红。。。那个声音真的好干
1702219706# #给家里的猫猫来一个爬绳子的圣诞老人吧！。。圣诞季
1699534318# #收到小红🍠的系统消息，说我报价偏低，让我及时调整，其实我就是随便填的，并没有打算在那边接推广。。但还是让我觉得微博和小红🍠差别太大了。微博是生怕博主赚到钱了，各种限制。小红🍠是生怕你赚少了……
1701958420# #今天送一个可爱的。树懒擦手巾➕小毛巾。放在厨房卫生间会让人心情很好！。。评论就可以了，揪三个铁粉以上的送（包括铁粉）。老规矩帮我写个评价就行么么哒🦥🦥🎄🎄
1701429323# #之前买过这款清仓数据线的朋友注意啦！。。刚我看到这个评价，才发现这里面是老的安卓接口，不是typec。因为是突然翻出来的一箱数据线，也没仔细看。确实是我们的问题没有写清楚（苹果线没问题）。。所以之前购买的小伙伴们如果用不了这个安卓接口，可以直接申请仅退款哈，线不用退回，就当给大家赔不是了，
1699190940# #哈哈哈开心就好！注意不要砍到东西笑cry
1698206948# #带十一第一次坐高铁啦。以前回老家都是坐七个小时的动车直达。结果这次发现可以先坐高铁去武汉！。。上海到武汉竟然只要三个多小时！。然后再从武汉转车，全程就只要五个小时不到。我可真聪明啊
1703778564# #十一的日常！。。现在会牵着一只手走路了。会蹲着玩玩具了。最爱的玩具是开关
1702386608# #双十二最后三个小时啦！。今天送这个，超级有圣诞氛围的香薰蜡烛礼盒～。不舍得点的话当摆件也很香！。。🦌🦌卷发揪一个粉丝送大礼盒。评论再揪三个粉丝送小礼盒🎄🎄🎁。老规矩要帮我写一下评价哦么么哒感恩
1698335554# #嘿嘿，这么可爱的东西在哪？竟然都在我店里！我可太厉害了（叉腰）
1701961627# #恭喜
1703000624# #圣诞礼物。请查收你的圣诞音乐盒～。。是我小时候在橱窗里看到的可爱糖果屋和小火车
1697541338# #今天又一次觉得，专业的事还是要交给专业的人来做。这次搬仓库为了省点钱，是每天搬一部分（上次搬家是一天搬完，来了十几个人花了一万多）。结果这次算下来不仅没省多少钱，人还累的半死。。今天直接累到去医院了，因为身体太疲惫，一个小疙瘩进化成脓肿了，医生开了药说先吃，三天后没好转就住院手术
1697123050# #没有男生能拒绝这个赛博头盔！。。搭配我们的发光武士刀更帅哦！。。赛博朋克2077
1702212951# #刚去看十一洗澡，发现这个澡盆已经有点小了。。又翻出来他三个月时的视频对比，确实不知不觉就长大了不少（好像还比小时候好看了点嘿嘿
1702646499# #接上一条，为啥我说管理很难。很多问题，员工和老板的角度都是很不一样的。。。比如说，这次董宇辉事件的起因，就是小编们在评论说文案是他们写的。。。这也很好理解，因为你一个团队嘛，总有人干幕后的事，有人干台前的事。那凭什么就你董宇辉火了？。。心里不平衡，也很正常。。董宇辉的火，天时地利人和，
1703168245# #圣诞节倒计时三天～。。这款糖果屋和壁炉水晶球灯是我们去年的产品，但是这个系列我一直超爱的！平时做摆件放家里也特别温馨有爱～。。友情提示：现在挑一份礼物，只要不是偏远地区都还来得及哦，我们仓库上海发货，江浙沪皖都是次日到抱一抱圣诞礼物
1701004476# #嘿嘿好可爱呀！！！感谢返图抱一抱
1697899175# #医院用的是华为电视。这音效真的惊到我了！。4khdr5.1声道，这么小的电视看出了电影院的效果……真是遥遥领先啊。华为电视
1697818986# #对不起，明天就给熊律安排大号的哈！这个小号确实配不上熊律体型！
1696693725# #厂里给我说接了一个订单。多出来一点可爱猫猫，便宜给我。这便宜我当然要占了……。就是这个大橘猫！才20左右！很划算！
1699677397# #说实话别的还能接受吧，但是藏马，我真的哭了这是什么鬼
1702477023# #我们圣诞季的款太多了，估计圣诞前每天都有抽奖开学季。今天送这个，好看又不贵的圣诞手绘系列！。送礼物杯子永远不会出错！。。🔮卷、评各揪两个粉丝，可以任选一款杯子或者盘子（简装版），要求帮我写个评价就行么么哒🎄🎄
1702802645# #有一种绝望是上午看到待发货400多。然后仓库吭哧吭哧发了一天，再刷新变500多了。我还想清仓。仓库直接说没空汗汗汗。。所以为啥每年都在喊圣诞礼物提前准备，因为到了20号以后那几天是真的焦头烂额，大家都想卡点收礼物，难免会有一些备货不够的，缺货了再补过来又耽误两天，就赶不上了……
1698591708# #本人的执行力：。昨天被270度的阳台美到了，今天下午，在十一的周岁宴席中我见缝插针就来看房。第一次看这种毛胚房，每一步都走的胆战心惊（戴了安全帽）。好消息是价格真的不贵，坏消息是能看到湖景的户型已经全部卖完苦涩其他户型景色没这么好。。。我就是觉得这个阳台太绝了，整体也比现在公婆的房子大
1697203848# #早晨阿姨和我说，十一现在出去玩会跟着别人跳广场舞的一起跳，我还不相信，结果阿姨现场打开音乐，让十一来了一段……。。真的震惊，我今天一整天都在想我们两个沉默寡言的性格怎么生出一个这么活泼的仔……
1698223768# #大学毕业后就再也没回过武汉了，今天在汉口换乘，武汉人民还是一如既往的急性子……。。我们下车后，本来算好的有半小时换乘时间，就推着十一在慢慢逛，突然有两个光头，看起来特别彪悍的工作人员喊住了我们：。“你们去哪？换乘的吗？”。我说对。“换什么车？”。我说2377。。这两人一听就急了，2377？那要
1698416717# #小鸡现在看到十一都绕着走允悲允悲允悲。。猫：莫挨我！
1701693412# #我说玩就不必了，你们有啥不明白的可以问我……毕竟你们这些任务副本我当年没做过一百次也有50次
1703083639# #每日清仓今天送一点圣诞积木🎄。。🛷卷发里揪一个粉丝送圣诞树🦌。🤶评论里揪两个粉丝送圣诞小屋🔮。。这款积木是我之前囤的一批货，东西本身挺好的，每款都是很大一盒，拼出来也都带灯光音乐啥的。。但好像积木和我们店没有缘分。一直卖的不好，放仓库又占位置，所以今天全部亏本出了！这应该是
1703077568# #……
1702732278# #开学季开学季开学季好快乐！
1703251738# #有没有人知道，🐟上的hape六面体是真的吗。。为啥旗舰店600多，🐟全新只要200多。。想给娃买一个，不知道咋选
1697858100# #哇我终于缓过来了……。昨天手术只花了二十分钟，麻醉了没啥感觉。等麻醉过后就开始疼了苦涩苦涩。好疼啊，我感觉和剖腹产不相上下吧。疼的我都没力气看手机。好不容易熬到今天上午感觉没那么疼了。睡了一会医生说来换药，哇生不如死。换药就是把脓肿里面的纱布拽出来再重新塞一个进去，我都是疯狂咬着衣
1698223401# #有朋友说十一第一次坐高铁就能坐商务座！。。其实是因为没办法哈，娃太小了，要带的东西一箩筐，还要冲奶粉，睡午觉，只有商务座有这么大的空间，椅子也能躺平给他睡。。非常方便！。等他大一点就没这个待遇了笑cry。话说回来出门之前我们最害怕的就是十一在车上吵闹，结果在外面娃超级乖，一路都很听话的
1701057574# #……还得是我们大a股
1697383978# #搬仓库真的感触良多……。比如办公桌要拆开后搬走，在万师傅上说了需求，最低报价是158元拆一个桌子，如果多拆一个就加100，安装也是100一张桌子。。。因为他是最低报价，我以为这个桌子肯定很难拆吧，结果等到了，发现就是下几颗螺丝……。。全程三分钟。。当然说好的价格我还是给了，但安装就没喊他，让给
1702908941# #我真的要报警了。。幽游白书真人版
1697035282# #今天去仓库收拾完回家，阿姨在洗漱，娃自己坐在围栏里玩，看着好孤单哦！。我走到床边说，妈妈回来啦。十一马上很开心的爬过来，喊了一声“妈妈”就伸手要抱，哇当时感觉孩子太可爱了！。结果刚抱起来他就抓我脸，然后又摇头晃脑，脑袋撞我颧骨上，现在我脑瓜子都嗡嗡的，他头也起了个包汗。。这就是有孩
1696939805# #可爱抱一抱抱一抱抱一抱
1700573711# #今天我突然有了一个新发现，就最近不是房价都在跌吗，那比如我的房子跌了，但是别的房子也在跌啊！如果我以后卖了自己的房子去置换，换的那个房子也便宜了，一来二去等于没跌啊！。。孩子他爸听完冷笑一声：嗯嗯嗯血赚。但是我感觉我这个逻辑没毛病吧
1698991677# #人间烟火
1700637568# #是我我也听不出来，因为我内心没觉得儿子有啥好炫耀的……
1702822928# #和孩子他爸一起看《幽游白书》真人版，由于他没看过原著，我就负责激情讲解。。。我说，这部漫画是我心里的唯一神作，读书时看了几百遍！你看，这个四人主角团就是富奸最早用到热血漫画里的，藏马是智力型英雄，幽助是力量型英雄，飞影是敏捷型英雄，还有个桑原负责搞笑。。。孩子他爸：不对吧，这种主角团
1699977214# #最近只要坐一会就觉得左边屁股疼，腰也疼。。一度以为自己腰突了，搜了各种偏方攻略都没效果。今天突然发现，只要我坐着的时候左腿伸直就不疼了……放下还是疼。。这啥原理啊
1698237770# #回老家就是根本减不了肥苦涩。。孩子他爸的小区门口，一长溜的全是各种小吃。本来都吃过晚饭了。又没忍住买了铁板豆腐小土豆，烤梨汤，凉粉。而且好便宜，加起来24元苦涩
1696681027# #恭喜
1698843167# #总算忙的差不多了，来挨个介绍下内衣店的好东西。。这套磨毛家居服就是我现在正穿着的，也是我认为这季节最实用的一套：。白天热了就脱掉外套，晚上冷了再加上。。背心自带胸垫！自带胸垫！在家实在不想再穿内衣了！这个就非常方便。。裤子松紧带可以调节，想不想露肚子都随意。。关键这个材质上身也太舒服
1699108835# #今天送点可爱的小东西！。正版授权的猫和老鼠徽章，要不咋说汤姆杰瑞能火这么多年呢，这些造型随便别在衣服包上都很好看，意外的还挺潮。。🍑魔王城堡创意礼品。😺卷发评论各揪两个粉丝送🐀
1698600412# #开始了！。。为了看老干爹比赛，点了个牛蛙火锅。好吃是真的好吃，但是中辣快把我辣死苦涩。直接把我辣精神了，希望老干爹能坚持到总决赛！
1702479062# #预告一下。。明天会送这个系列。今年圣诞的另一个王炸开学季开学季。出口欧美的收藏级水晶球音乐盒！。圣诞季
1701171563# #今年想买一点这种衣服穿。有没有穿过的来说说，穿这个出门会不方便吗。冬天保暖性如何
1701175213# #问下泰勒姐今年的演唱会大电影限量周边有人要吗？。。我这边要预定数量啦！。。好想看啊泪霉霉
1698252538# #躺床上了。想起一点阿姨的事，睡不着。。。今天我们带十一回老家，阿姨也放假回她老家了，早晨起来阿姨就在给十一收拾东西，然后还给我煮了玉米、鸡蛋做早饭，用袋子装好让我带着火车上吃。。临走了又给我们洗了两个桃子带着，她自己啥也没带。。。我们一起打车，先送阿姨去坐地铁（和我们不是一个火车站）
1699458044# #十一又学会了新技能，就是给我们递东西。。。但是我今天看到五五子说的一周岁宝宝智商测验，真的两眼一抓黑，什么会主动叫爸爸妈妈，能认识四种动物，用笔画直线，不用扶自己站立，十一一个都不会。。。真的有一岁就会这些的宝宝吗？我感觉能递东西也很厉害啦
1701344420# #今天我跑过去终于破案了，原来是房子外面装的四个监控！房东选的监控有点贵，晚上只要有人路过就会亮灯，估计就是这一点比较费电，四个监控一晚上6度，房东说这钱他出，嘿嘿嘿开心，省钱了！
1701962827# #恭喜
1702652450# #旋转～跳跃～我闭着眼！。。波士顿芭蕾舞小熊圣诞版也太可爱啦。圣诞季
1698729439# #苏州评分这么高？
1701959649# #恭喜
1700564691# #五星级的享受！这个真是很能提升睡眠舒适度
1701863640# #给十一买车啦！。。起因是最近天冷了，阿姨都带孩子去地下车库玩，车库里全是小朋友，十一天天坐别人的车。。然后我就去批发了一辆笑cry，批发价300多，外面应该卖五六百吧，质量挺好的，现在十一也是有车的人啦
1702915190# #圣诞礼物。好大的蜡烛灯啊！。上面滑雪的小姜饼人也太可爱咯！。。要是圣诞能收到这个礼物一定天天晚上开着入睡！
1703427982# #好看，我知道为啥这么多拖延症了，可能就是最后一天买然后掐着表拆快递比较刺激……
1701148311# #真不知道有生之年我能不能玩到这两个游戏了。。从读书时起我就是《刺客信条》和《古墓丽影》的忠实粉丝，当时就一直畅想，这两个游戏如果出中国地图该有多好玩啊！。。在我想象里，刺客信条中国版，应该是我们穿越回上古年代，从黄帝开始，一个个朝代走过来，每个朝代的大事件都能参与，并在里面发挥刺客的
1701874944# #19.9对小朋友来说太幼稚。。对360个月的我来说刚刚好。。圣诞季
1699283292# #我说我要给你把这个画擦掉，他还非常舍不得，问我为啥，这不是挺好看的吗？说他找人画这些花了三四万。我不知道怎么回答只能说“请你相信我的审美”
1700925091# #今天下午带十一去我们仓库玩了一会。又带他去儿童乐园玩，十一开不开心不知道，我玩的很开心！。晚上去吃了许爷剁椒鱼头，不好吃。
1700831455# #我自己再补充一条：买一堆新游戏放着不玩，每天打开的还是你20岁玩的那个游戏
1699196571# #现在真挺尴尬的，才发现如果加了链接，抽奖微博就会被限流，所以之前好多抽奖大家都看不到。这次没放链接效果好多了，但似乎又起不到一个转化的作用泪泪微博是真的，生怕我们博主赚到钱了
1701520766# #每日清仓今天仓库翻出来8盒马克图布的暖暖杯。我还以为早就卖完了……。苦涩仓库还有多少惊喜是我不知道的。。这个款质量很好（马克图布出品很有保障），冬天可以加热牛奶，茶水都没问题，礼盒装！。成本110，现在49出哈，都是白色的大家注意看下
1702471221# #本来想录十一玩手机，感觉很可爱。结果十一突然放下手机就对着孩子他爸扑过去。一边喊爸爸一边要抱。。我虽然脸上在笑，心里已经嫉妒疯了！为什么，为什么孩子不会喊妈妈也不要我抱，明明我们陪他的时间都差不多，而且我对娃有求必应，他爸爸经常都没反应，呜呜呜到底为啥，心在滴血。
1702449845# #帮认识的朋友扩一下，真的画的很好，有约稿需求的都可以联系她
1702003836# #我的dota2日记我好像找到了上分秘诀。就是只排RD模式，这样对面就选不了绝活套路了，特别是最近很火的白牛先知幽鬼全图流，真的很难打，但只要排随机英雄就遇不到。。看我最近这胜率，突出一个乱杀。。昨天最后这把巫医，我玩的时候孩子他爸和小刘就在旁边看我玩，我相信他们一定学到了很多！我五号位打
1703243616# #我咋觉得这就是痘印给其他平台的下马威啊，这谁看了不想去痘印呢，其他哪个平台能这么赚钱（特别是微博！点名批评）
1701437452# #不知不觉就十二月啦，正式进入我们的礼物季！。最近新品抽奖会很多，嘿嘿。。今天送这个，正版的loopy圣诞限定系列。。🎄卷发、评论各揪一个粉丝送挂件。（需要帮我写个评价么么哒🎁。。女明星太可爱啦！loopy露比超话
1702640418# #在首页大概了解了董宇辉事件，我的感受是管理真的非常难。。。又想起我刚大学毕业时，第一份比较正式的工作就是在移动12580接电话，给四川全省的用户换彩铃，我每个月的通话时间都很长，服务分也接近满分。。。但是我的工资总是在中下游水平，因为移动的考核是按接电话的数量来算绩效，这就造成了你想拿高
1700402788# #圣诞树和圣诞的各种礼物、灯这几天都在陆续上了。圣诞类的东西好多，每年又只卖一两个月。所以平时都下架了，到了这个月又猛上允悲。。往年做过最小的桌面树是35厘米的。但是很多人反馈太小了没那个氛围。所以今年桌面款都只做45和60厘米的了，随便摆个角落就很好看，也不贵，和家人一起往上挂装饰很快乐！
1699627616# #上海降温了，我火速换上厚家居服。。这套面料太舒服暖和了，而且是那种洗过后也还是很软的！家居服大家一定要入这种！。。有的看起来比较便宜，但洗一次后就会发硬！。真的一分钱一分货！🍑：悦己秘密花园
1702480621# #我的dota2日记如何一句话让男人破防。。昨晚上和孩子他爸双排，输了一晚上，这把随机出来没有智力英雄，我只能选女王打辅助，本来线上打得还可以，但是对面巨魔也很肥！。。孩子他爸说，如果巨魔开大你就把它吹起来。我说，好的。然后巨魔把我们全杀了，孩子他爸问我，你怎么没用吹风？。我说，怎么看巨魔
1700400496# #枕头上好啦
1697860344# #之前还有人嘲讽说亚运赢蒙古队都能庆祝了。。结果今年这ti12看下来，除了雪碧。其他外国队哪个打得过蒙古队啊？。。今天ar这对手就两个人头允悲感觉都被打懵逼了。DOTA2超话
1700226775# #啊？这都能骗到钱？
1699370258# #今天十一又变成了哈士奇的小孩儿。。也不知道他这些声音都哪里学的
1696855615# #这两天白天都在新仓库监工，主要是搞卫生，但没想到这个别墅卫生搞得如此费劲，三个阿姨搞了两天才勉强能看，光是清洁费就快两千了笑cry。。好在弄完看着舒服多了，就是原来房东的装修，略显老气，大家说我该怎么把它改造下啊？有没有设计天才！！！给我点方案便宜点的，，，
1700381864# #我们去年开始就发现，以往那种男生送女朋友，女生送男朋友的礼物都不好卖了，销量和以前比断崖下跌。现在我们都是做送父母小孩儿的礼物，或者是给自己买了开心的那种笑cry
1696790918# #？？？
1702306404# #今天送的这个厉害了，国内原创品牌：闹小仙设计的龙系列，真是一眼击中我的审美！。。🐲卷、评各揪一个粉丝送～。老规矩要帮我写个评价哦！感恩🐉。。马上就到龙年啦，这么可爱的顿顿龙不带一只回家吗？招财纳福，无论放在桌面还是车上都很棒！
1699195132# #旧电脑用了7年，现在打dota2都有点卡。感觉也该换了。找说了需求，很快就帮我搞定，这个机箱其实加满灯很好看，但我觉得家里也没人看机箱就搞简单点吧！。今天还享受到了送货上门服务！。。萌叔甚至还请我们吃饭，真的人太好了允悲我都担心他亏本……。机器包的非常仔细，配件也都整齐的
1701961903# #最近出得很好的圣诞蜡烛水晶球灯～很多海外订单，可能是因为45人民币的东西出国就能卖45美元。。开灯一瞬间真的被治愈！。。往常都是每天工作到十二点，这两天生理期不太舒服，今天就工作到十一点吧嘿嘿打打游戏休息下。圣诞季
1699103937# #家的耳环好美！。。实物比照片闪多了嘿嘿嘿，赠品也超级有质感！。。今年的万圣节贝儿也好可爱！
1696683231# #一波新品预告，下周上！。分别是。麦当劳✖️高达的限量联名玩具。麦当劳的桌游套装。还有和我们发光武士刀配套的赛博朋克头盔开学季
1701539931# #这……
1700744650# #数据线清仓，还剩几十条开学季清仓好有乐趣！虽然亏钱了但是仓库越来越整洁，本强迫症好满足
1699537220# #是我们的四件套！
1702994898# #仓库坚持不住了，明天开始每天都是硬仗……。今晚果断上boss招兼职发货。刚收到两份简历，都是计算机系刚毕业的大学生……。咱就是说计算机系就业现在这么差了吗？？。这可是以前很好就业的啊……
1700732684# #好会画
1701777894# #新仓库终于搞得差不多了，拍了点照片给大家看看。。以前觉得仓库有啥好拍的。现在感觉还是很有必要，至少能让大家知道我们不是那种没有员工，没有仓库，随时可以跑路的商家。。我们在上海有自己的仓库，图片视频都是自己拍的，客服售后也不是外包的，所有产品都是亲自看过用过的，说实话这样做成本很高。。但
1700721451# #？？？起来看到狗在打电话，以为还在做梦
1696685240# #孩子现在有自己的想法了。给他穿七龙珠的衣服心情还行。麦当劳的就一直哭汗也不明白为啥
1701267623# #猫头鹰店里已经上啦，直接给大家设置了一个最低的价格，比官方低了一百，大家要的赶紧，因为货都是预定我得报数量，然后也不知道这么低会不会被品牌找，所以随时可能调回去哈
1702025548# #买了休闲裤家的草莓，真的把我吃生气了……。。268两盒，全是消毒水味，哪怕你没啥草莓味道我都忍了，特别重的消毒水味是啥情况啊。。剩的大半盒实在没人吃都丢了，我都不知道会不会吃出啥问题，再也不在非专业人士那买吃的了……泪
1700144059# #啊这奇妙的违和感……
1697600152# #宜昌皇帝什么梗？我咋都不知道笑cry
1700408168# #恭喜
1699282691# #最近很爱吃的店：成都你六姐牛肉冒菜。。这家点菜是拿个盘子自己去夹，牛肉很嫩！。我要强烈推荐他家的锅巴土豆，六块钱，贼好吃！。。冒菜味道也比较正宗，不像那些说自己是成都来的餐厅结果一点都不辣。这家真的还可以。口味可以选带汤冒菜和干拌，有我好久没吃的四川小香肠！。凉茶，调料，泡菜，冰粉都免
1703345019# #最近因为实在太忙，有时候十一过来要我抱抱，都没功夫陪小孩玩。。昨晚上睡不着，想到这事有点愧疚，立马给十一网购了一千多的玩具，大概十几二十个吧！。。然后不知怎么的，又想起我妈。。她在世的时候，大概是2015年左右吧，老家房子要置换装修，她钱不够，瞒着我找她的好朋友借了几万块。。。还清之后才告
1702536883# #其实现在看叶童真的演技很好，但当年电视里放这版倚天时，往往别的台还在放新白娘子传奇，对我们小孩子来说就很难搞明白为啥张无忌和许仙谈恋爱苦涩苦涩
1700144150# #卖呀，我们今天去南通就是选品去啦，看我上条微博！被子，垫子，四件套，枕头，毯子全有！
1697137169# #最近降温，给手脚冰凉的姐妹推荐个好东西：。。发热足贴！。。原理和蒸汽眼罩差不多，睡觉前打开套上，一整晚脚都很热乎！脚暖和了也能提高睡眠质量！
1699968944# #可以
1701009780# #十几块钱的快乐！我不允许有姐妹错过这个！。。还有不到一个月就圣诞节啦！这么可爱的小圣诞树也可以挂起来了！和去年比，多了好多好看的款！。。可以用在门上，车上，圣诞树上，铃铛声也好好听抱一抱抱一抱抱一抱。圣诞季
1700920072# #每日清仓今天要清的是这个落日灯，亏本价29！。。大家可能还记得，夕阳灯刚出来时，都是很大的一个落地灯，动辄好几百。。然后我认识的一个厂子创新出了这种迷你桌面款，出口国外一下就火了，虽然小了很多但效果不逊于大几百的，我们图片视频全都是实拍，当时拿货价60，卖88。。结果不久拼夕夕就出了更
1700752993# #人到了一定的年纪，很多事都是不知不觉就改变了，我总结了一下，大家看看你占了几条：。。1一般不买贵重首饰，要买就买黄金。2开始觉得新中式风格很耐看。3突然觉得lv老花也没那么老气。4看到跳广场舞的会有加入的冲动。5出门不爱自拍了，更多拍风景。6开始喜欢花花草草，没事养点植物。7杜绝没必要的
1702913957# #仓库日常。今天到的两百盒圣诞蜡烛一天就发完了苦涩苦涩。还欠不少。不过应该也有很多幸福的人儿马上就收到礼物啦！。圣诞礼物
1700321422# #今年花大功夫准备的。。独家！哈利波特魔法大礼盒！。。一次收到这么多魔法周边真不知道是个什么滋味！。哈利波特超话
1703596903# #天呐我立马打开外卖软件结果没有找到！为什么！
1698818132# #怎么回事。又过夏天了？
1699239292# #同款杯子传送门来了：
1701180669# #预告一下，这款环球新出的会动的海德薇猫头鹰。。我们已经预定啦，下周到了就上哈。。可以站在支架上，超级适合做圣诞礼物！。特别说明：这款是站在支架上的不是站在肩膀上的哦，但是这款多一个信封，体积也大，很可爱！。。哈利波特超话哈利波特
1697376606# #给钱！明天就寄
