1702725300# #不可思议的三角形，你知道这其中的原理吗？
1702002180# #感觉无人机灭火的确有搞头，高层建筑起火处理得快，也不用担心消防车被乱停的车辆挡住……
1702520401# #全家人都在依靠他，但是他却没有人可以依靠…
1703211781# #两个小女孩的花式跳绳，配合默契，完美无失误，非常精彩！good
1703202000# #同样是演硬汉，美国有范迪塞尔，英国杰森斯坦森，韩国有马东锡，我们哪个男明星最适合呢？
1702720261# #“不显瘦阿姨都不卖你”，论金牌销售还得是阿姨…允悲
1701846175# #中华5000年历史，这也太详细了吧
1703116980# #“没有人贩子，孩子在哪都不会丢！”
1703226201# #取一个惊天动地的名字
1703934061# #盘点美女关掉美颜后的样子。大哥，还打赏吗？
1703754120# #网页上的视频无法下载怎么办？
1702469341# #这个小恐龙挺有意思啊，到时候可以给孩子做一个玩！试试吧，你也可以的！
1701685561# #有一说一，一般男的可能真打不过她！哆啦A梦害怕
1701851760# #做人低调点，遇到个怒路症的一脚油门下去送你上天
1702283570# #家人们，哪个卧室布局好看呀！！
1701668740# #马老师的闪电五连鞭，后继有人！
1701747360# #这个名字不好起啊，诸葛什么呢？
1702082461# #你老家方言管这种人叫什么？
1703390454# #这个算不算违法？费解费解
1703726581# #行行出状元
1702704360# #“张雪峰开导抑郁女孩这段值得反复听，他太理解现在年轻人了！”
1701931502# #真正拉开你与同龄人差距的，是信息搜索能力
1703409840# #？？之交
1702202574# #海外版科目三，这玩意儿这么火的吗？笑cry
1703237761# #教你如何在网页上拷贝文字，用得上，转存吧！
1702612080# #是个正确的选择！破财消灾……
1702028651# #傻不傻，大货车躲还来不及，还去挤？
1703263201# #董宇辉谈高中英语的学习技巧，按照这个方法学，英语就没有学不好的，赶快收藏吧。
1703901301# #万万没想到，只需几个麻袋就能种出几百上千斤土豆
1703836080# #发生交通事故，对方全责，但是对方被拘留了，我们怎么修车
1703299261# #活了2000年才知道去除胶印小妙招good
1702352220# #兵马俑到底是什么？这个是我听过最好的兵马俑的解说…有趣，一起听一听！
1702089781# #这就是早期的PUA？感觉太可怕了…
1703129340# #66岁的挑山工大爷，辛苦上山。挑着不是担子，而是生活…………
1702806540# #牛人自制各类车辆，这个绝对属于高手！
1703506067# #两份工作，单休10000，双休8000，你选哪个？
1702452255# #你老家方言管这种人叫什么？
1702828741# #这位导游小姐姐又来了！曾经让六国胆寒的秦国虎狼之师，为何在短短十几年就土崩瓦解，消失不见？来听听导游小姐姐的精彩讲述。
1702600741# #负鼠装死迷惑了狼，可狼的反应让人万万没想到……
1702571760# #如果你迷茫了，不妨听听董宇辉的这段话！
1703714461# #好莱坞再也没有这么会跳舞的女星了
1703541780# #监控下的一幕：保安心脏骤停命悬一线，白衣天使逆天抢救，人美心善！
1703939160# #来看看国外速成鸡的一生有多悲惨！
1703218200# #一个小视频说明，有的人为什么是不可替代的
1703824320# #衣服的正确叠法衣服整理收纳技巧
1703574189# #求下联？
1701732301# #高中生引体向上体能测试，太夸张了…
1702857780# #保护眼睛的五种方法，最后一点很重要！
1702855920# #有智商高的老铁，给个答案作揖作揖
1703316774# #这么多人追星，不用上班上学吗？
1703485072# #这是一份史上最详尽的零基础英语语法思维导图，没有比这更为全面和完整的了。
1701954120# #终于有人一次性把电脑键盘说清楚了
1701793382# #刷到菩萨请不要无视，真的很灵！
1703239320# #这样学画画是不是更简单……
1702401025# #刷到菩萨请不要无视，真的很灵！
1701912180# #勤奋有没有用，雷军说有，但是，光靠勤奋是远远不够的
1702504981# #家里来客人了，就这样切水果，好看又上档次。一定要学学！
1703329990# #天冷了，一位大爷买冬衣，货比三家以后…
1702121520# #短短十五秒让你看懂计算机二进制！
1703469660# #医生曾说她这辈子在轮椅上度过，可她坚信我命由我不由天good
1702438981# #反应快，爆发强，身体棒，心底善！好样的耶耶
1701781320# #螳螂大战大黄蜂……
1701991320# #女生毕业后想开甜品店，张雪峰语重心长劝解
1703851352# #讨厌又恶心的电脑弹窗广告如何关闭？三招教你彻底解决。get！
1703058901# #同学拍下舞蹈生考试展示古典舞基本功，圈速多而稳，老师们纷纷夸赞！网友：有些人天生就是主角~~~
1703628121# #燃气灶小知识，了解了。。
1702076460# #男子运动发生心梗晕倒
1702187026# #张雪峰：文科就是服务行业，就得“舔”…看完你有啥想说的？
1703244241# #中国地理评出一生最值得去的20个地方，你打卡了多少个......
1702553700# #校服修长改短简单方法
1701733861# #穿衣自由的年代
1703196180# #用A4纸做好玩的纸飞机发射台。孩子们一定会喜欢，get√！
1702591320# #中医脉诊，你学会了么？
1702256521# #20年前曾霸占我们青春的50首欧美神曲，满满的回忆，你还能挑战通关吗？
1702604461# #载有3名小学生的三轮车发生倒溜，危急关头女子用自己的身体奋力顶住
1703904900# #想要孩子内心强大，要反复灌输这三句话！
1702541040# #现在的二年级题都这样了吗
1703979840# #好好好，刚开始抱着都不敢动，你这么玩儿是吧
1701869281# #福特是个实在车！doge
1702441380# #上联：肝是脂肪肝。求下联？
1703460120# #黄衣服小伙怎么回事哈哈哈哈哈！
1703563441# #医院里每一个离谱的规定，都有一个更离谱的故事！
1701829620# #满楼道的高跟鞋，摊上这么个邻居你会怎么办？
1703001779# #超市的六大套路，只有1%的人才懂得避坑。
1702549500# #这个开销大不大？
1702226700# #金刚蹲，每天三分钟，坚持七天后再也不用保温杯泡枸杞。简单易学，转存！
1702891980# #哪位人才能对出下联？
1703131320# #癌症妈妈冒死生下儿子，并给他录下18年的生日祝福视频，纪录片
1701940321# #这是个大神，真的强，动作越慢越难！
1703805721# #遇到网页上不能复制的文字怎么办？使用这招，轻松解决～
1702167900# #现在的导航软件太贴心了！允悲
1701675069# #儿子拿大人手机，偷偷买了8000多元的无人机
1703246581# #我以前看的西游记不是这样演的
1702097761# #不可思议，在水里竟然可以这么轻松赞
1701909720# #哪里的教师，这么有才？
1703028360# #陕西女孩杨佩小时候一场意外失去了双臂，坚强乐观的她经过努力奋斗，活成别人羡慕的样子，用双脚照顾自己以及家人。她乐观向上自强不息，值得钦佩和尊重。
1703931361# #不会收纳的朋友有福了，一分钟教你叠会各种衣物666
1701703911# #陕西咸阳大学生靠卖辣条帮弟弟还债百万，25岁已满头白发…开始我真的以为是那个女孩错过了，听到最后妈妈的话，原来是这女孩逃过了一劫。
1703908081# #这是什么吃法？也不是生腌啊哆啦A梦害怕
1701777961# #那一刻她在想什么…？允悲
1703922928# #【腰间盘突出患者的康复训练】坚持5个月已不痛，分享12分钟的臀部训练！
1702459560# #该怎么答？
1701908460# #一位网友拍摄于2013年农历除夕的晚上，那时候节日味儿好浓～
1702020723# #摩托一声喇叭引发的路怒，你觉得这是谁的问题？
1701748920# #各种炮仗的威力，小时候要是有这些炮仗，村里将没有一个完整的厕所
1703081041# #冬天出门围巾少不了，这些围巾系法你都会几种
1703335003# #“科目三”火遍全球，中外对比哪个国家跳的最好，你如何评价
1701863461# #好久没见过这么纯粹的篮球了，十八般武艺学会其中一样就能封神！
1703771706# #原来易容术真的存在
1703296620# #全球公认十大世界级金曲。
1702172520# #据说难倒一大片的一道题doge
1702401266# #网友拍摄广州马拉松震撼场面，但貌似他家的豪华房子更让人震撼！
1702169040# #这个女孩一定可以记住他一辈子。。.
1703746861# #万用表的使用方法（完整版）
1701885170# #刷到菩萨请不要无视，真的很灵！
1703372460# #抛弃儿子26年，儿子捡垃圾长大，老了带一身病投靠儿子！
1702603321# #这个实验，你悟出了什么道理……
1702904640# #电动车充电发生自燃，这速度几乎不给人反应的时间。
1702513260# #这是一个牛人啊！很有智慧
1703418960# #他们有一个大众化的称呼叫“木匠”，可如今拥有传统手艺的木匠师傅越来越少见了，这样的传统手艺应该要传承下去。
1701684805# #活了三十年才知道，还可以这样操作
1702308914# #背完这15张图，你可以成为完形英语专家（转）
1703229840# #屎壳郎：好蛙不挡道……
1702340760# #监控下惊险的一幕，人贩子街头胆大如狗，小男孩急中生智
1703044980# #各版赵敏，你觉得谁最好？
1701647880# #我也试了一下，她男朋友极其残忍…
1702879210# #这是为什么？
1701832860# #粉丝投稿：帮忙取个好听的名字？
1702519261# #爸妈给买房的钱，买股票被套牢！女子发视频哭诉～
1702396141# #故宫的设计师真是个天才！故宫的基本格局是什么样的？真是博大精深！
1702105141# #打羽毛球的19个基本技术，掌握一下，收藏！
1702897320# #开车遇到窄路侧方车位不会停车，教你一个正确方法，新手也能上手！
1703379660# #芦苇叶乌篷船教程，简单有趣！
1703894220# #姓徐，起个名！
1702960175# #这么多楞吃出来不够的感觉
1703127720# #求下联？
1703389320# #有道理
1701725101# #电脑最牛X的截图方式，你不会是最后一个知道的吧？
1703075280# #孩子：妈妈我今天必须死吗泪
1701990120# #终于知道为什么重庆没有自行车了。费解
1702598460# #求下联：
1703986740# #怎么学蛙泳？很简单，不信你看，一学就会！
1703868499# #刷到菩萨请不要无视，真的很灵！
1703604213# #鸟都会游泳，我不会泪
1702145700# #五脏最爱的五个小动作，转需。
1703629620# #能认识图中这三人的，至少也是近四十了。
1701695797# #如果你的电脑上也安装了WPS和360的话，那么你一定要求做好这个设置，否则你电脑上不仅会出现弹窗广告，还会大量占用你的电脑内存！
1702344121# #修的人我觉得厉害，但是发明这玩意的人，脑回路是有多牛批啊…！
1702219147# #年薪百万的维修师傅，不会告诉你的维修技巧，看完真是涨知识了！
1701853381# #32步跳绳舞步《玩腻》慢动作分解，先慢速学会再原速练习，熟练后加绳试试！
1702512060# #大爷用手绘钞票买面十年，去世后老板说：我每天都在等他。
