1688910891# #摩登兄弟超话捕捉到你啦，隔空给你爱的抱抱~啊啊啊老大
1693562456# #刘宇宁巴黎欧莱雅护肤代言人｜刘宇宁蒋俊豪｜摩登兄弟超话。“喜欢一个人是什么感觉”。“就是觉得他身上有WiFi”。“暗恋一个人是什么感觉”。“不知道WiFi密码”。“失恋是什么感觉”。“WiFi突然断了”。“暖昧是什么感觉”。“WiFi信号不稳定”。“异地恋是什么感觉”。“知道WiFi密码太远了连不上
1702894958# #刘宇宁直播唱落了白直播时唱的每一首都好听
1695684938# #早上好@摩登兄弟刘宇宁
1696858853# #咔完
1699007417# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。ᵕ̈ᴹᴼᴿᴺᴵᴺᴳ💛ᵕ̈💛ᴹᴼᴿᴺᴵᴺᴳᵕ̈。我借着你的光。看到了一个全新的更好的世界，。也借着喜欢你。让自己成为了更好的人。◎◦◯◦◌🎈◎◌◦◌◯◦🎈◎◦◯◦◌。
1692354234# #来了来听新歌了
1694401519# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！鲜花
1694735100# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！举手
1690799645# #@canton-michelle
1703586547# #我获得了微博之夜纯美卡等2张，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1691915187# #刘宇宁蒋俊豪|刘宇宁做自己的光|摩登兄弟超话。慕世间风物情长，不争凡尘冷暖朝夕，不惧人生悲喜消磨。。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟给力刘宇宁一念关山。刘宇宁蒋俊豪给力刘宇宁做自己的光。
1693554986# #@唯粉宁
1702177601# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1691836882# #就在江湖之上（电视剧《莲花楼》片头曲）我的评分：星星星星星星星星星星。微博音乐影响力榜摩登兄弟刘宇宁就在江湖之上（电视剧《莲花楼》片头曲）一个个音符似一个台阶,拾级而上,起伏有致！舒心悦耳感动，自然欢快！
1703409601# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1701092317# #明天就可以看啦打call打call
1701145032# #转发微博
1693492938# #刘宇宁巴黎欧莱雅护肤代言人｜刘宇宁蒋俊豪｜摩登兄弟超话。你低头浅笑时，恰似日光拂面来！。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡给力刘
1700130337# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的蒋俊豪荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧送花花
1699140381# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1696374855# #刘宇宁做自己的光｜刘宇宁蒋俊豪｜刘宇宁一念关山｜刘宇宁宁远舟｜刘宇宁紫川｜刘宇宁帝林|
1699748182# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐做自己的光！一起来推荐你心中的微光荣耀吧
1689330006# #刘宇宁洛铭西｜刘宇宁安乐传|摩登兄弟超话。愿你目之所及，皆为欢喜。眼之所望，万物不及。心之所向，终能完满。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡给力刘宇宁天行健。摩登兄弟刘宇宁
1699957704# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。当暮色被无垠的月光所遮盖时，。我想变成为银河之中一颗星，。守望着明天灿烂的朝阳和醒来的你。。
1700130282# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧送花花
1696722514# #早上好@摩登兄弟刘宇宁
1694043690# #早安@摩登兄弟刘宇宁
1688858995# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1689177898# #刘宇宁原声台词哇原声台词太棒了
1701476578# #刘宇宁自己挨打还得自己唱歌。哈哈哈老大自带bgm
1693957063# #早上好@摩登兄弟刘宇宁
1688660916# #铭记历史。珍爱和平。吾辈自强。86年前的今天永远不能忘
1694860327# #哈哈哈哈哈，成功套路Al老大！
1695119425# #刘宇宁南风知我意片头曲|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。这一生所有的美好，只为与你倾心的相遇给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓
1694314967# #祝老师们节快乐！
1702730253# #打call打call
1699352389# #来了来了老大
1697817589# #刘宇宁宝曼兰朵卓韵代言人|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。你像是一场遥不可及的梦，却在我的世界里真实无比。。。晚安
1700280622# #刘宇宁珠帘玉幕|刘宇宁燕子京|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。白云的无意停留，成就了天空的美丽永久。在人来人往的时间海洋，你的偶然出现，成就了我生命最美的乐曲。。
1703692795# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1696121583# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1691018607# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1702948809# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1700022116# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。你想要的岁月都会给你，。所有的逆袭都是有备而来，。所有光芒需要时间才能被看到，。所有幸运都是努力埋下的伏笔。。。
1702032883# #2023电视剧大赏火热进行中～我在年度剧集名场面推荐活动中pick了《关山小队天星峡高燃团战》，快来支持你心中的年度剧集名场面吧！电视剧大赏名场面推荐
1689118193# #无论生活怎样，都不要忘记微笑，愿你成为自己的太阳，无需凭借谁的光~早安！@摩登兄弟刘宇宁
1699748457# #早呀。今天的阳光明媚。希望你也能笑容灿烂地迎接新的一天。@摩登兄弟刘宇宁
1702905579# #转发微博
1691210748# #刘宇宁洛铭西|刘宇宁安乐传|摩登兄弟超话。哪有什么四季，遇见你，四季如春。。刘宇宁宁远舟给力刘宇宁一念关山。刘宇宁蒋俊豪给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡给力刘宇宁天行健。摩登兄弟
1688911044# #刘宇宁魏劭|刘宇宁折腰|摩登兄弟超话。每一天都是崭新的，不为过去纠结，不为将来担忧，活在当下最好，有计划也会有变化，要努力也要顺其自然。。给力刘宇宁做自己的光。
1691857315# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1695184748# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。不辜负这盛世烟火，做最独特的你，。让这世界因为有你而有点不一样。。春来夏往，秋收冬藏，我们来日方长。。给力刘
1695206379# #转发微博
1692763817# #期待刘宇宁打call@摩登兄弟刘宇宁
1692160019# #刘宇宁蒋俊豪|刘宇宁宝曼兰朵品牌大使|摩登兄弟超话。一辈子很长。但喜欢着你的时光却让人万分留恋。不管是海誓山盟的诺言。亦或是倾其一生的陪伴。只想给你最有安全感的守护。转身有我们抬头有光。希望陪你经历每一个重要的日子。你只管安心追寻自己的梦想。我们会在你的身后一路相伴。
1702904164# #我投给了“《一念关山》刘诗诗刘宇宁”~
1703209720# #微博之夜我推荐为2023微博KING，千万人中得以相遇，再看亿次还是心动。一起来推荐你喜欢的微博KING和QUEEN吧~戳&gt;&gt;
1696342038# #我投给了“摩登兄弟刘宇宁×刘涛《如果爱回应》”~
1689597828# #刘涛在刘宇宁头上暴扣真是又好笑又心疼我们蒋哥
1694561264# #早上好@摩登兄弟刘宇宁
1694609886# #@大头图图宁
1702045623# #转发微博
1691797761# #🌞人生每天的太阳都是新的，不要辜负了美好的晨光！@摩登兄弟刘宇宁
1692413223# #摩登兄弟超话相约刘宇宁共赴817和你心动七夕对你有9分喜欢，再看一眼就一眼，就十分喜欢了！
1696375817# #划@0108唯爱摩登
1690291449# #@MD-花花小棚友
1693974281# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！😊
1691644457# #摩登兄弟刘宇宁《直到时间尽头》（《七时吉祥》剧集守护主题曲）
1690604762# #刘宇宁蒋俊豪窗外有风景，心中有豪情，追逐光、靠近光、成为光、散发光《做自己的光》，刘宇宁蒋俊豪光亮的重叠。
1696825539# #刘宇宁宝曼兰朵卓韵代言人|刘宇宁献唱虎鹤妖师录片尾曲|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。就在你踏踏实实努力时，你所期待的未来，你的全部憧憬，也正在马不停蹄的向你赶来。。。
1692074149# #刘宇宁蒋俊豪|刘宇宁宝曼兰朵品牌大使|摩登兄弟超话。不是我喜欢的样子你都有，而是你所有的样子我都喜欢。愿有生之年，只诉温暖不言殇，倾心相遇，安暖相陪。。。给力刘
1694751070# #一起来听老大新歌
1696462230# #早上好@摩登兄弟刘宇宁
1704094731# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1702722700# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。和刘宇宁一起勇敢前行。你永远是最亮的那束光。。
1693698525# #早安呀，祝福你快乐至上，一切安好！@摩登兄弟刘宇宁
1696734741# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加2分！
1698103510# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。晓看天色暮看云，行也思君，坐也思君。。。
1694401354# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！鲜花
1695375006# #转发微博
1699369030# #我投给了“摩登兄弟刘宇宁《龙吟》”~
1692695749# #我投给了“刘宇宁”~
1700796935# #未见远舟水迟暮，又遇一念起关山。@摩登兄弟刘宇宁
1691710441# #新的一天，新的开始，问候不分时间，祝福送到身边，愿阳光撒满你的心间，努力工作，努力生活，早安！🌼@摩登兄弟刘宇宁
1689394695# #刘宇宁做自己的光哇终于要播了，有剧可追了！
1694735065# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！羞嗒嗒
1692833371# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1689599364# #转发微博
1702032909# #2023电视剧大赏已经开启，我在年度剧集名场面推荐活动中pick了《关山小队天星峡高燃团战》，快来一起为你心中的年度剧集名场面打call吧！电视剧大赏名场面推荐。送花花
1700130386# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐做自己的光！一起来推荐你心中的微光荣耀吧鲜花
1702032953# #光影汇剧，悦见美好！2023电视剧大赏正在进行～我在电视剧大赏名场面推荐中为《关山小队天星峡高燃团战》激情打call！一起来推荐你心中的年度剧集名场面吧！打call
1696375029# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。太阳从云端升起，一切都那么美丽、充满力量，阴霾密布的日子总会过去！。。。给力刘宇宁做自己的光。刘宇宁洛铭西给力
1701253472# #转发微博
1694216476# #早上好@摩登兄弟刘宇宁
1696548479# #认真过好每一天，不辜负每一寸光阴，总有一束光会照亮你的每个春夏秋冬。早安，加油！。刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。给力刘宇宁做自己的光。刘宇宁洛
1699675552# #我投给了“刘宇宁”~
1689177249# #刘宇宁一身红衣洛铭西太帅啦
1701701896# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁燕子京。。想对全世界说晚安，恰好你就是全世界*。。
1694662549# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！打call
1692854383# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1703239874# #我正在微博跨年狂欢节预约刘宇宁，可以冲跨年晚会现场门票！快来和我一起参与吧！^^
1692163883# #转发微博
1697238982# #没有最美好的遇见，只有更美好的陪伴。@摩登兄弟刘宇宁
1699748221# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐做自己的光！一起来推荐你心中的微光荣耀吧可爱
1694530148# #我投给了“摩登兄弟刘宇宁×刘涛《如果爱回应》”~
1696313004# #@爱宁的呆呆
1701167407# #转发微博
1691158616# #转发微博
1691537412# #早上好@摩登兄弟刘宇宁
1699369057# #我投给了“摩登兄弟刘宇宁×刘涛《如果爱回应》”~
1697119322# #转发微博
1692609748# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1688860136# #我分享了歌曲《爱了很久（电视剧《暮色心约》片尾主题曲）》
1690606502# #刘宇宁蒋俊豪用你炙热善良的心，带着你我所有愿望，遨游世界海阔天空，蒋俊豪，有你就是我的光
1703046062# #我推荐《奉上》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703209781# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703209766# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1689808615# #摩登兄弟超话夏日环游指南超话星愿池感谢你的出现，让我的世界，有了不一样的色彩。
1703998309# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1704237939# #和刘宇宁点亮微博之夜|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。愿你安好，清风自来，愿你安好，岁月静好；。。愿你安好，花香自来，愿你安好，浅笑安澜。。。早上好！。。
