1690036843# #根据血糖水平和病情
1699958737# #糖尿病可怕，糖尿病的并发症更可怕。天津大学泰达医院李青。11月14日是世界糖尿病日，我今天就说说糖尿病和它的并发症。。长期高血糖会损害心、脑、肾、眼睛和末梢神经，引起心梗、心衰、脑梗、脑出血、肾衰竭、失明、末梢神经麻木等疾病。其实这些并发症就是因为损伤了血管，如果大血管损伤，就是糖尿病
1694613530# #算
1701602313# #肾不好到什么程度
1697376763# #肾功能代偿微博健康公开课听医生的话
1704207499# #goodgoodgood
1700403986# #早已经进医保了
1688729842# #坎地沙坦的原研药叫比洛斯
1691060405# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1700815464# #冬季呼吸道保卫战【如何应对近期的甲流感染】病房近期收治了好多例感染甲流肾病综合征复发，或者肾衰突然加重的患者。现在不光儿童感染甲流，成人感染甲流的也很多。。健康人感染甲流，一般问题不大，但老年人，以及有慢阻肺、心衰、肾衰、糖尿病、高血压等基础疾病的人感染甲流，病情可能会比较重。
1693134008# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1701099739# #鲜花鲜花鲜花
1687526026# #笑crygood作揖
1692967367# #生态城环保体验馆
1692270005# #【李大夫你好iga肾病一直在咨询您这次一样例行复查】谢谢你再次咨询。仅剩尿微量蛋白，治疗效果非常好！如果血压降不到130/80以下，洛丁新可以继续加量。你主要盯紧高血压和蛋白尿两个指标，血尿不用过多关注。
1700574108# #适合
1697294094# #goodgoodgood
1689290505# #作揖作揖作揖goodgoodgood
1702814877# #可以换，但没必要换
1694338155# #你看像哪里的？
1701703278# #预防不敢说，治疗没问题
1696330150# #【两次失业，隐忍40年诺奖得主】刚刚获得诺贝尔医学奖的Kariko女士出生于匈牙利的一个小镇，父亲是一名屠夫。大学毕业就失业，后留学美国，从事的mRNA研究因为不热门，拉不到经费而两次失业，因签证问题，丈夫无法团聚，孤身一人，身处他乡。中年被降职、降薪，身患癌症。难以想象她所经历的那些沉默苦
1689678008# #【李青大夫，你好！通过微博您的科普了解到你，因为很信任您，但我】谢谢你的信任！你肯定是肾病，肾小球肾炎的可能性大，但是哪一类肾炎不好肯定，不过，病情很轻。个人意见，除了沙坦类降压药和非布司他外，其他药可以不用
1693919207# #【新药治疗难治性IgA肾病】IgA肾病主要表现为蛋白尿、血尿、高血压，容易发生肾衰，目前正在透析的尿毒症，相当一部分是IgA肾病引起的，所以，对IgA肾病的治疗方案都比较积极，比如，同样是肾小球肾炎，膜性肾病，尿蛋白超过3.5g/d才用激素，而IgA肾病，尿蛋白超过1g/d就要用激素。。但是，一些IgA肾病
1699091093# #怎么舍得嘻嘻
1690981812# #生态城夏夜
1700471231# #牢记两个120，关键时候能救命心梗救治牢记三个120微博健康公开课听医生的话
1694343607# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1692357649# #糖尿病截肢，那些不听劝的大妈们微博健康公开课
1694775605# #【李主任您好，一直关注您的微博，这次是因为母亲的血尿情况想让您】谢谢你的信任！你母亲血尿不是主要问题，现在的主要问题是蛋白尿，现在还不清楚是因为尿路感染导致尿蛋白假阳性，还是原来就有蛋白尿。请用抗菌素一周后再复查尿常规，如果还有尿蛋白2+，那要到肾科好好检查了
1697620298# #【支原体肺炎成热搜，背后还有许多故事】昨天晚上我去理发，理发师问我：现在是不是又冒出来一个新传染病？我说，没听说呀，什么传染病？他说支原体肺炎。。他没有医学背景，从他嘴里冒出“支原体”这个词，我感到挺惊讶的，不过也从侧面证明支原体肺炎现在已经成了热点话题。。我告诉他，支原体肺炎不是
1694337524# #正合适
1701675979# #嘻嘻good
1692616266# #把自己活成一道光，因为你不知道，谁会借着你的光，走出了黑暗。。请保持心中的善良，因为你不知道，谁会借着你的善良，走出了绝望。运动
1701272138# #goodgoodgood
1693737854# #这些原因容易诱发糖尿病酮症酸中毒微博健康公开课
1688906106# #goodgoodgood
1701940523# #不用查
1702372908# #鲜花鲜花鲜花
1701602280# #妈祖庙，东堤公园
1704034969# #今天是三末：周末、月末、年末，愿所有不如意统统抹去；明天是三新：日新、月新、年新，让我们一起迎接新生活，滿怀憧憬迈入2024年！。祝福所有的朋友和家人身体健康，心想事成，万事如意！鲜花鲜花鲜花鲜花鲜花鲜花元旦
1693825208# #【男33岁，178cm，94kg，12岁有过尿血后恢复正常，近】谢谢你的信任！初步考虑慢性肾炎，不排除肥胖相关性肾病，肾功能减退，估算肾小球滤过率66，还不太严重。右肾不小，而且右肾皮质1.6cm，比一般人还略厚，并没有萎缩，建议肾穿确诊。如果是肥胖相关性肾病，肯定不能用激素了。
1697811231# #这两类降压药不要联合用微博健康公开课听医生的话
1703901468# #原来讲过，等有时间再讲
1702179578# #可以了
1690541048# #【二甲双胍预防糖尿病的发生】糖尿病发病前，大多要经历一段糖尿病前期，也就是空腹血糖6.1～7mmol/L之间，或者餐后2小时血糖7.8～11mmol/L之间。这段时期很关键，如果及时控制的话，还能回到正常状态，如果控制不好，一步就踏进糖尿病。。过去认为，生活方式干预比如控制饮食、运动、减重等可预防糖尿
1696499589# #【肌酐高禁忌食物一览表及详解】血肌酐是肾功能指标，肌酐升高，就表示肾功能下降。。肌酐是蛋白质的代谢废物，肾功能减退后，高蛋白饮食会加重肾脏负担，所以肾衰患者要减少蛋白的摄入，可人体营养又需要蛋白，为了平衡矛盾，建议优质低蛋白饮食，意思是吃优质蛋白，比如说牛奶、鸡蛋、瘦肉、大豆蛋白
1700476735# #作揖作揖作揖
1692538370# #重大突破，猪肾移植初获成功。天津大学泰达医院李青。今天告诉大家一个振奋人心的消息，2023年8月16日，纽约大学朗格尼医学中心（NYULangoneHealth）发表声明，他们的猪肾移植手术初步获得成功，移植的猪肾已在人体内存活了32天，而且还在正常工作，没有出现任何排异现象，看起来比移植人类的肾脏还
1697714314# #快乐的秘诀，并不在于为了追求快乐而全力以赴，而是在全力以赴之中寻出快乐。运动快乐
1688863463# #抗磷脂酶A2受体抗体，阳性表情原发性膜性肾病
1697899016# #goodgoodgood
1699792928# #医学科普，造福社会，成就自己健康科普
1701000248# #【退役运动员，糖尿病失明令人惋惜】上周我接诊了一位外地女士，她曾经是个运动员，10年前退役后开始发胖，体重高达200多斤，血糖也开始升高，这些年一直在用药，但不规律，血糖一直都很高。今年初突然失明，检查发现是糖尿病眼底病变视网膜脱落，她坐在我对面，说看见我这个人，但看不清我的长相。同
1702211810# #肾脏病人冬季血压控制措施。天津大学泰达医院李青。我们的血压不是一成不变的，大多数人，一天的血压表现“两峰一谷”的现象，上午10点一个高峰，下午5点一个高峰，凌晨是个低谷，血压曲线就像一个木勺，所以叫勺型血压。。但是，肾脏病人的血压就比较逆反，凌晨血压不低，表现为“非勺型”，或者凌晨血
1699624377# #goodgoodgood鲜花鲜花鲜花
1699679590# #不大
1701265260# #对
1695975010# #肌酐高禁忌食物一览表微博健康公开课听医生的话
1688619739# #患病率确实很高
1703901392# #有问题
1701173226# #停贝那普利
1704031205# #没听说过
1692529205# #【。医生，你好。我今年33岁，女性，生育过一个孩子。我是202】谢谢你的信任！非常轻的肾小球肾炎，如果不出现特殊情况，不会肾衰的。单用安博维便可，如果血压控制不好，还可以增加剂量
1688382004# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1703901428# #加列净类
1701315334# #中国人民的老朋友基辛格当地时间11月29日在家中去世，转发旧文，以表敬仰
1696426822# #莲池书院国庆节
1700566147# #说容易，是相对的，其实只有极少部分肾病发展到尿毒症
1703419394# #【用了12天降脂药引发肌溶解】54岁的患者，体检发现血脂高就开始服用降脂药苯扎贝特分散片，每次1片，每天3次，用到第12天时感觉全身疼痛，检查发现血肌酐高，转氨酶升高十几倍，肌酸激酶一百多倍，典型的横纹肌溶解。他没有剧烈运动，没有饮酒，没有用其他药，考虑是苯扎贝特造成的。。横纹肌也就是我
1700234887# #我认为你那里的医生治疗方案很好，图便宜就不要追求疗效
1692702005# #【男33岁，178cm，94kg，12岁有过尿血后恢复正常，近】谢谢你的信任！初步考虑慢性肾炎，不排除肥胖相关性肾病，肾功能减退，估算肾小球滤过率66，还不太严重。右肾不小，而且右肾皮质1.6cm，比一般人还略厚，并没有萎缩，建议肾穿确诊。如果是肥胖相关性肾病，肯定不能用激素了。
1690289258# #降压药中是不是有激素微博健康公开课
1692105682# #【大量蛋白尿怎么治疗？】30岁大壮，身体的确比较壮，身高1.76m，体重120kg。上个月因为腿肿到医院检查，发现大量蛋白尿，尿蛋白定量4.6g/d，低蛋白血症，没有高血压和糖尿病。当地医院考虑是肾病综合征，直接给他用激素+免疫抑制剂，治疗2周不见好转，于是线上咨询我下一步怎么治疗？。肾病综合征不是
1692872689# #但凡厨子在做菜之余多读一点史书，也不至于折戟沉沙。
1702299040# #下雪能冻死流感病毒吗微博健康公开课听医生的话
1702179565# #药量小反而血压低，看不懂你的表述
1690542005# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1701002499# #17年在我国上市，已经不新了
1700291846# #可以吃
1687524824# #【疫情的后遗症不仅仅是长新冠】34岁的大壮，4年期大量蛋白尿，肾穿确诊为膜性肾病，当时肾小球滤过率59ml/min，用激素等药物治疗一段时间后尿蛋白转阴，血压、肾功能一直稳定，去年血肌酐还200多。可近期复查，血肌酐涨到了567µmol/L，ECT测肾小球滤过率26ml/min，已经是重度肾衰了。。按照一般规律，
1700537795# #🙏🙏🙏
1688641207# #【医生您好，女儿6岁7个月。一年前发现有尿频情况，带到医院检】谢谢你的信任！我个人意见是薄基底膜肾病，可以不用治疗，什么药都不用，不要再折腾孩子了，否则心理出问题
1703480612# #释颜能释怀吗
1704120076# #鲜花鲜花鲜花
1703409952# #日常生活中会发生铊中毒吗微博健康公开课听医生的话
1702728539# #肾小球滤过率25以上
1688906190# #以山为德，以水为性，诗中有画，画中有诗，山水画是最具中国特色的艺术，也是中国人情感厚重的沉淀。我国山水画大师高家俊先生是我的老邻居，昨天有幸参观了他和另外13位大师举办的《江山颂》山水画大师作品展览，亲身感受了大师的风范。
1703070884# #【新指南发布，糖尿病人如何选择降糖药】上周，美国糖尿病学会（ADA）发布了《2024版糖尿病诊疗标准》。ADA标准一直是国际糖尿病领域的风向标，引领各国指南的制定，所以了解ADA标准对血糖控制非常重要。。新指南继续强调，治疗糖尿病的三大目标是：合理控糖、管理体重、改善心肾预后，而不单纯是为了降
1691665204# #【尿蛋白2+尿潜血2+有结石史。腰椎间盘突出史，当地医生说很轻】谢谢你的信任！应该是肾小球肾炎，因尿蛋白不太高，可以不用肾穿。血压多少？用沙坦后多少？阿利沙坦和氯沙坦合用吗？
1700137994# #【糖前期远离糖尿病，这个药可用】血糖高了，但还没到糖尿病标准叫糖前期，比如说空腹血糖介于6.1～6.9mmol/L之间，或者餐后2小时血糖介于7.8～11mmol/L之间。糖前期，往前跨一步就是糖尿病，而退一步就海阔天空，有可能恢复正常，就算不进不退，长期糖前期心血管疾病的风险也增加，所以，糖前期也要控
1689081667# #【过去一年糖尿病治疗新进展】刚刚结束的第83届ADA年会，对过去一年糖尿病领域的大事件进行了盘点，其中包括1型糖尿病、2型糖尿病、转化医学等内容，我这里介绍有关2型糖尿病的大事件。。1、胰岛素周制剂问世：现在一周打一次的针不是胰岛素，而是肽类降糖药司美格鲁肽和度拉糖肽，新开发一周打一次的胰
1695046969# #泰达夜色。。前世出家今在家，修行何必披袈裟。。位卑岂敢评国是，家贫偏栽牡丹花。。学问不觉时光老，夜吟常伴庭前蛙。。待到暖阳照大地，且来小斋喫苦茶。微博健康公开课听医生的话
1690196383# #和勤奋的人在一起，您不会懒惰；和积极的人在一起，您不会消沉。羽坛三剑客嘻嘻加油运动
1697366495# #意义不大
1697938064# #替米沙坦的原研药叫美卡素，每片80mg，应该是“标准”剂量，仿制药本来就不如原研药，每片20mg的替米沙坦既“假冒伪劣”又“偷工减料”，换成原研药吧
1702384277# #先做做血尿常规和生化检查吧
1703944326# #朱令的铊中毒是怎么确诊的微博健康公开课听医生的话
1688264843# #又一列净类降糖药上市，功能很多微博健康公开课健康素养提升v计划
1699275062# #作揖作揖作揖
1693229466# #预防核危害，吃药行，吃盐不行微博健康公开课
1694528489# #不需要了
1694528454# #做糖耐量试验
1701178939# #终身性疾病，需要终身控制
1690036779# #都是天气惹的祸
1701264735# #good🙏
1701272239# #痛风性肾病
1691751604# #【李医生，您好，我老公（43岁）一直检查有潜血和蛋白，尤其红细】
1695478190# #【心脑血管疾病补充什么营养好？】之前我经常科普心脑血管疾病的药物治疗，今天我给大家说说通过补充营养来减少心脑血管疾病的发生。。心脑血管疾病的发生原因有很多，其中高脂血症是主要的危险因素，控制血脂，可减少心脑血管疾病的发生。。以下8种营养素可谓是血脂的“克星”，在均衡饮食的前提下可多
1693220408# #【李主任您好，一直关注您的微博，这次是因为母亲的血尿情况想让您】谢谢你的信任！你母亲血尿不是主要问题，现在的主要问题是蛋白尿，现在还不清楚是因为尿路感染导致尿蛋白假阳性，还是原来就有蛋白尿。请用抗菌素一周后再复查尿常规，如果还有尿蛋白2+，那要到肾科好好检查了
1702218296# #鲜花鲜花鲜花
1700555370# #来我们医院吧
1694526686# #发现尿蛋白，高血压是因还是果
1702639500# #流感和感冒有什么区别微博健康公开课听医生的话
1696596386# #【尿毒症会遗传吗】尿毒症患者的家人经常问我们，尿毒症遗传吗？他们担心老人的病遗传给自己。。其实，尿毒症不是一个病，而是各种慢性肾脏病的晚期状态。肾小球肾炎会尿毒症，糖尿病肾病也会尿毒症。一般来说，当血肌酐≥707µmol/L，或者肾小球滤过率＜15ml/min，就诊断为尿毒症。。导致尿毒症的三大病
1698844284# #作揖作揖作揖
1692679353# #久违的晴天。远望天津周大福中心，天津滨海新区地标性建筑，北方第一高，中国第四高，世界第七高。
1696411540# #透析是什么意思？微博健康公开课听医生的话
1700232368# #goodgoodgood鲜花鲜花鲜花
1691325090# #高血压诊断标准，中美为什么不一样微博健康公开课
1697031850# #普利类降压药首选哪种微博健康公开课听医生的话
1699933304# #【境界】有钱的人认为钱是自己的，没钱的人认为国是自己的。
1691412312# #瘦人能用肽类降糖药吗微博健康公开课
1691843854# #【里程碑试验！司美格鲁肽减重、降低心脏病风险】2023年8月8号，一项大型临床研究结果发布，司美格鲁肽减重的同时，可以显著降低心血管疾病风险。。这个试验是5年前开始启动的，观察了1.7万名受试者，受试者同时符合以下条件：45岁以上、BMI≥27的超重或肥胖患者、有心血管疾病、但没有糖尿病。司美格鲁
1700750654# #鲜花鲜花鲜花
1701517372# #万金油嘻嘻
1694867542# #冠心病“疫苗”来了，不再每天吃药。天津大学泰达医院李青。半年打一针就能强效降脂，不用再每天吃药，而且还能像“疫苗”一样预防冠心病。。这款新药叫英克西兰（Inclisiran），已正式进入我国。英克西兰是一种小干扰RNA，从基因水平干扰PCSK9的合成，从源头上降血脂。。血脂分为胆固醇和甘油三酯，胆固
1693387620# #血压降不下来，也许是这个原因微博健康公开课
1693479605# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1698498695# #【男性功能障碍就是肾虚吗？怎么改善？】作为肾内科医生，我经常被问到肾虚的问题，还有肾脏和性之间关系等问题，今天是中国男性健康日，我今天就说说肾虚和性功能的关系。。我先说说什么是肾虚？《百科名医》对“肾虚”是这样解释的：肾虚指肾脏精气阴阳不足。肾虚的种类有很多，其中最常见的是肾阴虚
1691263171# #手机地震预警地震
1695478584# #如果血糖高，不确诊也影响性功能
1692186793# #尿中大量蛋白怎么治疗微博健康公开课
1702995646# #是的
1702725863# #甲流感染，什么情况要用抗菌素微博健康公开课听医生的话
1704017162# #一句“先生好人”，是粉丝最大的认可，也是对过去一年辛苦科普最大的回报，谢谢各位粉丝朋友，大家新年快乐！作揖作揖作揖鲜花鲜花鲜花
1696591746# #中秋国庆精神状态图国庆节
1699058596# #鲜花鲜花鲜花
1700300199# #嘻嘻good
1700651892# #目前感染甲流多见，大多不需要输液微博健康公开课听医生的话
1687863605# #【医生您好，我是年初咨询过您，那个时候是尿酸高500多，隐血1】谢谢你再次咨询？停药后尿酸反跳了，建议长期服用非布司他。现在尿蛋白转阴了。你的病非常轻，只要坚持服用降尿酸药什么问题都没用，请放心！
1688217254# #【血肌酐低是什么意思？】早期糖尿病，血肌酐低是个不好的信号。。血肌酐是肌肉的代谢废物，包括自身肌肉的代谢和食物中瘦肉的代谢，血肌酐通过肾脏排泄，一般来说，血肌酐升高就意味着肾功能下降。。有些年轻女士，身体比较瘦，肌肉少，食量也少，所以肌酐产生的少，血肌酐可能比较低，这是正常情况。但
1692102824# #降血压，哪项运动效果好微博健康公开课
1699946128# #糖尿病会腐蚀哪些器官11月14日是世界糖尿病日，糖尿病并发症有哪些？怎么预防和治疗？糖尿病危害大，糖尿病的并发症危害更大。我今天就说说糖尿病和它的并发症。了解症状，了解应对，乐享生活。
1700394092# #减重护心，司美格鲁肽又有新突破微博健康公开课听医生的话
1691070980# #新指标诊断肾病，可以替代肾穿微博健康公开课
1695638987# #不求所有的日子都泛着光，只愿每一天都承载着健康运动
1690887606# #【李大夫您好，我父亲今年68岁，2019年底发现膜性肾病。开始】谢谢你的信任！诊断、治疗都没问题，现在的病情的确在加重。本来开始治疗效果还好，但因为感染打乱了整个治疗计划，加重了病情。没有其他办法，如果医生不拒绝的话，继续在严密监测下用激素和免疫抑制剂。同时使用大量沙坦类降压药，以及列
1704029552# #12天降脂药引发的严重肌溶解听医生的话微博健康公开课
1692183608# #【李大夫您好，我父亲今年68岁，2019年底发现膜性肾病。开始】谢谢你的信任！诊断、治疗都没问题，现在的病情的确在加重。本来开始治疗效果还好，但因为感染打乱了整个治疗计划，加重了病情。没有其他办法，如果医生不拒绝的话，继续在严密监测下用激素和免疫抑制剂。同时使用大量沙坦类降压药，以及列
1692615608# #【主任您好，我是男，29，单纯血尿10年，但镜下血尿也是时有时】谢谢你的信任！隐匿性肾小球肾炎，血压正常（白大衣血压），不用任何治疗。你目前最大的问题是焦虑，太焦虑了
1700572883# #【减重护心，司美格鲁肽又有新突破】除了减重，还能预防冠心病，司美格鲁肽又有了新突破。。在刚刚结束的2023年美国心脏病学年会上，发布了一项大型临床研究SELECT研究结果，证实没有糖尿病的肥胖患者，使用司美格鲁肽治疗，可以使心梗、脑梗和心血管死亡风险降低20%，具有显著效果。这个研究结果也同时
1702907795# #goodgoodgood
1700740387# #来我这里不可以吗？
1700919192# #有关联
1694516404# #【男33岁，178cm，94kg，12岁有过尿血后恢复正常，近】谢谢你的信任！初步考虑慢性肾炎，不排除肥胖相关性肾病，肾功能减退，估算肾小球滤过率66，还不太严重。右肾不小，而且右肾皮质1.6cm，比一般人还略厚，并没有萎缩，建议肾穿确诊。如果是肥胖相关性肾病，肯定不能用激素了。
1701432559# #该控制饮食控制饮食，该用药用药
1699966986# #嘻嘻作揖good
1703074712# #降糖药减重效果大排行微博健康公开课听医生的话
1701527380# #嘻嘻good
1695558627# #姿势不对，颈椎作废微博健康公开课听医生的话
1700399402# #goodgoodgood
1702384286# #作揖作揖作揖
1695299915# #厄贝沙坦的副作用与危害微博健康公开课听医生的话
1703844594# #盘点能降尿蛋白的措施和药物微博健康公开课听医生的话
1694528298# #胰岛素不是一线药，不推荐开始就用
1693660625# #新药治疗难治性IgA肾病微博健康公开课
1688817425# #夏日阳光
1702395656# #风湿免疫科
1688795856# #嘻嘻作揖
1701606574# #多重感染、洁净环境和免疫债。天津大学泰达医院李青。近期各大医院儿科还有儿童医院都人满为患，楼道里全是输液的孩子，有的家长还自带输液挂钩，输完了拔针头还要排长队，北京某儿童医院甚至还启用了方舱医院。。据有关报道，儿童感染排名前三位的是流感病毒、腺病毒和呼吸道合胞病毒，当然还有支原体
1689764405# #【男33岁，178cm，94kg，12岁有过尿血后恢复正常，近】谢谢你的信任！初步考虑慢性肾炎，不排除肥胖相关性肾病，肾功能减退，估算肾小球滤过率66，还不太严重。右肾不小，而且右肾皮质1.6cm，比一般人还略厚，并没有萎缩，建议肾穿确诊。如果是肥胖相关性肾病，肯定不能用激素了。
1690465451# #这个问题太深奥了嘻嘻作揖
1704197711# #【糖尿病肾病，新指南重点推荐】糖尿病肾病是糖尿病常见的并发症，也是我国慢性肾脏病的主要原因，如果控制不好，容易发展到尿毒症。。糖尿病肾病治疗有两大目的：一是延缓肾损害，预防进入尿毒症，二是预防心脑血管疾病的发生。ADA刚刚发布的《2024版糖尿病诊疗标准》，对糖尿病肾病的治疗方案进行了统
1688464744# #导游中暑去世，酷热天气我们还要做什么微博健康公开课
1688735579# #山河大学范围，您在哪个省？抑郁症
1695478491# #看看药盒上的化学名字，也是地平类
1697114638# #肾小球滤过率年龄对照表微博健康公开课听医生的话
1703843496# #【降尿蛋白药物和措施大盘点】肾脏是人体的“滤过器”，肾小球滤过膜受损以后，血液中的蛋白质漏到尿中就是蛋白尿。容易出现尿蛋白的疾病有糖尿病肾病、肾小球肾炎、狼疮性肾炎等。。蛋白尿是肾脏受损后的结果，但尿蛋白高的话又反过来损害肾脏，所以尿蛋白一定要积极控制。。今天我综合几个指南，盘点一
1690714808# #【李主任您好，一直关注您的微博，这次是因为母亲的血尿情况想让您】谢谢你的信任！你母亲血尿不是主要问题，现在的主要问题是蛋白尿，现在还不清楚是因为尿路感染导致尿蛋白假阳性，还是原来就有蛋白尿。请用抗菌素一周后再复查尿常规，如果还有尿蛋白2+，那要到肾科好好检查了
1690206381# #【三驾马车领跑糖尿病肾病的治疗】有糖尿病人聊天时跟我说，他不怕心梗，但是怕肾衰，因为肾衰生不如死。这位患者说的话有些极端，但也有点道理。。相对其他并发症来说，糖尿病肾病导致的肾衰更缠人，生活质量更低，所以更要积极预防治疗。。尿中出现微量蛋白是糖尿病出现肾病的开始，这个时候如果积极治
1701435681# #🙏🙏🙏
1693660895# #冤？
1702168168# #宁可胃穿孔，也不降尿酸微博健康公开课听医生的话
1689850805# #【李主任您好，我57岁，高血压，高尿酸，高血脂，图是18年，2】谢谢你再次咨询！效果还不错，肾功能很稳定。非布司他可以减半。你严格控盐1-2周，如果低压还高，厄贝沙坦可以加倍。
1697294109# #是的
1697366786# #秋水生态城
1704027696# #我刚刚在“会员抽抽乐”活动中抽中了【45天微博会员,31天微博会员,15天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1701782222# #【宁可胃穿孔，也不降尿酸】有一位外地老哥，50多岁，痛风8年，就是不吃降尿酸药，那痛了怎么办？痛了就吃止痛药双氯芬酸钠。吃过止痛药的人都知道，这玩意儿太伤胃。开始发作少，药吃的也不多，所以也没什么，可近两年痛风频繁发作，一个月都2-3次，所以大把大把的吃止痛药，结果前两天胃出血、胃溃疡
1699090143# #雄安的清晨与黄昏
1694094379# #【漏尿，要不要说出口】一大笑，就漏尿；一咳嗽，就湿裤。不知道您或者您的家人，是否遭遇这样的尴尬。。因为这个习惯，个别女士不敢出远门，不出去旅游，不愿意见人，甚至还影响了夫妻关系。。其实，千万不要因为漏尿而尴尬，这种情况并不少见，据统计，高达23%~45%的女性有不同程度的漏尿现象，高发年
1688129805# #高血压，一个无奈的故事微博健康公开课健康素养提升v计划
1698833693# #支原体感染，用头孢和青霉素无效微博健康公开课听医生的话
1698764826# #雾锁滨海雾
1702820482# #不知道哪个二货在健身房里放相声，结果有个健友在卧推的时侯笑的脱力被杠铃砸了，现在送医院了段子
1689081712# #糖尿病遇到“二阳”，结果“白肺”了微博健康公开课
1694260507# #低生堂双蛋白杂粮谷物棒200g即食饱腹0糖高蛋白谷物棒代餐巧克力味1盒装。。【现价】20元。【券后价】19元。【优惠券】1元。
1695207604# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1691260846# #地震了，震级不小，时间不短。坐标天津中新生态城
1701695726# #不看泡沫看检验
1701817880# #微博头像挂件今日份幸运属于你！我正在使用“幸运光环”会员专属头像挂件，你也快带上吧！
1702442669# #雪落下的声音
1699880122# #goodgoodgood
1699790718# #糖尿病肾病是怎么分期的微博健康公开课听医生的话
1703859915# #可以
1694766116# #冠心病“疫苗”来了，不再每天吃药微博健康公开课听医生的话
1700301446# #是的good
1704207519# #鲜花鲜花鲜花
1701703323# #也谈不上，卡格列净没有做这方面的研究，所以就没有被推荐，应该差不多
1696499018# #正常的
1693740576# #【要不要降尿酸，记住三个数字】这是一位粉丝的问题，尿酸490µmol/L，要不要吃药，还要看其他情况，记住三个数字：420、480、540。。血尿酸的正常值是180~420µmol/L，超过420µmol/L就是高尿酸血症。发现高尿酸血症，就应该控制饮食、减重，根据指南，是否用药遵从以下三点：。1、如果出现痛风性关节炎，
1703859904# #有
1693616347# #转发微博
1688795844# #允悲作揖
1694441445# #可以呀
1691669348# #机器不同，标准值也不一样
1698842771# #【心脏病死亡是怎么回事】平时我们说的“心脏病发作”，大多指的是冠心病、心梗。世界卫生组织（WHO）曾经发布的《2019年全球卫生评估报告》就指出，近20年间，人类的第一大死因就是冠心病。。冠心病的全名叫冠状动脉粥样硬化性心脏病，给心脏供血的动脉叫冠状动脉，各种原因导致冠状动脉硬化、狭窄，心
1688814005# #【李大夫您好，我父亲今年68岁，2019年底发现膜性肾病。开始】谢谢你的信任！诊断、治疗都没问题，现在的病情的确在加重。本来开始治疗效果还好，但因为感染打乱了整个治疗计划，加重了病情。没有其他办法，如果医生不拒绝的话，继续在严密监测下用激素和免疫抑制剂。同时使用大量沙坦类降压药，以及列
1702392136# #鲜花鲜花鲜花
1692364850# #【痛风是怎么毁掉肾脏的？】42岁的大刚，14年前28岁的时候开始痛风，不过只是偶尔发作，没有治疗。6年前发作频繁，当时查血尿酸700多，血肌酐略高，没用降尿酸药，只是疼痛时服用秋水仙碱和止痛药。3年前ECT测肾小球滤过率，也就是肾功能，为80.7ml/min，略有下降，吃了半年非布司他就停了。上周复查EC
1693233559# #goodgoodgood
1695305171# #高血压讲的最好的两个医生竟然是同学。
1691407235# #日复一日，看似无味，却是平淡生活的真味。坚持下去，不是我们足够坚强，而是健康的选择。运动
1701178983# #允悲
1691838004# #【我母亲85岁，糖尿病20年，2012年开始注射诺和林30R，】谢谢你的信任！血压多少？有没有蛋白尿或者其他并发症？有没有其他疾病？
1689073208# #【糖尿病19年，糖尿病肾病4年年龄54。用药：二甲双胍早晚各】谢谢你的信任！已经是糖尿病肾病，慢性肾衰竭，而是出现糖尿病视网膜脱落病情就很重了。可以而且必须加用列净类降糖药和肽类降糖药，替换胰岛素。停碳酸氢钠，建议恢复倍博特，停西尼地平。
1689687896# #【饮酒越多，颈动脉斑块越重】颈动脉给大脑供血，颈动脉如果出现斑块就容易发生脑梗。《中国脑卒中防治报告2018》指出，50%~75%的脑梗由颈动脉病变所致，严重时可危及生命。我国是脑血管病的高发国家，所以关注颈动脉斑块很重要。。上周，《中国循环杂志》发表了一项《中国慢性病前瞻性研究》结果，发现
1701601814# #冬日海滨
1691842581# #指南更新：列净类成为慢性肾病一线用药微博健康公开课
1694613554# #吃药，胰岛素不作为首选药
