1691108533# #我去由彭昱畅侯明昊毕雯珺主演的《异人之下》已经空降有你期待的明星吗
1694673401# #虞书欣的人中被网友吐槽了网友称有点像屁股沟你觉得是网友想多了吗
1698046363# #虞书欣把法棍放在地上虞书欣因为被把法棍放在地上拍照被网友吐槽浪费粮食作秀等随后粉丝回应只是道具但是两级反转虞书欣称这个法棍自己没浪费还捡起来吃了你被虞书欣的勤俭节约吸粉了吗
1692532748# #笑拉了，丁禹兮那低头的三十秒你是在想七时吉祥还是月光变奏曲啊哈哈哈哈哈哈哈
1702099918# #林允儿和李俊昊这是怎么了有网友称林允儿勾引李俊昊
1692676200# #刘宇宁真的好尴尬啊。。。
1696601606# #张艺兴致敬迈克尔杰克逊舞台张力好足张艺兴太会了
1698811452# #黄子韬演唱会票价出了网友吐槽看台1993和内场2368也太贵了你觉得价格还可以接受吗黄子韬广州抢票
1695733713# #金智秀巴黎时装周看秀生图有抗住镜头吗金智秀造型
1690109282# #国产剧组删除孟宴臣安利贴豆瓣我的天国产剧组把人间烟火王楚然孟宴臣杨洋魏大勋都列为违禁词这是不是太过了。。。
1694417391# #金知元金韩彬大粉透露金知元以前和金韩彬是情侣但表面只是装作好兄弟这次不知道为什么其中一个人开始发疯明明已经老婆孩子热炕头可能是觉得男男才是真爱吧希望两个人能公开恋情吧加油！
1698540514# #权志龙没有被立案又反转？？？记者出身的现任演艺界youtuber李镇浩称：我第一次联系权志龙询问时，说从未接到警方的任何联系，像是从新闻报道才第一次听说被立案毒品嫌疑一样，非常生气。
1703082274# #我去刘宇宁真的通过《一念关山》爆了来看实绩图真的好震撼你有被他圈粉吗媒体眼中的刘宇宁
1702950956# #我去原来肖顺尧还打了乳钉你爱了吗舔屏舔屏舔屏
1698310231# #文俊辉到底是怎么想的和小朋友聊天称自己比起欢快的歌反而更喜欢性感的感觉。。。
1703591490# #网友形容檀健次周也这个演技表现像“男同女同形婚在婚礼上装出恩爱的样子给亲朋好友看”。。你觉得是网友严格了吗
1696742882# #蔡徐坤舞蹈动图来了他好像又变强了
1696944105# #陈牧驰你。。。
1702706326# #白鹿张凌赫应援现场粉丝不约而同的把它布置成了红色不知道的还以为是婚礼现场好喜庆宁安如梦答谢礼
1689045242# #网传王俊凯王源易烊千玺TFBOYS十周年三个人合体舞台会很少苦涩苦涩苦涩TFBOYS十周年三人合体舞台多吗
1691152410# #有没有知情人说说王源家和王俊凯家的粉丝到底发生了什么
1692452073# #杨超越和鹿晗都曾说过：不要因为是我主演就不看剧了。。你会被他们这番发言打动去观看作品吗
1690364111# #曝某明星嫖娼被抓王一博现身《热烈》视频直播连线那些说他被抓的谣言不攻自破
1690948190# #翻了六下吓了我六跳大势男团闯韩你爱了吗
1698240592# #影视爆没爆后续资最能展现，金晨本月新增8个代言，品类涉及汽车、服装、食品、厨具等等可谓全面开花，新增数量也是艺人单月新增top了吧？
1694867597# #异人之下新老演员演技狂飙不得不感叹现在的新人演员确实很厉害与老演员飙戏丝毫不输让人大呼过瘾彭昱畅和侯明昊未来可期
1701520747# #古装女主以后就这么演古装统治区女神刘诗诗，演技炸裂，小白花和孤狼任如意自由切换，甚至就像网友说的，连情绪落泪都准到令人起鸡皮疙瘩，刘诗诗真的把任如意诠释的太好太好苦涩
1696300654# #迪丽热巴杨紫巴黎时装周最全面对比来看待遇杨紫衣品
1701943649# #gq红毯GQ第一个吃到晚餐的艺人来了张凌赫已经到处在给自己准备晚饭了
1701949897# #我滴妈刘雨昕算不算突破自己了深v来了！！！
1700745886# #陈牧驰粉丝称于适造型抄袭陈牧驰还说于适是抄袭怪学人精你怎么看于适机器人男友
1693665949# #胡歌：你才大小姐呢
1696151721# #Angelababy结束巴黎行程回国早前她曾深陷疯马秀舆论风波你还会支持她吗
1691664238# #TFBOYS王俊凯王源易烊千玺早期玩耍图被谁可爱到
1697687758# #张艺兴将进军好莱坞我滴妈继内娱韩娱后张艺兴又将进军好莱坞看来好莱坞的歌手们都要退避三舍了张哥驾到谁能不怕
1691325274# #救命易烊千玺的低音炮太苏了吧苦涩苦涩苦涩
1699623623# #虞书欣赵露思近期舞台动图对比谁赢了
1702450549# #说英雄谁是英雄副导演否认刘宇宁加戏网友不仅质疑刘宇宁在一念关山里加戏还质疑他在说英雄里加戏随后说英雄的副导演否认了刘宇宁加戏还称他自己很喜欢刘宇宁。。你觉得网友对刘宇宁的误解是不是太大了
1692099300# #我的天有电影邀请都美竹和秦牛正威一起出席电影首映礼都美竹发言后秦牛正威直接回怼了电影方最要命的是两人穿着还基本上一样真是修罗场。。。秦牛正威不满和都美竹同场观影
1704094989# #时代少年团跨年晚会生图谁抗住了路人的镜头。。马嘉祺刘耀文宋亚轩张真源丁程鑫严浩翔贺峻霖
1698413350# #喻言演唱会高音我的天呐‼️我全身都燃🔥起来了太强了天呐
1688352397# #蔡徐坤回应刘雨昕蔡徐坤cp粉喊话两人希望刘雨昕能出来替蔡徐坤说说话
1703835435# #po文《熟人作案》即将影视化你期待了吗熟人作案影视化
1689214286# #井川里予回应近照井川里予因为近照被网友吐槽擦边更有人称这样蹭热度太不要脸随后井川里予回应
1699535062# #赵露思跳舞好辣赵露思生日会被粉丝吐槽了粉丝认为她太割韭菜了送的都是小样而且渴了还得自己掏钱买饮料你觉得是粉丝严格了吗
1693577700# #认人进这个人到底是谁百分之99的人都猜错
1700963704# #成毅粉丝真的很会帮成毅拉资源对着冯小刚说：导演看看成毅吧！！！。。有这样的粉丝成毅长红指日可待！！！
1691590044# #韩网质疑边伯贤借用exo名义贷款。。。怪不得之前解约想要拿到队友收入情况。。。一切都是铺垫
1691324046# #“哈喽大家好我们是TFBOYS”王俊凯王源易烊千玺这句话我们真的等了太久太久了泪泪泪
1697980717# #我去爷奶合体了。。。
1687615791# #张艺兴鹿晗演唱会相似造型看来审美都是一样的
1695367922# #张柏芝的23岁和43岁离开精修美颜滤镜的张柏芝真的全方位无死角好美的骨相
1703761938# #哑舍目前在谈檀健次邓为你期待了吗
1691718633# #Lisa再晒比基尼装男友视角幸福满满BLACKPINK均被曝出恋情
1695282038# #又磕到凯源了！！！王源发了祝王俊凯的生日微博。。。注意看配图。。。原图是王俊凯工作室四月份发的一组定妆照。。。王源居然把左下角的球一个个p掉重新p了一个“24”。。。已甜晕苦涩苦涩苦涩王源为王俊凯庆生细节糖
1700396870# #“提刀砍小三发现小三美到失语自己也沦陷”
1695644966# #赵露思张元英同款微张嘴露齿笑容被谁美到
1696393124# #赵小棠乔欣安崎讲了自己停车的事。。赵小棠乔欣表示自己停不进就停下来后面的男的会帮自己停最后安崎附和女孩子就是这样。。女孩子真是这样的吗？？？乔欣说车停不好就把路堵上
1703076551# #韩国网红丑萌小朋友嘎蒙长大了只剩丑了。。。
1694768736# #Lisa机场素颜Lisa机场素颜图来了如果这个颜放在内娱是不是可以横着走了
1701528580# #唐九洲说的不会是那个男人吧？？？
1697980410# #黄明昊林一troublemaker如何评价黄明昊林一跳troublemarker
1690162728# #456我的天孟美岐在舞台上发言台下观众却拼命在喊456456好尴尬。。。
1692676520# #韩国人呼吁其他人不要再吃糖葫芦和麻辣烫了。。。
1694930086# #张婧仪机场穿搭好接地气被网友亲切的称为小姨张婧仪涂口红眼神
1703754442# #王一博加入朵拉头宇宙王一博朵拉头来了谁看了不想和他谈恋爱太可爱！
1695039319# #外媒报道：Lisa已全合约签约美国公司，包括6张专辑，还有涉足娱乐的音乐、影视、时尚及表演全部全包给该公司，不仅仅是个人合约外媒曝Lisa全合约签约美国公司
1687265589# #偷偷藏不住受众群体感觉这已经脱离女大十八变的范畴了。。。
1697022017# #时代少年团LV快闪造型时代少年团lv快闪造型来了被谁惊艳到。。马嘉祺丁程鑫宋亚轩刘耀文张真源严浩翔贺峻霖
1688129324# #白鹿真有你的在别人头上碰杯太有新意了
1702951743# #我去中国日报国际版居然整版报道了肖战《梦中的那片海》这算什么水平
1689252410# #张元英胳膊缝了七针我去张元英在拍mv的时候受伤了？？？胳膊缝了七针？？？
1700829442# #我去张婧仪这马甲线好明显身材管理好绝
1702124063# #虞书欣范伟电影路演同框来了感觉范伟老师还是很欣赏欣欣的这表情就说明了一切
1699015580# #网友评选出ELLE红毯三女顶流：杨紫迪丽热巴刘雨昕你被谁美到
1687529072# #赵丽颖三次陪跑赵丽颖没得奖粉丝称内娱女性题材已死
1696496690# #马嘉祺粉丝怎么跑到宋亚轩超话开直播去了两家关系还蛮好的马嘉祺粉丝在宋亚轩超话开直播
1687326018# #邱耀乐不接受炎亚纶道歉炎亚纶现场痛哭是他的演技巅峰吧？？从终极一班到霹雳mit再到请赐我一双翅膀，看过的电视剧里从来没见他演技好过。。。
1703477576# #这种东西受众群体到底是谁。。。
1687402015# #福布斯杂志肯定了Jennie演技：Jennie在《THEIDOL》中的出色表现让她有资格获得包括艾美奖在内的诸多著名奖项福布斯称Jennie有资格获艾美奖
1689911927# #网友称吴宣仪真的不适合拍戏一张嘴牙就很出戏你怎么看待网友的想法吴宣仪演技
1688364208# #蔡徐坤照片不是我真的假的套路好深啊
1689810205# #救命。。。宋焰帮许沁搬家居然把耗油也拿走了。。。这到底是搬家还是扫荡啊。。。宋焰帮许沁搬家把耗油也拿走了
1695278295# #韩媒透露：只有Rose朴彩英继续与YG续约，而Jennie金智秀Lisa也正在最后一刻讨论“分开和一起”的策略，但大概率不续约，其余三人表示即使搬到YG娱乐以外的地方，但还是继续从事BLACKPINK的相关活动。只有朴彩英续约yg
1702338818# #代拍把明星在横店拉野屎的照片发出来了真的不给活路啊。。。横店拉屎
1701248364# #今日MAMA洪知秀新闻图好耀眼的帅哥
1696508622# #马嘉祺粉丝在宋亚轩超话开直播不是这宋字裤文学到底是谁写的。。。
1697629466# #徐明浩Kiko我去徐明浩KIKO首个中国区代言人什么水平的程度
1689141874# #还有人记得魏大勋曾和李沁上过恋综吗。。。给魏大勋吹头发的是李沁
1703241179# #搜狐时尚盛典金莎和男友红毯接吻金莎和男友在红毯上忘我的接吻。。。
1700752432# #“没有爱情我就是一句尸体”“你们的idol大概都在恋爱”前女团成员发言到。。。。。在她们组合解散变回素人之后，亲口说出了这些真实又残酷的让人不得不相信的话。。。图中3人，一个人说自己出道以来和很多男艺人恋爱，没有爱情不能活；一个谈了贯穿idol生涯的6年恋爱长跑；一个从练习生漂洋过海到韩国开始
1702820669# #我去我真的有被刘宇宁哭戏感染到这段演的是男主以为女主死了，穿上女主为男主买的衣服，睹物思人，悲情痛哭泪泪泪
1689310323# #杨洋和张翰？？？外号竟然是这样来的吗。。。
1693140383# #粉丝称刘宇是古装免检帅哥你怎么看你觉得他算不算名副其实
1687851641# #黄子韬鹿晗张艺兴同款背心来看表现力鹿晗张艺兴黄子韬白背心
1703296953# #我去刘宇北京签售会居然为每一个粉丝准备了满满一行李箱的礼物还有甜品这份用心真是内娱独一份吧
1689644397# #宋雨琦因为说了中国台湾又被寒国人骂了随后有网友质问叶舒华都是因为她宋雨琦才会被骂你怎么看。。。宋雨琦因说了中国台湾被韩网热议
1690255242# #杨洋老师的脚背belike
1694263031# #大粉透露徐彰彬疑似性取向有问题现在在大庭广众之下也忍不住想触摸黄铉辰这在男团里算不算定时炸弹
1700557987# #易烊千玺专辑《刘艳芬》再次登上畅销实体专辑周榜第一这算不算一骑绝尘
1694266989# #网友发现lisa出道七周年第一次单人直播还是在三公子别墅里。。。。。全程一共15分钟不到一直在重复说：我不知道说什么、我不知道有什么可说的、我不知道说什么。。。。。很难想象到这是出道7年被粉丝塑造成爱粉敬业的小甜豆的人说得出口的话。。。
1703589010# #我不允许大家还没看过文艺范的王一博！！！
1692862653# #任豪对核废水事件再次发表看法任豪坚决反对核废水排海
1691568177# #王俊凯王源易烊千玺专辑封面是应援色我的天这也太细节了王俊凯易烊千玺王源的专辑封面都是自己的应援色你被谁帅到
1697018055# #我滴妈于适这胸也太让人吃惊了
1689160336# #Jennie金泰亨偷偷藏不住jennie发了和金泰亨被拍到的造型照片救命金泰亨和Jennie这不就是妥妥的韩国偷偷藏不住吗鱼子酱加同款衣服下一步就应该是高调订婚吗你期待了吗
1704034657# #11个王俊凯王俊凯跳舞动图来了好像进步了很多舞蹈功底还是在的
1697986067# #张凌赫粉丝居然在卢昱晓众星时代传媒plq维权两家是怎么了
1688046050# #孙怡滕光正孙怡滕光正被网友扒出dy互关，滕天天跑海南，甚至扒出男方直播时地点疑似在孙怡房车上？？？
1690190576# #崔宇植恋情曝光女友曾是和Jennie朴叙俊女友一起合照的女网友韩媒透露好事将近双方已见家长崔宇植疑似恋情
1690109074# #内娱四大王炸花内娱四大王炸花出来两个版本。。第一个版本：杨幂赵丽颖迪丽热巴Angelababy。。第二个版本：杨幂赵丽颖刘亦菲杨紫。。你更看好哪个人
1690779108# #长相思亲妈坐镇邓为抱杨紫造型被网友称为孙子抱奶奶。。。
1693390373# #S.M将准备起诉上传洪胜汉个人私生活照片的不法行为哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕洪胜汉道歉
1688861294# #受不了了。。。
1696042517# #Jennie前往巴黎时装周机场图来了大粉透露她状态不佳因为自己男友金泰亨连襟田柾国和女友没拉窗帘求欢被网友拍到Jennie作为大嫂也在担心田柾国事业真是为这个团操碎了心jennie顺毛
1697853923# #沈月称上班拍上班戏就像下午上数学课一样难熬此言论一出网友纷纷坐不住了表示她赚那么多钱怎么还能说出这种话实在难熬可以退圈。。你觉得是网友严格了吗沈月是不是真的很惨
1699020378# #Jennie也要完了吗。。。被网友实名制爆料校园霸凌。。。
1702458614# #宋茜伴舞发文吐槽齐舞空间向宋茜道歉有知情网友发声之前diss宋茜的伴舞疑似丢了工作你觉得是伴舞活该吗。。。。。前情提要：伴舞diss宋茜要求多他们是公舞服务十几个舞台被宋茜一直拉着抠舞还被一直嫌弃伴舞素人表示她要求这么高的话可以自己带专业伴舞。。。吐槽发出去没多久就收到了公告。
1700917838# #虞书欣成毅梦回一年级成毅好照顾虞书欣啊磕到了苦涩苦涩
1688225225# #我去提示对中国内地男歌手蔡某某舆情发酵的风险提示。。。
1699715074# #韩素希恋情被扒装姬人设崩塌来看男友颜值
1700718096# #。。。。好歹毒的台词。。。
1701002662# #徐彰彬关站我去网友称徐彰彬多次霸凌李龙馥连粉丝都看不下去了他怎么能这样啊。。。
1692502478# #大蘑菇音乐节结束后许多网友都在吐槽王鹤棣和王鹤棣粉丝他们真的这么招人烦吗
1699107937# #王一博担任本届金鸡奖中国文联终身成就奖致词人来评价一下他的口播水平
1700380230# #时代少年团今天换妆造了时代少年团今日份灯牌再对比：马嘉祺紫海vs宋亚轩青海谁赢了
1701247589# #赵美延MAMA红毯新闻图门面主唱就是不一样美死了
1694768274# #王俊凯最新物流来看状态
1700285533# #ATEEZ郑友荣与女友本月少女金贤真恋爱瓜再锤细节包括同时间换同色新iphonelovestory秀猫而且还有同款情侣戒在被被粉丝发现后下午就卸下来了甚至更是传出早已同居太可怕。。。
1687866720# #鹿晗方面称因为舞台存在少量视线遮挡区，观众可免手续费全款退票也可保留座位，我的天，这个操作你觉得如何，是不是娱乐圈独一份
1687963054# #张真源和萧逸的适配度可以说是百分百
1697871878# #《卡套是刘昊然》
1696462658# #Lisa发了疯马秀舞台照并配文：“如此美妙的经历。缺人的时候就给我打电话”。。这种程度的照片就算权志龙的前女友Jennie的热恋金泰亨的弟弟田柾国看了也忍不住流口水对着嫂子Jennie撒娇：嫂嫂我就要她我就要她
1694963319# #大家喜欢看这样的文吗
1694946786# #节目一结束就把ZB1拉黑了啊啊啊啊啊这是能说的吗
1701245992# #我滴妈沈泉锐蓝丝绒西装来了简直是仙品！！！
1699702419# #我滴妈f(x)将全员重聚？？？fx重聚
1701929192# #啊。。。有网友因为手指头上纹了前男友名字。。。分手后想不开。。。直接把手指头剁了。。。
1701870830# #张艺兴新歌rise舞台救命张艺兴跳初雪了梦回exo！！
1696760743# #杨紫今日份营业运动风元气满满你爱了吗杨紫白色棒球帽好女高
1690614631# #宋祖儿删博宋祖儿因为发了一张“杀青日台风来欢送”被网友骂没脑子随后她删除微博又发了一次你觉得是网友严格了吗
1699446283# #我滴妈UNINE将重组？？？人员暂定夏瀚宇嘉羿姚柏南？？？UNINE重组
1688711846# #易烊千玺王鹤润王鹤润辟谣与易烊千玺恋情
1697074029# #内娱第一妹宝内娱第一妹宝乖的翘jiojio
1691129652# #TFBOYS三人三字王源王俊凯易烊千玺曾经亲笔写的字你最爱谁的笔迹
1702468906# #我去马嘉祺加和张真源家到底谁说的才是真的这个位置到底谁家先来的
1689304082# #奔跑吧今晚播出跑男没有蔡徐坤的脸？？？那还看啥啊
1696041171# #徐娇我只看到被性化的职业女性徐娇评论疯马秀后网友扒出她穿比基尼的照片开始批评称她自己也是这样的人没资格说Angelababy张嘉倪和lisa你觉得是网友严格了吗
1691160097# #羽生结弦宣布结婚好突然羽生结弦突然宣布结婚！！！
1692255226# #丁禹兮在干嘛。。。
1701827632# #张若昀工作人员还是牵一下蒜了张若昀想拉唐艺昕。。。没拉到。。后面的工作人员一时也没想明白张若昀想干嘛。。但是身体比脑子动的快。。冲上来紧紧握住了张若昀的手。。。
1688225459# #香港顶流姜涛塌房港媒报道他与发型师相恋情到浓时更是偷吻爱人曝姜涛恋情
1698929276# #我滴妈石头已经变成巨石了浑身冒着热汗男人味好足啊你爱了吗
1688618613# #韩媒透露：秋瓷炫于晓光回归韩综《同床异梦2》秋瓷炫于晓光回归韩综
1692346917# #鞠婧祎晕车我滴妈鞠婧祎晕车这么大的事怎么才上热搜啊！！！
1697117643# #陈牧驰被线下anti网友喊话陈牧驰：陈海亮陈冰新婚快乐百年好合别蹭着于适麦麸了。。。陈牧驰被线下喊话新婚快乐
1688124951# #白敬亭宋轶是不是忘记官宣了白敬亭宋轶全程都是搂着的……真情侣在这种推推搡搡的场合也装不下去了
1693359271# #新一季浪姐网传最终阵容名单我滴妈居然有李小璐iu斯嘉丽花泽香菜等你期待了吗乘风2024拟邀阵容名单
1703928859# #下雪场尴尬张万森局部暴雪了我去一闪一闪亮星星给影迷造雪了你有没有被浪漫到
1699405372# #王源立冬生日照王俊凯易烊千玺卡点为王源送生日祝福了哥哥弟弟关系真的很好你羡慕了吗王俊凯易烊千玺卡点为王源庆23岁生日
1687321713# #炎亚纶现身邱耀乐记者会救命炎亚纶居然出现在了邱耀乐记者会真的好猛还现场道歉不会最后下了记者会两人复合吧哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1703496303# #王俊凯王源江苏跨年王源王俊凯江苏跨年视频截图哥哥弟弟看起来真的很和谐你期待谁的表现
1701768585# #我去我去于适手机发布会居然骑马入场好有型于适骑白马入场
1690184344# #灵超怼粉发言引起网友热议网友称他有点装。。。。他说：这几年我的成长速度实在太快了，那些落伍的人早已不懂得我现在真正所想和追求所至...所以，这些活在旧时代的残党们，活在自己臆想中的丧尸们，我对她们最后一句祝福就是愿她们面对这汹涌而来且不可阻挡的新时代浪潮时，整个人被淹没的时候能死的
1691045950# #受不了了。。。
1702456159# #中国地质大学你也是黄铉辰的忠实粉丝吗
1695644678# #田柾国韩素希疑似恋情被扒大粉透露两人都打了唇钉暧昧气氛火热海外粉丝已经纷纷在恭喜了你会祝福他们吗韩素希颧骨钉
1699799930# #我滴妈邓为微博点赞直破千万这算真正的顶流了吧
1699711377# #张艺兴演唱会张艺兴说去国外见了吴世勋张艺兴是不是真的很重兄弟情他称自己这次去国外见了吴世勋世勋也长大了。。也有网友喊话让艺兴去见见鹿晗黄子韬再续兄弟情你怎么看
1688043155# #刘宇和徐梦洁一模一样高诶好美的画面
1700914432# #在谈vs分了白敬亭宋轶一起走红毯在谈了&amp;分手了&amp;营业了
1694437521# #李佳琦哭着道歉“你们有没有想过，如果没有李佳琦，以前那些大牌美妆哪里有买一送一，甚至更多的机制”
1693746595# #敖子逸和蒋依依被网友评为最假cp你觉得你有磕到这两个人吗
1701601796# #权志龙将于12月发布新歌网友称他是不是特地等防弹少年团金泰亨入伍了才敢发这也被韩网友视为Jennie前男友和现男友的顶级对决你怎么看
1699017028# #以爱为营开播好歹毒的转场
1698399360# #主页访客看不到了？？？这算不算好消息
1696411562# #BALLY发布了时装秀图集王源排在第一顺位外加封面什么水平
1696496186# #这是Jennie？？？都不敢认了？？？大粉透露Jennie变胖是因为田柾国老是请她吃饭感谢她平时一直照顾他同时也阐述了自己对她的情意大粉称田柾国曾说道：Jennie嫂嫂我不是脆弱我就是看你跟我泰亨哥在一块儿我这里痛我这里难受
1694953830# #网友偶遇在医院拍照的刘亦菲这生图状态什么水平刘亦菲玫瑰故事带娃路透
1692099082# #青你2杜紫怡曝tangoz性骚扰青2选手杜紫怡实名制爆料TangzoZ性骚扰。。。。。TangoZ曾发言：作为男生当我们再劝女孩子该保护好自己之前是不是应该先挺身而出挡在她们前面把那些脏手踩在脚下
1689598815# #Rose现在怎么这样了。。。这样真的好看吗。。。
1701602026# #不知道的还以为李马克是aespa教练呢一边疯狂鼓掌一边点头说：干得好老妹儿们就差没有递水递毛巾了
1696688803# #蔡徐坤这唱法还挺新颖高级的进来听3秒保证你毕生难忘
1698072159# #“我儿子这个班级家长群真的太乱了。。。我好心累”
1688203913# #蔡徐坤“看到了呢”
1695482848# #Seventeen对使用长城做背景道歉了看来还是想要内娱市场的你原谅他了吗SEVENTEEN删除长城预告
1703683668# #《哑舍》为双男主师徒为主线还有七个单元砍掉医生角色
1701933061# #跳的这么痛苦的直拍还是第一次见。。。
1699019755# #我去原来陈牧驰今天穿的也是高定。。YuimaNakazato2023秋冬高定系列首穿好牛
1691141529# #“怎么让向佐演张灵玉啊”这真的不是向佐吗
1698835274# #韩网热议：lisa因为疯🐴秀微博陨了🇨🇳活动受阻。。-lisa在韩国没影响因为她在韩国没有人气。-管她脱不脱快点把kpop的k去掉丢人。-虽然他们很过分但这也是自作自受吧。-我爱中国
1700127319# #来看刘雨昕于适同框被谁亮眼到于适半扎丸子头
1689168243# #安乐传空降了安乐传里的天下第一美男子和天下第二美男子。。。
1695822503# #白鹿喻言巴黎时装周表现算不算为内娱争光了
1703490511# #罗一舟今日素颜出席活动来看状态
1689905601# #夏阳钟嘉诚如何看待夏阳钟嘉诚这种发言。。。
1699617161# #我去好美的ending宁艺卓一撅嘴全世界的小柠檬都吻了上来苦涩苦涩
1698500260# #王源今日直播状态打几分
1687078938# #网友称实在没想到现在程潇混的还没宋雨琦好。。你觉得现在程潇的人气为什么这么低迷了
1696943429# #我滴妈有人在田曦薇生日寄信活动时给她寄了丧葬物品。。。
1689689464# #网友发现amber疑似把应援的礼物全扔了。。。有粉丝看到自己东西被扔后直接心碎脱粉了。。。但也有人解释这是amber拿不起了扔了也正常。。你怎么看待这种行为被Amber回应恶评方式酷到
1695172275# #赵露思与路人合影明星和素人确实有壁露思美得太突出了赵露思素颜合照
1688374880# #蔡徐坤照片不是我ikun：从今天起我就是配偶出轨后会随时查岗的女的，这是你欠我的，互相折磨一辈子吧，老公！
1691318096# #我滴天王源王俊凯易烊千玺搂在一起合照感情太好了TFBOYS十年之约演唱会
1690180702# #TFBOYS抢票谁抢到了大家是在抢这个吗馋嘴馋嘴馋嘴
1688133032# #网友问杨洋敢不敢有网友问杨洋你敢不敢
1696558016# #香奈儿真的好爱王一博啊我宣布现在的人间香奈儿不是Jennie而是王一博了
1696256372# #疯马秀ins又发了张嘉倪。。。
1690812347# #这哪是p图啊这感觉都直接变性了。。。
1696601708# #大粉透露lisa曾对三公子这样说过：你好特别，你和我认识的男生都不一样，你给我一种疏离感，很孤独的感觉，若即若离，我听过很多人说自己孤独，但我觉得你的孤独才是真正的孤独。感觉你的内心深处一直都只有你一个人，你一直在伪装自己。你想要一点刺激，一点危险，一点捉摸不透，甚至是一点折磨，如果
1687167008# #大S工作室回应吸毒指控大小s联合声明否认吸毒更是共同“劝告”黄子佼：孩子还小老婆也很年轻人生有盼望请以家庭为重哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1687496350# #你觉得《梦中的那片海》对肖战的加成大吗
1700053412# #TFBOYS待映新片都是科幻片王俊凯的《749局》王源的《我看见两朵一样的云》易烊千玺的《狂野时代》你最看好谁的表现
1700732212# #于适vogue图来了墨镜一戴霸总气质尽显无疑于适背头耳钉
1697939491# #转账秒收信息轮回我滴妈网友做了一张关于吴楚一给陈牧驰转账的表基本上都是秒收的。。。
1703501428# #我去我没看错吧？？？张艺兴将担任C罗中国行表演嘉宾？？？这也太牛了张艺兴将担任c罗中国行表演嘉宾
1690126487# #莲花楼特效成毅杨洋老师梦幻联动
1703336816# #不是我到现在都搞不懂为什么王鹤棣家和迪丽热巴家为啥吵起来有谁知道
1703862421# #网友提出疑问：王俊凯易烊千玺都在拍电影，为什么易烊千玺粉丝的氪金能力比王俊凯粉丝高很多？
1703506208# #古装剧《五福临门》。。男主董思成董思成于正剧
1699600904# #韩国警方还是不相信权志龙称他经常剃毛脱毛这次准备拿他的手指甲做检测权志龙除头发外全身脱毛
1699508492# #王源EP《叮叮猫儿》目前三首歌已包揽飙升榜前三名这实力算不算一骑绝尘
1692705838# #刘耀文因为自己新歌写的词或许成熟露骨被网友吐槽疑似有情况你怎么看待这些歌词
1695386746# #黄景瑜这胸肌打几分哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1702302860# #大粉透露套人虽然都是铁直，但是搞不好互爆过菊花或者互助过，金泰亨田柾国这两人都脱了衣服，但以田柾国的个性应该不会穿内裤
1699015953# #ELLE内场ELLE女明星怼脸生图来了谁赢了
1696382146# #杨紫巴黎铁塔下热舞让全世界都看到了我们内娱好有面子啊杨紫美拉德大衣
1692084969# #张艺兴是国家话剧院演员张艺兴进驻国家话剧院演员引起网友热议网友称他没资格进什么时候张艺兴风评这么差了。。。
1687842728# #严浩翔《夜宴》表演vs吴彦祖原版《夜宴》演技对比是不是有种超越原版的感觉
1698813677# #Lisa个人微博号和大吧微博号已经没了
1696038691# #Angelababy张嘉倪Lisa关于女明星去看疯马秀引起网友热议你觉得他们可以去看吗
1689430955# #真的很抽象熊猫饲养员也能睡粉？？？真的假的？？？哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕发箍奶爸
1696555615# #TF三代也chasmoke了（朱志鑫/苏新皓/张峻豪/余宇涵）。。大粉透露田柾国本人也看了这场cover他曾评价：有一种刚学会所以不敢耍帅就老老实实跳不显油腻属实是瞎猫碰上个死老鼠了
1692862433# #孙一宁去韩国化妆室找爱豆化妆师化妆了太美了这要是在韩出道随随便便四五代颜一
1696933956# #seventeenSeventeenTMA红毯图来了这颜值放在内娱是不是可以随便秒杀了
1688641768# #网友称林娜琏现在穿裙子怎么跟着Jennie学习起来了啊都喜欢半只屁股露外面十分不理解你怎么看
1693916489# #青岛地铁回应大爷与大妈争吵被小伙掌掴任何时间，任何地点，地铁判官，直接审判！
1688299833# #任敏红衣造型任敏在《玉骨遥》里一袭红衣高马尾，你觉得任敏红衣造型表现力如何？任敏古装造型
1696571782# #你永远不知道网线那头是几岁朋友和你battle
1689496524# #张艺兴我有一个特大的爆炸消息马上发布张艺兴新戏动图来了期待哥哥的演技了吗
1687761071# #C先生不要太勇蔡徐坤曾透露自己恋爱是零经验，还公开表示自己的理想型是阳光的、爱笑的、有自己追求的哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1699413276# #许允真沈小婷MINNIEMonikaBada将在MAMA上带来合作舞台合作舞台主题为"重新诠释女神"
1697891411# #我还以为是李知勋泥塑。。。
1687584539# #权恩妃这么大的事你怎么才说
1696064018# #杨幂在法国穿旗袍过中秋网友把Angelababy和杨幂进行了对比一个去看了疯马秀一个在埃菲尔铁塔下穿着旗袍提灯笼过中秋是不是高下立判了
1703429357# #邓为风格变了诶帅到我失语苦涩苦涩苦涩邓为卷毛
