1688844731# #挨打的是乌军第23机械化旅
1695431855# #转发微博
1700113475# #转发微博
1688968832# #俄乌局势新进展俄罗斯。巴赫穆特南翼。它们甚至都还没有机会进入轻武器射击距离。数十名乌军试图进攻LNR第2军团第14国土防御营（配属第4摩步旅）阵地，惨遭打击后败退
1689834658# #赞
1688151922# #俄罗斯俄乌局势新进展。接上帖，一辆被俄军FPV攻顶打穿的乌军美制布莱德利步战
1697628666# #巴以冲突。以色列陆军发言人：。。“如果我们攻击（医院）的话，就会出现一个弹坑，但是那儿却没有弹坑！”。。求教：JDAM弹药如何在击中建筑物的同时在周边地面形成弹坑？
1698714459# #巴以冲突。以色列死亡人数上升至1,538人。。。据以色列电视台报道，自10月7日阿克萨风暴行动开始至今，至少有1538名以色列人被杀。。。以色列军方发言人表示，以色列军队人员死亡人数已达311人。被绑架的以色列人人数为239人。
1689993590# #允悲允悲
1694140390# #俄乌局势新进展。俄军打击了乌军部队驻扎的乌迪村（哈尔科夫地区）的行政大楼。造成乌军约40人伤亡。
1697225202# #俄乌局势新进展。美籍华人？看长相有点棒样。在特别军事行动区，俄罗斯军队击毙了另一名美国雇佣兵德里克·蒂恩·陈。这位前美国陆军士兵在所谓的国际军团中为乌克兰作战。
1690103173# #打击“共同敌人”爱你
1697467644# #巴以冲突。“你们的首相派了两艘船来支持以色列，是时候离开这里了，你这个废物，”一名阿曼居民怒斥在杜库姆一家餐厅吃饭的英国军官，
1700977480# #2块钱一杯。。。。
1689847551# #没事，有野鸡壮胆就行
1700196453# #不造谣你会死是吧？大量的图片和视频都能证实，哈马斯统治下的加沙，相当世俗，妇女包括女童并未被强制包裹！大部份仅根据习俗戴头巾而已。至于你所谓的可以8岁女童发生关系，纯粹下流胡编！
1701535707# #俄乌局势新进展巴以冲突。。塔利班前副发言人比拉尔·卡里米被任命为阿富汗政府驻北京大使。向中国外交部递交国书后，他的驻华外交工作正式开始。
1695344883# #俄乌局势新进展。扎波罗热前线，乌军第82空突旅蹲坑兵遭到俄军四轴机精确打击
1699846490# #帮转
1697138963# #以色列巴勒斯坦冲突。耶路撒冷，支持巴勒斯坦的哈瑞迪人与以色列军警展开“巷战”嘻嘻
1695499729# #俄乌局势新进展。饱眼福，LNR第4摩步旅炮兵在巴赫穆特南翼的作战画面。。这支九年了一直在战斗的部队，不愧为特别军事行动区最能打的俄军部队之一
1691589910# #转发微博
1696221287# #俄乌局势新进展。来看看乌军在俄哥萨克247空降团防线前的遭遇。地点坐标。47.437068,35.943283
1688549876# #俄乌局势新进展俄罗斯。7月4日14时30分，俄空天军使用FAB-500制导航弹清理滞留在安东诺夫大桥桥头的乌军DRG。。这支DRG由乌克兰第124独立国土防御旅第131独立侦察营派出。。到了4日傍晚，一枚FAB-500制导航弹再次驾临乌军登陆部队前沿指挥所，彻底摧毁了它
1697334557# #以色列将对巴勒斯坦加大攻势俄乌局势新进展。弃儿前兆。《纽约时报》写道，西方有一种感觉，世界对乌克兰的支持已经“达到了极限”。。。记者注意到，基辅担心在中东战争和美欧分歧的背景下西方援助可能会减弱。。。在华盛顿，对乌克兰的融资问题正变得越来越有争议。此外，一个反乌克兰政党在斯洛伐克
1695695471# #俄乌局势新进展。再有一架乌军米格-29在机场被俄军远程打击摧毁
1700014487# #转发微博
1689751710# #俄罗斯俄乌局势新进展。DNR斯拉维扬斯克第1旅FPV无人机清除乌军据点的反坦克导弹发射点以及狙击手阵地。。地点，乌格列达方向
1698562265# #巴以冲突。哈马斯公布摧毁以色列重型步兵战车画面。。视频显示，哈马斯使用“短号”-E反坦克导弹摧毁了一辆以色列“雌虎”重型步兵战车
1697260267# #以色列巴勒斯坦冲突。消息汇总。️美国正在准备外派第26海军陆战队远征军，可能部署在以色列附近-CNN。。这超过2000名海军陆战队员有能力支持大规模疏散并提供人道主义援助。正如电视频道所说，他们目前正在巴丹号登陆舰上。。哈马斯现在从加沙地带发射火箭袭击海法，以色列防空系统正在发射导弹拦截
1695112878# #居然还有37%？衰
1697987000# #转发微博
1696525972# #俄乌局势新进展。梅姐夫：俄罗斯不会落入西方的“谈判”圈套。。梅德韦杰夫表示，西方正试图“推动”有关乌克兰的此类谈判，因为这将有助于削弱俄罗斯并为基辅能够喘气和积累实力。。。“我们不需要这样的谈判。它们只是有害的。尽管事实上俄罗斯从未放弃谈判本身作为一种工具，”
1698716442# #巴以冲突。加沙，一辆救护车被以军摧毁
1702705688# #经常熬夜长时间用眼记得吃叶黄素！
1693180319# #俄乌局势新进展。法国驻尼日尔大使的最后通牒已到期，但法国外交官仍赖在尼日尔未离开。为了回应法国人的傲慢，他们切断了法国驻尼亚美大使馆的电力和供水。。据报道，尼日尔领导人阿卜杜拉赫曼·基亚尼也下令切断了法国大使馆的粮食供应。。。PS：近日，西非经共体政治专员在半岛电视台表示：“我们没有
1689399919# #俄乌局势新进展俄罗斯。美国国务卿安东尼-布林肯在东盟峰会上发表讲话：。"美国已准备好在没有先决条件的情况下与朝鲜展开对话"。偷笑偷笑
1691262605# #俄乌局势新进展。8月5日。乌克兰武装部队再次试图攻击俄军在扎波罗热前线拉博蒂诺附近的阵地。。。这一次，乌军在步兵战车的支援下，以小股的形式发起进攻。一个多小时后，所有的攻击都被击退，乌军两辆装甲车和攻击部队全体就
1688969029# #俄罗斯俄乌局势新进展。美国也急于撇清与亚速纳粹的关系，简中乌友们尴尬不？。美国总统的国家安全助理杰克-沙利文说。。美国与土耳其向乌克兰移交亚速号指挥官没有任何关系。。。"我们没有参与其中。而且我们不能评论埃尔多安试图通过这种方式达到什么目的，"沙利文
1697457995# #作者和此博都请要点碧莲，请有点道德和良心，让自己看上去得像一个人！加沙已经有数千包括大量妇女儿童在内的平民被以色列惨无人道的屠杀了，且屠杀还在继续！加沙上万人欢迎以军入城？以军入城了吗？整篇帖子所说事件全部都是编造的假新闻，收了多少钱才能如此？
1700503646# #那就是基本摒弃了美元，欧元等了，几乎完全本币交易
1698718328# #巴以冲突。伊朗媒体。自10月7日以来，已有3,457名儿童被以色列杀害
1701859883# #俄乌局势新进展。️俄罗斯军队在阿尔乔莫夫斯克侧翼强力推进，从克列谢耶夫卡和博格丹诺夫卡击退乌克兰武装部队。▪️俄罗斯军队并未停止在克列谢耶夫卡和安德烈耶夫卡附近的积极进攻，。▪️乌克兰军事分析人士承认，俄罗斯武装部队已向克列谢耶夫卡防御区（主宰高度215.7）方向推进，深度达500m。
1689844045# #俄乌局势新进展俄罗斯。和平的安德烈，和平的厨师，和平地握着机枪。和平地为他永远见不到的西方金币而战。就像乌克兰控诉的俄军罪行---那些被俄军谋杀的巴赫穆特那些长着毛球的女孩一样。。但乌克兰官方再次证实他是厨师
1691035345# #俄乌局势新进展。道格拉斯·麦格雷戈上校：。让你们这些傻瓜和平相处——。。华沙领导了北约的反俄十字军，华盛顿对此表示热烈赞同。。麦格雷戈上校认为，美国让波兰相信俄罗斯的军事弱点，并进一步激励它，以至于准备与莫斯科直接对抗。。但如果美国纵容波兰人对与俄罗斯开战的渴望，波兰就会重蹈乌克兰的
1701688988# #转，周知
1688899729# #理由大概是不当所得。根据现在披露的案情，想不到还有其他，特别是一家十几口几乎抓了个干净
1693740965# #俄乌局势新进展。🤡乌军士兵抱怨北约教官效率低下。。乌克兰士兵抱怨所有北约军事人员缺乏必要的战斗经验，包括负责通报情况的北约军官。《基辅独立报》对此进行了报道。。“从下级到指挥官，他们也缺乏战斗经验。指导乌克兰武装部队的北约军官并不了解当地的真实情况，”该媒体援引乌克兰士兵的话
1688113193# #这人大概是在六合高中周边搞房产中介的吧。不过，“刑拘”的理由根据是啥呢？
1688551385# #放心吧，以鬼子那奸猾传统，它们能够找到“制裁”“被制裁”中的缝来搞妥协
1687092039# #不是，无论是M16还是M4，何德何能比AK74，AK12强啊？
1696158058# #ubras一件才50多，明天就没了。。。。快看看！！！
1692599095# #赞
1697277164# #俄乌局势新进展。藏在林带中的乌军人员装备遭到俄军“轻剑”反坦克炮暴打画面，。BGM魔性
1694337481# #满旗挂上。准备敲锣打鼓普天同庆
1698662136# #巴以冲突。在纽约时报。开始讨论将中东五国划分为14个新实体的“可能性”。。叙利亚，利比亚等都在瓜分计划中
1697387486# #俄乌局势新进展巴以冲突。俄军第1军团第114摩步旅反坦克导弹攻击乌军阵地。。阿夫迪夫卡焦化厂附近“垃圾山”（该制高点目前已在俄军控制中）
1695256651# #俄乌局势新进展。俄中央军区新机械化部队在训练场。照片展示了全新的T-90MProryv和现代化的T-80BVM，刚从工厂出厂。
1695171478# #俄乌局势新进展。事实证明，弗拉基米尔·普京自1999年以来一直与北约交战。。事实上1999年普京仅仅只是俄联邦副总理，总理doge，美国人历史知识一向贫乏
1697747226# #巴以冲突。以色列袭击了黎巴嫩城市布利达南郊。看上去使用了某种巡飞弹药
1691545943# #俄乌局势新进展。上周俄罗斯空天军对扎波罗热地区奥列霍夫的空袭结果目前开始在乌克兰社交网络上浮出水面。。7月30日，第47旅军事行动计划指挥部中尉亚历山大·索科连科和作战管理部少校弗拉基米尔·维亚利克被杀。正如您所看到的，同一天的死亡日期表明俄罗斯空对地导弹击中了乌军指挥所。。。8月3日，乌
1696217639# #俄乌局势新进展。️爱沙尼亚雇佣兵塔内尔·克里古尔（呼号“Stinger”），隶属于乌克兰国防部情报总局“乌克兰外籍军团”。近日，在红利曼地区被俄军击毙
1691035215# #俄乌局势新进展。️库皮扬斯克方向的战斗：摧毁乌军自行火炮和坦克。画面一，俄西部军区的炮兵反炮兵作战，击毁乌方自行火炮2门。。西部军区第六集团军部队在库皮扬斯克附近用反坦克导弹摧毁了一辆乌方坦克。
1701688451# #转发微博
1702699320# #巴以冲突。哈马斯武装卡桑旅新片。在街头巷尾，城市废墟中，到处是喷向以色列人的火焰。地道中躺着被击毙的以军。
1697262390# #以色列巴勒斯坦冲突。俄罗斯总统弗拉基米尔·普京表示，对加沙地带进行类似列宁格勒的封锁是不可接受的。
1698447114# #巴以冲突。以色列驻约旦大使馆被大量约旦群众包围
1687606204# #瓦格纳俄罗斯俄乌局势新进展。瓦格纳攻击一架俄军卡-52直升机，但机载“维捷布斯克”防御系统发挥作用，导弹擦机而过
1698151122# #一年一度超全会员合集来啦，错过等好久！！
1690950523# #俄罗斯俄乌局势新进展。第二战场。截至2023年8月1日，尼日尔变天后，其邻国的反应。。西非国家经济共同体（地图上的紫色）正在威胁尼日尔，它们可能进行军事干预，而马里和布基纳法索则表示将捍卫尼日尔新政府。。几内亚共和国已宣布不同意制裁措施。塞内加尔也出现了强烈的反法情绪。
1692406534# #俄乌局势新进展。8月9日库尔德工人党在伊拉克北部袭击土耳其哨位。一男一女组成的攻击小组，不停的扔手雷，最终战果也没个介绍
1702526210# #是该对短视频平台大扫除了。但不仅仅只针对制作和发布者，对平台的处罚也应该更为严厉才对
1703013349# #巴以冲突。快讯！。美国战斗机已经在亚丁湾起飞。。CVN69号航空母舰舰长德怀特·D·艾森豪威尔在接近也门水域边界时发布了F/A-18E/F起飞的镜头。。这次飞行很可能是一次侦察飞行。然而，胡塞武装已准备好回应美国对也门组织的侵略：多年来，一直渴望着与美国和以色列面对面的战斗！
1687143688# #妈的智障！
1686963084# #俄乌局势新进展。乌军开始第三波进攻：扎波罗热前线激战仍在继续。▪️从早上开始，瓦西里耶夫斯基地区发生了一场战斗，敌人派出了更多的部队加入战斗，并正在猛攻皮亚蒂哈特基。。▪️在坦克和步兵战车的支援下，乌克兰武装部队的步兵尽管损失惨重，还是不顾伤亡一波一波地进入了村庄外围。。▪️皮亚
1691999924# #还呆在应急车道上干什么？还不撤离？
1694743588# #俄乌局势新进展。遭遇乌军导弹袭击的“明斯克”号大型登陆舰受损情况。。看起来并不严重，仅舰岛上层建筑损毁严重，较容易修复
1699170473# #俄乌局势新进展巴以冲突。俄军突击队攻占扎波罗热前线一处乌军阵地。。现场抓俘虏
1692158770# #俄乌局势新进展。阅兵是毒菜国家专利，民主国家才不会搞穷兵黩武劳民伤财的阅兵活动哈。
1687744381# #俄罗斯俄乌局势新进展。马卡罗夫卡附近，。乌军装甲遭到卡-52精确点杀，33秒视频中4辆乌军装甲被卡-52的旋风反坦克导弹击中。。与上两视频帖场景均为同一天同一地点的战斗。。可以肯定，25日乌军在马卡罗夫卡遭到了惨重损失
1688439840# #俄罗斯俄乌局势新进展。️"如果你不能纠正这种情况，请滚蛋，我们将在48小时内完成平息骚乱！"。。过去一周，叛逆的、超级受欢迎的法国将军皮埃尔-德-维利尔斯向马克龙发出了呼吁。。请注意，连日来在推特上，不仅仅是法国的阴谋论者在大肆渲染这位将军可能领导军警哗变。2017年，他在与伊曼纽尔-马
1700282053# #点赞👍
1697747025# #巴以冲突。在伊拉克真主党武装宣布援助加沙及进入约旦后，以色列紧急调遣部队部署约旦边境地区，防止该方向潜在的突破威胁
1701126997# #去年开始俄国国内就有大量的声音要求取缔“西方驻俄堡垒”叶利钦中心，甚至还提案到杜马。但圣彼得堡帮派势力强大，最终不了了之。
1690629584# #俄罗斯俄乌局势新进展。阿夫迪夫卡方向。️俄军无人机操作人员发现了一辆伪装的乌方坦克后，放出无人机击中这辆坦克并使其受损，但这坦克仍然还能移动。。乌坦克离开伪装阵地，但再次遭到无人机袭击。。这次打击后，乌坦克认为他已经摆脱了俄军火力，并开进了掩体中，结果顿涅茨克第一军团第132旅炮兵
1697350255# #俄乌局势新进展巴以冲突。。美国杂志《国家利益》：。乌克兰的成功本应帮助美国总统乔·拜登忘记2021年从阿富汗羞辱性地撤军的事情。然而，乌克兰武装部队的反攻失败了。。。“拜登和他的助手们希望乌克兰的成功能够消除2021年从阿富汗撤军的可耻行为。然而，众所周知，乌克兰春夏反攻失败了，”。。
1691956840# #芬腾这个真的好穿！！！！
1687135706# #转发微博
1688812765# #北翼
1692826830# #普里戈津坠机身亡俄媒称普里戈任的私人飞机坠毁。一，40%以上的乌克兰人赞成在俄罗斯增加导弹袭击的情况下停止敌对行动。。乌克兰民主倡议基金会和拉祖姆科夫中心的调查数据。二，波兰将军斯克日普扎克将军：由于持续的军事冲突和结束冲突的前景不明，乌克兰面临着"缓慢的痛苦"--。。。波兰将军瓦尔德
1692668258# #俄乌局势新进展。一辆乌军坦克受损后掉入FAB-500的巨大弹坑内，另一辆乌军坦克试图将其拖出来。结果“奥斯曼”特种部队的柳叶刀拍马赶到，把救援坦克也捅趴窝了
1693029244# #俄乌局势新进展。俄罗斯联邦央行《金融市场风险概览》显示，7月人民币在俄罗斯外汇市场的份额从6月的39.8%升至创纪录的44%。。。“外汇市场的结构继续发生变化，友好国家货币的份额不断增加。人民币在外汇市场的份额从6月份的39.8%上升到7月份的44.0%，创俄罗斯市场新高。。。与此同时，“有毒”货币在
1695979569# #俄乌局势新进展。当满世界都知道瓦格纳部队返回前线后……。大英情报部门公布情报：。证实瓦格纳部队返回特别军事行动区二哈。。根据军情六处的最新报告，前瓦格纳人员作为俄罗斯国防部或“其他私人军事委员会”的一部分返回巴赫穆特地区的前线。。。西方媒体也报道了“音乐家”返回特别军事行动区的消息
1693670615# #这个要留个记号
1690948531# #转发微博
1693900295# #俄乌局势新进展。抹黑？阴险嘻嘻。小心！在你们眼前的是乌克兰新任国防部长。（个人不能确认是否他本人）。鲁斯泰姆·乌梅罗夫，刚刚就任的乌克兰国防部长，。外网出现了多个关于他不堪入目的小视频。在其中一个视频中他与一根黄瓜发生性关系，在其他视频中他做了更糟糕的事情。他还向男友发送裸照。。
1688488751# #俄罗斯俄乌局势新进展。丹尼洛夫所谓“乌军停止进攻，转入防御消耗战”，大概率是为了掩饰乌军第二次大规模进攻计划而施放的烟幕弹。
1690677155# #俄罗斯俄乌局势新进展。关于弗列梅夫斯基突出部现场情况的澄清。目前，58集的部队继续成功地将敌人挤出了斯塔罗马约斯基。敌军人力损失惨重，至少4名武装分子被俘。根据前线账号透露的信息获悉，俄第247空降团已撤回，恢复战备。坦克第218团和第114团的StormZ分队参加了突击行动。
1691546288# #俄乌局势新进展。乌克兰人不是纳粹，它只是展示了它们的“和平鸽”
1697350054# #俄乌局势新进展。“这就是真正的世界级领袖”。俄社媒某频道刚刚发布就获得了高赞的帖子
1690185336# #俄罗斯俄乌局势新进展。乌军自拍视频，显示在红利曼方向一辆英国AS90自榴炮被俄军摧毁，视频16秒处。这是已被视频和照片确认被锤的第二辆AS-90。
1701507909# #俄乌局势新进展。赫尔松右岸地区的地下组织在右岸各处张贴的通缉令。。对四名乌克兰武装部队军官发布通缉令，这四名乌军军官于11月30日在切尔诺巴耶夫卡抢劫并谋杀了两名平民。
1694421308# #俄乌局势新进展。泽伦斯基怀疑西方对基辅支持的诚意。。。“当我在他们的眼中读到、听到和看到（当他们说）：‘我们将永远和你在一起’时，我有这种感觉……但我看到他或她不在这里，不和我们在一起，”泽连斯基在接受英国《经济学人》杂志采访时说道。。。他表示，“如果合作伙伴不帮助（乌克兰），那么
1694420803# #俄乌局势新进展。没记错的话，这已是本月第6门被柳叶刀捅了的美制M777榴弹炮。俄军第聂伯集群部队的侦察和打击综合体使用X-51“柳叶刀”徘徊弹药击中了隐藏在赫尔松右岸地区莫洛杰日诺埃村附近绿地中的一门155毫米M-777榴弹炮。
1694320801# #俄乌局势新进展。俄军炮兵对在克列谢耶夫卡附近游荡的乌军和装备实施打击
1698633057# #俄乌局势新进展。绍师傅又来了，事前竟然没有消息透露
1702308237# #俄乌局势新进展。纳瓦尔尼在服刑的某处监狱失踪？。。据纳瓦尔尼的同伙和外国特工报告，在弗拉基米尔地区第六号特别监管监狱，纳瓦尔尼的律师被告知他“不再被列入”监狱名单。。纳瓦尔尼在哪里？已经是第六天没相关消息了。
1692106763# #俄罗斯。8月15日，莫斯科，2023国际安全会议。俄罗斯国防部长与我国国防部长李尚福举行会晤。。俄罗斯国防部部长谢尔盖·绍伊古在与中国国防部长李尚福会面时表示，他“对这一次会唔感到高兴，这已经是今年的第三次会议了”。。。绍伊古说：“我个人谨向你们祝贺中国人民解放军建军96周年。”。。中国国防部
1700115625# #转发微博
1692107902# #俄罗斯俄乌局势新进展。这个就比较惨了，俩乌军蹲坑兵被FPV直接命中。防弹衣的插板也被崩了老高。。最后视频中还给出了保命投降的联络频道
1698300323# #俄乌局势新进展巴以冲突。早餐待遇很高啊。集狙，三名狙击手齐射。。俄资源说是GRU今天早上“向祖国问好”的狙击行动。。打倒两个，跑一个。其中一个身上至少三窟窿
1687085158# #俄乌局势新进展。-泰晤士报。英国考虑用“中性”词取代旧的军队等级，如炮手和卫兵，因为它们“太男性化”。。。泰晤士报写道，这是为了让“军队更具包容性”。。别考虑了，对大家来说，你英国佬一直都是基佬，说话腔调就很娘炮。。
1702307231# #俄乌局势新进展。俄军在马林卡、阿尔乔莫夫斯克和克列诺克地区的发展。。西方信息资源
1690365758# #俄罗斯俄乌局势新进展。今天俄军在拉博蒂诺捉到的新鲜俘虏
1691496009# #俄乌局势新进展。小泽利亚对巴西总统卢拉偏袒俄罗斯表示不满。。泽连斯基在接受拉美媒体采访时批评了巴西总统卢拉·达席尔瓦。。。这次，乌克兰总统不喜欢不仅向乌克兰而且向俄罗斯联邦提供安全保障的想法。。。“卢拉的言论根本不会带来和平。谈论俄罗斯的安全很奇怪。只有俄罗斯、普京和卢拉谈论俄罗斯的
1694486097# #俄乌局势新进展。俄第2军团第123旅攻击无人机在塞维尔斯克方向的战斗画面。。杀伤颇多
1697084917# #以色列巴勒斯坦冲突。“以色列空军成功击中并摧毁了哈马斯总部”！！
1693239683# #鬼子到底还有啥没坦白的？
1697075752# #俄乌局势新进展。坦克被爆，皮卡失控翻车，不走运的诺沃米海洛夫卡地区乌克兰守军
1695776901# #俄乌局势新进展。26日，克列谢耶夫卡附近的战斗：乌军试图前进，但最终被击退。。巴赫穆特南翼的战斗仍在继续。据著名战地记者科茨的报道，乌军突击队在凌晨越过前线沿线的铁路线，但在持续一整天的战斗中被击毁。。乌军每天都在克列谢耶夫卡附近进行突击行动，同时在近距离枪战和俄军火力中损失惨重。。
1687458189# #俄乌局势新进展。欧洲议会议员米克·华莱士：。我们在这里谈论了很多关于外国干涉的问题。但你知道吗？为什么我们从不谈论美帝国对欧盟的真正影响？他们对我们的媒体投入了大量资金。他们对我们的大学投入巨资。他们试图影响大学的课程。当美国人购买我们的媒体并干预我们的教育体系时，我们怎么能说我
1695367180# #俄乌局势新进展。我只负责抱美腿和投降，在卡拉巴赫的亚美尼亚人怎么逃出去关我鸟事？。（阿塞拜疆人对待亚美尼亚俘虏和平民的手段众所周知了吧？）。帕西尼扬：。亚美尼亚人逃离卡拉巴赫并不是埃里温的主要计划。看来，这位亚美尼亚总理决定将这一任务委托给俄罗斯联邦；他不打算撤离其公民。
1701512923# #俄乌局势新进展。当柳叶刀成群结对扑向赫尔松左岸乌军登陆部队时，近一个月来已经或正在以及准备上左岸的乌军最终命运也就明朗化了。。有些盆友跟着乌鱿夸大赫尔松局势时，有没有想到过这几百号上岸乌军在俄军第聂伯集群完备的火力体系下，能够存活几天？赫尔松俄控区州长萨尔多曾羞愧的说，对不起大
1696333984# #俄乌局势新进展。战场启示录。用乌克兰人的例子来分析一下单兵医疗物品携带位置错误与教训。。。在这部视频中，俄军无人机投掷的炸弹造成了一名乌军士兵大腿受伤。。。由于其携带的单兵自助医疗用品放置位置不正确，导致这名伤兵无法提供自助医疗急救。伴随着肾上腺素的激增，这名士兵勉强跑了几米后由于
1695633390# #俄乌局势新进展。又来？。北约欧洲发展委员会主席京特·费林格呼吁北约立即打击塞尔维亚。。。“塞尔维亚对科索沃的战争在班斯克开始。&lt;...&gt;我呼吁北约立即准备对塞尔维亚进行干预。现在就轰炸贝尔格莱德！。。所以，谁才是真正的帝国主义？谁才是真正的侵略惯犯？
1689062209# #俄乌局势新进展俄罗斯。美国国务院发言人两次失言：。-我们认为这场战争对乌克兰来说是战略失败....。。记者-你的意思不是"俄罗斯的战略失败"吗？。-对不起，对不起--乌克兰的战略失败！感谢您的更正！
1697275887# #以色列将对巴勒斯坦加大攻势。听从以色列方面要求撤离加沙北部的巴勒斯坦难民车队被以色列屠杀的惨烈现场。18+
1697525474# #俄乌局势新进展巴以冲突。人情冷暖，世态炎凉，向谁说？
1696919347# #俄乌局势新进展。快讯，俄军前线报告。今天，️顿涅茨克地平线硝烟弥漫：从凌晨5点起，数千枚榴弹炮炮弹、多管火箭炮炮弹和航空炸弹打击了阿夫迪夫卡地区的乌军军阵地。地平线被浓烟笼罩，乌军阵地和物体正在燃烧。。俄罗斯军队正在顿涅茨克人民共和国首都附近进行战斗行动。。天空中有侦察无人机和军
1687854066# #俄罗斯普里戈任称瓦格纳7月1日不复存在。乌纳友们来洗一把？
1696272865# #俄乌局势新进展。️阿尔乔莫夫斯克（巴赫穆特）侧翼战斗：第123旅歼灭别列斯托沃耶地区之敌。南方集团军第123旅的炮兵摧毁了乌克兰武装部队的火力点、阵地和武装分子。
1695203005# #俄乌局势新进展。俄空天军一架苏-34战斗轰炸机在沃罗涅日州坠毁。。机组人员已成功弹射，没有生命危险
1695113016# #俄乌局势新进展。给俄军导弹点赞，。给乌克兰摄影师加鸡腿。。今天遭到俄军打击的利沃夫地区一座军用仓库。
1701201024# #俄乌局势新进展。11月28日，阿夫迪夫卡战役：俄军占领了整个SNT“维诺格拉德尼基”南翼。。向阿夫迪夫卡推进了460米。。这个作战区域由顿涅茨克“国际旅”旅、BARS-14志愿营和第8近卫集团军第1军团第10坦克团的部队控制。。。奥斯塔什科！重要-订阅
1703566562# #转发微博
1688550329# #俄乌局势新进展俄罗斯。小公举："你怎么敢用你的反击毁掉臭氧层！"？
1699169598# #巴以冲突。不仅仅加沙。4日晚，一辆以军装甲车在约旦河西岸被巴勒斯坦武装埋设的IED炸毁
1694064916# #转发微博
1697811228# #俄乌局势新进展巴以冲突。今天凌晨，。俄军伊斯坎德尔劈了康斯坦丁诺夫卡市13号学校大楼内。。坐标：48.5110016、37.6787677。第24机械化步兵旅（驻利沃夫州亚沃罗夫）部队人员驻扎在里。24旅是目前阿尔乔莫夫斯克（巴赫穆特）地区的乌军主力旅。
1690680126# #俄罗斯俄乌局势新进展。俄乌双视角：假战壕坑杀乌军突击队。乌方视角由俄军缴获的乌军手机中提取。这场战斗发生在上个月的P村附近。俄第19摩步师的俄罗斯士兵将敌人诱入陷阱——他们描绘了从战壕撤退的情景，并在撤退前布满了反步兵地雷。
1691344760# #俄乌局势新进展。欧洲清流。匈牙利总统列举了西方价值观的三大支柱。。“如果有人像我一样参与欧洲政治，那么今天的‘西方价值观’意味着三件事：移民、LGBTQ群体和战争，”维克托·欧尔班(ViktorOrban)分享道。。。匈牙利故意不组织LGBT游行，不向乌克兰提供军事援助，并奉行严格的移民政策。👍
1698154662# #爱你
1697046688# #俄乌局势新进展以色列巴勒斯坦冲突。在卢甘斯克方向，乌克兰武装部队第7独立步兵营营长德米特里·季罗夫中校被俄军击毙。
1699252061# #俄乌局势新进展巴以冲突。在美国媒体用新核弹威胁俄罗斯，计算莫斯科，圣彼得堡遭核打击后死亡人数后。俄国人默默的制作了一个视频并上传社媒。。模拟被“布拉瓦”潜射导弹打击的美国城市（旧金山？）
1692183003# #俄乌局势新进展。乌军视角：瘫痪在路边的豹子。。P村附近，6月份被炸瘫的那几辆，到现在都没有被拖走
1695501697# #俄乌局势新进展。不到一个小时前，一架身份不明的伊尔76在马里共和国加奥地区坠毁。。。有消息说，这架飞机属于瓦格纳PMC。目前还没有详细信息，等待失事飞机的更详细信息
1693357911# #俄乌局势新进展。乌克兰特种作战部队队长德米特里·斯托罗祖克已被俄军击毙。。他在第8独立特种团（赫梅利尼茨基军事部队A0553）服役。
1695792882# #这也是牛逼了……
1694747998# #俄乌局势新进展。拖鞋军硬生生的打败了西方全力武装下的海湾联军。。。沙特阿拉伯已正式邀请胡塞武装派代表团前往利雅得，通过谈判结束也门自2015年3月以来一直持续的战争。现在存在非正式的休战，但由于伊朗和沙特阿拉伯关系正常化（双方已经互派大使），为更系统地解决也门问题以及最终结束也门战争
1697654041# #巴以冲突。黎巴嫩，当地抗议以色列屠杀加沙平民的群众冲击美国大使馆
1693310553# #俄乌局势新进展。欧洲走上了战争全球化的道路——西雅尔托。。。匈牙利外交部长重申了政府的立场，即乌克兰冲突必须在现阶段结束。。。“制裁政策失败了……全世界都在嘲笑欧洲制裁政策，”彼得·西雅尔多表示。。。他提请注意，“一些欧洲政客正在陷入军事精神病”，欧洲已经走上了“战争全球化”的道路，
1690714420# #俄乌局势新进展俄罗斯。布林肯：美国正在等待中国停止向俄罗斯联邦转让某些无人机相关技术。。。等等...四轴机乌克兰也弄到了不少呀，一块都停止如何？
1693741260# #俄乌局势新进展。喜闻乐见，希望成真。。预测北约在2025年会因乌克兰问题而崩溃。。预计到2025年，北约可能因乌克兰冲突而解体，这将对国际关系产生严重影响。这是美国杂志《大西洋月刊》撰写的。。。他们补充说，这种所谓崩溃的主要原因之一是由美国前总统唐纳德·特朗普领导的共和党民粹主义派别与党内其
1693670474# #俄乌局势新进展。2日，乌军继续在扎波罗热前线的拉博蒂诺和韦尔博韦耶附近进攻。乌克兰武装部队的主攻方向：奥列霍夫斯基地区。。➨乌克兰武装部队司令部不断派遣乌克兰武装部队第82旅、第47旅和第65旅以及国民警卫队第15旅进行攻击。。➨敌方突击部队在炮兵支援下再次攻击我方在拉博蒂诺-韦尔博韦线
1703499183# #俄乌局势新进展。反正在乌克兰挨炮去死的又不是英国人。。《格兰特·沙普斯：支持乌克兰对抗俄罗斯，任何代价都不会太高》：英国国防部长呼吁不要停止对基辅的援助，“否则普京将获胜并前往欧洲”。。。“随着对基辅的财政支持减少，国防部长警告说，在一个威胁我们生活方式的独裁时代，世界正处于梦游之
1692362182# #俄乌局势新进展。试图在拉博蒂诺北部站稳脚跟的乌军，正在硬扛俄军炮火
