1701976670# #船夫：我好害怕好无辜悲伤
1701140828# #易烊千玺二三逢时戢鳞风起我的天呐悲伤真的很温暖泪悲伤谢谢娜姐心弟弟和哥哥姐姐要多多见面抱一抱弟弟，生日快乐蛋糕，事事如愿心，多多见面太阳
1703414088# #🔒个体户
1699894165# #原版是没有英语发和法语的泪抓狂臭小子唱法语更浪漫了抓狂泪好爱最浪漫的人抱一抱
1704605770# #刘诗诗任如意一念关山真牛爱慕刘诗诗任如意爱慕爱奇艺还在热播噢～欢迎大家继续收看兔子刘诗诗一念关山
1699789586# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐他从火光中走来！为热爱助力，一起来推荐你最喜欢的作品吧~
1703777889# #刘诗诗任如意感谢郭导的指导，感谢郭导对刘诗诗的认可抱一抱很喜欢任如意的打戏抱一抱诗诗老师很棒，团队的伙伴们辛苦了，一念关山，有你们了不起心心心
1704289560# #好叻好叻抱一抱终于有新物料了抱一抱度日如年抱一抱今晚继续看任如意刘诗诗任如意
1692803966# #买超什么时候改简介。所以为什么不改简介啊开学季。（而且也没有删掉美女前妻的相关微博开学季
1692615205# #是他我一点也不意外是他我不意外
1691491699# #泪还有谁没看到啊泪我会哭的易烊千玺踉跄后扶了王源的腰
1700395466# #哈哈哈哈哈哈直接来消防员
1702262240# #舔屏哇这张脸刘诗诗任如意
1703491747# #刘诗诗超话存一个舔屏刘诗诗任如意
1690341334# #TFBOYS眼部特写有没有可能是工作室自己给的图呢三个人在一块都是自己团队发过去的在骂别人特q的时候去问问自家工作室吧是不是自己失职了天天就抓着骂有本事线下打
1697185953# #开学季好漂亮好漂亮泪风格随意切换的公主👸@张婧仪
1692282617# #转发
1692614923# #泪我哭死其实主体还包括：刘艳芬与观众、刘艳芬与歌舞城里面的形形色色的人。何况，观众就是刘艳芬，那么用真实建材构成的专辑，就成为搭建起现实与虚构的桥梁，所以整件事情就有了一种踏实的落地感。简直佩服得五体投地
1691744628# #哇杀疯了
1697371480# #张婧仪真的很好泪心事事有回应的仪我哭的稀里哗啦的泪泪
1702610511# #一念关山27集剪辑你看吧你这样捧你儿为他改高光剧的前后逻辑都对不上了诸葛亮也有扶不起的阿斗你儿的妃还不领情到处卖🍵要把锅甩给你和剪辑你气走的是剧粉🐎你儿更多的是冲了vip看你剧的一员别到处给人摁粉ji了不是人人都是带立场发表言论的即使人家有喜欢的演员又怎么样呢人家花
1703938161# #哈哈哈哈哈哈哈哈真的可以笑好久
1702889271# #哇抱一抱姐宝刘诗诗超话边走边看，顺其自然，在多维空间中造就多种可能。@刘诗诗
1701658448# #吴奇隆刻意减少工作陪孩子。好好好不宣传一念关山就算了还把之前的综艺视频剪辑买热搜前排鲜花热度比剧还高还是您老会玩鲜花刘诗诗之前没拍戏一个人带着孩子减少工作陪孩子鲜花别在剧播的时候跑出来yygq鲜花
1701778304# #刘诗诗东方淮竹期待剧播
1695091725# #玺宝哇抱一抱没有人能拒绝玺宝！！！没有人！！！！易烊千玺代言倍轻松
1699493661# #易烊千玺二三逢时戢鳞风起悲伤玺玺这时差要怎么翻转怎么调啊悲伤抱一抱期待明晚的舞台易烊千玺加盟双11惊喜夜
1694147882# #确实
1704081942# #抱一抱刘诗诗真牛真是难得在RahulMishra如此火爆的情况下从新一季的高定礼服中还能挑到这么美丽的一套哈！新年新气象，女士新一年的Couture旅程也正式开启啦✨
1703128442# #杀青快乐宝宝抱一抱
1703423055# #嗷寸一个抱一抱刘诗诗任如意
1703125699# #芜湖芜湖抱一抱有新片要来啦舔屏
1701949069# #GQ红毯玺玺玺玺玺泪我那i人玺玺泪好帅易烊千玺4%vol的河
1699635383# #直播也听到了抓狂泪悲伤易烊千玺二三逢时戢鳞风起
1703907862# #易烊千玺代言特仑苏抱一抱好喜欢玺的生活方式抓狂
1703672762# #抓狂抓狂抓狂姐姐好美啊啊啊啊啊
1697879191# #啊啊啊啊啊终于要出来了嘛泪
1699772536# #易烊千玺二三逢时戢鳞风起呜呜呜呜这一幕好好看抓狂泪玺玺肯定听到了悲伤泪
1703478850# #我的公主抱一抱抱一抱抱一抱开心快乐@张婧仪
1701402214# #QQ音乐年度报告。第一名必须是易烊千玺污抱一抱。。易烊千玺4%vol的河好治愈嘟污。耶耶耶举手易烊千玺新专辑刘艳芬
1692856352# #普里戈任尸体已被初步确认。疑问疑问疑问疑问疑问疑问疑问有点震惊
1701229683# #刘诗诗任如意好美的一张脸污好酷的打戏爱你爱你
1700759397# #甜甜玺这套图值得品味的点也太多了舔屏舔屏舔屏
1703910069# #张婧仪香暗荼别太嫉妒爱你一起关注就完事亲亲
1695604177# #呜呜呜两位都好好看悲伤温良的面孔悲伤
1697965310# #哈哈哈哈哈哈老干部
1691385283# #一对比就出来了悲伤天生巨星悲伤
1697807000# #张婧仪超话啊啊啊啊啊啊静态图杀疯动态图刺穿心舔屏好美好大气好飒好有气质泪泪泪
1690457752# #TFBOYS是准备让粉丝上台唱跳吗。最近这些热搜总感觉有一种铺设作用。先让团粉对这种“不在乎”的态度慢慢心寒。潜移默化地开始对他们失望。最后来宣布解散666
1702004099# #舔屏好好好等着
1703335461# #抱一抱坚持热爱抱一抱哥教一下我
1696944072# #周杰伦上海。第三轮抢票了所以这次抢到了吗开学季
1696993949# #啊啊泪是制服的签名照泪谁受得了啊泪谁拒绝得了啊泪🙋@王子奇是演员王子奇
1702029596# #一念关山。能不能好好宣传剧微笑微笑微笑。有点热度就摆烂是吧微笑微笑微笑。刘诗诗任如意刘诗诗一念关山
1699322548# #哇哇哇舔屏还有图抱一抱好美好温柔舔屏
1699403771# #将睡眠时间延长至8小时对身心的变化。晕我觉得补睡眠债？
1691251459# #xie教？？？积点德吧
1703153059# #抓狂抓狂抓狂抓狂抓狂天呐老公你哆啦A梦害怕老公老公我命定老公
1703221977# #刘诗诗任如意跪了太牛了姐本月第六刊，开年第三刊，爆剧女王这也太吓人了跪了跪了
1699177899# #嗷嗷嗷嗷仙女姐姐抱一抱
1693659950# #“时刻记得自己为什么出发”心“时刻记得自己为什么出发，不断在做演员的路上潜心探索。”说得真好，那就一起期待易烊千玺更多精彩角色！！！易烊千玺金鹿奖最佳男演员
1700551708# #🈲️蹲🈲️挤易烊千玺❗️不要让他像上次那样被挤得窒息的同时还要担心你们的安全❗️
1701192624# #刘诗诗任如意如意如意！！爱奇艺！一念关山！！姐姐打戏太美了舔屏泪抱一抱刘诗诗一念关山
1702611818# #一念关山27集剪辑。笑话来了大家快来看啊有文盲揣手。帮你打假了。他们在造谣你诶揣手
1699364318# #“小姨她原本是因为工作，因为拍戏在剧组来不了的，就是为了我的事情一定要来。”舔屏真的好喜欢刘诗诗对朋友永远那么真诚和用心！！！大舅你也太幸福了吧啊啊啊啊抱一抱小姨尊嘟好宠你举手
1703820352# #刘诗诗超话翻了一下之前存的相册，找到了16年姐宝晚宴时候穿的那套明黄色小裙子抓狂好美好美抓狂姐是怎么能一直那么嫩那么美那么可爱的抓狂刘诗诗东方淮竹
1699431995# #王雨馨我已经彻底看透他的本质。哇，这次买自己的名字了，终于不是带着黄景瑜的那个头衔了哈哈你是谁啊疑问热搜还可以高位居娱乐榜疑问不知道还以为你才是wh、明星惹二哈。你嘴巴是真的硬，但🧠和实际行动是真的爱二哈离婚6年，又没孩子，甚至人家vx都没有（聊天记录都是群聊）却一直和人
1704017402# #好耶好耶抱一抱和乔青羽一起期待2024抱一抱张婧仪乔青羽
1699281811# #黄景瑜前妻晒聊天记录。买💦🦠被发现疑问然后姐姐破防了？拉黑人疑问。又玩不起又爱玩
1699936979# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为辛旗荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放
1700466346# #刘诗诗一念关山我姐还是那么暖泪泪泪她还点的少糖少冰好暖
1703755588# #喜气洋洋，平安如意抱一抱易烊千玺电影小小的我
1702467978# #一念关山。哇明晚又可以看到任如意了哇好喜欢任如意这套衣服嘟这场戏抱一抱。好美好美好美哇哇哇明晚见。刘诗诗一念关山刘诗诗任如意
1704374032# #步步惊心里若曦是怎么死的开学季看到那么多人有不同的评论和感受，再一次感慨刘诗诗的演技。正是因为刘诗诗把若曦这个人物的情绪揣摩得淋漓尽致才能让如此大家共情开学季《步步惊心》是永恒的经典！马尔泰若曦更是！特别是长大了看懂之后，心如刀割💔真的心疼悲伤
1704186889# #好好好抱一抱很听话抱一抱@王子奇是演员王子奇
1700880671# #抓狂美四易烊千玺二三逢时戢鳞风起
1703939515# #哆啦A梦害怕身边好几个朋友一直想看《一念关山》，但因为男主她们又不敢打开哆啦A梦害怕一念真的可以更好的…麻了。（看了的也都是冲一姐去的）
1699616461# #哈哈哈哈哈哈别太可爱了公主👸
1702727528# #鼠系帅哥看了一圈看来大家都知道🐭是谁诶比耶别洗咯别洗咯别拉别人共沉沦咯摊手。看吧到处造谣是合作演员粉对你有意见。我看了一圈倒不是反倒都是被创伤的剧粉和路人捏比耶别再摁头别人咯～比耶
1702609617# #我真的心疼刘诗诗悲伤一剪没正片和预告片时长一样摊手这部剧因为刘诗诗任如意就是柠萌的回光返照，明年就会查无此宁，刘诗诗任如意的玄学诚不欺人。
1691405043# #好清晰呀哇易烊千玺十稔终章皆成序易烊千玺超话230806十周年演唱会很清晰太开心
1692613558# #我真的哭死泪易烊千玺是怎么做到那么真诚那么浪漫泪在背面贴一下就好老师好跳转过来开始这个界面（四宝宝真的好多小巧思舔屏）
1700016848# #王子奇黑白密码
1699936989# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的程少商荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1701149706# #嗷嗷嗷泪是我嘟大夫人抱一抱看看看！！今晚看任如意！！刘诗诗一念关山
1702607962# #今晚见抱一抱耶耶耶耶今晚见抱一抱
1697370594# #开学季哥你在哪这是泪@Johnny黄景瑜
1702350132# #刘诗诗任如意就cue任如意awsl@刘诗诗
1699594355# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐他从火光中走来！为热爱助力，一起来推荐你最喜欢的作品吧~
1693543975# #开学季就是说真的很适配…如果是真的…你真的是糊涂啊啊啊啊啊啊啊鹅跪了
1704253221# #超美的公主抱一抱@张婧仪
1701399089# #姐宝别太可爱舔屏
1699669498# #何炅谢娜易烊千玺同台拥抱。i人玺玺在何老师和娜姐面前真的很放松泪悲伤。“三位真火温暖你我”朋友请听好。只要是千玺他们两个都会说是“弟弟”悲伤。真的是家人啊是家人的温暖和亲切感悲伤。㊗️三位越来越好鲜花抱一抱心。易烊千玺限定玫瑰
1702457981# #刘诗诗一念关山抱一抱一念关山的一确实是一姐的一抱一抱众所周知刘诗诗任如意
1703997108# #啊啊啊啊什么好东西抓狂2024越来越好抱一抱让我们期待明天会更好。两岸群星共唱明天会更好2024明天会更好
1691387265# #泪泪泪泪
1699492954# #TFBOYS方称十周年戒指事件为造谣。真的🐶
1695372146# #好美啊啊啊啊这次妆发好好看舔屏哇刘诗诗超话秋意渐浓，放缓节奏，心怀憧憬去奔赴无垠山海，享受一趟满是可能的旅途。@刘诗诗
1700790217# #刘诗诗任如意啊啊啊啊舔屏舔屏舔屏好日子好日子舔屏抱一抱刘诗诗一念关山
1704010887# #刘诗诗超话刘诗诗任如意抱一抱刘诗诗东方淮竹很幸运能在2023年末有任如意陪伴着抱一抱希望2024年越来越好～可以早点看到东方淮竹大小姐抱一抱。。
1701499372# #哇塞抓狂哥今天是男大@Johnny黄景瑜
1700562058# #好帅的王哥举手是紫色的王哥举手
1702396235# #呜呜呜俺嘟美女公主零毛孔，皮肤像个刚剥的鸡蛋一样光溜，谁懂啊泪泪泪泪泪太美了
1702434648# #铭记历史！吾辈自强！
1703582744# #刘诗诗超话抓狂晦气东西都走开抓狂现在只期待东方淮竹抱一抱什么时候可以抬上来抓狂。刘诗诗东方淮竹
1702010839# #刘诗诗端水式晒自拍（刘诗诗任如意。抓狂我姐真的一直那么善良照顾所有人的情绪无论是谁她都很尊重抓狂。请有的人不要利用刘诗诗的真诚和善良微笑。。刘诗诗任如意任如意刘诗诗一念关山
1701976135# #gq红毯看着他长大的抓狂悲伤孩子一路走来尊嘟泪
1701956223# #优秀代言人污（哈哈哈哈哈哈哈好长一条生命形容
1690461777# #江宏杰宣布告赢福原爱开学季之前还看他俩秀恩爱开学季转眼两人打去法庭了开学季
1697776863# #王子奇超话期待王哥更多的作品抱一抱@王子奇是演员王子奇
1700739374# #易烊千玺二三逢时戢鳞风起帅爆了玺泪哈哈哈哈哈记者们一直喊玺看这看那玺忍不住笑了哈哈哈哈哈哈哈好可爱舔屏抱一抱
1704424378# #刘诗诗Wonderland封面。抓狂摇滚风🎸嘟刘诗诗姐宝抓狂好爱好爱！！新风格啊啊啊啊啊啊。（《一念关山》还在爱奇艺热播抱一抱欢迎大家来爱奇艺收看刘诗诗任如意呀～兔子。刘诗诗任如意
1697874373# #啊啊啊啊啊都是直接发的live图泪谁懂啊啊啊啊啊啊泪公主别太美泪舔屏@张婧仪
1703309680# #妈呀抱一抱舔屏刘诗诗任如意舔屏任如意美貌动人全记录开学季
1700813156# #抱一抱好帅发量尊嘟好多举手有点常征的感觉呢
1704084768# #呜呜呜是暖心的🐳泪是暖心的黄景瑜抱一抱抱一抱，很贴心❤️
1702470620# #一念关山我的评分：星星星星星星星星星星。刘诗诗一念关山。最好的刘诗诗抱一抱最好的任如意抱一抱哇。《一念关山》大家约起来呀哇明晚七点爱奇艺继续更新噢抱一抱。刘诗诗任如意
1696935948# #泪半年过去了泪还是忘不了泪泪四搭@王玉雯Uvin
1693762116# #哟嘿
1703145363# #我的天呐抱一抱公主宝宝抱一抱天呐好美
1700846635# #抓狂玺玺摇头晃脑地说“跨越22年的再次创作”抓狂好可爱啊啊啊啊谁懂舔屏他尊嘟好开心悲伤期待新作品和秘密计划鲜花易烊千玺二三逢时戢鳞风起
1699635713# #好开心的玺玺悲伤我也想吸走泪宝贝泪易烊千玺二三逢时戢鳞风起
1699858578# #哈哈哈哈哈哈哈哈哈哈哈
1697554618# #网友曝吴磊借自行车拒绝合影。救命🆘磊磊好惨无妄之灾揣手
1701158503# #易烊千玺画的猫。程序员小易什么时候抢修一下悲伤可怜易烊千玺二三逢时戢鳞风起
1704177563# #刘诗诗可隆品牌代言人天啊跪了代言人这身材真的绝了抓狂好美和代言人一起元气每一天吧抱一抱刘诗诗任如意
1699878664# #易烊千玺超话玺宝音响师的vlog视角泪隔着黑色车窗看外面鸟姐的灯牌还是那么红！！！尊嘟好棒啊啊啊！。易烊千玺二三逢时戢鳞风起
1701962804# #幸好是我担抱一抱这可是易烊千玺吃饭和主编挨着
1702748055# #刘诗诗超话。啊啊啊啊啊啊我姐宝真的太可爱了。看hi6笑了一晚上憧憬哇。刘诗诗上次录综艺是11年前
1701192852# #刘诗诗任如意尊嘟！大家一起来看如意呀！不会让你们失望嘟舔屏爱奇艺冲呀刘诗诗一念关山
1693659354# #恭喜心恭喜演员易烊千玺
1690953692# #TF家族四代同堂一代呢开学季没看到一点点物料
1703486149# #呜呜呜羡慕
1697985839# #啊啊啊啊啊啊新鲜的玺玺泪
1701141644# #绝了还得是烟总666
1702285586# #南初宝宝期待南初今晚📺一起看给你小心心给你小心心
1702950624# #你不是很会辟谣吗，快告诉我这里在第几集第几分钟啊？看书
1699508906# #永远真诚的玺宝泪连轴时差都没来得及倒悲伤还不忘收心期待双十一舞台“有好好回应每一份爱吗”宝宝你一直都有🥺🥺😭😭😭😭😭😭
1704437631# #期待仪宝张婧仪超话💖微博之夜第二波阵容官宣镜头内角色百态，静思揣摩，以演员身份执笔畅想🫧镜头外星光熠熠，恪守初心，沉淀积蓄自在逐梦🪽1月13日微博之夜，睽违已久再相见。@张婧仪💖
1690341070# #单身狗果然造谣都是一个传一个单身狗黄锐都要哭了吧明明自己说的是别人来问他怎么抢票单身狗到头来被造谣自己去要票开学季
1704178294# #一姐是真的惨哆啦A梦害怕腥风血雨体质就是说哆啦A梦害怕也是姐才沉得住气不看这些哆啦A梦害怕。被辱追咬着、被人吸血踩着上位、被hyh连累、被楠的pb了还要被🐎……
1696565499# #好想易烊千玺泪
1692333437# #好耶哇
1697176350# #开学季公主这张脸真的很有故事感泪好爱
1699254973# #我的天啊啊啊啊啊啊泪刘诗诗你别太美了泪@刘诗诗
1700798657# #刘诗诗一念关山一起看任如意抱一抱
1699787158# #易烊千玺二三逢时戢鳞风起好好看啊泪
1698154661# #王哥杀青快乐心@王子奇是演员王子奇
1690341597# #总有人在挑拨离间引起骂战蒸煮都嫌弃你
1691912047# #汤家凤果然，话题里跟风无脑谩骂的和之前无脑造谣的是同一批人汗或者可以说是造成网络戾气的这一大群体汗每次有这种发泄又或是其他造谣的言论都可以看到他们可爱
1702724872# #刘诗诗超话梦回龙葵悲伤。姐宝好美抓狂。刘诗诗可隆品牌代言人
1699278071# #好好好举手闷声干大事举手哥！注意保暖！！好好休息！！举手期待新戏@王子奇是演员王子奇
1701785558# #刘诗诗任如意恭喜姐姐呀抱一抱刘诗诗一念关山
1701144445# #谢娜喊易烊千玺多多见面谢谢娜姐抱一抱。《三位真火温暖你我》尊嘟很好举手。融化大家心情不好的时候可以去看一下《朋友请听好》吖举手真的很治愈抱一抱。易烊千玺4%vol的河千玺新歌是民谣风也很治愈吖听起来🎧✌️。易烊千玺二三逢时戢鳞风起
1699525564# #泪好乖啊啊啊@王子奇是演员王子奇
1693392684# #哇玺太好看了
1699845654# #不知不觉。原来喜欢一姐和玺宝那么久了。一个14年一个7年抓狂。但其实玺宝也算10年了吧。13年组合出道的时候只对玺宝有好感也只关注了玺宝的舞蹈和唱歌后面才真正发疯抓狂
1703264041# #是真的苦涩
1701090364# #妈呀举手一起看一念关山吖举手刘诗诗一念关山
1702615394# #没解释就是真的呗他们冲浪第一呢揣手一起看任如意现场吧抱一抱刘诗诗任如意
1701342330# #刘诗诗任如意太美啦抱一抱舔屏看起来刘诗诗一念关山
1701950136# #刘诗诗任如意啊啊啊啊啊任如意抓狂单集80w➕了抓狂@刘诗诗
1702004973# #好耶好耶污今晚继续任如意污姐宝
1703912028# #下面还有宝马和波司登啊哈哈哈哈哈，玺的主场抱一抱前几天去的没拍全
1703752469# #一念关山。哆啦A梦害怕真的会替带节奏说刘诗诗看不懂角色，看不懂剧本的人感到羞耻。你们真的看剧了吗？真的看懂剧了吗？哆啦A梦害怕。1⃣️任辛是一匹“孤狼”根本没有问题，这一角色自始至终都是为了替昭节hh复仇，替朱衣卫正名。即使她一路让遇到了同伴，但最终去替hh报仇的时候，还是一个人去
1701826046# #张婧仪超话好温婉抱一抱好美
1702535190# #一念关山今晚加更啦抱一抱大家看起来抱一抱一起来爱奇艺看刘诗诗任如意呀抱一抱刘诗诗任如意
1693830280# #泪玺玺念台词听起来真的好舒服悲伤欢迎大家来怀化，感受种子的力量！
1703064218# #期待刘诗诗ELLE抱一抱
1697205240# #泪悲伤景浩
1700924479# #刘诗诗超话我姐真的绝了舔屏抱一抱
1698983526# #网剧冬至阵容官宣黄景瑜那唯一纯白的茉莉花又🦈回来了舔屏举手。泪雪景的氛围感尊嘟好强！！又温柔又甜蜜又破碎的即视感举手能不能边拍边播！！！黄景瑜孙千冬至海报
1699709749# #口腔溃疡了悲伤玺玺
1699164728# #啊啊啊啊啊啊啊双十一舞台抱一抱抱一抱抱一抱终于要见面了泪@TFBOYS-易烊千玺
1701872014# #一念关山整部剧最虐人的地方。泪想念任如意的一天泪。能不能不断更悲伤泪。刘诗诗一念关山
1703036705# #苦涩公主真的太美了苦涩
1699254598# #黄景瑜前妻再发文不是…姐，你和黄景瑜都离婚六年了吧疑问不知道还以为你刚离婚呢汗这期间你也谈了（wb秀恩爱），为什么就咬着他不放啊？用你的话：就因为他是明星吗？汗所以他是你的资金链吗？动不动就出来蹦跶、爆料……那今天爆的是什么？就看黄景瑜和你的聊天截图？截图里，他不就是说按
1703673871# #刘诗诗半扎发。啊啊啊啊啊刘诗诗真的好美抓狂抓狂抓狂姐姐！！！
1701781472# #天啊可以合作一部吗开学季
1694425061# #呜呜呜呜姐姐的新妹妹是小沈！！好喜欢哇
1700749312# #易烊千玺二三逢时戢鳞风起妈啊抓狂这男人魅力十足抓狂泪
1701227121# #一念关山口碑好耶好耶✌️看到大家的审判果然一姐的古装实绩不是盖的抱一抱。谢谢你们都是因为刘诗诗来看这部剧污拥有刘诗诗是的荣幸举手如意如意！带飞整剧！舔屏舔屏刘诗诗任如意。今晚继续冲呀！！！爱奇艺不见不散！！任如意！！刘诗诗一念关山
1701580370# #👸尊嘟是女大学生抓狂
1693830978# #蒋依依前公司回应。没记错的话蒋依依和前公司一直在打官司的吧。所以蒋依依资源相对于其他人来说一直很虐。这场官司最后蒋依依胜诉了法律判决书出来了（蒋依依工作室有发）最近综艺也有热度了。前公司就出来倒油了偷笑。【前公司是懂拿捏舆论鲜花通过舆论定罪的鲜花】
1699617598# #宋亚轩好帅啊啊啊啊抱一抱好有范抱一抱唱歌好好听
1691729751# #呜呜呜千玺的文字真的让人看了很舒服泪
1697276052# #哈哈哈哈哈哈学费了
1700750638# #vogue时尚之力盛会OMG抓狂跪了ohmygod
1695781072# #啊啊啊啊啊啊啊公主👸真的绝了泪悲伤回眸一笑泪迷🐭谁泪
1704609501# #抱一抱好耶好耶爱慕是🐳@Johnny黄景瑜
1701049213# #易烊千玺代言瑞幸咖啡抱一抱恭喜玺玺恭喜易烊千玺成为瑞幸全球代言人哇哇哇马上就去瑞！！！易烊千玺代言瑞幸咖啡易烊千玺4%vol的河
1702575283# #刘诗诗超话一念关山抱一抱感谢大家对刘诗诗任如意的认可抱一抱。刘诗诗任如意从各媒体到时尚界再到央视爸爸抱一抱以及所有的数据都在验证一句话：刘诗诗的号召能力和扛剧能力第一☝️接下来继续关注《一念关山》抱一抱关注刘诗诗任如意/任辛。刘诗诗一念关山
1700452026# #刘诗诗一念关山泪真的好青春少女啊泪@刘诗诗
1700196409# #易烊千玺超话好好好举手易烊千玺变成了抖y的流量密码是吧抱一抱我玺的流量真的是四面八方来的举手可能这就是注定的巨星吧抱一抱从表情包到种种话题…都能带上玺哈哈哈哈哈抖人真的会玩啊…。。易烊千玺二三逢时戢鳞风起
1699105415# #屈楚萧张佳宁牵手走红毯。啊啊啊啊啊期待电影举手举手举手举手举手
1703219807# #刘诗诗任如意还得是刘诗诗啊抓狂抓狂抓狂
1698585337# #是尊嘟开学季小虎牙的感染力很强
1703742453# #内娱红毯的神TOP10。刘诗诗ELLE的红毯抓狂简直就是神仙抓狂。
1701709725# #好美泪狠狠代入
1701951582# #gq红毯bgm加上污气氛up抱一抱【GQ年度盛典易烊千玺】易烊千玺4%vol的河
1699364000# #好帅呀抱一抱@Johnny黄景瑜
1700565572# #哈哈哈哈哈哈哈哈哈哈哈
1701716628# #呜呜呜呜
1689769007# #姐姐自拍doge
1701283309# #刘诗诗一念关山好好好如意如意抱一抱刘诗诗任如意
1702629611# #刘诗诗一念关山人家清醒任如意抱一抱刘诗诗任如意
1694771621# #姐姐多发抱一抱抱一抱抱一抱@刘诗诗
1702004875# #玩得开心污
1700059212# #易烊千玺二三逢时戢鳞风起悲伤是十年来的玺宝悲伤谢谢十年来都有何老师和娜姐的陪伴悲伤十年来每次见面都有温暖的拥抱悲伤何炅见证了多少人的成长
1701752374# #我的天啊刘诗诗这个威亚这个打戏泪再给刘诗诗来n部古装剧吧泪刘诗诗东方淮竹
1691737020# #泪这就是他人口中的一路顺利吗？这就是口中的特q吗？那送给那些人吧可爱
1702275969# #任如意失望。我说够了微笑是真的心疼刘诗诗。心疼任辛/任如意。姐姐善良请自带锋芒。刘诗诗任如意
1696843173# #是真的超喜欢！！
1691338335# #哈哈哈哈哈哈可爱玺玺
1699493273# #天啊看得出玺玺好累啊泪快在✈️上好好休息悲伤起落平安@TFBOYS-易烊千玺
1702129363# #一念关山修图。lyn那天扫楼的时候说这部剧里面刘诗诗监督仪态他的仪态比以往好很多妈呀看这个剧还是觉得…emmm不敢想象他仪态是怎么样的awslawsl
1702370943# #任如意/任辛哇刘诗诗
1700733823# #啊啊啊啊啊易总泪易烊千玺二三逢时戢鳞风起
1701284463# #好好好睡前涨知识抱一抱我就说刷微博能涨知识
1693663222# #第18届长春电影节获奖名单。噢“正义的路人们”别跳了。拿了小奖而已。不值得你们那么关注开学季。易烊千玺金鹿奖最佳男演员
1698280201# #姐十九周年快乐心
1702352141# #继续支持任如意刘诗诗任如意
1698978546# #黄景瑜冬至黄景瑜雪景真的真的好有感觉啊啊啊啊啊啊！！！期待江成屹！！
1704462161# #易烊千玺黑西装写真啊啊啊啊啊啊嫉妒开学季
1699502242# #期待任如意抱一抱呜呜呜沉浸在姐姐的美色中舔屏@刘诗诗
1702721966# #刘诗诗一念关山爱奇艺看在眼里心疼刘诗诗悲伤今晚继续看任如意也看hi6抱一抱
1691664000# #好好看哇哇哇
1698412656# #苦涩🕯️
1702554085# #一念关山来爱奇艺看任如意哇抱一抱刘诗诗一念关山刘诗诗任如意
1697439311# #哎哟抱一抱宣传委员上线抱一抱大夫人的剧看起来✌️
1703241291# #尊嘟好绝抓狂仪子是上了红毯是美艳女明星，在剧里可以演素颜学生妹。
1703400673# #一念关山编剧回应争议自己都说没写过群像，还要被人挽尊摁头之前写的多为大女主➕群像，没有话语q本就惨，连原话还要被扭曲意志，谁不说一句遇到🍋和🐭真惨可怜
1699703653# #易烊千玺舞台直拍。玺玺回去好好休息泪。我dream一个演唱会泪悲伤抓狂
1702356418# #刘诗诗超话哇哇哇哇抱一抱新篇章（刘诗诗任如意刘诗诗任如意
1702004827# #哈哈哈哈哈哈就感觉背景怎么干净了那么多哈哈哈哈
1701164004# #融化使诈！真的是！开炮！
1700738894# #易烊千玺二三逢时戢鳞风起泪玺玺长得好正啊啊啊啊啊！！笑得那一刻泪舔屏@TFBOYS-易烊千玺
1702435065# #转发微博
1693842568# #易烊千玺讲述种子的力量。入股不亏泪悲伤。玺很礼貌泪情绪很稳定悲伤
1701661360# #刘诗诗一念关山刘诗诗好美啊啊啊啊啊抱一抱刘诗诗任如意
1696775178# #就是天选的悲伤
1697095175# #王子奇超话。哈哈哈哈哈哈哈哈我王哥真的是看热闹不嫌事大哈哈哈哈哈哈哈🐳哭成这样哈哈哈哈哈哈哈哈他在漏大白牙🦷安慰
1703336083# #感谢所有工作人员抱一抱感谢桂林抱一抱期待刘诗诗的杂志成品抱一抱谢谢桂林哇，所有的工作人员都辛苦了老师好真的很爱这次的策划
1698585755# #千玺，二十三岁的你要更平安健康快乐自由，做自己想做的事情！@TFBOYS-易烊千玺
1695262012# #哇塞好好看哇好期待
1694597691# #是真的很欣赏这种电影脸抱一抱
1697772299# #王子奇情绪爆发的原因。是话剧之后的采访抱一抱期待王哥更多的作品抱一抱。粉丝只管关注作品！
1699671454# #易烊千玺二三逢时戢鳞风起呜呜呜是上场的玺立麦插兜花瓣雨
1702458217# #一念关山微博开分8.5抱一抱刘诗诗任如意火爆全网！！！确实是一姐的一哇时尚届也认可抱一抱吃点好的吧抱一抱看看业内评价吧污污污别拿着灌💦的数据自欺欺人刘诗诗任如意刘诗诗一念关山
1701608231# #刘诗诗任如意任如意冲污
1703336015# #任如意抱一抱
1700022440# #王子奇黑白密码举手11.16腾讯视频与楚一寒不见不散鼓掌@王子奇是演员王子奇
1701953568# #抓狂嫉妒！！姐姐你怎么！！刘诗诗任如意
1696486995# #他从火光中来。呜呜呜呜这部剧真的很好看！！！强推！！！开学季开学季开学季三观好正！！！好现实！！。。林教官和公主👸！！！好养眼！抱一抱
1702289843# #抱一抱可爱🌲哇刘诗诗任如意
1695791280# #悲伤
1702625768# #🍋杀了你我的姐~每天熬夜辛苦换来的是啥，柠萌我杀了你
