1696309767# #哈哈哈哈哈哈哈
1696685353# #卓伟要爆的瓜被三字r姓男星买走了三字R姓。不会是我吃到的瓜吧，不会吧不会吧
1688533586# #淇淇超帅打call打call
1695341255# #我投给了“南风知我意成毅南风知我意cy成毅傅云深@成毅”~
1695907134# #拒绝不作为
1701779857# #微光荣耀年度表现力演员恭喜成毅老师
1694690577# #转发微博
1693964593# #解解又在试图洗白吗
1703928192# #宝宝哥今天也好帅
1689295764# #哥哥
1696900509# #我投给了“期待！好会选～”~
1699341542# #转发微博
1695994224# #中秋快乐！我的宝儿
1697713670# #整整七天。我终于出来了怒怒怒怒。在人生的旅程中，每个人的生活都离不开别人的帮助，因为自然界的任何事物都是一个普遍联系的整体，没有谁能够脱离周围的事物而孤立地存在，但在接受别人帮助的同时，我们也要学会去帮助别人。
1696638233# #9招找回节后好状态谢谢一招都不需要。因为没放假！！！！
1699972813# #电视剧莲花楼超话。莲花楼没了谁都可以，没了成毅就是不行！！！！！！！！！！
1701767541# #转发微博
1696639726# #成毅南风知我意cy成毅傅云深。。成毅，你守护你的热爱，我守护你和你的热爱，我在星光里为你呐喊，最美好的岁月都与你有关。。。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深。新年开机福利VLOG
1691976297# #七夕快乐哥哥
1695907248# #请正视粉丝诉求微笑及时同步行程以及告黑进度@我是乔小乔
1700117342# #我投给了“成毅”~
1699626783# #哇，好棒送花花
1694495860# #今天晚上可以看五集。不错不错
1696814639# #我投给了“李莲花成毅莲花楼cy成毅李莲花李相夷@成毅”~
1696584787# #我投给了“南风知我意成毅南风知我意cy成毅傅云深@成毅”~
1694079266# #哈哈哈哈哈哈哈不好意思笑的有点大声了哈哈哈哈哈哈哈。赋诗一首：该
1701786000# #帅
1692805842# #我投给了“循环播放中成毅cy莲花楼@成毅”~
1695975879# #我宝好帅
1693020269# #我投给了“扬州慢（“慢”到病除，专治各种疑难杂症）”~
1698670500# #成毅牛
1694740238# #恭喜成毅解锁新代言
1693409770# #成毅打戏真的帅
1703407421# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！！成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1691306368# #是新鲜的淇淇啊
1704502457# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1696409598# #成毅新剧是女婿见家长模板cy莲花楼作者夸成毅。成毅真的天选李莲花！！！！。他整个人在闪闪发光！！！。成毅南风知我意|傅云深|莲花楼|李莲花|李相夷
1704329276# #帅
1700916885# #恭喜成毅
1695967036# #加班结束，中秋节快乐呀鼓掌
1693882303# #打call打call
1693791206# #这个暑假最出圈的台词那高处我去过，没意思～。李相夷不是天下第一吗？
1692877219# #支持成毅先生维权。网络不是法外之地
1696303629# #我投给了“李莲花成毅莲花楼cy成毅李莲花李相夷@成毅”~
1696390162# #浪凡小王子好帅
1697070553# #成毅好棒！新代言太赞啦！恭喜你！@成毅
1690252572# #快乐追剧，莲花楼太好看了
1697771324# #我投给了“《莲花楼》”~
1699751181# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐莲花楼！为热爱助力，一起来推荐你最喜欢的作品吧~
1699341679# #好帅
1702284723# #电视剧莲花楼超话再刷莲花楼。第一集4000人+观看。楼主牛大了打call打call打call
1696724486# #哥哥，吃完饭了吗
1694859495# #恭喜莲花楼，恭喜成毅打call
1690784026# #电视剧莲花楼超话莲花楼失莲不断联失莲了，要吃李莲花做的饭才能好悲伤
1696034493# #早太阳。原来mai杯咖啡都在提醒我爱你呀好喜欢
1695993294# #欢瑞世纪祸水东引❗️必须重视谣言传播广度❗️互联网没有清者自清❗️负面印象一旦深固如何挽回❓把握时机做好舆情监控和处理❗️请以成毅利益为先❗️立马给出【告黑名单】❗️【全网推送澄清】❗️全平台【删除谣言通稿】❗️
1695705265# #成毅牛掰
1701823007# #成毅超话成毅坐姿cy成毅真诚。成毅，日出日落月望月朔，沉寂的繁星会在夜空泛起微光，生活向你袭来的黑暗让你更加闪烁。
1695084578# #转发微博
1701428860# #哥哥今天好可爱
1703294101# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~。成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1693055219# #羞嗒嗒羞嗒嗒羞嗒嗒
1694496078# #哇。晚上一起看傅云深。
1695342496# #成毅超话超话星愿池今天是傅云深小宝贝的生日哦，宝贝生日快乐
1704160203# #和成毅点亮微博之夜cy成毅。演员成毅，是你的演技打动了我，吸引了我，惊艳了我。未来，我们与你一同前行。因为你值得。
1691154755# #女宅，一个叫清儿的侍女听到方多病的名字神色大变，原来她竟是当朝鸾平公主芊芊，也正是皇帝指给方多病的那位未婚妻。逃婚溜出宫的她被稀里糊涂拐卖到了女宅当侍女。玉楼春已迫不及待向李莲花和方多病探问金满堂出事真相，李莲花顺势试探，深觉玉楼春言辞矛盾、多有隐瞒，定有内情！跟方多病商议夜里暗
1699838068# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷｜狐妖小红娘王权篇｜王权富贵
1695620756# #好看唉
1692857097# #日本核污染水排海正式开始小日本能不能带着核污水和它的美爹一起消失啊！！！！
1693279832# #成毅就是大男主！成毅就是大男主！成毅就是大男主！
1700746370# #我宝好可爱
1701176951# #转发微博
1704006801# #晚上见哥哥
1699753051# #反复听好好听
1698508851# #晚安咯抱一抱
1700823922# #追星不摘星
1701428940# #转发微博
1703207676# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~^^成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1700886467# #只为一番大男主成毅尖叫
1699856716# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的李莲花/李相夷荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧电视剧莲花楼超话
1702600594# #成毅超话成毅雪天和粉丝合影cy微博跨年开幕官成毅。成毅，我见山色葱茏，不得见你也难映眼底，若得见你，寥寥几眼也抵山河万色。
1693355430# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼。成毅，我喜欢你，像夏往秋继，冬逐春去，岁月依稀，无可抗拒。
1697090262# #是新鲜的淇淇，好帅
1700354130# #成毅莲花楼cy成毅李莲花李相夷。成毅，谢谢你那么努力，才让我们看到那么优秀的你。在努力的同时，你也要体验生活，活在当下，每天充满动力，沿途春暖花开。
1695375983# #和成毅一起为中国队加油
1695134458# #南风知我意热度破10000双平台破万！！！！成毅牛逼！！！！！！
1703773737# #这一套真的太美
1702546408# #好看
1695910009# #好帅
1698020513# #早上好心。今天也是努力工作的一天打call
1702564914# #心软的神悲伤
1689949571# #啊啊啊李相夷李莲花终于等到你打call
1694238237# #转发微博
1703056842# #我获得了微博之夜简单卡等2张，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1690610782# #不同时代有不同的侠义。莲花楼好看。生当如李莲花，该放下的都放下
1703728366# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1696265047# #莲花楼莲花楼真的很好看。我好爱小花。谁都比不上我的小花
1701785069# #恭喜成毅老师
1698025593# #好看
1689571457# #莲花楼快点播快点播。真的等不及了
1699190032# #双11惊喜夜嘉宾全阵容想听成毅唱一壶莲花醉
1699505446# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐莲花楼！为热爱助力，一起来推荐你最喜欢的作品吧~
1693880689# #成毅傅云深快播，快播，快播！想看甜甜的傅云深
1697978446# #成毅好帅
1703985818# #好酷
1704502512# #电视剧狐妖小红娘王权篇超话富贵少爷
1702526433# #成毅官宣微博跨年开幕官cy成毅。2024我们一起努力，一起进步，一起越来越好。
1701221031# #成毅超话超话星愿池非正式跨年派对iejj生日快乐。
1695863704# #花西子得力不是。花西子是嫌自己埋的不够快吗？
1702949212# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1690979511# #笛飞声让阎王寻命告诉他当年真相，他们遇到单孤刀之时，单孤刀已死了。李莲花思索着，隐隐觉得从十年前到眼瞎所有零散事件都似乎有着联系，而单孤刀的死就是关键症结所在，凶手到底会是谁？目的何在？李莲花亦告知笛飞声，角丽谯就是南胤人，笛飞声惊愕而震怒。自见过李莲花，乔婉娩一直精神恍惚。肖紫
1702522634# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！~
1690769960# #将在07月31日14时00分空降电视剧莲花楼超话超话啦我已成功预约，快来预约一起嗨聊莲花楼失莲不断联吧&gt;&gt;&gt;
1699588987# #期待成毅送花花送花花
1703986504# #和成毅点亮微博之夜cy和成毅一起定格2023演员成毅沉淀十年，厚积薄发，展翅而起。我们毅路相随，满心欢喜，唯爱不迟。成毅加油！
1703217140# #我在微博之夜集卡活动中为助力成功，你也来给助力TA赢门票吧，每周集卡数TOP30必得，一起来参与吧！2024纯真真好
1703773546# #应渊君悲伤
1699588950# #期待成毅老师
1703215660# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1697944504# #成毅老婆实时测试好吧，今天还是不在。
1689237326# #成毅打戏超棒
1699341970# #好可爱
1695780128# #恭喜成毅好帅
1700285884# #每日一善超话每日一善微风阳光信用。人这一辈子，要经得起谎言，受得了敷衍，忍得住欺骗，忘得了诺言。慢慢的才知道：坚持未必是胜利，放弃未必是认输，与其华丽撞墙，不如优雅转身。给自己一个迂回的空间，学会思索，学会等待，学会调整。人生，有很多时候，需要的不仅仅是执着，更是回眸
1690679132# #成毅哥哥冲冲冲冲，莲花楼太好看啦鼓掌
1696506752# #告黑告黑
1695910699# #支持
1702535713# #氛围感的神
1693276632# #莲花楼楼子好厉害啊！db已经40w人打芬啦羞嗒嗒羞嗒嗒羞嗒嗒
1702961875# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1695083910# #南风知我意我的评分：星星星星星星星星星星。傅云深。加油！要振作啊
1701011072# #最好的淇淇悲伤悲伤
1701240370# #我投给了“成毅莲花楼cy成毅李莲花李相夷李莲花@成毅”~
1699856704# #电视剧莲花楼超话
1703815292# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！驾驭高能时刻来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1695260972# #转发微博
1694740102# #恭喜成毅，新身份，新代言
1701781565# #牛。爱听
1694004754# #天无绝人之路
1692255419# #我投给了“《莲花楼》”~
1698063938# #5.9一瓶的粉底液？夺少？5.9？
1700354090# #每日一善超话每日一善微风阳光信用。向善是一种文明，也是一种光明。善良之举，需要人人拥有；善良之歌，需要人人唱和。让我们一起轻掬季风，淡挽流云，抚一弦清音，让幸福在平凡、平淡中盛开如兰，让善良之歌在红尘的原野里辗转悠长。让我们一起心存善良和大爱，微笑着，走过季节的轮回。
1703318316# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！。成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1696816750# #加油杜导。
1695451342# #原来真正的he是让李莲花自由小舟从此逝。江海寄余生！我只希望小花能够自由，快来。旁的，都不重要
1696464824# #大早上又刀我泪
1703382597# #电视剧莲花楼超话微博网友喜爱剧集。莲花楼莲花楼莲花楼打call打call打call
1693968724# #成毅名誉权纠纷案一审将开庭支持维权。网络不是法外之地！
1695353790# #每晚七点半。来看李莲花
1699027118# #哇鼓掌鼓掌
1700916833# #年度影响力男演员悲伤悲伤悲伤哥哥值得
1695031893# #我投给了“好看，推荐”~
1694914411# #李莲花长命百岁
1696523064# #请正视成毅先生的合法权益和粉丝合理诉求：告黑‼️出【告黑名单】‼️下架源头嘿视频‼️推送全网澄清‼️全平台【删除谣言通稿】‼️@成毅工作室微笑微笑
1693443565# #肖顺尧王鹤润在夏天成毅在冬天我哥碧茶之毒还没解。穿毛衣怎么了哼嘘
1694392976# #成毅南风知我意cy成毅傅云深。或许记忆也会消逝，但缘份却是永恒。成毅，你是我的最初，也是我的最终。
1703987373# #电视剧莲花楼超话微博网友喜爱剧集他有一壶往事，足以慰平生，血热刀锋不如温酒一盏，冠盖京华不如小楼一座。成毅的《莲花楼》里都是故事，期待成毅，期待李莲花李相夷。
1704426391# #狐妖王权篇开机成毅超话。哇塞，富贵少爷太帅啦啦啦啦
1698747629# #好的。8号不见不散
1700116539# #期待
1696397105# #我投给了“成毅”~
1694911054# #转发微博
1703472753# #不见不散
1693880322# #哥哥，七号见
1696176914# #哇，我宝宝要回来了
1694943556# #满天星成
1696176621# #哥哥回来了
1694079409# #南风知我意傅云深快来快来
1698392328# #准备下班！。准备下班！。准备下班！
1703909248# #成毅DK制服cy微博KING和QUEEN。成毅，我喜欢你，像夏往秋继，冬逐春去，岁月依稀，无可抗拒。
1696523052# #请正视成毅先生的合法权益和粉丝合理诉求：告黑‼️出【告黑名单】‼️下架源头嘿视频‼️推送全网澄清‼️全平台【删除谣言通稿】‼️@成毅工作室微笑微笑
1691410321# #方家遭遇“阎王娶亲”，何晓惠不见了！方多病方寸大乱，幸得李莲花“越狱”前来支援相帮，方多病心情复杂。李莲花跟方多病探查地下城，发现黄泉府主还在这个城里！那么阎王娶亲的阎王，想必就是黄泉府主连泉！李莲花听过西域有种邪门功法，叫做“玉女桥”，可以将毒用内力过给别人，但只限女子。但用这
1695526281# #哇。今天是帅气男大
1704037473# #成毅超话举个爪，求个翻牌啦
1699668966# #世上再无李相夷悲伤悲伤悲伤
1696773657# #王一栩拉黑成毅粉丝和好吧，手拉手一起去高处看看
1695712376# #牛
1702538400# #我投给了“成毅”~
1695350945# #恭喜成毅
1700194654# #我投给了“成毅”~
1693880285# #成毅傅云深是我的傅总要来了吗？啊啊啊啊啊啊啊啊啊
1698218052# #哇打call打call打call
1696635394# #哥哥早
1704349190# #好漂亮。㊗️成毅狐妖小红娘王权篇拍摄顺利
1695780675# #恭喜成毅！！！
1695348046# #恭喜成为FARMACY首位卸妆品牌代言人！让我们跟随与一起卸逅澄净水感肌吧～💚
1697805104# #恭喜莲花楼，恭喜成毅
1704595243# #我的微博播报嘿嘿！我最爱的超话是成毅超话，在这里和大家一起创造的美好回忆，让新的一年充满温暖和力量，2024与我一起用超光影记录超影像！来
1694922369# #成毅哽咽的话太戳我了cy成毅直播。真诚的永远值得更多人喜欢！！！值得走的更远！！！
1695878895# #收到收到
1699974411# #电视剧莲花楼超话成毅李莲花一番大男主！！！。成毅李莲花一番大男主！！！！。成毅李莲花一番大男主！！！！
1696607948# #存。澄清
1695601518# #转发微博
1699924380# #成毅，这世界全部的漂亮，不过你的可爱模样。你微微上扬的嘴角，就像我余生度不过的桥。
1702568407# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！^^
1697795339# #好看唉
1694844058# #南风知我意我的评分：星星星星星星星星星星。“一个人知道自己为什么而活，就可以忍受任何一种生活”
1699575965# #哇哦~微博视界大会种子计划微光合伙人祝福我咯，收祝福，接好运！点击链接继续参与互动，下一次抽中的也许就是微光盛典观礼名额哦！
1695380476# #该用户主页含有大量对他人进行人身攻击，言语恶毒，造谣辱骂的内容，烦请永禁此用户，共同营造良好的网络环境。娱乐生态观察站&nbsp;@微博管理员
1694873019# #去去重去去，来时是来时。
1692958622# #该职业黑粉主页含有大量对他人进行人身攻击，引战拉踩、言语恶毒、造谣辱骂的内容，多次引起大范围骂战，烦请永禁此用户，共同营造良好的网络环境。娱乐生态观察站&nbsp;
1699883349# #哇，超酷
1694649833# #哥哥，想吃奶糖
1704333507# #和成毅点亮微博之夜cy成毅。成毅演技好灵，成毅打戏好看，成毅共情能力强！演员成毅，你太优秀了！
1696768828# #王权富贵cy狐妖小红娘王权篇。“万箭穿心终不悔相视一笑轻王权。”期待成毅精彩演绎
1691024242# #莲花楼成毅的跑姿真的要夸夸成毅的原声，真的代入感超强！！！
1698467832# #好看
1700918998# #莲花楼值得李莲花值得，成毅值得！！！！
1699430895# #转发微博
1696483895# #南风知我意29
1703644551# #微博KING和QUEEN成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅成毅
1694704782# #哥哥台词超棒
1700961243# #成毅很好，会越来越好
1698075681# #成毅超话秋日的暖阳，白色刺绣衬衫，与温柔好搭色成毅
1700837160# #酷
1698670858# #牛送花花
1703870909# #晚睡就是好哇
1699409271# #好的，哥哥。晚上见
1700918805# #成毅值得
1694841699# #电视剧南风知我意超话幸而仍有温柔，仍有心底不灭的光，向挚爱走去的途中，亦走向梦想与自己。
1700662159# #没见过的卢云宝宝
1701605595# #我来试试举手
1692891351# #我投给了“以上都是”~
1696586756# #优雅
1699928385# #莲花楼爱奇艺站内分涨至9.3cy成毅莲花楼。莲花楼就是好看！成毅就是牛啊！！！
1693743438# #帅
1704550456# #我投给了“微博之夜加速器cy成毅手指粉”~
1699534862# #恭喜成毅
1696918415# #官方通报北极鲶鱼事件啊？这……贪了9位数。
1703217702# #圣诞快乐
1696636561# #每日一善超话‍每日‬一善微风阳光信用。善良是春日里的和煦微风，善良是炎热夏日的清凉饮品，善良是秋日收获的喜悦，善良是冬日里温暖的阳光。
1700188264# #好帅
1696424718# #我投给了“都喜欢！”~
1695621125# #转发微博
1694854228# #是可爱淇淇
1701004183# #他那么好那么好悲伤悲伤
1702259177# #电视剧莲花楼超话2023超话大赏主打一个热爱！我pick的电视剧莲花楼超话入选年度影视啦心快来一起为TA增加热爱值吧！
1699441905# #成毅好帅
1690937084# #莲花楼我的评分：星星星星星星星星星星。案件精彩，打戏精彩。演员演绎的精彩。值得高分
1696983753# #我投给了“李莲花成毅莲花楼cy成毅李莲花李相夷@成毅”~
1689211202# #成毅超话成毅莲花楼cy成毅李莲花李相夷。李相夷消失于海中，李莲花于海中重生。豁达从容大智若愚缕破奇案。期待成毅的武侠悬疑剧《莲花楼》
1694492550# #晚上见，傅总
1698284797# #浪凡小王子。浪而不凡。恭喜成毅
1695359283# #恭喜成毅
1694496909# #成毅唱歌只有一句词哥。你是只会这一句吗。哥
1700029736# #我正在参与微博视界大会种子计划互动，点击链接进入活动，完成播种任务，就能抽取精美好礼，还能获取荣耀推荐机会为自己喜欢的剧综助力！一起来参加吧~
1703380725# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！！成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1700999827# #恭喜哥哥，一起越来越好
1695377010# #和成毅一起为中国队加油
1695107023# #喜欢
1698336320# #牛牛牛
1696264667# #我投给了“南风知我意成毅南风知我意cy成毅傅云深@成毅”~
1700186136# #成毅哥哥，你真好看，这世间青山灼灼，星光杳杳，秋雨淅淅，晚风慢慢，也抵不过公子你眉目间的星辰。
1697764801# #真好看
1699366988# #今天很帅
1699143169# #我投给了“成毅狐妖小红娘王权篇cy成毅王权富贵@成毅”~
1704076050# #2024毅淇越来越好
1703667230# #宝宝宝宝
1696378288# #哥哥早
1704034866# #成毅从天而降天下第一李相夷回来啦。成毅好帅啊
1701323189# #打call
1695874222# #转发微博
1700961598# #郑晓龙成毅热聊cy成毅绿海。轻舟已过万重山！这是属于成毅的绿海！未来我们也要一起努力，一起进步，一起越来越好。
1695134157# #恭喜成毅🎊
1695965788# #澄清
1692235316# #成毅超话喜欢哥哥整整一年啦。还记得去年熬夜看应渊，唐周，渣爹，为少年唐周身死而落泪，为应渊献祭苍生而心疼。后面补了哥哥的司凤，张起灵，小朱棣，齐焱……。了解了哥哥过去的经历，心疼……还好哥哥足够强大，一步一个脚印走到现在。看到哥哥被更多的人认识，了解，爱上……我也会喜极而泣。我
1699589186# #好帅
1695599722# #哇。云深宝宝
1702868622# #好美
1694520677# #期待
1700878849# #成毅太火
1695111806# #楼子牛
1702913600# #加油干就完了
1695108641# #转发微博
1694501147# #给爷爬怒
1699542606# #啊啊啊啊啊啊。帅
1699587756# #期待成毅
1702355010# #期待成毅
1694914865# #好看
1695911260# #淇淇宝贝太帅啦
1691281417# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1703408700# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~成毅官宣微博跨年开幕官cy微博跨年开幕官成毅
1694954411# #云深宝贝，振作啊
1700835983# #哇，这个衬衣羞嗒嗒
1699665167# #成毅真丝镂空内搭cy李相夷红绸舞剑。成毅，黎明的光总会穿过黑暗，你努力追求的也总能找到答案。愿你爱的人始终如你所愿，希望爱你的人一直在。
1693481072# #哥哥，晚上好。吃晚饭了吗
1695646776# #优秀青年演员成毅
1703830880# #好看
1699429502# #期待成毅
1701913664# #电子哈基米成毅传cy成毅自拍逐渐离谱。成毅，看到一句话，于千万人中遇见你，于千万年之中，时间的无涯的荒野里，没有早一步，也没有晚一步，刚巧赶上了，于是就有了现在的我。
1696148289# #哥哥太帅了
1699842338# #每日一善超话每日一善微风阳光信用。人生从来没有真正的绝境。无论遭受多少艰辛，无论经历多少苦难，只要一个人的心中还怀着一粒信念的种子，那么总有一天，他就能走出困境，让生命重新开花结果。
1703916283# #微博网友喜爱人物电视剧莲花楼超话李莲花李相夷
1695350961# #恭喜成毅先生
1693448635# #莲花楼漫画糖葫芦李相夷。李莲花都好喜欢！！！
1695864135# #大同未成年欺凌事件同校家长发声才9岁，不敢想象以后……
1693412054# #莲花楼庆功宴莲花楼就是牛🍺！李莲花就是牛！成毅就是牛！！！！！
1695787924# #开到哥哥啊啊啊啊啊啊。哥哥好帅
1703814840# #我在微博之夜集卡活动中为助力成功，每周集卡数TOP30必得盛典门票，你也来参与吧！2024纯真真好
1700930987# #晚安，好梦，还要陪你去更远更高的地方去看看
1701304882# #成毅莲花楼cy成毅李莲花李相夷。成毅，看到一句话，于千万人中遇见你，于千万年之中，时间的无涯的荒野里，没有早一步，也没有晚一步，刚巧赶上了，于是就有了现在的我。
1704034425# #哥哥新年快乐
1695083725# #小周法官。好久不见
1693788524# #莲花楼成毅牛赞打戏帅爆了成毅莲花楼
1689729384# #cy莲花楼有些人弃剑如遗，有些人终身不负。每个人的信念不同而已。期待走进电视剧《莲花楼》，走进李莲花李相夷的江湖。
1698553644# #存
1700923253# #一起走下去呀
1696043977# #是相夷啊
1700615547# #成毅爱奇艺尖叫之夜cy成毅李莲花李相夷。相信温柔内敛的少年总会有人欣赏，有人崇拜，有人爱慕。向上吧！成毅。你若盛开，清风自来。我们便是清风，静待你的每一个角色，每一次出现。
1693840939# #莲花楼43w+平芬。爆爆楼真棒打call
1703588951# #期待成毅的精彩表现
1695514008# #哥哥早
1695946566# #让我看看是谁节日还在上班啊羞嗒嗒。哦，原来是我啊苦涩
1700917380# #成毅获年度影响力男演员恭喜成毅老师
1694066364# #我投给了“追更成毅南风知我意cy成毅傅云深@成毅”~
1696898007# #我投给了“成毅狐妖小红娘王权篇cy成毅王权富贵@成毅”~
1704604994# #恭喜开站鼓掌鼓掌转一个@-77李李李
1695131879# #成毅牛逼打call
1703410964# #恭喜成毅
1704548524# #成毅超话微博之夜加速器cy成毅珂润全球品牌代言人。成毅，你是我绕过人间山河，才遇到的人间烟火。你的名字就那么几笔，却深深刻进我心底。
1696693981# #转发微博
1700922090# #成毅
1704593483# #成毅超话微博之夜加速器cy成毅珂润全球品牌代言人人生只要两次幸运便好，一次遇到你，一次走到底。成毅，如此美好的你，我们一起走到底。
1700796433# #哇
1690264674# #新中式衬衫好看，成毅穿上更好看
1697955330# #转发微博
1696990397# #恭喜成毅成为中国区品牌代言人
1703731524# #莲花衬衫好好看好适合哥哥
1690264965# #红绸舞剑鼓掌
1689382530# #哥哥，早啊
1700809894# #成毅超话超话星愿池非正式跨年派对。成毅哥哥越来越好。星途璀璨
1695130467# #南风知我意终于打call打call打call
1696767802# #期待成毅的精彩演绎
1701786517# #好可爱好可爱的宝宝
1695996428# #中秋快乐我宝儿
1691627486# #成毅，因为你值得
1692694744# #甜蜜告白季节，快来沾福气！中奖了，我在和你心动七夕活动私信明星抽中了情侣铭牌男款！快去给你最爱的明星私信告白吧，也有机会像我一样幸运降临哦。据说多发私信叠加buff夏日青春派对
1699793275# #是卢云
1696516861# #哥哥，晚安啊
1699513627# #种子计划这条博文好有趣！这不得赶紧分享给家人们一起看看~
1693634189# #台风苏拉风雨影响广州天河区没什么感觉……
1693280335# #我投给了“现代警匪”,“现代悬疑”,“民国剧”,“大男主武侠”~
1700790828# #这世间再无天师唐周cy成毅爱奇艺尖叫之夜成毅，你让我想起光辉，希望，以及人间的美好。
1702352630# #我投给了“成毅成毅老师塑造的每个角色都值得我们喜欢@成毅”~
1693536588# #李莲花真婆娑步哈哈哈哈哈哥哥跑步粉来了成毅
1703774749# #成毅唱的好好听
1703056866# #微博之夜我推荐为2023微博KING，千万人中得以相遇，再看亿次还是心动。一起来推荐你喜欢的微博KING和QUEEN吧~戳&gt;&gt;
1692696741# #转发微博
1703121901# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1699623404# #从六点蹲到现在。服了真的服了~
1703382233# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1704505416# #成毅超话微博之夜加速器有句老话“吃得苦中苦，方为人上人”！成毅，你的努力没有白费，你的今天是你一步一个脚印走出来的，大家都看得到！所以你的未来会更好！不忘初心，方得始终！
1691759221# #哥哥厉害打call打call
1704244889# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1692966339# #期待成毅羞嗒嗒
1703123954# #如此恶劣的行为可以在网络公众平台毫无顾忌的传播，太可怕了，微博是公众平台，也是门户网站，请平台履行职责，不让社会不良风气弥漫贵平台，永久禁言吧娱乐生态观察站&nbsp;蔚蓝计划&nbsp;请处理作揖
1699856696# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的李莲花/李相夷荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1698589215# #电视剧莲花楼超话莲花楼最喜欢的一句台词是。那高处我去过，没意思~
1698200580# #2024春节放8天假？从大年初一开始放？合着除夕不算过年？
1695863935# #泼天的富贵要到文具届了得力：这泼天的富贵啊
1703056858# #微博KING和QUEEN演员成毅
1700460087# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1693486911# #和哥哥一起向着九月出发心心心
1696398046# #成毅新剧是女婿见家长模板又体贴。又温柔。又暖心。这样的男朋友请给我来一个。
1700112581# #期待成毅
1696179154# #哥哥笑起来真的很好看
