1700463392# #快来看小黑
1701092023# #…………求个课代表？
1696431610# #说起来，李渊那时候应该怎么做？太子和秦王。。最近在看贞观之治
1694348046# #感谢我亲爱的学生们，巧克力呸茅台
1703334510# #蒜头不好吃的样子，说起来，什么蒜头最好吃？
1695355267# #………………这是摆贡品的八仙桌啊……怎么可以踩踏！
1696677378# #谢谢来宝的爱，“以后你在野外就不会没信号了”。太暖了泪泪泪
1701696147# #没太懂，关于举报假唱的证据，是不是就把演唱会音频与发行的音频在软件里面对比，如果一模一样，就是可能有问题？这逻辑吗?
1696598711# #三重肯定表否定：。啊对对对。三次重复表否定：。你看看你看看你看看。你啊你啊你啊
1689070055# #国航通报ca1524航班颠簸记者问我，我的朋友看到我的新闻后都怎么表示？。第一波慰问电话是三位编辑，分别拖稿了三年，一年，11个月。。记者………………
1688998994# #难友啊哇哇哇
1700828704# #模型实在太多了，感谢几位主要的卖家一直帮我记着哪些我有，哪些没有汗汗汗
1689723308# #这两个大人真不像话，那是我家的。
1700359774# #我拿砂锅把大米做成了米饭，小飞龙来看，非常惊讶。我说，你是不是没见过电饭煲之外的工具做成了米饭？。“不是，是你居然没搞砸”。悲伤悲伤悲伤
1702184779# #第2场好像已经满了，第1场冲~~
1698280279# #可能是目前最憋屈的一任
1696604152# #我小学同学第一个走的就是水库溺水
1697513809# #今年第五次摔碎手机屏幕了。
1698385077# #请问这个黑糊糊的香蕉是啥？
1703057429# #今天吃了过期6年的曲奇之后食欲大开，吃了昨天的半个苹果，前天小飞龙舔了一口后不吃的冰棍，上午盒马的冻柿子，两罐可乐，一罐雪碧，34个青口，12条皮皮虾，1个水牛奶酪，2片面包，还很饿现在……
1704179573# #来宝你自己被自己噶了，快看看
1700307623# #华为零件京观悲伤悲伤悲伤
1691583198# #能认出什么恐龙吗？
1703124369# #我用PS上下重叠了也没有明显差别啊，女的网格大0.2毫米？
1698724000# #TheFigofFrankenstein(2023)《弗兰肯斯坦的鬼无花果》
1693968790# #要一辈子挖泥巴的话，考古是社会科学，历史口，古生物是自然科学，是地质+生物口，我相信你这样就可以对症下药了
1700126214# #手机拆成这样看了特别安详。
1692072778# #微博公开课恐龙骨骼，恐龙蛋，恐龙足迹，三位一体集合厦门科技馆临展厅，如果说有一展能结合真化石，柔知识，空间美学，视觉与互动俱佳，那她就在这，是目前国内恐龙展天花板，是恐龙米其林三星，值得专程到访！
1690607863# #这次没踩雷，河池溜须老奶奶粉，好吃😋
1695719711# #试图考番薯结果炸了一个生病生病生病
1695546847# #感觉身边没人提亚运开幕式和比赛，我的朋友圈有问题……
1699937237# #教我拆机的老师我对不起你悲伤悲伤悲伤我现在满手玻璃渣龙妈正在救我
1696475885# #所以，猪鹿鸟在哪？
1692680876# #一封来自日本恐龙的邀请函今天来到福井，午餐是越前蟹米饭和各种蔬菜，亮点是餐具一水九谷烧。
1688734760# #求推荐给初中生看的中国地理片子，纪录片啥的，小恐龙这块比较弱，为啥叫山东山西，河南河北啥的都不知道，还不如伊娃。
1696815259# #把捕嘤草放在浴室模拟热带潮湿环境他一定很开心啊！
1697022932# #左边是北美的副栉龙右边是中国的棘鼻青岛龙它们是不一样的鸭宝
1702444108# #小恐龙：弟弟，你知道什么是事情的一个圆环吗？。小飞龙：母鸡。小恐龙：我起床后给伊娃做饭，妈妈起床后给我做早餐，爸爸起床后给妈妈做早餐，这就是圆环。小飞龙：哦，伊娃起床后给爸爸做早餐。。…………
1697872214# #特化的指鸭~~~
1701581344# #这段是很甜单身狗
1701064125# #跑狼是啥？
1702287511# #我可怜的学生啊，去拍雪后的天坛和故宫（很好看吗？），摔断了腿和肋骨裂了，现在还在急诊排队。不知道相机咋样了……借的是我的悲伤
1700725889# #转发这条微博，抽一人送66元🧧。。。今天的上新的羊毛衫、羊绒衫，选了整整一个月才敲定。要真正好穿的羊毛衫羊绒衫，又要好看，价格也不能太贵。。。欧丝璐成立于2002年，是做羊绒生意起家的，算是国内比较知名的羊绒衫品牌。在大电商平台欧丝璐也是类目里面排名前几的。。。这次我们上了100多款，男款、
1702698784# #保护性免职吗？。东方甄选人事任免通知：俞敏洪兼任东方甄选CEO，免去孙东旭CEO职务。。金十数据12月16日讯，12月16日，东方甄选发布人事任免通知，董事长俞敏洪兼任东方甄选CEO职务，免去孙东旭的东方甄选执行董事、CEO职务，即日生效。
1689259020# #嘤嘤嘤的福利要三叶虫吗？评论带序号，如图1234，每id限一块。首评，次评，最高赞，第二高赞，每人一块，默认sun丰到付（陆运）。截止19号，20号发出。
1704291132# #这2024一天天的，哎，这老百姓太苦了
1696573969# #宝蕉叶贝
1693753110# #该死心动了
1695373200# #抽奖前预热~~全网首秀，桌面萌龙来啦！恐龙迷们你们有没有想过把恐龙带回家？在读书工作之余，你是否想在桌上的一角找到一小群或是休息，或是打斗的小巧恐龙？现在，幻想成真的机会来了！你也有机会把宠物恐龙带回家！MXDINOSAUR“中国恐龙”，系列恐龙模型即将上线！。“中国恐龙”系列高还原度恐龙模
1701670620# #猜猜看这是傻子？
1699409582# #这能吃几次？
1703726857# #什么鬼都不能活着离开广西的样子……
1696037583# #鲸
1697026819# #太有爱了，吃了以后种起来吧（记得泡水催芽），门前种两颗，然后到车站站台路上再种几颗桔子。
1703640909# #小飞龙问我唐朝对中国两弹一星事业做出的贡献？啥莫名其妙的问题悲伤
1704354948# #“能活下来纯属命大”
1698392793# #谢谢宝，么么哒
1699318033# #是的啊，帽子=人才=破格擢升=学术+生活资源倾斜=学术爸爸身上的金色鳞片=体检多几个项目，还是对身体好的。
1692763004# #一封来自日本恐龙的邀请函福井恐龙博物馆的恐龙咖喱饭，有一种恐龙陷入泥潭的美好观感啊！
1698887996# #感觉这几天北京空气不太好，回北京几天觉得糊嗓子
1701443993# #做了评委，看了几天科幻小说（断片，中篇），现在的人太能写了，远超预期，真好啊。
1697352569# #澳洲师兄说自己小麦过敏，来国内的话咋，是不是就吃米饭？鱼，肉，青菜之类ok的
1701787467# #王鹤棣去了吗？我学生喜欢他又不好好学习我想给她搞个签名
1702962681# #还有两个小红车
1693530662# #哥哥学校开学典礼请来的是丘成桐院士太开心
1696933940# #这是边牧妈？
1703942393# #吴京会把酒砸向MOSS并说新年快乐撒意思啊？……我问问……
1696148730# #是，这种相当少见，不怪大家觉得不是。这种恐龙蛋是博物馆级别的宝贝了。
1698377835# #吓我一跳我以为空袭伊朗了黑线
1695987683# #国庆档咋样？前任4还是电影坚如磐石？陈凯歌的看过了，你们咋选的？
1699153131# #有没有大可爱小可爱认识上海明止堂鸭嘤嘤嘤嘤，在嘉定
1699863181# #烤得刚刚好悲伤悲伤悲伤饿了……
1702599719# #小飞龙上网课，突然掉下个权限，于是把全班禁言了，自己打游戏，老师着急打飞龙妈妈手机，关机，允悲允悲，跑微博留言来了泪泪泪泪
1691897185# #日本朋友说“清凉商务装”，是啥？
1699837182# #富春山居图咋来的？古人居然也是写实的……。现场嘤嘤嘤太美了旺旺没想到这么好看
1696746107# #伊娃昨天掉垃圾堆之后就变成一个红血球不理我
1691283002# #我学生家人半夜摇醒了，嗷嗷跑出房间，吓人
1691141668# #不知道名字的小东西可精致了
1694586918# #悲伤悲伤悲伤感觉有点苦
1696247645# #兰州烧烤不行啊，叫了几家外卖，难吃得很，是不是没选好？
1696770456# #三年级写这样是不是不太行啊？
1700268018# #昨天忘记告诉大家了，我抽出来了，好长，然后螳螂走几步就走了。
1702433764# #现在下雪通知停课以前下雪通知带锹这算啥，我中学交了五六年游泳池建设费，毕业后1周，竣工了。
1700710112# #岛内政治生态，没有什么纯白，白透绿是大面的吧我觉得
1697334674# #春游家族冲呀~
1692274414# #东北这些炸鲤鱼的表情好生一致。
1692251553# #小笨鸡炖榛蘑小笨鱼翘嘴大笨猪。东北的笨是溜达的意思对吧？
1702215249# #菲律宾BGM：监狱风云
1697675460# #我昨晚都发了什么诡异的微博艾玛悲伤悲伤悲伤
1696518329# #挺好的，缺件找我啊，我有92只F-14，包括各大牌子的遗体捐献机
1702035906# #嘤嘤嘤的福利评+转＋关注微博，5天后抽1位小可爱送出由塑唐玩具提供的【万代1/32Imaginaryskeleton沧龙骨骼模型】！。。塑唐玩具模型周再度来袭，众多热门款式高达拼装模型即将悉数亮相！小伙伴们手里屯的高达是不是快拼完了，速速补充库存开心跨年~。。当然！大家期待已久的模型教室也不
1698568569# #能看到第二个无人机在哪儿不悲伤悲伤悲伤
1692457571# #外滩这海啸般的人流啊
1701565270# #“TikTok和X是我们获取原始新闻的唯一来源”踢唾做到了政府想做了几十年而做不到的事情啊……中国声音出海允悲
1695652931# #禄丰龙
1692624362# #提前一个月预定的鮨みずかみSushiMizukami躲藏在一番町，粒粒分明的舍利所使用的米醋酸味秾纤合度相当好，颗粒感很强，但酸度也很高。整体是标准的江户前风格，主厨水上在二郎六本木店工作十多年，对二郎系的接承已经深入骨髓，速度也是如此，一贯接着一贯，要你快速塞饱饱的，鱼获都是当季的，金枪
1697170851# #我戴了龙妈给小飞龙买的电动车头盔，硬塞进去了，现在拔不出来了……黑线
1689820026# #苦涩苦涩苦涩
1700575601# #还可以的，有精神气至少。
1691469636# #无人机炸了……可能太热允悲
1696670373# #被我亲亲一碰就断了……金属疲劳吗？
1697455127# #今天把中国角龙砍了左腿，用补土掰直，实现了不用地台站立
1697958569# #这一季的洛基感觉不好看鸭？
1701483084# #旺卡有票票，好想去悲伤但想带小朋友去小朋友都说没看过查理叔叔的巧克力工厂，会不会接不上单身狗
1699663423# #可可爱爱！
1698025736# #最高境界啊，安全带回缩的时候我的手机屏幕和卡头硬碰硬，果不其然……悲伤悲伤悲伤
1703680060# #微博公开课25日，恐龙博物馆，恐龙科学馆正式签约，历经222天，联手广西卡斯特原创恐龙IP白垩纪，携手广西规划馆，我将兼任初创馆长，与同仁共垦中国青少年儿童恐龙科普的试验田，将最新恐龙知识，三维动画，三维打印，创意互动，乘法糅合，力争做民营恐龙科普场馆的排头兵😁。我会在微博更新建馆
1688814640# #冻干复水后软软的伊娃可以吃拉～
1697022002# #23年前是石器这款游戏，赋予了我对古生物学的热情！我也希望能借着这次与《石器时代：觉醒》重逢的机会，把当时从这款游戏中获得的美好传递出去！。期待再一次，在尼斯大陆上跟老朋友们一起冒险，重现当年在渔村一起愉快聊天的时光！。。石灰们，10月26日即将上线，我们不见不散！。预约游戏
1703506732# #不要乱点啊，他们不知道我叫嘤嘤嘤啊悲伤悲伤悲伤
1691060178# #西藏土豆丝，像鸟窝
1700999968# #转发这条，抽一位朋友包66🧧。。。今天的上新款，选品团队小伙伴都超喜欢！没有合作之前就已经自己买过他家衣服了。。。是一个专注于青年文化和街头领域的品牌。主打日常街头休闲风格，提倡舒适的生活方式。。。为了不影响他们在其他平台的价格体系，我们就不提名字了。但是看到服装款式，应该就有人能猜出
1691589912# #今年中日恐龙营的物料好可爱，尤其是的贴纸
1696397762# #甘肃古生物之旅完美收官啦举手。遇到了许多河湖相的化石，是湖鲜之旅允悲
1693143759# #唉:-(
1690188633# #斑马肚子有一条黑线融合左右条纹耶，第一次看到
1695309758# #现在簋街是不是比以前萧条多了
1698719418# #给龙龙吃果果。可怜啊，侏罗纪的，都没吃过水果
1694872399# #为了把冰箱贴补齐，我又拍了8000左右的东西，不知道龙妈知道后会不会夸我给人家省了邮费哇
1688820357# #飞机上帮小姐姐提行李扭到手了实在太重了好丢人
1689466045# #整了块云化石，咋镶嵌好呢？如果是你要怎么做？
1695872746# #顶不住也要顶，嘤嘤嘤多可爱
1695003541# #窃蛋龙类的蛋皮
1694258514# #感觉好新啊！。喵星人的小秘密宁城的猫砂有多硬核
1697284775# #完全看不懂啊，SdKfz.231大八轮伪装成潜艇，图个啥？。
1699750886# #悲伤悲伤悲伤这一大早
1697126037# #这又是为啥？
1690452088# #昆明的酒店读物，很卷啊
1698051733# #这破酒瓶子悲伤悲伤悲伤现在客人们在帮我止血
1699782903# #我好像弄坏人家恐龙了……悲伤悲伤悲伤
1704179369# #这如果每一个安上一丢丢题和题，夜袭敌军。先画条龙，然后嗷嗷嗷啊啊啊嘤嘤嘤撞上去，应该挺有视觉效果的。二毛
1698418818# #鲍鱼的英文是“俺不弄你”，Abalone，师兄说是来自源自加州的蒙特雷（Monterey）原住民的“aulun”，意思是蜗牛，经由西班牙人传入成为英文，原住民用鲍鱼壳制作各种鱼钩、珠子、装饰品和其他工艺品。。图源自你土
1704447400# #怎么感觉谈起了恋爱……很甜啊
1703847429# #可爱的蝉宝宝嘘，你焦黄的时候最美
1696503415# #贞观之治看口型，草原十八部好像是突厥？
1690317871# #年纪大了看不下这些唉泪
1693015273# #不知道有没有丢中国来源的？
1703162125# #跪了比欧洲水桶还多……
1695458715# #遇到啦！后天要坐啦！
1694682763# #「已送出」送全新森贝儿家族探险系列树小屋加两盒小角色，限北京（五道口）可自取，因为不想邮寄有点麻烦悲伤，限定北京也没法抽奖，就私信我呀先到先得。
1691726847# #爸爸是翼龙，妈妈是蝙蝠。么美丽新世界
1698462713# #社会可怜人太多了，而温暖难寻，大家从身边做起日行一善微风
1697600248# #刺刺的求关注求关注求关注
1702949033# #道文跟老板一顿猛夸他家辣子和羊肉汤，说北京好友来青海唯一的想念就是他家辣子，高冷的老板都不好意思了，必须答应给我搞一份破涕为笑。这家店因为被打包辣子太多而给饼夹辣椒🌶️加了一元好像笑死我了
1702804250# #看淡一切的佑佑。“反正也不是给我吃的”
1698135258# #你看看人家6雪豹也拴着绳子
1701313126# #基辛格逝世以前读过TheNixonTapes，是DouglasBrinkle和LukeA.Nichter合编，从3500多小时的录音内容整理出来，大部分情况下，与尼克松对话的是基辛格，他们一直讨论如何应对美-苏-中大三角关系，这是一个错综复杂的过程，不太记得是不是这一本，但基辛格也涉及到很多中国入联合国的事儿，里面最
1692418698# #糟了，我把健胃消食片当润喉糖吃了三天…………
1699004670# #所以建德是一个县级市？好像很多山
1694484691# #想坐，嘤嘤嘤
1701247044# #我说不要买的书，叫他送。。“不！我要支持肥叔叔！”
1696590967# #废物点心这个词到底咋来的？废物和点心怎么在一起的
1690127602# #咒术回战第二季嘤嘤嘤，五条妹妹你怎么这么惨苦涩
1692748938# #一封来自日本恐龙的邀请函看恐龙的一天要从牛肉饭开始！
1688786052# #偶遇，和小恐龙同学聊天。问你平时爱好是撒？打游戏。打游戏什么时候最好玩？装小姐姐骗男人。啊？你说两句。。我听后真是震惊了，可夹可酥。这些乱七八糟的天赋有啥用……
1691452147# #感冒药在西藏变得气鼓鼓的像河豚鱼
1702371447# #“一呆”是什么意思？我没学好日语你别欺负我
1691680669# #打卡云南美食~
1698463378# #想起我出野外误入靶场的悲惨往事悲伤悲伤悲伤
1696299986# #大孩子小孩子都非常开心可以拼一只暴龙类的大恐龙和一个傻乎乎的小角龙举手举手举手
1694156764# #可怜的娃，都散了允悲
1694266148# #腾冲烤爸爸，😋好吃
1696389105# #是真的香鼓掌鼓掌鼓掌。桃宝搜meng恐龙
1697371625# #开售啦，评论有指路～关注工粽号还有奖，每人送12双羊毛袜子。
1689835711# #“儿子你野外回来了吗？”。是的，昨儿中午到的。“辛苦不”。挺好的，。“帮我下以下文献。1...........。2.........。3.........”。。…………我以为是来关心我的。
1695397889# #天爸！
1697941467# #爷爷奶奶有一千多万还在当保洁原来广州上班的时候门房的大姐拆迁了，赔5并五折认购5，算下来，按现在房价大约1.5亿吧，去年回去还遇到一面，朋友说大姐每月收租，也日复一日年复一年上班，搜集大家的纸箱和瓶子，巨额财富带来的唯一变化，是太脏的垃圾就不捡了允悲
1701734520# #喜茶涉嫌违反宗教事务管理条例被约谈。仔细一看是菩萨。。了解佛经的人会觉得菩萨不介意。相。。但管菩萨的人介意也是要约谈的。。此前边界感明确吗？
1696384798# #不秃的
1693134820# #巨大的花鲢。20多斤，一个鱼头就盘子这么大
1702474047# #这不是电锯人钱嗦吗？
1703388972# #动森真是很治愈的回忆鸭
1696382554# #“来一碗拉面，不要面不要肉”。……感觉旁边的人纷纷给我让路好像我是深井饼
1700575518# #啊？出啥事了
1704171826# #蛋蛋冲啊！
1691195818# #你说狗子吃了16年狗粮就不腻吗？
1699063797# #垣曲北白鹅墓葬群m1墓主人腰带饰太可爱了叭，想做一些类似的来玩悲伤悲伤悲伤
1694071264# #噗允悲
1695034912# #给大家看一只掉头狗子，它走入泥潭发现不对回头了，四足动物掉头足迹太棒啦啊，要求学生拍照绘图测量
1698998561# #杭州这“狼烟”有点复古的感觉举手
1692085335# #小飞龙抓了一只餐厅的蜗牛，一直在思考它的眼睛在哪里？哈哈
1702553755# #人没事吗？好久没做地铁了
1691997587# #嘤嘤嘤的福利【“科技力”爆棚的中国军事车辆绘本百科，不仅是“硬核”那么简单！】转发+关注微博，抽其中两位粉丝，每人送出这套中的随机一本！（8月20号开奖）。。最近，我们的解放军把一系列让国人倍感“底气十足"的装备纷纷展示到互联网上，。与此同时，一套“科技力”爆棚的《中国战车科
1699603093# #刚刚桃宝上买一个哈利卡特模型，砍价的时候嘤嘤嘤，。被认出来，是邢老师吗？吓哭了，嘤嘤嘤……
1701666404# #柳师父可以看看《红猪》。
1696147655# #野外发现一套白骨猜猜是谁的
1690503001# #这片啥海域？不会读
1697882697# #欣闻唐老师和我的书【《中国常见古生物化石》（葡萄牙文）】入选2023年“丝路书香工程”，“丝路书香工程”是中国新闻出版业进入国家“一带一路”倡议的重大项目。全书以化石爱好者在野外能够发现的化石和古生物博物馆常见化石为基础，对400多种中国常见古生物化石的分类地位、化石产地、地质年代、生
1702358680# #伊娃去踩雪，手弄脏了，我拿了湿纸巾去擦，它生气咬我。。我告诉她，这要是驯服的早期，你就是被摔死的！。伊娃到现在还在道歉。
1695526300# #水真的有点冷🥶恐龙足迹倒令我很温暖
1694270209# #等我的定制旧化光剑启程啦哇哇哇
1690430214# #对，我数了数记得有10只
1697783266# #小恐龙问白左，白极左，白右，白极右，怎么理解，有啥简单的比喻吗？
1698842885# #🎁：转发这条微博，抽一位朋友送创意台历一份。。。今天的行李箱给大家一款氛围灯和胖柠檬2024年创意台历。。。在氛围灯饰这个类目里做了20年的全球创意领先品牌——AugeLight。它创立于2003年，拥有100多项专利技术。。。他家最大的特点是设计非常巧妙，里面的灯丝可以随意变动造型，倒立就能恢复原状，
1702725387# #我刚收到，我一口咬掉了姜饼人的头，小飞龙气哭了……
1692837279# #一封来自日本恐龙的邀请函人参就是胡萝卜🥕啊！？
1694054735# #嘤嘤
1703848760# #在广西，似乎是中国可以吃到12生肖最多成员在桌上的省份？10种同框？
1694570170# #咸鱼经常能遇到讲道理的卖家，可好玩了
1690428871# #Hobbymaster的速度真快啊，直接想象出一个二毛F16……。
1700368587# #怀柔的空气太好了！虽然我鼻子堵了悲伤
1701918455# #昨天网络有一个视频上面缅军倒下很多，在路的一侧为主。网上说这波人要去抄小路打同盟军，被伏击，还一种说法是逃跑时被伏击。。一位网友河西表示这群缅军大概率是被伏击致死的。为什么说是伏击，看他们都死在一个方向，是中了pla连排战术教材里最典型的伏击方法。画了张图，1在高处先开枪，路上的敌人
1692522908# #恭喜
1700463619# #唉。美食荒漠。海淀。。-----------------------。嘤：中午的羊肉真的很新鲜，但。新鲜不代表好吃，好吃的话要看产地，要看这个羊它生前吃什么，以及这个羊是什么种，还有羊所在草地，它的生活环境如何。其实在法国吃牛排也是。。嘤：唉。京吃：我其实你看很少评价潮汕火锅儿，就是因为潮汕能吃到好
1699682758# #这个不用担心，解锁肯定会丢资料的
1702523248# #36岁还这样，欠抽。得，社会抽。
1702647845# #黄鼠狼，它的后脚直接踩进了前脚留下的痕迹
1700541721# #摔碎了一个大号的咳嗽糖浆，波力和药水到处都是悲伤悲伤打call
1696688679# #手机屏幕裂了，这种咋整，桃宝？还是去啥线下店？
1690631822# #打卡南宁海鲜和251天鸡捞
1691319538# #我发一个原图，有没有人能够帮我复原出这鸟撞上去时候的姿态啊？
1689821876# #感觉这个办法不太行？我还是一嘴沙子……
1697979099# #小飞龙的童话被你们夸了之后，又写了一篇……显眼药水艾玛：。------------------------。最美花儿是哪一朵？。。从前，有一个美丽的森林王国，国王每年都会举办一场盛大的选美比赛。参赛者都是森林里的花朵，她们为了争夺最美的称号，纷纷展示出自己最美丽的一面。这一年，玫瑰花小萝丝也参加了比赛。她信
1690539699# #微博公开课广西非遗美食地图。今晚全部上哇
1699708220# #这是什么娃娃啊？想扣
1704016058# #生病感冒吃惊
1701871605# #大家帮帮，要注册个机构，。想了半天不知道什么挂在恐龙前或者后比较好听，下面这些都用过了：。恐龙帝国恐龙世界环球恐龙恐龙城恐龙欢乐园恐龙王国恐龙星球。有啥主意吗？？
1702726540# #要是10年前有这个我就不会被熊偷家了啊！
1704291282# #邢立达的行李箱本周的上新来了。。。2024年的第一场活动来了！先祝大家在新的的一年里万事顺遂。转发这条微博，抽1位送66元新年红包！。。新的一年，新气象，从对自己好开始。所以这一场我们上的产品是居家睡衣和家纺。。。这次家居服风格比较可爱，选品团队拿到手的第一感觉就是：软糯舒服。而且有带胸垫
1702522946# #感谢这次活动让我知道得更多，一些大国企，他们只做不说，或只做少说，如农行的乡村振兴金融产品和服务模式创新，扎扎实实帮助了中国最大的群体，乡村的兄弟姐妹们，一切如同春雨般润物细无声，以坚定的担当和责任感，助力乡村发展，让乡村焕发出新的活力。
1690465088# #你真的我哭死苦涩
1695002377# #发个原图，看看恐龙蛋在哪？
1692416221# #恐龙书不重要，叔叔带你去挖真的。
1701418227# #大家帮我想想，此前不是全网征求柴犬要测量数据嘛，现在狗狗有几十条了，但我没想好怎么取得足迹数据对主人是最便利的且对我最有用。我需求的是良好的足迹长宽，有照片更好，考虑到主人们可能直接抓小狗量脚底方便？担心误差太大。但取足迹的话，可能弄得湿哒哒的……郁闷
1697873784# #被贵州citywalk惊艳到了看，鱼龙的指骨，其实就是这样，特化扁化成盘状。图网
1690471492# #悲伤悲伤悲伤这配置……
1699334943# #唉，这可怜的，人生嘎然而止步……
1689432576# #这次内蒙研学实验团怎么算都亏钱现在我明白了……天天超标吃饭太辛苦了……
1698416767# #刚刚袋鼠国师兄叫我滚。中国妹妹问他无花果的英文，他说fig。我就在旁边说“嗷”。妹妹说figureout啥？无花果的英文到底是啥？。师兄说fig，我说“嗷”……。才重复了5次，师兄叫我滚泪泪泪
1690078996# #巴彦淖尔捡到的珠子找到爹了！谢谢沈阳博物院嘤嘤嘤
1700916218# #我随手抓了一个恐龙的乒乓球拍去垫烤盘好像把球拍烤舒克了……悲伤悲伤能修不？要整个换了？好像还挺贵，要不马克笔改个黑色？帮我粗粗主意
1692587068# #一封来自日本恐龙的邀请函东京国立科学博物馆海洋展特別展「海-生命のみなもと一」SpecialExhibitionTheOCEAN-TheOriginofLife展品很有趣，从黑烟囱到复刻独木舟，颂唱了人类与海洋的缘。。微博公开课
1702025348# #圈我干撒！我不可能这样！
1700640945# #请问这是哪个番剧悲伤
1698238480# #摸摸你
1690295537# #今天是本期云南恐龙研学营的第一天～王涛老师，本课题组的小付研究生为大家介绍禄丰恐龙化石保护研究中心、云南禄丰恐龙国家地质公园、饱满街恐龙足迹点、苍岭鱼化石群遗址，采集了矿物，画了恐龙足迹，捡到了小恐龙渣渣骨，小朋友超开心~
1704073711# #遇见长江口跨年趣启东日出江海梦启东方江苏最早见到太阳的地方，迎接2024年第一次日出！
1695345832# #啥游戏啥剧这么吸引人捏允悲
1690317799# #生活就是打地鼠，解决完一个问题又冒出另一个。
1696556445# #龙妈摔坏了我的铁飞机【图1】，碎了，还掉漆，可惜得很，但这个飞机原配没有起落架，干脆一起处理了。让好友买了板件，做了移植手术【图2-5，地面模式，天线等】，还挺成功！
1697436687# #生病我的老微博自己都不想再看一眼
1698281456# #一大早豁豁了求关注
1702099194# #我找不到湿的毛巾，我就拿🐶尿垫盖在螃蟹上面。倒了几杯水上去，结果没想到这个吸水性能这么好，螃蟹全干死了。
1694752205# #云居在山野任何一位恐龙猎人，都知道东北对研究的重要性，我探秘东北恐龙二十余年，亲眼目睹东北振兴之路不断注入新内涵。此次蒙《云居在山野》栏目邀请探访伊春，见证振兴林下经济的点点滴滴，看到伊春人如何把“绿水青山”变成了“金山银山”。伊春，有一个更加曼妙的名字——林都
1689183001# #刚落地，这次飞行很平稳，就是我丢了一边的AirPods，空姐小姐姐帮我找了快十分钟泪最后发现卡在后排睡觉小朋友的被子边上汗
1700653982# #哎，继续转进
1694170572# #感觉伊娃变细了
1702134088# #哈哈，万物都可联名恐龙
1699418703# #不救的话感觉要淹死悲伤
1692759366# #一封来自日本恐龙的邀请函万物皆可恐龙
1699322358# #一大早摔了一个标本悲伤悲伤悲伤
1701786045# #小飞龙写了一晚上这个。动词过去式不规则变形常用。没啥意思
1697779663# #爱吃烧鸡和蛋黄派的可可西里网红狼让我想起加拿大的时候我摸了一只卡友莉，给了火腿肠然后它在我家死活不走的事情……
1704027549# #跨年马桶台的舞台帅哦！有点像无限城
1690723144# #古卖萌奈奈。萌卖骨妮妮。啥意思啊？
1702013227# #开会开到一半不知道谁提起来二毛的大反攻。大家七嘴八舌。哎，这口政都是专家。。但说起来，大毛目前的最终目标是什么？。1，泽下野？二毛非军事化？。2，完全拿下乌东四州甚至余下的沿海两州？
1699503792# #转发这条微博，抽2人送图1宋朝硅藻土香薰挂饰一个。。。龙妈会根据不同的季节更换掉客厅和卫生间的香薰，她说因为当下的气温和身体感受不一样，所以感受到的气味也不一样。。。有时候我回忆起什么，会发现原来记忆和香气和捆绑的。香气是有形状的、是具象的。。。所以今天上新的商品是香氛品牌，名字很好听，
1693465134# #最近是不是蒿属开花，花粉量大啊？眼睛痒、打喷嚏、流鼻涕苦涩苦涩苦涩
1695777417# #一大早吓一跳
1691077157# #看这嘴巴好像伊娃不是很开心的样子
1695086667# #为啥我要乱摸东西呢？奇怪的老婆提醒
1692707122# #一封来自日本恐龙的邀请函微博公开课小恐龙可怕日记。。22日周二，晴。是时候告别东京了，主办方考虑到新干线可能对行李蛮多的团员不方便，决定以飞机前往日本恐龙圣地——福井。福井在日本，相当于自贡在中国，毫无悬念的恐龙之乡。但博物馆之旅其实是在明儿。。。福井并没有机场，最近的机场在石川
1703126337# #Wedgwood83年的恐龙盘，这审美在线的啊，哎
1694741729# #这个机头涂鸦Mount'N'Ride翻译什么好呢？应该是mountainride，n是口音说法。群山骑行？
1700796348# #知道泰迪熊为啥这么叫了，确实很像熊啊
1689163849# #今年看到几篇盲审博士论文都写得很好，想想如果不是癔情干扰可能可以写得更棒，心疼孩子们
1688618377# #劝了朋友一小时，她给儿子买了几千块辅导资料，现在毕业了，去了一个坑校，发现辅导资料都是全新的鲜花就炸了
1698204839# #我一天都不想休息
1695098579# #在休息室好无聊，对面陌生人提议比赛吃泡面，就是一小桶一小桶那种，一般人一顿饭能炫几个？三？不喝汤
1700733127# #如果那时候装备再好一些，低配版苏军的话估计推到花生汤不是不可能呀
1692175042# #这只小鹿叫壮壮。
1695706229# #电影志愿军雄兵出击冲，首映我来了
1698101691# #双方都心知肚明吧？
1694792018# #伊娃：哈利波特和邢立达
1696260015# #感谢来宝半夜投喂酿皮憧憬憧憬憧憬
1697679983# #密支那琥珀市场悲伤悲伤悲伤
1697590786# #名字要长鲜花鲜花鲜花是重要的会议求关注
1704343731# #研究生的自我推荐里面，特长：xxx，xxx，排队。。这很难啊？
1692592102# #请问东京大阪有没有推荐军模的店啊？悲伤悲伤悲伤
1701939138# #到了一批灰机模型允悲允悲允悲。来帮忙拆不？
1701082386# #昨天行李箱的上新大家都看到了嘛？款式和质量都很不错，价格也很好。图一、二仅需139元，图三羽绒服319元。。。评论有指路。关注同名公号【邢立达的行李箱】了解更多。
1689560373# #我说沙蜥你脱皮脱得不可爱，他扭头就走了
1692432307# #一封来自日本恐龙的邀请函今日举办欢送仪式鲜花鲜花鲜花
