1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1695049578# #我最佩服的是某股市义和团群体，主子业绩被上证指数吊打，粉丝跑出来说仙贝业绩不咋样，我是真服气这种脸皮……awsl
1694096329# #基金超话。从债市和股市的定价，反映出了截然不同的宏观预期。。你认为谁是对的？债市还是股市？
1696813200# #基金超话。【我们无法创造“并不存在的投资机会”——“股债性价比”每周跟踪20231009】。（图1）北向资金在节前最后一周再度大幅流出175亿元，致使A股继续承压；从风格因子（图2）来看，节前成长股在“比惨模式”下相对价值板块略微跑赢，但是全年来看在公募和北向等“成长偏好者”持续净流出的情
1691648927# #基金超话。用券商打涨停这个模式，对市场存量资金消耗挺大的，不知道后续是否能维持下去。。当然我还是希望能维持下去的，你好我好大家好，大家一起上涨，你涨得多一点我涨得少一点也不是坏事。。几个月前就说过了，今年公募基金注定不是“边际增量”资金，但也没关系，这不还有指数ETF基金和QDII嘛
1702875522# #总要有些热爱的东西，来填满这无趣的生活理想生活季骑行超话
1698625904# #ForzaInter！
1691309119# #我21年年初还做了N场新发基金的直播呢，你看出来我被胁迫了？我只是在我的公开组合里持续减仓而已.....
1698998523# #基金超话。晚上和某中小型基金公司权益投资总监吃饭，主要能力圈消费和机械制造，你们有什么想问的嘛。。我代为转（tu）达(cao)..........
1702311637# #基金超话。莫老板终于又回到前1/2分位数了awslawslawsl
1701847281# #轻伤不下火线，双休日甲流发烧到39.6度，这周请了5天育儿假躺平，连续3天36.0度，咱就复出来上班吧加油加油加油。。不过相信你们也没看出我前几天在病假，活儿是一直在干，连公众号都在写嘻嘻嘻嘻嘻嘻。。就是这么卷……。。哦对了，我晚上7点还要直播呢各位亲........
1695718409# #青春没有售价单车直达拉萨。。这不最近某音上看骑行看得我心痒痒了，决定克服一下我的“基因缺陷”——糟糕的动手能力。。国庆假期准备自己补个胎试试嘻嘻。。共享单车出行，总会有一种🥚🥚的忧桑允悲允悲允悲
1703310692# #尼玛，就在楼下。。果然如我所料，从小被包养的太好，野外生存能力太差
1697524999# #老粉们都知道啊，光2020年上半年就跑了45%收益
1701322164# #基金超话。哎呦，微盘股指数都顶不住了……
1691306846# #基金超话。我发现“葛兰”二字是目前死水一潭的基金舆论场上不多的“流量密码”，每次谈到葛兰都会有一堆巨婴上来喷，对此我说几点。。1、过去两年我可没说过葛兰是“女神”，但2020年持有她的基金帮我赚了70%的时候我喊人家“女神”也没啥不合理的。。2、和大部分20年年底21年上半年“山顶站岗”的基
1703819315# #连续两天上涨，我打开手机感觉是我生病生迷糊了，一切都那么的不真实。。好消息是转为感冒症状之后好得很快，今天已经不打喷嚏流鼻涕了，元旦后又准备骑车上下班罗……
1696648579# #高铁返程，列车员巡视过来：有需要办理股票的乘客吗？我大惊，哪壶不开提哪壶，怎么追到这儿来了？。。再听，原来是：有需要办理补票的乘客吗？。。总结：谈股色变……
1697508990# #基金超话。一种凡尔赛的说法是——知道今年很难，但不知道这么难。。我很实事求是地说——大部分人包括机构在去年年底放开之后都不知道今年会这么难，。。借用畅畅的那句话——面对市场，我们都是小学生.......。。保持敬畏，保持审慎
1693464137# #基金。北向这周是连续第4天净流出了，如何扭转北向的悲观预期，可能比任何政策都来得重要。。因为今年市场结构决定了公募是不会有增量资金的，而以往16-21年北向都是A股市场稳定的增量资金来源，曾经的“增量”从今年下半年开始坚决流出，致使A股从艰难的存量博弈变为“减量博弈”，生态进一步恶化....
1698209010# #基金超话。其实我很欢迎他们来和我比比实盘业绩的awsl
1695269044# #基金超话。高盛将美联储首次降息预期从此前预计的2024年第二季度推迟至2024年第四季度。（新浪）。。记得两年前的预期是从2022年年底就开始降息..........
1690522788# #基金超话。话说今天涨这么多，到底要不要发车呢？。。听听你们的意见
1701769077# #哼，大A不给咱们吃饺子，咱们自己给自己点一份儿……鄙视
1694095780# #基金超话。哎呦每天的笑料和快乐来源又回来了啊……
1699535958# #哈哈中欧的这个视频，太好玩了偷笑偷笑偷笑
1699005038# #难得一次这么早下班……
1690868433# #基金超话。出于同情弱者的心理倾向，大众都更愿意相信“咸鱼逆袭”的故事。。。但就是不承认自己菜。。。对，我说的是大运会篮球而不是基金............
1703227774# #名义利率所处全球位置过低，实际利率所处全球位置过高。。这两句话切中要害，只是一般韭菜看不懂而已
1692763103# #吃瓜
1698904262# #这几天都住在海珠区昌岗附近，闲来无事去附近的万国奥特莱斯逛逛。。从小就是耐克的死忠粉，现如今逛起来倒是有点尴尬。。学生时代对着一双双价格4位数的全气垫鞋垂涎欲滴，无奈囊中羞涩，最终还是镜中花水中月。。现如今至少奥特莱斯店里的每双鞋都买得起，但早已不打篮球很多年，终究是买得起鞋，却失去了
1696421085# #为啥中国没有运动员具有姚明的身高和刘翔的速度？
1702734865# #哎呀，坐了一个和空姐1vs1的紧急出口位置，目测距离不到50公分，兄弟们你说我这两小时该怎么办dogedogedoge
1695189225# #基金超话。今天下午3点半一对一调研兴业基金的研究总监邹慧，有什么问题欢迎找我转答哈。。有什么行业和个股公司问题也可以问，只不过答案出于合规原因我不会告诉你吃瓜吃瓜吃瓜。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1702882969# #转【A股10年人均盈利24万】。2013年，A股市值23万亿，2023年截至目前，A股市值76万亿。。。2013年，A股散户0.83亿，2023年，2.25亿。。。市值增加53万亿，就按照最多的2.25亿平均，人均盈利接近24万
1691731647# #基金超话。看到最近好多财经博主借着医药下跌来蹭热度，做各种解读和懂王状。。我就想问一点——大哥大姐您实盘在医药基金上挣过钱吗？咋啥行业啥事儿都有能力来点评两句呢？。。哎，基金博主股评化..........。。实盘业绩是衡量投资认知水平的唯一标准.........
1693838502# #基金超话。数学题，YTD涨幅2.53%，换算成年化好像刚好在3.7%附近，对比我3.71%的房贷水平，真可谓是。。一顿操作猛如虎，一看房贷原地杵..........。。哎，“轻松跑赢房贷”并不轻松啊二哈二哈
1703225129# #哎，大家都.......
1696830056# #麻烦你“张嘴就来”之前，看看“中证旅游主题指数”的成分股，谢谢，祝你早日爬出井口
1694416928# #李佳琦带货怼网友。转。有时候你们需要找找自己的原因，这么多年了指数没涨，有没有认真工作？。。听到这句话股民和基民都掀桌子了........
1697003496# #新股不能再抽血大A了，建议试试这个方法！寻找闪光的你微博vlog大赛
1690955563# #基金超话。今儿中午和基金经理吃饭，才知道某银行系公司还有管200亿的基金经理，月薪2万多的。。突然觉得我这种才管十几亿的人在公募还有什么资格抱怨“工资低”？笑cry笑cry。。人果然都是在“对比中”才能产生判断的..........。。补充一下：这200亿管的是权益
1699323951# #从来没想过万科也有入不了池的那一天允悲允悲允悲
1697875306# #骑行超话。第二个20公里完成
1699027860# #基金超话。哎，感觉老莫最后有点没坚持住啊
1695267496# #基金超话。毁灭吧，赶紧的。。如果这是A股的K线图该有多好？苦涩苦涩苦涩
1702363450# #正在和老板娘沟通中，老板娘怕男顾客挤爆她的店，正在犹豫ing。。。。。
1697892399# #骑行超话。90公里导航显示还有6公里就完赛了awslawslawsl
1690556090# #基金超话。啊哈哈哈“祸害老妈的养老钱”，现在帮老妈赚了快1%笑cry，赚了两万多块钱。。这业绩好像跑赢了某著名私募的长期业绩吧吃瓜。。还是个固收➕组合哦，风险调整后收益应该是那种最大回撤30%+私募的十倍以上了吧。。哦，他们也不懂啥叫“风险调整后收益”，成天只想着翻倍、历史新高……
1695288323# #本质上大师的准确率和猴子扔飞镖差不多
1691740843# #香港万得通讯社报道，8月11日，Wind数据显示，北向资金全天单边净卖出123.37亿元，年内首次单日减仓超百亿；其中沪股通净卖出53.96亿元，深股通净卖出69.42亿元。本周北向资金连续5日净卖出累计达255亿元，单周净卖出额创2022年10月以来新高。。。北向这么流出，想不跌挺难的，而且北向和公募的审美其实
1702271098# #基金超话。【短久期美元利率债100发子弹已配置完毕】。周五去当新财富比赛评委，忘了手动转入最后10发子弹了。。今天补转入9.9发（有0.1发周五已经跟随《慢慢变富》自动发车转入）。。目前100发短久期美元利率债子弹已配置完毕。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需
1692981826# #额滴神啊，加拿大男篮这次维金斯和穆雷还没来，论纸面实力感觉超越这届的美国了.......
1691372280# #基金超话。认识我超过半年以上的粉丝应该知道我几乎从来不说基金经理坏话，并且完全以公募基金产品作为自己投资的底层资产。当然这两年公募基金风评比较差我也是有心理准备的，毕竟人性决定了大部分人都是“甩锅侠”，具体表现为赚了是我牛掰，跌了我就骂基金经理。。上周三晚上7点直播的时候，抖音
1693204145# #基金超话。对比之下，有点扎心……
1697878816# #骑行超话。骑了55公里腰酸了下来休整⬆️电极按摩器
1701244158# #基金超话。昨天有个雪球上非常专业的大V写了一篇关于《周周》的业绩表现和策略运营思路的详细评测，昨晚第一时间我就拜读了，写得还是很专业的。。。接手《周周》到现在也有8个月时间了，总体业绩表现还不错。在今年主动偏股基金整体大幅跑输沪深300的情况下，《周周》今年跑赢沪深300指数5%左右，跑
1696607044# #我作证在司美格鲁肽有效的时候我确实吃得少了awslawslawsl
1701404199# #比大A还是强点儿awsl
1691727337# #基金超话。昨天没忍住，换成今天发车效果就好不少。。不过都220多车了，也不差这一车你说是吧
1693915517# #每周三晚7点，欢迎大家来直播间听我唠嗑...
1701413093# #行啊，下次我帮你问问@摩根资产管理
1696163057# #你们这就是双标了，一方面说人家5年都是正收益是“业绩好”，一方面又说人家“20年业绩不好”，好歹人家20年也赚了42%，像我一直用“相对收益”这一个标准来看
1700728207# #骑行超话。今天这空气质量真是糟透了，突然觉得自己喉咙疼两天没骑车也不吃亏嘻嘻嘻嘻
1695973718# #基金超话。截止今年9月26日，年初至今所有偏股FOF收益率成绩单。。看到这里你应该明白今年收益率在-5%以内的偏股基金投顾组合，是怎样的业绩水准了吧？。。所以对于任何说我“业绩不行”的喷子，我基本都是怼回——劝赎回——拉黑三部曲伺候。。主要是觉得我们的智力水平没有继续对话的必要。。佛度有缘人
1704014574# #转。看晒收益率这么多大佬都是十几倍几十倍的，我来教教诸位一个向大佬们学习的方法。。1：准备一个1万的账户实盘（狠一点的1000实盘做一手哥）。。2：准备10万备用（十倍于你的实盘金额或者百倍于你的实盘金额）。。3：当天大跌10%，尾盘转钱进去10倍就是跌1%，转100倍进去，就是跌0.1%。4：这些钱是不用操
1693893964# #基金超话。中午同业饭局，席间又见了一位高考状元出身的基金经理。。所以为啥我一直是“弱者思维”呢？因为在这个强手林立整天被人智商碾压的圈子里，你要真觉得自己是天赋异禀天下第一，得有多大的一张脸哪？二哈二哈二哈
1702792633# #午饭……
1691978520# #基金超话。【再谈“医药抄底失败”这回事儿】。做投顾主理人以来，和粉丝们一直是一种“相濡以沫”相互尊重相互信任的关系，投顾主理人就像一个开公交车的司机，粉丝们就像是乘客，司机负责安全把乘客送到目的地，只不过有的人目的地写的是“10年N倍”，我写的是“相对收益跑赢1/2即可”，乘客是奔
1697699578# #基金超话。今天组合里能打的，只剩下黄金了笑cry笑cry笑cry。。我两个月前就说了我想给组合“套保”，但是规则不允许啊兄弟们……
1693667943# #80%的幸福与金钱无关，80%的痛苦却与金钱息息相关.........
1690779610# #这个问题我表述得不够清楚，准确地说应该是——买了二手房亏了大钱，该怪谁？
1701954673# #多生娃啊，否则韭菜接班人不够
1699018196# #骑行超话。本骑行博主为啥骑车骑得那么多，打了思美格鲁肽照样不瘦？。。因为第一最近十个月对思美已经有耐药性了，食欲依然旺盛，第二骑行强度不够，比如我上次骑车十公里以上已经是上周一的事情了二哈二哈二哈
1692762804# #TTD，还是出去旅游好啊，可惜暑假都结束了，年假都用完了笑cry笑cry笑cry
1702892180# #啊哈，我出发的时候memorecool就穿好了哈哈
1696954297# #晚上回家，连着被查了两次酒驾。。想让我被查出酒驾挺难的。。因为第一我很少开车，第二我更少喝酒。。比如，我今年到现在可能一毫升酒都没喝过，上次去丈人家吃饭，看到桌上的高粱炒豆苗我都不敢碰，生怕被查出酒驾……。。这份谨慎和我在投资上的“怂”是相互匹配的偷笑
1691128407# #均衡型基金被打上标签之后，买了其他东西就会被认为“风格漂移”，参考今年很多人对莫海波的评价
1690957561# #参考我之前讲基金经理收入的短视频哈
1696664835# #嗯，原来准备看汽车，现在消费降级了，看上了喜德盛传奇500，准备“自驾”去苏州哈哈
1698042349# #基金超话。黄金表示，我们的优势在于——跌得慢……
1703234620# #好了，听明白了，医药接下来涨得最好的公司，都要有——出海逻辑。。尤其是创新药........
1693065046# #基金超话。珍惜身边做卖方的小伙伴吧，他们不容易啊……
1694681142# #哈哈，这就是我和师座认识时间不长，但却一见如故的原因，大概是因为咱们都比较重视节操和口碑，不愿意为了钱瞎忽悠人吧
1701046800# #基金超话。【鸡肋时间，静待新增边际信息——“股债性价比”每周跟踪20231127】。（图1）上周美债长端利率保持震荡态势，人民币离岸汇率显著升值，但北向资金遗留流出超过30亿，A股羸弱态势凸显；市值风格（图2）指数角度，上周小盘价值风格表现领先，成长风格再度静陪末座；（图3）从市值因子来看
1691730277# #基金超话。粉丝云：今日下跌，急需教主鸡汤。。曰：善哉善哉，老夫熬汤熬得买了个8眼的灶头，还是不够用啊.......
1691735187# #基金超话。说一个小知识点，在20年3月践行“基金日定投3万”这种猛男模式之前，我对“股债性价比”这个框架做过回溯测算，回溯结果是股债性价比几乎对历史上每一次底部都有准确的信号意义。。。其中间隔时间最长的一次底部到牛市启动的时间间隔为18个月，即2012年12月股债性价比揭示“当前市场是底部
1695357763# #朋友送的中秋节礼物——RichFlower。。中文名应该叫《财富之花》，深得小教主喜爱偷笑
1694414137# #李佳琦带货怼网友。话说既然今天花西子眉笔这么火，要不这周三直播我们直播间礼物就改成送3支花西子眉笔好不好？。。我运气比较好，工资涨了，要不给大家送一点？。。同意的小伙伴请扣1，不同意的请扣2。。PS：牛冲冲和牛轰轰玩偶送完了，接下来准备送《慢慢变富》手袋
1703494518# #不懂就问，这是海马汽车的标志吗？我怎么感觉像是小鹏啊。。我家的第一辆车就是海南马自达323，传说中的本世纪初的“新三样”，最终被我撞出了气囊笑cry笑cry笑cry
1695104219# #羡慕哪，上周去工银瑞信调研就没碰到王君正.........
1698980850# #小马白话期权，1年100倍的稳健交易心法。。画大饼领域竞争很激烈啊，从10年10倍现在进化到1年100倍了，我本来以为等我儿子18岁的时候我教他一招“1年10倍”就能横扫千军的。。没想到我幼稚了二哈二哈二哈
1696861636# #其实这个视频前三十秒有路过“汤臣一品”的片段，不知道你们注意到了吗嘻嘻
1695653227# #要不我表演一次骑行到新疆嘻嘻
1693623052# #我帮你翻译一下，小学五年级的题做不好，就更不要做小学一年级的题了……
1702450543# #基金超话。在个股的估值里有一种陷阱叫做“戴维斯双杀”。。简单来说就是“越跌越贵”，比如20块钱买入的时候，EPS是1块钱，市盈率20倍，等跌到10块的时候EPS变成2毛5，市盈率40倍了，跌了50%估值还贵了一倍，这就叫“戴维斯双杀”。。但是指数跌了很久，估值还在上升的情况，确实也不多见..........。。
1697437364# #哈，打击面非常广，微博和雪球上不都是这种人嘛，还是看实盘，其他别废话，我可不是那种不能让人看业绩的口嗨V
1691308107# #基金超话。雪球上还有人在评论区说：“这几年袁芳业绩多差，你还为她叫好？”。。对于袁芳，有可能是我“屁股决定脑袋”的因素了，毕竟在2020年基金牛市中，我在袁芳的工银瑞信文体产业上赚到了最多的钱（如下图所示赚了24万多）。事实上袁芳在2016-2020年期间业绩表现就是均衡型基金中的最强者之一。
1703053360# #基金超话。《做基金投顾，要点脸行不行？》。这几年我对基金投顾行业的批评也不少。。比如很多用“收益率种草”的引流方法，我是非常反感的。虽然从追求规模的业务部门角度来看，这种强调收益率的方法兼具“客户理解成本低”+“转化率高”的优势，但咱们做基金投顾这行，脑子里不能光想着“转(gui)化(
1700818520# #基金超话。粉丝提问：为什么有的所谓“分析师”在分析行情的时候头头是道，一做实盘业绩就大跌眼镜了呢？。。答：那是因为所谓“分析”得好与坏是一个主观标准，说了你爱听的，用你喜欢听的方式去叙述你就会认为“这人说得很对”。比如宏大叙事，故弄玄虚，制造“暴富假象”等等。比如说你讲“一年赚
1703224966# #哎……
1692254437# #最近买《稳中求进》挺合适的，分批和一次买都可以
1702791578# #骑行超话。酒店一出门就是一家trek。。完全不符合我的消费档次嘛。。明显应该放国民品牌喜德盛偷笑偷笑偷笑
1701612728# #话说女足完败，似乎就没人拿“拼劲不够”说事儿了？竞技体育如果只靠拼劲儿就能解决问题，那就好了......
1702880875# #轩总这保号欲望有点..........
1700618843# #在过去两年的熊市中，虽然我们表现略好于市场平均水平，但面对大部分粉丝亏损的事实，我们依然心有愧疚。。我始终认为如果我们的基金投顾事业建立在客户3-5年乃至更长时间不能赚钱的基础上，那么我们的事业将毫无意义。。“互利共赢、慢慢变富”是我们的宗旨，愿未来您的投资路上能有我们的长久陪伴，也期
1692600488# #卖课老师大喜过望，原来我把韭菜根儿刨了过段时间我还可以再割一次吃瓜
1702182614# #下周日上海零下4度允悲允悲允悲
1698054879# #基金超话。话说买了雪球结构产品的小伙伴来说说，最近被敲入了没？。。另外券商销售这类产品的小伙伴也可以来评论区讲讲，最近有没有之前发售的几期雪球产品被敲入了？
1695706560# #惊了！美股流出金额创近1个月新高！美股要见顶了吗？微博vlog大赛寻找闪光的你
1699957071# #双11惨淡是一种错觉？男性用户正觉醒，狂买自行车和香水.......。。作为一个“纯爷们儿”，香水这事儿我应该不太会碰，自行车这坑，不排除以后会越陷越深偷笑。。然而咱们组合管理的业绩还照样是不错的对吧嘻嘻
1701092649# #骑行超话。穿着这一身去骑车回家，吓得电梯里碰到我的小姐姐夺路而逃嘻嘻嘻嘻嘻嘻
1695280329# #基金超话。【基金吐槽大会】。主持人：首先有请第一位哭惨选手，万得偏股混合型基金指数。。万得偏股混合型基金指数：我干这行19年了，从来没有连续两年负收益过，结果今年不但负收益了，而且幅度还超过了负10%，我有罪...........。。主持人：好的，可以看出万得偏股混合型基金选手的忏悔有理有据，感
1695908830# #基金超话。Wow。。一天过去了又要迎接美债4.7%的里程碑了吗？
1702867783# #家里领导二阳发烧一度超过39，果断向领导进贡平时塞在保险箱里的传家宝——辉瑞Paxlovid。。反正这药不吃也是要过期的，💰都花了，还是要物尽其用……
1697454270# #工头：如果有人声称可以通过多少年获得多少倍回报，肯定是想割你韭菜。X某，请报我身份证好了挖鼻
1691313141# #昨天带小教主去看《长安三万里》，影片开头我照旧用父母常用的“懂王”语气问小教主——李白是谁你总知道的吧？小学语文课文应该提到过很多次。。心想就算小教主再怎么学渣，这问题总不难吧？。。结果儿子回答我：“李白啊，李白就是那个刺客.......”。。一下子把我说懵逼了，在儿子回答之前我设想过他把李
1691824391# #基金超话。基金产品卖业绩——Invitetheclienttofireyou……
1697181164# #汇金增持！老外抛售？没事，你抛我就接，直到你们打脸为止！寻找闪光的你微博vlog大赛
1702369036# #欢迎每周三晚7点来直播间听我唠嗑…微博电台计划大咖说财经大咖说财经
1693208504# #基金超话。今天市场高开低走，收盘前被一个玩ETF的朋友扎心了，说“你们基金投顾只能买场外基金，对于今天这种走势毫无办法，不像我开盘5分钟就卖了”。。俺想了半天回怼了一句：“我们玩场外基金也有好处啊，就是不容易冲动，比如我早上9点半提交了申购券商ETF联接的交易指令，下午3点前撤单就啥事
1703050672# #曼联超话。曼联的小伙伴说说，滕high是脑抽了还是怎么的，刚知道他今年夏天花了7500万买了亚特兰大的霍伊伦，这哥们儿在意甲都没怎么打出名堂，20岁左右买这么个货？你说你买不了奥斯梅恩，你就不会省点钱买其他中锋么？。。当年哈兰德转会到曼城还不到这个价吧，多特蒙德设的违约金条款并不高
1691217984# #基金超话。抖音上看到阿狗阿猫都来做“基金测评”真是笑翻我了，有某人做葛兰中欧医疗健康的测评，把中欧医疗健康和历年沪深300的业绩表现作对比，并且高屋建瓴地指出“该基金过去两年显著跑输沪深300”。。大哥，做测评之前能不能先把产品的特性、业绩基准和比较对象搞搞清楚？你怎么不把行业主题基
1697179407# #基金超话。最近接触一类公募基金经理，普遍很焦虑，焦虑点在于规模持续下滑的压力。。。今年也就ETF和短债涨点规模，要说规模下降压力吧，主动偏股基金经理普遍都有，但这类基金经理因为规模下滑更快，压力更大一些。。遇到这类基金经理和我吐槽压力大，我往往是这样安慰的：。。1、拿多少钱办多少事。。
1699195968# #大A本来就没啥做空工具，好不容易有个股指期货2015年还给弄残废了.........
1698040148# #基金超话。中午和广州同事吃饭，感慨监管对我们基金从业人员的呵护还是不够。。同样是从业人员，监管就不允许证券从业人员炒股，生怕他们把公司多发的奖金和公司给赔光了，所以一直严防死守。。。而基金从业人员就不一样了，非但允许大家买基金，行业内还自发内卷，营销的时候要强调基金经理自己买了自
1690437787# #基金超话。今日执行300车发车计划中的第220车，也是本周第1次发车，发车标的《慢慢变富》组合。。新上车的小伙伴不建议一次性跟投，可以以我每发1车补仓5车的节奏来跟投。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1694339583# #【北京市文化和旅游局】欢迎来北京旅游参加团队游请与旅行社签订旅游合同，拒绝街头揽客行为。文明旅游，安全出行。。谢谢我真不是来旅游的笑cry
1693579881# #基金超话。今天在高金分享职业生涯的时候，听到一句很有启发的话——只有筛选成本足够高，沟通成本才会足够低……。。这很好地解开了华安老同事们的一个谜题——为啥晓磊和我们工作的时候看起来脾气很好，但在网上却是一个“杨怼怼”的做派？。。因为能来基金公司工作的人，是经历了相当高筛选成本的，
1692855100# #基金超话。今天公募主动偏股基金的净值大概率挺好看，无他，唯北上尔..........。。你要是在Wind里边看过公募前二十大重仓股和北向前二十大重仓股的相似程度，就知道中外这两大阵营其实是纯纯的“好基友”关系，审美观十分一致，集中持仓在大盘成长（399372.SZ）和中盘成长（399374.SZ）方向。。偏偏今
1700622165# #应MBA同班同学邀请，转发招募公告一则。。【这是一个鼻唇沟填充产品临床试验入组招募】如果您有法令纹较深的困扰或者想抹去岁月在您脸上留下的痕迹，再找回年轻的样子。现在就有这样的一个机会，只要您扫码报名，就会有上海三甲医院的专业医生对接您入组相关事宜，帮助您解除困扰，找回年轻的样子！
1694773320# #基金超话。晚上饭局，碰到一个“超级高知”学妹小李，985本硕金融专业出身，竟然买了一个在场基金公司专业投研都很嗤之以鼻的一个投顾策略。。看来专业知识再扎实，也很难抵御N年N倍的人性诱惑.........
1692109056# #基金超话。我就说嘛，今儿个固收+基金跌不到哪儿去，毕竟有债券大涨在那儿兜底.......
1695266230# #我个人认为应该将娃在会计上处理为“商誉”，每年进行减值测试，渣娃可以一次性减值完毕
1696421937# #基金超话。尼玛，白天10年期美债冲过4.9%了啊，这是把美债多头都给打爆了笑cry笑cry笑cry。。直接冲到49%，毁灭吧，赶紧的……
1695745238# #基金超话。金老板，这是猛得一匹。。但是你们懂得，这种“猛男选手”的美一般我都欣赏不来……
1696141792# #哎呦，咱们小纯多少年没见过大四喜这样的场面了？
1700498966# #基金超话。创金合信多因子，感觉最近这只量化基金市值下沉得也很多，涨幅都接近金元顺安元启了……
1692707434# #上一次小破纯出3000万欧元巨款，买下的还是阿根廷神锋——科雷亚........二哈
1697457286# #2020年的时候，我觉得离退休近一些了。不过，通过这三年在基金上的的积极投资，我离财务自由更远了挖鼻挖鼻挖鼻
1692953305# #基金超话。哎呀，现在行情不好大家压力都太大，发个基金经理垂头丧气的照片都被打招呼了。。所以亏成这样投顾主理人还能保持碎碎念成天拉拉家常扯扯淡怼怼人，不容易了吧........
1703496290# #好吧，在大幅增配短久期美元利率债之后，我还准备增配国内债基产品。。和去年卫健委出了“20条”之后我着急建议粉丝们赎回债基不一样，今年我可从来没提示你们“赎回债基”哦。。在可见的未来3-6个月，政策面没有太大变化的情况下，债市有望出现“牛陡”行情.........
1693549356# #基金超话。又是价值风大幅跑赢成长的一天。。今年的三股风，AI因子、小市值因子我们都蹭到了，这波价值风，咱们争取也蹭一点。。所以今年跑赢930950中证偏股基金指数5个多点，跑赢8850014个多点，其实还是靠了一些主观上的因子偏离......。。当然只要有偏离，就不可能每个阶段都能稳定跑赢，所以对于吹
1695874699# #基金超话。纳斯达克表示——我也很羡慕这样的上升斜率啊awslawslawsl
1693475153# #中国男篮超话。王哲林用实力阐释什么叫“你不在对我很重要”，目测今天王哲林虎扑评分在9分以上........
1703050451# #TTD，市场自然的力量被限制无法正常出清，那就只能慢工出细活儿了..........
1699770670# #基金超话。不懂的东西不要做，这一点说起来容易做起来极难。比起扩大自己的能力圈，清楚自己的能力圈，更为难能可贵。。。比如我已经好多年不做个股了，你可以理解为我“完全不懂个股”，确实相比起那些“懂王”来我是差了很多的，既不敢多下判断，更不敢预测股价和走势。。这样做的好处是，第一我保住
1703574303# #基金超话。下一车我说不定搞中长期纯债基金也不一定。。不过实话说，我选债基的能力并不强，我对我选的债基就一个要求——大哥您别信用下沉的太狠暴雷了就行，毕竟我话术能力有限圆不过来...........
1701325876# #好吧，我明天想买A股了。。既然跌得你们都完全不想要的样子.........。。过两周我再绕回来买短久期美元利率债挖鼻
1690435556# #基金超话。在北向小幅流入的背景下，依照“负债决定论”，本周以来的市场一直持续大盘成长行业表现占优的格局。。年初至今表现占优的TMT因子和小市值因子已经连续第4周跑输，换成你的话，你现在愿意更多增配“北向口味”的大盘成长，还是“内资口味”的AI和小市值？
1696832981# #基金超话。最近用我认识有限的一些人脉资源，给部门的基金研究员小伙伴陆陆续续建了N个和基金公司对接投研材料的群，想来通过平时哪些基金公司经常和我打交道，也能看出哪些基金公司比较“卷”，哪些基金公司比较“佛”。。要是算体量吧，我和部门小伙伴们大概也要管个20亿规模了，管的基本也还都是
1692273395# #原来今天股市上涨是因为陆家嘴发功了吃瓜吃瓜吃瓜
1697457629# #事实的真相是，渠道在2021年把偏债混合型FOF当成“每年5%以上收益”的理财替代来卖，等到这两年熊市就原形毕露了……。什么情况？这类基金年内不断发行，总规模反而在缩水
1692374163# #那说实话我还真不知道，否则我就不会只买十几万了
1702361822# #骑行超话。装车完毕，明天开骑……。。PS：被我装上后货架和书包栏之后，像不像是买菜的车嘻嘻嘻嘻嘻嘻。。感谢美利达华东理工店的老板娘帮我订到货，老板娘这颜值身材，真是神仙级别的dogedogedoge
1691562043# #我觉得最近不必着急，现在这种磨蹭的状态，其实用《稳中求进》来打个底心态会挺好
1700724873# #基金超话。下午连着搞了两波基金同业接待，终于腾出手来敲键盘冒泡了...........
1701237392# #你没看到我今天又在慢慢变富里顶格买了10万嘛
1697554439# #买的黄色领骑衫终于到货了。。本届环法冠军身材管理没做好，愣是把黄色领骑衫穿出了“骄傲的将军”赶脚允悲允悲允悲。。周末成都天府绿道100公里走起……
1693542528# #你真的在做分散配置吗？一组数据告诉你基金超话寻找闪光的你微博vlog大赛
1693238190# #基金超话。只能在晚上聊以自慰……泪泪泪
1701940682# #基金超话。从实际利率的角度,现阶段实际利率已经到了一个较高的水平，从人口增长率看不到美国潜在的大幅经济增长，美国存量债较多，预测实际利率会回落，美国债券利率也将会下降，美国经济衰退大概率将呈现硬着陆。——中银美元债基金经理郑涛。。翻译一下——实际利率是黄金的反面，实际利率下降
1695625387# #基金超话。早上坐地铁的时候刷着Wind新闻，浏览一下周末的重要消息。。。虽然已经把信息频率从“全部”改为“重要”，但仍然免不了能看到许多“机构论市”的内容，几乎清一色都是“看好后续市场反弹”的声音。。倒不是我不看好市场反弹，但是每家机构写的股评（市场看法）都和总舵主老婆那调性差不多，
1693216585# #以后创业开公司的名字想好了……
1703593761# #四个字总结明年的大类资产配置策略。。向死而生.........。。七个字。。置之死地而后生........
1700558987# #基金超话。这两天对于投顾主理人来说，一方面要不断挖掘出新的跟踪微盘股指数的基金。。另一方面还要不断打听现有的那几个微盘股基金的“策略容量”，以免策略失效。。哎，难啊，幸亏买的是C，规模真大了掉头也方便.........
1703496975# #目前期限利差处于历史低位，短端更有性价比
