1692766832# #从绝对金额来看，这一波应该差不多了吧？
1693730027# #那些数十年如一日坚持阅读学习的人，。那些数十年如一日坚持锻炼的人，。那些数十年如一日坚持每天出门精装打扮的人，。那些数十年如一日坚持每天结交人脉的人，。所有他们做的事情，都不伟大，都很平凡，都是每个人都能做到的，。但因其坚持，时间让他们变得伟大。（转）
1697547156# #遇到劣狗要及时弯腰驱赶
1691225760# #是这样的金钱观导致财富的区别，还是拥有财富的区别导致不同的金钱观？
1696325050# #巴老多次说过
1697979752# #晚上好
1698617365# #转发微博
1691669925# #如果以后可以101股、102股的这样买股票了，对你有影响吗？。不如把顺便100股这个限制取消了，这样大家都买得起茅台了哈哈
1691415586# #没问题
1692685413# #选今天见底泪泪泪
1690250588# #【首创证券】历次会议关于资本市场的表述
1691384075# #卧槽，我本很想说一句责任全在欧美奸商，但实在骂不出口汗
1689920047# #微笑
1688810880# #不想吃亏一定要远离这10种人：。。1.两面三刀的人。。。这种人阳奉阴违，表面一套背后一套，让人防不胜防。。。2.心术不正的人。。。这种人见不得你过得比他好，经常搞小动作，只会伤害你。。。3.言而无信的人。。。这种人反复无常，没有诚信不靠谱，千万不要往来。。。4.狂妄更自大的人。。。这种人自视清高，对别人冷
1690438173# #哈哈哈
1690351346# #有一定道理
1690615080# #强者思维VS弱者思维
1688518669# #转发微博
1697639542# #转发微博
1696168863# #银行责无旁贷
1698815752# #此论甚是！
1694481083# #【方正计算机】Dojo为特斯拉带来5000亿美元的增量市值怎么解读（主要基于大摩的解读）。。什么是Dojo：Dojo是基于特斯拉自研D1芯片的数据中心（主要训练FSD）用于替代目前基于A100的数据中心（截止22年9月，1.4万片A100，全球第七大数据中心）。19年AIDay马斯克第一次提及（Dojo目标是解决海量视频数据
1696888985# #转发微博
1694437080# #体制不变，就是吹牛
1691145263# #你还记得第一次买股票那天晚上的心情吗？
1688568602# #转发微博
1698479760# #各个国家对酒驾不同的处罚方式，萨尔瓦多这也太严了吧汗
1689665837# #人类遨游宇宙、实现永生，未来可期
1695896332# #有进步，建议进一步放开，同等待遇
1689744043# #转发微博
1687820202# #转发微博
1693555673# #市场担心集采
1694163137# #曹德旺：“当你一天能赚到两三万后，你就会发现，通过勤劳根本发不了大财，他只能解决温饱。发大财靠得是脑子和眼光，还有机遇。”。。你们觉得呢？
1692105446# #希望再没有人上当受骗
1693401016# #一个开明的、自由的环境，才能产生有意义的讨论
1698466837# #转发微博
1696338624# #我敢说，大部分小粉红，如果有实力，一定跟这家伙一样：反美是工作，去美是生活
1697462730# #大部分人还是有鉴别力的，希望讲真话、求正气
1693051510# #谁是主人？
1687062675# #转发微博
1696753317# #拉黑都是骂人的、低素质的，表达不同意见绝不会拉黑
1698058502# #学习
1698920160# #只有经历过苦难，才能真正懂得幸福的可贵。
1691740443# #医生不容易啊，最近大家能不打扰就别打扰了
1695792540# #主持人：那您觉得从现在的3000多点水平，怎么样才有可能去实现涨到4000点水平？。。刘纪鹏：首先我谈这个4000点谈了得有十年了。中国股市从2008年开始到现在15年，2007年前后，我们也到了6000多点，但基本上很快就下来了，到2015年又上去又下来。所以这几上几下基本上是在3000点这徘徊，持续了15年。。在
1692958680# #人可以活多久。人活到50岁的概率是92%，。人活到60岁的概率是83%，。人活到70岁的概率是44%，。人活到80岁的概率是18%，。人活到90岁的概率是1.0%，。人活到100岁的概率是0.6%，。人活到110岁的概率是0.05%，。人活到120岁的概率是0.002%。人的一生真的很短！。人的一生也很长。。在能力之内。过好每一天（转）
1693393080# #百万富翁的13条“吸金”习惯（转）
1687763037# #截止目前，今年的行情主线肯定是AI，这是毋庸置疑的。从上周最后一天到今天的大跌，领跌的就是AI相关的板块，那么当市场主线大调整的时候，市场整体肯定好不到哪去，很多指数都呈现破位的走势了。。。现在很多踏空AI的人，心中有一个想法：“AI终于跌了，我要去抄底。”之前一直不敢买，就是因为他一直涨
1696141475# #第一点警示，自己不熟悉的投资领域不要碰，只做自己熟悉的领域。。。第二点警示，即使自己对某家公司、某个行业的熟悉程度很高，也不要满仓押注。。。第三点警示，不要盲目加杠杆投资，杠杠本身是一把双刃剑，利用得好可以实现财务自由，利用不好会导致财富迅速蒸发。。。第四点警示，不要借钱投资，借钱投资
1690952400# #到底是风停的时候鸡和凤凰才能看出区别，。。还是风停的时候鸡和凤凰都没区别？
1695562444# #实在难以置信，究竟是什么背景？
1687853992# #比大部分人的买点好
1697609642# #这个位置看空，就是在清朝末年留辫子、割蛋蛋……
1695367321# #
1692710907# #太小气？
1691836120# #股票市场上有两派，一派盲目相信，一派打死不信。。。这是两个极端，没有中间派。
1689762809# #实在不配
1691296731# #转发微博
1696318058# #为什么形式主义得不到根绝呢?
1687570974# #正义必胜！
1698536017# #发自内心的爱戴坚不可摧！
1690023360# #哪怕是好股票，在95%的时间里也是平淡无奇的，甚至是持续下跌，不断反复。。。只有5%的时间是上涨的，在95%的时间里要学会像乌龟一样，把头缩进去。。。耐心等待，别无他法（转）
1697238313# #恐怖组织就是恐怖组织，经不起任何辩护
1692750884# #原来还可以这么玩允悲
1698282629# #2023Q3普通和偏股型基金配置行业变动图。。真印证了一句话：顶是公募买出来的，底也是公募割出来的
1690942651# #振聋发聩！
1687522703# #转发微博
1697377489# #转发微博
1692022856# #转发微博
1691981123# #赵晓光：什么叫研究？。。我觉得就三个事：。。第一，找到最专业的人，。。第二，挖掘最优秀的企业，。。第三，判断最前瞻的趋势。
1696063303# #扎心了泪
1696338217# #一个对上负责的系统，想做到公平、公正太难了
1694870242# #鲜花
1688385675# #牛逼
1692842229# #【近期外资流入流出哪些行业】。有没有错杀？有没有可能捡到宝？
1698841602# #希望不再有人上人
1698750104# #我不说话
1689670553# #转发微博
1696401198# #有道理
1698228178# #摊手
1691733120# #【过去十年各个股市究竟涨的是什么？】。标普500涨的是估值、盈利、回购、分红，沪深300涨的是盈利和分红，港股主要靠分红托住了，估值和盈利都在拖后腿。
1691378120# #A股挣钱的三个路径。。投资之路——价值龙头（深度低估）。投机之路——黑马龙头(妖股)。中间路线——白马龙头(价值投机)
1692601476# #转，A股“政策底”往事。。通过对于2008年、2012年、2018年“政策底”前后的市场行情回顾，我认为有如下几点经验值得总结：。。第一，很难说单个事件或政策就是“政策底”，“政策底”往往是一连串政策的结果。比如2008年到底以9月的三大利好政策还是以11月的四万亿计划作为“政策底”，肯定有
1696975318# #转发微博
1693112166# #值得一看
1688372860# #说一句关于机器人的观点（很少说）：。只所以对这个板块提不起兴趣，是因为按目前2万美元左右的价格，市场空间过小。这个价格基本上与一部家庭汽车的价格相当，若无必须，出手的人应是少数。。再长期看，随着技术进步，价格大幅下降，机器人肯定会普及，甚至家均一台或多台。。这个时间点，估计在2025年之
1694844400# #社会学家马尔萨斯说：社会通常呈现橄榄型结构，5%的人是精英，5%的人是人渣，还有90%是乌合之众。好的社会，乌合之众跟着精英跑；不好的社会，乌合之众跟着人渣跑。
1696406336# #good
1689923047# #安信证券研报分析了2010年开始，在一年内完成三倍涨幅的公司，主要分为五个类型：价格驱动型、产业趋势型、困境反转型、政策驱动型、技术驱动型。。。其中技术驱动型、产业趋势型两者的占比达到52%，这才是成长股选手需要专注的区域！
1694698810# #最终害了所有人
1696335055# #赞
1696409998# #1608年的时候，英国国王詹姆士一世想亲自审理几件案子，让他感到意外的是，大法官柯克断然拒绝了他审理案件的要求。。詹姆士大怒：我是国王，和你们一样具有理性，由我进行审判是合理的。。大法官柯克反驳道：的确，上帝赋予陛下丰富的知识和非凡的天资，但陛下对英格兰王国的法律并不精通。。詹姆士更加
1694909623# #有道理
1688198715# #数据很全面
1689131155# #一个是现在，一个是未来
1687263215# #这都什么标准？
1698022228# #周末消息面比较清淡，一些行业头部企业开始公布三季度业绩数据：头部酱香白酒第三季度净利润168.95亿元同比增长15.68%；头部光模块企业三季度净利润6.82亿元，同比增长89.45%。。。市场情绪经过上周凌厉的下跌，已经比较恐慌，对于仓位低一些的人，已经可以采取大跌大买，小跌小买的加仓模式了。对于仓
1696577810# #赞赞赞
1690117739# #希望有关衙司履行职责
1696291522# #可以，能坚持否？
1687333141# #振兴人口需要一系列组合拳，已经晚了就要下重手，不然神仙也救不了
1695913998# #老胡这个说法似乎没有法律意识
1698828311# #赞
1696301830# #【国信汽车唐旭霞团队】造车新势力2023年9月交付量出炉，9月多数环比增长2023年9月：小鹏/理想/零跑/极氪/蔚来的销量分别为15,310/36,060/15,800/12,303/15,641辆，分别同比+81%/+213%/+43%/+46%/+44%，分别环比+12%/+3%/+11%/-2%/-19%，年度累计同比-17%/+181%/+1%/+100%/+33%。。。小鹏：1-9月，小
1690693362# #段永平：能“拿住”股票的6个要素。1.没有过高的期望回报。。2.对股市运行规律有一定了解，这点非常重要。不然，为啥你总能逆向思考？并且大部分都对呢？。3.盯住比赛，而不是记分牌，但绝大部分人不是如此。。4.尽量让自己远离市场，不要天天看K线。。5.将评估投资回报的时间调整为5年以上。。6.并不觉得自
1692966255# #人工智能
1691286129# #给老奶奶点赞。赞赞
1697497000# #转发微博
1692866251# #每次财报第二天都有全员2小时分享，并经常坦承自己本季度的具体失误赞赞
1693619746# #今天晚上九点直播，请个大美女跟大家一起分享股市
1689199222# #转发微博
1694147423# #转发微博
1696654291# #找到了
1696514739# #还是前几年杠杆加太大了，房地产企业沉重的一课！
1694401819# #这个建议很中肯
1692538000# #必须明确的指出，以所谓安全为优先目标就是以意识形态为中心，这条路代价有多大殷鉴不远。偏离以经济建设为中心这个路线代价大到这个国家不能承受，不要以为谁能躲开。
1698047858# #A股股民收盘后：我好像得大病了，一看盘全是绿的，一闭眼就感觉两眼发黑，一做梦又感觉全是红的泪
1687398216# #转发微博
1692993549# #智者啊！
1698069782# #我实在搞不明白，竟然有那么多哈粉
1698028855# #今年虽然是大熊市，但申万统计的一组数据倒是很有意思。。剔除下跌的股票，今年到目前为止全部股票是上涨的。。也就是说只要避开下跌的股。今年的市场并没有那么差。。笑cry
1689055840# #假如你来到一个陌生的城市，寻找一个餐馆。最简单的办法就是，看当地人去什么地方。。。如果他们都不知道什么餐馆又好又便宜，那还有谁会知道呢？这种观点表明，做其他人也做的事，是一种既理智又有效，还节省时间的策略，这样人们就不用自己费力地去收集信息，评估信息，他只需要相信，大众知道什么是最
1689726461# #市场窄幅震荡，各个板块之间的轮动速度在加快，上两周轮动上涨的股票还能涨两天再调整，昨天轮动上涨的股票已经只能维持半天强势了。轮动行情正在走向极致，这里面临一个方向的选择了，正如周末直播提到的几个向上的信号，可以推测大概率是指数的上涨行情。至于由哪个板块来带领指数上涨，我相信能选的
1695788030# #A股走出底部无非受到四类催化：。。1、政策利好（如2005年制度改革与创新；2008年“四万亿”强刺激）；。。2、海外压制因素边际改善（如2018年中美贸易阶段性缓和）；。。3、经济基本面好转（如2012年过度悲观预期被基本面证伪）；。。4、海内外流动性宽松。
1698106781# #内部：中央汇金下场购买ETF。。。据统计，沪深300ETF、中证500ETF、科创50ETF、上证50ETF较上一交易日成交量分别增加了33.6亿元、13亿元、11亿元、4.8亿元，规模指数ETF成交增加接近85亿元，天风量化由此推测，汇金昨天大概买了100亿。。。外部：美债收益率冲高回落，北向资金持续抛售有望放缓。。。结论：反
1696860349# #可以
1696061014# #未来会如何？
1696640573# #8天长假期结束，文旅部刚发布的数据，8天旅游收入7534亿亿，平均每天942亿。而2019年7天长假，实现旅游收入6497亿，平均每天928亿。。有人说：考虑到通胀因素，旅游收入的绝对值增长，是增加的油钱。
1688619650# #有个炒股的朋友给我说，他从来不会被小作文骗，每天加单、砍单这些小道消息满天飞，但是绝对不会影响到他的投资。。。我问他为什么，他回答说：只靠消息炒股是不可能持续挣钱的，所以我根本不关注这些，等这些小作文传到我这里时，消息行情都走完了。
1697666853# #转发微博
1688709089# #据说有几千人，我得承认，假冒的比我本人有号召力
1689217482# #应该是主线，智能元年，不用怕
1694091780# #赞
1687145014# #对于大部分人来说，舒心就是最好的
1689402249# #老实🐶也不是一直好欺负的
1692513000# #二八法则：。20%的人用脖子以上来挣钱，80%的人用脖子以下赚钱。。20%的人买时间，80%的人卖时间。。20%的人做事业，80%的人做事情。。20%的人计划未来，80%的人早上才想今天干什么。。20%的人改变自己，80%的人改变别人。
1698223578# #昨天特别国债，今天没有大涨，估计不少人会失望。。但今天没有大涨，不代表明天不涨。。你告诉我：谁能顶得住汇金？。顶不住，就投降！。从了吧……
1698619346# #转发微博
1689682764# #哈哈哈
1697261807# #转发微博
1688450913# #50%的阵亡率，这说明全力的制约太无力了，
1689735688# #不了解
1696170568# #赞寄希望于后生，尽管可能需要很长时间
1695645222# #赞
1691708464# #转发微博
1698056853# #中国股市必须守住。很多人认为，我不炒股，不买基金，多的钱只存定期，那股市涨涨跌跌就和我无关。。。事实上，一国股市和居民的在找工作、加工资等方面是息息相关的，再说每个人买的社保也是投了很多钱在股市里面的。。。股市的涨跌在大方向上跟随的是对未来经济的预期，这和每一个居民都有关系，所以守
1695193204# #活跃市场到现在，缩量到5000亿了，不知道怎么交代啊允悲。。只不过大家都认为长假前就这样过去了的时候，以A股的性格，说不定还有惊喜。。。大A就是这样的，永远都能超预期。
1687922399# #每个人都有自己的政治观点，这无可厚非。但理性的认知建立在对历史与现实大量的了解上，如果只是通过被动推送的消息来认知这个世界，那就是盲人摸象。。如果有人了解美国的制度、日本的发展、苏联的解体等，我们就可以辩论，否则不值得探讨。。参考书籍：华盛顿传、林肯传、艾森豪威尔传、光荣与梦想、大
1696508364# #为什么动怒？
1696310575# #看得流泪了……
1696121878# #典型的乱收费
1693490392# #真不容易啊，孩子们一定要好好学习，将来
1689649240# #哈哈哈有才赞
1689430346# #哈哈哈，想多了
1693215001# #想吃牛肉的股民朋友允悲
1688564277# #斯人已去，音容常留！
1688623555# #转发微博
1697992854# #转发微博
1697034365# #观点不同可以理解，但同时有无数人集中攻击一个博主，主谋是谁？
1688046323# #多好的机会啊
1698231532# #太对了
1691993981# #北京高院:未经配偶同意，婚内炒股亏损，属于重大过错允悲
1698300909# #支持严峻刑法
1691369305# #上周五一个美股光模块公司一天涨了67%，主要是公司提到三季度光模块毛利率大幅度提升至30%，长期毛利率目标是40%。同时，二三季度的增长仅仅是历史产品的增长，新订单的业绩增长还没有体现在报表中。。。上周五券商板块大幅波动冲高回落，应该至少要盘整几天，但是整体行情依然不能看空，这个时候，看空
1695681902# #转发微博
1688955113# #允悲
1694740854# #投资者：董秘你好，之前有新闻报道称发现有外星人物种的存在，请问公司作为火星人，公司旗下产品将会带来哪些业务上面的增长点，谢谢。。火星人董秘：尊敬的投资者您好，您所说的事项与公司业务增长并无联系，感谢您的关注
1696642610# #2023年国庆档（9月29日至10月6日）全国票房（不含服务费）为24.98亿元（近25亿元），同比增加71.9%（约72%），较2019年同期下滑47.8%。
1695985914# #非常有道理
1697290189# #关键时刻不能没有临时工
1694332560# #当人们可以从谎言中获取利益的时候，那时候就没有人说真话了。。——维特根斯坦
1694210940# #那么多人遭受损失，难道这不是应有职责？
1697967529# #“特权阶层”是如何把苏联搞垮的。。1、特权阶层发展初期。为了笼络人心，巩固统治地位，斯大林时代把官僚队伍的特权制度化、合法化，得到大批干部的支持（特供养老院、医院、食物、学校和各种津贴……）。。2、特权阶层发展中期。通过权力垄断资源，社会不是按劳分配而是按地位分配，这种模式导致的结果就是
1693056403# #希望在法制轨道之内
1694270267# #真理
1691305161# #有行情的时候，市场看看有业绩的成长股就是：。镇山的虎，远见的鹰，善战的狼，。业绩超预期就是高开高走，符合预期，低开也能高走。。。没有行情的时候，市场看有业绩的成长股就是：。盛饭的桶，害群的马，搅屎的棍。。发再好的中报，也是高开跳水。
1696726751# #ChatGPT再升级。1）可以联网的新功能将拓展数据来源的时间范围，为用户提供最新的权威信息，并提供原始材料的链接；。。本次升级后，ChatGPT可以浏览互联网，为用户提供最新的权威信息，并提供原始材料的链接，不再局限于两年之前的数据，可打破数据时限。。。2）多模态上线后，语音功能与图像功能的双重
1691309109# #不知道为什么，好多人居然看不起巴菲特哈哈。。伯克希尔哈撒韦2023年Q2营收925.03亿美元，市场预期821.22亿美元，去年同期为761.8亿美元。Q2净利润359.12亿美元，市场预期78.86亿美元，去年同期为亏损437.55亿美元。。与二季度的经营业绩一同披露的，还有最新重仓股名单。截至二季度末，伯克希尔持仓市值
1695886632# #准备迎接曙光『准备迎接曙光』
1687326219# #转发微博
1689232693# #经历昨天跌得怀疑人生的洗礼，人工智能又将步入坦途，迎来一段快乐时光！
1695618840# #牛市一共分成三个阶段：。。第一阶段，少数有远见的人开始相信一切会更好（先知先觉）。。第二阶段，大多数投资者意识到进步的确已经发生（后知后觉）。。而当到了第三阶段，人人断言一切永远会更好——当共识超越常识，牛市就到了终点（不知不觉）。。熊市同样有三个阶段：。。第一阶段：先是少数投资者在狂热中
1692185049# #还有更无赖的吗？
1694654317# #赞叹……
1687653729# #转发微博
1690254755# #要知道落后的原因，而不是记住仇恨
1696681178# #太可惜了，都要引以为戒
1692416060# #把昨天证监会10条细则都仔细读完了，我觉得还是比较诚恳且务实的。关于网上很多对昨天新闻的各种调侃和误解读，还是看看就好，真正需要的是自己一字一句的去把文件读完。。。我知道很多人在看这一类官方文字时，会产生排斥心理，但是只要认真看过之后，能真实的感受到目前的支持、改变、限制。。。每天在
1693094855# #可怕
1697109780# #有用
1690619668# #笑cry
1690899738# #转：室温超导会带来哪些改变？。简单来说，凡是用到电的地方，超导体都有很大意义，而当超导体实现常温超导，他的应用注意渗入到生活的方方面面。。1.超导电器。超导体没有电阻，会极大推动现有电子技术的使用。我们日常的应用电子技术，都是基于有电阻的电路，由于电阻产生的电的消耗是极为巨大的，人
1696635050# #转发微博
1697605740# #这话说得，气势一下就没了允悲
1688436093# #昨天有好几个朋友私信来问这个人是不是我，这里声明一下，这些都是假冒的，大家一定要远离这些杀猪盘。现在市场上5000多只股票，每天研究工作都忙得不行，哪里还有精力开设什么实战群。。。大家一定要警惕！
1696859221# #恐怖行为是人类公敌
1688987925# #【老祖宗正说反说都有理的14句话】
1696514676# #亟需立法解决烂尾楼问题
1695176609# #经济中的七大错觉
1696572250# #芒果谈成功：我能成功，是因为我年轻的时候，掌握了几个思维方法，后来在一生中反复使用。。。首先，我走大道，因为大道人少。走大道，才是有大智慧。。。我还追求理性。在我从小生长的家庭环境中，我的长辈把提升个人理性作为一种道德追求。一方面是遗传基因的影响，另一方面是家庭环境的熏陶，我从小就养
1693203329# #哈哈
1689720021# #转发微博
1692787039# #今天港股没跌，商品没跌，就A股跌了。。难道是自己把自己腿吓软了？
1692587251# #市场关注ZJH的救市措施，好像这个部门就能决定股市涨跌似的。。股市的背后是经济，外需我们无法决定，内需是可以作为的。。但是，在需求不振的情况下，利率的作用也有限。。问题的核心，还是地产，还是居民丧失了对民营地产公司的信心，怕烂尾。。如果任其发展，那么系统性风险只会越积越严重。。说实话，我
1695997191# #如果你不敢，你起码要为勇敢的人点赞！
1687162183# #只能说国内企业的技术目前做不了
1690254814# #信老牛者赚钱
1698539400# #炒股最重要的十句话，挺有道理！
1698814755# #查理芒格:未来20年中国比任何经济体前景都好
1695178680# #据《印度时报》最新报道，桥水达利欧高度赞场莫迪，称其为印度邓小平。。作为严谨的职业投资人，他是有数据支持的:。"我们对印度、所有排名前22位的国家都有10年的增长率估计…印度的潜在增长率最高…印度正处于1984年我开始去中国时，中国的位置。”。莫迪一生不近女色，心无旁骛，心思都用在国家发展
1695441913# #陈胜吴广首抄秦朝底，败;。刘邦抄双底，得天下。。。曹操刘备孙权首抄汉朝底，败;。司马懿抄双底，得天下。。。金兵首抄宋朝底，败;。元兵抄双底，得天下。。。李自成首抄明朝底，败;。清兵抄双底，得天下。。。国军首抄清朝底，败;。共军抄双底，得天下。。。古往今来概莫能外，故逃顶要早一步，抄底要晚一步，双底形
1697453600# #很恶劣
1688178558# #下半年可能影响A股的一些重要时间节点
1692533524# #没有法制，一切白搭
1697701225# #A股外资今天又跑了117亿，这是下跌的主因。。外资都会撤出吗？不可能，也没有必要。。光伏已经出现持续性买盘。除了极少数高估的白马股，绝大部分成长股已经低估。。持有确定性品种，别担心。
1696069378# #我不同意，极端民族主义从来不是中国的主流。现在舆论失衡的原因是，那些该说话、敢说话的人，都被迫闭嘴了，如此才使得民粹甚嚣尘上
1687775376# #新手初来A股，一开始大概率是挣钱的，恭喜大A迎来“老胡底”？。第一天老胡就按股市的规矩，叫N胡进，后面几天叫C胡进，希望不要加st了！哈哈
1697362923# #法治社会容不得嚣张，反观我们完善法制任重道远
1692674503# #来自华金证券的统计数据：。。1.换手率处于6次大底中第三低水平。。。2.多数指数估值已处历次大底时水平，但不是最低；创业板指估值已处6次大底中第三低水平。。。3.股权风险溢价（ERP）为3.2%，仅高于2016年市场大底时的3.0%，处6次大底时第五高水平。。。4.当前200日均线以上个股占比为40%左右，处6次大底
1692606480# #有一个年轻人不小心。将酒店的地毯烧了三个小洞。退房时服务员说根据酒店规定，。每个洞要赔偿100元。。年轻人:确定是一个洞100元吗?。服务员:是的，确定。年轻人点燃烟头将三个小洞烧成一大洞。
1689985576# #转发微博
1688377683# #以小见大
1689755863# #哈哈哈，我可没有大校那样张扬
1688627149# #【新能源车企开始交付新能源车以来累计卖了多少辆车】
1687241830# #转发微博
1691893932# #丁丁骑虎难下……
1697537638# #成功的几大要素：好奇心、坚毅能力、自我控制能力、社交能力社交情商、对生命的热情、感恩感激、乐观。
1696413244# #梦幻童世界
1690425801# #科斯托拉尼说：“小麦跌时，没有买小麦的人；小麦涨时，没有小麦。”。。老手们普遍认清一个很重要的事实：大盘指数只是整体市场的平均表现，是把最好的公司和最差的公司全部混在一起的加总平均。然而，好公司和烂公司的股价表现差异是非常大的。。。往往大盘指数在下跌见底阶段时，体质好的公司股价已经来
1689246428# #查理芒格说，。一辈子做对两件事就可以很富有：。。寻找什么是有效的，重复它。。发现什么是无效的，避免它。
1697465930# #极端宗教及其派生的极端权威是一切祸害的根源
1697774512# #说股票你们软不拉几，说时政你们战战兢兢，说美女一下子来劲了
1693705500# #股东：请问怎么才能让小孩子对投资感兴趣？有这方面的书可以推荐吗？。。芒格：特别小的孩子学投资，可能不太合适。在做投资的过程中，我收获一些比金钱更宝贵的东西。以一个投资者的视角分析公司，我能把一家公司看得更透彻。在商学院的教学案例中，学生们经常从员工的角度分析，很少从投资者的角度研究
1697291677# #这就是文明与愚昧的区别
1688966547# #芒格的格栅理论：。讲投资人要把知识条理比，形成格栅，通俗点讲，投资如捕魚。格栅就是渔网，网的大小，就是能力圈(知识的边界)；网的密度，就是知识的深度和颗粒度；网的牢度，就是投资逻辑的力度，越是常识的越是可靠。。。投资的网，有一定的广度，牢度和密度，在有鱼的地方下网，网到鱼的可能性就大
1695132093# #可遇不可求。期望越高，失望越大。
1694581089# #国足，谁都打不赢。。国乒，谁都打不赢。。北向，谁都打不赢。。A股，谁都打不赢。
1696667883# #A股开盘前，总会出点事情允悲
1693450697# #转：巴菲特每天都在念的名言：今天像冠军一样投资。。巴菲特有很多名言，有没有一条名言他自己每天都要念一遍呢，有，不但每天默念，还刻在办公场所的牌子上，每天上班第一件事就是摸一下标语牌，以提醒自己记住。。这句名言就是：今天像冠军一样投资。。巴菲特心目中的冠军，就是棒球冠军泰德威廉姆斯，办
1692404784# #将午市交易延长至16:00闭市，可增加与香港证券市场的同步性，且与欧洲市场交易时段产生一定重合，该方案在国内主流的上班时间内，变革成本较低。此外，也有提议缩短或取消午间休市、提早至9点开市的方案，后者与新加坡、台湾等亚太主要证券交易所的交易时间重叠，但也会增加交易所工作人员所在城市早高
1695468277# #赞
1694079907# #好建议！支持！
1687070736# #多交流比不交流好
1691549299# #国际上药物是如何推广的？。来自howmissyou的雪球专栏。中国处方药推广非常简单，给回扣。医院、医生开一盒药拿一盒钱，愿意开。对于药企而言，难的是如何高价进入医保，从而有足够的空间支付药品回扣。。。国际上，新药是如何推广的呢？和国外的朋友聊了聊，也查阅了一些资料，大概情况如下。。。1、DRGS和
1688447313# #有个学者做过一个研究，统计了过去30年之间的全球股市表现，总结发现：全球股市中，只有1.3%数量的股票，贡献了全部净收益，其余98.7%的公司则一直在陪跑。然而，这99%的公司却很大程度上分散了投资者的注意力。
1696824083# #【华西食饮】秋糖系列会议第一天：双节回款动销符合此前预期，汾酒/迎驾反馈相对突出。①湖南白酒大商。两头好中间差，还需时间恢复，婚宴超预期，家宴略消费降级，千元价位带和21年比有缺失，今年高端酒送礼比预期低，茅台控货比去年更强但是价格略向下，今年目标比去年有增长，回款和发货进度比去年
1689822116# #社会是由每一个人组成的
1689559397# #【2023上半年GDP同比增长5.5%】7月17日，国家统计局发布的中国经济“半年报”显示：今年上半年国内生产总值593034亿元，按不变价格计算，同比增长5.5%，比一季度加快1个百分点。分季度看，一季度国内生产总值同比增长4.5%，二季度增长6.3%。
1691713378# #昨天晚上沪深交易所提了两个活跃市场的举措：一个是申报数量要求由100股的整数倍调整为100股起、以1股递增。第二个是引入ETF的盘后交易机制。。。第一个大家讨论得比较多，对中长线投资者来说影响不大，但是交易制度更灵活了也是一件好事。同时对于量化来说，对资金的运用效率能有一部分提升，如果能提升
1688430067# #7月A股算是迎来了开门红，但是很多人预计的机构再调仓回AI的剧情并没有发生，预期落空后，一些AI的板块的公司又调整了。或许这就是A股的博弈结果吧，想要在这里生存下去，不仅要考虑宏观经济、公司经营、政策力度、前沿科技，还要绞尽脑汁的思考别人在想什么。。。这个月最重要的事情肯定是各个公司的中
1695279600# #一切都会苦尽甘来，坚持！
1689732369# #投资者怎么做，才能潜伏到"黄金坑"？。一：切忌跟风追涨。指数快速持续大涨的时候，会诱惑你跟进追涨。。二：切忌盲目抄底。做到了不追涨，又开始毫无价值理由地追跌，看到目标股票下跌就想着抄底。。三：认准价值，关键时候不恐惧畏缩。有了价值尺，不追涨、不随意抄底了，但是又有可能保守过头，真正遇
1696914230# #“哪个国家能贪这么多”，这是真爱国👏
1694769254# #开门要特别小心
1689115932# #转发微博
1696497770# #瞎说闭嘴
1698028918# #绳之以法！
1690946169# #大的机会，都是来自基本面的革命，来自供需的革命。而基本面的革命，必领亲力亲为，才能心领神会。。。面对震荡和回调的时候，真真正正研究过产业和公司的人，和只看图炒趋势的人，他们的内心世界是完全不同的。前者是贪婪的兴奋，后者是害怕继续下跌的恐惧。
1694134722# #转：很多人怀疑，学习巴菲特坚持价值投资和长期投资，在中国股市能成功吗？。。有一部日本电影《垫底辣妹》，讲的是一个成绩垫底的同学靠努力考上好大学的故事。影片中，坪田老师用竖鸡蛋来激励想要放弃努力的沙耶加。如果你觉得不可能竖起鸡蛋，你就会放弃尝试，也就永远竖不起鸡蛋来。如果你知道有人竖
1697676026# #我们要具备终身学习的能力。。。怀特海说过一句话。他说，正是在人们发明了发明的方法之后，人均国内生产总值才飞速增长，文明才取得了巨大的进步。他的话非常有见地。人类在学会了如何学习之后，就开始取得大踏步的发展。整个人类如此，个人也是如此。
1698036742# #很对
1691730389# #牛市如来
1697803796# #转发微博
1698481427# #来，批判一下——伊朗流亡作家哈扎米说：凡是和美国关系不好的国家，领导都富得流油。
1690452960# #【查理芒格智慧幽默语录】。。1、我们不签让自己偷懒的合同，免得自己走向堕落。。。2、一个问题，彻底想明白了，就解决了一半。把事儿想明白，其实特别难。。。3、刻意追求理性真的有用，值得你付出一生的努力。。。4、很多事儿不能装，装着装着就弄假成真了。虚伪到一定境界反而高尚了，装得久了，人确实会变
1689561443# #转：在2023年上海半导体展会上，一个爆炸性的消息让现场一片寂静。长江存储的CEO，陈南翔，向全世界揭示了中国半导体产业背后的残酷真相。他的言语直接破除了那些媒体炒作的云雾，让我们看到了一场世纪大战的真实景象。。陈南翔的词语犹如一记重拳，直击中国半导体产业的心脏。他透露，由于美国的禁用光
