1689430922# #我天，这也太好看了吧憧憬憧憬
1695878617# #每日一善超话心阳光信用每日一善不必急着要生活给予你所有的答案，有时候，你要拿出耐心等等。向空谷喊话，也要等一会儿，才会听见那绵长的回音。也就是说，生活总会给你答案，但不会马上把一切都告诉你。
1694353579# #“16-20”~
1698220859# #期待张杰开学季开学季
1694996206# #牢记历史，吾辈自强！
1695972357# #中秋节快乐！
1693905484# #哈哈哈哈好可爱
1695813959# #好可爱啊
1703203192# #我投给了“张杰”~
1692087250# #抱抱抱一抱抱一抱抱一抱
1698216476# #人行抱枕可不可以直接送我开学季开学季
1700880608# #期待期待
1692093127# #会越来越好的
1691580529# #哇喔，好好看啊憧憬憧憬憧憬
1692074362# #张杰超话张杰北京星星们不要相信转票的，这次是强实名，一人一证一票，捂好自己的👛张杰未live巡回演唱会
1689515255# #长沙也要梧桐
1704167263# #谢谢张杰
1700993489# #今晚见
1690357011# #不会写小作文，只会看允悲允悲允悲
1696940452# #期待张杰打call打call
1691824999# #张杰音乐梦想教室62间啦心心
1703842411# #张杰未你好吗跨年演唱会红红火火，一切顺利！
1702652705# #这微博是刷不了一点了
1703931900# #小王子爱慕爱慕
1689420868# #张杰未live巡回演唱会哇喔，星星灯憧憬憧憬憧憬张杰演唱会
1700147888# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~送花花
1703868315# #张杰未你好吗跨年演唱会香水舞爱慕爱慕爱慕爱慕
1695574976# #张杰扬州音乐节好险啊，差点就听到张杰声音了张杰
1698334799# #分享专辑张杰《值得更好的》
1694353675# #张杰zj华语LIVE王张杰✨💙全美音乐奖年度国际艺人奖首位华人歌手✨💙首位在欧洲开个唱的内地歌手✨💙中国金唱片奖最佳流行歌手奖✨💙两度刷新鸟巢单场演唱会票房纪录✨&nbsp;💙MIX-POP专辑《未·LIVE》销量打破IFPI三白金认证✨💙2019年巡演人数成年度歌手巡演总人次内地冠军✨💙歌手张杰
1701520186# #歌手张杰超话快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1690459900# #还有多少惊喜是我们不知道的憧憬
1694275944# #晚安。节日快乐，张老师心
1703862449# #张杰未你好吗跨年演唱会抱一抱抱一抱抱一抱
1690794594# #好可爱的杰杰
1693893149# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1701836956# #张杰外南街1982黑胶超级期待啦送花花送花花
1691835407# #张杰超话张杰深圳演唱会舞台照心张杰未live巡回演唱会。嗓子是顶尖的爱你音响是最顶配的（我说是就是）。业务能力是全能的（会唱会跳全能ACE哇）。演唱会是会上瘾的（以为是圆梦，没想到是梦开始）。票是不容易抢到的，想感受现场也是非常不容易的dogedoge。所以，去到现场的朋友们
1701885138# #一天比一天更爱你😘😘
1700797164# #哥哥好厉害彩虹屁彩虹屁，教教我抱一抱抱一抱
1691414108# #张杰超话来vx小橙序【小羊派对】，一起坚持爱心公益，一起放大爱的力量吧！我们在【星星部落】等你哦~
1702525935# #是没见过男的吗，这么爱舔
1695693597# #张杰合肥园博会主题歌满园芳华一城一园一故事，永不落幕展芳华心
1704090252# #2024多多见面心心心
1703823310# #准备啦全力以赴
1691802323# #好甜好甜抱一抱，我好爱好爱
1691815972# #啊啊啊啊啊啊啊啊好帅好帅色色
1695706384# #懂了今晚又唱两只鸟哇哇
1695615245# #期待新歌打call打call
1697592503# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐歌曲中pick了我喜欢的音乐作品，快来和我一起为更多的优秀歌曲助力！
1700350890# #啊啊啊啊啊啊啊啊哥哥好帅
1703397334# #我推荐《时光音乐会·老友记》为微博网友喜爱综艺，好综艺带来的快乐、感动是平凡生活里一道灿烂的阳光。一起来微博之夜推荐更多优质综艺吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;link
1704031413# #张杰未你好吗跨年演唱会跨年三场歌单get，记不住第一次抽奖在那首歌后面了知道的可以说一下，有错误的指出来哦张杰成都演唱会
1689400063# #张杰未live巡回演唱会715-716一切顺利，贵州等你航天员航天员
1700147881# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1699873196# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐奇妙之城2！为热爱助力，一起来推荐你最喜欢的作品吧~彩虹屁
1696341970# #哈哈哈哈哈哈
1693839982# #哇喔，新歌终于要来了哇哇哇
1694920768# #星光公益我愿意我是【妇幼守护天使】，从每个人力所能及开始传递温暖，晒出你的爱心影响力，共同以微博之力，创造更加美好的明天&gt;&gt;速戳
1702008500# #张杰如歌谁能不爱张杰的古风歌呢。若遗憾是遗憾，若故事没说完，又不是非要圆满~～～想念演唱会啦
1697505254# #公主们的投票了‼️
1693544782# #九月顺顺利利
1690769075# #辛苦啦
1690422287# #张杰演唱潜行者主题曲来听新歌啦
1700915894# #歌手张杰超话wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1702567132# #“张杰外南街1982黑胶”~
1697179839# #张杰跳舞反差感动作干净利落，多跳爱看爱你爱你爱你
1695574131# #张杰扬州音乐节帅哥真好看彩虹屁彩虹屁彩虹屁
1701013557# #张杰超话zj张杰点歌台。晚安电台—追光者。真的好喜欢这首歌啊
1700312881# #你好红我好爱彩虹屁彩虹屁
1701099965# #好喜欢你呀，期待下一个综艺哦抱一抱抱一抱
1693892921# #坚守初心砥砺前行。为文艺志愿精神点赞
1688696293# #吾辈当自强
1701844543# #安排安排送花花送花花
1691885652# #张杰未live巡回演唱会为你而战直拍
1701537500# #很想很想你掉马这小甜剧不错，有点上头哈哈哈哈哈哈
1696167391# #张杰国庆晚会致敬每一位守护者祝福祖国繁荣昌盛心
1702786957# #明年见
1702528543# #张杰未你好吗跨年演唱会2月29日210min/3.5h，12月30日210min/3.5h，12月31日300min/5h！！！太让人心动了！！！这三天我抢不到票怎么过啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊抓狂抓狂抓狂抓狂张杰个人首个跨年ip官宣
1694094147# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《外南街小孩》，快来和我一起为更多优秀音乐内容助力！打call
1702599676# #哈哈哈哈哈哈哈
1690006794# #我来414，好可爱啊
1692980016# #张杰三登鸟巢航天员张杰的社交圈好广玩得开心
1697421271# #ZJ只吃糖不吃苦。数码小王子🤴🏻。公主们👸🏻。早安呐
1697384798# #他叫我公主👸🏻哎，公主要美美睡觉啦爱你爱你
1703045452# #是我送花花送花花
1701101311# #张杰献唱一念关山主题曲立剑新歌听起来送花花送花花送花花送花花
1699277030# #想你想你想你
1703847524# #张杰未你好吗跨年演唱会听爱慕爱慕爱慕
1699198013# #张杰超话公主们，晚安咯
1697163026# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐MV中pick了我喜欢的音乐作品，快来和我一起为更多的优秀作品助力！。
1690802826# #外南街的杰杰
1702860664# #张杰1220生日快乐呜呜好浪漫
1694325593# #太喜欢张杰的《天下》啦打call打call打call
1702693336# #
1701748754# #哇喔，超级期待
1694359206# #张杰唯粉实时号测试你去哪里了，快回来。我这破号，关键时刻掉链子悲伤悲伤
1696494642# #一切顺利抱一抱
1701595726# #真棒👏🏻，拿下啦送花花送花花送花花
1702008683# #没人不爱如歌悲伤悲伤
1691296439# #啊啊啊啊啊，签售会签售会
1695440369# #张杰《势不可挡》《少年中国说》
1694324364# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的张杰，快来和我一起为更多优秀音乐内容助力！！
1698806008# #罐子，我来啦，万圣节快乐
1694273895# #张杰时光音乐会老友记直拍来啦
1693241435# #期待改编版《北斗星的爱》打call打call打call打call
1696520519# #怎么做到又拽又奶的开学季开学季
1693722337# #蹭蹭
1702990286# #天体🐮
1692242776# #张杰官宣加盟东方风云榜期待华语LIVE王张杰
1694085686# #期待华语live王张杰
1696894515# #ZJ只吃糖不吃苦。♡🌞goodMorningლ(╹◡╹ლ)。。热爱世间万物，无最爱，无例外
1702041417# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1694083952# #明年见
1699884764# #太牛了
1689869617# #倒计时八天啦。开心开心😁
1690532152# #长沙见咯憧憬憧憬憧憬
1703855464# #张杰未你好吗跨年演唱会串烧心
1695727578# #。您好，我要举报以下用户（禁点进主页）。
1699444343# #有福利的时候人均十年老粉。需要动手的时候变路人了。呵呵呵呵😒
1690764223# #喜欢张杰很久的彭奶奶去世了。完整版《我的青春在飞腾》。。彭奶奶，你听到了吗。张杰未live巡回演唱会
1689585313# #张杰超话长沙730两张580换两张1680，补差价，有换的嘛可怜可怜可怜
1694355058# #张杰杰神🐮🍺，已经说累了彩虹屁彩虹屁彩虹屁彩虹屁
1702479144# #芒果tv会员在现场真的真的很想去，看看我吧苦涩苦涩你好星期六
1701918666# #一念关山张杰立剑mv送花花送花花送花花
1698214247# #乐事品牌代言人张杰送花花送花花
1691249398# #张杰超话张杰未live巡回演唱会。长沙还记得我们的天下吗。。0729的天下，是属于我们的天下
1693654116# #云之羽OST阵容云之羽也太好听了吧张杰献唱云之羽主题曲
1701697832# #快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1691666977# #注意安全
1703639625# #张杰新ep冬月初七Top打call打call
1701747144# #张杰超话zj张杰1220生日快乐。抖🎶更新。张三岁来啦
1700051200# #没做的，快来啦
1703502328# #我推荐《时光音乐会·老友记》为微博网友喜爱综艺，好综艺带来的快乐、感动是平凡生活里一道灿烂的阳光。一起来微博之夜推荐更多优质综艺吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1699362937# #张杰时光音乐会老友记送花花送花花
1703176047# #张杰超话zj张杰外南街1982黑胶。你的第二张黑胶。也是我的第二张黑胶。下班就迫不及待的拆箱啦。超爱外南街小孩
1702916549# #生日快乐杰哥彩虹屁彩虹屁
1704039663# #为什么不回我。为什么不回我。为什么不回我
1693060168# #今晚好棒好棒，期待明天
1701616182# #太可爱啦送花花送花花
1700314194# #李现和张杰击掌心中华民族团结进步宣传推广大使张杰新身份，新使命心
1703852058# #舔屏舔屏
1690458050# #长沙见航天员
1691572559# #一切顺利航天员
1691842656# #唱反调的杰杰
1702916201# #甘肃地震平平安安
1698075349# #崇拜，岁月神偷开学季开学季开学季
1698220412# #帅宝宝开学季开学季
1701530054# #张杰超话✨海市幻城音乐节。龙吟太燃啦张杰珠海音乐节开成演唱会。爱你的每一次现场抱一抱抱一抱vx裙
1691475850# #买啦买啦，等签售会偷笑偷笑偷笑
1704026670# #我是粉了一个神仙吗
1689441456# #张杰未live巡回演唱会你你你心心心张杰演唱会
1694353235# #张杰演唱云之羽同名主题曲
1697249241# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1697595285# #张杰超话。备忘录📝：杰杰微博。5月自存哇哇总27心
1694707932# #微博音乐盛典微博音乐LIVE秀乐享心声，乐动精彩，助力优秀音乐让更多人听到，一起感受音乐的力量！
1703656863# #灯门永存送花花送花花送花花，超爱❤️
1701428686# #歌手张杰超话快来wx小橙序『咪咕星球』一起为爱心公益助力，我们在给你小心心星星星球给你小心心等你哦~
1697354833# #少年强，则国强开学季开学季
1702951225# #一直显示不要重复提交订单。我TM都没有买到哪来的重复提交订单你有病啊
1689654480# #期待期待
1693536156# #张杰外南街1982签售会九月第一天，好运好运
1703933894# #哈哈哈哈哈哈哈杰杰：不敢动根本不敢动
1695398472# #每日一善超话心阳光信用每日一善善良是一束阳光，温暖着心田，善是一股清泉，滋润心间，善是一阵幽香，点缀心弦，去行善，让人感受那阳光，那清凉，那幽香。那扑鼻的甘甜，让人沉醉
1698635130# #哈哈哈哈哈哈哈
1698047507# #张杰超话送花花张杰1220生日快乐。生日
1701363878# #OPPOReno11今日开售看起来很不错的样子dogedoge
1699961666# #ZJ只吃糖不吃苦。有点子💰都给张杰花了允悲允悲允悲张杰超话
1695722542# #幸福心
1692594111# #期待华语live王张杰彩虹屁彩虹屁
1688746044# #期待张杰哇哇哇
1704266385# #张杰音乐梦想教室跟随张杰“益”路前行！
1699793783# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐声生不息宝岛季！为热爱助力，一起来推荐你最喜欢的作品吧~彩虹屁
1692697452# #张杰好帅，期待张杰鼓掌鼓掌
1696512175# #淮安洪泽湖畔音乐节张杰打call打call打call
1704016997# #啊啊啊啊啊为什么还有抽奖环节
1694439618# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1691763453# #评论区允悲允悲允悲允悲
1690864935# #永远爱杰杰@张杰
1702763233# #2023微博演出大赏开启，我推荐了张杰未·LIVE-「曜·北斗」巡回演唱会。来音乐人的年终会客厅，一起来推荐你喜爱的演出作品吧！年度演出推荐！
1699355062# #哈哈哈哈，口号改了笑cry笑cry
1701951780# #张杰我的第二张黑胶大碟你的第二张黑胶大碟，也是我的第二张黑胶呀。期待收货😎
1693505638# #每日一善超话每日一善超话❤️每日‎一善❤️阳光信用。。九月快乐。善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。。⑥社会主义核心价值体系是“兴国之魂”，建设社会主义核心价值体系是推
1703304393# #恒心至善，星光相伴。我正在参与2023年度星光公益大赏，我推荐的年度明星公益事件是张杰音乐梦想教室，点击
1692980061# #你懂我们dogedoge
1699793724# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧哇
1696323951# #又被张杰装到了。本粉丝真的高兴死了哈哈哈哈哈哈哈哈哈张杰
1703896420# #“突然有束光是你给的，告诉我手边就有银河”苦涩苦涩苦涩苦涩
1692703746# #密码破解啦，我爱你@张杰
1698042399# #张杰超话送花花张杰点歌台。公主们听歌吧。公主请吃橘子🍊
1698576403# #我可以跟在你身后，像影子追着光梦游。。Cr🍠（水印）
1702990811# #愿平安心
1689419819# #张杰演唱会火鸟啊
1703013981# #生日快乐，平安健康心
1688945271# #恭喜歌手张杰，实至名归，我们长沙见心
1689339115# #一切顺利航天员
1702569418# #张杰真的不敢想象我要是拥有3.5+3.5+5得有多幸福
1694878421# #期待张杰哇哇哇
1695780106# #来啦来啦，今天一切顺利心
1699105245# #是我们的天下呀送花花送花花
1689654688# #长沙见啦
1702389702# #周海媚去世愿天堂没有痛苦，一路走好
1689519168# #张杰未live巡回演唱会又到梧桐吐绿时张杰演唱会
1688618294# #张杰超话张杰未live巡回演唱会。心张杰演唱会抢票长沙我来啦。可以一起过生日啦憧憬憧憬憧憬
1697092036# #太可爱了哈哈哈哈
1694140507# #期待张杰打call打call
1699657494# #早呀。上个早班
1698245619# #ZJ只吃糖不吃苦无聊透顶的工作，日复一日，年复一年，累了，要不明年换一个吧送花花送花花
1696427538# #哇喔，恭喜恭喜🎉男子十米跳水夺冠放张杰高飞
1697353415# #张杰在川大唱少年中国说现场超燃少年强，则国强心
1694255616# #啊啊啊啊啊我来啦彩虹屁彩虹屁彩虹屁
1689519737# #长沙见航天员航天员航天员心心心
1690371256# #期待华语LIVE王张杰
1700410429# #收一个送花花送花花
1694322780# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！打call
1693326179# #恭喜我杰哥打call打call
1701491952# #滴～滴滴～滴滴滴～
1695530875# #打call打call
1694439977# #每日一善超话❤️每日‎一善❤️阳光信用。善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。。⑥社会主义核心价值体系是“兴国之魂”，建设社会主义核心价值体系是推动文化大发展大繁荣的根本任
1696775661# #每一首我都好爱啊
1700197562# #期待张杰呀送花花送花花送花花
1692866475# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1688653668# #SVIP免费领SVIP体验卡免费领我成功领取了3天SVIP体验卡。快快点击即刻成为微博SVIP。去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益等你来体验！
1703853640# #张杰未你好吗跨年演唱会陪你唱到80+心心张杰跨年演唱会
1689142360# #长沙见航天员航天员
1691547368# #张杰实体专辑外南街1982还得是张杰鼓掌鼓掌鼓掌
1693790387# #我来陪跑了老师好老师好
1693540242# #张杰张杰打call打call
1698553389# #天下刚开始那里的舔嘴唇抓狂抓狂抓狂抓狂🥵🥵🥵🥵🥵
1703846942# #张杰超话张杰未你好吗跨年演唱会。第二首：万物不如你。星海好美张杰成都演唱会
1700915054# #张杰超话快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1697683373# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1702310146# #热心观众新增投递表明，20年就有人反应薛之谦的网易云点赞问题
1692605541# #。您好，我要举报以下用户（禁点进主页）。
1696344936# #邯郸狂潮机车音乐节太🐮了张杰加盟狂潮机车音乐节
1701352159# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1689439530# #张杰未live巡回演唱会是涅槃重生的火鸟心张杰演唱会
1691760352# #爱你哟@张杰
1701315210# #张杰时光音乐会老友记存吃播杰杰
1693543868# #提高审核条件，不然就别办了
1693893221# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1703166737# #天体最棒赞
1699097143# #帅帅帅帅帅
1693897304# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！doge
1693154699# #玩得开心哦
1703245000# #冬至快乐，生日快乐蛋糕蛋糕
1696931737# #张杰时光音乐会老友记太帅咯
1703851456# #张杰未你好吗跨年演唱会天上掉下个林妹妹憧憬憧憬憧憬
1689529659# #张杰超话张杰未live巡回演唱会。2023-0429武汉站
1691550144# #张杰实体专辑外南街1982🐮🐮🐮
1694604424# #张杰超话张杰未live曜北斗巡回演唱会。好爱我们的大合唱啊。张杰0729长沙《爱不解释》。我要如此……爱你
1699873220# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐时光音乐会·老友记！为热爱助力，一起来推荐你最喜欢的作品吧~送花花
1703397346# #我推荐张杰未·LIVE-「曜·北斗」巡回演唱会为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1693078676# #一切顺利！收官站圆满航天员航天员航天员航天员航天员航天员
1695279917# #衣服皱皱的头发卷卷的我好喜欢卷毛杰杰太开心太开心太开心爱你爱你
1691990613# #张杰超话张杰未live巡回演唱会。因为爱就是爱。不解释你一定懂尽在不言中
1691538154# #早上好呀航天员
1696774753# #星并不远，梦并不远，只要你踮起脚尖心心
1703903071# #啊啊啊王子啊爱慕爱慕爱慕爱慕
1697386486# #张杰超话张杰slowdown。。♥️¹⁰⁰无期限爱你爱你爱你
1703518068# #张杰我对你的仪式感就是：。无论何时，去见你都是第一次见面那种欣喜和期待。
1692250205# #期待张杰
1689423931# #啊啊啊啊啊我好爱好爱
1703865607# #张杰未你好吗跨年演唱会鲜艳的狂想高清直拍爱慕爱慕爱慕张杰下雪了
1693307182# #时长太短了，还可以再长一点doge
1695797544# #好乖哦
1689515305# #张杰演唱会哇喔，这套也好好看啊张杰未live巡回演唱会
1695446024# #期待华语live王张杰
1691470368# #买到啦买到啦
1691841829# #期待华语live王航天员航天员航天员
1701101637# #已经在听啦送花花送花花送花花
1700899155# #期待张杰
1688463185# #张杰未live巡回演唱会一路之下心
1690334284# #张杰超话北斗星空十九周年希望我能换到想要的票哈哈哈哈哈哈哈哈哈哈
1695351991# #张杰时光音乐会老友记起落平安心
1695567894# #差点就听到张杰的声音了允悲允悲
1702865438# #张杰冬日全新EP预告明天就是初七了哎！啊啊啊啊啊啊啊啊，那明天就可以听到了哎，期待期待
1697302370# #又红又专，太爱了爱你
1693104301# #张杰未live巡回演唱会世界欠我一个微笑航天员
1704200386# #滴滴
1698351115# #转载了的微博图片
1703957866# #肯定是志刚了，看你这幸灾乐祸的dogedogedoge哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1702570597# #我投给了“身骑白马”~
1697854291# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1692598485# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！航天员
1702220703# #好听好听哈哈哈哈
1693325699# #明年见好喜欢好喜欢
1701264618# #工作室回应张杰偷跑物料这边建议柿子去偷你老板的相机📷，把相机里的自拍放出来dogedogedoge
1695784077# #张杰超话张杰蕾拉mv上线。Layla你不需要再说谎。是我多了心而这种错很透明。
1690950207# #进不去允悲允悲
1695095978# #真特种兵杰杰
1703224093# #张杰冬日全新ep预告期待全新EP上线，尊嘟尊嘟超好听送花花送花花送花花
1693227836# #啊啊啊好帅好帅
1689426306# #帅哥真好看
1693898213# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1699066112# #张杰超话张杰时光音乐会老友记。你的姿态你的青睐。我存在在你的存在。就这两句，直接循环播放到晚上
1699515906# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1697361879# #🐏了好久的号，感觉今天又要废了。好忙好忙，但是好爱好爱
1696777704# #睡个好觉，做个好梦，晚安！
1701533219# #这也太帅啦送花花送花花送花花
1700147901# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧哈哈
1701176676# #歌手张杰超话快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1694778150# #来啦来啦
1692245548# #期待华语LIVE王张杰
1703651878# #哇哦~被特仑苏微博跨年狂欢节温暖到啦，接好运！点击链接继续参与互动！
1702568554# #张杰💘是谁狠狠捕获🕸️了我的心❓当然是我们华语lLIVE王张杰啦🤳和星星们✨永远双向奔赴🔛会认真接收粉丝的每一封信💌台上尽职尽业认真对待🌟台下犯傻可爱做开心果🥳有张杰在的每一天都幸福满满💝
1695702351# #来听张杰唱歌啦打call打call
1693897229# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1697474968# #ZJ只吃糖不吃苦公主请听歌开学季
1689141621# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1701321012# #刷到一遍转一遍，我真的好爱《新征程》送花花送花花
1702916183# #泪泪泪
1699000713# #哇喔，有新图哇哇哇
1695707199# #张杰超话打call张杰蕾拉MV预告超级期待《蕾拉》MV，明天10：00不见不散，蕾拉26谜底揭晓张杰的26之谜解开了
1702540847# #这招接不了一点啊允悲允悲允悲
1697356925# #演唱会唱追光者开学季
1694354451# #张杰根正苗红的歌手张杰
1701787835# #张杰1220生日快乐拉低中奖率😏
1703855892# #张杰跨年演唱会救命🆘，这也太帅了，金丝眼镜抱一抱抱一抱抱一抱
1693503832# #张杰超话。星星们帮帮我。帮我评论一下我马上就到五级了泪泪。我好想好想去签售会见杰哥啊。我喜欢杰哥很久很久，是他十几年的老粉了。之前因为学习跟工作原因没有时间玩微博。但我真的很喜欢他，拜托星宝们帮帮我悲伤悲伤悲伤悲伤，让我有机会去见到他害羞。Ps：有没有谁不去的，专辑
1690954054# #超话小秘书超话超话小秘书超话你好，我要举报黑超话。1⃣华语wife王超话。2⃣雨杰桐猩超话。社区举报
1701746708# #张杰超话zj张杰1220生日快乐哥哥在线了哎，准备干嘛呢送花花送花花
1702010744# #真会玩儿，公主王子们积极参与哦
1691301512# #签售有我🙏🙏🙏
1695087900# #不满足条件的能不能不要参与了，增加别人的工作量了二哈二哈
1701166569# #张杰1220生日快乐粥粥好棒送花花送花花
1692963346# #张杰未live巡回演唱会我们的星海太美啦张杰鸟巢演唱会
1689354783# #居然有穿越人海火鸟安忍苦涩苦涩苦涩
1703046282# #张杰1220生日快乐与杰同行益路杰伴星公益生日快乐大北斗
1697596958# #加油开学季开学季
1699708772# #杰么帅彩虹屁彩虹屁彩虹屁
1697771082# #这条存下我的专辑送花花。目前能找到的订单截图笑cry笑cry。未live先行版✖️正式版没有订单
1701916894# #张杰1220生日快乐中奖绝缘体来啦，到处试一下哈哈哈哈哈哈
1703639576# #张杰新ep冬月初七抱一抱抱一抱
1697349133# #张杰超话干活啦‼️
1703046189# #恭喜
1694139600# #期待张杰打call打call打call
1695722970# #要幸福哦爱你心
1702107042# #我投给了“张杰《任我》”~
1692077333# #张杰演唱会提醒提醒‼️‼️‼️。转票的都是骗子都是骗子。不要相信不要相信张杰电话
1693880373# #好听好听
1703580468# #两只鸟出息了，有mv了抱一抱抱一抱抱一抱
1702920076# #锦鲤附体，我获得了微博之夜简单卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1694236340# #来啦来啦打call打call
1693376242# #格局🈶
1695866731# #张杰歌迷最幸福，辛苦了哥好好休息一下心心
1689339720# #感觉全世界都去了南京。而我还在搬砖苦涩苦涩苦涩
1691834654# #感谢品牌认领，张杰穿好帅好帅抱一抱抱一抱抱一抱
1690364543# #北斗星空十九周年㊗️我们的大家庭北斗星空十九周岁生日快乐，未来也要一直走下去哦心心心
1690457146# #长沙见心
1703858760# #张杰未你好吗跨年演唱会逆战爱慕爱慕爱慕
1690521491# #哇喔，好好看好好看👀
1702527617# #期待送花花送花花
1697683356# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐MV中pick了我喜欢的音乐作品，快来和我一起为更多的优秀作品助力！。
1694137259# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《福》，快来和我一起为更多优秀音乐内容助力！哇哇
1701934127# #我在2023微博音乐大赏推荐了《Layla蕾拉》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐送花花
1699974970# #滴滴
1691595005# #来啦来啦
1703847600# #啊啊啊啊啊啊啊啊啊啊啊啊啊
1694137181# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！
1694591427# #破掉你的❓
1691592591# #一切顺利哦
1703932684# #张杰未你好吗跨年演唱会天下
1692026135# #张杰深圳演唱会唱身骑白马谁能不爱身骑白马呢张杰未live巡回演唱会
1695205628# #哇喔，好棒好棒。爱你😘
1701152092# #张杰1220生日快乐来咯来咯
1702971481# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1694324371# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的张杰，快来和我一起为更多优秀音乐内容助力！💙
1691800417# #哥哥好会扭抱一抱抱一抱抱一抱抱一抱
1697943165# #你不要哭嘛苦涩苦涩苦涩
1694867415# #期待张杰哇哇哇
