1695904631# #美国费城商店遭打砸抢马斯克感慨：美国正沦为小丑
1702507272# #怕?美国佛罗里达州新法律禁止中国学生进入学术实验室，佛罗里达大学已经暂停向2024年秋季中国研究生发放录取通知书。
1702128584# #精神病美国参议员致信雷蒙多：中国大蒜构成重大国家安全风险
1702248919# #主播说联播【本周，从“认知”说起】本周，习近平主席在京会见欧盟领导人。在谈到中欧关系时，习主席强调，双方要树立正确认知，一心一意发展关系。认知问题就像双方关系的第一粒扣子，如果没扣好容易走偏；如果扣好了，视对方为合作伙伴，格局打开，很多问题就能找到解决办法。近一段时间，大国重器
1700634975# #曼谷街头现多名中国籍毁容乞讨者。
1698472756# #被BBC提问“在以平民熟睡时将其杀害是否正当”，哈马斯发言人愤怒中断采访扔掉麦克风巴以冲突
1703507663# #春节成为联合国假日，外交部：春节是中国的，也是世界的
1700051186# #丧心病狂，哈马斯在哪？以军突袭加沙希法医院对窗户和建筑进行无差别射击哈马斯:以色列和拜登对后果负全责俄乌冲突
1693144678# #自由美利坚，消息封锁每一天！
1698658020# #“日本鬼子进村了”，巴勒斯坦约旦河西岸地区，以色列武装人员挨家挨户地进行扫荡，并剪断住宅楼内监控摄像头的线路。巴以冲突
1700882386# #一旅法中国留学生因涉巴以冲突涂鸦或遭强制遣返，中方回应：全力维护中国公民合法权益巴以冲突
1693399067# #据中新网援引俄媒30日报道，当地时间30日凌晨，俄莫斯科州中央联邦管区发生大规模无人机袭击事件，其中一架飞往无人机莫斯科的无人机在鲁扎区被摧毁。关注俄乌局势最新进展
1699109165# #法国要求以色列做出解释。巴以冲突
1702266711# #航行警告！黄海北部实弹射击训练
1703505286# #扰乱自己的国家算什么能事?只是为了别人给的一点银子?塞尔维亚突发骚乱！武契奇紧急发声
1700478441# #20日报道，外交部：部分国家求助，中方已为其公民撤离缅甸避战提供出入境便利。
1691892208# #美国军演模拟逼近中国作战】日前，美国空军“红旗”军演首次有美航母参与，美司令宣称将重点演练远程作战，瞄准未来与中国发生“冲突”。专家称演练课目应该是针对介入台海、南海，甚至东海战事。
1700184779# #我们没法长大----“心系巴勒斯坦”峰会，正式宣布学年结束，所有学生都已殉难。泪巴以冲突
1697168807# #当地时间12日，法国巴黎街头爆发大规模抗议，数千名支持巴勒斯坦的抗议者聚集在巴黎街头，挥舞巴勒斯坦国旗，高呼口号。巴以冲突
1687849609# #俄媒：白俄罗斯开始建营地，安置瓦格纳成员瓦格纳从俄南部军区司令部撤离
1697789937# #美国的丑恶嘴脸是否支持对加沙医院事件展开国际调查？美国务院发言人：不合适巴以冲突
1688391180# #美国再现“血腥周末”！独立日假期期间发生大规模枪击，致2死数十人受伤
1693058984# #五万韩国人向总统府游行抗议，最大在野党党首称，日本“向所有太平洋沿岸国家宣战”
1698742713# #“没有人像我一样相信我们会胜利”时代周刊称泽连斯基已筋疲力尽盟友的“热情消散”让他愤怒，身边亲信：他感觉自己被盟友背叛了俄乌冲突
1687163874# #最近（2023.6），琉球地区知事TamakiDenny用反对书告知世界：世界无国家承认琉球隶属于日本。
1692743210# #【日本为了自己划算不惜让全世界买单极其自私自利！】日本政府不顾国际社会严重关切和坚决反对，一意孤行，执意宣布将于8月24日启动福岛核污染水排海。为了自己的“划算”，不惜让全世界买单，这种恶劣做法极端自私，不负责任！福岛核污染水排海至少持续30年，30年，这要造成多么严重的后果？日本
1698288960# #台北街头惊现纳粹旗，“德、以驻台代表”谴责：令人厌恶且冒犯台湾省
1689692818# #新加坡学者:西方所谓的“中国债务陷阱”论调，是对发展中国家智力的侮辱
1699055930# #突发新闻，以色列政府发言人埃隆·利维发表电视讲话，向全球以色列公民发布“紧急旅行警告”，要求海外公民隐藏自己的以色列人和犹太人身份：1、在10月7日哈马斯袭击以色列后，全球犹太人面临反犹仇恨言论和暴力事件激增；2、这个“不寻常的全球旅游警告”是由以色列国家安全委员会和以色列外交部发出的
1699426082# #冯德莱恩称将在几周内来中国：欧盟与中国的关系是世界上最复杂，最重要的关系之一
1696939845# #美国贼不要脸你有啥资格教中国该怎么做?美参议院领袖哈默及代表团访华，敦促中方谴责哈马斯。
1689205875# #北约峰会公报称中国构成“系统性挑战”，外交部驳斥
1690116332# #外国博主批联合国新疆人权报告：“可能”出现了35次，“似乎”8次，“暗示”5次，“据称”11次，“大概”9次，然而他们将这份报告以斩钉截铁的姿态广而告之
1687820005# #普京签署一项法案把9月3日的“二战结束纪念日”改名为“反日本军国主义战争胜利纪念日”后，日本政府不满：
1690364432# #美国国防部宣布再向乌克兰提供价值4亿美元的军事援助关注俄乌局势最新进展
1692919676# #日本要花700亿日元"堵嘴"用来处理核污水负面信息
1687266645# #美国突然在全境范围内进行军事大调动！是为全面战争做预演？就在美国务卿布林肯出访期间，美国陆军和国民警卫队在美国本土进行了大规模军事调动，加利福尼亚州、爱达荷州、洛杉矶、纽约和费城等地的街头，出现了大批重型装备！这种情况在美国本土已经有数十年没有见过了，上一次还是在“古巴导弹危机
1699601607# #以色列真的恐怖到极点巴以冲突
1698320047# #恶魔在人间，以色列真是肆无忌惮的杀人。以军再度空袭加沙的联合国学校，现场一片惨叫声，人员四散奔逃巴以冲突
1697799882# #谁反对美国谁就是恐怖分子，现在世界人都看明白。老死头子平时看他糊涂，坏起来一点儿都不糊。巴以冲突
1698925617# #任职31年的联合国高官辞职俄乌冲突
1702556097# #普京：对于俄罗斯来说，失去主权就不可能存在了俄乌冲突
1697117834# #土耳其总统：以色列作为不像国家，所作所为更像kb组kb巴以冲突
1699854178# #巴黎等地共超过10万人游行抗议“反犹主义行为”，法国总理和勒庞参加巴以冲突
1698579052# #鼓掌据央视新闻客户端援引黎巴嫩“广场”电视台消息，当地时间10月28日深夜，位于叙利亚代尔祖尔省东部欧麦尔油田区的美国军事基地遭到炮击。巴以冲突
1690111721# #俄罗斯炸毁敖德萨无人艇制造地关注俄乌局势最新进展
1699336358# #内塔尼亚胡在与保加利亚总理见面时说：“我们是在进行一场文明与野蛮之间的战斗”。截止6日，加沙地带已有10022人死亡，其中包括4104名儿童和2641名妇女。此外还有25408人受伤。巴以冲突
1689632730# #主播说联播
1697349415# #希望能保住他们的家园。巴以冲突
1694271425# #FBI招募华裔美国人公开宣布渗透中国
1690422565# #整个人僵住20秒美参议院共和党领袖麦康奈尔讲话时突发异常被护送离开
1697006305# #胡塞武装警告美国：若介入巴以冲突，胡塞武装将袭击以色列巴以冲突
1700882005# #俄乌冲突已持续21个月，普京：必须考虑如何结束这场悲剧，从未拒绝与乌克兰进行和平谈判巴以冲突
1702432779# #“欧美沆瀣一气”爱尔兰议员巴以冲突
1697620950# #你们应该到海里去住，那里有核废水可以喝。俄乌冲突以色列前外长建议加沙人去埃及沙漠，而且埃及必须得合作。
1697581343# #9月15日，以色列占领军士兵突袭了一家巴勒斯坦商店，命令收银员解锁手机，并查看他的Facebook上是否有支持加沙的帖子。最后他被逮捕了巴以冲突
1703542922# #【这一年，针对这些热点，有力发声】从多部门整治网暴到自媒体贩卖暑期焦虑，从巴以冲突到日本核污染水排海，从警方严厉打击缅北电信诈骗到多部门整治智能电视开机复杂等问题，2023，针对国内外热点问题，主播说联播及时发声↓↓↓
1697683188# #大批抗议者涌入美国会大厦要求美支持巴以停火，上百人被捕巴以冲突
1697150996# #【激发赣劲让江西更显山露水】位于江西景德镇中心地带的陶阳里，古有“陶阳十三里，烟火十万家”的说法，如今，穿梭于窑砖里弄，聆听传唱千载的泥与火之歌，文化传承的使命感油然而生。再看婺源石门自然村，以生态景观为人熟知，白墙片片、灰瓦叠叠、绿水悠悠，还有农产品满箩满筐，乡村振兴蹚出一条
1695562925# #哥伦比亚总统在联合国大会上不点名的谴责美国在世界所犯下的罪行。
1703386348# #俄军士兵中枪中国品牌手机挡下子弹，防弹衣被穿透俄乌冲突
1689835745# #【航母+F-22美军在东南亚要搞大动作】近日，美军核动力航母抵达印尼，还首次在此部署2架B-52轰炸机，并向菲律宾派出F-22等多型战机进行联合演习。专家称，美国围绕南海增加“点位”，妄图从海上空中挑起冲突。
1703854248# #任命董军为国防部部长
1690509192# #北约峰会公报渲染中国核威胁国防部：美国和北约才是国际和平与安全领域最大风险源美国已在欧洲部署百余枚核武器严重加剧全球核扩散风险
1694610842# #华为小米达成全球专利交叉许可协议
1691882631# #海外博主分享日常生活有粉丝后开始造谣抹黑国家，不管故意，无意，大家要警惕了
1695719169# #叙利亚第一夫人：中国取得巨大进步，我们可从中国经验中获益
1691320727# #现场视频！中国海警驱离菲非法进入仁爱礁邻近海域船只
1687834161# #中国科学技术大学2023毕业典礼之——毕业宣誓
1691327999# #据环球时报援引美国《华尔街日报》当地时间5日报道，在太平洋海域进行第三次联合海上巡逻的中俄海军舰队，共计11艘军舰，于日前进入美国阿拉斯加州附近国际海域
1693495625# #美媒：乌对俄本土发动“最大规模袭击”，4架俄军大型运输机被摧毁；有俄专家怀疑“乌军从俄邻国爱沙尼亚发动袭击”。关注俄乌局势最新进展
1699913573# #【重返巴厘岛通往旧金山】中美元首旧金山会晤将是继去年巴厘岛会晤后，中美元首再次面对面会晤。在中美关系止跌企稳的关键时刻，中美元首会晤备受期待。这段时间以来，中美开启了互动模式。多互动，多走动，关系才不会冷冻；多握手，多合作，两国关系才不会滑坡。“重返巴厘岛，通往旧金山”，把中
1698413442# #俄罗斯人道主义物资空投到加沙，俄方：我们的空投行动无需任何人同意！巴以冲突
1700400883# #龙岩两地通告：缅北战事吃紧，滞留缅北人员立即报备立即回国。
1686916052# #日本核污水超标20000倍，韩国已举国囤盐
1687665104# #反制日本，普京签令将9月3日更名为对日本军国主义战争胜利纪念日
1699603319# #以色列议员发表惊人言论：所有拍摄哈马斯10月7日袭击行动记者将被列入“消灭名单”巴以冲突
1689377560# #泽连斯基谴责北约宣言草案涉乌成员国资格的措辞是“前所未有和荒谬的”。美媒披露：乌总统对抗性言论令美“愤怒”。以至于参与这一进程的美国官员考虑放缓对基辅加入北约的“邀请”关注俄乌局势最新进展
1691621386# #【越织越密的中国高铁网将送上更多惊喜心】昨天，贵南高铁贵阳至荔波段正式开通运营，从贵阳最快57分钟就能到荔波县。此外，今年全国铁路预计投产新线3000公里以上，其中高铁2500公里。比如，贵南高铁预计年内全线通车，福州至厦门、南昌至景德镇至黄山等一批新线即将开通运营。高铁网越织越密，织
1691492292# #8月7日，菲律宾外交部发表声明称，中国海警8月5日在南沙仁爱礁海域对菲方向仁爱礁“坐滩”军舰执行例行补给任务的补给船和海警船进行拦阻并使用水炮攻击，违反《联合国海洋法公约》和南海仲裁案裁决，侵犯菲主权权利和管辖权。8月8日，外交部发言人就菲律宾外交部发表关于仁爱礁问题的声明进行回应
1700491711# #中国沙特两国央行签署双边本币互换协议
1691019370# #【民进党当局勾连美国把台湾变成弹药库】美国白宫网站近日发布消息，决定向台湾地区提供价值约3.45亿美元的军事援助。美国打着挺台湾幌子干着毁台湾勾当，用岛内网友的话说，“美国唯恐天下不乱，只想引战。”美国军援台湾是玩火、拱火，民进党当局勾结美国是引火烧身，结局都不会好。这一年来，解
1694765703# #看看诈骗分子有多猖狂?
1697523781# #以军空袭黎巴嫩真主党多个军事目标2名高管遭以军空袭身亡哈马斯继续发射火箭弹！巴以冲突
1689130240# #乌军对扎波罗热使用集束弹药！俄防长：我们也用，保证威力更大关注俄乌局势最新进展
1702289470# #火力全开，怒斥以色列强盗逻辑，还要让巴勒斯坦人承受羞辱多久?巴以冲突
1688687476# #86年前的今天，七七事变爆发。86年过去了，卢沟桥上的硝烟早已散尽，盛世中华，山河无恙。但86年前的7月7日永远不能忘，我们每个人都必须铭记历史。七七事变86周年86年前的硝烟不能忘不敢忘
1693145032# #美国人如何看待日本核污染？
1687007109# #拜登提议菲律宾接收阿富汗移民菲律宾官员：强烈反对！
1690075430# #美国为了搞垮中国，无所不用其极。
1689145499# #泽连斯基参加北约峰会“遭冷遇”！关注俄乌局势最新进展
1689836564# #俄中“北部∙联合2023”联合海军演习在日本海开始
1692918869# #用心险恶！日本政府向学生发传单宣传核污染水“安全”不影响健康
1688862349# #美国老太太👵🏻最主要的目的，让中国买美国国债，不要抛售美债，让中国成为救美主。然后，继续做中国不喜欢做的事，继续施压，继续制裁中国企业，继续插手台海、南海……美国需要保持世界老大的牌位，维持世界霸主地位，为所欲为，得到利益最大化……
1696929737# #美国到处祸害人美制集束弹药导致数千也门平民伤亡
1703120145# #泽连斯基：相信美国不会背叛我们“我们将生产100万架无人机考虑再动员45万乌克兰人参军”俄乌冲突
1698561952# #美国防部顾问：“中国贬低美国，俯视美国”
1694139618# #朝鲜第一艘战术核攻击潜艇下水，金正恩出席典礼
1691366829# #佩洛西谈特朗普再次出庭：像一只被吓坏了的小狗，在他身上看不到任何自信
1689046582# #据德新社报道，北约秘书长斯托尔滕贝格7月10日在立陶宛首都维尔纽斯宣布，土耳其已经同意尽快将瑞典加入北约的申请提交议会批准。
1687232591# #英媒报道“中国想从拉美加勒比得到啥”？新西兰媒体人回答亮了
1697202490# #乌方称：10月10日起俄对乌发动大规模攻势，俄军表示：1.5万名乌军官兵面临被包围局面关注俄乌局势最新进展
1689370257# #山雨欲来风满楼，黑云压顶不弯腰。和美国的战争不可避免，来吧台湾省
1697956814# #再次遭袭！”直接命中多个目标"伊拉克民兵武装用无人机袭击有美军驻扎基地自本轮巴以冲突爆发以来叙利亚和伊拉克多座美军基地遭袭赞巴以冲突
1694928219# #乌军"国际战队"被曝相互残杀关注俄乌局势最新进展
1690935846# #卢卡申科：美国一直试图摧毁欧洲，并开辟一条不受阻碍进入中国的通道关注俄乌局势最新进展
1694868684# #匈外长批西方国家虚伪：一边批评中国，一边又想要中国的投资
1691914744# #夏威夷的惨状。
1698387533# #美国防部称，26日美军对叙利亚境内的伊朗伊斯兰革命卫队目标发动袭击
1687603648# #车臣领导人卡德罗夫表示支持普京，车臣部队正前往局势紧张地区，帮助镇压“叛乱”关注俄乌局势最新进展
1698796370# #【推动高质量发展开创金融工作新局面】这两天，中央金融工作会议在北京举行，习近平总书记出席会议并发表重要讲话。会议强调“金融是国民经济的血脉，是国家核心竞争力的重要组成部分”，谈到“两个结合”“八大坚持”，等等。这些来之不易的实践成果、理论成果，正是对中国特色金融发展之路的深刻
1698562625# #据央视新闻客户端援引阿拉比亚电视台消息，当地时间10月29日，以色列军队向加沙地带东北部城市贾巴利亚与南部城市汗尤尼斯发起地面进攻，并与巴勒斯坦武装人员发生激烈冲突。巴以冲突
1693146251# #菲律宾渔民团体举行集体抗议活动，要求日方停止排放核污染水
1694526213# #这个主意太好啦，鼓掌看谁先死日本右翼分子呼吁日本民众多吃福岛海鲜，弥补直接损失。
1697111921# #可恨以色列空袭叙利亚两大机场，致跑道损坏机场瘫痪巴以冲突
1703217951# #突发！印军在有争议的克什米尔地区遭伏击，4名印军士兵死亡
1690678749# #一再忍让只能换来他们得寸进尺不顾中方警告，白宫宣布3.45亿美元对台军援计划，国台办：如果他们持续挑战、逼迫，我们将不得不采取断然措施台湾省
1689116552# #俄罗斯联邦安全局突袭一非法移民中心关注俄乌局势最新进展
1702385543# #坏巴以冲突
1695216990# #泽连斯基在联合国狂批俄罗斯，俄代表淡定玩手机关注俄乌局势最新进展
1688255091# #【背靠祖国的香港将如紫荆花般盛放】今天，香港迎来回归祖国26周年纪念日。香港金紫荆广场举行了升旗仪式；尖沙咀码头广场上演快闪，香港同胞自发唱响《我和我的祖国》；“港车北上”也开始实施，大湾区互联互通融合迈上快车道……如今，香港已进入由治及兴的新阶段，粤港澳大湾区经济正在加速融合。
1692852416# #在美国看病后续……哈哈，美国看病真的免费吗？
1700141407# #赞
1690945405# #全民参与反间谍行动确保国家与人民的安全国家安全部官微正式上线！首篇内容推送号召全民反间谍！
1696377077# #主播说联播【在五常感受农业农村现代化事业阔步前行】双节假期，也是金秋收获季，黑龙江五常水稻正在收割中。今年夏天，这里曾因洪涝受灾，目前已最大程度降低了损失，放眼望去仍是满眼金色稻浪。稻谷想成为合格的五常大米，要先在自动化车间清杂、去石、脱壳，再淘汰碎米、不饱满的、颜色不达标的
1700463740# #【朝鲜导弹技术取得重大突破】近日，朝鲜宣布新型导弹固体燃料发动机试验成功。专家分析，该技术能让导弹跑得快、藏得深，和常规潜艇是最好的搭档。
1696998983# #巴基斯坦民众举行游行集会声援巴勒斯坦，焚烧美国和以色列国旗，呼吁穆斯林国家团结对抗以色列巴以冲突
1702032817# #曝光缅甸黑园区惨无人道，小兔子们被疯狂摩擦。
1702555709# #赞外交部：日前，在中方斡旋和促推下，缅军方和果敢、德昂、若开军在中国境内举行了和谈，就临时停火和保持对话等事项达成协议。
1699773569# #英国伦敦约30万人游行，支持巴勒斯坦巴以冲突
1699056491# #加沙地带al-Shifa医院前发生的以色列大屠杀的进一步场景。巴以冲突
1700463577# #以色列防长再放狠话：所有的哈马斯成员都该死巴以冲突
1699518900# #红十字国际委员会：运送援助物资的车队在加沙遇袭巴以冲突
1700348826# #【下一个中国还是中国，选择中国就是选择未来】“下一个‘中国’，还是中国。”习近平主席旧金山之行的这句话，既有思辨力，更有洞察力。一方面，中国具有社会主义市场经济的体制优势、超大规模市场的需求优势等多重优势。另一方面，中国有成功实践，多年以来一直是全球增长最大引擎。中国大市场，世
1689315260# #美国集束弹药已抵达乌克兰古特雷斯警告不准用关注俄乌局势最新进展
1689152984# #澳大利亚前总理基廷批评北约向亚洲扩张
1688948472# #多家知名国企央企遭遇李鬼，中国兵器工业集团：已报案！
1687143771# #俄重型喷火坦克猛烈轰击乌军阵地：大范围火力覆盖乌阵地深陷火海关注俄乌局势最新进展
1690151105# #【成都大运会青春含量拉满打call】下周五，第31届大运会将在成都开幕。中国代表团运动员的平均年龄只有22.9岁，青春无限好。这两天各代表团陆续抵达，大运村安排了画脸谱、扎风筝等项目，成都贴心推荐了熊猫基地等十多个文化交流点位，还评选出上百家“大运推荐餐厅”，处处可见“中国风”“巴蜀
1697956606# #拜登向国会提交1060亿美元特别预算案，其中40亿美元涉对抗中国。
1689661688# #乌军方称俄军集结10万重兵，可能对哈尔科夫大规模进攻关注俄乌局势最新进展
1697688941# #以色列如此嚣张巴以冲突紧张升级！以色列直接点名：如果哈马斯从俄、叙、伊三国得到武器和军援，全球几位大牌领导都难保性命！包括俄国领导普京、叙利亚掌权的巴沙尔，还有伊朗哈梅内伊的得力助手萨法维少将。
1690373930# #联演进入下一阶段！中俄将开展第3次海上联合巡航途经太平洋！最远可达白令海同一时间！美澳牵头13国在亚太军演专家：剑指中国的针对性很明显
1693556020# #替身妻子葬礼后现身墓地，普里戈任是生是死猜测未止关注俄乌局势最新进展
1696946924# #章家敦抹黑中国又出新剧本
1688699484# #大国重器，让米国坐立不安了，赞
1689823309# #赞当地时间7月19日，位于美国北卡罗来纳州落基山的一家大型辉瑞制药厂遭遇龙卷风袭击，装满药品的仓库瞬间被摧毁。
1697549978# #步林肯要哭了。巴以冲突
1703917868# #阿根廷正式拒绝加入金砖转而对美国表忠心?让美国救你?他自己都一头烂额等着让中国救他，不要抛弃美债。。
1689303357# #北约峰会后普京称：对手想让俄罗斯撤退、投降别再幻想了关注俄乌局势最新进展
1691913690# #警惕境外势力正对中国发动"攻心战"
1697292164# #以色列轰炸平民现场，到处都是横七竖八的尸体，愤怒谴责以色列反人类罪行巴以冲突
1695247170# #【走好创新路让更多领域跟跑变领跑】美国商务部长雷蒙多表示，在她访华期间，华为推出的一款新型手机，让她感到不悦。这种不悦，给人的感觉很莫名其妙。身为一家企业，华为选择什么时候推出新款手机，完全是它的权利。美国处心积虑打压，只会增强中国企业自立自强、科技创新的决心和能力。今天有一个
1702295628# #外交部:美国应停止对中国的诬蔑抹黑，并解除对中国两名官员和3家企业的制裁。
1698320311# #以色列总理内塔尼亚胡最新发言，入侵巴勒斯坦是为了实现宗教预言巴以冲突
1698473855# #中美同意为实现元首旧金山会晤共同努力、王毅同美国国务卿布林肯举行会谈
1699275501# #无耻你们造的孽让全世界人来承担?以色列情报机构前副主任竟称：可以将加沙难民分给100个国家，每个国家收2万人巴以冲突
1689670439# #约翰米尔斯海默：俄乌冲突最大的赢家是…关注俄乌局势最新进展
1697930821# #【比亚残运会赛事更昂扬的是人生心】明天，杭州亚残运会开幕。轮椅篮球预赛，曾被科比点赞的“00后”小将秦旭磊，为中国队拿到17分。旭磊年幼时因车祸致残，后来凭借努力一步步进入省队、国家队，如今终于如愿参加亚残运会。这样动人的故事，在杭州亚残运会还有很多。盲人门球运动员，要通过听声
1697606691# #恶心外媒：布林肯称美以就向加沙人道主义援助达成一致巴以冲突
1698585242# #香山论坛举行欢迎晚宴，朝鲜等各国军方代表团入场
1696233060# #英国防大臣扬言将在乌克兰部署军队，梅德韦杰夫警告：在乌英军将成为俄军合法目标！关注俄乌局势最新进展
1697238200# #【总书记提到的固本兴新有何深意】习近平在江西省考察调研时提到一个词：固本兴新。简单说就是要加快传统产业改造升级，巩固传统优势，同时努力传承创新，加快战略性新兴产业发展壮大，布局未来产业。固本与兴新是辩证统一的，也是高质量发展的方法论。它针对的不只是江西，而是放眼全国。立足于自
1697887928# #犹太裔美学者：巴勒斯坦的悲剧在于无权无势，没有人会为他们做太多巴以冲突
1692321528# #强烈要求国家出台小动物保护法。网传浙江绍兴一男子将柯基从高楼扔下摔死
1691645870# #英国青年“零元购”，警察与数十名青年暴力混战
1694085968# #哈里斯称如拜登因健康问题无法执政，她准备好接任总统职务
1702560429# #本子整军备战，携手四国欲直逼北方四岛
1699745709# #冲绳县知事拟访问中国台湾地区中国驻日本使馆发声
1690936022# #为未来与中国争制空权，美军时隔19年重启战机竞赛，约800多名空军人员参加
1700229529# #难怪那天布林肯眼睛直勾勾的看他说话?平时被遥控惯啦，哎！布林肯摇头，拜登：明白了，不说了。
1697811550# #以色列新规，若认定外媒新闻频道损害以国家安全，可直接暂停其在以运营。已有媒体被指“帮助哈马斯宣传”遭到关停巴以冲突
1702815880# #据俄新社12月17日报道，俄罗斯总统普京在采访中称，自己在21世纪初曾经天真地认为，全世界都明白俄罗斯与苏联不同，不存在意识形态对抗，也没有理由对抗。俄乌冲突
1700142473# #明学昌、明珍珍、明国平三名缅北电诈重要头目被缅甸警方逮捕鼓掌
1697253793# #这一届中国公民不太好糊弄巴以冲突
1696416966# #美国纽约街头有白人被黑人刺死。
1703417250# #圣诞节前夕人潮拥挤，抗议者涌上伦敦著名街道，呼吁抵制支持以色列品牌巴以冲突
1697117481# #巴勒斯坦小女孩从自家废墟被救出，到达医院门口时，双手仍捂紧耳朵巴以冲突
1696997631# #正式官宣！中国005航母将用核动力，独创颠覆技术，性能超福特级！
1697640811# #伊朗外长呼吁伊斯兰国家制裁以色列“立即全面实施禁运”巴以冲突
1689819110# #怒小肯尼迪：美国正在针对中俄研发生化武器，收集俄罗斯人和中国人的DNA。
1693021057# #吃惊个屁说明中国政府对人民的生命健康是非常重视，也证明你们这次和废水排放是多么严重。
1691880613# #主播说联播【巧妙散热让博物馆的热度细水长流】暑期“博物馆热”不断升温，大家对优秀传统文化热情高涨。但热门博物馆“一票难求”，展厅内人山人海，参观只能走马观花，热度过高也要巧妙散热。①往“冷处”散，全国6000多家博物馆都要充分挖掘馆内资源、吸引参观者，而非让热度仅聚集在知名博物馆
1692919924# #应对日本核污染水排海，中国已设立这道“防线”！
1687832487# #法媒逼问“为何不审判小布什”，美前国务卿克里尬场了关注俄乌局势最新进展
1703666060# #美高官承认在华间谍网络失败：“我们搞不清楚中国政府的真实想法”嘻嘻
1694485240# #哥大教授道出真相：美国在打压中国的一切没听错！是一切！！
1691329728# #乌克兰总统泽连斯基称他受到来自盟友的压力，逼他同意与俄罗斯谈判关注俄乌局势最新进展
1686913080# #台军“新式正步”首度曝光，岛内网友：这不是解放军正步吗台湾省
1687993721# #【卡德罗夫晒与普京合影】据俄新社报道，俄罗斯车臣共和国领导人卡德罗夫28日在社交平台称，俄总统普京前一天接见了他。俄总统新闻秘书、克宫发言人佩斯科夫也向俄新社证实这一消息。关注俄乌局势最新进展
1688701437# #赞中国人民抗日战争纪念馆今天恢复开放
1688129637# #打一个小小的岛蛙需要这么长时间吗？台湾省美战略研究机构报告：若台海爆发冲突，台湾撑不过90天
1698387291# #10月27日据央视军事，一架无人机试图侵入巴基斯坦被击落，随后印度军队向巴基斯坦开火
1700557866# #11月21日（报道时间），我国公安部打击电诈犯罪取得显著战果，缅北累计向中方移交3.1万名电诈嫌疑人
1700439596# #【用核心技术导航方能走得更远更实】本周，习近平主席的旧金山之行全球瞩目。此行取得多项积极成果，中国主张得到各界认同，元首外交导航定向，发挥了“定盘星”作用。本周还有一条与导航有关的消息，北斗系统成为全球民航通用的卫星导航系统。当然，走向世界的不只是北斗，还有新能源车。一些新款中
1687156344# #普京：乌克兰正遭受灾难性失败乌军对俄反攻损失惨重俄军拦截乌军风暴之影巡航导弹和“海马斯”火箭弹关注俄乌局势最新进展
1692372403# #缅甸团伙发布20多份悬赏捉拿逃离者：最高悬赏金高达60万、其中一人是模特巴黎人价格20万其中1人确认“赴缅失联”
1698841395# #“加沙立即停火！”布林肯在听证会上被多名反战抗议者打断巴以冲突
1697631179# #俄国家杜马撤销对禁核试条约的批准：因美国对全球安全不负责任
1690175774# #7月23日，山东青岛，大爷大妈围聚当地崂山水库，疑似“放生”矿泉水，当地水务部门表示要去调查到底咋回事。
1692490191# #主播说联播【东部战区联合演训传递什么信号】今天，东部战区位台岛周边组织海空联合战备警巡，举行海空等兵力联合演训，重点演练舰机协同、夺取制权等科目。这次演训范围广、靠岛近、力度大、要素全。“抵近慑压”“全向围岛进逼”等，传递出的信号再明确不过，不管是外部干涉势力还是岛内分裂势力
1691913512# #真把自己当主人了?
1701311550# #美国前国务卿亨利·基辛格去世，享年100岁。
1702642159# #幼稚
1695877505# #昨晚费城一群黑人把抢来的iPhone15全部摔碎了
1688980662# #张召忠：日本对我国实地测绘是为了军事，中国人民要积极检举可疑间谍行为日本间谍
1699616593# #以色列士兵将巴勒斯坦的被拘留者，蒙着眼睛当成一个“人肉盾牌”巴以冲突
1697251861# #以色列总理：“正在猛攻哈马斯，这只是一个开始。”巴以冲突
1702420377# #【中国经济工作明年怎么干？中央经济工作会议作出系统部署】这两天，中央经济工作会议举行。今年我国经济回升向好，明年的经济工作要围绕推动高质量发展，突出重点，把握关键，扎实做好经济工作。中央经济工作会议从九个方面提出了具体要求。此外，会议还提出，“必须把推进中国式现代化作为最大的
1697093416# #巴勒斯坦驻华大使：我们都是人质！全世界都在关注以色列，谁来释放600万被囚禁的巴勒斯坦人？巴以冲突
1700642316# #泰国警方抓获3名女乞
1702284207# #美国为菲律宾撑腰，我外交部：中菲两国问题任何第三方无权介入
1688686091# #赞美军称伊朗试图扣押两艘油轮伊朗回应了美国油轮撞上伊朗船只后仍未停止航行，伊海军依照法院指令截停在海峡开火！美军驱逐舰赶来
1694181265# #哈哈😃太开心啦！中国人聪不聪明？智不智慧？会不会抓住商机？无敌了假假真真，真真假假，美国人信啦，美国官员信啦，调查☞雷蒙多。
1693836333# #医院回应开设核与辐射健康门诊：针对近期去过日本或接触过附近水域的人群。
1698064953# #中国海军护航编队安全护送10艘中国渔船，渔民亮出五星红旗，“感谢祖国海军护航，你们辛苦了”
1687780813# #为确保访问成功，新西兰总理访华路上带着备用飞机
1690529849# #恶人先告状日本通过防卫白皮书30页篇幅提及中国称中国是“最大的战略挑战”
1697079173# #阿盟紧急召开外长会。总部大楼点亮象征巴勒斯坦国旗的灯光，声援巴勒斯坦巴以冲突
1700660102# #据报道，在被问及巴基斯坦是否已提出加入金砖的申请时，这位外交官给出了肯定的回答。这位大使还说：“巴基斯坦希望成为这一重要集团的一部分，我们正在接触金砖成员国，争取对巴基斯坦加入的普遍支持，特别是俄罗斯联邦。”另据报道，今年8月在南非举行的金砖峰会期间，沙特、埃及、阿联酋、阿根廷
