1638690677# #永远不能原谅日本鬼子！
1629123365# #越南疫情与病毒共存邻国的疫情已经失控，还有谁说我们国家的严防死守有问题吗？挖鼻
1549540693# #流浪地球唯一的错就是中国人拍的电影，如果再加一个错的话就是拯救世界的英雄不是美国人挖鼻挖鼻挖鼻
1563936819# #崇左建档立卡贫困户种植甘蔗可以得到每亩五百块的奖补耶不过验收的时候是七八月份，热死了允悲第一书记
1630297334# #美军反恐反了二十年里，死得大多数是无辜百姓妇女儿童，这是反恐吗？这是反人类！怒
1636868536# #关键是女主太丑，我跳着看的笑cry
1570287870# #肉眼看见二氧化碳是正常滴，干冰你没见过咩二哈二哈二哈
1638462492# #不知道领奖的那些同志是什么个心态，要么就没上过网，要么就假装不知道键盘侠是啥意思允悲
1669193128# #doge
1553956247# #看你的头像也是有类似犯罪记录的垃圾鄙视鄙视鄙视
1570268383# #这个卵仔
1653194813# #首府夜晚的天空
1540223122# #必须白灼舔屏舔屏
1536080135# #钩直饵咸嘻嘻嘻嘻
1641912445# #那一会儿，诗姐的舌头至少伸进美国人的肛门6公分。
1672584292# #有种子吗？可怜
1647852781# #民航局确认东航一架飞机坠毁飞机连迫降的机会都没有泪
1640914546# #这才是真正的全国江河一片红哈哈
1629010894# #果然是胖子和小男孩笑cry笑cry笑cry
1649235396# #还是有人贼心不死要强行躺平啊怒
1627949019# #是啊，天下无不散之宴席。
1560093086# #我在索马里的地铁上看见有痰盂了，还有抽水马桶二哈
1545610402# #据说这就是传说中的“水性杨花”嘻嘻嘻嘻坐标广西河池
1642043819# #蜡烛蜡烛蜡烛
1555256391# #不是“恶略”应该是“恶劣”，唉，布置任务都不认真怎么行二哈二哈
1630510195# #道是无心却有意思考
1559305331# #还是蓝帽你很清醒goodgood
1535853661# #资本的带盐人挖鼻挖鼻挖鼻
1627742510# #加麻大人啊，拘了再说嘻嘻
1627692501# #想当年这样的谣言在读者里到处都是，呃呃，那时候被读者骗了不少钱呢！汗
1569500970# #这图P的允悲允悲允悲
1651806334# #让速不让道这个道理小车司机不懂哦
1566743106# #果不其然，视频挂了！鄙视
1563725360# #我艹尼玛，收钱不干活，渣浪你比黑哪个社会还不要脸？
1642738565# #这种就是属于经常吃鸡的笑cry
1662736175# #进看守所醒醒脑子才行呢！
1566808893# #扒皮了！鼓掌鼓掌
1640263331# #故事会的所谓妓者鄙视
1650123238# #既然没得玩，大家就都不要玩啦！嘻嘻
1656779206# #乌云密布
1551259008# #现在群众装甘蔗已经机械化了耶耶耶
1672728868# #每次你对国内舆论场的现状感到绝望时，现实总会让你更加绝望
1566808586# #说放弃香港其实是恨铁不成钢而已，港府一次次示弱导致暴徒一次次升级，看得我们心塞！但谁会真的放弃自己的孩子呢？摊手摊手
1566017614# #看尾巴应该是草鱼馋嘴
1639381408# #莫迪啊，早告诉过你不要用办公室电脑上黄网，这都中毒多少次了允悲
1635133128# #这个导演支持港毒和胎毒挖鼻
1665194650# #引以为戒吧汗
1630827427# #诈骗短信，真是老套鄙视谨防电信诈骗
1542208748# #看到最后极度舒适赞赞赞
1542637530# #正好哦，草席一卷扔乱葬岗，省点粮食给西部吃草群众坏笑坏笑
1691078066# #刚刚，有个网络战友的人设在我眼里崩塌了！虽然知道没有人是完美的，但是，作为一个男人，至少要敢作敢当吧！你挑起的事端，你自己要平息，不要让我的朋友陷进你们的漩涡之中！我不会在网络上也不会在群里揭穿你，所以也不用删掉我和踢我出群！要做的话我早就做了挖鼻只想告诉你一句：出来混，迟早是
1660224097# #人这一生，慢慢行，慢慢学，慢慢品，保持一颗平常心。看淡得失，随心随缘，常怀感恩知足常乐，如此甚好！
1550150766# #舔屏舔屏舔屏
1610290713# #渐行渐远渐无书摊手斯卡布罗集市背后的故事：《斯卡布罗集市》的故事发生在中世纪的欧洲，当时被抓到的敌后军事人员，常在一种叫"街头法庭"上被判处吊死这一极刑，所谓敌后军事人员，今天所称的就是前线侦察兵或军事间谍，于是英文中就衍生出了Scarboroughwarning这个词组，意思是“没有先兆”，
1655694363# #男性的患子宫癌的死亡率也为零摊手
1671961735# #感觉鞋子和画风不太配
1669818230# #就算是更名，也不是广州市这个级别的能发布的嘛！笑cry
1647618728# #尼玛的疫区来的上岸以后要隔离观察十四天检测核酸阴性再说！挖鼻
1636157098# #后面几张图在我们这里叫石漠化摊手
1681026194# #交通安全飞来横祸，白车司机命大吃惊
1633869662# #这种人习惯跪着了，你现在让他站起来他还骂你呢！哈哈
1635425571# #不作死就不会死你以为警察蜀黍是你能随便骂的？进去好好反思几天吧！笑cry笑cry笑cry
1672498385# #是不是说明张文宏当初说的百分之九十无症状是假数据呢？挖鼻
1650032300# #不去爬个山游个泳什么的？笑cry
1642134038# #怎么有个男的霸占女司机车位？拳师赶紧来批斗！围观
1649026436# #这是可以跟奥密克戎谈判的主哈哈
1537096605# #颠倒黑白，这就是澳洲人奶奶的一贯作风鄙视鄙视
1627738828# #滥用职权是妥妥的
1661961419# #博主这得买多少个骨灰盒啊！哈哈
1661903631# #拟同意，呈gwy大督察组阅示doge
1631322166# #姓潘的和烧饼好像挺有缘分的二哈
1534326448# #为什么伊斯兰难民想去的都是基督教国家而不去其他伊斯兰国家比如沙特阿拉伯？
1668902204# #早安
1662561323# #纪念袁老蜡烛国士无双心
1649905187# #没吃到你的，有点可惜笑cry
1647867573# #东航一航班在广西藤县发生事故一百三十二个家庭的悲剧🙏🙏🙏
1535703571# #果然汉奸是一脉相承鄙视鄙视鄙视
1631248294# #特别的视角一般看到这样的视频，我总感觉最后一定会翻车doge
1554228079# #狗日的怕了摊手
1647561287# #最后一句说得太到位了笑cry
1658479993# #南京已经开始处理人，速度还是挺快的good不过问题来了→→吴啊萍究竟是谁
1636882401# #007无暇赴死看了一下午的电影，终于看到一部喜欢的了！
1647446340# #不管我踢得好不好，不许说！你这个球盲doge/太难伺候了，夸吧，说你捧杀！骂吧，说你棒杀
1670925105# #辉瑞新冠特效药网售放开我艹，这已经不是割韭菜了，这是想开联合收割机收麦子呢！挖鼻。一些自媒体大歪忽悠众多唐飞把门撞开以后，就看它们会不会以身作则去买这个💊了！摊手
1649341078# #不是车祸，是人祸
1630073980# #倭人是一个畏威而不怀德的民族，只有亲手把它们打趴下了，打残了，让它们心里对我们产生无法自拔的恐惧，才能使它们不敢再有异心摊手
1630122086# #删帖了？怕了？不打算出来解释解释？挖鼻还有，你们眼瞎了还是心瞎了？有点政治意识没有？鄙视还是故意配合西方国家开展工作？顶
1533790090# #实际上我觉得辟谷还是有用滴，你看我每天辟谷时间长达22小时，偶尔去宵夜的话也能坚持辟谷20小时，身体棒棒哒二哈二哈二哈
1541769727# #“亚洲皿煮灯塔”也是你们能质疑滴？允悲允悲允悲
1630625072# #带着一股酸臭味打脸外交部回应中方是否接受阿富汗难民
1629090048# #好好的做个医生不好吗？偏偏要挥斥方遒摊手步子迈得太大，容易扯着那啥doge
1631696530# #真是捏了一把汗汗汗
1698771475# #加麻大的寄宿学校是为了屠杀掉印第安人，实行种族灭绝怒中国西藏的寄宿学校是为了提高少数民族的文化水平，发展西藏的经济，为了藏族同胞的幸福！
1537760454# #资本在取得经济利益后就要谋求政治权力，有了一定权力后就要掌握政权了摊手摊手摊手
1535183834# #知道错就老老实实把脑袋缩回龟壳去
1563976090# #拜拜
1631026344# #美国是如何失去人心的?网友拍的美国费城街区一景，瘾君子在街道上游荡……一股末世气象思考
1667952081# #鞋子踩到泥巴了可怜
1628167465# #来来
1559879643# #煮瑶柱怎么能放米呢？该打！鼓掌鼓掌
1669801061# #果然是废了哈哈
1547820594# #没有一个无期，没有一个死刑，警察的命就不是人命？警察不是人？怒怒怒
1555841094# #奔驰果然一心作死允悲允悲允悲
1635691502# #doge挖鼻
1668568424# #转发微博
1633676907# #哎呦喂，图三图四都是你吗？笑cry笑cry笑cry
1569980397# #已投票！
1649806155# #话筒话筒话筒
1629474395# #某些人是顺我者皿煮，逆我者独裁笑cry公知那一套
1690881154# #墨云
1630590822# #霉菌：你只是家破人亡，但得到了我的拥抱doge
1568379585# #法院现在里外不是人啊！允悲
1536138304# #收到道长的大米猪肉黄桃罐头了舔屏舔屏呃，还有一本道经汗可惜我是党员无神论者，不信宗教滴嘻嘻嘻嘻嘿呦猫咪
1637475407# #恰狗粮嘛，没毛病挖鼻
1627984255# #东京奥运会一起看奥运32金耶令人精神振奋！鲜花
1639113244# #文明执法笑cry赞赞赞
1639715534# #官方回应平顶山15岁男孩网上求助让子弹飞一会先！摊手
1549767899# #一双耐克飞了出来挖鼻
1689932844# #当地领导不敢担当，用形式主义整治形式主义，高！挖鼻
1541919253# #你这是盗图呢还是盗图呢？汗汗
1697941626# #天啊，没了4090显卡，我连扫雷游戏都玩不了了啊吃惊
1630914445# #每个人都是每个人的经历和经验摊手
1647597198# #转
1689932515# #容错？不鸡蛋里挑骨头往死里搞你已经算有良心了挖鼻
1693605121# #漫漫长夜
1563976842# #党组织的要求就是让我们深入群众，让群众一眼就知道谁是第一书记，在你眼里怎么就成了高调了？难道你就是传说中的反串？挖鼻
1661917875# #什么是毒教材？这就是毒教材！怒
1562775853# #基层干部一直如此，只是你们不知道而已摊手
1550881075# #胡总编此番言论为啥绝口不提崔永元呢？
1655507428# #话筒话筒话筒
1639096700# #少少的业余爱好之一摊手越来越爱维克托了haha
1629470870# #可能只是一根很单纯的搅屎棍doge
1647429117# #汗
1629991614# #三十六计之借刀杀人，按道理我们应该是老祖宗啊！可惜CPC不像米粒奸那么无耻，不然这几个国家在阿富汗的钉子早被拔光了傻眼
1662131888# #没有体验就没有发言权doge
1650191003# #连花清瘟胶囊要是也是辉瑞生产的，丁某就不会这样批了哈哈
1630916594# #女拳动保思考
1661859480# #喜迎二十大打call打call打call
1647564942# #傻鱼太多笑cry
1635380667# #出来走两步挖鼻
1628128796# #横竖都是西方人有理挖鼻挖鼻挖鼻
1697803121# #某部委的金牌笔杆子上次造了一个“小X条”干部的新词，现在又生捏出一个“侧X式干部”……霎时间，帽子满天飞，看得基层干部那是眼花缭乱目不暇接战战兢兢，生怕一个不小心头上就多了一顶……晕。有网友就说了，既然有那么多帽子了，那就再弄一个“背X式干部”的帽子出来呗，看看能扣到谁的脑袋瓜子上
1650190890# #郭老师说得太对了，上海这次疫情防控工作那么拉胯，完全是因为思想上出问题了！
1640367399# #在一个充满希望的悲惨故事里死去
1552907493# #经过审慎研判，黄秋生不是东西挖鼻挖鼻
1630484639# #来来
1629970142# #不检测那么多就没那么多病例doge
1559052085# #翻译：水从悬崖上出来了，历来没有见过那么大的水！笑而不语
1692713619# #七夕节快乐思念让天涯变咫尺，等待让空气是快乐的。守候是最甜蜜的幸福，感谢曾经的陪伴，珍藏应该珍惜的，愿我们都能在这七夕的日子里收获幸福与快乐鲜花
1639062005# #中国的扫盲打下了发展的基础
1566461098# #南通日报想学的无非是怎么看肉蒲团啦挖鼻挖鼻挖鼻
1662739054# #呃，情绪稳定可以。那就进看守所醒醒脑子再说吧！这群傻逼！真以为造谣可以如此肆无忌惮吗？！
1546060619# #不到最后一天就不知道年度最沙雕的人是谁！笑cry笑cry笑cry
1639026745# #牢底坐穿鼓掌
1538739420# #趁禁止露天烧烤前赶快请我去吃一顿舔屏舔屏舔屏
1656248856# #反思怪附体了？哈哈
1650194562# #就算染病，资本家也会有最好的医疗资源，不用哭天喊地地找医院，所以他们才鼓吹新冠是大号流感，呼吁躺平摊手
1566532994# #说的人智障，信的更智障哈哈
1639245009# #评论区翻车现场现在所谓的“动保”其实已经是趋向于邪教了，而且是被西方反华势力控制的邪教挖鼻在国内搞风搞雨的，只保护狗子，没见保护鸡鸭牛羊嘛！摊手难道鸡鸭牛羊就不是动物？后来想想他们的套路，才明白了，其实动保就是生意，宠物的生意，大伙好好想想就知道了！摊手
1653275271# #美国是如何失去人心的?。转：2009年，一位55岁的台湾人卖掉了台湾所有的资产，举家迁到美国，一口气买下了美利坚12套房产，过上了“吃瓦片”的寓公生活。。看了这个故事的开头，国内的美粉们会自行脑补美国梦的开挂生活。其中应该不乏收房租收到手抽筋儿，海滩晒到秃噜皮，有好色之徒估计还会增添些左
1534985115# #这是啥鸟啊，错得那么离谱！允悲允悲
1628951983# #啤酒🍺、龙眼、烧烤和朋友
1648438425# #米国最终的打击目标还是中国
1570367913# #闵行铲超话我这几天一直在关注同志的微博，希望就“烽火戏诸侯”与七十周年大庆阅兵有什么共同点探讨一下！可惜在他帖子下没办法留言，也没见到他有说明的帖子哼好吧，作为领导干部，工作忙是很正常的，而且作为一级法官，相信他需要审理的案件也很多，抽不出空来思考这个问题摊手那我
1638076439# #吉林监狱脱逃罪犯被捕画面逮着了赞赞赞
1669115142# #受伤三个星期，没有运动，本以为会肥一点了，刚刚一上秤，居然瘦了几斤允悲
1631762860# #所以我都是侧躺着看笑cry笑cry笑cry
1670923985# #放开了你计划去哪个城市旅游发了这个视频以后我的功德就被清零了二哈
1639361641# #国家公祭日没有人能代替在抗日战争中在南京大屠杀中被日本鬼子杀害的死难者原谅日本人怒我们不能，你们不能，所有人都不能……血债只能用血来偿！
1680194781# #渡过一整个冬季的芒果。伴着新芽和嫩叶。何必呢。不是你的季节。为何执着地挂在枝头。是幻想着还是妄想着………
1640660694# #道路交通安全避无可避，太吓人了！希望人没事！
1652071379# #膝盖生根，跪舔西方的叫兽不止这个，清除出高校就好了挖鼻
1559314997# #最右恬不知耻挖鼻
1668051598# #瞎说什么大实话笑cry
1641997804# #长津湖这部电影里我印象最深刻的镜头心
1570268985# #曱甴还一个没死呢，哪里有什么暴力问题？摊手摊手
1637144410# #唉，挺漂亮的一个小姑凉，别那么认真，行拘就行，不要刑拘了吧。
1634269550# #死刑执行方式也是泼汽油来烧就好了摊手
1628993672# #哈，那首歌我开车的时候听过，那时候就觉得很奇怪，怎么土耳其会跟浪漫扯上关系的？笑cry
1541992655# #北大的叫兽摊手港真，随着几大名校纷纷涌现各种公知叫兽和公知粉、日杂学生，跟该校党委严重失职不无关系，整改整改再整改，还是没整改到位挖鼻挖鼻挖鼻
1630194645# #秋后了，啥时候算账呢？doge
1544061986# #美国佬先打中兴，顺便甩了京东一巴掌，现在冲华为下狠手了怒怒加拿大作为美国的狗腿子之一，执行主子的命令也是不遗余力挖鼻挖鼻自古以来国与国之间只有利益，什么传统友谊什么中美夫妻论都特么是傻叉，人家都拎着砍刀冲上来了你还撅着屁股等着被艹？
1561003442# #我从来不惮于以最大的恶意来揣测心惊报鲁迅挖鼻
1636939623# #弱弱的问一句：戳了以后多久才生小航母？
1628638406# #最近的瓜太多，作为典型吃瓜群众，只围观不参与傻眼
1663401264# #自家客厅开车怕个啥啊doge
1671680843# #吃瓜
1656857492# #嗨，两警棍下去就治好了
1649951898# #美国死一百万个人都不如中国死两个人有关注度！说明美国人命五十万条人命不如一个中国人笑cry
1642250724# #西方的发展史就是一段劫掠史
1561005629# #我嘞个去，还有这种操作？黑线黑线黑线
1628993094# #哈哈哈哈哈哈
1637110288# #一般糍粑我只吃芝麻花生红糖馅的，咸党都是异端二哈
1630318126# #永垂不朽！
1568510283# #是的，读书是改变命运的最好途径，政府提供平台了，能不能成只能靠自己加油
1689608853# #台风前的晚霞，永远是那么宁谧微笑
1663947831# #定义准确good
1672465408# #记得那个谁谁谁说过若批评不自由，则赞美无意义来着doge
1656742427# #大家都想扇二流报纸一记耳光吃瓜
1539304770# #右右怂啥呢，坚持下去呗挖鼻
1632241175# #生日快乐有人祝我生日快乐吗？
1570092583# #不平则鸣！
1649946610# #现在爱丁堡各个区好像是各自为战，没有统一的指挥汗很诧异在疫情三年后还能有这么拉胯的地方ZF汗
1565356056# #对付严重侵害群众生命安全的犯罪分子一定要严厉打击，威胁群众生命安全的该击毙就击毙！刑法不是保护犯罪分子的！威武威武威武
1649200150# #你写的每一个字我都懂，串在一起就看不明白了允悲
1643173064# #反正都是输，给太先进的武器还不是被俄罗斯人缴了去！哈哈
1663696415# #我们山区的地质灾害频发，每当汛期台风大雨的时候，县里面每天一个会议，要各责任单位去巡查排查，乡镇领导到村里值守。不是真的为了群众生命财产安全，谁会不想在咱家床上睡呢！话筒
1673136231# #不可能，官方统计的死亡人数没几个doge
1552742479# #一个日本东京大学的外科博士发了条微博，说今天全球的孩子为了气候变化都上街游行，中国的孩子“两耳不闻窗外事”吧啦吧啦…言下之意大家都知道啦，无非是中国怎么毒菜没有游行的自由孩子怎么被洗脑之类的挖鼻要是几年前可能会有一～大～波公知粉一起吠，可惜现在是9012年笑cry大型评论翻车现场
1633526189# #长津湖3个冰雕连仅2人生还如此侮辱我们的英烈怒怒怒，，不刑拘就说不过去了，法律面前人人平等！
1672578646# #目之所及，皆是风景
1639182662# #左江江边小城
1636730833# #有辣么多层BUFF，应该去竞选总统才是doge
1700061500# #被骟了的黑狗，又菜又爱玩偷笑
1543727896# #貌似是今天南宁马拉松比赛，交管部门依法交通管制，海关的车一定要过去doge不知道小交警前面说了什么，但明显不是海关筒子的对手涅摊手海关的领导：“叫你们领导来！你们局长还是我部下！”局长的领导就可以不受交通管制的约束咩？挖鼻挖鼻挖鼻
1637065273# #至少我们的人民还活着耶
1645028080# #这个阿宝卵仔仇警不是一天两天的了，艹粉艹到粉自杀，啥几把玩意啊！
1639293453# #笑cry
1541512258# #刑拘好，不和解，让狗奴做两年牢再说耶耶耶
1628134053# #good
1642292453# #算起来我要工作30辈子不吃不喝才会有那么钱汗
1627986751# #原来我们一直在跟一群哮喘病人、精神病人、多动症患者比赛啊！doge
1548253985# #导好样的good
1664379905# #难道男人婚后也能存得下钱？doge
1560877933# #同是第一书记，哀悼蜡烛蜡烛蜡烛
1676737975# #这样啊？说明这老小子其实也是跟曱甴一样脑子锈逗了摊手
1540263465# #又一个“脑控受害者”？二哈
1647181732# #核酸在这边啊，这是排队买菜的！笑cry笑cry笑cry
1559308738# #公知们，这个是言论自由咩坏笑坏笑
1664409804# #植物人还能走路？活久见了doge
1645977660# #围观话筒
1636945545# #再送袁老一程袁老一路走好鲜花鲜花鲜花
1632626988# #可怜的高卢鸡doge
1551512634# #你竟然把这鱼叫黄鳝？允悲允悲允悲鄙视一下先鄙视
1611918172# #自娱自乐产品，不在于成绩如何摊手
1546701211# #据说是个流量明猩之类的，牛🐮得一比挖鼻
1664324633# #哈哈
1628911085# #画面感十足笑cry
1642733929# #实事求是的说，欧美的明星们几乎就没有一个不反华的，不支持藏毒姜毒的，因为这是政治正确，也是西方国家多年洗脑的结果摊手所以几乎所有的国外电影我都不去电影院看，只下载哈哈
1545042197# #我在想：要是我现在穿着这件马甲到法国🇫🇷巴黎的话会怎么样？坏笑坏笑坏笑
1640329887# #围观话筒话筒
1629203153# #美作家：天下何人不通共！嘻嘻。拜登：我想静静笑cry
1636865401# #我的游戏视频都被夹了两次挖鼻
1642504304# #才10天啊？我以为拘够半个月让他在里面过年呢！摊手
1570268918# #报（发）国（财）的机会来啦色
1627685921# #南京不会被战胜good
1639880468# #硬硬的还在嘻嘻
1662218477# #生活其实挺美好的微笑
1647510585# #中国买俄罗斯的石油天然气让俄罗斯有钱制造武器打乌克兰，才导致了乌克兰难民被QJ，所以应当反思的是中国人二哈二哈二哈
1545920069# #理科僧能参与咩嘻嘻嘻嘻
1543926568# #确定3000块？少了一个万字吧挖鼻挖鼻挖鼻
1541258747# #最近没空吃鸡，只好重温一遍《嗜血判官》摊手摊手摊手
1651501609# #还有这样的干部？党纪政纪管不了吗？双开不就完了嘛！吃瓜
1559050358# #我的家乡，这几天大暴雨。山上的溶洞几十年来没见过流水，今天终于知道什么叫“飞流直下三千尺”！
1677258669# #你要去抓老鼠🐭吗？！偷笑
1642475432# #说得太对了笑cry
1632886541# #现在都那么想进看守所过国庆吗？挖鼻
1568333014# #中秋节快乐！日常挂两面人！哈哈
1546660559# #皿煮的垃圾怎么能叫垃圾？doge
1639016628# #生日快乐鲜花蛋糕
1558882421# #我的工作中最重要的一项就是听人哭穷，周一到周五，有时候周六周日也有人找我哭穷摊手哪怕村里建了三层楼精装修贴外墙瓷砖装几台空调也要找我哭穷要这要那挖鼻但是我没见过一个跟我说：我要多种点甘蔗我要多养几头猪我要去打工多挣钱…我只听到个个都说给我低保给我补助给我这个给我那个允悲
1558539725# #有爱狗人士gounu捐款救人吗？挖鼻挖鼻挖鼻
1672709745# #哦豁，那么清晰的照片，应该很快有蓝底白字的通告了哈哈
1675600780# #过节的时候生日真好，每个人都在祝福，真好！鲜花
1690207273# #用九毫米口径的弹头可以治愈挖鼻
1654830056# #海淀法院屁股上有针吧，坐得够歪的。红果果脏话骂人不侵权，讽刺一两句就侵权挖鼻
1634542089# #怎么下得去手汗
1565861073# #很纯粹的漆黑摊手摊手
1662301386# #这妹纸胸口的伤口很深啊！笑而不语
1627798992# #没脸，咋滴啦二哈
1662730710# #这博主是精分了？笑cry
1677331206# #南湖夜晚的歌者鲜花
1630916264# #阿富汗知道只有中国才是真正能帮助他们发展的国家！
1651742683# #罗昌平被判有期徒刑七个月并公开赔礼道歉活几把该！就是刑期太短顶
1659344432# #针笋啊笑cry
1565966248# #在亚马逊上卖港毒衣服的汉奸找到了
1569802177# #不忘初心，牢记使命！向龙州红八军纪念馆出发！赞啊
1702081241# #蜡烛
1660519153# #明媚阳光中的月亮
1549978938# #换个国籍评论过万允悲允悲
1631923469# #918勿忘国耻永远铭记这一天！
1670000927# #卡塔尔世界杯日本二比一赢了德国，也是二比一赢了葡萄牙，韩国二比一赢了西班牙揣手看完日本队和韩国队这届世界杯的比赛，突然觉得我们男足就像一摊烂泥，没有思想，没有拼劲，没有动力，没有技术，没有体力……啥都没有挖鼻有的只是泡吧装逼打架的本事挖鼻
1568905109# #送你去领奖！
1646915136# #我相信新冠病毒是灯塔国搞出来的
1647646832# #为什么你总是被狗咬，同志啊，你要反思偷笑
1564485196# #色色色
1662991144# #朋友采了些鱼腥草说炒给我吃，可我真不敢下筷子啊！允悲
1638196916# #愿意用一支黑色的铅笔画一出沉默舞台剧
1555680687# #整整罚了一顿饭钱，还不够重啊二哈
1630897987# #做人要心存善念，千万别这么干！doge
1635322398# #围观
1667983479# #幼儿园的孩子打闹没有分寸，可以找对方家长交涉赔偿都行，再怎么样大人不能对小孩子动手。骨折算轻伤吧，这次这个医生赔大了摊手
1640560080# #围观话筒话筒
1646658856# #纳粹怎么可能反对纳粹，很正常啊摊手
1644231048# #加麻大的这个卵仔总理是大码抽过量了吧！挖鼻
1668832392# #转发微博
1570278716# #先打一顿再报警好不好怒怒
1628166379# #国乒女团vs日本女团王曼昱2：0领先，第三局开始，不要给小日子过的不错的日本人机会了鼓掌
1568386476# #呸
1649064213# #我知道，这需要掌握辖区很精确的人口数据才行摊手
1672150267# #有些人装瞎看不见摊手
1629714228# #共产主义招牌菜：土豆炖牛腩馋嘴
1645608781# #这种卵仔只是很纯粹的坏而已，心瞎挖鼻
1639139215# #围观一波围观
1651747079# #草泥马的，你们乌纳杀害俄军被俘士兵的时候怎么没想到国际人道主义法？顶
1538336106# #看图说话挖鼻挖鼻
1542300738# #毛主席带领共产党建立新中国，这个功劳够大了吧！为啥这帮公知叫兽就一定要贬低抹黑毛主席？你说公知们是不是魂淡？挖鼻挖鼻挖鼻
1559399078# #嗯嗯，我是爱鱼🐟人士，特别爱～钓～鱼！坏笑坏笑
1702706043# #降温了？。还是。速冻了？
1637824896# #道路交通安全电动车开上机动车道，幸好货车及时刹车，电动车驾驶员保住一条doge命
1665839807# #看来大毛要玩狠的了😱俄乌局势
1627907249# #蜡烛蜡烛蜡烛
1647700965# #一般是湾蛙挖鼻
1639244639# #打狗啊，必须支持赞
1639756837# #震旦学院发布错误言论教师被开除曾几何时这种人的评论区下都是附和的声音，现在嘛，翻车是常态！中国人民已经团结起来了摊手
1551446887# #来了好，赶紧让它们赔钱给被咬的学生嘻嘻
1646973180# #95号汽油跑步进入9元时代加不起油了…允悲
1640263934# #退休了，就开始原形毕露挖鼻
1566810466# #麻烦在脸书和推特上说一下，谢谢摊手
1666709911# #其实真正的送别没有长亭古道，没有劝君更尽一杯酒，就是在一个和平时一样的清晨有人留在昨天了。
1646561753# #“身残志不残”允悲允悲允悲
1649220814# #说鸡不说吧，文明你我他doge
1668093904# #这么说吧，做为公职人员，也是基层工作者，我为啥辛辛苦苦防疫，除了保护人民群众生命安全，其实我也想保护我家人的安全。保护好绝大部分群众，也就是保护好自己家人了，我们不能自私的。微笑
1642557693# #有容乃大good
1666173745# #家里最不值钱的是什么？笑cry笑cry笑cry
1544877292# #孩子犯罪了要教育，竟然没有地方可以教育了？吃惊吃惊
1544659127# #勿忘国耻
1655252358# #不要在肚子饿的时候走进商店买东西，因为很容易买错东西。也不要在孤独的时候。走进一段感情。因为会选错人
1642430425# #是啊，心态很重要！可惜，当你身处其中的时候，你可能看不见整个世界摊手
1651733511# #围观
1641986292# #豆瓣真特么恶心
1565261348# #不说香港市场上大部分的农产品都是内地生产的，就连水电气都是广东输送过去摊手有本事不吃饭不用电呗挖鼻最后，香港是中国领土，不想站在中国土地上的吠青们还是赶紧滚蛋吧鄙视
1541289357# #本国利益为主是对的。但为啥民主灯塔又要求其他欧洲国家接受难民？莫非其他国家没有自己的人民？或者只有美国人算人，其他国家的不算？挖鼻挖鼻
1627974783# #这个老太婆真的是害人不浅啊！汗
1680744346# #鸟语花香
1651877888# #话说回来，为啥崔教授周围的人不是红通就是罪犯？难道就是传说中的物以类聚？doge
1649859388# #goodgoodgood→→
1666084613# #弯蛙哪来的自信觉得我们要在台湾省实行一国两制了？允悲
1628926731# #围观围观围观话筒
1669800619# #苟利国家生死以，岂因祸福避趋之蜡烛蜡烛蜡烛
1697868101# #行动了
1630145842# #棒棒哒耶耶鲜花
1565918418# #引用最右在公共平台上发出的信息确实不违法摊手
1630110060# #一张图看懂娱乐圈的资本局看晕了doge
1560513186# #我写字不好看又招蚊子，看来是有原因的啊！笑cry笑cry笑cry
1630108189# #光明日报批娘炮形象等畸形审美【钢铁直男慎点】在直播领域这种人太多了，好好一个男人，说话嗲声嗲气的，动作扭扭捏捏，还不如直接割了叼变性呢！打脸
1662475166# #近几年来布鲁斯威利斯的电影让我大倒胃口，是穷疯了吗拍这些个烂片允悲
1647938178# #围观话筒话筒话筒
1690431444# #只记得老校门了
1675610615# #狂飙下载了一整部剧，慢慢看微笑
1627734072# #尽力了就好，没有永远的赢家！预祝你下次比赛夺冠鲜花鲜花鲜花
1697682976# #元首泉下有知的话也自叹弗如
1669611764# #借他们十个胆子都不敢来哈哈
1627814828# #厉害赞
1662562547# #赵立坚称美国是名副其实的黑客帝国升米恩，斗米仇！看看印第安人的下场就知道了，说的就是米粒奸挖鼻
1661875114# #如此甚好，记得直播哈哈
1637225335# #如何看待陈漫作品争议这样看笑而不语
1565358678# #最右怂逼，删博有个🐤用啊，又想领财政的钱又想抹黑中国，啥好事你都想要？鄙视鄙视
1653095684# #演白雪公主的演员不是肥胖的女性同性恋移民黑人，政治不正确，差评doge
1656931548# #很多人以为到海边吃海鲜很便宜，其实未必啦，市场价多少就是多少，商家也要赚钱的嘛！摊手
1647253025# #不是问候祖宗十八代咩？哈哈
1629337687# #必须颁发见义勇为奖
1630374935# #上天隔三差五自由落体，落地三不五时张嘴啃泥笑cry
1637226233# #信公知,变白痴【书生的女儿】如果你娶的这个女人是王的女儿、将军的女儿、江湖的女儿、商人的女儿，或者是书生的女儿，那么，当你遭遇到危局的时候，比如你被一群人追杀，那么，这个女人会做出怎样的反应呢？如果是王的女儿，她会迅速跑出去叫外援；如果是将军的女儿，她会拔剑绕到敌人背后与你一起
1545224923# #为啥我的手机拍不出这效果涅？还有二次曝光是啥玩意？费解
1645885390# #首先你要找到一个很少有人去的水库，其次是这个水库水很深又要有很多水草，就在水草边钓，可惜这样的机会一般一辈子就只有一次
1662031420# #解说的精彩程度还要远高于现场画面哈哈
