1701504511# #初一女孩欲轻生，警察撕心裂肺大吼规劝，听得人想哭…向这位警察致敬赞
1690249873# #“时代的华彩——山东艺术学院建校65周年美术作品展”在中国美术馆隆重开幕…真是大家云集啊good
1699239582# #在江苏打工的黄女士，偶然在监控中看到了8岁女儿摸黑上学的情形，心疼不已。网友：天呐，一个多小时的山路，我一个成年人都不敢，一个八岁的小女孩，真是让人心疼比心
1701321197# #25岁女子欲离婚被丈夫割喉杀害，被害人父亲：不要经济赔偿，只要凶手死刑。网友：经济赔偿是二老应该得到的，死刑也是必须执行的…25岁女子被丈夫割喉父亲发声
1689313554# #发现老人印的是大病救助申报材料后，老板捂住了付款码。为善良的老板点赞good
1689303748# #瘦小的女孩在烈日下割稻子，拍摄者：“小女孩的家里困难”。网友：看到自己的小时候的样子。
1701740572# #此时此刻我是你的眼！为红色车主的热心与善良点赞赞
1689151702# #小男孩推购物车不慎碰到老人，老人坚持要去医院检查。男孩被吓得瑟瑟发抖，保安大叔调出监控为其伸张正义…
1687920607# #“救了全家人的命，想当面感谢”！6月24日，沈海高速多车追尾，鲁HES73挂大货车驾驶员打双闪主动变道，为后面车让路。
1702560468# #网友分享：“真佩服现在的00后，干掉了高房价，又干掉了羽绒服，人间清醒唯有00后，不扎堆，不八卦，不走亲戚不串门，出门必洗头，不让大声说话，不攀比不名牌。”偶然看到的一段话，还是挺有感触的。。。真是人世一轮回啊。记得以前我们那个时候，流行大裤脚的裤子，还有健美裤，还有喇叭裤，可是后来慢
1687337003# #女生高考后不躺平不玩游戏，每天在家做家务，学习两小时英语四六级，妈妈：何其有幸能做你妈妈心
1690448938# #老人高铁霸座骂女生不要脸两老人高铁“霸座”态度恶劣，好心乘客耐心劝说仍拒绝归还座位…最后女生被乘务员安排去餐车衰笑死，工作人员占座位都解决不了？
1688357538# #7月2日，西安交通大学2023届研究生毕业典礼上，校长王树国致辞时下起大雨，校党委书记卢建军撑起雨伞走到了他的身后……致辞中王树国叮嘱学生：要心怀家国情怀，即使风雨兼程，不能阻挡我们前进的脚步！网友：一个言传，一个身教good给校长撑伞挡雨的书记是山东人
1695167744# #在外出办案途中，遭遇多名歹徒持械袭击，为掩护战友，黄升背部被刺中两刀，终因失血过多抢救无效，英勇牺牲，年仅24岁。。公安部二级英模，让我们一起记住他的名字：黄升
1701951082# #小杨哥徒弟“小黄”被中消协点名后，开播三分钟后直播间被封禁…小黄开播几分钟直播间被封
1688439466# #7月3日，河南三门峡。一对情侣雨后开车不慎被洪水冲进河道被困车顶，救生衣送过去的时候第一件男孩先给女孩穿上的，救援的时候也是先让救女孩，这个男孩值得托付心
1694749075# #玩具生产车间里的一幕，残疾工人们身残志坚，靠双手自食其力，“感谢老板能接纳他们”🙏
1693117639# #下雨天奶奶下地干活未归，4岁萌娃独自收玉米。网友：懂事的孩子，可爱又让人心疼！
1692411413# #心酸又感动！浙江温州，网约车司机接到一个订单，可乘客却是一个外卖小哥。司机懵了，问小哥什么情况，打车送外卖，你们送外卖这么赚钱的吗？小哥一脸无奈地说出理由，随后发生的一幕温暖人心！。。司机接到一个订单，定位在一个小区门口，可他到了门口没有看到乘客的身影，于是就给乘客打去电话。。。
1703766912# #「六福精品廊」山东首店在济南恒隆广场开业。。典礼除了有生龙活虎的舞狮表演，一场熠熠生辉的珠宝展演更是成为了瞩目焦点。品牌方特邀四位青春靓丽的模特，佩戴「六福精品廊」顶级奢华珠宝，为现场的来宾带来了一场流光溢彩的珠宝视听盛宴。总经理张文晓女士表示，济南恒隆「六福精品廊」希望通过这样的
1702944966# #渡人无数的10句话：。。1、父母健在，说明自己的福报很大，很多人不知道，表面上看，我们是在孝顺父母，其实，是父母在给我们机会，让我们积功累德，去消受我们的苦难。常回家看看，好好孝顺父母，上天不会亏待任何一个有心人。。。2、如果你心眼好，又有德行，那你一定有福报；如果有福报，却发不了财，请
1687770691# #美女帮在车站赶回家的老父亲查了成绩，616分，老父亲开心的拍大腿，祝福祝福good
1695000786# #尹锡悦碰到硬茬了。他虽然躺着，却是韩国唯一站着的人！。虽然李在明也解决不了什么问题，但这份骨气令人敬股，如果真死了，尹锡悦也就到头了，未来未必有好结局。。。李在明绝食第19天健康恶化被送医韩国检方申请拘捕李在明
1700742671# #实在是想不通，李思思连春晚这样的晚会都能主持，为什么要从央视离职，然后放下身段去小城市主持购物广场的开业典礼？
1693027022# #多个渔民直播间出现了大量恶评，主播反复解释是国产的是刚打捞上来的没毒，感觉都快哭了…这个时间段不应该是海鲜爆卖的时候吗？可怜核污水排海韩国已出现连锁反应
1690773152# #两名小女孩不慎掉入湖中，却无人发现，生命危险旦夕…为平凡英雄点赞赞中国正能量
1690361608# #俩孩子父亲离世，母亲重组家庭，大伯带着两个不能自理的侄子送外卖：“答应过弟弟照顾好他们”！
1687684130# #有风掠过，有水流过，一桥飞驾两岸。华电泸定水电站高峡出平湖…甘孜州清洁能源发展大会不辜负每一缕风光
1694358743# #70岁“丁克族”无儿无女，生病后无人照顾，只能叫来远房亲戚…上海73岁初代丁克现状颠覆想象
1689137833# #悬崖之上，雅砻江边，伫立着中国城区面积最小的县城。县城虽小，而能量却无比巨大。。。“麻雀虽小，五脏俱全”，雅江县绝对算是一个宝藏之地。不仅景色别致，不仅是“此生必驾”的318国道进藏的必经之路，更是一个物产资源非常丰富的地方。。。城区面积虽小，但其实整个雅江县辖区面积7558平方千米。很多
1699581347# #领助学金学生看演唱会被辅导员要求删朋友圈，当事人：门票是自己赚钱买的，不卖惨不能拿助学金吗？网友：五百多看演唱会还不贵啊，50块钱的电影票我都觉得贵衰
1687001510# #男子来女友家接她出去玩，万万没想到碰到这么一幕，网友：一看女方一家人都很善良心
1688989824# #命不该绝！晚几秒钟也撑不住了…这栏杆要是不牢固，这救援人员都很危险的…
1699415715# #神奇的小动物，第一次见…你能叫出它的名字吗？思考
1688949952# #小伙每次去干活，因为身体残疾，老板只给40元还要干够9个小时。“爷爷还在床上躺着，需要我去赚钱”…可怜
1700626876# #明学昌的家，这就是做电信诈骗的下场，家破人亡，什么狗屁四大家族？这个故事告诉我们坏人不要把事做绝了，给自己留条后路…
1691705499# #看到泪目…26岁的她，以这样的方式完成了人生最后一次救死扶伤。计梦瑶，美丽善良的姑娘，一路走好…
1687796272# #比比皆是，道德败坏…他们不会以为电梯监控没啥用吧！！男子举报妻子出轨南京一高校领导
1698559301# #广东惠州，因路面油污摔倒，外卖小哥买来几袋盐撒地上，防止有人再摔倒…不知道盐能不能防滑，但是在小哥的认知里面盐是可以防滑的，所以应该对小哥赞赞赞
1697444817# #视频拍下事件发生的全部经过，狗狗主动攻击小孩的，现在小女孩伤的很严重，请狗主动主动站出来承担责任！！？两大型犬撕咬2岁半女童致严重受伤狗主人责任
1690083001# #7月20日，宁波镇海，原房东离世后留下40万财物，家属不知情卖了房，新住户大姐拾金不昧…这可不是一般人能做到的赞租户墙内发现40万巨额财物主动上交
1688344079# #身残志坚，看面相就是个善良的人…关键一点，他卖花的时候手始终背在后面，不靠卖惨来挣钱，这一点比辛苦本身更难做到🙏
1693108636# #真的把韩国人逼向绝路了，本来肉类就很贵，很少用的盐还是海盐，最基本的泡菜现在都成了问题，普通的民众靠海吃海。这一次的爆发也是情之有理。日本核污水事件的科学真相
1688824435# #曾经看过张雪峰一段直播，中间连线到一位想上西浦（西交利物浦大学）的学生，张雪峰说:“先让家长把四年学费四十万取现金摆家里，每天看一会儿。问问自己爹妈赚这些钱是不是很容易，如果很容易，别犹豫，上！如果不容易，甚至需要凑才能拿出来，那就再想想”。最后，张雪峰说:“孩子，如果爹妈无论怎样
1690776550# #7岁小战士陈孝天，阎王面前一换三，捐肾救母孝心感动天…
1703812825# #货车变“火车”，驾驶员直奔消防大队，"无缝衔接"迅速灭火！司机也是牛人，没有中途弃车，着这么大的火，毫不犹豫的开门放进来，是承担了很大风险的赞
1688099108# #一个残疾大叔要种出几万斤的桃子，可见他不知要花费了多少的心血…可怜心小伙子没一点嫌弃农村人的傲慢，接地气，愿老板发财心
1702269407# #拉绳老师朱幼芳，因患病双脚不能站立，多年来靠一根拉绳坚持给乡村的孩子们上课，不愧为最美乡村教师，向朱幼芳老师致敬赞
1689940568# #被骗至缅甸的越来越多，缅甸方面难以保证及时有效的打击，诈骗分子又极其猖狂。所以，当下我们急需建立一种快速有效的工作机制，能够直接参与营救，早日将受骗者解救回国。亲人被骗至缅甸后经历了什么
1694167912# #掉钱眼里去了？深圳，家长曝光学校把不订餐的学生赶出教室，让他们淋着雨吃饭！而且学校还禁止家长送餐，且不在学校订餐的学生不能进教室午休！网友：真庆幸我出生的早啊，这年头越来越离谱了！。。据顶端新闻消息，该爆料的家长称，孩子读的学校是一所民办学校，因为一些家长不想让孩子吃预制菜的午餐
1692675244# #电视操作难、还出现“套娃式”收费......国家广电总局等部门召开部署会，力克电视“套娃”收费、操作复杂等问题！网友：早该整治了，电视都成摆设品了…
1703732105# #时速120码定速巡航失灵，高速上“生死狂飙”100公里！交警安抚护航保安全。网友：这是我看见第二个定速巡航失灵的视频，以后我也少用，真吓人傻眼2023感谢有你
1701306534# #他叫涂伯毅，今年92岁，曾参加过抗美援朝战争。而且首批入朝鲜参战的志愿军战士，当年他在战场上他身先士卒，奋勇杀敌。。。后来在一次战役中，他为了救自己的战友，被凝固汽油弹烧伤至残，整个人仿如一个燃烧的火人，最终经过抢救活了下来，但人也就成了今天这个模样。。。有人问他，后不后悔，他坚定地说
1690539364# #这个台风太恐怖了，船体横摇近40°，海员分享与台风遭遇经历…台风杜苏芮登陆晋江
1689221312# #游客爬华山不慎跌落，目击者：幸好被后面几位男生接住了🙏
1692875438# #印度神童阿南德最新预测：日本富士山将爆发，并且引发9.1级大地震。。不久前，印度神童阿南德又发布了自己的新预言。这一次他预言说在2023年7月到8月间，一场大地震会发生，而且这场地震发生的位置是在日本。八月还剩下没几天了，你觉得可信吗？富士山爆发若达5级东京会受影响
1698135145# #“这学校领导太糊涂了！”山东聊城，女老师向校领导反映教室玻璃反光，学生看不清楚黑板，建议学校购买窗帘遮挡。可一个如此简单的要求，校领导不仅不解决，还想办法解决提出问题的女老师！女老师：领导让我道歉，说我打扮太漂亮性感，败坏师德师风！。。陈老师是一名数学老师，在给学生上课用多媒体屏幕
1692270184# #为什么要进行医疗反腐？给大家看一则消息你就明白了。广东一家医院设备还未发货，就已经支付了厂家1.2亿。。。普通人很难想象，什么样的设备要这么贵。而且1.2亿只是一半的价格，也就是说这台设备价值2.4亿。这其中要涉及多大数额的回扣？。。从报道来看，这台设备也是违规采购的，叫做质子放射治疗系统设
1691980433# #有医院院长收受100套房医药反腐要揭发，早点揭发早回家。院长主任腐败肯定要抓，但不能放过监管部门—医保局，卫生局，药监局…要查，就应该彻底地查。否则，医药反腐就是走过场。。。高薪不养廉，别用医院收入低所以腐败来推卸责找借口，抓了那么多腐败官员已经充分征明，高薪不养廉。它只会助长多了
1690032661# #又见“开门杀”！骑车女子不幸身亡…中山一骑车女子遇开门杀不幸身亡
1696225174# #25岁女儿生命进入倒计时，父亲却隐瞒病情，让她直接上手术台…这样的医生才是真正的医者仁心仁术，不怕失败担责任赞
1694863471# #酒店工作人员请环卫工人进店躲雨，环卫工人担心将酒店弄脏多次拒绝，工作人员的一句话让人倍感暖心赞
1695982665# #消防员买奶茶店员默默藏起收款码，离开时消防员留下了……消防员是至今为止唯一没有差评的岗位赞
1697514804# #为什么以前人穷，却愿意生孩子，。而现在人变富了，却不愿意生了。。。因为以前人生孩子，。不用担心保姆，因为人人都能照顾，。不用担心胎教，因为根本不会去教，。不用担心营养，因为有什么吃什么，。不用担心学业，因为大多一样学历，。不用担心就业，因为读书就包分配，。不用担心辅导，因为没人会去辅导，。
1698108512# #孩子何罪之有？！以色列巴勒斯坦冲突
1702726466# #易中天早就提醒过俞敏洪和董宇辉，可惜点不醒两个局中人！易中天曾经问宇辉：“你知道诸葛亮为什么选刘备吗？”董宇辉愣了下，回答“士为知己者死？”可易中天却摇摇头，看向俞敏洪说：“因为刘备重用、甚至专用他！”可惜两个人都没话中的深意！。。其实，易中天老师说的大概意思是，刘备不仅用了诸
1697022207# #刘暖曦居然也直播带货了？沉寂了一段时间没想到又出来了，这个世界上怎么会有这么不知lianchi的人…...到底都是什么样的人在买她的东西？。。想到之前她恐吓江妈妈，对江歌的死嗤之以鼻，更讽刺的是她还在卖有关人性的书，我只想说：你配吗？网友曝刘暖曦在视频号直播带货
1700751162# #山河同念英雄回家，向志愿军烈士致敬🙏
1687745320# #从优质护理角度来说，不应该提倡病人家属在病房陪护病人，不仅因为陪护专业性比较强，病人家属没有经过系统、专业训练的话，可能造成护理不当，会对患者造成新的伤害。另外，病人家属陪护会给其他患者带来不便与打扰，不利于其他患者的休养。。。关键是，对于一些富裕的家庭，和一些住院时间短的病患还好
1692883518# #今天再听听这段霸气的演讲！中方暂停进口日本水产品是完全必要的
1698222152# #你们有没有发现一个现象？。现在有儿子的家庭，他们的父母都学聪明了，往往都是在儿子还没结婚的时候，就已经把儿子的婚房提前给买好了，然后房产证上也不写儿子的名字，只写老两口的名字，等到儿子结婚后，他们小夫妻只有居住权。。。为什么男方会这么做呢？是因为现在的社会离婚率真的很高，如果房子写
1689235719# #106岁的妈妈看望长眠千里之外的独子，未语泪先流，再让娘好好亲亲你…
1697436955# #男子离婚后独自带着俩孩子奔波，父亲早逝，母亲双目失明，自己只能在周边县城送货谋生…
1695816802# #9月23日，K7066绿皮火车上的暖心一幕：大爷因夜深且路途远而躺地上睡觉，两位热心女孩主动出钱欲为其买卧铺，为两个善良的东北女孩赞
1703301510# #男子医院拍下这样一幕感动网友，父亲前列腺癌后期尿不出来，儿子在一旁用嘴将血尿吸出。网友：如果互换一下身份，爸爸会毫不犹豫的给儿子吸！
1693839371# #妻子双腿被卡入收割机，丈夫全程紧抱妻子大喊名字，时刻让她保持清醒。可以看出平时不善言辞的他，此时在用行动告诉你：我一直在！可怜一辈子没享什么福，现在腿又坏了，哎～妻子双腿卡收割机丈夫紧抱大喊名字
1694657935# #独臂单亲爸爸带着女儿一起生活，爸爸摆摊卖炒河粉为生，网友：我们还有什么资格不努力？
1697537243# #四川又一恶犬追咬2名幼童又一恶犬伤人，未栓绳大狗追咬2名幼童，被驱赶后再度追咬路人…天啊，这狗好像锁定目标一样直冲着就过去了，太可恶了！话筒
1689126424# #纺织厂女工记录夜班生活，“12小时的长夜班高温天气下又累又困，汗水已浸湿全身，也得不停工作”…
1695858241# #地震中，向倩老师自己身体被砸成了三段，而她双手环抱将三名学生紧紧搂于胸前，保护学生。壮烈牺牲，年仅21岁。伤心。让我们一起记住他的名字：向倩蜡烛
1693972287# #遭报应了！内蒙古女售票员推退伍残疾老兵下车报应来了：整个客运公司都受牵连，自己也被拉入黑名单，女子肠子都悔青了，可是为时已晚！。第一，给予涉事班车停运7天的处罚，你们不是钻钱眼里了吗？把退伍老兵都不放在眼里了，先停运整改一周再说。。。第二，追溯源头，对车辆的所属企业进行了罚款，源头肯
1687789429# #路边汽车自燃，男子拿一瓶玻璃水递给民警，为灭火尽一份“微薄之力”…
1700994089# #女孩落入水中因穿着羽绒服漂浮在水面上，好心大哥将其救起…气温很低，大哥冻得发抖”，好人一生平安赞
1702997275# #企业连夜生产馒头，鸡蛋，牛奶…运往甘肃积石山，这比捐钱更能解决震后早期目前的刚需…临夏县蒲创公司，给你点赞赞甘肃地震
1702351378# #零下四度的早晨，老人带孩子等公交，热心大哥护送进城…
1703079561# #12月21日凌晨，发表不当地震言论女网红“董事轩”道歉并为灾区捐款5200元：曾笑称“甘肃地震和我有什么关系”。女网红就涉甘肃地震言论道歉并捐款甘肃地震已致135人遇难
1688879532# #加油孩子，苦尽甘来🙏
1697530525# #一位外卖小哥16岁时被养父母抛弃，独自在外打拼十余载，出车祸撞上护栏却不舍得治疗：“我的命不值钱，不治了”…
1697628416# #目击者称女子牵多条大型犬吓到小孩，家长愤怒欲用自行车砸狗，大家怎么看？挖鼻
1702729980# #山西太原，雪天的公交车上有积水地滑容易摔倒，做家政的阿姨主动帮忙打扫，善良是骨子里的东西，不经意就流露出来，乘客：心中有爱，走到那都是一束光。赞
1691645748# #湘雅三院孟婕已停诊中南大学湘雅三院呼吸科医生联名公开举报主任孟婕种种劣迹，从材料反映看，如同恶魔。不过，冷静分析的话，有份量的罪证一是允许无资质人员独立为患志操作手术，致使两名患者死亡，伪造医疗文书，并以考核不合格威胁其它医生顶包；。。二是违规设立小金库，属经济犯罪范畴。其它的搞
1693539310# #日本首相岸田文雄参观东京最大鱼市场，大吃福岛章鱼，扬言“政府将努力让中国撤销进口限制”…你让撤就撤吗？不让你排你为什么要排？日本出现大量巨型蛾子布满街道
1687080646# #女子因餐盒与老板起冲突，称自己老公是监督局的，“我让我老公天天过来检查”…网友：小事反应了社会真实情况！
1688382848# #看大爷这一跪！我的眼泪没控制住！祝大爷的孙子早日康复！也祝这位兄弟好人一生平安🙏
1691264052# #济南震感在睡梦中被震醒了，还会有余震吗？
1696031505# #母爱的伟大，无私的奉献，这位无手妈妈照顾孩子的日常生活，她把母爱诠释的淋漓尽致…
1701669759# #6岁萌娃帮妈妈打包卖卤菜，懂事的让人心疼！“妈妈让我来！包在我身上没问题！”温暖又有担当的孩子，长大一定是前途无量的！赞
1695187823# #“黑衣老兄真乃英雄也！”十几层楼的窗外，一个五岁幼童手扒窗框摇摇欲坠。。。黑衣老兄在没有任何安全措施的情况下，整个身体爬出窗外，脚踩在玻璃框上进行施救。。。在楼下围观群众的阵阵惊呼声中，黑衣老兄胆大心细，脚硬手稳，轻描淡写间，助幼童脱险。。。侠之大者，扶大厦于将倾，一己之力，力挽狂澜
1693545460# #有网友建议，尽最大的能力在三个月之内，利用岛链在大连和烟台之间，建一道拦水海坝，让外面的海水进不去，而渤海的水只出不进，有网友说，这样也许可以给我国留下一方净海，不知大家觉得这个办法如何呢？
1691215449# #小伙广场上玩滑板遭众多老年人制止，多次踢飞滑板，语言攻击，你怎么看？
1687685408# #男子喝药急需抢救，家属没有带钱，素不相识的好心女子为他垫付5500元让医生尽全力抢救，“快走吧，尽全力抢救，别问叫啥名了”，为这位心善的大姐点赞good好心女子为陌生人垫付医药费
1699891038# #“妈妈，没给你摔疼吧？”下肢瘫痪的妈妈不慎摔倒，四岁的儿子一次次努力尝试，终于帮妈妈坐上轮椅…瘫痪妈妈摔倒孩子多次尝试扶上轮椅
1700038922# #限制农民自建房，禁止养殖。温铁军：不要再折腾农民了！网友：听了前两句我就知道这是个良心的专家微笑真正能称得上专家的人赞
1687329446# #女子电瓶车“一带二”怕被前面交警查，只好让一个孩子下来跟着走，两个孩子都戴头盔了，这是一个妈妈最后的努力可怜
1691731055# #大妈看精彩的戏剧演出，直接走上台现金打赏演员，网友:好久不见这么高端的打赏了，这就是对演员们最大的认可吧！👍❤️
1690351302# #“是济南六一儿童医院王绍志主任吗？”在中午休息的时候，一个电话打破了诊室里的静谧，在得到医助肯定的大答复后，电话里传来一阵呜呜的哭泣声。。。原来是来自遥远的新疆阿克苏地区的电话，电话是一位两个男孩的妈妈阿依古丽打来的，原来她有两个孩子字分别是艾山（化名）和玉山（化名），两个孩子相差
1690781065# #凌晨路遇一小男孩独自站在路边，女子上前沟通无果，报警后和警察一起寻找到孩子的家长…
1697809374# #李佳琦双十一预告做个小调查，双十一你会在李佳琦直播间买东西吗？
1699261015# #卖6.7元这个价还有的赚…苦涩父子俩5.2元购入95号汽油6.7元售出
1688611954# #宝贝加油！女孩失去双臂，练习用脚应对生活日常。你是最棒的！good
1696979898# #调查啥？一个历史情景再现的表演而已，以后电影电视都可能会出现，真没必要上纲上线…网传一中学运动会表演刺杀安倍
1697163659# #如果事情发生后她能及时低头认错道歉、积极赔偿，而不是叫嚣自己没错，三番五次改名换姓，语言暴力江歌妈妈，也就不会招致大规模的反感和抵制，说到底是她先种的因，其后才会结现在的果！刘暖曦朋友发声
1697509120# #【君到姑苏共襄未来】10月16日，第29届智能交通世界大会在苏州正式拉开帷幕。作为智能交通领域最具影响力的综合性国际会议，此次大会吸引了135家国内外智能交通领域重点企业和组织参展，共同探讨智能交通的未来发展方向和趋势，释放全人类对“智能交通，美好生活”的无尽畅想。此次大会将持续至10
1693705863# #人间悲剧，一家三口选择9月1日开学前自尽。。8月31日，重庆某小区一家3口莫名身亡，一个母亲，二个孩子。网友说要是有父亲在家，应该都死不了。。有时候，家里有个男人真的很重要。据知情人透露：8月31日，是小孩报名入学的日期，学校某班级的班主任发现班级比原来少了一名学生报名。班主
1687999123# #幼儿园保安大叔火了，手写放假通知酷似印刷体。网友：有才之人，不分职业good
1687566021# #莫言说：“我站在一楼，有人骂我，我听到了很生气。我站在十楼有人骂我，我听不太清楚，我还以为他在跟我打招呼。我站在一百楼有人骂我，我根本听不见，也看不见。一个人之所以痛苦，是因为他没有高度。高度不够，看到的都是问题。格局太小，纠结的都是鸡毛蒜皮。放大你的格局，你的人生将会不可思议。
1690102829# #每件矿泉水30斤，每人的背篓里少则4件多则6件。几次才能起身，这一幕令人心酸…
1703560324# #大姐婚礼献唱，震撼全场，高手在民间赞网友：生活压缩了多少有才华横溢的人？盘点高手在民间名场面
1691298758# #丈夫和朋友在门口聊天突感地震，本能的第一反应就是跑，但一想到自己老婆就往回跑…转身跑是本能，跑回去是爱和责任，这男人有担当赞山东地震
1702200942# #老爷爷在躺椅上晒着太阳安详去世，老伴以为睡着了半天叫不醒，最后小心翼翼地给爷爷盖上衣服…
1693191227# #茅台泸州老窖状告天价听花酒胜诉打了一年多的官司，结果商标侵权被法院否定，只构成了不正当竞争；赔偿金额也从50w和30w，缩水成30w和20w。。这还不是关键，虽然听花败诉了，但听花的感谢声明给业界和网友留下了不错的印象。在我看来，听花通过此事所得到的，远远超过赔偿的50w。而茅台和泸州老窖所失
1698107147# #如果孩子的出生，是为了继承自己劳碌恐慌贫困，那么，不生也是一种善良。。。——张爱玲
1694564835# #男子发现围墙开裂有安全隐患，提醒路过母女“快点走”。下一秒围墙倒塌，母女躲过一劫，万幸！🙏
1692923216# #是报应吗？日本核污染排海当天，大阪突降暴雨，下了有两个多小时…。。然后日本本州东海岸远海发生5.8级地震，接下来会不会是海啸…海水倒灌？日本一天内两次地震
1691246034# #妻子陪着丈夫跑大货车，每天换着花样给丈夫做饭。夫妻同心共同努力，酸甜苦辣一起品，粗茶淡饭一起尝！
1699687540# #上官正义卧底打拐的经费从何而来？他在接受采访时坦言:住最好的酒店，请嫌疑人吃大餐，卧底都是“打肿脸充胖子”，扮演的是有钱人，我要请他们吃饭，我要讲的很豪气，在那里打肿脸充胖子，心疼的是自己，当然做事情的过程当中不会去想到这些问题，每一件事情结束之后，可能就会去想一些这些就是说诶，
1698896050# #缅北究竟是谁在打谁啊？。。1、2009年以前，果敢是果敢同盟军控制的，果敢同盟军属于果敢本地人。。2、2009-2011年，缅甸政府军进攻果敢时，彭家声下面四个人叛变，投靠了缅甸政府军，彭家声腹背受敌，不得不带来十几名心腹爱将逃命海外。缅甸政府军击败果敢同盟军后，随即军事占领了果敢地区，推广缅语教
1698205303# #到底谁在排假啊，年30上班可真有你的…除夕不放假，又鼓励单位结合年休让大家休息，岂不笑话！放不放都放了，多放一天又何妨？除夕不放假2024春节放8天假
1702882467# #女子跑去骚扰广场上站岗的哨兵，称上海的东西都是加倍价格售卖，女子对哨兵怒吼:你好好去挣钱吧…这么嚣张，必须严惩！要是不把她逮捕，就对不起我们的军人！上海女子言语骚扰站岗哨兵
1701497573# #这个抱抱，你打几分？&nbsp;
1687399182# #89岁老爷爷打了五斤白酒，徒步四公里去看望多年的朋友，网友：这就是老一辈的情谊心
1700902068# #面包车失控侧翻在路边鱼塘，休假武警战士狂踹车窗，奋力解救车内晕倒司机！赞
1693025656# #韩媒记者当面追问国际原子能机构，是不是收了日本100万欧元？为这个女记者点赞了赞福岛真相
1699855978# #镇长开会与群众互拍桌子上了热搜。作为基层部门，我太了解基层了，在这里说几句公道话。一是基层没有那么多礼节，喉咙大点，甚至拍几下桌子是常有的事，在基层，有理也得言高，白面书生解决不了问题。二是拍桌子并不代表对群众没感情，只是感情的另一种表达，绕湾湾的表达群众不一定接受，反而这样直来
1698722987# #“周扒皮再世！”河南郑州，女子上班近四年，离职后工资竟然是负数？女子询问公司原因，负责人竟然拿出一份借款明细，说女子累计借了公司9300元！女子傻眼，说：“我有借钱的话，你早从我工资里扣了，怎么可能拖到我离职后？你这是凭空捏造！”。。曹女士在这家公司上了快4年的班，但觉得领导格局小，
1697340629# #提到“日本帝国”学生嘻嘻哈哈，博主刘洁老师怒批学生不当称谓，提醒学生们铭记历史勿忘国耻！网友：“这不是老师，这是先生的样子！育人先育德，老师都应该有这样的正义感！才能挺起中国人的民族脊梁！
1703735555# #太扎心了！江西“结婚16年3娃非亲生”案出现新证据！丈夫：“她和别人在去年生下第四个女儿，陪产人就是与她有不正当关系的吴某某。”网友：我以为3个不是亲生的就是极限，没想到是4个！果然能超越这个女人的只能是她自己！。。今天上午，该案在江西德兴市法院开庭。丈夫陈志显当庭提交了新证据—
1700619206# #市政抢险路口竖牌禁止通行，疑坐奔驰女子因过不去与抢险工人发生争执，踢倒路障并上手打人：“你个叫花子！”
1701407575# #盘点那些善良的老板！只要人人都献出一点爱，世界将变成美好的人间…
1694759664# #大胆盗贼在银行“取”20万现金，案发1小时后被抓，钱款被追回…灯下黑的极致操作…银行有直接责任…男子从银行员工眼皮子底下偷了20万
1698380465# #18.8w一晚，没有Wi-Fi没有卫生间。吃饭无人机配送，你愿意住几晚？挖鼻
1687072176# #在很多时刻，他就是我的“超级英雄”。祝全天下的父亲节日快乐！父亲节
1694214727# #禁毒女英烈严婷，在被丧心病狂的毒贩用水泥块多次重击头部，生命垂危的情况下，仍与毒贩殊死搏斗，坚持到前来支援的同事将毒贩擒获，不幸英勇牺牲，时年仅22岁。伤心。致敬缉毒英雄！让我们一起记住她的名字：严婷
1701577198# #明星广告全部下架，英雄烈士们登场！全国各地都应该这样，英雄才是真正的明星赞赞
1687480201# #远嫁女儿回家看望母亲，礼品被母亲全退回:你公公重伤掏空家底又负债，你的日子比我苦...
1690255731# #看到黄桃罐头那一刻瞬间泪崩了……。东北人家的小孩，生病了不舒服了，老人都会打开一罐桃罐头……。这是最质朴的祭奠方式，让孩子们少遭罪，逃避灾难……三十四中门前的黄桃罐头和AD钙奶
1696044436# #8岁小男孩被父亲军训式教育出一身军人的精气神，被广大网友称为“顶天立地的真男人”赞
1691197591# #高温下女孩中暑脸色苍白，路过好心奶奶不管他人反对果断救助，女孩渐渐好转，奶奶的行为感动了其他人…
1691755333# #父母得上辈子拯救银河系，才能生这智慧与颜值齐飞的女儿吧？有这样的女儿父母不知能有多幸福骄傲啊，妥妥的别人家的孩子赞
1694741226# #“这是我的一番心意，你们一定要收下！”战略支援部队某部营门口，一名女子将一大包零食和一封手写感谢信，放在了岗亭闸机口处……这是独属于中国的军民鱼水情赞赞赞
1698678617# #他心里只装着人民，唯独没有他自己。音容宛在，英魂长存苦涩
1690187577# #一个疏忽的背后，得是多少条人命的教训？。这么多容易吸水的珍珠岩就这么放着，除了施工方外，监管部门和校方都在干什么呢？齐齐哈尔坍塌事故原因初步查明
1689905018# #网友：日本都没有忘记年年参拜靖国神社，我们为什么要忘记815日本投降日？
1692796662# #虽然做着又苦又累的工作，但丝毫不影响这位保洁阿姨纯洁高尚的品质！7岁小孩脱离父母独自河边玩耍，不小心落水，幸亏河边保洁阿姨及时发现，将其救起赞
