1697470459# #林耘丨特别提醒：这三个因素对A股现状影响比较大
1700182097# #隔夜美股涨跌互现，道指小跌，纳指小涨，科技股表现出色，英特尔大涨6%。但中概股表现欠佳，热门中概股普跌，纳斯达克中国金龙指数跌3.09%，阿里巴巴跌超9%，哔哩哔哩跌超7%，蔚来、小鹏汽车跌超6%，爱奇艺、微博、富途控股、理想汽车跌超4%，满帮、百度跌超3%，唯品会、网易跌超2%，京东、拼多多跌超1
1698020524# #工信部部长金壮龙日前在北京会见苹果公司首席执行官库克，双方就苹果公司在华发展、产业链供应链合作等议题交换意见。
1702096936# #风向有变，鼓吹“城门立木”的被禁言了！
1697679160# #贵州茅台这是要干啥？喝酒的解释一下吧。
1699010894# #传真成真，新势力裁员，蔚来确认减少10%的工作岗位。
1700667225# #节操碎一地，业绩光天化日之下注水。
1698051677# #林耘｜A股加速下探，原因颇为复杂多样！
1702042200# #券商研究所要裁员减薪了！新规：公募不得通过交易佣金支付研究服务等其他费用。
1697079083# #杀人诛心，宁波银行号称银行业中的好孩子，选择在汇金增持四大行的时候跳水，什么状况？无非是不得已或刻意为之！
1697421551# #本来该是平稳具备防御性的消费龙头，这走势坑人比P2P更甚，折腾几年下来，都是讨债的。
1701744969# #出身监管部门的前民生银行副行长落马！中国民生银行银行管理咨询委员会原副主席邢本秀被开除党籍。
1700813987# #又是“宇宙行”的，曾任工银国际行政总裁！中国工商银行投资银行部原副总经理安丽艳接受审查调查。
1700799671# #早盘热点转向医药、食品饮料，tmt及汽车产业链退潮，北向资金净卖出72.49亿元及主力资金净卖出265.79亿元，迅速撤退，两市合计成交5152亿元，略为缩量。。。激活北交所，似乎上下有这个意思。
1699244022# #a股大视野午间收盘：1、放量上攻，取得阶段性成果如3058点附近的破位缺口，收复MA30线等；2、做多情绪得到有效刺激，半天成交6701亿元，个股涨跌比约7：1遥遥领先，北向资金、主力资金积极入场……3、创业板涨幅最大，超过3%，跌得多，弹得高，可劲儿护盘的沪综指涨幅较小；4、游戏、证券、文传
1702213570# #高盛关于中国楼市的几点看法：1、可能会出台降低首付比例、降息、城中村改造、公共住房政策以及资金安排等政策刺激；2、2025年之前全国不太可能实行房产税；3、城中村改造可能扩大规模，但不同于2015-2018年的棚改，城市范围较小，且只影响建筑领域；4、由于市场过剩、融资环境不利、控制二手房市场等
1701922994# #
1700362270# #红线！红线！红线！靠自律？靠承诺？靠监管？WPS深夜回应：金山办公致歉并承诺用户文档不会被用于AI训练。
1699927943# #有人说A股流动性比港股强，所以A股理所当然——溢价很正常。似乎有道理，问题是凡事都有个度吧？流动性不是用来瞎折腾的。早两年A股流动性好吧？被基金抱团毁了没看到么？股民基民收获了什么？巨额亏损！严重套牢！
1698286056# #港股李宁暴跌16%，股价从高位回落两次腰斩，这一边唱高调一边大肆涨价割韭菜的本土牌子，“中国”两个美术体字印前胸，卖超高价格，奢侈品化，诶。看破不点破怎么行？。。李宁一度还成坤坤的重仓股，买到头部了。
1700906011# #林耘丨解惑：北交所为什么突然火了？
1701046125# #这几个货上了深交所黑名单！深交所对“三柏硕”“西陇科学”“森远股份”“中文在线”“*ST左江”进行重点监控。
1701072641# #林耘丨为什么说北交所如此火爆炒作考验方方面面定力智慧？！
1701225466# #我发表了头条文章:《华为组队“入场”，上汽智己LS6崛起，比亚迪麻烦大了！》
1698627956# #招行：零售之王，首遇瓶颈。
1697689375# #微博电台计划
1701699462# #蔚来拿到独立造车资质，而且是新获批的。
1698109713# #两融加杠杆的，开始砍仓了。
1701145318# #
1702388061# #划重点，极简版中央经济工作会议提要。
1700443072# #今年7月份，万科时隔四年首次在北京拿地，项目命名为万科·东庐并于昨天（11月19日）成功开盘，劲销345套，其中80套为业内人士购买。万科·东庐一改时下“大平层”紧盯高端改善性需求的玩法，全方位升级紧凑性住宅，从社区设计布局到楼座户型，到全屋定制，真正做到拧包即可入住。。。总价400～600万元这个
1699976981# #林耘丨比上不足比下有余，震荡蓄势！
1696815236# #林耘的投资日记20231009集合竞价：1、指数小幅低开，沪市落定在3100点，北证50唯一红盘；2、个股涨跌比约3：5；3、华为主题受追捧，包括整车的赛力斯以及液冷快充关联品种；旅游酒店、文化传媒、采掘等领跌；4、港股因为台风今日休市，北向资金通道随之关闭。。。并盘印象：低开幅度相当克制，华为主
1700726269# #今天港股及A50期货都要等A股闭市以后再愉快拉升，昨天也是哈哈
1699935734# #微博电台计划
1700652293# #深圳从明日起调整二套住房最低首付款比例。二套住房个人住房贷款最低首付款比例由原来的普通住房70%、非普通住房80%统一调整为40%。。。降低二套房“上车”门槛，在需求端做文章，深圳如此操作符合预期。
1701396267# #“柴火”用了不少，“水”没烧开。
1701576343# #路透的路透：中国今年明年房价均将呈现“结构性”上涨。
1702278339# #鸡飞狗跳，眉毛鼻子一起抓。
1698713618# #上海万圣节，有人打扮成这样，要不要禁止其入场啊？
1701689212# #一件事儿一件事儿来，先稳住市场，別往下流。
1701597887# #许久不见，甚是想念。
1701048746# #a股大视野林耘的投资日记A股集合竞价：1、小幅低开，北证50一支独秀：2、长安汽车与华为智能车BU合组公司，巨单封涨停板成新贵，赛力斯、比亚迪伤心落泪；3、个股涨跌比约2：3，短剧等题材股退潮；4、港股高开，地产板块仍受重点关注。
1702532550# #片仔癀今天创下年内新低，股价见顶以来完成腰斩。医者仁心，这种把治病救人的药吊起来卖的企业，说什么好呢？。。不比白酒，白酒吊起来卖，多纳税，少祸害人。
1698367351# #心脏病……这就走了。
1701829242# #其实，央行潘行长重提了一下“房住不炒”，没毛病啊。
1699092103# #万科怒了！击败对手拿下海南三亚市中心城区海坡片区HP04-03-02地块约82亩住宅用地。观战者说，竞拍过程异常激烈，出价多达99次，成交金额22.35亿元，溢价率达32.9%，万科笑到最后。
1698294086# #微博电台计划
1697353330# #亮马河。
1698631555# #a股大视野江淮汽车与蔚来分手，长城汽车三季报业绩高增，高端化初见成效，比亚迪单季挣了一百亿威风八面，赛力斯咸鱼翻身，乘华为东风订单改善……但是，早盘整车板块却是高开低走，从领涨滑落到领跌，这是为什么？
1701231761# #a股大视野林耘的投资日记午间收盘：指数北交所软了，领跌3.84%；个股风险急剧放大，39家个股跌停（-10%），跌幅超过5%的个股多达179家。。。其它的半天合计成交金额4862亿元，北向资金净卖出43.26亿元，主力资金净卖出157.62亿元，个股涨跌比约2：3，尚属正常。。。个股资金净卖出前五：江淮汽车、比
1698830604# #大批开发商倒下，活下来的普遍降杠杆、去产能、收缩战线，合理推测不言自明。
1699603724# #招行“补血”，与时间赛跑。国家金融监督管理总局同意招商银行发行不超过1070亿元资本工具。
1697859484# #片仔癀的玩法，就算真有疗效，也是违背老祖宗教导的。控量吊起来卖，谈何“医者仁心”？沦为资金玩偶！
1699930860# #高盛宣多！在2024高盛中国宏观经济展望及股票市场动态媒体交流会上，高盛继续给予A股市场“高配”的建议。其预计，受每股收益增长及估值因素驱动，MSCI中国指数和沪深300指数在2024年将分别上涨12%和16%。。。走过路过，请勿错过哈哈
1701045905# #广东支持有条件的单位自建保障房，反推！想上车保障房捷径是去个好单位。
1702379134# #必须把推进中国式现代化作为最大的政治！
1699262427# #前几天有人造遥说深铁出去问了一圈儿，没人愿意接盘，太恶毒了。。。深圳市国资委表示，万科具备足够的安全性，没有财务风险、管理风险，是深圳国资体系重要成员。如有需要或遭遇极端情况，我们有充分信心、足够的资金资源和工具，通过一切可能的市场化、法制化手段帮助万科积极应对。。。深圳地铁董事长辛
1699839635# #A股、港股均小幅高开，个股普涨，意思到了。
1702216650# #开启罚没模式！森源电气：因操纵公司股票，原控股股东森源集团遭证监会没收违法所得3.08亿元并罚款3.08亿元。。。友情提醒，这不是个案，最近会有一批“庄股”、“妖股”现形，风险之大堪比抄家。
1697285848# #股市拼命ipo、再融资，表面看支持了实体经济，算总账得不偿失！所以，融资要适度，圈钱要克制。
1700480703# #央视正在解剖直播间带货水军大作战，各行各业都在缅北化，马扁，随处可见。
1701066452# #有些企业到了网上没有对手，看似无敌，其实是没有朋友。
1698201234# #创业板、创业大盘这就绿了呀？孩子多了的确不好弄，照顾不过来呀。
1702545747# #忙中偷闲，保利登顶东莞新地王！鏖战140轮，18亿拿下CBD商住地。
1698844250# #IPO重新提速了。上交所恢复和特能源、新湖期货、湖州银行、东方科脉、鸿星科技、联亚药业6家企业IPO审核。
1697257614# #股市及基金表现拉胯，让3年疫情的冲击雪上加霜，深受其害的除了少部分属于财富阶层之外，绝大部分是典型中产阶级，还有一部分是初尝理财的90后，这些人”备用金”受到严重侵蚀损耗，是当下消费起不来楼市起不来的重要原因。
1701396908# #老王豪气干云把激励核心员工的奖金，在320元＋买自家股票的时候，老林讲：业绩涨2倍，股价腰斩，将是其未来的“合理”估值。比亚迪现在这个走势，是不是这个意思了？。。车市混战，股市“多杀多”。
1701318244# #
1698243314# #公募基金三季报披露完毕，最新TOP10及增减仓数据出炉。一顿操作猛如虎，买完一看下跌股。AI拉高出货，新能源持续砸盘，杀无赦！诸如宁德时代、阳光电源、中兴通讯、金山办公，卖！
1697944640# #欧菲光战投大股东著名的XXXX刚刚天花板上卖了3000万股，紧接着承诺自愿半年内不减持公司股票，将“”既要……又要……”运用到淋漓尽致。走势看难道不是见顶回调一路下行半年内难有好的卖豆吗？。。如此操作，都是在规则之内耍手段，凭良心，难监管。
1702278836# #a股大视野1、翘翘板，主板双创拉起反弹，北证老实下跌；2、下跌个股显著减少，跌幅排行榜该跌还跌没改善。
1698038435# #a股大视野号称中国版“英伟达”的寒武纪-U上周四拉了个20cm涨停板，随后“”二连阴”创下阶段新低，你们说它这是要干啥？
1698838956# #长虹健在，不是最惨的，当年与四川长虹齐名的另一个著名绩优股济南轻骑，生产摩托车的，退市了。那个年代，能开上摩托车，风头比现在开电动车的牛多多声。为什么说这个？太多的股票都只是只能是过眼云烟！
1701053732# #赶脚，少流动性投机，多流动性投资，才是A股脱胎换骨之日。这一天是哪一天？。。扩容吧，北交所、上交所、深交所各一万家起步，不行就5万家。
1698737606# #不知芒格老爷子有没有持有邮储银行？
1698732498# #财政部给保险资金上了“紧箍咒”，不让炒业绩“不稳健”的、股价“高波动”的、现金流“不健康”的，砸了想让保险资金参与题材股炒作当“解放军”的如意算盘，所以，今天各路资金纷纷夺路而逃。
1698156520# #金融圈，债市反腐，抓人了。
1697083287# #从成交量来看效果一般，早盘沪深合计5391亿元，与昨日相差无几。从热点切换来看立竿见影，场内打起来了，泛AI方向明显软了，尤其是代表性品种。
1700709793# #与魔鬼交易，没有回头路。北证50这轮炒作，招摇过市，处处心机。。。监管者在何处？
1697546927# #“防水茅”董秘张蓓对东方雨虹基本面向上而股价向下的现状表示难以理解：“股票这样一个跌法，已经完全超出我的预期，一遍遍刷新了我的认知底线”“在公司今年努力抓住市场机会提升市占率……收入利润均实现双增的前提下，股价已经跌的快接近去年10月底的低点了！”“我百思不得其解，这个世界到底怎么
1698204098# #美容股暴跌，贝泰妮、爱美客分列沪深股市跌幅排行榜第丨名和第2名，在“茅族”统治A股的时候，它们曾经被称为“女人的茅台”。。。是什么原因导致美容股大跌呢？难道是“一石激起千层浪”，“不爱红妆爱武装”，娘子们要去修水利？
1698594393# #辣眼睛！寒武纪-U公布三季报，期内收入3134.28万元、同比下降66.15%，归母净亏损2.63亿元、同比扩大18.45%。前三季度总收入1.46亿元、同比下降44.84%，归母净亏损8.08亿元，同比扩大14.51%。
1699459074# #林耘丨救市很努力，后市何处去？
1699420740# #做到了，搞好了，就是做俯卧撑酷
1697206978# #纯电轿车，下试10万元价位。通用别克，这是别车了。。。遥遥领先讲过纯电轿车必须降到5～15万元价格区间，国人不应该也没必要在买车上花钱太多。
1699413166# #林耘｜讲真，A股这次政策救市真心不容易，困难特别多！
1700128161# #林耘丨政策加码，别无选择！
1698375643# #苟苟营罢了，心知肚明。
1698812166# #a股大视野1、早盘的焦点在茅台，在酿酒，但高开低走，消耗大量资金，酿酒涨1.12%排行业涨幅榜第5位，茅台所在的上证50仅涨0.5%。。。2、重要大会召开，对A股刺激有限，基调徘徊在下行探底与谋求反弹之间，指数涨跌互现，个股得益于新能源及汽车零部件的活跃，涨多跌少，约15：11。。。3、成交金额逊色，
1701137319# #上市公司大股东及其友军市场主力资金是懂得如何得到自己想要的东西的。一通操作猛如虎，你上头，他卖股。
1702608003# #30年老中医，兼修西学，林氏药方子启用中。
1701399914# #昨天挂牌上市的北证新股机科股份，虎头蛇尾。
1702093717# #科创50，水下潜行，也是定局。
1698399066# #中国疾控中心流行病学首席专家吴尊友因病去世。
1699108836# #林耘丨确实有人不希望利好见效，刻意做空！
1697606412# #继中国象棋特级大师柳大华实名举报之后，其徒弟党斐跟进实名举报，要求彻查棋手买卖比赛结果的录音门”事件。。。中国象棋圈，该掀起头盖布来了。。。注：党斐并非泛泛之辈，他是河南第一位中国象棋大师，是象棋盲棋吉尼斯世界纪录缔造者。
1699244559# #微博电台计划
1699450410# #忽热忽冷，从ipo到再融资都在收紧，不得不。检讨一下，为何早先不顾一切全速前进？
1698372422# #新能源起来了，地产也稳住了，今天A股让大家过个舒心周末。
1697958107# #突发事件！多部门多省市联合行动，富士康危矣！有关部门依法对富士康旗下企业进行税务稽查和用地情况调查。
1698116790# #林耘丨A股为什么会再次跌破3000点？！
1697253852# #小米该出场了！占坑，狙击“友商”。
1699503702# #微博电台计划
1697587077# #拜登升级芯片禁令，美国科技股多数下跌，芯片、半导体板块跌幅居前，英伟达跌超4%，芯科实验室跌超3%，英特尔、AMD、意法半导体、恩智浦跌超1%。
1698983765# #讲真，多空本无罪！看空，做空，属于知行合一，是市场操作的一部分，“啄木鸟”也。但是，掏空上市公司，恶意抱团做多，扭曲从IPO定价到二级市场估值体系，设局诱多，再“杀猪盘”，必须管，必须严惩。
1696990047# #销售冰冻，碧桂园现金流不足以支撑其负债了，参见中国恒大前车之鉴。
1700725490# #港股将基本面博弈玩到极致，加上多种交易工具逼空逼多逼到不敢犯大错。A股将小作文导流和资金操纵发挥到极致，N倍扭曲估值，再斩草除根，换地挖坑。
1697602949# #微博电台计划
1699314110# #茅台咖啡了，脑白金也咖啡了，史玉柱蹭热点瞄上了飞天。
1700056343# #一次修改转融通规则的机会，会有人建议补漏洞吗？中证协召开融资融券业务专业委员会全体会议。
1700618921# #头条的命题作文。。。玩法都懂！输给不肯低头同流合污酷
1702038291# #如此小概率，如何一击必中？看看李永乐老师推算出的结果。
1699975664# #人民币汇率收复7.26失地，势如破竹啊，许久不见！
1702268802# #
1697778047# #a股大视野林耘的投资日记午间收盘：沪综指依然失守3000点，新能源和房地产板块反弹，银行股托市，tmt、泛ai、华为概念拉胯，领跌，资金出逃；两市合计成交4696亿元，略量，北向资金少量净卖出；个股涨跌比约3：4，差距不大，但跌幅榜仍然凶险，跌幅超过5%个股愈百家。。。下午仍有恶斗，不可松蠏。
1701221546# #a股大视野林耘的投资日记集合竞价：A股港股低开，个股涨跌比约3：4，北交所高开约0.8%。
1698040583# #平准基金对A股作用大吗1、准“平准基金”自2015年股灾进场干预A股市场以后，只是收缩战线，控制关键性品种，未实质性离开、退场；2、平准基金官宣设立，法律程序未走完；3、平准基金浩浩荡荡再度强势介入A股必须非常小心慎重，非必要不介入；4、平准基金进场容易退场难，容易滋生腐败，出现道德风险
1699428747# #A股闭市后，港股内房股飚升！4部门开会还是有有的，关键是筹码又拿够了。融创中国、碧桂园、旭辉控股涨幅超过15%。。。A股市场资金却在炒“龙”“凤”呈详哈哈哈哈哈哈
1698851588# #软银孙正义的“滑铁卢”！“独角兽”也有熬不下去的“冬天”！总部位于纽约的共享办公企业WeWork，据说将申请破产，这家公司估值一度达到470多亿美元，孙正义先后投入上百亿美元。今晚，美股盘后，WeWork股价暴跌逾50%，现时市值不足6000万美金，乖乖。
1701830928# #刘野。。金光大道。。170×200cm。。估价RMB|5,000万-6,000万。。成交价5750万元。。2023-11-18&nbsp;中国嘉德。。当代艺术夜场。。刘益谦旧藏
1699663449# #华虹半导体业绩大幅下滑“膝盖斩”，A股投资者超高价入了华虹的坑儿，该给其保荐人“差评”。
1699841724# #银行、证券，跌幅居前。A股证券股估值没有空间，重组合并难以提高效率，除非大裁员，除了写“小作文”的，他们乐意吗？银行股“中”字头炒了一波，基金、股民都加了仓，“好学生”招行兴业宁波行平安行疲势尽显，四大行及邮储行交行回调中，靠小银行打天下是撑不住局面的。。。维持四季度银行业日子不好
1702552281# #上海跟进！上海调整本市普通住房标准，可享受优惠政策的普通住房应同时满足：五层以上（含五层）的多高层住房，以及不足五层的老式公寓等；二是单套住房建筑面积在144平方米以下。
1697170098# #抓人了！抓了个会里外派的，其辖区贵州，贵州遵义。
1698399730# #社保基金会召开境内投资管理人座谈会：A股进入长期配置价值窗口期。。。此会议在成都开，26日-27日，开了两天，与A股反弹收复3000点在时间上完全吻合。
1699494080# #统计局：10月CPI同比下降0.2%，PPI同比下降2.6%。
1700369765# #偶然性事故可视为老天爷在友情提示！
1701914163# #1、华厦眼科暴跌12%，创上市新低；2、最近被抓的上市公司老板不少。。。华厦眼科：实际控制人、董事长被留置。
1698023869# #今天是九九重阳节，港股休市，北向资金通道关闭。
1699409318# #VPlus惠聚周年庆好多朋友跟我说没抢到早鸟优惠券，特向平台申请券数加码，数量不多拼手速！成功订阅年费后还可开现金红包，100%中奖（最高奖1111元），点击下方卡片订阅↓↓苹果ios用户支付方法：
1699072554# #美联储暂停加息成真，旧金山元首会唔在即，外部环境是改善的，有助于人民币汇率企稳和外资回流A股港股。。。但是，自己也要不蒸馒头争口气！
1702293346# #真能忍，出手了，双剑合璧！保利发展公告，拟以10亿元-20亿元回购股份，回购价格不超过人民币15.19元/股。同日公告，实控人拟增持2.5亿元-5亿元，增持价格不超过15.19元/股。
1697848541# #刘是今年4月份落马的，刚好是全面注册制推出之际，不知道他在这当中扮演了什么角色？其罪状第一段写着：经查，刘逖身为领导干部，以资本市场“专家学者”自居。有没有可能战投限售股可经转融通融券暗渡陈仓就是他出的馊主意？……
1700105126# #国家税务总局国际税务司副司长李光辉接受审查调查。
1699170507# #林耘丨设想一下：当下A股走强的有利因素有哪些？
1698221404# #港股今天大幅跳空高开，但收盘涨幅所剩无几，主要原因是三大电信公司、三桶油表现欠佳，出现在跌幅榜拖了后腿。中移动中国联通中石油中海油等走弱对A股会产生联动效应。
1698814852# #汇丰CEO：中国房地产危机已经见顶。
1698047961# #中国股市必须守住越早认错，成本越低；及早认错纠错，才有未来。近期现成的“试金石”就是承认战投限售股借道转融通出逃这件事儿做错了，并把出这个馊主意的大名报出来，让大家“瞻仰”一下。
1700141400# #相信投资人不会喜欢听到此类消息，比较担心百岁老人、巴菲特老搭档芒格老爷子的感受，会不会要喝杯可口可乐压压惊？
1701744046# #3000点保卫战，主力资金夺路而逃，78分钟跑了200亿元，北向资金撤退43亿元，个股涨跌比则是1：4，显著落后。
1699435345# #表态了：加快培育境内“聪明资金”！。。问题是如何培育呢？大家常说的一致性判断都是：我预判了你的预判的呀，显然聪明绝顶了。。。其实，资金一直都很聪明，可以乱来不会老实，乱来要付出惨痛代价自然老实。
1697161564# #a股大视野马前炮！这次救市难度之大非比寻常。
1699165306# #周五收盘A股虽然基本稳住阵脚，维持涨势，但午盘沪综指微跌了一个点，两市下跌家数则增加了350家，显然很多个股经不起晃荡。成交量方面，周五两市合天合计仅8095亿元，缺乏攻击力且持续作战能力不乐观。
1702283377# #比亚迪：预计年内方程豹汽车将在全国80余个城市，开设超过150家直营门店。。。不禁陷入沉思：旗下各个品牌独立铺设销售渠道，好处是什么？坏处是什么？
1698981666# #蜡烛蜡烛蜡烛昨天一哥们在北京突发心脏病去世，1963年生人，TOP2大学毕业，年纪轻轻时就是深圳某券商老总，现在做老式建筑抢救保护。。。或许就是新冠后遗症的影响，健康问题，大家一定要格外小心。
1697117378# #看看汇金下一步有何动作？是开辟新战场还是“老熟人”“老相好”加加仓？
1698409551# #五粮液第三季度净利润同比增长18.57%，意外！盈利增速力压行业“老大”贵州茅台，难怪公募基金三季度减持茅台加仓五粮液，果然消息灵通。
1697683545# #川普力挺的铁杆跟腿儿乔丹看来要当上美众议院议长难了，第一轮投票没过，第二轮投票更惨，少了2票，共和党党内投反对票的议员由20人增加到22人。。。继续乱吧。
1700467847# #21世纪果然最贵的是人才，葛优叔没骗你们！微软宣布，OpenAI创始人SamAltman、GregBrockman将加入微软。
1697637260# #与其被甲方欠债不还，不如自己一试身手？“防水茅”进军京城住宅开发！东方雨虹以40.1亿元竞得北京丰台区南苑一宗住宅用地。。。这事儿干得怎么样？是病急乱求医还是急中生智？。。前段时间，东方雨虹就参与了北京昌平地块竞拍，但没拍上。这次溢价15%砸下40.135亿元，堪称大手笔。两种可能：一是跟传统房
1699512818# #午盘走势果然风险骤增！下跌个股家数、跌幅榜凶险程度均大增，约140家个股跌幅超过5%，跌停个股（-10%以上）约30个。“龙”字辈套人，游戏、文传、减肥药也不客气。指数倒是很稳，“聪明资金”四两拨千斤。
1700703200# #a股大视野林耘的投资日记A股小幅低开，个股涨跌比2：3落后，北交所首批主题基金解禁，荣耀澄清借壳上市传言，深圳楼市组合拳松绑等消息值得关注。。。隔夜美股上涨，中概股整理，港股集合竞价涨跌互现。。。今天周四，重点观察市场回调过程抵抗是否坚决，个股活跃度如何？
1700613764# #据说此次“白名单”主要是金融监管部门倡议，与近期金融监管部门纾困房企相关。50家房企初步按照销售榜50强筛选。。。中国经济经不起房地产行业一头栽地硬着陆冲击的影响的。。。也不该付出如此代价。
1697174844# #A50期货阴包阳了，两大权重股贵州茅台、宁德时代“功不可没”。
1697949000# #上交所又抓了一个。
1701936256# #下午北向资金净买入约50亿元，再次成为A股抵抗力量的决定性因素。
1699935533# #a股大视野早盘两市合计成交5697亿元，与昨天相比略微增加；个股涨跌比约8：9；证券股盘中异动，中金和银河证券重组炒作重度升温；分市场指数看，创业板、央视50、中证100偏弱；分行业看，tmt、证券、房地产服务、整车表现较好，传统行业如煤炭、燃气、钢铁、贵金属、能源金属跌幅居前；资金流向看，
1701244917# #想到一idea：自动驾驶软件强制附带违章监视及缴款功能，月结，平台方可以分账得到奖励，赢利模式杠杠滴。
1698468076# #今年央行逆美联储而行，降息降准，释放流动性，债市大牛，让银行、保险大赚回了回血，业绩才不至于更难看。提醒一下：这种好事属于吃老本，不是越吃越有的。
1699953860# #规模触顶之后，就是下山的路！这个假设如果成立的话……招行会不会是下一个兴业银行？
1697765348# #央行按兵不动，观望，给银行业留出休整期。10月LPR报价出炉：1年期和5年期利率均维持不变。
1700280104# #学了点小手艺，文字动画。
1700113585# #beautiful赞
1700492142# #人民币汇率收复7.17了。
1699167974# #首次召开的中央金融工作会议7常悉数到会，对地产之重视极其罕见，但前后出台的所有政策都被外界恶意解读，很明显，主场舆论战没打好。
1696867771# #林耘丨10月份首个交易日华为主题雄霸A股市场，有得玩么？
1701262062# #会开了不少，措施落地的太少，对付外资没什么办法，眼睁睁看着太阳升起又下山。
1699706891# #李一男的“自游家”本来要跟江淮汽车合作代加工的，硬生生被大嘴截胡了。这么多年了，李一男始终逃不出老爷子手心。
1700048807# #事故率有点高！刚出了刷屏的高难度摆拍骑到XXX头上，网传又有车主开着辅助驾驶追尾工程施工车辆，撞到车头“毁容”。以后开车上路，得躲着他们一点。。。汽车不比手机，大嘴吹过头，出事了人命关天后悔莫及。
1702872986# #林耘丨北京上海为什么选择此时加码楼市利好？对股市有什么影响？
1699838154# #中金公司、银河证券分别出公告澄清合并传言。多个庙多个方丈，没事谁愿意合并？。。“渣男”都是人精，玩别人就有，谁愿意退出历史舞台被别人玩啊？。。重点是：券商不值这个市值，无一例外。
1698557987# #最怕管事的三观不正，草菅人命。严重的话，想补救都未必能补救过来，案例很多。
1700655916# #嘴上喷墨，身体很诚实！贝莱德增持万科企业(02202)约153.83万股，每股作价约7.98港元。。。按港股的规则，贝莱德是因为持仓超过6%的整关才公告的，总持仓1.33亿股，持股占比6.05%。。。很多人不懂这里面的玄妙，巴菲特减持比亚迪也类似，每次公告都是减持一、两百万股，实际两次公告之间是减持约1%，约110
1697433425# #零售新趋势：价格折扣常态化！京东、阿里先行一步，永辉、盒马不谋而合，都在加紧向拼多多靠拢。
1698211275# #大湾区之声消息，香港特区行政长官李家超今日（25日）表示，香港将下调股票印花税，从目前的0.13%下调至0.1%，目标是在11月底前完成立法程序。
1702613802# #a股大视野林耘的投资日记早盘交易数据体现了投资者的复杂心态，有料！
1696923219# #林耘丨“巴以冲突”是如何影响A股市场的？
1699663884# #“衣服”不肯丢，继续打“补丁”！沪深交易所修订转融通指南！杜绝“高瓴”式钻空子，避免“同益中”式误读。
1702816185# #北京上海楼市新政有没有效果自己看，上海首日成交量大幅放大，次日继续走高，绿中介的数据。
1697698948# #你更关心大盘3000点还是更关心自己的股票比关心自己股票还关心3000点林耘丨3000点危若累卵，要不要“一键清仓”？
1699086619# #风向略有改变！略有改变！略有改变！“牛散”罗山东收到来自中国证监会的1.38亿元罚单，没一罚、不算严惩重罚，但2015年～2017年的事情现在出结果值得玩味。。。1、2015年~2017年间，罗山东通过控制并使用“罗山东”等118个证券账户，利用资金优势、持股优势，通过连续交易、对倒交易等手段，影响“利民
1701404687# #
1702427110# #懂车帝广发英雄贴，厂家应不应战单说。
1701912797# #a股大视野林耘的投资日记集合竞价：A股全线低开，个股涨跌比约2：3，董事长内幕交易被抓的恒润股份第二个“一”字板。隔夜美股下跌，早盘港股也低开。
1700708224# #你觉得地动山摇的事儿，在别人眼里却是波澜不惊，这就是差别酷
1700369865# #林耘丨顺理成章，从SU∨到MP∨再起硝烟。
1702873478# #
1699925526# #集合竞价：指数涨跌互现，上证50、中证100红盘，北证50、双创下跌；热点同样出现切换，拉板的天威视讯“一”字板跌停，刀是锋利的。。。隔夜美股涨跌不一，原油、黄金反弹。
1702552737# #重磅组合拳，北京、上海联袂献演！北京、上海调整优化购房相关政策，包括松绑普宅门槛，降低首付比例，差别化房贷利率等，示好，让利，扶持，诚意可以。。。必须说，早先献计献策，本栏提了这些政策建议。
1701054453# #重点跟踪的招商银行、邮储银行、平安银行，今天上午均创下新低。
1698634646# #a股大视野投下您的选择：3年为期，A股先到4000点还是先到2500点？
1698744138# #保险资金重仓A股持股市值排行榜，贵州茅台屈居第5！。。招商银行是险资第一大重仓股，和谐健康保险股份有限公司-传统-普通保险产品、大家人寿保险股份有限公司-万能产品两大保险资金持有招商银行约19.08亿股，持仓市值高达628.92亿元。。。浦发银行位列第二，持仓市值约412.73亿元。。。第三名，中国联持仓市
1697538579# #这么说吧，老实公司持续增长是很困难。反之，得懂得可能是怎么回事儿。
1698335779# #国常会一锤定言！保障房与商品房分道扬镳，各得其所，房地产新发展模式随之确立！简单说——。。1、居者有其屋，努力买保障房，或者退而求其次，躺平的租；。。2、美好生活，更高追求，“上车”商品房；上不封顶；。。3、房地产商业模式告别千军万马干开发，个个都是恒大碧桂园的大批量快周转模式，擅长经营
1698108863# #有段时间，这只“猫”天天叫春，刷屏，热门得很，当时就知道必是这种结果。
1698833039# #不看广告看疗效，总出去找钱不行，得让进入A股的资金有钱挣呆得住才行！
1702865671# #ST左江，连续20cm下跳，此类祸害，无中生有，恶意操纵股价，早该严惩。
1702258871# #五粮液创下年内新低！广州芳村“金融茶”崩盘，对同样存在击鼓传花之嫌的白酒股不是什么好消息，炒酒炒茶几乎同时兴起，差别是A股没有茶叶类上市公司，只能在场外炒。白酒是场外场内（A股）一起炒。如果出事儿，一个是“诈”弹，一个是“核”弹。
1702472880# #交易所公布的沪深港通十大成交股显示：五粮液净卖出额居首，金额为5.83亿元；贵州茅台次之，净卖出5.55亿元。。
