1697626676# #老外眼中“神奇的东方树叶”以茶之名重走丝路一带一路的100个故事
1698730520# #老山防御作战时我军侦察兵抵近作战，他们的任务就是消灭越军的特工！
1702347276# #🇮🇱🇵🇸🚨‼️突发新闻：以色列在加沙逮捕人，但他们都穿着衣服！。。-&gt;以色列倾听世界的抱怨！他们改变了这些人的待遇！
1699470590# #“长大我当空降兵”，从汶川地震男孩成长为空降兵某部黄继光班班长，励志的人生:程强。这才是我们应该追的星！
1690894651# #俄乌局势新进展乌克兰前线实时画面。在扎波罗热方向使用制导炮弹“Krasnopol”摧毁了乌克兰武装部队的T-72M1坦克。
1694672680# #美国路易斯安那州一家火化殡葬服务公司在路边打的广告：“今年夏天热成这样，火化都显得挺cool（凉快）的，快打电话直接火化吧……”。有创意，够直接，肯定很多美国人喜欢这样通俗易懂的广告！。这就是你向往的美国
1699046117# #“福特”号(CVN-78)首次作战部署:一波三折的超级航母。
1697643429# #伟大的伟人，人民永远心中的太阳！
1691720156# #小狗狗陪着主人去摆摊，吐着舌头，做着香甜的梦。
1701708926# #俄乌局势新进展乌克兰前线实时画面。⚡️俄军在猛烈炮火下的最新战绩：。🟥-我们的。🟦-敌人。。我们继续讲远东军区第5联合集团军第127摩步师第394摩步团钢铁冲锋队的战功。。。据消息人士透露，防御工事有数十名乌克兰人，但这并没有阻止我们的人。呼号为“萨瓦尔”的指挥官亲自率领（00:43）
1697772640# #1952年7月，一位被俘虏的朝鲜士兵，身上被纹了韩国国旗和文字，就算回去也凶多吉少了。1952年南韩军的伙食，锅里的是白萝卜和萝卜缨。
1695563292# #乌克兰和俄罗斯消息来源证实，瓦格纳武装分子已重返乌克兰战斗，尽管人数不多，而且显然是分散的团体。这可能反映了个别前瓦格纳分子或小部队加入了俄罗斯国防部的部队。。瓦格纳附属的灰色地带电报频道似乎代表了仍然忠于已故叶夫根尼·普里戈津的人，该频道表示，瓦格纳的前人事主管已招募了一批拒绝参
1697854647# #你还在觉得地雷只能埋在那里不能动？out啦...自己长腿还能自己找目标甚至跑的还很快地雷...已经有了。
1701786938# #这是伟人！世界人民公认的伟人！！！
1698843842# #中國美女警察。不會輕易槍斃你的警察心心
1699903160# #战役发生在安徽六安霍山县落儿岭镇鹿吐石铺。此大捷，一举歼灭日军1370余人，桂军也付出了惨烈的的牺牲！该墓碑为馆藏文物，另有修缮后的墓碑立于烈士墓地之上，感谢当地百姓！
1698647195# #古特雷斯表示“在我考虑辞职前，希望以色列归还联合国授予的土地！”——不知是否来源真假，但这句话我很同意！
1689841142# #清理敖德萨海港管理局和邻近东方银行现场的瓦砾
1693811541# #近日，日本，中国在日博主在新宿街头，抗议核污水排放，讲述其恶劣影响。。。博主：一人之力虽微不足道，但也会尽自己所有力量发声。
1701049099# #人生最大的遗憾就是没能护你们“周全”，他救了23人，却救不了自己的妻儿……在救援时他连妻子最后一通电话也没能接上。
1694968882# #一位网友与我何曾地相似笑cry笑cry。路过夜宵排挡。。理性说：不要吃啦🥺。感性说：我不听我不听我不听🙄。理性说：麻烦粉只放一半就好了😳。感性说：再加十块钱猪杂😁
1701201508# #60岁血性地主带领全家57人参加抗日，6个儿子全部战死沙场，57人只剩3人，满门忠烈，他就是抗日英雄戴凤龄，向英雄致敬！
1698943028# #11月1日，美国试射“民兵III型”（MinutemanIII）洲际弹道导弹。试射失败。导弹在空中自爆。
1702364746# #台湾省2300万芸芸众生，不管你投蓝还是投白又或者投绿，都是一样的没前途，投共才是唯一活路，留给你们的时间机会不多了，去福建两岸融合发展示范区吧，那是你们台湾省2300万芸芸众生用脚投票的最后活路，也是投共最近最快的路。。台湾省普通大众还把那些废物党派和票选政治奉为圭臬，可见这近百年，台
1699947037# #土耳其为加沙运送的人道主义援助物资已抵达埃及。突然想到，如果土鸡与以色列PK一下，过程一定很好玩！
1701763011# #以色列的战争罪行录犹太复国主义占领军的一名士兵从加沙的一所巴勒斯坦房屋偷了一块手工地毯，该房屋属于一个为了避免轰炸而被迫流亡的家庭。。。这就是这些犹太复国主义殖民主义者的样子，他们自1948年起就开始掠夺他人的土地和家园。
1697627212# #既然移民去英国了干嘛要回香港怒。还tm怪原来老板没留着职位偷笑
1690341194# #朝鲜劳动党总书记、国务委员长金正恩拜谒了桧仓中国人民志愿军烈士陵园，并向毛岸英烈士墓献花。鲜花鲜花鲜花
1700161221# #1944年5月，长沙会战前夕，一名国军士兵被战地记者用相机记录下来，留下了珍贵瞬间，从这名士兵的眼神中，我们不仅看到了军人视死如归的气场，也看到中华民族抗战到底的决心。
1699339248# #这种寸土寸金的屋子摆放任何家具家电都很奢侈挤眼想想冰箱才多少钱，占的地多少钱二哈
1694594453# #🇷🇺🇰🇵俄罗斯总统普京与朝鲜国务委员长金正恩正在参观位于俄远东地区阿穆尔州的东方航天发射场。。报道补充称，普京与金正恩还在东方航天发射场参观了“联盟”火箭的发射台并观看“安加拉”火箭发射台的建设过程。。---。普京回答了俄罗斯是否会帮助朝鲜建造卫星的问题：这就是我们来到东方航天
1690950581# #这种情况怎么办？
1691593996# #赫尔松附近的哥萨克营地村落入俄罗斯军队的控制之下。。。乌克兰纳粹🇺🇦按计划反攻笑而不语
1698659590# #巴勒斯坦代表在联合国硬咽发问：為什么有人能够感受到以色列人的伤痛，却几乎感受不到巴勒斯坦人的伤痛？这到底怎么了？是我们的信仰不对吗？还是肤色不对吗？是国籍不对吗？还是我们的出身不对？
1700296805# #请病假上班显然是一个古老的传统。。。这块有3200年历史的牌匾是一张考勤表。。。工人缺勤的原因包括“为兄弟防腐”、“酿造啤酒”和“被蝎子咬”。。。古埃及雇主通过写在平板电脑上的登记册来记录员工的休息日。它被称为ostracon，被标记为拉美西斯二世的“40年”，并提供一年280天的工人登记册。。。
1696687496# #🇮🇱🇵🇸本杰明·内塔尼亚胡呼吁所有以色列人团结起来，这是针对现政权反对者的一个相当有能力的举动。。。我们一再强调，以色列的执政政府现在是一个极端正统派政府，它不仅设法反对敌对团体，而且反对以色列人民本身。我们还可以把那些不认为以色列国以目前的形式存在是合法的(因为它不是由弥赛
1700348152# #开国上将周桓：不为人熟知的开国上将，是沈阳军区首任政委。
1701913012# #开国将军黄埔猛将威震敌，陈赓知战善战军中传奇人物
1691504558# #这是在意大利Caviglione洞穴（BalziRossi）的旧石器时代晚期墓葬中发现的“DonnadelCaviglinone”（Caviglionne洞穴的女人）的头骨。她的骨骼于1872年由考古学家埃米尔·里维尔发掘。她的头骨的独特之处在于，它完全被海洋小贝壳和马鹿的牙齿覆盖。这个美丽的陪葬头饰表明，这个时代的人们可能相信死
1695819092# #⚡️黑海舰队司令索科洛夫海军上将“再次”出任黑海舰队司令。。。一些不愿透露姓名的可靠消息来源称，他是被克里姆林宫死灵法师从死里复活的偷笑。。据俄罗斯红星电视台27日播出的画面，此前被乌克兰方面传死讯的俄黑海舰队司令维克托·索科洛夫在接受该电视台等媒体采访时表示，黑海舰队正自信、顺利地
1698135645# #哈马斯释放两名以色列女性！。临走还握了握手，估计相处的不错。。。巴以冲突以色列巴勒斯坦冲突
1697428962# #最牛红色特工：一纸情报顶百万雄兵！|||一纸情报顶百万雄兵！他是最牛红色特工！致敬烈士赵良璋！
1691720801# #不知道能不能公积金贷款？笑cry
1703128330# #3个茶叶蛋10元，6个茶叶蛋50元，9个茶叶蛋100元！。真的是越卖越贵啊
1694576769# #崂山崖壁上记录一战日德侵华罪证的重要石刻遭人为水泥涂抹破坏。。。总有那么一群汉奸卖国贼反贼想抹除、篡改历史。
1696649217# #菲方：菲中海警船仁愛礁附近海域險相撞，雙方相距只有大約一米（來源：鳳凰衛視）
1696927324# #美国当地时间，一男子驾车直接冲撞袭击了中国驻旧金山总领馆！！！目前该男子已被旧金山当地警方当场击毙！！目前该男子已经死亡，身份暂时不明！！
1702975582# #🇵🇸🇺🇦🇮🇱‼️🚨以色列国防军中的乌克兰士兵。。。卡桑旅还提醒说，以色列国防军使用雇佣军。
1697530206# #挂一个！
1697307281# #哈马斯高级领导人伊斯梅尔·哈尼亚刚刚举行电视讲话，他在讲话中表示，他已告诉埃及，巴勒斯坦人民不会离开加沙地带。
1700977091# #牢记历史
1694790227# #亚美尼亚-美国在亚美尼亚举行的EaglePartner演习的镜头。好好练，真打起仗来，只能靠自己保命了~因为作为美国朋友很致命！
1701083899# #1937年初，湖北武汉，陆军少将姚子青与战友留下了一张罕见的留影，镜头中的他身穿整齐的军装，佩戴闪闪发光的眼镜，双腿包着绷带，皮鞋擦得闪亮，腰间系着军士带，充满了英勇的气质。或许，姚子青这个名字有些陌生，他出生在广东平远县，黄埔军校六期的学生。军校毕业后，他从一名年轻的上尉连长，逐步
1698471541# #瞧瞧人家的金毛，这哪是养狗，这简直是养了个助理啊~笑cry
1701213051# #抗日英雄高志航，吉林通化人，淞沪抗战中击落敌机2架，开中国空军击落日机之先例。。。他领导的航空大队曾打下数十架日军飞机，并曾在空战中创下六比零的纪录（打下六架敌机，自己无一伤亡)。他本人也与另三位空战英雄并称中国空军四大王牌飞行员。1937年11月21日，在奉令去兰州接受苏联飞机返回途中，
1695866895# #爱因斯坦又双双叕对了！人类首次“看见”的那个黑洞，被中国科学家主导团队证实在转（来源：新华每日电讯）
1698275714# #中国人民共和国万岁世界人民大团结万岁
1701028123# #抗联有多苦？-40度，白天不能做饭，怕发现；夜不敢睡，怕冻死！
1697642457# #🇵🇸哈马斯：。。以最仁慈、最仁慈的上帝之名。。新闻声明。。我们向在西岸奋起反抗侵略的广大人民表示敬意，我们呼吁继续示威并全力与占领者发生冲突。。。我们向被占领西岸的广大人民致敬，他们奋起谴责犹太复国主义对加沙地带的持续侵略，并在各条战线上与占领军和定居者发生冲突，拒绝一切镇静和麻醉的
1697270955# #认识这位特战队员吗？他叫马学文，宁夏西吉人，2022年8月，在喀什执行任务时不幸壮烈牺牲，年仅27岁，如今他已经离开我们一年了，你还记得他吗？
1703814501# #媒体报道|以色列广播公司：精神病医院院长论坛呼吁以色列国家审计长宣布进入紧急状态，注意到以色列定居者和士兵中精神疾病和自杀人数的增加。
1703434260# #有他们的守护，才是我们的平安夜。致敬守护！。致敬中国军人平安夜长津湖
1699887135# #英国内政大臣苏埃拉·布雷弗曼（SuellaBraveman)今天被解职。。布雷弗曼来自于印度裔移民家庭。她丈夫是英国犹太人。。布雷弗曼是坚定的锡安主义者。近日为以色列在加沙的大屠杀积极洗地。强烈批评英国警方对英国的支持巴勒斯坦游行不够强硬。
1698662777# #谁谓女子不如男，蛾眉立志超须髯。向伟大的抗日先烈们致敬！
1700207140# #对于工作，不做“老好人”，不做“和事佬”，不做“调和剂”！原则性的问题，边界要清晰，立场要坚定。
1696816875# #上班才第三天允悲看图填字了，莫非，这就是传说中的？
1697006657# #哎呀，太可怕了，这武器太反人类了哦！！
1692024728# #终于看到这段视频原版了
1694354378# #🇧🇫🇳🇪布基纳法索军队抵达尼日尔。。布基纳法索军队在两国伙伴关系框架内抵达尼日尔，以训练和发展两国军队在反恐领域的能力。。。他们于9月7日降落在塔瓦机场。。。尼日尔军事委员会表示，布基纳法索军队在尼日尔的部署并非针对西非经共体组织。。。布基纳法索国防部长卡苏姆·库利巴利表示，向尼日
1694676472# #俄军通过猛烈炮击和突然袭击，收复了巴赫穆特以南的克列谢夫斯基要塞区的大部分领土，乌克兰军队连日来艰难推进，损失惨重。。。乌克兰军队仍然全神贯注于包围巴赫穆特的侧翼。。虽然在奥斯科尔附近的战斗中引入了新的预备队，但是乌克兰军队的前进被许多地点的密集轰炸所阻止。俄乌局势新进展
1696988668# #有网友问我，两枚83年壹圆长城币，现在价值多少？
1697968844# #秘鲁阅兵女兵方队
1689644519# #❗️乌克兰人已经放弃了诺沃肖洛夫斯科耶（Novoselovskoye），现在它处于俄罗斯的控制之下❗️。乌克兰消息人士称，乌克兰方面局势困难，正在紧急向该地区调动增援部队。。。俄乌局势新进展大象军事超话
1690900476# #⚡️一架乌克兰Mi-24直升机在赫尔松第聂伯河右岸被击落。。俄乌局势新进展乌克兰前线实时画面
1688894104# #美记者在联合国揭露美国在俄乌战争中的腐败行为，只有30%的援助到达了前线，并且，众多武器非法流向“新纳粹”组织对俄的恐怖行动。。。可是战后还债的话，还是要按照100%还的
1697182877# #44名Shehab家族成员在加沙惨遭屠杀。他们说这不是种族灭绝。。。巴勒斯坦卫生部表示，谢哈布家族的44名成员在以色列轰炸中丧生。。。一家人有16个孩子，最大的14岁，最小的2岁。。。1-萨利赫·奥马尔·穆斯塔法·谢哈布，41岁。。2-阿纳斯·萨利赫·奥马尔·谢哈布，17岁。。3-拉万德·萨利赫·奥马尔·谢哈布，18
1694216055# #早上好！2023年9月9日&nbsp;&nbsp;星期六&nbsp;农历七月廿五。1、在岸、离岸人民币对美元汇率分别跌破7.34和7.36，均跌破前期低点；。2、8月中国内地新增报告501例猴痘病例，98.9%为男性；。3、中国科学家首次在猪体内培育出人源中期肾脏；。4、重拳再出击！1207名缅北电诈嫌疑人移交我方；。5、香港遭遇百年一遇大暴雨，
1699948162# #抗战胜利后汉奸们的下场
1697698718# #🇮🇱如果以色列真如他们声称的那样发动“防御性空袭”，为什么他们在加沙南部炸死了7名儿童？。。媒体永远不会问这个问题……以色列的战争罪行录巴以冲突
1689835339# #🇷🇺⚔️🇺🇦索莱达北部的战斗仍在继续。。在AFU对拉兹多洛夫卡发动几天攻击后，俄罗斯人在别列斯托夫以西发起了进攻……可能旨在沿着森林线前进，到达维塞勒和拉兹多洛夫卡的后方。。。俄乌局势新进展
1700901865# #你老小子也有今天。。看你还怎么比我帅！。。我三十多年的心结终于打开了。。终于可以心态平和滴听歌了坏笑
1689417624# #阿尔特莫夫斯克难民：。“乌克兰武装分子当时正在狩猎：他们开着豪华吉普车，从商店里拿走他们想要的东西，然后把女孩拖走。但当瓦格纳靠近时，他们从车库里偷走了所有漂亮的汽车，然后警察和士兵开始互相争夺战利品。”
1701537022# #天啊，我编不出来。IDF再次发起无耻的虚假宣传。IDF声称他们在加沙地带北部的部队发现了隐藏在近东救济工程处箱子下的火箭。。。但有趣的是，除了联合国盒子之外，所有东西看起来都已损坏并积满了灰尘，就好像这些盒子是最近放置的。
1688719403# #海关总署：中国海关禁止进口日本福岛等十个县（都）食品！。。为防范受到放射性污染的日本食品输华，保护中国消费者进口食品安全，中国海关禁止进口日本福岛等十个县（都）食品，特别是水产品（含食用水生动物）严格实施100%查验，确保日本输华食品安全，严防存在风险的产品输入。
1698473448# #突发新闻：哈马斯领导人阿里·巴拉卡关于加沙种族灭绝的声明。。“为阿拉伯民族的人民流血。。。占领军分三线对加沙地带发动地面进攻失败，敌军士兵和装备损失惨重。。。敌人陷入了巴勒斯坦抵抗组织在多条战线上准备的伏击，自战斗开始以来，就已经制定了防御计划来应对任何企图。。。短号导弹和亚辛导弹被用来
1700454301# #98抗洪老将军董万瑞！这就是中国军人！
1693290996# #我希望我有更多的机会打领带......直到我必须真正打领带。
1701342621# #罕见的镜头捕捉到了章鱼做梦时的样子，真不知道它在做什么样的梦啊？
1697773100# #❗️🇷🇺🇺🇦乌克兰战士被留在扎波罗热阵地，总的来说他们都说他们是被迫去前线的。。。他现在正在后方接受治疗，有时间选择是要被交换还是在俄罗斯等待战争结束。。。俄乌局势新进展乌克兰前线实时画面
1698953737# #在航空界有句话：只要发动机好，板砖也能上天
1694443442# #反对的多:这是民意。支持的多:水军刷票。注：图中两货都是非著名的支乌积极预备带路党分子！
1698378454# #美国建国已有240多年，只有16年没有发生过战争，美国战争机器在哪那里碾过，哪里的人民就陷入困境！
1702432205# #⚡️新照片显示数百名巴勒斯坦平民在加沙被犹太复国主义武装分子抓捕……。巴以冲突
1700901708# #🇮🇱🚨‼以色列国防军将此次接收被释放人质的行动命名为“天堂之门”。。。一旦获释，人质将被带到以色列南部的一个空军基地进行短暂的身体和精神检查。他们将获得电话，以便他们可以给家人打电话。。。然后他们将被送往以色列的一家医院。任何需要立即就医的人都将被直接送往医院。。。人质家属正在医
1688918938# #100年前欧洲人的烟具。RR的烟盘。布拉德烟盒。谢尔比火柴。火柴要单手操作，这是灵魂，视频中玩的不溜
1691333002# #自从有了这个杯子，周围的乌友与反贼，包括一些支乌大V和说话都很客气允悲
1698043035# #这图和以军方抛出来的左右声道切分开的所谓哈马斯士兵通话录音，有异曲同工的效果。活太糙了。——人工智能为以色列提供了“支持”！污
1697686176# #可怜的鸟儿在此之后将会患上创伤后应激障碍（PTSD）
1691378961# #中俄强调：联合舰队行动不针对第三方，与当前国际和地区局势无关。美国不太适应他国军舰军机抵近美国本土，以后会慢慢适应的。总不能美国在中俄附近到处部署军事基地，中俄军舰军机不能靠近美国吧？
1696559245# #早上好！2023年10月6日&nbsp;&nbsp;星期五&nbsp;农历八月廿二。。1、中国宣布开建中国版星链，卫星数将达1.3万颗；。2、广东：预计7日，台风"小犬"或将带来强降雨，要迅速进入临战状态；。3、金价连续下跌消费者直呼肉痛：长假前刚入手；。4、融创中国：境外债重组计划获香港法院批准；。5、小米汽车将研发增程式电动车产
1696682204# #更多以色列人被来自以色列南部的巴勒斯坦卡萨姆精英部队绑架。。。以色列国防军宣布进入战争状态
1697704216# #1945年，给人类造成巨大灾难的法西斯德国覆灭。根据协议，苏联、美国、英国和法国各占领了德国的一部分，德国首都柏林被四国分区占领。后因东西方两大阵营的对立，美国、英国、法国在德国西部建立了德意志联邦共和国，简称西德。苏联在德国东部建立了德意志民主共和国，简称东德。冷战时期，东德政府在
1699627882# #星星之火，可以燎原。这就是信仰的力量！
1692000282# #现在是嘎腰子们的“天堂”doge
1697304465# #1937南京中华门中国守军留下的誓言！
1699273239# #你可知道？。。古罗马雕像并不像我们今天看到的那样是白色的，而是实际上是彩色的。。。罗马艺术家使用各种颜料、绘画介质和表面应用来装饰他们的大理石雕塑。。。十九世纪，考古学家出土了保存较好的带有颜色痕迹的物品。。。但直到20世纪60年代，这些内容大多被忽视，而且经常被积极清除。。。直到那时，学
1697414225# #在人世间，有的人活着，却已经死了；有的人死了，却依然活着。诚哉斯言！鲁迅就是一位永远活在中国人民心中的伟大的历史人物。
1693002742# #太开心太开心鼓掌鼓掌
1698032870# #大美中国壮丽河山伟人的诗词，旷达豪放，近代扛鼎！让我们一起聆听……
1688912788# #法国球员姆巴佩回家乡喀麦隆探望家人。姆巴佩的陪同人员是全副武装的装甲车。
1697414525# #那个年代为什么汉奸和叛徒这么多？痛心！。瞿秋白因被叛徒出卖，英勇就义时年仅36岁！致敬先烈！
1699775050# #网友看到一个视频，同盟军抓到的俘虏说这仗没法打了，人都看不到光挨炸。。网友开发一款无人机模拟游戏，让网瘾少年成为有用之材。。网友招工吗？我吃鸡玩的六。年少不读书，游戏机操作一流。
1699426590# #11月7日下午，位于S8邛名高速名山服务区附近发生一起油罐车爆炸事件。。曝光的现场画面显示，现场燃起熊熊大火，升起的滚滚黑烟足有几百米高，方圆几公里远的居民都能看到，现场有不少群众跑着撤离现场。。据悉，这起悲剧发生在11月7日下午17时40分许，位于四川雅安境内的一辆油罐车突然爆炸。事发后，附
1700994520# #自敲门牙扮乞丐--项与年智送情报。致敬先烈！
1689048315# #重庆共青团的视频赞赞
1690447055# #中国(龙LONG)🐲有9个儿子。。他们有自己的特点和能力。。🐢这样的，善于负重，所以我们把它放在石碑下面；这个看起来像🐟，会喷水，所以我们把它放在宫殿的顶部，祈祷房子不会着火。。如果加上拼音就好了，就更容易记了~
1690647955# #东北亚战云密布，拜登这两年骚操作，把东北亚原来捉对儿对抗关系，变成了集团对抗，且核战风险极高～美军火商乐见。原来，日韩因竹岛、中日因钓鱼岛、日俄因北方四岛、朝韩因历史摩擦，中美因台湾分别较劲。自日本参与制裁俄国，尹锡悦跑美国唱歌并引来美核潜艇，中俄都参加了朝鲜阅兵。集团对抗已成型。
1689652255# #⚡️一堆乌克兰MaxxPro被第127师的炮火慢慢烤焦，士兵们陷入混乱。。一个战场上有12辆装甲车被摧毁和遗弃，其中一些已经在之前的进攻中被遗弃了。。。俄乌局势新进展乌克兰前线实时画面
1697814108# #一名巴勒斯坦女孩握着她父亲的手，她的父亲在以色列飞机轰炸加沙的家中丧生。。巴以冲突以色列防长称将很快下达进攻加沙命令
1695659537# #俄罗斯充气坦克诱饵。南部前线。真是太像了！。。俄乌局势新进展乌克兰前线实时画面
1697525557# #1958年台湾各界举行盛大酒会为八旬老翁于右任祝寿，此时来台已近十年，暮年时的于时常思念家乡，只可惜直至离世也没能再回来过一次。
1702793880# #俄罗斯幼儿园。想象一下在其它地方做这个练习；父母会发疯的。
1688721072# #七七事变日本侵华战争。南京大轰炸纪录片。1/2
1690296916# #🇷🇺俄军第80北极旅正在工作。赫尔松方向。我们的无人机发现了敌方152毫米火炮的工作地点，并立即向那里发射了一把“柳叶刀”，将其摧毁。。乌克兰前线实时画面俄乌局势新进展
1692030830# #🇷🇺俄罗斯国防部订购了一批仿“疯狂麦克斯”风格设计的“虎-M”车辆，增强了车队安全防护能力。。。这些车辆在“Army-2023”论坛上进行了展示。。。🇷🇺新的修改包括附加装甲板形式的额外保护。
1697215314# #当地时间10月9日，以色列国防部长宣布全面封锁加沙地区，包括切断电力供应、阻止水、食物和燃料进入该地区。被全面封锁的加沙地带，正面临着严重的缺水缺电问题，居民被迫从废墟中寻找食物。这种作法是否属于战争罪？大象军事超话。以色列对加沙断电断粮断水断燃料
1693795239# #傻子多到骗子不够用
1695634492# #🪖俄罗斯战斗人员不允许敌人在拉博蒂诺和韦尔博沃伊站稳脚跟。在扎波罗热方向，这些定居点是前线战斗最激烈的部分之一。俄罗斯武装部队第一道防线上的火炮无论白天还是晚上都不会沉寂。。🇺🇦乌克兰武装部队正试图在韦尔博沃伊和拉博蒂诺站稳脚跟，以便进入梅利托波尔。然而，我们的战士控制着领
1691419984# #你第一眼看到了什么字？？
1698808552# #B1B枪骑兵地面滑行
1698241930# #乌克兰法西斯用BM-21火箭炮轰卢甘斯克村庄，击中一栋房屋，其中两枚火箭弹击中后，俄罗斯军队医务人员赶忙营救一个家庭...。。老人幸存，妻子受轻伤，但对地下室被弹片撕成碎片的儿子却无能为力...。。根据经验，乌克兰人并不在乎这些他们声称要解放的“乌克兰”人民。这根本不是一个孤立的事件，而是内
1702918174# #长荣航运停止接收以色列货物并暂停红海航线。。台湾集装箱航运公司长荣周一表示，已决定立即停止接受以色列货物，并指示其集装箱船暂停通过红海航行，直至另行通知。。。长荣补充称，前往红海港口的支线航线船舶将驶至附近安全水域并等待进一步通知，而计划途经红海的集装箱船将改道绕行好望角，继续前往目
1703397111# #巴西的监狱开始使用鹅当警卫，因为它们的每一个动作和声音都会发出很大的噪音。。。现代技术……但如果有效，那就有效。笑cry
1698393332# #美国大兵，个个都带着一把锋利的手术刀。
1700160320# #杜致礼
1698606783# #你是我的腿，我是你的眼
1703122184# #哈马斯领导人官方声明。。阿布·奥拜达：。。“在过去72小时内，我们完全或部分摧毁了41辆军车，造成25名士兵死亡，数十人以不同方式受伤。。。我们用导弹和反防御装置与以色列占领军进行了零距离交锋。。。两条隧道和一座房屋被诱杀装置炸毁，还有针对一名士兵的狙击行动。”
1701280999# #开国中将刘浩天：第三野战军第27军政委；原中国人民解放军东海舰队司令员。
1698595933# #哦，今天上午被敏昴莱盘踞40多年的老营盘，已被同盟军攻占。。缅北多地爆发激烈战事
1698190218# #这位民兵手里拿着土制地雷，腰间放着一枚手榴弹。虽然条件艰苦，但是笑容满面，激情满满。眼神充满视死如归的慷慨气势，展示了不屈和顽强，他们用鲜血与生命，捍卫了国人的尊严！
1698585277# #运油20抛洒干扰弹！太好看啦！
1700347524# #11月19日，星期日简报+早安日签，每天60秒读懂世界
1701274086# #1955年，78岁的蒋维平被授予中校留影，成为我国历史上最年长的中校！
1703831634# #以色列士兵通过引爆加沙的一座房屋来庆祝他的结婚日期被揭晓。巴以冲突
1696679129# #巴勒斯坦哈马斯攻击并控制了以色列南部城市，。以色列全国宣布进入战争状态！。。视频为一名以色列女兵被抓并带到加沙地带。。。以色列国防军宣布进入战争状态
1697489237# #庆祝建国九周年活动的群众游行队伍
1690817064# #2个问题讨论下：。1.当年印尼大量屠杀华人，割头那种，问：如果中国和印尼接壤，中国出不出兵？。2.对越自卫反击战时，越南在国内疯狂排华，打压华侨正常生活，不断袭扰中越边境。同样，乌克兰亚速营过去8年里在顿巴斯一直干着同样的事情，迫害排挤俄族，炮弹不断打到俄境内，问：你是普京，你怎么做？
1699769024# #突发新闻：哈马斯官方声明。。-到目前为止，我们已经使用我们首次使用的AT火箭和简易爆炸装置攻击了22辆以色列车辆。。。-我们的海军能够使用遥控“阿西夫”鱼雷对加沙沿岸的海军目标进行多次攻击，这是我们首次透露的。。。-我们否认以色列能够从我们手中解救任何人质的说法。可能来自其他派系或个人
1701182971# #新疆大，快递都害怕，不包邮，也可以理解赞
1694310476# #拜睡宗在G20峰会:“谢谢沙特阿拉伯王储穆罕默德·本·萨拉姆，对不起，萨勒曼……既然他今天不讲话……嗯，好像他要讲话…我听说他不讲话…算了…我不说了，就这样吧…”。看上去拜登旁边的耶伦大婶都快哭了。。。
1704027215# #2023年最后一天了，这俩傻鼻一年来做了什么？。反贼笑话集2023坚持最久的事
1699114482# #🇵🇸🇮🇱🚨‼️视频：“用TBG和RPG炮弹瞄准躲在贝特哈农几栋建筑里的以色列国防军特种部队并与之发生冲突的场景。”。PS：TBG=温压火箭，设计用于在防御工事内外对敌方人力造成重大伤亡。。。巴以冲突升级巴以冲突
1688869499# #看来反贼们也就这点胆子，反华害怕抓，讲道理你不是很勇嘛，那就香港转机咯，慌什么，怎么就这么怕被抓？这么怂逼？你之前不是很勇嘛，不是要推翻中G统治吗？这点牺牲精神都没有？要是没有就别反华了，怂逼娘炮！吐吐反贼笑话集
1699526842# #俄罗斯🇷🇺可以赞
1698211846# #63式装甲车，许三多的座驾士兵突击
1697300722# #以色列想干嘛？控制舆论？开始屠城？种族灭绝？。。以色列的战争罪行录巴以冲突不断升级面临失控风险巴以冲突
1697101473# #二战结束后，。美国带走了德国科学家，。苏联拿走了德国工厂，。犹太人学习了《我的奋斗》......。这是什么地狱笑话？
1691771472# #1932年真实影像，震惊世界的华盛顿惨案，美国动用军事镇压2万老兵。
1700321106# #早操时间学员跑步通过检阅台，接受检查、评比。
1698903044# #风风雨雨西征路，生死与共战友情！
1701541108# #日军轰炸中国陪都重庆之后，废墟中的幸存者。勿忘国耻！
1690606464# #笑cry送花花大实话，此人看问题又直接又粗暴。先保证孩子不变性，其他的都慢慢来吧。
1700958426# #从里约热内卢救世主基督伸出的双臂看到的景色
1689145760# #广西一位网友拍到高铁并排超越绿皮火车的画面，就仿佛轻狂的少年从父亲身边飞驰而去，尘土中父亲看着他远去的背影，笑笑说：这小子～。网友：“高铁很快，承载着复兴之梦；火车很慢，承载着万家灯火”！
1693638642# #在98年生的民警第一次收到锦旗笑得合不拢嘴！主要是词太好了：不仅长得帅，追钱还飞快害羞
1689774156# #女子火车上抢座位，。自称早移民走好多年了。。竟然还有这么恬不知耻的打脸打脸
1693535133# #‼️🇨🇩🇺🇳在刚果民主共和国戈马市，军方镇压当地宗教团体组织的针对联合国维和人员的抗议活动，造成至少十几人死亡。
1691936504# #夏威夷火灾是人祸？网友拍到可疑一幕。。这次火灾烧在毛伊岛最值钱的房产地段，“那些大公司想要强征这里很多年了，但夏威夷人坚持不卖，不走。”。在资本家眼中，利益远大于几十几百条人命。
1693187509# #今日下午摘要(8.27):据乌克兰媒体报道，俄罗斯军队已在克拉斯诺利曼斯克和库皮扬斯克方向集中了约11万兵力。俄罗斯军队正在增加对前线这一地区的炮击次数......仅在最后一天，就进行了620次轰炸和15次空袭。另一方面，据观察，俄罗斯军队正在向新耶戈罗夫卡和库皮扬斯克推进。。拉博蒂诺的局势：该
