1696511607# #世界贸易组织：将2023年商品贸易增长预测下调至0.8%（之前为1.7%），将2024年商品贸易增长预测上调至3.3%（之前为3.2%）。
1688104105# #很喜欢这段话活着就是胜利挣钱只是游戏健康才是目的快乐才是真谛百年之后你睡你的我睡我的再美丽的语言也无法跟你沟通因为我们要沉睡睡很久很久..所以身边的人们要相互珍惜因为每个在世的人时间会越來越少..不要争执不要斗气好好说话相互理解世上最经典的一句话就是好好珍惜对你好
1701050746# #越来越频繁地听到猪周期，一晃四年多过去了，按五年一个周期来说，从2019年至今，确实是快到了。但上一次猪肉价格的市场反馈是非常显著的。这一次硬炒猪周期我不太感冒。而且那些股吧太吓人了。干几年赶不上大亏的一年！太反感这种股！总之我不太愿意碰！
1687159442# #这破行情，没啥可多说的，只适合跟你们唠唠闲嗑。该死的大喇叭就是走不完，你说气不气人。我当然也不想执念深重，我只是维持长期持股而已，我完全理解大众心情，我也一样是媳妇熬成婆。股市说透了就是，八成时间等待，涨的时候快且超出预期，足以完成一年的预期收益，所以忍忍吧。别太较真细节得失，模
1699529347# #金莎：好男人是不在市场上流通的～。。难怪我总感觉有一股神秘的力量，成天把我束缚在家里！不爱外出，不爱聚餐，不爱出游！
1695210153# #说一下，最近的视频，我抖～yin也是同步更新的啊，而且是第一个更新的平台，名字同微博，有空的可以去关注下，点点赞！今晚会发视频！
1701144228# #东方甄选和辛巴一对比，利润率大相径庭，大概大家心里就有数了。三只羊其实利润空间更大！
1693209034# #今日收评：再度大涨已成定局，别气馁。。早盘开在高点，全天回落，看似兵荒马乱，实则震荡有序，节奏把握精准。你不必在意北向资金流出多少，也不必在意技术上有多难看。其实，你根本就不该将周末的消息当成投机的博弈炒作。那么你再看待眼下走势，多么美妙，本来还担心留下大缺口，以后恐怕不好办的，没
1697904443# #评价有点高笑cry
1697422317# #那么多利好积攒在一起，终究会让股市爆发，不要去猜底，也别惧怕大跌、快跌，因为空间极度有限，所以才要折磨你、吓唬你。不知道你们发现没有，现在整个大医疗已经很强了，要用好这个“势”。别在乎眼下的指数，更别在乎A50！
1700915157# #看到一些老的港版书，就一下子全买回来了酷
1703403370# #①今年氢燃料车产销高增长，按品牌统计宇通客车为第一，不过公司人士认为，销售比较依赖五大示范城市群的补贴；。②中游储运环节成为氢能发展瓶颈，业内人士认为，发展有机...
1695352499# #眼下的涨跌、对错重要吗？我觉得一点都不重要。你知道未来会怎样，非常重要！不看好未来的，多待在股市一天都是浪费，看好未来的，就请珍惜每一根阴线。A股走得这份上，内心真的还有信心不犯嘀咕不自欺欺人的人真的不多了。如果你不看好未来，自然不用看我。如果你看好未来，那么请珍惜我们用文字和视
1694572887# #还能买的，就放心大胆地买。不能买的，就躺平等机会！很多股票正在脱离底部！不要被上上下下来来回回的指数吓倒！
1689122970# #【财联社7月12日早间新闻精选】1、7月11日下午召开中央全面深化改革委员会第二次会议，审议通过了《关于建设更高水平开放型经济新体制促进构建新发展格局的意见》、《深化农村改革实施方案》、《关于推动能耗双控逐步转向碳排放双控的意见》、《关于进一步深化石油天然气市场体系改革提升国家油气安全
1700110712# #分享图片
1694153035# #“狼来了”的“翻版”，懂了不？炒股跟党走，这次一定要信！
1702607694# #A股现在的处境就像董宇辉，东方甄选呆不住了，离开又能去哪里？翻译一下，跌是跌不了多少了，涨也很艰难呀。但最终要自己蹚出一条路来，坚持涨上去！走自己的路！
1703834882# #其实我最害怕的是年龄又增长了一岁，不知道是不是因为没结婚生子的原因，现在每增长一岁，都好苦恼😖
1697726273# #嗯，你的感悟没问题吃瓜
1697005228# #大盘居然绿了，这个辣鸡市场！满意否？
1692087364# #在降低证券印花税上，不得不说是有点私心的，我希望成真！
1691732155# #有机会，到时直播频率加大，也可能出两个版本，其中一个版本直播间专卖
1692939330# #市净率低于1的股票有347只了…
1689302278# #来自朋友圈，我觉得写得挺好，转发。。以下是一些建议，帮助投资内在的能量：。。1.&nbsp;深入了解自己：了解自身的喜好、需求、动机，明确自己的目标。。2.&nbsp;学无止境：不断在专业和兴趣领域学习新知识和技能，保持求知欲。。3.&nbsp;健康生活：关注饮食和锻炼，保证身心健康。。4.&nbsp;冥想和自我反思：定期进行冥想、自省
1698546593# #居然都说对了，你可真是个吃货呀嘻嘻
1694098535# #998到6124，大家只在意主升浪多美好，没人去回想破一千点时有多崩溃！但其实，行情生于忧患死于安乐
1698753963# #中央金融工作会议在北京举行，会议强调金融是国民经济的血脉，是国家核心竞争力的重要组成部分，要加快建设金融强国，与此同时，要全面加强金融监管，完善金融体制，优化金融服务防范化解风险，推动我国金融高质量的发展，建设中国式现代化全面的金融强国，这个是重磅会议重磅的利好。现在中央金融工作
1699669715# #人生像一截木头，或者选择熊熊燃烧，或者选择慢慢腐朽
1699846259# #指数挪不动脚，迈不开腿！稍等片刻，我说的就是下午，短线显示没太有问题！好的，谢谢支持！
1699596918# #传说中的问界M7，哈哈，我也想坐坐副驾驶哈哈哈哈哈哈
1703237086# #最崩溃的时刻，就是在反弹的丝丝希望中，利空叠加利空。说明国嘉队要动了，真正的底要来了
1694534537# #划重点，减肥药。提示：注意我们的减肥药，快起飞了！
1690706910# #没有缺口必补这一说，我从来都没说过这句话，我说的是市场周期状态和概率，目前沪指在1000点以下还有缺口呢，难道也去补？越震荡最后补缺需求就越弱你可以这么理解
1698798495# #08:24:21【财联社11月1日早间新闻精选】1、中央金融工作会议10月30日至31日在北京举行。会议指出，着力做好当前金融领域重点工作，活跃资本市场；更好发挥资本市场枢纽功能，推动股票发行注册制走深走实，发展多元化股权融资，大力提高上市公司质量，培育一流投资银行和投资机构；一视同仁满足不同所有
1698487268# #今年社保基金亏了一千三百多亿，不正是股市最大的利好吗？
1693031239# #频繁讲调低印花税的事，其实我并不把它当一个所谓的“利好”在“炒作”，我只看实际效用。如果只看作利好消息，那对于股市的效用是短暂的，跟暂停IPO性质一样。但从实际效用出发，印花税降低一半，对于我和我的基金和我的操作模式来说，我一年可以无风险多增加1%到2%的收益。另外，我最近建议大家买券
1696990593# #哈哈哈哈哈哈😂让那些人后悔去吧
1688364276# #汪峰老师，你让我说你点啥好呢？每次发歌都这么被热搜蹂躏的吗？顶顶顶
1699345715# #做投资是定性分析为先，定量分析为后！设立假想敌，是战略布局所必要的，是布局的开端。定量分析就是客观、丢掉人性！
1691039891# #哈哈哈哈哈哈
1688774549# #做基金前，也希望国家降低印花税，做基金之后，除了希望降低印花税，还望国家取消增值税，不能股票赚钱了就要增值税，亏钱了没卖的票还不能抵扣税款，这不科学。就是说总体亏钱也可能要交税允悲
1704174739# #氢能概念震荡走强多股涨超5%。氢能概念午后震荡走强，昇辉科技冲高8%，华光环能、开山股份、安泰科技、华光环能、中持股份等多股涨超5%。
1703057680# #巴菲特说过的，这世上有太多连一毛钱的亏都没吃过的穷人，但是没有一个这样的富人存在。昨晚讲的中庸之道白讲了，中庸不是中间派、骑墙派。而是平等对待涨和跌，可是大部分人做不到。
1697451199# #嘻嘻嘻嘻嘻嘻
1698298204# #转发微博
1694754577# #为啥我还有钱建新仓？我之前有五只大医疗相关的股票，我踢出去一只不就有了嘛。恒瑞跟华妃比起来，我认为华妃低估太厉害，恒瑞比不上，然后就两权相害取其轻，恒瑞出局，华妃继续侍寝，这不就有钱了嘛！嘿嘿嘿😁
1699621265# #涨粉秘诀，多说废话，多发水贴！哈哈
1688781458# #昨晚五月天演唱会把路都给堵了。我问我妈想看谁的演唱会，我带她去。我说了一二十个人的名字，均被否决。最后她只说了一个名字——邓丽君。这个我实在是做不到啊允悲
1701916071# #这几天，骂我的挺多。。但我一句都没回怼。。看淡了，各平台上看的评论，好像骂的不是我是别人。。我只会看，看了觉得哪哪骂的不出彩，太啰嗦，语言重复没新意，要是这样骂就好了。。好吧，成长的代价。。也意味着，牛角要露头了…
1697179000# #我现在特别羡慕湖南一个作家，叫张一一，号“不二”。我特么签得手都软了。黑线
1693704513# #刘纪鹏说得对，胡锡进炒股本来就是一场娱乐，为写作提供素材，同时顺应国家大计，流量有补贴，我估计后来还跟雪球签了独家。一年下来百吧万是到手了。至于炒股嘛，反正最后也能涨回来！
1696913295# #本人郑重承诺，所有投资人可拿来当证据，我至今未做过一笔融资融券，没做过一笔期指，没有做空过！也没有做过期权！
1690266899# #今天的心情，比下跌时更复杂，应对也不难，只是今晚的收评不能偷懒了，要好好写了。你们此刻的心情美丽否？
1697470728# #哈哈，晚上一直黄浦江边散步观景，谈论市场，谢谢天涯飞刀，已经有很成熟的操作方法了，还愿意花时间琢磨我的这些投资哲理！作揖作揖
1693789400# #昨天又拍了一个，说的其实也是大实话吃瓜t+0别心急，慢慢来。现在市场诸多变革，得一样一样来～
1692944061# #要分得清股市里的小聪明和大智慧，遇到小聪明要躲远一点。遇到大智慧要多想一想，最后你践行投资之道，略懂投资之术，你就能赚到钱。离韭菜思维要尽量远一点，以免受连累！
1703384041# #我扫过盘面，发现上次沪指收盘涨2%还是五个月前，值得你品一下偷乐
1700731041# #太丢人了，吃相太难看允悲
1692784966# #再做一次调查投票，都积极一点参与，数据越大越有价值，你认为股市见底了吗？
1688775135# #我还没看王宝强导演的新电影八角笼中，连讲的是什么都不清楚，只是刷到过几个拍摄片段。但我凭网络直觉，觉得王宝强这次能成功。一是破釜沉舟，二是失败过后更有经验了，三源于一看就拍得很真情流露，想必很有观众缘，四是经常能刷到电影拍摄动态，营销上应该没问题。所以，，加油～赢了，就是
1701139423# #一定有的，没有的话就继续拉大阳线，这就是人性！
1693925696# #英国第二大城市伯明翰破产，比较之下，我们的优越性还是很明显，股市是基础建设落后了，但是凡事祸福相依的，现在的三千多点为我们做足了安全垫，在管理层鼎力支持股市发展的条件下，A股退二进三，主要高低切换，今年继续看到3700点！
1699764800# #哈哈，这个评价令我开心。继续加速看吧。欢迎还没买的来找我，过两天就涨价了！
1702706975# #2022年956万新生儿，2023年预计是跌破900万以内。我也为国家生育率担忧，想做出自己的贡献，但实在是——一个巴掌拍不出响啊
1694057293# #盘面有点拧巴，不起劲。进一步缩量，今天大概也就这样了。券商盘中动了一下，也只是胎动，任重道远喽。列位别灰心，市场的表现形式总是出人意料，就是行情突来的时候，你觉得能涨到多少，它就涨得比你看的点位高。为何如此，我把它理解为人性合力之后的熵增效应，值得琢磨！
1694831696# #
1697382608# #投资之韧让规律绽放价值超话有不少人还是不会用超话。注意本博开头，点进去，关注，左下方发微博会自动附带该超话，这样关注超话的人就能看到你发的博了！
1701358980# #什么是乐观，什么是悲观？重要吗？我认为重要的是自己的信念和你自己实际操作的匹配度，这是很主观的东西，却又是可以量化出来的。就比如现在看着三千点岌岌可危，我自己基金净值维持高位，感觉随便来点反弹就得创新高，我有啥可悲观的，换谁谁都悲观不起来啊。大医疗动不动就涨起来了允悲
1691548024# #一旦迎来行业反转了，指数跌我的持仓还是能涨，这种轻松感还是挺好的，能持续跑赢大盘了，剩下的就是无为而治了。爽！ps：昨晚直播了，视频还在，内容多多，干货满满，没听的不要放过，坚持随性直播不提前打招呼！
1698635292# #老韭菜，问我卖掉的小龙还能买不？允悲
1691370923# #允悲允悲允悲
1700530932# #地产股拉涨原因
1688892150# #卖房人打出的广告，你们相信再一再二再三之后还有再四吗？
1698071598# #转：章子怡第一任高枫，1997年分手，涨到2001年。章子怡第二任霍启山，2006年分手，股市大牛到2008。章子怡第三任艾维泥沃，2008年分手，股市到底回升2011年。章子怡第四任撒贝宁2013年分手，股市走牛2015年。现在和汪峰离了，请问，你怎么看🐂？坏笑坏笑
1688110570# #今天涨得比想象少，显得我很无能。nnd，这条微博挨骂我不还嘴好了！
1696478147# #这四个人于2023年领到了2022年获得的2021年举办的2020年东京奥运会铜牌，确实是创造了极其凶悍的历史！
1696511787# #我都是说了些最朴素的大实话！允悲
1687144084# #看了自己基金的持仓，有五六只股印象中已经拿一两年了，有的超过两年了，这期间亏亏赚赚的，有时候确实挺闹心，但这个坚守过程就是投资该有的样子！媳妇熬成婆，不疯魔不成活！😁
1696574755# #今天必须晒一下，在当当网上，之前咱新书是证券股票榜第一，今天是投资理财榜整个大门类的新书热卖榜的第一。有点不敢相信，这还是预售阶段呢。我咋感觉销售特不理想呢，不会大家都在暗地里使劲儿吧偷笑不过有些人是愿意自己买了送朋友的，现在就我了解，最多的粉丝是一个人买了十好几本拿去送炒股的
1703218853# #第一本《投资之韧》看完了？谈谈感想呗
1699012237# #谢谢小朋支持，我只能祝你钓到一堆大鱼了，我最近也去海边钓鱼，大咖亲身教授，但我们都一无所获，下次相约出海去钓，出海一次八百块。不知能不能钓回本钱允悲
1690329095# #某局历史上三次提及资本市场，都是怎么说的？股市是怎么走的？见图！早安！
1692341255# #谁知道呢，反正就是要挫一下昨天抄底盘的锐气，比昨天随便多跌点就是了
1695699148# #可喜可贺华耀光电被罚，应该上不了市了。对于损人利己，不诚信的行为，股市应坚决杜绝！
1687315312# #真没意思，敢做就敢说，老是遮遮掩掩地搞阴谋阳谋，真的很讨人嫌！
1688131517# #今晚周末的开始，收评可略，看看欧洲股市，分外眼馋。七月可期，三季度可期，横在大家面前的是半年报！周末愉快～
1695212364# #聪明的粉丝，既有自己的投资小诀窍，也善于从我的发文中捕捉我的状态，抄我的底，不需要更多信息。只有愚蠢的人才成天抱怨，这样的人最该做的就是离开市场，财商瞬间就起来了！
1698381280# #今天指数表现一般，看着跌幅榜以及我的医疗股们，我还是坚持我的想法，好股票不是不能跌，而是跌后的修复速度会很快！就看你自己耐受不耐受下跌！我觉得一切如常，还是没感到太大压力的！
1703729981# #普涨，大家应该都在回血中，可以的
1692631517# #收评就算说了也是车轱辘话，而且很多人不爱听，那就晚安吧，反正我愿意相信，未来的每一根阴线都值得珍惜，行情势必崛起！
1702307152# #写漏了大金融，不好意思😅
1694054551# #电竞概念股一览
1702252879# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1697375637# #减肥药上我赚的还不多，但是坚守自己的阵地，太多股票我外行人看不那么明白，我就只搞老情人，找搞得明白的做。虽然反应迟钝了一些，但好在心安，最后一定还有补涨机会，而在此期间，我的成本优势已经拿到了！
1701667756# #大半天了就这点波动，先把人心震得跟豆腐馅儿似的，然后再加大波动，基本上该割的就得割了。哎，多数人的命运呀
1701531334# #普通人一生的追求——
1687241594# #是的，我当初买了很多中兴通讯，可以说是我的第一持仓。但是如今我不觉得可惜，那时候动不动就被美国拎出来制裁一下，造成大跌。本身中兴就是散户聚集地，股性较死。换做你是我，在当初还有些钱挣的时候，你跑不跑？我记得我当初34—35之前的次高峰卖掉的，躲避了后面的跌破20。跌到20后，觉得估值很低
1693924143# #今天的收评还是一个三分钟视频，等我啊，不见不散，不见不睡嘻嘻吃瓜可爱
1688258532# #刘纪鹏建议：大股东及关联方减持必须在上市后的一个十年连续盈利，方可按规减持！
1702968407# #先五连阳，后五连阴允悲
1688654912# #我不认为所有的下跌都是风险，如果外围股市能帮助我们走完调整全程，帮我们快速补缺探底，那这样也算功德一件！祝福A股，晚安艾瑞万～
1703925343# #好的，知道了嘻嘻
1700148139# #没人疼就去爬山，爬完可以让你浑身疼
1688452656# #14:36:27【国家发改委主任：巩固优势产业领先地位多措并举优化石化、汽车、集成电路等重大生产力布局】财联社7月4日电，国家发展改革委主任郑栅洁在《求是》发表署名文章《加快建设以实体经济为支撑的现代化产业体系》。文章指出，巩固优势产业领先地位。改造提升传统产业，推广先进适用技术，推进重
1696659475# #快开盘啦，时间过得可真快！该做的事，该看的书，想吃的东西，都还没完成呢，假期余额就要没了。不过想想金秋十月，还是能让我高兴一下的。
1690547102# #转：2023上半年中国汽车出口共计234万辆，强的批爆！。●今年中国汽车出口铁定世界第一了，预计全年总量接近500万辆，碾压德国、日本。●今年6个月的出口，干完了去年9个月的量。●汽车出口均价从去年的1.8万美元，提升到2023年的2.0万美元，量价双飞。●去年中国汽车出口已经是全球NO.2，总量达
1703583596# #该来的终究要来【券商落地“限售股不得融券”新规要求客户修订合同或签署承诺书】财联社12月26日电，今日有传闻称，有券商通知客户“限售股不得融券”，并被视为最新规定。实情如何？据财联社记者了解，根据10月份沪深交易所发布的《关于优化融券交易和转融通证券出借交易相关安排的通知》要求，券商
1703056104# #人永远只能虑在当下！如果未来五年之内12000点成真，个个赚了好几倍，再看现在，谁计较这点波动，谁自己都会觉得自己现在的所作所为是煞笔。亏钱的感受并不美好，但欲戴皇冠，必受其重。先赔得起，才赚得起，想精准抄底的人，好好看看，那么多牛逼的人最终账户是否是最牛逼的。。。腐烂发臭的食物我们一
1702794068# #2024年A股有望震荡上行，机构关注AI、医药结构性机会。平安基金研究中心执行总经理张晓泉表示，从产业趋势来看，AI大概率是未来30年科技革命的引擎，今年出现的通用型人工智能成为操作系统级别的创新，各行各业可以依赖这个操作系统对自己的行业进行新一轮的科技升级，在AI的推动下，不管是自动驾驶、机
1703556070# #天天文火炖指数，哈哈，是煎是熬还是煎熬😩。。地量都是不喜欢的，就这样炖，地量终见地价。。。大家担心的是买盘不足，被情绪短期突然大A杀的问题。。。我看专家这么聪明，我还是选择躺平为好。。。因为，如果不杀呢，或杀不到2800呢？守最低价的压力，相当大！
1694758599# #这两天，总是被逼问国庆节前后，还敢看3400点吗？。。答：2010年国庆前拼命挖坑，国庆后连续暴涨半个月，至今仍历历在目。亦如今我心之所向及所想！
1689932911# #仁义无法保证你在战争中获胜，但可以让你走得更长远，哪个朝代不是因为不仁义而亡的呢？
1692237590# #好久以来，看多都心有顾虑，今天终于无忧了，放心吧，行情无碍，大胆做多！看跌的大喇叭形至今总算走完了（很郑重地讲出这句话，其间一直没讲过，也没动摇过），下半年继续新高可期！本帖值一千个赞！
1693185773# #明摆着裂开
1697347841# #京东当当淘宝上买书的小伙伴们，陆续开始到货了，麻烦积极给个好评。周末啦，可以好好学习啦，觉得对你有触动的部分，可以发出来，艾特我，也可以发在超话里。当然，还需要签名版的可以继续找我，看置顶博文！我临走前，多签了一百本在我桌子上，周一可发货嘻嘻
1692868741# #今天我把二审二校后我改完的书稿又交上去了，配图全部补完，所有疑问答清晰，又补了些内容。觉得真是个完整成熟的作品了，还是非常激动的。遗憾的是，书名还没想好，要简单明了型的。这一次，新书就真的可以开始倒计时了！倒计时一个月左右吧，希望到时可以在3400点发布！
1687767201# #没有一个人告诉我，这种下跌是“宋茜”（送钱）行情！允悲
1694657829# #【德芙官宣与茅台合作的酒心巧克力将于9月16日上市】9月14日上午，德芙官方微博宣布，与茅台合作的酒心巧克力将于9月16日上市。笑cry裂开允悲
1696915047# #浙江国祥的事闹的，我迟迟没吭声，是我觉得我一支声，没领会我意思会立刻就骂我！。。虽然暂停上市了，但是官媒的表态，应该还是会坚持上市！。。该继续骂吗？我想表明的态度是，注册制的本质是将一切交给市场，IPO是宽进严管！。。至于国详到底是不是从家用空调转向商用、工业，我们作为一介小散，哪里搞得
1689645954# #现在的万润让我吐血，我当时就想等价格再低一点允悲
1703215627# #我还有点心脑血管药，感觉正式见底了。之前二十厘米减过。
1700740085# #忍不住发一下这张照片，实在是“红”星高照“红”运当头！很是吉祥如意～祝愿股市大涨，大家大赚～
1699069578# #对我个人影响事小，对他个人和对祖国影响事大。如果像他这种思维，看一千本盗版书也炒不好股，如果中国人大部分是这种思维，没有版权意识，没有法律意识，也无法挑战成功大漂亮
1700884081# #今年不准卖惨，明年不准炫富嘻嘻
1695684059# #证券日报：两方面因素支持外资上调中国经济增长预期。。文章称，持续回暖的经济数据，不仅提振了国内投资者的信心，也进一步增强了国际金融机构对中国经济的信心。从当前全球经济走势来看，外资金融机构对中国经济回升向好的信心主要来自两方面。一是中国经济长期向好的趋势没有改变，中国经济韧性强、潜
1697112206# #我刚忽发奇想，有些喷子会不会明着骂我，但是偷偷买本我的最低折扣的书，在家偷偷学啊笑cry
1699026184# #很久没联系的朋友突然给你发消息，无非就三件事:结婚、借钱、砍一刀。
1694746639# #我弄死你允悲允悲允悲
1691803973# #南都物业（603506）公告，2023年2月9日，公司使用闲置自有资金3,000万元购买了中融-汇聚金1号货币基金集合资金信托计划，产品期限自2023年2月9日至2023年8月8日。截至本公告披露日，公司尚未收到汇聚金1号本金及投资收益。公司正在积极联系各相关方，督促中融信托尽快向公司兑付投资本金及收益，尽最大
1702471241# #跌了就来碗襄阳牛杂面，没什么大不了。天塌不下来！
1692025601# #这几天奋力改书稿，其中最难的是画配图，想法是我的，没法让别人画，我只能靠手绘，难度不小。到时你们看到的配图就知道都是我构想出来的就行了。人精力有限，今晚收评的内容其实都表现在白天的微博里了，就不赘述了啊！
1695176944# #如果听某些人的，要空仓，要避险，我如何享受券商的直线拉升呢允悲
1701321306# #其实大家叨来叨去，不就是指数没涨吗？要说跌，说眼下有多大风险，我真心不觉得。你们自己也问问自己的内心，现在是该恐惧还是该贪婪？就说现在这一刻！三千点边上。国破山河在，别说只是个三千点了！对于未来十年，我认为我们正处于历史性低点处！
1703298786# #美国为什么鲜有直播带货？我们可以跟进吗？
1688964771# #为啥一直都是3200？？？
1688789171# #哦！
1694097567# #市场之所以连续下跌，护盘不力，正是因为下跌空间实在是太有限了，才只能采取这种方式让你恐惧、就范。其实价量关系非常正常，经济也正在政策支持中由上游向下游传导，股市的工具箱仍在开启中，一旦开启主升浪就不会回头！最后提到了我新书的进程！
1699252739# #大盘连续下跌的时候，心里真的无惧，甚至有些窃喜。每一次下跌利用好，可以更快创新高，跑赢指数。这指数还在3000点一线，咱基金都要奔新高而去了嘻嘻嘻嘻嘻嘻
1703056959# #我最近已经极大减少谈股票了，刻意的，也是无话可说不想说。大观点早摆出来了，我不需要改变。目前行情拉锯，对我未来长期观点是更有利的。否极泰来！没有否极，泰来就来不了！这是注定的。我的话你信就信，不信就不信，我根本不在乎。至于吸引眼球为卖那几本破书？别太看得起书了！指望这个我早饿死了
1704104118# #胡锡进：股市积累了不少从熊转牛的实在条件
1691384424# #佛系的投资策略适合炒股票赚钱，佛系的生活适合当和尚打光棍儿允悲
1703043100# #请你一定相信，今年再难你都不是一事无成的，你至少实现了一千次支付成功允悲
1696567116# #路边社又在发路边新闻了……
1699450095# #用心写写改改弄了三年，我又不是菜瓜，我的基金可以为我验证，我手写我心，是一片无私写作奉献的赤子之心哈哈哈哈，没吹太过吧，吹过了你们使个眼色
1689384837# #你个假粉丝允悲
1694765753# #财政部：1-8月证券交易印花税收入同比下降29%。
1694924895# #制造芯片上的技术突破，这次还是非常提振中国人志气的，中美之间狠狠撕开了一道口子，雷蒙多这次访华态度都软了许多。
1700229491# #今天收评就一句话：周末利好预期可以拉满。人民币汇率先表现！下周A股争取当表演艺术家！
1703255831# #徐锦江啊徐锦江，炒股炒成了卖艺又卖身。再给大家讲个关于徐锦江的小故事，他跟他老婆结婚前，就见过三次面，加起来也就十分钟，连演一次床上戏的时间都比见面时间长，就这样把自己“嫁”出去了。对了，徐锦江还是个画家。
1703224859# #全国各省第一网红这粉丝数的含金量都不高吧。。（安徽）疯狂小杨哥：粉丝9999万+。（湖北）张大仙：粉丝4254万。（湖南）祝晓晗：粉丝5287万。（贵州）多余和毛毛姐：粉丝3201万。（广西）陈三废姐弟：粉丝3578万。（江西）大表哥vlog：粉丝2225万。（广东）毒舌电影：粉丝6195万。（海南）刘思瑶nice：粉丝210
1688565593# #今日收评：再扯很多有的没的就很没意思了，得靠市场自己走出来。既然市场选择了磨叽，磨你心性，咱也只能奉陪！目前还是喇叭结构，我也无法说出花来。看这价量关系只能还是继续磨。就板块而言，白天说了氢能源，晚上还是想说创新药。对于有消息开始做加持的创新药板块，我觉得后面的修复行情不容小觑
1695878260# #当当网上，投资理财新书榜，目前排第七——
1688705512# #呕吐物入肺，窒息而死，这太令人遗憾了，本来有机会抢救成功的
1703085633# #都说辟谣了，可是你们也知道，现在辟谣这事比谣言更不靠谱。实情如此，你们自行论断。反正这个节点，也不差这点消息了
1690898166# #今日收评：连续两天，大盘价量涨跌关系出现不太好的信号，放量滞涨，指数进入回调小周期。细数板块，券商也是同步了指数的信号，今天无奈进行了减仓，明天如冲高继续减，未来换一两只券商股也有可能，主要是到手的利润不想回吐，我的基金奋力冲击大涨中，实在不想其拖累净值。而且券商里也有我曾经的老
1689649467# #我还羡慕你们呢。你们的钱数是固定的，实在不行自己还可以用工资补充流动性，我行吗？你们以为眼下行情是赎回多还是新认购基金的多？我前后都有应对，比个人操作其实难度大，但我还是一如既往地安抚你们
1699066028# #证券股利好频出，这个国字辈的定增等待了那么久，终于落地了，扬帆起航正当时！…。。PGM：刘德华—今天～～～
1690510469# #今天证券独领风骚，但显然还不够骚，让消费类的纺织家居给抢了些风头。大盘也没红起来，考虑到处于震荡调整周期中，可以理解。ps：大消费也是可以的。医疗内心的os：我不做大哥好多年，我只想好好涨一回！
1688731556# #本周基金小红，但还是提不起劲。出来看看开心麻花的剧，透透气，散散心～交易日我开导你们，周末我自我排解鲜花鲜花鲜花
1699586969# #那当然，因为我所有的努力，都在告诉你，当下“我觉得”，向两种规律，向投资本质看齐！你做得越好，赚得越长久！
1694101816# #深圳大暴雨，有些地方水深齐腰，淹了好多车，大家要小心，人身安全第一。龙岗，挺住！
1701648078# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1692327764# #声明一下：我没有说过海通发展，海字诀只是巧合，只限定券商股，与我无关。在我眼里一是一，二是二，这份“牛逼”我不背！允悲
1697206797# #转发微博
1693521682# #股票群就不搞了，但书出来后可能搞个超话，大家在超话里一起长期交流投资心得、读书心得二哈
1699407176# #真tmd贱！
1693558926# #朦胧期最美思考思考思考
1698729339# #允悲允悲允悲龙字辈迎接龙年。。PGM：龙拳～
1703642222# #我爱唱，朋友别哭允悲
1696859452# #A股十月首秀，虽然没有开门红，但是走势不错，预示十月是大赚的一个月，就是不能急。一急就容易拜倒在“大长腿”之下！
1704023256# #云南菌菇火锅，汤的味道是很赞滴
1690683944# #中信证券涨停一般意味着两件事：牛来了，or牛走了！牛来了又有两种情况，先挖坑or直接开启主升浪。这次我认为很可能会先挖坑！每次挖坑周期又是按两三个月为一周期的，所以大阳初来的时候，我说我不喜欢这样的暴力阳线，下面缺口分明就差不到1%就补上了。不过换个角度想，多震荡些时日，明年行情会越发
1694952650# #三季度中国经济即将收官，新华社发布重磅文章《中国经济大循环观察》
1695958114# #谢谢花老师帮忙转发支持作揖
1695787764# #今晚八点半，准时直播哈～。。收到打个666
1690512906# #券商这会子愈发骚得厉害了允悲
1697344274# #读万卷书，行万里路。你好，雷峰塔，我来了嘻嘻嘻嘻嘻嘻
1700737182# #成都瓜串串，味道不错，就是🥵
1688447515# #大型国有银行为实体经济助力！
1700204679# #2023年第十三届哥伦比亚大学中国商业论坛。。李录：现在是布局中国的很好时机，也是做价值投资的很好的市场。。。中国已经成为了全世界增长速度最快的消费者市场，以及全球最大的消费市场，而且这种趋势在未来的几十年还会持续。2022年中国零售的规模已达6万亿美元左右，成为全世界最大的零售国（美国是5.5
1694856058# #真香定律！
1703333003# #【商务部原副部长：如不投资中国，外资肠子都要悔青】据报道，商务部原副部长魏建国近日表示，中国经济的三大优势有望持续帮助中国抵御“脱钩断链”风险。第一，中国有着全球最完整、上下游密切衔接的制造业产业链，制造成本低；第二，中国在数字经济和高科技技术发展方面已经与世界各国做到了“你中有
1699929544# #周一和上周五稳住，实际上走势就没太有问题。今上午只是小涨，但已属于强势震荡了。就是权重们还没配合共舞！但不怕，趋势既定，时间待定而已！
