1703755378# #繁花。玲子收阿宝天价饭钱真相终于找到了！汪小姐成最大牺牲品
1702307394# #《一念关山》。爱徒遭到刺杀，如意丢下醋坛子老公，易容独闯朱衣卫为其报仇，最后淡定离开
1701954738# #《一念关山》。疯批李同光逼迫琉璃把女主变成师父的模样，让她穿朱衣卫的衣服，还要教她武功&nbsp;，疯了，真的疯了
1703037052# #《老九门》。当年就是为了一个看男主和女主结果看了一整剧男主去那个黑漆漆的墓洞
1701674734# #《无价之宝》。张译，知父莫若女，我的小棉袄漏风又漏雨允悲允悲该说不说鸡蛋是你最后的倔强哈哈哈哈
1701742231# #《我的恶魔》。长生不老的冷血恶魔遇上腹黑狡猾的财阀千金，剧情设定真的好带感！
1702270495# #白敬亭，宋轶。父亲不知道女儿对虾过敏，还说特意给她做的，顾九思就把除了虾以外的菜都夹给她，她说女孩子没有家的，他就对她说回家！以后我保护你！
1702830261# #《一念关山》。在手下面前努力说着没关系，可背后却抱着如意的“遗物”痛哭！他去找杨盈其实也是不相信如意真的没了吧？幸亏他去了，不然他就错过如意了…
1704206611# #一念关山hurtending！坟头挨坟头，地府HE！一念关山，你在演一种很新的he！
1702174380# #《甄嬛传》。那些你没注意的甄嬛传！是不是惊呆了小伙伴笑cry笑cry
1702601609# #《三个少年》。第二季第六期【3】
1702537250# #《鸣龙少年》。“因为程雨杉跟李燃的鼎力支持再加上禹洋自身模拟成绩优异他正式加入十一班”
1702475093# #《鸣龙少年》。鸣龙少年第六集上，抓紧时间看，看完就删允悲
1702481592# #因雪而来，乘雪而走，她应该是真的很喜欢雪吧！。周海媚在最爱的初雪时去………..
1702174295# #《一念关山》。如意怀疑宁远舟做过男宠，但是看宁堂主的表情，貌似是真的呦哈哈哈哈
1696760051# #小时候看《唐伯虎点秋香》时为什么会觉得秋香最好看？
1703809306# #鸣龙少年沈耀发现抑郁药瓶被桑夏动过，阴暗爬行终于窥见天光，李燃暗恋程雨珊不敢说，江晴朗选择高考结束表白程雨珊，雷鸣被催债要卖父亲房子
1703864615# #神隐凤皇可愿纳我为夫！。凤隐:不愿。元启:为什么？。你你杀过我笑cry笑cry笑cry
1703480691# #《一念关山》。“dei～不准对孤和杜大人无礼哦~”。哈哈哈哈哈哈哈哈，公主好可爱😍只有我觉得公主说这句话的时候很可爱吗？爱你
1701658932# #《赤道》。靓模鼻祖文咏珊又美又飒，格斗术无敌！救命，她真的长的很好看还有她这个打戏真的是掉打现在的一大片哇哇哇
1703345316# #《一念关山》。女主刘诗诗：主打一个去父留子！！！
1702860977# #《一念关山》。一念关山第三十五集预告，孙朗这是没了😔
1701441070# #刘诗诗饰演的任如意真的好会哦……。当美女杀手学会欲擒故纵后，敢问哪个男人能顶得住送花花送花花送花花
1701405121# #锖青磁的声音太酥了，除了青春悸动的感觉，。现在满脑子都是《很想很想你》的猪肚鸡，花蛤。咖喱牛肉粉丝……肿么办？？？
1701858396# #《一念关山》。元禄惨死，小公主彻底疯了！真的被这be感狠狠虐到了
1702391317# #《鸣龙少年》。老师的一番话，终于让妈宝男第一次做出了反抗
1696760251# #超能摄影阳阳删除任嘉伦相关。任嘉伦方告黑取证很有效果，四大狗仔均已辟谣。。超能摄影阳阳删除任嘉伦相关。张小寒已删漫画。卓伟视频连线否认。懂瓜呱直播和发博文辟谣。。支持任嘉伦告黑
1701960771# #《小满生活》。小满生活第三十二集中，我看这集总感觉是这个秘书捣的鬼呀挖鼻挖鼻挖鼻
1702345012# #《一念关山》。虐哭了！杨盈第一次懵懵懂懂告白就被元禄“婉拒”了
1702566385# #《一念关山》。梧帝用出卖妹妹，和雪冤诏威xie阿盈和宁远舟，不救自己就同归于尽，众人能计划强攻塔
1703670744# #《鸣龙少年》。十一班的五个人治愈了雷家父子俩！总之我接受不了这样的父亲，再爱也无法原谅。
1702431470# #《一念关山》。杜大人虽然胆小但是忠君爱国极其疼爱公主杨盈
1702302588# #《一念关山》。阿盈是团宠，十三又是团欺！每次看到媚娘打了他一巴掌的时候，都很解气！
1701442308# #宁远舟要和如意生孩子咯！如意回归，宁远舟不在装了，直接表明愿意和如意生猴送花花送花花哇偶，远舟兄要不还我试试？你好好休息休息色色色
1702216848# #《一念关山》。李同光成为摄政王携子登基，晤帝被李同光解决，细节：穿的都是丧服，身份暴露回到晤国当女帝，李同光如意洞房花烛，宁远舟抢亲成功，结局：李同光如意注定be
1701616902# #折腰这个妆造真的蛮用心的，而且宋祖儿很适合小乔，你们觉得呢？
1702042720# #《很想很想你》。很想很想你第十六集上，救命……难道就我一人一直在傻笑吗？？？
1703776885# #鸣龙少年雷鸣漏出腰间伤疤，程雨杉当场泪目，李燃禹洋鞠躬认错
1701530059# #《一念关山》。最终元禄也没有活过二十岁，倒在了小公主的怀里，编剧啊，你没有心这么好的少年郎，为什么要让他注定活不过二十啊泪
1703652249# #《鸣龙少年》。11班重新开始，雷鸣重新归来哇哇哇
1703639663# #《她们的名字》。实习生女孩在公司被同事欺负，不料女孩背景不是一般人，放现实早被开了，还轮得到她在这大摇大摆
1703033185# #《一念关山》。如意远舟那些没用的默契🤣🤣那一脚好帅，该说不说这一脚还得宁哥来
1703777424# #鸣龙少年。雷鸣抑郁病发险辞职，11班上演暖心救赎，揭开背后真相
1703122663# #《鸣龙少年》。不起眼的大妈竟然是顶尖历史老师，雷老师为11班定制另类教学，学渣集体逆袭全校第一，校长都惊呆了
1701611804# #《一念关山》。宁远舟竟然不会哄女孩子，都把如意气走了怎么办&nbsp;允悲允悲允悲
1703772702# #《鸣龙少年》。周礼轩帮李燃怒打周父，毁其电脑删除视频，程雨衫傻眼
1702043512# #《一念关山》。一念关山第二十一集上，咱就是说十三，你啥都知道你咋那么懂女人👩
1702863487# #倪妮周雨彤体面周雨彤倪妮同框自拍，果然美女的朋友都是美女色色
1702128730# #《很想很想你》。情侣旅游被迫分开住，没想到女友的闺蜜是懂人情世故的笑cry笑cry
1702341800# #《鸣龙少年》。鸣龙少年第四集中，现实学校心理老师都是摆设，没有这位女老师的十分之一好！你们认同吗？
1702905085# #《与恶魔有约》。为了你，我愿意放弃一切真的哭死我女主为了男主放弃了自己复仇的机会大哭
1701690816# #《一念关山》。一念关山第十八集下，任如意之前以为李同光只是她的小徒弟鹫儿，但后来李同光得知任如意长得像他曾经的师父任辛，就疯狂地迷恋上了她……….
1703816123# #鸣龙少年继父的报应终于来了，李燃破解手机，程母一招送入狱
1703088016# #《一念关山》。搞不明白钱昭为什么要拿这么重的剑，是为了压制自己体内的洪荒之力吗？疑问
1702020345# #《很想很想你》。我不粉檀健次但我感觉这个电视剧演的真是太炸裂了，一言不合就……….艾玛太会演了
1703601883# #神隐。神隐第十五集下，阿音给兵器洗尘完毕，便在仙宫中转悠，功夫不负苦心人，很快她就看到了古晋，并给古晋送去了绿豆糕。古晋在品尝绿豆糕时，阿音主动向他表白，她出生就和古晋在一起，她喜欢他，一刻也不想和他分开。鸿奕经过一段时间的修炼，终于找到了战胜御风长老的办法，御风长老便封他为司
1703985560# #《我们的新时代》。打是疼骂是爱，揍出来的感情，青梅竹马妥妥妻管严，白敬亭，谭松韵
1702654651# #《一念关山》。大结局宁远舟病逝，临终说出一个秘密，任如意带娃嫁给李同光
1701574030# #《三大队》。一个本应幸福的家庭毁于两个人渣，6年过去，坏人还在逍遥法外！最可怕的是根据现实改编，事实上，残酷的事情很多，我们无助、无奈、无能为力抱抱抱抱
1702476160# #《花儿与少年》。花儿与少年丝路季第八期4，网友说这俩小伙偶像包袱太重！你们看着呢？
1703911231# #《神隐》。狐族太子误入九渊，封印千年的青霖趁机逃出，青霖能否重塑三界?
1703077450# #董宇辉去辉化东方甄选再无董宇辉，宇辉带走了仁义，留下了利益，深深一拜，拜别了过去，也拜别了是非
1702955761# #《鸣龙少年》。当年语文老师要是教这个我都感觉我语文无敌了……山有木兮，木有枝，心悦君兮，君不知
1703733751# #鸣龙少年。鸣龙少年：雷鸣身世曝光，竟是高校长和致想老总亲生儿子，结局太爽了
1702475809# #《花儿与少年》。花儿与少年丝路季第八期2，这俩人儿，晚上踩点儿走丢了，早上大半夜起来现跑出去在公园长椅上吃早饭，结果踩错了然后回来开车去看日出……全是乐子，最后看了俩蛋黄儿哈哈哈哈
1701851528# #《一念关山》。李同光被化妆术给骗了，连师父都不认得&nbsp;
1703811746# #三大队赵明甫真面目曝光，绑架桐桐灭口刘文芳，简直太惊悚
1702433131# #《一念关山》。如意教出来的小公主就是像如意
1703827729# #三大队怪不得程兵要娶王苗苗，原来王大勇想和他联姻，看哭结局
1704248244# #鸣龙少年。结局桑夏下跪求婚雷鸣，十一班激情开麦，婚礼大闹洞房
1702254320# #《一念关山》。一念关山第二十八集预告，不会是让如意嫁给他才同意。所以才有大婚的场景吧？
1703778546# #鸣龙少年雷鸣骂人意外忘词，瞎编一句火爆全网，李燃都笑出猪叫
1702654771# #《一念关山》。原来杨盈怀着元禄的孩子成为女帝，杜长史才是幕后推手
1701659238# #《小满生活》。小满生活第二十五集预告！还说不说这女的这么讨厌呢衰
1702629670# #《一念关山》。宁远舟和任如意成亲，于十三最后入赘沙西部和初月再一起。那几只蝴蝶应该是元禄、钱昭和孙朗吧大哭大哭
1702859881# #《一念关山》。一念关山第三十四集中，我记得之前刷到过说李同光强娶如意嘞，是被删掉了吗？
1701574540# #《一念关山》。原来金媚娘是女主以前的手下，五年前为了相助女主逃走，她被朱衣卫追殺，自己自毁容貌被人所救，才有今天的成就
1702303789# #《一念关山》。“一念关山”押韵挑战！
1702088830# #《一念关山》。这部剧真的好看，男女主的感情线设计得很新颖，而且智商都在线。剧中还设置了特效音，让整个氛围变得更轻松、更有趣。男女主的打戏拍的特别真实流畅，主人公的使命明确，为捍卫国家主权、拯救国家的王拼尽全力，明确提现了家国大义。
1703915182# #《三大队》。家家有本难念的经，程兵都看在眼里秦昊悬疑剧全员熟脸可惜你不看悬疑悬疑剧群像太好哭了悬疑剧人设扎心
1703430137# #《一念关山》。原来李同光抱着的是他和琉璃的孩子，琉璃早就成为了小侯爷的侍妾，过度想念师父喝了酒，回来把琉璃当成了他师父，跟琉璃有了夫妻之实，琉璃摔倒后肚子疼，救助及时保住了琉璃的孩子，最后琉璃坐马车的时候生下了宝宝，安帝驾崩后，扶持自己的孩子登基，自己做摄政王！
1704183788# #《三大队》。当心中千言万语无人可说时，他会不会后悔曾经做过的决定？
1702862954# #《鸣龙少年》。李燃惨遭学霸欺侮，十一班的同学得知后联手反击，直接教学霸重新做人
1702050469# #《一念关山》。刘诗诗宁远舟跟如意她说。悄悄话
1702627102# #《一念关山》。如意不管受多重的伤从未哭过，却在得知宁远舟没事后跑出去在没人的地方放肆大哭，这次她是真的害怕了啊，怕宁远舟会和义母皇后那样永远失去，其实如意内心很柔软啊，外表的坚强果敢都是做卅手习惯了
1702698147# #《一念关山》。我：苦果亦是果，如果宁远舟可以，那我们.......
1702036685# #《一念关山》。为救被不良人追杀的李同光被不良人重伤差点当场死亡，徒弟是好，但是师父也好，为什么都来说师父不好，师父不好怎么会受伤还赶回来见他一面，是徒弟怄气不肯见，不疼他怎么马上去救他
1702566523# #《一念关山》宁远舟：从没这么无语过，于十三这个朋友真的不能交
1701522021# #十二载巡遍七省追凶万里，三大队电影推荐根据真实案件改编！
1701659626# #《很想很想你》。很想很想你第十一集柠檬树上柠檬果，柠檬树下小炭火哈哈哈哈哈哈
1701562046# #声生不息家年华超前营业第一期1，快来看呀送花花送花花送花花
1703723795# #鸣龙少年程雨衫被迫辍学，李燃上门撑腰被继父暴打，雷鸣出手
1702339114# #最早爆料周海媚去世者已删除博文。12月11日网传周海媚离世：工作人员拒绝回应，最早爆料者已删除相关内容
1703563139# #三大队。三大队第十一集预告，我一直以为王大勇就是程兵前妻的现老公允悲允悲
1701690352# #《一念关山》。一念关山第十八集中，任如意李同光师徒终于见面，李同光努力向任如意介绍自己的样子看的我好想哭啊！！
1703479672# #《一念关山》。宁远舟：我不装了，我摊牌了，我是个绝世高手哈哈哈哈敌方小兵:有这实力还装死
1701518559# #青成生病没吻上，一起钓鱼没吻上，一起看电影也没吻上，这该怪谁&nbsp;？。很想很想你&nbsp;&nbsp;，檀健次赶快吻上，我都替你急哈哈哈哈
1703515168# #《三大队》。三大队第六集下，比亲兄弟还亲，看的我感动的稀里哗啦大哭这泪点太低
1701953114# #GQ盛典王一博来啦！红毯造型又是香奈儿承包了！GQ小船还是主编陪着这咖位真可以呀！
1702515789# #女杀手人狠话不多，电梯战神也不过如此！电梯战神就来打了个酱油……
1702434788# #《一念关山》。任如意颜值与武力值并存，宁远舟怎么会不喜欢
1704071547# #繁花《繁花》7，千年的狐狸万年的精，800个心眼子你第一，啊宝斗智李李汪，一场精彩绝伦的对手戏，不容错过哦&nbsp;
1701689308# #《一念关山》。预告细节！于十三蒙眼守城池！元禄死在公主怀里！话说为什么每次最后都只剩男女主笑cry笑cry
1702093174# #《一念关山》。宁远舟这英雄救美帅呆了，刘宇宁拨剑那一刻，真帅
1701748414# #《一念关山》。喂药那个我也震惊了第一次见这么喂药笑cry笑cry之前剧都得嘴对嘴喂药，要不就是一捏撅个嘴就喂进去，嘴自己合上嘞，这个还怪新奇的哈哈哈
1703697830# #神隐。红绸主动提亲凤隐，鸿奕怒闯清池宫，痛骂元启负心薄幸
1701960984# #《小满生活》。小满生活第三十二集下，一部家庭剧，讲述了三对夫妻的婚姻生活。该剧的角色选择非常符合人物形象，给人强烈的代入感，受到观众的关注和期待。剧情围绕着何嘉如的纪录片拍摄和购房名额问题展开，其中涉及到火灾疑云和投资纠纷。经过调查，怀疑宋骁是幕后主使，他为取悦方文斌而投资何嘉如
1702430735# #《一念关山》。还是改不了见一个爱一个的习惯，十二月男友，
1703174928# #《一念关山》。宁远舟和十三一起畅聊人生，咱就是不知道导演收这么多眼泪干啥用大哭
1702257602# #《鸣龙少年》。鸣龙少年第二集，剧情挺有意思，不逼你喝鸡汤，原来教育片也可以拍得这么有意思。
1701751095# #《当家小娘子种田文照进现实》。这婆婆不得了，竟然要儿媳复割肉救自己&nbsp;哈哈哈哈
1703865216# #脱轨上一秒压迫感十足，下一秒大小姐变打工妹你是懂反差的&nbsp;
1703687561# #《鸣龙少年》。雷鸣亲手砸了致想的招牌，重新点燃十一班的希望，冲啊
1703255551# #《一念关山》。明明相遇了，却冥冥中注定错过。明明是不甘，冥冥是无奈，一次错过就够伤心了，为什么还要刀两次
1703556431# #《三大队》。三大队第十集上，程兵住的就是这间屋子吧！！！
1701696141# #《很想很想你》。澄清一下，莫青成没谈过恋爱，不代表不会谈恋爱！你们觉得对吗？
1703569846# #鸣龙少年。鸣龙少年第十七集下，所以他看到了什么我上帝视角都没看到的，没一个人懂雷鸣吗？
1702475246# #《鸣龙少年》。鸣龙少年第六集中，你们期待下一集吗？酷
1703692462# #《鸣龙少年》。结局葛奶奶车祸离世，李燃机械大赛获奖，保送青北圆梦
1701527683# #很想很想你色两个人谈起恋爱来可太会了，女主撩人于无形，男主细节上体贴入微，妥妥的温柔系男友啊~
1701480234# #一念关山。“他是她养大的玫瑰，他却对她早生出情愫，爱入偏执…清冷克制的师傅vs偏执疯批的徒弟，真的很带感啊”突然有点磕疯批徒弟与清冷师傅这条感情线
1703519311# #《三大队》。三大队第八集上，王大勇应该就是他老婆的老公，你们觉得呢？
1702448590# #《一念关山》。没恋爱之前几乎都是互相伤害啊！😂两个人都是特务头子，互相试探，演的很棒赞特务哪那么容易相信人赞赞
1703432366# #《一念关山》。一分钱一分货，活都能干，但质量不好说，我现在知道他那个披风是干嘛的了……
1701401359# #谢娜也曾经抑郁过，真的不敢想像，这么活泼可爱漂亮的大美女产后也会抑郁，关键她还有张杰这么宠爱着，可想而知普通妈妈更加伟大，一般的妈妈肯定没法和谢娜相比，以后大家还是多多关照女生吧！她们真的很伟大啊！谢娜产后抑郁
1703834892# #神隐看到华姝千年时间里的经历，才明白其为何能二嫁给元启
1702260511# #《鸣龙少年》。鸣龙少年第三集上，建议学校播给学生看！你们觉得呢？
1701994482# #《一念关山》。这部剧里每个眼神都是戏，说的就是刘诗诗，你们赞同吗？
1702009288# #《一念关山》。安帝驾崩鹫儿携皇子登基，注意：穿的都是丧服，公主身份暴露，杨盈黑化称女帝，两国开战，晤帝被李同光解决，颁布圣旨，二皇子登基李同光辅佐朝政，李同光如意大婚，宁远舟抢亲成功，李同光如意注定be
1701475190# #一念关山第十四集预告。天啊‼️谁还没看过14集预告？这段bgm绝对封神赞中式的美学我简直爱的不要不要的了送花花送花花送花花
1701564768# #《一念关山》。大结局无人生还，钱昭孙朗遭毒害，于十三自毁双目战死！又是意难平结局太惨了于十三哭死我了大哭大哭
1701751160# #瞒天过海路演口碑电影瞒天过海路演口碑现阶段大家也都已经对《瞒天过海》产生无限的期待和遐想，很多观看过电影的朋友们也在纷纷表示“演技颠覆”“反转过瘾”，是值得一看的好电影！之前在看预告片的时候就对里面的内容很好奇，既然路演已经开启，那必不可少的就是我们为了作品而狂奔的身影！预售
1701673988# #《一念关山》。杀伐果断的杀手居然给人当丫鬟，这撒起娇来谁抵抗得了
1702993366# #《一念关山》。原来导演在大结局留下了这么多伏笔，如意说了远舟走了，我活着多孤单，所以她没有跑，殉情了
1702606665# #《一念关山》。一念关山第三十集预告，像极了玩了一夜网吧回家被爸妈审的情节哈哈哈哈
1703951436# #繁花原来李李来黄河路真实动机，才是阿宝身败名裂入狱的关键
1702605976# #《一念关山》。一念关山第二十八集下，不理解啊既然和于十三是官配为啥和鹫儿有这一段呢大哭大哭
1702632438# #刘浩存演技虽然刘浩存情商不高但颜值和演技是真的没得说大哭
1702536828# #《鸣龙少年》。“一整个震惊我没想到是沈耀偷拍禹洋然后发在学校表白墙上的禹洋真的太惨了本来就性格孤僻不受欢迎又因为穿红内裤被全校同学都知道了更加肆无忌惮地霸凌他”
1701689188# #《一念关山》。谁家女主遇险是被🐺咬醒的‼️谁家男主不仅长了嘴还长了脑‼️《一念关山》主打一个意想不到
1704070159# #《三大队》。这孩子是从小苦到大，好不容易抓住希望的苗头，转头就破灭了
1704210649# #繁花。看懂爷叔帮助梅萍这一段，才明白阿宝跌下神坛并非偶然
1703606390# #神隐。神隐第十八集下，妖王在林墨和狐王的陪同下，来到仙宫参加灵爻会，澜沣帝君先说出了自己的诚意，然后让人把护灵箭送给妖王，可还没等妖王拿到护灵箭，护灵箭就发生了爆炸，看到妖族的圣物被毁，妖王非常恼火，在狐王的推波助澜下，便要和仙界开战，澜沣帝君没有想到，结果会是这样，因为护灵
1701941573# #《一念关山》。前期越欢乐后期虐的越狠！于十三作为将军最终死得其
1703993324# #鸣龙少年告白乌龙事件桑夏以为自己被雷鸣当众表白可怕吗可怕的是什么
1702631799# #《很想很想你》。两人谈恋爱可太会了吧！顾声醉酒撩莫青成，莫青成温柔体贴照顾人！
1703122836# #《脱轨》。啊啊啊祁连！看你嘴硬到何时！这部剧场景，氛围，剧情都很好！再加上演员颜值，演技都在线，完美配合成就一部好剧
1702480990# #《一念关山》。宁远舟公主抱任如意花絮，看了谁不说一句氛围感绝了哇哇哇
1703480988# #《一念关山》。孙朗为了保护十三身中数箭，大哭大哭大哭大哭能不能不要这么惨，啥导演呀，看得心脏受不了
1702447901# #《一念关山》。宁大人一口气买了13块一口酥
1703900900# #王牌对王牌王牌对王牌第八季20231229期第八季第十期6，花花想挖坑啊笑cry笑cry到处都是坑啊
1704070766# #繁花阿宝破产后锒铛入狱，幕后黑手是爷叔和李李，汪小姐不敢信
1702697860# #《与恶魔有约》。恶魔可怜兮兮，变成了妻管严，不听老婆话，直接赶出家门
1701960539# #《小满生活》。小满生活第三十二集上。总感觉只烧了一份另一份偷偷运走了用来威胁方文彬
1702615429# #《一念关山》。梧帝可以不用救了，太自私了，杨盈和李同光联手，十三双眼受伤却还是坚守阵地！
1702698250# #鹿晗关晓彤吵架。两人吵架是在大马路上吵的吗？？？
1703817357# #繁花原来范总才是全剧最大的赢家，翻身迎娶汪小姐只是其一
1702216754# #《一念关山》。小侯爷为了见师傅已经疯了！这样的剧情非要不可吗捂脸说喜欢心疼这个徒弟真的无法理解！
1701738270# #《一念关山》。细节：会跳蝴玄舞；烤肉的时候只有安国人不放茱萸；公主辱骂安国皇后时，任辛直接打了公主一巴掌；与朱衣卫接头。种种迹象都让钱昭确定了任辛是安国朱衣卫的人
1702219824# #《很想很想你》。莫青成在舞台上唱完了他最后一首歌，宣布退圈，他在台上，台下无数粉丝围城一个星星⭐灯，大喊他的名字，他深深一鞠躬结束他的配音生涯，从此再也没有锖青磁，声声慢紧紧拥抱他，给他力量
1701516557# #锖青磁有女朋友是有道理的，这甜份我受不住了很想很想你
1702601363# #《三个少年》。第二季第六期【1】
1702515976# #《异人之下》。异人们过索道的方法五花八门唯独他的方法最独特笑喷了哈哈
1702174653# #《一念关山》。其实任辛骂他那一场是想让他成长起来！也不是看到两个心爱的人才开的大吧，她好像只看到宁远舟受伤了过来抱住她，然后宁远舟跟她说谁是首领，然后元禄丢了什么弹来着在李同光看不到的时候杀了那个首领，是这样的吧
1701528994# #《新闻女王》。小男友可以送花但不能做饭，潜台词你听懂了吗！
1704177267# #鸣龙少年没有老师上课怎么办？老雷三招教你如何高效自学。&nbsp;
1702738616# #《一念关山》。如意将安帝的罪行公布天下后，故意假死在同光手中，送他上青云路！自己和宁远舟远走高飞了，但同光感觉再次被抛弃了！
1703411116# #《三大队》。那身衣服脱下去心气就没了……
1702435316# #朱丹公开自己以前的朋友圈。原来以前的朱丹这么有趣的，很可爱！。。感觉朱丹要不是因为骚瑞和迪丽妈事件，应该早就成为国内主持一姐了吧。。。主持得了娱乐，主持得了晚会，还会拍戏。。。入围金鹰奖，不过现在最成功的就是嫁给了周一围吧，很幸福！
1701843835# #《一念关山》。不得不说媚娘是神助攻。让远舟跟如意感情更进一步！
1702045276# #任如意吃醋，万年初吻终于上线&nbsp;，快来追新剧&nbsp;&nbsp;一念关山加戏
1703258642# #《与恶魔有约》。救命啊，求着女主要牵手的恶魔男主简直不要太可爱，怎么会有这么搞笑的男主啊&nbsp;
1701574161# #《涉过愤怒的海》。闫妮7场哭戏，诠释失去女儿的极致痛苦！真的太扎心了泪泪泪泪
1703726847# #鸣龙少年。雷鸣被告千万解约费，高校出手一招解决，11班上岸
1701529816# #《与恶魔有约》。感受下双开门，宽肩窄腰，身高184，啧啧啧，只不过是他的T台罢了！！！内娱什么时候能懂，这种不油腻的演法，这种氛围感？
1702302907# #《一念关山》。我就想知道刘诗诗刘宇宁在拍戏的时候，这吻戏是真的吗？。我总感觉吴奇隆提着大刀来了哈哈哈哈哈哈
1701677585# #白敬亭宋轶不公开不公开就不公开吧！大家都知道的事！你们觉得呢？
1704092481# #漂洋过海再爱你宋轶新剧开播！！女孩子在外一定要注意安全！不要轻易相信陌生人，很有可能勿入某些组织
1702621431# #《一念关山》。太喜欢这种反差萌的女主人设了，我差点就信了她是弱不禁风
1701933512# #《与恶魔有约》。光是冲这个颜值就必须看！更何况还是恶魔×财阀女总裁、契约婚姻、先婚后爱呢😭你是凭实力刷到的哇哇
1703824760# #神隐终于明白鸿奕为何拒绝迎娶凤隐，宴爽怀孕只是原因之一
1701872407# #刘诗诗17-35岁颜值变化，你是从哪部剧认识她的呢？
1703724645# #鸣龙少年。葛奶奶病重住院，李燃搬进雷鸣老宅，意外发现雷父隐秘
1703476331# #《点燃我温暖你》。见过有心机的，没见过这么有心机的！哈哈哈这波操作雷人
1703944060# #脱轨祁连知道她不是原来的江晓媛后态度大变，开始上演替身文学😂
1703215599# #群星闪耀时首发预告质感李现任敏新剧悬念感拉满群星闪耀时首支预告。人物身份转变完整又吸引人，群星闪耀时首支预告已经来了性格的转变，自带着满满的故事感，双重身份所体现出的真挚情感在不知不觉中，大家的人生轨迹都在有着截然不同的转变剧中人亦是局中人每一个心路历程，有我们
1702050172# #《夺宝联盟》。这可能是最淡定的劫匪了，警察来了，都能纹丝不动！&nbsp;
1703041642# #《一念关山》。就喜欢如意逗宁远舟，撩宁远舟的场面，如意把宁远舟治的服服贴贴，小心脏慌慌
1703639030# #《一念关山》。一切感情破裂的原因都是因为不信任！
1702516124# #周海媚曾称有皱纹也可以很美周海媚年轻时颜值清纯甜美、美貌天仙曾是吕良伟、黎明的梦中情人，果然名不虚传。
1702831071# #《与恶魔有约》。女主小时候也很漂亮，长大也是一个样，果然没整的就是天然美
1701412817# #一念关山花絮，刘诗诗刘宇宁篝火舞会幕后花絮，横店“蹦迪”现场！哈哈哈哈哈哈
1703998525# #繁花一个是卖鱼的小贩，一个是上海滩大老板！陶陶和宝总关系好得，连老婆都羡慕！
1701937421# #《很想很想你》。这才是宠妻天花板吧，事事有回应，件件有着落，这样的双向奔赴太甜了
1702448285# #《一念关山》。孙郎喜欢一切毛绒绒的动物！所以也很疼可爱的小元禄和公主
1701692408# #《一念关山》。李同光任如意大婚这一天，宁远舟抢亲，宁远舟任如意结为夫妻。
1703347385# #《一念关山》。我乃朱衣卫昔日左使！归来仍是一个人能打的都没有
1701952603# #杨幂倪妮开嗑了。杨幂倪妮，求你俩了，咱仨一起过日子吧
1702831620# #《一念关山》。一念关山第三十三集上，就这么救出来了？感觉有点过于草率，从敌国皇城救一个人出来，是这么容易的吗？回梧国的路上严加盘查最好的结果也是绕路他国在回梧国，沿路都没关卡啊哈哈哈哈哈哈
1703686518# #《三大队》。三大队正式回归，兄弟们眼里有光了
1702104482# #《一念关山》。于·一惊一乍·十三允悲上一秒：我佛慈悲，下一秒：一箭一个小朋友
1703726712# #神隐大结局阿羽带着皖月的记忆出生！闲竹携神秘聘礼迎娶对方
1702433630# #《一念关山》。其他人都在大杀四方，我们的于十三大笑四方&nbsp;！
1702517561# #《一念关山》。这于十三越看越可爱😍只要有瓜吃的地方就会有于十三
1703034902# #《一念关山》。十三肯定很自责吧，他本来是想保护弟弟的，想把弟弟送离战场，他什么都想到了，却单独没想到元禄会为了送军报，赶了几千里的路，引发了心疾，最后死在了公主的怀里，他肯定自责死了大哭
1704242440# #《三大队》。结局程兵定居云南，思源毕业追随养老送终，刘文芳欣慰
1701855188# #《一念关山》。原来初贵妃这么惨爱而不得最后还为李同光挡剑牺牲了、李同光也失去了这个世上最爱他的人。
1701617274# #《折腰》。好想看折腰啊，非粉都想看的程度，真的只有宋祖儿可以演出那种娇滴滴美人的感觉
1703992185# #繁花李李今天帅炸了，被黄河路老板娘欺负，求阿宝相助，爷叔把香港大厨拉过来帮忙！李李赢半边天！
1703513071# #《三大队》。三大队第六集上，男人的委屈只能打掉牙往肚子里放！男人只能自己扛！
1703834943# #神隐看到青衣是帝眷的转世！才明白大泽山覆灭前为何拼死保护他
1704037885# #繁花女主被绿茶算计，宝总要替她证明。&nbsp;
1701736609# #《征途》。眼睁睁看着却无能为力，该是多么的无助与悲伤啊&nbsp;！英雄侠客都过不了这关，明知道结局还是放弃抵抗！刘邦那样的可以&nbsp;
1703982783# #鸣龙少年沈耀被送精神病院，接受治疗重回第一，桑老师怒骂沈父
1703209189# #《脱轨》。江晓媛发现冯瑞雪竟是自己老板，霍柏宇被祁连杀害&nbsp;
1702629178# #《一念关山》。初月撞见任如意李同光纠缠，两人大吵一架，不欢而散，初月真的喜欢上李同光了，后面又喜欢上于13
1703944896# #《神隐》。细节就是无论有没有情丝阿音在他心里永远排在第一位护她如命这谁能知道是不是对爱人的那种关系啊
1703683932# #《鸣龙少年》。雷鸣真的是个可怜虫，为了救治父亲放弃了自己的心血，努力的照顾着父亲，却还是没能走进父亲的心里
