1697810933# #加油努力
1703073532# #随便吧！反正本来就有粉丝说被骂的是theshy，theshy自己也不知道。对啊有些粉丝自己都不在意我们这种祸害凭什么在意？我们算个勾巴老粉，比不过爱磕cp的新粉一点，这个世界全是朋友就我们是敌人，都玩去吧！
1698591192# #喜欢🥰
1691566681# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1691753303# #我透了
1692414483# #woc王松！偶像致敬粉丝！
1698579526# #微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了微波寄你撞狗运了
1700393828# #那太好了，和我一起庆祝吧
1695818367# #我测我又要说出那三个字
1697812687# #事已至此，先吃点吧，都别饿着
1695713885# #要我说怪不得以前经常疑惑为什么东亚文学尤其是立本文学小本子一无是处的男主爱上了一尘不染的白花女主之后患得患失总是抑郁得到处无病呻吟工作也没有就是整天喝酒写信，结果就在某一天下雪了女主突然来信说你说月色好美我也这么觉得，我经常觉得可能是男主喝多了做梦做大头的呢。后来观摩到橙露之后才
1692009812# #录到了一点点
1698128699# #讲师作出重要指示：
1695825491# #是的！
1700742875# #那还不是他们先开始的？我们还能预防吗？如果你们早点把这个串子杀了我们还会吵得起来？真是搞笑，你们不是比流言蜚语先认识他？都把他了解的这么清楚了
1701154502# #我是不是给四圈家的吊灯太多好脸色看了让你们四圈家的灯杂都敢这么跳了，一群减除对着瓢杂屁都不敢放一个每天卑躬屈膝的像几条④鱼浑身散发着腥臭味，对我们倒是每天阴阳怪气怎么的这么想要我们的大鞭子抽上你们的大饼脸？那我会真的抽4你们
1699692184# #什么大招！！什么大招！！！世界上最完美的兰博大招！！！世界上最完美的兰博！！！！！
1700932928# #我玩撸手游的时候还可以骂队友菜，玩端游的时候会被队友骂菜，玩金铲铲的时候觉得自己很厉害，玩云顶的时候感觉自己像废物，是不是暗示我只能贴膜
1690119006# #丹÷你揩了这么多油能让这个小m女在比赛里过得舒服点吗
1700742397# #我也觉得，然后还特意以yskm为借口引流我们去骂xun，太可恨了，鸡杂真该死
1702628659# #sj我的蜙杂，你们④了哦，懂吗
1704367921# #程璐：一是太阳，二是锤子，三是什么。宝/蓝：三是没有吧。程璐：有三感觉很奇怪啊。笑死我了，懂的人自然懂这其中的笑料所在
1702485764# #wbg抖音两天掉粉20w发生什么事了，路人好震惊啊
1704468858# #服了橙露放歌四个人围着他鼓掌，我马轻轻地又享受了这种全场瞩目围着他转的状况
1699710091# #决赛加油！！
1702268857# #theshy转会期wbg俱乐部不干人事，纯出生，太恶心了
1700659407# #当我看到江城路惩戒跑车的时候，我就懂他一定是个很会玩打野的人微笑
1702737630# #我不知道什么时候嬷嬷已经遍布世界了，但是当我发现的时候，我已经身处其中
1693398990# #程璐遇到了粉丝，粉丝说carry他，程璐：“你是我粉丝我为什么要c你啊！”“不是你c我吗！”“一般不都是说我是你的粉丝我c你吗”。懂了吗不强的粉丝会被程璐嫌弃互粉
1699712518# #能不能别让粉丝网暴别人真可怕啊，但是你可能不会看，有这种粉丝真是不幸啊。
1700386150# #这个bp能打成这样，挺厉害了，后面加油努力
1702314895# #你们瞒着他签新上单的时候他在傻傻学中文在直播间问弹幕春季赛什么时候开赛他说想回中国想喝茶百道新品了他说地图怎么还不更新他对新版本表示很期待你们说他不想打了这就是最有人禽味的俱乐部
1700743179# #又给你磕到了允悲
1698922082# #全中文采访啊啊啊啊啊露露我爱你太可爱了么么么么么么么么么
1702723261# #勤奋好学江小鹿
1690440146# #米死
1693389028# #大小姐脾性，不想上班的怨气写在了脸上，又体现在游戏里可怜
1697269539# #看得冒粉红泡泡了，以前过的都是什么苦日子微笑
1697297285# #才发现你这么丑…好可爱，滚出去
1696068192# #谁在这里伺候太后，我真要笑了
1699959194# #叔叔你太i了我有点害怕
1698481786# #请g2无偿归还我们的对手nrg微笑
1702740825# #在青花鱼就是好看的不完结，完结的不咋好看
1698645560# #哎呦批50要扎小人了
1701689826# #需要你投票？疯了吧？有病？笑cry？？？？？？？癫了？？？
1689347866# #一直在看接受采访时露露的手，我舔我舔我舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔
1695771808# #开点！
1702905737# #想用f6打断奥恩回城没成功，然后撅嘴的露露被我发现了，坏女人阴险
1699860287# #没有别的意思，我是觉得lck比较团结，而且就热度来说是lck唯一t0，所以才说是太子，并不是代表他们有特权或者受到特殊待遇的意思，摊杂请放过我
1703182789# #抗出又饥渴了，等着找黑人大哥捅\菊\花了
1699954064# #怪不得我说有莫名其妙的人找过来，原来源头在你这里，真是欠打狗棍法教育了笑cry
1700733561# #最佳新秀啦，别尬黑，尽管就两个新人上单但是也是断层领先啦那我可要给xiaoxu投票噜
1702112416# #没事请宝宝们点进我主页看看，我会持续更新内场视频！就是不太清楚老师爱你请大家一起吃珠宝
1702125131# #最佳外援提名vcr。
1699628404# #生日快乐宝贝！
1700649084# #抱一抱抱一抱抱一抱
1699927614# #老种喃在玩什么cosplay呢
1700997286# #滚！谁和你们认识，你们都滚，蹭你麻痹，滚！我现在只想到处捅人，艹你们全+，我还做什么陈词啊，我直接简单的嘴臭，捞疲劳你们所有人全部似了！
1703249563# #哟！这不是觉得自己可以左右theshy退役，世界赛期间让theshy去带货，放假给theshy安排国内线下活动还不告诉他有谁也去，带头点赞自己旗下出轨♂和theshy的cp视频的安杰吗？你不会私下也跟着鞋垫管姜承録喊妈妈吧？
1701190115# #你是你似了的全价的尸体，滚！
1701690079# #今日笑话，瓢杂说我才不给小马投票。天呐把我吓死，小马差点就不能以四十多万的票差获得最受欢迎了，太恐怖了！这就是得罪瓢虫的下场！瓢虫甚至都不投票给小马，讲师你们就害怕去吧！
1702807227# #自印的店铺我推荐在p3，可以选镭射工艺，很好看。。前面两张是我自制的卡背，想用可以随便拿去，不商用就行。
1700730919# #从微博滚出去，这里是wbg的地盘，老赖队老赖粉丝都赶紧滚！
1692627821# #橙露的幕墙属性在狗熊大哥身上体现得淋漓尽致，感觉要一局爱上狗熊大哥了NO
1695959217# #最右在自我介绍
1702470292# #呃，我请问
1691754010# #随着露子的事业运回来，好像之前大家沉睡的抚慰之魂也随之归来
1702741565# #哎呦笑喷我了。“感觉你们两个人关系很好啊”。直接把所有人沉默一分钟啊啊啊啊啊啊啊啊啊啊啊啊啊
1691663432# #萌萌哒
1702113060# #谈到生日那天时摄像对准了我露，他的表情：
1699710073# #奖惩录别谦虚，现在你也是数学家努力
1700411560# #反黑组出动耶听我号令把举报了，让你们每天像个怨妇一样愤世嫉俗，太可恨！
1699814579# #我一直是很支持战狼的呀在这一点上
1701092866# #橙露说过最多的脏话都在这把游戏里了，包括但不限于“西八”“疯子”，爱听，多骂
1698915672# #前期自己对线优势一直被抓也稳住了，结果被打野带崩，要是我我绝对心态崩了…橙露啊橙露，只能靠你自己
1702123342# #虽然现在情况很复杂，但是大家请吃
1701017018# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1694423129# #大妈们你们在去年的昨天就已经去世了怎么还能上网啊？原来过了一周年纪念日尸体还能复活的吗吃惊
1702125658# #最受欢迎获奖全程
1689420063# #这位小姐姐，您，关注我，是什么意思呢微笑我看起来很和蔼吗微笑
1702385031# #theshy在wbg是顶薪待遇请大家参与choujiang，来看所谓的顶薪待遇真相
1700041697# #只有ts能说出的话：
1694867703# #边看手机边弹确实有点忙碌
1698567624# #达尔文要是今天看了wbg的比赛都会感动得直落泪这简直就是证明进化论的最好实例看队友如何从草履虫进化成人类
1691502742# #你精神闹钟人是吧，这么爱反思？微笑
1691750613# #我真喷了，xun看到程璐略过他还要主动伸手去握微笑
1699756363# #你们最大的福气就是，尽管参加两届世界赛都被奥恩送走，被教练哭着说我相信你明年一定会练出奥恩的但是两年后英雄池还是没有任何变化，可是♂宝只要在微博QQ发一些真性情的话，就有无数人不看比赛或者看了比赛也装瞎的跳出来说太有格局了这就是真性情我们老重需要这样的人这样的人是批捞的希望！。我们
1695869110# #分享图片
1692353544# #我有时候很佩服这些人的自信
1697813634# #啊啊啊啊啊啊背着手在哥旁边跟着走的时候也太可爱了露露，我下辈子也要长到一米八以上！
1702310862# #theshy转会期太阳TheShy我想休息一下看书WBG宣布TheShy离队
1702268115# #涵艺要求陆文俊曹他家少妇心陆文俊一发入魂涵艺
1697982122# #奖惩录在上面应接不暇了都快，结果解说说没人管双c双c疯狂输出，我测那能有人管吗，约德尔人快被围殴死了
1689995537# #你小子很有品味努力
1702125715# #最受欢迎获奖全程。
1694924992# #握草mywifi
1697815547# #真的没有人看到这段话会不泪目…谢谢哥，羞门🙏
1702790800# #多兰不是历史第一上单我是很不认可的
1700382237# #都到这一步了，已经没什么好说的了，只有两个字送给你们，加油
1698479027# #叹气一百八十次了
1695206320# #茶百道TheShy联名来咯！
1700742059# #不是啊，最开始的那个人就是xun杂啊，她特别真情实感地喜欢xun啊，就是那个k啥的
1702309598# #wbg宣布theshy离队wbg“彼阳的晚意”
1702216666# #饶是作为讲师，今天也允许他们大卖特卖，毕竟我们允不允许都阻止不了抱抱
1699813224# #有人会懂，我真的看了这个片段看了几十遍，真的是被爱环绕的我露…太美好了
1695780137# #茶百道theshy联名来咯来咯！
1689944416# #橙露加油努力
1691666391# #我老婆
1696075783# #尊嘟假嘟小妞终于原谅了真的出来给爷几个卖笑了，送礼物，启动！
1693228456# #“这真不是你教的吗”
1699893250# #这不summit吗
1690896731# #替wbg辅助粉丝接他们的梦中情上——blg上单
1702268744# #theshy转会期wbg彼阳的晚意
1697686081# #2023LPL夏季赛2023LPL我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1697722619# #blg又打jd啊啊啊啊啊啊啊啊我都要看腻了啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1698719862# #我说你们哪来的战队粉啊，京东和blg还可以说有战队粉，你李宁哪来的战队粉啊，还说以后只支持李宁，大哥大姐们你们不本来就是只支持自己喜欢的选手在的队吗，平常赢比赛也只夸自己选手尽力了都把队友当死人啊，现在义愤填膺好像说得多热忱一样，别演了你们真的爱演戏要不换个赛道演吧
1699955130# #人红是非多，到底哪个sb把我截出去不截头像id的，结果让一些抖m发现了我是国服艾斯艾慕大师纷纷到我这里求抽来了允悲允悲允悲
1697714090# #毋庸置疑
1696734724# #感觉奖惩录有点像魅魔了微笑我本来只打算点四杯的，毕竟实在喝不完，但是看到小卡之后我想下单十杯了，完完全全被蛊惑了微笑
1704262543# #臭鞋就是很丑啊，常人无法直视的丑，我看过一次之后不想再看第二次，他的脸比镜头上还黑十倍，细节来说更是不忍直视，我只能说说他是月球表面都是夸他了，实际上比那还严重一万倍，美女看过之后被提纯了不是很正常允悲允悲允悲
1703030519# #癫，超话里说谁都可以，粉丝为ts说话要被堵嘴，别人骂ts或者阴阳他都要被提倡？我测你们啊，你们有一个把他当人的？不都是当工具？
1697629553# #你的发言我喜欢，你的私信记得关
1689688449# #疯狂叫别人剪头发，剪了又说不好看，你们哪里来的爹味🙉🙉🙉
1702225541# #我马还在，但是wbg马没了，这就是我的自信
1699792140# #真笑喷了
1698589741# #还有上次有个傻逼偷偷截我的微博，投稿厕所，老子喊你喊了十万遍，把这个稿删了，中间你上线清了三次稿，就是死都不删，我叫别人一起求你删了，你才删，你特么的
1690984394# #猜猜最后哪边上单能赢呢微笑
1691499699# #好丑的出征服好米的露露
1692858592# #我坐在现场看最后一场送得义无反顾的洛都没破防呢你破防什么？顺带一说1-25是造谣哦，如果你再瞎编数据我就可要去把你们嫖♂的总死亡数全部加起来天天宣传咯🤣👉🏻
1698119206# #看了都哭了泪
1701443607# #尼玛什么饭圈狗，单推都说出来了🤣
1695712546# #这个微博的转发为什么不让我看，我很好奇，快让我看！我看不到转发的微博我都想删掉😩。
1699698660# #theshy，这就是你的舞台！！！
1699176682# #你们争一下第七第八第六名吧
1689347807# #不好意思小姐姐，下次你这个话可以留在微博上发，念出来还是有点微笑不好多说
1693240115# #解说杯S4我已为加油，让快乐多一点！
1703082004# #ts以为他匆忙收拾飞往老钟是为了和安杰跨年放烟花又共度良宵，结果发现良宵的时候还被安杰安插了一个臭鞋允悲。
1702547685# #来看这个老师爱你
1689346615# #顶级石头人。。。太顶级了。。。
1698918551# #每一条都让我笑得想死
1697716638# #我糙宝宝，好简单的快乐赢牛奶
1699787717# #这不是圣女谁是圣女
1691411852# #神的恩赐！程璐和小打野下去的时候互相搂腰抱一抱
1692702343# #我看一下你有多爱锅，你不骂这个你不是人懂吗？你不一视同仁你全➕就立刻包庇打call
1697515354# #有猪头
1700628869# #我们谁都欺负的呀，你有什么误解啊，你把你的同种族生物叫过来我们一起碾了，放心
1698580386# #原神启动
1700049679# #比赛服选用小熊做头像的可爱小露耶
1695370229# #哎呦小括号
1703071634# #全部出列
1702553097# #“我最近听了华为的手机很好啊”。不是，你，？拳拳爱郭心藏不住了吃惊
1700740003# #没威胁你啊你想太多吧，你这么喜欢鸡杂干嘛笑cry
1690984289# #妮蔻俗称小卡莉斯塔！
1701686801# #小女孩，可爱死了
1700728278# #别把你们气死了🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
1691636358# #EDG向TheShy道歉我说你们粉丝脑子发生了一点异变是吧？踩着你们大赛软脚虾edg进的世界赛，结果你们还威胁我们说“等着瞧你们世界赛打得怎么样”还让我们等着让我们小心点，不是？为什么不在冒泡赛威胁我们让我们别进世界赛啊，是不想还是不行啊？。虽然你们是放假了很了不起，但是你们队也有人还有
1697807107# #我们有一个特别大的优势就是队友需要游回去，而我们回家特别快笑哈哈
1694354776# #大姐我真是求你了，你这么关注僵尸又不敢把我们放出黑名单你到底是想咋样啊？爱是想触碰又不敢伸手是吧？谁和你在这里玩纯爱呢，欠僵尸骂就胆子大一点我们替天道做主看似你行不行啊挤眼为了让僵尸眼熟我把我写进你们的大名单交给批夹官方拉黑啊，我到现在还没被拉黑真的很没面子
1699511460# #来🈹惹
1695710114# #受人启发，想到了露露被哄骗的公式，在年仅17漂洋过海孑然一身踏上这片土地，历经过大同小异的舔狗、pua手段花样百出的各式男的、每天阴暗爬行的地雷男，不能说是身经百战也能说是历尽千帆🥲👈🏻然而到了最后花里胡哨的手段全部如浪潮一般消退，最后露露只会依靠上为他拎包陪他丢垃圾的可靠大肚
1690293599# #小哥哥们，你们？
1702635944# #我一直是徐姨娘和振宇的cpf啊
1701689778# #今天，又和某个河里的粉丝撕逼了，今天，瓢瓢又在跪舔石头，我看你好像要碎了，要不我爆爆你，把你掌盟投票发出来我帮你鉴定一下吧抱抱抱抱抱抱
1701696711# #什么意思，kpl报道了？
1696912901# #姨都不姨了，但是还有其他的姨出现微笑
1699177333# #（）说，等微波躺进四强，ln反而没进，微波粉丝不会岁月史书说微波比ln强吧，不好意思不用岁月史书，最水四强就是比最强八强牛嘞哈哈
1698921858# #哎呀，好像有的队伍真的要八强了，怎么办呢？本来我们的目标是达成臭八强就行了结果却一不小心拿了四强，但是有的队伍好像目标是冠军最后却只能拿到臭八强呢吃馕
1702790903# #你id更搞笑允悲允悲允悲
1691498671# #深渊
1699874831# #转发讲师姐姐别让我起好奇心了我真不想看彬老娘那肥柱样，别害我！
1689776212# #④🐒：有个工作你是心高气傲，不和我打那是生死难料
1702112244# #请吃，此珠宝现在一直在玩手机中
1691401182# #兰博单杀杰斯！！！
1700742102# #她鸡杂反串xun杂是吧？行吧，没事
1701192664# #把你掌盟投票记录发出来，然后开始跪求我们帮lwx投票，我们会赏你几个大嘴巴子
1699179797# #四点的比赛六点结束允悲唉！抽签！唉！硬实力二号种子！唉！八强！唉！
1702486563# #哥们你idc那啥就算了，后面的还是ouo，你还挺会一箭双雕的我嘞个豆这么聪明夸夸你好不好
1693382613# #谁让痘印在半夜给我推的狂依存症候群啊，看完人要傻掉了衰
1701095770# #当你一级团闪现帮助队友拿了一个人头，。表面上：哇一级团打赢了好开心。实际上：闪现都交了还不是我的人头，烦死了
1702444142# #喜欢假期被你发现～程璐是对的人～
1695974345# #叔叔们你们别死了泪泪泪
1698592665# #这些年的经历放在别人身上根本没有一个人能扛得过来，我问了几百年为什么他的运气这么差，一年比一年更差，但是从来没有过回答
1693752078# #笑死了怎么每一个我都历历在目
1702479043# #我敢说带着他的人绝对在享受带妹的快感，而且这还是顶级带妹体验，因为这个“妹”又厉害，还会提供情绪价值，一直说“谢谢”还会说“你好厉害～”别把那几个人给爽死🤗
1702578460# #完了，最近心情好起来了，想开始缺德了允悲清萌计划启动（不是）
1690114738# #冒泡赛了！！！
1697713886# #只要能抓露露，小龙大龙中塔基地都可以不要，这就是电竞魅魔的魅力吗努力
1698321573# #看了半天没人感谢是吧？我来！第一把感谢老艺术家的从容牛头尽显山崩于前面不改色的风度，第二把感谢老艺术家星妈靓丽无敌光芒普照峡谷的风采爱你爱你爱你感谢无需多言爱你爱你爱你
1698196933# #好心告诉你，我对公出没有一点耐心，别让我找到你，我立刻赶过来砍似你为民除害笑哈哈笑哈哈笑哈哈
1693065969# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1703104413# #都四点半了还不起床？大家都给我振作起来，我给大家唱首歌，少年自有少年狂！身似山河挺脊梁！。敢将日月再丈量！今朝唯我少年郎！
1695658685# #我测服了，和一个修杂聊天就爱上一个修杂😤👈🏻我不是同性爱谁是同性爱努力
1702567429# #有恶评，讲师选择默默刷屏过去👇🏻
1690118583# #yep
1696083749# #woc我开玩笑的啊真改了，我是懂露露的“露露是最好的”嗯嗯嗯嗯
1699777495# #哥们你？哪来的自信允悲赶紧把这个东西送出峡谷吧，真要红温了
1696578803# #萌萌，没睡醒的样子也萌萌
1693402980# #橙露：咖／萨，加油。橙露：他为什么打游戏啊！。橙露：他还有比赛打啊，哦～。嗯呐宝宝。短短几句话已经杀死了比赛，你真的很厉害
1701179813# #老母鸡锅♂味发言，让我考考你“你知道素质什么意思吗”。露露坚定地答“r....k素质太低！
1700288654# #劝小讲师们没事干的都来看拆卡，看到那种拆出shy普卡的都要恭喜但是拆到别人信标卡都无人在意的时候真的会爽死哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1701142665# #没事我们小码头中文不好不玩微博艾特看不到耶阴险，既然转发区可以直接艾特选手谩骂那我也来对
1690456147# #sry，高攀了
1699707027# #知道你想哭了！没事，今天是宝宝，可以哭
1695636320# #萌萌，什么时候开门可怜
1699097441# #说出一句至理名言：卖上单的队活该输
1701250471# #试新电脑的露露来来来
1702728099# #如果说平常江橙露的甜度是百分之八十，今天就是百分之两百，我快晕过去了
1702266150# #theshy转会期我投给了“是非常离谱的行为”~
1696398419# #除去我心中的永远真神legendsneverdie，近些年我最喜欢的撸相关歌曲必定是enemy
1695865548# #不知道别的，但是最开心的肯定是景东，双cc得这么突出脸都要笑烂了
1699712501# #能不能别让粉丝网暴别人真可怕啊，但是你可能不会看，有这种粉丝真是不幸啊。
1700567899# #我刚睡醒，就让我看到这个，我是在做梦吗
1695707962# #世界纷纷扰扰，和李俊相伴到老😆👈🏻
1700448776# #英雄联盟S13我已为WBG.TheShy加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的WBG.TheShy打call吧！
1698921765# #红色方连赢三把还说为什么一定要有一个四强？我只知道有的队伍真的要八强咯
1691050507# #那年今日，用我本人力证修杂并没有放过香草小果哥，放过的被我开除了微笑
1702112792# #喜欢
1702908756# #妈呀ts还问方舟有没有人带他，明知故问什么呢
1700658543# #分享图片
1693398702# #程璐：玩武器会变nc，谢谢武器，我玩了，会变厉害。谁给我做一下阅读理解呢我怎么听不懂微笑
1702431765# #有替补的也不是我马，你们猜是谁
1701082184# #有没有做程璐直播歌单的，推荐我收藏一下老师爱你
1699866195# #我对奠杂的态度一向是杀无赦的
1699981697# #原来你进了失敬失敬
