1688826310# #啊啊啊啊啊啊毛不易好可爱啊啊啊宝宝（雪碧海上日记，盛夏）
1690565051# #今天我们欢聚在这里，是为了庆祝消爹的六岁生日。我要敬你的父亲毛不易，感谢他，给我们带来这么牛逼的作品！我也发自内心地祝愿他心鲜花从此以后，和他期待的人生一样，永远真诚，始终热烈，然后一直发红！发紫！带飞户姐，走向辉煌！春游家族。
1690039214# #（打扰了）怎么语气也这么像猫不易啊泪
1690947809# #毛不易玱玹主题曲有你无你毛不易你很会唱嘛失望
1696090759# #谢谢陪在他身边的人
1704215478# #毛不易其实是特别特别从容的一个人。。一个马上要去医院当护士的小孩，走到今天靠的到底是什么？。。因为曾经穷苦，做着不喜欢的工作，“哀人所哀”的能力让他冲破大圈层，到达了很多人一辈子都达不到的高峰。。或许，又因为话太少而展现得不完整，被粗略地贴上不符合他的标签。。。世人想在他身上寻找，足够
1696214114# #好美泪
1687703240# #捡点老公。
1695494692# #毛不易写歌作词格局很大。。他往往看的很广想的多，心思柔软也宽容。我想这也是他既能捕获初中生，也能让七十的大爷流眼泪的原因。
1699190218# #能省一毛是一毛mby向全世界安利毛不易。会动的乖咪👐
1697295431# #一带一路巅峰之夜抱一抱
1697954058# #怪，太怪了。
1696502138# #好好好，宁可喜欢一个喜怒不形于色的人。也不要咋咋呼呼讲话不过脑子还尴尬的人
1698045482# #老师点评我的画:
1696394840# #你们是出去快活了，留我一人在家里放牛。
1692178576# #刚好听到了一首李健老师的歌~
1687665111# #2
1690699235# #亮哥。这一程陪到这儿啦
1700752939# #想到我的太婆。。。大概是个很温暖的中午，我牵着她从教堂走出来。。站到她身边的时候会很不习惯，我居然能比她高出这么多了。就慢慢的一起走到公交车站，就要告别了，她从身上摸出一颗薄荷糖给我。。。当时还是高三的学生，见到她的机会很少，见面的时间更短。所以我认真保留了这个见面的证据，好让记忆
1696692143# #群山座座，步步成长。
1690684938# #在下个风和日丽的日子，我们一定会再见面。今天你想说的话，就留给下一次见面吧。
1688563915# #这么开朗可爱的coco姐…港乐季带大家做操，在mxw教阿毛跳舞。不知道你在生活里也被这样折磨着。姐姐，……啊啊啊啊啊啊coco姐啊，，这是干嘛啊
1701956900# #看到张哥牵狗，。想到毛不易以后走红毯可以牵我们的长公主出来看书。。元宝算内娱出镜率最高的宝宝了吧。亲过小半个娱乐圈的e狗一只。
1695391306# #毛不易你特别好，你很棒，你好帅，你唱的特别稳，怎么这么厉害，宝宝泪泪明天和粉丝高高兴兴的见面吧泪泪
1687830271# #啊啊啊笑的崩溃
1704036257# #毛不易不愧是实力派啊泪泪如听仙乐耳暂明
1698504132# #诸如此类、
1688358976# #像我们这种小女生就是要每天找纪念日过女孩儿
1697297907# #毛不易大帅哥。我的天呀他今天真的很帅，，，这个眼镜吧，也越看越顺眼，感觉显年轻，，好嫩，，。他今天也好可爱，很自信，从容，大方。。活力满满的，一块心情很好的小饼干🥰。毛不易你真的好美😭😭😭😭😭😭😭。嘴巴粉粉的，眼睛亮亮的，。你真是最漂亮的小朋友😭😭。爱你爱你好爱你
1691031970# #盛夏，，，我一辈子的盛夏，，
1696082467# #出现大暖色，有要事发生。
1699189993# #能省一毛是一毛。截图美咪
1697789804# #转发微博
1695784282# #美人，我的美人
1688198896# #感觉毛不易最性感的咬字和语气都在唱作人的《水乡》里。情绪收放太好了，咬字清晰又自然。。。每次听到“水绿天蓝蓝”~。像坐船在荷塘里划过的开阔自由。一个蓝字铺开就有了水乡的味道，之后“落江南”稳稳的一把抓回飘出去的情感。。谁敢这样写，谁又能想到可以这样写。。多有灵气的一个创作者。就算是来自
1689852636# #向全世界安利毛不易mby毛不易幼鸟指南巡回演唱会。我好吃这一套，，。
1702628737# #向全世界安利毛不易mby毛不易大帅哥。接我们三花的👉
1687354913# #毛不易的零闭关，，似乎意味着我的零积蓄…
1692166012# #到底谁设置的泪泪有一种逼良为、的感觉。我们帝王不许说这种话
1696603380# #李钟硕颜值回春好。复活吧爱人、
1700322644# #你们看P6。特别美妙的体验。在全场欢呼里上台的大明星。
1695824650# #够了老子说心疼他
1697455442# #坏眼我跟你拼了
1688824242# #（拍地板）（跺跺跺）地板坏！坏地板！（跺跺跺）
1697091320# #画画的时候最想发疯，但是克制住了。所以现实中更想死了🤗
1703042505# #qq音乐年度听歌报告好纯粹的qq音乐。
1688129697# #啊啊啊卡瓦卡瓦
1688917442# #八角笼中…比我想象中好。片尾曲是莫西子诗唱的🥺🥺好感动，坐着听完了。。今年好喜欢喝各种杨梅冰的产品，，可能是都很甜，也不知道是真的杨梅甜还是放糖了
1688120422# #🌷
1704468903# #岁月不改他模样
1702263368# #我要买！
1690373929# #毛不易演唱镇魂街主题曲预约新歌🥰
1698279893# #我对我可爱的网友
1687404394# #这惊奇的语言天赋…
1703979009# #微博KING和QUEENmby和毛不易点亮微博之夜
1697456098# #我的确是有病，但是围脖你不能真把自己当医院吧。。以后咱上网直接和看病叫号似的。。。王*家
1699935430# #感谢莫干山亲亲亲亲锦鲤附体下次见
1701269692# #“黄荣毅和裘咏靖在酒店肚饿，叫外卖点披萨，孰料送来的是生披萨，要烤箱烘焙才可食用。他们就在微波炉里热一热，端出勉强熟了的披萨，软趴趴湿乎乎，将就着吃了。”。。o）没关系的哟~。。
1703655238# #向全世界安利毛不易毛不易好棒呀送花花送花花
1689483390# #毛不易北京演唱会双场售罄mby毛不易北京演唱会售罄。第二次听《聊聊》很舒服。
1687764878# #毛不易演唱会官宣两城mby毛不易巡演宁波武汉站官宣谢谢你，纸质票！HO加油
1698299226# #转发微博
1697096824# #蚊子我求你了别咬我了别咬我了
1701591755# #嘎嘎嘎嘎嘎
1688960532# #我妈是懂怎么叫醒我的。。在我起床气大爆发的时刻她说。“你EMS🎫到了啊！”。瞬间喜笑颜开，咧个大牙
1696572886# #符龙飞你，
1688780779# #毛不易生生
1689326796# #这竟然是毛不易得了吧你们，放过毛不易吧🥺🥺都怪毛不易惊才风逸，，没让你们发现猫帝180＋身材高挑😌白的反光🥺明眸皓齿相貌堂堂，，那些说毛不易虾系的人是嫉妒他不仅身材好还长的不赖吗😌
1699192641# #能省一毛是一毛。存一个挑战三连拍cut。。
1701146011# #好好好，买买买
1693227768# #宝贝~~
1704015480# #‼️看到的进来点内👍25个+瓶25条
1690784227# #发泄情绪去找主办方，对着他算怎么回事？不是说吃了亏就天下最大可以不讲道理了。他从来不欠你们的。别来道德绑架
1696096171# #偷偷开饭了
1693659634# #宝宝宝宝乖宝宝送花花送花花
1695040146# #坏鼻炎我跟你拼了
1691157115# #长相思mby毛不易玱玹主题曲有你无你。忍不住想说，，杨紫演技真的挺好。前面当小六的时候细节都抓的很有意思，，感觉到她认真把小六演成了一个在清水镇生活很多年的人物，，后面王姬也美。。。因为这种前男后女的剧情很多时候容易拍的“凑活”。前面拍的随意，，随意一带，好像等着变女装一样，就不
1689951071# #好帅啊awslawsl
1692355574# #泪
1688816559# #手……舔一下…
1689346213# #嘿嘿嘿嘿嘿
1695200650# #给我吃给我吃
1692184949# #现在就出发我都不敢想第二期的那一帮人会有多搞笑
1687340352# #多大的雨让🚄都晚点啊单身狗
1695989311# #今天毛总买单哈欠
1687938060# #我是很容易被感动的。。比如你说“在盛夏听到现场版的《盛夏》”。哎呦呦
1687417090# #毛不易剧好听的歌录制幕后音乐是岁月的见证，这个夏天让我们与熟悉的旋律重逢，共度每一个美好瞬间。毛不易有气象主播那味了mby剧好听的歌。
1695869460# #想你想你想你
1703866463# #和毛不易点亮微博之夜mby毛不易音乐里的情深。老公牛牛的。。视频传送门
1690037100# #安详的躺进猫美人的尾巴里😇
1687621905# #罗大佑毛不易叮咛唱出父子感mby第一次见毛不易用颧骨唱歌。我喜欢一个人，是喜欢“我认识的他”。不知道怎么说。。但是人与人的交际…相处，本来就复杂得道不明。。我喜欢你也只是心的指引，。贯穿在细水长流的日子里，关联我的个人生活、感情的很多细碎角落。就像幸运的你握住这样的机会时，会声音微
1702382691# #最烦玩烂梗还说粉丝事多刻薄的人。现在粉丝多解释一句就“我也是粉丝，最烦粉圈那一套”了。等毛不易挨骂的时候这种人又死了看书看书看书
1688373929# #毛不易幼鸟指南巡回演唱会。允许我收集这个吗…。想看看你们的委屈委屈
1694577943# #毛不易希望演唱会都如期而至mby毛不易三巡想去家乡东北。《像我这样等待的人》。“如期而至”（腿好白，手好粉）。比心二连拍。
1703734981# #毛不易实绩把我带飞
1704099170# #SVIP体验卡免费领。送你一张SVIP体验卡，点击免费领取『SVIP体验卡』
1697856679# #首页扩散
1699152949# #我轻轻的哭了。
1700641142# #薛记的琥珀核桃真的很香——
1696345893# #让猫步一穿幼鸟开场的大羽毛弹一下怎么了呢
1694783527# #毛不易&amp;李健好伟大的合唱，，，
1704035907# #谁是小甜甜呀
1693232243# #赏
1699689664# #老公好可爱抓狂抓狂抓狂抓狂抓狂抓狂抓狂抓狂
1703339705# #美的选择。。。很难和朋友解释我对“美”的看法，也很难解释我对美的选择，即使是非常亲近的人。。。比如“字”，有些人的字我就是不喜欢，如果它冒昧地出现在我的东西上，会难受地想舍弃掉。。从前偶尔有关系不错的朋友，在我的作业上写字，让我痛苦得要死。。“天呐我不希望我的东西上出现这种字体…”。。又
1704110924# #我抽
1703473756# #亲亲小咪爱慕爱慕
1697938932# #宝宝委屈委屈
1694268759# #去看了不虚此行，特别适合吃完晚饭之后去看。不用做什么准备，。9月的晚上特别凉快，感觉是为电影量身定做的夜晚。。片尾曲特别好听，火星电台写的（）很满足地听完才走
1695571951# #小猫是这样的。在家也坚持叫我老婆。
1693211924# #走过来立正站好太乖了泪泪
1695489017# #嘿下雨了就别走，。坐下吧喝杯酒。
1692067802# #圆满收官~~
1697548151# #人随风过，。自在花开花又落。
1698551236# #室友的饭香都飘进棺材了，还不起床吗、看书
1701935018# #终于看了《过春天》。好适合孙阳的一类角色
1691249831# #每一次刷到四夕小田木的视频，都会有一种被堵住嘴巴的欣喜，，，这个世界上如此奇妙的人不多了来泪
1700357053# #每周见不易mby毛不易现身重庆。231118重庆好评请查收
1688985046# #老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公
1691304848# #转发微博
1695820351# #真的没人喝过这个吗电影前任4电影前任4电影前任4
1691429525# #神经病啊啊啊笑崩了
1703163638# #啊啊啊宝宝好萌
1693074732# #老公太多也不太好，，，刷个微博五迷三道的，
1694181146# #我才反应过来，小王的编曲就是韦伟，噢买嘎，是那个阿伟，，，，，我的脑子啊，
1703991847# #宝宝，宝宝你怎么飞上去了
1700737132# #向全世界安利毛不易mby每周见不易。🥹晚上好老婆们，👉🏻评论抽几个朋友送我画的日历📅。很认真地画了一个笨笨的日历，猫猫的眼睛是小铜板，虽然它看起来像一个香菇🥲。然后我有给一些节日穿衣服，，尽管有点抽象，你们能看出来吗。。由阝费自理。。抽到好友圈和粉丝送应援/。解释权都归我。不
1698717133# #向全世界安利毛不易mby毛不易音乐里的情深。考古｜最温暖的。熊木杏里x毛不易《時の列車》。
1703950149# #和毛不易点亮微博之夜mby每周见不易。今年已经很圆满了，未来也要心想事成。
1689244991# #转发微博
1700321175# #美
1688880672# #反复爱上朱珠是我的命运…美人泪……
1697339967# #好萌
1689341650# #喜临门品牌深睡大使毛不易。之前让你把上面扣子解掉两个，。现在就穿只有两个扣子的衣服了宝宝☹️☹️。那我还怎么让你解掉两个扣子
1698244553# #什么时候能让我吃上！
1690042242# #跪谢好妈，武汉，抱到了。
1703991605# #《思信》
1704286439# #我投给了“《生生》——毛不易”~
1694517985# #🪷饱饱
1689422202# #他今天非常棒泪泪泪泪泪泪泪泪
1694781207# #送我。
1688307902# #听毛不易这架势，得没不少人
1702790941# #我在2023微博演出大赏推荐了《毛不易幼鸟指南巡回演唱会》。用音符描绘你的2023故事，一起来推荐你喜爱的演出作品吧！年度演出推荐^^
1704191198# #微博KING和QUEENmby和毛不易点亮微博之夜
1691252985# #快来看看送花花
1699025940# #现在才开始看是不是太晚了点、
1688832407# #美人……我的绿色美人…
1701444579# #😪
1695880232# #和毛不易不见不散心
1692078441# #特别神奇的小牙缝，连冬枣都能卡
1704191697# #微博网友喜爱作品mby和毛不易点亮微博之夜。幼鸟指南
1688390574# #毛不易宝贝锦鲤附体锦鲤附体
1697764185# #宝贝家家户户见面也是最好的相遇耶耶
1698044012# #整期最搞笑的梗:这不是康泰克先生吗！
1702983213# #一切顺利，万事顺心。
1696394867# #毛不易东北民谣mv。最伟大的
1704028657# #‼️首页‼️Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶Q音空瓶
1693995314# #看书
1696481815# #宝宝看书，宝宝乖
1691118623# #毛不易有礼貌酷毛不易乖酷毛不易温柔酷毛不易可爱酷毛不易适合当老公酷
1692285983# #亖爱奇艺你会员那么贵要干嘛微笑
1693737111# #张晚意☎️打电话那里我裤子都飞走了看书看书
1694784577# #李健说乐坛需要毛不易正确的，客观的，合理的，中肯的，明晰的，真实的，辩证的，理性的，审慎的，深刻的，通达的，优美的，巧妙的，精辟的，雅正的，机智的，全面的，明白晓畅的，不偏不倚的，恰如其分的，滴水不漏的，不容质疑的，切中要害的，一针见血的，淋漓尽致的，深谙事理的，真知灼见的，发
1688967263# #毛不易的时尚表现力已经快溢出来了，最近到底有没有什么杂志去拍一下猫猫啊，我真拜托了啊啊啊啊啊啊啊啊啊杀杀杀杀杀杀杀杀杀
1697458143# #虽然不懂，但是好酷！妈咪棒！
1690957198# #撅嘴想萌死谁呢小咪🥺
1701087470# #谢谢椅子😇
1693194991# #我奶说像大猩猩，
1691500522# #哎呀夭玹在一起怎么了泪泪泪
1688004541# #毛不易看甜宠剧会发出上不了台面的声音。噢~是变成这样吗老公？小水蜜桃儿~~~~
1702124072# #好漂亮！
1702813693# #腾讯视频星光大赏。老公你……这么受宠…
1688231049# #毛不易唱不染mby毛不易唱不染又痛了。小猫四连看！！
1688798195# #女孩儿女孩儿
1699021922# #评论可爱活了
1697896564# #帮帮这个小女孩淮安龙宫音乐节
1693228424# #第七章:去背心饭店大快朵颐
1696091512# #宝贝生日快乐
1698827002# #向全世界安利毛不易mby毛不易大帅哥。《🧈黄油曲奇很担心你》。关心来自齐齐哈尔、。
1703219573# #如果不幸福，吃个橙子蛋挞焦糖布丁番茄鸡蛋面菠萝蜜就很幸福了。
1697155999# #早上好兔子今天的投票↓
1696148504# #毛不易1001生日快乐。今天跟宝宝说生日快乐，宝宝说想要妈妈的尾戒玩一下。但是宝宝的手太小了呀，怎么办呢🥺
1703979074# #和毛不易点亮微博之夜mby向全世界安利毛不易。投票
1702565274# #因为很想很想你呀🥹（快放假让我和朋友厮混
1688186678# #暗下来薄雾不散不见远山，一方天地风轻水软。
1700621574# #这种熟悉的无助感
1691133898# #抽中了就去微笑
1699511188# #转发微博
1691239153# #毛不易剧好听的歌存毛不易剧好听合照。
1688659043# #唱吧有感:。，，每次唱毛不易的歌都觉得自己真假音转换仿佛断气又回魂
1692980237# #今天，是那英发表重要讲话12周年ok
1695722823# #我心怀感恩…
1691646947# #小柴~人生是旷野
1688312141# #上海演唱会。刚翻照片发现小哥偷偷戴上了眼镜…
1690953367# #毛不易玱玹主题曲有你无你这种密集的意象…排比，已经能想象到，，剪视频…会很入味…。所以更到什么地步了并不简单我能开始看了没泪。毛不易《有你无你》（《长相思》电视剧玱玹主题曲）
1697534510# #🐦
1697547852# #毛不易大帅哥mby毛不易四专三巡筹备中。漂亮猫🚪
1693031368# #老公辛苦了。
1687428103# #卧槽巨室你……
1689423838# #洗头，嘿。“通常喊到这儿大家就有些尴尬了，没事我们听美妙的前奏吧。”
1689347592# #毛不易要在宁波唱一程山路。
1704088016# #微博KING和QUEEN👋和毛不易点亮微博之夜。毛不易
1698128335# #爱你
1690796164# #愿善意温暖每一个善良的人。
1695738514# #快加入这场闹剧
1703146519# #特意去看了1月21在干嘛，原来是毛不易上春晚那天
1694060134# #我来了宝贝老公泪
1696234541# #首页卷签名照
1691851889# #宠他，给我狠狠宠他
1696505401# #热缩片缩完了我的假期我的生命。缩没了我的快乐和美好的品德👽
1693230312# #哎呀你别走宝贝别走嘛~~
1690016793# #电影热烈真的特别好看，，。好几次想掉眼泪，整场看的超级开心抓狂抓狂抓狂。太专业了，，没有一分一秒是尴尬的，。跳舞的片段也好看。剧情很舒服，演员很舒服。。岳云鹏刘敏涛小沈阳这些配角都加分。。。还有几个杭州奥体的镜头，，我真的，，，，啊啊啊泪看着208209我真的要落泪，泪泪
1696841682# #为什么要这样为难年轻人！！！
1691328169# #“其实，流行歌曲的起源也应该是这样——唱平常人的平常心，唱平常人的那些平常的牵念，喜怒哀乐都是真的、刻骨铭心的、魂牵梦萦的，珍藏的也好，坦率的也好，都是心灵的作为，而不是喉咙的集市。”
1700533643# #⑩一样的笑点
1703687031# #毛不易我的年度歌手很难不心动。这可是淘米篮啊！！
1702790958# #我投给了“毛不易”~
1694196112# #啊啊啊
1687428070# #啊啊宝贝好萌
1687606086# #宝贝鼓掌好乖啊开学季罗大佑毛不易叮咛唱出父子感
1693492395# #一个关于未来的想象-毛不易音乐
1689340715# #我跟你们说，不可能是李健。爱你。为什么不是李健呢。。因为我不去，不许是李健泪泪泪
1699021828# #太抽象了
1691424840# #来心喜
1689165164# #巴卫好厉害女孩儿女孩儿女孩儿
1689481770# #毛不易宁波演唱会mby毛不易幼鸟指南巡回演唱会。宁波｜《盛夏》。我知道你无法留下。。那就一次次互相奔赴，热泪盈眶也放声歌唱啊。。
1687529791# #消失的她票房逆跌。晚上和咩咩去看了，，被男人吓晕。更不敢谈恋爱了，，，太危险了泪
1692367545# #毛不易平凡的一天好暖好帅
1700056515# #想给自己画个日历…也不早了吧
1699769690# #每周见不易mby毛不易莫干山音乐节。音乐节结束之后被路人夸的猫
1689092972# #（出道前唱吧。）
1703772011# #啊啊啊啊啊啊宝宝泪
1701833069# #老婆们带mbti来玩一下这个🥹
1688204800# #这次的道具搭配是正确的成人礼成人礼成人礼比桃花好一万倍
1691215747# #23年，青年歌唱家
1688527056# #偷偷舔一下………神啊泪
1702436337# #铭记历史，勿忘国耻，珍爱和平，吾辈自强。
1690452382# #我以为抽奖送毛不易呢女孩儿
1688881064# #新疆的店名永远在我的笑点上。这题我会。新疆人民取名字真的很随性
1687879849# #这么会唱？…演唱会也唱啊꒦ິ^꒦ິ
1690558874# #每周见不易老公你来真的？@毛不易
1697959571# #宝贝又在看书。
1704026074# #啊啊啊啊啊啊
1701503842# #毛不易锦鲤附体
1688004192# #宝贝你好诚实哈哈哈哈哈哈哈哈哈哈哈哈哈
1692285846# #毛不易官宣加盟东方风云榜。凡皇:
1691232744# #宝贝，我们都勇敢一些。
1697294773# #转发微博
1690713208# #终于晴了。明天又有新台风
1693537995# #棒的桃里桃气
1703765654# #毛不易超话有人吗，，待会一起来刷弹幕哈努力努力。文案放评论
1694840103# #漂亮老公，幼鸟就飞到这里了。以后你就是鹰了思考（）
1697299200# #好漂亮
1702716510# #老公一切顺利哆啦A梦花心哆啦A梦花心
1702452152# #追星女年终总结。谁，谁在总结我。
1690024951# #源子泪泪泪额额额啊啊好爱我
1688026393# #存在即理由
1694784454# #李健说毛不易不是幼鸟是只鹰。饱饱你是一只小鹰…
1690427352# #猫璧4/9。《爱痕森林》。猫云点的菜
1696166919# #人间美好。
1695216609# #毛不易奔向你的第六年我抽
1688453520# #恭喜毛不易喜提百万暴发户酷
1694957302# #笑死我了，，，骂了这么多次衣服丑之后。一怒之下推出假发片来迷晕我们
1688887221# #乖小猫泪泪
1688196059# #图四美人
1687614174# #蒽蒽
1697985063# #毛不易很厉害的
1698327142# #我都不敢想养一只这样的有多开心
1698245231# #猫步一你算什么歌手已经40天没开个演了、。我受不了我的生活是一坨，，，，，，啊啊嘶吼😔
1687618146# #高贵优雅永不过时
1687407044# #我操，小王日记，，里面好多…好帅，快点首页，快来给饭
1695207803# #毛不易真厉害亲亲
1690037594# #你这文案也写的不错泪赏
1695569679# #不敢任性地喜欢别人，被骗了太多次。。。你可以是幽默的，开朗的外向的，缺根筋的，嘴巴比脑子快的…。但你不可以是低俗的恶臭的，。每一次发现一个认可的人在过往的岁月里有一张下品的面孔，我都很害怕。。所以还是坚定的爱毛不易，因为这条路我从起点开始陪你走。偶尔回头望也都是惊喜和怜爱，没有惊愕。你
1687618436# #你笑涩莫，，搂我…悲伤失望泪
1699187255# #能省一毛是一毛mby向全世界安利毛不易。蒽…小咪
1693717631# #这个真的太心动了
1689425091# #毛不易宁波演唱会。一荤一素是唱给亲人的歌，然后也会因为这首歌而想到自己的亲人，然后…所以我想把这样一首温暖的（歌），尽量的在自己的演出…演出的舞台上，自己的演唱会上唱给大家，但是确实不太希望大家每次听到这首歌。要想的…多么沉重，它是一首我们感谢亲人…啊…想念亲人的歌曲，我觉得它
1698244250# #好开心呀宝宝
1689435696# #没给我憋死，，一点气口都没留
1694798048# #毛不易不仅当歌手牛逼，追星也很牛逼
1689769960# #这世界没好妈怎么转！？
1700725530# #毛不易音乐里的情深。秦海璐毛不易｜《凤凰于飞》。毛不易很适合大气磅礴，意浓情深的古风歌曲。。同时很漂亮的妆造和大框。。
1697606374# #喜欢
1688564849# #想起coco姐之前说，“只要大家开心，多痛也值得”真的好崩溃，，，希望你真的快乐，
1689089258# #小王，感谢你，也感谢命运
1694059960# #低情商:没起。高情商:醒了
1695694922# #手上贴个创口贴的口子我洗澡洗脸都不方便。。如果继续工作，又得赶路，演出，还得一直闷着，的确不好。不如在家里休息几天，多好~
1688014886# #这一段看一次笑一次
1702822180# #艺术家猫猫
1702809928# #老师你好辣泪泪泪泪泪泪泪泪泪泪泪
1702120031# #每周见不易mby毛不易音乐里的情深宝贝演出一切顺利丰收了
1696410930# #《一程山路》好好听呀
1704251933# #👽
1702998949# #好浓郁，，
1701597059# #下次见哦珠海比耶@毛不易
1695304336# #光看这张图我以为他穿了这个花纹的裤子，两眼一黑
1687608021# #第一次见毛不易用颧骨唱歌看给这小子乐的。
1697111854# #够了。
1703913591# #哇唧唧哇我跟你拼了
1701933147# #恭喜歌手毛不易丰收了
1688810331# #谁啊谁握了小猫爪泪泪泪泪我也想握小手
1700109598# #转发微博
1701490758# #期待毛不易锦鲤附体
1689272761# #猫云是天才
1697345422# #太喜欢，很美好
1690292636# #毛不易上半年最佳表现歌手毛不易辛苦喽
1687935454# #谁告诉你不重要的？笨岛
1703478362# #有新歌听吗👂宝宝爱慕
1691818668# #雷声依旧，细雨蒙蒙，山路几程，知己在侧。
1703225199# #呵呵本王来了！
1689442927# #毛不易宁波演唱会mby毛不易幼鸟指南巡回演唱会。宁波｜《如果有一天我变得很有钱》。
1689434674# #毛不易宁波演唱会mby毛不易幼鸟指南巡回演唱会。毛不易宁波演唱会｜提词器1。《一荤一素》。《借》。
1693824747# #嘿嘿嘿可爱淀粉肠
1691553901# #老公我活了
1702963896# #微博KING和QUEEN。🔗
1689302937# #宁波要听牧马城市泪！
1699446937# #馋嘴馋嘴
1698769085# #也祝你@毛不易
1689432677# #这件白马王子一样的衣服，他唱完第一句话居然是问我们。“会不会显得我肚子很大”。我笑的，，，。希望你听到了我们撕心裂肺的否定回答
1703582429# #送花花
1697553730# #毛不易大帅哥。你是一只眼睛亮晶晶的小猫。。你可爱，你最可爱。
1688389287# #毛不易幼鸟指南巡回演唱会mby毛不易宁波演唱会售罄mby毛不易宁波演唱会mby毛不易武汉演唱会。毛不易好好的
1689861064# #哎哟好甜哇哇毛不易的小船划进了我心里
1701933206# #毛不易幼鸟指南很棒
1697364263# #毛不易大帅哥。之前说了新眼镜的坏话，我是没品的东西！。新眼镜好，fine坏。
1697940738# #转发微博
1691851008# #~~喵喵
1703775665# #主办真太不专业了，对艺人也不负责裂开还好毛不易实力强心态稳，不然就是直播事故，
1694788380# #还好我不是毛不易，不用替你谦虚。毛不易你太牛逼了你知道吗？你真的好牛逼，
1688797640# #武汉站大麦二次放🎫了，需要的快去送花花
1695994617# #毛不易央视中秋晚会嘿嘿嘿嘿嘿平安猫猫
1687606886# #罗大佑毛不易叮咛唱出父子感mby第一次见毛不易用颧骨唱歌开学季开学季踏过千帆，阅尽枯荣，都别忘了罗大佑和毛不易一生平安的《叮咛》。
1690644919# #一切顺利。
1695210368# #能不能每天过六周年，，
1701506784# #老公你怎么随随便便就这么帅
1689605830# #🥰抓黄🐮的bgm都是平凡的一天，宁波它超爱😌
1704204956# #和毛不易点亮微博之夜。‼️‼️今天的投了吗。QQ音乐综艺｜《2024江苏卫视跨年演唱会》更好2024！群星齐聚用热情点燃跨年舞台&gt;&gt;
1704036152# #好好听爱慕
1692793518# #老公你还不明白吗
1697379447# #妈妈！我懂了！
1689469113# #昨天和猫唱了一晚上ktv…今天早上给孩子上课感觉要，，。…宝娟……
1688139883# #谢谢谢谢谢谢谢特别可爱
1698475750# #元宝是妈妈带给小王的天使
1687664587# #毛不易幼鸟指南巡回演唱会。今天，是它们顺产的日子！祝这窝幼鸟宝宝们两周岁快乐彩虹屁
1694163798# #猫帝驾到，，
1702871299# #毛不易正能量歌手老师爱你祝愿祖国繁荣昌盛，越来越好抱一抱
1697302949# #带个耳钉看看实力。漂个全头看看实力。（轻声）
1701775302# #评论把我可爱晕了，，，
1697974518# #我来庆祝
1692981042# #小王，你会幸福的
1697973215# #o、
1704036598# #你的小巫师往下撒了一把迷药
1687708751# #幼鸟🐦全——（家）——福——
1689258571# #泪
1703764278# #卧改过道上有人在外放看莲花楼。。小宝的声音太萌了。就算是外放听着心情也很好🤕
1697942393# #感谢科技
1688779704# #向全世界安利毛不易“给你我平平淡淡的等待和守候，给你我轰轰烈烈的渴望和温柔。”与青年志愿者们共同演唱《给你给我》。
1703779585# #宝宝你是最乖最棒的宝宝🥺🥺😭😭😭
1703434735# #给首页——。。晚安
1697338641# #宝贝昨天唱的真棒！新眼镜也很漂亮（）衣服项链都漂亮，主要是因为宝贝最漂亮🥰
1695356506# #好宝宝一起玩笑哈哈
1693921739# #金高银…好美好可爱好有生命力~哆啦A梦花心~~
1689584302# #专注自家吧宝贝们。
1699155389# #能省一毛是一毛好好好，听毛不易和金主爸爸的总没错。
1696568907# #这个蓝色，想到当时快本那套了。
1694271796# #夫人，少爷好久没笑的这么开心了（）
1689047593# #上帝你真的对我很好。。几场演唱会我就没坐过不好的位置
1688475177# #因为觉得今天是一辈子只有一次的今天，所以在反复记录。
1690284617# #哎呀这么可爱抓狂我一个旋风弹起大亲一口
1697468808# #毛不易大帅哥想他、
1698672151# #毛不易快进组、（）
1692240710# #毛不易官宣加盟东方风云榜毛不易宝贝~
1699448937# #毛不易唱歌对我耳朵很好mby毛不易一开口就治愈了
1690209017# #live版也未免太吵了…。唯一的优势:结尾有小猫超好听的“毕业快乐”。
1695636691# #救命🆘…、
1691334138# #我眼泪在一秒内炸出来了
1694966645# #小帅哥~阿姨来了
1693394580# #每周见不易mby向全世界安利毛不易。天气转凉了，莫名地高兴。给九首歌做了📇。等你发新专辑😇
1691167193# #存餐饮店铺名
1691069671# #无袖🐈
1696561986# #一直不断的想到写作者和创作音乐人的关系，。书和歌的关系。。有一种莫名被开导的感觉、
1697508026# #今天的投票~‼️
1703348236# #微博KING和QUEEN毛不易
1697548425# #你用心去看去听，就知道他对舞台赤诚的爱，作为歌者诚挚的严肃，对听众的感恩与尊重。。他是这样一个清丽的人，也比想象中更需要我们。
1698056800# #够了
1688099546# #有作品就是爽哈哈哈哈哈哈哈哈
