1688479652# #有感。。文有胡锡进，。。武有马保国。。中文互联网，。奇才不可缺。
1689567241# #留学生在我国的幸福生活，免交学费住宿费，还有每个月3000元的生活费。。一个清洁工中午的午餐，两个馒头，几个蒜瓣，一杯水，她要为孙子省学费。
1690970861# #人性是政治的底线，更是政治安全的底线。多地民间救援队支援涿州，被卡在邀请函上。特殊情况应该特殊处理，随机应变。像这种泯灭人性，荒谬绝伦的事，就应当严肃处理。也必须深挖背后的体制机制问题。
1688343891# #经典，字字珠玑，好好学习。
1697247828# #《北京协和医院:支原体肺炎来袭,给娃备好三物,化解肺炎》北京协和医院:支原体肺炎来袭,给娃备好三物,化解肺炎：
1693385713# #有人声称，“公务员是由纳税人供养的”这种观点严重错误，应坚决反对。这货够奇葩的了，谁人不知，谁人不晓，公务员就是纳税人供养的，说他奇葩，他不像那个退休干部王姐不知道工资是谁发的那样蠢，这是个高级黑，纳税人就是水，他能载舟，也能覆舟。不承认纳税人供养公务员，就是要撇清与纳税人的关系
1696476716# #河南，文有胡锡进，武有马保国，商有许家印。这并不是什么好事！也许，这是河南的耻辱。。南阳，是83年严打原因之一的城市，今年又发生迷笛音乐节盗窃事件。一个城市的口碑，不是在高光时候来决定而是在最灰暗的瞬间来定格。。迷笛音乐节哄抢事件，的确有损南阳形象。这也说明，南阳经济不够发达，老百姓
1695860167# #中国老龄研究中心副主任党俊武，提议，全面取消所有人的退休金，让老人用劳动力生存。你同意吗？
1690958936# #马云世界转了一圈，把事业瞄准吃上，智慧农业，智慧海洋。吃，是小事，更是大事。风光无限。比大赚特赚的许老板，如今成为首席负翁好，更比几百亿资产，如今带保镖还挨揍的姚老板好。
1693299894# #大清灭亡已经半年了，昌邑却发生了杀死27人的大案，被杀的27人都是剪了辫子的人。。官府迅速破案，将犯罪嫌疑人全部抓获，通通枪毙。这些罪犯，都是没有剪辫子的。。他们的逻辑是，我们跪着的时候，决不允许你们站起来。。所谓赞美者，也就是歌功颂德者，他们善于说掏耳屎的话，巴结逢迎，唯恐说一句不尊
1697856674# #马相伯是复旦大学创始人。一日，胡愈之先生来访，在交谈中，马相伯先生非常痛心的说：“我是一条狗，只会叫，叫了一百年，也没有把中国叫醒。”胡愈之先生感慨唏嘘，无言以对。。如今的复旦，有张维为，陈平，会不会把马相伯先生气晕？
1696469768# #近年来，央媒和政府不断受到公开抨击，这是不是会造成信任危机和煽风点火。。有人把一些不良媒体称为垃圾媒体，说它有三大特征：造外国的謡，洗过去的地，吹现在的牛。的确很形象。我们的央媒代表党和政府的声音，必须实事求是，让民众感到诚服。如果有不妥的报道，被民众抨击，及时改正就好。不但不会
1698718105# #两赢张真是高论迭出，无可伦比。。两赢张说，科技战美国输的惨不忍睹，一败涂地。华为任总就不认。大凡有点理智的人，就知道，这是自欺欺人，不符合事实，只不过是哗众取宠而已。。两赢张说，世界早已进入后美国时代。这就是说，美国早已衰落了。美国衰落了吗？有点理性的人都知道，我们与美国还是有很大
1699496257# #11月6日，佳木斯市桦南县发生体育馆坍塌事件，三名初中生遇难。。11月8日，一位失去孩子的母亲讨说法。她说：“我现在就跟丈夫离婚，跟孩子舅舅断绝关系。孩子是我生的，用工作压我不管用。”她说，“儿子的成绩很好，能考上重点高中，畅想过升学宴和婚礼，现在却变成孩子的丧礼。”。曾有人说，孩子是父
1703551393# #马上2024年了，还记得照片上的这个人吗？他就是挺身而出的凡人，新冠的吹哨人李文亮。我们永远不能忘记他！
1689056685# #俞教授炖的鸡汤，有滋有味，好好读读，意味深长。
1690526193# #崔莫萱，林虹宇，聂雨菲，魏羽馨，于添琦，李美娇，于荟馨，梁钰，郭禹彤，王梓薇，教练丁微娜，她们都有自己的名字，他们绝不是一个简单的数字。孩子们，安息吧！
1696993805# #儿子带来女朋友，来求行长爸爸：她还没有工作，老爸给想想办法，给她安排一个工作。。行长一看女孩，眼睛都直了，还没见过这样的女孩，标准一个美人坯子。满口答应：到我这里来，儿子，你的事就是老爸的事。儿子千恩万谢。其实，行长心里在想唐玄宗与杨玉环的故事。。女孩走后，行长对儿子说：看穿戴，这
1696298639# #如今，许家印成了众矢之的。骂许家印成了政治正确，骂许家印是最安全的。当然许家印该骂。但是，如果只有许家印，一百个许家印他也蹦哒不起来。关键是许家印背后的人，是他们与许家印狼狈为奸，沆瀣一气，是他们让许家印登堂入室，是他们让许家印负债2.5万亿。这些人难道不该骂？
1703558687# #《半袋粮食》。1967年春的一天，某七分社的游斗大会轮到我们村。游斗对象的饭也轮到我家。。上午大会开始，押到台上的是县里女副县长董敏（化名），她头发凌乱，胸前挂一个大牌子，上面写着大破鞋董敏，名字上面打一个红❌，脖子上挂两个破鞋。董敏，解放初在我们区当妇女主任，大家都认识，觉得是一个很
1702878718# #看《ZJSZG》有感。有人。想把。自己的名字。写在历史的丰碑上。事与。愿违。自己的名字。却在历史耻辱柱上。
1702690383# #2023年度影响力人物，不是网络人物。
1699242311# #网民评出当代网络2023年四大思想家。从不撒谎司马南，。不和稀泥胡锡进，。判断精准金灿荣，。从不吹牛张维为。
1692801734# #调侃老胡十年后要卖腰子，原来老胡的亏损在扩大，一个嗅觉特别灵敏的人如此亏损，让那些信息不对称的人情何以堪？
1696750663# #100年前，英国穆勒就发现言论自由的定律：禁言导致谬误。。如果被禁的是正确的言论，人们就只能接受错误的言论。如果被禁的是错误的，那就失去正确思想同错误思想交锋的机会。。最近，张宏良呼吁立即冻结私企资产。不少人说，这是对抗大政方针，破坏市场经济，扼杀民营经济的错误言论，为什么没人管呢？
1693702966# #所谓文化间谍，是指那些专门进行文化渗透颠覆他人文化破坏他国文化安全的不法分子。有人举报莫言是文化间谍，看哪都不像。间谍必须抓，国家安全很重要。但也不能夸大化。不能你说人家是间谍就是间谍。要重证据。莫言绝不是文化间谍，难道获诺贝尔奖就是间谍？
1701222712# #前些时，北京市纪委副书记，预防腐败局局长李振奇被查。如今广西监察厅厅长，预防腐败局局长何开长被公诉。难道真要再设立一个预防“预防腐败局”腐败局？。我们常说，把权力装进制度的笼子里，就一定把门关好，掌握好钥匙。。非制度型反腐，往往就是“一查一个准”，预防腐败局局长先腐败，难道不是笑话
1699946219# #上官正义既不是13.8万户，也不属于211万户，但他就像他名字一样，充满正义之光。。上官正义揭露襄阳市健桥医院贩卖出生证明，他希望叶有芝去自首。但叶有芝不愿意去自首，想见面聊聊。假如与叶有芝见面，叶有芝那么有钱，只要罢手，出个数百万甚至几千万都不是问题。叶有芝要见面，就是要拿钱消灾。可上
1695547038# #前天，一个老乡来深圳打工。他说，现在骗子又下乡了，专门骗农村老头老太太。。第一天，凡是到场的人，每人发一捆挂面。。第二天，凡是到场的人，每人发一个塑料脸盆。。第三天，因为农村老人腰腿疼的多。首先找几个腰腿疼厉害的老人，给他们抹上他们带的所谓药水。也许是麻醉药水，问老人还痛不痛，他们
1699402604# #昨天下午，网传中山大学附属第二医院（孙逸仙纪念医院）一教授团队多人患癌。引起医学界特别是广州医学界的高度关注。。记者采访涉事的苏教授，教授说：完全是造谣，完全是造谣。。今日凌晨，中二官方发布初步核查结果，近期确有三人患癌。。一个团队有多人患癌，就应该调查其原因。作为教授，应该实事求
1696135319# #感觉，知识分子就像软柿子，谁想捏谁就捏。。这不，许家印的事，也能扯上知识分子，他们叫着公知。有人把矛头指向清华大学教授孙立平们。。孙立平们，经常的话题，就是民营经济，经常是民营企业长民营企业短。鼓动“官民对立”，弄得恒大无所适从。许家印被抓，孙立平们又聒噪咎由自取。。许家印被抓，恒
1691225852# #经济日报：要让居民股市，基金能赚到钱。马光远说，以前，让人们赚不到钱的人应当揪出来。经济日报也是在说胡话。骗居民股市送钱呢？吴敬琏先生说，中国股市是能看底牌的。
1693547968# #很多人都有这样的感觉：小时候，父母，老师及所有人都教育我们要说实话，不说谎话。长大了，总有人提醒你，什么话该说，什么话不该说。让你时刻规避风险。。嘴巴现在也可以说是最不安全的器官。吃，你随时可以吃上毒食品，吃上地沟油，说吧随时都可惹上祸。你知道哪些是敏感词，哪些是违反规定的。动不
1697337350# #最高法：涉民营企业家案件该依法宣告无罪的，坚决宣告无罪。孙大午杳无音信，民营企业家都在观望。。放过孙大午一人，就能提振民营企业家的信心！
1702003823# #有的人今天提出支持eN亿美元，明天又提出支持nHN亿美元。这种人很“爱国”，就是不爱自己的国人。。这种货根本看不见国人的孩子，读书交不起学费，要把粮食投喂给隔壁家的孩子。看不见国人那些老年农民，每月只有100多元的养老补贴会起多大作用。他们看见的是农民有地，就有了林业矿山，可以在国有企业
1698375697# #吴敬琏先生曾说，中国股市，有的人是能够看底牌的。。曹广晶，湖北省副省长，曾主导湖北省上市公司纾困重组事宜。2021年1月，曹广晶把某上市公司上市前的信息告诉其关系人。该人提前买入该公司股票，然后卖出，获利1042万元。。只要有能看底牌的人来指导，就是个傻子，得来也不费工夫。原来，股票竟然是
1690699439# #（因写医生说缺粮被判刑。有人骂我造谣。也有不少网友难以置信。就再写一篇。）。庚子年春的一天。gs县委召开扩大会议，县委书记马龙山主持会议。。县委副书记张福洪发言：同志们呀！我们不能再吹了，农村已经开始饿死人了，有些村农民几乎全饿死了。我们对不起人民，应该向上面要粮，搞救灾。。马龙山一听
1689056019# #前天晚上，都11点了还没睡意，就在下面散步。突然发现环湖路有个小男孩。环湖路虽是双车道，但路很窄，同时有两辆车通过，中间空间就很小。这时正好有两辆车通过，小男孩就在中间。多危险啊。我急忙跑过去抱起小男孩。小男孩大概四五岁，问他爸妈呢？他说，在家里呢。我问他家在哪里，他就用手指一指，
1689917643# #春秋家：一边是我们自己的孩子家庭经济困难退学，一边是……止不住的流泪。
1697094437# #读于建嵘教授小说《我的父亲是流氓》有感。于建嵘教授教授笔下的父亲，一个流氓无产者，发挥其特长，有革命激情，又勇敢，通过革命洗礼，成长为革命领导干部。他身上也体现了精致的利己主义。到退二线时，提出了接班人的问题，想给自己的孩子铺一条上升之道。他的目的达到了，二儿子成了市政府常务副市
1697512419# #孙大午，就是风向标。继续关，关他18年，民营企业家心灰意冷，一蹶不振。。放了孙大午，民营企业家感到，真把他们当自己人，就能提振民营企业家的信心。。看着办吧！
1701933723# #新拍案传奇。近日，岳阳市委书记曹普华，市长李挚等市委政府领导，到社区一线打扫卫生。。你看，曹书记工作踏实，步伐沉稳，手中的扫把向左扫三下，再向右扫四下。寓意十分深刻，表示坚持三个落实，做到四该四坚持。在扫地中，双手紧握扫把，每个细节都善于把握，就是一手抓施政为民，一手抓工作落实。把
1699666741# #7.23齐齐哈尔市三十四体育馆坍塌事件，11位师生失去宝贵生命。省成立了联合调查组，调查结果呢？王旭明先生当时评论，市长不是好市长，局长不是好局长。都毫发未损，不了了之了。。不到百天，佳木斯桦南县体育馆又坍塌了，三名初中生遇难。一位失去孩子的母亲愤怒地说，用工作压我，我不服。宁愿与丈夫
1700292604# #周爷爷—周爸爸—周公子，希望寄托在你身上。。周树人—周海婴—周令飞，不做空头文学家。
1690901152# #7月31日上午9点，深圳市宝能中心停车场，发生一场小规模冲突，主角是宝能老板姚振华和十多名被欠薪的前宝能系员工。据说，姚老板被打掉了眼镜。姚老板怎么这么不堪，真比不上恒大许家印。
1697953222# #股市不景气，有人说，把股市由证监会管理，变成统计局管理，不知怎么样？。由统计局管理股市，肯定错不了。统计局是第一生产力，遥遥领先新科技。不管什么事，统计局就能出来好数据，股市6000点没问题！
1692836638# #他不该开始，。更不该结束。。但他已经终结。。秋天刚到，。账已算好。。结局早定，命该如此！。他就是普里戈任。
1697500149# #一个说：中国过去四十年来的高增长，是因为走了中国道路，摸索出了中国模式，而中国模式的核心是政府主导的市场经济。。一个说：中国模式之说，对内误导自己，对外误导世界，严重不符合事实。中国过去四十年来的高增长来源于市场化，企业家精神，西方三百年来的技术积累。。上面的两段话，是中国两个教授
1700359614# #亮亮丽君夫妇是真正的骆驼祥子，他们挨打后，大号被禁言，还能用小号向网友表示感谢。
1689689275# #都晚安了！嘻嘻握手
1696751369# #国民素质低下，现在几乎到了道德沦丧的地步。学习鲁迅先生，用鲁迅思想武装头脑，才能提高国民素质。
1693137270# #恒大房地产笑话。许皮带在一块地上盖起大门。—这就是御景天下。房子开始出售，钱到手了，款到位了。恒大竟然忘记盖楼了。一块砖一个框架都没有，全是草。大门盖得也很符合许皮带的气质。。恒大本来是要盖楼的，如今什么也没有，款却到手了。能省就省吧，于是楼就不盖了。好水好景好空气，又不交物业管理
1689314294# #网友提的建议真好，让非洲朋友千里迢迢来留学，不如我们去支教。我们有的是热心非洲教育的专家教授，比如樊丽明校长，可以到非洲办山东大学非洲校区，北师大院长胡必亮教授去办北师大非洲校区，把非洲教育真正搞上去，这可是真正的百年大计。北京对外经贸大学也可效仿，把热心非洲教育的教授专家派出去
1699323146# #笑一笑，不抑郁。。爸：闺女在吗？。爸用你的照片谈了一个男朋友，条件很好，187的个头，又帅又有钱，特别是对你很专一。我推给你！。闺女：真是我亲爸，哦你跟他谈了多久了？。爸：一个月了。。评曰：古有替父从军，今有替女相亲。哈哈哈哈哈哈哈
1696228993# #翟振武们害国害民，罪责难逃。
1695774568# #许多人都有这样的体会，上学时，特别讨厌鲁迅，走向社会，离不开鲁迅，鲁迅就是人生的路标。
1700092788# #贪近10亿的，中信银行原行长孙德顺被判死缓，只见他不自觉的嘴唇微微上扬，眼睛咪成一条缝，心里特别踏实了，因为他知道，死缓与死没有一点关系。
1691678009# #医界反腐，如火如荼，触目惊心，大快人心。但不知以前在干什么？医界腐败如此，可不是一朝一夕的事，往往是养痈为瘤造成的。其它行业亦然。从萌芽抓起，才不会恶化到如此严重地步。反腐必须进行，怎样做到治本呢？！
1690609160# #今日齐市11人之悲，明日就是你我之间悲。
1698761332# #金灿荣：今天中国的强大资金已经藏不住了。。张维为：科技战美国输的惨不忍睹，一败涂地。。陈平：我们现在这么强大，要敢于斗争。。项立刚：科技我们早已超过美国。。这四个人说的，是真的吗？我们成了世界老大？。邓公曾说：韬光养晦，我们绝不当这个头。
1702865175# #天气十分炎热，很多人都躲在家里，开了空调。楼下一条狗，被打断一条腿。叫的很凄惨，十分痛苦。。有好事者，请了一个医生来，给那条狗治腿。医生来了，把狗的嘴缝上了，狗再也不叫了。。文史公赞曰：“真乃神医也！”文史公前去探寻神医何处得来秘籍，神医云：“公文史之通，难道不识《国语》？厉王止谤
1695908351# #许家印给儿子23亿，美金信托，保三代无虞。为子孙看得远。
1697598305# #广场上，一个90多岁的老人谈反腐：反腐成功的前提是，当官的都脱下马甲，把财产公布出来。很多人以为然。
1701244334# #写了一则微博，说要讲好中国故事，结果，被没收转发键，然后就限制阅读。有位网友说得好，只要有金谄谄活驴北卖盐婆网大厨厚血养横行，社会就不会好……
1700789540# #曾有河南洛阳老农卖菜赚钱21元，被罚11万。。现有北京包子铺卖豆腐脑获得7014元，被罚15000元。。不明白，为什么对底层的小商小贩非要用重典，就不能人性化一点吗？
1701344906# #有人说最近评选的当代新四大才子为：司马南，胡锡进，王德峰，张维为。好多人不服，说，王德峰他不配。。有的说，拿下王德峰，加上沈逸。。金灿荣不服，陈平不服，。卢克文不服，卖盐婆不服，。项立刚不服……怎么办？
1688802636# #修路架桥，历来被称为善事。可吉林省白城市洮南市振林村，村民自筹资金，私搭浮桥，方便村民过河，就寻衅滋事了，18人被判刑。其中教师黄德义被判刑2年，缓刑2年，丢了教职。这是哪家的法律？当地判决此案的将会千古留名，被钉在历史的耻辱柱上。据说，最近，法院接受了村民的上诉，正在审查。不能只许
1690721127# #山西联合调查组通报：精诚矿业瞒报40起，死亡43人。这就叫，胆大妄为，草菅人命。网络高度发达，信息传播迅速的今天出现山西这样的“奇迹”，值得人们深思，必须引起高度重视。
1690124803# #对山大永久取消学伴制度，曾大加赞扬。可山大办公室人员称，从未有过“学伴制度”，这是公开撒谎。指鼠为鸭事件，殷鉴不远。如此公然撒谎，真的有损山大形象。有是事实，取消就好。何必撒谎，给始作俑者洗地呢？！
1702453629# #世界就分为中国和外国。我们有专家，外国没有，所以我们赢两次。
1702115975# #刘虎，一个调查记者披露：煤矿，在原煤中掺煤矸石。经销商，又掺一遍。清洁煤厂，又掺黄土。到了检测者那里，如此的成型煤检验合格。。河北赞皇70岁老人买散煤后续，老人说，因为型煤不暖和，才买的散煤。市监局：完全合格。。多个菩萨多柱香，多个衙门多遍土。靠山吃山，雁过拔毛。最可怜的还是老百姓，
1701740310# #《金瓶梅》中有一句话，李瓶儿对潘金莲说：“这世界上凡是禁止的，都是有好处的但不想分给你。凡是提倡的，都是挖一个坑，让你去填。”叶鸿君教授提倡大学毕业，把孩子送到乡下去，也就是上山下乡，他的孩子都去国外深造。。“正能量”是流氓SSM发明的最无耻最恶心的一个词，现在，很多人标榜自己是正能
1699316068# #2023年7月23日，齐齐哈尔市三十四中体育馆坍塌事件，造成11人死亡。她们的尸骨未寒，11月6日，佳木斯桦南县又发生体育馆坍塌事件，3人遇难。看来，黑龙江对安全问题举一反三落实不到位，吸取教训不深刻。
1693901863# #卫巫。卫巫者，监视国人为王止谤也。。厉王虐，国人谤之。厉王得卫巫，监视国人，控制舆论，凡口出牢骚，不满厉王者，举报就杀。人不敢言，道路以目。王喜，吾找到止谤的方法了。。卫巫，都是小人，在监视国人时，往往又会加码。他们看谁不顺眼，就把人家当谤王者举报，也会把人杀了。后来，他们随心所欲
1688883062# #修桥筑路，乃是大善之取。刑法决不能称为危害之举。清朝末年，我们家乡有个叫惠老步的人，在汾河上修了一座石拱桥，方便信阳和许昌两地百姓通行。县令亲自主持大会，提写桥名为“老步桥”，称惠老步为大善人。惠家世代享受政府优待。可是，白城市洮南的村民自架浮桥，却18人被判刑。这法官肯定不是什么
1695620452# #今天是鲁迅先生诞辰142周年。伟人说，他的方向，就是中华民族文化的方向。纪念鲁迅先生，就要学习鲁迅先生横眉冷对千夫指，俯首甘为孺子牛的精神。。先生说，一个人的沉默，叫思考，一群人的沉默，叫冷漠，所有人的沉默，叫黑暗。不要以为你的声音无关紧要，每个人都发声，世界就会得到光明路。在当今社
1689297079# #一条金融大鳄，原银监会副主席蔡鄂生，一下收了5个亿，这得多少老百姓多少年也是挣不到呀！。银监会副主席，不过是一个副部级官员，为什么能捞到这么多的钱？关键是他掌握着银行和信托牌照的审批大权。一个银行牌照，据说得6亿，信托牌照得3亿。但凡有权就能捞钱，但凡有权，就能捡到钱。有权不用，过期
1690677829# #夹头见离场吴。夹头：民营经济要发展壮大，老弟，我们摊上事了！。离场吴：夹头大哥，你怎么那么不开窍？我已经写了文章，为民营经济大唱赞歌。。夹头：人家要看合集，咋整？。离场吴：否认。从现在开始，就大唱赞歌。。夹头：对，我反对过民营经济吗？我始终如一支持民营经济。。离场吴：一丘之貉，咱们是。
1701741825# #刚刚看到一个图。农民在自己地上燃烧秸秆，满共有浴缸那么大，来了三个人，实地考察，又是丈量，又是拍照，兢兢业业，一丝不苟。。这叫什么？不就是认真的事情很扯淡，扯蛋的事情很认真。。俗话说：“人闲扯蛋，猪闲创痒。”假如他们闲的蛋痛，还不如打打麻将，玩玩斗地主，为什么要如此折腾老百姓呢！
1699325610# #住持与女主播发生性关系被敲诈数百万。。怎么，空门里这么有钱，得道高僧都成亿万富翁了？。大学毕业生：没办法，想去当和尚。。看破红尘，曾度入空门的大学生：别太天真。寺庙里也有江湖。
1694340208# #对于医界反腐，医生们有自己的看法，他们认为，反腐只盯着医生不行。要重点放在院长书记，卫健委主任身上。。医生们，打了一个比方：冰箱和牛肉，冰箱坏了，你把发腐的牛肉拿出来扔了，把新鲜的放进去，几天牛肉又坏了，又扔掉，换新的，结果是扔不完的坏牛肉。它的关键是冰箱坏了，冰箱坏了，如果立即
1703294739# #清华铊中毒的才女朱令走了，定格在50岁。他30年的无妄之灾，难以言表的苦，无处可寻的公正，真让人意难平，心中无限悲痛，无限愤怒。。朱令的同学一直在帮助她和和她的父母，人间有恨，也有爱，愿死者安息，生者平安。。朱令一路走好！
1695605991# #有个商业奇才，商业嗅觉特别敏感，哪里有商机，就往哪里去。优秀的不能再优秀。但不知他是谁家的孩子。。疫情三年，人家看得准，搞核酸检测，成了核酸大王。虽有核酸造假，很多人认为，会罚得倾家荡产，结果，平安无事，安全着陆。接着，又进入租赁市场，把深圳城中村统租房5000亿，包揽下来。如今，又
1695968936# #鲁迅先生是不朽的，鲁迅先生的话，再过100年也不过时。现在，有不少贪官污吏最恨他，因为他常常一针见血，揭露黑暗和丑恶。
1698219226# #俗话说，人不可长的太漂亮，容易拈花惹草，惹是生非。。据说，有个特别帅的，被赋予重任，但寻花问柳，还生个儿子。还陈世美，始乱终弃。终被告发，身败名裂。。真的假的，真，当惊醒世人，管好裤裆，莫胡来！
1689346572# #四川遂宁，两个青年男子，接受朋友邀请出去玩。他们二人毫不犹豫地上了车。在车上，他们竟迷迷糊糊睡着了。其中一个男子半睡半醒的突然听到一个熟悉的声音“等到了缅甸……”这是朋友说的话。这时，他们真的害怕了，因为缅北割腰子的事他们常常听说。于是他们就发信息求救和报警。这时，已经到了昆明，
1703919279# #针对70岁以上的老人如今有四大杀手：忧郁症，自闭症，痴呆症，失忆症。。深圳市蛇口四海公园有个老人吹牛班，他们很有经验，总结的针对四个杀手的办法，请大家做参考，。聊天可以预防忧郁症，吹牛可以避免自闭症，说疯话可以防止痴呆症，胡说八道可以解除失忆症。。这个吹牛班，已经存在20年，什么都可以
1700633952# #从介休学生被逼吃异物，到大同小学生被霸凌性侵，真是令人发指。如今，山西畜牧兽医学校又出现学生被扒掉衣服殴打，被螃蟹夹下体的霸凌事件。为什么霸凌事件在山西屡屡发生。关键是领导重视不够，对霸凌者处理太轻，根本叫不醒那些霸凌者。。未成年保护法决不能成为霸凌者的保护伞。霸凌事件屡屡发生，
1694068243# #江西一局长边开车边打电话，碾死4岁幼童，因犯罪情节较輕不起诉。这在江西不稀罕。江协学局长被处理了吗？李秋平县长猥亵中央下派女干部有处理结果吗？
1694325887# #世间百态：有人喜欢发声，有人喜欢沉默，有人喜欢指责发声的人，禁他们的言，闭他们的嘴。伟人说，让人讲话天不会塌下来，自己也不会垮台。。鲁迅先生说：一个跪久了的民族，要站起来都有恐高症。一说钱权，立刻放大瞳孔。一说男女性事，马上就兴奋。说到道德，民生，人性，良知，个个噤若寒蝉，不关我
1695355319# #商战，会造成家破人亡的，特别是公权力参与进去。太子奶创始人李途纯，就一个公安局副局长，就能把他抓进监狱。他的舅舅不愿揭发李途纯，被逼割腕自杀。妹妹没有任何手续，被抓进去，严刑逼供，全身瘫痪。弟弟也被抓进去，严刑拷打，下肢瘫痪。太子奶工程师李立军被灌酒当场醉死……不过，那个副局长倒
1699844540# #似乎发现一个规律：坏人肆无忌惮的做坏事，大多都有光环在头上罩着。。湖北襄阳健桥医院院长叶有芝，倒卖出生证明，她头上就有很大的光环—“最美巾帼奋斗者”。。叶有芝罪行被揭露后，襄阳市妇联立即撤销了叶有芝的荣誉称号。你们早干什么去了？
1690944797# #连降暴雨本是灾难，有垃圾把他说成巨龙出关，国运大升，将出现500年盛世。这种人胡说八道，应该让他们立即闭嘴。
1688653808# #有人说，如果你发的，转发的帖子，没有被删除过，没有限流过，没有自己可见过，你就是一个标准的脑残。这是真的吗？
1702942621# #江西2.2亿大奖，江西省民政厅的调查结果至今还没有出来。但这事已经传遍世界。上了《纽约时报》，通过人工智能计算该事件和它发生的概率是200亿分之一。。它它犹如把一块劳力士手表把零件拆开扔进太平洋，在海浪冲击下重新把表组装好。这真是中国奇迹。。吴敬琏先生说，股市就是赌场，人家的都不能，中国
1699581374# #鲁迅：孩子长大倘无才能，不可做空头文学家。。在中山二院，学阀，一代传一代。。教授苏士成是乳腺第一人的苏逢锡的侄子，苏逢锡的儿子苏安也在二院。苏士成的老师是宋尔卫院士，宋尔卫的老师是苏逢锡。宋尔卫的儿子初高中就发表三篇sci.破格进中山，现正读研。。一代传一代，不稀奇，也别见怪。
1688473697# #错错错，。千万不能说错。。倘若你要说错，。就要治你的错。
1688433191# #四川文化艺术学院，空调只给留学生吹，还不收费。留学生怎么成了洋大爷？怎么歧视起自己的孩子？这是严重违背爱国主义教育原则的。
1698025594# #前媒体人何光伟真的特别执着，四年持之以恒的诉信阳市公安局拒不公布李长根卖官案买官者名单。大声疾呼：尔等卖官鬻爵该当何罪？有知情人透漏，买官者继续在岗。。信阳市公安局也是坚持不懈拉硬弓，我就说不，尔奈我何？北极鲶鱼爷爷案，深圳就没拉硬弓，不管怎样，还是把钟局长开除党籍。信阳市公安局
1688533236# #守住自己的底线，不与邪恶同流合污。
1697846179# #春秋家：当代中国真正的知识分子，非于建嵘教授莫属。他是当代知识分子的楷模，是真正的社会精英。
1689676455# #都说欠钱的是大爷，那欠2.58亿的是什么？。2008年，四万亿救市，人们都惊呼数字之大。。一个企业欠2.58亿，比四万亿只差1.42亿，真可以说负可敌国。。不服不行，人家许家印就是中。能再撑2年，四万亿就可达标。
1703411095# #致敬在朱令生命中平凡而伟大的人！。一，朱令初中同学，北大学生贝志诚利用因特网向世界求解朱令病因，当时国内只有三条网线。二，贝志诚的教授，当流量过大时，北大教授自掏腰包，有人说这样不好时，教授说：“都是学生，有事我扛。”。三，协和医院的一位年轻医生在巨大压力下，出于良心，帮朱令采集标
1690248376# #忽闻体育馆坍塌，泪飞顿做倾盆雨。。官僚主义无市场，花样年华怎丧生？
1692943084# #A股20年，成交一万万亿，还是3000点。有人又研究起玄学。说是选址不对。上海（伤害）深圳（深震）能好吗？应该选天津（添金）至少应该选带阳的地方，朝阳，濮阳等，有没有道理呢？
1700530142# #暗暗地禁言，就是限流。先没收转发键，没收就没收呗，接着就是限流，阅读死死卡住了。随心所欲，想限就限。不知道从小就培养迷信官位，到底是好事还是坏事？迷信官位，与我党宗旨是完全相悖的。
1688705680# #词的变迁。失业—待业—自主择业—慢就业。穷鬼—摩擦就业—待富人员。请补充！
1693723896# #蒋介石曾孙蒋万安市长访问大陆，深受好评。他讲演时，光芒四射，全程脱稿，侃侃而谈。蹲地与老奶奶交谈，亲和力和修养爆棚。他还手书“万事平安”，有人说是临颜真卿书法，体现了中华民族文化的传承。他，宾夕法尼亚大学的法学博士，英语也很了不起。希望我们的领导干部，你们能不能不要秘书写稿子，讲
1689487890# #山大永久取消“学伴制度”，留学生不再享受特殊待遇，值得庆祝。为李术才校长点赞。那个“学伴制度”发明者哪里去了，别让她跑了！
1689209972# #清华大学梅贻琦讲过一个笑话。有人说：“怕老婆的坐在右面，不怕的坐在左面不动。”结果大家都坐在右面。只有一人不动。问他为什么不怕老婆。他说：“老婆不叫我去人多的地方。”为什么不能去人多的地方？最近，教育部说，对科技和学术造假要“零容忍”。人多的地方就是人口众多的地方。“零容忍”往往
1702435555# #三年困难时期，河南信阳专区光山县有民谣流传：“光山县，两头尖，中间住个马龙山。马龙山，大坏蛋，饿死人千千万。”民谣中的马龙山，就是那时的县委书记马龙山，他大搞浮夸风，上报小麦亩产7400斤，水稻亩产42000斤。造成粮食严重短缺，饿殍遍地，饿死百姓数十万。。更离谱的是光山县委副书记张福洪下
1701559513# #早晨起来，看到鸿蒙利哥的微博：要想经济好，就多听张维迎的。要想经济不好，就让张维为唱赞歌。。真是褒贬分明，一个北大，一个复旦，名字一字之差，竟然如此天壤之别啊！你怎么看，欢迎发表自己的意见。
1694496424# #夫蛊妻妖，沆瀣一气。
1690010756# #“龙生龙，凤生凤，老鼠生儿会打洞。”“老子英雄儿好汉，老子反动儿滚蛋”都是血统论。中国历朝历代，皇帝想的都是世袭。普通人想的都是子承父业。。一个人努力再努力，就是想进行阶层提升。一旦自己有了地位，马上就会想到自己的孩子老婆，让他们也享享福。然后是亲戚朋友，七大妗子八大姨。光大集团
