1697334300# #气温开始持续偏高，最高气温每天接近26度
1693300551# #上海这雨要下到明天晚上才结束，气温一直在23到24度之间........后期9月份开学有台风外围影响
1702448198# #大A真实付不起的阿斗，这几天微博热搜各种赢麻了的经济数据挂在热搜上，也止不住大A的自由落体下跌....什么外资引入多少牛逼之类的，什么消费促进内需口号喊的震天响，有用吗，不解决大龄就业难问题，这消费光靠体制内就能拉起来吗，我看悬乎
1700746682# #论身材迪丽热巴更胜一筹，腰臀比出众，脸蛋的话，容易审美疲劳
1693199226# #3122点是不是全天最低了呢
1698795157# #隐约看到了上海年轻人的天真和浪漫
1699403105# #昨天还有脸辟谣，现在算是间接承认了，无非就是把学生身份说成了在职而已，那些在职的以前也是学生在实验室接触各种高危的试剂等等，还有脸通报也是佩服
1693186095# #暴涨5个点开盘，冲啊抢钱啊，大额存款利息才三个点
1695479124# #九月下旬这波连绵降雨已经快接近25年最多水平了
1687235548# #给底层一些活路吧，多开一些工厂，提高一些收入，进厂打工比起女的带小孩送外卖靠谱太多了，然后多建设一些育儿机构，可以帮带娃，家里人上班老人在外地没人带娃的很多很多
1691664594# #课外补课就是一群钱多得没地方花得家长给机构老师赚钱，还有一种就是鸡娃的家长，从众心理人家都去补课了自己没钱贷款也要送娃去补课.....还有一种是学校老师教的不好，花钱到外面继续学习.....真正苦了那些穷的叮当响借不到钱给孩子补课的家庭.....那批不补课的孩子就这样输在了金钱面前......当然对
1701044263# #看到一句评论......。。短视频平台是让你记录美好生活的，不是让你记录真实生活的，所以这个记录生活几年的网红被封号了二哈二哈
1687911563# #北京将出现1743年以来最热的夏天....估计北京市区超过40度的天数大于五天...
1702353829# #河南老君山的雪后美景，这才是大雪的本色
1692152025# #稍微累一些的货车司机，每天负责清空三货车的货物，主要是超市的商品，一个月休息四天，每月收入10000元，但要自己交金2800元，到手7200元，一个月只休息四天，赤佬去做二哈
1702878555# #上海以后叫暖都，南京称之为雪都.....
1692782105# #那些认为上海房价应该那么贵的全都是奴隶....活该被剥削一辈子，笔者认为土地是免费的，房价就是建筑成本价格3000左右，当然人口必须控制好，每个人名下只能买一套房，不允许任何形式炒作房子，房子价格永远就是建筑成本价，32w元一套120平改善住房+车位，60w一套大平层，人民不用在住房上耗费一生积蓄
1687772831# #国内应该给真心高技术人才一亿每年的年薪，而且有各种豁免权，具体不展开说，才可以避免真正的人才全部流向美国
1700889935# #这个不下心吃下去会出事的二哈
1692880944# #改名中国海产品料理店算了，还日料店，狗屁玩意，欺骗大众
1692142528# #弱弱问一句，这征信还没啥问题吧，那么多信用卡偶尔逾期比较常见吧
1703244690# #松江冷库张庄开始发力，徐大爷歇菜了
1690504233# #六号台风各家机构路径图
1688484837# #浦东花木深夜接近12点气温还有34度....简直不可理喻了，和40多度的时候夜温差不多了，好在明天降温了
1701254644# #美团简直把人当乞丐了，张杨路到张江盛大天地，实际距离17公里肯定有的.....12.9元衰衰衰
1701177187# #笔者和痞幼差在哪里了，她一年广告拿6500万，我一天广告拿三毛八分二哈二哈二哈二哈....一年撑死了也就五百，到底问题出在哪里啊，家人们衰
1688862225# #143楼：pusherzhuxq2023-07-0708:34上海。“双减“是减双方父母的钱包吧，特喵的以前估计四五仟能搞定的课外培训，现在基本上都是一两万。钱包都减没了。
1692321769# #20公里多闪送接单.....才五十多元....要是投胎在香港干闪送快递之类的那么远里程不得200元起步啊，只怪投胎没投对城市，怨不得别人
1702877366# #上海真的太暖了，蚊子都死不掉，要是东部填海再填250公里市区成为内陆.....这雨水就应该是大雪了.....看看这地面积水了，白白浪费水汽.....很无语
1699437953# #爆出此事的患者，那个胰腺癌伴肝转移的患者，几乎注定将在痛苦折磨中度过最后一段生命时光的学生和同事，她的遭遇居然是在第一时间就被自己的导师踢出所有群聊。这确实不是个医学技术问题，这是个基本人性问题。门下学生，多年研究工作，查出重症的第一反应是踢人切割，请问这是人能干出来的事吗？
1695034274# #那些干苦力活的人，心中的贪念太大，其实在老家吃饱饭完全没问题的
1702101669# #有安全员证书的看过来，8千到一万到好工作.......岗位职责：。。1、根据部门领导指示，协助负责公司安全工作；。。2、完成部门内文书工作，以及文件保管；。。3、根据领导要求，落实外事接待与会晤工作的具体事务；。。4、遇重大及突发应急作业，及时到现场落实安全措施工作；。。5、做好安全工作相关台账记
1698458972# #加拿大最容易润过去的城市，也就是发达国家里面最冷城市之一，卡尔加里，现在润过去的人，那里的寒冷你受得了吗，十月下旬就零下16度拉。其实笔者喜欢这样的低温，就是卡尔加里这种城市不喜欢，更喜欢类似蒙特利尔这种
1691986723# #社会食堂大米先生vs体制内食堂的价格宫保鸡丁16元vs4元.....食物口感上差别真不大哦，羡慕体制内的隐藏福利廉价食堂和超级多的饭贴
1701927065# #最新一报数值，冷空气下不来了，极窝在华北就东移出海了...徐家汇最低连1度都到不了。
1699797498# #目前晚上气温排名，崇明庙镇成为降温王站
1694999195# #不上班已经第八个月了....
1700532582# #外资外企开始投资中国了，万事达进来了....特斯拉也解除了进入国企单位的限制....外企马上就要让更多人就业了....线投资股票赚一笔再说。闭眼买入中信证券，白送钱啊
1702393324# #本人计算机专业，软件测试工作经验接近20年....有大佬招聘大龄测试人员的可以给我个机会...必定兢兢业业的继续工作到退休...要求不高，做五休二，上海社平工资，五险一金，正常年假就行。
1700548358# #马上美国大片就要上映了...春节档不再是国产片的天下....中美关系步入正轨，退休金有着落了。
1696984097# #抖音上只要有卖点，哪怕是和帅搭不上边，也可以百万粉丝.....这人据说年入也是千万级别的允悲
1699194480# #11月4日,137年日平均气温15℃,近30年日平均气温16.5℃，极端最低气温.3℃,出现在1895年,极端最高气温28.7℃,出现在1940年,全天不下雨的概率为71.5%。。。现在的季节上海有时会出现连绵秋雨，如1918年从10月31日到今天为止，本市连续5天总雨量达到126毫米，是历年来11月份中五日雨量之最。
1694056890# #如果上海房价跌破2008年的价格，会出现什么事情
1703635408# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1696982929# #我智商测出来不到85，难怪永远学不会编程....但凡智商110以上，我的人生轨迹就是重点高中到交大计算机系本科硕士，到阿里p5到p10一路年薪35w到500w发展，或者交大毕业后去美国加州硅谷大公司上班，年薪从20w美元发展到年薪150w美元，财富累计过亿后住大别墅，从有年假开始，一有假期就全球环游...退休
1692882330# #其实现在能工作20年而且缴纳社保，在这里已经很不容易了，无数人的工作都是不交社保的，自己也不会缴纳，比如餐厅服务员，外卖骑手，网约车司机，私企打杂的等等....至于要缴纳四十年只有体制内一条路
1697187580# #超过43岁真的就再无就业机会了吗二哈二哈二哈
1695702358# #北疆最北部景区喀纳斯后天放晴后最低气温将接近零下十度.....几乎整个亚洲最低，仅次于外蒙古阿尔泰山边的零下12度....这波气温偏低幅度达到10度左右....我国南方地区目前看整个十月上旬都没有像样冷空气南下
1695704789# #小时候喜欢寒冷的地方，讲个笑话我在97年三月看当年漠河日全食直播的时候，当时是三月九日好像，漠河气温零下26度，地面积雪大概四十多厘米，一个妇女抱着一个小宝宝出去看日全食，被摄制组拍下来了，我当时想这小娃娃投胎投的不错啊，直接就是北极村一年九个月寒冷期，积雪期有八个月，天天看冰雪何其
1700352757# #今天日出之前大部分地区出现低温过程，青浦也零下了，白天开始升温明显，本轮11月中旬冷空气结束，过程最低国家站0.8度，可圈可点了已经。徐家汇不谈太暖了，市区随便一个公园比如长风公园气温都可以低三度以上
1692927240# #买证券躺着数钱
1698299350# #这波暖秋将一直持续到入冬，今年没有深秋了
1696843056# #二战德国输掉后，联合国应该割让德国五分之一的土地给犹太人，就没有现在巴以冲突近七十多年的后果了....当年德国小胡子屠杀六百多万犹太人，割让百分之20的德国土地给犹太人并不多......一个战败国没有理由不同意的
1692406170# #讲个笑话，在一个知名国家，房子烂尾了，居然是由购房者买单，还得继续还贷款，恒大欠的几万亿都是无数小可爱的资金，皮带自己一点事情都没有允悲
1688482822# #七月份气温都零下的地方，查了下房价也要3300到3500一平米了略超预算了.....那地方就是海拔高
1690805588# #虽然气象爱好者是小众群体，但他们基本上每个人都会关心当地的天气，尤其是极端天气对自己所在城市的影响....其实nmc气象局早就发布了北京的特大降雨预测，但是很多人没当一回事，十年前北京房山就出现洪水灾害损失惨重，才十年时间很多人都忘记了，部分职业是跑不开，但大部分人可以请假去其他地区的
1699889384# #11月下旬气温大暖的过程，看看美帝数值究竟精准程度如何，上海一路都是大暖，中亚地区26号暖出天际，大半个西伯利亚和中亚五国气温偏高14到22度...26日看是都出现那么暖的情况。
1692370511# #老乡一多就是这样子的，三十五年前出租车很正规的
1703996552# #一群人希望富士山大爆发，如果富士山真的出现最高级别火山爆发，那么地球气温会下降，级别必须七级火山爆发.....才能让地球降温，六级都不好使
1700826536# #出锅....色面还行，来一杯闲鱼卖地形图买的可乐，零成本开吃了
1692924527# #今天股市大涨，北上昨天抄底了几十个亿
1699531337# #00后已经上班的再坚持18年，失业概率就大幅度下降了，因为2021年后出生的人口再过18年才能就业....这批人口的数量是大幅度减少的.....18年后，1980到1983年的男性，1990到1992年女性进入退休年龄，这批人的数量又是最多的....综上所述，只要00后已经上班的保证18年内不失业，你们就可以稳定到退休了。
1701767421# #招聘.....浦东看守所（月薪8000元）做二休二。男，本市户籍，40岁以下，大专学历，无犯罪➕无纹身，身高170以上。。工资到手6500元，做二休二，五险一金。负责看守所留置区监管犯人。虹口看守所，招聘仅限女性，45岁以下，本地户籍，工资税前4500左右
1699168090# #今天最高气温自动站再次突破30度，区站里青浦最高29.3度，气温可能还有上升空间，因为冷空气前锋目前在鲁苏边境，热空气挤压在江南地区。
1700213987# #精辟的点评，直接触动了良心的深处，仿佛一滴入魂一般发人深省
1697188585# #在上海年龄超过43岁的失业后就业难度远超巴勒斯坦，人家以色列招聘巴勒斯坦人工作还不看年龄的，虽然底层工作，不信的人等你们40多岁失业后就明白了
1702437440# #稳重求进，以进促稳....稳预期，稳增长，稳就业，还有一个稳中向好，一共几个稳了，就问大家觉得稳不稳啊
1691838223# #就这肤色一眼就是摆拍了，只要跑外卖的，哪个不是非洲人肤色二哈二哈
1700722145# #为全中国劳动人实现五天八小时工作，五险一金，双休日，年假5到20天而做出一份力量，个人能做的主要就是吐槽加班，吐槽内卷，吐槽低工资，吐槽压榨劳动力，像欧美尤其是法国，德国等正常工作节奏看齐....拒绝任何加班，周末上班，低薪上班等等，活出尊严，活出自我。别为了五斗米折腰.....就业应
1690500900# #一路向北，泉州登陆概率增大，厦门或逃过台风核心区域
1692158524# #做二休二的夜班晚上八点到早上八点的工作，适不适合40+以上人员长期上班呢....上夜班人员说说看对身体有没有什么不可逆的危害吗
1692874638# #禁止进口日本一切产品来制裁日本的所作所为，敢不敢呢，肯定不敢，怕很多人失业，所以网上吐槽又什么用，屁用没有拉
1702176438# #打算就业中国移动宽带工程师去了，感谢小哥哥指引，中介拜拜了，8000税后....混三年再说
1700004404# #青浦站2.8度下半年新低....全市区站崇明1.9度新低...自动站0.8度最低....市区站没有新低。
1701304631# #毛坦厂中学那么高的护栏还安装维护栏，弄得和监狱一样，现在中学生压力那么大是不是有病啊，以前90年代我们上中学的时候回家就是看魔神坛斗士，看宇宙骑士迪波威，看灌篮高手看东京爱情故事，根本没有多少作业的....小学时候还吃不好呢天天一两个菜最多了，一样无忧无虑，小学时候更加开心了，一放学
1690804546# #北京这次洪水灾害过程其实在气象论坛早在四天前就一群人在严重关注了.....尤其是北京西南山区.....数值虽然一度摇摆不定，但临近两天之前就稳定了，房山地区早就可以全部在降雨前12小时撤离到北京东北地区去了
1703237503# #挺漂亮的妹子....80后还是第一次听说这人呢
1702269523# #个人消费支出比起2019年缩水百分之80左右.....19年我是大款，见啥买啥，除了天价房之外。
1701767009# #目前我就职劳务中介，开始招聘了.....浦东特警支队（辅警10名）年薪11万——五险一金。。一、招聘岗位和人数。1、岗位名称：特警支队专业辅警。2、工作内容：辅助浦东公安特警开展一线执勤、处突维稳工作。3、工作地点：杨高中路110号；。4、工作方式：翻班、值班；。5、招聘人数：男性10名。。二、应聘条件。1
1689937999# #就是梅雨季节，或者三四月份春雨期，华东地区也没有那么多下雨的地方，这估计是我十几年来看到过的华东降雨最多的一张回波图
1692010607# #早就不交了反正统筹了....退休时候按需拿退休金，只要之前缴纳过15年就行
1702776530# #山东威海郊区也就是雪窝子，渤海的水面没有结冰时..寒潮南下冷暖交汇在威海这，雪嗷嗷下不停，气温给力就成这样了，但是我国雪窝子不能和日本青森相比较，人家积雪最厚是五米多....你没看错5米出头的积雪，还是标准气象站测出来的。
1694824147# #即使不超速，司机也是次要责任，违停白车应该也是次责，建议孩子家长主责，未满12周岁不得骑自行车上路，不看管好孩子，实际判估计司机超速主要责任，违停白车百分之10到30责任....小孩则无责，不追求孩子家长责任了
1698894024# #冷知识。。世界上最辛苦的是墨西哥工人。。周平均工作时长43.8小时.....在我国出租车司机只要不是当地人，是租房的平均周开车时间高达80小时以上，租房的网约车司机周开车时间85小时以上.....工厂打螺丝的平均周工作时间75小时以上，很多码农平均周工作时间65小时以上
1690881637# #北京某村支书权村民撤离，村名死活不肯....希望立法遇到气象灾害可以强制转移，大家怎么看......
1702355068# #中午12点15分市区一大堆公园气温6度都不到.....预报的最高气温10度，差四度可以冻得人感冒的
1698996753# #今天最高气温尘埃落定，四个自动站32度及以上
1702264616# #我们这里翻唱日本歌手中岛美雪的歌单......音乐无国界但是编曲水平真的和日本差几百条马路啊.....邓丽君漫步人知路中岛美雪ひとり上手。任贤齐伤心太平洋小林幸子幸せ。任贤齐天涯中岛美雪竹之歌。RuRu美丽心情中岛美雪帰省。王菲人间中岛美雪清流。王菲容易受伤的女人中岛美雪ルージュ。
1689137644# #徐家汇气温已经38度.....
1703206136# #长三角平原地区的冷库，是扬州管辖的仪征....今天最低零下12.3度...
1694610209# #刚刚吃了篱笆的大瓜，有人吃了吗
1696998688# #这样说起来加班几万小时的码农都等不到拿退休金全部死绝了，笑死人了
1703140053# #今天白天最高气温是低于著名的1999年冬至寒潮了...但是最低气温徐家汇p也不是
1699275606# #笔者11月3日提到气候暖化将导致的气象灾害....仅仅三天后东北黑龙江大暴雪，特大暴雪就下得现在，部分地区已经远远打破了历史同期降雪和积雪极值允悲允悲
1701688576# #食品质量问题又被我遇到了，还是一千赔偿，这年头维权还是需要的，正当权益，食品厂老板除非自己吃进去我一分钱不拿。
1697790139# #催收行业可以做吗
1690613671# #七月下旬传统江南高温区全部熄火，南昌，重庆，武汉气温偏低严重。
1689124866# #如果确定是小作文，这位三岁孩子的妈妈要不要坐牢呢.....引发了那么大的舆论....动用了那么多人那么多时间去调查一个小作文允悲允悲
1703549008# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1698971025# #小学课间不让去操场玩是什么狗屁规定，以前我们小时候课间别说出教室了，回家吃个饮料冰激凌啥的，中午回家吃个饭都是很正常的.....哪一年开始小学生课间不准出教室去操场玩的呢，这不成了打引号的监狱了吗
1695435073# #总算气温正常了一回，全面跌破19度了
1698844170# #11.12到13日本市气温较常年同期偏低两天，12号白天最高气温预计12到14度之间......整个月其他时间气温都是大幅度偏高为主.....
1691597233# #别说小城市，就是上海市区大医院，仁济医院看个病让我去药房买自费药物，价格老贵老贵了，当时就想我医保卡里面好几万难道买不到靠谱药物，非得让我去自费药房买药吃，太黑了好吗
1702214281# #同样是人，素质这一块我甩开前面几个人几条横马路了。
1692507857# #睡醒了再发微博吧，一百年内都没这个胆量碰台湾的
1703123851# #这暴雪原来可以那么猛烈，太震撼了.....小熊熊的笔记雪爆雪窝学生停课冰封雪盖铺天卷地雪窝之城烟台烟台的暴雪（分享自
1687569740# #市区超一百毫米了，金山局部233毫米接近特大暴雨了
1691903881# #铁头来上海打击教育培训了，他团队甚至都进不去大机构，一进去就被保安拦住了
1703114502# #徐家汇零下3.3度了，崇明零下5.5度，明后天郊区刷低温了，预计自动站最低零下8.5度，市区徐家汇也就零下3.5度左右了
1700967338# #20年前一个南方省会城市有多穷，我来描述描述，2004年我们一行人去庐山风景区游玩，火车某省会城市下车准备溜达一会再转车....结果路过市中心，超市门口一群拉客的人把背着包的中转游客拉进去消费，一边拉一边说老板老板老板....来看看买的东西吧...恳求的语气，当时我就震惊了，后来回去一查2004年那
1701696842# #12月份的天气将比较精彩了，本周末上海最高气温23度左右破历史天气最高，中旬后期开始湿冷了，这种天气形势一旦稳定下来，我国中东部地区准备好铲雪车吧....
1702685010# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1700103967# #中美会晤后，就业率能提高几个点呢，特指男性43到57岁就业率，女性41到47岁就业率。
1702252847# #连续五报计数值，上海市区下雪无望了，主要原因南海台风没有了，冷空气下不来
1701676340# #查看上周投递的几百个简历有没有回音，还是老样子，0面试机会。
1703328602# #考验英语那么难吗，我以前做1998也不知道1999年考验英语真题试卷的时候，四篇阅读全对.....
1691108194# #今天数值并非如此.....要是下午三点gfs和ec还是走到东北地区，就要打脸了
1703387924# #我国南方城市雪都南京，1955年一月十日中山陵照片...那时候距离积雪最厚的1月1日已经过去十天，积雪依然那么夸张
1687445435# #其实我只要一套内环178平米精装修房子，人车分流小区，类似翠湖天地，华府天地这种....物业费帮我付掉45年...有产权车位两个....还有给2个体制内年薪35w的工作......两个人就是70w一年...花10w请一个保姆......这样整个人生就比较舒适了.....也不会看不惯这个，看不惯那个了，阶级不一样了...看到外卖
1699792166# #目前青浦8.8度，徐家汇9.8度，看看明天早上六点温差有多少....个人估计明天早上因为风力较大，青浦站未必出现很低的气温.....徐家汇也未必跌不破7度....
1689377090# #80年代到90年代，只要气温超过35度，大部分工厂都会下午放假，差一点也会发冷饮什么的，2015年到现在，不管气温多高，哪怕41度，42度，八千多万外卖，快递员确只有每单一元的高温补助，没有强制停止派单让他们休息，试问人文关怀这块是倒退了吗？
1692266841# #投了无数类型工作，只有一个货运司机来消息，一看还是半夜通宵工作的，四个字，册老去做。
1696983789# #这位小哥智商应该比不过犹太人，但是赶上短视频风口，加上外貌有点像个男明星，已经快百万粉丝，日入十万多，听说月收入五百万了已经......但如果没这样颜值，也没人去看啊，赢在卖相加上短视频风口吧
1693616218# #每个城市不允许房价每平米超过最低工资，每个家庭不允许出现两套以上房子.....控制人口，每个城市按解放日期祖辈的祖籍地在哪里，就只能购买祖籍地的房子......这样城市人口分流到1900年时期，没有住房压力，没有人口超多的地方了。
1692497589# #每年没新闻了就拿台湾说事情，和笔者有点一拼，实际上给一万个胆子都不敢，怕全世界围剿中国，房价崩盘二哈二哈
1692349434# #说句股民不爱听的话.....现在大环境比起2008年怕是要差很多好吗....大A还有三千多点已经是超长发挥了.....有kdsliba网友分析就中美之间的关系已经是1993年以来最差的时期了......就业难度也是历史上最差时期....股市理论上跌到1500点也是可以的，国家队已经一直稳在里面不让跌了，券商拉过无数次了
1699606008# #这年头靠微博赚钱都可以直接原地饿死，每天一元多偶尔两元钱...一年快到头了也就五百左右，只够吃25碗辣肉面.....还不能加料的.....但转战抖音直播更惨，直播了几场收入2元二哈二哈...那些直播的人为什么可以赚钱养家呢....这年头只有大美女才有流量把允悲允悲
1702439685# #还行不算暴雪，中雪程度
1701336536# #上海也一起查一查呗，敢不敢呢
1690962754# #河北涿州就是一个平原地形，北京西南都是海拔1000到2000米的山区，遇到150年一遇特大暴雨....要泄洪也是没办法的事情....关键问题在于这种泄洪区域几代人都知道一旦上游出现重大水情，必须泄洪，保的就是一线城市，至于泄洪区域本来人口就少，城市地位不高，关键问题出在这百年难见的特大暴雨中央气象
1696844839# #作孽，换一个求职平台还是一样石沉大海
1692337236# #有救了，马上上海跟进，找工作就不会那么艰难了，再熬一熬二哈二哈
1703252375# #所有的手机游戏都是收割傻子的，钱真的太多了他们....花在垃圾的手游充值里面.....笔者就没玩过充值的手游.....
1702101904# #全日制本科+英文六级难就业人群看过来....。。8000-10000月薪等你拿。行政专员1名。。岗位职责：。。1、负责国内外客户来访活动行程安排及接待工作；。。2、负责英文WMS仓储管理系统日常运维，问题解决，必要时独立联系海外支持团队解决问题；。。3、负责公司物料采购、设备登记、业务支持等日常行政工作；。。4
1700269031# #每天一求哆啦A梦害怕
1702907416# #羡慕哭了，那么神仙的地方，关键夏天还凉爽，对于气象迷来说很给力的城市
1699831153# #11月13日最低气温出炉......郊区最低2.3度，市区公园最低3.2度....徐家汇6.4度，区站里面金山3.1度最低。明天郊区气温更低...估计有站点接近零度，但市区回暖了。
1701648337# #没有对比就没有伤害系列2接近十年前的台北vs2023年的上海浦东内环。个人安全意识差距超得有点多。
1690846558# #目前早上一报虽然百分之90机构都是转向去日本，但数值时间都不长，gfs最新一报还是七号台风发展后将移动去日本琉球的台风踢皮球藤原到浙江登陆允悲允悲
1702217389# #混退休好工作，适合单身大龄男女就业，社保多缴纳个十年稳稳拿退休金......长宁公安局——档案打字员...缴纳社保，缴纳社保，缴纳社保。。金钟路上班.....。。男女不限，45岁以下，打字速度60个每分钟，无犯罪，户籍不限。。工资计件制，综合月薪4000-5000元，做五休二，周末双休，五险一金。。
1701764154# #今天晚上股市肯定有强心针利好出现.......
1693871867# #中介发财了，后悔之前离职了
1695028652# #神啊请赐予我一份朝九晚五，正常双休年假，不加班，高于上海社平，做办公室的，稳定不会裁员的工作吧
1696752238# #如果有钱花不完还上班的，绝对是脑子抽住了，有钱的话生活可以是很多姿多彩的
1699276163# #哈尔滨实况降雪已经减弱，积雪效果还是很不错的，这种低温降雪历史上大概只有南京1954年12月下旬到1955年一月初出现过....上海就压根没有在零下4度以下下过暴雪的，1893年上海徐家汇积雪29cm那次，降雪时候气温最低也就零下2.7度
1692108356# #这个银行催收电话已经打了很多次了，生活太难了，大龄就业如攀登乔戈里峰一样遥不可及
1693572865# #任何人购买房价单价超过自己月薪的一半的，都是大神.......不怕失业，体制内的或者国企
1687562427# #这雨今天是不会停了，太夸张了回波面积
1698925850# #拿到赔偿金了，大超市就是给力
1692349147# #随便什么招聘都不招40以上人员了，好绝望啊，为什么不能禁止年龄歧视呢......下辈子当👩🏻‍⚕️当👮🏻‍♂️，年龄越大越吃香
1688648475# #那是一个美好的年代，郊区西渡房子卖700到800一个平方...刚刚加入wto，外企如雨后春笋一般出现，就业形式在90年代中后期的下岗潮迎来大幅度好转，同时网络开始兴起，言论自由，在当时的聊天室里面什么都可以聊什么都可以谈
1698160261# #超过43岁还有班上，且工资不低于当地社平的，都是中国最幸福的人群.....羡慕得很，你们退休后退休金都是很高的，人生是完美的，从20多可以工作到退休年龄....不像我已经再也找不到合适的工作了...
1699283777# #十一月中旬后期，整个北半球气温自西向东都会出现一波暖潮....今年地球其实已经发烧很久很久了，我国年平均气温估计又是历史最高的一年。
1687167944# #送外卖苟活，人生不值得
1690443310# #五号台风基本锁定厦门了....一开始偏西目前一路向北
1700702035# #kds有人问自动驾驶测试愿意去吗，问下来要加班，周六还上班，回绝掉了
1690865830# #美国高富帅gfs最新数值，连续两天00UTC时间段的六号超强台风“卡努”极其风骚的运行轨迹，不登陆浙北到上海誓不罢休dogedoge但其他机构没有类似这样回马枪走势的出现......
1702182282# #黄浦区35岁以下难就业，看过来......黄浦支行大堂助理➕60008000元。。大专，35岁以下，身体健康，有金融行业经验的最佳，男女均可，无犯罪征信问题。。工资5300税前➕1000绩效➕奖金➕高温费➕年终奖，入职五险一金。。协助大堂经理做好客户服务，引导业务办理咨询，协助管理大堂各类机器操作
1703376207# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1693020421# #文明发源地
1692779194# #幼稚的天津股侠
1691244042# #上海有几百家教培机构暑假还在给初中生补课，补的还是语数外物理化学课程，这是严重违反双减的，但上海没有铁头没一个人敢去搞掉那么多暑假培训班.....没有一个人，因为说去谁就出事情二哈二哈
1699539711# #很多人不要以为笔者找了十六个月工作零面试是写手....真实就业难情况比我了解的还要厉害，要是不信的话，可以在一些招聘网站上面购买服务，查看一个岗位多少人投简历，只要3000以上的，最起码几十个，五六千的投递的人最少200人以上，这些还都是基础岗位哦，无数年轻人或体制内的不了解社会的真实情况
1702274879# #国家队有钱，拉券商救股市
1703132509# #黄浦区蓬莱公园中午12点气温零下1.8度压制市区低温榜首.....今天是今年第一个冰日
1702286900# #今天降温到8度，明天最低郊区3到5度，市区5到7度....周四最高气温还得猛升到22度左右.....周末继续下降到下不了雪的尴尬气温，预计2到3度的冷雨或者雨夹雪气温....22日之后气温一直暖到1月15日估计.....
1703742469# #目前涨一分就是80元....80元正常送外卖需要很久很久才赚出来...股市只需要0.1秒
1699792664# #双十一买买买花掉2000多，老婆报销，用存款利息的钱.....最近跑外卖有点冷了...保暖护膝和手套都一直带着
1702530482# #只要进入体制内...一个人的下线就会越来越高，随着年龄的增长越来越吃香......没有任何失业的可能性，除非自己不想干了，或者的犯了天大的事情了...普通的什么迟到早退之类的，根本不会被开除.快...退休后真心享受世界旅游的快乐....可以花十五年时间深度游世界也花不完退休金和存款。
1699424495# #某个踢人的所谓教授，就是人间噩梦，人家博士生帮做危险的实验，做了那么久了不幸得了癌症就直接踢出群聊，这简直难以理解了
1699611268# #华北地区的降雪将让周日冷空气南下过程中的消耗变得更低，也就是对上海的降温更加显著一些。
1694154064# #从股票大盘都十几年稳定在2500到3500点，房子要大跌到2005年简直天方夜谭了，老百姓几十辈子买不起大城市品质商品房了
1703206463# #比1998年庐山的66厘米都厚了二哈二哈二哈二哈
1688307073# #安徽省地形图1:1500000
1690780516# #美国gfs全球数值预报系统对六号台风今天北京时间8点的计算过程，看得来比悬疑片还要悬疑，来看看路径过程吧.....先去日本琉球玩了几天，然后再去东海，玩累了再登陆浙江，最后消散在江西境内二哈二哈二哈二哈
1703071027# #快要三万公里了....底层里面算开得不少了
1697681388# #拉券商救市场，轻车熟路
1692342404# #看破不说破衰衰衰
1700899511# #踏马还是市场经济吗，又变成计划经济了吧衰衰
1703125946# #在大城市2019年之后贷款200到500w买房的中年人，一旦40岁以上失业，房贷还整一半以上....就要了老命了...再就业拿以前收入概率几乎为零...跑网约车跑到心衰力竭也还不起房贷了，只能断供.....
1693368326# #九号台风苏拉或重创广东沿海地区，一般来说气象灾害的损失部分由股民买单的，这两天股市见好就收，切记切记
1691141065# #宁愿娶欧美女子也不娶非洲人啊衰衰衰
1693526260# #九月一日上海中心城区公园站点跌破20度
1687246605# #笔者工作强度感觉比起央企还要低，每天工作量10分钟不知道有木有...感觉英雄无用武之地....明明可以发挥十分力量的，确发挥了百分之一....我情愿干活实打实七小时一天，拿十五倍工资
1702002659# #难就业非大龄看过来35岁以下抓紧铁晚饭工作机会.....12月11号面试➕浦东特警支队（辅警10名）年薪11万——五险一金。。一、招聘岗位和人数。1、岗位名称：特警支队专业辅警。2、工作内容：辅助浦东公安特警开展一线执勤、处突维稳工作。3、工作地点：杨高中路110号；。4、工作方式：翻班、值班；。5、招聘人
1703122494# #烟台积雪50+的效果
1702776092# #笔者有一个困惑就是为什么有些人零下30度多，可以穿那么少户外拍个泼热水成雾气的视频，这衣服感觉零下5度都扛不住啊
1694647840# #可以说百分之98的人都不知道利比亚在地中海南部，地理位置在非洲北部.......
