1695327288# #《雍吉，藏族女孩在舞蹈中快乐无止尽》播放量：5.4万。点赞量：1.1万
1692502998# #《美国工人懒散混日子，越南工人不加班，中国工人真的勤快敬业吗？》美国工人懒散混日子，越南工人不加班，中国工人真的勤快敬业吗？
1690845267# #《刀郎罗刹海市横扫世界》播放量：823。作者：三两昆仑
1690794363# #《棕熊被一群狗子追上树》播放量：1.5万。点赞量：88
1692298146# #《农民总理陈永贵，不要女服务员，说年轻的不方便，年老的不合适》农民总理陈永贵，不要女服务员，说年轻的不方便，年老的不合适农业学大寨，工业学大庆
1696532410# #如果中美脱钩，我们该如何破局？
1692137825# #《武当金顶长明灯600年不灭？背后秘密令人惊叹！即将解开未解之谜》武当金顶长明灯600年不灭？背后秘密令人惊叹！即将解开未解之谜
1694814241# #《美国专家：抗美援朝换掉彭德怀就能赢？网友：你该庆幸粟裕没领兵》美国专家：抗美援朝换掉彭德怀就能赢？网友：你该庆幸粟裕没领兵
1692453087# #《中国小伙在越南，挤满了一群情窦初开的越南女孩，真幸福！》播放量：13万。点赞量：1499
1699615734# #《天道，从来没有隐藏自己的存在，是凡人不想看见它》播放量：5.7万。点赞量：5398
1691534731# #《今年，明年，后年的四个坎，大家一定要注意！》播放量：6万。点赞量：831
1703609292# #《西方记者：你见过世界上最漂亮的女人吗？周总理睿智回答：见过》西方记者：你见过世界上最漂亮的女人吗？周总理睿智回答：见过人民公仆，为人民服务
1692021222# #《美元霸权崩溃，美国分裂成多个邦国？专家：苏联解体重演！》播放量：5.7万。点赞量：967
1692502566# #《甘肃农民无意中挖到宝，1300年前武则天命人埋藏，现为国家级文物》甘肃农民无意中挖到宝，1300年前武则天命人埋藏，现为国家级文物
1690860644# #《东方圣人以什么思想理论，才能够得到全人类的支持？（一）》播放量：6182。点赞量：241
1693752927# #《印度开启来华之旅，印度游客扎堆涌入中国，直呼中国跟以前不一样》印度开启来华之旅，印度游客扎堆涌入中国，直呼中国跟以前不一样
1700470725# #《美国刚重申不支持“台独”，美对台新一批军援抵台：8万套单兵个人装备、1000挺机枪海峡新干线台海时刻台湾美国》美国刚重申不支持“台独”，美对台新一批军援抵台：8万套单兵个人装备、1000挺机枪海峡新干线台海时刻台湾美国
1688412758# #《街头卖瓜的大叔遭多名城管巡查，为反抗城管不停把车翻砸⑪社会百态你怎么看遵纪守法》街头卖瓜的大叔遭多名城管巡查，为反抗城管不停把车翻砸⑪社会百态你怎么看遵纪守法
1689286394# #《1890年山东，这些乞丐都还没有多大》1890年山东，这些乞丐都还没有多大
1691304456# #《13年前那个因一张照片，走红全网的最帅流浪汉，如今过的怎样了？》13年前那个因一张照片，走红全网的最帅流浪汉，如今过的怎样了？
1690624430# #《大快人心的一幕，日本战犯谷寿夫被押往雨花台，即将被枪决》大快人心的一幕，日本战犯谷寿夫被押往雨花台，即将被枪决
1691032257# #《刀郎创造世界音乐史奇迹》播放量：1.4万。点赞量：385
1687812731# #《日本出手就亮出7艘航母，距大陆仅700公里，安倍野心按捺不住了！》日本出手就亮出7艘航母，距大陆仅700公里，安倍野心按捺不住了！
1698475101# #《1990年乔四集团落网，金牌打手成漏网之鱼，10年后成北京黑老大》1990年乔四集团落网，金牌打手成漏网之鱼，10年后成北京黑老大
1698084591# #《就等拜登出兵，菲打响“第一枪”，中方舰艇受损，局势或要变天了》就等拜登出兵，菲打响“第一枪”，中方舰艇受损，局势或要变天了
1704044444# #2024年第一条微博山东蒙阴冰雕
1703856847# #《一个关于2024年的预言，有几分可信度？》播放量：4.9万。点赞量：5765
1696472484# #《德云社演员砸挂有多狠？岳云鹏出轨没人信，老郭：有这好事不叫我》播放量：6万。点赞量：1068
1698279150# #《中国小伙在俄罗斯如何搭讪心仪女生？成功要到她的联系方式》播放量：7.5万。点赞量：1.8万
1700976723# #《推背图预言圣人现世？》播放量：2714。点赞量：99
1699989438# #英国史上规模最大游行之一30万人在伦敦高呼“从河流到海洋，巴勒斯坦终解放！”
1700017722# #《印度向俄罗斯提供超音速导弹，俄罗斯陷入死局？》印度向俄罗斯提供超音速导弹，俄罗斯陷入死局？
1703868907# #《《推背图》第五十一象：女子明主，再现尧舜之治》播放量：2580。点赞量：96
1703593716# #《河南南阳奇人张四目身上究竟隐藏着什么秘密？（1/3）》播放量：284。作者：民间灵异录孙中山
1694299946# #《被黑人男友传染，并首位公开艾滋病的女大学生朱力亚，最后怎样了》被黑人男友传染，并首位公开艾滋病的女大学生朱力亚，最后怎样了
1697791386# #一大批宇宙之子降临地球，人间又是一场封神大戏！
1691278320# #《陈毅进山东六战五败，下属联名要求换帅，毛主席为何坚决不许2》陈毅进山东六战五败，下属联名要求换帅，毛主席为何坚决不许2
1689808630# #《天庭竟然真的存在？科学家证实：并非神话！这里一天地球一年》此视频已有29万次播放，快来一起看看！
1693035520# #《世界十大伟人，“主办方”老美只有一人上榜，毛主席影响世界1》世界十大伟人，“主办方”老美只有一人上榜，毛主席影响世界1
1691967925# #《如果那英起诉刀郎，谁会胜诉？有律师认为，都有胜诉可能！》播放量：2948。作者：小瓶盖说娱乐813没有任何的胜算，除了扯蛋，那个法官说胜了，明天就会被清算
1690255458# #《网络预言：而今中国有圣人，虽非豪杰也周成》播放量：6611。点赞量：182
1703857463# #《15个预言应验13个，神秘漫画家预言日本的未来，时间直指2025年？》播放量：1.6万。点赞量：332
1695441656# #《拜登埋的雷爆了？菲律宾拒绝退场，山东舰回防又有6刺头冒头》拜登埋的雷爆了？菲律宾拒绝退场，山东舰回防又有6刺头冒头
1701053274# #《这四个国家曾是中国领土，国难之时趁乱独立，如今一个比一个惨！》这四个国家曾是中国领土，国难之时趁乱独立，如今一个比一个惨！
1695437606# #《庄子临终前的一句话，道破天道、地道和人道》播放量：11万。点赞量：1.9万
1702941041# #《普京刚说完后悔，美盯上俄边境就有大动作？中国不得不开始准备了》普京刚说完后悔，美盯上俄边境就有大动作？中国不得不开始准备了
1701476582# #彭德仁：共同推动华人自治，打破园区控制
1699556490# #《邓公震惊！一将提出直接灭越战术，会议上出人意料的计策！》邓公震惊！一将提出直接灭越战术，会议上出人意料的计策！小朋友不听话需要打屁无
1694822134# #日本的国运这次可能要到头了
1703384118# #《美国打的所有高科技战争，背后其实都有日本的影子！》美国打的所有高科技战争，背后其实都有日本的影子！
1701863190# #《敌人的敌人未必是朋友！缅北战事越打越激烈，我们要顾好自身利益》敌人的敌人未必是朋友！缅北战事越打越激烈，我们要顾好自身利益
1690619591# #《农村小宝宝唱一首《最亲的是妈妈》妈是我这辈子最亲的人！配音秀》播放量：7.8万。点赞量：5295
1689288971# #《山东发生重大恶性案：32岁辅警杀害姐妹花，知情人透露更多细节》7月4日，网络上流传着一份令人震惊的文件，称一名山东省曲阜市公安局巡警大队的网格辅警袁某某在时装店内杀害了一对姐妹花。
1700886499# #洪秀柱：日本杀了我们3500万同胞，历史绝对不能忘记！
1695467561# #《60岁大叔被人顶替上大学，37年后真相大白，校方还包庇顶替者1》播放量：8万。点赞量：2234
1691221856# #《你知道越军陷阱有多凶残吗？16种不同的丛林陷阱！》你知道越军陷阱有多凶残吗？16种不同的丛林陷阱！
1691287890# #【热门视频】精彩视频，尽在QQ浏览器
1703843593# #《亩产2641公斤，今年玉米产量，最高纪录诞生》播放量：3117。作者：袁老师农技服务
1692295032# #《刀郎巅峰期最好听的一首歌》播放量：2.1万。点赞量：823
1691622797# #《杨家百年老房子，充满了历史感，如今无人守护年久失修》播放量：1.5万。点赞量：67
1703451301# #《民间黑发明，把一个铁棒插入沙漠凭空变出水！什么原理》播放量：20万。点赞量：2.8万用此方法就可以解决塔里木沙漠引水问题，
1691439405# #《石油“跳水”时代来了，中国攻克海水制氢技术，每立方米仅4毛钱》播放量：123。作者：阿坤的五年
1699733131# #《中央媒体对焚烧秸秆行为发出严厉警告，敦促农业专家停止盲目指挥》焚烧秸秆不仅会对环境造成污染，还会对土壤和农作物产生不利影响。此外，焚烧秸秆还会产生大量的烟雾和二氧化碳，对周围环境和人体健康构成威胁。1禁止秸秆禁烧2粉碎后青储喂养牛羊粪便沼水稀释入田3粉碎后放在
1700794910# #《中东突然出现大乱，6国大举开火，老美亲自下令开打》中东突然出现大乱，6国大举开火，老美亲自下令开打
1701493435# #某些国内专家都很水，输出全靠一张嘴&nbsp;刘杨&nbsp;&nbsp;商业&nbsp;&nbsp;专家-今日头条
1703617564# #《台湾青年拒绝兵役延长：我们为什么要替美国人在台海战场上牺牲》台湾青年拒绝兵役延长：我们为什么要替美国人在台海战场上牺牲中国台湾
1691033432# #《罗刹海市余波，阳谋的力量》播放量：1.2万。点赞量：142
1695062840# #《武当山顶雷火炼殿！》播放量：7.3万。点赞量：697
1691303322# #《杨振宁当众挖苦莫言：你是农民的儿子，莫言的回答让人佩服不已3》播放量：1.4万。点赞量：73
1697584316# #美国拒绝中国运黄金后，中方直接摊牌使出人民币王炸，或清空美债
1687011975# #《烧烤店老板被城管群殴，遭男子反杀致1死8伤，不还手就得被打死！》烧烤店老板被城管群殴，遭男子反杀致1死8伤，不还手就得被打死！
1693777080# #《美国白宫突遭雷击，4人重伤住院，“神童”预言正在发生，可信吗》美国白宫突遭雷击，4人重伤住院，“神童”预言正在发生，可信吗
1693249090# #《家主意外去世，几百年老宅就被黑心强拆，真是暴殄天物》家主意外去世，几百年老宅就被黑心强拆，真是暴殄天物
1695464279# #《只有粟裕敢打的神仙仗，临阵两次变招，奇迹般的豫东战役2》只有粟裕敢打的神仙仗，临阵两次变招，奇迹般的豫东战役2
1702586960# #《街头发现举止怪异的老外，后背的东西类似探测器，感觉有点不对劲》街头发现举止怪异的老外，后背的东西类似探测器，感觉有点不对劲
1688167913# #《安史之乱——枭雄安禄山之死》安史之乱——枭雄安禄山之死
1689895199# #《陆军第31师抗日阵亡将士纪念碑--万人建制仅剩二百，皆阵亡于台儿庄》陆军第31师抗日阵亡将士纪念碑--万人建制仅剩二百，皆阵亡于台儿庄
1690319406# #《岳阳殡仪馆工作人员透露，24日下午，确有一名因受枪伤后身亡的男性遗体送到殡仪馆，并确认该男子17岁》岳阳殡仪馆工作人员透露，24日下午，确有一名因受枪伤后身亡的男性遗体送到殡仪馆，并确认该男子17岁
1700821813# #这些遗物让人泪目！钢笔笔尖上“人民”二字清晰可见
1692297277# #《一夜之间吃了两亩地，专家说是保护动物，农民只能眼巴巴看着》播放量：1.1万。作者：阿纳的趣闻
1695162481# #《韩国总统尹锡悦进退两难，绝食19的李在明为人民的利益战斗到底》韩国总统尹锡悦进退两难，绝食19的李在明为人民的利益战斗到底
1695444081# #《这种相亲你见过吗》播放量：88万。点赞量：8.6万
1702194725# #《美国务院深夜向国会紧急要求，立即将13000枚坦克炮弹运往以色列》美国务院深夜向国会紧急要求，立即将13000枚坦克炮弹运往以色列
1699435321# #儿媳妇自制晾麦神器！
1692191503# #《日军回忆：新四军打仗“神仙”相助？占据天时地利人和的车桥战役》日军回忆：新四军打仗“神仙”相助？占据天时地利人和的车桥战役
1690968862# #369
1694853858# #《美国战略优势真的无解吗？不拘一格打破常规，胜利需要牺牲精神》美国战略优势真的无解吗？不拘一格打破常规，胜利需要牺牲精神
1700583367# #《西方援助乌克兰没弹药了，结果发现，居然是因为中国？搜狐网》中国在全球矿产资源供应链中的地位举足轻重，对全球资源供应链有着重要的影响。钨对于武器制造有着极为重要的意义，而中国在全球资源供应链中拥有着重要的地位，这些因素共同导致了西方在向乌克兰提供军火援助时面临了弹药短…
1700582899# #《中国专家眼中的俄乌战争战争导致：中俄印三国战略三角或将重构》吴大辉教授指出了这一局势的深远意义，并提及“中俄印欧亚大陆战略三角”的构想。
1695465769# #《萧劲光去找毛主席，却见主席捂个大被在炕上，原因令人哭笑不得》萧劲光去找毛主席，却见主席捂个大被在炕上，原因令人哭笑不得
1693035540# #《世界十大伟人，“主办方”老美只有一人上榜，毛主席影响世界3》世界十大伟人，“主办方”老美只有一人上榜，毛主席影响世界3
1699559588# #百家论坛
1695167821# #《吴采乐现场版《绿洲》》播放量：8.6万。点赞量：1.9万
1703167535# #《如何成为一名优秀的领导者？》播放量：61万。作者：臧老师财经说
1699865440# #《预言家预言2024年会发生三大危机》播放量：193。作者：qq100414409
1693147990# #《宋美龄一生通宵熬夜应酬不断，却活到106岁！》宋美龄一生通宵熬夜应酬不断，却活到106岁！
1692659907# #《10万精锐印军涌入边境，扬言战力远超62年，美警告：已没钱打仗！》10万精锐印军涌入边境，扬言战力远超62年，美警告：已没钱打仗！
1702158609# #《菲律宾废弃的菠萝叶子，为什么捡回来回收？这不是多此一举吗？》菲律宾废弃的菠萝叶子，为什么捡回来回收？这不是多此一举吗？
1703163107# #《伊朗和中方谈完，红海局势急转直下，南海的美航母，掉头赶往中东（上）》伊朗和中方谈完，红海局势急转直下，南海的美航母，掉头赶往中东（上）
1694348725# #俄罗斯人在中国的笔记来到中国十几年已经不想离开了想在中国待一辈子俄罗斯美女外国人在中国外国...（分享自
1694029054# #《朝鲜预言家预言2024圣人出山，还预测了那人出生地，可信吗？》播放量：8190。点赞量：84
1703593855# #《河南南阳奇人张四目身上究竟隐藏着什么秘密？（1/3）》播放量：284。作者：民间灵异录
1697847336# #《曾仕强：人生在世，这一天规不可触犯，一旦违背，运势越来越差》播放量：6.1万。点赞量：1724
1691277243# #《规格最高的一场中日大战，非将级不得参战军长只能当小兵1》规格最高的一场中日大战，非将级不得参战军长只能当小兵1
1701403133# #《关羽墓惊现1800年前秘密，专家揭开埋葬地真相！》关羽墓惊现1800年前秘密，专家揭开埋葬地真相！
1690619777# #《福建南安突发泥石流，市民隔窗拍下惊险瞬间》福建南安突发泥石流，市民隔窗拍下惊险瞬间
1699064564# #中国领衔121国抛美债，美认清现实认错，旧金山升起中国国旗
1688236034# #《野猪正式调出“三有”名录》播放量：7.5万。点赞量：219好与时并进！
1695254387# #《1983年邓公暗访唐山，专车遭百人围堵，随后邓公下达整治指令1》1983年邓公暗访唐山，专车遭百人围堵，随后邓公下达整治指令1
1688277655# #《财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？》财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？
1691530725# #《“欢迎大家来孟子故居！”中国国家话剧院演员李晔、崔奕夫妇带娃游邹城孟庙孟府后表示，要让孩子亲身感受到、真正走近优秀传统文化。》播放量：663。作者：众播新闻
1699821333# #《2015年女子当街被黑社会殴打，打人者主动自首，警察为何十分警惕》2015年女子当街被黑社会殴打，打人者主动自首，警察为何十分警惕
1696533061# #为什么有钱人不娶网红美女做老婆？
1701316830# #美国的基石
1690658259# #《戏曲版《罗刹海市》！大家不要乱对号呀！》播放量：2.7万。点赞量：1166
1690794124# #《K396次列车因暴雨被困30多个小时乘客：吃喝成问题，都饿坏了》K396次列车因暴雨被困30多个小时乘客：吃喝成问题，都饿坏了
1695065021# #《有人说太湖百十年来淤积有点严重，应该大力清淤疏浚，将平均深度从3米扩大到5米。》播放量：341。作者：浮生晓影
1693387321# #《又一起悲剧！尼泊尔果断开闸放水，印度61个村庄突遭淹没》又一起悲剧！尼泊尔果断开闸放水，印度61个村庄突遭淹没
1694661455# #日本
1688277537# #《财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？》财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？
1688418049# #《万亩西瓜直接白费，接连下了一周的暴雨，果农彻底亏到没家底》播放量：2.8万。点赞量：132
1703616095# #《中老铁路有多牛？仅仅2年，老挝逆天改命，经济原地起飞》播放量：3.3万。点赞量：2628
1701860394# #《中东新战场开打，红海爆发“海战”？14国被波及，美军已经开火》中东新战场开打，红海爆发“海战”？14国被波及，美军已经开火
1700590348# #《老美的富豪中，有多少是犹太人？》播放量：9.1万。点赞量：4022
1688578220# #《曾仕强教授对2023下半年预言，兔饥之年将要到来？真的可信吗？》播放量：5329。点赞量：76
1700589194# #《我发现在中越边境小集市呀，都有着各式各样的山货》播放量：12万。点赞量：6.5万
1703595179# #《上课氛围和学习兴趣这不就来了嘛！》播放量：146万。点赞量：16万历史课
1699066146# #国家终于出手了，许家印成为被执行人，变卖名下财产还债
1691536240# #《中美打工人的差别在哪里?说出来有点扎心了》播放量：19万。点赞量：3094
1699095335# #《「沙漠中的奇迹：800多口井背后的生命之源」》播放量：6580。作者：城弟电影记
1699844788# #《进入一级战备，90万大军随时可跨境作战，誓要血洗62年之耻！》进入一级战备，90万大军随时可跨境作战，誓要血洗62年之耻！印度
1695372293# #《曾老预言的核污染成真，听听曾老说怎么拯救人类》播放量：13万。点赞量：2.3万
1691928904# #《美国众院推新法案否认台湾属于中国大陆群众：美国就是纸老虎！台海时刻海峡新干线》美国众院推新法案否认台湾属于中国大陆群众：美国就是纸老虎！台海时刻海峡新干线
1701140723# #《1951抗美援朝罕见超清彩色影像，志愿军1个连吊打加拿大1个精英旅》1951抗美援朝罕见超清彩色影像，志愿军1个连吊打加拿大1个精英旅
1701566672# #第四次能源革命来了？超级芦竹面世，真能代替石油吗？
1690708342# #《侯老中医能治癌，被判重刑12年，怒砸侮辱牌匾！》侯老中医能治癌，被判重刑12年，怒砸侮辱牌匾！
1699626491# #《假如没有卫青和霍去病，那汉武帝还能打得过匈奴吗？》假如没有卫青和霍去病，那汉武帝还能打得过匈奴吗？
1693774324# #《和日军拼刺刀大战3个小时1500人消灭2500多名日军？胡琏将军！》和日军拼刺刀大战3个小时1500人消灭2500多名日军？胡琏将军！
1692410853# #《菲律宾等到了？三国军队涌入南海，解放军一出手，美航母不敢靠近》菲律宾等到了？三国军队涌入南海，解放军一出手，美航母不敢靠近
1695419579# #《国军师长枪毙共军俘虏，不料仔细一看，竟是自己亲弟弟》播放量：16万。点赞量：1792
1691195080# #【马斯克的核钻石电池-从核废料中提取能量：永不充电的神奇发明】。西瓜视频)。
1702592617# #《男子去馄饨店吃饭时因喜欢吃醋给碗里多加了点醋被老板辱骂驱赶老板：我让你滚蛋就给我滚》男子去馄饨店吃饭时因喜欢吃醋给碗里多加了点醋被老板辱骂驱赶老板：我让你滚蛋就给我滚
1693034307# #《日本竟欺骗世界76年，投降不是惧怕原子弹，是最后一张底牌被毁2》日本竟欺骗世界76年，投降不是惧怕原子弹，是最后一张底牌被毁2
1687461945# #《万亩西瓜成熟，卖不出去全坏了，只能全都扔了》播放量：3.8万。点赞量：174山东济宁西瓜1.5元
1695465645# #《1957年夏天曾志质问毛主席：您咋还穿着毛裤？主席：没人关心我》1957年夏天曾志质问毛主席：您咋还穿着毛裤？主席：没人关心我
1704058718# #《最强麒麟电池正式量产堪比特斯拉》播放量：420。作者：绫彩音风2n华为汽车
1702417644# #《他被邓小平破格提拔，从正厅直升正部级，却陷入两难选择》他被邓小平破格提拔，从正厅直升正部级，却陷入两难选择
1696764995# #《巴以冲突骤然升级，以色列少将被俘，哈马斯为何此时发起军事行动》巴以冲突骤然升级，以色列少将被俘，哈马斯为何此时发起军事行动
1700288725# #《《江湖故事》山东女首富，20元本卖8000，一夜身价涨至500亿（1）》播放量：1.7万。点赞量：126
1697621464# #《世界最大发动机启动真实画面！高度堪比6层楼，每天抽取百万吨水》播放量：4124。作者：北岳散人story
1687356725# #《基辛格预言：三战真正的发起国，并非美中俄，但已蛰伏亚洲多年？》基辛格预言：三战真正的发起国，并非美中俄，但已蛰伏亚洲多年？日本
1696614704# #《老美要没收我国在美贪官富豪的财产,总值达近2000亿》播放量：3.1万。点赞量：2131
1692454566# #《搞笑配音：跟着美国制裁华为，以为能分一杯羹，结果是来打劫的》播放量：1万。点赞量：160
1703611100# #《云南丽江“雪山神医”，免费给穷人看病，140个国家20万患者求医》播放量：26万。点赞量：11万中医
1701478437# #《“货币战”，输了！汇率下跌，经济28年负增长？或被美元再次收割》播放量：7965。点赞量：58
1690859469# #《社会最大的悲哀就是明星当道》播放量：3830。点赞量：296
1690403740# #《岳飞的后代千万不能忘记这个人，因为他救了岳飞的儿子》岳飞的后代千万不能忘记这个人，因为他救了岳飞的儿子
1700794876# #《五公菩萨预言2024战争频繁，将有圣人出山？可信吗？》播放量：1450。作者：小正观世界
1703543816# #《中国人通过引凌入沙改造沙漠》播放量：3.4万。点赞量：5586引凌入沙漠变绿洲良田（黄河发生凌汛时水位高了，本人的发明，应该考虑黄河岸边多建闸门，随时向沙漠引水，沙漠有水连沙土冻上，第二年化冻给草木提供水源
1696752827# #《曾仕强：2024年九运离火，唯有自渡自救！》播放量：3744。点赞量：147
1700764634# #立刻马上报警，若是中国人抓人贩子判死刑，杀一儆百
1690405874# #《日本全流程微耕机种菜技术，值得学习借鉴！》播放量：5.6万。点赞量：459
1690813166# #《国学智慧：昨日入农村，归来满泪巾》播放量：12万。点赞量：2783
1692516879# #《到大农场开着先进农机干农活，这样的工作你喜欢吗？》播放量：1863。作者：谈谈侃三农
1687011871# #《烧烤店老板被城管群殴，遭男子反杀致1死8伤，不还手就得被打死！》烧烤店老板被城管群殴，遭男子反杀致1死8伤，不还手就得被打死！
1691303550# #《爱因斯坦在日记中，表明了对中国人的态度，句句让人感到痛心3》播放量：6470。作者：科技精英者说俄罗斯漫画
1699731573# #《邹城的夜景真的很美，其实比省会城市也差不了多少。上热门城市的夜晚无人机航拍现场实拍》播放量：5526。点赞量：68山东邹城市是历史文化名城（孔子孟子的出生地，孔子出生尼山孟子出生凫村，解放初期都署邹县境内有火车站大清时期双圣碑为证），现有孟庙孟府孟林，
1695251436# #《美国做出最疯狂决定！G7当场解体欧盟成员国集体破产！》播放量：2.7万。点赞量：1323
1693662260# #《韩国成立无人机作战司令部直属国防部尹锡悦致贺电：要能遏制朝鲜无人机挑衅和各种威胁》韩国成立无人机作战司令部直属国防部尹锡悦致贺电：要能遏制朝鲜无人机挑衅和各种威胁
1692138188# #《武当金顶长明灯600年不灭？背后秘密令人惊叹！即将解开未解之谜》武当金顶长明灯600年不灭？背后秘密令人惊叹！即将解开未解之谜中国工匠
1693251320# #《印度数千头牛占领政府大楼，警察都不敢开枪，印度牛为何如此金贵》印度数千头牛占领政府大楼，警察都不敢开枪，印度牛为何如此金贵
1699096912# #《11月2日，广东茂名。深夜母子在街头捡废品，孩子背着麻袋开心“起飞”，网友：有妈妈在的地方就是家。温馨一幕母子俩的欢乐时光》11月2日，广东茂名。深夜母子在街头捡废品，孩子背着麻袋开心“起飞”，网友：有妈妈在的地方就是家。温馨一幕母子俩的欢乐时光
1692228813# #《毛主席打了这么多胜仗，靠的就是主动，这是他在军事上获胜的法宝》毛主席打了这么多胜仗，靠的就是主动，这是他在军事上获胜的法宝
1691929156# #《81年陕西军区司令在饭店吃饭，偶遇小混混挑衅，他作何反应？》81年陕西军区司令在饭店吃饭，偶遇小混混挑衅，他作何反应？
1692740378# #刀郎的罗刹海市，在影射什么？
1702736546# #取消所有外国留学生的超国民待遇！-今日头条
1695481512# #《志愿军英雄313高地奇招：一个排长搞定两个营的美军！》志愿军英雄313高地奇招：一个排长搞定两个营的美军！
1700191094# #《福建首富黄奕住！比马云王健林加一块还有钱？机会来了要懂得把握》播放量：1423。作者：波仔走遍大好河山
1699095613# #《1998年长春黑老大葬礼真实录像！百辆豪车送葬，竟扯出一桩大案？》1998年长春黑老大葬礼真实录像！百辆豪车送葬，竟扯出一桩大案？
1695562471# #《拜访终南山道医源明，在药王洞修行多年，是祝由大师肖鸿钧弟子》播放量：4540。点赞量：65
1690074607# #《运33吨胡萝卜走绿道，却被要求支付4000过路费，要么卸要么缴费！》运33吨胡萝卜走绿道，却被要求支付4000过路费，要么卸要么缴费！
1688578242# #《河北神秘“预言家”疯婆婆，对2023年作出预言，这真的可信吗？》播放量：677。作者：礼SIR科普
1689131229# #小心暴雨水灾，今年气候异常，往年下完雨后不会闷热，但是今年闷热异常一天几场雨
1687459765# #《河南开封上百吨粮食离奇消失，上海老板神预感，报警：此人是贼1》河南开封上百吨粮食离奇消失，上海老板神预感，报警：此人是贼1
1696102960# #纵横天下的成吉思汗，一生中到底有多少个老婆？
1694300283# #《娱乐圈“家世显赫”的12位明星，个个不是普通人》播放量：1431。作者：猪猪盘娱
1702219017# #民间高手国演义最大的赢家是司马家
1693774914# #《中国第一家银行宣告破产！赔偿金额人均，高达50万》播放量：7232。作者：小珊的视野
1702639150# #《普京大帝，是个怎样的人？》普京大帝，是个怎样的人？普京大帝
1703840015# #《八个国家欠我国巨额外债，第一名令人惊讶，或将永远无法偿还！》播放量：3.3万。点赞量：2234
1690475366# #《山东诸将不服粟裕指挥，毛主席伤透脑筋，陈毅：借您一物可摆平》山东诸将不服粟裕指挥，毛主席伤透脑筋，陈毅：借您一物可摆平
1688255613# #《清朝老照片，溥仪和婉容年轻时候的合影》清朝老照片，溥仪和婉容年轻时候的合影
1687012031# #《烧烤店老板被城管群殴，遭男子反杀致1死8伤，不还手就得被打死！》烧烤店老板被城管群殴，遭男子反杀致1死8伤，不还手就得被打死！
1696102171# #93年韶山伟人雕像揭幕，三大异象无法解释，它们究竟代表什么？
1696531326# #中国最牛的三个省，出的将军数不胜数，一个省比一个省多！
1691277838# #《陈毅进山东六战五败，下属联名要求换帅，毛主席为何坚决不许3》陈毅进山东六战五败，下属联名要求换帅，毛主席为何坚决不许3
1693752106# #《搞笑配音美丽国跟蒙古的稀土合同，怎么看都如同废纸！》播放量：2.4万。点赞量：216
1692043609# #《全世界只有一个中国！美国华人逆流中勇敢发声：我不怕你们，抗议赖清德“过境”窜美》全世界只有一个中国！美国华人逆流中勇敢发声：我不怕你们，抗议赖清德“过境”窜美
1689167466# #《袁天罡预言2023年：一个孝子自西来，手掘干纲天下安》播放量：749。作者：斌哥奇闻异事
1696102500# #朝鲜动手了，美耍横日韩秒怂
1691453788# #《伊犁将军明瑞严拒哈萨克索要“逃人”，乾隆指示保卫边境不可柔懦》伊犁将军明瑞严拒哈萨克索要“逃人”，乾隆指示保卫边境不可柔懦
1691935745# #《刀郎的《罗刹海市》，到底是什么意思，来听小丽说一说刀郎罗刹海市》播放量：37万。点赞量：2.2万
1700281721# #《北极运30万吨原油回国，亚丁湾被海盗包围了，海员生活记录》播放量：9万。点赞量：8407海运
1701478958# #《“货币战”，输了！汇率下跌，经济28年负增长？或被美元再次收割》播放量：8093。点赞量：61
1695163101# #《匈奴抓到汉俘不但不杀，还给他们封官送老婆，匈奴在耍什么花样？》匈奴抓到汉俘不但不杀，还给他们封官送老婆，匈奴在耍什么花样？
1688276084# #《财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？》财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？
1695554249# #《终南山，素有“仙都”、“洞天之冠”和“天下第一福地”的美称！》播放量：2.7万。点赞量：426
1695247353# #《打击性不大侮辱性极强》播放量：2.5万。点赞量：1320
1691035325# #《人类灾难不断？曾仕强临终预言：东方将出圣人化解一切不幸》播放量：1070。作者：阿宝聊事
1690141572# #《一个美国军官被记者问到：中国军队和日本军队，谁更能打》一个美国军官被记者问到：中国军队和日本军队，谁更能打
1695063375# #《两大洋互不相容的海水，究竟是为什么》播放量：2.9万。点赞量：109
1692224567# #《中国缺钱不关我事，不愿捐华一分，转身捐外国70亿！》播放量：1.2万。作者：辉哥趣谈
1690860849# #《美元被釜底抽薪，除中国外，美盟友也抛售美债，耶伦也束手无策》播放量：4389。作者：徐量说
1702157944# #《天选之人你终于来了》天选之人你终于来了
1694023915# #《高人有言明年圣人出山，还知道那人姓氏出身，这究竟可信吗？》播放量：2万。点赞量：483
1691535389# #《勿忘历史吾辈自强》播放量：2.9万。点赞量：333
1691524878# #《震完后就出现这种状况，估计山东的朋友，今晚又睡不着了》播放量：4.9万。点赞量：157
1701990759# #《果敢三条路，东归祖国，独立建国，高度自治，哪条能成？》果敢三条路，东归祖国，独立建国，高度自治，哪条能成？
1699751731# #珍惜和平
