1700739205# #杨幂…天…
1700911049# #无人在意的角落，今天是金马颁奖典礼🐴
1689835992# #贾士凯发文了…。还是有一定影响吧，他都憋不住了。贾士凯为灭火器情节道歉
1692351717# #赵丽颖，今日品牌活动截图🈶，状态如何？
1693304878# #什么？宁安如梦空降？
1693038657# #网传的红海行动2主演阵容。。反对陈飞宇的比较多，但我感觉反对他的主要原因，并不在于他的私生活问题允悲
1697519079# #套娃版抄袭笑cry笑cry，之前，《为有暗香来》插曲《总是春》被指抄袭《长风渡》歌曲《唯愿》。《唯愿》的编曲老师回应称：“确实是抄袭，没有授权，我们这就处理”…。结果…《唯愿》也被扒疑似抄袭借鉴了2019年的🐧网剧《明月照我心》的BGM《初见雪》笑cry
1698323965# #张雪迎
1701269972# #谁修的图，都不像赵露思了
1690116356# #魏大勋的爆火意味着什么。意味着配角也有春天…
1703659719# #邓为前助理下的评论，看看👀
1692260502# #理涛，张雪迎当年没有胡辣汤事件，事业会变好吗？
1692111708# #这次，棣粉亏了…
1698231967# #95花女演员梯队图🈶，你认可吗？。榜首的是，关晓彤、虞书欣、赵露思
1698999139# #卢昱晓，这几步路走的允悲快乐的大脚
1690042113# #7.22号的票房，封神有点起来了
1703167942# #挑一个赵丽颖最扑街电视剧📺
1693139532# #九尾狐明明就是祥瑞。目测此热搜，封神胫骨跟涂山璟粉，要交流起来了…
1698978418# #围观一下elle空瓶。前1-7，9杨紫，最高2.7w。前8,10-13迪丽热巴，最高2.6w。。
1701776069# #无人在意的角落，南海归墟超点大结局了
1702382158# #丁笑滢…你…？？
1702048949# #新闻女王，算什么水平？
1695894749# #虞书欣，巴黎街拍又🈶新穿搭啦，如何？
1691263228# #睡一觉，点开手机，发现四个爆…苦涩…吓人…山东的朋友还好吗？
1703856812# #迪丽热巴开车这段，被审判了…大家怎么看？
1695123310# #魏大勋刘耀文两家粉丝友好交流中🤝。起因不详
1694606112# #🌸花粉好消息，鞠婧祎一番。🥜生粉坏消息，陈哲远需改日再爆
1701093213# #GQ部分嘉宾名单🈶，你最期待谁呢？？。GQ嘉宾关键词
1690439655# #杨紫、张晚意、邓为、檀健次、王弘毅，《长相思》见面会🈶，如何？
1701146281# #吴奇隆，你怎么回事？你老婆的新剧今天就要播了，你都不宣传一下吗？🧐
1702044435# #一念关山，前22集，角色戏份时长统计🈶
1695720421# #封神主演粉是不是都很心高气傲
1689680490# #安乐传，迪丽热巴龚俊特效VS配角特效。原来不是没有好特效，不给男女主用罢了…
1697555249# #退钱退钱哥重出江湖
1696659829# #我要开始胡思乱想了doge
1694240065# #卡琳娜仲尼。看过他们在豆瓣的扒料，只能说尊重祝福，🔒死
1702800345# #赵露思，你穿的什么？穿的什么？什么？
1703429104# #今年最扑的剧🎤？不许思考你好
1703582678# #邓为前助理被拖欠工资。“舆情团队随时在同步监控信息”。说明邓为团队啥都知道doge
1704171312# #田曦薇子夜归造型🈶，怎么样？
1698403376# #陈都灵，张天爱，文荣奖
1690554896# #疑问
1689842706# #人设方面，这纯纯是编剧的问题了…。。编剧把孟宴臣的人设，塑造成了仙品
1695979116# #虞书欣，G社生图🈶，如何
1699094656# #侯雯元和钟楚曦眼神打招呼。be学，哈哈哈哈哈哈，更好嗑了阴险
1700315485# #11.17云合估算播放量（明月版）。。宁安如梦5944（+802）。无所畏惧5204（+114）。乐游原1808（-186）。以爱为营1643（-430）
1690263466# #抽个紫粉来回答，这是真的吗？doge
1693234393# #田曦薇，无刘海VS有刘海，哪种更好看
1695037956# #内娱女星平台流量综合Top10。丽紫幂巴露，符合体感吗？
1702904730# #12.17云合估算播放量。。（明月版）。一念关山，7417w（+686）。神隐，3846w（+208）。鸣龙少年，2194w（+75）。脱轨，1099w（+159）。。（林克版）。一念关山，7864w（+561）。神隐，4057w（+131）。鸣龙少年，2318w（+28）。脱轨，1159w（+14
1698036913# #卢昱晓经纪人回应近期争议。我想知道，丞磊方工作人员有和cp粉互动过吗？doge
1703683103# #繁花，走势不太妙哦，下滑太明显了
1689950964# #啊啊啊后知后觉，莲花楼怎么深夜定档？这是算过的吗？
1691556977# #如何复刻魏大勋爆火之路doge
1696997594# #谣♂
1698998370# #陈牧驰
1689773070# #7.18云合播放量。。消失的十一层，5731（+444，大结局）。玉骨遥，5024（-157，超点会员在更）。曾少年，4391（+21）。我的人间烟火，4019（+565，这2天涨幅可）。长风渡，3312（-495）。安乐传，2196（+152，单集）。追光的日子，1823（+202）。不完美受害者
1701948538# #不懂时尚…允悲
1702213631# #虞书欣有容貌焦虑吗？
1702357941# #🍉迪丽热巴下一部剧是《白日提灯》，貌似是因为《万渣朝凰》开的太慢了，就先去拍《白日提灯》了
1690105787# #任嘉伦《时装》8月刊封面🈶，如何？
1691555994# #谁来总结一下王一栩的小作
1693397628# #陈凯歌…无处不在…
1702132707# #虞书欣舒淇合照来啦🈶
1697350856# #视频来啦~。“你能接受第一次去男友家，被要求去洗碗吗？”。来源见水印
1690259596# #前天7.23号的大盘估高了，真实大盘是35806。重新调整一下昨天发的数据。。7.23云合播放量（这次是准确数据）。曾少年，5227。不完美受害人，4225。我的人间烟火，3437。玉骨遥，2936。消失的十一层，2900。安乐传，2721。欢颜，2040。长风渡，2005。暮
1695628825# #吃🍉，娜然经纪人，是杨芸晴前经纪人思考
1702714394# #2022-2023爱奇艺破万剧V完结后热度走势。。莲花楼，长尾效应很明显
1693394833# #鹊刀门传奇算有效播剧吗？
1694753662# #爆人和爆剧的标准不一样，有些剧爆了，不爆人；有些剧一般，人爆了。只能说，邓为爆得不是那么显眼思考
1699417692# #在线催氪…？
1689492579# #平台接档古装剧，开压。🐧长相思。🥝莲花楼。🥭大宋少年志2。👖郎君不如意
1690007286# #长相思发了个MV片头，还不发新预告吗？顶。
1689766668# #杨洋这次算被网暴吗？
1697545047# #张晚意今晚的造型🈶，如何？
1695704032# #王乐君说拍伪装者时被胡歌砸断锁骨。认真看了一下，应该是剧组的问题比较大…不知道她为啥记恨上了胡歌允悲
1704001228# #刘诗诗官方后援会声明。大家怎么看？
1699944120# #乐游原，已播17集，总40集，现在什么水平？
1698575928# #报，于适工作室把陈牧驰打码了允悲。现在陈牧驰粉丝破防中…
1694519856# #宫子羽，什么狗屁人设，双标得很
1692782385# #cvb历史，央视前五名，卫视前三名，排名🈶。。王凯，两部一番剧，达成央五卫三。唐国强、雷佳音，两部央五。孙俪、靳东、于和伟、张一山，两部卫三
1701760225# #点击观看于正破防doge
1695371332# #9.21云合占有率
1701346206# #龚俊LV大秀视频🈶，表现力如何？
1689325075# #长风渡，更新到38集，今晚大结局，目前均集4617，热播期均集【大概】在5500-5800w，个人觉得上6000很难很难
1699234942# #来看评论👀，魏大勋粉丝把明侦22年的官博屠了。
1691051421# #好多人在拍，魏大勋你真的火了…前边忘了…后边忘了…中间忘了…左边忘了…右边忘了…
1700547958# #吴磊，撒雪，扫雪
1694863641# #明星真的会被工作室欺负吗？
1691054870# #邓为真🔥了，好人设就是加buff。邓为潮男上线
1698214699# #抖上有个铁匠簪娘网红，做过千机伞和铁的高跟鞋，之后推她老公穿女装出镜。现在她老公觉得自己红了飘了在闹离婚
1689351001# #昨天，魏大勋超话签到4.74万，王楚然1.28万
1700743224# #男明星来了，谁赢了？。龚俊、易烊千玺、于适、檀健次
1695878486# #罗云熙、张晚意、张凌赫，今日杂志大片🈶，你喜欢哪个
1700403413# #很想很想你，好起来了…
1693226985# #预估一下长相思，热播期均集大概在7500w-7700w左右
1690529539# #“林有有”跟“许沁”不一样。林有有，本身就是反派人物被审判是意料之中。许沁，可是女主是个正面角色…被审判，那可是真讨厌
1701593658# #官方回应五月天被质疑假唱。完全是粉丝闹大的允悲
1689846448# #7.19云合播放量。。玉骨遥，5191（+167今晚会员大结局。消失的十一层，4969（-762，大结局）。曾少年，4561（+170）。我的人间烟火，4079（+60）。长风渡，2929（-383）。不完美受害者，2558（+883，很不错哦。安乐传，2299（+103）。追光的日子，1965（+142
1688636889# #嗯……
1689252866# #插播一条，🍊粉把白鹿的广场屠了
1704271353# #大家注意，那种直播间衣服样式只有一件的，都是二手翻新的………
1700376416# #宁安如梦，目前热度9887
1693823478# #大宋少年志2，收视日历，平均收视0.289％，什么水平？
1701093952# #8⃣️粉🍇粉，又开始交流了，起因是什么啊？
1698763639# #看起来，好像男生…猜猜这是谁
1690985909# #虞书欣小🎺发的
1698997819# #《治愈系恋人》云合占有率＜2％，大概也在200w左右允悲也是扑扑的开播
1695393581# #郭麒麟在《庆余年2》里杀青了，有点胖了
1690799087# #王鹤棣、张淼怡同框动图🈶
1697881740# #“流量花🌸的路人缘，绝对客观”。。你们觉得客观？…
1697957827# #猜猜说的是谁？
1692008240# #火药味十足，不像演的doge。。杨紫：他跟防风意映伤我心，害得我吐血啊！。邓为：我跟防风意映也完全都是因为误会。。张晚意：渣男！！。邓为：你最没资格说别人，你娶了那么多老婆，你说别人是渣男！。众人：打起来打起来！。
1698891075# #网传的那个，angelababy工作室人员与18岁粉丝交流的录音。粉丝一直说假的，我反正觉得很真，这内容根本演不出来好么允悲。工作人员，戒备心很重，又句句无奈，嘴倒是挺硬的，咬死都没说去没去允悲，反倒是粉丝很呆又死心眼…话外之音已经那么明显了，还一直问二哈…
1701316670# #花粉为啥，喜欢牛牛，不喜欢顶刘允悲
1699081146# #丞磊，乖乖的展示手表⌚戒指💍
1695035767# #还有这种投票啊允悲
1699540445# #大家体感今年国剧质量如何？
1703761917# #人生若如初见
1688708050# #“后浪对吴刚有影响吗？”
1701434770# #哇哦～《酱园弄》女二，真的是杨幂哆啦A梦吃惊。杨幂赵丽颖酱园弄
1693056272# #909500生咖位图，大家觉得客观吗？
1695210118# #21年5月的投票，那时候都没人提虞书欣…
1688720461# #燕京啤酒官博撤下了蔡徐坤背景图笑cry。图三被手动打码…
1700470041# #什么鲨币模式。开支全AA，生育损伤全女方承担，男白得一个娃…。女孩子，千万别被这种看似公平的“独立女性”套路骗了
1690538181# #张子枫，今日活动图🈶，如何？
1697540303# #点击观看，犯贱被打脸。。男网友：“搞不懂女的为什么看海贼，男人的浪漫看得懂吗？”。女网友：“你头像都是我画的”
1695654680# #卓伟月底瓜🍉飞了，啊…又被骗到了打脸
1699001832# #elle红毯第一波。。陈牧驰、卢昱晓、胡连馨、蔡文静、杨玏、任豪、喻言、颖儿、李思思
1697868065# #白鹿请粉丝喝奶茶🥤
1694420472# #现在，云合出得越来越晚了…是不是要倒闭了怒
1697631933# #肖战粉和杨紫粉交流起来了…发生了什么？
1703589488# #王一博，新歌海报预告🈶，如何？
1700909005# #虞书欣，红毯照来啦，今天是俏皮公主
1695367020# #大家能分清，哪个是火光🔥，哪个是烟火🎆吗？
1696165684# #杨紫自己发的营业图
1702209293# #一念关山，第三次破万，热度10065新高，在线人数80w，什么水平？
1702809216# #男明星，卡大头，谁赢了并不简单
1696226257# #来看这个👀，CCTV电视剧发的，昨天的和今天的，其他剧的海报都没变，就把《好事成双》有张嘉倪的海报换了…
1702542178# #年龄35及以上，剧集演员扛剧实TOP10。。黄晓明、张译、王阳、范伟、刘琳、宋佳、陈晓、秦海璐、秦岚、靳东
1695372347# #云合热播期均集（统计至9.20）。。长相思7534，莲花楼5334，。云之羽3029，西出玉门2157，。异人之下2092，灼灼风流1801，。骄阳伴我1725，一路朝阳1711，。七时吉祥1702，她的城1695，。鹊刀门传奇1642，
1692883021# #罗云熙退退退。这个动图上了文娱热1，主榜热8
1702701103# #陈星旭粉圈要崩了，广场上内部在互相交流…
1697000452# #侯明昊，大梦归离新造型🈶
1697280508# #张婧仪在线怼粉：“你让不让我想发就发？”。。粉丝想什么呢，人家艺人和工作人员才是一伙的doge张婧仪你让不让我想发就发
1692266539# #天呐
1700721115# #《以爱为营》和《人间烟火》还是不一样的，骂归骂，倒是很少骂到演员本人身上
1693404651# #这是？…
1696332408# #粉圈就是，你觉得八竿子都打不着的，也能交流？比如现在：。罗云熙、薛之谦，粉丝在交流。檀健次、张译，粉丝在交流
1700650604# #张淼怡，你还有这一面啊😦？
1698733067# #今年大流量的剧，好多大翻车…
1703768639# #粉丝的接受度真的好高哦😐
1692712402# #Angelababy配文，总觉得在暗示什么…思考。。“不太喜欢七夕这样的日子，反正最近大爱绿色，快夸我可爱吧”
1699013596# #娜扎，这两套裙子，都是三毛做的，鲨疯了
1703737785# #以后再也不会全网搜遍了都找不到想找的那部片子，优酷推出AI搜片功能只需问一个台词，都能给你搜到出自哪部剧，就问你🐮不🐮？
1697722579# #吴楚一直播，我从头看到尾的，唉，感觉他可怜兮兮的都要哭了，反正，就很绅士的样子允悲
1694586364# #卢昱晓，剧外确实需要找个造型师…
1702364696# #现在，生粉最想舔的是不是《剑来》。剑来有遛过谁吗？
1691070165# #于正评王楚然：“演员大火之前不都要历劫吗？说明她要大火了！”
1701942281# #吴宣仪，gq红毯嗯…😑
1695818881# #坚如磐石首映礼，张艺兴和张鲁一，坐一起在聊天呢……互联网失踪人口张鲁一，搁这呲着个大牙聊天呢doge
1697369420# #不得了，张云龙加入丐帮了
1696236491# #吴磊粉在整活了doge
1688895532# #ymls嘴上不急，实际上还是有点急的doge
1704108875# #感觉孟子义昨晚演出最出圈。。是挺出圈的，但争议也大…
1699610086# #《宁安如梦》剧粉说爱奇艺首页的CP榜出bug了，剧粉相投的cp投票不动票数一直不变。
1704024670# #脱轨，现在什么水平？
1689057125# #张若昀唐艺昕。太涩啦🥵，感觉我像偷窥小夫妻情趣的变态
1689579449# #“顶刘到底有什么魅力，能吸到这么多粉？”
1698486355# #彭于晏，主要是因为他的剧都扑了吧？
1696078334# #有网友发现Angelababy在巴黎时装周戴的一个戒指，上面是有眼睛装饰的，但工作室发的照片每一张都p掉了眼睛。。。对此，大家怎么看呢？
1699802234# #doge
1700812836# #乌尔善说演员要对自己的行为负责。不是用封神官博支持吗？大鼻涕流到嘴边知道甩了doge早干嘛去了？
1704104829# #孟子义叫江苏卫视大哥。人设有点立过头了…
1700026708# #吴楚一、陈牧驰，总结🈶
1690614082# #再说一遍，就是糊，但凡火一点doge
1693459590# #采访一下，任嘉伦粉、刘宇宁粉，现在什么心情？
1700752287# #杨超越…？？
1695898424# #银河酷娱ceo回应点赞赵露思是手滑笑cry。然后又妙删了…
1702973359# #排卵期思考
1697702310# #侯明昊、田嘉瑞《大梦归离》新皮肤
1700196778# #赵露思，刘宇宁《珠帘玉幕》开机生图🈶，如何？
1701766623# #赵露思，这条裙子，嗯…大家觉得怎么样？允悲。赵露思快乐小狗
1690207760# #鞠婧祎，今晚直播状态🈶，如何？
1701065985# #周冬雨说自己是高级脸被抖人嘲了…。这恐怖的点赞数😬
1701659026# #刘宇宁，一念关山，扫楼，侧颜🈶，如何？
1692540660# #大家觉得，娜然这次，会有事吗？doge
1700219459# #檀健次，ELLE新刊封面🈶，如何？
1701763199# #李兰迪，真的好瘦了哆啦A梦吃惊，这个天气真的太冷了
1694779848# #男／女明星，Tiktok词条播放量🈶
1689659823# #看评论👀，龚俊粉冲了安乐传官博。。
1698816702# #angelababy敏感度实在太低，也不知道她怎么想的，老是在危险边缘试探，上次blackpink演唱会也是，当时风向已经不对了，网友骂骂就过去了，让她逃过一劫……结果，疯马秀还去，纯属于自己把自己作死的…
1688828481# #带你们走进重庆的非物质文化遗产
1703592146# #感觉近几年的明星没有星味儿…
1690874197# #7月都估低了大盘，每部剧都比估值要高一点，都能再加点汤喝喝
1696248969# #刘宇，G社生图🈶，如何？
1697109333# #长相思见面会🍉，没看懂…
1694702259# #内娱四大“时尚单品”。。1．甜饼与踩饼2．撕番与偷番。3．独爆与独美4．掀桌与上桌
1699160660# #杨紫，今日活动视频🈶，这个状态怎么样？
1702891371# #你是男生or女生，知道家里的经济情况吗？
1693580830# #骄阳伴我，首播1.47％，比一路朝阳大结局收视高，不错滴
1693896860# #妈呀，这谁啊，长得人山人海的哆啦A梦害怕
1699194596# #内娱可以吃一辈子的剧。不点开都知道，这是粉丝的吹🐮热搜
1691670653# #任嘉伦，今晚直播截图🈶，如何？
1699346335# #【宫斗剧里的避孕堕胎是最大的谎言】
1692096688# #好可怕的地广
1704269299# #1.2酷云全端、点播，播放量🈶。1.2云合占有率🈶
1695025592# #9.17酷云，全端、点播，播放量🈶
1695276234# #今天最开心的一家，是白鹿吧？doge。官宣剧，待播剧，待拍剧，四部全一番
1703560975# #网剧少年歌行2官宣。少年歌行2官宣，导演：尹涛。李宏毅、敖瑞鹏转发了官宣微博
1698306461# #刘诗诗，好细的腰
1703310069# #湖南卫视跨年晚会女明星阵容🈶。杨紫、赵露思、虞书欣、宋茜
1700897868# #杨紫，今日活动造型出图，怎么样？
1700471436# #黄子韬真的是糊透了…鹿晗没啥事业心但可以靠粉丝养老完全没问题；黄子韬是真的糊到没边了…当年怼粉那么神气，现在演唱会门票打1.1折都卖不出去笑cry。黄子韬原价2368内场票降至262元
1691478078# #大家会看吗？
1695374574# #陈牧驰，米兰造型🈶，如何？
1692785304# #六元粉丝还好吗？允悲
1688624115# #7.5云合占有率。玉骨遥登顶了
1696164212# #鹿丝🦌，需要靠你们转移矛盾了…doge
1688650350# #张若昀庆余年2路透🈶，变帅了怎么回事？
1692456417# #把热巴踢出去，8姐罪不至此…
1693040445# #有网友发文评燃冬：陈哲艺还是太相信本国观众了，巴拉巴拉一大堆，意思就是观众品味差…。。下边有人辣评：“能选择这部片子的观众应该大部分比三位演员文化水平要高，如果观众都看不懂，我也很难想象三位演员演的时候是清醒的…很不巧评论被删了doge。。。也就是说，观众都看不懂，这三个人能看懂剧本？
1690204329# #现在接着看莲花楼
1696057094# #主旋律⭕不动票房啦？志愿军票房涨不动
1692453815# #17岁的娜然
1697361408# #那些跑路的瓜主，你们可以去豆瓣吗？豆瓣很少能有上万粉丝的，你们发我来搬你好你好，嗟来之食，好吃好吃好吃😋
1700554549# #虞书欣告了王鹤棣大粉。棣欣引力be了
1689862450# #害……妹妹也是他们play的一环吧…哆啦A梦害怕哆啦A梦害怕
1695029150# #《逃离大英博物馆》要拍动画电影了
1695735202# #迪丽热巴王俊凯秀场坐一起。迪丽热巴、王俊凯，那年今日再现，秀场又坐一起啦！
1697436713# #迪丽热巴，周也，秦岚，原相机合拍视频来啦，美女们贴贴哇
1692871792# #罗云熙，成毅两家粉丝还没结束，还在交流…
1694787098# #田嘉瑞被骂了…
1699358485# #不到一个小时，在线人数60w，爆剧开局。接下来，能不能行，全都交给剧情了笑cry。宁安如梦
1700106334# #虞书欣，横店秋日穿搭合集🈶，时尚感如何？
1702277247# #在暴雪时分
1701178018# #11.25-11.26-11.27。云合估算播放量（明月版）
1700280906# #预言，景甜和张凌赫的《四海重明》会pu个大的
1693202486# #理涛，张凌赫，还有可能爆吗？
1702974444# #2023年共7部剧集进入🐑CVB历史前十。《狂飙》《画眉》是CCTV8唯二上榜的剧集，90花彭小苒是年纪最小的一番演员
1704036804# #来提名谁的表演最拉胯doge
1692190092# #暑期档，各平台日活量提升最大的四部剧，正好是暑期档各平台播放量最高的剧
1688653548# #韩漫现在是这个画风么？哆啦A梦害怕
1701958960# #王一博、杨紫、杨幂，同框视频🈶
1702366317# #李涛：四字是不是资源降级了？
1699853208# #图太多了，发不完
1702038584# #于适陈祉希看到辟谣，才知道有这个瓜笑cry
1692952433# #初版相柳
1692438393# #邓为，现在，单抗男主可能差点，但做流量花的男主，还是合适的
1699162656# #y1s1于适，对电影⭕的🥜，威胁挺大的。他还有封神2、3的存货，目前对古偶赛道还是安全的
1702819844# #叔叔们都困了🥱
1701941202# #曾舜晞，GQ造型出图，这裤子太潮了
1695972019# #啥呀，这是…
1690887008# #王弘毅，出场了，剧里长这样
1695733558# #有网友在米兰，偶遇了孙怡和滕光正…。上次周杰伦演唱会也是他俩被拍到了，然后否认恋情
1695647871# #号外号外📢，张凌赫在巴黎当互联网流水席男友……谁羡慕了？苦涩
1701503715# #网友提问：像罗云熙这种就一直演古偶仙侠，到最后是什么咖位？
1696844466# #取经贴：“丞磊怎么才能不靠cp”
1694091208# #宫子羽的爹是李相夷吧。这个热搜被成毅粉控完了笑cry
1689338469# #奔跑吧难怪抠图要抠2周，后期真伟大…。。换个角度，殉了个蔡徐坤，从而获得了巨大的关注度，广告商都笑了，也不亏…
1692295724# #郭敬明上线了…他不会在线围观吧…😦
1699616228# #无人在意的角落，《风起西洲》已经更11集，但实在太扑了，云合估算播放量都不统计它，一直＜2%
1697698020# #朝夕相处，日久生情
1703766513# #繁花，今天的收视，很不妙哦，比昨天都要低
1692288783# #想到了苍兰诀直播…哄好了2.0允悲
1691660715# #莲花楼，破万，酷云点播9500w+，云合9500w+，含金量有的
1700041489# #11.14酷云，全端、点播播放量🈶。11.14云合，占有率🈶
1701854219# #12.5酷云，全端、点播，播放量🈶。12.5云合占有率🈶
1696515789# #10.3-10.4云合估算播放量（明月版）
1704254308# #日本ELLE评选的全球影响力人物。。内娱五位男明星上榜。宋威龙、王一博、肖战、王嘉尔、杨洋
1693229151# #看了70真的很担心狐妖，两部都担心
1703514118# #到点了，吃宵夜了吗？谨慎点开doge
1703303596# #很可惜，一念关山，播放量一次也没破亿
1689684613# #“我敢肯定赵露思能成女顶流”
1696169838# #杨紫，G社生图🈶，这状态如何？
1697902279# #他真的好会撩
1701663079# #汪文斌分享迪丽热巴新疆舞外交部新闻司副司长兼发言人汪文斌分享了迪丽热巴跳新疆舞的视频哆啦A梦吃惊
1702353360# #打更人，田曦薇的镜头少得可怜，一闪而过
1700287782# #无所畏惧，什么水平？
1693633087# #七时吉祥8月最热神话剧
1693480897# #投稿：邓为官方反黑站皮下爬墙罗云熙
1699937826# #狗仔：大爆剧男演员塌房，塌到没脸见人的程度。结果：苏小玎街边随地小便…
1696946884# #lisa这一身搭配，不便宜啊
1699343927# #宁安如梦，能不能空降
1703677759# #12.26云合估算播放量。。三个版本差距不大。大家随便看看吧
1701430323# #双云之争☁️，酷云，云合，你更相信哪方的数据doge
1690269050# #黄晓明、蒋欣主演《潜行者》定档7.27。莲花楼的奶妈来了并不简单
1697279046# #王星越，可以去做做鼻子，缩缩鼻翼你好
1692619873# #李兰迪，真的瘦啦
1701756183# #嗯哼？是不是需要矫正下颚
1699948025# #据我观察🧐，以前邓为粉踩檀健次还要装一下…现在慢慢的就不装了，粉丝多带来的底气吗？允悲檀健次粉这边就很少搭理他们…但没啥作用…
1703139098# #🍉肖战参加东方卫视跨年晚会
1703502629# #赵丽颖刘宇宁沧桑写在脸上这个热搜上的有点古怪的笑cry
1692951050# #成毅戴假发片。两家真是有来有回笑cry，昨天上个退退退热搜，今天上个假发片热搜
1693127711# #于正刘亦菲唐嫣哪个更有演技。于正能这么委婉回答，说明什么？说明刘亦菲和唐嫣他都得罪不起二哈
1692625075# #经常刷到说灼灼风流，剧本好剧情好…有追的人说说吗？是真的？还是纯纯粉丝诈骗？🙊
1688700808# #反正我猜不出是谁二哈
1703854777# #李一桐也有粉丝脱粉回踩？…？
1698730827# #阿沁发的，大家如何理解这张图
1691412684# #真要这么说的话，那不就反而证明，桃的热度不水…实打实的观众热度收到
1692089391# #《长相思》豆瓣开分7.6，17.7w人打分。《莲花楼》豆瓣开分8.0，23.2w人打分。《大宋少年志2》豆瓣开分8.3，1.9w人打分
1694528754# #南风知我意没人看吗？怎么没动静？
1696127115# #《大梦归离》侯明昊、陈都灵、程潇，田嘉瑞，开机应援🈶
1693125330# #暑假结束啦…这个暑假谁爆出来了？
1689605195# #这图，想到了犬夜叉，谁懂？
1701873269# #阿信回应写那么多，就不能直说“没有假唱”吗？这四个字烫嘴吗？
1695709725# #张鲁一不会真的失踪了吧？那个亖狗仔连续喊话两次了，整个剧组没一个人吭声…
1703386665# #一念关山，超话签到数据，谁有效播剧了？
1699369168# #国色芳华，杨紫、李现，这基本是定了吧
1703681861# #有看了繁花的吗？来点真实的评价你好
1692598657# #李兰迪，美美收实绩啦
1697097112# #剧爆了，但是财报亏损是因为什么？
1695536344# #tg：95花生评选。大地之父丁禹兮，大地之母张婧仪，认可吗？
1693982849# #张子枫，上来就是vogue银十
1700540828# #云合热播期均集（统计至11.19）
1696649811# #95生的电影饼盘点
1700321805# #胡馨尹费沁源。有时候在想，没有证据，几段文字，就指责别人80，是不是也是一种80？
1703515387# #徐峥近几年怎么不演电影了？
1699887380# #好歹毒的代拍，看把小杰瑞拍成啥样了…
1688993211# #如果你问我，世界上有什么无止无休的事，那一定是，三字粉与四字粉的爱恨情仇…又开始了
1693656374# #啊…这…为什么要给0帝脸上打这么白的粉😦？
1695712786# #豆瓣网友说她们在跳皮筋允悲
1697012695# #孟宴臣生日，魏大勋穿的蝴蝶T恤🦋
1703050563# #雪中悍刀行，播得时候口碑不咋样，长尾倒是给力
1693445835# #太细节了，所以感觉不像假的允悲
1691230668# #我对比啦，soul估的偏高最多，明月估的也高，林克估的稍高……林克估得最低也高了
1697269418# #丞磊，客串大梦归离，又一个造型🈶，如何？
1702563585# #脱轨，开播4集，目前最高热度2727
1699449738# #烟火时，魏大勋和孟宴臣，都是夸的，基本没有贬的，为什么现在这么多人踩了？
1694323502# #“为什么好多人觉得白鹿实绩强啊？”
1694685332# #岁月史书，《千古诀尘》被防爆的很惨吗？
1689937111# #莲花楼。快定档，快定档，快定档…
1701432009# #邓为，直播截图🈶，如何？
1702869969# #刘诗诗，新杂志，恶女风
1695101198# #这里面有几个人…？
1703851389# #这个世界终于疯了
1698995740# #卢昱晓，不好看，土土的，还没请造型师吗？
1692365678# #王鹤棣，今日直播截图🈶
1689142474# #迪丽热巴，时尚芭莎八月刊预告🈶，如何？
1695039243# #孙阳撸走粉丝的戒指。啊？
1699023252# #你别装看书
1694592403# #张凌赫连线说啥了，怎么不体面了哆啦A梦害怕？有看直播的吗，来说说🙉
1689783523# #梁朝伟没点进来之前，以为有什么大瓜可以吃了耶
1702537099# #狗仔曝白敬亭宋轶恋情细节。够了，我说够了，直接空降文娱榜一
1703904867# #肖战、张婧仪《藏海传》开机路透🈶
1697176061# #向涵之，仙台有树妆发造型出炉，如何？
1697426967# #白鹿、卢昱晓同框照来啦。。白鹿仪态很好哦，卢昱晓还需要练练你好。白鹿卢昱晓奔跑吧路透
1699451939# #宁安如梦，现在的情况就是，没有像预期的那样，爆开疯走，比预期的效果低了那么点…今晚新更的集数在线人数也不给力…。第二天嘛，还有机会，明天的云合不会差的，今天一整天的热度还是可以的。
1701083180# #胡歌给刘诗诗一念关山打call了，辱追粉成功了doge胡歌为刘诗诗新剧打call
1689173283# #重新预估，安乐传，均集3000w+左右
1702031607# #吴磊、赵今麦《在暴雪时分》倒油宣发🈶。当下小娇妻可不是个好词doge
1689337675# #奔跑吧蔡徐坤没有了，毫无p图痕迹
1697531592# #“庆余年2就属于良性循环吧？”
1701269003# #爱奇艺独播古装首日成绩🈶
1699933968# #倪妮，elle闭年刊
1697623796# #虞书欣，抖🎵跳舞💃营业了，如何？
1693897764# #云之羽OST试听。。张杰《云之羽》。虞书欣《赐梦》。毛不易《山月不眠》。希林娜依.高《云泥》。陈楚生《远山如昨》。叶炫清《等我变成我们》。田嘉瑞《歌者》。周传雄《终角浅》。。我觉得最好听的，是陈楚生的那首你好。。
1692282548# #冰雪尖刀连，被抬走了笑cry
1699532351# #卢昱晓，今日活动生图🈶，如何？
1689087815# #“当了粉丝还能体会到单纯追剧的快乐吗？”
1698031406# #杨迪、刘雅瑟、朱锐禁言了
1702438236# #本来央8黄金档对次黄档，影响就大，好的奶妈直接就能拉高收视
1700979771# #《一念关山》可以啊，竟然请到任贤齐出山唱OST！江湖气息拉满，有港风那味了666
1690696837# #白敬亭粉丝还是给力
1700479565# #藏海传，肖战张婧仪，真是他俩个哆啦A梦吃惊
1699432415# #11.7酷云，全端点播，播放量🈶。宁安如梦，酷云首播1286w
