1700933996# #老人回忆当年大饥荒！
1694178664# #一时之间分不清谁是替身，看一遍笑一遍！笑cry笑cry笑cry笑cry
1702898845# #由于新冠确诊病例持续上升，12月19日起，新加坡将恢复通报每日疫情数据！
1703503273# #店家上错菜，顾客也吃了，但顾客不愿付这个上错的菜钱，由此商家和顾客产生争执……。各位觉得如何处理比较妥当？思考
1700835232# #国外山体滑坡现场！
1701697671# #物理老师来一下嘻嘻
1701597942# #马拉松现场摆拍，真有才！
1701433053# #想吃点啥！
1702862143# #爸爸带着女儿乘地铁，小女孩就像是年画里走出来的娃娃一样，网友：我怀疑她爸爸有车不开，就是坐地铁炫女儿的。
1701695639# #女生乘公交车因没座位当众发飙，在车上大声怒喊“给我让座！”，乘客上前教育被其辱骂。
1703288033# #女孩进店碰到玻璃，磕掉两颗牙齿，商家不管不顾。女孩应该索要赔偿吗？
1697088799# #自已想不开还要拖累别人！
1697748176# #厉害了，穿着拖鞋还敢这么嚣张！
1696051885# #国际油价并没有很离谱啊！！！！
1702771420# #【博主探销量第一烤肉店后厨遭老板威胁】哈尔滨一博主闯销量第一烤肉店后厨被恶心到，老板磨刀霍霍：把拍的删了，不然让你出不了这屋！
1695087264# #共同富裕不是搞一刀切的平均
1701400049# #据参考消息11月30日报道，北约秘书长声称：乌克兰在战争中“还能作为主权国家继续存在”，这就是一个“巨大的胜利”&nbsp;，被疑“在为对俄谈判做口头准备”
1702802065# #12月16日，江苏盐城。男子进屋就跪地要钱，店主表示：该男子十分猖狂，让人反感。有手有脚的干点什么不好。网友：看到他挂一个二维码更生气。
1697631238# #这是某位大佬花180万办的一桌酒席。大家开个眼界。
1697027435# #网传山西临汾市生态环境分局隰县合局。31名在职工集体罢工。官方:领导正在开会讨论此事
1697938288# #威力惊人！
1690951919# #这样的房间住起来很压抑
1703835851# #农村相亲真实记录：今天这个女生挺漂亮的，一看就适合过日子，小伙子一下子就相中了！这个男人送二手口红允悲确实是人才！
1704024072# #路旁夫妻吵架，男子开车路过无辜被砸，奔驰车：我招谁惹谁了……
1692880767# #啥时候又复古上海滩夜总会的舞蹈了
1703122478# #预制菜让很多餐厅都不需要用锅子了，好多厨房用品都成摆设了……
1700818636# #一智障男孩用共享单车堵婚车，必须给100块钱才能走~~~~
1695547939# #冲动是魔鬼，。这大哥的操作看不懂...
1694087951# #希望这个视频能缓解你所有烦恼！
1695938034# #干实业的还是有两把刷子！
1702433596# #“检查例行检查！”外卖小哥送餐时车被小区保安上锁，好心小哥把链子给剪开。网友：像这种严格的小区，平台直接不给派单就好了，这样骑手保安就没冲突了。
1690946006# #大疆发布AVAT无人机，自带头部追踪技术！
1697411992# #意大利罗马，警察与支持哈巴斯的示威者打成一片……
1702638346# #大货车起火，小车司机一路大喊将其追停。
1702988440# #原来这个200多万粉丝的网红还有这么嚣张的一面，这无理取闹的网红抖音给查查吧，总不能因为粉丝多就想要特权吧做人要低调！
1690294809# #张维为教授：中国民主决策，总体上质量明显高于西方。。。
1702993503# #一酥饼店连夜做5000个饼支援甘肃地震灾区。一酥饼店12名工人连夜做5000个饼，送往甘肃临县地震灾区，还准备到现场拉面。一方有难八方支援，为他们点赞goodgoodgood
1690108059# #女孩被骗缅甸3年，穷到没钱买卫生巾，完不成KPI就卖到其他诈骗集团！再没业绩就卖公海“噶腰子”！跟新浪看热点
1702126268# #男孩发现女友和异性喝酒过夜当街咆哮:为什么第二次还去！
1693741610# #出手最狠，回头一看自个伤的最重
1701949206# #重庆潼南一路段发生交通事故摩托车侧翻被卷入油罐车底
1694752063# #养牛场日常清理！
1702237797# #一顿操作猛如虎，结果摔成二百五！
1701523392# #粉丝爆料这个是某远洋渔船上发生的，船员工作时被钢丝打飞，已经和鱼躺一块儿了。
1691294421# #老人在国道上拦车收钱造成重大交通事故
1703890121# #男子医院门口违停造成拥堵，还对视频车放话你下来弄死你，随后又别停视频车多次，警方传唤还没到案，真的是太嚣张了…
1693056517# #游鸿明湖南衡阳曲园大酒店演唱《下沙》
1703078718# #真是高手在民间，这四个字每一笔都出乎你的意料……
1693830898# #老人上高速公路拦车。9月2日，湖南一高速路上，一老人拦住了过路车辆，导致了严重堵车。。
1690979869# #老师晒体育课时小学生不跑步的理由。网友:请假理由比大学生专业笑cry笑cry
1702520781# #【令人发指！】12月10日，浙江杭州。网传一女老板不让股东和员工进门，还对怀孕员工泼水并殴打……怒怒怒
1703248738# #黑妹零元购，被追问，恶语相向……
1702140610# #自动分拣包裹经过“传送带”时，上面就有“灯”扫描上面的“二维码”。从而提前“通知”转轮往那边转！
1690692626# #很精彩的表演！
1703679277# #12月25日，广西南宁。高校舞蹈专业学生齐跳"广西科目三”，瞬间嗨翻全场！
1704024572# #鬣狗的用餐时间……
1701920704# #疑因女子骑车强闯小区与保安发生争执，当着孩子面被打倒在地，物业：女子先动的手，保安已辞退。
1703582165# #两小伙未做任何伪装盗窃超市，被摄像头全程拍下…盗/窃
1690344706# #秦刚，共和国历史上任期最短的外长，2022年12月30日—2023年7月25日。
1702900159# #别致大视野的红包别致大视野在发红包哦，
1698358290# #舞跳的不错！
1702294275# #严惩校园霸凌行为！
1702127091# #爸爸带两娃戏浪，其中一个险被卷走，路人。急的大叫，爸爸浑然不觉！
1691280430# #分享视频
1693954015# #消防意识一定要加强，一家人的心血瞬间灰灰烟灭了...
1698235837# #视频里一家三口，如果他们不自我介绍，我真的就以为是普通鱼贩，结果一个本科211，一个硕士985，年轻的两人带着自己的娃在街上卖鱼费解！还不是店铺，一个摊子而已。看过此视频的网友纷纷留言表示太夸张，简直不可思议！
1690557418# #近日在周口八一路大桥这，一女骑电动车，不幸碰着大堤上柱子摔倒了，这女子“恼羞成怒”下来就给这个看大堤的男子不愿意，“非让他道歉”男子说我没碰你为啥给你道歉?是自己碰着柱子摔倒的，女子说为啥要堵住不让过，男子说又不是我堵的，后来报警了，警察来了还是让道歉，警察说不应该给你道歉，竟然
1702498489# #视频车第一次实线并道然后大灯闪前车？？费解
1702731681# #抖音网友在南岳衡山坐车排4小时队，太垃圾了！
1694941262# #金正恩的座驾是这样开进火车的，司机边是边开着车门边倒车的，这驾驶技术确实有点牛啊。
1701180581# #爱心绝螺偷樂好歹毒啊！
1703569691# #逆行，超速，人行道……
1693057967# #老10如果还不是儿子恐怕还要生下去允悲
1702824804# #意大利非法移民的诉求这是来当大爷的呀！
1701930418# #孩子当街被抢，父亲怒杀三名人贩！
1697689565# #要少妇还是少女，你自己决定！
1702629811# #吃冰激凌突然舔胳膊。美女瞬间戴上痛苦面具。此味只应天上有
1701040517# #你是中国人，那我是哪国人？？？
1702817420# #女子明知道自己身患艾滋病，梅毒性病的情况下，在出租屋进行…………
1702703016# #这女司机撞了女电瓶车主，下车过程中眼睛都没离开手机！！！
1698495554# #这样修路，来年刨开的时候多麻烦呀？
1703387145# #现在的挖机也烧煤了吗……
1703392159# #12月24日湖南衡阳船山大道，一外卖小哥被撞躺在地上没有任何动静，面部有血渍，电瓶车离人有十几米远，一女子（疑是司机）在焦急打电话，愿外卖小哥没事🙏🙏……衡阳身边事
1701600362# #这样的酒，不喝也罢！
1697523681# #直观感受罗威纳有多凶猛
1701992127# #中学生被三名学生打成植物人?广东阳春市教育局通报:成立专门工作组
1696834411# #汽车防撞梁！
1693808025# #感觉这是在帮倒忙啊！
1703641721# #一位身材曼妙的小姐姐在跳舞，身后聚集了一大群男生在围观，网友：男人至死是少年
1702866149# #12月18日山东，渣土车撞上一个牌楼。网友：这下有得赔了！
1701600541# #驾驶员60岁，考取驾照后很少开车，又是在重庆这样复杂的路段……确实挺害人的！
1693260955# #亮灯的道口有工作人员但不能收现金，不亮灯的道口灯坏了没有工作人员但能收钱，视频车去了亮灯的道口！
1702638486# #这个蛋糕怎么切？？？
1690592916# #青岛被教练致死的8岁孩子，尸检报告已经确定，被钝器多次击打导致内脏破裂血管堵塞多器官衰竭而亡。
1703216977# #夫妻癌症晚期排不出尿液疼痛难忍，儿子急得一身汗，硬生生帮父亲吸出来，网友：“这老爷子有这儿子值了”！
1690424295# #【傅晓田的瓜，整得那么大！】傅晓田婀娜多姿，千娇百媚，据说年纪轻轻就在美国拥有豪华府邸，还生了一个儿子不知道爹是谁，出门坐的是私人飞机。跟新浪看热点
1703906318# #12月29日山东，网友发视频称：一男子坐公交车到站忘记下车，当公交车行驶到马路中间时候…男子让司机开门，司机说没有到站不能开门，结果他把车门硬拽开了……
1696235317# #身怀绝技！
1701262528# #广东潮汕，两位新人演唱《奢香夫人》，引全场来宾大合唱，婚礼秒变演唱会嗨翻全场！
1698585644# #🇲🇲“今天上午（10月29日）攻占40多年的老营盘，敌军已经溃逃”
1698127905# #霍启山为了追求张雨霏，不惜飞往海外。而在这个过程中，霍震霆也再次出手牵线，帮助两人进一步接触。据网络传闻，张雨霏的妈妈已经同意了两人的发展。然而，张雨霏的教练已经明确表示：不允许谈恋爱！
1691193160# #骑电动车三心二意，人还在动，旁边的人不敢救援……！
1703123272# #许小年谈中国经济，说出了多少企业家的心声……
1702296263# #路况不佳视线不好还开这么快，发现的时候已经晚了……晕晕
1701173115# #来自黄金劳斯莱斯幻影的压迫感，车牌号就够普通人买辆车了！
1700836995# #电瓶起火，很难扑灭！
1701487540# #东西没错，位置错了浙江平湖城管以理服人网友:我被彻底说服了！
1697796032# #能不能人道主义一点？怒怒
1696848572# #地表最强80后！
1694388369# #广东一高校食堂档口，因饭菜低于13元不涨价被罚款，校方：食堂承包方所为，已纠正。
1690986767# #猩球崛起之娥媚猴！
1694430024# #好肉不剁馅，好果不切块！这老头太缺德了！
1702045990# #按摩店遇到这样的姐姐，我要怎么办？
1697418813# #以色列空投传单要求加沙北方约110万居民向南方撤离，据悉已有40多万人向南方走去，加沙民众当年投票选择了哈马斯，求仁得仁，现在该是为自己的认知买单的时候了。。1945年美国将向日本投掷原子弹之前，向日本各大城市投放了6300万份警告信，要求日本民众撤离城市。
1697848089# #西方国家领导人的权力虽然不够大，但在位不怕被推翻，生活的像普通人一样，也没人多看他一眼，到站下车，不担心被栽赃清算。。
1690607462# #消防车来了，保安居然不开门！
1702518641# #男子手拿一沓钱当街发福利，太豪横了……网友：最讨厌这种人，都不提前说一声。
1690394513# #我自横刀向天笑，去留肝胆两昆仑！
1700995982# #孕妇不要平躺太久，孩子容易缺氧！
1703767421# #罔顾民生，丧心病狂！售价35000元的药品成本只有百元不到亿点曝光计划
1701212636# #班禅规劝僧众:要潜心修行，减少对手机等电子产品的依赖。
1701461850# #鱼也好这口？允悲
1690757409# #人家好不容易找了个老实人doge你们别嫉妒
1691105952# #湖南老人过世，土葬抬棺上山！是不是全国风俗都一样？跟新浪看热点
1701576729# #老人误把烟花当香点了……
1702771450# #别致大视野的红包别致大视野在发红包哦，
1703844597# #12月29日据法治进行时，潍坊安丘，多位青年夜晚放烟花持械斗殴，知情人说参与者次日均被警方抓获。
1701262643# #买白糖实名什么梗，弄不明白，有懂得吗？
1698060631# #以色列士兵逮捕哈马斯武装分子！
1692912743# #19岁女孩怀孕4个月和男友私奔。养了二十年的女儿一句。“我们包经没关系了”头也不回走了父亲:怎么劝都没用眼泪都哭干了
1703332387# #全村女人外出代孕，一年净挣200W！村民:儿媳五十岁也去了
1690942291# #男子多次强行拖拽女子女子猛烈反抗
1703835706# #人心险恶，狗命不保…亿点曝光计划社会百态
1700967220# #狗子这是在练科目二吗……
1701909590# #老朝鲜战士缅怀先烈的时候留下了眼泪
1698667265# #缅甸北部爆发激烈冲突！网友拍到我国战斗机在边境上空盘旋！
1690104072# #世界上最宝贵的资源是信用！
1691032671# #第一眼以为是要碰瓷！笑cry
1703339385# #马保国空降沈阳，闪电五连鞭重出江湖！马老师掌握了财富秘码…
1694645944# #多大仇啊，瞧吧大爷给气的doge
1692833713# #既然是市场经济就把经济交给市场，不要行政干预，搞形式，搞运动救不了经济！正付要为经济保驾护航，让私有财产有安全感，有人敢投资，经济自然会好了！
1703646320# #易中天讲中国人的智慧，118分钟的视频，建议大家先收藏后观看别致大视野的专属圈子超话！
1702493640# #这警卫挺能打，距离管理的真好，秃头拿着刀也没有用。
1703769081# #喜从天降，八方来财，来沾沾喜气，也愿甘肃地震的人民平平安安，健健康康
1690972316# #碰到这种人该怎么办？？？
1697758134# #以色列驻联合国大使吉拉德·埃尔丹要求联合国秘书长就加沙医院事件对以色列的谴责道歉，这是耻辱！
1702044768# #她为什么要录视频呢？？
1698236266# #正在欢呼的武装分子被以军炮弹击中瞬间！
1703719316# #澳大利亚墨尔本，一场为盲童筹集资金的慈善活动被冲上舞台的亲巴勒斯坦抗议者扰乱。
1693711754# #京东快递车把人给撞倒在地不闻不问，他的同事看了一眼就走了……
1703469193# #碰到这种情况，人都会气死……
1695798173# #大叔来了！
1701177216# #网友吐槽长沙的网约车司机态度问题。网约车司机认为自己属于运输业，乘客认为网约车属于服务行业晕……主要还是单价低了司机哪里笑得出来，又不得不开！
1701461537# #大半夜的，是谁在地库轰油门
1700967382# #中国专家笑谈马斯克的星舰投机取巧，毫无创新！
1703181303# #12月21日(发布)，湖南娄底。车站候车室内，旅客候车把脚放在椅子上，工作人员多次劝阻无效，被迫将其赶出候车厅……大家怎么看？
1693564893# #津ADJ0303，开车不系安全带、穿拖鞋，被提醒后还下车挥拳打人，打完直接开车离开，不是一般的嚣张。
1702700310# #狗子遇到这样的主人也是倒霉啊
1690551355# #朋友来了也不让进来，太不懂礼貌了笑cry
1690451218# #2005年，郭台铭以32亿美元坐上台湾首富宝座，一时间风光无限。然而，名利双收后第二天却突然传来噩耗，陪伴自己白手起家的发妻因病去世。郭悲痛不已，对媒体表示：“如果可以换回爱妻生命，我宁愿倾家荡产”。爱妻离去，他每月都去墓碑前怀念她，即使遇到封路，也要硬闯进去。后来他还花费10亿在捷克
1696934072# #决定给予钟庚赐开除党籍处分，按二级科员确定其退休待遇……罚酒三杯！北极鲶鱼爷爷被开除党籍
1692765818# #并不是谁拍谁有理！
1697549959# #成都咬伤女童大黑狗有主人很多网友说，白狗没有咬人，大家不要对它有恶意。
1691215602# #居然还有这样的工程，有知道是干嘛的吗？
1702651344# #视频中的外卖小哥与保安又一次上演这种类似的争执，结合前几天发生的事件，你们都应该理智一点，别因小失大！。。【案件回顾】12月5日晚上10点多，李沧区某居民小区监控拍到这样的一幕：54岁保安老赵与32岁的外卖员小李发生争执，大概就是电动车不能进小区这事引发的后续。谁能想到一个保安身上还带着刀
1702353111# #男子银行取到连号新钞，眼见幸运就要到手……网友：没有期望就不会有失望！
1703115081# #史上最牛网约车司机。网友爆料：今天的网约车司机真很牛，就是坐他的车会害怕……哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1700211071# #拘留所超过七十就不拘留了，离他们远点，溅你一身
1702776904# #威海暴雪积雪到膝盖，山东“雪窝子”不是白叫的。
1703038775# #12月19日广西，两个卖甘蔗的摊主发生矛盾，都在互相伤害对方的财物。
1690683659# #狗狗真的会偏心的。允悲
1701747081# #突发！泰国一旅游大巴发生严重车祸，致14死35伤
1702355812# #这人是在跑酷吗？
1703421673# #全部都是预制菜，以后开餐饮连厨师都不需要了！
1698408095# #分享图片
1702630893# #男子被好心女孩赠予饼干，转身去换烟，遭拒后当场踩碎饼干费解
1700308712# #这话说的没毛病！
1693988708# #查的好，抓的好，有些主播年龄实在太大了。笑cry
1703164813# #地铁内女子一人占两人位置男子提醒后的动作让人惊呆了网友：公共场合请注意举止……
1703379138# #吃饭到凌晨三点喊小女孩倒水，对方没听清男子怒砸3个啤酒瓶。。
1701476207# #这卫生打扫的可太敬业了！
1690982466# #一根竹竿钓这么大的鱼，大爷可以吹一辈子！
1697439207# #这厕所玻璃不是真透明的吧？
1694088256# #被老师打破头骨女生已清醒警方通报:涉嫌故意伤害罪涉事教师已被刑事拘留！
1697949430# #新西兰国会里尴尬一幕，笑翻全场！
1702884054# #给住院婆婆吃泡面博主被拘惊天大反转！“给住院婆婆吃泡面”事件后续：账号被封，女博主被拘。。山东聊城警方近日通报称，一名网名“林姐肉夹馍”的女子涉嫌伪造信息、编造虚假情节，通过将婆婆的住院事宜进行不实报道，并让其母亲配合摆拍视频，以此牟取关注和流量。对此，警方已依法对其作出治安拘留
1689493895# #捐款寺庙，功德无量！
1701567293# #曾经大学校花，如今的顶级车模，出场费高达50W，到哪都是焦点🔥
1703996915# #看日本人怎么放鞭炮……
1691056440# #中国当代第一代比较成功的资本家。双马、刘、黄、王等是第二代。区别于寡头垄断。这些资本家是透明的。
1693576008# #麦芽糖制作全过程！
1701129265# #哈以的人质都有区别，明显以的人质比哈的凶多了！
1690876132# #大批武器装备通过哈萨克斯坦运往俄罗斯，哈萨克斯坦表示，这批重武器都来自于一个神秘国家。
1702787159# #一大波游客上岸了！
1703583099# #12月26日，北京。公交车司机行驶途中晕倒与对面车辆发生剐蹭，乘务管理员紧急刹车。目前司机及两名磕碰伤员已送医，交通已恢复。
1698540941# #“都照上了吧”多么亲民的总理！您把人民放心里，人民把您举高高！
1694099254# #大叔干完活，雪糕就白酒，没走到收银台，就开始过瘾了，是驱寒还是解暑呢？？？。.
1702908023# #一对情侣结婚烧鞭炮，由于车辆漏油，引起婚车被烧。事发时间地点：12月18日广西
1697418780# #在德国美化哈马斯罪行将被起诉，英、法将驱逐支持哈马斯的外国人和留学生。
1698675699# #他不仅是联合国秘书长，还是74岁的老人。致敬！
1698451030# #2021年，他做了肺癌手术，按说以他的地位就此休息，一分钱收入也不会少。结果他愣是不闲着，到处讲打姨苗的好处。。。
1703221372# #还能这样开车吗……
1701299744# #有网友表示，其实罐子是完好的，这样做一点都不危险，并且大街上好多小摊主都是这么弄得。个人看着不安全，其实一点也不安全。看得人胆战心惊，要知道煤气罐一旦受热，里面的气体会迅速膨胀，在密闭空间产生巨大的压力，到达一定值后会突然爆炸。（Via:湖北应急管理）
1703309095# #12月23日广东广州，网友上班路上以为是爆水管，原来是地陷了……允悲
1703425443# #【阿富汗抗议妇女要求立即释放塔利班监狱中的妇女】。。多位被称为「阿富汗新思想运动」的抗议女性在抗议活动中再次表示，释放朱莉娅·帕西和内达·帕尔瓦尼对她们来说还不够。该运动还要求立即释放被塔利班监禁的其他妇女。
1703078113# #德国农民开着农用车前往柏林交农，要求政府取消取消农业柴油福利和车辆税的计划。
1697342905# #拾玉米大部队又来了！
1690956385# #这厨房设计无敌了，夏日下厨也不会觉得热了！
1700482736# #在缅北搞电诈人员被消除中国籍，在国门外，缅北的人员将他拖走，别在国门口哭哭啼啼。
1701144431# #80年代计划生育广告！
1700397597# #篮球宝贝！
1696762081# #早产儿还能活吗？？？
1694254383# #这男子，是得有多后悔喊妻子来挪车……遮阳帘都懒得下！
1690278114# #医院不要以盈利为目的。教育不要以盈利为目的。住房不要以盈利为目的
1690987356# #珠海某社区医院，男子医院打针对护士进行辱骂，妻子劝阻被拳打脚踢…
1700008274# #加沙地带的人口都不是十年增三倍了，1948年以巴分治的时候，加沙约30多万人，第一次巴以战争埃及占领了加沙地带，人口没有多大变化直到1967年的第三次中东战争以色列从埃及手里夺回了加沙地带并占领，人民的生活水平迅速提高，生育率大增，到如今的200多万人口。。上世纪九十年代，以色列将加沙地带归
1702879175# #12月18日浙江，现场目击者说渣土车闯红灯撞向在等红绿灯的电动车，电动车车主被压在蓝色标志牌下面。（事发地点浙江宁波）
1693396712# #说“人话”的李显龙！
1701972929# #女子骑电动车见缝就钻车急刹被钢材刺穿车头。司机当场去世
1698241018# #是不是动物吃胖了都会有三高？？？
1697340359# #用眼镜帮助手机对焦！
1690077625# #最近怎么三哥就成了背锅侠？
1703735004# #在路上肆意奔跑溜冰，撞车后走了，母亲三天后报警。驾驶人：我都不知道发生了什么……亿点曝光计划
1702125451# #女子凌晨在酒吧门口，与其他男子搂搂抱抱被男友发现，知情人:两天前才刚与男友订婚！一起来投票
1700141104# #男人的快乐就这么简单doge
1702554665# #潘子劝嘎子少卖假货，这里面水很深！笑cry
1696914041# #纯属意外，这个真不怪司机。
1701867260# #其实大家都忽视了，摩托车上高速只能走最右边车道！！！！！所以…………不冤……
1690522696# #非洲奇怪的二手衣服！
1702779018# #荷兰警方对付非法移民的挑衅行为！
1703297926# #大爷身体真好，倒头就睡……
1703216917# #女子花7元打特惠车被司机嘲讽一路，当事人：司机全程都是在跟别人打电话，吐槽特惠车便宜不赚钱，说一些特别难听的话。网友：奉劝有些滴滴司机哈，不爱接自己就关掉特惠！
1702644771# #浙江台州，把自己的电瓶车砸了
1703033558# #300多万粉丝女网红直播提甘肃地震，笑嘻嘻的称：跟我有什么关系，这是无知还是哗众取丑！
1702750885# #12月16日广东，佛山。全职妈妈带孩子摆摊，被村口一个大爷驱赶。喊话：再不走我就叫城管过来
1703591603# #当初的爱情，最终还是败给了现实。别致大视野的专属圈子超话
1701060585# #佛渡有元人
1703076755# #这是在青海的网友拍摄的，除了人民子弟兵来到一线灾区救援之外，还有很多工程人员也参与其中……
1694307019# #沃尔沃免费广告！赞赞赞
1690428775# #突发：尼日尔军人26日晚在尼国家电视台发表声明说，已推翻总统巴祖姆，将封锁尼边境并在全国范围内实施宵禁。跟新浪看热点
1693696304# #游客亲眼目睹翼装飞行现场起跳万丈高空惊心动魄网友：别忘了我们是可以呼吸的
1698317653# #10月26日，四川成都，男子疑因拦车致身亡男子先是把摩托车横停拦车，又再次扒另外小车的车门。男子意欲何为？警方已介入。
1701424002# #这届年轻人是懂潮流的！
1696121363# #这应该是美国的国土安全部下属的海关边境警察，自今年前半年德州阿博特州长下令国民警卫队巡逻阻挡偷渡者和修建铁丝网后，美国总统拜登即下令联邦执法人员剪断铁丝网，帮助偷渡者上岸。人道的联邦政府和自私的地方州府，你更喜欢哪个？
1703662349# #魔芋别致大视野的专属圈子超话有毒，但中国人已经吃了上千年奇闻异事
1690553054# #大哥气质这一块拿捏的死死的！
1693810358# #马路大道宽又阔，汽车径直驶向等红灯的外卖小哥。网友：崎岖坎坷咋就这么多！
1697249364# #加沙居民南逃已经四五个小时了，不是人人都甘愿成肉盾。
1698319546# #棒子向瘪三的头部打去！
1702796792# #12月16日河南，小男孩骑电动车被一名成年男子撞倒。不但没有向小男孩道歉，还侮辱谩骂小男孩，导致小男孩精神崩溃！
1703506557# #乘客手机落出租车上，被司机勒索要钱后打电话拒接，司机：“我怎么缺德了”社会百态
1696939409# #头一次见这么“炸裂”的厕所有一种皇上“登基”的感觉。上厕所的仪式感直接拉满了
1702948209# #突发❗️伊朗德黑兰空军司令部被炸！。。剧烈爆炸产生的冲击波，整个城市都么地感受到……。。以色列超话巴以冲突
1703250196# #几万块的油没了……
1701703881# #这是干嘛呢……费解费解费解
1693702394# #AI机器人参加扇耳光大赛，差点被扇到关机！
1690381384# #李显龙谈俄乌战争新加坡立场！
1701970593# #夫妻结婚5年还未怀孕，检查发现妻子还是。chu女，丈夫:对她没一点兴趣
1690591288# #伊朗两个约5000人的加强团进入乌克兰与俄军并肩作战，英国媒体证实了这一消息！
1702642647# #白所成枪杀2警卫草木皆兵已成惊弓之鸟！！
1701179831# #街道上流出免费温泉水，男女老少裹着棉袄排队来泡脚，“老舒服啊，四五十度的水”
1703546753# #都几乎吃完了，突然发现它还会动…
1703246181# #印度孟买一穆斯林男子，在社交媒体号召印度穆斯林醒来和印度教圣战。。。
1698359019# #打疫苗之前要签一个风险提示说，自愿承担一切不良反应后果。这个就很迷。不打疫苗的话还不行，上幼儿园和小学的时候，要打疫苗的地方给出具证明（已全部接种疫苗）打的疫苗，除了乙肝水痘疫苗等还有很多不知道是啥作用的疫苗？而且小朋友每次打完都会不舒服好几天
1700830424# #现在的农合形同鸡肋，小病报不了，大病报的少，自从有了农合，抬高了入院门槛，提升了治疗费用！人均380，一家四口就得上千，不交吧万一有个三病两痛更承担不起，农合俨然成了农民新的负担，食之无味，弃之可惜！其实农合最大的受益者不是农民，而是遍布全国的乡镇卫生院，虚报冒领，发家致富了！
1703546485# #据说是狂犬病发作，好恐怖！
1703646016# #观在的小孩真叛逆，要钱不给就揍奶奶…
1700392794# #俞敏洪对话王传福。对比亚迪伙食赞不绝口！
1690206996# #假如缅北犯罪集团绑架或诈骗美国公民会是什么结果：上次墨西哥黑帮，杀了个美国人，自己把凶手抓起来送过去了，还公开道谦！dogedoge
1692912044# #黑龙江大庆网友爆料，老家田地里突然冒出石油，已经好几天了！
1698318156# #在战场上已经被明令禁止的白磷弹，都对普通老百姓用上了的国家，会在意别人怎么说怎么看吗？
1702004967# #正黄旗和正蓝旗哪个地位更高，听听地道的北京大妈怎么说...
1697307928# #黄大仙被绳子缠住了，主动找人解开。躺地上也不咬人也不叫，非常配合，绳子解开就走了！
1691100770# #水没来，先下网！！
1703899431# #洪森的别墅很大的，孙子孙女们直接可以在内部踢足球，...柬埔寨
1701477586# #有没有220度？
1690542937# #看似很危险，其实一点也不安全
1691201745# #鹰妈妈给宝宝喂食！
1694176269# #缅北某电诈园区人员集体冲大门逃跑，之前被控制的这次都可以回家了。doge
1697715239# #女子随手丢垃圾被路过女孩捡起，女子觉得自己尊严被冒犯，用自行车连撞女孩，并连扇女孩耳光，声音清脆可闻。怒怒
1690929918# #换个岗位，继续逼逼！
1700997248# #开霸道，不走寻常路！
1700222893# #有知道这是干嘛吗？
1690957958# #高压电就这么光秃秃的，真不行盖个油布也行呀！看着真瘆人允悲
1701513989# #世纪名画制作过程！
1693514844# #绝不偷工减料！
1694212654# #烧了挺好的，环境污染不到哪去吧，倒是农药打多了更污染环境
1703848451# #这得是大东北才能上冻成这样吧……
1702624738# #浙江金华，这房子拆了真可惜泪泪怒怒
1702883437# #现在生意也不好，配料也要钱的！
1703932039# #﻿网贷12月29日重庆，通过车友会结识男友，"恋爱脑"女生为其贷款40余万元，结果男友消失不见（来源：重庆广电）
1698187852# #被持续轰炸后的加沙！
1690437385# #大爷把牛拴到电线杆上，结果悲剧了！
1702890117# #12月18日天津，女子发视频吐槽某单位工作人员在小区出口排队拍照，不懂安全意识。
1690853744# #脱裤子放屁，多此一举！
1703114832# #公交车由于天气太冷，导致车门被冻住打不开。乘客问司机说：我等你一小时了，为什么还没有到。惹得车上乘客哈哈大笑～笑cry笑cry允悲允悲
1703506362# #网友爆料！南阳一学校没收手机后，当众用锤子进行销毁热点社会百态
1700882857# #11月22日，江苏。父母离婚伤害最大是孩子，看着孩子看似无所谓的挥手背影，心里太难受了！
1694733403# #拿破仑：一头雄狮率领着的一群绵羊，会战胜一只绵羊率领着的一群狮子，有道理吗？切勿贪心……
1700210935# #生死看淡不服就干看以后你还敢不敢
1698152399# #在以色列对DeirAlBalah的致命空袭后,一个叫Khaled的小男孩在巴勒斯坦加沙的AIAqsa烈士医院的尸体中寻找他的家人。
1702649711# #村里开了60多年的中药店突然不让开了店里连夜撤走所有药材众多村民为在门口鸣不平！
1700614016# #阿根廷新任总统：国家行政部门统统取消！
1703571601# #一看就是成功人士……
1691018384# #100亩红薯没有窖，收获在即难审批！
1702950860# #老人和残疾儿子盖新房却惨遭邻居阻拦并殴打，邻居：敢盖房打废你
1698117983# #实力悬殊所以敢这样集结
1703268116# #从这个舞姿来看，也门的战斗力不容小觑……？老师夸夸
1701996128# #这风是真大啊
1702165126# #女子和其他男人外出游玩被丈夫和儿子当场抓现行网友。这种女人趁早分开别跟自己过不去
1694307257# #这距离...撞到对面的柱子上了吧？黑线黑线
1703066397# #【成都师范回应男生校园里暴打女友：情侣间纠纷，警方已介入！】12月19日，网曝四川成都师范学院一对情侣起冲突，女生在校内被男生挥拳暴打。视频显示，女生与男生发生争执，男生突然起身挥拳击打蹲在地上的女生。20日，成都师院保卫处工作人员称，二人是情侣，发生纠纷进而吵架。女生没什么事，已被
1700568761# #这个电车一家人都挺狠，高速上出了翻车事故，快车道躲车后面坐着晒太阳？
1693742663# #一男子拿板凳殴打外卖小哥！
