1703776970# #baby白鹿遭导演组区别对待两人当场罢录，金靖趁机上位，笑坏坤坤
1703864101# #孙丞潇做导游气坏朱丹，吐槽：不要扭扭捏捏！金莎的反应让人傻眼
1704163574# #赵露思厌世妆超惊艳！连背影都是“香”的，王安宇忍不住盯着看！
1703829421# #谢贤穿皮裤上场，状态好的不输年轻人，一点都不像80岁！丨掌声
1703992501# #我们不是生活在一个和平的年代，我们只是生活在一个和平的国度！
1703550255# #金莎回忆与男友初相识，注意孙丞潇下意识举动，爱不爱都在细节里
1704177749# #BBDO最年轻的首席创意官！比男生还酷、说话斩钉截铁，惊呆陈铭！
1704201809# #白敬亭喜欢宋轶是有原因的！皮肤白皙腿还长，穿上超短裤看呆郑恺
1703687866# #清凌凌的水：村长正和俏寡妇腻歪，哪料女儿回来搅局，瞬间扎心
1703834110# #吴昕做客毛雪汪，送懒人沙发，李雪琴迫不及待就躺上去！丨毛雪汪
1703991241# #甜馨听妈妈说吃蛋清长力气，毫不犹豫一口闷，被夸得越吃越来劲！
1704576961# #黄渤把黄磊看透了，只要妨碍他赢，就被视为不守规矩丨极挑
1704466621# #最强大脑首播就是国际赛观察间，水哥和昆凌体验了双脑、10笔、1位数加减法、间隔0.8昆凌最强大脑
1704197125# #32岁谭松韵保养太好了，嫩到快要掐出水来，满满少女感丨国剧盛典
1703898901# #赵本山毕福剑这段小品堪称经典，全程高能笑点，看一次笑一次！
1703679301# #甜馨一个翻身摔下床，哭了几声迅速恢复，果真是女汉子丨爸爸回来
1704176609# #按照张大大的要求！范丞丞的屁股越翘越高，这一幕笑死丨奔跑吧7
1703798110# #笑的肚疼，被baby糊满泥面膜，李晨：你这是毁我容啊！奔跑吧
1704034444# #张柏芝给大儿子打电话，全程飙英语，却遭儿子冷漠对待！丨好看
1704377220# #孙红雷刚抢完黄磊，就被罗志祥狂追，黄渤急得跺脚丨极挑
1703925301# #许魏洲《朋友的酒》，谭松韵忍不住嗨起来，反观任嘉伦贼逗丨向往
1703906101# #小沈阳：我唱首刀郎的歌！赵本山：你唱个屎壳郎的吧，全场爆笑！
1704018781# #张雨绮参加公司分享会，自我反思，变来变去的性格会造成很多麻烦
1703599335# #金莎恋爱脑实锤！孙丞潇对结婚的看法让人傻眼，周一围：太不靠谱
1704486841# #还是严敏敢拍，豪掷4千万分给嘉宾，王迅激动坏了丨极挑
1703765710# #要提起毛不易在明日之子的夺冠之路，就一定不会忘记薛之谦！
1703877301# #小品《不差钱》爆笑片段，小沈阳丫蛋成“组合”，把赵本山乐坏了
1703545335# #蒋丽莎发烧39°都要见老公，这是有多想啊，太腻歪了！
1703541735# #蒋丽莎了解陈浩民的一切喜好，亲手制作老公爱吃的梅干菜饼！
1704284761# #兄弟情翻车！黄明昊控诉贾乃亮诈骗，大张伟神接梗亮了丨极挑9
1704434581# #同样都是创业，孙红雷连工资都发不起，黄磊满兜都是钱丨极挑
1704527881# #罗志祥被节目组坑惨，拿出全部家当，全打水漂了！丨极挑
1703950501# #奚梦瑶和她的纯金小土豆，原来富有也会限制想象力
1704304441# #宋亚轩《爱情转移》舞台，冬日多巴胺造型，谁看了不说绝丨王牌
1704441781# #只有郑恺受伤的世界！被罚浇墨鱼汁，裤子都湿透了丨王牌
1704556956# #你好星期六檀健次当面说何老师矮，何老师直呼他在骂人，太逗了你好星期六檀健次
1704569761# #孙红雷莽夫实锤，暴力拆道具，黄磊：你不干拆房子可惜了丨极挑
1703865421# #朱茵女儿罕见露面，女儿长相成功避开妈妈的优点！丨我不是明星
1704199574# #本以为倪妮很高冷！谁料看到大导演，依然得被迫投怀送抱丨金鸡奖
1704181349# #baby跟郑恺雨中乘船！岸边路人却狂喊黄晓明，baby表情耐人寻味！
1704446281# #中华小曲库！严浩翔丁程鑫神默契答题，贾玲还在状况外！丨王牌
1704273961# #孟子义和初恋五年和好六次，在不断尝试中，反复印证两个人不合适
1704080101# #危情杜鹃：歹徒假扮物业闯进来，年轻保姆一人在家，这下惨了！
1703752500# #0713微博视界合体！张远王栎鑫陆虎谁都不敢假唱，开口直接就飘了
1703824502# #甜馨和奥莉姐妹情深，有小男孩欺负她就打他，李小璐耐心教导！
1704319621# #不能让沙溢当卧底，太容易露馅，被杨迪抓个正着丨王牌
1704423781# #五哈团太能折腾，邓超累得肌肉颤抖，结果白高兴一场丨五哈
1703962441# #王嘉尔用短袖剪背心，李小璐一脸嫌弃，仿佛开辟了新天地！
1704374521# #张云龙全黑look难掩帅气，民国小说贵气公子男主有了脸丨红毯
1703772910# #杨迪送礼物都印自己头像，吴昕想退回被说绝情，毛不易真实反馈！
1703922661# #这季花少全员喜剧人，秦岚不愧是电音朵拉，每一帧都好笑的程度！
1703664901# #爷爷说甜馨最黑，甜馨恼羞成怒大喊三声：我不黑！表情超逗丨爸爸
1704338521# #孙红雷重新高考，被女老师的生猛吓到，表情管理失控丨极挑
1703782621# #孙丞潇撒娇尬到抠脚！周一围吐槽：别装天真了好吗？金莎快醒醒吧
1704157380# #小伙真有两下子，开着鬼子的坦克轰炸鬼子，小鬼子都傻了！
1704521761# #宋亚轩《如果有来生》舞台，戴着陶喆送的耳返唱着谭维维的歌
1704286141# #男人至死是少年！窦骁吴奇隆尬舞，中二魂燃起来了丨追星星的人
1703807821# #周一围拒谈见家长往事，吐槽：别没事找事！朱丹的憋屈肉眼可见！
1703939701# #张云龙是什么喜剧人啊！报仇时连苏有朋都不放过，暴躁直播怼弹幕
1704388681# #郑恺玩谐音梗，让刘涛跪地模仿麒麟，沈腾感觉要被吃了丨王牌
1703538135# #蒋丽莎五年刨腹生四胎，产后都不坐月子，却留不住陈浩民的心！
1704033181# #甜馨玩耍摔倒磕到石头，贾乃亮看在眼里疼在心里，抱着小腿直亲！
1704551641# #李雪琴向宋轶安利冻梨，一提东北特色，毛不易不自觉心虚丨毛雪汪
1703967301# #外国人在中国竟被外语欺负了，怎么大家都会这么多种语言啊！
1704283289# #白敬亭错把茶叶当牛肉干！一口啃掉半块，笑疯金晨丨现在就出发
1704318841# #杨坤跟老外玩传声筒，被粤语歌难倒，瞬间怀疑人生丨王牌
1703858221# #周一围公开质疑节目组，直言：我不是来演戏的！朱丹敢怒不敢言！
1703964781# #岳云鹏当漂流官兴致大增，直接跳下水，一个接一个地往下送！
1704099800# #“济公”游本昌太值得尊敬，一番话鼓励年轻演员，满满的正能量！
1703579055# #快乐家族给张杰过生日，五人抱团痛哭，贾乃亮都震惊了！丨饭局
1704412981# #杨迪徐志胜比野性，彭昱畅连做俯卧撑，征服全场女粉丝丨王牌
1704286888# #300斤的孙越给吴京踩背！这次战狼都遭不住了，感觉全身关节断了
1704469381# #胡海泉唐艺唱《初恋》，很难不说爷青回忍不住摇摆丨天赐的声音
1703998441# #甜馨看到妈妈拍的照片，觉得自己好漂亮，摆好pose接着拍！
1703792101# #叶一茜被鱼市老板上课，生意好的不用宣传，宁愿多拿几条也不讲价
1703800621# #周一围女儿奴实锤！被问：喜欢儿子还是女儿？果断回答所有人笑喷
1704098101# #最后的王爷：王爷被关一个月，哪料出来大清没了，连士兵都能揍他
1703985301# #赵本山一开口就是段子，郭德纲都不是他的对手！
1704478561# #关晓彤犯迷糊，抢答被丁程鑫截胡，把沈腾气坏了！丨王牌
1703867702# #这就是中国：为了支援疫区，中国两个月里调动一千亿资金！
1704535081# #贾乃亮一开口就是老综艺人了，太懂导演组，大张伟都佩服丨极挑9
1703673467# #影视：军统特务抓走了团长，女记者去救人搬出当司令的哥哥
1704421081# #罗志祥向村民借火把，对方索要签名，直接掏出纸笔丨极挑
1704296941# #贾玲的嘴没有创作瓶颈，专克杨迪，一开口让他接不上话丨王牌
1704254489# #37岁郑恺被安排当跑男长辈，白鹿开口一句“叔”，郑恺直接破防！
1703812510# #吴昕自曝不会化妆被嘲，赵露思一句话，直接温暖了吴昕丨童话
1704394981# #沈腾沙溢模仿三轮车，被关晓彤杨迪挑刺，气得要退赛丨王牌
1704489361# #双黄合体！黄渤黄磊联手创业，要把孙红雷搞破产丨极挑
1703901061# #有什么是王栎鑫不敢说的吗？离婚梗百玩不厌，好兄弟都是正面插刀
1704510961# #黄磊教孙红雷抓麻雀，现场就地取材，一个锅就够用了丨极挑
1704260774# #难怪古有烽火戏诸侯！看完关晓彤这段《惊鸿舞》，全懂了！
1704159974# #搞到真CP了！王安宇赵露思红毯拍照，牵手太自然了丨星光大赏
1704524281# #难怪邓超人缘好，看他关照王勉这段，真的是娱乐圈前辈典范丨五哈
1704173009# #白鹿不记仇，一般有仇当场就报！秦霄贤跟她组队，直接被扔入泳池
1703861821# #真实还是低情商？周一围丢下朱丹拒绝录制，直言：真人秀不是演戏
1703758000# #程雷口中的精彩女人，一生从事教育，没有什么是她不会的丨妈妈
1703918101# #这就是中国：需要10天的任务，这些战士在武汉只用了2天
1704427381# #邓超举报李诞违规，却遭陈赫包庇，鹿晗直接说王勉叛徒丨五哈
1704568441# #红毯还得看王一博！撕漫男既视感，时尚度领先内娱好多年丨星光
1703520135# #家庭地位一目了然！朱丹被问：周一围听你的吗？下意识回答好卑微
1704020041# #谢娜第一次听张杰唱歌，就被深深震撼到，不是歌迷是铁粉！
1703997181# #杨超越最大的开销是衣服，一件裤子买两次，穿的次数多被粉丝嫌弃
1704387781# #最强辩手！沈腾刚说一句话，惠英红都直接求放过丨王牌
1703559735# #江疏影为了通过红线，死拽着郑恺的裤子，抓的位置让人脸红！
1703928901# #张子枫首次镜头前自己化妆，秒变蘑菇屋观光对象，太逗丨向往
1704113581# #现场铁证：死去战友托梦，给刑警队长提供线索，果然有收获
1703773370# #90岁游本昌再唱《济公》名曲！鞋儿破、帽儿破！引全场大咖合唱！
1703568255# #剧本都写不出的综艺名场面，刘涛用散光的眼看最歹毒的话！
1704199349# #BBDO最年轻的首席创意官！比男生还酷、说话斩钉截铁，惊呆陈铭！
1704606845# #名侦探柯南新兰小情侣这题我会！是时候拿出我的珍藏了心
1703764405# #baby当妈还这么皮！小海绵晚上不睡觉，baby竟这样吓他丨战至巅峰
1704460681# #老戏骨的演技太绝了！张晨光挑战激怒沈腾，对戏太精彩丨王牌
1704260941# #刘涛答题短暂失忆，一道题磨叽半天，沈腾看热闹丨王牌
1703797021# #孙丞潇回应“软饭男”质疑，表态：时间会证明一切！金莎感动爆哭
1703677066# #影视：小男孩唱歌引鬼子进山林，各种机关让鬼子有去无回，过瘾！
1704605761# #杜华描述王一博，沙溢直呼杀马特，都赶上吴桐了丨王牌
1704005641# #外公给奥莉煮玉米吃，不一会就吃掉两根，果然是玉米忠实粉！
1704438181# #歌红人不红！陆虎捧红别人牺牲自己，张远止不住心疼丨告白记
1704533641# #陈赫挑战极限记忆力，邓超在线捣乱，真是笋到家了！丨五哈
1703758970# #60岁的她再获金鸡女配！上台胡歌霍建华都对她深鞠一功，地位太高
1703955241# #郑恺不讨嗯哼大王欢心，绕过他看动画片，太扎心了！丨爸爸回来了
1703970901# #薛之谦成名前有多心酸，刚火就被公司雪藏，唱片都要自掏腰包！
1704221341# #沙溢伪装哑巴，现场跟杨迪耍心眼，黄渤被泼太惨了丨王牌
1703916901# #听到小沈阳要上星光大道，赵本山反击：你上炕都费劲！丨春晚
1704281161# #沈腾沙溢800心眼子，关晓彤直呼被威胁，不想跟他俩玩丨王牌
1704011581# #朱亚文直言经纪人是母虎，操心一娃找对象，来自“老父亲”的担忧
1704372841# #沈腾为了挽回信誉，家底都掏光了，回来只剩空手丨王牌
1704195749# #“老谋子”登台领奖！大厂CEO亲自登台送花，生怕折了张艺谋面子
1703602935# #金莎质问孙丞潇：你是在扮猪吃老虎吗？男方眼神躲闪，终于露馅了
1704035701# #徐璐点红酒，乔任梁买单数字震惊，含泪喝下一杯！丨相爱吧
1703927701# #王牌“抽炸弹”擂台赛，贾玲华晨宇穿的太好看，惹关晓彤不服气
1703903701# #这就是中国：美国想拉着印度抗衡中国，却连钱也拿不出
1704267974# #江珊《我要你》尽显成熟女性韵味！这醇厚的嗓音，戴玉强嗨翻天！
1703688961# #向佐忘记化妆间有摄像头！下意识拍郭碧婷屁股，简直太大胆！
1704249974# #本以为女明星都很瘦，怎料穿上性感泳衣后，好身材呼之欲出！
1703892901# #中国：外媒：控制疫情是“违反人权”，疫情失控是“治理失败”
1703853301# #郑希怡本来不想生孩子，却因为意外生下浸浸，带娃毫无经验！
1703974501# #要提起毛不易在明日之子的夺冠之路，就一定不会忘记薛之谦！
1704311641# #大型社死！宋轶看自己早期微博发言，全是心灵鸡汤丨毛雪汪
1704309721# #宋轶因洁癖陷入社交难题，去别人家吃饭都自带餐具还消毒丨毛雪汪
1703813701# #向太哪里都是眼线，向华强去夜店刚坐下来，广播就让去柜台听电话
1703929861# #娱乐圈躲不掉的年龄梗暴击，吴奇隆被调侃成活化石
1703840221# #朱茵大女儿罕见出镜，长相真是一言难尽，怪不得不愿公开！丨明星
1704410281# #黄渤不想挑粪，耍心眼跟罗志祥换师傅，太鸡贼了丨极挑
1704146581# #李云龙三人公然抗命，倒是各有各的歪理邪说
1704459781# #陈赫竞选画大饼，徐志胜瞬间被忽悠，智商遭李诞疯狂吐槽丨五哈
1703947861# #杨迪也是整治娱乐圈的好手，当众内涵杨洋，说不敢抢杨洋的戏
1704070381# #鬼子扫荡完村子，下秒被八路碰上，直接抄起家伙揍鬼子！
1704413881# #男主争夺战！沈腾黄渤在线飙戏，剧情抓马让人扣地丨王牌
1704398581# #吉克隽逸被老外的粤语搞蒙，无条件相信华晨宇，引贾玲吃醋丨王牌
1703872261# #文松唱一首《青花瓷》，竟能模仿6位歌手，腾格尔简直太像丨王牌
1704391381# #罗志祥王迅演小品，浮夸的假哭，把考官都逗笑了丨极挑
1704520681# #孙红雷买走所有金条，查完国际金价，直呼赚翻了丨极挑
1704189925# #30岁陈小纭身材有多好？穿泳衣惊艳出镜，每一帧都是料丨运动会
1704477351# #昆凌最强大脑奔着颜值这季《最强大脑》有昆凌也稳了，不知道周杰伦会不会去探班
1703859310# #小亮仔陈雅薷游泳踢馆，叶一茜看到了儿子和专业选手的差距！
1704433381# #邓超遇到自己的模仿者，又是一个名场面，就跟照镜子一样丨五哈
1704465781# #关晓彤华晨宇搭戏，沈腾秒答对，默契度让黄渤羡慕丨王牌
1704555241# #当黄晓明卖起萌来，黄景瑜对可爱过敏，当场抖鸡皮疙瘩丨极挑9
1703592135# #姐弟恋危机重重！孙丞潇被问：父母不喜欢金莎怎么办？回答好现实
1703750899# #恩爱夫妻上节目，感谢王为念四处奔波，太感人了丨大王小王
1704247289# #48岁钟汉良跟30岁黄景瑜同台！丝毫看不出年龄差，一个比一个帅！
1703849701# #向佐不希望郭碧婷婚后出去工作，听到一大段的反驳，自己都懵了！
1704500161# #马頔帮鹿晗写rap词，被宝石老舅一句话刺激得当场翻白眼！丨五哈3
1704012841# #甜馨听妈妈说吃蛋清长力气，毫不犹豫一口闷，被夸得越吃越来劲！
1703975581# #岳云鹏当漂流官，瞬间成德云社香饽饽，挤着坐一条船！丨斗笑社
1704174374# #本以为吴宣仪的奶油腿很美，结果看到苗苗的超模腿，又白又嫩啊！
1704183808# #白慧明被于谦宠成小公主！嫁给于谦20年，今天才第一次下厨做饭！
1704075301# #十里洋场：情侣在房中正亲热，哪料警察追逃犯突然闯入，当场吓懵
1704072901# #罪域：兆哥亲自带队灭口女记者，不料刑警队全程护送，兆哥怂了
1704246374# #本以为王鹤棣西瓜头已是巅峰，谁料泳帽头，彻底笑疯范丞丞丨奔跑
1704222089# #安崎孟美岐为艺术献身！直接在舞台上钻进浴缸洗澡，太欲丨舞台
1704567421# #吴宣仪wink绝招，金靖跟着试了一下，感觉眼睛在抽搐丨王牌
1704261689# #白敬亭以为没有摄像头！对着范丞丞疯狂跳舞扭屁股，笑喷丨就出发
1704503761# #王迅实惨！刚从罗志祥手上逃开，下秒就撞上了黄渤丨极挑
1704266761# #沈腾升官当主任，一听艾伦汇报工作，直接吞下一瓶药丨春晚
1704239341# #鹿晗头回经历这种采访，整个人尬住了，幸好有陈赫救场！丨五哈3
1703587635# #孟子义上综艺主打一个真诚，嘴在前面飞，脑子在后面追！
1704563821# #王鹤棣生日许愿，想让王传君送一辆车，这礼物真敢要啊丨星光大赏
1703755370# #84岁牛犇获年度成就奖，刚一出场，全场所有明星起身鼓掌致敬！
1703981701# #王耀庆凭一己之力逼疯半个娱乐圈，三言两语逼疯吴奇隆和薛之谦！
1704474961# #宋亚轩教非洲人唱粤语歌，笑点太密集，急得拿手势凑丨王牌
1703968381# #王嘉尔机场被粉丝拍丑照，直言衣服没有错，错的是拍照的人！
1703848510# #杨迪送礼物都印自己头像，吴昕想退回被说绝情，毛不易真实反馈！
1703883061# #有陆虎在的地方就不缺笑料，被综艺之神偏爱的男人
1704253741# #社交悍匪黄子弘凡！疯狂给朋友分享视频，一个都不能放过丨少年
1704182725# #55岁江珊再唱《梦里水乡》，一开口还是熟悉感觉，陶醉全场丨跨界
1704463381# #孙红雷创业才俩月，差点就破产了，黄磊黄渤看热闹丨极挑
1703953981# #佟丽娅从小吃鹿肉喝鹿血酒，直言身体特别健康，一点都不怕冷！
1703836621# #谢贤出场唱《因为爱所以爱》比谢霆锋更霸气，老爷子依旧帅气！
1704076501# #影视：鬼子机枪太猖狂，政委直接一枪解决
1703978101# #徐志胜用亲身证明，幽默才是男人最好的医美，高情商鼓励相亲男生
1704264374# #关晓彤碰瓷景甜！一个不吱声直接躺地上，唐嫣沈腾都笑岔气丨王牌
1703751770# #单口相声还得看方清平，比德云社好，功底真硬丨笑傲江湖
1704344821# #沈腾算计半天，还是输给了郑恺刘涛，华晨宇彻底无奈了丨王牌
1703934901# #王牌家族旅游奇遇记，关晓彤狂奔抓小偷，沈腾带开心麻花擒小偷
1704436981# #沈腾演躺平式干部，一看马丽拍视频，态度180度转变丨春晚
1704405781# #沈腾在玩赖这块无敌，关晓彤怕他捣乱，对他千叮咛万嘱咐丨王牌
1703597055# #惊！范丞丞自曝房间粉色，装修神似东北澡堂！不料竟因范姐丨好吃
1703891701# #小沈阳成名之作！小品《不差钱》片段，搭档赵本山至今仍是经典
1704593641# #王传君录个综艺太不容易了，帮王鹤棣装篮球架，砸中自己要害
1704502681# #仨人只剩一个名额，黄磊暗示王迅，把机会给孙红雷丨极挑
1704210149# #44岁姚晨遇见43岁张柏芝！两人一个比一个冻龄，看着都像是大学生
1703971981# #杨天真与乔欣见面，率先活跃气氛，大聊身材问题！丨我的经纪人
1704522842# #要时刻提防熊孩子！严浩翔表面联盟，下秒就让黄晓明爆头丨极挑9
1704253574# #张碧晨助阵赵天宇，一首《白月光》险些唱哭华晨宇，太虐丨明日
1704007981# #岳云鹏梦想当歌手，阴差阳错进了相声界，却从未放弃唱歌！
1704044101# #罪域：黑大哥想洗白，小弟趁机狮子大开口，利润分他四成不然免谈
1703960101# #现在的女性越来越清醒，独立行走特别重要，认真搞事业的姐姐最美
1703762570# #20岁谷爱凌上台领奖！紧身裤配高跟鞋，悠长大美腿看呆台下男明星
1704047701# #李云龙不让和尚吃肉，这理由也是够牵强的
1704030841# #王佑硕跳迪斯科舞步，何炅都看不下去了，直接上台表演！
1703784901# #叶一茜说看自己的孩子永远不好，看别人的孩子都好，引何洁深思！
1703766169# #《五环之歌》竟被杨树林用唢呐吹出上坟感，岳岳：感觉死的好惨！
1704336841# #张艺兴放养被难倒，黄渤上去帮忙，差点被羊顶走丨极挑
1703556135# #贾乃亮亲李小璐，甜馨在一旁看着不让亲，一把揪走老爸丨爸爸回来
1703498175# #毛不易不记得乔欣，却记得张云龙，李雪琴火上浇油！丨毛雪汪
1704492961# #够离谱！张远下厨做饭，陆虎掏出头盔给他当护具！丨告白记
1704333241# #杨迪浑身被淋透，沈腾都看不下去了，把皮衣借给他丨王牌
1704525361# #罗志祥成最大赢家，现场嘚瑟不停，黄磊一脸愁容丨极挑
1703942102# #王牌家族谁是颜值担当？沈腾贾玲花花晓彤谁也不让谁，小宋谦虚了
1704545881# #显眼包收敛了！沈腾红毯气场全开，范丞丞变双开门冰箱丨星光大赏
1704381722# #沈腾被墨鱼汁浇头，脖子以上全是黑的，全场哄堂大笑丨王牌
1704045181# #姑娘眼看被鬼子追上，危难时刻枪王杀出，力敌所有鬼子！
1704542281# #00后专治不服！黄明昊严浩翔戏耍极挑团，岳云鹏彻底服了丨极挑9
