1625672016# #马住！！
1618540587# #看着那些穿一中校服的小朋友总是不敢相信离高考已经过去五年了记忆似乎还留在高中
1701746550# #美得很安心色
1657896808# #太典型了
1610943909# #转发微博
1679468282# #打开之前没想到能有这么好笑
1551215923# #酸酸酸酸酸酸酸
1614096098# #羊驼驼好可爱呜呜呜
1607248816# #学习！
1596890994# #四畳半神话大系太好看了好喜欢这种在最后一两话抖出所有之前埋下伏笔的番剧呜呜呜真好
1591585301# #哈哈哈哈哈哈哈哈哈哈哈哈
1649151351# #年纪大了看不得这种东西容易掉眼泪单身狗
1694616323# #审美在线！！美晕我真的晕了
1611316613# #卧槽卧槽卧槽
1662343399# #他们是守法守纪的老百姓也是最苦的人
1648181998# #天哪………………
1627744349# #dmz牛逼中传牛逼。希望以后能有更多这样Girlhelpsgirl的正面案例憧憬
1649567729# #
1606323906# #马马马
1692854142# #啊啊啊好可爱好可爱
1580779566# #失望我真的好累
1585581306# #笑死爹了哈哈哈哈哈哈哈哈哈哈先尖叫为敬
1622153330# #看了这么多aespa的MV和团综还是分不清Karina和Winter……疑问
1586268023# #马了马了拯救一下自己
1643735766# #宝宝憧憬
1604939622# #刘昊然励志偶像我也要加油悲伤
1692357208# #神！！！
1594617275# #想到那么多古代手工艺品包括庭院建筑都是纯榫卯结构一根钉子都没用到就觉得Wow真的是太厉害了吧
1685976155# #笑死啊啊啊
1619852563# #有病赶紧治
1558800188# #我不酸我不生气我很平静酸酸
1663931929# #谢谢兔兔
1622921893# #太好看了呜呜呜呜呜啵啵女儿
1605759031# #英国租房君超话英国租房伦敦租房。。小黄人高兴转租伦敦AXOIslington14平Ensuite。。转租时间。2020/11/19-2021/09/04【时间可议】。。租金220磅/周，🉑️小刀，走官方转租合同。。💡交通：。-门口就是ManorGardens公交车站，可乘坐17/43/271263/N41公交车。。-步行十分钟到HollowayRo
1581003440# #哎无话可说真的太难过了
1664438835# #员外呜呜呜呜呜呜呜呜让我快亲亲亲亲亲亲亲亲
1565688204# #儿子有胸肌了卧槽？(;｀O´)o
1609060095# #想起来前几天晚上做梦梦到Claire回我邮件，说我的essayplan又跑题了，如果满分是100分她只会给我40分，瞬间焦躁到想打人裂开看来跑题的心理阴影一时半会是消不掉了ok
1698164000# #算命的说要多穿白色粉色。我最听劝🙏💓。。
1579005741# #太可爱了叭
1555191974# #这个真的太绝了！！！！！(捂胸口)
1658642794# #newjeansKPOP我又可以了很久没见过这么独特清新的女团了Y2K+美街休闲风在一片GC的风格里一定能打出自己的一片江山外网数据和好评也都不错新女儿开养色
1610814821# #救命明天再不吃点好的我人就没了悲伤
1614305801# #谢谢跪了
1643547171# #天哪太难过了悲伤她本该拥有美好的人生和光明的未来……
1623104488# #打卡摩尔庄园迷宫、粉色山丘和傍晚的玫瑰色天空小黄人高兴
1597044407# #汤浅政明是神
1632051487# #没了校车片段的《无声》真的没有任何看的必要了明明已经拍得很含蓄了就nm离谱嘻嘻
1621519743# #哇日！！
1607137898# #我要是龙丹妮我就直接哭出来感冒没出事的壶还剩五个…？
1660470213# #哇太酷
1613525317# #我被笑死
1584686636# #做人要像小饼干一样干干脆脆。
1652893408# #这是在干嘛啊能说点人话吗exm哆啦A梦害怕年轻人都看不懂老年人该怎么出门？民生服务做成这样真的好意思疑问
1595953475# #艹我才知道原来钟汉良是救罗志祥的场怪不得啊怪不得着实有些伟大。我真的是2G网络村里人疑问
1635339033# #优秀的作品值得被更多人看到作揖作揖
1605803825# #中国传统色。太好看了太好看了不修图都这么好看awsl。这钱花得太值了也。传家宝预定
1612794863# #不吹不黑用事实说话。张元英过生日和金珉周过生日时的Instagram官方贺推皇族待遇除了夸张也是没啥好说的了就这样吧圆妈累了拜拜
1620204181# #喜欢！
1657282985# #人生目标！
1647439424# #是我了！！
1644655091# #微笑乌鸡鲅鱼
1636678347# #罗翔老师
1653103349# #好好磕啊啊啊色
1642854670# #逐渐丝滑
1664787205# #这个造型真的美到我失语泪
1644249551# #单身狗
1654699828# #可爱死了救命！！
1619729724# #哇色
1604511515# #这么晚了还试图盗号的人是不是脑子有点问题微笑我寻思着除了这种下三滥套路之外能不能有点别的技术型操作？
1687966886# #至理名言
1629935482# #伤心
1575684614# #情头我可
1662617557# #哇订婚了爱你
1654872004# #？！下午开始就说已锁定人了现在还没抓到是在干什么？？？
1607471849# #绝
1629673764# #现在资金特效滤镜打光技术都有但因为剧情毫无逻辑而成烂片的电影还少吗？编剧太重要了简直
1596425853# #我好了我平衡了太开心
1625353738# #又是恐育的一天拜拜
1653205428# #天大的笑话奶奶牛的good
1688059712# #看海妖的呼唤:火之岛生存战的时候最讨厌的两种观众：。1不看她们的表现，只对颜值评头论足。2圣母型认知，觉得女性在这种竞技场上还应该继续恭淑贤良。虽然军人组是真的疯，虽然消防组确实拉好感，但这比赛没了她们乐趣少了一半喵喵
1592009210# #嘘嘘嘘
1622754129# #极致观感体验太绝了
1622064375# #打扰了吃一顿海鲜大餐人均50磅我是没想到的拳头消费观逐渐变得可怕了起来
1611826133# #极度舒适
1619211676# #不去了谢谢吉祥航空给了我一个如此美好的夜晚微笑微笑微笑
1623501884# #学习
1621459844# #太美好了叭
1662168187# #张元英杀我悲伤悲伤悲伤悲伤
1575094013# #转发微博
1622675420# #好东西赞
1653381312# #woc……某国有点离谱了啊可爱
1699638013# #悲伤蜡烛
1637076685# #正道的光
1606439134# #并不简单并不简单
1632452754# #🐎
1693391009# #半分一的片子拍得真不错啊彩虹屁。谢谢Olga女王教会我：Changeyourword,thenyou’llchangeyourworld.。希望能变成更干脆利落帅气的大人，更从容自信淡定的打工人，更温暖用心回报的家人。
1690869930# #这个动图真的美疯了
1590598587# #走了很多步流了很多泪被姨妈锤爆小企鹅过生日72姐姐却过得有点悲惨。睡觉吧太累了微笑
1650985514# #！！！
1628014246# #哇旺仔纯牛奶
1575300654# #太喜欢这组了啊啊啊啊
1614691741# #又是被自己怂到的一天(•︵•｡)下次上课一定要多举手回答问题生气气拳头
1562143534# #太好哭了拜拜
1657903604# #说句有病都是在玷污病这个字儿
1583334688# #今天：和老方一起吃到了新年的第一份汴京炸鸡圆满是久违的味道馋嘴
1585753192# #哎……………
1572770346# #刘北山我爱你悲伤
1687311761# #爽文共赏
1678944260# #继生活西化后又一离谱发言拜拜
1630676551# #隔离第三天。因为乘坐的回国航班里查出了阳性所以按要求换了一家宾馆，到作为隔离观察点的如家住了。路上一直超级担心但是似乎并没有想象中的延长隔离时间或者疯狂测核酸来着。虽然房间和之前的奢华维也纳酒店比起来会小一点，但是真的很温馨很人性化还便宜最重要的是网络绝佳，终于能看电影了5555流
1684510646# #在一天工作14个小时的工作面前，什么人情恩怨纠葛都算个p。眼睛瞎了脑子和浆糊一样精神已经累到快崩溃，哪里有时间去在意这个人喜不喜欢我那个人对我意见如何。没时间处理这些，在大人的世界里消失，成本真的很低。不喜欢的人就拉黑行了，讨厌的人远离就行了，甚至不想因为这种事耽误周末（还非常有
1558465979# #哈哈哈哈哈哈哈哈哈哈我笑死
1594658372# #这个哥怎么这么有钱啊？跪了跪了跪了
1581267105# #Repost
1623349452# #🐴
1655979182# #转发微博
1574990072# #再也不化妆了md什么时候才能化妆不过敏啊我疯了猪头
1534913964# #四六级晒分。谢谢超越妹妹来还愿了可爱。第一次没上600感觉还是再刷一次吧？。考前有认认真真地背单词刷题。分数对得起二刷的成本啦兔子
1667178815# #转发微博
1549633086# #兔子兔子兔子雅思球球了球球了球球了愿意用一年单身的代价换雅思高分二哈
1629977385# #光明日报评论耽改剧看个耽改剧就有可能变成gay？天天听别的孩子说“我要上清华北大”也不见有几个人真的考取呀doge这个逻辑我真的respect作揖。和“艺人品行败坏”的乱象归根结底是因为“男人不够阳刚”的逻辑一样bullshit
1651062836# #失望失望失望工作之后越发没自信了
1644550143# #马住
1682940049# #slay
1561721265# #我死了跪了跪了跪了
1596382217# #为什么我眼睛都快找瞎了都没看见自己的名字…微博的b站的都没有委屈哭了
1636214325# #苦涩不要生气
1686706167# #好可爱啊啊啊
1652456826# #哈哈哈哈哈哈哈哈哈哈哈哈
1624261498# #苟日新，日日新，又日新。
1599696429# #阿布嘟嘟×花京院哈哈哈哈哈哈哈哈哈哈笑傻了
1556274230# #mark！
1619254726# #哇！！
1626473628# #这个画风！这个颜色！！！
1613057225# #居然在春晚上看到洛天依？？？？有排面了憧憬
1651338235# #谢谢
1663825039# #天啦……
1650084217# #美女姐姐我好爱抱一抱抱一抱憧憬憧憬憧憬憧憬
1618206502# #50元一个球的雪糕真的不知道好吃在哪doge
1661338730# #忙内宝这组图美出新高度悲伤
1545091479# #这场真的美出天际了兔子兔子兔子
1650088484# #焦裕禄:人民吃不饱饭，我们应该感到愧疚和羞耻
1582266947# #希望人人都能明白这个道理
1658325170# #救命啊我笑疯了哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1624926456# #马住
1643352674# #卧槽？！
1608961092# #thanksdudes
1609259684# #细细想来还有很多问题隐藏在热闹的画面下。我们正处于哪层维度哪个空间？我们的性格是如何决定的？人类是否真的像自己想象中那样能掌握自己的命运？。或者再回到最原始的问题上:我们是谁从哪里来到哪里去？。永恒的谜团罢了
1634867484# #点开之前没想到能这么好笑
1622309795# #真的能被气死最无语的是朋友圈真就有这种和杀人犯共情的sb微笑
1562144339# #这是…杨洋？？
1581994353# #女鹅！！！！！！！！！！！
1556305116# #翟潇闻超话🐧翟潇闻创造营2019。。图是创有宝藏挖的截图。闻闻真的是宝藏男孩本孩了。怎么会这么好看啊55555。。
1541072951# #呕
1621588826# #颅顶小腿神经还有做招风耳…只能用莫名其妙来形容…黑线
1587733654# #悲伤醒了很久还是很感动
1650298912# #呜呜呜我的宝宝单身狗单身狗单身狗平时一直很坚强的崽忽然落泪更让人心疼了失望失望
1616502984# #🐎
1635263817# #wtf…？？？？
1609849993# #MILGRAM真是绝了日本人连音乐企划都这么会玩跪了跪了跪了。DECO：无情的写歌机器
1645714914# #俄乌局势最新进展激进的话看看也就算了，但真的无法理解将战争娱乐化称其为"瓜"甚至说什么要弄个直播刷666的网友，真的有哪怕一丝一毫的同理心吗？makesmemorethandisgusted.
1681932207# #奶茶失眠遇上重感冒水泥鼻加持绩效管理个人规划发展的焦虑。感想：全世界一起毁灭吧太开心太开心
1689050202# #狠狠认同
1684299328# #真的太美了狠狠get到
1565954925# #马了虽然我的手有它自己的想法
1654738790# #“因为我们不知道我们什么时候会死去，人们总以为生命是一口不会干涸的井，但所有的事情都是有限的。多少个迷人的童年下午，回想起来，还是让你感到如此深沉温柔，也许只有四五次，也许还没有。你看到多少次满月之姿？大概20次，但这却看起来无穷无尽。”
1647135891# #救命啊单身狗单身狗单身狗
1599104123# #啊可爱死了我也想要印满小爪爪的感谢信
1609762955# #接受自己的平凡与之和解尝试在可能的范围内做得更好一点点
1598245576# #哎我真的无语形式主义官僚主义还有救吗微笑
1689335335# #好棒啊泪
1604503237# #说得非常好
1659497860# #张元英超话张元英公主头热搜的图真的不太会选……附上一些小圆是公主的证明awsl
1598952798# #Awwwww又可爱又富有（？）也太适合圆子宝贝了吧awsl
1606664064# #终于和一天自动关机四五六七八九次的手机说再见了doge
1597996451# #小心翼翼谈恋爱的男朋友嘴甜排行榜Top1选手
1629927206# #倒车请注意失望
1596990933# #太好看了吧跪了跪了
1627372596# #现在又围起来了真是无语他妈给无语开门无语到家了能做点阳间的事吗疑问
1658932689# #完全是可爱小朋友啊哈哈哈哈哈哈哈哈
1627419352# #
1602580145# #李佳琦双十一预告梦想总是要有的
1565371165# #咦可爱死了
1603163731# #🐴
1620484537# #刚补完StandAloneComplex不愧豆瓣9.6哈2002的番在二十年后的今天看来依然是神作
1652334101# #原来如此但真的太吓人了单身狗
1593538148# #球球了别整我们了跪了
1659613751# #hyeinawslawslawsl妹宝真的太优秀了
1647620172# #🐎还有一个月就自由了单身狗
1567435500# #姐妹太会写了！！
1556311112# #彭彭真的好有毅力一男的
1641857439# #🐎
1620204561# #去看过真的超级美超级精致想再去一次了失望
1692357617# #有些男的什么时候能知道自己真的很臭啊……。一靠近就知道抽烟喝酒至少占一样，满身令人窒息的油腻味儿，坐在旁边堪称酷刑裂开裂开
1611994129# #转转可爱子
1567873178# #Repost
1582946296# #太好笑了
1640622213# #网易云音乐年度总结是N.Flying超话看到都会感动哭的年终报告了。属实没想到过去一年会这么专一嘘
1621019659# #送给自己和姐妹们
1596297641# #⊂ヽ。　＼＼ΛΛ。　　＼(　ˇωˇ)。　　　>　⌒ヽ。　　　/睡へ＼。　　/觉/　＼＼。　　ﾚ了ノ　　ヽつ。　　/　/。　/　/|。　(　(ヽ。　|　|、＼。　|丿＼⌒)。　||　　)/。`ノ)　　Lﾉ。(／
1570983606# #和臭直男聊天真的太气人了呜呜还是妹子甜跪了
1637426250# #以后又能天天吸到新鲜的小圆子了么么么春游家族
1621672233# #失望失望蜡烛
1558004428# #好看的人总是一样好看失望失望失望
1638026576# #方老师呕心沥血耗(tuo)时(yan)几个星期终于难产出炉的年度大作值得一看！
1629555794# #生活需要一些可爱
1663934860# #樱井孝宏被曝已婚srds考哥真的是日本声优界我觉得数一数二帅的哆啦A梦吃惊要幸福啊！！
1612628347# #奠蜡烛
1610441687# #哥哥我来了！！亲亲指环扣卡针绕线器怎么都这么好看！
1630272261# #哇最近最期待的电影憧憬
1654932135# #很难过但也很感动单身狗有文化总有用武之处
1619232084# #然后买了个4.26的国泰机票再冲一次悲伤球球了让我走吧别搞我了这日子还不够苦吗泪
1657712952# #支持！！！
1607863282# #太美了太美了刚好安庆今天初雪耶❄️
1595345729# #awsl
1566801218# #好丑好可爱哈哈哈哈
1599735752# #罗翔这种学者也能被搞？微笑看了看那些喷他的言论真的有被笑到我寻思着那些真正有思想有理想的知识分子可能就不适合玩微博一己之力如何能改变环境的恶臭？就算再能言善辩又如何叫的醒一群装睡的人呢？
1657337167# #马住
1665971007# #哇！
1621966067# #好佩服这种只要几分钟就能把人整哭的广告短片跪了
1599996887# #ucl超话🙋UCL伦敦大学学院超话🙋伦敦留学想问问有没有十一月末左右去伦敦的朋友一起飞呀失望失望
1645196228# #哎，作为一个媒体人在一定程度上很理解，这种事很多人都想报道，也很有价值，但真的没法随便报道…
1594439615# #汗
1595467284# #太开心憧憬
1692164166# #羡慕
1682821706# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1629118836# #最好笑的是现在只要一质疑或者否定塔利班一群人就跳出来说你就是支持你美爹你就是精美简直无法沟通
1660375805# #太美了555555555救命
1645493918# #看着太难受了单身狗
1618272053# #马
1654862008# #草真的有够好笑
1634793930# #急需一个凤凰网奶茶拼单群苦涩苦涩苦涩。一个人点不满20身边同事又太健康根本没人喝奶茶我好孤独苦涩
1585639052# #太强了太强了太强了
1607525216# #一天补完七集天官赐福的快乐在看到论文评分之后瞬间消失快乐指数直接从80变成-1000生病
1574917308# #Repost
1607343516# #安俊英真把我恶心吐了见过izone这么明显的皇吗？？？。1.MAMA的时候完全就是1011的solo和十个伴舞。2.新专的封面第一次见到11和2站在C位两边的您让其他妹妹怎么想。3.主打曲Panorama小圆的镜头都没11多真就皇中皇呗？
1698279340# #越来越不理解这个社会
1600668128# #"黄昏薄暮，落日沉入大地，天上暮云为落日余晖所烘炙，剩余一片深紫。"
1697779462# #看不得这些🥲
1623423048# #Repost
1639757637# #豆瓣你可太会了爱你
1577456971# #给我也整一个
1598286156# #总有些人喜欢作贱自己来恶心别人。不能只有自己难受所以也要让别人难受？。关键是把别人搞难受了自己也没开心啊。真是该长大了吧能不能有点成年人的思维。乌鱼子
1697476302# #是谁疯了呀色色是我哦是我是我
1628261359# #摊手
1616598728# #爱善良和理智永远可以战胜那些肮脏恶臭的言论太多人只是将这种事当作自己情绪的发泄口了你永远无法想象在网上满口脏话的人现实中有多怂多失败
1697990688# #啊哈哈哈哈哈哈哈哈哈哈
1606841845# #蕉蕉又能知道什么呢可怜失望
1601514747# #泪太好看了
1654856956# #笑死哦这时候保持沉默吗？这可不是团团的风格呢
1624314824# #🎀Singin'intherainonarainyday.。。📍QueenMarry'sRoseGardens
1701856228# #🙏
1596973090# #🐴
1605977750# #毫不夸张地说，昨天打了有上百个喷嚏。。开始怀念干干和有暖气的北京了，湿冷真的快把我搞死了失望。虽然带了口罩，但最对不起的就是那些用惊恐目光看着疯狂打喷嚏的我的陌生人了跪了很想和大家解释一下这是鼻炎不是新冠但是因为太懒太难受而作罢跪了
1607010786# #马了一起看我又好了
1603900772# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈点开之前没想到这么好笑
1561963724# #马一下
1636174836# #从男朋友的生活描述中能感觉到南京大学对学生的性格和精神关怀真的不及格出事了只知道撤热搜和压事态我国一流学府的人文情怀就这？
1587558026# #饿了
1599297136# #马马马
1601051923# #九月看过最喜欢的电影和最喜欢的书
1674662664# #天？
1669733192# #真的太想看了泪泪泪
1644383810# #一些女王行为憧憬
1593966773# #一直觉得作为艺术博主图片发原图应该是最基本的体贴吧呜呜强迫症太难受了
1598888775# #00子还有金晨的也太好看了prprpr
1596344773# #不是，郁可唯组那《傲娇》至于火辣到不敢放歌词吗………明明是普通话还滚动放什么歌词大意搞不搞笑呢好好一首歌硬是把整体感给破坏了疑问
1613988998# #红色也太好看了吧抱一抱
1611586936# #我笑死
1551118777# #张元英超话张元英太可爱了。p4p5告诉你为什么人人都需要一个小圆一般的朋友作揖
1600924958# #笑晕了谢谢
1612196733# #昨天成功和老方的二妈二叔两对姐姐姐夫一起恰了饭照这个速度下去和老方全家人一起吃过饭也只是时间问题惹？并不简单
1623580947# #张元英超话。发现了一个Ins号专门发换脸后的小圆一开始还在想这些图都是哪里找的后来发现原来是p的awsl。挑了几张比较好看自然的共享一下嘻嘻。。©cr:w0nz.love
1615563988# #呜呜呜呜呜呜呜呜太美了太美了怎么能这样美啊呜呜呜
1631201899# #被我各种嫌弃的上下分层奇怪发型居然和爱菜酱是同款疑问
1630425837# #感慨
1603882069# #每次一打开Outlook发现又收到了上十封邮件我就脑阔疼……想到马上ddl还没动笔的论文和读不完的reading就颈椎疼……生病
1633965426# #RepostWeibo
1683826229# #同一个世界同一种发疯太开心
1575078747# #积雪的定福庄有点好看兔子
1664544793# #中国女人就是🐮
1603800671# #虽然抑郁症确实可怜，但从来都不应该是威胁甚至伤害别人的借口，认为“因为我有抑郁症所以就算杀人也不犯法”的人，不是太坏就是太蠢。祝我们在生活中都不会（再）遇到这种人作揖
1602429740# #发了条今天看到的可爱宝宝票圈。评论区真是乌烟瘴气doge
1622657996# #摩尔庄园那些说因为新手任务长就直接卸载的人可能确实不太适合养老游戏……很多功能是只有认真看了新手说明才能知道的基础内容，如果教程真的那么简单，然后进入庄园之后啥都不会操作体验感反而更差。作为一个集合了众多玩法的庄园游戏，这种指南是必要的。可能一开始会有点迷惑，玩个俩小时就基本上
1653572619# #我真的要被工作榨干了。一滴都不剩了。微笑。。…。……。算了…。继续干活去了…
1632052232# #世界微尘里
1569060324# #啊啊啊试了！！也太可爱了吧大家！！
1618578153# #
1598688570# #有问题及时治最重要憋久了会烂掉
1654876210# #烧烤店被打女子已无生命危险很庆幸她还活着，但上海金山被当街砍杀的奶奶早已当场死亡。没有一个人帮她，眼睁睁看着她满身是血浑身骨头被一点点砍断。真是烂透了。上海金山砍人事件
1614227403# #🐎
1654507975# #？
1689415042# #终于！
1601645513# #上网课也太尴尬了但最尴尬的是virtualsocial。。捣鼓了半天一进会议室忽然发现摄像头自动开了而我还在张着血盆大口啃烧饼吓晕了。。然后一个班分成五人讨论小组自我介绍没有带气氛的人的话就只能大眼瞪小眼说了话也没人接没到时间还没法退出小组尴尬到我想原地跳楼泪
1665142617# #一些棕色、粉色与紫色时刻🎆
1684859295# #还真从来没见过因为乙方能力不行，而帮他做这个做那个的甲方……不仅自己得负责拍产品照片，发出来的笔记没法收录都得让甲方给解决建议。钱是不是太好赚了？。本来我也不信有这么窝囊的金主爸爸，直到自己成为了这样的甲方拜拜拜拜
1635511453# #眼心神俱疲然而还有这么多做也做不完的事儿……。裂开了，虽然还只是实习但是开始工作的第三周就已经想退休了开学季拜拜
1648464471# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1625242938# #人间值得awsl
1645028935# #呜呜呜真的温暖又安心但第一次知道原来是茉莉花…
1637035186# #太好看了呜呜呜
1558980061# #没想到我最多点赞的一条wb竟然是唯一一条没有同步发微博的……闻妈zqsg过年了doge
1617378909# #激动子
1656696408# #好日子还在后面呢太开心太开心
1697306435# #近期痛苦来源微笑。。打工人
1627573007# #可是现在的sb真的太多了网络环境太可怕了…谁还敢说点什么啊泪
1634999241# #时常自省
1585278817# #为什么评论都一副苦大仇深的样子？出国读书不代表不爱国不为国家奉献啊，为什么要对留学生抱有这样的偏见？他们只是想回家的学生呀………价格不合理所以通过正规渠道进行反馈又有什么错呢…？中国不愿意被别国歧视，但是国内的歧视现象也真的是很严重了。
1665124021# #是围观路人都会纷纷📷的程度
1588572374# #说得好嘘
1627115509# #懂的都懂
1688141431# #泪
1620771125# #时隔大半年终于拿到UCL学生证啦开心子！。和朋友专门来峨眉一派吃了安利的脆皮鸡除了会有小颗粒生姜之外味道真的棒鱼头豆腐汤也好好喝！。除了贵没毛病虽然贵就是最大的毛病跪了仅以此微博纪念两个人一餐(只点了一汤一菜甚至没有点饭因为一碗2.5磅)逝去的30磅跪了跪了
1643703427# #这个时候还敢这样发声的，是勇士无疑了
1650128132# #狠狠心动抱一抱
1593433388# #哈哈哈哈哈哈哈哈哈怎么这么可爱
1655391911# #摊手
1630287524# #👀似乎学会了doge
1683472945# #亲亲
1606916947# #今日份搞笑真给我在课上直接笑出猪叫。果然八卦是人类(尤其是女人)的快乐来源
1606493853# #感天动地清正廉洁两袖清风身边所有人都在夸奖的王校长哪是一个自杀的疯子就能诋毁的呢？这边建议报送2020感动中国十大人物之一哦太开心
1601568653# #某位亲戚在昨天一起吃饭的时候提到了拉姆的死，一开始我还不敢相信。然而他却是这么评价的：虽然这个男的手段有些过激但也是事出有因，这个女人当网红赚了钱之后就和男的离婚了，所以他太生气了才这样的。很生气但也很无奈，抖音或者微博上不知道有多少这样无知的声音，受害者过失论真成流行了吗？
1607083078# #看出来民政局还是嫌我国结婚率太高了谢谢你们为降低结婚率所做的贡献
1601824364# #彭彭子以前是好看现在是憨憨但我都爱
1558466063# #翟潇闻你不出道我真的哭死失望别理我让我随便艾特一下
1619169737# #人间真实
1697218964# #永久保存+111111111
1599268841# #作揖作揖赞
1581055784# #模范老公和模范宝宝啊啊啊啊啊啊啊
1653709454# #不明白一个月前的自己为什么想要迫不及待的居家办公。事实是:。居家办公=早上10点至晚上12点的持续工作，只能见缝插针地快速吃个饭。居家办公=可以让公司心安理得地剥削休息时间，周末两天继续加班改策划改新闻稿且没有任何加班工资。居家办公=你的时间看似都属于你但其实都属于工作，每天除了下楼做
1573957718# #Repost
