1695008041# #英特尔也是允悲十多年的命名体系说改就改
1699326188# #现在女儿也要买房子二哈小孩也是双方一起带，非常平等了
1691289110# #这颜色达咩
1697087705# #很合理。谁让你占位
1694421725# #转发微博
1703600388# #草
1699869799# #打公交？？
1699199956# #红红火火恍恍惚惚
1691506619# #转发微博
1702424793# #红红火火恍恍惚惚
1694667838# #转发微博
1694614852# #转发微博
1692716094# #转发微博
1699532300# #哈哈哈哈哈
1702625745# #哈哈哈哈哈哈
1694022062# #阻碍科技发展的毒瘤
1701226178# #哈哈哈哈哈哈哈
1690129524# #转发微博
1696214680# #和测试结果差不多
1689124354# #哈哈哈哈哈哈哈
1691558810# #继续查
1697931260# #转发微博
1703922626# #转发微博
1688919911# #草
1703575852# #脱衣服2分钟？？20秒不能再多了二哈涂唇膏5分钟？？人家口红都涂好了
1694319750# #任何规定背后都是血的教训
1696330676# #转发微博
1688353111# #30万美金，就造型真好看，喜欢。但唯一问题，就是离开中国的产业链永远不能量产。
1703921684# #转发微博
1704370110# #前几天在章鱼小丸子门口，我说我从小喜欢看他做，朋友说我不喜欢，我看不见二哈
1696929536# #“见面后，双方都比较满意。发生关系后，女方又不愿意了……”并不简单并不简单并不简单问题出在哪里了并不简单并不简单并不简单
1688082485# #！
1689677084# #中国加油赢牛奶
1702352405# #转发微博
1691222356# #哈哈哈哈哈
1696264756# #可爱
1694160410# #背背佳诈尸了？
1695834189# #转发微博
1690736247# #转发微博
1696635311# #真的感同身受了苦涩
1692690452# #我靠，来公司那么多年第一次调了公积金缴存基数允悲原来这还会涨的啊每个月公积金多了96块钱笑死
1702014943# #转发微博
1690334795# #讲个冷笑话：为啥场景3的PM2.5相对比较低？因为肺也可以过滤PM2.5并不简单
1703434293# #转发微博
1701779294# #哈哈哈哈哈哈现在真的，怎么分辨真警察是个难事
1700019307# #哈哈哈哈哈
1687689625# #哈哈哈哈哈哈
1697106180# #猪狗不如满口谎言的畜牲！我妈妈当年就是被强行抓走，完全在非自愿情况下被强制进行了结扎手术的！身体和精神饱受摧残，这个贱人是怎么能说出“人们是在自愿的基础上实施计划生育的”这种话泪。轻飘飘一句话就想抹除当年那些畜牲的罪行，被抓走拘禁强制手术的妇女的委屈它敢出来一谈吗
1690332346# #懂了，搞到最后就是不参与社会劳动，不参与社会生产，但财富获取却要分大头————古代的地主压榨佃农也不过如此了哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1702191343# #转发微博
1701094101# #Part3新街口逛吃逛吃二哈
1691217930# #瘸腿的两周就没有闭环过笑cry
1693832552# #相当不错的壳doge原生58mm卡口+UV镜头盖，加67mm转接环直接装我腾龙的CPL滤镜。还要什么摄影师套装
1695344080# #这热评表现出的社会问题二哈
1692702968# #雀食。小学男生只会玩二哈
1691671352# #哈哈哈哈哈之前有人跟我互怼说A17提升50%结果要被高通秒了？
1688635111# #转发微博
1692925543# #哈哈哈哈哈哈
1693903404# #可能是1060平替允悲功耗甚至不用换电源。贵点就贵点吧
1697343409# #转发微博
1689597277# #假手吧
1694653498# #嘴看起来好好捏
1701866373# #图片评论
1703248738# #笑死。今天不怎么吉利二哈
1702268494# #0.1%太秀了
1696899811# #好东西
1698022858# #天才
1699948977# #这比电诈还赚钱
1701771921# #北上25分钟10公里都开不到吧doge很近了
1696166689# #转发微博
1700210577# #转发微博
1689743272# #到时候出了拐卖案，又要问：铁路安检在检什么？为什么不查身份证？
1702469373# #哈哈哈哈哈哈
1699588547# #又到上限了二哈先装修了一部分。把自己看饿了
1687795048# #胚胎发育时候这是同一块结缔组织doge
1692422460# #转发微博
1697594225# #我发现了，硬杠的99%都是荣耀用户二哈
1691377123# #雀食
1699343075# #蹲一个后续，如果是假的我希望造谣的抓起来，如果真的我希望发一篇到柳叶刀在国际上给这些玩意出个名捏，别人小白鼠实验咱们人体是吧嘻嘻
1699252837# #搞不懂为什么要延误。小孩子看着就烦
1693624772# #+1doge
1701315052# #转发微博
1694863897# #“这一年，你点外卖最常备注的一句话是:今天是我生日，老板能送我一瓶饮料吗”
1687857945# #对不起。汉字的顺序不影响阅读允悲
1697078638# #典
1694404634# #快80了还要给他养老。亏麻了他妈的
1698556383# #哈哈哈哈哈哈这个表情
1689754178# #还在网上和别人吵架吗
1693468421# #哈哈哈哈哈哈
1697963219# #广东人真的不太注重奢侈的外在允悲
1688521036# #草
1692863192# #这不是政治问题，这只是反映了你到底是不是个人的问题
1693755437# #哈哈哈哈哈笑死
1696924043# #但是这种无法标准化的症状很难说是自愈的还是因为药二哈希望是个好消息吧
1689755190# #血管要爆了
1702165882# #转发微博
1694951477# #朋友家的白猫叫煤球doge
1697367109# #好看
1696775397# #国庆60周年时候北京寄回来的一张明信片不见了苦涩
1696409012# #提瓦特的星空永远有你泪
1694652734# #转发微博
1699875983# #转发微博
1692445780# #马克数据恢复
1692150046# #10万的id3bz4x还是香的doge
1689488023# #B站看到这个视频了哈哈哈哈
1700804661# #哈哈哈哈哈哈哈
1690423038# #好恐怖允悲
1698572125# #草
1697428249# #生孩子给自己找不痛快何必呢
1700547818# #羡慕苦涩
1688449203# #哈哈哈哈哈哈
1704239224# #6
1699542467# #这小程序太棒了！！花点时间装修一下赢牛奶把我会做的菜都塞进去
1693896489# #精辟
1687748679# #我戒毒所工作的哥们都抽签去其他兄弟单位帮忙了，因为闲的
1696126451# #这才是百姓应该追的星
1701145241# #我妈当年一天外科最多看70个号，连缝带补，一小时要10个……
1694182035# #转发微博
1691466723# #转发微博
1703316721# #好耶，特别可爱打call
1690717664# #P1电机60kw二哈中规中矩
1691074473# #先救人再治病。没办法
1702448492# #6
1694238819# #20多一盒的海胆非常棒！
1689835234# #转发微博
1689244863# #哈哈哈哈哈哈哈
1692229251# #转发微博
1691505486# #转发微博
1691379724# #转发微博
1703253336# #解决问题永远是比发泄情绪更好的选择爱你bilibili彭然心动妞的视频
1696143861# #面积降低20%性能提升一丢丢那其实单位面积性能还是提高了的二哈gpu实在拉了
1700282894# #看了两遍才看清是什么结构允悲
1697358884# #好家伙直接闭环了
1693644399# #哈哈哈哈哈
1690875677# #20bit？？
1688793319# #虽然我家里人文化认知水平不咋地，但是这方面倒是挺好，不拆我快递不翻我东西，也不问我隐私二哈
1694421668# #笑死。真正独立的人不会去相亲
1692248982# #红米的相机不是扫码的吗二哈
1701680903# #转发微博
1699793610# #应该整坦克500纯电动偷笑
1689137846# #为什么都结婚了不接电话就拉黑开学季要不就是这男的有前科被猜到不干好事？
1703303396# #哈哈哈哈哈哈哈
1690337599# #草
1704174495# #刚想说开车不要玩鸟，然后发现是为了陪鸟玩原地打了好几圈方向盘二哈
1699367708# #哈哈哈哈哈哈哈
1689064061# #芯片？
1698464108# #一直以为是肉酱意面，结果是普通面条？允悲
1690419175# #我超！路上碰到一个黑长直妹子开了一辆插混的星越L开学季
1697619001# #青春阳光哇
1703499602# #哈哈哈哈哈哈
1701271542# #感觉极空间的ssd缓存真没用，完全感觉不到哪里有提升允悲现在重置当高速存储用单盘basic模式了，可惜当时只买了256G，而且z4只有一个m2插槽。浪费了
1689606698# #牛
1697342132# #哈哈哈哈哈哈
1694228464# #转发微博
1687688584# #哈哈哈哈哈哈
1689746783# #哈哈哈哈哈哈
1695026971# #哈哈哈哈哈哈哈
1694530118# #竟然还要吃西瓜
1690500984# #我不信棒子是真的，虽然我希望是真的
1703681625# #6
1702424368# #转发微博
1698282490# #二哈
1693002243# #哈哈哈哈哈
1690816414# #🌿
1688475935# #/这是中国人可悲的地方，被要求和未知的病毒共存，死得死，残得残，不敢反抗命运，只有改变自己被迫调整心态去更好地承受痛苦。
1697182172# #开学季
1690953250# #转发微博
1700804183# #赛博尸块
1696052356# #转发微博
1702795153# #转发微博
1697383226# #哈哈哈哈哈哈哈
1699154234# #只要是一起冲就是好事。
1694779399# #13u的5x质感超好二哈
1699853401# #哆啦A梦害怕
1703003468# #这两个极端都算是玩的好吧允悲
1697466838# #太丑了允悲
1691463915# #哈哈哈哈哈哈牛
1694694342# #哈哈哈哈哈哈
1700531761# #装修
1699593228# #哈哈哈哈哈哈哈
1700280717# #转发微博
1693914341# #16T的二手HC550只要950好心动！买不买呢
1703738509# #太强了
1693284874# #果断加入
1695976704# #好菜
1694496038# #高新万达开了以后每周都来吃了允悲同事说早上还在说减肥，只坚持了4小时
1698805452# #高端成了开学季
1702544627# #以前从不贴，直到13ultra允悲怕一下给他cei了
1699198983# #偷笑
1695483845# #哈哈哈哈哈哈哈
1698749991# #最多5%人道主义赔偿微笑
1702903563# #哈哈哈哈哈
1702012440# #转发微博
1689555828# #什么傻批
1695361456# #哈哈哈哈哈
1699879427# #哈哈哈哈哈哈
1694053922# #P2真牛
1693624878# #重生
1687952143# #失望
1701487983# #转发微博
1698814504# #活到退休再说
1694320818# #钢门二哈
1700103453# #转发微博
1700029106# #转发微博
1699793207# #这周就闭环了这一天二哈暴走1.6w步
1704268540# #可爱
1699080531# #这个功能真好用二哈
1694136073# #哈哈哈哈哈哈哈
1693308402# #过气旗舰连13u终于声音正常了二哈果然10pro的蓝牙模块有点问题
1700141615# #广告片好高端二哈
1700188122# #转发微博
1699969011# #好强
1687777804# #好看多了二哈
1703564802# #这好像没啥大变化啊二哈之前说的连续光变能落地吗
1695442674# #我的车4米77空车1.78吨二哈这专门给卡罗拉设计的吧
1695715303# #允悲
1697694668# #吃相有够难看的黑线
1700210004# #这个实时语音翻译真的嘎嘎好用开学季
1687694296# #哈哈哈哈哈
1701850466# #BE6500Prodoge正式进入wifi7时代
1691484269# #混进去一个大众
1691329818# #弱智吧
1693809706# #草
1696152834# #清洁剂和酒精都会腐蚀镜片镀膜二哈用专业擦镜纸吧
1698985482# #洗完供起来再给他磕个头上柱香。
1703136476# #草
1703606340# #大饼卷万物哈哈哈哈
1702873877# #靠允悲
1700405553# #哈哈哈哈哈哈
1698497764# #转发微博
1703677751# #2吧其他有啥用
1697018233# #现在这个油价还能三毛九一公里真是感动二哈
1690211610# #爱你
1700228258# #转发微博
1703056849# #？？？？
1699592885# #转发微博
1692767089# #20年前也是这么说的。学了手艺还要愿意去做，还要赚得到钱，这是两码事。修车的天天一身油污干体力活，拿个三四千工资还要被老人欺负，谁去啊
1697195296# #英文还是中文允悲
1700203802# #转发微博
1698882419# #转发微博
1693454645# #这班上着上着就出去吃饭了
1702015366# #外星人哈哈哈哈
1694326371# #自己在家做饭呗叭叭啥啊
1695306618# #正经人谁下雨天组团看蛤蟆的开学季
1698377655# #转发微博
1702824930# #草
1696726671# #哆啦A梦花心哆啦A梦花心
1699618966# #转发微博
1691327966# #牛啊
1697083819# #马力大车子小为什么最高时速反而跑不过特斯拉二哈
1700798278# #星越L溜车正面不触发AEB二哈
1695445250# #转发微博
1698751227# #大概率和硬件没啥关系吧二哈
1692603294# #他想表达啥啊我还以为他找到啥实锤了
1703769239# #哈哈哈哈哈哈
1693291233# #转发微博
1687855589# #车是个消耗品，属实没啥必要二哈普通人还是把钱留给房贷吧
1687934849# #🌿
1695708323# #doge
1695473358# #Ticktock二哈
1687920572# #？？？还有花洒灌肠的
1692539850# #没电还能动那么久，可以去申请专利做永动机了。输入能量小于输出能量doge
1702740960# #搞笑呢，这很正常啊二哈海关查验直接开封，连ESD包装都给你拆了。最后贴一个海关查验的胶带就算完事了。
1701215005# #哈哈哈哈哈
1689945150# #转发微博
1688206328# #？
1697184190# #草
1690798548# #卧槽现在国产二十几块的景品手办的精细度出乎意料的好二哈这一百倍的差价。。
1693280775# #转发微博
1688874972# #已经有贼快的轮椅了允悲
1689146585# #主观唯心主义:我不管，新冠就是消失了客观唯心主义:我知道新冠还在，但你不要再提了唯物主义:新冠没有消失依然存在。但是防护的代价大于/小于得病的代价，所以我选择躺平/防护身为一个唯物主义指导的国家，国民居然是前两个居多我绷不住了
1692666159# #草
1702942960# #鳖盖儿哈哈哈哈哈
1699399408# #轻松不内耗
1701680153# #转发微博
1698399695# #一天痛失两位大佬蜡烛
1703134708# #啊附议裂开在中国四岁大叔可以围殴3位20岁左右女童了
1700553706# #转发微博
1687954985# #慎重肥肥
1693659199# #有150块的
1690896332# #哈哈哈哈哈哈
1688449035# #艹
1693317994# #转发微博
1695559068# #在中国。限制扩产doge你最好说的是扩产
1700568537# #转发微博
1691329391# #比我吃的好二哈
1689323946# #“某重点项目首席科学家”真是巨大的损失！
1694060364# #哈哈哈哈哈
1704042120# #第一次坐自己车的后排，真TM宽敞二哈
1690525240# #转发微博
1698843768# #哈哈哈哈哈哈哈
1703249771# #转发微博
1688038032# #为什么我煮40分钟他就烂了二哈
1701656155# #神他妈关机
1701047263# #转发微博
1700005299# #竟然能那么长
1694231835# #转发微博
1702031413# #转发微博
1702613159# #锤爆这些水军，也是我建立账号的初心之一！某些车企车不行，全靠水军全靠营销，反过来还拿自己是国货来博取社会底层的情感认同来忽悠社会底层。
1704174757# #转发微博
1699331338# #弗雷尔卓德
1698822375# #说出这种话的人还不赶紧跑二哈为什么要在垃圾堆捡男朋友
1695143607# #转发微博
1692427070# #丁克难道不是卖了房子请保姆或者住养老院吗doge哪还有钱
1694676686# #除了有点废耗材，都是非常标准的处理方法
1700216283# #？
1692863709# #转发微博
1693317632# #这种性能级别的产品就想着赚钱的话，很多普通用户是不会买账的二哈只能靠信仰了
1692149867# #有人把宝马放在30+w的豪华车排名里doge
1694745603# #二哈多档油耗跑不过星越L的一律算扑该
1702258893# #哈哈哈哈哈哈
1700269048# #车机互联doge合资车永远玩不懂的。国产目前就三家能做，魅族/吉利，华为鸿蒙，小米澎湃。可能加个蔚来，不知道他能不能玩明白
1692676505# #2PB？？
1701139221# #我嘴角都咧到天上去了泪
1699721269# #转发微博
1699703193# #只要爱国主义在人民群众中落地生根，牢牢占据着我们的主流价值观，公知纸皮就翻不起大浪。
1694652697# #转发微博
1696817405# #这才多久
1690342188# #hso
1699194985# #快进到新闻联播是买办偷笑
1696422022# #红红火火恍恍惚惚
1702481172# #开心吗？
1688713802# #转发微博
1689399485# #吃就吃了，还假装自己做的，还这个态度微笑这种人怎么还能有女朋友啊
1694331770# #虽然我无关紧要的岗位，也习惯性锁屏二哈
1696955777# #牛啊
1692428720# #我不管你怎么过，反而我不能过苦日子，我有那个，哪里结不了婚？结婚不行我再离，反正轮胎有的是
1690359647# #任何情况枪口不能对人。。这点都不教育好别开店了吧
1699842454# #轿车排量*4.4suv*5就是经济油耗二哈
1703720707# #转发微博
1702640003# #可爱
1702965003# #看来就是app菜允悲
1694226766# #转发微博
1700199790# #转发微博
1699342509# #哈哈哈哈哈哈哈
1695119309# #开学季
1691740830# #华为的排面。。
1690712111# #？？？
1696894473# #那一堆东西都要禁止卖了doge
1693481113# #13ultra的壳真是要么巨丑，要么巨贵裂开有没有旁友推荐点13ultra的手机壳啊最好能带67mm滤镜的
1696733072# #红红火火恍恍惚惚
1688474776# #草
1701143840# #doge
1699365316# #别家旗舰的第一道坎可能是14pro的销量二哈
1692448351# #男人会钓鱼玩车麻将盘串喝茶玩茶壶玩鱼缸根本不担心doge
1689476517# #起因是她对象点赞小野闭嘴
1692664063# #转发微博
1695440345# #转发微博
1689513409# #t细胞安然无恙二哈
1699362208# #10年老粉收到祈姐的第三张专辑啦开学季。这U盘太可爱了！！。三张专辑和写真都翻出来拍个全家福赢牛奶
1698037988# #我踏马的笑死了允悲一开后备箱给我塞成这样
1692339078# #转发微博
1697441702# #退坑好几年了二哈老婆应该是没了
1694930192# #Breaklunch继续清理库存。可颂赛百味山姆的蒜香奶酪太香了！。阿姨自己包的饺子做的锅贴，还爆汁！。加上两种豆浆（不是）
1688903196# #转发微博
1688792166# #下作
1695339988# #全军复诵doge
1696165669# #这裤子看不懂.....允悲
1701425598# #欧20000公里firstblood苦涩
1704249866# #转发微博
1703641224# #这是预告小米要来砸场子了
1702384447# #JN1我是指新冠
1687928850# #哈哈哈哈哈
1702651197# #红红火火恍恍惚惚
1701765694# #草
1690428147# #可爱
1691161512# #雀食挺迷惑的。吉利几何银河算旧势力，极氪算新势力二哈长安新能源又是哪些
1697643221# #太小看芯片产业了。。
1698927916# #最近的新番名字都奇奇怪怪的二哈
1689579859# #看她卖煎饼的姿势，那是正经人吗。擦边就擦边别立牌坊
1687954155# #太好看了
1695560538# #中国为什么建空间站？正确答案是与外星人贸易往来。取得了什么成果？答：开始为华为代工麒麟芯片。
1696175428# #允悲
1696047680# #转发微博
1688818368# #哈哈哈哈哈
1689140468# #商战+非法集资doge
1698210851# #我一个多月都没痊愈，哔了狗了
1692667919# #草
1699834156# #这事情让人很震惊
1700741743# #二哈本i人对熟人可以滔滔不绝
1703249864# #转发微博
1691624814# #doge
1688315202# #哈哈哈哈哈现在十几万的国产车都有
1693897965# #有些人就是贱。
1691635763# #小米龙骨转轴跨时代设计
1703418095# #卧槽
1703329343# #转发微博
1698058665# #是个玩具吧允悲
1699250133# #笑cry
1699325728# #阿片类药还挺贵的，随意丢弃也危险
1701677251# #没哈太大关系，B站是一群又扣又穷的白嫖怪，B糊人均反贼
1695030416# #垃圾人横着走
1701533326# #惊闻13ultra的澎湃os正式版内测推了开学季那下周能收到正式版吗gkd。12月还有银河OS2.0等着更新呢二哈
1697937461# #牛批
1695259987# #哈哈哈哈哈哈
1703736161# #转发微博
1698564911# #转发微博
1695790638# #眼里只有钱和学历的人是这样的doge
1696863062# #？
1695985213# #牛批
1695436772# #转发微博
1695208728# #牛批
1701910510# #转发微博
1703433528# #原来不是只放麻酱啊二哈
1701780064# #？？？驻车都不能拍？？
1688615539# #转发微博
1701301573# #转发微博
1701853851# #可爱
1693636054# #猫眼螺！
1702337373# #转发微博
1698679636# #转发微博
1700200619# #我们的香油和麻油都是芝麻油二哈花椒油就是花椒油
1702645232# #哈哈哈哈哈
1703641304# #每当发生危难，解放军来了，希望就来了
1688998255# #哈哈哈哈哈哈
1695080791# #开始割韭菜了允悲
1695109968# #转发微博
1687970559# #转发微博
1687777909# #转发微博
1696912730# #小米电视的配置堪称狂暴二哈
1702974876# #我们单位运物资的卡车刚才已经出发了。同志们挺住🙏
1698655687# #允悲
1697158286# #巧了二哈真牛
1703337098# #想整个120WGaN1A1C充电头，去搜了下米自己有一个140W的1A2C竟然要卖399融化是我不配了
1699708206# #一些黑暗料理
1691032676# #转发微博
1689291894# #哈哈哈哈
1703323431# #好看
1688713738# #还真不一样。清末民初确实无法禁绝毒品，一些地方甚至依赖“鸦片经济”。但社会主流认识一直知道鸦片有害，必须设法禁绝。现在的美国是主动拥抱毒品，比当时的中国还差劲。
1692675172# #踩雷了。像放了我车里的茉莉花香薰精油允悲
1688832424# #鹅颈藤壶真的贵允悲
1703518145# #每次整理硬盘就会发生一些灵异的事。迅雷下载列表有，脑子里也有，但是硬盘里没有融化。重新下载0kb/s
1688033863# #今年突然和好多全国各地的朋友们恢复了联系。。世界真大。世界真小。
1696329290# #太便宜了二哈
1695342427# #越来越傻逼了。这种视频都往上传，b站你们审核是眼瞎了还是不知道这是什么？
1698016101# #快干活吧，最近都被黑成啥样了允悲雷总还是太老实太善良了
1692714957# #银河OS2.0年底能更新吗二哈
1698591992# #允悲
1694922926# #国内盗版电影属于特色主义了二哈没有正版渠道看无删减的。有时候电影院看完都得再去找个蓝光看一遍。更别说正版受害者的二次元区了
1694279147# #可爱捏
1699439236# #这得有一米九吧
1699170626# #哈哈哈哈哈
1688041985# #哈哈哈哈哈
1697518553# #转发微博
1693265826# #我还记得这事
1701819156# #哈哈哈哈哈哈哈
1694531129# #15和15p都是睿智玩意儿
1703387551# #竟然还有结果了
1687856025# #？？？一块一斤的芒果
1703423717# #赶紧干活吧。一堆黑稿允悲
1699517160# #可爱
1701674323# #转发微博
1698414654# #转发微博
1699421746# #钓鱼执法？
1695911546# #假期开始赢牛奶第一场瘸腿猫团的聚餐喵喵
1695007677# #吉利售后的饭越来越拉了笑cry
1699060314# #草
1698897442# #小米的黑稿越来越多了开学季官方发销量600%都开始质疑真假了。高端成了
1687842196# #不劳动不经济独立何来平等？
1688821663# #哈哈哈哈哈哈
1687770056# #哈哈哈哈哈
1690525637# #学医救不了中国人，酱香科技才可以允悲买少了草
1699185845# #离谱允悲
1695258309# #iPhone不配说人像。甚至不配说影像系统
1702734301# #和XBB变异不明显那威斯克大概率还是有效的doge
1690274339# #好！
1688588980# #确实是这样二哈以前ov都是以6系为主，小米客单价比华为还高
1699840254# #一大早带了两中巴车的省领导来参观二哈还有警车开道。牌面啊
1702424317# #转发微博
1694944116# #？怎么还有批发虫子的
1687916980# #做家长为什么没有考核啊
1702252066# #胖虎
1689004173# #整理刮削信息时候发现我之前竟然还漏下了6集二哈这番真是又臭又长
1688901254# #哈哈哈哈哈
1692426080# #底盘和转向是bba最后的遮羞布，别扯下来允悲这是很多人一生的信仰
1690595201# #牛啊
1689078419# #转发微博
1703258896# #上次吃杨桃还是小时候别人送的果篮二哈这酸酸甜甜的还怪好吃的
1693816116# #转发微博
1703865523# #草
1690701670# #哈哈哈哈哈哈幼崽版
1701672451# #我超好通透允悲
1697859764# #部队的自助餐味道还是不错的二哈瓜也嘎嘎甜
1692670622# #哈哈哈哈哈哈特斯拉底盘太低了
1689754406# #椰子和蛋黄的巨好吃二哈
1695708495# #转发微博
1701907786# #转发微博
1701314008# #转发微博
1703061753# #我是不会主动组局的那个二哈
1688611254# #卧槽这竟然是削出来的
1690176310# #哈哈哈哈哈
1694922731# #我第一次核酸是21年11月
1697092180# #3.2x和5x小底也很惊艳，主摄几乎可以应付大多数轻度拍摄场景了，视频妥妥的第一梯队，续航尚可，快充略拉胯（和我10pro的50w区别不是很大）手感么，我用了两个月不到已经差点摔地上三次了允悲
1692661704# #doge
1700548453# #你上次打上了吗二哈
1699321093# #无情无义的渣男，败坏我们牛郎的名声
1699682955# #买了个便宜护手霜用来涂脚/二哈。武功山崴脚后几个月了膝关节以下一直随机过敏/汗疱疹？之类的奇怪东西，微博看到一个皮肤科医生说要保湿，试了下好像还真有效果。已经三周没痒了
1702912627# #硬蹭中医真的没必要二哈
1700805629# #算法痕迹太强了
1687872189# #草
1698673279# #永诺501.8e卡口性价比最高的标头二哈
1691327427# #转发微博
1693981665# #不是，18一杯的饮料就是图个好玩，和喝真茅台有五毛钱关系吗
1695361496# #这都多少年前的事情了二哈除了华为荣耀都参加了
1691556189# #是bee了允悲
1694755355# #二哈
1696894746# #哈哈哈哈哈
1701401130# #哈哈哈哈哈哈哈这个鞋子怎么有脚趾
1699543790# #woc
1689292589# #转发微博
1698565226# #转发微博
1688795449# #草
1701820820# #有些人是真的双标doge
1693551731# #好家伙
1703560678# #我一直觉得我的油门有那么一丝丝响应迟滞（舒适模式），刚试了一下同事的老迈腾，这他妈什么玩意儿？允悲延迟得有半秒多吧感觉我以前4AT的福克斯都比这响应快
1704287760# #又不刹车又不敢打方向。就是菜
1701516423# #这俩有啥区别
1692867648# #哈哈哈哈哈
1695717049# #开公司不要钱不要人力是吧允悲
1692508046# #转发微博
1688715990# #草
1698277408# #搞笑呢允悲
1689728365# #那可太棒了，我们男的点外卖15分钟送到，女的点外卖1小时doge
1699869155# #草
1692835075# #哈哈哈哈哈哈
1693977393# #可是不是已经打码了二哈
1698517025# #转发微博
1693554730# #转发微博
1702818582# #笑死，我们公司卡车都有在限定区域内的无人驾驶测试牌照doge
1688923335# #无锡双休挺多的，就是工资低二哈不过不在乎，单休不是人干的
1701952988# #红红火火恍恍惚惚
1687822673# #doge卡罗拉雷凌噶了
1689598499# #扯淡呢。是因为不同的调味剂味道不同。有些放了会发苦，用不同的调味剂互相掩盖能在最低剂量（成本）获得最高甜度和口感
1699879457# #转发微博
1699258627# #？？？
1688535041# #哈哈哈哈哈哈
1690860676# #有点难二哈不过小米的粉丝都是科技狂热爱好者，也不是没可能
1692792520# #转发微博
1689490996# #日式松饼+蒜香法棍+中式红肠+毛式酸黄瓜。。好吃呢开学季
1687854012# #哇哦
1691112129# #哈哈哈哈哈
1702046605# #大气！
1695871926# #哈哈哈哈哈哈
1698846243# #草
1690878295# #转发微博
1689834708# #华为的技术是不错，这营销真的恶心允悲
1699673073# #转发微博
1701822689# #转发微博
1697092624# #哈哈哈哈哈
1700200753# #你换个病毒还能有人信。艾滋病立马检测？正常人都知道吃阻断药二哈
1699869399# #这糖量无锡人看了都惊讶允悲
1699498973# #文艺复兴！
1701863309# #转发微博
1704013221# #二哈米家这个生态和可拓展性别家羡慕不来。就差把家搬进来了
1703299283# #转发微博
1696899480# #为什么图标跟meta那么像
1697533460# #转发微博
1688374712# #哈哈哈哈哈
1703415082# #马一下
1691039288# #她说我本可以穿得更少去摆摊doge
1697037786# #烟道薄柜设计真不错
1690518707# #姥爷是什么我们不叫的
1704348916# #这猫。。
1701218768# #哈哈哈哈哈哈刚说空间站拍的不错，就来这出
1695858558# #转发微博
1700609811# #草
1698232915# #真的麻烦允悲之前还有个政府公文的格式，都没几个软件能打开
1693756059# #转发微博
1698418745# #转发微博
1690800840# #这参数也差太多了二哈小米的用夜景堆栈了吧
1689397582# #哈哈哈哈哈哈
1704207510# #破大众二哈
1689513042# #雀食
1697382804# #相册里又多了一些奇怪的东西二哈
1689037526# #每个人有自己的生活方式，但是这说法就让人很想杠她。满满的优越感
1697078806# #转发微博
1697469943# #这搬家得花个5000块吧二哈
1701950181# #13ultra的澎湃os稳定版内测已经发包了6天了二哈按照以前5-7天出正式版，应该要出了吧！！赶紧的！！
1696577669# #哈哈哈哈哈哈
1698574235# #？？
1698415840# #转发微博
1698923770# #哈哈哈哈哈
1688090877# #草收到了清华大学邮箱发的邮件允悲真牛皮啊
1696899679# #别的不谈，说这种话的一定是扣分项doge
1689393319# #二哈有商业区也能住
1687996481# #我投给了“不会。舒服就行，老子志不在此”~最近逐渐发现，不能既要又要。那衣服就是第一个放弃的东西了二哈
1703310823# #太强了！！
1693659617# #Ip68可以洗。但是进水不保修
1702520166# #感觉国内还有10天差不多也要起来了，该做的事儿早点做。
1699249100# #我觉得有鳗鱼就不算贵了二哈自己去水产批发市场买条生的鳗鱼都要大几十块。这种烤过的就更贵了
1701670383# #这踏马100块不是50倍？
1702821796# #转发微博
1697526293# #哈哈哈哈哈哈原来吉利系的车机流量卡都是广西联通允悲允悲允悲我也经常ip广西
1700625220# #转发微博
1689032468# #人类的认知还是太狭窄了
1698749303# #怎么做到的酸
1693648302# #有点太乐观了，不过大趋势确实如此doge是时候让世界体会一下全产业链的重锤了
1704183965# #哇哦
1701779655# #草
1699972629# #我抽屉里还有点二哈零食店26一斤
1699841684# #草
1689517725# #哇哇哇
1690374014# #转发微博
1701389947# #哈哈哈哈哈哈哈
1703302559# #哈哈哈哈哈哈
1698755311# #？？？牛逼
1700105137# #好帅
1689512473# #笑死了
1699197298# #转发微博
1697679517# #牛肉！我看到了牛肉！
1701680016# #转发微博
1703897413# #isfp对生活的计划最长只有一周开学季
1700786556# #真烂尾了人都找不到了还被谁打
1700186588# #“要断章取义”——节选自《不要断章取义》
1693757931# #到位允悲
1703416979# #转发微博
1693557060# #草
1689759314# #疯狂花在以前不敢买不敢花的东西上面
1689066689# #这A都快赶上C了开学季
1688628443# #转发微博
1691652771# #最近看小红书和微博的两大疑惑。。1.叫别人大雨大雾天不要开双闪。能不能请你去看看道路交通安全法实施条例？。2.车速表和实际车速有误差，车企一定有问题。请去查查GB15082-2008汽车用车速表国家标准规范吧裂开。把文件和标准都丢他脸上了还嘴硬，这都是哪里冒出来的傻逼？
1688814169# #哈哈哈哈哈哈水族馆
1688313122# #转发微博
1699327079# #偷笑
1692238373# #去大城市看看吧二哈别呆在信息茧房里。我们这5G室内信号都比4G好，延迟也低。
1699519003# #转发微博
1699789132# #很多证据太牵强了。人非圣贤孰能无过，一句话就上纲上线扣帽子的没必要。
1690603318# #笑死难道不是因为乱停车才这样的吗
1695989256# #转发抄送给首页各位治疗低血压
