1689236889# #告别喀什
1687835953# #岐山挽手金银滩。甘建华（湖南）。。2022年第1期青海《金银滩文学》季刊以148个页码，整本推出由我策划、特邀主编的“在那遥远的地方——离开青海情系高原海内外诗人36家专号”，包括朱奇、白渔、车延高、燎原、耿占春、吉狄马加、凌须斌、李南、马行、曹谁、马文秀三代诗人的291首诗歌。同年3月9日，由
1697783302# #鲁迅先生的儿子孙子曾孙三代人的全家福。（2008年9月25日）
1689648764# #《日本濂溪志》书中放了九州国立博物馆和反町茂作氏所藏的两幅《周茂叔爱莲图》，一者表现濂溪先生周敦颐垂钓之清逸，一者想象濂溪先生周敦颐读书之情状，风格虽迥异，却反映出濂溪学已嵌入日本社会的事实。。而北宋大儒、理学宗师周敦颐当年在衡阳舅家郑向柘里渡庄园读书赏荷之所在，即我现今所居的衡
1695286085# #【英国汉学家伊恩•麦穆伦（IanMcMorran）1987年参观王夫之湘西草堂】。伊恩•麦穆伦（IanMcMorran），英国汉学家，牛津大学哲学博士，中国船山学者。1968年完成博士论文《王夫之及其政治思想》，这是西方第二部船山研究专著，第一部是德国汉学家卫尔赫勒(Ernst-joachimVierheller)出版的《王夫之思想
1695216807# #今夜此时的天空咋这么亮？
1691662827# #8月3日，从德令哈借道西安，与铁人王进喜的徒弟、青海油田大功臣张德国、贾梅英伉俪留影。。上一回见面是7年前，2016年9月23日，同样是在西安市未央区西北石油管道小区。。张德国，生于1938年12月2日（农历十月十一日），甘肃永登县红城镇人。1955年7月毕业于兰州培黎石油学校，分配至玉门油田钻井公司12
1699788830# #衡阳南岳机场三天停车费162元。。你们说贵不贵？
1688357988# #母校食堂的伙食还是那么好。青海师范大学城北校区
1690101790# #至今只得到一位外国著名诗人当面亲手签名本——惭愧！。之前有人带给我外国诗人签名本，我不敢确定是不是真的。。那年在俄罗斯旅行，有赠俄罗斯诗人签名本，因为不懂俄语而没带回国内。。这本《盗贼之家》是澳大利亚马克•特雷尼克新著，广西师范大学出版社2023年6月出版。。马克•特雷尼克是当代英语国家
1703210217# #南岳十八罗汉开诗会
1688995292# #一桌八人，居然七个湖南人，其中六个衡阳人。湖湘子弟满天山，此言不谬也。鲜花音乐
1700035827# #我发新疆周涛这个帖子，今日头条126万+，百多条留言全都是深表怀念，在今日中国文学界来说也是难得了。
1688004178# #早晨，与尕藏才让到沙柳河边湟鱼公园观看湟鱼回游，可惜因为近日天下暴雨，河水浑浊，湟鱼潜行河底，没有看到千万条湟鱼飞跃的景象。。在海拔3300米的高地上，一路狂奔，没有出现高原反应。但朔风扑面，眼睛被刮得生痛，泪流不止。。尕藏才让，就是王洛宾《在那遥远的地方》歌词中的藏族好姑娘的孙子，
1688110283# #我离雪豹最近的距离。青藏高原野生动物园
1689387841# #到了新疆乌鲁木齐，怎么着也得到天山天池看一看。
1693348798# #如果没有湖南人左宗棠，我们现在去新疆需要护照。
1694561643# #雷雨时先生题签的诗集。其诗歌《石鼓是一片江山》，可以说是《石鼓书院的月亮》中写得最好的诗歌，之一。这本诗集汇辑了海内外130位诗人的208首诗。。雷雨时这首诗被《诗刊》主编李少君相中，入选诗刊社编、湖南文艺出版社出版的《衡阳：青春雁行如诗》诗集。
1702173895# #杨绛先生：“上班最大的意义不是那点工资，而是工作能让你有规律的生活，有见人的机会，有稳定的社交圈子，还有来自客户同事或多或少的压力。一来可以锻炼心智，二来能促进你不断前进，不至于生活越来越堕落。”
1703650061# #王兴国：毛泽东没有说过“西方有一个黑格尔，东方有一个王船山”。。在纪念船山先生王夫之诞辰400周年期间，有句话在有关宣传资料乃至个别学者的文章中反复出现，这就是所谓“毛泽东说‘西方有一个黑格尔，东方有一个王船山’”。笔者多年研究毛泽东，对公开出版的毛著基本上都接触过，从来没有看见毛泽
1687055314# #谭谈主席写著名版画家、常宁中国印山创始人吴国威先生《那个人与那座山》，此文写作颇为蹊跷，不妨说来听听。。2021年4月30日凌晨2：25，吴国威在衡阳家中安祥离世，享年83岁。。几个小时后，远在长沙的著名作家、中国作协名誉副主席谭谈，陡然间心血来潮，起意要为老友吴国威写篇文章，收入即将出版《奔
1692197191# #第一次用ChatGPT4.0中文版，写一首歌颂祖国的诗歌如下：
1700029840# #贵为一代藏书家（至少2万本以上），却发现斋中多半的书并没有读过，这是我和许多人的悲哀。
1702010914# #广东惠州市《关于我会会员吴子璇涉嫌抄袭处理意见的情况汇报》，拟取消吴子璇惠州市作家协会会员资格，建议惠东县作家协会召开理事会，罢免其夫游天杰副主席职务。吴子璇今年居然混进了中国作协。陀思妥耶夫斯基之问：怎么办？
1697874226# #陪同段有慧博士和我家老王，爬上明代万历九年（公元1581年）修建的衡州来雁塔，距今已经442年。
1695202332# #看了一个湘省青年画展。怎么感觉衡阳的水平比省内其他城市的水平高得多？图二、三、四分别为廖理邦、陈丽、虞明的画。
1693138408# #读陈彦昭口述、侄女陈静执笔《我把最美好的青春献给了柴达木》，方知当地1954年前即有德令哈村，1954年3月建立国有德令哈农场（中国最大的劳改农场），1955年从都兰县析置德令哈工委，1958年撤销工委设立德令哈县（县治驻巴音河），1988年从乌兰县析置德令哈市（县级）。。陈彦昭，生于1933年，1954年
1692496190# #艺术家很投入
1689261407# #听哈萨克女诗人阿依努尔母语演唱鲜花音乐
1694825773# #清代学者章学诚认为，地方志的意义在于“补史之缺，参史之错，详史之略，续史之无”。
1688882068# #我到过的新疆的第一个团场。祖国到处有亲人，就是没有丈母娘。
1692534211# #昨天湖南同乡会拍的台湾全裕富将军，原蒋经国“总统府”执行长（相当于秘书长或办公室主任），官拜少将，今年97岁，衡南县茅洞桥三碗盐人。本应住在将军府，却被不孝之子将家财败尽，银行与黑道逼债，以至于流落街头。幸好台湾社会福利好，湖南同乡会帮衬，这才有了临时住所。近期，衡阳全氏宗亲理事会
1700969827# #践诺而来。武夷山市的美超出了我的想象。云海半朵，一家高档时尚的民宿，对面是《印象大红袍》剧场。
1704098724# #昨天林琳主编出刊的《香港文艺报》发表拙文《德令哈得画记》（节选2000字），事写2023年7月29日下午，台湾中国美术协会理事长、北京中国美术家协会会员李沃源先生在德令哈采风期间，贻我一幅水墨精品《放怀天地间》。深谢！
1697761590# #“网红教授”郑强每年SCI平均33篇，这一点我是绝对不会相信的，因而对他所说的每一句话，现在都开始表示怀疑。
1694684379# #湖南再破天荒
1689990378# #英国最著名也最富有争议的历史学家珀西瓦尔·泰勒说：“历史上所有的改变，所有的进步，都来自于不顺从者。如果没有麻烦制造者，没有提出异议的人，我们应该还住在山洞里。”泰勒这段话一直被视为现代社会最为进步的思想观点之一，对整个欧洲与美国乃至世界的文明发展，都起到了极其重要的启迪作用。
1693037455# #惊闻温州著名作家、诗人叶坪今晨逝世，享寿80岁。曾与来衡阳的他见过一面，餐叙间交谈甚欢。他写过一篇散文《衡阳诗缘》，帮其修改后推荐发表在2017年2月12日《衡阳日报》回雁副刊，今天上传新浪博客以志纪念，将收入中国文化地理散文选本《名家笔下的衡阳》。
1700039578# #古月社长发来台湾《创世纪》诗杂志2023年12月冬季号（总第217期），本期有我组稿衡阳诗人9人小辑：陈群洲、甘建华、张沐兴、萧萧、刘阳、陈益群、天晴了、莫汲、朱弦。可惜还有几位诗人的作品未能入选，所谓“谋事在人，成事在天”也。
1699665383# #开会了。又见石英先生，老人家今年90岁了，我们同一天生日。鲜花音乐
1687475786# #左宗棠平定新疆时给家人的信：“西事艰阻万分，人人望而却步，我独一人承担，亦是欲受尽苦楚，留点福泽与子孙，留点榜样在人世耳。”
1692840816# #村上春树《海边的卡夫卡》金句：“命运就像沙尘暴，你无处逃遁。只有勇敢跨入其中，当你从沙尘暴中逃出，你已不是跨入时的你了。
1703123080# #昨天安琪老师赠我新诗集《暴雨和绵羊》。都是地理诗。鲜花音乐作揖
1689855189# #7月6日清晨，在西宁曹家堡国际机场，看到一本华文出版社《雪域古寺》，文图并茂，印制精美，作者唐召明。忽然想起新华社著名记者张荣大先生《茫崖镇风雪脱险记》一文中，曾经写到这个名字。。1982年2月26日，张荣大和同事张万象（时任新华社青海分社代社长，后任新华总社副总编辑，1996年获得“韬奋新闻
1687911186# #每个参会者都有各发各的
1693056726# #8月26日上午，由艺江湖主办，中国文艺家杂志社协办的词语与线条的黄金分割——吉狄马加诗歌书法展在山东德州市美术馆开幕。此次展览集中展示了中国作家协会诗歌委员会主任、中国作协原副主席吉狄马加的书法作品100余件。展览作品有信札、扇面、楹联、斗方、长卷等，内容主要源自于吉狄马加的原创诗歌。
1691702712# #曾国藩说：“人生三大错误：一是向糊涂人，说了明白话；二是试图和不靠谱的人，做正经的事；三是和无情的人，谈起了感情，讲起了交情。”
1689689773# #哈哈哈哈哈
1688078822# #在2023青海湖诗歌节上与彝族、满族、藏族、撒拉族、土家族、蒙古族、回族、土族、哈萨克族诗人留影。
1700790238# #契诃夫：我真的很想大吃大喝、睡大觉、谈论文学。也就是说什么都不做的同时，又能感觉自己是个正派的人。
1698844400# #青云出岫墨韵衡州——南岳女子书会双年展，明天（11月２日，星期四）上午在南岳美术馆（天子山祝融小镇）开展。。由已故书法名家罗步庵先生创办的南岳女子书会，比湖南省女书法家协会成立还早近两年，衡阳市至今没有这方面的社团。。十几年过去了，南岳女书家的作品越写越好，队伍越来越大，每次展览都
1692406614# #衡阳市文联有一本全国公开发行刊号的《文学天地》杂志，但我一直只闻其名未见其刊，因为它长期被外包赚钱，以至于沦落为地摊杂志。直到今年，湖南省作协副主席、诗歌委员会主任、著名诗人胡丘陵将它收回来，办起《文学天地—湘江诗歌》双月刊，我才得以在其上发表一组七首《石鼓书院的月亮》，实现了回
1688731680# #此刻，茫崖市，青海油田举办“花土沟的梦——甘建华诗歌朗诵会”。鲜花音乐作揖
1690892979# #西宁机场。50元一袋。
1687937538# #我的藏文名字原来是这样的呀
1689732672# #怀念西行路上每晚盖被子的感觉。话说今夏新疆西瓜为什么没有衡阳西瓜好吃呢？吐鲁番的葡萄也没有衡阳酃湖的葡萄好吃。
1690448343# #德令哈机场的“德”字为什么少一横？这个字是古人为了表示谦逊，也是表明心上不能横一刀。
1699151865# #1927年1月15日至24日，毛泽东在衡山开展农民运动实地考察，获取了大量的第一手农民运动资料。
1690705338# #德令哈第六届海子诗歌节暨诗城诗韵·诗画高原活动最亮的星：著名画家刘培军、卢琼伉俪。鲜花
1699081166# #上封寺听佛音似有所悟
1689566190# #今天早晨四点钟至八点钟，所有的视频打不开，所有的链接打不开，所有的微信看不到，肯定是发生了什么事情。求解！
1700997256# #夜幕降临，食客们剔着牙齿，打着饱嗝，前来观看山水实景演出《印象大红袍》，真是一个再好不过的时代啊！
1700027806# #转发微博
1700356857# #曾经闻名遐迩的广州“摇滚书记”，一袭黑衣自弹自唱《传奇》受到广泛关注，昨天被官宣了。
1688871220# #好汉们来到新疆
1688738186# #深深地感谢茫崖市党政领导和青海油田花土沟基地各单位领导以及全体朗诵者、工作人员和观众朋友们。鲜花音乐作揖
1697095319# #网传毛泽东对王夫之的“经典评价”：“西方有一个黑格尔，东方有一个王船山。”经当今船山学泰斗王兴国先生考证确认，毛泽东并没有说过这句话，而是衡阳电视台2010年摄制《南岳奇人王船山》宣传资料捏造的，许多船山学者也跟着这样瞎说。。又据考证，这句话实际上是民国时期哲学教授嵇文甫、贺麟说的。
1695093363# #谁能想到，明末清初衡阳大儒王夫之（1619—1692）的遗著，300多年后，竟由浙江绍兴人杨坚主编完成。《船山全书》皇皇16巨册，收书73种，371卷，1093万字。该书荣获第三届“国家图书奖”，本人摘取第四届“中国韬奋出版奖”。。杨坚先生大名吾早知也，其生前予几番到过岳麓书社，可惜未曾亲访先生，如今
1693023552# #据报道，1986年切尔诺贝利核事故后，受影响地区的居民因为摄入含有放射性的碘的牛奶，导致甲状腺癌重复增加；2011年福岛核事故后，日本福岛县青少年甲状腺癌的发病率增加118倍。
1688784704# #参观大地之眼——茫崖艾肯泉。最早见于1888年俄国普列热瓦尔斯基《走向罗布泊》一书。《国家地理杂志》封面照片。电脑屏保扑面而来
1699407417# #11月3日，谭谈先生在南岳文定实验学校。
1691588172# #今日《衡阳晚报》副刊发表衡阳题材组诗六首
1689222743# #在喀什高台民居听《十二木卡姆》
1701425728# #曾在我的母校青海师范大学任教17年的鲍鹏山教授说：“世上有两种贫穷，一是一文不名，一是一毛不拔。一文不名的贫穷让人同情，一毛不拔的贫穷让人鄙视。世上最可怜的穷人是这样的人：他曾经一文不名，发达后又一毛不拔。”
1688368196# #青海的云
1696901393# #毛姆：世界上最可悲的事情，好人只能偷偷地议论真相，坏人却明目张胆地说好人在造谣。
1697011667# #2023南岳首届祝融彩灯艺术节，太棒了！。只有看过这种山东菏泽彩灯，才知道什么是天下灯展，如此方能配得起天下南岳。。想起以前在衡阳市西湖公园看的灯展，十元一张门票，真是灯下黑，让人笑掉大牙。
1697268284# #弄巧成拙。这张乡村干部慰问当地贫困老人的照片冲上了热搜。
1691291963# #南岳山中。又得浮生半日闲。咖啡
1688778171# #除了感谢，还是感谢。鲜花音乐作揖
1696124539# #谭五昌教授主编《纯真的诗——2022年度中国儿童诗精选》，江西人民出版社2023年9月出版。有一首《陌生的小男孩》，存谢！鲜花音乐作揖
1690341220# #茅洞桥目前在任的两个省军级高官，老家的房屋门对门，屋檐搭屋角，相距只有400米，可见风水之好。
1696140209# #昨日到了衡南县栗江镇六合村，湖南省美丽乡村示范村，村部有3栋办公楼，还有一棵树龄355年的重阳木。村民和出外务工、当老板者，享受的礼遇和福利，皆为湖南乡村所少见。
1702947948# #说高了，说高了，许多人真的说高了。我是在编《听说我在德令哈》这个中国文化地理散文选本时，看到董宇辉写俞敏洪到德令哈的一篇文章，才知道有这么个人。他也就是一个中学生作文的水平，文字根本不堪卒读，不知为什么有人把他说得那么高？
1703214630# #台湾《创世纪》诗杂志2023年12月冬季号（总第217期），本期发表衡阳诗人9人诗展：陈群洲、甘建华、张沐兴、萧萧、刘阳、陈益群、天晴了、莫汲、朱弦。鲜花音乐作揖
1694517628# #又一只大老虎。孙志刚之后，又有姜志刚。叫志刚的省部级高官注意了。
1696940732# #今天看到宗亲大姐甘以雯（《散文·海外版》原执行主编）的微信，才知道陈忠实长篇小说《白鹿原》还有一个3卷本宣纸版，定价490多元。
1694317818# #德令哈农垦文化博物馆墙上的结语，证实了以前民间流传的说法。那天我也被雷到了。
1703052673# #今天上午的事情，但是没有影响世界格局。色
1694139822# #今晨醒来，打开手机，恰好5时26分，后才知道这是今年的白露节气。怪哉！
1688172137# #光读《艺术大师刘海粟的朋友圈》书评，云里雾里，死无对证，尽可能往天上扯，你不笑死三回算我输。色
1700796496# #两岸诗人交流会。福建邵武和平古镇
1700299241# #豆腐渣工程。这才几年啊？
1689471009# #新疆历史名人谭上连（1840－1890），字云廷，因其肤黑性勇，膂力过人，又称谭黑虎，湖南衡阳县龙田桥人，晚清湘军名将。。光绪二年（1876），平定新疆阿古柏叛乱。行军沙漠，患于迷路，条陈左宗棠令先头部队插柳为标，致有“左公柳”传于今。。光绪十年（1884），新疆建省，谭上连任最高军事长官——乌鲁
1691457249# #79年前的今天，衡阳保卫战结束。1944年夏天，日本鬼子以11万人之众，狂妄叫嚣三天攻下衡阳。国民革命军第十军方先觉中将率领一万六七千名官兵，英勇坚守了48天（一说47天），是抗战史上唯一以少胜多的战例。伟大的衡阳城！英雄的衡阳人！
1700027955# #大岳法师，南岳福严、桂林栖霞、衡阳大雁三寺住持，曾任全国人大代表，现为湖南省人大常委、衡阳市政协常委。中国佛教协会常务理事，湖南省佛教协会副会长，衡阳市佛教协会会长。其人文武双全，能诗，亦擅书画，所写“福”字广为海内外香客收藏，诚当世高僧也！这是他写南岳福严寺一首旧体诗词。。西边
1699761588# #北地的风，寒彻骨髓。。圆明园，如此而已。
1702863501# #这个杀人犯却说出了写诗最简单的真谛：“诗人应该有清楚的自性。如果竟然以诺贝尔奖的标准为写诗的标准，那是非常荒唐的。”“一朵花向春天开放，不会向总统开放，这是最简单的事情。”我常常在想，如果顾城不死，倒是很有可能获得诺贝尔诗歌奖。
1694607797# #竟然高达1211人！。涨大水了！真的涨大水了！。2020年663人，2021年728人，2022年992人。明年会不会2000人呢？。估计许多入选名单者自己都不好意思转发这个公告。
1700910579# #南宋诗论家严羽，邵武莒溪(今福建邵武市莒溪)人，自号沧浪逋客，世称严沧浪，所著《沧浪诗话》名重于世，被誉为宋元明清四朝诗话第一人。曾远游至湖南，在长沙、衡阳、岳阳洞庭湖等地漂游。《沧浪吟卷》中有《孺子台吟》五首，其一云：“去年醉与东湖别，欲上衡湘泛秋月。君家留我却邅回，怅望还成阻修
1704001571# #在衡阳市美术馆观看全国青年书法篆刻家邀请展
1700567649# #周游四海八荒。——在衡阳师院学奎楼207室参加甘建华先生地理诗分享会所得。法卡山。。周游四海八荒。这几个汉字带着漂泊的宿命。在学奎楼种下分行的诗句。有人开始梦游，在古道西风瘦马的敦煌。找寻诗的真义。其实，我们这短暂的一生，被一首首诗所消耗。谈不上有何不朽。就如黄白路霓虹灯下的滚滚车轮。似乎都在
1700987634# #与台湾著名诗人、《台客诗刊》发行人兼总编辑刘正伟兄游武夷山九曲溪，遇竹筏客刘水旺颇善谈，说话有书卷气。闽地山川风物不同，文脉十分深厚，处处可见大儒朱熹流风余韵。“武夷占尽人间美，愿乘长风我再来。”
1696475680# #
1695428498# #酒鬼酒不厚道啊！1988年9月，台湾诗人洛夫第一次回国，随李元洛、孙健忠去湘西，给酒鬼酒厂写了一首打油诗，被酒厂用作广告，自此风行天下。可他们却没有付洛夫一分钱稿费，甚至连一瓶酒后来都没有送给洛夫。
1689765100# #《长安三万里》。。且看神仙们怎么打架。
1700186957# #转发微博
1690561635# #德令哈市怀头他拉万亩枸杞基地。吃了一斤有多的枸杞
1688383473# #参观青海师范大学校史馆。鲜花音乐。感恩母校。作揖
1699320652# #转发微博
1689484727# #湖南衡阳人谢彬（1887—1948），名作法，字兰桂，号晓钟，辛亥革命元老，著名爱国学者、教育家、经济学家、旅行家、著作家。毕生著述二十余种，近千万言，代表作《新疆游记》。该书讲述了民国五年（1916年），留日归国的谢彬，以国民政府财政部特派专员的身份，前往新疆天山南北考察，历时15月，就考察
1696645994# #在下甘某谈晚清衡阳先贤彭玉麟重建船山书院并撰联以志。湖南日报全媒体记者姚帅撰文，朱玉文策划，戴钺摄影，今日今时发布，纪念船山先生王夫之诞辰404周年（1619.10.7—1692.2.18）。。。一瓢草堂遥，愿诸君景仰先型，对门外岳峻湘清，想见高深气象；。三篙桃浪渡，就此地宏开讲舍，看眼前鸢飞鱼跃，无
1697083209# #用生命影响生命。作者｜泰戈尔。。把自己活成一道光，。因为你不知道，。谁会借着你的光，。走出了黑暗。。。请保持心中的善良，。因为你不知道，。谁会借着你的善良，。走出了绝望。。。请保持你心中的信仰，。因为你不知道，。谁会借着你的信仰，。走出了迷茫。。。请相信自己的力量，。因为你不知道，。谁会因为相信你，
1700020522# #与徐爱国兄到市郊雨母山大雁寺访大岳法师，法师正在工地上亲自劳作。衡阳一座地标将于明年湖南旅游发展大会前建成。
1698415173# #走在衡阳乡间的田埂上。。就那么一个小小的，却非常随意的。动作，却感动了。所有中国人。。沿着狭窄泥泞的田埂。他沉稳地走来。仔细察看秧苗的长势。。正在稻田间忙活的农民。主动为其让路。却被他一把拉上来。。——咱们一起走吧！。。就这么一句简单的话。就这么一个很自然的动作。衡岳湘水，听得清楚，看得真切。。时间
1692344264# #今天中午，衡阳曲园宴会中心部分来宾，群贤毕至，老少咸集，生日宴会，幸何如哉！鲜花音乐
1697935135# #新华社成都10月21日电（记者李倩薇、李力可）21日晚，2023雨果奖在2023成都世界科幻大会上揭晓，共评选出17类雨果奖奖项和2类非雨果奖奖项，中国作家海漄凭借《时空画师》获得最佳短中篇小说奖。这也是雨果奖首次在中国揭晓和颁奖。。海漄之前曾以《走蛟》获得第四届冷湖科幻文学奖中篇二等奖。
1701783482# #岳阳新闻都能做到这个程度，让人不得不服啊！
