1689300563# #羊羊：你说话怎么有口音呀？
1689308293# #滤镜测试：你是哪两个动画人物的结合体？。看出来她很想反驳，但又无从反驳...
1704106717# #小哥打捞上一只浑身布满藤壶的雌虾，而且失去了部分钳子和脚，怀疑它受到了同类的霸凌。小哥帮它做了简单的清理以后，打完记号再放生...没关系，以后又是漂亮的小虾虾啦！
1692199527# #当你发现这个世界上奇怪的事情越来越多，已经见怪不怪的时候doge
1700838330# #一人一猫，一起吃饭旅行睡觉，谁规定灵魂伴侣必须是同类的？
1696330435# #做最逼真的蛋糕，下最“狠”的刀，每一刀都那么出乎意料！
1704703044# #秃顶大爷爆改型男大叔，建议他把这个假发焊死在头上！美妆V赏
1693716933# #印度水下舞者JaydeepGohil的精彩表演，感受一下什么叫做超强的身体控制力！
1700054465# #拿书本和卷纸种蘑菇，这是什么神操作？看到蘑菇长出来那一刻，我着实有点惊到了...
1701093669# #当你有个会弹吉他的爸爸...这么vip的位置可不好找啊！
1694954851# #热爱美甲的大姐决定去改个款式...这很难评！
1691834638# #为什么明明同样的发型，你扎出来就是和别人不一样？一份超全的氛围感发型教学合集，码住了！美出圈
1699364411# #有光就睡不着，德国的“全黑”窗帘了解一下...周末想在这样的房子里美美睡一觉！
1693365933# #用完美的技术切开完美的蛋糕，我不敢想象如果还能吃上一口，该有多么快乐！
1695562181# #突然下雨时，你和你朋友躲雨belike：
1704292989# #网友参观2岁侄女的房间，成年人的内心受到了重创。这这这...比我整个家还要大啊！
1694673110# #人行道：别看了，再看就不礼貌了！
1689935717# #小姐姐Krista的发型教程，剪刘海、卷头发、扎辫子...你想学的氛围感美女技巧，都在这里~美出圈
1701953753# #尽情摇摆的猫猫布丁，duangduang的太魔性了，根本停不下来！
1692714158# #喜欢喝巧克力杏仁牛奶的小宝贝，乖乖地等待着妈妈处理食材...好有礼貌呀！
1704342044# #大叔养的猪猪宠物长得有点“潦草”，但人家其实是疣猪....别害怕，这里没有人会吃掉你噢！
1691737079# #老公不让她喝咖啡，居然是因为这个允悲
1695653100# #深夜放毒系列，把声音调大，沉浸式感受美食的魅力~
1697034338# #虎皮鹦鹉宝宝出生37天的变化...从小秃鸟变成毛茸茸的小啾啾，一天比一天可爱。
1691761367# #一台售价33万美元的房车，走进去看看，到底值不值呢？
1688469675# #身上爬了只跳蛛怎么办？正好，带它去抓苍蝇...
1701741552# #喵星人为啥喜欢这样“咔咔咔”呢，是在发电报联系母星吗？喵喵
1701429596# #让猫猫触发多米诺骨牌，不搞破坏就算了，居然还这么配合，演的吧！
1687921868# #度假时给朋友准备丑衣服，是姐妹就一起穿，要丢脸就大家一起丢doge
1694761434# #当血液里混入细菌后，会发生什么“疯狂”的事情....让我们一起大声说：谢谢白细胞！
1689500309# #爸爸偷偷把儿子的麦当劳套餐，换成了自己家里做的版本，看他能不能发现区别...恐怕小男孩从此要戒掉鸡块薯条了！
1695541779# #说好的玩游戏，你俩咋跳起来了呢？
1694051689# #小女孩庆祝上幼儿园的第一天...。狗子：笑不出来。
1693492711# #网友第一次来到意大利，这不得把当地美食都尝个遍？松软香甜的甜品、鲜咸酥脆的小吃，她好会说好会拍啊，看饿了！
1690728665# #结婚之前，先想想这样一个问题，再决定要不要和ta继续走下去吧....
1693393166# #不同迪士尼公主风格的婚纱每一个有公主梦的女孩，都无法拒绝这样的婚纱吧！
1695712617# #家族聚会举行“宝宝性别揭晓”仪式，过程中意外不断，但其实都是夫妻俩特意设计的惊喜。听到一个接一个的好消息，奶奶是真开心啊！
1698061565# #保持同样的姿势坐太久，肩颈酸痛怎么办？不要只是转转脖子了，试试这几套动作吧，坐着也能舒缓拉伸~
1695444704# #周末出门怎么拍出好看的照片？不管是拍风景照，还是拍城市街道、情侣自拍...都可以参考一下哦！
1690440622# #带着三个娃长途旅行，必须采取点“物理手段”，才能保持和谐...
1698485573# #佛罗里达州海边“鱼浪”来袭...捡不完，根本捡不完！
1703165584# #不能小瞧天猫奢品的节日仪式感，素雅白净的广场大变身，广场亮起彩灯，圣诞树也挂满装饰。手机淘宝搜索天猫奢品进入【云奢广场】，参与互动点亮圣诞树，获取新年大牌开运壁纸。跨年约朋友们去天猫奢品云逛街，在指尖漫游奇遇季相遇节日限定的浪漫。预告你的2024
1690815642# #来看络腮胡帅哥制作美食，动作干净利落还带着一丝优雅，而且每道菜的卖相都很不错！
1699596501# #网友发现，她家南瓜被一只肥松鼠偷吃了...生气归生气，怎么还“身材羞辱”呢？允悲微博喜剧现场
1700115719# #汽水罐的底部有一圈圆形凸起，这个设计有什么讲究？后悔自己没有早点看到这个视频...
1701965685# #【西肴纪火山石烤肠*20根24.8💰】。原味、黑椒味2口味。肉含量≥80%，肥瘦黄金比例，口感柔嫩，扎实肉感，肉汁四溢，胶原蛋白肠衣，久嚼无渣，柔韧有嚼劲，一咬爆汁，蒸，炒，烤，煎炸都好吃。
1695135431# #老奶奶独自来到咖啡店，带着蛋糕蜡烛和一封信为自己庆生...这一定会是她最难忘的一次生日！
1689652867# #不用卷发棒就能做出来的卷发，袜子准备好了，这头发在哪里领？憧憬美出圈
1699283943# #爸爸假装要去打架，问两个女儿要不要参加...姐姐还有点犹豫，妹妹已经把招式都想好了！哈哈微博喜剧现场
1703594309# #在南美洲很流行的马黛茶~不知道这样满满一杯，品尝到的第一口会有多浓郁呢？
1688483184# #前面看得我已经很着急了，最后那一下，血压都上来了...
1696641647# #此刻正在菲律宾马尼拉转机，刷到这条新闻的我…二哈
1701009111# #这不就是吃东西的我本人吗？就这么点还剩着呢，多麻烦，看我全炫了！doge
1692803100# #可爱小驴在线叫唤，啊呜~~~
1695912978# #女儿正在熬夜看电视，发现爸爸过来了马上装睡。爸爸：就你这点小技俩，看看谁骗得过谁了！doge
1698308031# #网友第一次带着宝宝见九个姨，收获满屏的姨母笑，已经能预感到宝宝成长路上多幸福了~
1696387129# #每次想到前任，就惩罚自己做俯卧撑...一举两得了！
1696213336# #巴西的姑娘们，一个个球技都这么好吗？
1700045754# #当你发现自己有一些坏习惯，强迫自己随时改正时....时刻告诉自己不能皱眉、耸肩、撅嘴、抖腿，太真实了doge
1694790713# #女儿怕八十多岁的父亲一个人孤单，便给他送去了一只狗狗，他们就这样互相陪伴着慢慢老去...
1688529248# #请一支乐队来叫室友起床，看看他有什么反应...
1701786522# #长得让人摸不清头脑的动物：大马士革山羊。明明小时候还那么可爱，怎么长大了就...
1703082482# #随着音乐响起，管子上的一排火焰也变换出不同的形状...想知道这是怎么做到的？微盘点V笑年度大赏
1700832791# #韩国美食博主sibatable的创意料理，把饭做成了小动物的样子~太可爱了完全舍不得下嘴啊！
1701663097# #网友分享的“治头疼”小妙招，声音出来那一刻我小脑都萎缩了费解
1703317828# #试驾可以载人的“无人机”：LIFT公司的单人电动飞行器HEXA。售价49.5万美元，只需不到1小时的训练即可飞行...看看它和直升机有哪些不同呢？
1702693723# #原来鸟也喜欢逗猫这只奶牛猫看起来就很好骗的样子，被耍了这么多次，怎么还不长记性啊？
1700547599# #采访男生关于前任的问题：你还想她吗，你最想对她说什么？。。男生真诚的回答着，殊不知前女友就在幕后听完了这一切。节目组让这对前任重新见面后，没想到还有这一出？二哈
1692540019# #危地马拉一座火山被闪电击中的瞬间，有种特效大片的既视感~
1688540310# #现实版贪吃蛇，现实中看到肯定会被吓一跳...
1690863369# #潜水员小姐姐在水下最好的朋友，是认识5年多的一条柠檬鲨。每次见到她，就滋着大白牙游过来求摸摸~
1698157833# #老师：虽然惊喜没有了，但是仪式感还是要有的...再来！
1704425418# #妹子养了个宠物螃蟹，每天早上都用食物唤醒它，但是它似乎对主人的手指更感兴趣...
1695437770# #养猫吗，躺着不动也被它伤害的那种...
1689488842# #20岁的人生感受，好像确实是这么一回事...
1695549051# #奥地利AdmontAbbey图书馆，推开门以后，满脑子只剩下一个字：哇！憧憬
1701789135# #小朋友第一次吃墨西哥辣椒：有点不对劲，等等，又有点上头...
1699115099# #【杰士邦超薄气球🎈30只19.8限时秒杀‼️】。杰士邦旗舰店自营，步骤：1、领-290元的券，2、拍最后一排30只，3、付款只要19.8元！！。。超薄情趣爽滑派，官方正品私密发货👇
1699416591# #男孩朝着黑熊招手，差点“引祸上身”，邻居：怎么结局和我想的不太一样？
1697259437# #人类闲起来的时候能有多无聊...这是在模仿什么啊？允悲
1701585275# #是真朋友，就给他送定制的粑粑蛋糕doge。。后面附上了寿星本人收到蛋糕的反应，他还不小心把蛋糕沾到了手上，完了更像了...
1688361608# #小驴Henry听到主人的呼唤，就屁颠屁颠地跑过来，远远的就听到了它撒娇的声音...
1693056728# #小哥突发奇想，要不要做一个油炸炒饭汉堡包？听起来很离谱，但是看到成品后....碳水爱好者居然有点心动！
1702479760# #美食博主Daen'sKitchen分享各种蒜香美食的制作过程，无论是搭配面包、牛排或是意面，看着都很诱人~
1702976332# #当你错把别人的小猫咪抱回家，而让自己家的在外面受冻...都怪你们实在是长得太像了！微盘点V笑年度大赏
1698546134# #猫咪穿上了新买的节日T恤，看得出来主人确实很满意，但是猫猫...这位模特真的累了！
1691410672# #医生拿着定制的假肢和礼物走来，小朋友：我好像看到天使了！
1698468909# #把西瓜化成爱豆，真正的“平地起高楼”，五官都立体起来了，你认出了几个？
1697281393# #和好姐妹约好了，不管轮到谁结婚，都要做彼此的伴娘噢！
1691461043# #网友度假的时候无聊，在螃蟹洞口放了个GoPro摄像机...螃蟹：没人要的话，那我可就带回家啦！
1698028122# #上班前vs下班后，原来全世界的打工人精神状态都差不多。
1697813950# #不到一分钟的视频，被红裤子大哥秀得头皮发麻...就这身轻功本领，放在古代起码是个大侠！
1688742600# #一起来学习抱猫的正确姿势，既让它们更有安全感，又能防止自己被抓伤...下次遇到“高冷”的小猫咪就试试看！
1703217501# #用道具还原复古发型小姐姐用道具还原复古发型，第一个就把我惊呆了...。。美妆V赏年终囤货清单V笑年度大赏美出圈
1704605624# #31岁的女儿记录：不管多晚，爸爸都会刷卡进站接她下班回家...这种父爱的杀伤力谁懂啊！
1700658553# #叮，牧场里的挤奶工上线了~这份工作有点解压啊！
1701005758# #仿佛见证了时间的力量：伤痛就这样慢慢的被抚平了...
1694263579# #普通人：一堆鹅卵石。。艺术家：这不是隐藏款小猫咪吗？
1701656247# #小女孩出生时眉心就带着一大块黑色胎记，经历过三次手术，抗过了术后感染...虽然留下了疤痕，但是比之前好多了。
1694171751# #韩国小哥的“防秃技巧”：给头皮上色，就算近距离看也很真！美出圈
1702090996# #小象：我是大象！我很厉害！我....下次再来！
1698067232# #科技改变生活系列：身体有残疾的小姐姐，家里装上了这样的“升降机”以后，可以独自上下床、上厕所、甚至实现了泡澡自由...
1700995811# #顶着“杀马特”造型的绒顶柽柳猴，一边吃东西一边好奇地望：这些人瞅啥呢？
1697706781# #为什么穿同样的衣服，别人就是比你精致呢？参考博主的穿搭“小心机”，感觉很有用~
1701356791# #将两种颜料混合，会变成什么颜色...你猜对了几个？
1688218893# #如果给你一笔巨款，唯一的交换条件是这个...看完视频是不是豁然开朗了呢？
1688277234# #俄罗斯健身网红VladislavaGalagan的运动日常，这才是真·金刚芭比...
1693383969# #有一种饿叫主人觉得你饿：够吗，孩子？doge
1690717533# #拥有这么一群小伙伴，这位小朋友已经是人生赢家了！
1702612512# #收到女友发来的自拍应该怎么？这哥们的答案属实是天花板了...果然甜甜的恋爱还得看别人谈啊！
1702991257# #小动物们接受正骨治疗视频更新，大家的表情好丰富呀！微盘点V笑年度大赏
1691316616# #妹子换上巨型圆圈耳环，看老公能不能注意到...老公：你耳朵上戴呼啦圈干啥？！
1701188283# #【卜珂可可风暴夹心卷85g*3罐14.9💰】。0反式脂肪酸，可可含量70%。黑巧夹心卷、榛子夹心卷两种口味，还有组合装可选，折¥4.9/罐。醇香可可脂搭配酥脆蛋卷，不含反式脂肪酸，榛子酱夹心香甜浓郁；黑巧夹心微苦丝滑，酥酥脆脆，好吃不腻，休闲磨牙必备。
1698399791# #小姐姐毕业后找到了一份朝九晚五的工作，但她觉得很累压力也很大，没有了自己的生活。她还很想知道，这么疯狂的事情大家是怎么坚持下来的...
1693927158# #猫猫：这个人又开始了...
1702997826# #4岁的女儿已经有喜欢的人了，老父亲的表情是这样的...微盘点V笑年度大赏
1703683565# #家里一年一度的冰箱清理日，又到了和老妈斗智斗勇，双方辩论的环节了...
1692774359# #小哥隔着玻璃和陌生的女孩打招呼：嗨，有空合个影吗？
1702286280# #小猪猪凭借自己的可爱，成功迷倒了一位姨，还混到了一份生菜沙拉...太可爱了，想要什么都给你！
1703563095# #真不是她吹，在座的各位不管是发质还是发量，都比不上人家的宝贝...美妆V赏V笑年度大赏
1704286307# #一天下来累了吧，来听听小宝宝治愈的笑声，嘴角也忍不住跟着上扬了！
1691933243# #假睫毛如何清洁和保养....这个长度和浓密度，放在整个美妆界都是相当炸裂的！美出圈
1695625154# #来看看真正的“沙雕”大神，我要是在旁边估计可以看一天！
1690171789# #因为各种原因失去头发的小女孩们，第一次戴上假发的反应...幸福，感动！
1692109688# #到底要穿多久，才能把袜子穿成这个程度...
1703601723# #小男孩：不表达一下态度，你还真以为自己很幽默了！
1697804904# #第一视角体验：坠入海底又被救回是什么感觉...
1694012106# #父母坚持每周给女儿拍一张照片，记录宝贝的成长，没想到这一拍就是17年...
1697810668# #妹子在餐厅里遇到了帅气服务员，就直接邀请他来家里参加婚礼吃席，关键是人家也真的来了，而且和全家都玩得很开心...有时候真的很羡慕这样的“社牛人士”！
1695873103# #脑洞大开的马桶改造，最后这个用法我是万万没想到的费解
1694743156# #人类幼崽的杀伤力有多大？猫猫：我惹不起还躲不起吗...
1698063893# #不用听懂语言，一看就知道是意大利的小孩子...
1690517979# #谁能拒绝啊，拜托，这可是“雷神之锤”工具箱诶！
1696349266# #【隅田川小红杯速溶黑咖啡*12杯24.9💰】。即冲即饮，还原现磨鲜香，平均只要¥2.07/杯。最后三个12杯选项起拍，意式、生椰、榛果3种风味可选。甄选100%巴西咖啡豆，只保留咖啡纯粹风味，还原现磨原香。0香精0植脂末0蔗糖添加，口感香醇不发酸，冷热一秒即溶，健康0负担。
1695268406# #妹子不用工具就能夹翘睫毛，这个技能可不是靠练习就能拥有的...
1693840761# #长得像“史前生物”的温柔巨兽：貘。凭借奇特的长相+佛系的性格，成功出圈，憨憨的样子是不是很可爱呢？
1701938172# #当你以为理发工具已经刷干净了，做个深度清洁看看...
1696652467# #和老爷爷一起学穿搭，这下谁还分得清他和二十岁小伙子啊？
1699963310# #秒摘隐形眼镜的小技巧，不需要工具，甚至不需要接触到镜片...手残党表示多练练真的可以做到！
1698906832# #冷知识：香蕉的茎也可以吃，而且还是印度小吃摊上常见的美食...不知道味道如何？
1701096585# #一个视频感受激光的威力，科幻片里的场景成真了！专业动作，请勿模仿。
1692189669# #两位肤色不同的小姐姐，涂同一只口红有什么区别....感觉自己的眼睛被“欺骗”了！美出圈
1689391042# #原来章鱼宝宝长这样，体型比手指头还要迷你~
1696002209# #【邬辣妈相思卷麻辣条40包14.9💰】。湖南朋友力荐的辣条，味道真的上头🔥。。拍2件✅十五元40包‼️。两种口味，能吃辣的直接冲最辣的就完事👇
1692685548# #纽约水族馆里的一只害羞的海豹，居然主动和游客互动，连训练员都觉得很神奇....是在玩照镜子吗？
1703491113# #养80多只豚鼠是什么体验：小哥就这样直接喂一大块“草毯”，看起来确实很过瘾！
1689514480# #来看看米其林星级美食是怎么做的~经过这样一番操作，到底有没有变得更好吃呢？
1691553720# #和闺蜜一起怀孕的概率不大，两人同时都保持好身材的概率更小！
1692197138# #健身房里的“惊险一刻”，幸好背心小哥眼疾手快，拆杠铃的那位真是有点彪啊！
1690377743# #很有意思的一款眼镜，当你和别人聊天时，它能实时显示字幕...对听障人士来说就更实用了！
1691650407# #大金毛偷偷亲了小宝宝一下，却不小心把他吓哭了...好慌怎么办，在线等！
1697698268# #把空荡荡的冰箱填满，真的是一件很有成就感，而且幸福感爆棚的事情！
1699765244# #【博皓Prooral声波电动牙刷39💰】。专业口腔护理品牌，120天超长续航，3D高密度软毛，不伤牙龈，五大洁齿模式。还送2个刷头👇
1691246198# #低温烹饪24小时后油炸的超厚猪排，配上煎蛋盖饭，看起来不错哦~
1703904760# #猪妈妈带着猪宝宝，深夜穿梭在树林中，后面还跟着个好朋友...
1690119968# #博主街头采访两位青少年，如果你是在6年前出生的，那你今年几岁？。。妹子们表示自己不会做算数啊，这题超纲了！二哈
1688616941# #在夏威夷迷路的游客，跟着导航一直开，开到水里才发现不对劲...车上的两个人过于淡定了！doge
1694097127# #还以为有人躲在树后面恶作剧，没想到...这真的是一棵树能做到的吗？！
1700617818# #怎么会有小猫咪等着被人铲走啊？原来是俄罗斯的猫咪...
1699628529# #【全球城市定制地图装饰画80💰】。最近入手了一款地图装饰画，地图的细节清晰得好像就在眼前。采用专业的制作工艺，将地图和画面完美融合，既美观又具有纪念意义。真的超好看！。。而且，这款装饰画的适用场所非常广泛，无论是家里、办公室还是咖啡厅都可以轻松搭配。更棒的是，双11期间这款装饰画还
1700448923# #这算不算刻板印象呢？网络上的印度街头小吃belike：doge
1695052014# #【味之素AGF冷萃浓缩咖啡液*24颗29💰】。精选巴西、越南等当季优质咖啡豆，经过AGF特有萃取技术，保留咖啡新鲜风味，鲜萃浓缩，1秒即溶。拿来自制美式、拿铁等饮品都很好喝酷
1687773794# #一张暗藏玄机的桌子，每个机关都在我的意料之外...哈利波特来了都要直呼内行！
1699714519# #莫名被鸭子追着跑的好笑程度：100%。妻子笑声的好笑程度：10000%微博喜剧现场
1691213852# #以为会是个安全游戏，没想到还是“踩坑”了二哈
1694077136# #第一次如此直观地感受到了，人与人之间身体素质的差异...高手，这是真的高手！
1702910084# #嚼完的口香糖也能还原？还有碎玻璃、泡软的麦片...大家还想看他还原什么？微盘点V笑年度大赏
1698764460# #原来瀑布的边缘长这样，往下看一眼就会腿软的程度吃惊
1700648908# #夫妇俩意外生下了一个唐氏宝宝，从一开始的慌乱害怕到慢慢接受，没有其它任何想法，只希望世界能善待他。
1700035568# #巧妙利用镜子和灯做的茶几，就能实现“无底洞”的视觉效果，你看出其中的奥秘了吗？
1697201782# #在家就能做出脆嫩多汁的炸鸡，小哥自信发言：这将是你吃过最美味的炸鸡！
1703821295# #个性十足的“水母头”，这样出门回头率会不会特别高？美妆V赏
1700555279# #全世界年纪最大的模特，如今已经92岁的超模CarmenDell'Orefice，曾在接受采访时感叹：每当她找到一位优秀的绅士，想要继续约会时，他就去世了...
1689576622# #双胞胎姐妹测试两位老公，能不能准确分辨出她们俩？难度一步步升级，看戏ing！
1689608400# #患有“共济失调症”的猫咪，很难控制四肢的平衡与协调，但还是很努力地在学习走路、跳跃噢！
1694608506# #93岁老奶奶录了一段视频，打算留在葬礼上播放，泰酷辣！
1689867104# #动作高度同步的两只狮子宝宝，这就叫做默契~
1704085576# #【邬辣妈相思卷麻辣条40包14.9💰】。湖南朋友力荐的辣条，味道真的上头🔥。。拍2件✅十五元40包！！。两种口味，能吃辣的直接冲最辣的就完事👇
1697856190# #笑翠鸟力拔蚯蚓，过程艰辛但绝不放弃...蚯蚓：大哥你给个痛快的吧！
1698055843# #最近很火的“滑步舞”教学，教程来了快跟上！。。第二个小哥：懂了，但好像懂的不多...
1689593616# #模仿不同品种狗狗的跑步姿势，面部表情也抓住了精髓！
1700735282# #自然界的昆虫到底有多会装...就算看完了整个视频，再回看开头也依然找不出破绽的程度！
1698934194# #【立白茶籽除菌洗衣液*6kg12斤一箱39💰】。含天然茶籽精华+天然活性酵素，去除顽固污渍不留沉积，除菌率高达99.9%，48小时长效抑菌。山茶幽香，去除异味，留香持久‼️
1689220877# #看样子，老哥想破了脑袋也不知道，自己到底做错了什么...
1693018222# #网友家的社牛纽芬兰犬，来公园玩只有一个目的：求陌生人摸摸！
1696424180# #治疗蜘蛛静脉、静脉曲张的“硬化疗法”，注射硬化剂以后，效果肉眼可见...
1701343900# #该怎么和小孩子解释，美人鱼差点溺水这件事...
1692629405# #网友在21岁时做了颞下颌关节置换手术，过程很痛苦，但她很庆幸自己坚持了下来...
1692621534# #用木头雕刻出一只狗狗，体型、质感、色彩一步步都做出来了...
1697024711# #把棉花糖卖出了弹棉花的既视感，连空气都是甜丝丝的二哈
1702621103# #小个子美女试穿大到离谱的羽绒服，所以这件衣服的受众到底是谁啊？费解年终囤货清单微盘点V笑年度大赏
1699510221# #发型师小姐姐想帮奶奶染一个“彩虹头”，老人家爽快答应了....哈哈哈哈哈，笑得根本停不下来！微博喜剧现场
1701239325# #为了让病人的一只假眼，能和另外一只正常眼睛同步移动，医生是这么操作的...
1695279432# #空手钓大鱼的正确打开方式~前面的都让一让，真正的高手要出手了！
1690976414# #为什么去一些场所就忍不住想消费，答案藏在每个不经意的细节里，全都是“套路”~
1690354811# #打保龄球最丢脸的经历，估计小哥以后都对这项运动有阴影了...
1696344961# #每当有顾客光临，店家就为他们铺上红毯...看谁的表演欲更足呢？
1691248736# #掌握了几何数学知识的理发师，瞬间就拉开了和同行的差距doge
1698504611# #第一视角代入博主SebastianSchieren的旅行日常，不敢想象每天这样醒来该有多快乐！
1701960942# #当动画片里的情节照进现实，负鼠：不你看不见我，看不见我....
1694750947# #女生模仿某些做饭男网红，太像了，太油了！
1695616653# #近距离看纹身针头，慢镜头看模拟的纹身过程...已经开始疼了！吃惊
1699287895# #【Toblerone瑞士三角巧克力100g*4条39.9💰】。折9.9/条，黑巧克力、牛奶巧克力、白巧克力、葡萄干巧克力4种口味，还有混合装多种组合可选。。。甄选纯正可可豆+特别添加巴旦木糖，口感香醇，浓郁富有层次感。
1688309424# #第一视角体验：从雨天一路开到“晴天”...蓝天出现的那一刻心情都变好了！
1694873401# #还以为是官方报道外星人的最新消息，结果一刀下去，我人傻了doge
1700123489# #犀牛：施肥中，勿扰doge
1704289302# #撒盐哥2.0迷你版，他怎么看起来又老又小的...
1693309582# #用另一种方式晒宠物...你们要是被胁迫了，就眨眨眼！
1698748162# #又有一只吃了蜜蜂的小狗勾，脸都肿了，下次吃东西前一定要看清楚才行允悲
1691496213# #原本是帮女儿买的仓鼠，没想到养着养着，这位老爸却彻底沦陷了...
1697550625# #拉斯维加斯网友试吃65美元的龙虾自助餐，还幸运地获得了当天的奖品：一只5斤多的超大龙虾，剥开的钳子有这~~~么大，这一顿值了！
1693281054# #小哥挖出隐埋在沙滩里的垃圾，带回家加工后处理后，再还给沙滩...
1700406402# #女孩第一次带外国男友来见奶奶，但是男友总是踩中奶奶的雷点...。(TT:claireandpeter)
1702518617# #好粉嫩好干净的猪猪，快下水啊，一起快活呀~
1688644379# #美女老板亲手加工的定制帽子，各种缺口、火烧痕，磨损，都是这样“做旧”出来的~
1690942112# #小水獭第一次体验下水....嘤嘤嘤还是回来吧！
1693115504# #夫妻俩宅家追剧的“懒人日”这天，丈夫为怀孕的妻子准备了一个惊喜...他是懂得如何提高幸福感的！
1694060432# #小哥骑行时中途休息，半路“杀”出来一群牛，农夫还让他帮忙拦住...有点慌，但还是照做了！
1695524870# #结婚25年了，依然像小情侣一样打打闹闹的父母...这就是爱情的理想状态吧！
1687916101# #结束了一天的工作，回到家的我本人belike：
1698637863# #见过纹眉、纹唇的，第一次见到“纹雀斑”的...恢复期有种满脸“痘痘”的既视感。美出圈
1703855258# #小姐姐模仿韩剧吵架片段，她应该看了不下一百遍吧！
1690558244# #网友制作路易斯安那州的特色小龙虾：把橙子、柠檬、甜椒、蒜末...通通放进去！
1688982076# #农场小哥分享他获得“纯天然鸡饲料”的方法~虽然看着有点恶心，但是变成鸡肉和鸡蛋后就“真香”了！
1690191983# #菲律宾男子唱《MyHeartWillGoOn》，坐在凳子上飙高音...妥妥的天赋型选手啊！
1688177171# #土耳其街头的中国“特色菜”，还是生日必备呢！原来是它...中国制造在土耳其火了
1698075339# #【Toblerone瑞士三角巧克力100g*4条39.9💰】。折9.9/条，黑巧克力、牛奶巧克力、白巧克力、葡萄干巧克力4种口味，还有混合装多种组合可选。。。甄选纯正可可豆+特别添加巴旦木糖，口感香醇，浓郁富有层次感。
1701268100# #一位有“脾气”的企鹅画家：快夸夸我摸摸我，不然我不画了！
1690006065# #外科医生的手有多稳，画直线对比一下就看出来了...确实稳！
1694928904# #男子“逗老婆”的小绝招，只要动点歪脑筋，就能要啥有啥了doge
1703556919# #有这样的老师，还愁学生不愿意上课？我在教室待一整天都没问题！
1692582355# #发现自己差点错过早饭的猪猪：你们一定要等我！！！
1700310529# #小哥准备了一份惊喜，送给今天遇到的第一个“不顺心”的陌生人，直到他发现一个靠墙擦泪的男人...
1697467290# #爸妈站在窗户里面，眼看着小男生骑着车来门口接走女儿...爸爸：笑不出来！
1699241476# #谁能出面回答一下：有对象到底是什么感觉啊？
1696192607# #【杰士邦超薄气球🎈30只19.8限时秒杀‼️】。杰士邦旗舰店自营，步骤：1、领-290元的券，2、拍最后一排30只，3、付款只要19.8元！！。。超薄情趣爽滑派，官方正品私密发货👇
1692969477# #特别擅长放大每个人缺点的“灵魂画师”，太损了！doge
1697689576# #体验住在岛上的奶奶的一天：从早到晚都在做自己喜欢的事情，每天和大自然打交道，仿佛看到了迪士尼公主老了以后的生活。
1704247140# #鱼：咱们今天一定不能咬鱼钩！二哈
1693916155# #小姑娘想打造一个宠物动物园，虽然现在参与营业的只有一只狗勾...大金毛：小主人这么做肯定有她的道理doge
1698930311# #当你觉得自己很帅时vs别人眼里的你，替别人尴尬的毛病又犯了doge微博喜剧现场
1702902564# #怀孕33周的准妈妈拍视频吐槽：都说怀孕是福气，但是这份“福气”我实在是难以消受啊！微盘点V笑年度大赏
1699882616# #发挥想象力把日常的吐司加工一下，就变得仪式感满满了，小朋友应该会很喜欢吧！
1703753960# #小北鼻照镜子时被自己可爱到了，笑容超有感染力的，看着就不自觉跟着一起笑了嘻嘻
1698044921# #摄影师小哥骑行时遇到了“有礼貌”的长颈鹿...妥妥的身高压制，不敢动！
1696501596# #爸妈轮流逗娃，小宝宝轮流变脸...难道她真的听懂了？
1694484262# #和想象中不太一样的美人鱼，虽然体态没有那么轻盈，但是小朋友们都很喜欢她哦~
1695693683# #我都不敢想象，和这么多小鸡毛一起长大，该有多么快乐！
1697206138# #如何判断自己的便便是否健康？赶紧跟着视频对照一下...这些模型做得还真不赖，看第一眼有被吓一跳允悲
1691563399# #怪不得“耳鼻咽喉”被分在同一个科室，原来它们是互相连通、互相影响的...
1688002868# #假如给《泰坦尼克号》电影换一个女主角....画成这样很难收场啊允悲
1690960096# #小壁虎英勇地与蛇搏斗，就算搭上性命也要救同伴...（怕蛇星人勿入）
1704596262# #积极干饭的小腊肠，每次吃饭都要挑一位“小伙伴”过来陪着...这样会更香吗？
1693194987# #小姐姐们尝试近一百年流行的发型，你最喜欢哪一款呢？美出圈
1689960147# #【五芳斋鲜肉粽子*4个9.9💰】。地道嘉兴粽，折¥2.4/只，尝鲜好价。拍第一个选项，到手猪肉粽100g*2只*2袋，精选黑土地糯米和江西野生高山箬叶，非遗技艺。。手工包粽，百年传承，口感糯而不烂，加热即可食用，爱吃咸粽的可以买来当早餐吃。
1697016918# #妹子和网恋对象奔现了，约会过程离谱又温馨...好了，下一集该喜当后妈了！
1689928243# #小情侣去沙滩玩，决定留下一份纪念品...挺特别的！
1691574827# #观众越多越来劲的狗子，哈哈哈抓不到我吧！
1699784959# #原来真实的人脑长这样，跟着美女老师一起初步了解“脑子”的秘密...最后还要感谢所有捐献遗体的大体老师！
1701349046# #用食物模拟分娩时宫颈口的大小变化，从“开一指”到“开十指”，妈妈真的很不容易~
1696900872# #大佬喵带着它的人类出来兜风了，墨镜一戴，谁也不爱！
1703078885# #一个视频带你了解自己后背的肌肉组织分布，原来有这么多层...
1693577286# #不想做饭，却很想玩这样的迷你厨房...谁懂！
