1688286338# #起司红薯吐司面包片，简单好吃。。。慈实素食超话每日一餐分享
1689546344# #温网，网球阿尔卡拉斯时代来临。
1695451838# #光影之中，紫禁城的秋日气质。。故宫超话家常菜故宫秋日
1697862235# #萝卜红烧素狮子头，开胃下饭菜。。。慈实素食超话每日一餐分享美食分享家常菜我的美食日记不可辜负的美食
1688022430# #佛法无处不在，炒股也能践行佛法，放下执着，活在当下。修行最难的是“我执”，“我”就是鼠目寸光。
1695105063# #锥栗赤豆糕。。慈实素食超话每日一餐分享
1693344821# #农历七月十五，此日称为“鬼节”，而佛教则视之为吉祥的“佛欢喜日”，以及重要的“孝亲日”，将其称为“盂兰盆节”。。。据《盂兰盆经》记载在这一天供僧，不止眼前的僧人一切圣众、声闻缘觉，乃至十地菩萨都会来接受供养，如是供养无量无数清净僧众自然功德巍巍，殊胜难得。。。《梵网经》载在无尽轮回中
1692541841# #如果你是对的，不要浪费时间去向每个人证明。。。如果你错了，不要浪费时间去假装正确。。。如果你需要帮助，不要浪费时间去请求帮助。。。永远记住生命很短暂，切莫把时间浪费在悲伤和消极中。。故宫超话爱上紫禁城故宫
1693886588# #这是“斋”字，还是古代文字更美。
1695517119# #念佛法门的事理、因果、性相全体建立在佛的境界当中，离念灵知。。。由大慈悲、大平等心、无量的智慧、无量的善巧凝聚的念佛法门。。。而我们凡夫都是带着有量的、生灭的、狭劣的、我慢的心去理解、去接纳，差之毫厘，失之千里。。。——选自《净土资粮信愿行》
1687922984# #今天感觉一夜到秋天🍂
1697871665# #老胡同秋季落叶更有烟火气。老北京胡同超话胡同北京老胡同里的故事北京的秋色人间烟火气
1695943141# #糖芋艿，是一道江南地区的小吃甜点，是中秋时令的佳品，缺了一点点桂花。。。慈实素食超话每日一餐分享
1690536155# #过了大暑便是秋，紫禁城里的秋，尤其与众不同。故宫超话爱上紫禁城故宫故宫秋色
1692621793# #摄影是光与影的艺术，摄影创作就是通过光线、影调与构图手段的结合。
1689726611# #生煎素馄饨。。馄饨在锅里摆好，倒入油，小火，略微煎一下，倒入一碗水，开大火，再盖，煎焖使之变成蒸气传热焖熟。。。等水快要干时，调小火煎，底部呈焦黄色时，离火即成。。。一小碟镇江陈醋，加了一点点辣油，蘸生煎素馄饨，配醋解油腻味道也更好，另外泡了一壶普洱茶。。。一切皆法尔自然，品味清雅素净。
1702245568# #雪天一色
1694831575# #麻豆腐，我喜欢的美食之一。。。慈实素食超话每日一餐分享
1692971511# #真正的高贵，不是优于别人，而是优于过去的自己。。。——海明威
1697944069# #风平浪静，水面犹如一面镜子。千江有水千江月，心静如水，佛心本性自然显现。。故宫博物院超话故宫爱上紫禁城
1694070980# #以前做的：素蟹粉月饼。。慈实素食超话每日一餐分享月饼素月饼
1698493884# #刚刚拍的，600头，今天月亮几乎是正东上正西下。
1696843895# #故宫博物院超话
1696919288# #故宫博物院超话
1689757291# #艺术不是模仿可见的事物，而是制造可见的事物。。。——保罗·克利
1703486659# #下周一，就是2024。。微博跨年狂欢节跨年好运20242024
1690702317# #天地生意，花草一般，何曾有善恶之分？。。子欲观花，则以花为善，以草为恶；。。如欲用草时，复以草为善矣。。。此等善恶，皆由汝心好恶所生，故知是错。。。无善无恶者理之静，有善有恶者气之动。。。不动于气，即无善无恶，是谓至善。。。——王阳明
1689236184# #松茸披萨，香气十足。。慈实素食超话每日一餐分享野生松茸野生菌菇披萨
1693378609# #黑椒猴菇粒配莴笋条。。慈实素食超话每日一餐分享
1695889443# #秋天甘南唐克九曲黄河。。。秋天GAEUL超话唐克若尔盖九曲黄河第一湾
1696723585# #故宫博物院超话
1691963275# #科学家发现有灵魂的存在，不在我们三维空间中。
1688484462# #梁实秋《雅舍谈吃》。。在一饮一啄中细细体会人生百味。。从文人的角度看美食。。慈实素食超话每日一餐分享
1695282631# #生活本不苦，苦的是欲望过剩，。人心本不累，累的是所求太多。。不是拥有太少，而是贪婪太多。。。觉得自己拥有的不够多，自己拥有的不够好，自己拥有的比不上别人拥有的豪！。。心若知足，温饱无忧就是幸福，无病无灾幸福至极。。。知足，才是人生寻求快乐的唯一法门。。。觉悟智慧人生超话人生人生感悟
1689490166# #库里神了！打高尔夫一杆进洞，该项赛事历史上第一次一杆进洞。。。这就是库里，天赋自带瞄准系统，不仅仅投蓝准。。。库里登顶全美热搜！一杆进洞疯狂绕场庆祝：詹姆斯祝贺连发16团火焰
1701589216# #这张拍摄于2020年1月6号天坛公园，不久之后疫情开始。
1699480396# #故宫博物院超话
1699221641# #本性遇缘起而变心，心是性的妙用，就像大海和大海里的水的关系，为何有缘起呢？就像你饿了要吃饭，是自然原理，本来就如此的，自性如大海，心如大海里的水一样，遇一切缘，显一切相，宇宙万物就是这么来的。一切万物的本质就是那个空性本源，只是缘不同，就像水和冰雹，雪，雨，雾，露珠，水泡泡的关系
1698561939# #慈实素食超话
1689682848# #菜汤小圆子，小时候的美食，如今看不见了，偶尔有兴趣自己做做。。。慈实素食超话每日一餐分享家常菜
1690699257# #海带鱼子猴头菇配黑椒海带汁。。慈实素食超话每日一餐分享素食养生
1692445969# #国家德比，传统京沪大战，目前1:0
1697955844# #人像还是抓拍好，图片拍摄于大凉山。。。摄影超话大凉山集市黑白人像摄影人像
1697603846# #老坛酸菜𤠣头菇面。。这款面条，曾经评为上海十大面条。。慈实素食超话每日一餐分享美食分享美食时刻我的美食日记不可辜负的美食面条怎么做好吃
1690320171# #普贤菩萨说了七个供养：。如说修行供养、。利益众生供养、。摄受众生供养、。代众生苦供养、。勤修善根供养、。不舍菩萨业供养、。不离菩提心供养。。。黄帅《普贤菩萨行愿品(念诵版)》
1699921242# #今年12月13日农历十一月初一，侗族新年。
1695877209# #熬豆浆，关键需要铁锅熬，才香，做豆腐也香。。。慈实素食超话每日一餐分享
1702178150# #油画的感觉。。拍摄于浙江浦江镇。。。油画超话画画油画摄影人像写真
1689138917# #苏州平江路，是一条沿河的老街，宋时苏州称“平江”，取名就源于此处。对我来说还有特殊的感情，祖上苏州人。摄影超话苏州平江路小桥流水
1691491263# #酱瓜炒毛豆，上海宁喜欢的小菜，毛豆本身没什么味道，放了酱瓜借味，赋予毛豆更好的味道，来一碗白粥，简单清爽。。慈实素食超话每日一餐分享家常菜下饭菜
1701877355# #勇于追求是一种精神，勇于舍弃却是一种境界。
1691147950# #跟着情绪走是小孩，情绪来了放一边才是大人。
1691995264# #【桂圆牛蒡茶】。原料：桂圆肉、牛蒡。。。牛蒡洗干净刨皮，切斜刀片，放入烤箱中上下180℃，烤干。。。桂圆肉、牛蒡干放入锅内，加纯净水煮半小时即可。。。没有配方随意抓些桂圆肉、牛蒡，下次还可以煮一次，下次一定是牛蒡多些，因为家里桂圆肉不多了。。。喜欢甜味，略微加了些冰糖，只是一丝丝甜味，喝的舒
1692341355# #目前离开了中国。
1694939076# #上海老洋房“最多”的城市，每一栋都有百年历史，徐汇武康路一带，还有很多老式的房子，这些房子的背后都有很长的历史，每一栋背后充满了故事。
1687419978# #北京破纪录了
1692525011# #手机拍的，效果不亚于单反相机。。。慈实素食超话每日一餐分享
1699051669# #黑白人像。摄影超话黑白摄影黑白摄影作品人像写真约拍
1687729727# #人生就是一场修行，我们争不过时间，也改变不了时光，不如与生活和睦相处，以自己喜欢的方式生活，悦纳自己。。。拥有一颗淡定从容的心，不辜负自我的心，不拒绝风雨，生活从来不是顺心如意，有时候你想要什么，偏不给你什么，越是着急，事情会变得更加糟糕，不如生活给你什么，无论好坏，统统接受。。。杨
1690694999# #故宫里的玉簪花。故宫超话爱上紫禁城故宫玉簪花
1697033629# #菌菇烧豆腐，下饭菜。。慈实素食超话每日一餐分享家常菜每日家常菜家常菜谱
1694277092# #今天教师节，伟大的人天导师“南无本师释迦牟尼佛”。
1697896985# #今天故宫角楼与月亮🌙。故宫超话故宫角楼月亮爱上紫禁城故宫
1701006244# #荠菜冬笋粒芝士酿杏鲍菇。配灰鸡枞黄瓜花。。慈实素食超话每日一餐分享美食分享素食养生素食主义素食不可辜负的美食我的美食日记
1695952944# #月圆人圆事事团圆。。人顺心顺事事都顺
1702883472# #秋季上海嘉定秋霞圃，上海五大园林之一。。上海超话秋霞圃嘉定秋季红叶记录生活近在眼前
1693792728# #大海之所以能容纳百川，因为他总在最低处。。。励志哲理人生超话人生感悟觉悟人生唤醒自己摄影天堂
1700212810# #末感秋涼已入冬。。流年似水无影踪。。不见当年少年郎。。如今已是白头翁。。北京超话红螺寺北京红螺寺禅理智慧世间万物皆苦银杏流年似水少年郎白头翁入冬入冬了当年
1694691317# #桂花龙井拿铁，千万百计咖啡☕️本土化改造。
1704163226# #2024年第一个工作日。。。低配自己的生活，高配自己的灵魂。。。龙年第一个工作日
1702218596# #这是2020年立春之后北京第一场大雪，也是疫情最严重时期，用镜头记录历史。。。北京疫情防控处于关键时期雪
1704038769# #新年第一条微博。。早晨笑一笑，生活有情调，。平时笑一笑，欢喜又热闹，。烦恼笑一笑，一切全忘掉，。快乐笑一笑，日子多美妙。。。看到短信笑一笑，幸福从此身边绕！。元旦快乐。
1688973153# #光影未必一定是太阳光直射。。慈实素食超话每日一餐分享光影静物
1692780504# #处暑，来一碗“百合银耳羮”。。。补一补津液，滋阴润肺，养胃生津，清热润燥。。。慈实素食超话每日一餐分享处暑今日处暑素食养生
1688086076# #挥别六月，静候七月，。纵使对六月千般不舍，。所有美好如“七”而至。。。从初春到盛夏，不管愿意与否，。2023年的上半年，就快要结束了。
1695365085# #间隔最长一次，躲过整个夏季。故宫博物院超话
1694679100# #善男子。心如幻法由遍计生种种心想。受苦乐故。心如流水念念生灭。于前后世不暂住故。。。心如大风。一刹那间历方所故。。心如灯焰。众缘和合而得生故。。心如电光。须臾之顷不久住故。。心如虚空。客尘烦恼所覆障故。。心如猿猴。游五欲树不暂住故。。心如画师。能画世间种种色故。。心如僮仆。为诸烦恼所策役
1693903761# #《瑜伽师地论》弥勒菩萨说，玄奘大师译。菩萨的修行次第，可以先从八识规矩颂入门。。。玄奘大师去印度那烂陀寺，最初的目的就是为了《瑜伽师地论》
1687751772# #回北京了，来去匆匆。
1700029970# #三里屯东五街银杏大道。。三里屯东五街是北京使馆区的一部分，也是北京最洋气的赏秋之地。。。这里地处使馆区，阿根廷、土耳其、墨西哥、瑞士、丹麦等大使馆都在这条街上。。。北京超话初冬爱在深秋银杏大道银杏三里屯东五街
1692339122# #认知决定了一个人高度故宫超话爱上紫禁城故宫
1701052628# #初冬光影故宫。。故宫超话故宫爱上紫禁城上新了故宫故宫的银杏黄了光影初冬故宫景致如画初冬
1695620877# #台湾钰善阁，已经超过10年的怀石料理素食，现在看看还是挺好。。。慈实素食超话每日一餐分享
1703403968# #平安夜不重要，。。重要的是平安～。。祝福您平安喜樂
1689297395# #人生就是修行，修行无非在改变自己的业力，真正左右你的是业力，业力佛也无法改变，只有自己能改变。修行佛法看世间业力
1688974849# #平静是一种生活，自己煨着自己，低温慢煮，自己让自己浓郁。。。摄影超话教堂咖啡生活低温慢煮平静生活
1687239557# #夏至，很特别，是夏天的一半，也是一年的一半，白天最长的一天。。。古人流传着许多关于节令习俗，其中最为著名的是吃素，祈求夏季平安、预防疾病的传统习惯。。。半夏时光，夏韵悠长。。年华未老，夏至未至！
1703417106# #故宫博物院超话
1697492916# #一切众生，从无始来，生死相续，皆由不知常住真心，性净明体，用诸妄想，此想不真，故有轮转。。。——《楞严经》经典名句
1700114160# #今年初冬的故宫。。故宫超话故宫爱上紫禁城上新了故宫
1687322539# #转发微博
1699533587# #故宫博物院超话
1700465761# #上海冬季时令菜：荠菜炒冬笋。。慈实素食超话每日一餐分享美食分享素食养生素食主义素食我的美食日记家常菜不可辜负的美食冬笋
1697776695# #武则天花6年抄的《金刚经》，5000余字无瑕疵。。。身为中华古代历史上唯一一位女皇帝，武则天这个人身上，背负着数之不清的“传说”。。。在敦煌出土的一卷佛经，更是再度刷新了人们心中，对于武则天的固有印象。。。在中国皇帝中抄写最多的是《金刚经》，足以证明《金刚经》神奇之经典。。故宫超话
1696111071# #您好，共和国生日，北京的早晨。
1691131944# #所谓明白人、高人，就是看破了事物表象后面的本质，道法自然，如来！。。——《遥远的救世主》。。佛法其实说的就是宇宙运行法则，就是道，规律，众生信与不信，他都存在，不管你看得见看不见。
1696122031# #找到这个机位，成功已经一半了。生活也是如此。
1701676884# #冬天来一碗“青菜烧豆腐”，一清二白。
1702101729# #故宫博物院超话
1696293414# #以前在南京喝的扬州早茶。。烫干丝、茴香豆、千层糕、豆腐皮包，感受一下闲适的慢生活。。。慈实素食超话每日一餐分享
1687249352# #夏天上海浦江两岸，明天回上海。
1702941706# #西湖最美是雪湖，南宋水墨画。。摄影超话水墨画西湖雪西湖的雪西湖雪景
1690602430# #这个年代，执着出人头地并不难，难的恰恰是不执着于出人头地。。。——《天道》
1690776821# #故宫博物院超话
1698547043# #今年拍的香山红叶🍁。。香山红叶🍁共拍了三次，一次比一次好。。。拍香山红叶🍁不用上山，就拍勤政殿前2棵就可以了。。北京超话金秋十月香山红叶北京的秋色秋日摄影
1696232327# #正在消失传统手工打制菜刀，再过几年想拍也没有了，据说日本大阪还有。
1687356384# #做的𤠣头菇菜肴，我对猴头菇研发的最多。。慈实素食超话每日一餐分享米其林餐厅
1689575666# #红豆冰糖糯米藕。。慈实素食超话每日一餐分享夏季养生素食养生家常菜糯米藕
1696483228# #明天燃灯佛圣诞，燃灯佛也称定光佛。。。三世佛：过去佛燃灯佛，现在佛释迦牟尼佛，未来佛弥勒佛。。。保佑大家回城一路平安！
1701898358# #早上好！今日大雪。。。大雪之后，白昼会越来越短，夜晚会越来越长，大雪是一年中极阴的时刻。。。银装素裹的世界，每一处都是纯净无暇的诗篇。愿在这个冬日里，找到内心的宁静与温暖。。北京超话大雪今日大雪今日大雪节气今日大雪遇见天坛天坛
1699513209# #《金刚经》云：实相无相。。。水就是无形无相的，故千变万化，云烟雾雨雪霜冰露盐乳汁血液尿气息等等等等，都是水在自然万物的化身……。。故天一生水，地六成之。在天为象，在地成形。神明运化之事，世间人们愚痴因为欲望烦恼等迷惑，又几人能知？几人能晓？不撞南墙不回头。。。不处在事物变化的临界点上，
1693179913# #十方如来。怜念众生。如母忆子。若子逃逝。虽忆何为。。。子若忆母。如母忆时。母子历生。不相违远。若众生心。忆佛念佛。现前当来。必定见佛。。。去佛不远。不假方便。自得心开。如染香人。身有香气。此则名曰。香光庄严。我本因地。以念佛心。入无生忍。。。今于此界。摄念佛人。归于净土。佛问圆通。我无
1702961393# #不见好丑，不生高下，不作取舍。何以故?法无好丑，离诸相故。法无高下，等法性故。法无取舍，住实际故。是修般若波罗蜜。。。舍利弗法界之相，即是菩提。何以故?是法界中无众生相，一切法空故。一切法空即是菩提，无二无分别故。。。若信一切法，悉是佛法，不生惊怖，亦不疑惑，如是忍者，速得阿耨
1697287795# #芝士番茄焗米饭。。慈实素食超话每日一餐分享家常菜美食分享不可辜负的美食好好吃饭我的美食日记美食时刻
1701842996# #照烧杏鲍菇。。杏鲍菇撕成粗条，先用少许盐、葱姜、少许干辣椒，腌制一会儿，拧干水分。。。放入烤箱120°C烤制，最后用少许照烧汁拌匀，撒少许熟白芝麻即可。。。也可以在这基础上发挥，非常干香美味。。。慈实素食超话每日一餐分享不可辜负的美食家常菜素食素食主义我的美食日记美食分享
1696756124# #很有特色的豆腐：风仔炉豆腐。慈实素食超话每日一餐分享
1703808823# #一句“南无阿弥陀佛”，万病总持。。。《阿弥陀经》中说：“若有善男子善女人，闻说阿弥陀佛，执持名号，若一日、若二日、若三日、若四日、若五日、若六日、若七日，一心不乱，其人临命终时，阿弥陀佛与诸圣众现在其前，是人终时心不颠倒，即得往生阿弥陀佛极乐国土。”。。《涅磐经》上佛说：假令开大库藏
1691184791# #六月十九是观世音菩萨的成道之日。。。观世音菩萨发愿文
1692956871# #上海的“豆腐脑”，榨菜、油条、辣油，我优化升级了素XO酱和海苔丝，和北京“豆腐脑”不一样。。。慈实素食超话每日一餐分享
1703939466# #《繁花》热播，想到了未改造前我拍的张园。。上海超话不夜城魔都张园
1689600926# #生活以平淡为真，。菜肴以原味为真，。修行以直心为真，。佛法以觉悟为真。
1687408405# #端午节民俗风情小镇，拍摄于上海新场古镇。摄影超话端午节新场古镇民俗民俗文化
1703061882# #今天做的：千层海苔，打算做脆片。。慈实素食超话每日一餐分享
1688018774# #故宫博物院超话
1693917702# #轰20可能十一，首飞。
1692165697# #故宫博物院超话
1687834951# #故宫博物院超话
1704102899# #把一年的生活包起来慢慢品味。慈实素食超话每日一餐分享
1697106457# #真正的美，不是华丽的外表、不老的容颜，而是始终拥有一颗优雅从容的心。。。——林清玄。。故宫超话故宫爱上紫禁城美学生活美学从容的心
1687393620# #诸佛如来是法界身，入一切众生心想中。是故汝等心想佛时，是心即是三十二相八十种随形好。。。是心作佛，是心是佛。诸佛正遍知海，从心想生。。。——《观无量寿佛经》。。“是心作佛、是心是佛”二语，不惟是《观经》一经纲宗法要，实是释迦如来一代时教大法纲宗。不惟是释迦一佛法藏纲宗，实是十方三世一切
1696649956# #侘寂，禅意的东方美学。
1702617016# #北京最值得拍是胡同。北京超话胡同北京初雪故宫拍雪北京下雪啦北京下雪你那里开始下雪了吗
1702884800# #审美累积｜纽约摄影师mindzeye。。国外摄影师更热衷于街拍
1694419894# #同治年制，粉彩万福齐天茶碗。。故宫超话爱上紫禁城故宫宫廷
1702192940# #小时候的记忆：圆子菜汤面。。。慈实素食超话每日一餐分享家常菜我的美食日记美食分享好好吃饭素食素食主义日食记
1693790525# #故宫博物院超话
1698717069# #信为道元功德母。长养一切诸善法。。断除疑网出爱流。开示涅槃无上道。。——出自《华严经贤首品》
1690589995# #不是外相困住了你，而是你对外相的执着困住了你。。。——宗萨仁波切
1690780259# #你不知道你，所以你是你；。。如果你知道了你，你就不是你了。。。——《天道》。。如果你是一只蚂蚁，。但你不知道自己是蚂蚁，。那么你还是一只蚂蚁；。。如果你知道自己是一只蚂蚁，。那么你就已经不是一只蚂蚁了。。。励志哲理人生超话天道人生感悟道法自然
1698281167# #胡同里的秋韵：辛寺胡同。北京超话胡同秋日秋叶金秋十月北京的秋色故宫以东
1695626735# #超生脱死法门。。。不可以聪明凑泊。。不可以意气承当。。不可以情见夹襍。。不可以粗疎领会。。。先须专求己过。无责人非。见贤思齐。见恶内省。法法消归自心。时时警策自心。将定盘星认得清楚明白。。。然后看经可。坐禅可。营福可。如眼目未明。存心未笃。则看经必堕口耳活计。坐禅必堕暗证深坑。营福必成魔
1695208769# #外滩晚霞。。机位：浦东美术馆房顶
1703254348# #故宫博物院超话
1694834421# #文徵明曾孙文震孟楷书《金刚经》，收藏于台北故宮博物院。。故宫超话爱上紫禁城故宫金刚经
1693207604# #𤠣头菇莲藕排，必须来一碟上海黄牌辣酱油。。。慈实素食超话每日一餐分享
1691397973# #新鲜松茸切片，烤箱烤干，泡茶，茶色漂亮。。。慈实素食超话每日一餐分享
1690586787# #故宫博物院超话
1689837420# #夏季故宫御花园的紫薇花故宫超话故宫爱上紫禁城紫薇花
1687356885# #转发微博
1700353929# #千古奇文，道尽人生百态《寒窑赋》。。天有不测风云，人有旦夕祸福。蜈蚣百足，行不及蛇；雄鸡两翼，飞不过鸦。马有千里之程，无骑不能自往；人有冲天之志，非运不能自通。。。盖闻：人生在世，富贵不能淫，贫贱不能移。文章盖世，孔子厄于陈邦；武略超群，太公钓于渭水。颜渊命短，殊非凶恶之徒；盗跖年长
1687441461# #端午陆家嘴之夜
1699281487# #这是佛陀在《楞严经》里讲的故事，义理深邃。。。佛陀拿起一条毛巾，结成一个结，问大家：这个叫什么？阿难说：这个叫做结。佛陀又在毛巾上打上一个结，问大家：这个又是什么？阿难说：这个也是结。佛陀依次在毛巾上打成六个结，对大家说：我第一次结的时候，你叫这个为结。而毛巾只有一条，我之后的每一
1703227618# #1963年开始拆除西直门，出自《大都有城》。。北京超话西直门北京市考大都有城
1692875896# #一场雨之后，下班回家，路上短袖衬衫感觉不是凉，是冷。
1702958446# #故宫博物院超话
1702654917# #摄影有一个原则：美就在身边。
1698619406# #缘聚则生，缘离则灭，万事万物，无不如此。。。诸行无常，是生灭法。红尘种种，皆有因缘，一切因缘而起，因念而生！相遇和别离，不过是缘起缘灭。。。万事皆因缘起，世事不必强求，只要因缘俱足，自然水到渠成。。。天道轮回，潮起潮落，花开花谢，缘起性空。。。生死缘聚缘散而已，这就是宇宙法则。
1703343823# #可以换了曼联超话
1695424326# #秋分和春分一样，昼夜平分，在北京最明显就是悬日，一年两次。
1697344168# #洪湖野藕。。慈实素食超话每日一餐分享食材
1694167471# #看透了，生命出现的人无非是一个“缘”，缘聚缘散，没有好与坏，各有各的使命。
1694617166# #油焖笋配茨菇脆片，上海油焖笋重新演绎。。。慈实素食超话每日一餐分享
1695205309# #黄咖喱香芋西湖莼菜配锅巴。。一道菜，迎接杭州亚运会。。。慈实素食超话每日一餐分享亚运会杭州亚运会
1699533621# #故宫博物院超话
1687858930# #万千气象，故宫光影之中，。。是黄瓦朱墙，雕栏玉砌，定格紫禁城最美瞬间。故宫超话故宫爱上紫禁城
1689377090# #人民大会堂
1694338317# #白露吃三白，一年病不来。。。三白：百合、莲藕、梨。。慈实素食超话每日一餐分享
1691360654# #谁还不是来人间走个过场。不管你背着什么行囊。都要经历一样的寒来暑往。酸甜苦辣也都要品尝。谁还不是来人间走个过场。不论平凡或光芒万丈。在这没有返程列车的路上。每段风景都值得欣赏
1692716497# #王阳明讲的“心外无物”，就是佛法讲的“如如不动”
1702442341# #故宫拍雪冲上新浪热搜！。故宫超话故宫的雪故宫爱上紫禁城上新了故宫
1696919250# #故宫博物院超话
1692167960# #今天七月初一，每年的农历七月初一也是一个不平凡的日子。。。农历七月俗称“鬼月”，而农历七月初一俗称“开鬼门”。据说每年农历七月初一，阴曹地府的最高统领者阎王便会打开鬼门，放出饿鬼，一直到七月三十日才会关上鬼门。。。农历七月初一这天早上，古人由于对大自然的敬畏，相信天地万物各有神明。只
1698973308# #故宫人像。故宫超话爱上紫禁城故宫博物院上新了故宫故宫人像摄影
1689839586# #国家大剧院，其乐无涯。国家大剧院超话遇见艺术艺术国家大剧院音乐会
1690128739# #分享视频来自：每日背诵金刚经《普贤行愿品偈颂》
1696745393# #故宫里的柿子。。。寒露柿子开始转黄，像小灯笼一样藏在叶子中。。故宫超话爱上紫禁城故宫寒露今日寒露柿子
1687082306# #苔条玉子豆腐配山楂糖醋汁，苔条是浙江宁波特产，味鲜香浓。。。油炸食物，配糖醋汁解油腻。。慈实素食超话每日一餐分享
1688431150# #故宫博物院超话
1690425093# #纯粹的灵魂摄影超话人像记实摄影黑白摄影西藏
1703493950# #圣诞平安喜乐。圣诞节圣诞快乐
1702971622# #胡同的雪。。雪是冬天的独特风光，飞飞扬扬，玉洁冰清，银装束裹，分外妖娆。。。鲁迅先生说：“他是雨的精魂。”。。雪是洁白的，净化了心灵，一个宁静纯洁的世界。。摄影超话雪北京下雪扫街日记记录生活
1702652076# #冬季美食：荠菜冬笋片羹。慈实素食超话每日一餐分享美食时刻素食主义素食美食分享我的美食日记不可辜负的美食吃货在这里
1694266770# #浙江嘉兴南湖，上海开车去南湖差不多1个半小时。。。南湖菱，菱中之珍品。
1702364868# #最好的相机是你头脑，。最好的镜头是你眼睛，。最好的风景在你的心中。。。——石广智
1694235056# #秋季时令美食：芦笋尖炒南湖菱。。脆甜可口，鲜香滑嫩，时令隹肴，一期一会。。。慈实素食超话每日一餐分享时令蔬菜南湖菱
1697204642# #真正的高手，从来就不会纠结于问题的本身，而是升高自己的维度，让问题自动消失，道就是高维智慧，用道的视角去看待问题，都是降维打击。。。三维空间的一切显现都只是相。。。比如负债，焦虑，事业，悔恨疾病等等，目的就是让你体验，体验这些相带给你的感觉，当体验了这些不舒服的感觉，相就会自然的消失
1688012357# #李凯尔正式穿上中国队球衣！
1697068775# #四川雅安荥经砂锅，正在消失的传统手艺。。摄影超话传统手艺四川雅安荥经砂锅中国传统手艺高手在民间
1695354390# #时隔6个月重逛故宫。故宫超话
1693536927# #9月，光影故宫。。故宫超话爱上紫禁城故宫九月你好
1694930891# #杏鲍菇芦笋尖盖饭。。慈实素食超话每日一餐分享
1689764454# #手冲咖啡☕️
1699709534# #熟而不烂，甘而不哝，酸而不酷，咸而不减。。凡味之本，水最为始。五味三材，九沸九变，火为之纪。。。时疾时徐，灭腥去臊除膻，必以其胜，无失其理。。。调合之事，必以甘、酸、苦、辛、咸。先后多少，其齐甚微，皆有自起。。。鼎中之变，精妙微纤，口弗能言，志不能喻。若射御之微，阴阳之化，四时之数。。。故
1696594875# #卤猴头菇。慈实素食超话每日一餐分享
1687862391# #一飞冲天
1697615390# #颐和园秋季网红打卡地。。北京超话颐和园网红打卡走进北京网红打卡地秋季摄影高清壁纸摄影人
1703839309# #北京音乐厅2024新年音乐会，维也纳皇家交响乐团，疫情之后首次看。
1704114614# #首次走进电影院，看2024维也纳新年音乐会。。维也纳新年音乐会
1691214088# #诸佛如来是法界身，遍入一切众生心想中。是故汝等心想佛时，是心即是三十二相八十随形好。是心作佛，是心是佛。诸佛正遍知海从心想生。
1696934218# #天凉了，来一碗“蘑菇荠菜豆腐羹”，最后淋几滴黑芝麻油。。慈实素食超话每日一餐分享
1702219015# #故宫博物院超话
1696472035# #豆汁来一碗
1698815881# #雍和宫出了两位皇帝，北京城无人不知无人不晓，但是红螺寺出了两位佛教净土宗祖师，知道的人不多了，祖师分别是第十二祖彻悟大师和第十三祖印光大师。这里有彻悟大师的舍利塔，绕祖师三匝，得清净授记。。。在净土宗祖庭之中，一座寺院出两位祖师仅有红螺寺。。。“一切法门，以明心为要。一切行门，以净心
1690313062# #故宫博物院超话
1701592399# #什么叫无为？顺势而为就是“无为”，佛教就是“随缘”。
1695534659# #处处喜欢争的是小孩，处处遇事让才是大人。。人生感悟
1694845334# #北京最美春秋两季，春天的花，秋天的落叶，冬天故宫的雪也美。
1688450184# #炒股未必赚很多钱，炒股可以训练自己的思维方式，选股对了说明方向正确，要比局部努力重要，方向永远大于局部的努力。。。不赚钱肯定自己思维有问题，要修正自己的思维方式，从根上改变。还有炒股一定要放下执着，每分钟都在变，其实炒股最难就是我们执着以往的观念。
1692682445# #思而不语，。念而不忘，。想而不见，。爱而不得，。情若能自控，要心有何用，心若能自控，何苦要心动，爱若能自控，何苦要心痛，情到深处自然浓，爱到深处自然痛。。。——林徽因
1696473784# #曾经跨过山和大海，也穿过人山人海。
1693293453# #秋天川西318新都桥。。新都桥摄影天堂川西秘境大美甘孜
1700638275# #故宫博物院超话
1695592374# #故宫为我们打开了一扇门。故宫超话故宫爱上紫禁城
1703557440# #佛祖云：。不争就是慈悲，。不辩就是智慧；。不闻就是清净，。不看就是自在；。不贪就是布施，。断恶就是行善；。改过就是忏悔，。原谅就是解脱，。知足就是放下。
1699768175# #食物美学。慈实素食超话美食分享素食素食种草每日一餐分享我的美食日记不可辜负的美食
1702685508# #颐和园水墨画
1691101527# #我获得了故宫超话的“上上签-兔”头衔。以年为单位的热爱，永不停歇心
1697242576# #回味一下，春天故宫杏花初开。
1688801262# #画出动人的画，凭的是感受，而不是技巧。。。——陈丹青。。摄影也是如此。。摄影超话摄影人像
1691309897# #南方面条和北方面条最大区别，南方面条第一口先喝汤。。慈实素食超话每日一餐分享
1703433630# #平安喜乐
1703683235# #光与影才是一切氛围感的源头。故宫超话故宫光与影爱上紫禁城光才是一切氛围感的源头氛围感上新了故宫光影
1688731011# #傍晚的雍和宫摄影超话雍和宫傍晚傍晚的天空
