1695471975# #刚刚看到司捷潘和阿克西妮娅居然真地破镜重圆了的时候，确实令人震惊……。。摊手
1691578079# #有的人无论怎样西装革履，也永远比不上我们这几位同胞，他们的离去才会令无数国人落泪！真正做到：永垂不朽！！！蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛
1698566436# #转发微博
1690287954# #王毅任外交部部长。。2023.07.25号星期二晚08：15：00时，看到官宣……
1698592608# #假如没有俄乌战争，就不会在近三十年后，重拾二十多岁时只看了一个开头的这部人类巨著《静静的顿河》
1698967924# #一路同行，黑夜亦明……。。咖啡
1688847083# #面包。。胡定凯。。黑夜。是我的面包！。慢慢地撕扯，。细细地咀嚼……。风声，。有两片相同的风声。飙我穿越！。穿越，可以是未来，。也可以是往后，。现在的此刻，。我回到了过去和从前…。。长江。大运河。黄河。东海南海……。濒危的窒息！。那一个个荒唐的。月圆之夜啊！！！……。。
1689798777# #女子称老人疑捡医院旧饭盒清洗售卖。。在一栋高楼上拍摄过这样的视频……但旁边的小燕子坚决地说：。。不可能！不可能……
1701388682# #可是，还是有一男一女士就是不听话，还是稳坐在小板凳上的钓鱼台……。。允悲允悲允悲
1703160097# #上海今起五天40年来同期最冷能冷过2008年吗？
1691576637# #医院采购47万药医生回扣拿15万当从上至下，当毛周朱彭贺李克农们等等用无数同志甚至家人们甚至自己的性命换来本应为人民服务的生杀天下的权力都可以作为生意来交易，你我他她还能有什么可以指望的什么呢！？？？随波逐流，生死在天，历史的洪流已经至此，何去何从，是不会以任何人的意志为转移的，如
1696087725# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。—2023-09-30号星期六。。胡定凯&nbsp;23:21。。刚刚照旧站在床头干脚一边看静静的顿河第三部卷六第十六章红军第一次到达了顿河岸边的麦列霍夫家……善恶混杂交织盘根错节千钧一发！……红军中也照样有败类！！！……如今，如果俄罗斯人还有
1702998336# #允悲
1702938056# #与神对话……。。—2023-12-18号星期一。。胡定凯&nbsp;07:56。。雪花飞舞中徒步阅读《与神对话》三部曲之第三卷松江沪松公路一路往东徒步……。。发自我的麦芒。。
1691575124# #他们在做戏，走过场……没用的……
1694619661# #…。成为永恒。融入。你。哪怕只有冰凉的。肉体……。。
1689653389# #嘴巴没长圆还没脱黄的时候吃东西没力量，还会漏嘴的，鸟儿确实不会故意撒娇的允悲
1695959508# #猫。。摄影：胡定凯
1690215396# #这种时候，自个儿能在心理上挺过去就已经算很好了，哪里还顾得了其他
1692430187# #别人不说还真没注意你的芳名
1700269198# #如果不是听新浪微博上有人说，确实才惊讶地知道缅甸及其他地方的电诈和人体器官买卖等等对中国人的残害已经被允许存在了长达十年或者更久了！！！不，这绝不是孤立的现象……
1701042453# #昨天刚刚收割水稻的田野，不停地散发着阵阵浓郁的清香……
1692204775# #葡一号酿酒师：胡定凯产地：上海品种：黑珍珠配料：牛栏山基酒+白糖+葡萄皮年份：2023允悲允悲允悲
1693570420# #世界上最难得的是什么？就是一帮看起来傻乎乎，其实是真正大智若愚的好兄弟。。。太阳太阳太阳。。作揖作揖作揖作揖作揖作揖作揖作揖作揖作揖作揖作揖作揖
1689705690# #021-59738762。。咖啡
1698557915# #湖北老乡袁殊同志的传记刚刚正看完了《代序》人家可更冤枉百倍万倍不止，都看破红尘坦然自若，直面了人生，一切过去，活着就好……。。允悲
1691085002# #转发微博
1694607345# #写作备忘录……。。微风
1688846701# #面包。。胡定凯。。黑夜。是我的面包！。慢慢地撕扯，。细细的咀嚼……。风声，。有两片相同的风声。飙我穿越！。穿越，可以是未来，。也可以是往后，。现在的此刻，。我回到了过去和从前…。。长江。大运河。黄河。东海南海……。濒危的窒息！。那一个个荒唐的。月圆之夜啊……
1689436348# #好苦啊！老天爷！！！。。允悲
1694619728# #…成为永恒融入哪怕只有冰凉你的肉体……
1694341886# #上海73岁初代丁克现状颠覆想象
1691002577# #刚刚洗澡好又拉肚肚只好再洗澡洗澡了要干脚干脚就不能白干脚发呆所以要看书站上床头干脚照例看书看完了《静静的顿河》第二部卷四第十八章第十九章
1689798955# #女子称老人疑捡医院旧饭盒清洗售卖。。在一栋高楼上拍摄过这样的视频……但旁边的小燕子坚决地说：。。不可能！不可能……。。但后来每次下一楼午餐，总担心自己吃的是循环一次性快餐盒黑骨灰盒似的……又不敢再乱发照片，担心豺狼虎豹再次盯上，说是寻新制事……。。后来，疫情越来越厉害……。。终于
1688779904# #想起了几十年前自己和【中国博客】一起经历的WWW.BLOGCN.COM的最后汪洋大海里头的惊涛骇浪几个日夜颠倒反转沉浮终究湮灭了的至暗时刻……允悲允悲允悲
1692195008# #葡一号。。酿酒师：胡定凯产地：上海品种：黑珍珠配料：牛栏山基酒+白糖+葡萄皮。。允悲
1691175431# #站上床头干脚照例看书看完了《静静的顿河》第二部卷五第一章第二章。。生命是多么奇妙的东西从小如尘埃的飞虫，到大如巨轮的鲨鲸……然而唯有人类更其荒诞无稽！……既有生死，何来文明！？？？令有无尽的愁绪，终其一生……
1691576437# #院长被抓后该院人均就医成本降1400元。。当从上至下，当毛周朱彭贺李克农们等等用无数同志甚至家人们甚至自己的性命换来本应为人民服务的生杀天下的权力都可以作为生意来交易，你我他她还能有什么可以指望的什么呢！？？？随波逐流，生死在天，历史的洪流已经至此，何去何从，是不会以任何人的意志为转
1702553422# #小时候的宝塔糖，还记得吗！感觉很甜，怀念80后童年，看懂的都老咯快手
1692574523# #街头的行人，马路上的车辆……中国领空里的太阳☀️……这一切都是力量！！！当这些力量在上世纪那些豺狼虎豹们的掌控下，就会成为荼毒压迫百姓的蝎毒，当这些力量掌握在小米加步枪的毛周朱彭贺李克农……等等真正的人民领袖和英雄们的手中，这些就是人民的火把和灯塔和圣明……
1689159077# #你读过米兰昆德拉的哪部作品一直听说，却未读过他……
1696173722# #转发微博
1690202276# #女子称孕期被丈夫挤压肚子世界总是很多碰巧的对比……刚刚看到一个女子自测怀孕后，故意假装生病让老公把脉，结果老公一脸惊喜差点喜极而泣，因为他知道自己要当爸爸了！……而这个视频，居然是老公挤压老婆肚子！他是想干什么呢！？？？虎毒不食子呀，难道想学重庆还是成都那个把自己的一双血脉儿
1704202348# #且不说其他，单就这夕阳红，诗人自酿这葡萄酒的成色，就可想而知了……。。允悲
1692736075# #17岁少年目睹爷爷被人殴打后投河身亡。。人民关注新闻，是因为人民知道自己也会随时随地在自己的祖国随时随地成为新闻！。。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！。。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
1688480374# #十万加来了，百万加还远吗！？？？。。二哈『十万加来了，百万加还远吗财经头条』
1697447910# #成都一女童小区内遭恶犬围咬【警方回应女童小区遭恶犬围咬：案件已受理，孩子在医院救治】10月16日，四川成都。网曝崇州一幼儿被几只狗围咬，大人为保护孩子也被狗撕咬，之后有路过市民救助。事发小区物业一工作人员表示已知晓此事，物业相关工作人员正在配合警方调查。崇州羊马街道一工作人员称此
1691592257# #男子夜钓被鱼拖下水民警追4公里救出不错不错了原来还是毕竟钓到了几个小鱼啊哈哈哈哈哈哈哈
1701810798# #雾野昨晨……。。咖啡
1704038485# #你好，2024。。作揖
1697493035# #回家喽……。。允悲
1689113751# #不是江苏的肯定是西部人才说滂臭…
1691432714# #【钱没了可以再赚！新疆商户凌晨4点赶制2100份馕驰援涞水】“所有的馕已支援灾区，今天不卖！”8月5日，浙江杭州。新疆老板麦麦提带着店员们凌晨四点赶制出2100份馕饼，连夜驱车1400公里送往涞水县受灾群众手中。麦麦提表示，想通过自己的努力为河北人民献上一份关爱，钱没了可以再赚，但不忍心看见
1700653924# #情况通报……
1702690205# #2023年12月15号星期五晚上18：55：00时看到大冒险只发来一个字的微信消息，心都提到了嗓子眼！心里立刻想到了各种情形和各种应对方案，甚至想到了那个驻战火纷飞的刚果金的已经查出他的联系方式的中国大使……。。立刻微信联系最亲的小哥……没等到他，焦急中又立刻联系老人家，忽然听到好消息！
1698589092# #开始阅读《静静的顿河》第四部卷七第一章……。。胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。—&nbsp;2023-10-29号星期天。。胡定凯&nbsp;22:12。。洗澡好了。。胡定凯&nbsp;22:12。。开始阅读《静静的顿河》第四部卷七第一章……。。发自我的麦芒。。
1694375830# #那四个字的名词，已经成了羞耻……。。弱
1703663740# #上海今天的天气真好法律咨询与出手记录在路上的风景2023年最后一个月
1704040967# #允悲
1688688524# #《静静的顿河》。。—&nbsp;2023-07-07号星期五。。胡定凯&nbsp;07:49。。洗澡好了。。胡定凯&nbsp;07:56。。上床干脚顺带看一章《静静的顿河》卷二第十五章…。。胡定凯&nbsp;08:04。。看完了《静静的顿河》卷二第十五章…。。胡定凯&nbsp;08:04。。开始工作…。。（发自我的麦芒）
1696274278# #刚刚做的这个梦确实太奇怪了，不知道是在哪个地方，荆棘丛生，蚊蝇飞舞的非常肮脏的地方，在那里蹲在一个。崎岖不平的石头上面，在那里拉肚子，拉完了以后弄的满手满屁股都是脏东西，就在这个时候正在用水，想着用水。洗洗屁股的时候，三五次。狗狗摇头摆尾的围了过来，把拉在舌头上的那些到处都是的大
1689737458# #这个世界上，有各种各样的代理人…犹太人不喜欢抛头露面，他们最擅长寻找自己最最合适和有利于自己的社会政治甚至是国家级代理人…代理人有专门打仗的，也就是代理人战争，也有的专门当白手套，代理经济和政治利益…再普通一点的，就是各种民事或刑事纠纷的代理人，专门用他们精通擅长的法律工具也就是
1693511113# #
1699194612# #注意安全虽然看到有人先说了
1691243145# #舒兰4名公职人员在组织群众转移中失联
1691323164# #网传郑州大学一领导要求员工无偿加班还威胁降薪。。听到最后逗乐了……你没权利偷我个人东西，哎……哎！？？？……呃！？？？……。。允悲允悲允悲
1698271099# #上海市青浦区徐泾镇前云路金云村住处前的田野之雾……
1693699966# #学会善良，而不是恶毒，你才能够真正终成大事！！！……。。—胡定凯随想录。。咖啡
1688777876# #没想到看着从小长大的孩子居然已经病了那么久！平时不多联系也从未听他们说起过…总是担心亲朋好友们会着急担心…不是到现在已经实在没有办法了，肯定还会继续着不告诉亲人们…记得孩子前些年在大学就在准备加入他认可的理想中的组织，也没有想到他已经开始他的人生理想考上了可以从政的公务员，却因为
1692574207# #今天我们这个祖国呢？？？。。摊手
1692112910# #江苏警方通报女子被分尸
1689025217# #上海火烧云这几天一直有，不看到这个热搜，都忘记发昨晚拍的这个了……。。可爱
1692573787# #骄傲的丫丫……。。（摄影：胡定凯）
1687098821# #悲情咖啡屋…。。☕️
1700690138# #淀浦河桥南松江方泗公路九干路口处一夜之间长出来的森林愿所有美好不期而遇用快乐心态拥抱每一天
1698503223# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。——2023-10-28号星期六。。胡定凯&nbsp;22:19。。开始看《袁殊传记》。。发自我的麦芒
1693436899# #啊哦！？？？。。允悲允悲允悲
1690214990# #这些孩子都是已经快成年的生命，生命在明知自己将不久于人世的时候，假设有至亲至爱的人，最后的弥留之际一定会用尽最后一点思维想感觉听到或看到自己最爱的……如果一个孩子一个抢救室如果允许假如我是孩子妈妈或者爸爸我会默默站在抢救室角落里哪怕泪如泉涌我也绝不会哭出声因为决不能影响抢救啊
1689029856# #被困缅北男子手脚被打断母亲崩溃。。！
1687085532# #为什么阴干的衣服那么臭。。确实滂臭滂臭哦…从小到大听说也自己说这个词刚刚正复制你的词因为从来没想到还可以写出来这个老家词没想到你还来问问怎么形容这种滂臭哈哈哈哈哈。。允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲允悲
1690933531# #地理不同，人种不同，语言不同，但是。世界各国人民、民族的生活。工作，战斗总是相似的。此刻看到静静的顿河第15章。当俄国的哥萨克们一个连队在拒绝内战，准备战斗的时候，胡定凯不由想起了自己国家的南昌起义！……
1693955973# #最短小的诗歌。。胡定凯。。上帝。造了无数只眼睛。看我。。👀。。却只给了我一双眼睛。。👀。。看这个世界！。。抱抱。。（上海松江48路公交车泗泾地铁站到达）
1690235323# #刚刚已经看完了《静静的顿河》第二部卷四第一章第二章。此前确实没有想到也没有看过任何推介了解过这部巨著的内容，现在此刻直到看到这第二部的时候，才知道原来这部静静的顿河居然是这样的一部作品！难怪曾经在全世界获得了公认的成功！现实主义？过去？现在？未来？……东西方？社会？政治？…
1690799500# #中学会计挪用2500万买理财获利6000。。这个厉害，还没亏本太厉害了
1704202254# #我发布了：自酿葡萄酒加羊蝎子火锅记录真实生活愿所有美好不期而遇快手
1698418957# #胡定凯摄影作品选。。镜中幻影
1689107921# #姐姐30万赎弟弟没出缅甸又遭转卖。。谁？谁能够保护这些孩子们！？？？
1689339542# #加量，一醉方休……。。允悲
1696505482# #2023诺贝尔文学奖揭晓。。刚刚到快手搜索了一下没有找到他的书
1695742544# #看完了静静的顿河第三部卷六第十一章。。微风
1690078770# #电影：天与地
1690989995# #站上床头干脚照例看书开始看《静静的顿河》第二部卷四第十六章
1694999514# #918【亲历者原声回忆抗战】“九一八，日本人来了，东北没了。”“去死，不怕，我们要保护我们的国家！”92年前的今天，九一八事变爆发。今日中国再不是1931年的中国，勿忘国耻，吾辈自强！
1692267680# #中山西路宜山路附近的……。。鲜花鲜花鲜花鲜花鲜花鲜花鲜花。。心心心心心心心心心心心心心心
1688305808# #我发布了：静静的顿河为自己读书快手
1690235302# #开始看《静静的顿河》第二部卷四第一章第二章此前确实没有想到也没有看过任何推介了解过这部巨著的内容，现在此刻直到看到这第二部的时候，才知道原来这部静静的顿河居然是这样的一部作品！难怪曾经在全世界获得了公认的成功！现实主义？过去？现在？未来？……东西方？社会？政治？……人性和世
1696721436# #也是想到了这个！。。抱抱
1689491147# #暴雨……。。☔️
1688693414# #从小到大整个的感觉和印象中，幺姑父家的整个大家族众多老人和后辈所有成员都是百分之百的忠厚善良重情厚义的亲人们……记得几年前，这孩子还在大学的时候，就经常看到他和同学们总在百忙的学习之余，到处支教，或者作为自愿者从事各种公益活动…现在当他有了困难，仅仅从这孩子一天之中就获得了那么多
1690218509# #齐齐哈尔坍塌事故原因初步查明
1690294393# #肠癌患者手术失败死亡尸检未见肠癌看着楼下的评论笑死了……2004年去西藏回来因为高反把免疫系统搞低牙周炎很厉害然后实在不行感觉两个上门牙快摇摇欲坠了就去了上海第某人民医院看专科实习男生都放倒了拔牙椅子💺准备让我躺下去的时候他的师傅一个好像姓张的专家出来大声说让我看看她看看
1698606131# #开始阅读《静静的顿河》第四部卷七第二章……
1689109093# #姐姐30万赎弟弟没出缅甸又遭转卖。。…
1692736194# #17岁少年目睹爷爷被人殴打后投河身亡
1699142871# #【热门视频】精彩视频，尽在QQ浏览器
1691842167# #上海之夜……。。咖啡
1700605051# #预言者说……。。咖啡
1689158325# #他在自言自语呢允悲允悲允悲
1689957935# #街角的咖啡馆关于系统……。。摊手
1689108057# #外交部回应巴拉圭当选总统将窜台【巴拉圭当选总统将于本周窜台，外交部回应】在7月10日举行的外交部例行记者会上，有记者提问，巴拉圭总统当选人潘尼亚将于本周率团访问台湾，并深化与台湾的关系。请问发言人对此有何回应？。。中国外交部发言人毛宁说，世界上只有一个中国，中华人民共和国政府是代表
1688425749# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。-&nbsp;2023-07-04号&nbsp;星期二。。胡定凯&nbsp;07:05。。刚刚起床前梦到了不知在哪里给一个给一个女孩子画眼睛，画了一只眼睛。画画画画，用铅笔素描，画了画了画了画这个，可是总是画不好，到后来就女孩子又不开心了，就用那个右手的。中指把那个眼睛给
1688457646# #国家一定一定要切实加强道路特别是铁路运输的安全日常保障工作
1689331105# #家属确认旅行博主姜野在新疆遇难
1695526117# #黑格尔……。。咖啡
1691695123# #好吧，谢谢你，艺术的真实，非常重要
1689702104# #今天拍下了这个照片，先保存下来，这上面的电话号码一定管用！。。路不平，一定要有人踩！！！……。。作揖作揖作揖
1697693645# #海滩失踪女童遗体找到
1689846466# #允悲允悲允悲
1691696332# #孤注一掷票房破10亿。。看了网友们的留言，改变主意，已经在猫眼上预购了一张。。【孤注一掷】
1698418850# #胡定凯摄影作品选。。镜中幻影
1704149380# #现在站到床头干脚看一下昨日元旦买回来的新书《偷书贼》。。刚刚看完了序幕…。。这不是小说简直如同《神曲》。。心
1698418631# #开始看静静的顿河第三卷最后一章（第六十五章）……
1696313089# #还有一个孤胆英雄岩龙！！！九岁左右学校订的中国少年报上有刊登过小英雄的事迹连载……。。现在都还记得，那是1979年！！！……
1695218103# #自酿红葡萄酒……。。鲜花。。微风微风微风
1698410344# #【长达7年！女子实名举报被村支书强迫发生关系】近日，河南平顶山叶邑镇，一女子实名举报被本村支书赵某威胁强迫发生关系长达7年，如有不从还会遭对方殴打。10月27日，河北广播电视台记者致电叶邑镇人民政府，接线工作人员：公安部门正在调查处理，已成立专案组。村支书被曝强迫留守妇女发生关系
1691575960# #搞不懂，想不通……为什么只有男人们才喜欢钓鱼呢？
1696088104# #胡定凯摄影作品选……。。咖啡
1692454492# #周末愉快。。一直没有找到所以也还一直没看过的老电影名：。。今天我休息。。咖啡
1691595089# #分享图片
1690294348# #肠癌患者手术失败死亡尸检未见肠癌看着楼下的评论笑死了……2004年去西藏回来因为高反把免疫系统搞低牙周炎很厉害然后实在不行感觉两个上门牙快摇摇欲坠了就去了上海第某人民医院看专科实习男生都放倒了拔牙椅子💺准备让我躺下去的时候他的师傅一个好像姓张的专家出来大声说让我看看她看看
1691575087# #医院采购47万药医生回扣拿15万
1702189088# #财神驾到一分钟架好镜头就和上次在前云路淀浦河桥下一样给有眼缘的钓鱼人带来了连连好运道！法律咨询与出手一路火花带闪电不服咱就练跟着感觉走精神天天有
1703017299# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。-2023-12-20号星期三。。胡定凯&nbsp;04:19。。站在床头干脚开始首次阅读快递回来很久了的《秦制两千年》。。发自我的麦芒
1696164985# #国庆档期电影有一个和律所行业有关的电影正在上映。。片名：坚如磐石
1687774107# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。&nbsp;&nbsp;&nbsp;&nbsp;2023-06-26号&nbsp;星期一。。胡定凯&nbsp;18:06。。刚刚光着膀子把背心打在左肩上，出去逛了一圈，前面那里几棵梨子树上一个梨子都没了，被他们搞光了，2023年进村的梨子。吃了，尝了一次鲜，然后就什么都没有搞到了。然后惦记很久的里子没有了
1691501757# #现在已经是晚上的09:31了，这个电还没有，线路还没检查好，老金云新苑的所有的人都还呆在马路上吹凉风，这些检修人员还在检查线路，不知道是哪里的问题。。。允悲允悲允悲
1687607142# #普京指责瓦格纳负责人叛国…
1689237274# #白玉兰的复活……。。心
1704043620# #当街征兵~抓壮丁，为普京续命快手
1690473070# #哈哈哈哈哈哈。。允悲
1689653219# #妥妥滴还没长大的阳雀马马尾巴已经长出了形状
1695122288# #允悲允悲允悲
1696237498# #上了一个当！。。直到看完也没有发现律师在哪儿
1698364879# #襄阳小学生跳楼身亡，合肥合工大学生轻身。校园，家长，老师，应多关爱学生的心理健康。警方通报合肥工业大学一学生轻生合工大襄阳通报小学生坠楼身亡
1704105718# #自2019年全球新冠疫情首发甫起停业重装修，数年后终于折择选2023年10月28号良辰吉日起上海书城已经开张一个多月了……。。—2024-01-01号星期一。。胡定凯&nbsp;13:24。。南京东路地铁站到达。。胡定凯&nbsp;14:17。。结束外滩游，从福州路中山东一路丁字路口处沿福州路往西，先去看看上海书城现在的重新装修工程已经进
1688775837# #侄儿从小到大，非常优秀，没想到忽然遇到现在这样的逆境，相信有亲朋好友们的鼎力相助和支持，侄儿一定能够勇敢坚强面对一切，战胜病魔重回美好生活……。。有信心有勇气就会有希望，加油，孩子！。。抱抱抱抱抱抱
1687870430# #【新版新华字典中删除倭寇一词，出版社回应：正在了解】出版社回应新版新华字典删除倭寇一词近日，有网友称，新版《新华字典》中将“倭寇”一词删除引发关注。27日，记者在新华书店探访发现，第12版《新华字典》确实没有了“倭寇”一词。但在同一出版社其他版本的字典、词典中，“倭寇”一词及相
1690031786# #静静的顿河卷三第十三章葛利高里受伤死活未卜…。。昨晚看完第十四章，还是没有他的消息……。。今晚此刻，要看看第十五章了，会不会有他的消息呢？他遭受到的背后冷枪，到底是敌人干的，还是那个被他得罪了的野兽般邪恶的同伴“锅圈儿”干的！？？？。。猜测很难保证……
1691574769# #医院采购47万药医生回扣拿15万。敢贪敢腐他就敢如同胡定凯亲自用自己的的眼睛看到的那位医生那样做：满手套血淋淋的，和人工肠厂家业务员一起站到手术室外门口两边，对那位已经花了快近百万为老母亲换了癌变切除了几乎全部肠子的四川口音的小包工头模样的小老板说：再加1.9万做不做！？？？不做就把
1692231090# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。—2023-08-17号星期四。。胡定凯&nbsp;07:52。。泗泾地铁站到达。。胡定凯&nbsp;07:58。。刚刚已经上了地铁九号线。。胡定凯&nbsp;07:58。。离开了泗泾地铁站。。胡定凯&nbsp;08:01。。今天更厉害……大概是一家单位，在地铁上开早会或者团建活动了……。。……。。这一帮人刚刚
1690289306# #上海地铁五大烦心事。。允悲
1691577019# #几只猫分别是美国纽约和华盛顿的警察、反贪污腐败局委、黑色的应该是中情局的负责保卫美国国家级头颅科学家的人……没有抓到老鼠，不怪他们，有问题应该是特朗普以及他的接班人老拜登用猫不察或者甚至更严重的问题……
1700664039# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。—&nbsp;2023-11-22号星期三。。胡定凯&nbsp;22:38。。今夜，葛里高利的好妈妈永远去了天堂……刚刚为她落下了悲伤的泪水……彼得罗之后是达丽亚再是娜塔莉娅随后是潘苔莱。普罗苛菲耶维奇老头子现在，好妈妈伊莉妮奇娜也终于走了……。。发自我的麦
1692316600# #律所里的战斗机，你打官司我伴飞！。律所战机哪家强？你打官司我护航！。。允悲
1690202787# #女子曝坐月子被丈夫家暴已报警刚刚故意把两个视频搬到了自己的微博里头，现在已经形成了掩耳盗铃的习惯，因为怕被豺狼虎豹们再次无事生非上门威胁陷害寻新制事，都自欺欺人地设置为了仅自己可见……。。意思是我只给自己看，即使你们窃听风暴窃视了星云般的网络，至少现在，估计你们还不能明目张胆，
1689704822# #放大🔍后，可以看到上海市青浦区道路交通运输事务管理中心字样和一个固定电话号码……。。多年前在新浪微博上发过一条微博，就是现在已经开业的十七号线地铁上盖蟠龙路地铁站那里的当时还在调整的交通不便之处的图文后不久，就接到了一位非常好的自称是青浦道路交通方面的一位同志的电话，解释说明了设
1693738404# #为了公平和正义，锄强扶弱……我们一直在行动……正能量律法无小事法律咨询与出手！……（类型关键词：少年无辜的在天之灵安息吧-孩子！我们一定会为你伸张该有的正义！）
1703665862# #渔舟唱晚……。。（隔壁邻居老王大哥又在太阳里收网啦）。。摄影：胡定凯
1696501333# #坐稳了，小姐姐开车带你看山城重庆！重庆轻轨小姐姐8d魔幻山城重庆快手。。多年前到重庆第一次看到就从头顶上哗啦开过去的这个车也是差点惊掉了脑袋心想四川人怎么都这么会想办法会玩胆子还忒大！？？？。。刚刚再仔细看过这个视频不担心了跟重庆人挑担担是一回事主要是平衡到家了
1689712221# #15岁少女被困缅甸受虐痛哭求救……。。伤心
1703216413# #我也是
1694344660# #特朗普猛批拜登秀出表情包。。允悲允悲允悲。。哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1692144078# #假如多年前在地铁九号线头节车厢里头放无声臭炸弹💣的那位先生或者女士对准霸道的这个地铁乘客的脸放一个臭蛋，估计他们她们还是无法忍受，也可能还是不会站起来……
1704096148# #我发布了：元旦快乐！新年快乐！法律咨询与出手上海滩新年快乐快手
1688214375# #这…上海疫情封城期间也遇到一次那晚明明听到窗外有无人机飞近的呼呼声就是没看到到底在哪儿估计是高手把指示灯给关掉或者直接卸除了……。。允悲允悲允悲
1691686674# #孤注一掷票房破10亿本来确实想去看看的，可是，看到了一个网友的评论，兴趣确实被泼了一盆凉水！本来不错的剧本，为什么总是摆脱不了那种低级的错误呢！？？？本来准备购票了，现在，确实很犹豫，本来自己就准备写一个剧本并且写了一个片头的，现在看到这个，好好的都已经可以看了，出这么一个幺蛾子
1688673719# #时空记忆……
1694999436# #一定也有一个洁白的天使，轻盈如古人梦中的回风舞雪，气若幽兰……。。🙏
1690853912# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。梦到了成龙……。。—2023-08-01号星期二。。胡定凯09:25。。刚刚睡醒起床前居然梦到了成龙。。胡定凯09:27。。语音。。胡定凯09:28。。语音。。胡定凯09:28。。语音。。胡定凯09:30。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
1693751677# #叔叔，不哭！！！。。抱抱抱抱抱抱
1689508631# #冯旸赫因公牺牲无论是意外还是任何原因，安保和相关负责人都应当被追责和军法处置！
1688808890# #《9个孩子被骗缅甸遭电击、开水烫》16岁男孩被骗到缅北后，向家里发来急救信息。据他的母亲说，他原本想多赚钱给爷爷看病，不料被别人用“高薪骗局”骗到了缅北，“都不知道什么人给买的飞机票”。
1703666840# #天气这么冷，呆河边吹风可不仅仅是无聊哈……。。偷笑
1689187728# #还以为……没想到你更快关注到了允悲允悲允悲
1688670773# #王雪峰被开除党籍了解了一下才发现并没有那么可怕，相对于红楼梦，相对于浪奔浪流依然凶险邪恶暗潮江底的下海滩……这点小事一桩算不了多大事儿……
1693180417# #民警酒后足浴店殴打残疾工作人员。。………
1688777837# #求助人的故事。。（转发自侄儿段海超的QQ空间）。。🚑🆘当您打开这条链接时候，您就是我的恩人！迫于无奈发起筹款，尊敬的亲朋好友，以及尊敬的社会爱心人士你们好，我不幸被病魔所困，实属无奈，为了生命的延续，让我彻底摆脱病魔，无奈发起筹款，我们一家人以后定当回报社会！。。各位爱心人士您好，我
1699779038# #已经很久很久没有做过针线活儿了……。。允悲
1702998682# #出发吧去湖北
1692307837# #无题。。胡定凯。。秋。晨。乍醒。闭眼。听窗外。四野的虫鸣……。。虫鸣。深邃幽远…。落寞却无伤感。恍然如禅。悟透了。。虫生……。。🙏
1698590738# #拉肚子厉害…又洗澡下半身现在开始真正正式阅读《静静的顿河》第四部卷七第一章……
1690472035# #关键是卫生问题
1699615563# #快十年即使是一棵树，也会产生多么深沉的情感……
1698418729# #胡定凯摄影作品选。。镜中幻影
1693871843# #胡大毛儿全部微信账号群微信群上的聊天记录如下，请查收。。。—2023-09-05号星期二。。胡定凯&nbsp;07:53。。那个家伙，别人就坐在他的鼻子下面，他一直不停的在那寻脾气，不知道坐在他鼻子下面的人怎么受得了，戴着口罩也没用。一点也不太不讲究。。。胡定凯&nbsp;07:53。。嗯，甚至比多年前在地铁九号线坐在车厢里
1691432336# #【网友：看见解放军心里就有底了！】吉林舒兰防汛形势严峻，开原镇、七里乡等地洪水漫灌，桥梁坍塌、道路受损等险情接连不断。昨天下午，北部战区陆军某旅千人百车驰援舒兰，分成三个梯队奔赴防汛救灾一线。持续关注，盼平安！
1692833297# #坠毁飞机乘客包括瓦格纳几乎所有高层【瓦格纳集团创始人遭遇坠机遇难】当地时间23日，一架私人飞机在俄罗斯特维尔州坠毁，造成10人死亡。据俄罗斯联邦航空运输署发布的失事飞机人员名单，确认俄罗斯瓦格纳集团创始人普里戈任和瓦格纳创始人之一、指挥官乌特金在失事飞机上，机上7名乘客中包括瓦格
1691339533# #吉林舒兰3名失联公职人员确认牺牲。。为了百姓的好同志，人民将永远记得他们……
1701446453# #日月同辉
1692415993# #为了公平和正义，锄强扶弱……我们一直在行动……正能量律法无小事法律咨询与出手！……（案由：特殊的工伤事故发生后倒地不起，当事人和家属们已经不再抱有希望，准备彻底放弃了的时刻……是我们，伸出了援手！！！）
1689490450# #山河同悲！！！……。。伤心
