1697935988# #已然如此，不如接受
1696049051# #穿过的最显瘦的毛衣，尤其这件粉红色，粉得刚刚好，不娇不燥，温柔大方，一见如故，即时拿下。
1692626505# #有朋友问是西班牙热，还是广州热，西班牙是干热，广州市湿热，在西班牙的阳光下，你觉得人都要晒炸毛了，但是只要有树荫的地方就立刻是可以非常舒服的体感还可以睡觉，可见整体温度不高，我想起以前在老家，室外是40度，室内也是40度，无处躲避，简直是可怕捂脸
1701242324# #昨晚真的开心，和三个超级可爱的少女聚会，收到超级可爱的礼物，秀姐准备超级家常的便饭，挡不住我们超级热情的八卦，从美食聊到人，从迪奥聊到太妃糖，从明星聊到传奇，－聊聊到凌晨一点，虽然我的脑子已经迷迷登登了，但是我灵魂还在呐喊再多一点，一觉睡到早上八点半，坦率真实的深度关系果然疗愈彼
1696643138# #昨晚又看一遍，乐死了，－个美容手术引发的四个男人的死亡挤眼
1697885122# #回到广州，收到晓雪的《优雅转身》，做为时尚媒体时代叱咤风云的主编，晓雪现在是新媒体时代优雅五十加女性代表的KOL,真的算是纸媒不多的几个转型奇迹，虽然优雅之间需要太多隐忍与克制，但字里行间是也读出许多故事，谁的生活又容易呢？但是五十岁以后学到的智慧就是什么也不说，不抱怨，不祈求，不放
1693824395# #好好看呀心心心
1692545300# #是耶非耶？化为蝴蝶
1699493392# #和竹子一起晒太阳捂脸
1697356016# #一枝桂花伴工作
1702002698# #告诉我这到底是句啥标语，看三分钟没整明白，这设计有没有问题？
1703820357# #美好天气，美好物品，爱LAMER,爱生活。今日开箱记
1691229978# #good作揖鲜花
1690201650# #美好晚宴，花香、酒香、巧克力香、鳕鱼香、牛肉香、火腿香，真香
1690858858# #原本一肚子气，但看到天气好，又好了，高高兴兴搬砖去！这情绪转换，完全属于记吃不打啊。
1693487031# #和蓝小姐晨早出发，在上海美丽白色大宅体验了CPB全新上市的4D紧颜精华，作为首款肌肉抗老精华，它迭代胶原抗老，精准激活微小肌肉群，和4D精雕家族其他产品一起，更根本地紧实轮廓，好开心舒心体验了miniSPA，好舒服，好好闻，镜子里的脸马上就立体了！接下来我们还在现场跟化妆师学习，根据现场试用
1703329669# #前几天我看画一幅画，发了个短视频，美得我一激灵，哎，这个画中的女子怎么那么符合我的审美啊，她这件绿色衣服是我爱的style,胸花是我的style,她也好喜欢读书啊，好喜欢这张画啊，陆梅这位老友真的是太着数了，画得这么好！这么灵！但是没想到这竟然是陆梅送我的新居礼物，她竟然是
1699150450# #猜猜这是啥？
1693236858# #广州，今天是酷热，极闷，傍晚开始下雨，行雷闪电直到深夜，那块遮天幕布也不见撕开一点，还是那样闷，天哪……
1698484846# #说不清多少次在广九之间奔走，大部分时候为了采访，为了活动，顺便购物，查资料，每次都奔忙得透不过气，大包小包背回来，但是现在己经进入悠闲慢走的状态，这次只买了两三件小摆设，两件G0D的T，想起以前马可兴奋地把G0D引入例外二楼，现在应该是不可能了，时代滚滚向前，每一段都有自己的轨迹，
1702485248# #好感人，充满广东人的智慧
1698384452# #今日跟香港特级导游阿民（讲得很好，又勤力）中环半日游，去了许多在香港光影里耳熟能详的地方，TVB筹款的东华三院、张国荣爱去的嚤啰街，著名的大馆、在文武庙抽到一个上上签，晒了太阳，走了步，涨了见识，让失眠的我备感温暖，愿一切都安好，阿弥陀佛，关帝保佑。
1703724757# #昨晚看了两集《繁花》已经十二点，定了闹钟，七点起床，煮饺子鸡蛋，七点半打车出门，到医院抽血二管，复查血脂血糖，八点半己回到家中，回来的路上把自备早餐吞掉了，一天刚刚开始，干点什么好呢？无数的事儿，但我为什么想的先躺平睡个回笼觉🥹
1697512601# #这几天住湘乡这个小城，有许多特别之外，它是没有滴滴车的，你滴滴叫的全是的士，私人车跑滴滴，抓到罚两万，最好的房子房价六千，大部分人的工资是二三千，的士司机告诉我们：上一任书记贪了六个亿，再往上数，抓起来书记每个均贪二千万坏笑
1695046357# #身体薄有微恙，精力不济，想寻一个写稿能手帮忙，无须考虑上班地点，可全职可兼职，稿费从优。两个要求1非常热爱熟悉欧美及内地港台娱乐新闻2、有较强的资料搜集能力，写作能力。请发一篇写过的千字文章到我后台，或者你文字的链接，留下联系方式，我会看，合适的话我会电话联系你，希望可以遇到好手。
1695903512# #《上海文学》这期没有陈冲，但是𠕇王恺，王恺老师的文字我私以为是我目力所见七零后里最狠的，这一期尤其是，看到结尾的时候我腾一下站起了，拍案叫绝，什么叫豹尾？大概这就是了，当代沈从文了，打电话热烈地讨论了很久，期待他这个系列成书，打完电话才想起来，咦，我不是要问他算命先生电话的么？
1691633654# #做为一个湘菜雷达，家附近有湘菜馆怎么能不试之，昨晚试菜结果上佳，草鱼极好，黄瓜皮肉沫极嫩，腊味合蒸极香，烟笋不错，柴火香干略硬，白菜没炒好，菜老且没洗干净，退了，服务态度还行，感觉这家衡地道可以经常来吃，发现了一个规律，凡是用黑板写菜名的湘菜馆都有一种职业自信，菜都不错，是夜的话
1701492494# #荣幸见证深圳安达仕三周年生日，湾区风采，不同凡响，光「音」三载·灿若繁星，喜欢昨晚的节目和浓汤，－个动人的夜晚……。3rdanniversary。christmasgala。wheninandaz深圳安达仕
1692297694# #喜欢巴塞罗那的老城，想起我偶像冷冰川大师的那些版画，数不尽的繁花、百叶窗、烈日柚木大门后的阴凉、细条纹、蕉叶，美人……当年以为他刻的是中国风景，现在知道了实是巴塞罗那景致，亲眼所见，才知所画非虚爱心
1701069863# #昨晚城哥大宴宾客，席设鹿鸣居，我才知道原来希望上面有那么大一个房间，哇噻，太阔绰了，太美好，昨晚清酒超好喝，人超好聊，我这社恐也被治愈了，第一次觉得喝上头也很安全，和朋友们在一起的感觉超温暖调皮
1691286019# #所以每天要默念尊重他人命运，关健兜底的是我
1693571766# #台风过境，吃到邓同学不远千里在云南高原亲手种下的蜜薯“黄金时代”，我这不爱吃红薯的人也连吃了两个，没话说，果然是品质之王强
1693217711# #装腔这段台词绝了，年轻漂亮的草根女孩大多希望钓金龟，但大多数时候她们只是被有钱人烧毁的谷仓，攀龙附凤里用尽全力，最后干瘪贫瘠的生命被烧成了一团灰，要拒绝这种命运，还得要把自己活成一颗树，内里嵌着钢，谁也烧不掉你，毁不了你，因为你是你自己的主人挤眼
1700125126# #震启刚写书了挤眼
1702567273# #卡卡来我家啦，其实有点小紧张，沐浴更衣，蓝小姐笑我，你不用这么隆重吧！调皮卡卡依旧明艳照人，但多了几分沉静，聊得太开心，以致于想问她身上那件几皮裙子是什么牌子都没得及问调皮曾几何时，我们都是空中飞人，但现在的我们都明白了，笃定温暖的平凡生活才最滋养身心拥抱拥抱拥抱拥抱
1695869453# #等我退休了，我就认认真真把这本书改出来，谢谢为我辛勤收集碎稿的爸爸，谢谢邀我稿的编辑侯虹斌，谢谢南都文化版，记得十年前为写这个专栏在港大图书馆的故纸堆里打滚了成年，南都稿费奇高，光是这一个专栏就让我月入六千，那时一切都那么充实和开心爱心
1704288376# #今天风好大，睁不开眼晴。
1702295766# #投票！投票！挤眼
1689224841# #不禁想起了《我们》里的人没有名字都是字母+数字做代号。
1688797409# #听声音叫“贾樟柯”，啊，贾科长也来看病了，一抬头，原来是贾登科同志捂脸
1692554864# #去了杜丽多古城，马德里附近的旧都，以黄金制品出名，极其美丽，精美绝伦，旅游品十几欧上百欧，但真正的手工制品上千欧，也真正是昂贵强
1697098789# #哇，好想参予盛会！“寻找成都科幻密码”@成都商报
1701678024# #昨天把电影看了，用1.5倍速，做为一个类型片的观众，实在忍不了文艺片的拖沓与漫长，边看，一边觉得这怎么能够得金马奖最佳剧情，我甚至连女主角的脸都没太看清，只记得她几次被莫名暴露的胸部，幸亏导演是女的，要不然真的会很不适，接近文艺片常见的导演对女演员的视觉剥削……但是看完之后又琢磨出
1692619961# #埃武拉小镇人骨教堂，进门上书一行字“我们的尸骨在等着你们的”，生命短促，死亡才是永恒
1699506485# #越恩爱，翻脸才越可怕
1690296969# #开始天津美食之旅，蓝小姐精心寻找的天津美食排名第三，太守宴竹园，报告如下：地方阔落，烤鸭真的很新鲜很好吃，炙羊肉相当惊艳，炒鸡很好吃，油条脆香，主要是每一道菜都很大盘，很扎实，天津人民真的实在，尤其还有吴姐姐朴实憨厚的服务，让南方人感受到属于天津的热情耶
1692153795# #在悬崖酒店第一个日落
1697247092# #到株洲了，株洲有什么好玩的地方？万博挤眼
1695987391# #一篇来自1992年的古早采访，这个采访比较意思的点是原来陈冲会自己做衣服，原来九零年代她就每个月都飞回上海一次看望父母，第三个就是她果然是个不惜力气的人，疑问是一个是《蚊帐》这个电影是不是后来根本就没拍？还有这位叫侯玉婷的香港作者到底是何方神圣？坏笑
1689066376# #今天早上定下来要走这条著名的线路，就是从妈阁庙一直走到大三巴，确实是一条好路线，沿路风光旎妮，感受到了地道澳门的风味，特别是妈阁庙那种历经数百年的沧桑感，郑家大屋也有，反而是最后看的澳门卢家大屋没有，可能是因为期待太高，也可能是因为这个大屋没我想象的大吧。。但是也确实是能够感受到
1693227580# #惊闻一个前同事的离去（完全不熟），我一来广州就听说了她，九十年代广州城最靓丽的风景线，自己做品牌，做画廊，一个传奇，美，而特立独行，这么多年也总是听人说到她的名字，我以为永远都会在的人……怎么说呢？她是广州的一部分……很伤感，人生就是这样吧，像冰块，时间慢慢地融化了你的世界，直至
1703575993# #做了三年的邻居等到搬了才认识，才知道对面就住着一对游戏侠侣，俩夫妇一个娃四只猫住在一个像动漫博物馆的地方，娃从来不叫爸妈，只称呼网名“迷之灭”，“镜中梦”，镜子说这是为了以示公平，因为孩子和父母是平等的。全屋是通的，一个0字通道，以便猫猫游走，屋顶全印着漫画，地上是黑白马赛克，床
1699613569# #好想看！嘻嘻
1703904027# #昨天不冷不热，天气晴朗，李拜天请我父母去鹿鸣酒家吃饭，真是一次愉快的小旅行啊，风景那么美，在树林里走一走，在鹿鸣酒家吃上一个艇仔粥，心里那个美呀，特别感激那些能陪我父母吃饭的朋友（李拜天还准备了美美的衣服和帽子）因为知道我父母他们真的太寂寞了，他们的朋友圈他们的过去他们与这个世界
1690039374# #开心的一天，画了扇子，吃了饭，看了电影，买了衣服，哪里都乌泱乌泱的人，深更半夜第一次看地铁门排一里长的队，听说蔡依林今晚开演唱会，不敢再奢求什么了，就都平平安安的，🙏
1704013280# #2023的最后一天，和去探望山居生活的老师，阳光下戴着草帽晒背，聊天，聊写作，聊文学，聊人生，聊人性，黄爱东西老师明年有三本关于岭南文化的书要出，张欣老师明年有一本巨著《如风似璧》要面市，二十多年前我怀着对两位偶像的崇拜和希翼来到了广州，二十多年后她们仍然是前面的
1688970532# #有事来澳门，心心念念想来卡尔拉格斐，一是因为这是老佛爷的最后手笔，二是因为上次何家全员到场，正是何超仪说出名句何家上次这么齐人是在殡仪馆的名句的地方，哈哈哈哈，身为娱乐世界一份子，也是拼了。我们特意坐了个慢车，广州南到横琴站，只有一班，10:00多上车，12:00到，只有1分钟时间下车时间
1689218403# #南法旖旎风光，深海修护能量，LAMER七夕之光，浪漫洒脱。今日开箱记
1696332682# #听闫红说了很久这本书的写作，我觉得为人儿女，能够在父母暮年的时候帮他们写一本书，记录他们的一生，这对老人是多大的宽慰和爱，真心的，闫红老师很伟大good棒棒的
1697621488# #又见美画，依旧闪闪发光，真的不得不说花大师厉害玫瑰
1694963068# #在槟城的闲逛的时候，听到导游指着那座白色的房子说那里拍了《安娜与国王》，回来就把电影看了一遍，努力寻找槟城痕迹，很多人以为这部片子是在泰国拍的，实际上这部片子很多都取自槟城，1999年的这部片子就没什么好说的了，我觉得布景和周润发都值得一看，布景超美、梦幻南洋风格，特别是周润发在朱迪
1702098506# #人一老，万事皆空，必须得身后有钱，身边有人，至于怎么有人，而且是高质量的人，林青霞给我们示范了一个超棒的经验。
1697884064# #回广州，碰上天凉，晚上叫了辆专车，车很新，里面收拾得很干净很豪奢，还有香气，就顺嘴夸了一句哇你这车打理得很舒服啊，穿着小马甲的师傅打开了话匣子在十几分钟的路程，他讲了几个方面的事情：一个方面就是现在经济太差，他原来在做一个电器品牌的代理，也做到业务副总，后来自己创业，疫情期间又完
1691072861# #这家斯里兰卡安缦可真的太美了，光看照片都很沉醉，人生梦想单又加一个色
1700915450# #私人飞机？挤眼good
1702191825# #今天晚上要直播，五点要化妆，所以不能在我妈家吃晚饭，打了包回来，路上去相熟的花店拿了我定了春羽，自己把泥土清洗干净，在网上复购了三斤好吃的墨斗丸，还顺手订了本亦舒的散文集，阳光正好，想起了艾老师的名言，做欧巴桑真快乐耶
1698889838# #执此一钥，如愿光璨，循光之旅，光耀时刻。今日开箱记
1699613494# #今天下午把楼下储物间收拾了一下，累个半死，在里面发现了当年收集的各色唱片天呢，全部都进水和进灰，几百张只抢救下来几十张。记得当年跑音乐，那时候但凡有歌手来广东总归要采一下，很多新歌手的唱片拿回家封套都没拆就丢到角落里，什么陈绮贞什么萨顶顶什么李玟全都看不上，觉得他们是新人……想起
1693671154# #好感人
1689560317# #和太子第一时间去看《封神榜》，买的IMAX票，太子出来很不高兴，说太吵了，不好看，好电影要么让我爽，要么深刻，两头都不沾，不行！这是我们第一次就一部片子达不成共识，我心想你就是小孩，不知道中国电影的能拍成这样，已经很不错了，想啥呢？！我觉得挺好看，商业片特技不错，剧情不错，声色犬马，
1695428806# #少女时代想要成为时装设计师的美梦只在这几本书里了，年轻时人总会有许多梦想，但能实现的只有那些真正爱的、真正能去实践的、并且切合当时生存状态的爱好，显然，只需要一只笔几张纸的专栏写作更适合当时的我捂脸
1691205912# #阿姨回家了，被单自己洗，原来烘干的坏处是好皱，皱得看不过眼，得自己烫，烫被单枕套是很愉快的，可惜就是太耗时间，所以，还是晾干好，对么？
1697536079# #吃到了向往已久的湘乡蛋糕、油渣还有称菜子，好吃，好吃，美味美味！
1690359764# #在素心的带领下，开始天津文化半日游，第一站先到静园，末代皇帝溥仪住了三年的地方，一栋精巧的西班牙建筑，里面衬以日式装修，比我想象的要小，布置精巧，文绣住在贮存室旁边阴暗的小房间，难怪要离婚，实在是闷气。木护墙板高至顶，看得出过去是十分豪华的所在，那些𤩹炉和箱柜看得用料十分考究，
1688733439# #知天命，惜美好，爱自己
1701997708# #周一的时候，我们出了一篇张艾嘉的儿子婚礼的推送，后台录得了近30万的点击量，增加了快三千个粉丝，在从前这算不上什么成绩，但在公众号滑坡的时代里真算得上是一个小小的奇迹，这当然是一白拼命的结果，顶着狂咳赶制了这么一篇八千字巨著，里面是真正的硬核娱乐里又有深度的人情世故，还有某种人生的
1694617091# #昨晚星夜兼程，去深圳和“蓝小姐与黄小姐”在深圳的好友们共赴麦卡伦晚宴，一个特别美好晩上，见到许多深圳传奇，闪岀许多灵动火花，好开心果然麦卡伦盈钻带给我们“邂逅·新生”灵感之旅玫瑰
1698406614# #第一次来香港文化中心，第一次看《了不起的盖茨比》芭蕾版
1696120852# #在十月的第一天清晨收到一件粉红色的毛衣还粉开心哒，咋这么快！
1698840118# #这在他的《东南园墅》中表现特别明显。他讲述中国东南园林的过程中无不透露出那种淡然而雅致的审美。而中国人，最擅长这种柔软的，情境合一的，极高级极曲折的审美体验。
1689381857# #和植物们一起享受阳光晒背第一天
1693901743# #美好如“月”而至，喜欢奶黄溏心月饼，喜欢脚踏车，喜欢拉夫劳伦这个牌子——新公寓里好多灯都是是拉夫劳伦哒爱心
1698335874# #原来每个人生命将尽时，最想见的原来是爸爸妈妈泪
1698975330# #每天追着扫地机器人看，怎么感觉好治愈捂脸扫地机器人
1694187658# #今天行程超丰富但最震撼还是参观槟城乔治市打铜仔街的侨生博物馆(PinangPeranakanMansion)也称娘惹博物馆或槟榔侨生大宅，建于1890年代，为大马甲必丹巨富郑景贵还有他家的祠堂，非常之南洋，西式与中式，满堂酸枝螺钿家具，灰塑，金粉木雕、欧式铁艺、彩色玻璃、满州窗、花砖地……看得人眼花缭
1695648420# #随着老一辈人一个一个的故去，感觉死亡和自己之间越来越少屏障，这几天老是想起过年的时候回到老家，我爸有六兄弟姊妹，外面有三个家里有三个，我们这些小孩儿每次过年的时候就先回老家呆着，奶奶还在，我们闲极无聊，在各家窜来窜去，打来打去，等外面的人回来，我爸这个姓氏的共性是都很散漫，什么都
1695350741# #几年前我在饭局上见到一位著名的制片人，广州的饭局都很闷，我算是第一次见到这样能量澎湃的人，说学逗唱一个人把一桌子人乐得前仰后合，像太阳神一样，光芒四射，这还只是个私底下的普通饭局，心想果然天生异人，天赋异禀，但今年偶然听说刚过六十的他也柱上拐杖了，怎么说呢，可能人还是得省着点用吧
1693478851# #乘着台风苏拉未到，飞返我城，带着CPB送的美丽的花调皮
1694104309# #槟城第一餐，虾面与阿玉冰
1698566993# #因为上次在盛一的公众号“玫瑰色的眼睛”看到她写海心沙英迪格酒店，被她拍摄下美仑美奂的岭南风味震惊了，吵着要来，终于等到今天盛大开业的好日子，走到亚运公园西门，迎接我的是戛有腔调的老克勒摆渡车，走进里面，绿荫遍地，锣鼓喧天，醒狮精神，好生热闹，和莹莹盛一一起参观酒店房间，被诸多美器
1688971571# #入住了！升级了！园景房，老佛爷最后的手笔，房间是黑红设计，我对洗手间的印象颇深，因为墙面全部都是金箔样的马赛克，这还是有点震撼的。
1691826892# #橄榄山又有新搞作，好看啊，品味没得说，看上一只柚木小藤椅，价格把我吓一跳，倒是中古的那些椅子、屏风价格还公道一些，要努力赚钱啊……
1693829598# #很久很久没上健身房了，今天快走了二十分钟，还行，要坚持锻炼啊，不锻炼这心脏就越来越弱了捂脸
1695968181# #有月在心，吉祥如意，谢谢瑰丽，谢谢谢谢四季，谢谢深圳文华东方、谢谢深圳安达仕、谢谢星河湾、谢谢恵食佳、谢谢“宋”，谢谢嘉顿、谢谢恒城爱心爱心爱心爱心
1697553317# #好可爱呀心
1695818626# #也不是很能动脑子，于是就每天整理整理东西，把这么多年收集的过期杂志和撕页拿岀来清理，看到很多时光突忽而过，1964，1979，2002……当时只觉得平常、烂俗的事情，隔了三十年、四十年、五十年的光阴再看突然都有一层淡淡的琥珀光，这些逝去的遥远的安全的被订死在时光松香里的往事……
1691053042# #李叔同家超美，三进的院子别有一番秀丽别致，其中有一间房应该是小姐的闺房，这间房子不大，大概十来=十个平米吧，但麻雀虽小，五脏俱全，家俱摆放紧凑有致，顾及到居住者各种生活需要，左右各放两张床，中间是一个八仙桌，进行区域分隔，两个姐妹各自有化妆台，衣柜，还有绣花棚子，洗脸台，颇有点酒
1703043751# #昨天可真是冷啊，还有雨，在外面吹了两个小时的冷风，回家鼻炎大发作，打喷嚏打到我怀疑人生，纸巾至堆成山……真是奋不顾身了，可能真的看到漂亮的衣服就控制不住自己的兴奋吧，这件暗花缎面小袄子可实在是太漂亮了，太好搭，太喜欢了，喜欢到值得为它受冷风吹，现在就等月底上市的时候去抢了坏笑
1704079681# #2024的第一天，阳光晴好，借香奈儿的金色祝福，愿新的一年我的朋友们可以变得更加美丽，更加自由，在任何时候都能自由摆臂快步行走。今日开箱记
1690365544# #所有名人故居里，李叔同家最巴适，盐商银行家后代，四合院精巧，宜居，难怪养育出一代大师……我原来一直以为李叔同是杭州人捂脸扫盲扫盲
1691573961# #孙楠告我们了，大家且看且珍惜捂脸全文只用了他一张图，所以以后明星就是不能议论了，因为他永远会用肖像权告你，可以！共同塑造沉默国度。
1702902606# #昨天去澳门威尼参加年度大秀腾讯星光大赏，作为一个好久没有跑娱乐第一线的记者，这一次好像又重回了战场，第一个感受就是娱乐真的是一代又一代人的迅疾滚动，顶流过几年就换一波人，一不留神，雷佳音己可压轴岀场，晓明哥轻松写意，有一种轻舟已过万重山的适意，马伊俐依旧飚爽，辛芷蕾全副香奈儿……
1699318008# #笛笛的热红酒乐队二十四号会来佛山演出，这是我真实生活中听到的最悦耳的乐队演出，吉它美妙，爵士逍遥，太值得一听了，广佛的朋友有福啦坏笑
1701746150# #有阳光，搞卫生
1688485495# #特别愉快的一天，《头等舱》制片编剧团队终于来广州体验生活，感受珠江水温，我这地头蛇当然要浦头，一早到沙面猫屎咖啡碰头，由地胆玛姬小姐带我们深度参观沙面，体验文化之旅，我们去了天主教路德圣母堂，参观豪花七千万修复的原东方汇理银行，领略印度人宿舍非遗传𠄘人的宋代茶艺、沙宣洋行，中央
1699320702# #回湘乡我表姐带了一种柚子给我们，清甜如雪，特别好吃，我问她是什么，她说是张家界雪峰柚子，我在淘宝上找了一家，昨天晚上被朋友哄抢一光，可见好吃，推荐给大家（我不认识店家哈哈哈哈）
1693219658# #是什么情况让艺人们不敢再真性情了
1701923425# #家里缺个香薰，正想去买，刚好就收到的镇宅香薰，好美，好雅，好闻，冬日暖阳里的心想事成让日子温柔闪亮拥抱拥抱拥抱拥抱
1695737451# #今天中午吃饭的时候碰到一个远房亲戚，是我爸爸的堂弟，他说小时候奶奶带着我住在她的娘家，身边带着我，对我最好，比对我弟还好，很难想象在重男轻女的湘中地区，会有这样的现象发生。我小时候笨，三岁还不会数数，表情呆滞，也不漂亮，惟一优点就是又白又胖，但是我模糊的记得这一辈子接受过的最特别
1693918671# #168每位，两位起锅，财神黯然销魂饭的至紧处是要炒888下……
1698834404# #终于有了一张漫画大佬金城老师的画，来自他著名的简笔少女系列，名字叫“海上生明月”，原画喔，就放在我书房沙发之上，美极爱心
1688795925# #中午带我妈看病，打到一部红的，的士小哥，全盘武装，又是口罩，又是防晒手套，又是墨镜，显然是敬业乐业的人，后来不知道怎么聊起广州堵车的问题，他说不知道为什么现在广州全天地，比疫情之前还要堵，而且不分上午下午的堵？我说可能是珠三角多了很多流入人口吧，然后他又说不知道为什么生意比疫情还
1694741362# #昨晚广州雷声震震，雨倒不大，去瑰丽参加人头马中秋晚宴「月耀万物生」，－进门，就被周范先生的原作吸引，问了二遍他的名字，做为一个艺术品爱好者，这点直觉还是有，原作果然厉害，禁得起细看，热烈、宁静、万物、生长……巨大的金黄的月亮缓缓升起，草丛间有一只雪白的兔子，意境美好，又宁静又动感
1702957489# #说这张画受我家启发～南洋风哈哈哈哈坏笑好鲨！好爱！
1697199171# #经过二十多天的生活调整和运动，减肥四斤，血脂血糖全都正常了，庆祝一定要坚持早睡早起和运动一小时的习惯啊，加油！
1703756984# #今日教训：如果你觉得没东西用、没衣服穿，带着这个心愿去整理一下自己贮物间，然后你就会发现所有东西都出现了，今天我就发现了一个香薰机，－个粉底液、许多滋润霜许多常规衣服……感觉又省了很多钱捂脸
1696149471# #这个国庆，在清理书柜中渡过啦……已经整理十天，还得有个四五天，太多书啦挤眼
1688983324# #澳门这麦当劳，价格贵一倍
1690735123# #听说周传雄现在演唱会火得不行，万人合唱《黄昏》，《黄昏》确实是一首惨情歌，陈信荣的歌词很有文学性，我最记得的是其中的一句“昏暗中有种烈日灼身的错觉”这是要真的要高度敏感者经历高度绝望之后才能写出的句子，堪比张爱玲金句“那痛苦像火车一样轰隆轰隆一天到晚开着，日夜之间没有一点空隙。一
1693572773# #内心还是一个对世界不能笃定的小孩，但躯体已经走向下午黄昏了，故也常有“这个世界已经不属于我”的感受。真是应了那句，人生何处不相逢，落花时节又逢君。
1691416732# #花园酒店大堂是《红楼梦》大理石𤩹画，可见好酒店都注重大堂背后的这副风景，为整个酒店铺阵下风格。今天认真地看了一下白天鹅的大堂壁画，我很喜欢这个配色，浓郁富丽又很雅，仔细看原来是根据林墉先生的巨幅画作《岭南一枝春》做的阳江漆画，果然是大师，漆画好美！
1692108340# #也是终于和蓝顶教堂合上一张影了捂脸
1696257372# #《坚如磐石》应该会是这个国庆档票房最好的吧，因为迟一点买票已经只能买到边边了。观众以中年男性居多，还有很多白头发的男士，故事被剪得稀碎，很多地方连不上戏很多台词非常隔应很多的BUG,很明显不是张艺谋这种成熟导演会犯的错，但即使如此，也阻止不了它的生猛之气，隔着四年时间与强力剪刀，仅仅
1694776426# #这本书好看，值得每个人看……悲伤地发现血管的老化是不可逆的，并且人，也毫无办法捂脸
1690382479# #晚点三小时，终到武汉，武汉的酒店不错，就是房间差一盆植物，不然就更文华了。
1697687573# #第一次坐吉祥航空感觉还挺清秀的，原来长沙到上海也要1小时20分钟，不过广州到上海要两个半小时，还是节约了一个小时捂脸
1688727478# #今天太热，好在风也大，云朵像是漫画里飘出来的捂脸
1700325111# #美好的一天，碰到一位贼牛的摄影师，把我公寓拍得可以上家居杂志，太牛了！创作从上午持续到下午三点，我心飞翔！
1696654250# #那天这套极细羊毛一穿上身就脱不下来，买！颜色是“苍翠欲滴的一片松竹林”，细腻纹路，轻薄筋道，完全不须计较身材，多胖都瘦成一条闪电，今秋我最心爱的一套。
1697353958# #随便一个小菜馆的菜都好吃，就是辣捂脸
1689379005# #广州这种南国气候，烈日炎炎时，树下就是另一世界，不热且阴凉，能长久地呆着，我不理解的是为啥街道树木越来越少？而且最近还砍了很多枝，根本不遮阳了，据说是为了防台风，怕倒树，这其中的平衡在哪儿？
1703552673# #陆梅送我卓艺陶瓷空间莫里斯的“镜框花瓶”，真好看，真秀雅，摆着都凭添绢秀，当然也可盛水插花，非常喜欢，赶紧自己又去二维码上的小程序下单了四个碟子，今天拿到蛮小巧的，蛮艺术，有格调，适合新年时候摆放水果零食什么的，当然不是那种名贵骨瓷，但价格也不贵啊，陆梅说他们拿到威廉莫斯两年授权
1689557291# #晚上十点多还在排队，这鲍师傅到底有啥玄学密码……吃了一个蛋塔后蹦出四个字：好吃不贵，也不是特别好吃，但是0K，也不是很平，但真的不昂贵，生意之道，原来道法其中就行了……
1693893138# #我原以为香港澳门是随便去的，原来广州市民旅游签一年只可去澳门三次捂脸
1700622339# #一日三省吾身，则知明行无过矣。
1699689198# #如果说人有梦中美大衣的话，今天这件大衣肯定算是（微信小程序搜“蓝小姐和黄小姐LH）。。我第一次在拍片现场见到这件棕色大翻领棕色大衣的时候，立即想起1985林青霞在嘉义火车站的一张照片，哪怕时间过去那么多年，也仍然记得当年看到那件大衣给我的震撼，棕色，大翻领，在秋日的阳光下非常的大气且洋气
1690538658# #昨天和蓝小姐还有我们公号近六十位粉丝一起来到武汉K11购物中心I馆4层，参加“动静有形，艺述百年”梵克雅宝高级珠宝艺术展，这是一次难得的珠宝艺术盛会，此次高级珠宝艺术展，不仅展出了逾百件梵克雅宝典藏臻品珠宝，还有珍贵的历史档案，一次性欣赏到世家近几十年来生活方式演变的有趣创作，以及珍
1703745016# #触感一流，格调不凡，果然是上海滩。今日开箱记
1702285353# #生活的喜悦有时候来自那些美好的物品，今天的喜悦完全来自香奈儿，来自开箱那一瞬间真丝优美的触感和香奈儿黑金砖夜间精华的力量，从此以后的每一夜都能感受到香奈儿细致的呵护爱心爱心爱心爱心
1703166718# #昨天插好圣诞花束，就有贵客来，秀姐煎了条黄花鱼，煲了个鸡骨汤、再做二三个家常小菜，与翔哥与阿美在冬日小酌一番，很多设计师和业主在装饰的过程里都不同程度地翻了脸，我与翔哥、阿美却成了更好的朋友，说明了他们的专业，也说明了我的幸运，感恩的心爱心
1696074003# #终于在九月的最后一天的傍晚，感受到那个力大无穷的自己又回到身上，能持续多久不知道，有一刻是一刻吧爱心
1691374279# #海盐焦糖慕斯浓缩，确定我真爱了
1697319773# #其实很多年轻女孩跟Sophie面临过一样的问题。她们往往在开始时会着迷于传统父权男性的“负责任”、“保护欲”，觉得跟这样的男人在一起有安全感，但她们不知道的是，笃信父权的男人对于婚姻里妻子的要求也很明确，那就是女性要成为贤妻良母，要负责生儿育女，要变成他们身边最温驯的附属品。『名利场||
1697718609# #PoltronaFrau全球首家新概念旗舰店登陆上海，做为PF的粉丝，一个家居迷，当然是欣喜若狂，旗舰店不仅有PF的经典家俱，还有新推出Beautilitied系列，种草上了一个花瓶，－个小几，还有海棠花的镜子，喜欢设计师MicheleDeLucchi的结语：空间不仅是用来居住的，空间也可以改变居住者的行为。好的空间
