1700806478# #刘诗诗舞剑变装能武能舞任如意憧憬憧憬憧憬刘诗诗不愧是我最爱的女演员
1701177831# #刘诗诗这封信请小狮子们亲启给你小心心刘诗诗任如意。唯一9点热度破6000的剧给你小心心给你小心心给你小心心刘诗诗是真的牛逼舔屏舔屏舔屏舔屏被带飞的感觉是真的爽
1689137375# #港媒曝王菲谢霆锋分手他们都这个年纪了，想谈就谈，不想谈就不谈，自由生活比什么都好心
1699938919# #哇哇哇我是尊贵的VIP，抽我抽我，表白天选古人刘诗诗
1693452791# #豆豆情诗lsstods品牌代言人刘诗诗好酷啊，这个女人舔屏泪泪
1701833739# #刘诗诗回应被叫体态监督员awsl真的好喜欢这样挺拔的姿态，真好看，真的特别养眼，美女多拍戏呀，造福内娱春游家族恭喜刘诗诗获奖
1689238717# #超美求关注求关注感谢老师
1694154977# #丫丫胖出褶子了丫丫要幸福的度过晚年心心心
1702907207# #兑奖的友友们直接私信、留言发送购买截图，或者发微博艾特我，请记得打码抱一抱
1694650001# #爱你自从诗诗代言以后每天都用的kono
1700795081# #Sb天天艳压艳压的哈哈但凡要是真能艳压都不会30岁还做糊逼了，丑人多作怪
1695699928# #刘诗诗六分钟一镜到底简简单单的截图，深深地代入感，极致的破碎的美，快来看抱一抱好看不亏
1703415599# #滦州地震🙏平平安安
1700998175# #赢牛奶赢牛奶赢牛奶赢牛奶公主王子请抽奖
1689042403# #求关注刘诗诗随意抓拍都好美，好松弛有度的状态！看到她的时候，我想到了岁月静美心
1692341119# #老婆不见不散
1701998321# #刘诗诗任如意教育徒弟的剧情演的那么好，明明是刘诗诗在讲话，全程却只有几个镜头，其他全是小🐭丑脸特写泪有谁替刘诗诗任如意申冤了吗？没有！说娇妻谁是娇妻？嘴上说着想要独立清醒大女主，实际上的行动就是娇妻爱男宝，yue了。女演员戏里戏外被吸血的一生。
1701586905# #最强帝师任如意害羞任如意爆改人生导师
1690340655# #内娱不会脱粉的明星求关注求关注刘诗诗美好的让人心颤心心心怎么会脱粉呢，一辈子都跟定你了抱一抱刘诗诗超话
1704426314# #刘诗诗wonderland封面刘诗诗摇滚歌姬家人们谁懂啊，这张真的超有livehouse现场的感觉啊awslawslawsl全都是神图啊
1692100568# #请撤销现有对接，正式粉丝合理要求。
1703553394# #吴倩张雨剑离婚后首次同框女儿是共同抚养啊，就算离婚了，孩子的爸爸妈妈也不会变，同框也不代表不是女性独美了呀允悲
1703558626# #扩赢牛奶收到
1700981752# #SVIP免费领SVIP体验卡免费领我成功领取了3天SVIP体验卡。快快点击即刻成为微博SVIP。去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益等你来体验！
1688782946# #刘诗诗最让我念念不忘的一场秀，初看惊艳，再看依然惊艳心心心
1689315439# #刘诗诗以前vs现在刘诗诗表现力一绝，一直在实现自我突破的大明星
1701614841# #给你小心心给你小心心刘诗诗粉丝辛苦了，刘诗诗任如意值得给你小心心抗剧女王刘诗诗，一念关山破万上线第6天天破万👸
1703737346# #不知道可以闭嘴，别踏马自己在那里猜猜的还骗散粉费解真踏马服了
1693963382# #自从喜欢上刘诗诗，真的很难喜欢上别人了心心
1691489482# #卡琳娜收到婚纱的反应泪我看清楚了，她拿着婚纱比着自己说的是“好看吗”
1695295903# #你知道的，我老婆就是这么完美刘诗诗超话
1695629266# #好爱哦好爱哦好爱哦哇哇哇偶好惊喜，刘诗诗的表演惊喜到我了
1701930355# #新加坡和中国即将免签明年安排打call打call今年怕是不行了
1702554442# #大小老鼠都有自己的金主爸爸，只有一番扛剧大女主戏份被剪好喜欢股价下跌就是你的福报心
1702297947# #周海媚啊啊啊啊我不信，别这样吓我
1702640914# #刘诗诗一念关山看完今天更新的两集了苦涩任如意真的太好了，无论是谁，只要是自己的人她都会保护心
1695723620# #被叙利亚第一夫人圈粉了看到叙利亚就想到了曾经的我们泪加油，未来都会好的，除了狗日的丑国
1703480737# #刘诗诗超话Lss刘诗诗东方淮竹心刘诗诗狐妖小红娘竹业篇。。还没有➕群的狮子宝宝们来看这里赢牛奶。🆘有闲置贴吧耗子的看过来🆘
1693530735# #九月你好🐏。刘诗诗时尚造型举车来看看刘诗诗和自行车的适配度吧爱你
1701663458# #刘诗诗也就会客气一下，体面一下，某些粉丝别真当真了吧，刘诗诗任如意独爆的顺风局春游家族别给我带歪了，谁带歪我撕谁。
1701521800# #亲亲亲亲想嫁给任如意哥哥（刘诗诗任如意）
1701355582# #任如意太美了，刘诗诗太美了给你小心心
1702099082# #爱奇艺转发刘诗诗微博刘诗诗任如意真的很好心刘诗诗演员本人演出来的气质是无法被删减，被改变的给你小心心给你小心心不看男主也不影响剧情，一念关山真的很不错打call打call即便是现在已播出的任如意我也超爱的心
1703302250# #我在2023体育公益大赏推荐了，一起加入自然保护行动中，像关注野生大熊猫一样，守护更多物种。2023年度慈善盛典我们共同感受公益的恒心时刻。
1703302207# #恒心至善，星光相伴。我正在参与2023年度星光公益大赏，我推荐的年度明星公益事件是诗诗加油爱心计划，点击
1702218901# #哇哇哇你的演技超棒的，今天看的超级爽给你小心心热度再创新高，恭喜姐姐
1693544495# #哇兔子你活了
1701355751# #刘诗诗超话抱一抱任如意的公路明信片给你小心心刘诗诗任如意。。第10集看的我心好痛泪任如意明明可以把三个都鲨了，可是她还是手下留情泪心软的神就是任如意，停在这里我要死了怒没有11集看我要打滚了抓狂。。
1691979219# #刘诗诗欧米茄名人大使求关注求关注刘诗诗超美，“海马”超霸气心
1695994370# #向云端跑调虽然跑调了，但是还是很好听哈哈哈哈哈哈
1689769682# #刘诗诗发了五颜六色的蔬菜分享日常的可爱姐姐(｡’▽’｡)♡天使坠落人间，分享人间蔬菜
1702878450# #好喜欢好喜欢来追任如意最后一剑一念关山超点大结局
1695700643# #离婚排不上号最好的解决方法是不结婚允悲有时候感觉也不能单纯怪工作人员，离婚的材料确实比结婚多多了。奇葩也多。
1694182039# #一念关山超话刘诗诗真心爱剧，提前一个月训练。三点收工六点开工。为大家准备小礼物希望大家拍摄开心。刘诗诗粉丝真心护剧，产出宣传，忍闲言碎语。但是真心换不来真心泪
1702886400# #❗这是一个抽奖，欢迎各路友友来抽一念关山超点大结局
1702425792# #吾辈自强
1690850022# #刘诗诗的心动挑战哇哇哇哇
1702900245# #哈哈哈哈哈哈所有强捧想上桌的都沦为耗子开学季发癫吧，这个世界原本就是这么癫不是吗？
1689557158# #刘诗诗超话刘诗诗一念关山lss刘诗诗|刘诗诗东方淮竹|刘诗诗狐妖小红娘竹业篇。。圣洁的女神睥睨生死，手握着法杖，聆听世人的愿望。。。
1693356066# #kono品牌代言人刘诗诗心|刘诗诗东方淮竹|刘诗诗。雨中打卡兔子感谢kono心代言人刘诗诗超美。。
1700627793# #银河澳门锦鲤附体锦鲤附体锦鲤附体祝福圆满成功
1699012020# #舔屏舔屏舔屏刘诗诗粉丝吃的太好了
1700993362# #掌宝爱心掌宝爱心快来转发抽奖啊
1695988617# #我就知道抱一抱抱一抱抱一抱我姐大好人
1704424428# #刘诗诗Wonderland封面关山小队wonderland合体封面啊啊啊啊才1月5日我就已经有了年度最佳杂志封面和内页了awslawsl做刘诗诗粉丝就是幸福到打嗝awslawslawsl
1704262267# #女儿多吃哇太瘦了
1701955791# #任如意真的很完美，嘴里说不爱欠人情，实际则是重情重义，面对两个徒弟愿意倾囊相授，自己多难受都可以忍，也希望在乎的人能好，哪怕付出自己的命
1692675318# #17岁的齐刘海刘诗诗我几世转生也忘不掉的心中的白月光心
1694530043# #刘诗诗晒合照为杨幂庆生刘诗诗待朋友好真诚诗幂泪泪泪我也会被这个女孩子感动的，记得以前刘诗诗还给郭晓婷送包，晓婷那时候小舍不得买，刘诗诗就偷偷买下来送给她，这样的霸道朋友给我一打好吗。
1691664288# #刘诗诗行走的山茶花鲜花和美人相配求关注求关注求关注气质女神刘诗诗闪现三亚，简单而不简单的魅力赢牛奶诗粉有福了
1693873212# #9.5🐏你好。无知是一种恶——苏格拉底。傲慢是无知的表现，还常伴随自负，嫉妒，以自我为中心，傲慢并不是一种积极的心理状态我们需要保持谦虚、客观的态度，不断学习和进步，以避免陷入傲慢的泥潭。每日一善超话
1701232517# #继承你麻痹，你们要是能给任如意6屏微笑你祖宗我可以勉强看你一眼ok
1689748624# #赢牛奶赢牛奶赢牛奶一直在用刘诗诗导航doge每次到达地点真的超可爱
1702018970# #任如意大夫包治百病污污
1704012144# #上不好价值观就别上了，看喜剧真的不想看强强价值观🙃本来开开心心
1699492125# #仲尼遇难现场妻子卡琳娜掩面而泣逝者安息，希望卡琳娜坚强活下去
1689741653# #郭富城方媛女儿近照一直觉得郭富城女装好看🙊祝福宝贝能得到基因彩票
1703419230# #耗子药那个大编剧好像删除微博了可怜这被欺压的一生呀
1695721209# #袁记云饺被曝是预制菜doge怪不得这么难吃，有次点了外卖，吃了一口就扔了
1689644240# #26℃的空调拉肚子，关了就热草泥马我要是开28℃那还不如不开不是
1695356546# #老婆好爱哦好爱哦好爱哦好美
1694074124# #哇说吧刘诗诗同款是哪个，我买还不行吗
1702018543# #戏里戏外都超可爱的如意宝心心刘诗诗任如意
1695778186# #两只都好可爱啊憧憬憧憬别打了ee摸摸
1703596290# #感谢这个冬天和任如意相遇心任如意就好像活生生的存在过一样，在平行世界里，任如意一定要快意江湖啊
1690158680# #早安求关注喵～
1689404498# #刘诗诗堕仙妆心心随时牺牲自己拯救世人
1689333441# #好想现在就拥有啊，所以什么时候可以买到新品求关注求关注刘诗诗
1702635720# #一念关山安都副本决胜局任如意太美太飒
1702117851# #给你小心心一番是刘诗诗的，会员数据是刘诗诗粉丝做的，成绩全是刘诗诗的，笑的最后的才是赢家，刘诗诗任如意值得更好的，今晚继续爱奇艺搞起来打call不见不散。
1698994947# #啥破事都没有今天新鲜的姐最重要，红毯诗最重要了舔屏舔屏舔屏紧张期待中~
1700839030# #吴亦凡要先在中国坐完牢再被驱逐出境吴妈妈还是先反思一下自己吧，为什么教育出一个qjf儿子黑线
1696030238# #刘诗诗一直是体验派的演员，总是入戏太深，也正是因为这样，创造出了一个个无可替代的角色，那些角色除了她就没人能演出来，在我看来体验派的演员是把自己的命交给了角色，所以角色鲜活有力，哪怕是被删减到一集几分钟的剧情也能把角色立住，我相信体验派无上限爱你期待刘诗诗的下个角色。
1690963995# #夏克立自曝因家暴指控被关监狱希望夏天不受到这些影响，要健康成人泪
1702635695# #一念关山安都副本决胜局本人郑重声明，观看《一念关山》，所贡献的播放量与热度只和刘诗诗有关。
1691028338# #看来我接触年轻人的想法还是很一致的憧憬有钱人108胎，反正我至死单身干杯
1703115108# #微博之夜我推荐为2023微博QUEEN，落日沉溺于橘色的海，晚风沦陷于赤诚的爱，万语干言道不尽对她的喜欢。一起来推荐你心中的微博KING和QUEEN吧~戳&gt;&gt;
1689307972# #BW2023微笑说不出话
1702188687# #曝顶流明星夫妻离婚内幕不说人名当张大大处理
1693989774# #心刘教练要一直幸福下去呀
1702042786# #心心刘诗诗任如意就是一念关山最好的答卷
1689217503# #收到开饭，坚持一下下兔子
1702889757# #❗这里有抽奖！！！一念关山超点大结局
1703093332# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！！
1693650169# #你好狮子们报名了
1695721174# #RAIN被诉涉嫌85亿房产诈骗允悲这算不算晚年失节，除开小时候的偶像剧，看综艺也觉得他是个谦逊的人，没想到不讲武德
1695733388# #刘诗诗超话超话星愿池刘诗诗永远幸福，永远健康抱一抱
1701414712# #任如意能相信的只有自己
1703168077# #打call任如意今天爷超级棒
1689203614# #早安心心心
1688967728# #乔任梁父亲自曝住院希望身体早日康复心心
1704337565# #啊啊啊啊又是新的突破，新的风格哇激动的心颤抖得手好喜欢好喜欢怒舔之
1695128419# #小猫咪永远爱你亲亲亲亲
1701845595# #刘诗诗回应被叫体态监督员太可爱了，妈粉重生送花花送花花送花花
1703151780# #录6天节目给10个人道歉比起来节目，更喜欢看复盘笑cry谁跟我一样🙋
1698200039# #2024春节放8天假微笑建议除夕也不要放春晚了，都别活了
1690895919# #心代言人刘诗诗与Qeelin超美
1701614444# #给你小心心给你小心心谢谢olay刘诗诗的选择就是最好的
1696251212# #樊振东vs王楚钦看的很轻松又很紧张，真的好激烈的比赛憧憬憧憬两个都爱
1702045502# #一念关山大女主剧吸烟刻肺吧揣手又开始搞流金岁月的流程了？上赶着把自己的成绩送给别人？？？大女主是演出来的，不是堆砌出来的，但凡真看剧了谁看了不说任如意老公姐，任如意大女主爱你好了，晚安。
1702990857# #哇小凡想要
1702702252# #马给你小心心
1701650863# #刘诗诗任如意名副其实的人生导师
1699256031# #舔屏舔屏最爱的侧脸
1701154267# #给你小心心给你小心心关爱女性身体健康
1691465785# #朴叙俊回应拒绝戴发箍不是我说，这有必要上热搜吗？韩国艺人包年了吗？
1701670926# #苦涩刘诗诗任如意值得更好的成绩
1701136845# #哈哈哈哈哈哈刘诗诗任如意收图了
1702266669# #生日快乐打call打call随一包耗子药
1702113978# #刘诗诗只是发了一条角色采访微博，而且这个采访还是🍋你自己知道的，放在了预告里的，你怎么这么破防呢傻眼，请问🍋的天是不是塌了偷笑
1700714556# #兔子今晚7点，约起来
1689033746# #昨天在沙发上睡着了，脖子落枕了生病
1690768722# #永远怀念coco李玟心是天使coco，至今都没觉得coco已经离开了，只要记得，就活着爱你
1702007819# #孙朗你小子可享太庙春游家族春游家族春游家族刘诗诗自拍get
1701676836# #刘诗诗任如意老公姐，美的太突出色色色
1692775390# #吴昕说李维嘉是独居老人泪过几年我也是独居老人，但是我有心爱的猫猫陪伴doge
1702887221# #❗这是这个抽奖给你小心心转发即可参与一念关山超点大结局
1693811686# #刘诗诗东方淮竹羞嗒嗒羞嗒嗒刘诗诗的碎片时间，保存宝贝的明信片，感谢小会心
1701142557# #给你小心心已经下载打开了
1702912735# #刘诗诗把任如意演活了泪我不管剧癫不癫，任如意就像是真的在我的生命里存在过一样，我好爱任如意，感谢刘诗诗
1703393860# #狐妖小红娘竹业篇七月初七，奔赴淮竹给你小心心
1701780658# #张若昀刘诗诗范闲东方淮竹同框哈哈哈哈哈哈为什么不是和任如意同框
1690287882# #王毅任外交部部长看见他满头白发，真的辛苦了，守国难啊，敌人紧紧地盯着我们呢，永远热爱我的祖国🇨🇳
1701618524# #一念关山破万谢谢kono给你小心心再接再厉再创辉煌
1701192609# #审判一念关山马车上打斗那段，可以脑补成谈允贤成为第一杀手了哈哈用穴位杀人
1694181613# #一念关山超话本人稳定时间在线，遵纪守法，公开公正，也从未对本剧任何演员有任何意见，也达到了申请小主持人的要求，如果驳回我的申请，请给出驳回理由。请不要随便欺负别人泪泪
1702632222# #接
1701475788# #刘诗诗的演技被严重低估了泪泪我一直觉得刘诗诗是剧抛脸，每个角色都很绝，你永远不会在她身上串戏
1702560968# #刘诗诗秒了，你问我秒了什么🤔一分钟秒了安国啊好喜欢不愧是第一女刺客任辛
1689761342# #出道是小黄圣依，学历是漂亮国外籍留学生，祖籍是亚裔，代表作是未成年二番冷饭，爆剧是砸穿底盘0.2，一问路人缘都在撒花，一看实绩全是笑话，刘亦菲阿姨，你说呢悲伤想听听美国人的看法
1703074069# #为什么踢我出群？
1695734271# #抱一抱抱一抱姐宝
1689127846# #心刘诗诗总有能力与品牌建立良好的长期合作，常看到很多路人感叹刘诗诗的代言品牌都对刘诗诗很长情，长情这个词只是别人看到的结果，是刘诗诗始终如一保持初心的坚持，才有了长久良好循环的合作心
1702005510# #骂刘诗诗任如意的都没有心泪泪没有人比刘诗诗更爱剧护剧
1690407114# #警方通报10岁男孩被继母打死这种畜生不配活着老师好死刑，谢谢。孩子的爸爸也请追责微笑我不信他什么都不知道，放任暴力行为不管吗？
1701757953# #狐妖小红娘竹业篇官宣杀青给你小心心给你小心心任如意老公姐刚走进我的心里，又开始期待东方淮竹老婆了
1703117646# #🙏祈祷平安
1701046280# #刘诗诗紫裙花钿妆任如意做自己吧给你小心心给你小心心给你小心心如果郡主你做的不开心我可以请你喝暴打柠檬茶
1689222714# #求关注求关注感谢T分享光彩夺目的刘诗诗
1701532252# #任如意爆改人生导师任如意老公时时刻刻都在照顾徒弟害羞亲自男装（非易容）带徒弟来喝花酒，让徒弟学习喝花酒春游家族
1703418759# #赢牛奶赢牛奶都是我爱的画面，任如意每一幕都值得珍藏，冷峻的眉峰和眼神可怜m属性大爆发
1690272054# #吴奇隆带儿子探班刘诗诗刘诗诗家庭事业双丰收求关注求关注求关注
1699277723# #刘诗诗超话lss刘诗诗欧米茄名人大使哇哇刘诗诗下车那段百看不厌。360度无死角的美哇哇哇盈盈一握小蛮腰抱一抱万能女主啊，看小说超级代入偷笑
1701219853# #废物二番怒
1693269716# #兔子刘诗诗心TODS我好爱
1703562123# #豆瓣乐子人票选最终结果美颜盛世刘诗诗赢牛奶赢牛奶实至名归
1703651490# #我正在微博跨年狂欢节预约刘诗诗，可以冲跨年晚会现场门票！快来和我一起参与吧！预约2024，让更好发生~.
1704424873# #刘诗诗wonderland封面关山小队wonderland合体封面awslawslawsl刘诗诗任如意穿越到现代成立摇滚乐队出道了
1692342542# #好羡慕现场能见到刘诗诗求关注好好防晒，保护自己呀
1702012357# #刘诗诗端水式晒自拍污污内娱活菩萨，戏里戏外都是心软的神，刘诗诗任如意任辛
1695807936# #憧憬憧憬憧憬中国🇨🇳
1692666936# #刘诗诗超话|刘诗诗东方淮竹|刘诗诗刘诗诗刘诗诗一念关山。。七夕快乐心我命中注定的老婆，永远爱你，永远开心。。
1701940034# #这个活动真可怕，还是一如既往的眼前一黑
1702088214# #刘诗诗编辑记录本人郑重声明，观看《一念关山》，所贡献的播放量与热度只和刘诗诗有关。给你小心心给你小心心给你小心心
1701477561# #刘诗诗吴奇隆知道了知道了11集刘诗诗演技大赏，知道刘诗诗任如意被全方位防爆了泪剧里美强惨，剧外还是美强惨泪都来爱奇艺看《一念关山》，让任如意把坏人豆沙了（刘诗诗任如意版）
1703068253# #给你小心心是优雅知性的诗诗姐姐
1690879532# #火锅店派车在演唱会外免费接人可怕的是比你有天赋的人还比你努力允悲哪怕是为了大巴都得去吃一顿
1702225245# #你们能不能别犯蠢了？？？到底你们护不护剧？？？
1701414672# #你见过哪把杀人的剑是弯折的？任如意就是天下第一女刺客！
1695278080# #刘诗诗落叶飘飞打戏一念关山抓狂刘诗诗在一部戏里，能打架，能跳舞抓狂抓狂抓狂本古装剧爱好者，美女爱好者，要激动坏了
1696058834# #梁靖崑林高远止步亚运八强允悲确实是技术不太行，周四那场也提心吊胆的，现在反而心落下来了
1704078629# #新年快乐爱你
1695374057# #Lss刘诗诗可隆品牌代言人抱一抱代言人超美
1700718056# #姐姐没驯服刘海但是驯服了我刘诗诗憧憬憧憬憧憬和红色适配度也忒高了舔屏舔屏舔屏舔屏姐姐踩我
1699024537# #舔屏舔屏舔屏美的太绝对，赢的太轻松
1701865841# #刘诗诗🦁刘诗诗🦁刘诗诗🦁刘诗诗🦁刘诗诗🦁刘诗诗🦁刘诗诗🦁
1689940144# #我的确说了一下想游泳，但不是这种啊苦涩上海暴雨
1690339005# #左凌峰张小婉手牵手逛街cp可以是假的，不在乎裂开但是不能是cg老师好
1701744693# #东方淮竹太美了给你小心心给你小心心给你小心心刘诗诗东方淮竹
1701259636# #刘诗诗提前一个月进组训练，日夜兼程拍戏，已经对得起任如意对得起观众了泪演员不是就应该在这里下功夫吗？别逼我的小女孩泪泪我快气炸了
1701243974# #刘诗诗任如意冷脸女刺客杀手不需要感情，但是杀手也从不欠人情，你对我好，我亲手埋你，也亲手为你报仇舔屏舔屏舔屏太带感了，爱憎分明任如意
1695014140# #勿忘国耻，吾辈自强
1691811676# #刘诗诗一直很美，求关注求关注永远期待不同妆容的刘诗诗。。刘诗诗超话
1701364248# #🙏瘦十斤事事任如意
1692345719# #没死就出来干活，看看你自己干的好事
1699014261# #舔屏舔屏舔屏原视频我疯了
1701684430# #今晚继续冲数据，刘诗诗独爆已成事实，一念关山是能冲前位榜单的剧，能给到刘诗诗更好的成绩，为什么不做，刘诗诗任如意就是值得更好的成绩，谁家孩子能考100，考个60就满足的，看看前面都是什么剧，怎么能不冲，3年了，再冲一个月又怎么不行呢，就是80岁了，我也要起来冲数据。刘诗诗是一番大女主，剧
1694075037# #掌宝爱心我以后会多多在微博互动🐑苦涩尼玛我再也不偷懒了
1700886132# #刘诗诗锦鲤附体锦鲤附体锦鲤附体打戏牛逼
1704038758# #爱你新年快乐！
1702186014# #刘诗诗又美又绝舔屏
1702906059# #任如意以身殉国守护国土和平，是最好的刺客，是安国最锋利的一把刀给你小心心
1689673745# #求关注求关注求关注大小姐南孙的气质可不是谁想要就有的
1690263802# #古装就不适合化现代妆，真的不适合困
1701263835# #与其贷款焦虑，不如多做数据
1703506366# #耗子药你知道豆瓣那个日活，你拿到了11w+票的含金量吗？还能有比这个更出圈的吗？为什么耗子麻不宣传一下呢，一念出圈🈶
1695775819# #是刘诗诗一个人独挨骂两年，是官宣刘诗诗一个人就开机，事实就是刘诗诗一个人独抗。事实也不让说了吗？有什么立场和资格来捂姐粉的嘴？别得了便宜还卖乖。
1690511025# #早安爱你虽然已经打工几个小时了
1698726758# #刘诗诗超话刘诗诗嘉人十一月刊封面大片鲜花刘诗诗时光生长大片。刘诗诗美到我无法呼吸舔屏舔屏舔屏
1702870278# #哇这两封好特别，开年有惊喜的意思吗好喜欢
1702011429# #允悲好像还没怎么听过火老师唱歌，希望可以直接创死我，主打一个效果
1700199159# #跪了长大真的不好玩，现在连玩游戏的时间都没有了，不是听着视频睡着，就是玩着游戏睡着，早上起来，手机也没电关机了泪然后又是忙忙碌碌的一天，曾经我觉得好好工作，就能好好玩游戏，就能追星自由，原来我什么都做不到失望
1703057681# #今天是温柔系的刘诗诗心
1690084584# #苦涩我看直播也很开心
1692620140# #刘诗诗超话|刘诗诗东方淮竹|刘诗诗刘诗诗刘诗诗一念关山。每次看见你的笑容，我人生中的阴霾就好像被春风吹散兔子永远爱你。。
1701427240# #刘诗诗任如意就是最🐮的给你小心心给你小心心爱死了
